#name (cmd = mergePeaks -d given ./ENCODE_processed_files/GATA1_idr_cutoff.tsv ./ENCODE_processed_files/TAL1_idr_cutoff.tsv)	chr	start	end	strand	Stat	Parent files	Total subpeaks	./ENCODE_processed_files/GATA1_idr_cutoff.tsv	./ENCODE_processed_files/TAL1_idr_cutoff.tsv
Merged-chr11-59756182-1	chr11	59755982	59756382	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12529
Merged-chr5-172238002-1	chr5	172237802	172238202	+	576.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36560
Merged-chr7-51367119-1	chr7	51366919	51367319	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24545
Merged-chr5-176144733-1	chr5	176144533	176144933	+	564.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36561
Merged-chr7-56064353-1	chr7	56064153	56064553	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24546
Merged-chr5-181159454-1	chr5	181159254	181159654	+	595.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36562
Merged-chr7-66844927-1	chr7	66844727	66845127	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24547
Merged-chr6-13980621-1	chr6	13980421	13980821	+	607.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36568
Merged-chr6-14138986-1	chr6	14138786	14139186	+	598.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36569
Merged-chr7-138243683-1	chr7	138243483	138243883	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_511
Merged-chr12-28192329-1	chr12	28192129	28192529	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_514
Merged-chr15-64439217-1	chr15	64439017	64439417	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_516
Merged-chr11-9670137-1	chr11	9669937	9670337	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4427
Merged-chr11-66702036-1	chr11	66701836	66702236	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4428
Merged-chr13-59468597-1	chr13	59468397	59468797	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4429
Merged-chr11-113429583-1	chr11	113429383	113429783	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12531
Merged-chr12-49673816-1	chr12	49673616	49674016	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12532
Merged-chr13-95873448-1	chr13	95873248	95873648	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12534
Merged-chr13-114320242-1	chr13	114320042	114320442	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12536
Merged-chr7-99558491-1	chr7	99558291	99558691	+	755.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24552
Merged-chr14-20476980-1	chr14	20476780	20477180	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12537
Merged-chr14-21104323-1	chr14	21104123	21104523	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12538
Merged-chr14-22956272-1	chr14	22956072	22956472	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12539
Merged-chr6-26384218-1	chr6	26384018	26384418	+	596.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36570
Merged-chr7-103344871-1	chr7	103344671	103345071	+	797.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24555
Merged-chr6-28370672-1	chr6	28370472	28370872	+	545.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36571
Merged-chr7-107044511-1	chr7	107044311	107044711	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24556
Merged-chr6-31531272-1	chr6	31531072	31531472	+	557.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36573
Merged-chr7-118372781-1	chr7	118372581	118372981	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24558
Merged-chr6-37058247-1	chr6	37058047	37058447	+	555.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36576
Merged-chr6-37381680-1	chr6	37381480	37381880	+	580.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36578
Merged-chr9-120766856-1	chr9	120766656	120767056	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_523
Merged-chr12-106301943-1	chr12	106301743	106302143	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_524
Merged-chr5-108531666-1	chr5	108531466	108531866	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_529
Merged-chr15-81942391-1	chr15	81942191	81942591	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4430
Merged-chr2-156132335-1	chr2	156132135	156132535	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4433
Merged-chr9-357736-1	chr9	357536	357936	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4439
Merged-chr14-23454015-1	chr14	23453815	23454215	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12540
Merged-chr15-68284785-1	chr15	68284585	68284985	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12542
Merged-chr16-24994595-1	chr16	24994395	24994795	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12543
Merged-chr16-29975988-1	chr16	29975788	29976188	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12544
Merged-chr7-129876296-1	chr7	129876096	129876496	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24560
Merged-chr16-70396783-1	chr16	70396583	70396983	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12545
Merged-chr7-131326986-1	chr7	131326786	131327186	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24561
Merged-chr7-139821574-1	chr7	139821374	139821774	+	830.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24563
Merged-chr6-42214950-1	chr6	42214750	42215150	+	576.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36582
Merged-chr7-149715574-1	chr7	149715374	149715774	+	974.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24567
Merged-chr6-42890029-1	chr6	42889829	42890229	+	583.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36583
Merged-chr7-158957667-1	chr7	158957467	158957867	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24568
Merged-chr8-2810951-1	chr8	2810751	2811151	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24569
Merged-chr6-96800994-1	chr6	96800794	96801194	+	553.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36586
Merged-chr6-119602307-1	chr6	119602107	119602507	+	568.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36588
Merged-chr8-127960379-1	chr8	127960179	127960579	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_531
Merged-chr2-11279589-1	chr2	11279389	11279789	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_534
Merged-chr16-2479681-1	chr16	2479481	2479881	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_538
Merged-chrX-279114-1	chrX	278914	279314	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4441
Merged-chr10-28822857-1	chr10	28822657	28823057	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4445
Merged-chr12-121871665-1	chr12	121871465	121871865	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4448
Merged-chr17-67110824-1	chr17	67110624	67111024	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12550
Merged-chr19-14785397-1	chr19	14785197	14785597	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12553
Merged-chr2-130370701-1	chr2	130370501	130370901	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12557
Merged-chr8-15636609-1	chr8	15636409	15636809	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24572
Merged-chr8-22918499-1	chr8	22918299	22918699	+	846.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24573
Merged-chr8-29230745-1	chr8	29230545	29230945	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24574
Merged-chr6-136792636-1	chr6	136792436	136792836	+	571.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36591
Merged-chr6-139474971-1	chr6	139474771	139475171	+	574.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36592
Merged-chr8-41798551-1	chr8	41798351	41798751	+	565.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24577
Merged-chr6-143019237-1	chr6	143019037	143019437	+	602.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36593
Merged-chr8-48009081-1	chr8	48008881	48009281	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24578
Merged-chr8-79908810-1	chr8	79908610	79909010	+	653.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24579
Merged-chr6-152876252-1	chr6	152876052	152876452	+	603.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36596
Merged-chr6-157520273-1	chr6	157520073	157520473	+	549.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36597
Merged-chr6-162538854-1	chr6	162538654	162539054	+	542.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_36599
Merged-chr1-202944564-1	chr1	202944364	202944764	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_545
Merged-chr22-40814148-1	chr22	40813948	40814348	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_549
Merged-chr6-157207881-1	chr6	157207681	157208081	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4459
Merged-chr20-46156233-1	chr20	46156033	46156433	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12563
Merged-chr20-51339994-1	chr20	51339794	51340194	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12564
Merged-chr21-34159685-1	chr21	34159485	34159885	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12565
Merged-chr8-94196736-1	chr8	94196536	94196936	+	986.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24581
Merged-chr8-98117101-1	chr8	98116901	98117301	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24582
Merged-chr22-20111261-1	chr22	20111061	20111461	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12567
Merged-chr8-99089599-1	chr8	99089399	99089799	+	627.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24583
Merged-chr8-101072012-1	chr8	101071812	101072212	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24584
Merged-chr8-102863053-1	chr8	102862853	102863253	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24585
Merged-chr8-109334384-1	chr8	109334184	109334584	+	965.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24586
Merged-chr8-125923916-1	chr8	125923716	125924116	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24587
Merged-chr9-2728152-1	chr9	2727952	2728352	+	799.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24589
Merged-chr15-75694747-1	chr15	75694547	75694947	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_557
Merged-chr15-82849715-1	chr15	82849515	82849915	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_558
Merged-chr1-20197701-1	chr1	20197501	20197901	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4462
Merged-chr11-65422840-1	chr11	65422640	65423040	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4469
Merged-chr3-49030533-1	chr3	49030333	49030733	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12570
Merged-chr3-58324283-1	chr3	58324083	58324483	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12571
Merged-chr3-127586237-1	chr3	127586037	127586437	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12572
Merged-chr3-184171847-1	chr3	184171647	184172047	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12576
Merged-chr9-32992690-1	chr9	32992490	32992890	+	905.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24592
Merged-chr9-34997573-1	chr9	34997373	34997773	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24593
Merged-chr9-72214598-1	chr9	72214398	72214798	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24594
Merged-chr9-95057231-1	chr9	95057031	95057431	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24596
Merged-chr9-98184792-1	chr9	98184592	98184992	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24597
Merged-chr9-98854323-1	chr9	98854123	98854523	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24598
Merged-chr9-120868312-1	chr9	120868112	120868512	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_24599
Merged-chr5-126977050-1	chr5	126976850	126977250	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_560
Merged-chr17-59702543-1	chr17	59702343	59702743	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_563
Merged-chr6-20069279-1	chr6	20069079	20069479	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_565
Merged-chr14-24274482-1	chr14	24274282	24274682	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4470
Merged-chr15-39699159-1	chr15	39698959	39699359	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4472
Merged-chr2-44364801-1	chr2	44364601	44365001	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4477
Merged-chr2-102634972-1	chr2	102634772	102635172	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4478
Merged-chr2-145730555-1	chr2	145730355	145730755	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4479
Merged-chr4-55155130-1	chr4	55154930	55155330	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12580
Merged-chr4-139651728-1	chr4	139651528	139651928	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12581
Merged-chr5-82403951-1	chr5	82403751	82404151	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12588
Merged-chr3-33097324-1	chr3	33097124	33097524	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_571
Merged-chr3-169939500-1	chr3	169939300	169939700	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4485
Merged-chr7-93053432-1	chr7	93053232	93053632	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4488
Merged-chr7-143980231-1	chr7	143980031	143980431	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4489
Merged-chr5-131745985-1	chr5	131745785	131746185	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12590
Merged-chr5-154724286-1	chr5	154724086	154724486	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12591
Merged-chr5-157728079-1	chr5	157727879	157728279	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12592
Merged-chr6-2766534-1	chr6	2766334	2766734	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12593
Merged-chr6-15434376-1	chr6	15434176	15434576	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12594
Merged-chr6-39195950-1	chr6	39195750	39196150	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12596
Merged-chr6-47149750-1	chr6	47149550	47149950	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_12599
Merged-chr8-65743442-1	chr8	65743242	65743642	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4490
Merged-chr8-97778625-1	chr8	97778425	97778825	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4491
Merged-chr11-2739359-1	chr11	2739159	2739559	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_4494
Merged-chr9-14395933-1	chr9	14395733	14396133	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_590
Merged-chr15-74610645-1	chr15	74610445	74610845	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_591
Merged-chr3-152320445-1	chr3	152320245	152320645	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_598
Merged-chr11-61287559-1	chr11	61287359	61287759	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_599
Merged-chr1-16618257-1	chr1	16618057	16618457	+	579.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32500
Merged-chr17-20868139-1	chr17	20867939	20868339	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_19000
Merged-chr17-33507316-1	chr17	33507116	33507516	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_19001
Merged-chr1-21216990-1	chr1	21216790	21217190	+	736.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32502
Merged-chr17-40594354-1	chr17	40594154	40594554	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_19002
Merged-chr1-21780371-1	chr1	21780171	21780571	+	708.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32503
Merged-chr17-46265146-1	chr17	46264946	46265346	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_19003
Merged-chr1-25811002-1	chr1	25810802	25811202	+	743.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32504
Merged-chr17-62423944-1	chr17	62423744	62424144	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_19005
Merged-chr17-76602263-1	chr17	76602063	76602463	+	860.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_19006
Merged-chr1-27573073-1	chr1	27572873	27573273	+	769.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32507
Merged-chr1-31937331-1	chr1	31937131	31937531	+	759.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32510
Merged-chr1-35927723-1	chr1	35927523	35927923	+	548.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32511
Merged-chr19-1030883-1	chr19	1030683	1031083	+	1000.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_19011
Merged-chr1-38561876-1	chr1	38561676	38562076	+	775.000000	./ENCODE_processed_files/TAL1_idr_cutoff.tsv	1		345_32512
