#PeakID(python scan_motif.py ./ENCODE_processed_files/ETS1_idr.fa ETS1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
503_10195	chr4	172155928	172156328	+	1000	43.0	[12.327155]	[171]	[]	[]	[172156153]	[]
503_10200	chr5	149632366	149632766	+	1000	43.0	[8.880239]	[166]	[8.445345]	[103]	[149632581]	[149632518]
503_10201	chr5	149731594	149731994	+	1000	43.0	[]	[]	[7.1638846]	[153]	[]	[149731803]
503_10202	chr5	159128045	159128445	+	1000	43.0	[10.288883]	[86]	[]	[]	[159128223]	[]
503_10203	chr5	173328478	173328878	+	1000	43.0	[6.9121566]	[112]	[]	[]	[173328672]	[]
503_10212	chr6	33201143	33201543	+	1000	43.0	[]	[]	[6.993913]	[160]	[]	[33201311]
503_10218	chr6	41027973	41028373	+	1000	43.0	[9.1897955]	[135]	[]	[]	[41028196]	[]
503_1022	chr3	10320933	10321333	+	1000	122.0	[]	[]	[12.885004]	[85]	[]	[10321118]
503_10220	chr6	69796617	69797017	+	1000	43.0	[6.406941]	[173]	[]	[]	[69796867]	[]
503_10222	chr6	118651289	118651689	+	1000	43.0	[]	[]	[6.406941]	[68]	[]	[118651452]
503_10223	chr6	129767197	129767597	+	1000	43.0	[9.1897955]	[83]	[]	[]	[129767352]	[]
503_10228	chr6	157221209	157221609	+	1000	43.0	[7.4008026]	[119]	[]	[]	[157221373]	[]
503_10229	chr6	158536029	158536429	+	1000	43.0	[6.406941]	[56]	[]	[]	[158536180]	[]
503_1023	chr6	28080732	28081132	+	1000	122.0	[14.901949]	[114]	[]	[]	[28080933]	[]
503_10231	chr7	471789	472189	+	1000	43.0	[7.4008026]	[96]	[10.150553]	[103]	[471967]	[471974]
503_10233	chr7	10973680	10974080	+	1000	43.0	[]	[]	[8.638506, 7.937324]	[122, 139]	[]	[10973872, 10973889]
503_10236	chr7	66922050	66922450	+	1000	43.0	[]	[]	[8.404206]	[141]	[]	[66922212]
503_10255	chr8	28401791	28402191	+	1000	43.0	[]	[]	[8.372218]	[138]	[]	[28401968]
503_10256	chr8	81686062	81686462	+	1000	43.0	[]	[]	[6.780644, 7.5145535]	[120, 160]	[]	[81686265, 81686305]
503_10257	chr8	95090342	95090742	+	1000	43.0	[]	[]	[11.819135]	[140]	[]	[95090569]
503_10259	chr8	143948428	143948828	+	1000	43.0	[]	[]	[10.897183]	[129]	[]	[143948590]
503_10262	chr9	14322419	14322819	+	1000	43.0	[]	[]	[8.404206]	[302]	[]	[14322633]
503_10266	chr9	113221027	113221427	+	1000	43.0	[8.76831]	[80]	[]	[]	[113221204]	[]
503_10268	chr9	129139937	129140337	+	1000	43.0	[]	[]	[9.80219]	[179]	[]	[129140159]
503_1027	chr8	37736439	37736839	+	1000	122.0	[7.7103596, 6.6215615]	[63, 67]	[]	[]	[37736592, 37736596]	[]
503_10270	chr9	130863356	130863756	+	1000	43.0	[6.892782]	[136]	[]	[]	[130863569]	[]
503_10279	chrX	47836569	47836969	+	1000	43.0	[]	[]	[7.891876]	[118]	[]	[47836765]
503_10281	chrX	49167238	49167638	+	1000	43.0	[]	[]	[7.475481]	[102]	[]	[49167428]
503_10283	chrX	68498773	68499173	+	1000	43.0	[8.423885]	[130]	[]	[]	[68498996]	[]
503_10295	chr1	12549128	12549528	+	1000	42.0	[]	[]	[8.123926]	[131]	[]	[12549325]
503_10299	chr1	26363775	26364175	+	1000	42.0	[]	[]	[7.896186]	[99]	[]	[26363957]
503_103	chr1	179882530	179882930	+	1000	267.0	[6.406941]	[65]	[9.933497]	[142]	[179882691]	[179882768]
503_1030	chr9	127451253	127451653	+	1000	122.0	[12.376983]	[80]	[]	[]	[127451406]	[]
503_10300	chr1	27137134	27137534	+	1000	42.0	[]	[]	[9.834179, 7.8463583]	[145, 163]	[]	[27137361, 27137379]
503_10301	chr1	27529120	27529520	+	1000	42.0	[6.993913]	[118]	[]	[]	[27529330]	[]
503_10302	chr1	27659973	27660373	+	1000	42.0	[9.005733, 8.445345]	[80, 135]	[]	[]	[27660142, 27660197]	[]
503_1031	chr9	128160180	128160580	+	1000	122.0	[]	[]	[7.659544]	[69]	[]	[128160332]
503_10310	chr1	47515445	47515845	+	1000	42.0	[10.421151]	[95]	[]	[]	[47515634]	[]
503_10312	chr1	53889582	53889982	+	1000	42.0	[11.455031, 6.9121566]	[112, 119]	[]	[]	[53889793, 53889800]	[]
503_10313	chr1	61079871	61080271	+	1000	42.0	[10.320872]	[139]	[]	[]	[61080070]	[]
503_10315	chr1	107057328	107057728	+	1000	42.0	[]	[]	[10.421151]	[147]	[]	[107057536]
503_10318	chr1	150926135	150926535	+	1000	42.0	[]	[]	[9.975595]	[127]	[]	[150926353]
503_10319	chr1	154496979	154497379	+	1000	42.0	[8.880239]	[111]	[8.123926]	[129]	[154497161]	[154497179]
503_1032	chr9	137578774	137579174	+	1000	122.0	[]	[]	[7.7103596, 11.354753]	[95, 117]	[]	[137578926, 137578948]
503_10322	chr1	165828839	165829239	+	1000	42.0	[6.615002]	[77]	[]	[]	[165828991]	[]
503_10324	chr1	196933599	196933999	+	1000	42.0	[]	[]	[11.405568]	[90]	[]	[196933766]
503_10331	chr1	246214912	246215312	+	1000	42.0	[7.7460794]	[137]	[]	[]	[246215148]	[]
503_10336	chr10	72308357	72308757	+	1000	42.0	[8.631947, 8.123926]	[176, 204]	[]	[]	[72308561, 72308589]	[]
503_10337	chr10	73517440	73517840	+	1000	42.0	[8.880239]	[129]	[]	[]	[73517639]	[]
503_10342	chr10	87094693	87095093	+	1000	42.0	[]	[]	[8.880239]	[94]	[]	[87094879]
503_10345	chr10	119207209	119207609	+	1000	42.0	[]	[]	[6.993913]	[92]	[]	[119207360]
503_10347	chr10	132329843	132330243	+	1000	42.0	[11.819135]	[77]	[]	[]	[132330008]	[]
503_10348	chr10	133245628	133246028	+	1000	42.0	[11.455031]	[60]	[]	[]	[133245787]	[]
503_1036	chr11	65720628	65721028	+	1000	121.0	[7.57576, 7.2925353, 8.722507]	[113, 136, 159]	[]	[]	[65720829, 65720852, 65720875]	[]
503_10361	chr11	93784164	93784564	+	1000	42.0	[]	[]	[6.4858923]	[140]	[]	[93784356]
503_10363	chr12	576049	576449	+	1000	42.0	[7.7103596, 6.892782]	[151, 192]	[]	[]	[576246, 576287]	[]
503_10364	chr12	6337166	6337566	+	1000	42.0	[]	[]	[9.326159, 12.327155]	[140, 169]	[]	[6337363, 6337392]
503_10365	chr12	6383933	6384333	+	1000	42.0	[]	[]	[9.005733]	[144]	[]	[6384168]
503_10370	chr12	53097787	53098187	+	1000	42.0	[]	[]	[9.1897955]	[151]	[]	[53098029]
503_10373	chr12	54352014	54352414	+	1000	42.0	[]	[]	[10.310211]	[108]	[]	[54352200]
503_10375	chr12	79934653	79935053	+	1000	42.0	[8.00715]	[111]	[]	[]	[79934849]	[]
503_10379	chr12	117190173	117190573	+	1000	42.0	[10.796905]	[60]	[7.4201775]	[116]	[117190330]	[117190386]
503_10384	chr13	40789196	40789596	+	1000	42.0	[]	[]	[11.851124, 7.2925353, 6.993913]	[113, 119, 163]	[]	[40789394, 40789400, 40789444]
503_10388	chr14	22872472	22872872	+	1000	42.0	[11.405568]	[141]	[]	[]	[22872641]	[]
503_10389	chr14	35292180	35292580	+	1000	42.0	[7.7851515, 9.975595]	[93, 116]	[11.405568]	[135]	[35292356, 35292379]	[35292398]
503_10390	chr14	51989191	51989591	+	1000	42.0	[7.4008026]	[90]	[]	[]	[51989381]	[]
503_10391	chr14	60091922	60092322	+	1000	42.0	[]	[]	[7.8463583]	[149]	[]	[60092084]
503_10397	chr15	45166738	45167138	+	1000	42.0	[]	[]	[6.924771]	[170]	[]	[45166974]
503_10402	chr15	66661491	66661891	+	1000	42.0	[12.327155]	[196]	[]	[]	[66661738]	[]
503_10405	chr15	90249379	90249779	+	1000	42.0	[7.8463583, 6.993913]	[96, 132]	[]	[]	[90249556, 90249592]	[]
503_10415	chr16	66604576	66604976	+	1000	42.0	[]	[]	[9.913131]	[89]	[]	[66604736]
503_10416	chr16	70298930	70299330	+	1000	42.0	[]	[]	[13.471976]	[173]	[]	[70299175]
503_10426	chr17	32349951	32350351	+	1000	42.0	[]	[]	[10.897183]	[150]	[]	[32350175]
503_10429	chr17	40818685	40819085	+	880	42.0	[7.916553]	[220]	[]	[]	[40818927]	[]
503_10432	chr17	45019218	45019618	+	1000	42.0	[]	[]	[7.5145535]	[114]	[]	[45019407]
503_10433	chr17	45949072	45949472	+	1000	42.0	[6.993913]	[149]	[]	[]	[45949309]	[]
503_10436	chr17	57420657	57421057	+	1000	42.0	[]	[]	[6.8936343]	[93]	[]	[57420836]
503_10437	chr17	59209803	59210203	+	1000	42.0	[11.206739]	[127]	[]	[]	[59210021]	[]
503_10441	chr17	75130668	75131068	+	1000	42.0	[7.6390805]	[142]	[]	[]	[75130908]	[]
503_10443	chr17	75753595	75753995	+	1000	42.0	[6.406941]	[129]	[]	[]	[75753771]	[]
503_10445	chr17	79797189	79797589	+	1000	42.0	[12.885004]	[102]	[]	[]	[79797382]	[]
503_10448	chr17	81119384	81119784	+	1000	42.0	[6.7055626]	[113]	[]	[]	[81119548]	[]
503_10449	chr17	81487949	81488349	+	1000	42.0	[6.406941]	[120]	[]	[]	[81488124]	[]
503_10452	chr18	79506996	79507396	+	1000	42.0	[10.310211]	[162]	[]	[]	[79507225]	[]
503_10456	chr19	3061223	3061623	+	1000	42.0	[]	[]	[8.880239]	[110]	[]	[3061411]
503_1046	chr1	19210118	19210518	+	1000	120.0	[9.834179]	[102]	[]	[]	[19210316]	[]
503_10461	chr19	6516815	6517215	+	1000	42.0	[9.933497]	[66]	[]	[]	[6516978]	[]
503_10472	chr19	29665056	29665456	+	1000	42.0	[7.6478944]	[134]	[]	[]	[29665245]	[]
503_10473	chr19	32669939	32670339	+	1000	42.0	[8.631947]	[79]	[]	[]	[32670109]	[]
503_1048	chr1	43969716	43970116	+	1000	120.0	[11.405568]	[247]	[]	[]	[43969966]	[]
503_10487	chr19	53394977	53395377	+	1000	42.0	[9.975595]	[83]	[]	[]	[53395152]	[]
503_10490	chr19	57389574	57389974	+	1000	42.0	[10.150553]	[96]	[]	[]	[57389738]	[]
503_10493	chr2	15558004	15558404	+	1000	42.0	[12.327155]	[115]	[]	[]	[15558208]	[]
503_10494	chr2	27250094	27250494	+	1000	42.0	[]	[]	[12.885004]	[142]	[]	[27250290]
503_105	chr5	138465363	138465763	+	1000	267.0	[]	[]	[8.404206]	[101]	[]	[138465537]
503_10503	chr2	73828747	73829147	+	1000	42.0	[11.354753]	[155]	[9.642532]	[167]	[73828949]	[73828961]
503_10506	chr2	96868389	96868789	+	1000	42.0	[10.310211]	[107]	[6.730932]	[147]	[96868591]	[96868631]
503_10509	chr2	108620991	108621391	+	1000	42.0	[10.897183]	[107]	[]	[]	[108621196]	[]
503_10512	chr2	130340078	130340478	+	1000	42.0	[]	[]	[7.259386]	[114]	[]	[130340279]
503_10516	chr2	200963256	200963656	+	1000	42.0	[]	[]	[7.2583613]	[196]	[]	[200963496]
503_10517	chr2	218399487	218399887	+	1000	42.0	[6.615002]	[132]	[]	[]	[218399692]	[]
503_10518	chr2	218671833	218672233	+	1000	42.0	[6.486581, 14.393928]	[87, 93]	[]	[]	[218671988, 218671994]	[]
503_1052	chr15	66497579	66497979	+	1000	120.0	[9.467575]	[168]	[]	[]	[66497806]	[]
503_10521	chr20	347495	347895	+	1000	42.0	[]	[]	[7.766382, 9.834179]	[134, 143]	[]	[347705, 347714]
503_10522	chr20	30580039	30580439	+	1000	42.0	[]	[]	[9.834179]	[129]	[]	[30580258]
503_10523	chr20	45910798	45911198	+	1000	42.0	[]	[]	[9.676489]	[120]	[]	[45911005]
503_10531	chr20	62365852	62366252	+	1000	42.0	[]	[]	[7.7103596]	[130]	[]	[62366022]
503_10535	chr22	19576746	19577146	+	1000	42.0	[8.631947]	[121]	[]	[]	[19576941]	[]
503_10538	chr22	20862470	20862870	+	1000	42.0	[]	[]	[6.406941]	[140]	[]	[20862669]
503_10554	chr22	27918433	27918833	+	728	42.0	[]	[]	[7.377296]	[107]	[]	[27918636]
503_10555	chr22	31159955	31160355	+	1000	42.0	[12.885004]	[94]	[10.835977]	[81]	[31160147]	[31160134]
503_10557	chr22	41589915	41590315	+	1000	42.0	[10.310211, 7.3395963]	[91, 111]	[]	[]	[41590090, 41590110]	[]
503_10559	chr22	43187569	43187969	+	1000	42.0	[10.327956, 7.7103596]	[69, 92]	[]	[]	[43187730, 43187753]	[]
503_1056	chr19	17215139	17215539	+	1000	120.0	[7.7103596]	[101]	[8.303927, 9.834179]	[94, 122]	[17215327]	[17215320, 17215348]
503_10563	chr22	50525287	50525687	+	1000	42.0	[7.8463583]	[206]	[]	[]	[50525508]	[]
503_1057	chr2	3574980	3575380	+	1000	120.0	[]	[]	[7.4008026]	[122]	[]	[3575198]
503_10571	chr3	124620561	124620961	+	1000	42.0	[9.005733]	[83]	[]	[]	[124620741]	[]
503_10582	chr4	119300398	119300798	+	1000	42.0	[7.915865, 12.963955]	[80, 120]	[]	[]	[119300568, 119300608]	[]
503_10586	chr5	43042354	43042754	+	1000	42.0	[9.275306]	[100]	[]	[]	[43042550]	[]
503_10589	chr5	80654661	80655061	+	1000	42.0	[7.2925353]	[67]	[]	[]	[80654818]	[]
503_10595	chr5	146203453	146203853	+	1000	42.0	[6.993913]	[198]	[7.3587046]	[132]	[146203671]	[146203605]
503_10596	chr5	149452101	149452501	+	1000	42.0	[]	[]	[10.310211]	[130]	[]	[149452328]
503_106	chr11	65095934	65096334	+	1000	265.0	[11.405568]	[154]	[]	[]	[65096185]	[]
503_1060	chr3	46987708	46988108	+	1000	120.0	[]	[]	[8.880239]	[142]	[]	[46987946]
503_10600	chr6	7150651	7151051	+	1000	42.0	[]	[]	[8.303927]	[110]	[]	[7150861]
503_10602	chr6	10146899	10147299	+	1000	42.0	[7.4008026]	[150]	[]	[]	[10147121]	[]
503_10604	chr6	14397141	14397541	+	1000	42.0	[]	[]	[8.372218]	[83]	[]	[14397308]
503_10611	chr6	37102341	37102741	+	1000	42.0	[]	[]	[7.475481]	[138]	[]	[37102544]
503_10613	chr6	41939456	41939856	+	1000	42.0	[7.7786345]	[142]	[]	[]	[41939654]	[]
503_10616	chr6	53348679	53349079	+	1000	42.0	[8.303927]	[195]	[]	[]	[53348900]	[]
503_10617	chr6	57317474	57317874	+	1000	42.0	[]	[]	[8.354743]	[231]	[]	[57317711]
503_10621	chr6	136234526	136234926	+	1000	42.0	[8.5297]	[155]	[8.423885]	[88]	[136234756]	[136234689]
503_10623	chr6	149128389	149128789	+	1000	42.0	[6.862329]	[129]	[]	[]	[149128573]	[]
503_10624	chr6	156779250	156779650	+	1000	42.0	[]	[]	[8.404206]	[204]	[]	[156779496]
503_10626	chr7	2771245	2771645	+	1000	42.0	[]	[]	[6.615002]	[142]	[]	[2771466]
503_10632	chr7	105401588	105401988	+	1000	42.0	[6.993913]	[108]	[12.327155]	[149]	[105401777]	[105401818]
503_10639	chr8	1746160	1746560	+	1000	42.0	[]	[]	[8.880239]	[119]	[]	[1746369]
503_10640	chr8	10818860	10819260	+	1000	42.0	[11.354753]	[76]	[]	[]	[10819029]	[]
503_10641	chr8	15540061	15540461	+	1000	42.0	[11.941725]	[165]	[]	[]	[15540248]	[]
503_10642	chr8	41822601	41823001	+	1000	42.0	[7.2925353]	[177]	[]	[]	[41822842]	[]
503_10647	chr8	85106987	85107387	+	1000	42.0	[]	[]	[9.975595]	[178]	[]	[85107218]
503_1065	chr6	108261070	108261470	+	1000	120.0	[]	[]	[6.486581]	[82]	[]	[108261246]
503_10650	chr8	124973088	124973488	+	1000	42.0	[]	[]	[12.327155, 7.7103596]	[135, 149]	[]	[124973290, 124973304]
503_10654	chr9	91193673	91194073	+	1000	42.0	[7.4008026]	[103]	[]	[]	[91193827]	[]
503_10657	chr9	127828263	127828663	+	1000	42.0	[]	[]	[9.1897955]	[169]	[]	[127828510]
503_10658	chr9	128255198	128255598	+	1000	42.0	[]	[]	[6.730932]	[119]	[]	[128255391]
503_10659	chr9	130740883	130741283	+	1000	42.0	[]	[]	[6.6002345]	[193]	[]	[130741107]
503_10663	chr9	130779004	130779404	+	1000	42.0	[8.929101]	[138]	[]	[]	[130779236]	[]
503_10665	chr9	130899023	130899423	+	1000	42.0	[]	[]	[7.4201775]	[152]	[]	[130899242]
503_10675	chrX	2630389	2630789	+	902	42.0	[]	[]	[8.830775, 8.830775]	[122, 178]	[]	[2630568, 2630624]
503_10676	chrX	3713453	3713853	+	1000	42.0	[8.404206]	[84]	[]	[]	[3713636]	[]
503_10677	chrX	11461598	11461998	+	1000	42.0	[]	[]	[10.310211]	[136]	[]	[11461802]
503_10679	chrX	16869640	16870040	+	1000	42.0	[11.580525]	[151]	[]	[]	[16869844]	[]
503_1068	chr9	127937660	127938060	+	1000	120.0	[6.406941]	[169]	[13.371697, 8.819032]	[121, 143]	[127937903]	[127937855, 127937877]
503_10682	chrX	101348529	101348929	+	1000	42.0	[8.503526]	[117]	[]	[]	[101348728]	[]
503_10685	chrX	130166091	130166491	+	1000	42.0	[]	[]	[6.892782]	[171]	[]	[130166304]
503_10690	chr1	9495274	9495674	+	1000	41.0	[8.880239]	[91]	[]	[]	[9495432]	[]
503_10693	chr1	19315328	19315728	+	1000	41.0	[]	[]	[8.638506]	[115]	[]	[19315493]
503_10698	chr1	27112079	27112479	+	1000	41.0	[10.897183]	[123]	[7.57576]	[182]	[27112264]	[27112323]
503_10699	chr1	27428276	27428676	+	1000	41.0	[]	[]	[6.615002]	[122]	[]	[27428491]
503_107	chr4	1856079	1856479	+	1000	264.0	[]	[]	[8.423885, 6.486581]	[68, 74]	[]	[1856237, 1856243]
503_10711	chr1	85581200	85581600	+	1000	41.0	[6.406941]	[131]	[]	[]	[85581421]	[]
503_10714	chr1	109277392	109277792	+	1000	41.0	[10.796905]	[183]	[]	[]	[109277591]	[]
503_10717	chr1	150977226	150977626	+	1000	41.0	[7.499129]	[182]	[]	[]	[150977417]	[]
503_10725	chr1	206563005	206563405	+	1000	41.0	[7.208534]	[154]	[]	[]	[206563250]	[]
503_10726	chr1	225809960	225810360	+	1000	41.0	[7.4733844]	[114]	[]	[]	[225810167]	[]
503_10730	chr10	13348337	13348737	+	1000	41.0	[]	[]	[7.896186]	[128]	[]	[13348504]
503_10731	chr10	16996184	16996584	+	1000	41.0	[8.638506, 8.880239]	[114, 136]	[]	[]	[16996377, 16996399]	[]
503_10733	chr10	37857597	37857997	+	1000	41.0	[6.4371176]	[136]	[]	[]	[37857830]	[]
503_10737	chr10	79444352	79444752	+	1000	41.0	[]	[]	[6.633814]	[198]	[]	[79444586]
503_10743	chr10	122980278	122980678	+	1000	41.0	[6.993913, 6.4167504]	[226, 242]	[]	[]	[122980507, 122980523]	[]
503_10745	chr11	2902081	2902481	+	1000	41.0	[7.7103596]	[119]	[]	[]	[2902284]	[]
503_10747	chr11	14891429	14891829	+	1000	41.0	[8.423885]	[135]	[]	[]	[14891651]	[]
503_10749	chr11	45355196	45355596	+	1000	41.0	[]	[]	[7.4008026, 9.975595]	[135, 161]	[]	[45355416, 45355442]
503_1075	chr16	69132377	69132777	+	1000	119.0	[]	[]	[7.1916623, 11.405568]	[139, 162]	[]	[69132579, 69132602]
503_1076	chr17	38825151	38825551	+	1000	119.0	[]	[]	[11.405568]	[89]	[]	[38825329]
503_10760	chr11	71453067	71453467	+	1000	41.0	[9.1897955]	[135]	[]	[]	[71453301]	[]
503_10761	chr11	73979966	73980366	+	1000	41.0	[7.259386]	[86]	[]	[]	[73980128]	[]
503_10762	chr11	75352215	75352615	+	1000	41.0	[7.8463583]	[169]	[]	[]	[75352448]	[]
503_10768	chr11	124673673	124674073	+	1000	41.0	[8.503526]	[239]	[]	[]	[124673917]	[]
503_10770	chr12	7018704	7019104	+	1000	41.0	[]	[]	[8.423885]	[135]	[]	[7018899]
503_10771	chr12	11648758	11649158	+	1000	41.0	[]	[]	[7.2023387]	[207]	[]	[11648989]
503_10772	chr12	25195154	25195554	+	1000	41.0	[8.681774]	[81]	[]	[]	[25195330]	[]
503_10775	chr12	56333697	56334097	+	1000	41.0	[7.795907]	[115]	[]	[]	[56333876]	[]
503_10776	chr12	57235143	57235543	+	1000	41.0	[]	[]	[10.421151]	[167]	[]	[57235373]
503_1078	chr19	48747068	48747468	+	1000	119.0	[]	[]	[7.2023387]	[147]	[]	[48747299]
503_10788	chr13	110615501	110615901	+	1000	41.0	[7.916553]	[177]	[]	[]	[110615693]	[]
503_10791	chr14	35045970	35046370	+	1000	41.0	[7.915865, 11.455031]	[153, 214]	[6.993913]	[138]	[35046139, 35046200]	[35046124]
503_10794	chr14	63641394	63641794	+	1000	41.0	[6.4858923]	[77]	[]	[]	[63641556]	[]
