#PeakID(python identify_motif.py ./ENCODE_processed_files/NFATC3_idr.fa NFATC3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
28_1042	chr2	19348207	19348607	+	1000	71.5	[7.0441737]	[121]	[7.657809]	[87]	[19348428]	[19348394]
28_10424	chr17	80891943	80892343	+	1000	37.0	[]	[]	[9.601446]	[82]	[]	[80892123]
28_10441	chr19	46991072	46991472	+	1000	37.0	[]	[]	[7.408826]	[144]	[]	[46991253]
28_10449	chr19	58387257	58387657	+	926	37.0	[]	[]	[10.276439]	[128]	[]	[58387443]
28_1045	chr4	70688098	70688498	+	1000	71.5	[]	[]	[7.0441737]	[184]	[]	[70688342]
28_10452	chr2	32592068	32592468	+	1000	37.0	[]	[]	[7.408826, 7.408826]	[107, 167]	[]	[32592229, 32592289]
28_10455	chr2	46067875	46068275	+	784	37.0	[]	[]	[10.276439]	[92]	[]	[46068048]
28_10459	chr2	70132451	70132851	+	1000	37.0	[7.408826]	[117]	[]	[]	[70132614]	[]
28_10462	chr2	86563634	86564034	+	1000	37.0	[7.408826]	[113]	[]	[]	[86563807]	[]
28_10468	chr2	144524662	144525062	+	1000	37.0	[7.408826]	[82]	[]	[]	[144524825]	[]
28_10482	chr20	53828771	53829171	+	1000	37.0	[7.408826]	[122]	[]	[]	[53828955]	[]
28_10485	chr21	39348235	39348635	+	1000	37.0	[]	[]	[9.601446]	[75]	[]	[39348386]
28_105	chr17	49739803	49740203	+	1000	182.0	[]	[]	[10.276439]	[86]	[]	[49739982]
28_10518	chr3	13404655	13405055	+	1000	37.0	[10.276439]	[141]	[]	[]	[13404845]	[]
28_10519	chr3	19967689	19968089	+	1000	37.0	[7.408826]	[180]	[7.408826]	[151]	[19967920]	[19967891]
28_10524	chr3	40464315	40464715	+	1000	37.0	[]	[]	[7.408826]	[94]	[]	[40464499]
28_10526	chr3	52694560	52694960	+	1000	37.0	[10.276439]	[115]	[]	[]	[52694735]	[]
28_10556	chr5	65078389	65078789	+	1000	37.0	[10.276439]	[108]	[]	[]	[65078593]	[]
28_1056	chr11	6612171	6612571	+	1000	71.0	[]	[]	[7.408826]	[78]	[]	[6612349]
28_10563	chr5	126776237	126776637	+	1000	37.0	[]	[]	[10.276439]	[130]	[]	[126776467]
28_10574	chr6	4134650	4135050	+	1000	37.0	[10.276439]	[100]	[7.0441737]	[113]	[4134806]	[4134819]
28_1058	chr11	47578791	47579191	+	1000	71.0	[9.601446]	[148]	[]	[]	[47579019]	[]
28_10582	chr6	30103033	30103433	+	1000	37.0	[10.276439]	[109]	[]	[]	[30103240]	[]
28_10585	chr6	32393558	32393958	+	817	37.0	[]	[]	[7.408826, 10.276439]	[66, 112]	[]	[32393720, 32393766]
28_1059	chr11	62560598	62560998	+	1000	71.0	[10.276439]	[101]	[]	[]	[62560783]	[]
28_10596	chr6	108560256	108560656	+	1000	37.0	[7.408826]	[161]	[]	[]	[108560438]	[]
28_10597	chr6	108562707	108563107	+	1000	37.0	[7.408826]	[115]	[]	[]	[108562866]	[]
28_10599	chr6	125986017	125986417	+	1000	37.0	[]	[]	[7.408826, 7.0441737, 10.276439]	[63, 142, 155]	[]	[125986171, 125986250, 125986263]
28_10601	chr6	134980806	134981206	+	1000	37.0	[]	[]	[10.276439]	[151]	[]	[134981046]
28_10604	chr6	143842607	143843007	+	1000	37.0	[]	[]	[10.276439]	[164]	[]	[143842850]
28_10606	chr6	146878693	146879093	+	1000	37.0	[7.0441737]	[239]	[]	[]	[146878934]	[]
28_10614	chr7	13991484	13991884	+	1000	37.0	[]	[]	[7.408826]	[116]	[]	[13991698]
28_10617	chr7	25565827	25566227	+	1000	37.0	[7.408826]	[203]	[]	[]	[25566074]	[]
28_10623	chr7	73005673	73006073	+	1000	37.0	[]	[]	[9.601446, 9.601446]	[113, 200]	[]	[73005828, 73005915]
28_10627	chr7	99127965	99128365	+	1000	37.0	[]	[]	[7.657809]	[145]	[]	[99128124]
28_10632	chr7	111459748	111460148	+	1000	37.0	[]	[]	[10.276439]	[141]	[]	[111459939]
28_10633	chr7	121002891	121003291	+	1000	37.0	[10.276439]	[222]	[]	[]	[121003139]	[]
28_10636	chr7	123797816	123798216	+	1000	37.0	[7.408826, 7.408826]	[105, 147]	[7.408826]	[175]	[123797995, 123798037]	[123798065]
28_10653	chr8	108248866	108249266	+	1000	37.0	[10.276439]	[158]	[]	[]	[108249076]	[]
28_10655	chr8	128556491	128556891	+	1000	37.0	[]	[]	[7.408826, 10.276439]	[104, 140]	[]	[128556678, 128556714]
28_10657	chr8	129687251	129687651	+	1000	37.0	[7.408826]	[143]	[]	[]	[129687465]	[]
28_10660	chr8	144078342	144078742	+	1000	37.0	[]	[]	[9.601446]	[120]	[]	[144078555]
28_10666	chr9	105647534	105647934	+	1000	37.0	[]	[]	[7.408826]	[194]	[]	[105647781]
28_10671	chr9	129110872	129111272	+	1000	37.0	[10.276439]	[106]	[7.408826]	[151]	[129111048]	[129111093]
28_10705	chr1	43707985	43708385	+	1000	36.5	[7.408826]	[129]	[]	[]	[43708170]	[]
28_10707	chr1	50978534	50978934	+	1000	36.5	[7.0441737]	[124]	[]	[]	[50978748]	[]
28_10708	chr1	51648096	51648496	+	1000	36.5	[7.408826]	[172]	[]	[]	[51648321]	[]
28_10711	chr1	53011138	53011538	+	1000	36.5	[10.276439]	[106]	[7.408826]	[60]	[53011343]	[53011297]
28_10719	chr1	145892035	145892435	+	1000	36.5	[7.408826, 7.408826]	[124, 142]	[7.657809]	[95]	[145892241, 145892259]	[145892212]
28_10725	chr1	161165675	161166075	+	1000	36.5	[]	[]	[7.408826, 7.408826]	[161, 169]	[]	[161165905, 161165913]
28_1073	chr7	104983602	104984002	+	1000	71.0	[]	[]	[9.601446]	[217]	[]	[104983820]
28_10734	chr1	182930146	182930546	+	1000	36.5	[7.408826]	[111]	[]	[]	[182930332]	[]
28_1074	chrX	154799056	154799456	+	1000	71.0	[]	[]	[9.601446]	[118]	[]	[154799272]
28_10756	chr10	22315659	22316059	+	709	36.5	[7.657809]	[77]	[]	[]	[22315816]	[]
28_10759	chr10	49311772	49312172	+	1000	36.5	[]	[]	[10.276439]	[102]	[]	[49311968]
28_10760	chr10	60140893	60141293	+	1000	36.5	[]	[]	[7.408826]	[218]	[]	[60141123]
28_10763	chr10	75048843	75049243	+	1000	36.5	[]	[]	[10.276439]	[138]	[]	[75049051]
28_10773	chr11	66289318	66289718	+	1000	36.5	[7.0441737, 7.408826]	[95, 149]	[]	[]	[66289502, 66289556]	[]
28_10783	chr12	6970645	6971045	+	982	36.5	[7.408826]	[154]	[7.408826]	[186]	[6970820]	[6970852]
28_10787	chr12	48681934	48682334	+	937	36.5	[]	[]	[7.408826]	[144]	[]	[48682164]
28_10792	chr12	55744121	55744521	+	1000	36.5	[10.276439]	[124]	[9.601446]	[167]	[55744308]	[55744351]
28_10793	chr12	56449390	56449790	+	1000	36.5	[7.657809]	[169]	[]	[]	[56449641]	[]
28_10794	chr12	56565612	56566012	+	1000	36.5	[]	[]	[7.0441737]	[202]	[]	[56565842]
28_10796	chr12	76158661	76159061	+	1000	36.5	[7.0441737]	[187]	[]	[]	[76158871]	[]
28_10797	chr12	92078138	92078538	+	1000	36.5	[]	[]	[10.276439]	[146]	[]	[92078291]
28_10799	chr12	110578252	110578652	+	1000	36.5	[9.601446]	[170]	[]	[]	[110578478]	[]
28_10812	chr15	31870816	31871216	+	1000	36.5	[7.408826]	[136]	[7.408826]	[108]	[31871040]	[31871012]
28_10818	chr15	77064667	77065067	+	1000	36.5	[7.657809]	[160]	[]	[]	[77064850]	[]
28_10822	chr16	3134590	3134990	+	1000	36.5	[]	[]	[7.408826]	[132]	[]	[3134791]
28_1084	chr2	165953765	165954165	+	1000	70.5	[]	[]	[10.276439]	[140]	[]	[165953990]
28_10840	chr17	40554049	40554449	+	1000	36.5	[7.408826]	[191]	[]	[]	[40554265]	[]
28_10841	chr17	40647743	40648143	+	1000	36.5	[9.601446]	[104]	[]	[]	[40647894]	[]
28_10854	chr17	68759675	68760075	+	1000	36.5	[7.408826]	[162]	[]	[]	[68759886]	[]
28_10856	chr17	75405744	75406144	+	1000	36.5	[7.408826]	[151]	[]	[]	[75405960]	[]
28_10859	chr17	81637092	81637492	+	1000	36.5	[]	[]	[9.601446, 7.408826]	[79, 97]	[]	[81637267, 81637285]
28_1086	chr3	4741342	4741742	+	1000	70.5	[7.408826]	[105]	[]	[]	[4741531]	[]
28_10869	chr19	1042171	1042571	+	801	36.5	[]	[]	[7.0441737]	[84]	[]	[1042345]
28_10880	chr19	17553300	17553700	+	1000	36.5	[7.408826]	[174]	[]	[]	[17553517]	[]
28_10894	chr2	27771272	27771672	+	1000	36.5	[]	[]	[10.276439]	[116]	[]	[27771471]
28_10897	chr2	43331488	43331888	+	1000	36.5	[7.408826, 10.276439]	[178, 198]	[]	[]	[43331696, 43331716]	[]
28_10899	chr2	47800625	47801025	+	975	36.5	[]	[]	[7.657809]	[184]	[]	[47800838]
28_109	chr16	34582048	34582448	+	1000	174.0	[]	[]	[7.657809, 7.657809, 10.276439, 7.657809, 7.657809]	[81, 97, 107, 130, 146]	[]	[34582228, 34582244, 34582254, 34582277, 34582293]
28_1090	chr6	7165097	7165497	+	1000	70.5	[]	[]	[7.408826]	[150]	[]	[7165345]
28_10908	chr2	86216550	86216950	+	1000	36.5	[]	[]	[10.276439]	[152]	[]	[86216778]
28_10910	chr2	156340428	156340828	+	1000	36.5	[7.408826, 10.276439]	[189, 228]	[]	[]	[156340634, 156340673]	[]
28_10917	chr20	23132905	23133305	+	1000	36.5	[]	[]	[7.657809, 7.0441737]	[178, 211]	[]	[23133089, 23133122]
28_10928	chr20	58209626	58210026	+	1000	36.5	[]	[]	[10.276439]	[104]	[]	[58209824]
28_10931	chr21	25735953	25736353	+	954	36.5	[]	[]	[10.276439]	[187]	[]	[25736143]
28_10954	chr3	33115760	33116160	+	1000	36.5	[7.657809]	[177]	[]	[]	[33115970]	[]
28_10961	chr3	142028452	142028852	+	1000	36.5	[]	[]	[10.276439]	[139]	[]	[142028646]
28_10969	chr4	75723895	75724295	+	1000	36.5	[]	[]	[7.657809]	[157]	[]	[75724131]
28_10972	chr4	124713045	124713445	+	1000	36.5	[7.657809]	[217]	[]	[]	[124713275]	[]
28_10973	chr4	139030578	139030978	+	1000	36.5	[]	[]	[7.0441737]	[78]	[]	[139030735]
28_10977	chr5	8457097	8457497	+	1000	36.5	[]	[]	[7.408826, 7.408826]	[144, 168]	[]	[8457253, 8457277]
28_10985	chr5	43306062	43306462	+	969	36.5	[]	[]	[10.276439, 10.276439]	[188, 205]	[]	[43306278, 43306295]
28_10987	chr5	62256605	62257005	+	1000	36.5	[]	[]	[7.408826]	[121]	[]	[62256776]
28_10996	chr5	108728721	108729121	+	1000	36.5	[]	[]	[7.0441737]	[128]	[]	[108728885]
28_11001	chr5	171387088	171387488	+	1000	36.5	[7.408826]	[111]	[]	[]	[171387259]	[]
28_1101	chr1	212791636	212792036	+	1000	70.0	[]	[]	[9.601446, 10.276439]	[72, 115]	[]	[212791799, 212791842]
28_11011	chr6	32973517	32973917	+	1000	36.5	[]	[]	[7.657809]	[79]	[]	[32973693]
28_11012	chr6	33426237	33426637	+	1000	36.5	[7.408826]	[115]	[]	[]	[33426426]	[]
28_1103	chr11	12201034	12201434	+	1000	70.0	[7.0441737]	[180]	[]	[]	[12201268]	[]
28_11034	chr6	125188014	125188414	+	1000	36.5	[]	[]	[10.276439, 10.276439, 10.276439]	[108, 130, 193]	[]	[125188174, 125188196, 125188259]
28_11042	chr6	163416368	163416768	+	1000	36.5	[10.276439]	[158]	[7.657809, 9.601446]	[124, 150]	[163416615]	[163416581, 163416607]
28_11043	chr6	167841976	167842376	+	1000	36.5	[7.408826]	[119]	[]	[]	[167842190]	[]
28_11044	chr6	167849819	167850219	+	1000	36.5	[7.657809]	[87]	[]	[]	[167850004]	[]
28_11077	chr7	139231012	139231412	+	1000	36.5	[]	[]	[7.408826]	[125]	[]	[139231166]
28_1108	chr19	46786385	46786785	+	1000	70.0	[7.408826]	[126]	[]	[]	[46786575]	[]
28_11085	chr8	18067561	18067961	+	1000	36.5	[7.408826]	[114]	[]	[]	[18067714]	[]
28_1109	chr2	27891081	27891481	+	1000	70.0	[9.601446, 7.0441737, 9.601446]	[127, 132, 158]	[]	[]	[27891293, 27891298, 27891324]	[]
28_11101	chr9	37333436	37333836	+	1000	36.5	[7.408826]	[103]	[]	[]	[37333637]	[]
28_11105	chr9	114324939	114325339	+	1000	36.5	[]	[]	[10.276439]	[119]	[]	[114325144]
28_11122	chrX	48574914	48575314	+	1000	36.5	[9.601446]	[118]	[]	[]	[48575093]	[]
28_11142	chr1	43934678	43935078	+	1000	36.0	[]	[]	[10.276439, 7.657809]	[128, 147]	[]	[43934874, 43934893]
28_1115	chr6	26216810	26217210	+	1000	70.0	[10.276439]	[237]	[10.276439]	[173]	[26217050]	[26216986]
28_11163	chr1	154955825	154956225	+	1000	36.0	[7.408826, 7.657809]	[132, 139]	[]	[]	[154956009, 154956016]	[]
28_11167	chr1	159923891	159924291	+	1000	36.0	[]	[]	[7.657809]	[162]	[]	[159924141]
28_11173	chr1	182595680	182596080	+	911	36.0	[10.276439]	[185]	[]	[]	[182595913]	[]
28_11189	chr1	224357441	224357841	+	1000	36.0	[]	[]	[10.276439]	[175]	[]	[224357621]
28_11191	chr1	226308015	226308415	+	1000	36.0	[7.0441737]	[185]	[7.657809]	[205]	[226308227]	[226308247]
28_11204	chr10	18651269	18651669	+	1000	36.0	[]	[]	[10.276439]	[113]	[]	[18651448]
28_11205	chr10	33008615	33009015	+	1000	36.0	[7.408826, 10.276439]	[77, 133]	[]	[]	[33008788, 33008844]	[]
28_11209	chr10	50540595	50540995	+	873	36.0	[]	[]	[10.276439]	[148]	[]	[50540789]
28_11224	chr10	98909997	98910397	+	937	36.0	[]	[]	[7.408826]	[122]	[]	[98910179]
28_11225	chr10	100370974	100371374	+	1000	36.0	[]	[]	[10.276439]	[80]	[]	[100371128]
28_11229	chr11	2991093	2991493	+	1000	36.0	[]	[]	[10.276439, 9.601446]	[96, 139]	[]	[2991264, 2991307]
28_11230	chr11	3865353	3865753	+	1000	36.0	[7.408826]	[220]	[]	[]	[3865575]	[]
28_11233	chr11	5596659	5597059	+	898	36.0	[]	[]	[7.0441737]	[132]	[]	[5596870]
28_11238	chr11	18324400	18324800	+	870	36.0	[7.408826]	[181]	[]	[]	[18324607]	[]
28_11242	chr11	46113117	46113517	+	1000	36.0	[]	[]	[9.601446]	[185]	[]	[46113353]
28_11243	chr11	46117748	46118148	+	1000	36.0	[]	[]	[7.657809, 7.0441737]	[127, 161]	[]	[46117900, 46117934]
28_11253	chr11	69449688	69450088	+	1000	36.0	[7.408826]	[164]	[]	[]	[69449918]	[]
28_11255	chr11	77474266	77474666	+	1000	36.0	[9.601446]	[109]	[]	[]	[77474454]	[]
28_1126	chr1	26620555	26620955	+	1000	69.5	[]	[]	[7.0441737]	[168]	[]	[26620765]
28_11264	chr12	7439515	7439915	+	1000	36.0	[10.276439]	[192]	[]	[]	[7439746]	[]
28_11265	chr12	12505867	12506267	+	1000	36.0	[7.0441737, 10.276439]	[79, 116]	[]	[]	[12506036, 12506073]	[]
28_11266	chr12	26937545	26937945	+	1000	36.0	[]	[]	[10.276439]	[136]	[]	[26937742]
28_11275	chr12	55737116	55737516	+	935	36.0	[7.408826]	[150]	[7.657809]	[167]	[55737345]	[55737362]
28_11277	chr12	56377477	56377877	+	1000	36.0	[7.657809]	[96]	[]	[]	[56377637]	[]
28_11320	chr16	11916493	11916893	+	1000	36.0	[]	[]	[10.276439]	[139]	[]	[11916708]
28_11326	chr16	53207797	53208197	+	980	36.0	[]	[]	[7.657809]	[232]	[]	[53208043]
28_11327	chr16	58859958	58860358	+	1000	36.0	[]	[]	[10.276439]	[148]	[]	[58860151]
28_11329	chr16	69709489	69709889	+	1000	36.0	[]	[]	[7.657809]	[203]	[]	[69709737]
28_1133	chr14	96917527	96917927	+	1000	69.5	[10.276439]	[159]	[7.657809]	[112]	[96917754]	[96917707]
28_11337	chr17	27294788	27295188	+	1000	36.0	[]	[]	[7.408826]	[140]	[]	[27295026]
28_11345	chr17	42459058	42459458	+	1000	36.0	[7.408826]	[187]	[]	[]	[42459262]	[]
28_11350	chr17	49832865	49833265	+	1000	36.0	[]	[]	[7.408826]	[154]	[]	[49833038]
28_11351	chr17	57084448	57084848	+	990	36.0	[7.657809]	[97]	[]	[]	[57084626]	[]
28_11357	chr17	64449100	64449500	+	1000	36.0	[]	[]	[10.276439]	[174]	[]	[64449276]
28_11359	chr17	74872373	74872773	+	1000	36.0	[7.408826]	[123]	[]	[]	[74872572]	[]
28_11367	chr18	12991664	12992064	+	730	36.0	[7.408826]	[132]	[]	[]	[12991836]	[]
28_1138	chr2	112188107	112188507	+	1000	69.5	[7.0441737]	[151]	[7.657809]	[108]	[112188347]	[112188304]
28_11382	chr19	40090839	40091239	+	1000	36.0	[7.0441737]	[144]	[]	[]	[40091080]	[]
28_11404	chr2	61763821	61764221	+	1000	36.0	[7.408826]	[181]	[]	[]	[61764004]	[]
28_11414	chr2	113889484	113889884	+	1000	36.0	[7.408826]	[188]	[]	[]	[113889685]	[]
28_11418	chr2	159497080	159497480	+	1000	36.0	[7.0441737]	[213]	[]	[]	[159497318]	[]
28_11430	chr20	47353444	47353844	+	1000	36.0	[]	[]	[7.408826]	[87]	[]	[47353621]
28_1145	chr3	179375006	179375406	+	1000	69.5	[]	[]	[7.657809]	[117]	[]	[179375180]
28_11456	chr22	22929504	22929904	+	1000	36.0	[]	[]	[7.408826]	[144]	[]	[22929667]
28_11474	chr3	153221758	153222158	+	793	36.0	[7.408826]	[146]	[]	[]	[153221921]	[]
28_11475	chr3	155334700	155335100	+	956	36.0	[]	[]	[7.657809]	[166]	[]	[155334873]
28_11478	chr3	171461303	171461703	+	1000	36.0	[10.276439]	[141]	[]	[]	[171461543]	[]
28_11479	chr3	171566804	171567204	+	1000	36.0	[10.276439]	[191]	[]	[]	[171567043]	[]
28_11487	chr3	196140002	196140402	+	1000	36.0	[]	[]	[7.408826, 7.408826]	[85, 103]	[]	[196140176, 196140194]
28_11492	chr4	10200676	10201076	+	1000	36.0	[]	[]	[10.276439]	[176]	[]	[10200865]
28_11503	chr5	43772780	43773180	+	1000	36.0	[]	[]	[7.657809]	[180]	[]	[43772982]
28_11508	chr5	111530142	111530542	+	1000	36.0	[7.408826]	[197]	[]	[]	[111530351]	[]
28_11512	chr5	137995435	137995835	+	1000	36.0	[7.408826]	[134]	[]	[]	[137995651]	[]
