#PeakID(python scan_motif.py ./ENCODE_processed_files/PKNOX1_idr.fa PKNOX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
36_10099	chr7	76383018	76383418	+	890	130.5	[]	[]	[8.99568, 10.711831]	[82, 100]	[]	[76383185, 76383203]
36_101	chr5	173056981	173057381	+	1000	902.5	[8.8627205, 12.830319]	[63, 85]	[]	[]	[173057142, 173057164]	[]
36_1010	chr18	74496024	74496424	+	1000	695.5	[10.479256]	[102]	[]	[]	[74496224]	[]
36_10101	chr7	131121410	131121810	+	962	130.5	[14.492824]	[106]	[]	[]	[131121613]	[]
36_10103	chr7	151228254	151228654	+	618	130.5	[]	[]	[9.392856, 7.899369]	[85, 89]	[]	[151228418, 151228422]
36_10104	chr8	66022141	66022541	+	1000	130.5	[13.053981]	[93]	[]	[]	[66022333]	[]
36_10107	chrX	65997926	65998326	+	1000	130.5	[9.031418]	[113]	[9.912791]	[146]	[65998131]	[65998164]
36_10108	chrX	119690725	119691125	+	1000	130.5	[7.2369456, 8.614963]	[96, 152]	[]	[]	[119690914, 119690970]	[]
36_10109	chr1	16076007	16076407	+	1000	130.0	[7.899369]	[140]	[]	[]	[16076238]	[]
36_1011	chr11	16372381	16372781	+	1000	694.0	[14.492824]	[109]	[]	[]	[16372587]	[]
36_10110	chr1	22792382	22792782	+	1000	130.0	[]	[]	[7.0339932, 8.29916, 8.302331]	[85, 129, 144]	[]	[22792557, 22792601, 22792616]
36_10111	chr1	43330200	43330600	+	1000	130.0	[]	[]	[8.249451]	[107]	[]	[43330368]
36_10112	chr1	189662201	189662601	+	986	130.0	[]	[]	[14.492824]	[153]	[]	[189662411]
36_10114	chr10	42648521	42648921	+	1000	130.0	[]	[]	[8.875516]	[102]	[]	[42648716]
36_10115	chr11	58605413	58605813	+	1000	130.0	[]	[]	[7.1447124]	[139]	[]	[58605631]
36_10116	chr12	110590662	110591062	+	1000	130.0	[]	[]	[12.213435]	[88]	[]	[110590850]
36_10118	chr14	103385114	103385514	+	1000	130.0	[11.857753]	[138]	[]	[]	[103385333]	[]
36_10119	chr15	90864552	90864952	+	1000	130.0	[8.0269785]	[103]	[7.968747, 7.8240004, 9.697288]	[56, 60, 87]	[90864752]	[90864705, 90864709, 90864736]
36_1012	chr20	46199120	46199520	+	1000	693.5	[14.610782]	[98]	[]	[]	[46199315]	[]
36_10120	chr16	2673534	2673934	+	1000	130.0	[]	[]	[10.337806]	[148]	[]	[2673697]
36_10121	chr17	28872721	28873121	+	1000	130.0	[9.074489, 7.354904]	[116, 138]	[]	[]	[28872912, 28872934]	[]
36_10124	chr19	45669468	45669868	+	1000	130.0	[]	[]	[9.640319]	[110]	[]	[45669673]
36_10126	chr2	11500713	11501113	+	1000	130.0	[8.675302, 12.799472, 7.3857517]	[61, 94, 98]	[]	[]	[11500864, 11500897, 11500901]	[]
36_10128	chr2	157934884	157935284	+	1000	130.0	[9.145273]	[159]	[]	[]	[157935042]	[]
36_1013	chr6	26596757	26597157	+	1000	693.5	[]	[]	[12.290566]	[125]	[]	[26596971]
36_10132	chr3	51983011	51983411	+	1000	130.0	[10.123138]	[107]	[]	[]	[51983210]	[]
36_10133	chr3	57048090	57048490	+	1000	130.0	[8.004277]	[151]	[10.472958]	[95]	[57048339]	[57048283]
36_10134	chr3	156581948	156582348	+	1000	130.0	[14.959101]	[109]	[]	[]	[156582148]	[]
36_10137	chr5	62261565	62261965	+	1000	130.0	[7.950842, 8.726171]	[228, 232]	[]	[]	[62261803, 62261807]	[]
36_10138	chr5	137660235	137660635	+	1000	130.0	[12.290566]	[112]	[]	[]	[137660439]	[]
36_1014	chr7	143504649	143505049	+	1000	693.5	[]	[]	[10.831086]	[98]	[]	[143504846]
36_10140	chr6	17469274	17469674	+	1000	130.0	[7.2228217]	[207]	[]	[]	[17469520]	[]
36_10141	chr6	37972986	37973386	+	1000	130.0	[10.831086]	[122]	[]	[]	[37973194]	[]
36_10142	chr6	118696217	118696617	+	1000	130.0	[12.430346]	[79]	[]	[]	[118696377]	[]
36_10144	chr7	25927092	25927492	+	1000	130.0	[7.5943837]	[91]	[]	[]	[25927256]	[]
36_10146	chr8	129687437	129687837	+	1000	130.0	[9.574439]	[138]	[]	[]	[129687663]	[]
36_10147	chr8	143070901	143071301	+	1000	130.0	[7.8552356, 7.8552356]	[83, 129]	[]	[]	[143071083, 143071129]	[]
36_10148	chr9	122828469	122828869	+	1000	130.0	[10.301564]	[134]	[]	[]	[122828677]	[]
36_10149	chr9	129488592	129488992	+	1000	130.0	[7.6007266]	[189]	[]	[]	[129488763]	[]
36_1015	chr11	62889922	62890322	+	1000	693.0	[8.159381]	[99]	[]	[]	[62890118]	[]
36_10151	chr1	21341024	21341424	+	1000	129.5	[]	[]	[7.712342, 12.430346, 10.228258]	[106, 110, 139]	[]	[21341217, 21341221, 21341250]
36_10154	chr1	207817904	207818304	+	1000	129.5	[]	[]	[8.930298, 7.2369456]	[196, 223]	[]	[207818123, 207818150]
36_10157	chr11	875658	876058	+	1000	129.5	[12.082027]	[112]	[]	[]	[875851]	[]
36_10159	chr11	46543506	46543906	+	1000	129.5	[11.459053]	[126]	[8.559237]	[104]	[46543713]	[46543691]
36_1016	chr17	40827750	40828150	+	1000	693.0	[12.172607]	[91]	[]	[]	[40827941]	[]
36_10161	chr12	53675936	53676336	+	1000	129.5	[7.63498]	[169]	[]	[]	[53676158]	[]
36_10163	chr14	68844025	68844425	+	1000	129.5	[]	[]	[13.520257]	[106]	[]	[68844209]
36_10167	chr16	53865519	53865919	+	977	129.5	[8.527198]	[81]	[9.68913]	[116]	[53865698]	[53865733]
36_1017	chr5	36725005	36725405	+	1000	692.5	[]	[]	[13.296596, 7.7875047]	[99, 138]	[]	[36725203, 36725242]
36_10170	chr17	30104644	30105044	+	1000	129.5	[10.516231]	[197]	[]	[]	[30104868]	[]
36_10172	chr17	42315623	42316023	+	1000	129.5	[7.1685324, 9.256888, 9.374846]	[92, 103, 107]	[]	[]	[42315792, 42315803, 42315807]	[]
36_10174	chr17	49235333	49235733	+	1000	129.5	[14.492824]	[104]	[]	[]	[49235530]	[]
36_10178	chr19	10552514	10552914	+	1000	129.5	[]	[]	[12.91743, 8.50106]	[95, 135]	[]	[10552694, 10552734]
36_1018	chr10	118482890	118483290	+	1000	691.5	[]	[]	[7.697594]	[99]	[]	[118483085]
36_10180	chr19	40216755	40217155	+	1000	129.5	[9.943639, 7.4148836]	[160, 171]	[]	[]	[40216985, 40216996]	[]
36_10182	chr2	44941417	44941817	+	1000	129.5	[13.296596, 8.249403, 13.296596]	[96, 105, 115]	[]	[]	[44941602, 44941611, 44941621]	[]
36_10184	chr20	57423637	57424037	+	1000	129.5	[]	[]	[14.492824]	[98]	[]	[57423834]
36_10186	chr22	19477305	19477705	+	701	129.5	[13.265748]	[128]	[]	[]	[19477514]	[]
36_10187	chr22	37762541	37762941	+	1000	129.5	[11.785644]	[148]	[]	[]	[37762783]	[]
36_10188	chr22	46456068	46456468	+	1000	129.5	[]	[]	[7.601135]	[76]	[]	[46456232]
36_10189	chr3	37996740	37997140	+	1000	129.5	[]	[]	[7.099119]	[205]	[]	[37996950]
36_1019	chr5	10485101	10485501	+	1000	691.5	[13.296596]	[95]	[]	[]	[10485294]	[]
36_10190	chr3	42349862	42350262	+	1000	129.5	[]	[]	[12.017504, 8.099306]	[108, 122]	[]	[42350061, 42350075]
36_10192	chr4	143188317	143188717	+	1000	129.5	[]	[]	[13.265748, 10.337806]	[102, 114]	[]	[143188517, 143188529]
36_10193	chr4	153643333	153643733	+	1000	129.5	[]	[]	[12.830319]	[93]	[]	[153643525]
36_10194	chr5	131382528	131382928	+	1000	129.5	[]	[]	[7.730351, 10.829789]	[174, 178]	[]	[131382760, 131382764]
36_10197	chr7	156614769	156615169	+	997	129.5	[11.459053]	[106]	[]	[]	[156614969]	[]
36_102	chr12	27523853	27524253	+	1000	902.0	[10.308315]	[86]	[]	[]	[27524035]	[]
36_1020	chr9	6080162	6080562	+	1000	691.0	[]	[]	[10.479256, 9.040413, 7.1693687]	[76, 142, 168]	[]	[6080320, 6080386, 6080412]
36_10201	chr1	117758826	117759226	+	1000	129.0	[]	[]	[9.336362]	[61]	[]	[117758983]
36_10202	chr1	181036105	181036505	+	1000	129.0	[]	[]	[8.022175]	[92]	[]	[181036286]
36_10203	chr10	92574786	92575186	+	1000	129.0	[14.959101, 7.609413]	[96, 100]	[]	[]	[92574972, 92574976]	[]
36_10204	chr11	31871015	31871415	+	1000	129.0	[]	[]	[12.25192]	[103]	[]	[31871210]
36_10205	chr12	52870244	52870644	+	1000	129.0	[]	[]	[8.751872]	[124]	[]	[52870452]
36_10207	chr15	66107026	66107426	+	1000	129.0	[12.430346, 10.516231]	[83, 107]	[7.765777]	[59]	[66107208, 66107232]	[66107184]
36_10208	chr15	74869987	74870387	+	1000	129.0	[11.304902, 12.430346]	[70, 121]	[]	[]	[74870146, 74870197]	[]
36_10209	chr16	3283036	3283436	+	844	129.0	[]	[]	[11.509435, 9.310323]	[110, 169]	[]	[3283223, 3283282]
36_1021	chr20	53934304	53934704	+	1000	690.5	[]	[]	[10.354999]	[103]	[]	[53934506]
36_10210	chr17	8226534	8226934	+	1000	129.0	[11.577011]	[115]	[]	[]	[8226737]	[]
36_10211	chr17	62063904	62064304	+	1000	129.0	[12.948277]	[98]	[]	[]	[62064102]	[]
36_10212	chr17	80145661	80146061	+	1000	129.0	[]	[]	[14.492824, 7.265854]	[97, 111]	[]	[80145834, 80145848]
36_10213	chr18	496977	497377	+	1000	129.0	[12.135462, 12.948277]	[120, 124]	[]	[]	[497185, 497189]	[]
36_10214	chr19	10644765	10645165	+	1000	129.0	[]	[]	[7.12374, 12.290566]	[104, 110]	[]	[10644964, 10644970]
36_10217	chr2	172555848	172556248	+	1000	129.0	[]	[]	[7.77956]	[153]	[]	[172556074]
36_10218	chr2	208985604	208986004	+	1000	129.0	[7.981348]	[118]	[]	[]	[208985820]	[]
36_10219	chr20	363189	363589	+	1000	129.0	[10.724771, 8.003936]	[94, 141]	[]	[]	[363372, 363419]	[]
36_10220	chr22	17867371	17867771	+	1000	129.0	[12.91743]	[76]	[]	[]	[17867543]	[]
36_10221	chr22	22823704	22824104	+	659	129.0	[14.492824]	[92]	[]	[]	[22823892]	[]
36_10223	chr4	305380	305780	+	1000	129.0	[14.492824]	[129]	[]	[]	[305592]	[]
36_10225	chr4	138485506	138485906	+	1000	129.0	[12.213435]	[108]	[]	[]	[138485704]	[]
36_10229	chr6	75291375	75291775	+	1000	129.0	[13.265748, 14.959101]	[91, 129]	[]	[]	[75291559, 75291597]	[]
36_1023	chr6	43174581	43174981	+	1000	690.0	[]	[]	[13.296596]	[98]	[]	[43174766]
36_10232	chr8	142401801	142402201	+	1000	129.0	[11.459053]	[137]	[7.0456843]	[96]	[142402020]	[142401979]
36_10234	chrX	154490583	154490983	+	1000	129.0	[8.026585]	[110]	[]	[]	[154490786]	[]
36_10236	chr1	14929505	14929905	+	1000	128.5	[10.270717]	[177]	[10.347194]	[147]	[14929692]	[14929662]
36_10238	chr1	58741996	58742396	+	1000	128.5	[]	[]	[9.7766, 7.445826]	[127, 141]	[]	[58742202, 58742216]
36_10239	chr1	182795530	182795930	+	1000	128.5	[8.50926]	[159]	[8.162552]	[184]	[182795739]	[182795764]
36_1024	chr15	56887022	56887422	+	1000	689.5	[]	[]	[12.830319]	[159]	[]	[56887252]
36_10240	chr1	184491546	184491946	+	1000	128.5	[8.913801]	[81]	[8.006341]	[71]	[184491724]	[184491714]
36_10243	chr11	20089778	20090178	+	1000	128.5	[]	[]	[7.3857517]	[117]	[]	[20089970]
36_10244	chr11	34860459	34860859	+	1000	128.5	[14.959101, 10.419522]	[117, 121]	[]	[]	[34860674, 34860678]	[]
36_10247	chr12	131216962	131217362	+	1000	128.5	[9.018479, 9.761811]	[103, 107]	[7.578486]	[124]	[131217162, 131217166]	[131217183]
36_10248	chr13	113416852	113417252	+	1000	128.5	[10.270717]	[112]	[10.724771]	[141]	[113417050]	[113417079]
36_10249	chr15	67066668	67067068	+	1000	128.5	[14.959101]	[134]	[]	[]	[67066880]	[]
36_1025	chr18	23422733	23423133	+	1000	689.5	[]	[]	[8.249451]	[93]	[]	[23422900]
36_10250	chr15	75453959	75454359	+	1000	128.5	[]	[]	[7.818045]	[159]	[]	[75454143]
36_10251	chr16	57803255	57803655	+	1000	128.5	[7.824388]	[109]	[7.578486]	[84]	[57803438]	[57803413]
36_10255	chr17	48226152	48226552	+	1000	128.5	[9.018479]	[136]	[]	[]	[48226379]	[]
36_10256	chr17	58332490	58332890	+	1000	128.5	[12.91743]	[112]	[]	[]	[58332662]	[]
36_10258	chr2	170247932	170248332	+	1000	128.5	[10.262825]	[108]	[]	[]	[170248130]	[]
36_10259	chr20	461701	462101	+	1000	128.5	[]	[]	[11.200042]	[105]	[]	[461902]
36_1026	chr16	28925680	28926080	+	1000	689.0	[7.3857517]	[94]	[]	[]	[28925874]	[]
36_10260	chr20	34872803	34873203	+	1000	128.5	[10.736993]	[132]	[]	[]	[34873010]	[]
36_10261	chr20	42082561	42082961	+	1000	128.5	[7.032272]	[107]	[7.2228217]	[70]	[42082763]	[42082726]
36_10262	chr20	47541002	47541402	+	1000	128.5	[]	[]	[10.053806, 7.313423]	[89, 124]	[]	[47541175, 47541210]
36_10263	chr22	19244807	19245207	+	1000	128.5	[]	[]	[8.527198]	[178]	[]	[19245027]
36_10264	chr3	13196333	13196733	+	1000	128.5	[]	[]	[7.654458, 14.492824]	[81, 125]	[]	[13196510, 13196554]
36_10265	chr4	2433187	2433587	+	1000	128.5	[7.871874]	[96]	[7.7960186]	[152]	[2433354]	[2433410]
36_10269	chr6	41325540	41325940	+	1000	128.5	[7.159479, 8.004651]	[127, 133]	[]	[]	[41325740, 41325746]	[]
36_1027	chr19	24086828	24087228	+	1000	689.0	[]	[]	[12.799472, 11.803653]	[103, 142]	[]	[24087026, 24087065]
36_10270	chr6	83914979	83915379	+	1000	128.5	[12.290566]	[92]	[7.2138095]	[65]	[83915162]	[83915135]
36_10271	chr6	140486919	140487319	+	1000	128.5	[]	[]	[12.948277]	[126]	[]	[140487133]
36_10272	chr7	1368913	1369313	+	930	128.5	[9.07126]	[111]	[11.785644]	[97]	[1369117]	[1369103]
36_10275	chr8	11787731	11788131	+	1000	128.5	[11.577011]	[94]	[]	[]	[11787915]	[]
36_10277	chr8	124649049	124649449	+	1000	128.5	[7.6658278, 8.831873]	[189, 201]	[]	[]	[124649231, 124649243]	[]
36_10278	chr8	144326623	144327023	+	1000	128.5	[7.21051]	[141]	[7.1693687]	[151]	[144326852]	[144326862]
36_10279	chr1	1897182	1897582	+	1000	128.0	[11.785644, 7.0413136]	[158, 205]	[]	[]	[1897366, 1897413]	[]
36_1028	chr5	160353281	160353681	+	1000	689.0	[12.135462]	[99]	[14.610782]	[86]	[160353472]	[160353459]
36_10281	chr1	203325099	203325499	+	1000	128.0	[12.638885]	[95]	[]	[]	[203325283]	[]
36_10282	chr10	100373383	100373783	+	1000	128.0	[8.781398]	[325]	[10.695512]	[322]	[100373545]	[100373542]
36_10284	chr12	65182284	65182684	+	694	128.0	[]	[]	[9.561028]	[93]	[]	[65182463]
36_10286	chr13	113562905	113563305	+	1000	128.0	[]	[]	[9.657484, 9.134563, 7.59214]	[90, 98, 104]	[]	[113563088, 113563096, 113563102]
36_10287	chr14	35355963	35356363	+	1000	128.0	[8.857892, 7.540064]	[104, 146]	[]	[]	[35356149, 35356191]	[]
36_10289	chr15	51144171	51144571	+	1000	128.0	[]	[]	[8.732922]	[149]	[]	[51144386]
36_1029	chr7	64562978	64563378	+	1000	689.0	[14.492824]	[126]	[]	[]	[64563190]	[]
36_10290	chr15	51751965	51752365	+	1000	128.0	[]	[]	[9.640777]	[156]	[]	[51752196]
36_10291	chr16	4886116	4886516	+	1000	128.0	[]	[]	[9.761811, 9.263231]	[112, 116]	[]	[4886314, 4886318]
36_10293	chr17	44203689	44204089	+	1000	128.0	[10.123138]	[163]	[]	[]	[44203925]	[]
36_10294	chr17	47851741	47852141	+	1000	128.0	[]	[]	[12.799472, 7.5943837]	[91, 99]	[]	[47851917, 47851925]
36_10297	chr19	44943778	44944178	+	1000	128.0	[8.122609]	[138]	[]	[]	[44943992]	[]
36_10299	chr2	21245600	21246000	+	1000	128.0	[9.218403]	[156]	[12.290566]	[142]	[21245832]	[21245818]
36_103	chr19	4471933	4472333	+	1000	902.0	[8.667752]	[98]	[]	[]	[4472131]	[]
36_10300	chr2	55129359	55129759	+	1000	128.0	[11.459053]	[104]	[]	[]	[55129558]	[]
36_10301	chr2	97740818	97741218	+	1000	128.0	[11.350836]	[156]	[]	[]	[97741055]	[]
36_10302	chr20	654111	654511	+	1000	128.0	[]	[]	[10.76784, 10.364809]	[158, 162]	[]	[654339, 654343]
36_10306	chr3	81713021	81713421	+	1000	128.0	[7.2774377]	[154]	[]	[]	[81713202]	[]
36_10307	chr3	197520848	197521248	+	1000	128.0	[12.082027]	[120]	[]	[]	[197521021]	[]
36_10308	chr3	197752055	197752455	+	1000	128.0	[14.959101]	[96]	[7.355974]	[148]	[197752225]	[197752277]
36_1031	chr11	59171468	59171868	+	1000	687.5	[12.082027]	[91]	[]	[]	[59171659]	[]
36_10311	chr7	27071636	27072036	+	1000	128.0	[]	[]	[8.470927]	[95]	[]	[27071829]
36_10313	chr7	100226456	100226856	+	1000	128.0	[8.6082115]	[148]	[]	[]	[100226650]	[]
36_10314	chr7	132245033	132245433	+	1000	128.0	[7.1693687, 7.265854]	[73, 141]	[]	[]	[132245199, 132245267]	[]
36_10315	chr7	150960307	150960707	+	1000	128.0	[]	[]	[7.6995034, 10.270717]	[79, 83]	[]	[150960471, 150960475]
36_10317	chr8	56414884	56415284	+	1000	128.0	[14.959101]	[90]	[]	[]	[56415067]	[]
36_10319	chrX	11407350	11407750	+	895	128.0	[8.122609, 7.9442024]	[125, 129]	[]	[]	[11407560, 11407564]	[]
36_1032	chr5	56123821	56124221	+	1000	687.5	[11.382482, 7.8863187]	[92, 140]	[7.790426]	[137]	[56123999, 56124047]	[56124044]
36_10321	chr1	109075719	109076119	+	1000	127.5	[]	[]	[9.4543295]	[198]	[]	[109075910]
36_10324	chr10	70233659	70234059	+	1000	127.5	[7.2408113]	[164]	[]	[]	[70233871]	[]
36_10325	chr10	71648039	71648439	+	1000	127.5	[]	[]	[7.826244]	[146]	[]	[71648251]
36_10327	chr13	18921000	18921400	+	1000	127.5	[8.245836]	[150]	[]	[]	[18921220]	[]
36_10328	chr15	36347459	36347859	+	871	127.5	[7.8048544]	[67]	[12.430346, 9.738114]	[81, 135]	[36347625]	[36347639, 36347693]
36_10329	chr15	40301609	40302009	+	1000	127.5	[8.50106]	[141]	[7.2408113]	[115]	[40301826]	[40301800]
36_1033	chr11	64185726	64186126	+	1000	687.0	[8.444549]	[85]	[]	[]	[64185902]	[]
36_10330	chr15	88614484	88614884	+	1000	127.5	[8.6082115]	[112]	[]	[]	[88614688]	[]
36_10332	chr16	85302333	85302733	+	1000	127.5	[7.867675]	[166]	[]	[]	[85302566]	[]
36_10333	chr17	8138801	8139201	+	781	127.5	[]	[]	[10.76784]	[107]	[]	[8138994]
36_10335	chr18	3162300	3162700	+	1000	127.5	[12.290566]	[94]	[]	[]	[3162493]	[]
36_10336	chr19	29810312	29810712	+	1000	127.5	[]	[]	[10.270717]	[228]	[]	[29810530]
36_10337	chr19	48835617	48836017	+	1000	127.5	[]	[]	[13.053981]	[79]	[]	[48835794]
36_10339	chr19	54353910	54354310	+	1000	127.5	[]	[]	[12.638885]	[105]	[]	[54354114]
36_1034	chr2	74198327	74198727	+	1000	687.0	[7.7372775]	[125]	[]	[]	[74198545]	[]
36_10342	chr20	56468405	56468805	+	1000	127.5	[8.004651]	[178]	[]	[]	[56468649]	[]
