#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2C2_idr.fa NR2C2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
151_10353	chr1	23169948	23170348	+	1000	103.0	[]	[]	[9.443364]	[152]	[]	[23170187]
151_10354	chr1	23790068	23790468	+	1000	103.0	[9.164563]	[146]	[]	[]	[23790277]	[]
151_10356	chr1	27867205	27867605	+	1000	103.0	[]	[]	[9.443364]	[124]	[]	[27867405]
151_10360	chr1	40377494	40377894	+	1000	103.0	[9.164563, 9.164563]	[89, 112]	[]	[]	[40377677, 40377700]	[]
151_10363	chr1	53075767	53076167	+	1000	103.0	[9.443364, 7.9852743]	[123, 130]	[]	[]	[53075970, 53075977]	[]
151_10366	chr1	200409871	200410271	+	1000	103.0	[]	[]	[7.7064734]	[134]	[]	[200410072]
151_10370	chr1	223153296	223153696	+	1000	103.0	[9.164563]	[141]	[]	[]	[223153526]	[]
151_10372	chr1	232938008	232938408	+	1000	103.0	[9.443364, 9.164563]	[145, 153]	[]	[]	[232938245, 232938253]	[]
151_10375	chr10	74051946	74052346	+	1000	103.0	[]	[]	[9.443364]	[140]	[]	[74052141]
151_10378	chr11	3058741	3059141	+	1000	103.0	[9.443364]	[145]	[]	[]	[3058982]	[]
151_1038	chr17	13941187	13941587	+	1000	502.0	[9.443364]	[93]	[]	[]	[13941376]	[]
151_10381	chr11	65506951	65507351	+	1000	103.0	[9.164563]	[157]	[]	[]	[65507139]	[]
151_10385	chr12	7058423	7058823	+	1000	103.0	[]	[]	[9.164563]	[136]	[]	[7058622]
151_10387	chr12	49623268	49623668	+	1000	103.0	[]	[]	[7.7064734]	[144]	[]	[49623489]
151_10392	chr12	120534156	120534556	+	1000	103.0	[7.9852743]	[136]	[]	[]	[120534388]	[]
151_10399	chr15	43133243	43133643	+	1000	103.0	[9.443364]	[171]	[7.7064734]	[161]	[43133423]	[43133413]
151_1040	chr5	123511996	123512396	+	1000	502.0	[]	[]	[9.443364]	[142]	[]	[123512233]
151_10400	chr15	56203351	56203751	+	1000	103.0	[9.443364, 9.443364]	[139, 156]	[]	[]	[56203585, 56203602]	[]
151_10402	chr15	66233507	66233907	+	1000	103.0	[]	[]	[9.164563, 9.164563]	[146, 170]	[]	[66233719, 66233743]
151_10405	chr16	27243100	27243500	+	1000	103.0	[9.443364]	[112]	[9.164563]	[128]	[27243309]	[27243325]
151_10414	chr17	50865371	50865771	+	1000	103.0	[7.9852743, 9.164563]	[174, 187]	[]	[]	[50865594, 50865607]	[]
151_10415	chr17	59844302	59844702	+	1000	103.0	[9.443364]	[138]	[]	[]	[59844456]	[]
151_1042	chr10	30349054	30349454	+	1000	501.0	[9.164563]	[97]	[]	[]	[30349245]	[]
151_10424	chr19	12883521	12883921	+	1000	103.0	[9.443364]	[139]	[]	[]	[12883744]	[]
151_10429	chr19	51031583	51031983	+	1000	103.0	[]	[]	[9.164563, 7.9852743]	[92, 130]	[]	[51031769, 51031807]
151_1043	chr18	9475175	9475575	+	1000	501.0	[7.9852743]	[139]	[]	[]	[9475413]	[]
151_10432	chr2	73232858	73233258	+	1000	103.0	[]	[]	[9.164563]	[76]	[]	[73233010]
151_10435	chr2	106115306	106115706	+	1000	103.0	[9.443364]	[148]	[]	[]	[106115544]	[]
151_10438	chr2	169824803	169825203	+	1000	103.0	[]	[]	[9.164563]	[160]	[]	[169825046]
151_10441	chr2	218397921	218398321	+	1000	103.0	[9.164563]	[178]	[]	[]	[218398135]	[]
151_10444	chr20	50437771	50438171	+	1000	103.0	[9.443364, 9.443364]	[107, 124]	[]	[]	[50437956, 50437973]	[]
151_10445	chr20	50482487	50482887	+	1000	103.0	[9.443364]	[94]	[]	[]	[50482674]	[]
151_10446	chr22	22594000	22594400	+	1000	103.0	[]	[]	[9.164563]	[179]	[]	[22594218]
151_10447	chr22	31089088	31089488	+	1000	103.0	[9.443364]	[92]	[]	[]	[31089277]	[]
151_10452	chr3	43736498	43736898	+	1000	103.0	[]	[]	[9.443364]	[144]	[]	[43736727]
151_10455	chr3	80402065	80402465	+	1000	103.0	[9.164563, 9.164563]	[69, 76]	[]	[]	[80402230, 80402237]	[]
151_10456	chr3	142850274	142850674	+	1000	103.0	[9.443364]	[117]	[]	[]	[142850480]	[]
151_10461	chr5	27472874	27473274	+	1000	103.0	[]	[]	[9.443364]	[105]	[]	[27473062]
151_10462	chr5	87268420	87268820	+	1000	103.0	[9.164563]	[180]	[]	[]	[87268653]	[]
151_10468	chr6	15904673	15905073	+	1000	103.0	[9.443364]	[159]	[]	[]	[15904901]	[]
151_10469	chr6	26312943	26313343	+	1000	103.0	[]	[]	[7.9852743]	[195]	[]	[26313148]
151_10471	chr6	26331195	26331595	+	1000	103.0	[]	[]	[9.164563]	[153]	[]	[26331444]
151_10473	chr6	31813969	31814369	+	1000	103.0	[9.164563]	[158]	[]	[]	[31814192]	[]
151_10475	chr6	99426756	99427156	+	1000	103.0	[9.164563, 7.9852743]	[138, 145]	[]	[]	[99426977, 99426984]	[]
151_10477	chr6	108848124	108848524	+	1000	103.0	[]	[]	[9.443364]	[167]	[]	[108848319]
151_10479	chr6	135147689	135148089	+	1000	103.0	[9.164563]	[140]	[]	[]	[135147883]	[]
151_10490	chr8	1764362	1764762	+	1000	103.0	[9.164563]	[148]	[]	[]	[1764607]	[]
151_10493	chr8	37909875	37910275	+	1000	103.0	[9.164563]	[215]	[9.164563]	[146]	[37910102]	[37910033]
151_10499	chr9	5849858	5850258	+	1000	103.0	[9.443364]	[130]	[]	[]	[5850067]	[]
151_10505	chr9	133166401	133166801	+	1000	103.0	[9.443364, 9.443364, 7.7064734]	[89, 117, 164]	[]	[]	[133166568, 133166596, 133166643]	[]
151_10514	chr1	17472782	17473182	+	1000	102.0	[]	[]	[9.443364]	[157]	[]	[17473015]
151_10524	chr1	107056434	107056834	+	1000	102.0	[]	[]	[7.7064734]	[84]	[]	[107056600]
151_10525	chr1	118947823	118948223	+	1000	102.0	[9.443364]	[118]	[]	[]	[118947995]	[]
151_10528	chr1	167825383	167825783	+	1000	102.0	[9.443364]	[112]	[]	[]	[167825557]	[]
151_10532	chr1	219416514	219416914	+	1000	102.0	[9.443364]	[135]	[]	[]	[219416714]	[]
151_10533	chr1	231065773	231066173	+	1000	102.0	[]	[]	[9.164563]	[182]	[]	[231066024]
151_10535	chr10	3074158	3074558	+	1000	102.0	[]	[]	[9.443364, 9.443364]	[97, 102]	[]	[3074348, 3074353]
151_10537	chr10	17454420	17454820	+	1000	102.0	[9.164563]	[104]	[]	[]	[17454613]	[]
151_10539	chr10	68471812	68472212	+	1000	102.0	[]	[]	[9.443364]	[94]	[]	[68471998]
151_1054	chr3	49411498	49411898	+	1000	498.0	[9.443364, 9.164563]	[85, 92]	[]	[]	[49411674, 49411681]	[]
151_10550	chr12	47356172	47356572	+	1000	102.0	[9.443364]	[119]	[]	[]	[47356391]	[]
151_10553	chr14	102524527	102524927	+	1000	102.0	[]	[]	[7.7064734]	[184]	[]	[102524750]
151_10568	chr17	50151382	50151782	+	1000	102.0	[]	[]	[9.443364]	[172]	[]	[50151631]
151_10575	chr19	19866588	19866988	+	1000	102.0	[]	[]	[9.443364]	[144]	[]	[19866827]
151_10578	chr19	48753791	48754191	+	1000	102.0	[9.443364]	[101]	[]	[]	[48753968]	[]
151_10587	chr2	131492562	131492962	+	1000	102.0	[7.7064734]	[159]	[]	[]	[131492770]	[]
151_10591	chr20	17910810	17911210	+	1000	102.0	[]	[]	[9.164563]	[146]	[]	[17911031]
151_10603	chr22	42519801	42520201	+	1000	102.0	[]	[]	[9.164563]	[105]	[]	[42519970]
151_10607	chr3	39317582	39317982	+	1000	102.0	[]	[]	[9.443364]	[132]	[]	[39317804]
151_1062	chr11	32473294	32473694	+	1000	495.0	[]	[]	[9.443364]	[80]	[]	[32473472]
151_10621	chr5	149445785	149446185	+	1000	102.0	[9.443364]	[130]	[]	[]	[149446007]	[]
151_10624	chr6	5541962	5542362	+	1000	102.0	[]	[]	[9.443364, 9.443364]	[98, 127]	[]	[5542136, 5542165]
151_10625	chr6	12594264	12594664	+	1000	102.0	[9.443364]	[100]	[]	[]	[12594453]	[]
151_10629	chr6	30842032	30842432	+	949	102.0	[9.443364]	[131]	[]	[]	[30842224]	[]
151_1063	chr17	41688626	41689026	+	1000	495.0	[9.164563]	[88]	[]	[]	[41688812]	[]
151_10631	chr6	44223656	44224056	+	1000	102.0	[]	[]	[9.443364]	[181]	[]	[44223907]
151_10636	chr6	157813725	157814125	+	1000	102.0	[9.443364]	[95]	[]	[]	[157813916]	[]
151_10638	chr7	131325413	131325813	+	1000	102.0	[9.443364]	[132]	[]	[]	[131325625]	[]
151_10643	chr9	38229564	38229964	+	1000	102.0	[9.443364, 9.443364]	[133, 176]	[]	[]	[38229757, 38229800]	[]
151_10648	chr9	129258183	129258583	+	1000	102.0	[7.7064734]	[168]	[]	[]	[129258431]	[]
151_1065	chr1	66930158	66930558	+	1000	494.0	[]	[]	[9.164563, 9.164563]	[97, 125]	[]	[66930343, 66930371]
151_10650	chr9	134459235	134459635	+	1000	102.0	[9.443364, 9.164563]	[112, 146]	[]	[]	[134459429, 134459463]	[]
151_10653	chr1	6235430	6235830	+	1000	101.0	[]	[]	[7.9852743]	[141]	[]	[6235584]
151_10655	chr1	27488663	27489063	+	1000	101.0	[]	[]	[7.9852743]	[112]	[]	[27488862]
151_10657	chr1	32612072	32612472	+	1000	101.0	[]	[]	[9.443364]	[132]	[]	[32612266]
151_10658	chr1	38265510	38265910	+	1000	101.0	[]	[]	[9.164563]	[132]	[]	[38265670]
151_10660	chr1	75707285	75707685	+	1000	101.0	[]	[]	[9.443364]	[124]	[]	[75707494]
151_10661	chr1	95203925	95204325	+	1000	101.0	[]	[]	[9.164563]	[59]	[]	[95204077]
151_10662	chr1	100130568	100130968	+	1000	101.0	[9.443364]	[81]	[]	[]	[100130745]	[]
151_10665	chr1	161115072	161115472	+	1000	101.0	[]	[]	[9.443364]	[199]	[]	[161115291]
151_10675	chr11	1309394	1309794	+	1000	101.0	[]	[]	[7.9852743]	[63]	[]	[1309549]
151_10676	chr11	5277895	5278295	+	1000	101.0	[9.164563]	[70]	[]	[]	[5278051]	[]
151_10677	chr11	10735636	10736036	+	1000	101.0	[9.443364]	[135]	[]	[]	[10735870]	[]
151_10680	chr11	35343051	35343451	+	1000	101.0	[]	[]	[9.443364]	[170]	[]	[35343283]
151_10681	chr11	36420877	36421277	+	1000	101.0	[9.443364]	[96]	[]	[]	[36421053]	[]
151_10682	chr11	62462093	62462493	+	1000	101.0	[]	[]	[9.443364]	[62]	[]	[62462246]
151_10684	chr11	66568480	66568880	+	1000	101.0	[]	[]	[9.443364]	[136]	[]	[66568714]
151_10692	chr12	104494140	104494540	+	1000	101.0	[]	[]	[9.164563]	[92]	[]	[104494301]
151_10697	chr14	74945245	74945645	+	1000	101.0	[9.164563, 9.164563]	[116, 128]	[]	[]	[74945457, 74945469]	[]
151_10700	chr15	34515012	34515412	+	1000	101.0	[]	[]	[9.164563, 7.7064734]	[111, 131]	[]	[34515199, 34515219]
151_10711	chr16	51048449	51048849	+	1000	101.0	[9.443364]	[156]	[]	[]	[51048689]	[]
151_10720	chr17	75771292	75771692	+	1000	101.0	[]	[]	[9.443364, 9.164563]	[121, 128]	[]	[75771505, 75771512]
151_10721	chr17	75970138	75970538	+	1000	101.0	[]	[]	[7.9852743]	[132]	[]	[75970315]
151_10727	chr19	4870171	4870571	+	1000	101.0	[9.443364]	[128]	[]	[]	[4870353]	[]
151_1073	chr2	71388144	71388544	+	1000	493.0	[]	[]	[7.9852743, 7.9852743, 7.9852743, 9.443364, 9.443364, 7.9852743, 9.443364]	[58, 73, 88, 103, 118, 133, 148]	[]	[71388299, 71388314, 71388329, 71388344, 71388359, 71388374, 71388389]
151_10731	chr19	13151500	13151900	+	1000	101.0	[7.7064734]	[206]	[]	[]	[13151749]	[]
151_10732	chr19	16895786	16896186	+	1000	101.0	[]	[]	[9.164563]	[189]	[]	[16896031]
151_10735	chr19	21134996	21135396	+	588	101.0	[9.443364]	[130]	[]	[]	[21135210]	[]
151_10736	chr19	21602882	21603282	+	1000	101.0	[9.443364]	[99]	[]	[]	[21603044]	[]
151_10737	chr19	39409446	39409846	+	1000	101.0	[]	[]	[9.164563]	[118]	[]	[39409652]
151_1074	chr5	68423201	68423601	+	1000	493.0	[9.443364]	[100]	[9.443364]	[150]	[68423393]	[68423443]
151_10740	chr19	48398530	48398930	+	1000	101.0	[]	[]	[7.9852743]	[91]	[]	[48398704]
151_10743	chr2	47175861	47176261	+	1000	101.0	[]	[]	[9.443364]	[184]	[]	[47176065]
151_10744	chr2	66465213	66465613	+	1000	101.0	[]	[]	[9.443364]	[94]	[]	[66465391]
151_10753	chr20	50470456	50470856	+	1000	101.0	[9.443364]	[132]	[]	[]	[50470683]	[]
151_10754	chr20	57560549	57560949	+	1000	101.0	[]	[]	[9.164563]	[154]	[]	[57560788]
151_10757	chr22	49808001	49808401	+	1000	101.0	[]	[]	[9.443364]	[82]	[]	[49808159]
151_10763	chr4	8594360	8594760	+	1000	101.0	[]	[]	[9.443364, 9.164563]	[83, 106]	[]	[8594514, 8594537]
151_10764	chr4	121823738	121824138	+	1000	101.0	[7.7064734]	[164]	[]	[]	[121823977]	[]
151_10771	chr6	13668573	13668973	+	1000	101.0	[]	[]	[9.443364]	[176]	[]	[13668806]
151_10772	chr6	26206302	26206702	+	1000	101.0	[7.7064734, 9.443364]	[150, 164]	[]	[]	[26206524, 26206538]	[]
151_10776	chr6	69813524	69813924	+	1000	101.0	[9.443364]	[125]	[]	[]	[69813744]	[]
151_1078	chr3	6490533	6490933	+	1000	491.0	[]	[]	[9.164563]	[83]	[]	[6490716]
151_10784	chr7	73664998	73665398	+	1000	101.0	[]	[]	[9.443364]	[115]	[]	[73665204]
151_10787	chr7	101126619	101127019	+	1000	101.0	[9.164563, 9.443364]	[74, 146]	[]	[]	[101126771, 101126843]	[]
151_10791	chr7	131238304	131238704	+	913	101.0	[9.443364]	[80]	[]	[]	[131238477]	[]
151_10794	chr8	27322686	27323086	+	748	101.0	[]	[]	[9.443364]	[178]	[]	[27322928]
151_10795	chr8	58856010	58856410	+	1000	101.0	[9.443364]	[125]	[]	[]	[58856196]	[]
151_10798	chr8	99637374	99637774	+	1000	101.0	[]	[]	[9.443364]	[89]	[]	[99637550]
151_10801	chr9	69035730	69036130	+	1000	101.0	[]	[]	[7.9852743]	[116]	[]	[69035925]
151_10802	chr9	77820115	77820515	+	1000	101.0	[]	[]	[9.443364]	[183]	[]	[77820358]
151_10803	chr9	129587839	129588239	+	1000	101.0	[]	[]	[9.164563]	[97]	[]	[129588025]
151_10806	chrX	149848715	149849115	+	1000	101.0	[9.164563]	[143]	[]	[]	[149848924]	[]
151_10809	chr1	19504820	19505220	+	1000	100.0	[]	[]	[9.164563]	[123]	[]	[19505030]
151_1081	chr6	33204620	33205020	+	1000	491.0	[]	[]	[9.443364, 9.443364]	[95, 135]	[]	[33204800, 33204840]
151_10810	chr1	28247332	28247732	+	1000	100.0	[9.164563]	[89]	[]	[]	[28247517]	[]
151_10813	chr1	58546492	58546892	+	1000	100.0	[]	[]	[7.9852743]	[148]	[]	[58546737]
151_10815	chr1	95122259	95122659	+	1000	100.0	[]	[]	[7.9852743, 9.443364, 9.164563]	[110, 132, 137]	[]	[95122453, 95122475, 95122480]
151_10818	chr1	111025104	111025504	+	1000	100.0	[9.443364]	[89]	[]	[]	[111025291]	[]
151_10820	chr1	145465488	145465888	+	1000	100.0	[9.164563]	[149]	[]	[]	[145465693]	[]
151_10822	chr1	156282060	156282460	+	1000	100.0	[]	[]	[9.164563]	[139]	[]	[156282281]
151_10826	chr1	202808303	202808703	+	1000	100.0	[]	[]	[7.7064734]	[144]	[]	[202808537]
151_10828	chr1	212793617	212794017	+	1000	100.0	[9.443364]	[144]	[]	[]	[212793845]	[]
151_10832	chr11	46597625	46598025	+	1000	100.0	[]	[]	[9.164563]	[104]	[]	[46597816]
151_10837	chr11	75342900	75343300	+	1000	100.0	[]	[]	[9.443364]	[147]	[]	[75343142]
151_10844	chr12	50924465	50924865	+	1000	100.0	[9.443364]	[139]	[]	[]	[50924667]	[]
