#PeakID(python identify_motif.py ./ENCODE_processed_files/RUNX1_idr.fa RUNX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
39_1043	chr1	223788924	223789324	+	1000	74.0	[]	[]	[8.017088]	[112]	[]	[223789096]
39_10435	chr6	36444023	36444423	+	1000	39.0	[]	[]	[10.586677]	[111]	[]	[36444225]
39_10436	chr6	36599780	36600180	+	1000	39.0	[7.3683157]	[119]	[7.3683157]	[166]	[36599972]	[36600019]
39_1044	chr11	34105345	34105745	+	1000	74.0	[]	[]	[8.502309]	[120]	[]	[34105496]
39_1045	chr11	65498857	65499257	+	1000	74.0	[]	[]	[8.502309]	[159]	[]	[65499103]
39_10454	chr6	146770988	146771388	+	1000	39.0	[12.064187, 8.017088]	[97, 156]	[]	[]	[146771151, 146771210]	[]
39_10459	chr6	157980865	157981265	+	1000	39.0	[]	[]	[8.892592]	[119]	[]	[157981067]
39_10468	chr7	4738689	4739089	+	1000	39.0	[8.260495]	[104]	[]	[]	[4738869]	[]
39_10469	chr7	5822891	5823291	+	1000	39.0	[10.370103]	[113]	[]	[]	[5823081]	[]
39_10472	chr7	22433848	22434248	+	1000	39.0	[]	[]	[7.151105]	[142]	[]	[22434057]
39_10474	chr7	38341251	38341651	+	1000	39.0	[7.2151175]	[89]	[]	[]	[38341438]	[]
39_10475	chr7	50355673	50356073	+	1000	39.0	[]	[]	[8.892592, 7.2151175]	[85, 136]	[]	[50355841, 50355892]
39_10476	chr7	66996659	66997059	+	1000	39.0	[]	[]	[8.260495]	[102]	[]	[66996850]
39_10482	chr7	75642873	75643273	+	1000	39.0	[8.044104]	[155]	[10.586677]	[147]	[75643118]	[75643110]
39_1050	chr16	84952718	84953118	+	1000	74.0	[8.892592]	[124]	[]	[]	[84952929]	[]
39_10503	chr7	131110645	131111045	+	1000	39.0	[]	[]	[8.329008]	[110]	[]	[131110827]
39_10518	chr8	22561828	22562228	+	1000	39.0	[]	[]	[10.586677]	[88]	[]	[22562009]
39_10524	chr8	37762259	37762659	+	1000	39.0	[]	[]	[8.044104]	[90]	[]	[37762443]
39_10530	chr8	60807786	60808186	+	1000	39.0	[12.064187]	[132]	[]	[]	[60807962]	[]
39_10531	chr8	94553528	94553928	+	1000	39.0	[7.397283]	[98]	[]	[]	[94553698]	[]
39_10537	chr8	143379579	143379979	+	1000	39.0	[]	[]	[7.2151175]	[175]	[]	[143379811]
39_10544	chr9	37485835	37486235	+	1000	39.0	[10.370103, 7.151105]	[75, 99]	[]	[]	[37485999, 37486023]	[]
39_10554	chr9	127555984	127556384	+	1000	39.0	[]	[]	[8.892592]	[184]	[]	[127556232]
39_10557	chr9	128148973	128149373	+	1000	39.0	[]	[]	[8.260495]	[135]	[]	[128149191]
39_10560	chr9	129803695	129804095	+	1000	39.0	[7.2151175]	[194]	[]	[]	[129803946]	[]
39_10571	chr9	136342747	136343147	+	1000	39.0	[8.260495]	[86]	[8.017088]	[150]	[136342928]	[136342992]
39_10574	chr9	137236452	137236852	+	1000	39.0	[8.017088]	[152]	[]	[]	[137236679]	[]
39_10578	chrX	46545202	46545602	+	1000	39.0	[]	[]	[8.044104]	[118]	[]	[46545390]
39_10580	chrX	48597847	48598247	+	1000	39.0	[7.2151175, 8.329008]	[79, 149]	[]	[]	[48598007, 48598077]	[]
39_10582	chrX	130165975	130166375	+	1000	39.0	[7.3683157]	[130]	[]	[]	[130166142]	[]
39_10587	chr1	7975202	7975602	+	1000	38.0	[]	[]	[8.909202]	[150]	[]	[7975444]
39_10588	chr1	7982351	7982751	+	1000	38.0	[]	[]	[10.370103]	[231]	[]	[7982597]
39_10596	chr1	15948289	15948689	+	1000	38.0	[7.7944894]	[318]	[]	[]	[15948519]	[]
39_10613	chr1	27395385	27395785	+	1000	38.0	[]	[]	[7.7944894]	[147]	[]	[27395622]
39_10617	chr1	31705143	31705543	+	1000	38.0	[10.586677]	[149]	[7.7944894]	[119]	[31705373]	[31705343]
39_10619	chr1	31928753	31929153	+	1000	38.0	[8.260495]	[143]	[]	[]	[31928975]	[]
39_10620	chr1	31937317	31937717	+	1000	38.0	[]	[]	[8.909202, 8.909202]	[78, 153]	[]	[31937487, 31937562]
39_10627	chr1	37689531	37689931	+	1000	38.0	[]	[]	[8.502309]	[162]	[]	[37689711]
39_1063	chr22	23217932	23218332	+	1000	74.0	[7.7944894]	[136]	[]	[]	[23218159]	[]
39_10638	chr1	45340941	45341341	+	1000	38.0	[8.892592]	[161]	[]	[]	[45341160]	[]
39_10645	chr1	63367661	63368061	+	1000	38.0	[9.738007]	[104]	[]	[]	[63367855]	[]
39_10650	chr1	101071357	101071757	+	1000	38.0	[]	[]	[8.329008]	[107]	[]	[101071555]
39_10653	chr1	111747268	111747668	+	1000	38.0	[7.397283]	[184]	[]	[]	[111747511]	[]
39_10661	chr1	117613932	117614332	+	1000	38.0	[8.017088, 8.892592]	[74, 105]	[]	[]	[117614092, 117614123]	[]
39_1067	chr3	194572331	194572731	+	1000	74.0	[10.586677]	[155]	[]	[]	[194572578]	[]
39_10689	chr1	183567509	183567909	+	1000	38.0	[10.586677]	[99]	[]	[]	[183567703]	[]
39_10699	chr1	208210158	208210558	+	1000	38.0	[]	[]	[8.892592]	[91]	[]	[208210343]
39_107	chr3	15052663	15053063	+	1000	168.0	[]	[]	[8.329008, 7.2151175, 8.260495]	[90, 132, 145]	[]	[15052840, 15052882, 15052895]
39_10714	chr1	234613206	234613606	+	966	38.0	[7.748347]	[167]	[]	[]	[234613387]	[]
39_10716	chr1	235068270	235068670	+	1000	38.0	[10.586677]	[97]	[8.017088]	[130]	[235068444]	[235068477]
39_10717	chr1	243421816	243422216	+	1000	38.0	[]	[]	[10.370103]	[142]	[]	[243422038]
39_10724	chr10	12195905	12196305	+	1000	38.0	[]	[]	[7.3683157]	[223]	[]	[12196148]
39_10729	chr10	43606277	43606677	+	1000	38.0	[10.586677]	[153]	[]	[]	[43606493]	[]
39_10730	chr10	44932677	44933077	+	1000	38.0	[]	[]	[8.329008]	[92]	[]	[44932847]
39_10736	chr10	70331872	70332272	+	1000	38.0	[]	[]	[8.044104]	[152]	[]	[70332053]
39_10740	chr10	73110267	73110667	+	1000	38.0	[7.2151175]	[129]	[]	[]	[73110449]	[]
39_10747	chr10	79196809	79197209	+	1000	38.0	[]	[]	[7.151105]	[107]	[]	[79196972]
39_10755	chr11	450844	451244	+	1000	38.0	[12.064187]	[114]	[]	[]	[451053]	[]
39_10767	chr11	46379416	46379816	+	1000	38.0	[]	[]	[7.3683157]	[150]	[]	[46379606]
39_10768	chr11	58578516	58578916	+	1000	38.0	[8.909202]	[147]	[]	[]	[58578693]	[]
39_10774	chr11	62598999	62599399	+	1000	38.0	[]	[]	[7.3683157]	[156]	[]	[62599231]
39_10775	chr11	64230351	64230751	+	1000	38.0	[8.892592]	[155]	[]	[]	[64230542]	[]
39_10779	chr11	65421187	65421587	+	1000	38.0	[]	[]	[7.151105]	[134]	[]	[65421395]
39_1078	chr7	157404949	157405349	+	1000	74.0	[7.2151175]	[127]	[]	[]	[157405176]	[]
39_10782	chr11	69443312	69443712	+	1000	38.0	[]	[]	[8.892592]	[158]	[]	[69443485]
39_10783	chr11	71994758	71995158	+	1000	38.0	[]	[]	[10.370103]	[157]	[]	[71994970]
39_10790	chr11	112074148	112074548	+	1000	38.0	[8.017088]	[126]	[7.397283]	[71]	[112074366]	[112074311]
39_10795	chr11	118930221	118930621	+	1000	38.0	[9.738007]	[105]	[]	[]	[118930381]	[]
39_10799	chr12	49069375	49069775	+	1000	38.0	[]	[]	[7.7944894]	[210]	[]	[49069622]
39_10803	chr12	53808979	53809379	+	1000	38.0	[]	[]	[8.909202, 10.586677]	[185, 224]	[]	[53809188, 53809227]
39_10816	chr12	108803471	108803871	+	1000	38.0	[]	[]	[12.064187]	[71]	[]	[108803634]
39_1082	chr9	37800541	37800941	+	1000	74.0	[7.7944894]	[144]	[]	[]	[37800766]	[]
39_10826	chr12	132494212	132494612	+	1000	38.0	[]	[]	[8.892592]	[111]	[]	[132494416]
39_10828	chr13	45340389	45340789	+	1000	38.0	[]	[]	[8.044104]	[151]	[]	[45340635]
39_10836	chr14	22556334	22556734	+	1000	38.0	[]	[]	[10.370103]	[135]	[]	[22556512]
39_10840	chr14	69767693	69768093	+	1000	38.0	[8.502309]	[174]	[]	[]	[69767917]	[]
39_10846	chr15	40564995	40565395	+	1000	38.0	[7.748347]	[123]	[]	[]	[40565181]	[]
39_10855	chr15	63048219	63048619	+	1000	38.0	[8.502309]	[83]	[]	[]	[63048380]	[]
39_10866	chr15	88904703	88905103	+	1000	38.0	[10.370103]	[188]	[]	[]	[88904938]	[]
39_10878	chr16	4271232	4271632	+	1000	38.0	[]	[]	[8.892592]	[141]	[]	[4271408]
39_10894	chr16	67719346	67719746	+	1000	38.0	[9.738007]	[126]	[]	[]	[67719566]	[]
39_1090	chr1	24322229	24322629	+	1000	73.0	[12.064187, 10.586677]	[94, 102]	[]	[]	[24322414, 24322422]	[]
39_10900	chr16	84014255	84014655	+	1000	38.0	[8.892592]	[141]	[8.892592, 10.370103]	[144, 198]	[84014423]	[84014426, 84014480]
39_10906	chr16	85614897	85615297	+	1000	38.0	[8.017088]	[209]	[]	[]	[85615135]	[]
39_10908	chr16	88333017	88333417	+	1000	38.0	[10.586677]	[116]	[]	[]	[88333226]	[]
39_10909	chr16	88464955	88465355	+	1000	38.0	[]	[]	[12.064187]	[97]	[]	[88465126]
39_10927	chr17	42023532	42023932	+	1000	38.0	[10.370103]	[119]	[]	[]	[42023716]	[]
39_10928	chr17	42101508	42101908	+	1000	38.0	[]	[]	[8.260495]	[63]	[]	[42101665]
39_10933	chr17	44523112	44523512	+	1000	38.0	[7.7944894]	[206]	[]	[]	[44523357]	[]
39_10943	chr17	56910245	56910645	+	1000	38.0	[8.260495]	[115]	[]	[]	[56910436]	[]
39_10945	chr17	60392307	60392707	+	1000	38.0	[7.2151175]	[153]	[8.260495]	[102]	[60392548]	[60392497]
39_10949	chr17	75012437	75012837	+	1000	38.0	[]	[]	[7.3683157]	[80]	[]	[75012609]
39_10954	chr17	79802888	79803288	+	1000	38.0	[]	[]	[8.502309]	[65]	[]	[79803041]
39_10955	chr17	81285514	81285914	+	1000	38.0	[7.2151175]	[128]	[]	[]	[81285712]	[]
39_10957	chr17	81821791	81822191	+	1000	38.0	[7.748347]	[138]	[]	[]	[81821971]	[]
39_10970	chr18	48896771	48897171	+	1000	38.0	[12.064187]	[114]	[]	[]	[48896965]	[]
39_1098	chr11	72815072	72815472	+	1000	73.0	[12.064187]	[112]	[12.064187]	[127]	[72815269]	[72815284]
39_10993	chr19	13051575	13051975	+	1000	38.0	[]	[]	[8.017088]	[164]	[]	[13051813]
39_11	chrM	7026	7426	+	1000	553.0	[]	[]	[8.329008]	[128]	[]	[7244]
39_1100	chr11	124276111	124276511	+	1000	73.0	[]	[]	[8.502309, 8.044104]	[109, 150]	[]	[124276304, 124276345]
39_11025	chr19	47497346	47497746	+	1000	38.0	[8.892592]	[139]	[]	[]	[47497576]	[]
39_11027	chr19	48255788	48256188	+	1000	38.0	[8.260495, 8.260495]	[107, 153]	[]	[]	[48255974, 48256020]	[]
39_11038	chr19	58451353	58451753	+	1000	38.0	[]	[]	[12.064187]	[80]	[]	[58451532]
39_11039	chr19	58509751	58510151	+	1000	38.0	[8.892592]	[150]	[12.064187]	[135]	[58509929]	[58509914]
39_11066	chr2	118722204	118722604	+	1000	38.0	[9.738007]	[168]	[]	[]	[118722440]	[]
39_11071	chr2	144659681	144660081	+	1000	38.0	[7.2151175]	[154]	[]	[]	[144659875]	[]
39_11077	chr2	171522291	171522691	+	1000	38.0	[8.892592]	[201]	[]	[]	[171522513]	[]
39_11084	chr2	189506577	189506977	+	1000	38.0	[]	[]	[7.3683157]	[74]	[]	[189506751]
39_11087	chr2	230010518	230010918	+	1000	38.0	[]	[]	[9.738007]	[76]	[]	[230010688]
39_11088	chr2	231713851	231714251	+	1000	38.0	[7.3683157]	[144]	[]	[]	[231714040]	[]
39_1110	chr22	20285667	20286067	+	1000	73.0	[8.892592]	[155]	[8.892592]	[116]	[20285890]	[20285851]
39_11111	chr22	19066747	19067147	+	1000	38.0	[8.260495]	[204]	[8.329008]	[171]	[19066979]	[19066946]
39_11117	chr22	19474651	19475051	+	1000	38.0	[8.044104]	[199]	[]	[]	[19474869]	[]
39_1112	chr22	22156835	22157235	+	1000	73.0	[7.7944894]	[83]	[]	[]	[22156998]	[]
39_1113	chr22	22422756	22423156	+	1000	73.0	[10.370103]	[107]	[]	[]	[22422961]	[]
39_11130	chr22	20137657	20138057	+	1000	38.0	[8.892592]	[187]	[]	[]	[20137891]	[]
39_11138	chr22	20803116	20803516	+	1000	38.0	[8.909202]	[150]	[]	[]	[20803352]	[]
39_11151	chr22	21026180	21026580	+	1000	38.0	[]	[]	[7.2151175]	[151]	[]	[21026365]
39_1116	chr3	4978561	4978961	+	1000	73.0	[]	[]	[7.7944894]	[159]	[]	[4978786]
39_11165	chr22	21925285	21925685	+	1000	38.0	[]	[]	[8.892592]	[153]	[]	[21925502]
39_11169	chr22	22154552	22154952	+	1000	38.0	[9.738007]	[157]	[]	[]	[22154735]	[]
39_11182	chr22	40651874	40652274	+	1000	38.0	[]	[]	[9.738007]	[167]	[]	[40652081]
39_11196	chr3	49133492	49133892	+	1000	38.0	[10.370103]	[127]	[]	[]	[49133710]	[]
39_11199	chr3	72169550	72169950	+	1000	38.0	[10.586677]	[81]	[8.017088]	[143]	[72169724]	[72169786]
39_11207	chr3	184711745	184712145	+	1000	38.0	[10.370103]	[182]	[]	[]	[184711953]	[]
39_1121	chr4	86961597	86961997	+	1000	73.0	[10.586677]	[95]	[]	[]	[86961782]	[]
39_11212	chr4	683962	684362	+	1000	38.0	[]	[]	[9.738007]	[121]	[]	[684170]
39_11221	chr4	74157723	74158123	+	1000	38.0	[]	[]	[8.892592]	[93]	[]	[74157877]
39_11223	chr4	81725051	81725451	+	1000	38.0	[]	[]	[9.738007]	[140]	[]	[81725263]
39_11225	chr4	83284348	83284748	+	1000	38.0	[]	[]	[8.502309]	[80]	[]	[83284526]
39_11229	chr4	105473802	105474202	+	1000	38.0	[]	[]	[8.502309]	[117]	[]	[105473992]
39_1123	chr5	78587646	78588046	+	1000	73.0	[8.892592]	[118]	[8.909202]	[76]	[78587862]	[78587820]
39_11239	chr5	32285488	32285888	+	1000	38.0	[]	[]	[9.738007, 8.044104]	[72, 106]	[]	[32285654, 32285688]
39_11240	chr5	36150951	36151351	+	1000	38.0	[]	[]	[8.017088]	[132]	[]	[36151178]
39_11250	chr5	75511797	75512197	+	1000	38.0	[8.017088]	[138]	[]	[]	[75512029]	[]
39_11252	chr5	77030102	77030502	+	1000	38.0	[]	[]	[10.370103, 7.2151175]	[88, 96]	[]	[77030273, 77030281]
39_11253	chr5	80408321	80408721	+	1000	38.0	[12.064187]	[137]	[]	[]	[80408544]	[]
39_11255	chr5	89055081	89055481	+	1000	38.0	[8.909202]	[143]	[8.892592]	[106]	[89055322]	[89055285]
39_11258	chr5	119452346	119452746	+	1000	38.0	[8.044104]	[180]	[]	[]	[119452589]	[]
39_11265	chr5	135051859	135052259	+	870	38.0	[7.7944894, 8.044104]	[143, 165]	[]	[]	[135052047, 135052069]	[]
39_11272	chr5	172900963	172901363	+	1000	38.0	[12.064187]	[144]	[]	[]	[172901196]	[]
39_1128	chr6	26188851	26189251	+	1000	73.0	[]	[]	[12.064187]	[140]	[]	[26189082]
39_11285	chr6	15481865	15482265	+	1000	38.0	[7.748347]	[106]	[12.064187]	[174]	[15482035]	[15482103]
39_11286	chr6	15628750	15629150	+	716	38.0	[12.064187]	[70]	[8.017088, 8.892592]	[99, 141]	[15628914]	[15628943, 15628985]
39_11294	chr6	30103013	30103413	+	1000	38.0	[]	[]	[8.329008]	[150]	[]	[30103254]
39_113	chr16	85381918	85382318	+	1000	165.0	[10.586677, 12.064187]	[58, 130]	[8.892592]	[144]	[85382070, 85382142]	[85382156]
39_11300	chr6	32197116	32197516	+	1000	38.0	[]	[]	[10.370103]	[141]	[]	[32197323]
39_11301	chr6	33313842	33314242	+	1000	38.0	[]	[]	[10.370103]	[127]	[]	[33314009]
39_11306	chr6	34392085	34392485	+	1000	38.0	[]	[]	[8.017088]	[103]	[]	[34392286]
39_11319	chr6	43772195	43772595	+	1000	38.0	[7.151105, 7.151105]	[132, 169]	[]	[]	[43772402, 43772439]	[]
39_11322	chr6	43926636	43927036	+	1000	38.0	[]	[]	[10.370103]	[118]	[]	[43926845]
39_11327	chr6	84050381	84050781	+	1000	38.0	[7.3683157]	[182]	[]	[]	[84050599]	[]
39_11339	chr6	143060259	143060659	+	1000	38.0	[]	[]	[10.370103]	[215]	[]	[143060504]
39_11363	chr7	47979335	47979735	+	1000	38.0	[9.738007]	[210]	[]	[]	[47979551]	[]
39_11377	chr7	103919311	103919711	+	1000	38.0	[7.3683157]	[147]	[]	[]	[103919549]	[]
39_11378	chr7	106042772	106043172	+	1000	38.0	[]	[]	[8.260495]	[68]	[]	[106042938]
39_11389	chr7	135169023	135169423	+	1000	38.0	[8.260495]	[145]	[]	[]	[135169200]	[]
39_1139	chr7	135557676	135558076	+	1000	73.0	[8.329008]	[109]	[]	[]	[135557851]	[]
39_11398	chr7	150952719	150953119	+	1000	38.0	[9.738007]	[131]	[]	[]	[150952876]	[]
39_11399	chr7	150996631	150997031	+	1000	38.0	[]	[]	[10.370103]	[163]	[]	[150996817]
39_11401	chr7	151088234	151088634	+	1000	38.0	[10.370103]	[167]	[]	[]	[151088422]	[]
39_11408	chr8	19322054	19322454	+	1000	38.0	[9.738007]	[134]	[]	[]	[19322282]	[]
39_11415	chr8	93740709	93741109	+	1000	38.0	[]	[]	[8.017088]	[87]	[]	[93740871]
39_11426	chr8	143617857	143618257	+	1000	38.0	[9.738007]	[154]	[]	[]	[143618080]	[]
39_11436	chr9	114587519	114587919	+	1000	38.0	[8.260495]	[152]	[]	[]	[114587758]	[]
39_11440	chr9	127507420	127507820	+	1000	38.0	[]	[]	[10.586677]	[121]	[]	[127507616]
39_11459	chr9	137028733	137029133	+	1000	38.0	[10.370103]	[129]	[]	[]	[137028928]	[]
39_1146	chr1	8858078	8858478	+	1000	72.0	[8.909202]	[117]	[7.7944894]	[159]	[8858281]	[8858323]
39_11465	chrX	9516208	9516608	+	943	38.0	[10.586677]	[68]	[]	[]	[9516370]	[]
39_1147	chr1	16266504	16266904	+	1000	72.0	[]	[]	[7.3683157]	[138]	[]	[16266691]
39_11470	chrX	68433130	68433530	+	1000	38.0	[]	[]	[8.502309]	[109]	[]	[68433337]
39_11474	chrX	151633110	151633510	+	1000	38.0	[]	[]	[8.892592]	[72]	[]	[151633281]
39_11481	chr1	2546765	2547165	+	1000	37.0	[]	[]	[7.748347]	[189]	[]	[2546964]
39_11482	chr1	2547997	2548397	+	1000	37.0	[10.370103]	[160]	[]	[]	[2548243]	[]
39_11492	chr1	10475306	10475706	+	1000	37.0	[10.586677]	[127]	[]	[]	[10475459]	[]
39_11496	chr1	12567283	12567683	+	1000	37.0	[7.397283]	[177]	[8.329008]	[209]	[12567483]	[12567515]
39_11515	chr1	35190699	35191099	+	571	37.0	[7.2151175]	[153]	[]	[]	[35190909]	[]
39_11519	chr1	37556784	37557184	+	1000	37.0	[]	[]	[8.260495]	[116]	[]	[37556947]
39_11521	chr1	37931816	37932216	+	1000	37.0	[]	[]	[10.370103]	[108]	[]	[37932014]
39_11525	chr1	44294684	44295084	+	1000	37.0	[8.892592, 8.892592]	[74, 110]	[]	[]	[44294850, 44294886]	[]
39_11526	chr1	45499344	45499744	+	1000	37.0	[]	[]	[10.586677, 7.151105]	[98, 125]	[]	[45499541, 45499568]
39_11534	chr1	54121489	54121889	+	1000	37.0	[10.586677]	[192]	[]	[]	[54121725]	[]
39_11535	chr1	54403776	54404176	+	1000	37.0	[12.064187]	[135]	[]	[]	[54404005]	[]
39_11544	chr1	92317782	92318182	+	1000	37.0	[]	[]	[10.586677]	[97]	[]	[92317974]
39_11546	chr1	110057954	110058354	+	1000	37.0	[8.044104]	[91]	[]	[]	[110058114]	[]
39_1155	chr10	58385065	58385465	+	1000	72.0	[8.502309]	[117]	[]	[]	[58385277]	[]
39_11552	chr1	119870871	119871271	+	1000	37.0	[]	[]	[8.892592]	[139]	[]	[119871087]
39_1156	chr11	70424078	70424478	+	1000	72.0	[9.738007, 10.370103, 9.738007, 10.586677]	[95, 113, 151, 161]	[]	[]	[70424245, 70424263, 70424301, 70424311]	[]
39_11563	chr1	160997315	160997715	+	1000	37.0	[]	[]	[8.892592]	[112]	[]	[160997496]
39_11575	chr1	180926522	180926922	+	1000	37.0	[]	[]	[8.044104]	[184]	[]	[180926741]
