#PeakID(python identify_motif.py ./ENCODE_processed_files/PBX2_idr.fa PBX2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
919_10094	chr11	59766538	59766938	+	569	27.0	[10.436662]	[102]	[]	[]	[59766727]	[]
919_10095	chr11	61733259	61733659	+	799	27.0	[]	[]	[9.370035]	[149]	[]	[61733450]
919_10102	chr11	66300556	66300956	+	925	27.0	[11.295278]	[110]	[]	[]	[66300745]	[]
919_10109	chr11	125402441	125402841	+	788	27.0	[8.661762]	[92]	[]	[]	[125402623]	[]
919_10110	chr11	125551882	125552282	+	822	27.0	[13.547267]	[119]	[]	[]	[125552098]	[]
919_10114	chr12	46259591	46259991	+	858	27.0	[6.9974184]	[108]	[]	[]	[46259798]	[]
919_10124	chr12	117125906	117126306	+	734	27.0	[8.664022]	[161]	[]	[]	[117126094]	[]
919_10125	chr12	118874852	118875252	+	792	27.0	[]	[]	[11.995326]	[68]	[]	[118875016]
919_10128	chr12	123719146	123719546	+	904	27.0	[7.0993586, 8.270616, 8.001171]	[132, 136, 151]	[]	[]	[123719355, 123719359, 123719374]	[]
919_10135	chr13	80361865	80362265	+	923	27.0	[7.3372383]	[146]	[7.9820952, 8.880494, 13.767965]	[103, 144, 179]	[80362077]	[80362034, 80362075, 80362110]
919_10137	chr13	80611234	80611634	+	865	27.0	[6.928093]	[132]	[]	[]	[80611453]	[]
919_10139	chr13	80713794	80714194	+	870	27.0	[9.133486]	[183]	[]	[]	[80713983]	[]
919_1014	chr7	150302828	150303228	+	1000	105.0	[13.767965, 13.096307]	[76, 131]	[]	[]	[150303004, 150303059]	[]
919_10142	chr13	80886004	80886404	+	930	27.0	[8.155379]	[80]	[]	[]	[80886182]	[]
919_10145	chr13	90223338	90223738	+	932	27.0	[8.013846]	[103]	[]	[]	[90223493]	[]
919_10150	chr13	90620573	90620973	+	860	27.0	[7.6729317]	[138]	[]	[]	[90620784]	[]
919_10151	chr13	90639579	90639979	+	782	27.0	[8.653753]	[107]	[]	[]	[90639780]	[]
919_10152	chr13	90648275	90648675	+	893	27.0	[]	[]	[6.6778507]	[160]	[]	[90648468]
919_10154	chr13	90713107	90713507	+	925	27.0	[]	[]	[10.434889]	[139]	[]	[90713332]
919_10165	chr13	91352590	91352990	+	889	27.0	[10.914621]	[148]	[]	[]	[91352785]	[]
919_10166	chr13	91371871	91372271	+	735	27.0	[]	[]	[6.897348]	[100]	[]	[91372022]
919_10172	chr13	91630942	91631342	+	594	27.0	[6.656883]	[158]	[]	[]	[91631178]	[]
919_10175	chr13	91726779	91727179	+	720	27.0	[]	[]	[7.2086043]	[129]	[]	[91726952]
919_10176	chr13	91775736	91776136	+	576	27.0	[]	[]	[7.5815454]	[158]	[]	[91775980]
919_10186	chr13	93279014	93279414	+	724	27.0	[7.922723]	[105]	[]	[]	[93279193]	[]
919_10189	chr13	93342528	93342928	+	787	27.0	[6.951835]	[126]	[]	[]	[93342750]	[]
919_10195	chr13	107963487	107963887	+	941	27.0	[6.9218564]	[228]	[10.930472, 7.1601453]	[184, 232]	[107963731]	[107963687, 107963735]
919_10196	chr13	107988921	107989321	+	713	27.0	[9.989959]	[116]	[]	[]	[107989129]	[]
919_10198	chr14	22791212	22791612	+	803	27.0	[]	[]	[10.434889]	[90]	[]	[22791393]
919_1020	chr18	35326688	35327088	+	1000	104.0	[]	[]	[10.434889]	[100]	[]	[35326888]
919_10200	chr14	73884783	73885183	+	860	27.0	[7.9346805, 13.547267]	[70, 118]	[]	[]	[73884952, 73885000]	[]
919_10202	chr15	40807329	40807729	+	790	27.0	[8.698377]	[131]	[]	[]	[40807558]	[]
919_10221	chr16	2795778	2796178	+	784	27.0	[6.6778507]	[178]	[]	[]	[2796029]	[]
919_10228	chr16	19842725	19843125	+	760	27.0	[]	[]	[8.441064]	[95]	[]	[19842896]
919_10231	chr16	28597865	28598265	+	866	27.0	[9.76323]	[118]	[]	[]	[28598077]	[]
919_10233	chr16	31117792	31118192	+	919	27.0	[]	[]	[9.765003]	[84]	[]	[31117967]
919_10244	chr16	84549578	84549978	+	815	27.0	[7.068398]	[174]	[15.3284025]	[138]	[84549829]	[84549793]
919_10246	chr16	85010579	85010979	+	886	27.0	[8.787421]	[132]	[]	[]	[85010795]	[]
919_10250	chr16	85347223	85347623	+	819	27.0	[7.6186666]	[86]	[]	[]	[85347407]	[]
919_10252	chr16	85377278	85377678	+	911	27.0	[]	[]	[8.721576]	[195]	[]	[85377500]
919_10253	chr16	85530766	85531166	+	848	27.0	[7.9084163]	[85]	[]	[]	[85530947]	[]
919_10259	chr17	15957079	15957479	+	669	27.0	[13.767965]	[195]	[]	[]	[15957305]	[]
919_10266	chr17	42018374	42018774	+	874	27.0	[]	[]	[7.597396]	[108]	[]	[42018578]
919_1027	chr9	37027562	37027962	+	1000	104.0	[]	[]	[11.995326, 7.597396]	[99, 118]	[]	[37027758, 37027777]
919_10278	chr17	74868465	74868865	+	593	27.0	[]	[]	[7.953706]	[167]	[]	[74868715]
919_1028	chr9	99819988	99820388	+	1000	104.0	[]	[]	[11.019517]	[103]	[]	[99820189]
919_10281	chr17	75184470	75184870	+	602	27.0	[13.767965]	[104]	[11.98683]	[90]	[75184671]	[75184657]
919_10283	chr17	75765247	75765647	+	757	27.0	[10.434889]	[121]	[]	[]	[75765434]	[]
919_10284	chr17	75858643	75859043	+	749	27.0	[6.8908954]	[61]	[]	[]	[75858804]	[]
919_10288	chr17	80755964	80756364	+	865	27.0	[]	[]	[8.655526]	[117]	[]	[80756162]
919_10296	chr18	51229297	51229697	+	888	27.0	[7.169635]	[135]	[]	[]	[51229507]	[]
919_10297	chr18	63075109	63075509	+	596	27.0	[11.995326]	[98]	[]	[]	[63075306]	[]
919_10298	chr19	383810	384210	+	934	27.0	[9.45908]	[125]	[]	[]	[384015]	[]
919_103	chr3	33440454	33440854	+	1000	281.0	[15.3284025]	[103]	[]	[]	[33440651]	[]
919_10300	chr19	3374628	3375028	+	677	27.0	[11.98683]	[95]	[]	[]	[3374808]	[]
919_10305	chr19	10228888	10229288	+	909	27.0	[]	[]	[6.920084, 11.2828665]	[69, 119]	[]	[10229042, 10229092]
919_10308	chr19	12933125	12933525	+	879	27.0	[]	[]	[6.9863925]	[109]	[]	[12933310]
919_10309	chr19	16258641	16259041	+	724	27.0	[11.98683]	[86]	[]	[]	[16258824]	[]
919_10310	chr19	16386642	16387042	+	560	27.0	[10.434889]	[123]	[]	[]	[16386853]	[]
919_10311	chr19	17267933	17268333	+	910	27.0	[]	[]	[10.434889]	[150]	[]	[17268143]
919_10313	chr19	28542025	28542425	+	836	27.0	[11.295278]	[112]	[]	[]	[28542219]	[]
919_10314	chr19	32748520	32748920	+	884	27.0	[12.174601]	[113]	[10.242963]	[107]	[32748727]	[32748721]
919_10328	chr19	55393369	55393769	+	866	27.0	[]	[]	[11.995326]	[175]	[]	[55393615]
919_10331	chr19	56301744	56302144	+	745	27.0	[7.9515624]	[71]	[]	[]	[56301898]	[]
919_10336	chr2	54818213	54818613	+	734	27.0	[10.434889]	[88]	[]	[]	[54818396]	[]
919_10337	chr2	64606073	64606473	+	713	27.0	[11.315171]	[149]	[8.655526]	[139]	[64606239]	[64606229]
919_10338	chr2	68287457	68287857	+	820	27.0	[]	[]	[8.129065]	[195]	[]	[68287696]
919_10342	chr2	80170091	80170491	+	666	27.0	[8.833028]	[95]	[]	[]	[80170284]	[]
919_10344	chr2	121897586	121897986	+	600	27.0	[]	[]	[8.942274]	[156]	[]	[121897790]
919_10346	chr2	127854748	127855148	+	873	27.0	[8.129065]	[150]	[]	[]	[127854973]	[]
919_1035	chr16	30021159	30021559	+	1000	103.0	[8.270616]	[95]	[11.995326]	[112]	[30021353]	[30021370]
919_10350	chr2	156335492	156335892	+	890	27.0	[7.776671]	[105]	[]	[]	[156335692]	[]
919_10359	chr2	231479389	231479789	+	900	27.0	[]	[]	[15.3284025]	[110]	[]	[231479583]
919_10360	chr20	429643	430043	+	622	27.0	[]	[]	[10.434889]	[118]	[]	[429851]
919_10361	chr20	654128	654528	+	574	27.0	[]	[]	[7.9622016]	[135]	[]	[654340]
919_10366	chr20	34888452	34888852	+	942	27.0	[8.129065]	[205]	[]	[]	[34888682]	[]
919_10367	chr20	38173790	38174190	+	803	27.0	[]	[]	[8.359376, 15.3284025]	[96, 104]	[]	[38173982, 38173990]
919_1037	chr17	50208636	50209036	+	1000	103.0	[8.069627, 8.155379, 8.942274]	[102, 116, 120]	[]	[]	[50208827, 50208841, 50208845]	[]
919_10370	chr20	50033820	50034220	+	929	27.0	[]	[]	[6.928093]	[115]	[]	[50034027]
919_10371	chr20	50692537	50692937	+	772	27.0	[]	[]	[8.270616, 6.951835]	[116, 120]	[]	[50692753, 50692757]
919_10378	chr21	36589405	36589805	+	596	27.0	[11.995326]	[102]	[]	[]	[36589603]	[]
919_10380	chr21	42164401	42164801	+	825	27.0	[15.3284025]	[109]	[]	[]	[42164599]	[]
919_10381	chr21	44025001	44025401	+	585	27.0	[]	[]	[8.655526]	[103]	[]	[44025189]
919_10395	chr22	19287133	19287533	+	881	27.0	[9.942505]	[114]	[]	[]	[19287315]	[]
919_104	chr19	19063685	19064085	+	1000	280.0	[]	[]	[11.995326, 7.6864405]	[70, 116]	[]	[19063854, 19063900]
919_1040	chr4	18021666	18022066	+	1000	103.0	[15.3284025]	[99]	[8.4295225]	[110]	[18021860]	[18021871]
919_10406	chr22	19797052	19797452	+	848	27.0	[]	[]	[7.895588]	[88]	[]	[19797240]
919_10409	chr22	19816631	19817031	+	871	27.0	[9.765003]	[139]	[]	[]	[19816806]	[]
919_1041	chr5	111083341	111083741	+	1000	103.0	[]	[]	[9.905027]	[99]	[]	[111083535]
919_10416	chr22	20059791	20060191	+	881	27.0	[]	[]	[8.685505, 8.464807]	[139, 185]	[]	[20059991, 20060037]
919_10434	chr22	20722555	20722955	+	901	27.0	[8.810179]	[142]	[]	[]	[20722761]	[]
919_10441	chr22	20801798	20802198	+	621	27.0	[]	[]	[9.456024]	[114]	[]	[20801983]
919_1045	chr10	102743611	102744011	+	1000	102.0	[9.699092]	[112]	[]	[]	[102743814]	[]
919_10452	chr22	22133240	22133640	+	922	27.0	[]	[]	[7.597396]	[104]	[]	[22133427]
919_10453	chr22	22138770	22139170	+	752	27.0	[8.129065]	[157]	[]	[]	[22138968]	[]
919_10465	chr22	22454969	22455369	+	870	27.0	[11.315171]	[105]	[]	[]	[22455157]	[]
919_10467	chr22	22518601	22519001	+	863	27.0	[8.685505]	[155]	[7.983867]	[239]	[22518762]	[22518846]
919_1047	chr18	832404	832804	+	1000	102.0	[7.9622016, 10.222199]	[114, 160]	[]	[]	[832607, 832653]	[]
919_10473	chr22	37784783	37785183	+	881	27.0	[13.767965]	[92]	[]	[]	[37784955]	[]
919_10474	chr22	38283094	38283494	+	877	27.0	[10.434889]	[92]	[]	[]	[38283286]	[]
919_10477	chr3	4531249	4531649	+	840	27.0	[]	[]	[12.034296]	[158]	[]	[4531488]
919_10479	chr3	4830914	4831314	+	885	27.0	[]	[]	[7.1611385]	[95]	[]	[4831105]
919_1048	chr19	1854544	1854944	+	1000	102.0	[]	[]	[9.76323]	[92]	[]	[1854733]
919_10481	chr3	5077247	5077647	+	709	27.0	[13.767965]	[167]	[]	[]	[5077488]	[]
919_10483	chr3	9911875	9912275	+	733	27.0	[]	[]	[10.611208]	[133]	[]	[9912096]
919_10484	chr3	10336168	10336568	+	915	27.0	[13.096307]	[101]	[10.614163]	[154]	[10336357]	[10336410]
919_10487	chr3	24483897	24484297	+	771	27.0	[7.9707575]	[152]	[]	[]	[24484146]	[]
919_1049	chr19	11373577	11373977	+	1000	102.0	[10.434889]	[98]	[]	[]	[11373774]	[]
919_10492	chr3	43634703	43635103	+	787	27.0	[]	[]	[7.068398]	[142]	[]	[43634917]
919_105	chr2	135531199	135531599	+	1000	280.0	[]	[]	[11.2828665]	[94]	[]	[135531393]
919_10502	chr3	138442388	138442788	+	682	27.0	[]	[]	[8.270616, 11.98683]	[136, 140]	[]	[138442601, 138442605]
919_10507	chr3	170815343	170815743	+	903	27.0	[]	[]	[6.8849363]	[156]	[]	[170815593]
919_10508	chr3	171459154	171459554	+	701	27.0	[10.434889, 7.9820952]	[174, 182]	[]	[]	[171459393, 171459401]	[]
919_10509	chr3	180990483	180990883	+	751	27.0	[7.1601453]	[110]	[]	[]	[180990677]	[]
919_1051	chr21	46518946	46519346	+	1000	102.0	[]	[]	[11.995326]	[109]	[]	[46519148]
919_10510	chr3	183514122	183514522	+	906	27.0	[]	[]	[13.096307]	[94]	[]	[183514316]
919_10515	chr3	195701222	195701622	+	843	27.0	[]	[]	[11.2828665]	[144]	[]	[195701463]
919_10519	chr3	196128287	196128687	+	776	27.0	[10.930472]	[121]	[]	[]	[196128473]	[]
919_1052	chr22	20777670	20778070	+	1000	102.0	[7.218759]	[133]	[]	[]	[20777891]	[]
919_10524	chr4	6331070	6331470	+	842	27.0	[]	[]	[13.547267]	[95]	[]	[6331264]
919_10528	chr4	56960208	56960608	+	812	27.0	[]	[]	[11.995326]	[97]	[]	[56960381]
919_1053	chr22	30326940	30327340	+	1000	102.0	[]	[]	[11.995326]	[102]	[]	[30327141]
919_10532	chr4	84966486	84966886	+	574	27.0	[8.698377, 8.698377]	[118, 122]	[]	[]	[84966690, 84966694]	[]
919_10536	chr4	138338844	138339244	+	668	27.0	[13.096307]	[110]	[]	[]	[138339038]	[]
919_1054	chr5	61408690	61409090	+	1000	102.0	[11.315171]	[95]	[]	[]	[61408882]	[]
919_10543	chr5	32131584	32131984	+	864	27.0	[10.25316]	[94]	[]	[]	[32131771]	[]
919_10545	chr5	61084681	61085081	+	849	27.0	[9.155567]	[142]	[]	[]	[61084921]	[]
919_10547	chr5	78915253	78915653	+	732	27.0	[]	[]	[10.077273]	[95]	[]	[78915430]
919_10548	chr5	85647622	85648022	+	931	27.0	[]	[]	[7.560086]	[120]	[]	[85647826]
919_10550	chr5	109645842	109646242	+	710	27.0	[7.3372383]	[88]	[8.880494]	[86]	[109646017]	[109646015]
919_10551	chr5	119323002	119323402	+	889	27.0	[]	[]	[9.514142]	[141]	[]	[119323220]
919_10553	chr5	145854707	145855107	+	851	27.0	[]	[]	[7.5889]	[93]	[]	[145854890]
919_10554	chr5	146007158	146007558	+	694	27.0	[12.843303, 7.6493673]	[105, 164]	[]	[]	[146007343, 146007402]	[]
919_1057	chr8	11879256	11879656	+	1000	102.0	[]	[]	[11.019517]	[101]	[]	[11879453]
919_10570	chr6	28566159	28566559	+	663	27.0	[6.9172416, 8.787421]	[86, 90]	[]	[]	[28566317, 28566321]	[]
919_1058	chr8	79767745	79768145	+	1000	102.0	[11.995326]	[100]	[]	[]	[79767944]	[]
919_10589	chr6	37244791	37245191	+	969	27.0	[8.655526]	[135]	[7.597396]	[147]	[37245018]	[37245030]
919_1059	chrX	64205599	64205999	+	1000	102.0	[11.995326]	[97]	[]	[]	[64205793]	[]
919_10590	chr6	41325630	41326030	+	930	27.0	[]	[]	[10.01349]	[149]	[]	[41325821]
919_10593	chr6	45831260	45831660	+	846	27.0	[12.843303]	[120]	[]	[]	[45831465]	[]
919_10597	chr6	87551817	87552217	+	760	27.0	[11.295278]	[121]	[]	[]	[87551994]	[]
919_1060	chr1	23368194	23368594	+	1000	101.0	[]	[]	[7.597396, 11.995326]	[110, 143]	[]	[23368396, 23368429]
919_10602	chr6	125943784	125944184	+	690	27.0	[8.069627, 10.393465, 10.668542]	[110, 122, 157]	[]	[]	[125943967, 125943979, 125944014]	[]
919_10604	chr6	136287818	136288218	+	846	27.0	[]	[]	[10.930472]	[126]	[]	[136288027]
919_1061	chr1	236532820	236533220	+	1000	101.0	[]	[]	[8.698377]	[105]	[]	[236533022]
919_10612	chr6	163717161	163717561	+	930	27.0	[6.9863925]	[215]	[15.3284025]	[185]	[163717400]	[163717370]
919_10613	chr6	166383744	166384144	+	854	27.0	[8.787421]	[100]	[]	[]	[166383934]	[]
919_10620	chr7	23055588	23055988	+	819	27.0	[8.655526, 10.25316]	[99, 147]	[]	[]	[23055775, 23055823]	[]
919_10622	chr7	24909479	24909879	+	904	27.0	[]	[]	[11.995326]	[111]	[]	[24909669]
919_10625	chr7	35004677	35005077	+	894	27.0	[]	[]	[13.096307, 8.077128]	[98, 102]	[]	[35004862, 35004866]
919_10627	chr7	44257901	44258301	+	855	27.0	[7.990104]	[54]	[]	[]	[44258055]	[]
919_10630	chr7	66606777	66607177	+	629	27.0	[]	[]	[8.833028]	[148]	[]	[66606999]
919_10632	chr7	76076448	76076848	+	763	27.0	[]	[]	[13.767965]	[124]	[]	[76076649]
919_10635	chr7	104923049	104923449	+	937	27.0	[7.457406]	[208]	[]	[]	[104923291]	[]
919_10639	chr7	105677818	105678218	+	637	27.0	[7.94979]	[94]	[]	[]	[105678006]	[]
919_10644	chr7	111525085	111525485	+	614	27.0	[11.295278]	[138]	[]	[]	[111525280]	[]
919_10646	chr7	123576393	123576793	+	937	27.0	[]	[]	[13.767965]	[96]	[]	[123576580]
919_10659	chr7	138354099	138354499	+	838	27.0	[]	[]	[13.767965]	[84]	[]	[138354260]
919_1066	chr20	63894802	63895202	+	1000	101.0	[]	[]	[10.748932]	[94]	[]	[63894992]
919_10666	chr7	149146865	149147265	+	891	27.0	[]	[]	[9.45908]	[86]	[]	[149147050]
919_10668	chr7	150321922	150322322	+	896	27.0	[7.94979]	[111]	[]	[]	[150322114]	[]
919_10669	chr7	150823265	150823665	+	759	27.0	[]	[]	[11.295278]	[108]	[]	[150823462]
919_1067	chr6	43631334	43631734	+	1000	101.0	[]	[]	[13.767965]	[89]	[]	[43631519]
919_10675	chr7	152403726	152404126	+	764	27.0	[8.385908]	[166]	[]	[]	[152403939]	[]
919_10679	chr7	158858883	158859283	+	681	27.0	[7.9515624]	[74]	[]	[]	[158859049]	[]
919_10689	chr8	80487152	80487552	+	895	27.0	[8.138656]	[109]	[]	[]	[80487349]	[]
919_10694	chr8	129557679	129558079	+	786	27.0	[]	[]	[9.942505, 6.6969604]	[97, 131]	[]	[129557865, 129557899]
919_10696	chr8	138698866	138699266	+	874	27.0	[10.245942, 10.436662]	[117, 128]	[]	[]	[138699051, 138699062]	[]
919_10704	chr9	96242772	96243172	+	579	27.0	[6.682185]	[130]	[]	[]	[96243001]	[]
919_10718	chr9	127965318	127965718	+	856	27.0	[]	[]	[6.897348]	[156]	[]	[127965537]
919_10719	chr9	127968759	127969159	+	814	27.0	[]	[]	[12.034296]	[85]	[]	[127968944]
919_1072	chr1	192977377	192977777	+	1000	100.0	[10.434889, 7.59513]	[110, 117]	[]	[]	[192977585, 192977592]	[]
919_10724	chr9	130149665	130150065	+	832	27.0	[11.995326]	[119]	[]	[]	[130149875]	[]
919_10725	chr9	130775391	130775791	+	873	27.0	[7.1611385]	[97]	[]	[]	[130775581]	[]
919_10732	chr9	136484979	136485379	+	855	27.0	[]	[]	[10.222199]	[118]	[]	[136485174]
919_10737	chrX	31837415	31837815	+	898	27.0	[]	[]	[6.7512255, 7.6186666]	[84, 98]	[]	[31837592, 31837606]
919_10739	chrX	124764381	124764781	+	863	27.0	[11.2828665]	[114]	[7.419928, 8.978065]	[62, 107]	[124764594]	[124764542, 124764587]
919_10742	chr1	6075756	6076156	+	874	26.0	[7.3372383]	[162]	[]	[]	[6075981]	[]
919_10748	chr1	12553681	12554081	+	767	26.0	[]	[]	[13.767965]	[101]	[]	[12553882]
919_10756	chr1	21963898	21964298	+	826	26.0	[]	[]	[9.734841]	[84]	[]	[21964069]
919_10757	chr1	25230487	25230887	+	786	26.0	[13.767965]	[129]	[]	[]	[25230691]	[]
919_10758	chr1	25369089	25369489	+	834	26.0	[]	[]	[10.434889]	[166]	[]	[25369320]
919_10766	chr1	30782325	30782725	+	824	26.0	[7.2820473]	[148]	[]	[]	[30782551]	[]
919_10767	chr1	31222187	31222587	+	817	26.0	[]	[]	[13.767965]	[119]	[]	[31222405]
919_10771	chr1	39204512	39204912	+	712	26.0	[8.069627]	[183]	[]	[]	[39204708]	[]
919_10772	chr1	39832235	39832635	+	696	26.0	[]	[]	[8.129065]	[144]	[]	[39832438]
919_10773	chr1	44693879	44694279	+	840	26.0	[]	[]	[11.995326]	[113]	[]	[44694085]
919_10776	chr1	47237583	47237983	+	815	26.0	[]	[]	[9.370035]	[182]	[]	[47237818]
919_10780	chr1	67535365	67535765	+	702	26.0	[9.370035]	[109]	[]	[]	[67535543]	[]
919_10781	chr1	67647388	67647788	+	651	26.0	[]	[]	[13.547267]	[99]	[]	[67647574]
919_10787	chr1	116336198	116336598	+	730	26.0	[7.2810874]	[84]	[]	[]	[116336375]	[]
919_10789	chr1	119714590	119714990	+	825	26.0	[]	[]	[11.98683]	[109]	[]	[119714794]
919_10802	chr1	174078100	174078500	+	834	26.0	[15.3284025]	[126]	[]	[]	[174078313]	[]
919_10803	chr1	178361833	178362233	+	741	26.0	[]	[]	[10.434889]	[115]	[]	[178362041]
919_10806	chr1	184491508	184491908	+	612	26.0	[8.7029915]	[132]	[]	[]	[184491724]	[]
919_1081	chr7	128861055	128861455	+	1000	100.0	[13.767965]	[100]	[]	[]	[128861249]	[]
919_10810	chr1	201554151	201554551	+	830	26.0	[8.129065]	[79]	[]	[]	[201554302]	[]
919_10816	chr1	206114979	206115379	+	782	26.0	[]	[]	[9.905027]	[111]	[]	[206115186]
919_10817	chr1	210208705	210209105	+	584	26.0	[]	[]	[13.767965]	[119]	[]	[210208912]
919_10822	chr1	226062550	226062950	+	835	26.0	[]	[]	[8.013846]	[123]	[]	[226062706]
919_10825	chr1	231065575	231065975	+	829	26.0	[8.013846]	[171]	[]	[]	[231065805]	[]
919_10826	chr1	232951217	232951617	+	644	26.0	[]	[]	[8.270616]	[71]	[]	[232951379]
919_10827	chr1	233972819	233973219	+	638	26.0	[]	[]	[6.8505144]	[131]	[]	[233973045]
919_10832	chr1	235056805	235057205	+	738	26.0	[]	[]	[13.767965]	[141]	[]	[235057024]
919_10840	chr10	11699063	11699463	+	606	26.0	[]	[]	[15.3284025]	[104]	[]	[11699267]
919_10841	chr10	13268741	13269141	+	835	26.0	[10.668542]	[136]	[]	[]	[13268949]	[]
919_10848	chr10	45725558	45725958	+	768	26.0	[6.9944553]	[209]	[6.6607985]	[125]	[45725806]	[45725722]
919_10849	chr10	46527145	46527545	+	856	26.0	[]	[]	[11.295278]	[101]	[]	[46527329]
919_10858	chr10	72737359	72737759	+	773	26.0	[12.843303]	[123]	[]	[]	[72737568]	[]
919_10874	chr11	47400884	47401284	+	700	26.0	[]	[]	[8.001171]	[87]	[]	[47401050]
919_10876	chr11	62124386	62124786	+	822	26.0	[]	[]	[11.2828665]	[125]	[]	[62124602]
919_10882	chr11	65027238	65027638	+	676	26.0	[]	[]	[7.59513]	[70]	[]	[65027398]
919_10884	chr11	72736591	72736991	+	823	26.0	[]	[]	[12.034296]	[98]	[]	[72736783]
919_10886	chr11	74321761	74322161	+	744	26.0	[11.98683]	[146]	[]	[]	[74321980]	[]
919_10887	chr11	75096821	75097221	+	692	26.0	[]	[]	[9.76323]	[89]	[]	[75096998]
919_10890	chr11	77302809	77303209	+	741	26.0	[8.880494]	[143]	[]	[]	[77303046]	[]
919_10893	chr11	107858763	107859163	+	609	26.0	[]	[]	[7.365663]	[91]	[]	[107858946]
919_10895	chr11	113663568	113663968	+	609	26.0	[]	[]	[7.6186666]	[58]	[]	[113663725]
919_10899	chr11	134525187	134525587	+	563	26.0	[9.905027]	[120]	[]	[]	[134525392]	[]
919_109	chr1	200409935	200410335	+	1000	278.0	[]	[]	[15.3284025]	[105]	[]	[200410138]
919_10901	chr12	12612006	12612406	+	699	26.0	[6.951835]	[95]	[8.138656]	[144]	[12612174]	[12612223]
919_10903	chr12	51337306	51337706	+	695	26.0	[13.767965]	[160]	[]	[]	[51337511]	[]
919_10908	chr12	64665374	64665774	+	868	26.0	[]	[]	[8.161369]	[108]	[]	[64665578]
919_10912	chr12	103960618	103961018	+	808	26.0	[]	[]	[10.1405115, 9.76323]	[72, 120]	[]	[103960776, 103960824]
919_10913	chr12	104106961	104107361	+	744	26.0	[]	[]	[10.502711, 9.514142]	[87, 108]	[]	[104107144, 104107165]
919_10914	chr12	104728034	104728434	+	739	26.0	[11.995326]	[104]	[]	[]	[104728234]	[]
919_10915	chr12	106288354	106288754	+	826	26.0	[9.370035, 7.990104]	[128, 132]	[9.149337]	[109]	[106288562, 106288566]	[106288543]
919_1093	chr22	21701315	21701715	+	1000	99.0	[]	[]	[13.767965]	[91]	[]	[21701506]
919_10930	chr13	80572896	80573296	+	783	26.0	[7.3688555]	[139]	[]	[]	[80573134]	[]
919_10934	chr13	80776523	80776923	+	781	26.0	[]	[]	[9.905027]	[97]	[]	[80776714]
919_10936	chr13	80873579	80873979	+	851	26.0	[]	[]	[6.7459693]	[167]	[]	[80873753]
919_10938	chr13	89905917	89906317	+	769	26.0	[6.9172416]	[142]	[8.698377]	[119]	[89906146]	[89906123]
919_1094	chr22	38984238	38984638	+	1000	99.0	[8.655526]	[96]	[]	[]	[38984433]	[]
