#PeakID(python scan_motif.py ./ENCODE_processed_files/ZEB2_idr.fa ZEB2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
466_10069	chr5	177086871	177087271	+	1000	54.0	[]	[]	[11.465191]	[66]	[]	[177087031]
466_10071	chr6	2966353	2966753	+	1000	54.0	[6.9489045]	[118]	[6.9489045]	[118]	[2966568]	[2966568]
466_10072	chr6	3406866	3407266	+	1000	54.0	[11.465191]	[66]	[]	[]	[3407017]	[]
466_10073	chr6	14797517	14797917	+	1000	54.0	[]	[]	[11.465191]	[178]	[]	[14797726]
466_10078	chr6	30722476	30722876	+	1000	54.0	[]	[]	[6.975399]	[68]	[]	[30722643]
466_10082	chr6	40328618	40329018	+	1000	54.0	[11.465191, 11.465191]	[77, 127]	[]	[]	[40328783, 40328833]	[]
466_10085	chr6	119482899	119483299	+	1000	54.0	[11.465191]	[116]	[]	[]	[119483079]	[]
466_1009	chr1	244302947	244303347	+	1000	140.0	[]	[]	[11.465191]	[129]	[]	[244303169]
466_10092	chr7	5592955	5593355	+	1000	54.0	[11.465191, 6.975399]	[139, 151]	[]	[]	[5593129, 5593141]	[]
466_10093	chr7	7181669	7182069	+	1000	54.0	[]	[]	[11.465191]	[107]	[]	[7181857]
466_10103	chr7	143380641	143381041	+	1000	54.0	[]	[]	[6.672127]	[201]	[]	[143380851]
466_10110	chr8	134832299	134832699	+	1000	54.0	[6.9489045]	[141]	[6.9489045]	[141]	[134832475]	[134832475]
466_10114	chr9	75028363	75028763	+	1000	54.0	[6.975399]	[158]	[6.53501]	[131]	[75028606]	[75028579]
466_10117	chr9	124771377	124771777	+	1000	54.0	[6.975399]	[83]	[]	[]	[124771554]	[]
466_10119	chr1	14776516	14776916	+	1000	53.5	[]	[]	[6.53501]	[128]	[]	[14776693]
466_10121	chr1	19486066	19486466	+	1000	53.5	[]	[]	[6.975399]	[146]	[]	[19486266]
466_10122	chr1	23167339	23167739	+	1000	53.5	[6.672127]	[124]	[]	[]	[23167562]	[]
466_10123	chr1	28417823	28418223	+	1000	53.5	[]	[]	[6.975399, 11.465191]	[77, 122]	[]	[28417994, 28418039]
466_10128	chr1	40531453	40531853	+	1000	53.5	[]	[]	[6.53501, 6.672127]	[64, 147]	[]	[40531616, 40531699]
466_10132	chr1	92968313	92968713	+	1000	53.5	[6.975399]	[194]	[]	[]	[92968551]	[]
466_10133	chr1	116556393	116556793	+	1000	53.5	[]	[]	[11.465191]	[83]	[]	[116556576]
466_1014	chr21	38787515	38787915	+	1000	140.0	[11.465191]	[130]	[]	[]	[38787735]	[]
466_10144	chr1	228838359	228838759	+	1000	53.5	[6.975399]	[104]	[]	[]	[228838549]	[]
466_10146	chr10	5466562	5466962	+	1000	53.5	[]	[]	[11.465191]	[216]	[]	[5466813]
466_10152	chr10	77926090	77926490	+	1000	53.5	[]	[]	[6.975399, 11.465191]	[80, 98]	[]	[77926257, 77926275]
466_10153	chr10	117376448	117376848	+	1000	53.5	[6.9489045]	[71]	[6.9489045]	[71]	[117376617]	[117376617]
466_10154	chr11	353918	354318	+	1000	53.5	[]	[]	[6.975399]	[138]	[]	[354140]
466_10160	chr11	48056475	48056875	+	1000	53.5	[]	[]	[6.53501, 11.465191]	[68, 115]	[]	[48056627, 48056674]
466_10163	chr11	61165015	61165415	+	1000	53.5	[]	[]	[6.975399]	[86]	[]	[61165187]
466_10166	chr11	75537133	75537533	+	1000	53.5	[]	[]	[11.465191]	[144]	[]	[75537345]
466_10167	chr11	77038287	77038687	+	1000	53.5	[]	[]	[6.53501]	[118]	[]	[77038500]
466_10168	chr11	86062140	86062540	+	1000	53.5	[11.465191, 11.465191]	[90, 184]	[]	[]	[86062296, 86062390]	[]
466_1017	chr4	109729782	109730182	+	1000	140.0	[11.465191]	[164]	[]	[]	[109730021]	[]
466_10171	chr12	51238414	51238814	+	1000	53.5	[6.975399]	[140]	[]	[]	[51238625]	[]
466_10173	chr12	103809249	103809649	+	1000	53.5	[6.975399]	[167]	[]	[]	[103809488]	[]
466_10177	chr14	44449648	44450048	+	1000	53.5	[]	[]	[11.465191, 11.465191, 11.465191, 6.975399]	[62, 90, 118, 146]	[]	[44449805, 44449833, 44449861, 44449889]
466_1018	chr6	28616005	28616405	+	1000	140.0	[]	[]	[6.975399]	[152]	[]	[28616248]
466_10180	chr15	65791428	65791828	+	1000	53.5	[]	[]	[11.465191]	[114]	[]	[65791623]
466_10182	chr15	81324586	81324986	+	1000	53.5	[11.465191, 6.975399]	[104, 116]	[]	[]	[81324777, 81324789]	[]
466_10191	chr16	12758198	12758598	+	1000	53.5	[]	[]	[6.975399]	[137]	[]	[12758415]
466_10194	chr16	75148458	75148858	+	1000	53.5	[]	[]	[6.975399, 6.975399]	[128, 147]	[]	[75148641, 75148660]
466_10198	chr17	7836685	7837085	+	1000	53.5	[6.9489045]	[103]	[6.9489045]	[103]	[7836876]	[7836876]
466_10199	chr17	30336528	30336928	+	1000	53.5	[]	[]	[11.465191]	[134]	[]	[30336757]
466_10200	chr17	31901822	31902222	+	1000	53.5	[]	[]	[11.465191]	[61]	[]	[31901977]
466_10207	chr17	81663034	81663434	+	1000	53.5	[]	[]	[6.53501]	[191]	[]	[81663253]
466_1021	chr16	66617767	66618167	+	1000	139.5	[]	[]	[11.465191]	[140]	[]	[66617983]
466_10214	chr19	4557659	4558059	+	1000	53.5	[11.465191]	[111]	[]	[]	[4557825]	[]
466_10217	chr19	8248429	8248829	+	1000	53.5	[]	[]	[6.53501, 11.465191]	[78, 97]	[]	[8248602, 8248621]
466_10219	chr19	10653837	10654237	+	1000	53.5	[6.9489045]	[97]	[6.9489045]	[97]	[10653995]	[10653995]
466_10222	chr19	45253857	45254257	+	1000	53.5	[6.975399, 6.9489045]	[130, 153]	[6.9489045]	[153]	[45254085, 45254108]	[45254108]
466_10223	chr19	47334929	47335329	+	1000	53.5	[]	[]	[11.465191]	[236]	[]	[47335170]
466_10228	chr2	17717680	17718080	+	1000	53.5	[]	[]	[11.465191]	[97]	[]	[17717877]
466_1023	chr6	150269755	150270155	+	1000	139.5	[]	[]	[6.53501]	[90]	[]	[150269931]
466_10231	chr2	37561637	37562037	+	1000	53.5	[]	[]	[11.465191]	[97]	[]	[37561799]
466_10235	chr2	170815674	170816074	+	1000	53.5	[]	[]	[11.465191]	[60]	[]	[170815829]
466_10236	chr2	171139897	171140297	+	1000	53.5	[]	[]	[6.975399]	[101]	[]	[171140076]
466_10237	chr2	175168467	175168867	+	1000	53.5	[]	[]	[6.672127]	[155]	[]	[175168658]
466_10239	chr20	53161510	53161910	+	1000	53.5	[6.975399, 6.9489045]	[139, 151]	[6.975399, 6.9489045]	[135, 151]	[53161735, 53161747]	[53161731, 53161747]
466_1024	chr1	168288243	168288643	+	1000	139.0	[11.465191]	[123]	[]	[]	[168288440]	[]
466_10240	chr21	14677105	14677505	+	1000	53.5	[6.975399]	[171]	[]	[]	[14677304]	[]
466_10241	chr21	29073839	29074239	+	1000	53.5	[]	[]	[11.465191]	[87]	[]	[29074009]
466_10244	chr22	20009589	20009989	+	1000	53.5	[11.465191]	[153]	[]	[]	[20009816]	[]
466_10246	chr22	20937299	20937699	+	1000	53.5	[]	[]	[6.975399]	[179]	[]	[20937526]
466_10253	chr3	40192482	40192882	+	1000	53.5	[]	[]	[11.465191]	[137]	[]	[40192676]
466_10256	chr3	52278728	52279128	+	1000	53.5	[]	[]	[11.465191]	[167]	[]	[52278977]
466_10258	chr3	77179743	77180143	+	1000	53.5	[]	[]	[6.975399]	[135]	[]	[77179965]
466_10259	chr3	136862106	136862506	+	1000	53.5	[]	[]	[11.465191]	[116]	[]	[136862317]
466_10262	chr3	178258122	178258522	+	1000	53.5	[]	[]	[11.465191]	[143]	[]	[178258342]
466_10267	chr3	197394597	197394997	+	1000	53.5	[6.672127]	[119]	[]	[]	[197394797]	[]
466_10269	chr4	74682663	74683063	+	1000	53.5	[6.975399]	[140]	[]	[]	[74682898]	[]
466_1027	chr12	31733575	31733975	+	1000	139.0	[]	[]	[11.465191]	[86]	[]	[31733761]
466_10272	chr4	99946928	99947328	+	1000	53.5	[]	[]	[11.465191]	[87]	[]	[99947115]
466_10277	chr5	42889315	42889715	+	1000	53.5	[11.465191, 6.53501]	[89, 107]	[]	[]	[42889495, 42889513]	[]
466_10278	chr5	43010517	43010917	+	1000	53.5	[11.465191]	[107]	[]	[]	[43010713]	[]
466_1028	chr16	14974782	14975182	+	1000	139.0	[11.465191]	[66]	[6.975399]	[101]	[14974936]	[14974971]
466_10287	chr5	159394000	159394400	+	1000	53.5	[11.465191]	[64]	[]	[]	[159394160]	[]
466_10298	chr6	67898053	67898453	+	1000	53.5	[]	[]	[11.465191]	[158]	[]	[67898296]
466_103	chr22	19168247	19168647	+	1000	330.0	[11.465191, 11.465191]	[99, 132]	[6.975399]	[111]	[19168444, 19168477]	[19168456]
466_10300	chr6	78867688	78868088	+	1000	53.5	[]	[]	[11.465191]	[102]	[]	[78867889]
466_10302	chr6	130993333	130993733	+	1000	53.5	[]	[]	[11.465191]	[83]	[]	[130993486]
466_10303	chr6	136756577	136756977	+	1000	53.5	[]	[]	[6.53501]	[120]	[]	[136756774]
466_10304	chr6	137708051	137708451	+	1000	53.5	[]	[]	[6.53501]	[92]	[]	[137708204]
466_10307	chr6	160991221	160991621	+	1000	53.5	[]	[]	[6.672127]	[101]	[]	[160991409]
466_10308	chr7	5598749	5599149	+	1000	53.5	[]	[]	[6.672127]	[117]	[]	[5598958]
466_10315	chr7	100182685	100183085	+	1000	53.5	[]	[]	[6.975399]	[61]	[]	[100182837]
466_10318	chr7	127629204	127629604	+	1000	53.5	[6.975399, 11.465191]	[81, 94]	[]	[]	[127629380, 127629393]	[]
466_1032	chr4	37000235	37000635	+	1000	139.0	[]	[]	[6.975399]	[83]	[]	[37000405]
466_10320	chr7	140009673	140010073	+	1000	53.5	[11.465191, 11.465191, 11.465191, 11.465191, 11.465191]	[69, 102, 132, 151, 162]	[]	[]	[140009828, 140009861, 140009891, 140009910, 140009921]	[]
466_10321	chr7	140267836	140268236	+	1000	53.5	[]	[]	[6.53501]	[185]	[]	[140268080]
466_10322	chr7	143345365	143345765	+	1000	53.5	[11.465191]	[120]	[]	[]	[143345580]	[]
466_10325	chr7	152499954	152500354	+	787	53.5	[11.465191]	[88]	[]	[]	[152500122]	[]
466_10326	chr7	152521048	152521448	+	1000	53.5	[11.465191]	[136]	[]	[]	[152521270]	[]
466_10328	chr7	158977095	158977495	+	1000	53.5	[]	[]	[6.975399]	[111]	[]	[158977275]
466_10331	chr8	27325455	27325855	+	1000	53.5	[6.975399, 11.465191]	[77, 103]	[]	[]	[27325608, 27325634]	[]
466_10335	chr8	101137066	101137466	+	1000	53.5	[]	[]	[11.465191]	[114]	[]	[101137278]
466_10340	chr8	143278379	143278779	+	1000	53.5	[11.465191]	[122]	[]	[]	[143278591]	[]
466_10343	chr9	91907900	91908300	+	1000	53.5	[]	[]	[11.465191]	[128]	[]	[91908114]
466_10344	chr9	122905264	122905664	+	1000	53.5	[6.9489045]	[199]	[6.9489045]	[199]	[122905506]	[122905506]
466_10346	chr9	129069378	129069778	+	1000	53.5	[6.9489045]	[132]	[6.9489045]	[132]	[129069597]	[129069597]
466_10352	chrX	24081558	24081958	+	1000	53.5	[]	[]	[11.465191]	[119]	[]	[24081750]
466_10355	chr1	1013028	1013428	+	1000	53.0	[]	[]	[6.53501]	[163]	[]	[1013254]
466_10358	chr1	5992561	5992961	+	1000	53.0	[]	[]	[11.465191]	[160]	[]	[5992786]
466_10363	chr1	21025205	21025605	+	1000	53.0	[]	[]	[6.975399]	[110]	[]	[21025401]
466_10364	chr1	24150522	24150922	+	1000	53.0	[11.465191]	[127]	[]	[]	[24150720]	[]
466_10369	chr1	46484664	46485064	+	1000	53.0	[]	[]	[11.465191]	[119]	[]	[46484865]
466_10376	chr1	116672462	116672862	+	1000	53.0	[]	[]	[11.465191]	[211]	[]	[116672709]
466_10377	chr1	149712442	149712842	+	1000	53.0	[6.975399]	[124]	[]	[]	[149712634]	[]
466_10379	chr1	156767149	156767549	+	1000	53.0	[]	[]	[11.465191]	[143]	[]	[156767341]
466_10383	chr1	179229815	179230215	+	1000	53.0	[11.465191]	[111]	[]	[]	[179230021]	[]
466_10384	chr1	201020192	201020592	+	1000	53.0	[]	[]	[11.465191]	[144]	[]	[201020403]
466_10386	chr1	202236373	202236773	+	1000	53.0	[]	[]	[11.465191]	[126]	[]	[202236580]
466_10387	chr1	202803324	202803724	+	1000	53.0	[]	[]	[6.53501]	[125]	[]	[202803545]
466_10388	chr1	203007030	203007430	+	1000	53.0	[11.465191]	[141]	[6.672127]	[170]	[203007248]	[203007277]
466_10389	chr1	222455098	222455498	+	1000	53.0	[6.53501]	[130]	[]	[]	[222455307]	[]
466_10391	chr1	230167331	230167731	+	1000	53.0	[6.53501]	[127]	[11.465191]	[104]	[230167558]	[230167535]
466_10396	chr10	35306744	35307144	+	1000	53.0	[6.9489045, 11.465191]	[83, 145]	[6.9489045]	[83]	[35306927, 35306989]	[35306927]
466_1040	chr20	35462396	35462796	+	1000	138.5	[]	[]	[6.53501]	[108]	[]	[35462603]
466_10400	chr10	63132845	63133245	+	1000	53.0	[6.9489045]	[138]	[6.9489045]	[138]	[63133082]	[63133082]
466_10404	chr11	12578055	12578455	+	1000	53.0	[]	[]	[6.975399]	[155]	[]	[12578293]
466_10405	chr11	46075159	46075559	+	985	53.0	[6.9489045]	[115]	[6.9489045]	[115]	[46075366]	[46075366]
466_10408	chr11	63888187	63888587	+	1000	53.0	[11.465191]	[84]	[11.465191]	[93]	[63888367]	[63888376]
466_10412	chr11	69498598	69498998	+	1000	53.0	[]	[]	[6.53501, 6.975399, 11.465191, 6.975399, 6.975399, 11.465191, 6.975399, 6.53501]	[108, 122, 128, 142, 148, 168, 182, 188]	[]	[69498768, 69498782, 69498788, 69498802, 69498808, 69498828, 69498842, 69498848]
466_10417	chr12	54286684	54287084	+	1000	53.0	[]	[]	[6.975399]	[95]	[]	[54286862]
466_1042	chr21	36152979	36153379	+	1000	138.5	[6.975399, 11.465191]	[82, 110]	[11.465191]	[94]	[36153155, 36153183]	[36153167]
466_10421	chr12	76621488	76621888	+	1000	53.0	[]	[]	[11.465191]	[106]	[]	[76621672]
466_10426	chr12	132237260	132237660	+	1000	53.0	[11.465191, 11.465191, 6.975399, 11.465191, 6.975399, 11.465191, 11.465191]	[83, 103, 113, 133, 143, 153, 173]	[]	[]	[132237412, 132237432, 132237442, 132237462, 132237472, 132237482, 132237502]	[]
466_10427	chr13	42992186	42992586	+	1000	53.0	[]	[]	[11.465191]	[143]	[]	[42992417]
466_1043	chr22	20853191	20853591	+	1000	138.5	[]	[]	[11.465191]	[128]	[]	[20853407]
466_10430	chr14	95620659	95621059	+	1000	53.0	[]	[]	[6.975399]	[77]	[]	[95620823]
466_10434	chr15	66387676	66388076	+	1000	53.0	[11.465191]	[130]	[]	[]	[66387885]	[]
466_10436	chr15	82146960	82147360	+	1000	53.0	[6.9489045]	[89]	[6.9489045]	[89]	[82147149]	[82147149]
466_10438	chr16	30573312	30573712	+	1000	53.0	[6.975399]	[90]	[]	[]	[30573497]	[]
466_10439	chr16	57601751	57602151	+	1000	53.0	[6.9489045]	[116]	[6.9489045, 6.975399]	[116, 128]	[57601952]	[57601952, 57601964]
466_1044	chr22	46773826	46774226	+	1000	138.5	[]	[]	[11.465191]	[74]	[]	[46773991]
466_10440	chr16	57649151	57649551	+	1000	53.0	[6.975399]	[179]	[11.465191]	[132]	[57649390]	[57649343]
466_10443	chr16	90077784	90078184	+	1000	53.0	[]	[]	[11.465191]	[153]	[]	[90078014]
466_10444	chr17	20009840	20010240	+	1000	53.0	[11.465191]	[130]	[]	[]	[20010018]	[]
466_10448	chr17	55576393	55576793	+	1000	53.0	[6.53501]	[76]	[]	[]	[55576563]	[]
466_10450	chr17	62163817	62164217	+	1000	53.0	[6.53501, 11.465191]	[60, 120]	[]	[]	[62163971, 62164031]	[]
466_10452	chr17	76195294	76195694	+	1000	53.0	[]	[]	[6.975399]	[136]	[]	[76195529]
466_10453	chr17	76839723	76840123	+	1000	53.0	[6.975399]	[128]	[]	[]	[76839929]	[]
466_10454	chr17	80284562	80284962	+	1000	53.0	[11.465191]	[148]	[]	[]	[80284785]	[]
466_10456	chr18	812433	812833	+	1000	53.0	[6.672127]	[125]	[]	[]	[812655]	[]
466_10458	chr19	4815311	4815711	+	1000	53.0	[6.975399]	[199]	[]	[]	[4815552]	[]
466_10459	chr19	5690118	5690518	+	1000	53.0	[]	[]	[6.975399]	[130]	[]	[5690325]
466_10461	chr19	9790391	9790791	+	1000	53.0	[6.9489045]	[87]	[6.9489045]	[87]	[9790569]	[9790569]
466_10472	chr19	48967077	48967477	+	1000	53.0	[6.975399]	[126]	[]	[]	[48967287]	[]
466_10476	chr2	9004922	9005322	+	1000	53.0	[11.465191]	[131]	[]	[]	[9005148]	[]
466_10479	chr2	46409195	46409595	+	1000	53.0	[11.465191, 11.465191]	[150, 159]	[]	[]	[46409406, 46409415]	[]
466_10482	chr2	74148309	74148709	+	1000	53.0	[]	[]	[11.465191]	[80]	[]	[74148476]
466_10483	chr2	84919833	84920233	+	1000	53.0	[]	[]	[6.672127]	[69]	[]	[84919997]
466_10486	chr2	108652434	108652834	+	1000	53.0	[6.672127]	[167]	[]	[]	[108652655]	[]
466_10487	chr2	112275257	112275657	+	1000	53.0	[]	[]	[11.465191]	[183]	[]	[112275472]
466_10489	chr2	170997954	170998354	+	1000	53.0	[6.53501]	[104]	[]	[]	[170998110]	[]
466_1049	chr1	8858199	8858599	+	1000	138.0	[6.975399]	[81]	[]	[]	[8858378]	[]
466_10496	chr20	33992896	33993296	+	1000	53.0	[]	[]	[6.53501]	[86]	[]	[33993066]
466_10499	chr20	59013920	59014320	+	1000	53.0	[]	[]	[6.53501]	[119]	[]	[59014101]
466_105	chr17	8173329	8173729	+	1000	329.5	[11.465191]	[153]	[6.975399]	[137]	[8173578]	[8173562]
466_10500	chr21	28885084	28885484	+	1000	53.0	[6.9489045]	[139]	[6.9489045]	[139]	[28885304]	[28885304]
466_10502	chr21	41932514	41932914	+	1000	53.0	[]	[]	[6.672127]	[161]	[]	[41932708]
466_10507	chr22	19944651	19945051	+	1000	53.0	[6.53501]	[103]	[]	[]	[19944847]	[]
466_10510	chr22	21863846	21864246	+	1000	53.0	[]	[]	[6.53501]	[197]	[]	[21864097]
466_10511	chr22	21902370	21902770	+	1000	53.0	[6.672127]	[60]	[]	[]	[21902522]	[]
466_10514	chr3	14178690	14179090	+	1000	53.0	[]	[]	[6.975399]	[174]	[]	[14178879]
466_10517	chr3	50590880	50591280	+	1000	53.0	[]	[]	[6.53501]	[111]	[]	[50591059]
466_10519	chr3	150384822	150385222	+	1000	53.0	[6.9489045]	[124]	[6.9489045]	[124]	[150385029]	[150385029]
466_10521	chr3	186849389	186849789	+	1000	53.0	[6.53501, 11.465191]	[125, 140]	[]	[]	[186849609, 186849624]	[]
466_10525	chr4	17808584	17808984	+	1000	53.0	[11.465191]	[181]	[6.672127]	[172]	[17808808]	[17808799]
466_10526	chr4	26787902	26788302	+	1000	53.0	[]	[]	[11.465191]	[150]	[]	[26788147]
466_10527	chr4	55733909	55734309	+	1000	53.0	[6.975399]	[99]	[]	[]	[55734063]	[]
466_10528	chr4	102502251	102502651	+	1000	53.0	[11.465191, 6.975399]	[139, 204]	[]	[]	[102502436, 102502501]	[]
466_10531	chr5	42583245	42583645	+	1000	53.0	[11.465191]	[102]	[]	[]	[42583442]	[]
466_10532	chr5	75319072	75319472	+	1000	53.0	[6.975399]	[114]	[]	[]	[75319262]	[]
466_10534	chr5	96932761	96933161	+	1000	53.0	[]	[]	[6.672127]	[155]	[]	[96933012]
466_10538	chr5	177005732	177006132	+	1000	53.0	[11.465191]	[119]	[]	[]	[177005936]	[]
466_10541	chr6	26309710	26310110	+	1000	53.0	[]	[]	[6.53501]	[136]	[]	[26309925]
466_10545	chr6	31366861	31367261	+	1000	53.0	[11.465191]	[146]	[]	[]	[31367070]	[]
466_10548	chr6	37172195	37172595	+	1000	53.0	[6.9489045]	[170]	[6.9489045]	[170]	[37172418]	[37172418]
466_1055	chr2	6887686	6888086	+	1000	138.0	[]	[]	[11.465191]	[100]	[]	[6887875]
466_10550	chr6	37325651	37326051	+	1000	53.0	[]	[]	[11.465191]	[125]	[]	[37325874]
466_10552	chr6	53358459	53358859	+	1000	53.0	[6.975399]	[68]	[]	[]	[53358623]	[]
466_10559	chr6	134196502	134196902	+	1000	53.0	[6.975399]	[132]	[]	[]	[134196707]	[]
466_1056	chr2	69997257	69997657	+	1000	138.0	[11.465191]	[126]	[]	[]	[69997481]	[]
466_10568	chr7	75798735	75799135	+	1000	53.0	[11.465191]	[153]	[]	[]	[75798980]	[]
466_10575	chr7	107580466	107580866	+	1000	53.0	[]	[]	[11.465191]	[119]	[]	[107580643]
466_10578	chr7	128737891	128738291	+	1000	53.0	[6.975399]	[85]	[]	[]	[128738045]	[]
466_10585	chr8	29176942	29177342	+	1000	53.0	[11.465191]	[85]	[]	[]	[29177126]	[]
466_10588	chr8	123038271	123038671	+	1000	53.0	[11.465191]	[91]	[]	[]	[123038445]	[]
466_10593	chr9	70484205	70484605	+	1000	53.0	[]	[]	[6.975399]	[106]	[]	[70484394]
466_10601	chrX	70433651	70434051	+	1000	53.0	[11.465191]	[158]	[]	[]	[70433852]	[]
466_10602	chrX	151633158	151633558	+	1000	53.0	[11.465191]	[96]	[]	[]	[151633343]	[]
466_10603	chr1	12014149	12014549	+	1000	52.5	[6.9489045, 11.465191]	[84, 105]	[6.9489045]	[84]	[12014303, 12014324]	[12014303]
466_10612	chr1	28846221	28846621	+	1000	52.5	[11.465191]	[151]	[]	[]	[28846462]	[]
466_10613	chr1	31062475	31062875	+	1000	52.5	[11.465191]	[113]	[]	[]	[31062673]	[]
466_10615	chr1	35031542	35031942	+	1000	52.5	[11.465191, 6.9489045]	[120, 152]	[6.9489045]	[152]	[35031726, 35031758]	[35031758]
466_10616	chr1	37692129	37692529	+	1000	52.5	[]	[]	[6.672127]	[120]	[]	[37692296]
466_10619	chr1	55192079	55192479	+	1000	52.5	[11.465191]	[154]	[]	[]	[55192287]	[]
466_1062	chr6	109187861	109188261	+	1000	138.0	[]	[]	[6.975399]	[114]	[]	[109188067]
466_10622	chr1	109138293	109138693	+	1000	52.5	[]	[]	[11.465191]	[85]	[]	[109138474]
466_10623	chr1	109263574	109263974	+	1000	52.5	[]	[]	[11.465191]	[115]	[]	[109263775]
466_10628	chr1	161009589	161009989	+	1000	52.5	[6.975399]	[132]	[]	[]	[161009821]	[]
466_1063	chr9	131057836	131058236	+	1000	138.0	[]	[]	[11.465191]	[85]	[]	[131058019]
466_10631	chr1	180563045	180563445	+	1000	52.5	[]	[]	[6.672127]	[157]	[]	[180563237]
466_10640	chr1	247330972	247331372	+	1000	52.5	[6.672127, 11.465191]	[74, 136]	[]	[]	[247331130, 247331192]	[]
466_10641	chr10	14954097	14954497	+	1000	52.5	[]	[]	[11.465191]	[124]	[]	[14954291]
466_10643	chr10	18651520	18651920	+	1000	52.5	[11.465191]	[153]	[]	[]	[18651768]	[]
466_10646	chr10	46247838	46248238	+	1000	52.5	[11.465191]	[170]	[]	[]	[46248081]	[]
466_10649	chr10	87862958	87863358	+	1000	52.5	[]	[]	[6.975399]	[83]	[]	[87863111]
466_10653	chr11	47642252	47642652	+	1000	52.5	[11.465191, 6.672127]	[135, 164]	[]	[]	[47642442, 47642471]	[]
466_10669	chr12	56151584	56151984	+	1000	52.5	[]	[]	[11.465191]	[141]	[]	[56151813]
466_1067	chr19	9858772	9859172	+	1000	137.5	[11.465191, 11.465191, 11.465191, 6.975399, 11.465191]	[77, 98, 119, 140, 161]	[]	[]	[9858924, 9858945, 9858966, 9858987, 9859008]	[]
