#PeakID(python identify_motif.py ./ENCODE_processed_files/CREM_idr.fa CREM --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
978_1045	chr12	109093287	109093687	+	1000	474.0	[9.801853]	[101]	[9.808271]	[101]	[109093486]	[109093486]
978_10450	chr6	5671082	5671482	+	1000	125.0	[7.8712034]	[100]	[7.876412]	[100]	[5671282]	[5671282]
978_10460	chr7	113087666	113088066	+	1000	125.0	[9.461454]	[117]	[9.465443]	[117]	[113087873]	[113087873]
978_1047	chr6	36118436	36118836	+	1000	474.0	[12.832069]	[80]	[12.837192]	[80]	[36118615]	[36118615]
978_10477	chr1	109298580	109298980	+	1000	124.0	[6.5231886, 13.337607]	[79, 109]	[6.5136833, 13.335644]	[79, 109]	[109298747, 109298777]	[109298747, 109298777]
978_1049	chr3	49723768	49724168	+	1000	473.0	[10.084208]	[103]	[10.080284]	[103]	[49723970]	[49723970]
978_10492	chr10	130110350	130110750	+	1000	124.0	[8.520217]	[56]	[8.531097]	[56]	[130110505]	[130110505]
978_10500	chr11	95254240	95254640	+	1000	124.0	[9.370868]	[99]	[9.373996]	[99]	[95254439]	[95254439]
978_1051	chr12	89709523	89709923	+	1000	472.0	[8.947758]	[75]	[8.939482]	[75]	[89709698]	[89709698]
978_10510	chr13	33542609	33543009	+	1000	124.0	[9.198796]	[76]	[9.1878395]	[76]	[33542769]	[33542769]
978_10518	chr16	29900376	29900776	+	1000	124.0	[14.914335]	[86]	[14.917143]	[86]	[29900553]	[29900553]
978_10525	chr17	4833107	4833507	+	1000	124.0	[6.5663257]	[127]	[6.5704184]	[127]	[4833307]	[4833307]
978_10526	chr17	17682253	17682653	+	1000	124.0	[15.0752535]	[100]	[15.073593]	[100]	[17682453]	[17682453]
978_10529	chr17	42750987	42751387	+	1000	124.0	[7.881691]	[93]	[7.8737683]	[93]	[42751178]	[42751178]
978_10530	chr17	44385621	44386021	+	1000	124.0	[12.2113]	[105]	[12.210469]	[105]	[44385825]	[44385825]
978_10535	chr17	81519469	81519869	+	1000	124.0	[11.48816]	[136]	[11.482423]	[136]	[81519694]	[81519694]
978_10537	chr18	59139593	59139993	+	1000	124.0	[6.622941]	[144]	[6.622566]	[144]	[59139837]	[59139837]
978_10539	chr19	12881339	12881739	+	1000	124.0	[9.274945]	[75]	[9.2791]	[75]	[12881495]	[12881495]
978_10557	chr20	23132983	23133383	+	1000	124.0	[11.722761]	[73]	[11.729257]	[73]	[23133156]	[23133156]
978_10562	chr22	21709723	21710123	+	1000	124.0	[7.2144]	[131]	[7.2196684]	[131]	[21709946]	[21709946]
978_10570	chr4	48698245	48698645	+	1000	124.0	[10.807321]	[70]	[10.801663]	[70]	[48698411]	[48698411]
978_1059	chr3	197960005	197960405	+	1000	471.0	[8.444115]	[98]	[8.454473]	[98]	[197960202]	[197960202]
978_10590	chr7	75920425	75920825	+	1000	124.0	[11.1825905, 9.823833]	[77, 82]	[11.183928, 9.825767]	[77, 82]	[75920602, 75920607]	[75920602, 75920607]
978_1060	chrX	40580677	40581077	+	1000	471.0	[8.793553]	[92]	[8.787178]	[92]	[40580865]	[40580865]
978_1061	chr1	30769049	30769449	+	1000	470.0	[8.120109]	[80]	[8.119682]	[80]	[30769223]	[30769223]
978_10618	chr1	11785129	11785529	+	1000	123.0	[10.3303175]	[77]	[10.32279]	[77]	[11785306]	[11785306]
978_10627	chr1	151574926	151575326	+	1000	123.0	[9.380823]	[92]	[9.38317]	[92]	[151575110]	[151575110]
978_10636	chr1	226680025	226680425	+	1000	123.0	[12.1352215]	[109]	[12.133643]	[109]	[226680227]	[226680227]
978_1064	chr6	29649989	29650389	+	1000	470.0	[14.059004]	[91]	[14.061946]	[91]	[29650177]	[29650177]
978_10650	chr11	65416324	65416724	+	1000	123.0	[6.9350114]	[125]	[6.932556]	[125]	[65416536]	[65416536]
978_10655	chr11	95147443	95147843	+	1000	123.0	[6.7651205]	[97]	[6.7674847]	[97]	[95147630]	[95147630]
978_10656	chr11	95151406	95151806	+	1000	123.0	[6.5048065]	[106]	[6.50261]	[106]	[95151607]	[95151607]
978_10659	chr12	33437599	33437999	+	1000	123.0	[10.5176525]	[74]	[10.521601]	[74]	[33437772]	[33437772]
978_1066	chr2	55617711	55618111	+	1000	469.0	[7.515128]	[144]	[7.5096664]	[144]	[55617953]	[55617953]
978_10660	chr12	47004654	47005054	+	1000	123.0	[8.686655]	[93]	[8.687082]	[93]	[47004845]	[47004845]
978_10676	chr16	87636385	87636785	+	1000	123.0	[8.333262, 6.8489113]	[104, 126]	[8.339018, 6.854239]	[104, 126]	[87636589, 87636611]	[87636589, 87636611]
978_1068	chr4	48830851	48831251	+	1000	469.0	[7.2596893, 13.338801]	[75, 82]	[7.267539, 13.333642]	[75, 82]	[48831025, 48831032]	[48831025, 48831032]
978_10681	chr17	49192754	49193154	+	1000	123.0	[9.054892]	[86]	[9.057154]	[86]	[49192924]	[49192924]
978_10686	chr19	6476067	6476467	+	1000	123.0	[6.9438953]	[69]	[6.935327]	[69]	[6476234]	[6476234]
978_1069	chr12	53500714	53501114	+	1000	468.0	[8.713933]	[73]	[8.709592]	[73]	[53500882]	[53500882]
978_10708	chr20	62711717	62712117	+	1000	123.0	[8.357803]	[84]	[8.3547535]	[84]	[62711900]	[62711900]
978_10715	chr22	21760629	21761029	+	1000	123.0	[8.418401]	[91]	[8.42236]	[91]	[21760817]	[21760817]
978_10718	chr22	43015097	43015497	+	1000	123.0	[7.7546573]	[121]	[7.747669]	[121]	[43015317]	[43015317]
978_1074	chr19	7488820	7489220	+	1000	468.0	[7.3523283, 17.254452, 6.8026633]	[81, 100, 111]	[7.3480678, 17.256062, 6.805668]	[81, 100, 111]	[7488998, 7489017, 7489028]	[7488998, 7489017, 7489028]
978_10740	chr6	156661959	156662359	+	1000	123.0	[7.895258]	[147]	[7.8951087]	[147]	[156662202]	[156662202]
978_10744	chr7	75092851	75093251	+	1000	123.0	[7.9979873]	[104]	[7.99347]	[104]	[75093054]	[75093054]
978_10749	chr7	140517911	140518311	+	1000	123.0	[10.1776085]	[87]	[10.180609]	[87]	[140518090]	[140518090]
978_10760	chrX	109733242	109733642	+	1000	123.0	[10.261538]	[95]	[10.267951]	[95]	[109733437]	[109733437]
978_1077	chr3	49029248	49029648	+	1000	468.0	[7.559662, 12.716625]	[91, 117]	[7.5554113, 12.71502]	[91, 117]	[49029434, 49029460]	[49029434, 49029460]
978_1078	chr9	26892613	26893013	+	1000	468.0	[7.4307313]	[85]	[7.4379873]	[85]	[26892798]	[26892798]
978_10784	chr14	101809608	101810008	+	1000	122.0	[10.486923]	[108]	[10.48269]	[108]	[101809813]	[101809813]
978_10787	chr16	22126182	22126582	+	1000	122.0	[8.73154, 11.239682]	[71, 117]	[8.73326, 11.240403]	[71, 117]	[22126344, 22126390]	[22126344, 22126390]
978_1079	chrX	154398107	154398507	+	1000	468.0	[7.4054956]	[67]	[7.4050536]	[67]	[154398273]	[154398273]
978_10790	chr16	66525811	66526211	+	1000	122.0	[6.715084]	[78]	[6.7211003]	[78]	[66525989]	[66525989]
978_10792	chr17	30728615	30729015	+	1000	122.0	[7.287603]	[66]	[7.283784]	[66]	[30728779]	[30728779]
978_10797	chr17	81379593	81379993	+	1000	122.0	[9.180525]	[97]	[9.179005]	[97]	[81379787]	[81379787]
978_1082	chr6	26026189	26026589	+	1000	467.0	[17.307184]	[95]	[17.30438]	[95]	[26026380]	[26026380]
978_10825	chr22	36454993	36455393	+	1000	122.0	[8.444593]	[119]	[8.4449]	[119]	[36455202]	[36455202]
978_10836	chr5	132490689	132491089	+	1000	122.0	[9.810839]	[92]	[9.814918]	[92]	[132490876]	[132490876]
978_10841	chr6	27133755	27134155	+	1000	122.0	[10.229044]	[132]	[10.221183]	[132]	[27133977]	[27133977]
978_10843	chr6	44642931	44643331	+	1000	122.0	[10.132973]	[108]	[10.129865]	[108]	[44643136]	[44643136]
978_10858	chr8	130042243	130042643	+	1000	122.0	[9.164732]	[146]	[9.164716]	[146]	[130042481]	[130042481]
978_1086	chr3	5023323	5023723	+	1000	466.0	[7.6525016, 16.540699]	[86, 97]	[7.646797, 16.539923]	[86, 97]	[5023508, 5023519]	[5023508, 5023519]
978_10863	chrX	46545204	46545604	+	1000	122.0	[7.5734277]	[94]	[7.566967]	[94]	[46545363]	[46545363]
978_10864	chr1	16266535	16266935	+	1000	121.0	[9.104164, 7.326516]	[123, 132]	[9.10142, 7.320469]	[123, 132]	[16266757, 16266766]	[16266757, 16266766]
978_10867	chr1	31488527	31488927	+	1000	121.0	[13.825184, 13.152792]	[107, 119]	[13.82056, 13.153424]	[107, 119]	[31488726, 31488738]	[31488726, 31488738]
978_10871	chr1	86395861	86396261	+	1000	121.0	[9.527509]	[110]	[9.532007]	[110]	[86396058]	[86396058]
978_1088	chr9	34665876	34666276	+	1000	466.0	[11.096684]	[79]	[11.096072]	[79]	[34666054]	[34666054]
978_10887	chr10	72308423	72308823	+	1000	121.0	[6.59101]	[81]	[6.5950236]	[81]	[72308596]	[72308596]
978_10896	chr13	40116041	40116441	+	1000	121.0	[11.216098]	[104]	[11.223824]	[104]	[40116244]	[40116244]
978_10897	chr13	109706990	109707390	+	1000	121.0	[8.872749]	[72]	[8.870325]	[72]	[109707160]	[109707160]
978_10902	chr15	73686689	73687089	+	1000	121.0	[11.284808]	[126]	[11.284687]	[126]	[73686902]	[73686902]
978_10911	chr17	8073610	8074010	+	1000	121.0	[7.7889924]	[71]	[7.7885346]	[71]	[8073779]	[8073779]
978_1092	chr17	28744194	28744594	+	1000	465.0	[10.885254, 16.541704, 11.319884]	[68, 87, 105]	[10.877957, 16.541704, 11.317131]	[68, 87, 105]	[28744362, 28744381, 28744399]	[28744362, 28744381, 28744399]
978_10939	chr21	39452458	39452858	+	1000	121.0	[14.137938]	[90]	[14.141589]	[90]	[39452647]	[39452647]
978_10942	chr22	38506356	38506756	+	1000	121.0	[8.208404]	[113]	[8.209834]	[113]	[38506552]	[38506552]
978_1095	chr17	81891403	81891803	+	1000	464.0	[9.445613]	[104]	[9.451804]	[104]	[81891605]	[81891605]
978_1096	chr18	2654959	2655359	+	1000	464.0	[17.367176]	[95]	[17.366814]	[95]	[2655152]	[2655152]
978_10963	chr6	13486641	13487041	+	1000	121.0	[7.258811]	[100]	[7.259914]	[100]	[13486835]	[13486835]
978_10972	chr6	136173697	136174097	+	1000	121.0	[10.263203]	[97]	[10.264206]	[97]	[136173881]	[136173881]
978_10974	chr6	156963994	156964394	+	1000	121.0	[12.859434]	[117]	[12.862316]	[117]	[156964205]	[156964205]
978_10990	chr9	135504623	135505023	+	1000	121.0	[9.013926]	[74]	[9.024913]	[74]	[135504797]	[135504797]
978_10995	chrX	153179064	153179464	+	1000	121.0	[13.208525]	[88]	[13.197561]	[88]	[153179251]	[153179251]
978_10998	chr1	31432947	31433347	+	1000	120.0	[7.711035]	[96]	[7.7057457]	[96]	[31433139]	[31433139]
978_110	chr6	144095422	144095822	+	1000	711.0	[10.75197]	[98]	[10.762221]	[98]	[144095615]	[144095615]
978_1100	chrX	103554769	103555169	+	1000	463.0	[12.197719]	[109]	[12.20007]	[109]	[103554976]	[103554976]
978_1101	chr1	205122161	205122561	+	1000	462.0	[10.969323]	[122]	[10.962216]	[122]	[205122379]	[205122379]
978_11012	chr1	228459180	228459580	+	1000	120.0	[9.097631]	[94]	[9.095564]	[94]	[228459371]	[228459371]
978_1102	chr12	8082002	8082402	+	1000	462.0	[9.044876]	[93]	[9.041909]	[93]	[8082188]	[8082188]
978_11022	chr12	6639174	6639574	+	1000	120.0	[7.3395834]	[93]	[7.336207]	[93]	[6639355]	[6639355]
978_11024	chr12	46266849	46267249	+	1000	120.0	[11.333944]	[98]	[11.333581]	[98]	[46267043]	[46267043]
978_11035	chr16	4538668	4539068	+	1000	120.0	[13.632251]	[113]	[13.631094]	[113]	[4538863]	[4538863]
978_11042	chr17	7234387	7234787	+	1000	120.0	[7.648308, 8.841803]	[114, 133]	[7.650331, 8.843646]	[114, 133]	[7234578, 7234597]	[7234578, 7234597]
978_1106	chrX	47658978	47659378	+	1000	462.0	[9.573319]	[97]	[9.575384]	[97]	[47659173]	[47659173]
978_11066	chr19	45882727	45883127	+	1000	120.0	[10.380116]	[89]	[10.377369]	[89]	[45882912]	[45882912]
978_11068	chr2	10028935	10029335	+	1000	120.0	[6.6982794]	[137]	[6.698534]	[137]	[10029150]	[10029150]
978_11077	chr20	31740231	31740631	+	1000	120.0	[7.637692]	[106]	[7.6350336]	[106]	[31740425]	[31740425]
978_11082	chr22	30968959	30969359	+	1000	120.0	[10.238237]	[162]	[10.238237]	[162]	[30969183]	[30969183]
978_11084	chr3	37765668	37766068	+	1000	120.0	[6.7184696]	[129]	[6.713156]	[129]	[37765886]	[37765886]
978_11088	chr3	172750470	172750870	+	1000	120.0	[9.502345]	[201]	[9.501481]	[201]	[172750708]	[172750708]
978_1109	chr17	81860891	81861291	+	1000	461.0	[7.3753285]	[98]	[7.3687954]	[98]	[81861086]	[81861086]
978_11097	chr5	126359825	126360225	+	1000	120.0	[11.4924345, 7.124665]	[104, 153]	[11.49227, 7.133948]	[104, 153]	[126360026, 126360075]	[126360026, 126360075]
978_111	chr8	124474476	124474876	+	1000	711.0	[8.276085]	[74]	[8.275816]	[74]	[124474650]	[124474650]
978_1110	chr19	4246844	4247244	+	1000	461.0	[6.5978465]	[104]	[6.5989094]	[104]	[4247048]	[4247048]
978_11106	chr6	34615631	34616031	+	1000	120.0	[6.635633]	[157]	[6.6312566]	[157]	[34615863]	[34615863]
978_11109	chr6	41578302	41578702	+	1000	120.0	[13.989377]	[102]	[13.993223]	[102]	[41578502]	[41578502]
978_11113	chr6	107675302	107675702	+	1000	120.0	[6.7293324]	[66]	[6.7310653]	[66]	[107675461]	[107675461]
978_1112	chr20	31604170	31604570	+	1000	461.0	[16.87324]	[89]	[16.875704]	[89]	[31604359]	[31604359]
978_11121	chr7	73855414	73855814	+	1000	120.0	[6.527452]	[84]	[6.520066]	[84]	[73855598]	[73855598]
978_1113	chr7	102396181	102396581	+	1000	461.0	[10.265206]	[72]	[10.263721]	[72]	[102396352]	[102396352]
978_11134	chrUn_KI270742v1	109890	110290	+	1000	120.0	[7.863404]	[61]	[7.8573875]	[61]	[110051]	[110051]
978_11158	chr12	4273548	4273948	+	1000	119.0	[6.7667556]	[100]	[6.7695317]	[100]	[4273743]	[4273743]
978_11178	chr16	67800271	67800671	+	1000	119.0	[8.847706]	[101]	[8.841001]	[101]	[67800470]	[67800470]
978_1119	chr3	196503568	196503968	+	1000	460.0	[8.199217]	[102]	[8.201201]	[102]	[196503770]	[196503770]
978_11193	chr17	82267547	82267947	+	1000	119.0	[7.446513]	[114]	[7.4508758]	[114]	[82267753]	[82267753]
978_11196	chr18	2898356	2898756	+	1000	119.0	[8.362808]	[120]	[8.367014]	[120]	[2898576]	[2898576]
978_11197	chr18	21489897	21490297	+	1000	119.0	[11.003329, 9.055209]	[95, 144]	[11.008128, 9.050786]	[95, 144]	[21490091, 21490140]	[21490091, 21490140]
978_112	chr16	30922337	30922737	+	1000	710.0	[7.7086987]	[127]	[7.7051916]	[127]	[30922559]	[30922559]
978_1120	chr10	110211119	110211519	+	1000	459.0	[13.551199]	[94]	[13.544459]	[94]	[110211311]	[110211311]
978_1121	chr16	89217462	89217862	+	1000	459.0	[9.644208]	[87]	[9.639993]	[87]	[89217649]	[89217649]
978_11213	chr20	2508992	2509392	+	1000	119.0	[7.201574]	[106]	[7.209459]	[106]	[2509189]	[2509189]
978_11214	chr20	30537352	30537752	+	1000	119.0	[12.295798]	[68]	[12.296433]	[68]	[30537507]	[30537507]
978_1122	chr3	142447837	142448237	+	1000	459.0	[7.1457195]	[98]	[7.1494694]	[98]	[142448033]	[142448033]
978_11225	chr22	39965777	39966177	+	1000	119.0	[7.538957]	[73]	[7.5410933]	[73]	[39965937]	[39965937]
978_1123	chr6	3176723	3177123	+	1000	459.0	[11.371382]	[82]	[11.369851]	[82]	[3176902]	[3176902]
978_11236	chr4	1794969	1795369	+	1000	119.0	[6.5458755]	[124]	[6.5585017]	[124]	[1795184]	[1795184]
978_11251	chr6	111483950	111484350	+	1000	119.0	[9.682713]	[135]	[9.670589]	[135]	[111484164]	[111484164]
978_11258	chr7	152760130	152760530	+	1000	119.0	[9.058923]	[124]	[9.053577]	[124]	[152760340]	[152760340]
978_1126	chr17	63773600	63774000	+	1000	458.0	[12.874521]	[89]	[12.876974]	[89]	[63773789]	[63773789]
978_11265	chr9	130452114	130452514	+	1000	119.0	[14.679296]	[99]	[14.675297]	[99]	[130452311]	[130452311]
978_11269	chr1	3907166	3907566	+	1000	118.0	[12.370207]	[86]	[12.370669]	[86]	[3907342]	[3907342]
978_11276	chr1	65224562	65224962	+	1000	118.0	[15.497186]	[98]	[15.494278]	[98]	[65224756]	[65224756]
978_1128	chr9	124771139	124771539	+	1000	458.0	[14.14791]	[85]	[14.14946]	[85]	[124771324]	[124771324]
978_11281	chr1	164772648	164773048	+	1000	118.0	[6.524944]	[156]	[6.534138]	[156]	[164772889]	[164772889]
978_11284	chr1	168372909	168373309	+	1000	118.0	[7.1578054]	[93]	[7.1541805]	[93]	[168373099]	[168373099]
