#PeakID(python identify_motif.py ./ENCODE_processed_files/USF2_idr.fa USF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
77_1	chr7	4775392	4775792	+	1000	1223.0	[11.787619, 12.827876, 12.827922]	[83, 95, 127]	[6.3357368, 12.086817, 12.367886]	[83, 95, 127]	[4775572, 4775584, 4775616]	[4775572, 4775584, 4775616]
77_1010	chr9	129036318	129036718	+	1000	485.0	[11.66858]	[94]	[16.90268]	[94]	[129036508]	[129036508]
77_10110	chr9	133133269	133133669	+	1000	78.0	[11.616045]	[121]	[10.658051, 8.414281]	[121, 133]	[133133485]	[133133485, 133133497]
77_10113	chrX	68498779	68499179	+	1000	78.0	[7.5249777]	[118]	[8.069887]	[118]	[68498977]	[68498977]
77_10126	chr1	54952967	54953367	+	1000	77.0	[9.657327]	[128]	[8.457079]	[128]	[54953183]	[54953183]
77_10131	chr1	154999681	155000081	+	1000	77.0	[6.7885485]	[106]	[6.7876997]	[106]	[154999882]	[154999882]
77_10133	chr1	228082062	228082462	+	1000	77.0	[]	[]	[6.5631666]	[114]	[]	[228082270]
77_10135	chr1	230642194	230642594	+	1000	77.0	[6.369463]	[94]	[10.863351]	[94]	[230642358]	[230642358]
77_10136	chr10	30542306	30542706	+	1000	77.0	[7.283927]	[131]	[8.701957]	[131]	[30542520]	[30542520]
77_10137	chr10	43204004	43204404	+	1000	77.0	[7.777689]	[106]	[7.3176527]	[106]	[43204209]	[43204209]
77_10141	chr11	78290262	78290662	+	1000	77.0	[7.689707]	[118]	[13.304022]	[118]	[78290463]	[78290463]
77_10146	chr12	108519568	108519968	+	1000	77.0	[13.018968]	[96]	[6.342368]	[96]	[108519758]	[108519758]
77_10150	chr12	132167697	132168097	+	1000	77.0	[9.242645]	[82]	[10.902928]	[82]	[132167863]	[132167863]
77_1016	chr21	44817909	44818309	+	1000	483.0	[12.61677]	[110]	[13.817017]	[110]	[44818119]	[44818119]
77_10160	chr15	91033053	91033453	+	1000	77.0	[6.9198985]	[120]	[]	[]	[91033249]	[]
77_10167	chr16	83952911	83953311	+	1000	77.0	[6.185811]	[73]	[]	[]	[83953081]	[]
77_10168	chr16	87114846	87115246	+	1000	77.0	[8.374634]	[109]	[]	[]	[87115052]	[]
77_10172	chr17	17352459	17352859	+	1000	77.0	[8.457079, 7.202008, 11.66858]	[114, 147, 162]	[9.657327, 8.4878025, 16.90268]	[114, 147, 162]	[17352654, 17352687, 17352702]	[17352654, 17352687, 17352702]
77_10173	chr17	39200437	39200837	+	1000	77.0	[9.942381]	[157]	[9.804418]	[157]	[39200687]	[39200687]
77_10174	chr17	42042952	42043352	+	1000	77.0	[12.61677]	[95]	[13.817017]	[95]	[42043135]	[42043135]
77_10178	chr17	61443413	61443813	+	1000	77.0	[7.3176527]	[108]	[7.777689]	[108]	[61443621]	[61443621]
77_1018	chr15	74843114	74843514	+	1000	482.0	[]	[]	[7.114472]	[80]	[]	[74843293]
77_10182	chr18	35507588	35507988	+	1000	77.0	[7.6297903]	[92]	[13.838806]	[92]	[35507779]	[35507779]
77_10187	chr19	41264102	41264502	+	1000	77.0	[8.287579]	[146]	[]	[]	[41264319]	[]
77_10189	chr19	55160533	55160933	+	1000	77.0	[]	[]	[6.2152076]	[121]	[]	[55160744]
77_1019	chr3	134485812	134486212	+	1000	482.0	[9.744501]	[103]	[10.477165]	[103]	[134486011]	[134486011]
77_10194	chr2	144508477	144508877	+	1000	77.0	[8.069922]	[106]	[12.923806]	[106]	[144508681]	[144508681]
77_10195	chr2	182672774	182673174	+	1000	77.0	[6.354525, 13.783291, 7.5185666]	[91, 113, 145]	[13.541038, 7.004728]	[113, 145]	[182672946, 182672968, 182673000]	[182672968, 182673000]
77_102	chr16	58684567	58684967	+	1000	912.0	[9.304013, 9.709861]	[83, 98]	[8.789132, 14.701707]	[83, 98]	[58684749, 58684764]	[58684749, 58684764]
77_10200	chr20	4815009	4815409	+	1000	77.0	[7.4987073, 15.742009]	[97, 118]	[6.953123, 15.742009]	[97, 118]	[4815165, 4815186]	[4815165, 4815186]
77_10201	chr20	36183241	36183641	+	1000	77.0	[6.403372]	[103]	[]	[]	[36183434]	[]
77_10204	chr21	32728250	32728650	+	1000	77.0	[6.4237375]	[86]	[]	[]	[32728430]	[]
77_10225	chr3	9552162	9552562	+	1000	77.0	[6.3588653]	[87]	[]	[]	[9552343]	[]
77_10228	chr3	44761522	44761922	+	1000	77.0	[]	[]	[6.1674156]	[90]	[]	[44761709]
77_1023	chr14	91114414	91114814	+	1000	481.0	[7.689707]	[94]	[13.304022]	[94]	[91114607]	[91114607]
77_10230	chr3	51941710	51942110	+	1000	77.0	[9.702682]	[94]	[10.442892]	[94]	[51941902]	[51941902]
77_10231	chr3	112776096	112776496	+	1000	77.0	[9.272999, 11.582319]	[75, 117]	[6.647356, 11.582319]	[75, 117]	[112776256, 112776298]	[112776256, 112776298]
77_10232	chr3	150412473	150412873	+	1000	77.0	[7.8195086]	[98]	[7.3519254]	[98]	[150412662]	[150412662]
77_10234	chr4	53476576	53476976	+	1000	77.0	[9.743587]	[91]	[13.777439]	[91]	[53476766]	[53476766]
77_10235	chr4	177256124	177256524	+	1000	77.0	[12.61677]	[94]	[13.817017]	[94]	[177256318]	[177256318]
77_10237	chr5	35048950	35049350	+	1000	77.0	[7.496406, 9.885845]	[93, 110]	[7.7141895, 10.869158]	[93, 110]	[35049132, 35049149]	[35049132, 35049149]
77_1024	chr17	55238279	55238679	+	1000	481.0	[12.827922]	[104]	[12.367886]	[104]	[55238478]	[55238478]
77_10244	chr5	173858596	173858996	+	1000	77.0	[10.658051]	[92]	[11.616045]	[92]	[173858785]	[173858785]
77_10246	chr6	14449772	14450172	+	1000	77.0	[10.477165]	[108]	[9.744501]	[108]	[14449979]	[14449979]
77_1025	chr19	12938131	12938531	+	1000	481.0	[11.66858]	[93]	[16.90268]	[93]	[12938322]	[12938322]
77_10262	chr8	94760635	94761035	+	1000	77.0	[]	[]	[9.862626]	[94]	[]	[94760826]
77_10265	chr8	125429075	125429475	+	1000	77.0	[7.3176527]	[99]	[7.777689]	[99]	[125429273]	[125429273]
77_10266	chr9	33493809	33494209	+	1000	77.0	[11.582319]	[123]	[11.582319]	[123]	[33494028]	[33494028]
77_10272	chr9	124507257	124507657	+	1000	77.0	[10.902928]	[122]	[9.242645]	[122]	[124507474]	[124507474]
77_10275	chr9	130742027	130742427	+	1000	77.0	[12.367886]	[150]	[12.827922]	[150]	[130742251]	[130742251]
77_10278	chr9	130870400	130870800	+	1000	77.0	[6.720472]	[83]	[]	[]	[130870568]	[]
77_10285	chrX	74614584	74614984	+	1000	77.0	[13.018968]	[115]	[6.342368]	[115]	[74614793]	[74614793]
77_10287	chrX	154411897	154412297	+	1000	77.0	[6.923335]	[112]	[8.106478]	[112]	[154412095]	[154412095]
77_1029	chr10	12043205	12043605	+	1000	479.0	[11.616045]	[100]	[10.658051]	[100]	[12043400]	[12043400]
77_10291	chr1	2204277	2204677	+	1000	76.0	[7.3176527]	[116]	[7.777689]	[116]	[2204485]	[2204485]
77_10293	chr1	15334943	15335343	+	1000	76.0	[8.107944]	[99]	[9.2292185]	[99]	[15335136]	[15335136]
77_103	chr15	72375834	72376234	+	1000	911.0	[10.442892, 10.058565, 13.783291]	[71, 87, 122]	[9.702682, 7.8929586, 13.541038]	[71, 87, 122]	[72376005, 72376021, 72376056]	[72376005, 72376021, 72376056]
77_1030	chr10	50624720	50625120	+	1000	479.0	[11.858298]	[98]	[10.415798]	[98]	[50624918]	[50624918]
77_10300	chr1	31690959	31691359	+	1000	76.0	[10.902928]	[98]	[9.242645]	[98]	[31691157]	[31691157]
77_10309	chr1	207454652	207455052	+	1000	76.0	[10.442892]	[133]	[9.702682]	[133]	[207454871]	[207454871]
77_10314	chr10	18659085	18659485	+	1000	76.0	[]	[]	[7.114472]	[113]	[]	[18659292]
77_10318	chr10	63269100	63269500	+	1000	76.0	[]	[]	[11.259588]	[129]	[]	[63269324]
77_10320	chr10	70982462	70982862	+	1000	76.0	[9.76405]	[99]	[8.329096]	[99]	[70982645]	[70982645]
77_10324	chr10	101066113	101066513	+	1000	76.0	[]	[]	[8.938358]	[107]	[]	[101066312]
77_10326	chr11	6612069	6612469	+	1000	76.0	[]	[]	[7.114472]	[93]	[]	[6612261]
77_10329	chr11	34916266	34916666	+	1000	76.0	[]	[]	[6.403372]	[105]	[]	[34916467]
77_10332	chr11	65471832	65472232	+	1000	76.0	[7.2477355]	[104]	[6.328512]	[104]	[65472032]	[65472032]
77_10335	chr11	118940257	118940657	+	1000	76.0	[7.3176527]	[101]	[7.777689]	[101]	[118940447]	[118940447]
77_10336	chr11	123942414	123942814	+	1000	76.0	[9.885845]	[93]	[10.869158]	[93]	[123942599]	[123942599]
77_10337	chr12	591001	591401	+	1000	76.0	[9.617748]	[114]	[]	[]	[591206]	[]
77_10338	chr12	57229831	57230231	+	1000	76.0	[8.259226, 9.018112]	[103, 120]	[6.9501348, 9.838144]	[103, 120]	[57230029, 57230046]	[57230029, 57230046]
77_10339	chr12	94104949	94105349	+	1000	76.0	[9.76405, 9.651474]	[97, 131]	[8.329096]	[97]	[94105141, 94105175]	[94105141]
77_1034	chr14	35122083	35122483	+	1000	478.0	[11.858298]	[112]	[10.415798]	[112]	[35122289]	[35122289]
77_10340	chr12	103929968	103930368	+	1000	76.0	[7.004984]	[116]	[]	[]	[103930183]	[]
77_10342	chr12	111636469	111636869	+	1000	76.0	[10.691777]	[75]	[10.691777]	[75]	[111636643]	[111636643]
77_10346	chr13	31161818	31162218	+	1000	76.0	[6.5631666]	[96]	[]	[]	[31162001]	[]
77_10347	chr13	111320370	111320770	+	1000	76.0	[10.902928, 6.2301664]	[115, 138]	[9.242645]	[115]	[111320568, 111320591]	[111320568]
77_10349	chr14	75522239	75522639	+	1000	76.0	[12.063598]	[67]	[]	[]	[75522406]	[]
77_10359	chr16	1243305	1243705	+	1000	76.0	[10.902928]	[109]	[9.242645]	[109]	[1243511]	[1243511]
77_1036	chr3	46750772	46751172	+	1000	478.0	[10.333352, 9.76405, 8.668185]	[71, 90, 108]	[8.329096, 7.9271264]	[90, 108]	[46750943, 46750962, 46750980]	[46750962, 46750980]
77_10363	chr16	58511855	58512255	+	1000	76.0	[10.924718]	[96]	[]	[]	[58512047]	[]
77_10368	chr16	90094848	90095248	+	1000	76.0	[9.76405]	[102]	[8.329096]	[102]	[90095043]	[90095043]
77_1037	chr1	21896789	21897189	+	1000	477.0	[10.218359]	[102]	[8.637897]	[102]	[21896989]	[21896989]
77_10370	chr17	29572794	29573194	+	1000	76.0	[6.712904]	[100]	[7.0931196]	[100]	[29572986]	[29572986]
77_10372	chr17	81097849	81098249	+	1000	76.0	[6.553475]	[115]	[11.288767]	[115]	[81098060]	[81098060]
77_10376	chr18	50819393	50819793	+	1000	76.0	[11.616045]	[122]	[10.658051]	[122]	[50819602]	[50819602]
77_10388	chr2	30231864	30232264	+	1000	76.0	[8.329096]	[81]	[9.76405]	[81]	[30232040]	[30232040]
77_10389	chr2	65055794	65056194	+	1000	76.0	[8.259226]	[100]	[6.9501348]	[100]	[65055992]	[65055992]
77_1039	chr1	109191348	109191748	+	1000	477.0	[10.218359]	[100]	[8.637897]	[100]	[109191543]	[109191543]
77_10391	chr2	94759139	94759539	+	1000	76.0	[6.5320864]	[103]	[6.5320864]	[103]	[94759322]	[94759322]
77_10399	chr21	31252044	31252444	+	1000	76.0	[8.637897, 8.637897]	[88, 111]	[10.218359, 10.218359]	[88, 111]	[31252225, 31252248]	[31252225, 31252248]
77_104	chr6	151452011	151452411	+	1000	909.0	[13.817017, 8.484174]	[94, 110]	[12.61677, 7.50171]	[94, 110]	[151452203, 151452219]	[151452203, 151452219]
77_10401	chr21	42018402	42018802	+	1000	76.0	[10.869158]	[105]	[9.885845]	[105]	[42018604]	[42018604]
77_10403	chr22	19396667	19397067	+	1000	76.0	[]	[]	[8.424045]	[134]	[]	[19396892]
77_10407	chr22	22085695	22086095	+	1000	76.0	[7.4987073]	[134]	[6.953123]	[134]	[22085926]	[22085926]
77_1041	chr15	72118009	72118409	+	1000	477.0	[9.913788]	[101]	[8.712692]	[101]	[72118208]	[72118208]
77_10416	chr22	38180913	38181313	+	1000	76.0	[]	[]	[9.529198, 12.029826]	[86, 103]	[]	[38181097, 38181114]
77_10424	chr3	186806718	186807118	+	1000	76.0	[9.552897]	[165]	[9.778227]	[165]	[186806957]	[186806957]
77_10434	chr5	10441149	10441549	+	1000	76.0	[]	[]	[6.4205074]	[118]	[]	[10441354]
77_10440	chr6	27669312	27669712	+	1000	76.0	[8.484174]	[114]	[7.50171]	[114]	[27669519]	[27669519]
77_10449	chr7	97731806	97732206	+	1000	76.0	[9.242645]	[124]	[10.902928]	[124]	[97732023]	[97732023]
77_1045	chr2	43995792	43996192	+	1000	476.0	[12.029826]	[110]	[]	[]	[43995999]	[]
77_10452	chr7	105909772	105910172	+	1000	76.0	[12.678137]	[104]	[11.70322]	[104]	[105909972]	[105909972]
77_10455	chr7	151010741	151011141	+	1000	76.0	[7.0931196]	[99]	[6.712904]	[99]	[151010931]	[151010931]
77_1046	chr6	63635618	63636018	+	1000	476.0	[15.742009]	[96]	[15.742009]	[96]	[63635808]	[63635808]
77_10460	chr8	98382571	98382971	+	1000	76.0	[9.743587]	[103]	[13.777439]	[103]	[98382750]	[98382750]
77_10464	chr9	110255508	110255908	+	1000	76.0	[]	[]	[8.593608]	[107]	[]	[110255696]
77_1047	chr7	17940346	17940746	+	1000	475.0	[10.184219]	[113]	[10.075375]	[113]	[17940552]	[17940552]
77_10473	chr9	130898412	130898812	+	1000	76.0	[6.328512]	[176]	[7.2477355]	[176]	[130898654]	[130898654]
77_10483	chrX	120559831	120560231	+	1000	76.0	[10.869158]	[95]	[9.885845]	[95]	[120560021]	[120560021]
77_10484	chrX	130174271	130174671	+	1000	76.0	[8.668185]	[117]	[7.9271264]	[117]	[130174485]	[130174485]
77_10486	chr1	10651731	10652131	+	1000	75.0	[7.777689]	[102]	[7.3176527, 7.8525033]	[102, 140]	[10651927]	[10651927, 10651965]
77_10488	chr1	21262756	21263156	+	1000	75.0	[6.8442354]	[86]	[]	[]	[21262939]	[]
77_10489	chr1	26284757	26285157	+	1000	75.0	[]	[]	[7.991037]	[86]	[]	[26284940]
77_10497	chr1	42924206	42924606	+	1000	75.0	[]	[]	[6.1814847]	[132]	[]	[42924404]
77_105	chr16	28491896	28492296	+	1000	906.0	[13.783291, 7.9271264]	[72, 101]	[13.541038, 8.668185]	[72, 101]	[28492068, 28492097]	[28492068, 28492097]
77_1050	chr6	32968639	32969039	+	1000	474.0	[12.827876]	[100]	[12.086817]	[100]	[32968834]	[32968834]
77_10500	chr1	60872697	60873097	+	1000	75.0	[10.902928]	[123]	[9.058617, 9.242645]	[100, 123]	[60872920]	[60872897, 60872920]
77_10509	chr1	219169802	219170202	+	1000	75.0	[10.902928]	[97]	[9.242645]	[97]	[219169994]	[219169994]
77_10516	chr11	67288037	67288437	+	1000	75.0	[14.977686]	[104]	[8.54334]	[104]	[67288240]	[67288240]
77_10521	chr14	33950318	33950718	+	1000	75.0	[8.017387]	[109]	[6.679178]	[109]	[33950512]	[33950512]
77_10523	chr14	75979738	75980138	+	1000	75.0	[6.3285575, 9.242645]	[119, 137]	[7.5288043, 10.902928]	[119, 137]	[75979938, 75979956]	[75979938, 75979956]
77_10524	chr14	100303888	100304288	+	1000	75.0	[10.719419]	[96]	[9.502248]	[96]	[100304076]	[100304076]
77_10532	chr15	99199551	99199951	+	1000	75.0	[10.902928]	[101]	[9.242645]	[101]	[99199746]	[99199746]
77_10540	chr16	89560853	89561253	+	1000	75.0	[8.490806]	[98]	[8.733058]	[98]	[89561026]	[89561026]
77_10547	chr19	13104367	13104767	+	1000	75.0	[6.178773]	[176]	[6.864139]	[176]	[13104577]	[13104577]
77_10570	chr21	45555679	45556079	+	1000	75.0	[]	[]	[6.2301664]	[105]	[]	[45555879]
77_10575	chr22	21796893	21797293	+	1000	75.0	[12.61677]	[140]	[13.817017]	[140]	[21797119]	[21797119]
77_1059	chr22	30606612	30607012	+	1000	470.0	[12.827922]	[95]	[12.367886]	[95]	[30606804]	[30606804]
77_10595	chr3	195637487	195637887	+	1000	75.0	[13.432689, 6.8171406]	[55, 73]	[10.807047, 7.879425]	[55, 73]	[195637641, 195637659]	[195637641, 195637659]
77_10596	chr4	1055661	1056061	+	1000	75.0	[6.182951]	[105]	[]	[]	[1055861]	[]
77_10598	chr4	25467172	25467572	+	1000	75.0	[13.817017]	[118]	[12.61677]	[118]	[25467379]	[25467379]
77_106	chr7	100101219	100101619	+	1000	901.0	[10.902928]	[98]	[9.242645]	[98]	[100101415]	[100101415]
77_1060	chr1	235128805	235129205	+	1000	469.0	[9.2292185]	[99]	[8.107944]	[99]	[235128998]	[235128998]
77_10600	chr5	317091	317491	+	1000	75.0	[7.3176527]	[125]	[7.777689]	[125]	[317298]	[317298]
77_10602	chr5	2725977	2726377	+	1000	75.0	[13.541038]	[124]	[13.783291]	[124]	[2726173]	[2726173]
77_10604	chr5	73451530	73451930	+	1000	75.0	[8.637897]	[96]	[10.218359]	[96]	[73451714]	[73451714]
77_10606	chr5	124629048	124629448	+	1000	75.0	[8.211823]	[103]	[8.368528]	[103]	[124629242]	[124629242]
77_1061	chr14	24160990	24161390	+	1000	469.0	[9.657327]	[103]	[8.457079]	[103]	[24161192]	[24161192]
77_10612	chr6	7135792	7136192	+	1000	75.0	[9.915115, 8.497726]	[82, 99]	[9.174056, 8.497726]	[82, 99]	[7135963, 7135980]	[7135963, 7135980]
77_10621	chr6	167688225	167688625	+	1000	75.0	[11.858298]	[103]	[10.415798]	[103]	[167688402]	[167688402]
77_10622	chr7	1060402	1060802	+	1000	75.0	[7.9271264]	[97]	[8.668185]	[97]	[1060594]	[1060594]
77_10627	chr7	74617327	74617727	+	1000	75.0	[8.490806]	[142]	[7.309894, 8.733058]	[70, 142]	[74617553]	[74617481, 74617553]
77_10628	chr7	106484515	106484915	+	1000	75.0	[10.218359]	[104]	[8.637897]	[104]	[106484718]	[106484718]
77_1063	chr18	3012425	3012825	+	1000	469.0	[10.128098]	[95]	[10.6269045]	[95]	[3012618]	[3012618]
77_10634	chr7	143434645	143435045	+	1000	75.0	[9.07948]	[102]	[7.724347]	[102]	[143434844]	[143434844]
77_10638	chr8	97190418	97190818	+	1000	75.0	[13.783291]	[89]	[13.541038]	[89]	[97190606]	[97190606]
77_10645	chr8	144319837	144320237	+	1000	75.0	[9.552897]	[126]	[9.778227]	[126]	[144320047]	[144320047]
77_10647	chr9	95188443	95188843	+	1000	75.0	[8.54334]	[110]	[14.977686]	[110]	[95188642]	[95188642]
77_1065	chr8	10671550	10671950	+	1000	469.0	[12.61677]	[102]	[13.817017]	[102]	[10671748]	[10671748]
77_10655	chr1	920300	920700	+	1000	74.0	[6.370377]	[96]	[7.5630774]	[96]	[920492]	[920492]
77_10656	chr1	978420	978820	+	1000	74.0	[]	[]	[12.063598]	[124]	[]	[978635]
77_10658	chr1	3857163	3857563	+	1000	74.0	[6.4237375]	[88]	[]	[]	[3857336]	[]
77_10665	chr1	44807328	44807728	+	1000	74.0	[6.173662]	[95]	[]	[]	[44807521]	[]
77_10669	chr1	110106057	110106457	+	1000	74.0	[6.8442354]	[71]	[]	[]	[110106222]	[]
77_1067	chr1	248691432	248691832	+	1000	468.0	[12.367886]	[92]	[12.827922]	[92]	[248691624]	[248691624]
77_10673	chr1	181485842	181486242	+	1000	74.0	[6.5320864]	[101]	[6.5320864]	[101]	[181486041]	[181486041]
77_10675	chr1	221887047	221887447	+	1000	74.0	[13.018968]	[109]	[6.342368]	[109]	[221887253]	[221887253]
77_10677	chr1	233673995	233674395	+	1000	74.0	[8.639347, 6.8442354]	[98, 143]	[8.639347]	[98]	[233674183, 233674228]	[233674183]
77_1068	chr10	29229185	29229585	+	1000	468.0	[8.497726, 8.497726, 7.660959]	[73, 107, 141]	[8.497726, 8.497726, 6.7743874]	[73, 107, 141]	[29229357, 29229391, 29229425]	[29229357, 29229391, 29229425]
77_10688	chr11	66881870	66882270	+	1000	74.0	[7.6297903]	[108]	[13.838806]	[108]	[66882070]	[66882070]
77_10689	chr11	120326797	120327197	+	1000	74.0	[10.938896, 16.90268]	[87, 94]	[11.66858]	[94]	[120326984, 120326991]	[120326991]
77_1069	chr17	7915728	7916128	+	1000	468.0	[12.827876]	[142]	[12.086817]	[142]	[7915964]	[7915964]
77_107	chr16	1827003	1827403	+	1000	900.0	[6.5390077, 10.902928]	[85, 103]	[6.2967544, 9.242645]	[85, 103]	[1827188, 1827206]	[1827188, 1827206]
77_10700	chr13	78658857	78659257	+	1000	74.0	[10.6269045]	[113]	[10.128098]	[113]	[78659066]	[78659066]
77_10704	chr15	27599026	27599426	+	1000	74.0	[12.086817]	[107]	[12.827876]	[107]	[27599227]	[27599227]
77_10705	chr15	51681292	51681692	+	1000	74.0	[]	[]	[7.9748073]	[114]	[]	[51681500]
77_10708	chr16	679369	679769	+	1000	74.0	[]	[]	[12.029826]	[89]	[]	[679550]
77_10717	chr16	88977392	88977792	+	1000	74.0	[7.8929133]	[108]	[9.777496]	[108]	[88977594]	[88977594]
77_10719	chr17	27332525	27332925	+	1000	74.0	[7.202008, 11.763137]	[109, 132]	[8.4878025, 12.1433525]	[109, 132]	[27332681, 27332704]	[27332681, 27332704]
77_10722	chr17	73852010	73852410	+	1000	74.0	[10.807047, 10.807047]	[106, 148]	[6.4205074, 6.4205074, 13.432689, 13.432689]	[88, 97, 106, 148]	[73852199, 73852241]	[73852181, 73852190, 73852199, 73852241]
77_10724	chr17	77286464	77286864	+	1000	74.0	[12.063598]	[98]	[]	[]	[77286658]	[]
77_10727	chr18	32091979	32092379	+	1000	74.0	[6.7405457]	[115]	[]	[]	[32092184]	[]
77_10729	chr19	13872627	13873027	+	1000	74.0	[7.1847854]	[119]	[6.4017863]	[119]	[13872839]	[13872839]
77_10737	chr2	39437917	39438317	+	1000	74.0	[10.719419]	[138]	[9.502248]	[138]	[39438126]	[39438126]
77_10740	chr2	201129076	201129476	+	1000	74.0	[7.3176527]	[96]	[7.777689]	[96]	[201129268]	[201129268]
77_10741	chr2	216696920	216697320	+	1000	74.0	[8.490806]	[117]	[8.733058]	[117]	[216697126]	[216697126]
77_10743	chr2	241443727	241444127	+	1000	74.0	[8.733058, 6.4798117]	[111, 120]	[8.490806]	[111]	[241443930, 241443939]	[241443930]
77_10746	chr20	25195498	25195898	+	1000	74.0	[6.7006125, 6.182951]	[91, 101]	[]	[]	[25195688, 25195698]	[]
77_10754	chr21	37380664	37381064	+	1000	74.0	[14.94396]	[106]	[9.467608]	[106]	[37380868]	[37380868]
77_10761	chr22	20432204	20432604	+	1000	74.0	[14.701707, 11.539521]	[120, 125]	[9.709861, 6.359225, 9.634605]	[120, 125, 130]	[20432405, 20432410]	[20432405, 20432410, 20432415]
77_10772	chr22	23119013	23119413	+	1000	74.0	[]	[]	[6.6385016]	[149]	[]	[23119259]
77_10779	chr22	38950917	38951317	+	1000	74.0	[9.242645]	[96]	[10.902928]	[96]	[38951111]	[38951111]
