#PeakID(python identify_motif.py ./ENCODE_processed_files/NFIC_idr.fa NFIC --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
366_10107	chr16	57732684	57733084	+	1000	204.0	[7.275311, 7.275311]	[117, 148]	[7.275311]	[126]	[57732876, 57732907]	[57732885]
366_10108	chr17	17958113	17958513	+	1000	204.0	[]	[]	[7.275311]	[155]	[]	[17958345]
366_10109	chr19	39111731	39112131	+	1000	204.0	[7.275311, 7.275311]	[95, 140]	[]	[]	[39111907, 39111952]	[]
366_1011	chr11	65322136	65322536	+	1000	1023.0	[7.275311, 7.275311, 7.275311]	[70, 80, 102]	[7.275311, 7.275311]	[111, 123]	[65322299, 65322309, 65322331]	[65322340, 65322352]
366_10114	chr3	45682770	45683170	+	1000	204.0	[]	[]	[7.275311]	[152]	[]	[45682931]
366_10115	chr3	169923194	169923594	+	1000	204.0	[7.275311]	[115]	[7.275311, 7.275311]	[109, 162]	[169923384]	[169923378, 169923431]
366_10117	chr4	179871721	179872121	+	1000	204.0	[7.275311]	[102]	[7.275311]	[111]	[179871913]	[179871922]
366_10118	chr7	66763192	66763592	+	1000	204.0	[7.275311, 7.275311]	[102, 153]	[7.275311, 7.275311]	[111, 138]	[66763376, 66763427]	[66763385, 66763412]
366_1012	chr7	152137631	152138031	+	1000	1023.0	[7.275311, 7.275311]	[55, 103]	[7.275311, 7.275311]	[91, 112]	[152137785, 152137833]	[152137821, 152137842]
366_10121	chr1	116758044	116758444	+	1000	203.5	[7.275311]	[144]	[]	[]	[116758285]	[]
366_10123	chr1	148388487	148388887	+	1000	203.5	[]	[]	[7.275311]	[120]	[]	[148388639]
366_10128	chr10	95664613	95665013	+	1000	203.5	[7.275311]	[167]	[7.275311]	[81]	[95664853]	[95664767]
366_10130	chr11	10211506	10211906	+	1000	203.5	[7.275311]	[104]	[7.275311]	[113]	[10211701]	[10211710]
366_10131	chr11	72482153	72482553	+	1000	203.5	[]	[]	[7.275311, 7.275311]	[54, 150]	[]	[72482304, 72482400]
366_10133	chr13	50503240	50503640	+	1000	203.5	[7.275311]	[119]	[7.275311]	[80]	[50503450]	[50503411]
366_10135	chr16	66700479	66700879	+	1000	203.5	[7.275311]	[131]	[7.275311, 7.275311]	[140, 151]	[66700696]	[66700705, 66700716]
366_1014	chr2	138060203	138060603	+	1000	1022.5	[7.275311, 7.275311]	[74, 83]	[7.275311]	[85]	[138060373, 138060382]	[138060384]
366_10141	chr2	16662424	16662824	+	1000	203.5	[7.275311]	[163]	[7.275311]	[172]	[16662649]	[16662658]
366_10144	chr2	178282024	178282424	+	1000	203.5	[7.275311, 7.275311]	[73, 85]	[7.275311]	[150]	[178282178, 178282190]	[178282255]
366_10145	chr3	4447295	4447695	+	1000	203.5	[]	[]	[7.275311, 7.275311]	[117, 169]	[]	[4447487, 4447539]
366_10146	chr3	140570587	140570987	+	1000	203.5	[7.275311, 7.275311]	[105, 123]	[7.275311, 7.275311, 7.275311]	[75, 93, 114]	[140570784, 140570802]	[140570754, 140570772, 140570793]
366_1015	chr3	139318417	139318817	+	1000	1022.5	[7.275311, 7.275311]	[79, 91]	[7.275311, 7.275311]	[81, 100]	[139318596, 139318608]	[139318598, 139318617]
366_10151	chr7	99560043	99560443	+	1000	203.5	[7.275311]	[141]	[]	[]	[99560244]	[]
366_10152	chrX	63282815	63283215	+	1000	203.5	[7.275311]	[101]	[7.275311]	[110]	[63283011]	[63283020]
366_10153	chrX	80423805	80424205	+	1000	203.5	[]	[]	[7.275311]	[132]	[]	[80424012]
366_10154	chrX	139008205	139008605	+	1000	203.5	[7.275311]	[86]	[7.275311]	[95]	[139008371]	[139008380]
366_10156	chr1	28882133	28882533	+	1000	203.0	[7.275311]	[150]	[7.275311]	[67]	[28882373]	[28882290]
366_10157	chr1	30966681	30967081	+	1000	203.0	[]	[]	[7.275311, 7.275311, 7.275311]	[96, 105, 147]	[]	[30966870, 30966879, 30966921]
366_1016	chr2	233021775	233022175	+	1000	1022.0	[7.275311, 7.275311]	[104, 149]	[7.275311]	[113]	[233021978, 233022023]	[233021987]
366_10162	chr12	32309802	32310202	+	1000	203.0	[7.275311]	[75]	[]	[]	[32309969]	[]
366_10165	chr16	13000802	13001202	+	1000	203.0	[7.275311]	[101]	[7.275311]	[110]	[13000996]	[13001005]
366_10170	chr3	196563430	196563830	+	1000	203.0	[7.275311]	[167]	[]	[]	[196563629]	[]
366_10175	chr5	37370945	37371345	+	1000	203.0	[7.275311]	[135]	[]	[]	[37371154]	[]
366_10178	chr6	33299413	33299813	+	1000	203.0	[7.275311]	[119]	[7.275311]	[111]	[33299574]	[33299566]
366_10179	chr6	135110155	135110555	+	1000	203.0	[7.275311]	[141]	[7.275311]	[106]	[135110379]	[135110344]
366_1018	chr10	95132906	95133306	+	1000	1021.0	[7.275311, 7.275311]	[57, 108]	[7.275311]	[129]	[95133061, 95133112]	[95133133]
366_10181	chr7	131355959	131356359	+	1000	203.0	[7.275311]	[138]	[7.275311]	[79]	[131356188]	[131356129]
366_10182	chr8	125531196	125531596	+	1000	203.0	[]	[]	[7.275311]	[122]	[]	[125531398]
366_10183	chrX	2654678	2655078	+	1000	203.0	[7.275311, 7.275311]	[100, 154]	[]	[]	[2654872, 2654926]	[]
366_10186	chr1	228109020	228109420	+	1000	202.5	[]	[]	[7.275311]	[185]	[]	[228109235]
366_10188	chr10	73110900	73111300	+	1000	202.5	[]	[]	[7.275311, 7.275311, 7.275311]	[130, 178, 191]	[]	[73111078, 73111126, 73111139]
366_1019	chr1	47469369	47469769	+	1000	1019.0	[7.275311]	[88]	[7.275311]	[97]	[47469556]	[47469565]
366_10195	chr19	50894941	50895341	+	1000	202.5	[7.275311]	[126]	[7.275311, 7.275311]	[135, 168]	[50895147]	[50895156, 50895189]
366_10196	chr2	39656236	39656636	+	1000	202.5	[7.275311]	[103]	[7.275311]	[112]	[39656430]	[39656439]
366_10197	chr2	46293344	46293744	+	1000	202.5	[7.275311]	[115]	[7.275311]	[124]	[46293543]	[46293552]
366_10199	chr2	196068248	196068648	+	1000	202.5	[7.275311, 7.275311]	[94, 107]	[7.275311]	[63]	[196068440, 196068453]	[196068409]
366_102	chr21	14753778	14754178	+	1000	2097.0	[]	[]	[7.275311, 7.275311]	[103, 107]	[]	[14753977, 14753981]
366_1020	chr20	50303993	50304393	+	1000	1019.0	[7.275311, 7.275311]	[97, 116]	[7.275311, 7.275311]	[106, 134]	[50304185, 50304204]	[50304194, 50304222]
366_10201	chr20	4041796	4042196	+	1000	202.5	[7.275311]	[80]	[7.275311]	[144]	[4041974]	[4042038]
366_10204	chr6	49892447	49892847	+	1000	202.5	[7.275311]	[102]	[7.275311, 7.275311]	[111, 187]	[49892605]	[49892614, 49892690]
366_10205	chr6	150269798	150270198	+	1000	202.5	[7.275311, 7.275311]	[264, 282]	[]	[]	[150269975, 150269993]	[]
366_10207	chr7	16713677	16714077	+	1000	202.5	[]	[]	[7.275311]	[127]	[]	[16713896]
366_10208	chr7	65558593	65558993	+	1000	202.5	[]	[]	[7.275311]	[54]	[]	[65558746]
366_10209	chr7	111465728	111466128	+	1000	202.5	[7.275311]	[138]	[7.275311]	[99]	[111465962]	[111465923]
366_1021	chr3	25820264	25820664	+	1000	1018.5	[7.275311]	[92]	[7.275311]	[101]	[25820454]	[25820463]
366_10210	chr7	130154385	130154785	+	1000	202.5	[7.275311, 7.275311]	[179, 210]	[7.275311, 7.275311]	[137, 195]	[130154578, 130154609]	[130154536, 130154594]
366_10211	chr9	6008481	6008881	+	1000	202.5	[7.275311]	[162]	[7.275311]	[164]	[6008687]	[6008689]
366_10216	chr1	208021822	208022222	+	1000	202.0	[]	[]	[7.275311]	[106]	[]	[208022015]
366_10218	chr10	47311574	47311974	+	1000	202.0	[7.275311, 7.275311]	[75, 100]	[7.275311, 7.275311]	[77, 133]	[47311727, 47311752]	[47311729, 47311785]
366_10219	chr10	93245166	93245566	+	1000	202.0	[7.275311]	[100]	[7.275311]	[109]	[93245358]	[93245367]
366_1022	chr21	38798370	38798770	+	1000	1017.0	[7.275311]	[112]	[]	[]	[38798575]	[]
366_10220	chr11	118703549	118703949	+	1000	202.0	[7.275311, 7.275311, 7.275311]	[103, 120, 161]	[7.275311]	[112]	[118703742, 118703759, 118703800]	[118703751]
366_10221	chr12	108483	108883	+	1000	202.0	[7.275311]	[187]	[]	[]	[108710]	[]
366_10223	chr15	79329316	79329716	+	1000	202.0	[7.275311]	[90]	[7.275311]	[99]	[79329487]	[79329496]
366_10225	chr16	84537286	84537686	+	1000	202.0	[7.275311]	[122]	[]	[]	[84537493]	[]
366_10226	chr17	17016193	17016593	+	1000	202.0	[]	[]	[7.275311]	[126]	[]	[17016404]
366_10227	chr17	73211768	73212168	+	1000	202.0	[7.275311]	[116]	[7.275311]	[125]	[73211968]	[73211977]
366_1023	chr18	50401912	50402312	+	1000	1016.5	[7.275311, 7.275311]	[62, 101]	[7.275311]	[110]	[50402071, 50402110]	[50402119]
366_10233	chr3	5081942	5082342	+	1000	202.0	[]	[]	[7.275311]	[188]	[]	[5082191]
366_10234	chr3	63429919	63430319	+	1000	202.0	[7.275311]	[103]	[7.275311]	[112]	[63430116]	[63430125]
366_10235	chr4	37001654	37002054	+	1000	202.0	[7.275311]	[119]	[7.275311, 7.275311]	[97, 157]	[37001849]	[37001827, 37001887]
366_10236	chr4	164937533	164937933	+	1000	202.0	[7.275311, 7.275311]	[100, 151]	[7.275311, 7.275311]	[109, 156]	[164937721, 164937772]	[164937730, 164937777]
366_10237	chr5	29899647	29900047	+	1000	202.0	[7.275311, 7.275311]	[116, 143]	[7.275311]	[108]	[29899839, 29899866]	[29899831]
366_10238	chr6	135600069	135600469	+	1000	202.0	[7.275311]	[110]	[7.275311, 7.275311]	[56, 119]	[135600278]	[135600224, 135600287]
366_10239	chr7	2483043	2483443	+	1000	202.0	[7.275311, 7.275311, 7.275311]	[77, 132, 152]	[7.275311, 7.275311, 7.275311]	[82, 154, 161]	[2483204, 2483259, 2483279]	[2483209, 2483281, 2483288]
366_1024	chr19	5799197	5799597	+	1000	1016.5	[7.275311, 7.275311, 7.275311]	[94, 115, 139]	[]	[]	[5799376, 5799397, 5799421]	[]
366_10244	chr10	119306071	119306471	+	1000	201.5	[]	[]	[7.275311]	[128]	[]	[119306250]
366_10245	chr10	119754057	119754457	+	1000	201.5	[7.275311]	[112]	[]	[]	[119754262]	[]
366_10246	chr11	107588785	107589185	+	1000	201.5	[7.275311, 7.275311]	[104, 134]	[7.275311]	[143]	[107588966, 107588996]	[107589005]
366_10248	chr12	66920194	66920594	+	1000	201.5	[]	[]	[7.275311]	[113]	[]	[66920374]
366_10249	chr14	68706025	68706425	+	1000	201.5	[7.275311, 7.275311, 7.275311]	[65, 112, 146]	[7.275311, 7.275311, 7.275311]	[121, 127, 148]	[68706189, 68706236, 68706270]	[68706245, 68706251, 68706272]
366_10250	chr14	87109311	87109711	+	1000	201.5	[7.275311]	[100]	[7.275311]	[109]	[87109469]	[87109478]
366_10254	chr17	76822123	76822523	+	1000	201.5	[7.275311, 7.275311, 7.275311, 7.275311]	[93, 99, 163, 184]	[7.275311]	[172]	[76822278, 76822284, 76822348, 76822369]	[76822357]
366_10255	chr19	48765820	48766220	+	1000	201.5	[]	[]	[7.275311]	[114]	[]	[48766026]
366_10256	chr2	38770798	38771198	+	1000	201.5	[7.275311, 7.275311]	[167, 185]	[7.275311]	[194]	[38771022, 38771040]	[38771049]
366_1026	chr8	119087499	119087899	+	1000	1015.5	[7.275311]	[102]	[7.275311]	[111]	[119087699]	[119087708]
366_10261	chr22	19121740	19122140	+	1000	201.5	[]	[]	[7.275311]	[146]	[]	[19121982]
366_10262	chr22	24466938	24467338	+	1000	201.5	[7.275311]	[146]	[]	[]	[24467169]	[]
366_1027	chr8	42679417	42679817	+	1000	1014.5	[7.275311, 7.275311]	[66, 91]	[7.275311]	[100]	[42679581, 42679606]	[42679615]
366_10270	chr6	109440685	109441085	+	1000	201.5	[7.275311]	[174]	[]	[]	[109440910]	[]
366_10271	chr7	107462734	107463134	+	1000	201.5	[7.275311]	[107]	[7.275311, 7.275311]	[116, 123]	[107462935]	[107462944, 107462951]
366_10272	chr9	88747735	88748135	+	1000	201.5	[7.275311]	[134]	[7.275311]	[141]	[88747959]	[88747966]
366_10273	chr1	28235562	28235962	+	1000	201.0	[]	[]	[7.275311]	[120]	[]	[28235782]
366_10274	chr1	63502709	63503109	+	1000	201.0	[7.275311]	[144]	[]	[]	[63502925]	[]
366_10276	chr12	92164683	92165083	+	1000	201.0	[7.275311]	[102]	[]	[]	[92164885]	[]
366_10277	chr12	111248256	111248656	+	1000	201.0	[7.275311]	[98]	[7.275311, 7.275311]	[107, 111]	[111248453]	[111248462, 111248466]
366_10278	chr16	22195590	22195990	+	1000	201.0	[]	[]	[7.275311]	[130]	[]	[22195782]
366_1028	chr5	178449156	178449556	+	1000	1013.0	[7.275311]	[118]	[7.275311, 7.275311]	[84, 120]	[178449374]	[178449340, 178449376]
366_10283	chr3	195178310	195178710	+	1000	201.0	[7.275311]	[197]	[7.275311, 7.275311, 7.275311]	[113, 146, 180]	[195178556]	[195178472, 195178505, 195178539]
366_10286	chr5	151157632	151158032	+	1000	201.0	[7.275311]	[233]	[7.275311]	[245]	[151157828]	[151157840]
366_10287	chr6	3189928	3190328	+	1000	201.0	[7.275311, 7.275311]	[149, 222]	[7.275311, 7.275311, 7.275311]	[151, 158, 217]	[3190098, 3190171]	[3190100, 3190107, 3190166]
366_10289	chr6	157590151	157590551	+	1000	201.0	[7.275311]	[62]	[]	[]	[157590311]	[]
366_1029	chr1	21379175	21379575	+	1000	1012.5	[7.275311]	[98]	[7.275311]	[107]	[21379368]	[21379377]
366_10290	chr7	110839870	110840270	+	1000	201.0	[7.275311]	[130]	[7.275311]	[68]	[110840089]	[110840027]
366_10291	chr8	102501224	102501624	+	1000	201.0	[]	[]	[7.275311, 7.275311]	[113, 133]	[]	[102501426, 102501446]
366_10292	chrX	1621037	1621437	+	1000	201.0	[7.275311, 7.275311]	[64, 132]	[]	[]	[1621195, 1621263]	[]
366_10293	chrX	2894828	2895228	+	1000	201.0	[7.275311, 7.275311, 7.275311]	[99, 119, 128]	[7.275311]	[169]	[2894995, 2895015, 2895024]	[2895065]
366_10294	chr1	21916855	21917255	+	1000	200.5	[7.275311]	[123]	[]	[]	[21917045]	[]
366_10296	chr1	176263275	176263675	+	1000	200.5	[7.275311]	[103]	[7.275311, 7.275311]	[112, 151]	[176263475]	[176263484, 176263523]
366_10298	chr1	211557817	211558217	+	1000	200.5	[7.275311]	[153]	[7.275311]	[142]	[211558051]	[211558040]
366_10299	chr10	5987639	5988039	+	1000	200.5	[]	[]	[7.275311, 7.275311]	[114, 134]	[]	[5987849, 5987869]
366_1030	chr1	8197722	8198122	+	1000	1011.5	[7.275311]	[100]	[]	[]	[8197882]	[]
366_10300	chr10	71893872	71894272	+	1000	200.5	[7.275311]	[94]	[7.275311]	[96]	[71894049]	[71894051]
366_10301	chr10	83190613	83191013	+	1000	200.5	[7.275311]	[109]	[7.275311]	[118]	[83190809]	[83190818]
366_10303	chr12	39937097	39937497	+	1000	200.5	[7.275311]	[137]	[]	[]	[39937331]	[]
366_10305	chr16	77896380	77896780	+	1000	200.5	[7.275311]	[116]	[7.275311]	[125]	[77896589]	[77896598]
366_10306	chr17	10612948	10613348	+	1000	200.5	[7.275311, 7.275311]	[112, 131]	[7.275311]	[121]	[10613148, 10613167]	[10613157]
366_10307	chr17	82188590	82188990	+	1000	200.5	[7.275311]	[110]	[7.275311, 7.275311, 7.275311]	[115, 119, 133]	[82188788]	[82188793, 82188797, 82188811]
366_10313	chr3	186072358	186072758	+	1000	200.5	[7.275311]	[94]	[7.275311, 7.275311]	[103, 147]	[186072535]	[186072544, 186072588]
366_10314	chr4	85458692	85459092	+	1000	200.5	[7.275311]	[105]	[7.275311]	[114]	[85458897]	[85458906]
366_1032	chr12	131269989	131270389	+	1000	1010.0	[7.275311, 7.275311]	[116, 163]	[7.275311]	[94]	[131270189, 131270236]	[131270167]
366_10320	chr8	65842112	65842512	+	1000	200.5	[]	[]	[7.275311, 7.275311]	[109, 113]	[]	[65842318, 65842322]
366_10328	chr16	24844474	24844874	+	1000	200.0	[7.275311]	[137]	[7.275311, 7.275311]	[99, 131]	[24844667]	[24844629, 24844661]
366_10329	chr17	29294132	29294532	+	1000	200.0	[7.275311, 7.275311]	[87, 146]	[7.275311, 7.275311]	[89, 95]	[29294289, 29294348]	[29294291, 29294297]
366_1033	chr13	98507192	98507592	+	1000	1010.0	[7.275311]	[99]	[7.275311]	[108]	[98507388]	[98507397]
366_10330	chr17	42624091	42624491	+	1000	200.0	[]	[]	[7.275311]	[101]	[]	[42624270]
366_10335	chr19	55038223	55038623	+	1000	200.0	[7.275311, 7.275311]	[164, 173]	[7.275311]	[166]	[55038446, 55038455]	[55038448]
366_10337	chr2	3480692	3481092	+	1000	200.0	[7.275311]	[101]	[7.275311, 7.275311]	[110, 115]	[3480893]	[3480902, 3480907]
366_10338	chr2	29304365	29304765	+	1000	200.0	[7.275311]	[79]	[7.275311]	[88]	[29304539]	[29304548]
366_10339	chr20	47108997	47109397	+	1000	200.0	[7.275311]	[93]	[7.275311]	[102]	[47109185]	[47109194]
366_10344	chr3	50630928	50631328	+	1000	200.0	[7.275311]	[102]	[7.275311]	[111]	[50631128]	[50631137]
366_10346	chr3	179100663	179101063	+	1000	200.0	[7.275311]	[94]	[7.275311, 7.275311, 7.275311]	[77, 96, 103]	[179100837]	[179100820, 179100839, 179100846]
366_10347	chr4	151931467	151931867	+	1000	200.0	[7.275311, 7.275311]	[98, 132]	[7.275311]	[107]	[151931665, 151931699]	[151931674]
366_10348	chr5	39039845	39040245	+	1000	200.0	[]	[]	[7.275311]	[132]	[]	[39040065]
366_10351	chr6	15352835	15353235	+	1000	200.0	[]	[]	[7.275311]	[134]	[]	[15353062]
366_10352	chr7	45229530	45229930	+	1000	200.0	[7.275311]	[131]	[7.275311]	[157]	[45229748]	[45229774]
366_10353	chr7	150317965	150318365	+	1000	200.0	[]	[]	[7.275311]	[117]	[]	[150318169]
366_10354	chr8	122857667	122858067	+	1000	200.0	[7.275311]	[140]	[7.275311]	[120]	[122857906]	[122857886]
366_10357	chrX	120334565	120334965	+	1000	200.0	[]	[]	[7.275311]	[93]	[]	[120334757]
366_1036	chr6	33958469	33958869	+	1000	1010.0	[7.275311]	[95]	[7.275311]	[104]	[33958660]	[33958669]
366_10366	chr12	123633656	123634056	+	1000	199.5	[]	[]	[7.275311]	[221]	[]	[123633857]
366_10367	chr13	100495472	100495872	+	1000	199.5	[]	[]	[7.275311]	[94]	[]	[100495665]
366_10369	chr17	44111749	44112149	+	1000	199.5	[7.275311]	[89]	[7.275311]	[98]	[44111938]	[44111947]
366_1037	chr1	65231110	65231510	+	1000	1009.5	[]	[]	[7.275311, 7.275311]	[83, 95]	[]	[65231279, 65231291]
366_10370	chr19	944445	944845	+	1000	199.5	[7.275311]	[86]	[]	[]	[944601]	[]
366_10371	chr19	14381192	14381592	+	1000	199.5	[7.275311, 7.275311]	[162, 239]	[7.275311, 7.275311]	[179, 202]	[14381348, 14381425]	[14381365, 14381388]
366_10372	chr19	17591780	17592180	+	1000	199.5	[]	[]	[7.275311]	[119]	[]	[17591987]
