#PeakID(python identify_motif.py ./ENCODE_processed_files/ATF1_idr.fa ATF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
755_10326	chr10	62843597	62843997	+	666	30.0	[8.028987]	[111]	[]	[]	[62843789]	[]
755_10329	chr10	72297127	72297527	+	709	30.0	[9.08557, 9.08557]	[106, 151]	[]	[]	[72297287, 72297332]	[]
755_10332	chr10	97497671	97498071	+	1000	30.0	[]	[]	[10.880985]	[129]	[]	[97497883]
755_10363	chr12	49234357	49234757	+	778	30.0	[10.880985]	[72]	[]	[]	[49234508]	[]
755_10365	chr12	52036897	52037297	+	750	30.0	[]	[]	[10.880985, 9.08557]	[111, 125]	[]	[52037096, 52037110]
755_10372	chr12	62602485	62602885	+	1000	30.0	[10.880985, 9.08557]	[99, 149]	[]	[]	[62602655, 62602705]	[]
755_10391	chr13	90456951	90457351	+	937	30.0	[8.028987]	[180]	[]	[]	[90457190]	[]
755_1041	chr1	28235920	28236320	+	1000	103.0	[]	[]	[6.94984]	[107]	[]	[28236127]
755_10411	chr13	91359452	91359852	+	1000	30.0	[]	[]	[6.94984]	[132]	[]	[91359628]
755_1042	chr1	52403619	52404019	+	1000	103.0	[8.745255]	[123]	[]	[]	[52403835]	[]
755_1044	chr1	153422463	153422863	+	1000	103.0	[10.880985]	[119]	[10.880985]	[121]	[153422671]	[153422673]
755_10452	chr15	36578866	36579266	+	720	30.0	[10.880985]	[136]	[9.08557]	[82]	[36579087]	[36579033]
755_10458	chr15	72117996	72118396	+	595	30.0	[9.08557]	[135]	[]	[]	[72118214]	[]
755_10464	chr15	90588455	90588855	+	895	30.0	[10.880985]	[91]	[10.880985]	[93]	[90588641]	[90588643]
755_10467	chr16	1093415	1093815	+	970	30.0	[9.08557]	[160]	[]	[]	[1093656]	[]
755_10468	chr16	2669997	2670397	+	638	30.0	[]	[]	[9.08557]	[138]	[]	[2670212]
755_10469	chr16	4253176	4253576	+	632	30.0	[]	[]	[9.08557]	[173]	[]	[4253379]
755_10472	chr16	27198801	27199201	+	972	30.0	[]	[]	[10.880985]	[120]	[]	[27199012]
755_10475	chr16	30993219	30993619	+	1000	30.0	[]	[]	[8.028987]	[151]	[]	[30993460]
755_10477	chr16	48394327	48394727	+	1000	30.0	[10.880985]	[122]	[10.880985]	[124]	[48394524]	[48394526]
755_1048	chr19	16111580	16111980	+	1000	103.0	[9.08557]	[113]	[]	[]	[16111791]	[]
755_10482	chr16	84277213	84277613	+	905	30.0	[]	[]	[8.028987]	[137]	[]	[84277444]
755_10492	chr16	89115273	89115673	+	851	30.0	[]	[]	[9.08557]	[134]	[]	[89115483]
755_10494	chr16	89664253	89664653	+	1000	30.0	[10.880985]	[126]	[10.880985]	[128]	[89664478]	[89664480]
755_10495	chr16	89817501	89817901	+	939	30.0	[8.745255, 10.880985, 10.880985]	[116, 134, 143]	[]	[]	[89817717, 89817735, 89817744]	[]
755_10498	chr17	7307251	7307651	+	1000	30.0	[]	[]	[9.08557]	[126]	[]	[7307476]
755_1050	chr19	47514849	47515249	+	1000	103.0	[10.880985]	[98]	[]	[]	[47515045]	[]
755_1051	chr19	54200617	54201017	+	1000	103.0	[10.880985]	[79]	[10.880985]	[100]	[54200784]	[54200805]
755_10510	chr17	45490549	45490949	+	985	30.0	[9.08557]	[141]	[]	[]	[45490766]	[]
755_10537	chr18	12621921	12622321	+	1000	30.0	[]	[]	[10.880985]	[92]	[]	[12622108]
755_1054	chr3	42590594	42590994	+	1000	103.0	[10.880985]	[88]	[]	[]	[42590780]	[]
755_10542	chr19	2711503	2711903	+	837	30.0	[]	[]	[10.880985, 10.880985]	[78, 124]	[]	[2711668, 2711714]
755_10564	chr19	47296155	47296555	+	1000	30.0	[10.880985]	[133]	[]	[]	[47296364]	[]
755_10565	chr19	48584165	48584565	+	822	30.0	[]	[]	[10.880985]	[91]	[]	[48584347]
755_10571	chr1_KI270713v1_random	28669	29069	+	940	30.0	[]	[]	[10.880985]	[113]	[]	[28830]
755_10572	chr2	471569	471969	+	606	30.0	[10.880985]	[102]	[10.880985]	[104]	[471766]	[471768]
755_10573	chr2	8317489	8317889	+	1000	30.0	[10.880985]	[108]	[10.880985]	[110]	[8317672]	[8317674]
755_10585	chr2	69893703	69894103	+	940	30.0	[10.880985]	[116]	[]	[]	[69893899]	[]
755_10590	chr2	100893846	100894246	+	622	30.0	[9.08557]	[92]	[]	[]	[100894036]	[]
755_10593	chr2	131209325	131209725	+	860	30.0	[]	[]	[6.94984, 8.745255, 9.08557]	[73, 86, 106]	[]	[131209493, 131209506, 131209526]
755_1060	chr9	128881900	128882300	+	1000	103.0	[10.880985]	[106]	[10.880985]	[108]	[128882105]	[128882107]
755_10611	chr20	25390817	25391217	+	939	30.0	[]	[]	[9.08557]	[132]	[]	[25391030]
755_10618	chr21	38118660	38119060	+	1000	30.0	[10.880985]	[115]	[]	[]	[38118868]	[]
755_1063	chr12	121016336	121016736	+	1000	102.0	[10.880985]	[104]	[10.880985]	[106]	[121016529]	[121016531]
755_1064	chr13	64075836	64076236	+	1000	102.0	[]	[]	[9.08557]	[114]	[]	[64076049]
755_1065	chr14	20343436	20343836	+	1000	102.0	[10.880985]	[87]	[10.880985]	[89]	[20343621]	[20343623]
755_10657	chr22	19784795	19785195	+	1000	30.0	[9.08557]	[190]	[]	[]	[19785020]	[]
755_10660	chr22	19865186	19865586	+	1000	30.0	[]	[]	[6.94984]	[148]	[]	[19865387]
755_1067	chr19	45506375	45506775	+	1000	102.0	[10.880985]	[101]	[10.880985]	[103]	[45506572]	[45506574]
755_10670	chr22	20484394	20484794	+	936	30.0	[]	[]	[8.028987]	[202]	[]	[20484627]
755_10681	chr22	20894618	20895018	+	756	30.0	[10.880985]	[167]	[]	[]	[20894798]	[]
755_10687	chr22	21046522	21046922	+	1000	30.0	[]	[]	[9.08557]	[79]	[]	[21046678]
755_10719	chr3	43736567	43736967	+	859	30.0	[10.880985]	[103]	[8.745255]	[105]	[43736747]	[43736749]
755_10722	chr3	46509193	46509593	+	704	30.0	[10.880985]	[129]	[]	[]	[46509414]	[]
755_10725	chr3	48847692	48848092	+	1000	30.0	[9.08557]	[110]	[]	[]	[48847874]	[]
755_10729	chr3	84247762	84248162	+	1000	30.0	[9.08557]	[117]	[]	[]	[84247970]	[]
755_1073	chr3	158570902	158571302	+	1000	102.0	[10.880985]	[112]	[10.880985]	[114]	[158571111]	[158571113]
755_10743	chr4	3399845	3400245	+	771	30.0	[10.880985]	[96]	[10.880985]	[98]	[3400029]	[3400031]
755_10745	chr4	6673626	6674026	+	991	30.0	[]	[]	[9.08557]	[75]	[]	[6673785]
755_10746	chr4	37826439	37826839	+	759	30.0	[]	[]	[9.08557]	[85]	[]	[37826598]
755_10748	chr4	109433546	109433946	+	749	30.0	[9.08557]	[142]	[]	[]	[109433764]	[]
755_10757	chr5	17517536	17517936	+	917	30.0	[6.94984]	[128]	[]	[]	[17517764]	[]
755_10767	chr5	149959359	149959759	+	982	30.0	[10.880985]	[112]	[]	[]	[149959566]	[]
755_10782	chr6	31196971	31197371	+	1000	30.0	[]	[]	[10.880985]	[171]	[]	[31197216]
755_10796	chr6	44151732	44152132	+	1000	30.0	[]	[]	[10.880985]	[104]	[]	[44151887]
755_10805	chr6	137223720	137224120	+	768	30.0	[9.08557]	[126]	[]	[]	[137223934]	[]
755_10822	chr7	56105515	56105915	+	992	30.0	[10.880985, 8.745255]	[88, 141]	[10.880985]	[143]	[56105691, 56105744]	[56105746]
755_1083	chr12	132268650	132269050	+	1000	101.0	[10.880985]	[107]	[]	[]	[132268855]	[]
755_10847	chr7	150305283	150305683	+	997	30.0	[]	[]	[8.028987]	[141]	[]	[150305507]
755_1086	chr21	38121190	38121590	+	1000	101.0	[8.745255, 10.880985]	[116, 150]	[]	[]	[38121406, 38121440]	[]
755_10866	chr8	81842408	81842808	+	826	30.0	[]	[]	[9.08557]	[77]	[]	[81842580]
755_1087	chr22	19855709	19856109	+	1000	101.0	[9.08557]	[109]	[8.745255]	[133]	[19855911]	[19855935]
755_1089	chr6	44313162	44313562	+	1000	101.0	[8.745255, 8.028987]	[92, 108]	[]	[]	[44313344, 44313360]	[]
755_10890	chr9	123338974	123339374	+	1000	30.0	[10.880985]	[120]	[8.745255]	[122]	[123339186]	[123339188]
755_109	chr2	169584130	169584530	+	1000	316.0	[9.08557, 9.08557]	[63, 107]	[]	[]	[169584292, 169584336]	[]
755_1090	chr7	108525885	108526285	+	1000	101.0	[10.880985]	[100]	[]	[]	[108526085]	[]
755_10901	chr9	132901841	132902241	+	1000	30.0	[10.880985]	[157]	[]	[]	[132902074]	[]
755_1092	chr7	152025381	152025781	+	1000	101.0	[10.880985]	[108]	[10.880985, 8.028987]	[110, 131]	[152025588]	[152025590, 152025611]
755_10924	chr1	7624932	7625332	+	989	29.0	[10.880985]	[144]	[10.880985]	[146]	[7625147]	[7625149]
755_1094	chr9	92764810	92765210	+	1000	101.0	[9.08557]	[108]	[]	[]	[92765018]	[]
755_10942	chr1	29838743	29839143	+	975	29.0	[10.880985]	[109]	[10.880985]	[111]	[29838920]	[29838922]
755_10944	chr1	35768629	35769029	+	683	29.0	[8.028987]	[93]	[10.880985]	[123]	[35768820]	[35768850]
755_10948	chr1	39204388	39204788	+	577	29.0	[10.880985]	[142]	[]	[]	[39204616]	[]
755_1096	chr10	35126995	35127395	+	1000	100.0	[8.028987]	[95]	[8.745255]	[109]	[35127159]	[35127173]
755_10985	chr1	202009508	202009908	+	752	29.0	[10.880985]	[88]	[]	[]	[202009685]	[]
755_1099	chr19	40444566	40444966	+	1000	100.0	[10.880985]	[124]	[]	[]	[40444765]	[]
755_10991	chr1	206684694	206685094	+	875	29.0	[9.08557]	[113]	[]	[]	[206684906]	[]
755_10992	chr1	206685182	206685582	+	953	29.0	[]	[]	[10.880985]	[117]	[]	[206685369]
755_110	chr4	152536034	152536434	+	1000	316.0	[9.08557]	[112]	[]	[]	[152536245]	[]
755_11005	chr1	246565692	246566092	+	905	29.0	[8.745255]	[129]	[8.745255]	[131]	[246565913]	[246565915]
755_11007	chr10	5940900	5941300	+	943	29.0	[10.880985]	[110]	[]	[]	[5941099]	[]
755_11028	chr10	99994215	99994615	+	973	29.0	[8.028987]	[126]	[]	[]	[99994403]	[]
755_1103	chr3	129161248	129161648	+	1000	100.0	[]	[]	[9.08557]	[106]	[]	[129161452]
755_11032	chr11	2778742	2779142	+	914	29.0	[]	[]	[9.08557]	[112]	[]	[2778943]
755_11037	chr11	44565486	44565886	+	831	29.0	[9.08557]	[124]	[]	[]	[44565694]	[]
755_11045	chr11	65818196	65818596	+	969	29.0	[]	[]	[10.880985]	[161]	[]	[65818434]
755_11055	chr11	118791060	118791460	+	965	29.0	[]	[]	[9.08557]	[140]	[]	[118791300]
755_11056	chr11	118997633	118998033	+	846	29.0	[]	[]	[8.745255]	[187]	[]	[118997821]
755_11057	chr12	22082231	22082631	+	808	29.0	[]	[]	[9.08557]	[117]	[]	[22082437]
755_11065	chr12	93356209	93356609	+	707	29.0	[]	[]	[9.08557]	[98]	[]	[93356400]
755_1107	chr7	1418439	1418839	+	1000	100.0	[10.880985, 10.880985]	[96, 157]	[10.880985, 10.880985]	[98, 159]	[1418615, 1418676]	[1418617, 1418678]
755_11088	chr13	90175765	90176165	+	975	29.0	[]	[]	[6.94984]	[163]	[]	[90176009]
755_1111	chr10	63133034	63133434	+	1000	99.0	[10.880985]	[113]	[10.880985]	[115]	[63133240]	[63133242]
755_1112	chr10	70403895	70404295	+	1000	99.0	[]	[]	[10.880985]	[96]	[]	[70404090]
755_11129	chr13	93204076	93204476	+	712	29.0	[10.880985]	[99]	[10.880985]	[101]	[93204272]	[93204274]
755_11130	chr13	93268312	93268712	+	867	29.0	[]	[]	[8.745255]	[186]	[]	[93268559]
755_1115	chr13	102845557	102845957	+	1000	99.0	[]	[]	[10.880985]	[144]	[]	[102845777]
755_11153	chr15	49064888	49065288	+	819	29.0	[10.880985]	[95]	[10.880985]	[97]	[49065082]	[49065084]
755_11173	chr16	84970587	84970987	+	991	29.0	[10.880985]	[163]	[]	[]	[84970819]	[]
755_11180	chr17	39003143	39003543	+	812	29.0	[]	[]	[10.880985]	[90]	[]	[39003326]
755_11200	chr17_GL000205v2_random	87903	88303	+	706	29.0	[9.08557]	[119]	[]	[]	[88122]	[]
755_11202	chr18	596798	597198	+	627	29.0	[]	[]	[9.08557]	[97]	[]	[596993]
755_11203	chr18	3771291	3771691	+	828	29.0	[]	[]	[9.08557]	[101]	[]	[3771484]
755_11204	chr18	9101675	9102075	+	824	29.0	[10.880985]	[128]	[8.745255]	[130]	[9101891]	[9101893]
755_11213	chr19	2302237	2302637	+	868	29.0	[10.880985]	[155]	[10.880985, 10.880985]	[121, 157]	[2302472]	[2302438, 2302474]
755_1124	chr6	27753070	27753470	+	1000	99.0	[9.08557]	[89]	[]	[]	[27753252]	[]
755_11245	chr19	50312261	50312661	+	753	29.0	[]	[]	[9.08557]	[106]	[]	[50312451]
755_11248	chr19	57849638	57850038	+	899	29.0	[]	[]	[8.745255, 8.745255]	[90, 95]	[]	[57849826, 57849831]
755_11253	chr2	37196407	37196807	+	875	29.0	[]	[]	[8.028987]	[152]	[]	[37196609]
755_1127	chr9	83708032	83708432	+	1000	99.0	[10.880985]	[107]	[10.880985]	[109]	[83708232]	[83708234]
755_11271	chr2	172085684	172086084	+	942	29.0	[]	[]	[10.880985]	[200]	[]	[172085889]
755_11287	chr20	43459058	43459458	+	971	29.0	[8.028987]	[157]	[]	[]	[43459279]	[]
755_11288	chr21	32516750	32517150	+	723	29.0	[]	[]	[10.880985]	[89]	[]	[32516925]
755_11297	chr22	18057633	18058033	+	750	29.0	[10.880985]	[111]	[10.880985]	[113]	[18057831]	[18057833]
755_113	chr17	17476773	17477173	+	1000	313.0	[10.880985]	[110]	[]	[]	[17476980]	[]
755_1130	chr10	27155107	27155507	+	1000	98.0	[8.028987, 10.880985]	[87, 114]	[10.880985]	[116]	[27155289, 27155316]	[27155318]
755_1132	chr17	28662005	28662405	+	1000	98.0	[10.880985, 9.08557]	[97, 110]	[]	[]	[28662194, 28662207]	[]
755_1135	chr19	5791074	5791474	+	1000	98.0	[9.08557, 9.08557]	[89, 108]	[]	[]	[5791246, 5791265]	[]
755_11360	chr22	22217297	22217697	+	743	29.0	[]	[]	[6.94984]	[110]	[]	[22217461]
755_1137	chr21	46634956	46635356	+	1000	98.0	[]	[]	[10.880985]	[99]	[]	[46635148]
755_11374	chr3	12867908	12868308	+	927	29.0	[6.94984]	[122]	[]	[]	[12868104]	[]
755_11375	chr3	14389200	14389600	+	901	29.0	[10.880985]	[130]	[10.880985]	[132]	[14389410]	[14389412]
755_11383	chr3	126269384	126269784	+	664	29.0	[10.880985]	[105]	[10.880985]	[107]	[126269581]	[126269583]
755_1139	chr22	20496361	20496761	+	1000	98.0	[]	[]	[8.028987]	[107]	[]	[20496557]
755_11394	chr4	993659	994059	+	940	29.0	[]	[]	[6.94984]	[185]	[]	[993885]
755_11404	chr4	165476638	165477038	+	686	29.0	[]	[]	[10.880985]	[101]	[]	[165476838]
755_11405	chr4	172155880	172156280	+	906	29.0	[]	[]	[9.08557, 9.08557]	[127, 133]	[]	[172156104, 172156110]
755_11417	chr5	94094772	94095172	+	934	29.0	[10.880985]	[107]	[10.880985, 10.880985]	[109, 120]	[94094978]	[94094980, 94094991]
755_1142	chr5	172771136	172771536	+	1000	98.0	[10.880985]	[90]	[10.880985, 10.880985]	[92, 139]	[172771313]	[172771315, 172771362]
755_11424	chr5	171534095	171534495	+	910	29.0	[]	[]	[9.08557]	[161]	[]	[171534345]
755_11435	chr6	7140866	7141266	+	1000	29.0	[]	[]	[9.08557]	[184]	[]	[7141102]
755_11436	chr6	10886605	10887005	+	942	29.0	[10.880985]	[190]	[]	[]	[10886811]	[]
755_1144	chr6	43702703	43703103	+	1000	98.0	[]	[]	[9.08557]	[113]	[]	[43702915]
755_1145	chr7	100673538	100673938	+	1000	98.0	[]	[]	[9.08557]	[103]	[]	[100673735]
755_11466	chr6	150813230	150813630	+	902	29.0	[10.880985]	[108]	[10.880985]	[110]	[150813409]	[150813411]
755_11481	chr7	8261974	8262374	+	983	29.0	[]	[]	[10.880985, 9.08557]	[92, 98]	[]	[8262160, 8262166]
755_11484	chr7	42426224	42426624	+	973	29.0	[10.880985, 8.745255]	[94, 137]	[10.880985]	[96]	[42426417, 42426460]	[42426419]
755_11488	chr7	96302972	96303372	+	966	29.0	[]	[]	[10.880985]	[85]	[]	[96303157]
755_11498	chr7	121038642	121039042	+	777	29.0	[10.880985]	[92]	[]	[]	[121038825]	[]
755_11510	chr7	149318343	149318743	+	984	29.0	[]	[]	[10.880985]	[225]	[]	[149318589]
755_11514	chr7	155214287	155214687	+	701	29.0	[9.08557]	[104]	[]	[]	[155214479]	[]
755_11519	chr7	158861404	158861804	+	959	29.0	[10.880985, 10.880985]	[139, 150]	[]	[]	[158861618, 158861629]	[]
755_11523	chr8	30213215	30213615	+	730	29.0	[10.880985]	[122]	[10.880985]	[124]	[30213423]	[30213425]
755_1154	chr14	49862697	49863097	+	1000	97.0	[8.745255]	[100]	[10.880985]	[102]	[49862892]	[49862894]
755_11544	chr9	95411671	95412071	+	691	29.0	[]	[]	[10.880985]	[86]	[]	[95411831]
755_11551	chr9	120894667	120895067	+	926	29.0	[]	[]	[9.08557]	[143]	[]	[120894902]
755_11567	chr9	137128914	137129314	+	801	29.0	[]	[]	[9.08557]	[169]	[]	[137129150]
755_11575	chrX	16883197	16883597	+	956	29.0	[10.880985]	[137]	[8.028987]	[78]	[16883432]	[16883373]
755_1158	chr19	45632521	45632921	+	1000	97.0	[10.880985]	[110]	[10.880985]	[112]	[45632729]	[45632731]
755_11593	chr1	9529158	9529558	+	815	28.0	[9.08557]	[97]	[]	[]	[9529351]	[]
755_11639	chr1	112466006	112466406	+	794	28.0	[9.08557]	[171]	[]	[]	[112466220]	[]
755_1164	chr7	99500108	99500508	+	1000	97.0	[]	[]	[9.08557]	[90]	[]	[99500298]
755_11654	chr1	160101003	160101403	+	736	28.0	[]	[]	[10.880985]	[172]	[]	[160101253]
755_1167	chr1	8817545	8817945	+	1000	96.0	[9.08557]	[135]	[]	[]	[8817771]	[]
755_11675	chr1	236451975	236452375	+	885	28.0	[9.08557]	[119]	[]	[]	[236452191]	[]
755_11679	chr10	4849543	4849943	+	804	28.0	[]	[]	[10.880985]	[101]	[]	[4849725]
755_11700	chr10	79347246	79347646	+	853	28.0	[]	[]	[10.880985]	[183]	[]	[79347492]
755_11702	chr10	92829038	92829438	+	827	28.0	[]	[]	[10.880985]	[124]	[]	[92829244]
755_1171	chr15	43492949	43493349	+	1000	96.0	[]	[]	[10.880985]	[133]	[]	[43493170]
755_11715	chr11	33159481	33159881	+	856	28.0	[]	[]	[9.08557]	[155]	[]	[33159728]
755_11728	chr11	71452923	71453323	+	799	28.0	[9.08557]	[124]	[]	[]	[71453140]	[]
755_11736	chr12	752124	752524	+	910	28.0	[9.08557]	[125]	[]	[]	[752313]	[]
755_11739	chr12	50589835	50590235	+	870	28.0	[9.08557]	[147]	[]	[]	[50590053]	[]
755_1174	chr17	42964307	42964707	+	1000	96.0	[]	[]	[10.880985]	[114]	[]	[42964510]
755_11740	chr12	52023650	52024050	+	876	28.0	[]	[]	[8.028987]	[156]	[]	[52023898]
755_11761	chr13	41458179	41458579	+	796	28.0	[9.08557]	[61]	[]	[]	[41458340]	[]
755_11805	chr13	93279837	93280237	+	552	28.0	[8.028987]	[102]	[]	[]	[93279989]	[]
755_11823	chr14	55191601	55192001	+	780	28.0	[]	[]	[10.880985]	[143]	[]	[55191796]
755_11835	chr15	73346729	73347129	+	886	28.0	[10.880985]	[70]	[]	[]	[73346898]	[]
755_11839	chr15	78872093	78872493	+	721	28.0	[]	[]	[10.880985]	[88]	[]	[78872279]
755_1184	chr7	5452992	5453392	+	1000	96.0	[10.880985]	[106]	[10.880985]	[108]	[5453194]	[5453196]
755_11852	chr16	22680624	22681024	+	785	28.0	[9.08557]	[89]	[]	[]	[22680804]	[]
755_11854	chr16	30499388	30499788	+	917	28.0	[]	[]	[10.880985]	[81]	[]	[30499569]
755_1186	chr1	27772835	27773235	+	1000	95.0	[10.880985]	[102]	[10.880985]	[104]	[27773025]	[27773027]
755_11861	chr16	69396084	69396484	+	817	28.0	[10.880985]	[117]	[10.880985]	[119]	[69396239]	[69396241]
755_11868	chr16	81740118	81740518	+	796	28.0	[10.880985]	[117]	[]	[]	[81740322]	[]
755_11872	chr16	87203195	87203595	+	749	28.0	[8.028987]	[129]	[]	[]	[87203408]	[]
755_11882	chr17	28912327	28912727	+	865	28.0	[8.028987]	[98]	[]	[]	[28912483]	[]
755_1190	chr10	131900755	131901155	+	1000	95.0	[10.880985]	[106]	[10.880985]	[108]	[131900957]	[131900959]
755_11922	chr19	681231	681631	+	807	28.0	[]	[]	[10.880985]	[158]	[]	[681471]
755_1193	chr17	30116600	30117000	+	1000	95.0	[8.745255, 8.028987]	[86, 91]	[9.08557, 9.08557]	[102, 108]	[30116778, 30116783]	[30116794, 30116800]
755_11942	chr19	39839665	39840065	+	799	28.0	[9.08557]	[106]	[]	[]	[39839871]	[]
755_11969	chr2	60808413	60808813	+	661	28.0	[8.745255]	[123]	[]	[]	[60808633]	[]
755_1198	chr4	82900798	82901198	+	1000	95.0	[9.08557, 10.880985]	[101, 111]	[]	[]	[82900990, 82901000]	[]
755_11981	chr2	99554209	99554609	+	841	28.0	[10.880985, 8.028987]	[74, 116]	[]	[]	[99554383, 99554425]	[]
755_11984	chr2	130340053	130340453	+	655	28.0	[9.08557]	[93]	[]	[]	[130340238]	[]
755_11993	chr2	232502976	232503376	+	854	28.0	[10.880985, 10.880985]	[84, 104]	[10.880985, 10.880985]	[86, 106]	[232503141, 232503161]	[232503143, 232503163]
