#PeakID(python scan_motif.py ./ENCODE_processed_files/ELF1_idr.fa ELF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
686_1014	chr3	53130225	53130625	+	1000	136.0	[12.800334]	[105]	[10.831991]	[63]	[53130425]	[53130383]
686_10141	chr19	12723505	12723905	+	777	30.5	[]	[]	[6.7770047]	[154]	[]	[12723732]
686_10142	chr19	14518599	14518999	+	758	30.5	[11.964272]	[82]	[7.1500793]	[70]	[14518767]	[14518755]
686_10144	chr19	17469514	17469914	+	760	30.5	[10.831991]	[199]	[]	[]	[17469749]	[]
686_10146	chr19	19865856	19866256	+	649	30.5	[7.1053114]	[135]	[6.5834923]	[159]	[19866051]	[19866075]
686_10147	chr19	38417670	38418070	+	746	30.5	[9.106304]	[94]	[]	[]	[38417839]	[]
686_10148	chr19	41957725	41958125	+	679	30.5	[9.236269]	[81]	[]	[]	[41957896]	[]
686_1015	chr12	112409433	112409833	+	1000	135.5	[7.1053114]	[117]	[12.590676]	[133]	[112409641]	[112409657]
686_10150	chr19	44553476	44553876	+	706	30.5	[9.938401]	[170]	[]	[]	[44553681]	[]
686_10156	chr2	56142630	56143030	+	647	30.5	[]	[]	[8.651784]	[94]	[]	[56142793]
686_1016	chr17	57849856	57850256	+	1000	135.5	[8.716876]	[110]	[]	[]	[57850052]	[]
686_10160	chr2	189762629	189763029	+	755	30.5	[12.777884]	[60]	[]	[]	[189762782]	[]
686_10162	chr2	219294812	219295212	+	756	30.5	[7.0178514, 13.15916]	[80, 134]	[]	[]	[219294977, 219295031]	[]
686_10163	chr20	973718	974118	+	699	30.5	[]	[]	[9.875818]	[138]	[]	[973940]
686_10164	chr20	2524376	2524776	+	745	30.5	[]	[]	[8.793456]	[140]	[]	[2524610]
686_10165	chr20	29781708	29782108	+	720	30.5	[13.502466]	[63]	[]	[]	[29781867]	[]
686_10166	chr20	47355056	47355456	+	767	30.5	[13.502466, 6.7216086]	[126, 162]	[]	[]	[47355232, 47355268]	[]
686_10168	chr20	58268978	58269378	+	759	30.5	[9.062206, 7.900327]	[166, 218]	[]	[]	[58269156, 58269208]	[]
686_10169	chr20	63949131	63949531	+	740	30.5	[]	[]	[8.240355]	[186]	[]	[63949345]
686_10171	chr21	43883938	43884338	+	770	30.5	[]	[]	[9.062206]	[130]	[]	[43884142]
686_10173	chr22	17443481	17443881	+	702	30.5	[]	[]	[9.875818, 9.441459]	[149, 181]	[]	[17443700, 17443732]
686_10175	chr22	20677825	20678225	+	737	30.5	[8.243634]	[178]	[]	[]	[20678060]	[]
686_10182	chr22	22601346	22601746	+	791	30.5	[7.2679267]	[203]	[]	[]	[22601569]	[]
686_10184	chr22	23264550	23264950	+	738	30.5	[]	[]	[16.017126]	[171]	[]	[23264741]
686_10185	chr22	28560387	28560787	+	739	30.5	[8.224974]	[133]	[12.453062, 12.590676]	[150, 190]	[28560569]	[28560586, 28560626]
686_10186	chr3	4533675	4534075	+	773	30.5	[9.854824]	[181]	[]	[]	[4533888]	[]
686_1019	chr17	7572364	7572764	+	1000	135.0	[]	[]	[9.351434]	[130]	[]	[7572593]
686_10191	chr3	125595585	125595985	+	604	30.5	[7.080435]	[182]	[]	[]	[125595776]	[]
686_10194	chr3	142706610	142707010	+	765	30.5	[]	[]	[9.054054, 6.685075]	[83, 126]	[]	[142706771, 142706814]
686_10195	chr3	149752332	149752732	+	748	30.5	[]	[]	[12.777884]	[93]	[]	[149752492]
686_10197	chr4	98995506	98995906	+	724	30.5	[]	[]	[8.793456, 9.595095, 7.1942296]	[150, 173, 191]	[]	[98995692, 98995715, 98995733]
686_10199	chr4	118835017	118835417	+	773	30.5	[9.441459]	[178]	[]	[]	[118835238]	[]
686_102	chr10	16817527	16817927	+	1000	359.5	[9.919916]	[117]	[]	[]	[16817726]	[]
686_1020	chr2	70142669	70143069	+	1000	135.0	[8.716876]	[130]	[]	[]	[70142860]	[]
686_10201	chr5	32537501	32537901	+	782	30.5	[13.502466, 12.800334]	[93, 108]	[7.225245]	[165]	[32537676, 32537691]	[32537748]
686_10202	chr5	60700041	60700441	+	599	30.5	[9.56109]	[124]	[]	[]	[60700216]	[]
686_10207	chr5	151214144	151214544	+	761	30.5	[9.449611, 9.106304]	[118, 171]	[]	[]	[151214312, 151214365]	[]
686_1021	chr6	33271769	33272169	+	1000	135.0	[9.473548]	[88]	[]	[]	[33271938]	[]
686_10211	chr5	178232643	178233043	+	742	30.5	[]	[]	[8.725028]	[137]	[]	[178232866]
686_10213	chr6	6890337	6890737	+	773	30.5	[9.938401]	[88]	[]	[]	[6890521]	[]
686_10214	chr6	13395312	13395712	+	789	30.5	[]	[]	[7.971261]	[194]	[]	[13395538]
686_10216	chr6	16266652	16267052	+	787	30.5	[7.505192]	[143]	[]	[]	[16266894]	[]
686_10218	chr6	28474406	28474806	+	801	30.5	[]	[]	[6.863509]	[159]	[]	[28474655]
686_1022	chr1	156193751	156194151	+	1000	134.5	[8.784873]	[122]	[8.24912]	[134]	[156193973]	[156193985]
686_10220	chr6	31560287	31560687	+	701	30.5	[]	[]	[7.793728]	[99]	[]	[31560438]
686_10227	chr6	87728074	87728474	+	723	30.5	[]	[]	[6.770984]	[190]	[]	[87728316]
686_10228	chr6	104670812	104671212	+	693	30.5	[16.017126]	[116]	[]	[]	[104670964]	[]
686_10229	chr6	119312861	119313261	+	788	30.5	[7.527656, 9.286342]	[110, 142]	[]	[]	[119313034, 119313066]	[]
686_1023	chr1	169367818	169368218	+	1000	134.5	[9.473548]	[146]	[]	[]	[169367986]	[]
686_10230	chr6	149755543	149755943	+	766	30.5	[6.4641566]	[198]	[7.8291354]	[236]	[149755731]	[149755769]
686_10236	chr7	93591360	93591760	+	776	30.5	[6.5988393]	[141]	[7.382767, 7.0373144]	[150, 167]	[93591539]	[93591548, 93591565]
686_1024	chr10	73252453	73252853	+	1000	134.5	[8.716876]	[88]	[]	[]	[73252633]	[]
686_10242	chr7	134327855	134328255	+	670	30.5	[13.115062]	[145]	[9.942367]	[136]	[134328042]	[134328033]
686_10243	chr7	139124484	139124884	+	718	30.5	[]	[]	[13.15916]	[107]	[]	[139124665]
686_10244	chr7	148983631	148984031	+	729	30.5	[]	[]	[7.4349017]	[227]	[]	[148983880]
686_10247	chr8	14860202	14860602	+	787	30.5	[16.017126]	[164]	[]	[]	[14860407]	[]
686_1025	chr12	124917508	124917908	+	1000	134.5	[13.502466]	[165]	[9.938401]	[201]	[124917721]	[124917757]
686_10250	chr8	81858528	81858928	+	707	30.5	[]	[]	[7.5696073, 9.688612]	[139, 163]	[]	[81858744, 81858768]
686_10251	chr8	90226431	90226831	+	731	30.5	[16.017126]	[102]	[8.243634]	[96]	[90226621]	[90226615]
686_10254	chr8	141104692	141105092	+	768	30.5	[]	[]	[16.017126]	[211]	[]	[141104935]
686_10255	chr9	92293296	92293696	+	766	30.5	[]	[]	[7.123239]	[132]	[]	[92293462]
686_10256	chr9	123343326	123343726	+	546	30.5	[]	[]	[13.115062]	[194]	[]	[123343545]
686_1026	chr19	7636931	7637331	+	1000	134.5	[8.716876]	[100]	[]	[]	[7637119]	[]
686_10260	chr9	131077727	131078127	+	781	30.5	[]	[]	[9.595095]	[80]	[]	[131077883]
686_10266	chrX	132217171	132217571	+	747	30.5	[9.854824]	[187]	[]	[]	[132217414]	[]
686_10267	chr1	9142278	9142678	+	754	30.0	[9.054054]	[121]	[]	[]	[9142453]	[]
686_1027	chr2	73926618	73927018	+	1000	134.5	[9.919916]	[145]	[16.017126]	[79]	[73926863]	[73926797]
686_10272	chr1	24248827	24249227	+	752	30.0	[]	[]	[7.6130667]	[89]	[]	[24249008]
686_10274	chr1	32755845	32756245	+	730	30.0	[13.15916]	[147]	[11.651423]	[188]	[32756030]	[32756071]
686_10277	chr1	51297037	51297437	+	744	30.0	[]	[]	[6.6342473]	[69]	[]	[51297188]
686_10279	chr1	100351967	100352367	+	726	30.0	[]	[]	[7.114076]	[113]	[]	[100352140]
686_1028	chr4	173168079	173168479	+	1000	134.5	[7.6718717]	[147]	[9.054054]	[116]	[173168264]	[173168233]
686_10282	chr1	159077040	159077440	+	713	30.0	[7.6130667]	[128]	[]	[]	[159077228]	[]
686_10283	chr1	161721831	161722231	+	660	30.0	[11.964272, 7.080435]	[135, 143]	[]	[]	[161722025, 161722033]	[]
686_10288	chr1	207311162	207311562	+	768	30.0	[7.0323467]	[141]	[]	[]	[207311355]	[]
686_1029	chr5	28809101	28809501	+	1000	134.5	[16.017126]	[83]	[]	[]	[28809276]	[]
686_10291	chr10	24569332	24569732	+	775	30.0	[]	[]	[7.0279646]	[158]	[]	[24569538]
686_10297	chr11	65381640	65382040	+	619	30.0	[13.15916]	[207]	[]	[]	[65381860]	[]
686_10298	chr11	66616846	66617246	+	605	30.0	[11.651423]	[118]	[]	[]	[66616997]	[]
686_1030	chr13	78658933	78659333	+	1000	134.0	[6.4493685]	[121]	[]	[]	[78659145]	[]
686_10301	chr11	120952766	120953166	+	567	30.0	[]	[]	[12.453062]	[90]	[]	[120952948]
686_10302	chr12	6943796	6944196	+	764	30.0	[]	[]	[8.716876]	[130]	[]	[6943995]
686_10303	chr12	11798862	11799262	+	727	30.0	[9.495998, 12.453062]	[63, 79]	[9.495998, 12.712791]	[68, 96]	[11799021, 11799037]	[11799026, 11799054]
686_10304	chr12	46549819	46550219	+	752	30.0	[]	[]	[12.800334]	[96]	[]	[46549973]
686_10305	chr12	49233050	49233450	+	746	30.0	[]	[]	[7.123038]	[129]	[]	[49233254]
686_10307	chr12	57547011	57547411	+	597	30.0	[13.115062]	[115]	[]	[]	[57547185]	[]
686_10308	chr12	93571370	93571770	+	774	30.0	[]	[]	[6.591644]	[69]	[]	[93571534]
686_10309	chr12	106301715	106302115	+	683	30.0	[10.6445]	[130]	[]	[]	[106301902]	[]
686_1031	chr15	78540171	78540571	+	1000	134.0	[]	[]	[7.0178514]	[110]	[]	[78540375]
686_10311	chr12	121711851	121712251	+	547	30.0	[12.453062]	[127]	[]	[]	[121712078]	[]
686_10318	chr15	92831882	92832282	+	759	30.0	[8.240355]	[215]	[]	[]	[92832101]	[]
686_1032	chr17	7239504	7239904	+	1000	134.0	[9.919916]	[168]	[]	[]	[7239738]	[]
686_10320	chr16	46743240	46743640	+	695	30.0	[]	[]	[11.964272]	[166]	[]	[46743446]
686_10322	chr16	57480210	57480610	+	747	30.0	[]	[]	[6.3558517, 9.441459]	[68, 93]	[]	[57480367, 57480392]
686_10328	chr17	28577044	28577444	+	752	30.0	[13.502466]	[141]	[]	[]	[28577254]	[]
686_1033	chr19	12610553	12610953	+	1000	134.0	[9.550997]	[64]	[6.4493685]	[70]	[12610707]	[12610713]
686_10330	chr17	40287766	40288166	+	736	30.0	[7.9740243]	[172]	[]	[]	[40287998]	[]
686_10332	chr17_GL000205v2_random	76566	76966	+	639	30.0	[]	[]	[8.651784]	[206]	[]	[76775]
686_10333	chr18	6929864	6930264	+	724	30.0	[]	[]	[9.213819, 7.900327]	[76, 139]	[]	[6930040, 6930103]
686_10336	chr18	26088665	26089065	+	577	30.0	[]	[]	[10.647848]	[107]	[]	[26088871]
686_10337	chr19	3275373	3275773	+	759	30.0	[6.6342473]	[157]	[]	[]	[3275593]	[]
686_10338	chr19	6460036	6460436	+	676	30.0	[]	[]	[8.52967]	[220]	[]	[6460271]
686_1034	chr2	168802333	168802733	+	1000	134.0	[9.875818]	[128]	[10.257094]	[73]	[168802559]	[168802504]
686_10343	chr19	13102907	13103307	+	656	30.0	[]	[]	[10.687102]	[236]	[]	[13103155]
686_10344	chr19	14496095	14496495	+	747	30.0	[]	[]	[7.534257]	[94]	[]	[14496280]
686_10347	chr19	18340042	18340442	+	770	30.0	[8.240355]	[166]	[12.712791]	[115]	[18340249]	[18340198]
686_10349	chr19	39406207	39406607	+	765	30.0	[]	[]	[7.265795]	[180]	[]	[39406425]
686_1035	chr4	169757722	169758122	+	1000	134.0	[]	[]	[8.716876]	[147]	[]	[169757938]
686_10352	chr2	20424791	20425191	+	760	30.0	[12.453062]	[127]	[12.800334]	[158]	[20424976]	[20425007]
686_10354	chr2	31811967	31812367	+	744	30.0	[]	[]	[13.15916]	[139]	[]	[31812151]
686_1036	chr8	100953166	100953566	+	1000	134.0	[6.699158]	[117]	[]	[]	[100953373]	[]
686_10361	chr2	113012752	113013152	+	619	30.0	[]	[]	[7.114076]	[73]	[]	[113012918]
686_10362	chr2	171523633	171524033	+	604	30.0	[8.137034, 6.401559]	[144, 165]	[8.240355]	[121]	[171523839, 171523860]	[171523816]
686_10363	chr2	174031935	174032335	+	759	30.0	[]	[]	[13.15916]	[185]	[]	[174032147]
686_10364	chr2	183125819	183126219	+	599	30.0	[]	[]	[9.449611, 9.106304]	[97, 156]	[]	[183125988, 183126047]
686_10367	chr2	226772616	226773016	+	781	30.0	[9.441459, 7.343513]	[120, 127]	[9.441459]	[141]	[226772799, 226772806]	[226772820]
686_10368	chr20	4222460	4222860	+	679	30.0	[]	[]	[6.3342037, 8.460052]	[198, 233]	[]	[4222618, 4222653]
686_10369	chr20	21325279	21325679	+	621	30.0	[6.6380315]	[128]	[]	[]	[21325450]	[]
686_1037	chr1	85276308	85276708	+	1000	133.5	[]	[]	[8.716876]	[153]	[]	[85276527]
686_10371	chr20	44210835	44211235	+	760	30.0	[]	[]	[6.5834923]	[127]	[]	[44211058]
686_1038	chr13	30617688	30618088	+	1000	133.5	[9.449611]	[99]	[]	[]	[30617878]	[]
686_10390	chr22	22674616	22675016	+	715	30.0	[7.225245]	[150]	[]	[]	[22674829]	[]
686_10394	chr22	39439140	39439540	+	567	30.0	[9.351434]	[71]	[]	[]	[39439306]	[]
686_10395	chr3	5442306	5442706	+	785	30.0	[12.453062]	[203]	[]	[]	[5442548]	[]
686_10396	chr3	9398093	9398493	+	673	30.0	[]	[]	[8.7474785, 6.8903494]	[123, 174]	[]	[9398267, 9398318]
686_10397	chr3	10373608	10374008	+	718	30.0	[]	[]	[9.473548]	[130]	[]	[10373795]
686_1040	chr19	52897463	52897863	+	1000	133.5	[]	[]	[8.716876]	[121]	[]	[52897680]
686_10400	chr3	39154240	39154640	+	609	30.0	[]	[]	[7.1053114]	[185]	[]	[39154462]
686_10401	chr3	64023337	64023737	+	718	30.0	[]	[]	[7.5927477]	[159]	[]	[64023564]
686_10402	chr3	85504262	85504662	+	760	30.0	[]	[]	[11.107086]	[198]	[]	[85504484]
686_10405	chr3	183252806	183253206	+	661	30.0	[7.7344794, 7.789881]	[100, 174]	[]	[]	[183252960, 183253034]	[]
686_10406	chr3	194002461	194002861	+	772	30.0	[7.431055]	[149]	[]	[]	[194002620]	[]
686_10407	chr3	194633652	194634052	+	752	30.0	[7.9277945]	[204]	[]	[]	[194633880]	[]
686_10408	chr4	82901395	82901795	+	667	30.0	[8.460052, 6.6586843]	[69, 112]	[]	[]	[82901553, 82901596]	[]
686_1041	chr2	100562726	100563126	+	1000	133.5	[]	[]	[8.224974]	[71]	[]	[100562878]
686_10411	chr5	72234177	72234577	+	760	30.0	[11.651423]	[152]	[]	[]	[72234375]	[]
686_10414	chr5	132179897	132180297	+	747	30.0	[]	[]	[6.591644]	[224]	[]	[132180141]
686_10415	chr5	132528327	132528727	+	636	30.0	[]	[]	[16.017126, 9.595095]	[105, 181]	[]	[132528486, 132528562]
686_10418	chr5	164347151	164347551	+	758	30.0	[]	[]	[9.062206]	[139]	[]	[164347303]
686_10422	chr6	4678509	4678909	+	761	30.0	[]	[]	[13.15916]	[198]	[]	[4678738]
686_10430	chr6	30815156	30815556	+	779	30.0	[]	[]	[6.511952]	[156]	[]	[30815349]
686_10434	chr6	37630371	37630771	+	567	30.0	[6.5834923, 8.793456]	[100, 126]	[]	[]	[37630549, 37630575]	[]
686_10438	chr6	56542344	56542744	+	667	30.0	[6.7688527]	[127]	[]	[]	[56542553]	[]
686_10439	chr7	6995509	6995909	+	647	30.0	[9.106304]	[137]	[]	[]	[6995664]	[]
686_1044	chr3	131026622	131027022	+	1000	133.5	[]	[]	[9.919916]	[99]	[]	[131026814]
686_10440	chr7	12687438	12687838	+	777	30.0	[6.705439]	[197]	[]	[]	[12687654]	[]
686_10441	chr7	12727587	12727987	+	688	30.0	[7.963109]	[133]	[]	[]	[12727797]	[]
686_10443	chr7	43572363	43572763	+	779	30.0	[8.224974]	[159]	[]	[]	[43572537]	[]
686_10446	chr7	56061502	56061902	+	590	30.0	[]	[]	[9.136763]	[268]	[]	[56061707]
686_10447	chr7	65980780	65981180	+	771	30.0	[]	[]	[7.5276423, 13.115062]	[98, 135]	[]	[65980959, 65980996]
686_10449	chr7	73715451	73715851	+	777	30.0	[]	[]	[8.659936]	[165]	[]	[73715625]
686_1045	chr11	18634190	18634590	+	1000	133.0	[]	[]	[7.971893, 12.777884]	[81, 123]	[]	[18634344, 18634386]
686_10450	chr7	74452430	74452830	+	754	30.0	[13.15916]	[99]	[]	[]	[74452589]	[]
686_10451	chr7	78020509	78020909	+	743	30.0	[7.453959, 7.1053114]	[134, 142]	[]	[]	[78020712, 78020720]	[]
686_10454	chr7	100546206	100546606	+	760	30.0	[]	[]	[9.026612]	[180]	[]	[100546425]
686_10455	chr7	100840393	100840793	+	742	30.0	[7.08763, 9.595095, 6.378302]	[142, 169, 183]	[]	[]	[100840570, 100840597, 100840611]	[]
686_10457	chr7	106658460	106658860	+	752	30.0	[]	[]	[6.3342037]	[190]	[]	[106658706]
686_10461	chr7	108538184	108538584	+	755	30.0	[9.595095]	[144]	[]	[]	[108538397]	[]
686_10467	chr8	10649511	10649911	+	660	30.0	[]	[]	[6.5988393]	[172]	[]	[10649755]
686_10468	chr8	55757429	55757829	+	758	30.0	[]	[]	[7.8291354]	[124]	[]	[55757594]
686_10471	chr9	3526287	3526687	+	749	30.0	[7.867843]	[155]	[9.236269]	[228]	[3526464]	[3526537]
686_10472	chr9	35079910	35080310	+	744	30.0	[6.5906878]	[110]	[]	[]	[35080115]	[]
686_10473	chr9	83921381	83921781	+	780	30.0	[13.115062]	[141]	[7.054231]	[92]	[83921589]	[83921540]
686_10476	chr9	128217535	128217935	+	763	30.0	[8.240355]	[216]	[7.4055414]	[166]	[128217786]	[128217736]
686_10479	chr9	131121743	131122143	+	587	30.0	[]	[]	[10.454414]	[123]	[]	[131121964]
686_1048	chr7	151057951	151058351	+	1000	133.0	[9.441459]	[106]	[]	[]	[151058122]	[]
686_10483	chr9	133375056	133375456	+	723	30.0	[]	[]	[6.893543]	[155]	[]	[133375244]
686_10484	chr9	135506421	135506821	+	607	30.0	[]	[]	[6.6342473]	[193]	[]	[135506654]
686_10486	chrUn_KI270742v1	6555	6955	+	723	30.0	[7.1053114]	[195]	[10.831991]	[130]	[6800]	[6735]
686_10487	chrX	15335378	15335778	+	733	30.0	[]	[]	[6.6342473]	[155]	[]	[15335554]
