#PeakID(python identify_motif.py ./ENCODE_processed_files/NFE2_idr.fa NFE2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
314_10076	chr1	245986852	245987252	+	1000	93.0	[12.570218]	[63]	[13.2684965]	[63]	[245987014]	[245987014]
314_10077	chr10	16944522	16944922	+	1000	93.0	[8.735081]	[111]	[10.383591]	[111]	[16944718]	[16944718]
314_10078	chr10	46217458	46217858	+	1000	93.0	[8.68418]	[120]	[10.318143]	[120]	[46217673]	[46217673]
314_1008	chr15	91536787	91537187	+	1000	324.0	[8.735081]	[111]	[10.383591]	[111]	[91536996]	[91536996]
314_10080	chr10	129498646	129499046	+	1000	93.0	[6.01237]	[101]	[6.7177763]	[101]	[129498843]	[129498843]
314_10081	chr11	18371290	18371690	+	1000	93.0	[6.01237]	[121]	[6.7177763]	[121]	[18371507]	[18371507]
314_10082	chr11	46380319	46380719	+	1000	93.0	[6.7177763]	[112]	[6.01237]	[112]	[46380524]	[46380524]
314_10085	chr11	118735172	118735572	+	1000	93.0	[7.587974]	[142]	[5.1457915]	[142]	[118735408]	[118735408]
314_10086	chr12	818795	819195	+	1000	93.0	[8.735081]	[107]	[10.383591, 3.8611343]	[107, 141]	[818997]	[818997, 819031]
314_10087	chr12	1226955	1227355	+	1000	93.0	[8.735081]	[111]	[10.383591]	[111]	[1227159]	[1227159]
314_10089	chr12	54219983	54220383	+	1000	93.0	[]	[]	[3.7824428]	[80]	[]	[54220145]
314_10090	chr12	72031078	72031478	+	1000	93.0	[3.7893171]	[146]	[]	[]	[72031320]	[]
314_10091	chr12	93078572	93078972	+	1000	93.0	[8.735081]	[104]	[10.383591]	[104]	[93078775]	[93078775]
314_10092	chr12	98719499	98719899	+	1000	93.0	[]	[]	[3.825743]	[104]	[]	[98719700]
314_10094	chr12	131441633	131442033	+	1000	93.0	[4.392465]	[88]	[4.268303]	[88]	[131441820]	[131441820]
314_10095	chr12	132622506	132622906	+	1000	93.0	[10.383591]	[100]	[8.735081]	[100]	[132622705]	[132622705]
314_10096	chr12	132827713	132828113	+	1000	93.0	[15.292928]	[139]	[16.93431]	[139]	[132827925]	[132827925]
314_10097	chr13	109695084	109695484	+	1000	93.0	[10.310684]	[123]	[8.706215]	[123]	[109695299]	[109695299]
314_10099	chr14	39376753	39377153	+	1000	93.0	[10.383591]	[114]	[8.735081]	[114]	[39376962]	[39376962]
314_101	chr7	102973104	102973504	+	1000	497.0	[5.076393]	[107]	[7.6537538]	[107]	[102973307]	[102973307]
314_10104	chr15	58179727	58180127	+	1000	93.0	[]	[]	[3.937039]	[124]	[]	[58179910]
314_10105	chr15	69511039	69511439	+	1000	93.0	[10.383591]	[97]	[8.735081]	[97]	[69511225]	[69511225]
314_10106	chr15	73527593	73527993	+	1000	93.0	[3.8442411]	[73]	[]	[]	[73527758]	[]
314_10109	chr17	7842887	7843287	+	1000	93.0	[]	[]	[3.825743]	[102]	[]	[7843078]
314_10110	chr17	17942865	17943265	+	1000	93.0	[8.735081]	[113]	[10.383591]	[113]	[17943076]	[17943076]
314_10111	chr17	37276453	37276853	+	1000	93.0	[4.261176]	[105]	[4.399592]	[105]	[37276646]	[37276646]
314_10113	chr17	48897912	48898312	+	1000	93.0	[10.376464]	[107]	[8.742208]	[107]	[48898106]	[48898106]
314_10114	chr18	267949	268349	+	1000	93.0	[]	[]	[3.825743]	[183]	[]	[268194]
314_10115	chr18	36890575	36890975	+	1000	93.0	[10.310684]	[121]	[8.706215]	[121]	[36890786]	[36890786]
314_10119	chr19	35389412	35389812	+	1000	93.0	[8.706215, 15.292928]	[91, 98]	[10.310684, 16.93431]	[91, 98]	[35389596, 35389603]	[35389596, 35389603]
314_1012	chr22	20777704	20778104	+	1000	324.0	[]	[]	[3.8114533]	[81]	[]	[20777865]
314_10120	chr19	48190251	48190651	+	1000	93.0	[8.735081]	[101]	[10.383591]	[101]	[48190445]	[48190445]
314_10121	chr19	50878818	50879218	+	1000	93.0	[5.9688525]	[77]	[6.7248683]	[77]	[50878985]	[50878985]
314_10122	chr2	9914623	9915023	+	1000	93.0	[8.904404]	[98]	[10.545787]	[98]	[9914811]	[9914811]
314_10124	chr2	47564127	47564527	+	1000	93.0	[3.825743]	[95]	[]	[]	[47564320]	[]
314_10125	chr2	68806444	68806844	+	1000	93.0	[14.211601]	[79]	[11.627113]	[79]	[68806607]	[68806607]
314_10127	chr2	178258944	178259344	+	1000	93.0	[8.735081]	[106]	[10.383591]	[106]	[178259149]	[178259149]
314_10128	chr2	179344433	179344833	+	1000	93.0	[6.7177763]	[96]	[6.01237]	[96]	[179344622]	[179344622]
314_10129	chr2	233350750	233351150	+	1000	93.0	[10.819023, 13.2684965, 3.7895699]	[95, 107, 174]	[10.950313, 12.570218]	[95, 107]	[233350912, 233350924, 233350991]	[233350912, 233350924]
314_1013	chr6	31969583	31969983	+	1000	324.0	[10.383591]	[108]	[8.735081]	[108]	[31969784]	[31969784]
314_10130	chr20	1325154	1325554	+	1000	93.0	[4.0162387]	[147]	[]	[]	[1325394]	[]
314_10133	chr22	21778966	21779366	+	1000	93.0	[14.211601]	[96]	[11.627113]	[96]	[21779160]	[21779160]
314_10136	chr22	32873626	32874026	+	1000	93.0	[6.64487]	[130]	[3.8114533, 6.088896]	[112, 130]	[32873856]	[32873838, 32873856]
314_10137	chr3	32249409	32249809	+	1000	93.0	[10.318143]	[125]	[8.68418]	[125]	[32249625]	[32249625]
314_10138	chr3	46102749	46103149	+	1000	93.0	[8.735081]	[103]	[10.383591]	[103]	[46102950]	[46102950]
314_1014	chr1	67191705	67192105	+	1000	323.0	[4.261176]	[105]	[4.399592]	[105]	[67191909]	[67191909]
314_10140	chr3	70916584	70916984	+	1000	93.0	[10.383591]	[101]	[8.735081]	[101]	[70916783]	[70916783]
314_10142	chr3	107894962	107895362	+	1000	93.0	[10.383591]	[102]	[8.735081]	[102]	[107895151]	[107895151]
314_10143	chr3	108387052	108387452	+	1000	93.0	[10.383591]	[114]	[8.735081]	[114]	[108387258]	[108387258]
314_10144	chr3	128559487	128559887	+	1000	93.0	[8.735081]	[112]	[10.383591]	[112]	[128559699]	[128559699]
314_10146	chr3	160565996	160566396	+	1000	93.0	[4.261176]	[99]	[4.399592]	[99]	[160566188]	[160566188]
314_10148	chr3	186882780	186883180	+	1000	93.0	[6.6523285, 8.096313]	[69, 114]	[5.96147, 7.284498]	[69, 114]	[186882945, 186882990]	[186882945, 186882990]
314_10154	chr4	81540302	81540702	+	1000	93.0	[3.92216]	[170]	[]	[]	[81540547]	[]
314_10155	chr4	113584783	113585183	+	1000	93.0	[6.01237]	[91]	[6.7177763]	[91]	[113584969]	[113584969]
314_10156	chr5	91212214	91212614	+	1000	93.0	[7.6537538]	[113]	[5.076393]	[113]	[91212427]	[91212427]
314_10158	chr5	113051089	113051489	+	1000	93.0	[4.399592]	[98]	[4.261176, 3.7897503]	[98, 138]	[113051279]	[113051279, 113051319]
314_10159	chr5	154205375	154205775	+	1000	93.0	[4.3635993]	[79]	[4.195397]	[79]	[154205546]	[154205546]
314_1016	chr11	67583555	67583955	+	1000	323.0	[6.7177763]	[95]	[6.01237]	[95]	[67583745]	[67583745]
314_10161	chr6	1630685	1631085	+	1000	93.0	[10.376464]	[107]	[8.742208]	[107]	[1630889]	[1630889]
314_10167	chr6	31058259	31058659	+	1000	93.0	[10.376464, 15.292928]	[96, 107]	[8.742208, 16.93431]	[96, 107]	[31058451, 31058462]	[31058451, 31058462]
314_10169	chr6	46974785	46975185	+	1000	93.0	[10.310684]	[104]	[8.669301]	[104]	[46974972]	[46974972]
314_1017	chr16	81141364	81141764	+	1000	323.0	[6.01237]	[98]	[6.7177763]	[98]	[81141559]	[81141559]
314_10175	chr6	149711733	149712133	+	1000	93.0	[]	[]	[3.92216]	[144]	[]	[149711964]
314_10176	chr7	8516979	8517379	+	1000	93.0	[6.7177763]	[95]	[6.01237]	[95]	[8517167]	[8517167]
314_10179	chr7	30485722	30486122	+	1000	93.0	[6.01237, 3.7968774]	[74, 97]	[6.7177763]	[74]	[30485893, 30485916]	[30485893]
314_10183	chr7	97879535	97879935	+	1000	93.0	[6.01237]	[104]	[6.7177763]	[104]	[97879735]	[97879735]
314_10184	chr7	108084069	108084469	+	1000	93.0	[16.93431]	[120]	[15.292928]	[120]	[108084278]	[108084278]
314_10187	chr8	11291865	11292265	+	1000	93.0	[4.326686]	[150]	[4.217658]	[150]	[11292112]	[11292112]
314_10189	chr8	58104604	58105004	+	1000	93.0	[10.383591]	[95]	[8.735081]	[95]	[58104789]	[58104789]
314_1019	chr18	9825569	9825969	+	1000	323.0	[16.93431]	[111]	[15.292928]	[111]	[9825777]	[9825777]
314_10191	chr8	128149980	128150380	+	1000	93.0	[12.570218]	[92]	[13.2684965]	[92]	[128150169]	[128150169]
314_10194	chr9	107707980	107708380	+	1000	93.0	[15.292928]	[83]	[16.93431]	[83]	[107708153]	[107708153]
314_10197	chrX	108036375	108036775	+	1000	93.0	[10.376464]	[107]	[8.742208]	[107]	[108036582]	[108036582]
314_10199	chr1	8107894	8108294	+	1000	92.0	[6.7177763]	[130]	[6.01237]	[130]	[8108109]	[8108109]
314_10201	chr1	19313637	19314037	+	1000	92.0	[3.825743]	[103]	[]	[]	[19313835]	[]
314_10204	chr1	26079804	26080204	+	1000	92.0	[6.7177763]	[134]	[6.01237]	[134]	[26080028]	[26080028]
314_10207	chr1	93567407	93567807	+	1000	92.0	[8.811605]	[137]	[10.310684]	[137]	[93567629]	[93567629]
314_10208	chr1	113904615	113905015	+	1000	92.0	[8.742208]	[98]	[10.376464]	[98]	[113904809]	[113904809]
314_1021	chr6	3442699	3443099	+	1000	323.0	[6.7177763]	[89]	[6.01237]	[89]	[3442888]	[3442888]
314_10214	chr1	203733221	203733621	+	1000	92.0	[5.0034866, 4.217658]	[93, 110]	[7.587974, 4.406684]	[93, 110]	[203733401, 203733418]	[203733401, 203733418]
314_10216	chr1	212488678	212489078	+	1000	92.0	[5.0034866]	[66]	[7.6102357]	[66]	[212488829]	[212488829]
314_10219	chr1	247852602	247853002	+	1000	92.0	[]	[]	[3.825743]	[106]	[]	[247852806]
314_1022	chr7	22317636	22318036	+	1000	323.0	[4.3635993]	[54]	[4.195397]	[54]	[22317787]	[22317787]
314_10220	chr10	16597669	16598069	+	1000	92.0	[11.627113]	[72]	[14.211601]	[72]	[16597836]	[16597836]
314_10221	chr10	22630614	22631014	+	1000	92.0	[14.211601]	[109]	[11.627113]	[109]	[22630807]	[22630807]
314_10222	chr10	44788857	44789257	+	1000	92.0	[4.406684]	[56]	[4.217658]	[56]	[44789012]	[44789012]
314_10224	chr10	112383314	112383714	+	1000	92.0	[6.7177763]	[97]	[6.01237]	[97]	[112383503]	[112383503]
314_10225	chr11	2912519	2912919	+	1000	92.0	[6.01237, 13.2684965]	[101, 139]	[6.7177763, 12.570218]	[101, 139]	[2912720, 2912758]	[2912720, 2912758]
314_10226	chr11	16359306	16359706	+	1000	92.0	[16.93431]	[92]	[15.292928]	[92]	[16359498]	[16359498]
314_10228	chr11	61820146	61820546	+	1000	92.0	[8.669301, 8.904404]	[79, 120]	[10.45299, 10.545787]	[79, 120]	[61820315, 61820356]	[61820315, 61820356]
314_10232	chr11	86134726	86135126	+	1000	92.0	[]	[]	[3.8033974]	[143]	[]	[86134963]
314_10233	chr11	93822342	93822742	+	1000	92.0	[6.01237]	[102]	[6.7177763]	[102]	[93822538]	[93822538]
314_10234	chr12	26188238	26188638	+	1000	92.0	[10.383591]	[97]	[8.735081]	[97]	[26188435]	[26188435]
314_10235	chr12	28026745	28027145	+	1000	92.0	[3.8185804]	[108]	[]	[]	[28026950]	[]
314_10237	chr12	76450725	76451125	+	1000	92.0	[10.376464]	[110]	[8.742208]	[110]	[76450933]	[76450933]
314_10239	chr12	108664721	108665121	+	1000	92.0	[6.64487]	[93]	[5.983505]	[93]	[108664912]	[108664912]
314_10241	chr13	41132493	41132893	+	1000	92.0	[7.6537538]	[120]	[5.076393]	[120]	[41132693]	[41132693]
314_10244	chr14	65254956	65255356	+	1000	92.0	[7.6679726, 8.735081]	[55, 94]	[5.0257483, 10.383591]	[55, 94]	[65255111, 65255150]	[65255111, 65255150]
314_10245	chr14	67700549	67700949	+	1000	92.0	[13.2684965]	[110]	[12.570218]	[110]	[67700754]	[67700754]
314_10246	chr14	77059535	77059935	+	1000	92.0	[5.076393]	[101]	[7.6537538]	[101]	[77059729]	[77059729]
314_10247	chr15	51503002	51503402	+	1000	92.0	[10.383591]	[95]	[8.735081]	[95]	[51503196]	[51503196]
314_10249	chr15	96347777	96348177	+	1000	92.0	[3.923441]	[144]	[]	[]	[96348021]	[]
314_1025	chr1	234893764	234894164	+	1000	322.0	[10.383591, 5.076393]	[91, 111]	[8.735081, 7.6537538]	[91, 111]	[234893950, 234893970]	[234893950, 234893970]
314_10252	chr16	23784786	23785186	+	1000	92.0	[3.937039, 10.318143]	[73, 128]	[8.68418]	[128]	[23784953, 23785008]	[23785008]
314_10254	chr16	56203055	56203455	+	1000	92.0	[10.383591]	[118]	[8.735081]	[118]	[56203269]	[56203269]
314_10255	chr16	79874499	79874899	+	1000	92.0	[6.01237]	[108]	[6.7177763]	[108]	[79874700]	[79874700]
314_10256	chr16	85306171	85306571	+	1000	92.0	[]	[]	[3.7822251]	[123]	[]	[85306385]
314_10259	chr17	68441989	68442389	+	1000	92.0	[10.376464]	[105]	[8.742208]	[105]	[68442193]	[68442193]
314_10264	chr19	5718431	5718831	+	1000	92.0	[7.6537538]	[98]	[5.076393]	[98]	[5718626]	[5718626]
314_10265	chr19	17268175	17268575	+	1000	92.0	[4.0162387, 13.2684965]	[84, 101]	[12.570218]	[101]	[17268356, 17268373]	[17268373]
314_10266	chr19	29893612	29894012	+	1000	92.0	[4.217658]	[79]	[4.326686]	[79]	[29893782]	[29893782]
314_10267	chr19	34225311	34225711	+	1000	92.0	[15.292928]	[127]	[16.93431]	[127]	[34225520]	[34225520]
314_10268	chr19	38652394	38652794	+	1000	92.0	[7.6537538]	[109]	[5.076393]	[109]	[38652601]	[38652601]
314_10269	chr19	44753289	44753689	+	1000	92.0	[3.92216]	[132]	[]	[]	[44753513]	[]
314_10272	chr19	58403929	58404329	+	1000	92.0	[10.383591]	[97]	[8.735081]	[97]	[58404125]	[58404125]
314_10273	chr2	5884056	5884456	+	1000	92.0	[8.735081]	[107]	[10.383591]	[107]	[5884256]	[5884256]
314_10276	chr2	69163019	69163419	+	1000	92.0	[10.383591]	[117]	[8.735081]	[117]	[69163228]	[69163228]
314_10278	chr2	109558469	109558869	+	1000	92.0	[10.383591]	[95]	[8.735081]	[95]	[109558663]	[109558663]
314_1028	chr22	26658889	26659289	+	1000	322.0	[8.742208]	[104]	[10.376464]	[104]	[26659091]	[26659091]
314_10282	chr2	152298757	152299157	+	1000	92.0	[10.383591]	[95]	[8.735081]	[95]	[152298952]	[152298952]
314_10285	chr2	195695148	195695548	+	1000	92.0	[6.01237]	[103]	[6.7177763]	[103]	[195695351]	[195695351]
314_10288	chr20	19947841	19948241	+	1000	92.0	[16.93431]	[129]	[15.292928]	[129]	[19948068]	[19948068]
314_10289	chr20	32504936	32505336	+	1000	92.0	[8.742208]	[114]	[10.376464]	[114]	[32505142]	[32505142]
314_1029	chr4	48173351	48173751	+	1000	322.0	[8.735081]	[101]	[10.383591]	[101]	[48173551]	[48173551]
314_10290	chr20	37316522	37316922	+	1000	92.0	[5.0034866]	[155]	[7.682053]	[155]	[37316771]	[37316771]
314_10291	chr21	29196335	29196735	+	1000	92.0	[12.570218]	[97]	[13.2684965]	[97]	[29196531]	[29196531]
314_10293	chr22	22037781	22038181	+	1000	92.0	[6.01237]	[123]	[6.7177763]	[123]	[22038000]	[22038000]
314_10294	chr22	38201762	38202162	+	1000	92.0	[5.0109453]	[129]	[7.6028533]	[129]	[38201988]	[38201988]
314_10295	chr22	40177025	40177425	+	1000	92.0	[10.383591]	[101]	[8.735081]	[101]	[40177221]	[40177221]
314_10299	chr3	12405685	12406085	+	1000	92.0	[10.819023]	[82]	[10.950313]	[82]	[12405849]	[12405849]
314_103	chr1	241806907	241807307	+	1000	495.0	[6.7177763]	[106]	[6.01237]	[106]	[241807113]	[241807113]
314_10302	chr3	48989619	48990019	+	1000	92.0	[8.706215]	[98]	[10.310684]	[98]	[48989817]	[48989817]
314_10306	chr3	156788163	156788563	+	1000	92.0	[16.93431]	[155]	[15.292928]	[155]	[156788390]	[156788390]
314_10308	chr3	172550536	172550936	+	1000	92.0	[10.383591, 5.0257483]	[106, 139]	[3.9022686, 8.735081, 7.6679726]	[99, 106, 139]	[172550725, 172550758]	[172550718, 172550725, 172550758]
314_10309	chr3	177679675	177680075	+	1000	92.0	[10.383591]	[87]	[8.735081]	[87]	[177679842]	[177679842]
314_1031	chr5	142598100	142598500	+	1000	322.0	[6.01237]	[95]	[6.7177763, 3.825743]	[95, 107]	[142598295]	[142598295, 142598307]
314_10310	chr3	187098920	187099320	+	1000	92.0	[16.93431]	[111]	[15.292928]	[111]	[187099119]	[187099119]
314_10312	chr4	8599621	8600021	+	1000	92.0	[8.904404]	[138]	[10.545787]	[138]	[8599849]	[8599849]
314_10316	chr4	68267599	68267999	+	1000	92.0	[3.825743]	[115]	[]	[]	[68267808]	[]
314_10317	chr4	74632656	74633056	+	1000	92.0	[10.404763]	[143]	[8.669301]	[143]	[74632886]	[74632886]
314_10319	chr4	83139575	83139975	+	1000	92.0	[8.735081, 15.292928]	[103, 110]	[10.383591, 16.93431]	[103, 110]	[83139773, 83139780]	[83139773, 83139780]
314_10321	chr4	102430494	102430894	+	1000	92.0	[4.399592]	[79]	[4.261176]	[79]	[102430669]	[102430669]
314_10322	chr4	165254758	165255158	+	1000	92.0	[]	[]	[3.825743]	[99]	[]	[165254956]
314_10324	chr5	34699742	34700142	+	1000	92.0	[]	[]	[3.8442411]	[56]	[]	[34699895]
314_10327	chr5	179760167	179760567	+	1000	92.0	[8.735081]	[110]	[10.383591]	[110]	[179760368]	[179760368]
314_1033	chr1	51487640	51488040	+	1000	321.0	[6.64487]	[103]	[5.946591]	[103]	[51487843]	[51487843]
314_10331	chr6	26427401	26427801	+	1000	92.0	[3.825743]	[108]	[]	[]	[26427602]	[]
314_10332	chr6	41228724	41229124	+	1000	92.0	[4.268303, 3.8185804]	[124, 143]	[4.392465]	[124]	[41228936, 41228955]	[41228936]
314_10333	chr6	43494350	43494750	+	1000	92.0	[8.735081]	[120]	[10.383591]	[120]	[43494566]	[43494566]
314_10338	chr6	157758543	157758943	+	1000	92.0	[6.01237]	[94]	[6.7177763]	[94]	[157758731]	[157758731]
314_1034	chr1	115669025	115669425	+	1000	321.0	[10.383591, 6.7871747]	[102, 132]	[8.735081, 5.946591]	[102, 132]	[115669225, 115669255]	[115669225, 115669255]
314_10342	chr7	106378073	106378473	+	1000	92.0	[5.946591]	[144]	[6.674476]	[144]	[106378276]	[106378276]
314_10343	chr7	117017905	117018305	+	1000	92.0	[]	[]	[3.8114533]	[99]	[]	[117018104]
314_10345	chr7	131369322	131369722	+	1000	92.0	[10.347598]	[98]	[8.68418]	[98]	[131369506]	[131369506]
314_10348	chr7	140199969	140200369	+	1000	92.0	[4.195397, 8.706215]	[127, 171]	[4.3635993, 10.310684]	[127, 171]	[140200166, 140200210]	[140200166, 140200210]
314_10349	chr7	150996300	150996700	+	1000	92.0	[]	[]	[3.825743]	[107]	[]	[150996503]
314_1035	chr14	23035037	23035437	+	1000	321.0	[5.097565]	[137]	[7.587974]	[137]	[23035269]	[23035269]
314_10350	chr7	152499992	152500392	+	1000	92.0	[8.735081]	[96]	[10.383591]	[96]	[152500183]	[152500183]
314_10355	chr8	101153739	101154139	+	1000	92.0	[]	[]	[3.7824428]	[176]	[]	[101153982]
314_10357	chr9	88852786	88853186	+	1000	92.0	[8.735081]	[107]	[10.383591]	[107]	[88852993]	[88852993]
314_10359	chr9	127955408	127955808	+	1000	92.0	[16.93431, 4.399592]	[82, 118]	[15.292928, 4.261176]	[82, 118]	[127955585, 127955621]	[127955585, 127955621]
314_1036	chr15	96392328	96392728	+	1000	321.0	[10.383591]	[96]	[8.735081]	[96]	[96392524]	[96392524]
314_10361	chr9	134344217	134344617	+	1000	92.0	[3.825743]	[100]	[]	[]	[134344414]	[]
314_10362	chr9	136110681	136111081	+	1000	92.0	[3.825743]	[96]	[]	[]	[136110872]	[]
