#PeakID(python scan_motif.py ./ENCODE_processed_files/SPI1_idr.fa SPI1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
685_10013	chr8	66663630	66664030	+	1000	68.0	[15.325211, 5.875284]	[123, 150]	[]	[]	[66663846, 66663873]	[]
685_10014	chr8	69920342	69920742	+	1000	68.0	[]	[]	[18.38044, 9.911713, 6.406903, 6.406903, 6.406903]	[101, 107, 113, 115, 117]	[]	[69920539, 69920545, 69920551, 69920553, 69920555]
685_10015	chr8	101034635	101035035	+	1000	68.0	[]	[]	[15.336779]	[142]	[]	[101034853]
685_10016	chr8	124040595	124040995	+	957	68.0	[]	[]	[16.84431, 7.320101, 9.6444]	[73, 79, 97]	[]	[124040766, 124040772, 124040790]
685_10017	chr8	141358898	141359298	+	1000	68.0	[8.041502]	[92]	[]	[]	[141359090]	[]
685_10018	chr9	5627072	5627472	+	1000	68.0	[]	[]	[18.107643]	[109]	[]	[5627271]
685_10019	chr9	38074520	38074920	+	1000	68.0	[]	[]	[13.875428, 15.944959]	[139, 168]	[]	[38074736, 38074765]
685_1002	chr19	17036076	17036476	+	1000	241.0	[]	[]	[6.4403615]	[101]	[]	[17036277]
685_10020	chr9	125521762	125522162	+	1000	68.0	[]	[]	[17.548697, 15.788821]	[123, 145]	[]	[125521968, 125521990]
685_10021	chr9	125690644	125691044	+	1000	68.0	[]	[]	[8.285136]	[100]	[]	[125690844]
685_10022	chr9	128252369	128252769	+	1000	68.0	[13.078213]	[97]	[]	[]	[128252562]	[]
685_10023	chr9	129167063	129167463	+	1000	68.0	[11.297386, 7.5232964]	[73, 77]	[]	[]	[129167230, 129167234]	[]
685_10024	chrX	16719313	16719713	+	1000	68.0	[7.5165663]	[143]	[]	[]	[16719544]	[]
685_10025	chrX	40152690	40153090	+	1000	68.0	[15.111111]	[89]	[]	[]	[40152879]	[]
685_10026	chrX	40933850	40934250	+	1000	68.0	[13.764196]	[90]	[]	[]	[40934039]	[]
685_10027	chrX	49174775	49175175	+	1000	68.0	[8.251339]	[90]	[]	[]	[49174963]	[]
685_10028	chrX	49292063	49292463	+	1000	68.0	[]	[]	[8.460552, 6.3910217, 9.161647, 16.332783]	[127, 130, 133, 139]	[]	[49292270, 49292273, 49292276, 49292282]
685_10029	chrX	123803542	123803942	+	1000	68.0	[]	[]	[9.865494]	[123]	[]	[123803755]
685_1003	chr19	50415670	50416070	+	1000	241.0	[]	[]	[12.384123]	[101]	[]	[50415871]
685_10030	chrX	155053651	155054051	+	1000	68.0	[6.6457953, 15.360103, 6.421301]	[85, 91, 129]	[]	[]	[155053836, 155053842, 155053880]	[]
685_10031	chr1	9539680	9540080	+	1000	67.0	[11.150424]	[95]	[6.1560183]	[149]	[9539873]	[9539927]
685_10032	chr1	11736081	11736481	+	1000	67.0	[12.126314]	[92]	[]	[]	[11736268]	[]
685_10033	chr1	15788842	15789242	+	1000	67.0	[8.567856]	[86]	[]	[]	[15789028]	[]
685_10034	chr1	36212774	36213174	+	1000	67.0	[8.744133, 9.195346, 9.653199]	[81, 103, 110]	[]	[]	[36212953, 36212975, 36212982]	[]
685_10035	chr1	36489282	36489682	+	1000	67.0	[]	[]	[13.376678, 11.800333]	[90, 118]	[]	[36489446, 36489474]
685_10036	chr1	41240730	41241130	+	1000	67.0	[16.862923]	[194]	[]	[]	[41240972]	[]
685_10037	chr1	52631827	52632227	+	1000	67.0	[]	[]	[9.57857]	[117]	[]	[52632043]
685_10038	chr1	58979185	58979585	+	1000	67.0	[17.053406]	[119]	[8.631376]	[135]	[58979391]	[58979407]
685_10039	chr1	91499897	91500297	+	1000	67.0	[]	[]	[12.036125, 9.911713]	[111, 117]	[]	[91500107, 91500113]
685_1004	chr20	13862249	13862649	+	1000	241.0	[18.38044]	[93]	[]	[]	[13862440]	[]
685_10040	chr1	91585502	91585902	+	1000	67.0	[6.2991624, 5.636772, 15.498934, 8.646999, 7.8039484, 6.5887523, 6.2230353, 9.950704]	[98, 100, 106, 112, 119, 125, 142, 147]	[]	[]	[91585693, 91585695, 91585701, 91585707, 91585714, 91585720, 91585737, 91585742]	[]
685_10041	chr1	92785010	92785410	+	1000	67.0	[6.9037414]	[99]	[]	[]	[92785208]	[]
685_10042	chr1	100046808	100047208	+	1000	67.0	[6.539642]	[100]	[15.290571]	[115]	[100047001]	[100047016]
685_10043	chr1	109923453	109923853	+	1000	67.0	[]	[]	[11.585554]	[94]	[]	[109923644]
685_10044	chr1	114482555	114482955	+	1000	67.0	[]	[]	[12.566154, 9.322728, 12.97993]	[118, 130, 136]	[]	[114482764, 114482776, 114482782]
685_10045	chr1	145932692	145933092	+	1000	67.0	[18.163067, 12.015322]	[91, 123]	[]	[]	[145932880, 145932912]	[]
685_10046	chr1	146937451	146937851	+	1000	67.0	[11.520762, 6.666249]	[95, 112]	[]	[]	[146937645, 146937662]	[]
685_10047	chr1	150545551	150545951	+	1000	67.0	[]	[]	[10.391923, 5.692341, 6.4365544]	[113, 141, 179]	[]	[150545724, 150545752, 150545790]
685_10048	chr1	152048044	152048444	+	1000	67.0	[9.4473505]	[132]	[6.5406704]	[170]	[152048255]	[152048293]
685_10049	chr1	159068236	159068636	+	1000	67.0	[]	[]	[8.938458]	[92]	[]	[159068411]
685_1005	chr3	194194198	194194598	+	1000	241.0	[]	[]	[8.682187, 16.407028]	[86, 100]	[]	[194194383, 194194397]
685_10050	chr1	160789700	160790100	+	1000	67.0	[]	[]	[12.819792]	[136]	[]	[160789918]
685_10051	chr1	162322054	162322454	+	1000	67.0	[11.856607]	[98]	[16.787796, 9.137687]	[131, 137]	[162322252]	[162322285, 162322291]
685_10052	chr1	164343182	164343582	+	1000	67.0	[19.177654]	[93]	[]	[]	[164343372]	[]
685_10053	chr1	168469629	168470029	+	1000	67.0	[10.40819]	[90]	[]	[]	[168469817]	[]
685_10054	chr1	180156211	180156611	+	1000	67.0	[12.83136]	[125]	[]	[]	[180156419]	[]
685_10055	chr1	183792300	183792700	+	1000	67.0	[7.043423, 5.676683, 7.82328, 18.345798]	[64, 107, 118, 126]	[6.758157]	[140]	[183792453, 183792496, 183792507, 183792515]	[183792529]
685_10056	chr1	184824900	184825300	+	1000	67.0	[]	[]	[12.45914]	[131]	[]	[184825116]
685_10057	chr1	191354135	191354535	+	1000	67.0	[9.331261]	[83]	[18.345798]	[99]	[191354314]	[191354330]
685_10058	chr1	210557465	210557865	+	1000	67.0	[10.663773, 10.791308]	[78, 86]	[]	[]	[210557637, 210557645]	[]
685_10059	chr1	221826809	221827209	+	1000	67.0	[14.05181]	[98]	[7.3536415]	[124]	[221827005]	[221827031]
685_1006	chr6	161393851	161394251	+	1000	241.0	[13.731146]	[97]	[]	[]	[161394048]	[]
685_10060	chr1	233019100	233019500	+	1000	67.0	[16.720299]	[94]	[10.126211]	[156]	[233019287]	[233019349]
685_10061	chr1	241998320	241998720	+	1000	67.0	[9.24617]	[104]	[]	[]	[241998522]	[]
685_10062	chr10	12054045	12054445	+	1000	67.0	[]	[]	[6.839315, 13.92105, 11.303524]	[88, 140, 166]	[]	[12054208, 12054260, 12054286]
685_10063	chr10	13882195	13882595	+	1000	67.0	[10.100709, 12.004153, 14.774778]	[82, 144, 150]	[]	[]	[13882364, 13882426, 13882432]	[]
685_10064	chr10	15725583	15725983	+	1000	67.0	[8.349082]	[94]	[]	[]	[15725777]	[]
685_10065	chr10	28791114	28791514	+	1000	67.0	[15.535567]	[102]	[]	[]	[28791313]	[]
685_10066	chr10	50452606	50453006	+	1000	67.0	[15.0778055]	[96]	[]	[]	[50452802]	[]
685_10067	chr10	86679013	86679413	+	1000	67.0	[5.8613477, 12.790901]	[76, 97]	[]	[]	[86679184, 86679205]	[]
685_10068	chr10	101032628	101033028	+	1000	67.0	[11.210148]	[103]	[8.620208]	[91]	[101032824]	[101032812]
685_10069	chr10	124647775	124648175	+	1000	67.0	[13.372028, 9.533911]	[90, 122]	[]	[]	[124647964, 124647996]	[]
685_1007	chr7	39838395	39838795	+	1000	241.0	[16.122425]	[89]	[]	[]	[39838582]	[]
685_10070	chr11	2561065	2561465	+	1000	67.0	[9.557754, 5.832749]	[81, 112]	[]	[]	[2561228, 2561259]	[]
685_10071	chr11	4050132	4050532	+	1000	67.0	[13.515328]	[107]	[]	[]	[4050330]	[]
685_10072	chr11	5596477	5596877	+	1000	67.0	[]	[]	[5.640702]	[162]	[]	[5596722]
685_10073	chr11	36500468	36500868	+	1000	67.0	[16.847603]	[121]	[]	[]	[36500685]	[]
685_10074	chr11	63508769	63509169	+	1000	67.0	[18.789831, 8.127807]	[114, 129]	[6.8825665, 11.504021, 9.982666]	[86, 92, 98]	[63508977, 63508992]	[63508949, 63508955, 63508961]
685_10075	chr11	64225179	64225579	+	1000	67.0	[12.422853]	[100]	[6.944475]	[119]	[64225377]	[64225396]
685_10076	chr11	64252577	64252977	+	1000	67.0	[14.101634, 6.14521]	[107, 120]	[]	[]	[64252777, 64252790]	[]
685_10077	chr11	67288328	67288728	+	1000	67.0	[]	[]	[9.410587]	[118]	[]	[67288533]
685_10078	chr11	83193478	83193878	+	1000	67.0	[8.450185, 10.45075]	[86, 112]	[]	[]	[83193653, 83193679]	[]
685_10079	chr11	94573014	94573414	+	1000	67.0	[]	[]	[18.345798, 9.028212]	[133, 141]	[]	[94573246, 94573254]
685_1008	chr7	116683795	116684195	+	1000	241.0	[]	[]	[6.1329646, 21.247185]	[52, 99]	[]	[116683947, 116683994]
685_10080	chr12	8948576	8948976	+	1000	67.0	[]	[]	[14.188168]	[99]	[]	[8948772]
685_10081	chr12	23669799	23670199	+	1000	67.0	[9.189273]	[91]	[]	[]	[23669987]	[]
685_10082	chr12	47834634	47835034	+	974	67.0	[13.980856]	[104]	[7.970999]	[143]	[47834835]	[47834874]
685_10083	chr12	93376458	93376858	+	1000	67.0	[]	[]	[9.1490135, 7.609862, 7.560937, 7.1518097]	[73, 77, 106, 143]	[]	[93376628, 93376632, 93376661, 93376698]
685_10084	chr12	110456488	110456888	+	1000	67.0	[]	[]	[16.093534]	[94]	[]	[110456682]
685_10085	chr12	115322198	115322598	+	1000	67.0	[]	[]	[12.002285, 19.177654]	[95, 101]	[]	[115322392, 115322398]
685_10086	chr12	130748173	130748573	+	1000	67.0	[8.158327]	[103]	[]	[]	[130748369]	[]
685_10087	chr12	132489933	132490333	+	1000	67.0	[6.740977]	[117]	[15.9819355]	[94]	[132490138]	[132490115]
685_10088	chr13	51881271	51881671	+	1000	67.0	[7.7634645, 16.093534]	[84, 90]	[]	[]	[51881453, 51881459]	[]
685_10089	chr13	60619480	60619880	+	1000	67.0	[6.0236416, 8.184671, 10.730434, 15.336779]	[69, 73, 81, 88]	[]	[]	[60619648, 60619652, 60619660, 60619667]	[]
685_1009	chr9	112858492	112858892	+	1000	241.0	[]	[]	[15.87502, 8.097582]	[101, 121]	[]	[112858693, 112858713]
685_10090	chr13	95268270	95268670	+	1000	67.0	[11.800333, 12.54283]	[97, 125]	[]	[]	[95268466, 95268494]	[]
685_10091	chr14	20663821	20664221	+	1000	67.0	[]	[]	[10.919268]	[110]	[]	[20664024]
685_10092	chr14	23454465	23454865	+	1000	67.0	[8.081164, 8.452493]	[95, 130]	[]	[]	[23454660, 23454695]	[]
685_10093	chr14	102088092	102088492	+	1000	67.0	[]	[]	[8.553226, 16.332783]	[94, 100]	[]	[102088284, 102088290]
685_10094	chr15	39447872	39448272	+	1000	67.0	[]	[]	[15.87502]	[104]	[]	[39448073]
685_10095	chr15	43183223	43183623	+	781	67.0	[]	[]	[8.686807]	[172]	[]	[43183455]
685_10096	chr15	58833621	58834021	+	1000	67.0	[]	[]	[9.557134, 14.484346]	[98, 130]	[]	[58833806, 58833838]
685_10097	chr15	64285874	64286274	+	1000	67.0	[]	[]	[11.835433]	[137]	[]	[64286092]
685_10098	chr15	68834342	68834742	+	1000	67.0	[8.314245, 5.868994, 12.634181, 8.408533]	[77, 83, 91, 142]	[]	[]	[68834519, 68834525, 68834533, 68834584]	[]
685_10099	chr15	73240840	73241240	+	1000	67.0	[]	[]	[10.858437]	[101]	[]	[73241041]
685_101	chr1	206012053	206012453	+	1000	461.0	[16.133993]	[90]	[]	[]	[206012243]	[]
685_1010	chr13	111007165	111007565	+	1000	240.0	[5.746224, 15.336779]	[84, 92]	[]	[]	[111007348, 111007356]	[]
685_10100	chr15	78304174	78304574	+	1000	67.0	[]	[]	[13.861906]	[101]	[]	[78304370]
685_10101	chr15	78437939	78438339	+	1000	67.0	[]	[]	[8.2786045, 7.5441947, 6.1191964]	[97, 102, 112]	[]	[78438108, 78438113, 78438123]
685_10102	chr15	78541478	78541878	+	1000	67.0	[]	[]	[11.434185, 11.106233]	[100, 128]	[]	[78541677, 78541705]
685_10103	chr15	82849587	82849987	+	1000	67.0	[6.2493105]	[64]	[]	[]	[82849745]	[]
685_10104	chr16	491285	491685	+	1000	67.0	[14.723354]	[99]	[]	[]	[491483]	[]
685_10105	chr16	1943188	1943588	+	1000	67.0	[]	[]	[8.531518]	[105]	[]	[1943387]
685_10106	chr16	20763671	20764071	+	1000	67.0	[8.512722]	[136]	[]	[]	[20763884]	[]
685_10107	chr16	25258530	25258930	+	1000	67.0	[6.908335]	[91]	[]	[]	[25258721]	[]
685_10108	chr16	29663384	29663784	+	1000	67.0	[5.7552567]	[137]	[]	[]	[29663611]	[]
685_10109	chr16	67324921	67325321	+	1000	67.0	[]	[]	[17.944551, 6.278459]	[140, 151]	[]	[67325160, 67325171]
685_1011	chr15	40308834	40309234	+	1000	240.0	[]	[]	[16.525896, 7.3622994]	[97, 115]	[]	[40309028, 40309046]
685_10110	chr16	67968487	67968887	+	1000	67.0	[]	[]	[14.305064]	[89]	[]	[67968670]
685_10111	chr16	70771193	70771593	+	1000	67.0	[]	[]	[9.664684]	[108]	[]	[70771390]
685_10112	chr16	75528013	75528413	+	1000	67.0	[16.558989]	[90]	[]	[]	[75528202]	[]
685_10113	chr16	79844900	79845300	+	1000	67.0	[]	[]	[5.9676394, 5.854115, 17.568464]	[91, 96, 106]	[]	[79845086, 79845091, 79845101]
685_10114	chr17	6599420	6599820	+	1000	67.0	[12.881405]	[88]	[5.947206, 8.312651]	[70, 108]	[6599608]	[6599590, 6599628]
685_10115	chr17	19519987	19520387	+	1000	67.0	[11.800333, 9.6760845, 12.54283]	[70, 98, 126]	[]	[]	[19520152, 19520180, 19520208]	[]
685_10116	chr17	31095675	31096075	+	1000	67.0	[8.163278, 5.8463454]	[153, 173]	[7.7109637]	[138]	[31095899, 31095919]	[31095884]
685_10117	chr17	35743889	35744289	+	1000	67.0	[10.919268]	[90]	[]	[]	[35744074]	[]
685_10118	chr17	47204894	47205294	+	1000	67.0	[10.5516615, 6.320068]	[62, 70]	[13.928584]	[122]	[47205048, 47205056]	[47205108]
685_10119	chr17	57102170	57102570	+	1000	67.0	[]	[]	[12.3164425, 7.0785623]	[97, 127]	[]	[57102358, 57102388]
685_1012	chr15	100602138	100602538	+	1000	240.0	[16.079277]	[90]	[]	[]	[100602328]	[]
685_10120	chr17	62996278	62996678	+	1000	67.0	[]	[]	[15.584859, 5.8827467]	[100, 105]	[]	[62996477, 62996482]
685_10121	chr17	67717487	67717887	+	1000	67.0	[]	[]	[6.0322456]	[99]	[]	[67717680]
685_10122	chr17	73291429	73291829	+	1000	67.0	[8.938899]	[95]	[]	[]	[73291621]	[]
685_10123	chr17	74163532	74163932	+	1000	67.0	[]	[]	[14.613162]	[101]	[]	[74163711]
685_10124	chr17	77428264	77428664	+	1000	67.0	[14.860433]	[122]	[8.704736]	[104]	[77428464]	[77428446]
685_10125	chr18	3305953	3306353	+	1000	67.0	[]	[]	[12.634854]	[104]	[]	[3306155]
685_10126	chr18	46173840	46174240	+	1000	67.0	[9.607723]	[92]	[]	[]	[46174026]	[]
685_10127	chr18	57630097	57630497	+	1000	67.0	[]	[]	[10.01642, 8.693066]	[106, 135]	[]	[57630300, 57630329]
685_10128	chr18	76169750	76170150	+	1000	67.0	[12.860388]	[92]	[]	[]	[76169941]	[]
685_10129	chr19	19203438	19203838	+	1000	67.0	[]	[]	[12.741437]	[112]	[]	[19203649]
685_1013	chr19	51531555	51531955	+	1000	240.0	[13.519802]	[89]	[9.431818]	[124]	[51531736]	[51531771]
685_10130	chr19	40407971	40408371	+	1000	67.0	[]	[]	[13.485565]	[106]	[]	[40408174]
685_10131	chr19	46499676	46500076	+	1000	67.0	[]	[]	[9.978039]	[122]	[]	[46499891]
685_10132	chr19	48947088	48947488	+	1000	67.0	[]	[]	[13.707822]	[95]	[]	[48947282]
685_10133	chr2	9952838	9953238	+	1000	67.0	[14.0685425]	[106]	[8.951996]	[91]	[9953031]	[9953016]
685_10134	chr2	10393317	10393717	+	1000	67.0	[5.7587085]	[61]	[15.193479]	[100]	[10393477]	[10393516]
685_10135	chr2	12617359	12617759	+	1000	67.0	[9.517377]	[90]	[]	[]	[12617545]	[]
685_10137	chr2	27409404	27409804	+	1000	67.0	[6.9617367]	[93]	[]	[]	[27409595]	[]
685_10138	chr2	45210721	45211121	+	1000	67.0	[]	[]	[14.05181]	[99]	[]	[45210918]
685_10139	chr2	48510401	48510801	+	1000	67.0	[]	[]	[19.177654]	[107]	[]	[48510600]
685_1014	chr21	42199388	42199788	+	1000	240.0	[]	[]	[18.191957]	[100]	[]	[42199588]
685_10140	chr2	69946534	69946934	+	1000	67.0	[11.722843]	[118]	[]	[]	[69946737]	[]
685_10141	chr2	72934968	72935368	+	1000	67.0	[]	[]	[13.470668]	[106]	[]	[72935172]
685_10142	chr2	113857455	113857855	+	1000	67.0	[8.509892, 16.50427, 9.950342, 13.561402]	[66, 91, 141, 147]	[]	[]	[113857611, 113857636, 113857686, 113857692]	[]
685_10143	chr2	126503473	126503873	+	1000	67.0	[6.171364]	[76]	[10.1418085]	[98]	[126503648]	[126503670]
685_10144	chr2	171523608	171524008	+	1000	67.0	[]	[]	[9.059027]	[117]	[]	[171523815]
685_10145	chr2	176493888	176494288	+	1000	67.0	[8.374338, 16.093534]	[89, 97]	[]	[]	[176494075, 176494083]	[]
685_10146	chr2	177227084	177227484	+	1000	67.0	[8.980898]	[85]	[]	[]	[177227269]	[]
685_10147	chr2	178848336	178848736	+	1000	67.0	[16.720299]	[109]	[]	[]	[178848538]	[]
685_10148	chr2	196240183	196240583	+	998	67.0	[]	[]	[6.998894, 9.284283]	[65, 81]	[]	[196240338, 196240354]
685_10149	chr2	206084300	206084700	+	1000	67.0	[]	[]	[15.990694, 6.4298124]	[91, 97]	[]	[206084485, 206084491]
685_1015	chr3	124620551	124620951	+	1000	240.0	[8.250244]	[89]	[6.296513]	[145]	[124620739]	[124620795]
685_10150	chr2	242098438	242098838	+	1000	67.0	[]	[]	[8.1952505, 8.939121, 7.314836]	[110, 129, 149]	[]	[242098640, 242098659, 242098679]
685_10151	chr20	35837739	35838139	+	1000	67.0	[6.4403615]	[95]	[8.167936]	[114]	[35837933]	[35837952]
685_10152	chr20	50688597	50688997	+	1000	67.0	[11.652699, 5.672796]	[96, 103]	[]	[]	[50688789, 50688796]	[]
685_10153	chr20	59032147	59032547	+	1000	67.0	[10.186657]	[110]	[]	[]	[59032347]	[]
685_10154	chr21	44765737	44766137	+	1000	67.0	[7.0942583, 8.625419]	[77, 127]	[11.250467]	[104]	[44765910, 44765960]	[44765937]
685_10155	chr21	44908012	44908412	+	1000	67.0	[8.44057]	[93]	[7.6875577, 8.037033]	[127, 146]	[44908204]	[44908238, 44908257]
685_10157	chr21	46622365	46622765	+	1000	67.0	[8.260473, 16.13724, 5.833838]	[66, 93, 133]	[]	[]	[46622531, 46622558, 46622598]	[]
685_10158	chr22	12602096	12602496	+	1000	67.0	[6.9611926, 6.2782936, 7.0460153]	[85, 91, 124]	[]	[]	[12602278, 12602284, 12602317]	[]
685_10159	chr22	22709687	22710087	+	1000	67.0	[10.028805]	[127]	[]	[]	[22709914]	[]
685_1016	chr10	97401122	97401522	+	1000	239.0	[]	[]	[19.689182, 6.792592, 11.146481]	[105, 111, 126]	[]	[97401324, 97401330, 97401345]
685_10160	chr22	22755890	22756290	+	1000	67.0	[9.059027]	[97]	[]	[]	[22756085]	[]
685_10161	chr22	23016360	23016760	+	1000	67.0	[]	[]	[10.700043]	[89]	[]	[23016545]
685_10162	chr22	38033015	38033415	+	1000	67.0	[6.8579693, 16.558989]	[73, 90]	[]	[]	[38033175, 38033192]	[]
685_10163	chr3	13009220	13009620	+	1000	67.0	[8.277278]	[112]	[]	[]	[13009421]	[]
685_10164	chr3	13051599	13051999	+	1000	67.0	[16.720299]	[90]	[6.887009, 8.479821]	[65, 73]	[13051789]	[13051764, 13051772]
685_10165	chr3	14384419	14384819	+	1000	67.0	[]	[]	[16.558989]	[96]	[]	[14384613]
685_10166	chr3	39255620	39256020	+	1000	67.0	[6.3048067, 15.584859]	[96, 103]	[7.267588]	[122]	[39255812, 39255819]	[39255838]
685_10167	chr3	45554321	45554721	+	1000	67.0	[6.2093916, 8.626154]	[121, 161]	[]	[]	[45554530, 45554570]	[]
685_10168	chr3	47282418	47282818	+	1000	67.0	[5.66742, 6.6975274]	[99, 116]	[]	[]	[47282614, 47282631]	[]
685_1017	chr11	13303670	13304070	+	1000	239.0	[9.554477, 16.558989, 11.32793]	[59, 89, 142]	[]	[]	[13303829, 13303859, 13303912]	[]
685_10170	chr3	136271616	136272016	+	1000	67.0	[]	[]	[18.345798, 7.101303, 7.874324]	[102, 110, 135]	[]	[136271818, 136271826, 136271851]
685_10171	chr3	138726121	138726521	+	1000	67.0	[]	[]	[7.8180223]	[148]	[]	[138726360]
685_10172	chr3	185646863	185647263	+	1000	67.0	[]	[]	[18.789831]	[98]	[]	[185647060]
685_10173	chr3	196502690	196503090	+	1000	67.0	[]	[]	[14.439913]	[84]	[]	[196502873]
685_10174	chr4	37735575	37735975	+	1000	67.0	[13.515328, 8.020409]	[89, 107]	[]	[]	[37735764, 37735782]	[]
685_10175	chr4	70839669	70840069	+	1000	67.0	[8.783906]	[116]	[]	[]	[70839880]	[]
685_10176	chr4	82373955	82374355	+	1000	67.0	[6.691271, 9.060135]	[108, 114]	[9.976365]	[65]	[82374159, 82374165]	[82374116]
685_10177	chr4	110184473	110184873	+	1000	67.0	[10.582012, 12.282226, 8.529593]	[77, 113, 136]	[]	[]	[110184640, 110184676, 110184699]	[]
685_10178	chr4	110231887	110232287	+	1000	67.0	[8.22675, 14.541544]	[97, 105]	[]	[]	[110232078, 110232086]	[]
685_10179	chr4	123488926	123489326	+	1000	67.0	[]	[]	[8.018416]	[67]	[]	[123489090]
685_1018	chr11	61095017	61095417	+	1000	239.0	[21.247185]	[119]	[]	[]	[61095236]	[]
685_10180	chr4	153643354	153643754	+	1000	67.0	[]	[]	[7.4218793, 15.698593]	[66, 101]	[]	[153643511, 153643546]
685_10181	chr4	165441088	165441488	+	1000	67.0	[12.102688]	[111]	[]	[]	[165441295]	[]
685_10182	chr4	169617427	169617827	+	980	67.0	[13.913665, 6.982527]	[89, 109]	[]	[]	[169617615, 169617635]	[]
685_10183	chr4	173168020	173168420	+	1000	67.0	[]	[]	[11.5493145]	[100]	[]	[173168220]
685_10184	chr5	6378376	6378776	+	1000	67.0	[]	[]	[8.910965, 7.511477, 6.3320265]	[85, 113, 119]	[]	[6378549, 6378577, 6378583]
685_10185	chr5	10733975	10734375	+	1000	67.0	[7.855325]	[109]	[11.790489, 5.7544]	[127, 132]	[10734163]	[10734181, 10734186]
685_10186	chr5	33563957	33564357	+	1000	67.0	[]	[]	[18.191957]	[118]	[]	[33564166]
685_10187	chr5	56039995	56040395	+	1000	67.0	[7.3513536, 8.610684]	[101, 133]	[]	[]	[56040190, 56040222]	[]
685_10188	chr5	57030162	57030562	+	1000	67.0	[8.651402, 15.857894]	[89, 93]	[]	[]	[57030349, 57030353]	[]
685_10189	chr5	71432418	71432818	+	1000	67.0	[]	[]	[15.043165]	[109]	[]	[71432622]
685_1019	chr11	126420438	126420838	+	1000	239.0	[18.203526]	[100]	[]	[]	[126420634]	[]
685_10190	chr5	78649848	78650248	+	1000	67.0	[]	[]	[14.564423]	[109]	[]	[78650053]
685_10191	chr5	81759625	81760025	+	1000	67.0	[]	[]	[8.557695, 7.5380096, 18.476559, 6.355915]	[60, 91, 123, 152]	[]	[81759780, 81759811, 81759843, 81759872]
685_10192	chr5	124656021	124656421	+	1000	67.0	[12.991065]	[89]	[]	[]	[124656209]	[]
685_10193	chr5	132437535	132437935	+	1000	67.0	[]	[]	[13.206137]	[103]	[]	[132437737]
685_10194	chr5	132804223	132804623	+	1000	67.0	[7.874324, 9.028212, 21.247185]	[57, 82, 90]	[]	[]	[132804380, 132804405, 132804413]	[]
685_10195	chr5	134784258	134784658	+	1000	67.0	[16.122425]	[92]	[]	[]	[134784449]	[]
685_10196	chr5	157571256	157571656	+	1000	67.0	[8.630918, 15.338759]	[58, 120]	[]	[]	[157571412, 157571474]	[]
685_10197	chr5	168784443	168784843	+	1000	67.0	[]	[]	[21.247185]	[117]	[]	[168784649]
685_10198	chr5	177230646	177231046	+	1000	67.0	[15.240896, 8.574229, 7.1826572]	[90, 129, 139]	[]	[]	[177230836, 177230875, 177230885]	[]
685_10199	chr5	179698569	179698969	+	1000	67.0	[]	[]	[11.722843]	[92]	[]	[179698756]
685_102	chr6	14982036	14982436	+	1000	461.0	[]	[]	[12.718113, 5.88792]	[100, 105]	[]	[14982236, 14982241]
685_1020	chr12	108313197	108313597	+	1000	239.0	[13.515328]	[98]	[6.8287253]	[78]	[108313391]	[108313371]
