#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPG_idr.fa CEBPG --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
582_10030	chr10	3744191	3744591	+	1000	50.5	[11.009659]	[149]	[6.3856335]	[148]	[3744394]	[3744393]
582_1004	chr19	1383363	1383763	+	1000	143.5	[11.390118]	[124]	[8.601925]	[123]	[1383570]	[1383569]
582_10040	chr12	8681272	8681672	+	1000	50.5	[11.247147]	[101]	[14.722584]	[100]	[8681470]	[8681469]
582_10041	chr12	27455596	27455996	+	1000	50.5	[5.830307, 10.1494055]	[93, 103]	[6.8953743, 7.947534]	[92, 102]	[27455781, 27455791]	[27455780, 27455790]
582_10044	chr12	58519848	58520248	+	1000	50.5	[]	[]	[5.9220176]	[95]	[]	[58520038]
582_10045	chr12	71686696	71687096	+	1000	50.5	[5.830307, 5.6231275]	[116, 165]	[7.3027105]	[115]	[71686874, 71686923]	[71686873]
582_10048	chr12	112932831	112933231	+	1000	50.5	[10.636991]	[146]	[11.910557]	[145]	[112933046]	[112933045]
582_10049	chr13	22162899	22163299	+	1000	50.5	[7.947534]	[149]	[10.1494055]	[148]	[22163086]	[22163085]
582_10050	chr13	44270148	44270548	+	987	50.5	[]	[]	[5.9220176]	[102]	[]	[44270345]
582_10052	chr13	80625762	80626162	+	1000	50.5	[5.3427215]	[222]	[]	[]	[80625991]	[]
582_10053	chr13	80790867	80791267	+	1000	50.5	[]	[]	[7.103873]	[223]	[]	[80791091]
582_10055	chr13	89828569	89828969	+	962	50.5	[6.0291443]	[73]	[6.6965365]	[72]	[89828722]	[89828721]
582_10056	chr13	90158254	90158654	+	1000	50.5	[5.873225, 6.5180492]	[69, 125]	[9.1358795]	[124]	[90158417, 90158473]	[90158472]
582_1006	chr3	178732815	178733215	+	1000	143.5	[15.617505]	[103]	[15.617505]	[102]	[178733011]	[178733010]
582_10061	chr14	63728163	63728563	+	1000	50.5	[15.617505]	[126]	[11.192318]	[125]	[63728383]	[63728382]
582_10062	chr14	81303548	81303948	+	934	50.5	[7.0526123]	[134]	[]	[]	[81303776]	[]
582_10064	chr15	50257877	50258277	+	1000	50.5	[5.7660985]	[176]	[]	[]	[50258061]	[]
582_10065	chr15	56343904	56344304	+	1000	50.5	[6.409603]	[108]	[5.3023133]	[107]	[56344079]	[56344078]
582_10066	chr15	63396547	63396947	+	1000	50.5	[11.390118]	[138]	[8.601925]	[137]	[63396782]	[63396781]
582_10069	chr15	79954030	79954430	+	1000	50.5	[5.468101]	[142]	[7.195584, 9.216128]	[78, 141]	[79954268]	[79954204, 79954267]
582_10070	chr15	84714788	84715188	+	725	50.5	[15.617505]	[164]	[10.604535]	[163]	[84715018]	[84715017]
582_10071	chr16	35533687	35534087	+	1000	50.5	[6.9395094]	[129]	[]	[]	[35533905]	[]
582_10072	chr16	48499326	48499726	+	1000	50.5	[5.9388933, 11.503221]	[99, 167]	[8.710281, 10.229654]	[98, 166]	[48499503, 48499571]	[48499502, 48499570]
582_10077	chr17	49293371	49293771	+	1000	50.5	[7.947534]	[168]	[10.1494055]	[167]	[49293608]	[49293607]
582_10082	chr18	12808038	12808438	+	903	50.5	[6.202975]	[112]	[6.202975]	[111]	[12808245]	[12808244]
582_10084	chr18	57848255	57848655	+	1000	50.5	[]	[]	[9.1358795]	[183]	[]	[57848499]
582_10086	chr18	79069040	79069440	+	1000	50.5	[]	[]	[6.532173]	[152]	[]	[79069264]
582_1009	chr9	123954975	123955375	+	1000	143.5	[15.210169]	[104]	[15.617505]	[103]	[123955175]	[123955174]
582_10094	chr2	57097848	57098248	+	1000	50.5	[10.636991]	[108]	[11.910557]	[107]	[57098048]	[57098047]
582_10095	chr2	65679030	65679430	+	1000	50.5	[]	[]	[5.9220176]	[128]	[]	[65679239]
582_10097	chr2	86433083	86433483	+	1000	50.5	[5.7242174]	[149]	[7.947534]	[148]	[86433314]	[86433313]
582_10102	chr2	126480064	126480464	+	1000	50.5	[5.9220176]	[99]	[]	[]	[126480231]	[]
582_10103	chr2	151292406	151292806	+	1000	50.5	[5.1364346]	[113]	[7.947534]	[112]	[151292595]	[151292594]
582_10107	chr2	178787158	178787558	+	1000	50.5	[]	[]	[5.9220176]	[100]	[]	[178787351]
582_10109	chr2	234269665	234270065	+	1000	50.5	[]	[]	[5.9220176]	[95]	[]	[234269859]
582_1011	chr1	232937841	232938241	+	1000	143.0	[5.830307]	[107]	[5.3427215, 7.3027105]	[93, 106]	[232938043]	[232938029, 232938042]
582_10112	chr20	44234600	44235000	+	1000	50.5	[5.9220176]	[84]	[]	[]	[44234782]	[]
582_10113	chr20	45832062	45832462	+	1000	50.5	[]	[]	[5.9220176]	[106]	[]	[45832262]
582_10116	chr21	32555099	32555499	+	1000	50.5	[5.5146813]	[109]	[5.830307]	[99]	[32555294]	[32555284]
582_10117	chr21	38413980	38414380	+	1000	50.5	[]	[]	[5.5146813]	[107]	[]	[38414169]
582_10122	chr3	28891486	28891886	+	731	50.5	[9.901916]	[83]	[9.197866]	[82]	[28891669]	[28891668]
582_10125	chr3	45499564	45499964	+	1000	50.5	[6.6739683]	[90]	[11.422971]	[89]	[45499748]	[45499747]
582_10127	chr3	154341450	154341850	+	987	50.5	[10.602323]	[96]	[10.810822]	[95]	[154341637]	[154341636]
582_10128	chr3	184085454	184085854	+	1000	50.5	[6.6965365]	[135]	[6.0291443]	[134]	[184085671]	[184085670]
582_1013	chrX	23803858	23804258	+	1000	143.0	[11.009659]	[100]	[10.810822]	[99]	[23804055]	[23804054]
582_10131	chr4	79404715	79405115	+	1000	50.5	[11.503221]	[65]	[10.636991]	[64]	[79404872]	[79404871]
582_10133	chr4	85823181	85823581	+	1000	50.5	[]	[]	[5.9220176]	[104]	[]	[85823381]
582_10135	chr4	93950225	93950625	+	925	50.5	[9.283663]	[111]	[9.125356]	[110]	[93950435]	[93950434]
582_10136	chr4	123376770	123377170	+	684	50.5	[]	[]	[5.5146813]	[104]	[]	[123376965]
582_1014	chrX	134604051	134604451	+	1000	143.0	[5.9220176]	[103]	[]	[]	[134604248]	[]
582_10141	chr5	22314540	22314940	+	1000	50.5	[5.9220176]	[99]	[]	[]	[22314739]	[]
582_10143	chr5	69431416	69431816	+	842	50.5	[]	[]	[5.9220176]	[104]	[]	[69431617]
582_10144	chr5	78902657	78903057	+	1000	50.5	[11.503221]	[97]	[10.636991]	[96]	[78902851]	[78902850]
582_10145	chr5	111606146	111606546	+	929	50.5	[11.654483]	[147]	[14.722584]	[146]	[111606371]	[111606370]
582_10146	chr5	132688620	132689020	+	665	50.5	[8.710281, 11.503221]	[159, 239]	[5.531557, 5.62402]	[158, 238]	[132688782, 132688862]	[132688781, 132688861]
582_10147	chr5	149345898	149346298	+	1000	50.5	[]	[]	[5.9220176]	[89]	[]	[149346057]
582_10148	chr5	159669526	159669926	+	1000	50.5	[11.247147]	[88]	[10.704732]	[87]	[159669707]	[159669706]
582_10150	chr5	173782344	173782744	+	1000	50.5	[8.710281]	[168]	[]	[]	[173782591]	[]
582_10151	chr5	180069796	180070196	+	1000	50.5	[6.8953743]	[153]	[5.830307]	[152]	[180070026]	[180070025]
582_10152	chr5	180122860	180123260	+	1000	50.5	[10.759561]	[162]	[11.166897, 5.5005574]	[161, 180]	[180123057]	[180123056, 180123075]
582_10153	chr6	990023	990423	+	914	50.5	[10.810822]	[119]	[11.009659]	[118]	[990226]	[990225]
582_10154	chr6	7531362	7531762	+	1000	50.5	[11.503221]	[99]	[10.636991]	[98]	[7531557]	[7531556]
582_10156	chr6	18044064	18044464	+	687	50.5	[15.210169]	[158]	[11.192318]	[157]	[18044302]	[18044301]
582_10158	chr6	28486958	28487358	+	824	50.5	[6.0291443]	[99]	[7.103873]	[98]	[28487153]	[28487152]
582_10160	chr6	136341367	136341767	+	961	50.5	[10.1494055]	[94]	[7.947534]	[93]	[136341559]	[136341558]
582_10161	chr6	136760715	136761115	+	1000	50.5	[]	[]	[6.409603]	[112]	[]	[136760921]
582_10163	chr6	159801928	159802328	+	999	50.5	[11.654483]	[97]	[14.722584]	[96]	[159802125]	[159802124]
582_10164	chr6	163653181	163653581	+	1000	50.5	[15.617505]	[111]	[11.192318]	[110]	[163653381]	[163653380]
582_10166	chr6	167887170	167887570	+	1000	50.5	[8.710281]	[128]	[5.9388933]	[127]	[167887378]	[167887377]
582_10168	chr7	43926520	43926920	+	1000	50.5	[]	[]	[9.125356]	[143]	[]	[43926736]
582_1017	chr16	78452037	78452437	+	1000	142.5	[11.247147]	[98]	[15.12992]	[97]	[78452234]	[78452233]
582_10170	chr7	64424671	64425071	+	1000	50.5	[]	[]	[5.9220176]	[107]	[]	[64424875]
582_10171	chr7	74067477	74067877	+	1000	50.5	[8.601925]	[175]	[11.390118]	[174]	[74067716]	[74067715]
582_10172	chr7	74708879	74709279	+	557	50.5	[5.6604424, 5.830307]	[68, 122]	[7.3027105]	[121]	[74709034, 74709088]	[74709087]
582_10174	chr7	100942292	100942692	+	1000	50.5	[15.12992, 7.485369]	[90, 130]	[6.641512, 5.62402]	[89, 129]	[100942464, 100942504]	[100942463, 100942503]
582_10175	chr7	102745890	102746290	+	1000	50.5	[7.947534, 6.186383]	[108, 136]	[9.742069]	[107]	[102746088, 102746116]	[102746087]
582_10178	chr7	118478552	118478952	+	881	50.5	[5.9220176]	[114]	[]	[]	[118478742]	[]
582_10183	chr7	137682167	137682567	+	1000	50.5	[9.901916]	[108]	[9.197866]	[107]	[137682351]	[137682350]
582_10184	chr8	27923791	27924191	+	768	50.5	[7.947534]	[103]	[10.1494055]	[102]	[27923981]	[27923980]
582_10186	chr8	38058838	38059238	+	1000	50.5	[11.247147]	[102]	[15.12992]	[101]	[38059037]	[38059036]
582_10189	chr9	38388839	38389239	+	1000	50.5	[6.2118034]	[103]	[11.910557]	[102]	[38389032]	[38389031]
582_1019	chr2	42810330	42810730	+	1000	142.5	[11.390118]	[120]	[8.601925]	[119]	[42810543]	[42810542]
582_10195	chr9	137075398	137075798	+	983	50.5	[11.192318]	[97]	[11.192318]	[96]	[137075592]	[137075591]
582_10199	chrX	81874795	81875195	+	1000	50.5	[15.617505]	[108]	[15.617505]	[107]	[81875001]	[81875000]
582_102	chr12	49234947	49235347	+	1000	320.0	[11.654483]	[98]	[15.12992]	[97]	[49235143]	[49235142]
582_1020	chr2	134149069	134149469	+	1000	142.5	[10.636991]	[109]	[11.503221]	[108]	[134149278]	[134149277]
582_10203	chr1	8016592	8016992	+	1000	50.0	[]	[]	[5.4490643]	[215]	[]	[8016839]
582_10206	chr1	34980259	34980659	+	1000	50.0	[11.009659]	[95]	[10.810822]	[94]	[34980453]	[34980452]
582_10207	chr1	47106812	47107212	+	711	50.0	[9.197866, 9.901916]	[109, 162]	[9.901916, 8.79053]	[108, 161]	[47106998, 47107051]	[47106997, 47107050]
582_1021	chr3	25603743	25604143	+	1000	142.5	[9.901916]	[102]	[9.197866]	[101]	[25603943]	[25603942]
582_10211	chr1	100483245	100483645	+	1000	50.0	[5.9220176]	[108]	[]	[]	[100483450]	[]
582_10212	chr1	107925571	107925971	+	590	50.0	[11.503221]	[102]	[10.636991]	[101]	[107925765]	[107925764]
582_10215	chr1	117841104	117841504	+	1000	50.0	[]	[]	[5.9220176]	[104]	[]	[117841308]
582_10219	chr1	180827124	180827524	+	933	50.0	[11.166897]	[165]	[11.166897]	[164]	[180827348]	[180827347]
582_10221	chr1	186585343	186585743	+	975	50.0	[5.9220176]	[95]	[]	[]	[186585516]	[]
582_10222	chr1	198747861	198748261	+	677	50.0	[5.9220176]	[87]	[]	[]	[198748047]	[]
582_10223	chr1	201620316	201620716	+	680	50.0	[11.390118]	[136]	[8.601925]	[135]	[201620516]	[201620515]
582_10224	chr1	202353271	202353671	+	927	50.0	[6.5180492]	[71]	[9.1358795, 5.5146813, 5.2940693]	[70, 82, 115]	[202353440]	[202353439, 202353451, 202353484]
582_10227	chr1	225987447	225987847	+	1000	50.0	[5.9220176]	[144]	[]	[]	[225987669]	[]
582_1023	chr4	112297099	112297499	+	1000	142.5	[11.015635]	[92]	[5.3023133, 6.6739683]	[58, 91]	[112297291]	[112297257, 112297290]
582_10231	chr10	5009160	5009560	+	1000	50.0	[10.481071]	[101]	[9.623465]	[100]	[5009356]	[5009355]
582_10232	chr10	13512564	13512964	+	572	50.0	[11.910557]	[94]	[10.636991]	[93]	[13512758]	[13512757]
582_10233	chr10	21943630	21944030	+	1000	50.0	[5.2670517, 5.2940693]	[81, 102]	[]	[]	[21943788, 21943809]	[]
582_10235	chr10	60839374	60839774	+	1000	50.0	[11.166897]	[97]	[11.166897, 5.3427215]	[96, 107]	[60839566]	[60839565, 60839576]
582_10236	chr10	67794228	67794628	+	1000	50.0	[10.229654, 9.993486, 6.616287]	[114, 126, 138]	[11.910557, 5.6604424]	[113, 125]	[67794436, 67794448, 67794460]	[67794435, 67794447]
582_10237	chr10	70759813	70760213	+	1000	50.0	[5.9220176]	[156]	[]	[]	[70760044]	[]
582_10239	chr10	74863549	74863949	+	1000	50.0	[5.674388]	[85]	[]	[]	[74863727]	[]
582_1024	chr5	143261804	143262204	+	1000	142.5	[15.210169]	[101]	[15.210169]	[100]	[143261997]	[143261996]
582_10240	chr10	84404777	84405177	+	1000	50.0	[5.9220176]	[126]	[]	[]	[84404984]	[]
582_10241	chr10	97297409	97297809	+	1000	50.0	[]	[]	[6.7822714]	[174]	[]	[97297646]
582_10245	chr11	57356628	57357028	+	995	50.0	[5.9220176]	[259]	[]	[]	[57356845]	[]
582_10248	chr11	108181285	108181685	+	967	50.0	[11.503221]	[126]	[10.636991]	[125]	[108181502]	[108181501]
582_10249	chr11	133577400	133577800	+	1000	50.0	[]	[]	[5.9220176]	[101]	[]	[133577597]
582_1025	chr1	150458491	150458891	+	1000	142.0	[15.617505]	[108]	[15.210169]	[107]	[150458697]	[150458696]
582_10251	chr12	8075954	8076354	+	1000	50.0	[11.166897]	[96]	[6.616287, 11.166897]	[65, 95]	[8076148]	[8076117, 8076147]
582_10255	chr12	75539876	75540276	+	1000	50.0	[10.636991]	[107]	[11.910557]	[106]	[75540074]	[75540073]
582_10256	chr12	104494661	104495061	+	931	50.0	[10.229654]	[164]	[11.503221]	[163]	[104494897]	[104494896]
582_10257	chr13	38283337	38283737	+	918	50.0	[5.9220176]	[119]	[]	[]	[38283548]	[]
582_1026	chr11	62840217	62840617	+	1000	142.0	[8.601925]	[143]	[11.390118]	[142]	[62840436]	[62840435]
582_10260	chr13	107970418	107970818	+	946	50.0	[6.0291443, 5.9220176]	[118, 145]	[]	[]	[107970603, 107970630]	[]
582_10262	chr14	72699859	72700259	+	1000	50.0	[]	[]	[5.9220176]	[158]	[]	[72700110]
582_10263	chr15	42279038	42279438	+	798	50.0	[]	[]	[5.1868024]	[170]	[]	[42279237]
582_10265	chr15	58980541	58980941	+	1000	50.0	[7.947534]	[112]	[9.742069]	[111]	[58980747]	[58980746]
582_10267	chr16	9533052	9533452	+	930	50.0	[10.636991]	[102]	[11.910557]	[101]	[9533249]	[9533248]
582_1027	chr17	54524492	54524892	+	1000	142.0	[15.617505]	[102]	[15.617505]	[101]	[54524693]	[54524692]
582_10271	chr16	70642628	70643028	+	1000	50.0	[7.947534]	[112]	[10.1494055]	[111]	[70642828]	[70642827]
582_10272	chr16	85024984	85025384	+	1000	50.0	[]	[]	[10.902532]	[139]	[]	[85025223]
582_10273	chr17	56350584	56350984	+	1000	50.0	[10.495195]	[101]	[]	[]	[56350783]	[]
582_10275	chr17	76726423	76726823	+	599	50.0	[]	[]	[9.494579]	[183]	[]	[76726656]
582_10278	chr18	45060126	45060526	+	1000	50.0	[9.901916]	[88]	[9.197866]	[87]	[45060309]	[45060308]
582_10279	chr18	57212691	57213091	+	1000	50.0	[15.210169]	[96]	[15.210169]	[95]	[57212874]	[57212873]
582_10281	chr19	39037989	39038389	+	1000	50.0	[9.216128]	[130]	[10.073735]	[129]	[39038147]	[39038146]
582_10282	chr19	39946479	39946879	+	1000	50.0	[10.636991]	[172]	[11.910557]	[171]	[39946701]	[39946700]
582_10283	chr19	48875115	48875515	+	1000	50.0	[8.63777]	[201]	[]	[]	[48875346]	[]
582_10286	chr2	62949280	62949680	+	929	50.0	[6.6739683]	[131]	[11.422971]	[130]	[62949498]	[62949497]
582_10288	chr2	85477897	85478297	+	1000	50.0	[]	[]	[5.9220176]	[124]	[]	[85478106]
582_10290	chr2	96855008	96855408	+	1000	50.0	[11.910557]	[98]	[10.636991]	[97]	[96855179]	[96855178]
582_10293	chr2	142462276	142462676	+	773	50.0	[]	[]	[5.9220176]	[122]	[]	[142462479]
582_10296	chr2	177489296	177489696	+	1000	50.0	[10.1494055]	[121]	[7.947534]	[120]	[177489495]	[177489494]
582_10297	chr2	181902568	181902968	+	946	50.0	[7.947534]	[158]	[10.1494055]	[157]	[181902785]	[181902784]
582_10300	chr21	13016675	13017075	+	974	50.0	[10.636991]	[78]	[11.910557]	[77]	[13016850]	[13016849]
582_10303	chr21	44872333	44872733	+	946	50.0	[5.422971]	[138]	[7.3027105]	[137]	[44872557]	[44872556]
582_10305	chr22	11351190	11351590	+	1000	50.0	[11.910557]	[94]	[10.229654, 6.0351205]	[93, 123]	[11351382]	[11351381, 11351411]
582_10306	chr22	16677461	16677861	+	1000	50.0	[]	[]	[5.451308]	[238]	[]	[16677626]
582_10308	chr22	17921099	17921499	+	1000	50.0	[7.3027105]	[96]	[5.830307]	[95]	[17921294]	[17921293]
582_10313	chr22	22147758	22148158	+	1000	50.0	[5.7660985]	[143]	[5.6231275]	[235]	[22147911]	[22148003]
582_10316	chr22	30212549	30212949	+	1000	50.0	[8.710281]	[133]	[5.9388933]	[132]	[30212725]	[30212724]
582_10317	chr3	19917182	19917582	+	1000	50.0	[5.9220176]	[87]	[]	[]	[19917341]	[]
582_10321	chr3	101149709	101150109	+	715	50.0	[10.636991]	[112]	[11.910557]	[111]	[101149915]	[101149914]
582_10322	chr3	172503313	172503713	+	1000	50.0	[7.947534]	[106]	[10.1494055]	[105]	[172503500]	[172503499]
582_10323	chr3	186160732	186161132	+	968	50.0	[10.229654]	[161]	[11.910557]	[160]	[186160967]	[186160966]
582_10325	chr3	192168084	192168484	+	1000	50.0	[5.9220176]	[91]	[]	[]	[192168248]	[]
582_10326	chr4	38396108	38396508	+	1000	50.0	[5.9220176]	[107]	[]	[]	[38396295]	[]
582_10327	chr4	67697835	67698235	+	1000	50.0	[6.584471]	[164]	[10.403485]	[163]	[67698057]	[67698056]
582_10329	chr4	78942401	78942801	+	1000	50.0	[8.601925]	[131]	[11.390118]	[130]	[78942596]	[78942595]
582_1033	chr3	46006627	46007027	+	1000	141.5	[7.947534]	[96]	[10.1494055]	[95]	[46006814]	[46006813]
582_10332	chr4	117412649	117413049	+	1000	50.0	[11.910557]	[110]	[10.636991]	[109]	[117412855]	[117412854]
582_10334	chr4	131081044	131081444	+	945	50.0	[10.636991]	[130]	[11.910557]	[129]	[131081263]	[131081262]
582_10335	chr5	7080071	7080471	+	1000	50.0	[5.9220176]	[123]	[6.9977837]	[134]	[7080277]	[7080288]
582_10336	chr5	15305438	15305838	+	1000	50.0	[5.9220176]	[125]	[]	[]	[15305656]	[]
582_10337	chr5	42887531	42887931	+	1000	50.0	[11.910557]	[89]	[10.636991]	[88]	[42887717]	[42887716]
582_10338	chr5	44275278	44275678	+	1000	50.0	[5.9220176]	[159]	[]	[]	[44275527]	[]
582_10340	chr5	68289649	68290049	+	1000	50.0	[]	[]	[7.103873]	[129]	[]	[68289849]
582_10342	chr5	90991196	90991596	+	1000	50.0	[11.247147]	[101]	[15.12992]	[100]	[90991394]	[90991393]
582_10343	chr5	91187408	91187808	+	808	50.0	[7.947534]	[123]	[10.1494055]	[122]	[91187601]	[91187600]
582_10344	chr5	110525765	110526165	+	1000	50.0	[10.902532]	[104]	[]	[]	[110525961]	[]
582_10345	chr5	111096486	111096886	+	977	50.0	[]	[]	[5.9220176]	[88]	[]	[111096656]
582_10347	chr5	128202342	128202742	+	1000	50.0	[11.654483]	[105]	[14.722584]	[104]	[128202542]	[128202541]
582_10350	chr6	14008798	14009198	+	988	50.0	[11.503221]	[112]	[10.636991]	[111]	[14009008]	[14009007]
582_10351	chr6	15017843	15018243	+	1000	50.0	[7.103873]	[149]	[]	[]	[15018023]	[]
582_10355	chr6	29525207	29525607	+	967	50.0	[11.910557]	[177]	[10.636991]	[176]	[29525442]	[29525441]
582_10357	chr6	43917314	43917714	+	862	50.0	[]	[]	[5.830307, 5.5822563]	[206, 283]	[]	[43917474, 43917551]
582_10358	chr6	53412761	53413161	+	876	50.0	[5.62402, 9.901916]	[104, 124]	[7.485369, 9.197866, 5.17492]	[103, 123, 146]	[53412953, 53412973]	[53412952, 53412972, 53412995]
582_1036	chr7	158710860	158711260	+	1000	141.5	[11.503221]	[93]	[10.229654]	[92]	[158711045]	[158711044]
582_10360	chr6	100260638	100261038	+	1000	50.0	[]	[]	[5.9220176]	[132]	[]	[100260847]
582_10362	chr6	131554877	131555277	+	1000	50.0	[11.910557]	[150]	[10.636991]	[149]	[131555111]	[131555110]
582_10363	chr6	147067147	147067547	+	1000	50.0	[10.229654, 7.3027105]	[79, 107]	[11.910557, 5.830307]	[78, 106]	[147067322, 147067350]	[147067321, 147067349]
582_10365	chr6	148713297	148713697	+	1000	50.0	[]	[]	[5.9220176]	[146]	[]	[148713520]
582_10367	chr6	157033007	157033407	+	1000	50.0	[]	[]	[5.234844]	[124]	[]	[157033213]
582_10368	chr6	169434587	169434987	+	970	50.0	[5.9220176]	[124]	[]	[]	[169434790]	[]
582_10369	chr7	5423581	5423981	+	912	50.0	[11.015635]	[126]	[6.6739683]	[125]	[5423797]	[5423796]
582_1037	chr9	124966246	124966646	+	1000	141.5	[]	[]	[5.9220176]	[105]	[]	[124966443]
582_10371	chr7	97757820	97758220	+	1000	50.0	[5.9220176]	[112]	[9.901916]	[94]	[97758029]	[97758011]
582_10374	chr7	116293618	116294018	+	1000	50.0	[10.1494055]	[107]	[7.947534]	[106]	[116293825]	[116293824]
582_10377	chr7	134306662	134307062	+	982	50.0	[]	[]	[5.9220176]	[159]	[]	[134306892]
582_10379	chr8	9585704	9586104	+	996	50.0	[11.166897]	[110]	[11.166897]	[109]	[9585897]	[9585896]
582_1038	chrX	43313094	43313494	+	1000	141.5	[10.1494055, 15.617505]	[72, 96]	[15.617505]	[95]	[43313264, 43313288]	[43313287]
582_10380	chr8	15572809	15573209	+	1000	50.0	[6.5180492]	[140]	[8.728543]	[139]	[15573037]	[15573036]
582_10382	chr8	38925736	38926136	+	1000	50.0	[9.197866]	[282]	[9.901916]	[281]	[38925949]	[38925948]
582_10385	chr8	123944788	123945188	+	677	50.0	[]	[]	[10.495195]	[96]	[]	[123944960]
582_1039	chr2	170115743	170116143	+	1000	141.0	[10.902532]	[102]	[]	[]	[170115939]	[]
582_10391	chr9	116539534	116539934	+	1000	50.0	[]	[]	[5.3023133]	[104]	[]	[116539733]
582_10392	chr9	126759144	126759544	+	1000	50.0	[10.495195]	[117]	[6.409603]	[128]	[126759361]	[126759372]
582_10393	chr9	127725014	127725414	+	948	50.0	[8.601925]	[125]	[11.390118]	[124]	[127725227]	[127725226]
582_10394	chr9	130166256	130166656	+	1000	50.0	[11.422971]	[100]	[6.266632]	[99]	[130166450]	[130166449]
582_10397	chr9	131123181	131123581	+	1000	50.0	[7.6831694]	[157]	[]	[]	[131123374]	[]
582_10398	chrUn_GL000224v1	39018	39418	+	1000	50.0	[]	[]	[6.208951]	[141]	[]	[39224]
582_1040	chr20	5668031	5668431	+	1000	141.0	[5.830307]	[116]	[7.3027105]	[115]	[5668240]	[5668239]
582_10401	chrX	150476114	150476514	+	955	50.0	[]	[]	[5.621808]	[151]	[]	[150476349]
582_10402	chr1	10078372	10078772	+	1000	49.5	[6.5180492]	[100]	[9.1358795]	[99]	[10078539]	[10078538]
582_10404	chr1	37862378	37862778	+	1000	49.5	[5.62402, 11.422971]	[86, 132]	[11.910557]	[85]	[37862544, 37862590]	[37862543]
582_10405	chr1	40153083	40153483	+	1000	49.5	[]	[]	[6.5180492]	[175]	[]	[40153311]
582_10406	chr1	46168466	46168866	+	1000	49.5	[6.2118034]	[126]	[11.910557]	[125]	[46168665]	[46168664]
582_10407	chr1	46996896	46997296	+	1000	49.5	[5.9220176]	[95]	[]	[]	[46997083]	[]
582_10410	chr1	101676839	101677239	+	782	49.5	[5.9220176]	[101]	[]	[]	[101677033]	[]
582_10411	chr1	115808257	115808657	+	1000	49.5	[11.166897]	[170]	[10.759561]	[169]	[115808494]	[115808493]
582_10413	chr1	146028326	146028726	+	1000	49.5	[10.229654]	[309]	[11.503221]	[308]	[146028548]	[146028547]
582_10414	chr1	146409720	146410120	+	972	49.5	[10.759561]	[115]	[6.741709]	[114]	[146409907]	[146409906]
582_10416	chr1	175963729	175964129	+	1000	49.5	[11.910557]	[155]	[10.636991]	[154]	[175963918]	[175963917]
582_10417	chr1	180581490	180581890	+	1000	49.5	[10.073735]	[135]	[9.623465]	[134]	[180581711]	[180581710]
582_10419	chr1	208135436	208135836	+	997	49.5	[11.910557]	[151]	[10.229654]	[150]	[208135669]	[208135668]
582_1042	chr5	41820154	41820554	+	1000	141.0	[11.009659]	[99]	[10.810822]	[98]	[41820350]	[41820349]
582_10421	chr1	220957242	220957642	+	989	49.5	[9.623465]	[125]	[6.055884]	[124]	[220957451]	[220957450]
582_10423	chr1	246978278	246978678	+	943	49.5	[5.5146813]	[92]	[]	[]	[246978470]	[]
