#PeakID(python scan_motif.py ./ENCODE_processed_files/ARID2_idr.fa ARID2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
652_10076	chr20	47356420	47356820	+	1000	44.5	[]	[]	[6.5447836]	[141]	[]	[47356652]
652_10080	chr21	14403722	14404122	+	1000	44.5	[6.5447836]	[125]	[6.5447836]	[142]	[14403930]	[14403947]
652_10090	chr22	21692324	21692724	+	1000	44.5	[]	[]	[6.5447836, 6.5447836]	[167, 172]	[]	[21692557, 21692562]
652_10093	chr22	22151991	22152391	+	1000	44.5	[6.5447836]	[140]	[]	[]	[22152146]	[]
652_10097	chr22	22902064	22902464	+	1000	44.5	[]	[]	[6.5447836, 6.5447836]	[211, 216]	[]	[22902298, 22902303]
652_10102	chr3	36992448	36992848	+	1000	44.5	[13.202995]	[183]	[]	[]	[36992640]	[]
652_10104	chr3	45928996	45929396	+	960	44.5	[9.98438]	[54]	[]	[]	[45929147]	[]
652_10105	chr3	46549311	46549711	+	1000	44.5	[6.5447836]	[146]	[13.202995, 13.202995]	[100, 133]	[46549520]	[46549474, 46549507]
652_10108	chr3	138594636	138595036	+	1000	44.5	[]	[]	[6.5447836]	[137]	[]	[138594871]
652_10112	chr3	152471943	152472343	+	1000	44.5	[]	[]	[6.5447836]	[117]	[]	[152472127]
652_10113	chr3	155131030	155131430	+	1000	44.5	[9.98438, 6.9436774]	[87, 143]	[]	[]	[155131195, 155131251]	[]
652_10114	chr3	158434436	158434836	+	1000	44.5	[]	[]	[6.5447836]	[158]	[]	[158434671]
652_10116	chr3	172477280	172477680	+	1000	44.5	[6.5447836]	[123]	[]	[]	[172477464]	[]
652_10118	chr3	186938693	186939093	+	1000	44.5	[]	[]	[8.236117]	[59]	[]	[186938851]
652_10125	chr4	78732528	78732928	+	1000	44.5	[]	[]	[13.202995]	[67]	[]	[78732695]
652_10129	chr4	87389407	87389807	+	1000	44.5	[]	[]	[6.5447836]	[98]	[]	[87389578]
652_10133	chr5	5492358	5492758	+	1000	44.5	[]	[]	[6.5447836]	[163]	[]	[5492596]
652_10135	chr5	10702921	10703321	+	1000	44.5	[]	[]	[8.236117]	[155]	[]	[10703114]
652_10136	chr5	38667005	38667405	+	1000	44.5	[]	[]	[9.98438]	[54]	[]	[38667159]
652_1014	chr1	205977382	205977782	+	1000	86.5	[6.5447836]	[79]	[]	[]	[205977555]	[]
652_10145	chr5	113042822	113043222	+	899	44.5	[6.5447836, 11.127059]	[118, 171]	[]	[]	[113043012, 113043065]	[]
652_10153	chr5	176574005	176574405	+	1000	44.5	[6.5447836]	[69]	[]	[]	[176574166]	[]
652_10157	chr6	3173516	3173916	+	1000	44.5	[]	[]	[6.5447836]	[137]	[]	[3173739]
652_10160	chr6	13354629	13355029	+	1000	44.5	[]	[]	[6.5447836]	[115]	[]	[13354807]
652_10164	chr6	26194213	26194613	+	1000	44.5	[6.5447836]	[150]	[]	[]	[26194392]	[]
652_10172	chr6	32153147	32153547	+	1000	44.5	[9.98438]	[222]	[]	[]	[32153397]	[]
652_10173	chr6	36724581	36724981	+	1000	44.5	[]	[]	[6.5447836]	[134]	[]	[36724809]
652_10174	chr6	37173799	37174199	+	1000	44.5	[6.5447836]	[160]	[]	[]	[37173977]	[]
652_10175	chr6	43926613	43927013	+	1000	44.5	[8.236117]	[185]	[]	[]	[43926840]	[]
652_10177	chr6	49634296	49634696	+	1000	44.5	[]	[]	[6.5447836]	[119]	[]	[49634514]
652_10179	chr6	99868023	99868423	+	1000	44.5	[6.5447836]	[78]	[]	[]	[99868188]	[]
652_10184	chr6	150817803	150818203	+	1000	44.5	[]	[]	[6.5447836, 6.5447836]	[88, 138]	[]	[150817964, 150818014]
652_10190	chr7	7181721	7182121	+	1000	44.5	[6.5447836]	[137]	[]	[]	[7181921]	[]
652_10191	chr7	30026343	30026743	+	1000	44.5	[6.5447836]	[102]	[]	[]	[30026496]	[]
652_10192	chr7	36390589	36390989	+	1000	44.5	[]	[]	[6.5447836]	[67]	[]	[36390744]
652_10193	chr7	38318774	38319174	+	1000	44.5	[]	[]	[6.5447836]	[75]	[]	[38318949]
652_10195	chr7	65006392	65006792	+	1000	44.5	[]	[]	[6.5447836]	[89]	[]	[65006571]
652_10199	chr7	99142743	99143143	+	1000	44.5	[6.5447836]	[171]	[]	[]	[99142965]	[]
652_10204	chr7	105377003	105377403	+	1000	44.5	[]	[]	[6.5447836]	[194]	[]	[105377238]
652_10205	chr7	106571944	106572344	+	1000	44.5	[]	[]	[6.5447836]	[200]	[]	[106572193]
652_10208	chr7	120998776	120999176	+	1000	44.5	[6.5447836]	[166]	[6.5447836]	[129]	[120998971]	[120998934]
652_1021	chr22	19171232	19171632	+	1000	86.5	[6.5447836]	[182]	[]	[]	[19171479]	[]
652_10213	chr7	137656259	137656659	+	1000	44.5	[]	[]	[6.5447836, 6.5447836]	[110, 115]	[]	[137656461, 137656466]
652_10214	chr7	139124243	139124643	+	1000	44.5	[]	[]	[13.202995]	[101]	[]	[139124434]
652_10215	chr7	140397838	140398238	+	1000	44.5	[]	[]	[6.5447836]	[135]	[]	[140398073]
652_10217	chr7	149760486	149760886	+	1000	44.5	[6.5447836, 6.5447836]	[121, 141]	[]	[]	[149760690, 149760710]	[]
652_10218	chr7	151061545	151061945	+	1000	44.5	[]	[]	[6.5447836, 6.5447836]	[115, 120]	[]	[151061759, 151061764]
652_10224	chr8	98997817	98998217	+	1000	44.5	[]	[]	[6.5447836]	[136]	[]	[98998041]
652_10226	chr8	125118307	125118707	+	1000	44.5	[]	[]	[6.5447836]	[110]	[]	[125118512]
652_10227	chr9	34437362	34437762	+	1000	44.5	[6.5447836]	[111]	[]	[]	[34437559]	[]
652_10228	chr9	37592267	37592667	+	1000	44.5	[6.5447836]	[81]	[]	[]	[37592433]	[]
652_10232	chr9	120899827	120900227	+	1000	44.5	[]	[]	[6.5447836]	[92]	[]	[120899990]
652_10234	chr9	130883541	130883941	+	1000	44.5	[13.202995]	[220]	[]	[]	[130883785]	[]
652_10239	chr9	131220400	131220800	+	1000	44.5	[6.5447836]	[109]	[]	[]	[131220586]	[]
652_10249	chr1	12537257	12537657	+	1000	44.0	[]	[]	[13.202995]	[118]	[]	[12537451]
652_1025	chr4	8468756	8469156	+	1000	86.5	[]	[]	[6.5447836]	[124]	[]	[8468969]
652_10254	chr1	20575237	20575637	+	1000	44.0	[]	[]	[6.5447836]	[126]	[]	[20575437]
652_10260	chr1	28644512	28644912	+	1000	44.0	[]	[]	[13.202995]	[120]	[]	[28644672]
652_10261	chr1	31564050	31564450	+	1000	44.0	[6.5447836]	[82]	[]	[]	[31564226]	[]
652_10263	chr1	33455749	33456149	+	1000	44.0	[6.5447836, 6.5447836, 6.5447836]	[127, 146, 158]	[]	[]	[33455958, 33455977, 33455989]	[]
652_10276	chr1	108533749	108534149	+	1000	44.0	[13.202995]	[146]	[]	[]	[108533991]	[]
652_10279	chr1	110918028	110918428	+	1000	44.0	[13.202995]	[143]	[]	[]	[110918241]	[]
652_10284	chr1	150628824	150629224	+	1000	44.0	[]	[]	[6.5447836, 6.5447836]	[122, 171]	[]	[150629007, 150629056]
652_10285	chr1	151326715	151327115	+	1000	44.0	[11.127059]	[81]	[]	[]	[151326881]	[]
652_10288	chr1	157279576	157279976	+	1000	44.0	[13.202995]	[85]	[]	[]	[157279754]	[]
652_10291	chr1	167723942	167724342	+	1000	44.0	[]	[]	[6.9436774]	[122]	[]	[167724141]
652_10292	chr1	167863071	167863471	+	1000	44.0	[]	[]	[9.98438]	[121]	[]	[167863258]
652_10295	chr1	185316764	185317164	+	1000	44.0	[]	[]	[6.5447836]	[88]	[]	[185316919]
652_10309	chr10	17452256	17452656	+	1000	44.0	[11.127059]	[53]	[]	[]	[17452409]	[]
652_10316	chr10	45250099	45250499	+	1000	44.0	[]	[]	[6.5447836]	[140]	[]	[45250315]
652_10319	chr10	58177358	58177758	+	1000	44.0	[6.9436774]	[126]	[6.5447836]	[110]	[58177578]	[58177562]
652_10321	chr10	60314392	60314792	+	1000	44.0	[6.6472974]	[97]	[6.5447836]	[83]	[60314567]	[60314553]
652_10326	chr10	73997258	73997658	+	1000	44.0	[6.5447836]	[208]	[]	[]	[73997479]	[]
652_1033	chr1	38835217	38835617	+	1000	86.0	[6.9436774]	[101]	[]	[]	[38835407]	[]
652_10330	chr10	110137103	110137503	+	1000	44.0	[6.5447836]	[160]	[]	[]	[110137336]	[]
652_10338	chr11	33161130	33161530	+	1000	44.0	[6.5447836]	[156]	[]	[]	[33161372]	[]
652_10339	chr11	44037341	44037741	+	1000	44.0	[6.5447836]	[103]	[]	[]	[44037539]	[]
652_10343	chr11	65367136	65367536	+	1000	44.0	[13.202995]	[114]	[]	[]	[65367325]	[]
652_1035	chr1	155938151	155938551	+	1000	86.0	[6.5447836]	[138]	[6.5447836]	[72]	[155938384]	[155938318]
652_10352	chr11	118620923	118621323	+	1000	44.0	[]	[]	[6.5447836]	[132]	[]	[118621143]
652_10353	chr11	124644309	124644709	+	1000	44.0	[]	[]	[6.5447836]	[152]	[]	[124644556]
652_10354	chr11	124669121	124669521	+	1000	44.0	[6.9436774]	[93]	[6.5447836]	[147]	[124669301]	[124669355]
652_10355	chr12	31715226	31715626	+	1000	44.0	[]	[]	[13.202995]	[87]	[]	[31715405]
652_10356	chr12	32005492	32005892	+	1000	44.0	[8.236117]	[108]	[9.212816]	[162]	[32005671]	[32005725]
652_10359	chr12	66169626	66170026	+	1000	44.0	[6.5447836]	[123]	[]	[]	[66169815]	[]
652_10361	chr12	102480427	102480827	+	1000	44.0	[]	[]	[11.127059, 6.5447836]	[78, 132]	[]	[102480588, 102480642]
652_10364	chr12	113980501	113980901	+	1000	44.0	[6.6472974]	[131]	[]	[]	[113980721]	[]
652_10365	chr12	119901994	119902394	+	1000	44.0	[]	[]	[13.202995]	[65]	[]	[119902151]
652_10367	chr13	44243268	44243668	+	1000	44.0	[6.6472974]	[143]	[]	[]	[44243498]	[]
652_10374	chr15	22777478	22777878	+	1000	44.0	[]	[]	[6.5447836]	[91]	[]	[22777653]
652_1038	chr1	206664180	206664580	+	1000	86.0	[6.6472974]	[112]	[]	[]	[206664388]	[]
652_10387	chr16	68902388	68902788	+	1000	44.0	[6.5447836]	[105]	[]	[]	[68902592]	[]
652_10396	chr17	41678178	41678578	+	1000	44.0	[]	[]	[6.5447836]	[148]	[]	[41678376]
652_10399	chr17	46187969	46188369	+	1000	44.0	[]	[]	[6.5447836]	[110]	[]	[46188179]
652_10402	chr17	56939892	56940292	+	1000	44.0	[6.5447836]	[131]	[]	[]	[56940121]	[]
652_10403	chr17	59290695	59291095	+	1000	44.0	[]	[]	[6.5447836]	[161]	[]	[59290893]
652_10409	chr17	78272248	78272648	+	1000	44.0	[6.5447836]	[153]	[]	[]	[78272445]	[]
652_10410	chr18	617966	618366	+	1000	44.0	[9.98438]	[124]	[13.202995]	[56]	[618188]	[618120]
652_10411	chr18	9103286	9103686	+	1000	44.0	[6.5447836]	[87]	[]	[]	[9103456]	[]
652_10419	chr19	14200223	14200623	+	1000	44.0	[6.5447836]	[144]	[]	[]	[14200464]	[]
652_10422	chr19	36170582	36170982	+	1000	44.0	[]	[]	[6.5447836, 6.9436774]	[142, 149]	[]	[36170748, 36170755]
652_10427	chr19	47348488	47348888	+	1000	44.0	[6.5447836]	[194]	[]	[]	[47348693]	[]
652_10428	chr19	48256662	48257062	+	1000	44.0	[6.5447836]	[134]	[]	[]	[48256894]	[]
652_10430	chr19	49489533	49489933	+	1000	44.0	[]	[]	[6.5447836]	[79]	[]	[49489691]
652_10432	chr19	51542074	51542474	+	1000	44.0	[6.5447836]	[66]	[]	[]	[51542233]	[]
652_10435	chr19	58585778	58586178	+	1000	44.0	[]	[]	[13.202995]	[125]	[]	[58585978]
652_10440	chr2	69997259	69997659	+	1000	44.0	[]	[]	[6.5447836]	[111]	[]	[69997424]
652_10445	chr2	121649574	121649974	+	1000	44.0	[6.5447836]	[208]	[]	[]	[121649816]	[]
652_10448	chr2	157722541	157722941	+	1000	44.0	[6.5447836]	[149]	[]	[]	[157722780]	[]
652_10449	chr2	159124535	159124935	+	1000	44.0	[6.5447836]	[163]	[]	[]	[159124723]	[]
652_10450	chr2	171521907	171522307	+	1000	44.0	[]	[]	[6.5447836]	[129]	[]	[171522112]
652_10451	chr2	172864230	172864630	+	1000	44.0	[6.5447836]	[127]	[]	[]	[172864423]	[]
652_10460	chr20	45944073	45944473	+	864	44.0	[6.5447836]	[130]	[]	[]	[45944261]	[]
652_10461	chr20	45985473	45985873	+	1000	44.0	[6.5447836]	[104]	[]	[]	[45985655]	[]
652_10470	chr22	16813724	16814124	+	1000	44.0	[6.5447836]	[222]	[6.5447836]	[213]	[16813963]	[16813954]
652_10472	chr22	20009608	20010008	+	1000	44.0	[8.236117, 9.98438]	[133, 158]	[]	[]	[20009785, 20009810]	[]
652_10476	chr22	20999015	20999415	+	1000	44.0	[]	[]	[6.5447836]	[136]	[]	[20999217]
652_10478	chr22	21610656	21611056	+	1000	44.0	[8.236117]	[121]	[]	[]	[21610871]	[]
652_10479	chr22	21648285	21648685	+	1000	44.0	[6.5447836]	[123]	[]	[]	[21648502]	[]
652_10486	chr22	22577819	22578219	+	1000	44.0	[]	[]	[6.5447836]	[77]	[]	[22577970]
652_1049	chr22	22725944	22726344	+	1000	86.0	[6.5447836]	[82]	[]	[]	[22726106]	[]
652_10491	chr3	4744810	4745210	+	1000	44.0	[]	[]	[6.5447836, 6.5447836, 6.5447836, 11.127059]	[85, 93, 123, 132]	[]	[4744990, 4744998, 4745028, 4745037]
652_10494	chr3	10142803	10143203	+	1000	44.0	[6.5447836, 6.5447836]	[88, 149]	[]	[]	[10142959, 10143020]	[]
652_10502	chr3	43565560	43565960	+	1000	44.0	[13.202995]	[102]	[]	[]	[43565750]	[]
652_10503	chr3	45269888	45270288	+	1000	44.0	[]	[]	[13.202995, 6.5447836]	[66, 150]	[]	[45270043, 45270127]
652_10510	chr3	129608640	129609040	+	1000	44.0	[]	[]	[6.5447836]	[114]	[]	[129608838]
652_10515	chr3	177338677	177339077	+	1000	44.0	[6.5447836]	[99]	[]	[]	[177338871]	[]
652_10516	chr4	78612407	78612807	+	1000	44.0	[]	[]	[6.5447836]	[161]	[]	[78612652]
652_10517	chr4	86895650	86896050	+	1000	44.0	[6.5447836]	[140]	[]	[]	[86895853]	[]
652_10519	chr4	174681774	174682174	+	1000	44.0	[13.202995]	[121]	[]	[]	[174681965]	[]
652_10520	chr5	15013855	15014255	+	939	44.0	[6.5447836]	[158]	[]	[]	[15014100]	[]
652_10521	chr5	39076909	39077309	+	1000	44.0	[]	[]	[6.5447836]	[99]	[]	[39077099]
652_10526	chr5	126339178	126339578	+	1000	44.0	[]	[]	[6.5447836]	[64]	[]	[126339335]
652_10529	chr5	134905504	134905904	+	1000	44.0	[]	[]	[6.5447836]	[123]	[]	[134905698]
652_1053	chr5	133111196	133111596	+	1000	86.0	[6.5447836]	[149]	[]	[]	[133111441]	[]
652_10532	chr5	181206607	181207007	+	1000	44.0	[6.5447836]	[184]	[]	[]	[181206820]	[]
652_10534	chr6	3166272	3166672	+	1000	44.0	[]	[]	[11.127059]	[97]	[]	[3166457]
652_10536	chr6	7312860	7313260	+	1000	44.0	[6.5447836]	[162]	[]	[]	[7313087]	[]
652_10537	chr6	10771137	10771537	+	1000	44.0	[6.5447836]	[185]	[]	[]	[10771357]	[]
652_1054	chr6	28803395	28803795	+	1000	86.0	[6.5447836]	[146]	[]	[]	[28803629]	[]
652_10540	chr6	17707022	17707422	+	1000	44.0	[6.5447836]	[153]	[]	[]	[17707261]	[]
652_10544	chr6	27551586	27551986	+	1000	44.0	[6.5447836, 6.5447836]	[73, 153]	[]	[]	[27551754, 27551834]	[]
652_10547	chr6	29967442	29967842	+	875	44.0	[6.5447836]	[187]	[8.236117]	[216]	[29967662]	[29967691]
652_10548	chr6	30681927	30682327	+	1000	44.0	[]	[]	[6.5447836]	[167]	[]	[30682115]
652_10549	chr6	30721029	30721429	+	1000	44.0	[6.5447836]	[76]	[]	[]	[30721202]	[]
652_10550	chr6	31562949	31563349	+	1000	44.0	[6.5447836]	[152]	[]	[]	[31563190]	[]
652_10551	chr6	31819975	31820375	+	1000	44.0	[]	[]	[6.5447836]	[109]	[]	[31820132]
652_10559	chr6	43115320	43115720	+	1000	44.0	[]	[]	[6.5447836]	[216]	[]	[43115548]
652_10569	chr6	147196619	147197019	+	1000	44.0	[]	[]	[11.127059]	[97]	[]	[147196776]
652_10571	chr6	158835553	158835953	+	1000	44.0	[13.202995]	[130]	[]	[]	[158835780]	[]
652_10573	chr6	167898668	167899068	+	1000	44.0	[]	[]	[6.5447836]	[153]	[]	[167898886]
652_10574	chr7	16261580	16261980	+	851	44.0	[]	[]	[6.5447836]	[77]	[]	[16261752]
652_10575	chr7	23696947	23697347	+	891	44.0	[6.5447836]	[94]	[]	[]	[23697128]	[]
652_10587	chr7	107035382	107035782	+	1000	44.0	[6.5447836]	[117]	[]	[]	[107035598]	[]
652_10594	chr7	135414846	135415246	+	1000	44.0	[6.5447836]	[79]	[]	[]	[135415011]	[]
652_10599	chr7	150321042	150321442	+	1000	44.0	[]	[]	[6.5447836]	[110]	[]	[150321201]
652_1060	chr7	131007401	131007801	+	1000	86.0	[6.5447836]	[139]	[]	[]	[131007623]	[]
652_10601	chr8	11350282	11350682	+	1000	44.0	[13.202995]	[104]	[]	[]	[11350478]	[]
652_10604	chr8	29340250	29340650	+	1000	44.0	[6.6472974]	[156]	[]	[]	[29340461]	[]
652_1061	chr8	80023564	80023964	+	1000	86.0	[6.5447836]	[148]	[]	[]	[80023800]	[]
652_10611	chr8	90570989	90571389	+	1000	44.0	[11.127059]	[77]	[]	[]	[90571158]	[]
652_10614	chr8	125180941	125181341	+	1000	44.0	[8.236117]	[147]	[]	[]	[125181128]	[]
652_10615	chr8	127998508	127998908	+	1000	44.0	[]	[]	[6.5447836, 6.5447836]	[79, 131]	[]	[127998687, 127998739]
652_10617	chr8	129971698	129972098	+	1000	44.0	[6.5447836]	[87]	[]	[]	[129971862]	[]
652_10632	chrUn_GL000219v1	107536	107936	+	1000	44.0	[]	[]	[6.5447836, 6.5447836]	[104, 160]	[]	[107701, 107757]
652_10639	chr1	11882877	11883277	+	1000	43.5	[8.236117]	[105]	[]	[]	[11883039]	[]
652_1064	chr1	207626303	207626703	+	1000	85.5	[6.5447836]	[85]	[]	[]	[207626470]	[]
652_10640	chr1	12018904	12019304	+	1000	43.5	[6.5447836]	[181]	[]	[]	[12019139]	[]
652_10645	chr1	28653858	28654258	+	1000	43.5	[]	[]	[6.5447836]	[95]	[]	[28654019]
652_10647	chr1	29179940	29180340	+	1000	43.5	[6.5447836]	[127]	[]	[]	[29180126]	[]
652_10652	chr1	39266283	39266683	+	1000	43.5	[6.6472974]	[83]	[]	[]	[39266465]	[]
652_10653	chr1	41158177	41158577	+	1000	43.5	[6.9436774, 8.236117]	[154, 162]	[]	[]	[41158344, 41158352]	[]
652_10657	chr1	46402223	46402623	+	1000	43.5	[]	[]	[6.5447836]	[132]	[]	[46402434]
652_10658	chr1	53185702	53186102	+	1000	43.5	[]	[]	[6.5447836]	[149]	[]	[53185937]
652_10662	chr1	86965228	86965628	+	1000	43.5	[]	[]	[6.5447836]	[75]	[]	[86965397]
652_10670	chr1	150072977	150073377	+	1000	43.5	[]	[]	[11.127059]	[111]	[]	[150073175]
652_10671	chr1	151300873	151301273	+	1000	43.5	[]	[]	[6.5447836]	[143]	[]	[151301111]
652_10673	chr1	154157364	154157764	+	1000	43.5	[6.5447836]	[109]	[]	[]	[154157542]	[]
652_10676	chr1	161398326	161398726	+	1000	43.5	[]	[]	[6.5447836]	[148]	[]	[161398545]
652_10681	chr1	203005402	203005802	+	1000	43.5	[11.127059]	[92]	[]	[]	[203005585]	[]
652_10685	chr1	207029905	207030305	+	1000	43.5	[11.127059, 6.5447836]	[172, 240]	[]	[]	[207030079, 207030147]	[]
652_10688	chr1	219147639	219148039	+	1000	43.5	[6.5447836]	[206]	[]	[]	[219147888]	[]
652_10694	chr1	234730624	234731024	+	1000	43.5	[6.5447836, 13.202995]	[155, 213]	[]	[]	[234730800, 234730858]	[]
652_10696	chr1	246907499	246907899	+	1000	43.5	[]	[]	[6.5447836]	[112]	[]	[246907693]
652_10699	chr10	14185523	14185923	+	1000	43.5	[6.5447836, 6.5447836]	[178, 229]	[]	[]	[14185723, 14185774]	[]
652_1070	chr19	13862226	13862626	+	1000	85.5	[6.5447836]	[68]	[]	[]	[13862377]	[]
652_10700	chr10	35412966	35413366	+	1000	43.5	[6.5447836, 6.5447836]	[120, 151]	[]	[]	[35413154, 35413185]	[]
652_10701	chr10	49512109	49512509	+	1000	43.5	[6.5447836, 6.5447836]	[103, 126]	[]	[]	[49512275, 49512298]	[]
652_10702	chr10	50334587	50334987	+	973	43.5	[6.5447836, 13.202995]	[132, 157]	[]	[]	[50334803, 50334828]	[]
652_10704	chr10	69088074	69088474	+	1000	43.5	[6.5447836]	[134]	[6.5447836]	[167]	[69088235]	[69088268]
652_10705	chr10	71633175	71633575	+	1000	43.5	[11.127059]	[71]	[]	[]	[71633333]	[]
652_10706	chr10	71659768	71660168	+	1000	43.5	[]	[]	[6.5447836, 6.5447836, 6.5447836]	[105, 110, 115]	[]	[71659935, 71659940, 71659945]
652_10707	chr10	71684376	71684776	+	1000	43.5	[]	[]	[6.5447836]	[113]	[]	[71684566]
652_10708	chr10	73956517	73956917	+	1000	43.5	[]	[]	[6.9436774]	[184]	[]	[73956725]
652_10714	chr10	92434965	92435365	+	1000	43.5	[]	[]	[11.127059, 13.202995]	[138, 161]	[]	[92435186, 92435209]
652_10716	chr10	132637732	132638132	+	1000	43.5	[]	[]	[6.5447836]	[164]	[]	[132637944]
652_10736	chr11	78432187	78432587	+	1000	43.5	[]	[]	[6.5447836]	[73]	[]	[78432351]
652_10737	chr11	107856848	107857248	+	1000	43.5	[6.5447836]	[81]	[]	[]	[107857005]	[]
652_10747	chr12	23423390	23423790	+	1000	43.5	[]	[]	[13.202995, 6.5447836]	[123, 128]	[]	[23423551, 23423556]
652_10748	chr12	26884922	26885322	+	1000	43.5	[]	[]	[7.1368794]	[108]	[]	[26885127]
652_10754	chr12	53743594	53743994	+	1000	43.5	[6.5447836]	[103]	[]	[]	[53743795]	[]
652_10756	chr12	56437413	56437813	+	1000	43.5	[11.127059, 6.5447836]	[154, 168]	[]	[]	[56437631, 56437645]	[]
652_10757	chr12	75892848	75893248	+	1000	43.5	[9.98438]	[130]	[13.202995]	[106]	[75893023]	[75892999]
652_10764	chr14	64891778	64892178	+	1000	43.5	[]	[]	[11.127059]	[85]	[]	[64891951]
652_10767	chr15	40106354	40106754	+	840	43.5	[]	[]	[13.202995]	[126]	[]	[40106579]
652_10769	chr15	58269939	58270339	+	1000	43.5	[]	[]	[6.5447836]	[150]	[]	[58270166]
652_1077	chr6	36766132	36766532	+	1000	85.5	[6.5447836]	[119]	[]	[]	[36766348]	[]
652_10770	chr15	65783915	65784315	+	1000	43.5	[]	[]	[11.127059]	[113]	[]	[65784081]
652_10776	chr16	11743355	11743755	+	1000	43.5	[]	[]	[6.5447836]	[103]	[]	[11743554]
652_10777	chr16	15576501	15576901	+	1000	43.5	[]	[]	[6.5447836]	[225]	[]	[15576731]
652_10778	chr16	15650503	15650903	+	925	43.5	[]	[]	[6.5447836]	[222]	[]	[15650745]
652_10779	chr16	21640653	21641053	+	1000	43.5	[]	[]	[6.5447836]	[145]	[]	[21640893]
652_10780	chr16	27234987	27235387	+	1000	43.5	[]	[]	[11.127059]	[135]	[]	[27235221]
652_10787	chr16	66947175	66947575	+	1000	43.5	[6.5447836]	[93]	[]	[]	[66947364]	[]
652_10790	chr16	71961406	71961806	+	1000	43.5	[6.5447836]	[92]	[]	[]	[71961590]	[]
652_10792	chr16	81624827	81625227	+	1000	43.5	[6.6472974]	[217]	[8.236117]	[177]	[81625049]	[81625009]
652_10793	chr16	84600569	84600969	+	1000	43.5	[6.5447836]	[195]	[]	[]	[84600797]	[]
652_10803	chr17	50546856	50547256	+	1000	43.5	[]	[]	[6.5447836]	[97]	[]	[50547039]
652_10809	chr17	63849000	63849400	+	1000	43.5	[6.5447836]	[202]	[6.5447836]	[148]	[63849242]	[63849188]
652_10815	chr17_GL000205v2_random	67885	68285	+	1000	43.5	[]	[]	[6.5447836]	[178]	[]	[68114]
652_1082	chr9	131054553	131054953	+	1000	85.5	[]	[]	[6.5447836]	[113]	[]	[131054737]
652_10830	chr19	41225521	41225921	+	775	43.5	[]	[]	[6.5447836]	[176]	[]	[41225750]
652_10839	chr19	51466791	51467191	+	1000	43.5	[11.127059]	[112]	[6.5447836]	[125]	[51466984]	[51466997]
652_10841	chr19	54096542	54096942	+	1000	43.5	[]	[]	[6.5447836]	[135]	[]	[54096740]
652_10842	chr19	54919663	54920063	+	1000	43.5	[]	[]	[6.5447836]	[143]	[]	[54919898]
