#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1000	chr10	73246885	73247285	+	1000	67.5	[8.786449, 10.0477295, 8.836867]	[59, 63, 140]	[7.797938]	[76]	[73247042, 73247046, 73247123]	[73247059]
293_1023	chr7	102464709	102465109	+	1000	67.5	[]	[]	[10.534392]	[153]	[]	[102464903]
293_1025	chr7	129952762	129953162	+	1000	67.5	[]	[]	[8.061124, 7.5940995]	[166, 170]	[]	[129952997, 129953001]
293_1026	chr9	127862462	127862862	+	1000	67.5	[12.265705]	[133]	[]	[]	[127862692]	[]
293_1031	chrX	15675199	15675599	+	1000	67.5	[]	[]	[8.836867]	[150]	[]	[15675447]
293_1035	chr14	75069087	75069487	+	1000	67.0	[7.5088573]	[198]	[]	[]	[75069327]	[]
293_1039	chr19	3626928	3627328	+	1000	67.0	[]	[]	[8.956747, 12.265705]	[123, 197]	[]	[3627097, 3627171]
293_1043	chr22	23151121	23151521	+	1000	67.0	[]	[]	[8.057231]	[158]	[]	[23151299]
293_1046	chr6	2841730	2842130	+	1000	67.0	[]	[]	[10.534392]	[122]	[]	[2841927]
293_1047	chr6	26171773	26172173	+	1000	67.0	[12.265705]	[100]	[]	[]	[26171946]	[]
293_1049	chr6	43053589	43053989	+	1000	67.0	[]	[]	[8.956747, 8.836867, 12.520998]	[86, 92, 148]	[]	[43053744, 43053750, 43053806]
293_105	chr1	224503402	224503802	+	1000	174.5	[]	[]	[8.061124]	[137]	[]	[224503602]
293_1050	chr8	101027326	101027726	+	1000	67.0	[14.252311]	[97]	[]	[]	[101027522]	[]
293_1053	chr1	35031564	35031964	+	1000	66.5	[7.5088573, 7.0663056, 7.9705]	[127, 140, 161]	[7.643828]	[118]	[35031771, 35031784, 35031805]	[35031762]
293_1057	chr12	56116353	56116753	+	1000	66.5	[10.534392, 7.782383]	[92, 134]	[6.253357, 8.797619]	[102, 114]	[56116544, 56116586]	[56116554, 56116566]
293_1064	chr4	186191315	186191715	+	1000	66.5	[9.2401705]	[145]	[]	[]	[186191538]	[]
293_1067	chr7	26200702	26201102	+	1000	66.5	[9.2401705, 8.057231, 9.052912]	[137, 142, 169]	[]	[]	[26200860, 26200865, 26200892]	[]
293_1069	chr7	128455509	128455909	+	1000	66.5	[7.5940995]	[128]	[12.520998]	[147]	[128455730]	[128455749]
293_107	chr12	116559370	116559770	+	1000	173.0	[14.252311, 7.5940995]	[118, 146]	[]	[]	[116559541, 116559569]	[]
293_1072	chr8	26391032	26391432	+	1000	66.5	[]	[]	[9.495462]	[152]	[]	[26391249]
293_108	chr19	42217564	42217964	+	1000	173.0	[6.7998433, 12.265705, 10.534392]	[73, 115, 155]	[]	[]	[42217723, 42217765, 42217805]	[]
293_1080	chr1	180502441	180502841	+	1000	66.0	[]	[]	[10.534392]	[107]	[]	[180502627]
293_1081	chr11	64924056	64924456	+	1000	66.0	[]	[]	[8.786449]	[206]	[]	[64924299]
293_1082	chr11	68271806	68272206	+	1000	66.0	[10.534392]	[109]	[10.534392, 7.1055546]	[141, 146]	[68271981]	[68272013, 68272018]
293_1084	chr12	121399747	121400147	+	1000	66.0	[7.2592225, 10.534392]	[96, 125]	[]	[]	[121399926, 121399955]	[]
293_1085	chr15	96357017	96357417	+	1000	66.0	[]	[]	[9.09216]	[144]	[]	[96357208]
293_1090	chr19	41310173	41310573	+	1000	66.0	[]	[]	[10.0477295, 7.9705]	[168, 172]	[]	[41310384, 41310388]
293_1091	chr19	41859669	41860069	+	1000	66.0	[7.662525, 9.09216]	[58, 134]	[]	[]	[41859824, 41859900]	[]
293_1092	chr2	20822806	20823206	+	1000	66.0	[9.09216]	[140]	[]	[]	[20822982]	[]
293_1093	chr20	38947923	38948323	+	1000	66.0	[]	[]	[12.520998]	[187]	[]	[38948172]
293_1094	chr21	33541940	33542340	+	1000	66.0	[10.534392]	[176]	[]	[]	[33542160]	[]
293_110	chr11	119087743	119088143	+	1000	172.5	[7.2592225]	[99]	[]	[]	[119087941]	[]
293_1103	chr9	130820361	130820761	+	1000	66.0	[7.315276]	[106]	[7.591329]	[136]	[130820531]	[130820561]
293_1107	chr9	131114215	131114615	+	1000	66.0	[]	[]	[7.9705]	[231]	[]	[131114456]
293_1108	chrX	154397935	154398335	+	1000	66.0	[9.2401705]	[135]	[]	[]	[154398111]	[]
293_1113	chr1	200620646	200621046	+	1000	65.5	[8.061124, 12.520998]	[110, 171]	[]	[]	[200620812, 200620873]	[]
293_1119	chr19	44954779	44955179	+	1000	65.5	[]	[]	[12.265705]	[98]	[]	[44954965]
293_1124	chr6	31730059	31730459	+	1000	65.5	[12.265705, 6.7998433]	[184, 208]	[10.534392]	[166]	[31730285, 31730309]	[31730267]
293_1132	chr1	14436979	14437379	+	1000	65.0	[10.68806]	[150]	[]	[]	[14437204]	[]
293_1137	chr13	51803581	51803981	+	1000	65.0	[7.5940995, 10.534392]	[172, 178]	[]	[]	[51803812, 51803818]	[]
293_1139	chr15	101652201	101652601	+	1000	65.0	[]	[]	[10.534392]	[144]	[]	[101652393]
293_1146	chr22	22573260	22573660	+	1000	65.0	[]	[]	[6.7998433]	[83]	[]	[22573438]
293_1148	chr6	13614995	13615395	+	1000	65.0	[9.792437, 12.265705]	[116, 136]	[]	[]	[13615199, 13615219]	[]
293_1149	chr6	27388782	27389182	+	1000	65.0	[8.061124]	[120]	[11.779043]	[129]	[27389001]	[27389010]
293_115	chr22	21001972	21002372	+	1000	170.5	[]	[]	[10.534392, 10.534392, 6.7998433]	[172, 177, 182]	[]	[21002185, 21002190, 21002195]
293_1150	chr6	30066778	30067178	+	1000	65.0	[7.5088573, 14.252311]	[62, 73]	[]	[]	[30066931, 30066942]	[]
293_1151	chr7	128409518	128409918	+	1000	65.0	[7.1055546]	[132]	[]	[]	[128409713]	[]
293_1153	chr9	130859208	130859608	+	1000	65.0	[8.061124]	[146]	[]	[]	[130859384]	[]
293_1159	chr1	223992412	223992812	+	1000	64.5	[6.149097, 8.061124]	[80, 134]	[]	[]	[223992579, 223992633]	[]
293_1162	chr11	85628324	85628724	+	1000	64.5	[7.0663056, 10.534392]	[131, 153]	[7.1055546]	[79]	[85628552, 85628574]	[85628500]
293_1163	chr12	49741330	49741730	+	1000	64.5	[]	[]	[10.534392]	[100]	[]	[49741494]
293_1168	chr19	14419381	14419781	+	1000	64.5	[]	[]	[14.252311]	[117]	[]	[14419583]
293_1177	chr1	27489994	27490394	+	1000	64.0	[10.534392, 14.252311, 12.520998, 10.0477295]	[86, 104, 138, 142]	[]	[]	[27490155, 27490173, 27490207, 27490211]	[]
293_1178	chr10	72272724	72273124	+	1000	64.0	[6.0706253, 7.2592225]	[82, 116]	[]	[]	[72272905, 72272939]	[]
293_1180	chr18	9136318	9136718	+	1000	64.0	[]	[]	[12.265705]	[233]	[]	[9136564]
293_1182	chr2	11465752	11466152	+	1000	64.0	[7.0663056]	[134]	[]	[]	[11465924]	[]
293_1184	chr22	30667645	30668045	+	1000	64.0	[8.214792]	[195]	[]	[]	[30667889]	[]
293_1187	chr8	143949591	143949991	+	1000	64.0	[14.252311, 10.823473, 8.057231]	[98, 127, 133]	[]	[]	[143949786, 143949815, 143949821]	[]
293_119	chr17	41689125	41689525	+	1000	168.0	[14.252311, 8.061124, 8.956747]	[148, 152, 157]	[7.1055546]	[92]	[41689336, 41689340, 41689345]	[41689280]
293_1196	chr1	247111772	247112172	+	1000	63.5	[]	[]	[7.2199736, 12.520998, 9.09216]	[82, 169, 174]	[]	[247111923, 247112010, 247112015]
293_1199	chr15	51623550	51623950	+	1000	63.5	[]	[]	[12.265705]	[139]	[]	[51623765]
293_1202	chr2	9555662	9556062	+	1000	63.5	[7.846622, 7.5940995, 10.534392]	[115, 121, 170]	[]	[]	[9555839, 9555845, 9555894]	[]
293_1203	chr21	44873581	44873981	+	1000	63.5	[10.534392]	[161]	[]	[]	[44873779]	[]
293_1206	chr22	20557136	20557536	+	1000	63.5	[6.224293]	[165]	[]	[]	[20557310]	[]
293_1209	chr22	50190298	50190698	+	1000	63.5	[14.252311]	[102]	[9.495462, 12.520998, 7.5940995]	[65, 72, 120]	[50190495]	[50190458, 50190465, 50190513]
293_1210	chr5	141320551	141320951	+	1000	63.5	[7.5940995]	[111]	[7.0663056]	[186]	[141320726]	[141320801]
293_1212	chr7	25125425	25125825	+	1000	63.5	[]	[]	[6.483479, 12.520998, 7.5088573, 12.265705]	[129, 133, 138, 187]	[]	[25125585, 25125589, 25125594, 25125643]
293_1217	chr1	26284781	26285181	+	1000	63.0	[9.792437]	[90]	[]	[]	[26284959]	[]
293_1219	chr10	5889832	5890232	+	1000	63.0	[7.5088573]	[100]	[12.265705]	[131]	[5890009]	[5890040]
293_122	chr17	46935723	46936123	+	1000	165.5	[7.2592225]	[116]	[12.265705, 14.252311]	[69, 93]	[46935923]	[46935876, 46935900]
293_1220	chr10	16436751	16437151	+	1000	63.0	[]	[]	[8.797619, 10.534392]	[82, 101]	[]	[16436917, 16436936]
293_1223	chr12	133080069	133080469	+	1000	63.0	[]	[]	[12.265705]	[107]	[]	[133080246]
293_1226	chr2	69829329	69829729	+	1000	63.0	[12.265705]	[146]	[]	[]	[69829525]	[]
293_1227	chr2	131492847	131493247	+	1000	63.0	[7.0663056]	[88]	[12.265705]	[103]	[131493029]	[131493044]
293_1236	chr6	31197780	31198180	+	1000	63.0	[]	[]	[10.534392]	[150]	[]	[31197997]
293_1238	chr6	43170901	43171301	+	1000	63.0	[9.495462]	[114]	[]	[]	[43171095]	[]
293_124	chr1	40039747	40040147	+	1000	162.0	[14.252311]	[89]	[7.5088573]	[129]	[40039931]	[40039971]
293_1241	chr1	2391553	2391953	+	1000	62.5	[7.1055546, 10.534392]	[117, 176]	[]	[]	[2391725, 2391784]	[]
293_1242	chr1	14840331	14840731	+	1000	62.5	[]	[]	[8.797619]	[167]	[]	[14840574]
293_1246	chr1	209784482	209784882	+	1000	62.5	[7.1055546]	[118]	[]	[]	[209784687]	[]
293_1247	chr1	212034990	212035390	+	1000	62.5	[12.265705, 10.534392]	[141, 168]	[]	[]	[212035199, 212035226]	[]
293_1248	chr1	246931810	246932210	+	1000	62.5	[]	[]	[7.5088573, 8.956747]	[78, 87]	[]	[246931987, 246931996]
293_1251	chr11	75814578	75814978	+	1000	62.5	[10.534392]	[85]	[]	[]	[75814745]	[]
293_1252	chr12	120686563	120686963	+	1000	62.5	[12.265705]	[91]	[7.0663056]	[76]	[120686752]	[120686737]
293_1260	chr2	159712336	159712736	+	1000	62.5	[]	[]	[7.1055546]	[112]	[]	[159712530]
293_1269	chr7	65982061	65982461	+	1000	62.5	[]	[]	[8.061124]	[152]	[]	[65982247]
293_1278	chr1	112619502	112619902	+	1000	62.0	[7.2199736]	[152]	[8.061124]	[199]	[112619699]	[112619746]
293_1286	chr11	65570141	65570541	+	1000	62.0	[9.792437, 12.520998]	[125, 130]	[]	[]	[65570339, 65570344]	[]
293_1292	chr19	45717224	45717624	+	1000	62.0	[7.5088573]	[85]	[]	[]	[45717389]	[]
293_1294	chr19	51002613	51003013	+	1000	62.0	[]	[]	[7.5088573, 7.5088573]	[143, 175]	[]	[51002786, 51002818]
293_1295	chr2	71882999	71883399	+	1000	62.0	[]	[]	[7.9846697]	[116]	[]	[71883184]
293_1298	chr21	42879316	42879716	+	1000	62.0	[8.061124]	[101]	[]	[]	[42879498]	[]
293_130	chr9	128656591	128656991	+	1000	159.5	[7.5088573]	[125]	[]	[]	[128656770]	[]
293_1306	chr4	55346194	55346594	+	1000	62.0	[]	[]	[7.5088573, 7.643828]	[59, 98]	[]	[55346347, 55346386]
293_1307	chr4	70993308	70993708	+	1000	62.0	[7.5940995, 10.534392]	[131, 143]	[]	[]	[70993506, 70993518]	[]
293_1311	chr6	36885725	36886125	+	1000	62.0	[6.7998433, 6.7998433]	[132, 196]	[6.224293]	[140]	[36885905, 36885969]	[36885913]
293_1317	chr9	130916416	130916816	+	1000	62.0	[]	[]	[7.5940995]	[170]	[]	[130916658]
293_1318	chr9	131063109	131063509	+	1000	62.0	[9.09216]	[137]	[]	[]	[131063340]	[]
293_1319	chr1	778472	778872	+	1000	61.5	[6.149097, 8.061124]	[62, 116]	[]	[]	[778623, 778677]	[]
293_1322	chr11	568405	568805	+	1000	61.5	[10.534392]	[72]	[6.7998433, 8.956747, 10.534392]	[100, 138, 157]	[568569]	[568597, 568635, 568654]
293_1323	chr11	862055	862455	+	1000	61.5	[]	[]	[10.68806]	[145]	[]	[862280]
293_1324	chr11	67507944	67508344	+	1000	61.5	[8.836867]	[141]	[]	[]	[67508175]	[]
293_1325	chr15	42548591	42548991	+	1000	61.5	[]	[]	[7.0663056]	[106]	[]	[42548777]
293_1329	chr16	88688182	88688582	+	1000	61.5	[]	[]	[12.520998]	[175]	[]	[88688429]
293_1333	chr2	55050386	55050786	+	1000	61.5	[7.5088573, 6.313181, 6.483479]	[97, 116, 120]	[]	[]	[55050550, 55050569, 55050573]	[]
293_1349	chr8	95926996	95927396	+	1000	61.5	[10.7842245]	[107]	[]	[]	[95927187]	[]
293_1350	chr9	99221794	99222194	+	1000	61.5	[10.534392]	[112]	[]	[]	[99221987]	[]
293_136	chr9	93594155	93594555	+	1000	156.0	[10.534392, 8.956747]	[146, 160]	[]	[]	[93594333, 93594347]	[]
293_1362	chr11	22625396	22625796	+	1000	61.0	[10.534392]	[96]	[]	[]	[22625587]	[]
293_1363	chr11	65382196	65382596	+	1000	61.0	[]	[]	[7.9705]	[108]	[]	[65382390]
293_1364	chr14	39174825	39175225	+	1000	61.0	[8.061124]	[95]	[]	[]	[39175017]	[]
293_1366	chr16	113351	113751	+	1000	61.0	[]	[]	[9.495462]	[107]	[]	[113556]
293_1368	chr17	32349815	32350215	+	1000	61.0	[9.052912]	[155]	[]	[]	[32350055]	[]
293_137	chr22	17980608	17981008	+	1000	155.5	[6.7998433]	[130]	[]	[]	[17980815]	[]
293_1371	chr19	49363526	49363926	+	1000	61.0	[]	[]	[12.265705, 14.252311, 12.265705, 12.265705]	[102, 141, 162, 182]	[]	[49363682, 49363721, 49363742, 49363762]
293_1374	chr2	70717617	70718017	+	1000	61.0	[7.9705]	[93]	[9.052912]	[143]	[70717784]	[70717834]
293_1378	chr22	23065733	23066133	+	1000	61.0	[8.956747, 7.5940995, 7.315276]	[80, 132, 134]	[]	[]	[23065911, 23065963, 23065965]	[]
293_1381	chr4	82374099	82374499	+	1000	61.0	[7.5088573, 10.534392, 6.313181, 8.956747]	[90, 96, 125, 130]	[14.252311]	[177]	[82374257, 82374263, 82374292, 82374297]	[82374344]
293_1384	chr9	97238157	97238557	+	1000	61.0	[7.0663056]	[165]	[7.9705]	[102]	[97238375]	[97238312]
293_1393	chr1	153566463	153566863	+	1000	60.5	[8.956747, 8.956747, 6.313181]	[132, 165, 200]	[]	[]	[153566628, 153566661, 153566696]	[]
293_1402	chr16	1677973	1678373	+	1000	60.5	[]	[]	[7.9846697, 9.09216, 8.797619]	[88, 90, 94]	[]	[1678159, 1678161, 1678165]
293_1403	chr17	50372919	50373319	+	1000	60.5	[6.0706253, 8.786449]	[114, 119]	[]	[]	[50373093, 50373098]	[]
293_1408	chr19	49118732	49119132	+	1000	60.5	[6.7998433]	[142]	[]	[]	[49118933]	[]
293_1409	chr19	50376213	50376613	+	1000	60.5	[7.5088573]	[136]	[]	[]	[50376438]	[]
293_141	chr18	74147680	74148080	+	1000	153.5	[12.265705, 14.252311, 9.09216]	[71, 87, 132]	[]	[]	[74147848, 74147864, 74147909]	[]
293_1412	chr2	86440705	86441105	+	1000	60.5	[8.786449]	[88]	[]	[]	[86440881]	[]
293_1414	chr22	20013374	20013774	+	1000	60.5	[]	[]	[9.495462]	[121]	[]	[20013554]
293_1417	chr22	23086620	23087020	+	1000	60.5	[]	[]	[12.520998]	[112]	[]	[23086789]
293_1420	chr3	47282422	47282822	+	1000	60.5	[]	[]	[8.786449]	[153]	[]	[47282670]
293_1423	chr9	38068715	38069115	+	1000	60.5	[12.265705]	[138]	[]	[]	[38068916]	[]
293_1424	chr9	95875763	95876163	+	1000	60.5	[]	[]	[6.1098485]	[149]	[]	[95875997]
293_1428	chr1	15526543	15526943	+	1000	60.0	[7.801938]	[171]	[]	[]	[15526718]	[]
293_1430	chr1	45012541	45012941	+	1000	60.0	[]	[]	[7.1055546, 7.5940995]	[122, 190]	[]	[45012712, 45012780]
293_1433	chr10	30682401	30682801	+	1000	60.0	[14.252311, 12.520998]	[127, 139]	[]	[]	[30682568, 30682580]	[]
293_1446	chr2	10254086	10254486	+	1000	60.0	[]	[]	[12.520998, 14.252311]	[128, 138]	[]	[10254280, 10254290]
293_1449	chr21	38831592	38831992	+	1000	60.0	[8.956747]	[190]	[]	[]	[38831842]	[]
293_145	chr3	36993271	36993671	+	1000	151.0	[]	[]	[12.520998]	[60]	[]	[36993425]
293_1453	chr22	23089255	23089655	+	1000	60.0	[]	[]	[10.7842245]	[146]	[]	[23089416]
293_1457	chr3	38454224	38454624	+	1000	60.0	[]	[]	[7.1055546]	[135]	[]	[38454455]
293_1460	chr6	28161575	28161975	+	1000	60.0	[9.792437]	[73]	[]	[]	[28161738]	[]
293_1461	chr7	5598841	5599241	+	1000	60.0	[]	[]	[7.9846697, 12.520998, 7.1055546]	[72, 74, 79]	[]	[5599009, 5599011, 5599016]
293_1462	chr7	66075732	66076132	+	1000	60.0	[]	[]	[12.265705]	[79]	[]	[66075887]
293_1465	chr9	130870486	130870886	+	1000	60.0	[]	[]	[7.846622]	[99]	[]	[130870672]
293_1469	chr1	45339930	45340330	+	1000	59.5	[10.534392]	[178]	[]	[]	[45340159]	[]
293_1475	chr11	66002018	66002418	+	1000	59.5	[8.956747]	[109]	[]	[]	[66002185]	[]
293_1476	chr15	82647475	82647875	+	1000	59.5	[6.7998433, 9.495462, 12.265705, 10.534392]	[172, 179, 199, 224]	[]	[]	[82647674, 82647681, 82647701, 82647726]	[]
293_1479	chr16	84504571	84504971	+	1000	59.5	[]	[]	[9.788544, 7.2199736, 7.9705, 10.534392]	[67, 120, 140, 152]	[]	[84504728, 84504781, 84504801, 84504813]
293_1481	chr2	169694350	169694750	+	1000	59.5	[]	[]	[7.801938, 6.7998433]	[163, 170]	[]	[169694546, 169694553]
293_1482	chr2	170973510	170973910	+	1000	59.5	[]	[]	[10.534392]	[79]	[]	[170973676]
293_1488	chr22	22600810	22601210	+	1000	59.5	[7.9846697]	[124]	[]	[]	[22600961]	[]
293_149	chr1	28581733	28582133	+	1000	148.5	[14.252311]	[92]	[]	[]	[28581919]	[]
293_1498	chr7	112450219	112450619	+	1000	59.5	[10.534392, 6.0706253]	[167, 229]	[]	[]	[112450394, 112450456]	[]
293_1504	chr1	109100092	109100492	+	1000	59.0	[9.09216]	[163]	[6.313181]	[95]	[109100336]	[109100268]
293_1506	chr1	204859965	204860365	+	1000	59.0	[10.7842245]	[72]	[]	[]	[204860131]	[]
293_1508	chr10	43105457	43105857	+	1000	59.0	[7.1055546, 10.534392, 9.09216]	[53, 58, 129]	[]	[]	[43105609, 43105614, 43105685]	[]
293_1510	chr10	102151960	102152360	+	1000	59.0	[7.5088573]	[142]	[8.797619]	[89]	[102152188]	[102152135]
293_1513	chr11	69675069	69675469	+	1000	59.0	[7.1055546]	[109]	[]	[]	[69675251]	[]
293_1516	chr19	35248498	35248898	+	1000	59.0	[8.956747, 9.052912]	[136, 174]	[]	[]	[35248688, 35248726]	[]
293_1520	chr21	25735044	25735444	+	1000	59.0	[]	[]	[7.591329]	[219]	[]	[25735294]
293_1522	chr22	20509008	20509408	+	1000	59.0	[]	[]	[9.577935]	[155]	[]	[20509213]
293_1531	chr6	30326715	30327115	+	1000	59.0	[]	[]	[10.534392, 6.7998433]	[109, 115]	[]	[30326912, 30326918]
293_1534	chr6	149717602	149718002	+	1000	59.0	[]	[]	[12.265705]	[81]	[]	[149717770]
293_1536	chr7	23474206	23474606	+	1000	59.0	[]	[]	[10.534392]	[177]	[]	[23474394]
293_1545	chr9	137218872	137219272	+	1000	59.0	[7.5088573, 9.09216]	[82, 86]	[8.956747]	[143]	[137219048, 137219052]	[137219109]
293_1547	chr1	28642871	28643271	+	1000	58.5	[6.0706253]	[189]	[]	[]	[28643101]	[]
293_1551	chr11	10750944	10751344	+	1000	58.5	[]	[]	[7.2592225]	[217]	[]	[10751185]
293_1553	chr11	72434346	72434746	+	1000	58.5	[]	[]	[9.495462]	[140]	[]	[72434568]
293_1557	chr16	1705922	1706322	+	1000	58.5	[]	[]	[7.0663056]	[143]	[]	[1706162]
293_1558	chr16	25257371	25257771	+	1000	58.5	[10.534392]	[117]	[12.520998]	[96]	[25257563]	[25257542]
293_1560	chr17	16285952	16286352	+	1000	58.5	[]	[]	[9.495462, 9.792437]	[97, 155]	[]	[16286121, 16286179]
293_1561	chr17	47970933	47971333	+	1000	58.5	[]	[]	[10.534392, 7.1055546, 9.788544, 10.823473]	[92, 97, 144, 163]	[]	[47971099, 47971104, 47971151, 47971170]
293_1568	chr2	130372416	130372816	+	1000	58.5	[12.265705, 12.265705]	[92, 126]	[]	[]	[130372601, 130372635]	[]
293_1569	chr2	239401549	239401949	+	1000	58.5	[6.7998433]	[92]	[14.252311, 11.226776]	[127, 134]	[239401723]	[239401758, 239401765]
293_1571	chr21	43768075	43768475	+	1000	58.5	[7.9705]	[181]	[7.5940995]	[98]	[43768312]	[43768229]
293_1572	chr22	19291088	19291488	+	1000	58.5	[]	[]	[12.265705]	[144]	[]	[19291248]
293_1579	chr3	196528731	196529131	+	1000	58.5	[12.265705]	[187]	[10.68806]	[117]	[196528981]	[196528911]
293_1584	chr6	26538132	26538532	+	1000	58.5	[6.0706253]	[100]	[]	[]	[26538320]	[]
293_1588	chr7	73822396	73822796	+	1000	58.5	[]	[]	[12.265705]	[131]	[]	[73822601]
293_1589	chr7	74254238	74254638	+	1000	58.5	[10.534392]	[135]	[]	[]	[74254441]	[]
293_1595	chr1	16727576	16727976	+	1000	58.0	[]	[]	[7.315276, 7.5940995]	[136, 138]	[]	[16727807, 16727809]
293_1596	chr1	52842576	52842976	+	1000	58.0	[]	[]	[7.801938]	[134]	[]	[52842780]
293_1601	chr11	537197	537597	+	1000	58.0	[10.534392]	[84]	[12.265705]	[109]	[537374]	[537399]
293_1602	chr11	727922	728322	+	1000	58.0	[7.5940995, 7.9705]	[117, 177]	[8.956747]	[137]	[728092, 728152]	[728112]
293_1604	chr16	2340893	2341293	+	1000	58.0	[10.7842245]	[153]	[]	[]	[2341102]	[]
293_1605	chr16	15094132	15094532	+	1000	58.0	[7.5940995]	[69]	[6.766902]	[139]	[15094289]	[15094359]
293_1610	chr19	14074129	14074529	+	1000	58.0	[]	[]	[7.9705]	[100]	[]	[14074325]
293_1612	chr19	39480517	39480917	+	1000	58.0	[8.061124, 8.956747]	[183, 188]	[]	[]	[39480759, 39480764]	[]
293_1616	chr21	36320638	36321038	+	1000	58.0	[7.5940995]	[138]	[]	[]	[36320834]	[]
293_162	chr6	157518631	157519031	+	1000	144.0	[]	[]	[11.226776]	[123]	[]	[157518851]
293_1625	chr22	23217215	23217615	+	1000	58.0	[7.643828]	[151]	[]	[]	[23217386]	[]
293_1629	chr3	194003191	194003591	+	1000	58.0	[]	[]	[7.0663056, 7.2592225]	[191, 195]	[]	[194003415, 194003419]
293_1633	chr5	149605976	149606376	+	1000	58.0	[11.779043, 14.252311]	[89, 136]	[]	[]	[149606153, 149606200]	[]
293_1634	chr6	32968197	32968597	+	1000	58.0	[7.0663056]	[200]	[8.956747]	[157]	[32968446]	[32968403]
293_1642	chrX	78103843	78104243	+	1000	58.0	[7.5088573]	[70]	[]	[]	[78103999]	[]
293_1651	chr10	14837901	14838301	+	1000	57.5	[]	[]	[7.5088573]	[136]	[]	[14838117]
293_1654	chr10	72308578	72308978	+	1000	57.5	[]	[]	[12.520998]	[206]	[]	[72308812]
293_1655	chr11	18526732	18527132	+	1000	57.5	[10.823473]	[82]	[]	[]	[18526896]	[]
293_1658	chr16	67841892	67842292	+	1000	57.5	[12.265705]	[175]	[]	[]	[67842072]	[]
293_1661	chr2	105398871	105399271	+	1000	57.5	[7.0663056]	[115]	[]	[]	[105399067]	[]
293_1662	chr2	219177831	219178231	+	1000	57.5	[7.5940995, 8.214792]	[155, 157]	[]	[]	[219178012, 219178014]	[]
293_1663	chr22	19679648	19680048	+	1000	57.5	[12.520998]	[85]	[9.09216]	[97]	[19679833]	[19679845]
293_1664	chr22	20157097	20157497	+	1000	57.5	[8.956747]	[193]	[]	[]	[20157296]	[]
293_1666	chr22	21622449	21622849	+	1000	57.5	[7.5940995]	[156]	[]	[]	[21622653]	[]
293_1669	chr22	22705718	22706118	+	1000	57.5	[8.786449, 9.495462]	[57, 121]	[]	[]	[22705874, 22705938]	[]
293_167	chr2	9142663	9143063	+	1000	141.5	[]	[]	[12.520998]	[76]	[]	[9142816]
293_1675	chr3	4825809	4826209	+	1000	57.5	[]	[]	[8.836867]	[158]	[]	[4826056]
293_1676	chr6	25991899	25992299	+	1000	57.5	[]	[]	[7.1055546]	[148]	[]	[25992070]
293_1677	chr6	31769817	31770217	+	1000	57.5	[9.495462, 7.9846697]	[202, 204]	[8.956747]	[156]	[31770033, 31770035]	[31769987]
293_1678	chr6	158704299	158704699	+	1000	57.5	[]	[]	[8.057231]	[173]	[]	[158704531]
293_168	chr21	33641626	33642026	+	1000	141.5	[]	[]	[10.534392, 7.5088573]	[76, 158]	[]	[33641792, 33641874]
293_1684	chr9	89318253	89318653	+	1000	57.5	[]	[]	[7.1055546]	[102]	[]	[89318446]
