#PeakID(python scan_motif.py ./ENCODE_processed_files/NFATC3_idr.fa NFATC3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
28_10143	chr6	13354536	13354936	+	1000	37.5	[7.408826]	[101]	[]	[]	[13354731]	[]
28_10144	chr6	16157856	16158256	+	1000	37.5	[10.276439]	[172]	[]	[]	[16158094]	[]
28_10145	chr6	17869310	17869710	+	1000	37.5	[]	[]	[7.408826]	[154]	[]	[17869497]
28_10147	chr6	28219050	28219450	+	1000	37.5	[]	[]	[10.276439, 7.408826]	[126, 137]	[]	[28219234, 28219245]
28_10148	chr6	30326000	30326400	+	1000	37.5	[7.0441737]	[207]	[]	[]	[30326240]	[]
28_10155	chr6	36350781	36351181	+	1000	37.5	[7.408826]	[130]	[]	[]	[36350944]	[]
28_10158	chr6	42230091	42230491	+	1000	37.5	[10.276439, 10.276439]	[158, 196]	[7.408826]	[131]	[42230300, 42230338]	[42230273]
28_1016	chr10	73743930	73744330	+	1000	72.0	[]	[]	[7.0441737]	[210]	[]	[73744177]
28_10160	chr6	52663614	52664014	+	1000	37.5	[7.408826]	[115]	[7.408826]	[167]	[52663797]	[52663849]
28_10162	chr6	136737469	136737869	+	1000	37.5	[]	[]	[7.657809]	[96]	[]	[136737638]
28_10163	chr6	137944908	137945308	+	1000	37.5	[]	[]	[7.657809, 7.408826]	[156, 165]	[]	[137945113, 137945122]
28_10165	chr6	143169348	143169748	+	1000	37.5	[]	[]	[7.657809]	[181]	[]	[143169535]
28_10168	chr7	2413847	2414247	+	1000	37.5	[7.408826]	[170]	[]	[]	[2414080]	[]
28_1017	chr10	74854081	74854481	+	1000	72.0	[]	[]	[10.276439]	[103]	[]	[74854279]
28_10170	chr7	6007791	6008191	+	780	37.5	[7.0441737]	[141]	[]	[]	[6007955]	[]
28_10171	chr7	12403258	12403658	+	997	37.5	[]	[]	[10.276439]	[121]	[]	[12403476]
28_10172	chr7	12727101	12727501	+	1000	37.5	[]	[]	[7.0441737]	[114]	[]	[12727297]
28_10174	chr7	13982838	13983238	+	1000	37.5	[]	[]	[7.408826]	[140]	[]	[13983034]
28_10176	chr7	16668028	16668428	+	1000	37.5	[]	[]	[7.0441737]	[148]	[]	[16668198]
28_10178	chr7	25028519	25028919	+	1000	37.5	[7.657809, 10.276439]	[90, 178]	[]	[]	[25028674, 25028762]	[]
28_1018	chr11	6618035	6618435	+	1000	72.0	[7.408826]	[56]	[]	[]	[6618191]	[]
28_10183	chr7	99326995	99327395	+	1000	37.5	[7.408826]	[109]	[]	[]	[99327203]	[]
28_10185	chr7	106345361	106345761	+	1000	37.5	[7.408826]	[165]	[]	[]	[106345609]	[]
28_10186	chr7	107205540	107205940	+	1000	37.5	[]	[]	[7.408826, 7.408826, 10.276439]	[143, 171, 180]	[]	[107205733, 107205761, 107205770]
28_10187	chr7	116971797	116972197	+	1000	37.5	[10.276439]	[75]	[7.657809, 9.601446]	[105, 173]	[116971949]	[116971979, 116972047]
28_1019	chr11	76700471	76700871	+	1000	72.0	[]	[]	[7.408826]	[155]	[]	[76700680]
28_10193	chr7	129432876	129433276	+	924	37.5	[]	[]	[10.276439]	[221]	[]	[129433112]
28_10196	chr7	132419539	132419939	+	1000	37.5	[9.601446]	[189]	[]	[]	[132419784]	[]
28_10197	chr7	135414882	135415282	+	1000	37.5	[7.408826]	[189]	[7.0441737]	[196]	[135415105]	[135415112]
28_10200	chr7	143892504	143892904	+	1000	37.5	[]	[]	[7.657809]	[133]	[]	[143892702]
28_10209	chr8	53884536	53884936	+	1000	37.5	[7.408826]	[146]	[7.408826]	[198]	[53884689]	[53884741]
28_1021	chr17_KI270729v1_random	3242	3642	+	1000	72.0	[7.657809, 7.408826, 10.276439, 7.657809, 7.657809, 7.657809, 7.657809, 7.657809, 7.657809, 7.657809, 7.657809]	[99, 129, 134, 139, 154, 169, 174, 179, 184, 189, 194]	[]	[]	[3396, 3426, 3431, 3436, 3451, 3466, 3471, 3476, 3481, 3486, 3491]	[]
28_10210	chr8	56013912	56014312	+	1000	37.5	[7.408826]	[187]	[]	[]	[56014139]	[]
28_10213	chr8	67066327	67066727	+	1000	37.5	[10.276439, 10.276439]	[75, 137]	[]	[]	[67066501, 67066563]	[]
28_10215	chr8	94822735	94823135	+	1000	37.5	[]	[]	[7.408826]	[122]	[]	[94822945]
28_1022	chr19	1099448	1099848	+	1000	72.0	[7.657809]	[111]	[]	[]	[1099654]	[]
28_10225	chr9	114487467	114487867	+	1000	37.5	[7.408826]	[202]	[7.657809]	[152]	[114487710]	[114487660]
28_10234	chr9	130873292	130873692	+	1000	37.5	[7.408826]	[138]	[]	[]	[130873515]	[]
28_1024	chr22	19144649	19145049	+	1000	72.0	[]	[]	[10.276439]	[67]	[]	[19144808]
28_10241	chr1	6554554	6554954	+	790	37.0	[]	[]	[9.601446]	[180]	[]	[6554763]
28_10242	chr1	8867845	8868245	+	1000	37.0	[7.0441737]	[119]	[]	[]	[8867999]	[]
28_10243	chr1	8873269	8873669	+	1000	37.0	[7.0441737, 7.0441737]	[85, 182]	[]	[]	[8873423, 8873520]	[]
28_10246	chr1	15328849	15329249	+	981	37.0	[]	[]	[10.276439]	[129]	[]	[15329038]
28_10247	chr1	15851192	15851592	+	1000	37.0	[7.408826]	[157]	[]	[]	[15851421]	[]
28_10248	chr1	22105637	22106037	+	713	37.0	[]	[]	[7.0441737]	[138]	[]	[22105866]
28_1025	chr22	19179212	19179612	+	1000	72.0	[]	[]	[7.408826]	[155]	[]	[19179424]
28_10257	chr1	40041039	40041439	+	1000	37.0	[]	[]	[7.408826]	[125]	[]	[40041192]
28_10258	chr1	46477471	46477871	+	1000	37.0	[]	[]	[7.657809, 7.0441737]	[181, 221]	[]	[46477656, 46477696]
28_10260	chr1	52674568	52674968	+	1000	37.0	[]	[]	[7.408826]	[165]	[]	[52674781]
28_10263	chr1	55474258	55474658	+	1000	37.0	[]	[]	[10.276439]	[165]	[]	[55474502]
28_10266	chr1	75423492	75423892	+	1000	37.0	[]	[]	[10.276439]	[96]	[]	[75423659]
28_10267	chr1	89550931	89551331	+	1000	37.0	[7.408826]	[147]	[]	[]	[89551153]	[]
28_10268	chr1	95169755	95170155	+	1000	37.0	[]	[]	[10.276439]	[185]	[]	[95169987]
28_10269	chr1	100894590	100894990	+	1000	37.0	[]	[]	[10.276439]	[185]	[]	[100894788]
28_10276	chr1	151459546	151459946	+	1000	37.0	[10.276439, 10.276439]	[114, 145]	[]	[]	[151459747, 151459778]	[]
28_10277	chr1	151611413	151611813	+	1000	37.0	[7.408826]	[169]	[]	[]	[151611591]	[]
28_10278	chr1	154975801	154976201	+	1000	37.0	[]	[]	[7.408826]	[144]	[]	[154975956]
28_10279	chr1	155000736	155001136	+	1000	37.0	[]	[]	[7.408826]	[130]	[]	[155000917]
28_1028	chr3	9986694	9987094	+	1000	72.0	[]	[]	[10.276439]	[123]	[]	[9986915]
28_10280	chr1	155910725	155911125	+	1000	37.0	[10.276439]	[58]	[]	[]	[155910879]	[]
28_10281	chr1	160428605	160429005	+	1000	37.0	[]	[]	[7.408826]	[167]	[]	[160428841]
28_10285	chr1	175125343	175125743	+	1000	37.0	[7.408826, 7.408826]	[137, 193]	[]	[]	[175125508, 175125564]	[]
28_10288	chr1	181905934	181906334	+	1000	37.0	[7.408826]	[150]	[]	[]	[181906174]	[]
28_1029	chr4	26782216	26782616	+	1000	72.0	[]	[]	[7.0441737]	[175]	[]	[26782457]
28_10291	chr1	202810396	202810796	+	1000	37.0	[9.601446]	[113]	[]	[]	[202810587]	[]
28_10294	chr1	206725610	206726010	+	1000	37.0	[]	[]	[10.276439]	[138]	[]	[206725793]
28_10295	chr1	207648525	207648925	+	1000	37.0	[7.408826, 7.408826]	[166, 221]	[]	[]	[207648700, 207648755]	[]
28_10302	chr1	244654358	244654758	+	923	37.0	[]	[]	[7.0441737]	[189]	[]	[244654604]
28_10304	chr10	5390577	5390977	+	1000	37.0	[10.276439]	[159]	[7.408826]	[123]	[5390772]	[5390736]
28_10306	chr10	12265810	12266210	+	1000	37.0	[]	[]	[7.408826]	[89]	[]	[12265992]
28_10307	chr10	17430495	17430895	+	1000	37.0	[7.408826]	[97]	[]	[]	[17430654]	[]
28_10308	chr10	22339935	22340335	+	1000	37.0	[]	[]	[7.408826]	[153]	[]	[22340174]
28_10309	chr10	24897315	24897715	+	1000	37.0	[]	[]	[7.408826]	[144]	[]	[24897510]
28_1031	chr6	150150846	150151246	+	1000	72.0	[7.408826]	[113]	[]	[]	[150151055]	[]
28_10312	chr10	35332168	35332568	+	1000	37.0	[7.0441737]	[111]	[]	[]	[35332332]	[]
28_10314	chr10	45594826	45595226	+	1000	37.0	[]	[]	[7.0441737]	[220]	[]	[45595068]
28_10315	chr10	48482253	48482653	+	1000	37.0	[10.276439]	[110]	[]	[]	[48482423]	[]
28_10316	chr10	50330648	50331048	+	1000	37.0	[7.657809]	[144]	[]	[]	[50330831]	[]
28_10323	chr10	124692833	124693233	+	1000	37.0	[7.657809]	[84]	[]	[]	[124693003]	[]
28_10335	chr11	65225481	65225881	+	1000	37.0	[9.601446, 7.657809]	[139, 173]	[10.276439]	[207]	[65225650, 65225684]	[65225718]
28_10337	chr11	65663137	65663537	+	1000	37.0	[7.408826]	[176]	[]	[]	[65663349]	[]
28_10341	chr11	73779820	73780220	+	1000	37.0	[]	[]	[10.276439]	[61]	[]	[73779979]
28_10343	chr11	76919847	76920247	+	1000	37.0	[7.408826, 7.408826]	[69, 144]	[]	[]	[76919999, 76920074]	[]
28_10347	chr11	102317058	102317458	+	1000	37.0	[]	[]	[10.276439]	[186]	[]	[102317284]
28_10349	chr11	114438916	114439316	+	1000	37.0	[]	[]	[7.657809, 7.408826]	[112, 159]	[]	[114439079, 114439126]
28_10350	chr11	118001665	118002065	+	1000	37.0	[]	[]	[10.276439]	[118]	[]	[118001857]
28_10355	chr12	46268598	46268998	+	1000	37.0	[9.601446]	[95]	[]	[]	[46268788]	[]
28_1036	chr10	3852496	3852896	+	1000	71.5	[7.408826]	[118]	[]	[]	[3852702]	[]
28_10360	chr12	54958032	54958432	+	846	37.0	[]	[]	[7.0441737]	[94]	[]	[54958213]
28_10361	chr12	54987582	54987982	+	1000	37.0	[7.408826, 7.408826, 7.408826]	[103, 131, 148]	[]	[]	[54987739, 54987767, 54987784]	[]
28_10362	chr12	56695815	56696215	+	1000	37.0	[]	[]	[10.276439]	[132]	[]	[56695995]
28_10365	chr12	110431419	110431819	+	1000	37.0	[7.0441737]	[119]	[]	[]	[110431599]	[]
28_10371	chr13	28408475	28408875	+	1000	37.0	[]	[]	[7.408826]	[96]	[]	[28408657]
28_10373	chr13	41463865	41464265	+	703	37.0	[]	[]	[10.276439]	[146]	[]	[41464068]
28_10376	chr14	34981135	34981535	+	1000	37.0	[7.408826]	[170]	[]	[]	[34981362]	[]
28_10378	chr14	76715006	76715406	+	875	37.0	[10.276439]	[123]	[]	[]	[76715224]	[]
28_10379	chr14	87993191	87993591	+	1000	37.0	[7.657809]	[165]	[]	[]	[87993438]	[]
28_1038	chr12	124910841	124911241	+	1000	71.5	[10.276439]	[96]	[]	[]	[124910997]	[]
28_10383	chr15	49620837	49621237	+	904	37.0	[]	[]	[9.601446]	[124]	[]	[49621016]
28_10386	chr15	58515723	58516123	+	1000	37.0	[10.276439]	[172]	[]	[]	[58515928]	[]
28_10387	chr15	63198827	63199227	+	1000	37.0	[]	[]	[10.276439]	[152]	[]	[63199058]
28_1039	chr16	75621050	75621450	+	1000	71.5	[10.276439]	[121]	[]	[]	[75621251]	[]
28_10396	chr16	21083902	21084302	+	1000	37.0	[10.276439, 7.657809, 10.276439]	[115, 145, 207]	[]	[]	[21084056, 21084086, 21084148]	[]
28_1040	chr17	42699022	42699422	+	1000	71.5	[7.0441737]	[111]	[]	[]	[42699209]	[]
28_10400	chr16	67028293	67028693	+	1000	37.0	[]	[]	[10.276439, 7.408826]	[196, 204]	[]	[67028520, 67028528]
28_10401	chr16	67226933	67227333	+	881	37.0	[9.601446]	[141]	[]	[]	[67227094]	[]
28_10403	chr16	74296017	74296417	+	989	37.0	[7.408826]	[63]	[]	[]	[74296178]	[]
28_10405	chr16	84116118	84116518	+	956	37.0	[10.276439]	[113]	[]	[]	[84116328]	[]
28_10406	chr16	84730015	84730415	+	1000	37.0	[10.276439]	[132]	[]	[]	[84730192]	[]
28_10410	chr17	7484309	7484709	+	1000	37.0	[7.408826, 7.408826, 9.601446]	[154, 175, 198]	[]	[]	[7484516, 7484537, 7484560]	[]
28_10411	chr17	7579080	7579480	+	1000	37.0	[]	[]	[10.276439]	[183]	[]	[7579294]
28_10414	chr17	28912269	28912669	+	1000	37.0	[7.657809]	[98]	[]	[]	[28912448]	[]
28_10416	chr17	40123441	40123841	+	736	37.0	[]	[]	[10.276439]	[186]	[]	[40123664]
28_10417	chr17	44132269	44132669	+	1000	37.0	[]	[]	[10.276439]	[166]	[]	[44132468]
28_10419	chr17	64390274	64390674	+	1000	37.0	[]	[]	[10.276439]	[147]	[]	[64390471]
28_1042	chr2	19348207	19348607	+	1000	71.5	[7.0441737]	[121]	[7.657809]	[87]	[19348428]	[19348394]
28_10424	chr17	80891943	80892343	+	1000	37.0	[]	[]	[9.601446]	[82]	[]	[80892123]
28_10434	chr19	35306136	35306536	+	1000	37.0	[7.408826]	[102]	[]	[]	[35306305]	[]
28_10435	chr19	35845094	35845494	+	1000	37.0	[]	[]	[7.408826]	[127]	[]	[35845290]
28_1044	chr22	23240739	23241139	+	1000	71.5	[]	[]	[7.657809]	[80]	[]	[23240918]
28_10441	chr19	46991072	46991472	+	1000	37.0	[]	[]	[7.408826]	[144]	[]	[46991253]
28_10444	chr19	50372726	50373126	+	1000	37.0	[7.0441737]	[205]	[]	[]	[50372938]	[]
28_10449	chr19	58387257	58387657	+	926	37.0	[]	[]	[10.276439]	[128]	[]	[58387443]
28_1045	chr4	70688098	70688498	+	1000	71.5	[]	[]	[7.0441737]	[184]	[]	[70688342]
28_10450	chr2	26242965	26243365	+	1000	37.0	[]	[]	[7.408826]	[105]	[]	[26243133]
28_10451	chr2	28366786	28367186	+	1000	37.0	[]	[]	[7.408826]	[154]	[]	[28366967]
28_10452	chr2	32592068	32592468	+	1000	37.0	[]	[]	[7.408826, 7.408826]	[107, 167]	[]	[32592229, 32592289]
28_10455	chr2	46067875	46068275	+	784	37.0	[]	[]	[10.276439]	[92]	[]	[46068048]
28_10456	chr2	55106114	55106514	+	1000	37.0	[7.408826]	[138]	[]	[]	[55106317]	[]
28_10459	chr2	70132451	70132851	+	1000	37.0	[7.408826]	[117]	[]	[]	[70132614]	[]
28_1046	chr6	16342317	16342717	+	1000	71.5	[7.657809, 7.657809]	[106, 156]	[]	[]	[16342508, 16342558]	[]
28_10462	chr2	86563634	86564034	+	1000	37.0	[7.408826]	[113]	[]	[]	[86563807]	[]
28_10468	chr2	144524662	144525062	+	1000	37.0	[7.408826]	[82]	[]	[]	[144524825]	[]
28_10469	chr2	166364393	166364793	+	1000	37.0	[7.0441737]	[160]	[]	[]	[166364600]	[]
28_10474	chr20	34888573	34888973	+	1000	37.0	[7.0441737]	[144]	[7.408826]	[94]	[34888806]	[34888756]
28_10476	chr20	35664944	35665344	+	1000	37.0	[9.601446]	[151]	[]	[]	[35665170]	[]
28_10480	chr20	50434470	50434870	+	1000	37.0	[7.0441737]	[165]	[]	[]	[50434709]	[]
28_10482	chr20	53828771	53829171	+	1000	37.0	[7.408826]	[122]	[]	[]	[53828955]	[]
28_10485	chr21	39348235	39348635	+	1000	37.0	[]	[]	[9.601446]	[75]	[]	[39348386]
28_10487	chr21	43659095	43659495	+	1000	37.0	[7.657809]	[86]	[]	[]	[43659274]	[]
28_10496	chr22	20675528	20675928	+	1000	37.0	[7.0441737]	[168]	[]	[]	[20675719]	[]
28_10497	chr22	20721586	20721986	+	1000	37.0	[7.0441737, 7.0441737]	[145, 164]	[]	[]	[20721787, 20721806]	[]
28_105	chr17	49739803	49740203	+	1000	182.0	[]	[]	[10.276439]	[86]	[]	[49739982]
28_1050	chr9	33619566	33619966	+	1000	71.5	[7.657809, 7.657809]	[84, 136]	[]	[]	[33619750, 33619802]	[]
28_10502	chr22	22082790	22083190	+	1000	37.0	[]	[]	[7.657809]	[152]	[]	[22082978]
28_10503	chr22	22373806	22374206	+	1000	37.0	[10.276439]	[200]	[]	[]	[22374037]	[]
28_10504	chr22	22444592	22444992	+	1000	37.0	[]	[]	[10.276439]	[185]	[]	[22444838]
28_10507	chr22	22947013	22947413	+	1000	37.0	[]	[]	[7.657809]	[177]	[]	[22947225]
28_1051	chr9	130746436	130746836	+	1000	71.5	[7.657809]	[106]	[]	[]	[130746636]	[]
28_10510	chr22	37904922	37905322	+	1000	37.0	[10.276439]	[142]	[]	[]	[37905160]	[]
28_10518	chr3	13404655	13405055	+	1000	37.0	[10.276439]	[141]	[]	[]	[13404845]	[]
28_10519	chr3	19967689	19968089	+	1000	37.0	[7.408826]	[180]	[7.408826]	[151]	[19967920]	[19967891]
28_10520	chr3	32947717	32948117	+	1000	37.0	[7.0441737, 7.408826]	[132, 140]	[]	[]	[32947910, 32947918]	[]
28_10521	chr3	33636028	33636428	+	844	37.0	[7.408826]	[154]	[]	[]	[33636277]	[]
28_10522	chr3	37135854	37136254	+	922	37.0	[]	[]	[7.657809]	[168]	[]	[37136086]
28_10523	chr3	40457953	40458353	+	1000	37.0	[]	[]	[7.408826]	[66]	[]	[40458116]
28_10524	chr3	40464315	40464715	+	1000	37.0	[]	[]	[7.408826]	[94]	[]	[40464499]
28_10526	chr3	52694560	52694960	+	1000	37.0	[10.276439]	[115]	[]	[]	[52694735]	[]
28_10527	chr3	129054662	129055062	+	962	37.0	[]	[]	[7.0441737, 7.0441737]	[80, 116]	[]	[129054823, 129054859]
28_10529	chr3	150763980	150764380	+	1000	37.0	[]	[]	[9.601446]	[191]	[]	[150764207]
28_10530	chr3	152271424	152271824	+	1000	37.0	[]	[]	[7.408826]	[166]	[]	[152271670]
28_10531	chr3	171328808	171329208	+	1000	37.0	[7.408826]	[110]	[]	[]	[171329015]	[]
28_10540	chr4	38062004	38062404	+	1000	37.0	[10.276439]	[153]	[9.601446]	[163]	[38062243]	[38062253]
28_10543	chr4	55543988	55544388	+	1000	37.0	[7.408826]	[204]	[]	[]	[55544233]	[]
28_10553	chr5	39167342	39167742	+	1000	37.0	[7.0441737]	[203]	[]	[]	[39167573]	[]
28_10556	chr5	65078389	65078789	+	1000	37.0	[10.276439]	[108]	[]	[]	[65078593]	[]
28_10557	chr5	77881563	77881963	+	1000	37.0	[7.657809]	[177]	[]	[]	[77881784]	[]
28_10559	chr5	95649162	95649562	+	1000	37.0	[7.657809, 10.276439]	[154, 178]	[]	[]	[95649373, 95649397]	[]
28_1056	chr11	6612171	6612571	+	1000	71.0	[]	[]	[7.408826]	[78]	[]	[6612349]
28_10561	chr5	112848183	112848583	+	1000	37.0	[]	[]	[7.0441737]	[149]	[]	[112848354]
28_10563	chr5	126776237	126776637	+	1000	37.0	[]	[]	[10.276439]	[130]	[]	[126776467]
28_10565	chr5	132176896	132177296	+	1000	37.0	[7.408826]	[134]	[7.0441737]	[139]	[132177097]	[132177102]
28_10566	chr5	132652048	132652448	+	1000	37.0	[7.657809]	[122]	[]	[]	[132652260]	[]
28_10569	chr5	170151416	170151816	+	952	37.0	[]	[]	[10.276439]	[200]	[]	[170151634]
28_10574	chr6	4134650	4135050	+	1000	37.0	[10.276439]	[100]	[7.0441737]	[113]	[4134806]	[4134819]
28_10577	chr6	7615522	7615922	+	1000	37.0	[10.276439]	[110]	[]	[]	[7615729]	[]
28_1058	chr11	47578791	47579191	+	1000	71.0	[9.601446]	[148]	[]	[]	[47579019]	[]
28_10582	chr6	30103033	30103433	+	1000	37.0	[10.276439]	[109]	[]	[]	[30103240]	[]
28_10584	chr6	30782705	30783105	+	1000	37.0	[7.408826]	[152]	[]	[]	[30782947]	[]
28_10585	chr6	32393558	32393958	+	817	37.0	[]	[]	[7.408826, 10.276439]	[66, 112]	[]	[32393720, 32393766]
28_1059	chr11	62560598	62560998	+	1000	71.0	[10.276439]	[101]	[]	[]	[62560783]	[]
28_10591	chr6	42128999	42129399	+	1000	37.0	[]	[]	[7.408826]	[74]	[]	[42129150]
