#PeakID(python identify_motif.py ./ENCODE_processed_files/EGR1_idr.fa EGR1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
124_10003	chr22	31084698	31085098	+	1000	64.5	[9.087717]	[114]	[11.022005, 8.912237]	[140, 170]	[31084885]	[31084911, 31084941]
124_10081	chr16	11742834	11743234	+	1000	64.0	[7.1750174, 8.52855, 7.1256094]	[168, 200, 206]	[]	[]	[11743008, 11743040, 11743046]	[]
124_10082	chr16	67396344	67396744	+	1000	64.0	[]	[]	[9.591275, 9.727532, 11.023784]	[172, 174, 178]	[]	[67396564, 67396566, 67396570]
124_10095	chr19	55080435	55080835	+	1000	64.0	[]	[]	[10.848093, 7.496786, 7.600748]	[194, 204, 235]	[]	[55080632, 55080642, 55080673]
124_1010	chr19	14529103	14529503	+	1000	240.0	[13.844391]	[84]	[8.086953]	[139]	[14529279]	[14529334]
124_10106	chr20	63197118	63197518	+	1000	64.0	[13.090944, 9.05055]	[102, 137]	[]	[]	[63197306, 63197341]	[]
124_10111	chr22	23894096	23894496	+	1000	64.0	[]	[]	[7.0303335, 13.844391]	[94, 152]	[]	[23894275, 23894333]
124_10113	chr22	37803322	37803722	+	1000	64.0	[10.549796]	[183]	[7.8821154]	[122]	[37803569]	[37803508]
124_10127	chr5	79845770	79846170	+	1000	64.0	[10.836796]	[126]	[6.9856806]	[149]	[79845965]	[79845988]
124_10133	chr6	36977396	36977796	+	1000	64.0	[6.9332414, 10.004002, 6.9884195]	[86, 92, 95]	[9.626775]	[72]	[36977576, 36977582, 36977585]	[36977562]
124_10136	chr6	116370717	116371117	+	1000	64.0	[11.521462, 6.5358667, 13.844391]	[103, 109, 117]	[]	[]	[116370910, 116370916, 116370924]	[]
124_10137	chr6	135299243	135299643	+	1000	64.0	[]	[]	[9.031357, 9.727532]	[127, 129]	[]	[135299465, 135299467]
124_10138	chr6	161186329	161186729	+	1000	64.0	[10.461775]	[92]	[]	[]	[161186481]	[]
124_10140	chr7	3043730	3044130	+	1000	64.0	[]	[]	[10.628352]	[100]	[]	[3043906]
124_10142	chr7	23273117	23273517	+	1000	64.0	[8.38398]	[89]	[]	[]	[23273292]	[]
124_10146	chr7	113004636	113005036	+	1000	64.0	[12.190124]	[175]	[]	[]	[113004855]	[]
124_1015	chr2	30230562	30230962	+	1000	239.5	[9.862483, 13.765835, 9.142367]	[107, 111, 124]	[9.786884, 6.778187, 6.7165995]	[73, 89, 92]	[30230751, 30230755, 30230768]	[30230717, 30230733, 30230736]
124_1016	chr6	87472737	87473137	+	1000	239.5	[]	[]	[7.284421, 12.493753, 7.128622, 10.977412, 10.344157]	[119, 121, 123, 132, 136]	[]	[87472949, 87472951, 87472953, 87472962, 87472966]
124_10161	chr1	22756343	22756743	+	1000	63.5	[]	[]	[7.549896, 9.142367, 6.8491874, 8.297052]	[138, 152, 159, 161]	[]	[22756570, 22756584, 22756591, 22756593]
124_10164	chr1	32760084	32760484	+	1000	63.5	[11.787007]	[132]	[9.043064]	[118]	[32760302]	[32760288]
124_10168	chr1	161200663	161201063	+	1000	63.5	[]	[]	[7.7244816, 10.275942, 10.209206]	[116, 120, 122]	[]	[161200861, 161200865, 161200867]
124_10169	chr1	167221556	167221956	+	994	63.5	[]	[]	[7.7536006, 10.152609, 11.787007]	[112, 122, 151]	[]	[167221746, 167221756, 167221785]
124_1017	chr11	59560535	59560935	+	1000	239.0	[11.503246, 10.855719]	[103, 128]	[]	[]	[59560718, 59560743]	[]
124_10170	chr1	193058432	193058832	+	1000	63.5	[11.550309]	[121]	[9.783957, 8.788618]	[136, 140]	[193058635]	[193058650, 193058654]
124_10171	chr10	11874746	11875146	+	1000	63.5	[]	[]	[8.835772]	[88]	[]	[11874900]
124_10173	chr10	70743941	70744341	+	1000	63.5	[6.8518333]	[122]	[9.542635]	[110]	[70744136]	[70744124]
124_10177	chr11	75340689	75341089	+	1000	63.5	[]	[]	[8.151421]	[208]	[]	[75340873]
124_1018	chr11	65540299	65540699	+	1000	239.0	[11.523553]	[90]	[7.728117]	[77]	[65540482]	[65540469]
124_10183	chr15	90717085	90717485	+	1000	63.5	[6.6962395, 7.823025]	[68, 74]	[10.977412]	[89]	[90717245, 90717251]	[90717266]
124_10188	chr17	1716081	1716481	+	1000	63.5	[9.586199, 13.081168]	[122, 147]	[]	[]	[1716301, 1716326]	[]
124_10191	chr17	39668397	39668797	+	1000	63.5	[7.6102953, 9.626775]	[126, 128]	[]	[]	[39668594, 39668596]	[]
124_10193	chr17	48024903	48025303	+	1000	63.5	[9.772648]	[85]	[]	[]	[48025074]	[]
124_10194	chr17	48646583	48646983	+	1000	63.5	[8.069527]	[142]	[7.062146]	[154]	[48646772]	[48646784]
124_10197	chr17	69013431	69013831	+	1000	63.5	[8.336318]	[105]	[]	[]	[69013632]	[]
124_102	chr19	574685	575085	+	1000	438.0	[13.844391]	[115]	[]	[]	[574892]	[]
124_10200	chr17	77450270	77450670	+	1000	63.5	[6.687192, 8.200242, 8.55247]	[101, 107, 142]	[11.031469]	[128]	[77450468, 77450474, 77450509]	[77450495]
124_10201	chr17	78278308	78278708	+	1000	63.5	[]	[]	[11.787007, 7.758964, 7.0828924]	[101, 105, 107]	[]	[78278495, 78278499, 78278501]
124_10205	chr19	4007222	4007622	+	1000	63.5	[10.977412]	[116]	[]	[]	[4007431]	[]
124_10206	chr19	5585813	5586213	+	952	63.5	[]	[]	[13.844391]	[106]	[]	[5586015]
124_10207	chr19	8513792	8514192	+	1000	63.5	[9.872764, 6.9339247]	[144, 146]	[11.784916, 8.046877]	[76, 82]	[8514014, 8514016]	[8513946, 8513952]
124_10212	chr2	27086293	27086693	+	1000	63.5	[8.874801]	[141]	[]	[]	[27086518]	[]
124_10215	chr2	55050379	55050779	+	1000	63.5	[]	[]	[9.390586]	[137]	[]	[55050600]
124_10219	chr2	178480072	178480472	+	1000	63.5	[]	[]	[10.472259, 6.659607, 9.237138]	[57, 70, 128]	[]	[178480223, 178480236, 178480294]
124_10225	chr3	113948036	113948436	+	1000	63.5	[12.52125]	[135]	[13.844391]	[156]	[113948239]	[113948260]
124_10226	chr3	133661831	133662231	+	1000	63.5	[]	[]	[10.3937025]	[121]	[]	[133662043]
124_10232	chr5	140109136	140109536	+	1000	63.5	[13.844391]	[81]	[]	[]	[140109311]	[]
124_10234	chr6	3069247	3069647	+	1000	63.5	[]	[]	[6.866505, 9.142367]	[153, 162]	[]	[3069456, 3069465]
124_10236	chr6	33418035	33418435	+	1000	63.5	[]	[]	[8.549623]	[198]	[]	[33418258]
124_10238	chr6	118705735	118706135	+	1000	63.5	[11.784916]	[134]	[7.718569]	[109]	[118705958]	[118705933]
124_1024	chr9	70419292	70419692	+	1000	239.0	[13.844391]	[94]	[6.876466]	[83]	[70419482]	[70419471]
124_10248	chr7	135170514	135170914	+	1000	63.5	[6.558424, 8.912237]	[127, 140]	[]	[]	[135170710, 135170723]	[]
124_10250	chr8	123041654	123042054	+	1000	63.5	[7.741301, 8.522126]	[114, 153]	[]	[]	[123041843, 123041882]	[]
124_10251	chr8	144528940	144529340	+	1000	63.5	[10.472259, 7.674471, 7.8132887, 8.093134]	[134, 140, 144, 146]	[7.0846667]	[90]	[144529141, 144529147, 144529151, 144529153]	[144529097]
124_10253	chr9	130863624	130864024	+	1000	63.5	[]	[]	[9.841984]	[60]	[]	[130863782]
124_10263	chr1	77779486	77779886	+	1000	63.0	[]	[]	[11.123285]	[122]	[]	[77779699]
124_10266	chr1	155137539	155137939	+	1000	63.0	[]	[]	[9.468438, 10.209206]	[98, 100]	[]	[155137725, 155137727]
124_10268	chr1	161766321	161766721	+	1000	63.0	[12.958331]	[92]	[]	[]	[161766511]	[]
124_1027	chr7	77538347	77538747	+	1000	238.5	[9.749612, 8.522187, 8.874801]	[88, 90, 96]	[]	[]	[77538531, 77538533, 77538539]	[]
124_10273	chr10	131979813	131980213	+	1000	63.0	[15.82531]	[126]	[]	[]	[131979988]	[]
124_10274	chr11	28108086	28108486	+	1000	63.0	[]	[]	[8.156144]	[223]	[]	[28108322]
124_10278	chr11	114215800	114216200	+	1000	63.0	[]	[]	[9.199159, 6.939022]	[135, 137]	[]	[114216000, 114216002]
124_10280	chr12	6873221	6873621	+	1000	63.0	[7.5615997, 12.4531765, 10.977412]	[60, 106, 150]	[]	[]	[6873377, 6873423, 6873467]	[]
124_10281	chr12	66302467	66302867	+	1000	63.0	[8.514492]	[135]	[]	[]	[66302648]	[]
124_10284	chr12	123633455	123633855	+	1000	63.0	[7.674471, 7.29909]	[76, 116]	[]	[]	[123633621, 123633661]	[]
124_10287	chr14	54568773	54569173	+	1000	63.0	[]	[]	[13.767925]	[99]	[]	[54568972]
124_10289	chr14	75258895	75259295	+	1000	63.0	[]	[]	[9.794268]	[203]	[]	[75259135]
124_10296	chr17	19648497	19648897	+	1000	63.0	[10.9346075]	[161]	[8.550716, 9.087717, 13.580936, 6.967214, 7.764576]	[109, 115, 124, 130, 154]	[19648712]	[19648660, 19648666, 19648675, 19648681, 19648705]
124_10297	chr17	40818690	40819090	+	1000	63.0	[10.540331, 8.979067, 8.979067, 8.979067]	[220, 232, 235, 238]	[]	[]	[40818901, 40818913, 40818916, 40818919]	[]
124_10299	chr17	81419373	81419773	+	1000	63.0	[]	[]	[10.9346075, 11.382621, 6.951777]	[84, 155, 161]	[]	[81419543, 81419614, 81419620]
124_103	chr7	100428639	100429039	+	1000	437.0	[]	[]	[10.22132, 12.958331, 6.774656, 9.927536]	[86, 99, 111, 126]	[]	[100428820, 100428833, 100428845, 100428860]
124_1030	chr12	104604098	104604498	+	1000	238.0	[]	[]	[9.155227, 8.798335]	[90, 96]	[]	[104604287, 104604293]
124_10300	chr18	33469680	33470080	+	1000	63.0	[]	[]	[8.404391]	[109]	[]	[33469884]
124_10302	chr18	35972216	35972616	+	1000	63.0	[7.0669327]	[177]	[8.514492]	[126]	[35972434]	[35972383]
124_10309	chr19	18898171	18898571	+	1000	63.0	[11.023784, 11.023784, 6.578884]	[125, 129, 133]	[]	[]	[18898382, 18898386, 18898390]	[]
124_1031	chr17	81222907	81223307	+	1000	238.0	[]	[]	[12.609271]	[106]	[]	[81223111]
124_10311	chr19	58150288	58150688	+	1000	63.0	[]	[]	[7.4460673, 14.326064]	[64, 100]	[]	[58150450, 58150486]
124_10314	chr2	24925361	24925761	+	1000	63.0	[]	[]	[6.680597, 7.7244816, 11.70845, 11.505457]	[140, 185, 189, 193]	[]	[24925516, 24925561, 24925565, 24925569]
124_10318	chr21	32569365	32569765	+	1000	63.0	[10.540331]	[190]	[]	[]	[32569529]	[]
124_10319	chr21	46188378	46188778	+	1000	63.0	[]	[]	[7.3242927]	[157]	[]	[46188607]
124_10320	chr22	16717585	16717985	+	1000	63.0	[7.6516514, 7.3075743, 12.958331]	[87, 94, 102]	[]	[]	[16717754, 16717761, 16717769]	[]
124_10323	chr3	15065290	15065690	+	1000	63.0	[10.395793]	[141]	[]	[]	[15065490]	[]
124_10330	chr4	1346709	1347109	+	1000	63.0	[8.414874, 9.173322]	[97, 116]	[]	[]	[1346894, 1346913]	[]
124_10331	chr4	70704365	70704765	+	1000	63.0	[]	[]	[13.844391]	[92]	[]	[70704538]
124_10332	chr4	98928765	98929165	+	1000	63.0	[6.8076997]	[120]	[]	[]	[98928936]	[]
124_10336	chr5	72817116	72817516	+	1000	63.0	[]	[]	[11.386481]	[142]	[]	[72817348]
124_10339	chr5	142466569	142466969	+	1000	63.0	[12.609271]	[160]	[]	[]	[142466806]	[]
124_10342	chr6	7140653	7141053	+	1000	63.0	[]	[]	[11.523553]	[135]	[]	[7140869]
124_10349	chr6	160519844	160520244	+	1000	63.0	[]	[]	[9.237138]	[159]	[]	[160520070]
124_1035	chr5	138449897	138450297	+	1000	237.5	[]	[]	[12.609271]	[110]	[]	[138450100]
124_10352	chr7	105522161	105522561	+	1000	63.0	[10.472259, 8.324494, 10.900947]	[61, 68, 72]	[]	[]	[105522313, 105522320, 105522324]	[]
124_10353	chr7	124929661	124930061	+	1000	63.0	[10.277971]	[117]	[8.522126]	[97]	[124929848]	[124929828]
124_10356	chr7	141551106	141551506	+	1000	63.0	[9.727532, 10.472259, 8.634997]	[54, 89, 110]	[8.045562]	[140]	[141551257, 141551292, 141551313]	[141551343]
124_10357	chr8	41469413	41469813	+	1000	63.0	[11.787007]	[86]	[]	[]	[41469585]	[]
124_10359	chr8	143977157	143977557	+	1000	63.0	[7.549896]	[89]	[8.55247]	[124]	[143977338]	[143977373]
124_10361	chr9	99093365	99093765	+	1000	63.0	[13.767925]	[109]	[]	[]	[99093567]	[]
124_10363	chr9	116471114	116471514	+	1000	63.0	[9.464078]	[92]	[]	[]	[116471292]	[]
124_10364	chr9	122264480	122264880	+	1000	63.0	[]	[]	[11.417694, 6.550957]	[103, 184]	[]	[122264640, 122264721]
124_1037	chr14	101927851	101928251	+	1000	237.0	[13.765835]	[115]	[]	[]	[101928057]	[]
124_10371	chr1	15358721	15359121	+	1000	62.5	[]	[]	[6.6123323, 11.853743]	[164, 170]	[]	[15358951, 15358957]
124_10373	chr1	37859562	37859962	+	1000	62.5	[9.173322]	[249]	[]	[]	[37859812]	[]
124_10378	chr1	153777676	153778076	+	1000	62.5	[]	[]	[9.772648]	[117]	[]	[153777888]
124_10380	chr1	182604303	182604703	+	1000	62.5	[]	[]	[6.8398285, 8.874801]	[89, 106]	[]	[182604471, 182604488]
124_10382	chr1	207825744	207826144	+	1000	62.5	[]	[]	[11.023784]	[90]	[]	[207825928]
124_10384	chr1	230143607	230144007	+	1000	62.5	[]	[]	[8.219494]	[206]	[]	[230143759]
124_10386	chr10	18651450	18651850	+	1000	62.5	[8.324494]	[134]	[]	[]	[18651658]	[]
124_10389	chr11	46593875	46594275	+	1000	62.5	[10.285617]	[111]	[]	[]	[46594075]	[]
124_1039	chr14	76772710	76773110	+	1000	236.5	[8.920029]	[149]	[12.609271, 8.683331]	[72, 110]	[76772948]	[76772871, 76772909]
124_10396	chr12	50025338	50025738	+	1000	62.5	[9.390586, 6.6181555]	[108, 146]	[]	[]	[50025525, 50025563]	[]
124_1040	chr15	90903182	90903582	+	1000	236.5	[15.82531]	[114]	[]	[]	[90903385]	[]
124_10401	chr14	100215354	100215754	+	1000	62.5	[6.659607]	[151]	[12.52125]	[126]	[100215590]	[100215565]
124_1041	chr19	5128922	5129322	+	1000	236.5	[]	[]	[10.258781, 7.56634, 12.4531765]	[81, 87, 107]	[]	[5129103, 5129109, 5129129]
124_10418	chr17	73310864	73311264	+	1000	62.5	[8.516824]	[168]	[]	[]	[73311043]	[]
124_1042	chr19	49149029	49149429	+	1000	236.5	[10.977412]	[109]	[]	[]	[49149231]	[]
124_10423	chr19	4059915	4060315	+	1000	62.5	[10.628352]	[70]	[]	[]	[4060074]	[]
124_10424	chr19	4455206	4455606	+	1000	62.5	[7.1776633, 6.7487836, 6.896305]	[123, 169, 173]	[]	[]	[4455360, 4455406, 4455410]	[]
124_10425	chr19	6730242	6730642	+	1000	62.5	[10.900947]	[107]	[]	[]	[6730433]	[]
124_10426	chr19	11089015	11089415	+	1000	62.5	[]	[]	[11.459085]	[110]	[]	[11089220]
124_10428	chr19	35879107	35879507	+	1000	62.5	[13.844391]	[114]	[13.765835]	[82]	[35879298]	[35879266]
124_1043	chr8	143942410	143942810	+	1000	236.5	[10.904808, 7.884211, 9.586199]	[102, 147, 162]	[7.62843]	[83]	[143942590, 143942635, 143942650]	[143942571]
124_10431	chr19	49415154	49415554	+	1000	62.5	[6.5494204, 12.415197]	[117, 125]	[8.894457]	[180]	[49415309, 49415317]	[49415372]
124_10435	chr2	43105910	43106310	+	1000	62.5	[7.3008356, 11.031469, 10.209206]	[76, 84, 90]	[]	[]	[43106078, 43106086, 43106092]	[]
124_10436	chr2	66428902	66429302	+	1000	62.5	[9.865129, 8.482947]	[177, 181]	[]	[]	[66429137, 66429141]	[]
124_10437	chr2	102634957	102635357	+	1000	62.5	[8.847424]	[85]	[]	[]	[102635136]	[]
124_1044	chr1	150010576	150010976	+	1000	236.0	[9.358897, 10.472259]	[114, 123]	[]	[]	[150010787, 150010796]	[]
124_10440	chr20	34704518	34704918	+	1000	62.5	[11.784916]	[112]	[]	[]	[34704709]	[]
124_10444	chr20	64079310	64079710	+	1000	62.5	[8.953689]	[142]	[9.121621, 7.758964, 11.784916, 13.844391]	[56, 114, 116, 122]	[64079551]	[64079465, 64079523, 64079525, 64079531]
124_10448	chr22	23717169	23717569	+	1000	62.5	[]	[]	[9.390586]	[97]	[]	[23717341]
124_10450	chr3	151631034	151631434	+	1000	62.5	[10.223966]	[59]	[]	[]	[151631190]	[]
124_10457	chr5	132075387	132075787	+	1000	62.5	[]	[]	[10.463866, 8.010488, 8.683331]	[97, 130, 146]	[]	[132075578, 132075611, 132075627]
124_1046	chr12	57845990	57846390	+	1000	236.0	[8.963284]	[105]	[13.844391]	[137]	[57846195]	[57846227]
124_10460	chr5	149442335	149442735	+	1000	62.5	[]	[]	[7.5645657]	[134]	[]	[149442518]
124_10462	chr5	150790201	150790601	+	1000	62.5	[10.472259]	[116]	[]	[]	[150790412]	[]
124_10464	chr6	31862727	31863127	+	1000	62.5	[9.305211]	[121]	[]	[]	[31862937]	[]
124_10468	chr6	151322505	151322905	+	1000	62.5	[8.256308, 10.900947, 10.900947]	[88, 117, 146]	[]	[]	[151322681, 151322710, 151322739]	[]
124_10470	chr7	23469162	23469562	+	1000	62.5	[13.844391, 9.777108, 7.1776633]	[76, 82, 151]	[]	[]	[23469317, 23469323, 23469392]	[]
124_10471	chr7	24820310	24820710	+	1000	62.5	[]	[]	[9.237138, 8.673553]	[114, 118]	[]	[24820479, 24820483]
124_10476	chr8	117520477	117520877	+	1000	62.5	[7.5624747]	[58]	[12.958331, 9.586199]	[111, 152]	[117520630]	[117520683, 117520724]
124_10484	chr9	138053607	138054007	+	1000	62.5	[8.920029]	[142]	[]	[]	[138053809]	[]
124_10485	chrX	1452778	1453178	+	1000	62.5	[8.874801, 14.326064, 6.558424, 8.874801, 8.549302, 9.58397]	[71, 87, 93, 97, 113, 152]	[]	[]	[1452934, 1452950, 1452956, 1452960, 1452976, 1453015]	[]
124_1049	chr8	73878709	73879109	+	1000	236.0	[]	[]	[7.5732517, 7.284421, 13.844391]	[91, 111, 113]	[]	[73878895, 73878915, 73878917]
124_10492	chr1	35180830	35181230	+	1000	62.0	[12.190124, 8.232826]	[116, 205]	[]	[]	[35180985, 35181074]	[]
124_10493	chr1	40708826	40709226	+	1000	62.0	[]	[]	[10.395793]	[143]	[]	[40708995]
124_1050	chr9	122214105	122214505	+	1000	236.0	[9.586199, 7.6294084, 8.634997]	[57, 103, 107]	[]	[]	[122214260, 122214306, 122214310]	[]
124_10502	chr10	6786442	6786842	+	1000	62.0	[]	[]	[9.772648]	[142]	[]	[6786668]
124_10508	chr11	8914006	8914406	+	1000	62.0	[]	[]	[7.761374]	[129]	[]	[8914229]
124_10509	chr11	62727189	62727589	+	1000	62.0	[]	[]	[8.634997]	[221]	[]	[62727440]
124_10512	chr12	49538649	49539049	+	1000	62.0	[13.844391]	[171]	[]	[]	[49538894]	[]
124_10515	chr12	56941629	56942029	+	1000	62.0	[7.7131734, 6.864414, 8.44363, 6.9169784]	[104, 162, 164, 168]	[7.0537534]	[122]	[56941800, 56941858, 56941860, 56941864]	[56941818]
124_10521	chr14	103629822	103630222	+	1000	62.0	[11.787007]	[94]	[8.284562]	[143]	[103629986]	[103630035]
124_10527	chr16	29815939	29816339	+	1000	62.0	[]	[]	[7.718569]	[110]	[]	[29816128]
124_10536	chr17	38598555	38598955	+	1000	62.0	[]	[]	[7.21824]	[138]	[]	[38598746]
124_10537	chr17	40344999	40345399	+	1000	62.0	[7.29909, 9.739647]	[160, 166]	[]	[]	[40345153, 40345159]	[]
124_10538	chr17	50944503	50944903	+	1000	62.0	[7.3229156]	[153]	[7.823025, 7.618111]	[79, 83]	[50944753]	[50944679, 50944683]
124_10539	chr17	62671655	62672055	+	968	62.0	[12.52125]	[110]	[6.8177485]	[120]	[62671850]	[62671860]
124_10546	chr19	14472106	14472506	+	1000	62.0	[11.102539, 7.128622, 9.189693, 7.005785]	[105, 141, 143, 157]	[]	[]	[14472288, 14472324, 14472326, 14472340]	[]
124_10548	chr19	19394768	19395168	+	602	62.0	[6.659607]	[175]	[10.135944]	[188]	[19394997]	[19395010]
124_10556	chr2	105842603	105843003	+	1000	62.0	[]	[]	[8.550716]	[123]	[]	[105842808]
124_1056	chr22	37677024	37677424	+	1000	235.5	[10.4342785, 10.977412, 10.628352]	[104, 119, 125]	[7.524495]	[98]	[37677227, 37677242, 37677248]	[37677221]
124_10565	chr22	12601909	12602309	+	1000	62.0	[9.142367, 10.43637]	[54, 136]	[]	[]	[12602062, 12602144]	[]
124_10567	chr22	21681923	21682323	+	1000	62.0	[7.7511535]	[94]	[6.835677, 10.900947, 8.779411]	[124, 154, 158]	[21682089]	[21682119, 21682149, 21682153]
124_1057	chr6	162727591	162727991	+	1000	235.5	[13.844391, 7.284421, 7.633332, 7.2720184]	[88, 90, 112, 114]	[7.005785]	[125]	[162727777, 162727779, 162727801, 162727803]	[162727814]
124_10571	chr3	141231482	141231882	+	1000	62.0	[11.6000185, 8.190466]	[92, 98]	[]	[]	[141231670, 141231676]	[]
124_10573	chr3	172087272	172087672	+	1000	62.0	[]	[]	[14.247508]	[123]	[]	[172087448]
124_10574	chr3	172315497	172315897	+	1000	62.0	[10.540331]	[113]	[]	[]	[172315694]	[]
124_10575	chr4	1027824	1028224	+	1000	62.0	[]	[]	[12.958331]	[167]	[]	[1028048]
124_1058	chr7	143288159	143288559	+	1000	235.5	[]	[]	[12.415197, 7.8132887, 7.4700317]	[68, 70, 105]	[]	[143288321, 143288323, 143288358]
124_10582	chr5	108728173	108728573	+	1000	62.0	[9.777108]	[101]	[7.718569]	[171]	[108728349]	[108728419]
124_10590	chr6	31122949	31123349	+	1000	62.0	[12.52125]	[120]	[]	[]	[31123151]	[]
124_10592	chr6	104957249	104957649	+	1000	62.0	[13.765835]	[140]	[]	[]	[104957454]	[]
124_10593	chr6	107115537	107115937	+	1000	62.0	[14.474671]	[111]	[]	[]	[107115744]	[]
124_10595	chr7	13991322	13991722	+	1000	62.0	[9.862483]	[122]	[7.673353]	[108]	[13991515]	[13991501]
124_10596	chr7	44490681	44491081	+	1000	62.0	[]	[]	[6.978866]	[163]	[]	[44490873]
124_10597	chr7	107563836	107564236	+	1000	62.0	[7.686123]	[141]	[8.235561]	[190]	[107564020]	[107564069]
124_10600	chr7	150964575	150964975	+	1000	62.0	[8.412784]	[112]	[]	[]	[150964786]	[]
124_10603	chr8	42843207	42843607	+	1000	62.0	[]	[]	[9.654271]	[150]	[]	[42843453]
124_1061	chr6	31158289	31158689	+	1000	235.0	[]	[]	[10.540331]	[113]	[]	[31158500]
124_10610	chr9	137223432	137223832	+	1000	62.0	[]	[]	[11.386481, 9.777108]	[107, 196]	[]	[137223583, 137223672]
124_10612	chrX	107628113	107628513	+	1000	62.0	[8.2959585]	[151]	[]	[]	[107628331]	[]
124_10614	chrX	154097732	154098132	+	1000	62.0	[]	[]	[7.673353]	[149]	[]	[154097941]
124_10619	chr1	39215212	39215612	+	1000	61.5	[10.258781]	[92]	[]	[]	[39215397]	[]
124_1062	chr21	34190515	34190915	+	1000	234.5	[11.787007]	[94]	[]	[]	[34190709]	[]
124_10620	chr1	45583978	45584378	+	1000	61.5	[6.552371]	[193]	[]	[]	[45584172]	[]
124_10629	chr10	70704513	70704913	+	1000	61.5	[7.5214887, 12.190124, 6.8625565]	[140, 153, 159]	[]	[]	[70704685, 70704698, 70704704]	[]
124_10632	chr11	62025493	62025893	+	1000	61.5	[]	[]	[7.245736]	[191]	[]	[62025714]
124_10633	chr11	65096047	65096447	+	1000	61.5	[]	[]	[7.5326753]	[210]	[]	[65096230]
