#PeakID(python scan_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1082	chr11	68271806	68272206	+	1000	66.0	[10.534392]	[109]	[10.534392, 7.1055546]	[141, 146]	[68271981]	[68272013, 68272018]
293_1083	chr12	108485407	108485807	+	1000	66.0	[8.956747]	[92]	[]	[]	[108485570]	[]
293_1084	chr12	121399747	121400147	+	1000	66.0	[7.2592225, 10.534392]	[96, 125]	[]	[]	[121399926, 121399955]	[]
293_1085	chr15	96357017	96357417	+	1000	66.0	[]	[]	[9.09216]	[144]	[]	[96357208]
293_1086	chr16	22195642	22196042	+	1000	66.0	[10.534392]	[174]	[]	[]	[22195844]	[]
293_1088	chr16	68772065	68772465	+	1000	66.0	[]	[]	[10.534392]	[158]	[]	[68772293]
293_1090	chr19	41310173	41310573	+	1000	66.0	[]	[]	[10.0477295, 7.9705]	[168, 172]	[]	[41310384, 41310388]
293_1091	chr19	41859669	41860069	+	1000	66.0	[7.662525, 9.09216]	[58, 134]	[]	[]	[41859824, 41859900]	[]
293_1092	chr2	20822806	20823206	+	1000	66.0	[9.09216]	[140]	[]	[]	[20822982]	[]
293_1093	chr20	38947923	38948323	+	1000	66.0	[]	[]	[12.520998]	[187]	[]	[38948172]
293_1094	chr21	33541940	33542340	+	1000	66.0	[10.534392]	[176]	[]	[]	[33542160]	[]
293_110	chr11	119087743	119088143	+	1000	172.5	[7.2592225]	[99]	[]	[]	[119087941]	[]
293_1103	chr9	130820361	130820761	+	1000	66.0	[7.315276]	[106]	[7.591329]	[136]	[130820531]	[130820561]
293_1104	chr9	130888527	130888927	+	1000	66.0	[10.534392]	[108]	[]	[]	[130888724]	[]
293_1107	chr9	131114215	131114615	+	1000	66.0	[]	[]	[7.9705]	[231]	[]	[131114456]
293_1108	chrX	154397935	154398335	+	1000	66.0	[9.2401705]	[135]	[]	[]	[154398111]	[]
293_1109	chr1	2412419	2412819	+	1000	65.5	[]	[]	[10.534392, 6.0706253]	[182, 205]	[]	[2412624, 2412647]
293_1110	chr1	37554176	37554576	+	1000	65.5	[7.662525]	[100]	[14.252311]	[112]	[37554370]	[37554382]
293_1113	chr1	200620646	200621046	+	1000	65.5	[8.061124, 12.520998]	[110, 171]	[]	[]	[200620812, 200620873]	[]
293_1116	chr16	9078952	9079352	+	1000	65.5	[12.520998]	[136]	[]	[]	[9079170]	[]
293_1119	chr19	44954779	44955179	+	1000	65.5	[]	[]	[12.265705]	[98]	[]	[44954965]
293_1123	chr3	44518069	44518469	+	1000	65.5	[7.9705]	[82]	[]	[]	[44518220]	[]
293_1124	chr6	31730059	31730459	+	1000	65.5	[12.265705, 6.7998433]	[184, 208]	[10.534392]	[166]	[31730285, 31730309]	[31730267]
293_1126	chr8	90580180	90580580	+	1000	65.5	[]	[]	[12.265705]	[119]	[]	[90580379]
293_1127	chr8	102756125	102756525	+	1000	65.5	[]	[]	[14.252311]	[90]	[]	[102756312]
293_1131	chrUn_KI270742v1	3909	4309	+	1000	65.5	[7.5940995]	[120]	[10.0477295]	[101]	[4113]	[4094]
293_1132	chr1	14436979	14437379	+	1000	65.0	[10.68806]	[150]	[]	[]	[14437204]	[]
293_1133	chr1	21791849	21792249	+	1000	65.0	[]	[]	[7.801938]	[169]	[]	[21792066]
293_1136	chr10	72320584	72320984	+	1000	65.0	[7.643828, 6.763009]	[164, 173]	[]	[]	[72320768, 72320777]	[]
293_1137	chr13	51803581	51803981	+	1000	65.0	[7.5940995, 10.534392]	[172, 178]	[]	[]	[51803812, 51803818]	[]
293_1138	chr13	98509476	98509876	+	1000	65.0	[14.252311, 11.226776]	[94, 147]	[]	[]	[98509654, 98509707]	[]
293_1139	chr15	101652201	101652601	+	1000	65.0	[]	[]	[10.534392]	[144]	[]	[101652393]
293_1140	chr17	64975377	64975777	+	1000	65.0	[6.313181, 12.265705, 12.265705]	[81, 134, 149]	[]	[]	[64975554, 64975607, 64975622]	[]
293_1143	chr22	21869663	21870063	+	1000	65.0	[]	[]	[7.9705]	[204]	[]	[21869908]
293_1145	chr22	22556255	22556655	+	1000	65.0	[12.265705]	[167]	[]	[]	[22556464]	[]
293_1146	chr22	22573260	22573660	+	1000	65.0	[]	[]	[6.7998433]	[83]	[]	[22573438]
293_1148	chr6	13614995	13615395	+	1000	65.0	[9.792437, 12.265705]	[116, 136]	[]	[]	[13615199, 13615219]	[]
293_1149	chr6	27388782	27389182	+	1000	65.0	[8.061124]	[120]	[11.779043]	[129]	[27389001]	[27389010]
293_115	chr22	21001972	21002372	+	1000	170.5	[]	[]	[10.534392, 10.534392, 6.7998433]	[172, 177, 182]	[]	[21002185, 21002190, 21002195]
293_1150	chr6	30066778	30067178	+	1000	65.0	[7.5088573, 14.252311]	[62, 73]	[]	[]	[30066931, 30066942]	[]
293_1151	chr7	128409518	128409918	+	1000	65.0	[7.1055546]	[132]	[]	[]	[128409713]	[]
293_1153	chr9	130859208	130859608	+	1000	65.0	[8.061124]	[146]	[]	[]	[130859384]	[]
293_1157	chr1	21632125	21632525	+	1000	64.5	[8.956747]	[117]	[]	[]	[21632305]	[]
293_1158	chr1	120942367	120942767	+	1000	64.5	[]	[]	[8.786449, 7.5088573, 8.797619]	[143, 168, 176]	[]	[120942549, 120942574, 120942582]
293_1159	chr1	223992412	223992812	+	1000	64.5	[6.149097, 8.061124]	[80, 134]	[]	[]	[223992579, 223992633]	[]
293_116	chr12	53727461	53727861	+	1000	169.5	[]	[]	[14.252311]	[110]	[]	[53727668]
293_1160	chr10	6163614	6164014	+	1000	64.5	[10.534392]	[59]	[]	[]	[6163772]	[]
293_1161	chr11	62553149	62553549	+	1000	64.5	[7.591329, 8.956747]	[92, 109]	[8.956747]	[133]	[62553338, 62553355]	[62553379]
293_1162	chr11	85628324	85628724	+	1000	64.5	[7.0663056, 10.534392]	[131, 153]	[7.1055546]	[79]	[85628552, 85628574]	[85628500]
293_1163	chr12	49741330	49741730	+	1000	64.5	[]	[]	[10.534392]	[100]	[]	[49741494]
293_1168	chr19	14419381	14419781	+	1000	64.5	[]	[]	[14.252311]	[117]	[]	[14419583]
293_1169	chr2	30251883	30252283	+	1000	64.5	[12.520998]	[118]	[]	[]	[30252078]	[]
293_117	chr19	12965285	12965685	+	1000	169.5	[8.836867, 7.1055546]	[72, 76]	[]	[]	[12965443, 12965447]	[]
293_1172	chr6	28349711	28350111	+	1000	64.5	[10.534392]	[118]	[]	[]	[28349927]	[]
293_1177	chr1	27489994	27490394	+	1000	64.0	[10.534392, 14.252311, 12.520998, 10.0477295]	[86, 104, 138, 142]	[]	[]	[27490155, 27490173, 27490207, 27490211]	[]
293_1178	chr10	72272724	72273124	+	1000	64.0	[6.0706253, 7.2592225]	[82, 116]	[]	[]	[72272905, 72272939]	[]
293_118	chr19	43774499	43774899	+	1000	169.5	[]	[]	[10.823473, 7.2592225, 7.0663056]	[118, 143, 152]	[]	[43774712, 43774737, 43774746]
293_1180	chr18	9136318	9136718	+	1000	64.0	[]	[]	[12.265705]	[233]	[]	[9136564]
293_1181	chr19	38647395	38647795	+	1000	64.0	[]	[]	[7.5088573, 7.1055546]	[143, 150]	[]	[38647633, 38647640]
293_1182	chr2	11465752	11466152	+	1000	64.0	[7.0663056]	[134]	[]	[]	[11465924]	[]
293_1183	chr2	48440490	48440890	+	1000	64.0	[10.534392]	[162]	[12.520998]	[136]	[48440732]	[48440706]
293_1184	chr22	30667645	30668045	+	1000	64.0	[8.214792]	[195]	[]	[]	[30667889]	[]
293_1187	chr8	143949591	143949991	+	1000	64.0	[14.252311, 10.823473, 8.057231]	[98, 127, 133]	[]	[]	[143949786, 143949815, 143949821]	[]
293_119	chr17	41689125	41689525	+	1000	168.0	[14.252311, 8.061124, 8.956747]	[148, 152, 157]	[7.1055546]	[92]	[41689336, 41689340, 41689345]	[41689280]
293_1195	chr1	228367756	228368156	+	1000	63.5	[]	[]	[12.265705]	[94]	[]	[228367925]
293_1196	chr1	247111772	247112172	+	1000	63.5	[]	[]	[7.2199736, 12.520998, 9.09216]	[82, 169, 174]	[]	[247111923, 247112010, 247112015]
293_1198	chr12	98440066	98440466	+	1000	63.5	[12.520998]	[147]	[]	[]	[98440294]	[]
293_1199	chr15	51623550	51623950	+	1000	63.5	[]	[]	[12.265705]	[139]	[]	[51623765]
293_1202	chr2	9555662	9556062	+	1000	63.5	[7.846622, 7.5940995, 10.534392]	[115, 121, 170]	[]	[]	[9555839, 9555845, 9555894]	[]
293_1203	chr21	44873581	44873981	+	1000	63.5	[10.534392]	[161]	[]	[]	[44873779]	[]
293_1204	chr22	19419630	19420030	+	1000	63.5	[10.823473]	[158]	[]	[]	[19419866]	[]
293_1205	chr22	19629871	19630271	+	1000	63.5	[]	[]	[7.5940995, 7.9846697, 9.09216]	[100, 175, 177]	[]	[19630044, 19630119, 19630121]
293_1206	chr22	20557136	20557536	+	1000	63.5	[6.224293]	[165]	[]	[]	[20557310]	[]
293_1207	chr22	21045517	21045917	+	1000	63.5	[]	[]	[6.7998433]	[183]	[]	[21045747]
293_1209	chr22	50190298	50190698	+	1000	63.5	[14.252311]	[102]	[9.495462, 12.520998, 7.5940995]	[65, 72, 120]	[50190495]	[50190458, 50190465, 50190513]
293_121	chr19	12885136	12885536	+	1000	166.0	[10.534392]	[67]	[]	[]	[12885303]	[]
293_1210	chr5	141320551	141320951	+	1000	63.5	[7.5940995]	[111]	[7.0663056]	[186]	[141320726]	[141320801]
293_1211	chr6	3392840	3393240	+	1000	63.5	[]	[]	[8.786449, 14.252311]	[110, 138]	[]	[3393037, 3393065]
293_1212	chr7	25125425	25125825	+	1000	63.5	[]	[]	[6.483479, 12.520998, 7.5088573, 12.265705]	[129, 133, 138, 187]	[]	[25125585, 25125589, 25125594, 25125643]
293_1214	chr7	157307794	157308194	+	1000	63.5	[]	[]	[7.022195]	[130]	[]	[157307971]
293_1217	chr1	26284781	26285181	+	1000	63.0	[9.792437]	[90]	[]	[]	[26284959]	[]
293_1219	chr10	5889832	5890232	+	1000	63.0	[7.5088573]	[100]	[12.265705]	[131]	[5890009]	[5890040]
293_122	chr17	46935723	46936123	+	1000	165.5	[7.2592225]	[116]	[12.265705, 14.252311]	[69, 93]	[46935923]	[46935876, 46935900]
293_1220	chr10	16436751	16437151	+	1000	63.0	[]	[]	[8.797619, 10.534392]	[82, 101]	[]	[16436917, 16436936]
293_1223	chr12	133080069	133080469	+	1000	63.0	[]	[]	[12.265705]	[107]	[]	[133080246]
293_1226	chr2	69829329	69829729	+	1000	63.0	[12.265705]	[146]	[]	[]	[69829525]	[]
293_1227	chr2	131492847	131493247	+	1000	63.0	[7.0663056]	[88]	[12.265705]	[103]	[131493029]	[131493044]
293_1229	chr21	45287838	45288238	+	1000	63.0	[7.5088573]	[133]	[7.0663056, 8.956747]	[101, 105]	[45288048]	[45288016, 45288020]
293_1234	chr5	177491449	177491849	+	1000	63.0	[8.956747, 7.5940995, 12.520998]	[85, 115, 147]	[8.956747]	[125]	[177491605, 177491635, 177491667]	[177491645]
293_1236	chr6	31197780	31198180	+	1000	63.0	[]	[]	[10.534392]	[150]	[]	[31197997]
293_1237	chr6	31690347	31690747	+	1000	63.0	[]	[]	[7.5088573, 12.265705]	[70, 111]	[]	[31690505, 31690546]
293_1238	chr6	43170901	43171301	+	1000	63.0	[9.495462]	[114]	[]	[]	[43171095]	[]
293_124	chr1	40039747	40040147	+	1000	162.0	[14.252311]	[89]	[7.5088573]	[129]	[40039931]	[40039971]
293_1241	chr1	2391553	2391953	+	1000	62.5	[7.1055546, 10.534392]	[117, 176]	[]	[]	[2391725, 2391784]	[]
293_1242	chr1	14840331	14840731	+	1000	62.5	[]	[]	[8.797619]	[167]	[]	[14840574]
293_1243	chr1	45011142	45011542	+	1000	62.5	[12.265705, 6.0706253]	[97, 107]	[]	[]	[45011336, 45011346]	[]
293_1246	chr1	209784482	209784882	+	1000	62.5	[7.1055546]	[118]	[]	[]	[209784687]	[]
293_1247	chr1	212034990	212035390	+	1000	62.5	[12.265705, 10.534392]	[141, 168]	[]	[]	[212035199, 212035226]	[]
293_1248	chr1	246931810	246932210	+	1000	62.5	[]	[]	[7.5088573, 8.956747]	[78, 87]	[]	[246931987, 246931996]
293_125	chr17	67784298	67784698	+	1000	161.5	[12.265705]	[115]	[]	[]	[67784480]	[]
293_1251	chr11	75814578	75814978	+	1000	62.5	[10.534392]	[85]	[]	[]	[75814745]	[]
293_1252	chr12	120686563	120686963	+	1000	62.5	[12.265705]	[91]	[7.0663056]	[76]	[120686752]	[120686737]
293_1253	chr12	121687014	121687414	+	1000	62.5	[]	[]	[7.0663056, 10.534392]	[89, 157]	[]	[121687186, 121687254]
293_1254	chr15	58770878	58771278	+	1000	62.5	[12.265705, 12.265705]	[114, 123]	[]	[]	[58771086, 58771095]	[]
293_1255	chr15	89335047	89335447	+	1000	62.5	[12.265705]	[135]	[]	[]	[89335276]	[]
293_1257	chr17	49569996	49570396	+	1000	62.5	[14.252311]	[150]	[]	[]	[49570218]	[]
293_1259	chr19	1897506	1897906	+	1000	62.5	[7.0663056]	[88]	[7.5940995, 14.252311, 7.7586894]	[105, 114, 135]	[1897686]	[1897703, 1897712, 1897733]
293_1260	chr2	159712336	159712736	+	1000	62.5	[]	[]	[7.1055546]	[112]	[]	[159712530]
293_1261	chr22	22684791	22685191	+	1000	62.5	[7.5940995]	[93]	[]	[]	[22684972]	[]
293_1266	chr5	10485037	10485437	+	1000	62.5	[]	[]	[9.495462, 9.09216]	[140, 152]	[]	[10485268, 10485280]
293_1268	chr7	38178159	38178559	+	1000	62.5	[8.797619, 10.534392]	[80, 95]	[]	[]	[38178322, 38178337]	[]
293_1269	chr7	65982061	65982461	+	1000	62.5	[]	[]	[8.061124]	[152]	[]	[65982247]
293_1271	chr7	73715742	73716142	+	1000	62.5	[8.786449, 10.534392]	[117, 158]	[]	[]	[73715900, 73715941]	[]
293_1272	chr8	134712981	134713381	+	1000	62.5	[12.265705]	[160]	[8.956747]	[169]	[134713208]	[134713217]
293_1278	chr1	112619502	112619902	+	1000	62.0	[7.2199736]	[152]	[8.061124]	[199]	[112619699]	[112619746]
293_1281	chr1	181173736	181174136	+	1000	62.0	[]	[]	[12.520998]	[109]	[]	[181173910]
293_1282	chr1	234491057	234491457	+	1000	62.0	[12.520998]	[154]	[]	[]	[234491263]	[]
293_1284	chr10	80505597	80505997	+	1000	62.0	[]	[]	[14.252311, 7.5940995]	[113, 125]	[]	[80505783, 80505795]
293_1286	chr11	65570141	65570541	+	1000	62.0	[9.792437, 12.520998]	[125, 130]	[]	[]	[65570339, 65570344]	[]
293_1287	chr12	132710475	132710875	+	1000	62.0	[7.5940995, 10.534392]	[107, 113]	[]	[]	[132710631, 132710637]	[]
293_1291	chr19	35220485	35220885	+	1000	62.0	[10.68806]	[157]	[]	[]	[35220705]	[]
293_1292	chr19	45717224	45717624	+	1000	62.0	[7.5088573]	[85]	[]	[]	[45717389]	[]
293_1293	chr19	45863006	45863406	+	1000	62.0	[7.5940995, 11.779043, 10.534392]	[120, 122, 167]	[]	[]	[45863169, 45863171, 45863216]	[]
293_1294	chr19	51002613	51003013	+	1000	62.0	[]	[]	[7.5088573, 7.5088573]	[143, 175]	[]	[51002786, 51002818]
293_1295	chr2	71882999	71883399	+	1000	62.0	[]	[]	[7.9846697]	[116]	[]	[71883184]
293_1296	chr2	218292391	218292791	+	1000	62.0	[10.534392]	[65]	[10.534392]	[91]	[218292555]	[218292581]
293_1297	chr20	49278091	49278491	+	1000	62.0	[]	[]	[7.0663056]	[170]	[]	[49278320]
293_1298	chr21	42879316	42879716	+	1000	62.0	[8.061124]	[101]	[]	[]	[42879498]	[]
293_1299	chr22	19632141	19632541	+	1000	62.0	[]	[]	[14.252311, 14.252311]	[135, 148]	[]	[19632325, 19632338]
293_130	chr9	128656591	128656991	+	1000	159.5	[7.5088573]	[125]	[]	[]	[128656770]	[]
293_1304	chr3	47475869	47476269	+	1000	62.0	[]	[]	[7.5088573]	[183]	[]	[47476103]
293_1306	chr4	55346194	55346594	+	1000	62.0	[]	[]	[7.5088573, 7.643828]	[59, 98]	[]	[55346347, 55346386]
293_1307	chr4	70993308	70993708	+	1000	62.0	[7.5940995, 10.534392]	[131, 143]	[]	[]	[70993506, 70993518]	[]
293_1310	chr6	26336327	26336727	+	1000	62.0	[14.252311]	[116]	[]	[]	[26336543]	[]
293_1311	chr6	36885725	36886125	+	1000	62.0	[6.7998433, 6.7998433]	[132, 196]	[6.224293]	[140]	[36885905, 36885969]	[36885913]
293_1314	chr7	35694927	35695327	+	1000	62.0	[]	[]	[10.534392]	[81]	[]	[35695085]
293_1317	chr9	130916416	130916816	+	1000	62.0	[]	[]	[7.5940995]	[170]	[]	[130916658]
293_1318	chr9	131063109	131063509	+	1000	62.0	[9.09216]	[137]	[]	[]	[131063340]	[]
293_1319	chr1	778472	778872	+	1000	61.5	[6.149097, 8.061124]	[62, 116]	[]	[]	[778623, 778677]	[]
293_1320	chr1	227396387	227396787	+	1000	61.5	[7.022195]	[83]	[6.313181]	[122]	[227396550]	[227396589]
293_1322	chr11	568405	568805	+	1000	61.5	[10.534392]	[72]	[6.7998433, 8.956747, 10.534392]	[100, 138, 157]	[568569]	[568597, 568635, 568654]
293_1323	chr11	862055	862455	+	1000	61.5	[]	[]	[10.68806]	[145]	[]	[862280]
293_1324	chr11	67507944	67508344	+	1000	61.5	[8.836867]	[141]	[]	[]	[67508175]	[]
293_1325	chr15	42548591	42548991	+	1000	61.5	[]	[]	[7.0663056]	[106]	[]	[42548777]
293_1328	chr16	58129458	58129858	+	1000	61.5	[]	[]	[8.797619, 7.662525]	[156, 174]	[]	[58129679, 58129697]
293_1329	chr16	88688182	88688582	+	1000	61.5	[]	[]	[12.520998]	[175]	[]	[88688429]
293_1333	chr2	55050386	55050786	+	1000	61.5	[7.5088573, 6.313181, 6.483479]	[97, 116, 120]	[]	[]	[55050550, 55050569, 55050573]	[]
293_1334	chr20	380613	381013	+	1000	61.5	[]	[]	[8.061124]	[126]	[]	[380783]
293_1335	chr20	33709974	33710374	+	1000	61.5	[10.68806, 12.265705, 6.224293, 14.252311, 10.68806]	[106, 128, 141, 163, 177]	[]	[]	[33710132, 33710154, 33710167, 33710189, 33710203]	[]
293_1336	chr22	19909925	19910325	+	1000	61.5	[14.252311]	[131]	[]	[]	[19910154]	[]
293_1338	chr22	21718942	21719342	+	1000	61.5	[7.846622]	[165]	[]	[]	[21719161]	[]
293_134	chr19	28606439	28606839	+	1000	157.0	[7.846622, 7.9846697, 8.057231]	[120, 122, 126]	[]	[]	[28606619, 28606621, 28606625]	[]
293_1343	chr22	39520306	39520706	+	1000	61.5	[]	[]	[7.0663056]	[112]	[]	[39520460]
293_1345	chr4	184537401	184537801	+	1000	61.5	[]	[]	[7.5088573]	[58]	[]	[184537556]
293_1346	chr6	27251768	27252168	+	1000	61.5	[12.265705]	[159]	[10.534392]	[136]	[27252006]	[27251983]
293_1349	chr8	95926996	95927396	+	1000	61.5	[10.7842245]	[107]	[]	[]	[95927187]	[]
293_1350	chr9	99221794	99222194	+	1000	61.5	[10.534392]	[112]	[]	[]	[99221987]	[]
293_1353	chrUn_KI270742v1	13166	13566	+	1000	61.5	[7.797938, 10.823473]	[120, 194]	[]	[]	[13336, 13410]	[]
293_1354	chr1	10210239	10210639	+	1000	61.0	[10.68806]	[121]	[]	[]	[10210391]	[]
293_1359	chr10	45594695	45595095	+	1000	61.0	[7.7586894, 9.2401705]	[84, 91]	[]	[]	[45594872, 45594879]	[]
293_136	chr9	93594155	93594555	+	1000	156.0	[10.534392, 8.956747]	[146, 160]	[]	[]	[93594333, 93594347]	[]
293_1360	chr10	68900603	68901003	+	1000	61.0	[9.09216]	[91]	[7.0663056]	[182]	[68900755]	[68900846]
293_1362	chr11	22625396	22625796	+	1000	61.0	[10.534392]	[96]	[]	[]	[22625587]	[]
293_1363	chr11	65382196	65382596	+	1000	61.0	[]	[]	[7.9705]	[108]	[]	[65382390]
293_1364	chr14	39174825	39175225	+	1000	61.0	[8.061124]	[95]	[]	[]	[39175017]	[]
293_1366	chr16	113351	113751	+	1000	61.0	[]	[]	[9.495462]	[107]	[]	[113556]
293_1367	chr16	88663148	88663548	+	1000	61.0	[]	[]	[12.265705, 7.5940995]	[152, 216]	[]	[88663319, 88663383]
293_1368	chr17	32349815	32350215	+	1000	61.0	[9.052912]	[155]	[]	[]	[32350055]	[]
293_1369	chr17	35587224	35587624	+	1000	61.0	[7.9846697, 10.534392]	[123, 127]	[11.779043]	[180]	[35587396, 35587400]	[35587453]
293_137	chr22	17980608	17981008	+	1000	155.5	[6.7998433]	[130]	[]	[]	[17980815]	[]
