#PeakID(python identify_motif.py ./ENCODE_processed_files/BHLHE40_idr.fa BHLHE40 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
890_1010	chr7	100837327	100837727	+	1000	345.0	[8.857911]	[90]	[10.071603]	[90]	[100837514]	[100837514]
890_10103	chr16	27112307	27112707	+	1000	88.0	[7.2062225]	[164]	[6.900726]	[164]	[27112522]	[27112522]
890_10105	chr16	30985749	30986149	+	1000	88.0	[7.1574593]	[126]	[7.4100494]	[126]	[30985962]	[30985962]
890_10106	chr16	57858648	57859048	+	1000	88.0	[13.009925, 7.848641]	[77, 114]	[13.009925, 7.4477744]	[77, 114]	[57858817, 57858854]	[57858817, 57858854]
890_10109	chr16	84922363	84922763	+	1000	88.0	[7.2114162]	[102]	[7.4877]	[102]	[84922564]	[84922564]
890_10114	chr17	8153518	8153918	+	1000	88.0	[8.857911]	[150]	[10.071603]	[150]	[8153737]	[8153737]
890_10118	chr17	38702360	38702760	+	1000	88.0	[7.6892915]	[125]	[7.1388025]	[125]	[38702570]	[38702570]
890_10124	chr17	79033005	79033405	+	1000	88.0	[13.478247]	[121]	[13.478247]	[121]	[79033223]	[79033223]
890_10131	chr19	29844240	29844640	+	1000	88.0	[9.912252, 10.071603]	[119, 138]	[8.548939, 8.857911]	[119, 138]	[29844451, 29844470]	[29844451, 29844470]
890_10132	chr19	29942600	29943000	+	1000	88.0	[13.318897]	[116]	[13.169274]	[116]	[29942794]	[29942794]
890_10138	chr19	48513247	48513647	+	1000	88.0	[13.318897]	[138]	[13.169274]	[138]	[48513478]	[48513478]
890_10139	chr2	3605121	3605521	+	1000	88.0	[8.857911, 8.857911, 8.857911]	[147, 178, 209]	[10.071603, 10.071603, 10.071603]	[147, 178, 209]	[3605286, 3605317, 3605348]	[3605286, 3605317, 3605348]
890_10141	chr2	45650875	45651275	+	1000	88.0	[7.14623]	[78]	[8.05161]	[78]	[45651053]	[45651053]
890_10146	chr2	73754331	73754731	+	1000	88.0	[11.406425, 13.478247]	[76, 85]	[10.185503, 13.478247]	[76, 85]	[73754506, 73754515]	[73754506, 73754515]
890_1015	chr1	166876264	166876664	+	1000	344.0	[13.478247]	[89]	[13.478247]	[89]	[166876453]	[166876453]
890_10150	chr20	38164722	38165122	+	1000	88.0	[11.247076]	[102]	[9.876531]	[102]	[38164917]	[38164917]
890_10152	chr21	21149455	21149855	+	1000	88.0	[9.876531]	[106]	[11.247076]	[106]	[21149655]	[21149655]
890_10155	chr21	45278563	45278963	+	1000	88.0	[13.169274]	[108]	[13.318897]	[108]	[45278762]	[45278762]
890_10165	chr3	38453496	38453896	+	1000	88.0	[8.05161]	[146]	[7.14623]	[146]	[38453716]	[38453716]
890_10167	chr3	45551150	45551550	+	1000	88.0	[7.135697, 7.4477744]	[80, 89]	[6.876215, 7.848641]	[80, 89]	[45551311, 45551320]	[45551311, 45551320]
890_10172	chr4	997251	997651	+	1000	88.0	[8.05161, 8.360582]	[67, 126]	[7.14623, 7.30558]	[67, 126]	[997416, 997475]	[997416, 997475]
890_1018	chr11	65477372	65477772	+	1000	344.0	[13.478247]	[98]	[13.478247]	[98]	[65477567]	[65477567]
890_10182	chr5	173764232	173764632	+	1000	88.0	[11.406425]	[80]	[10.185503]	[80]	[173764411]	[173764411]
890_10184	chr5	180069886	180070286	+	1000	88.0	[10.071603]	[125]	[8.857911]	[125]	[180070095]	[180070095]
890_10187	chr6	26520402	26520802	+	1000	88.0	[9.912252]	[99]	[8.548939]	[99]	[26520583]	[26520583]
890_1019	chr13	110955199	110955599	+	1000	344.0	[6.9167833, 13.169274]	[113, 145]	[7.363437, 13.318897]	[113, 145]	[110955405, 110955437]	[110955405, 110955437]
890_10192	chr6	36300462	36300862	+	1000	88.0	[7.569399, 13.009925]	[74, 90]	[7.4664316, 13.009925]	[74, 90]	[36300629, 36300645]	[36300629, 36300645]
890_10193	chr6	98834348	98834748	+	1000	88.0	[7.14623]	[103]	[8.05161]	[103]	[98834535]	[98834535]
890_10194	chr6	133609539	133609939	+	1000	88.0	[13.318897]	[110]	[13.169274]	[110]	[133609732]	[133609732]
890_10198	chr7	20798301	20798701	+	1000	88.0	[8.05161]	[144]	[7.14623]	[144]	[20798543]	[20798543]
890_10204	chr8	128061477	128061877	+	1000	88.0	[7.1574593]	[95]	[7.4100494]	[95]	[128061670]	[128061670]
890_10211	chrX	41265600	41266000	+	1000	88.0	[10.071603]	[116]	[8.857911]	[116]	[41265813]	[41265813]
890_10214	chr1	3365680	3366080	+	1000	87.0	[9.876531, 13.009925]	[96, 120]	[11.247076, 13.009925]	[96, 120]	[3365870, 3365894]	[3365870, 3365894]
890_10219	chr1	24507015	24507415	+	1000	87.0	[13.478247]	[121]	[13.478247]	[121]	[24507225]	[24507225]
890_10222	chr1	43058371	43058771	+	1000	87.0	[13.169274]	[138]	[13.318897]	[138]	[43058600]	[43058600]
890_10227	chr1	153616564	153616964	+	1000	87.0	[13.318897]	[83]	[13.169274]	[83]	[153616744]	[153616744]
890_10228	chr1	155224658	155225058	+	1000	87.0	[7.363437]	[116]	[6.9167833]	[116]	[155224873]	[155224873]
890_1023	chrX	41333351	41333751	+	1000	344.0	[8.210959, 8.857911]	[86, 103]	[7.4552026, 10.071603]	[86, 103]	[41333536, 41333553]	[41333536, 41333553]
890_10232	chr10	6195894	6196294	+	1000	87.0	[7.2138147, 7.2114162]	[99, 111]	[7.066406, 7.4877]	[99, 111]	[6196082, 6196094]	[6196082, 6196094]
890_10234	chr10	30500541	30500941	+	1000	87.0	[13.478247]	[109]	[13.478247]	[109]	[30500747]	[30500747]
890_10235	chr10	79154772	79155172	+	1000	87.0	[13.009925]	[86]	[13.009925]	[86]	[79154954]	[79154954]
890_10245	chr12	22624899	22625299	+	1000	87.0	[7.30558]	[133]	[8.360582]	[133]	[22625132]	[22625132]
890_10249	chr12	77010988	77011388	+	1000	87.0	[13.318897]	[135]	[13.169274]	[135]	[77011209]	[77011209]
890_10250	chr12	89827564	89827964	+	1000	87.0	[7.066406]	[82]	[7.2138147]	[82]	[89827745]	[89827745]
890_10261	chr14	103607069	103607469	+	1000	87.0	[11.247076]	[115]	[9.876531]	[115]	[103607275]	[103607275]
890_10264	chr15	65212068	65212468	+	1000	87.0	[6.9167833]	[69]	[7.363437, 7.0544653]	[69, 112]	[65212227]	[65212227, 65212270]
890_10269	chr16	53055549	53055949	+	1000	87.0	[7.066406]	[73]	[7.2138147]	[73]	[53055708]	[53055708]
890_10277	chr17	37407490	37407890	+	1000	87.0	[7.4477744]	[137]	[7.848641]	[137]	[37407719]	[37407719]
890_1028	chr2	202950587	202950987	+	1000	343.0	[11.406425, 9.876531]	[51, 112]	[10.185503, 11.247076]	[51, 112]	[202950738, 202950799]	[202950738, 202950799]
890_10285	chr17	75889454	75889854	+	1000	87.0	[13.318897]	[78]	[13.169274]	[78]	[75889620]	[75889620]
890_10286	chr17	78258541	78258941	+	1000	87.0	[7.363437]	[56]	[6.9167833]	[56]	[78258697]	[78258697]
890_10287	chr17	79473070	79473470	+	1000	87.0	[7.225755]	[106]	[7.5227866]	[106]	[79473269]	[79473269]
890_10288	chr17	82754762	82755162	+	1000	87.0	[7.6470494]	[122]	[7.520388]	[122]	[82754963]	[82754963]
890_10290	chr18	9687987	9688387	+	1000	87.0	[13.009925]	[85]	[13.009925]	[85]	[9688157]	[9688157]
890_10292	chr18	58215993	58216393	+	1000	87.0	[13.169274]	[123]	[13.318897]	[123]	[58216212]	[58216212]
890_10294	chr19	4633209	4633609	+	1000	87.0	[7.0544653]	[154]	[6.8972507]	[64]	[4633459]	[4633369]
890_10296	chr19	32972147	32972547	+	1000	87.0	[13.169274]	[156]	[13.318897]	[156]	[32972378]	[32972378]
890_10300	chr19	45356672	45357072	+	1000	87.0	[9.876531]	[113]	[11.247076]	[113]	[45356877]	[45356877]
890_10304	chr2	26728213	26728613	+	1000	87.0	[11.247076]	[85]	[9.876531]	[85]	[26728393]	[26728393]
890_10308	chr20	17896339	17896739	+	1000	87.0	[13.169274]	[114]	[13.318897]	[114]	[17896548]	[17896548]
890_1031	chr16	11133253	11133653	+	1000	342.0	[13.478247]	[92]	[13.478247]	[92]	[11133444]	[11133444]
890_10310	chr20	37277006	37277406	+	1000	87.0	[13.478247]	[101]	[13.478247]	[101]	[37277207]	[37277207]
890_10311	chr20	37941295	37941695	+	1000	87.0	[8.113682]	[93]	[8.113682]	[93]	[37941485]	[37941485]
890_10316	chr21	38277399	38277799	+	1000	87.0	[9.912252]	[81]	[8.548939]	[81]	[38277558]	[38277558]
890_10319	chr22	19582302	19582702	+	1000	87.0	[7.225755, 7.1574593]	[77, 83]	[7.5227866, 7.4100494]	[77, 83]	[19582462, 19582468]	[19582462, 19582468]
890_1032	chr17	82339096	82339496	+	1000	342.0	[7.4877]	[87]	[7.2114162]	[87]	[82339280]	[82339280]
890_10322	chr22	40951079	40951479	+	1000	87.0	[13.318897]	[95]	[13.169274]	[95]	[40951260]	[40951260]
890_10324	chr3	5734156	5734556	+	1000	87.0	[13.478247]	[134]	[13.478247]	[134]	[5734362]	[5734362]
890_1033	chr6	36825442	36825842	+	1000	342.0	[13.169274]	[114]	[13.318897]	[114]	[36825653]	[36825653]
890_10330	chr3	141738314	141738714	+	1000	87.0	[8.210959]	[121]	[7.4552026]	[121]	[141738526]	[141738526]
890_10332	chr3	171640529	171640929	+	1000	87.0	[13.009925]	[101]	[13.009925]	[101]	[171640728]	[171640728]
890_10336	chr4	8419444	8419844	+	1000	87.0	[6.858047]	[121]	[]	[]	[8419651]	[]
890_10341	chr5	43602984	43603384	+	1000	87.0	[8.857911]	[103]	[10.071603]	[103]	[43603149]	[43603149]
890_10343	chr5	113513475	113513875	+	1000	87.0	[7.520388]	[103]	[7.6470494]	[103]	[113513657]	[113513657]
890_10345	chr5	141914210	141914610	+	1000	87.0	[8.857911]	[120]	[10.071603]	[120]	[141914412]	[141914412]
890_10348	chr6	11931209	11931609	+	1000	87.0	[6.8972507]	[93]	[]	[]	[11931394]	[]
890_1035	chr7	129611473	129611873	+	1000	342.0	[7.4552026]	[94]	[8.210959]	[94]	[129611666]	[129611666]
890_10359	chr6	67898070	67898470	+	1000	87.0	[6.9167833]	[97]	[7.363437, 7.046873]	[97, 130]	[67898262]	[67898262, 67898295]
890_1036	chr9	129069369	129069769	+	1000	342.0	[9.912252]	[130]	[8.548939]	[130]	[129069596]	[129069596]
890_10361	chr6	109383960	109384360	+	1000	87.0	[13.009925]	[64]	[13.009925]	[64]	[109384123]	[109384123]
890_10365	chr6	160931937	160932337	+	1000	87.0	[13.009925]	[106]	[13.009925]	[106]	[160932139]	[160932139]
890_10369	chr7	25735923	25736323	+	1000	87.0	[13.169274]	[103]	[13.318897]	[103]	[25736117]	[25736117]
890_10376	chr7	99471341	99471741	+	1000	87.0	[7.101077, 9.876531]	[115, 124]	[6.99811, 11.247076]	[115, 124]	[99471545, 99471554]	[99471545, 99471554]
890_10377	chr7	107056716	107057116	+	1000	87.0	[13.009925]	[104]	[13.009925]	[104]	[107056908]	[107056908]
890_10379	chr7	152711124	152711524	+	1000	87.0	[6.900726]	[95]	[7.2062225]	[95]	[152711288]	[152711288]
890_10380	chr8	11935984	11936384	+	1000	87.0	[10.071603, 7.0544653]	[74, 103]	[8.857911]	[74]	[11936156, 11936185]	[11936156]
890_10385	chr8	141403960	141404360	+	1000	87.0	[7.1388025, 7.0544653]	[105, 111]	[7.6892915]	[105]	[141404163, 141404169]	[141404163]
890_10387	chr8	143609710	143610110	+	1000	87.0	[7.14623]	[79]	[8.05161]	[79]	[143609887]	[143609887]
890_10388	chr9	1837481	1837881	+	1000	87.0	[13.478247]	[116]	[13.478247]	[116]	[1837692]	[1837692]
890_1039	chr1	147245047	147245447	+	1000	341.0	[13.169274]	[106]	[13.318897]	[106]	[147245246]	[147245246]
890_10390	chr9	73153795	73154195	+	1000	87.0	[7.1574593]	[104]	[7.4100494]	[104]	[73153990]	[73153990]
890_10392	chr9	98150163	98150563	+	1000	87.0	[9.912252]	[143]	[8.548939]	[143]	[98150383]	[98150383]
890_10393	chr9	124391052	124391452	+	1000	87.0	[6.99811]	[92]	[7.101077]	[92]	[124391238]	[124391238]
890_10395	chr9	128174077	128174477	+	1000	87.0	[13.169274]	[120]	[13.318897]	[120]	[128174283]	[128174283]
890_10398	chr9	137013064	137013464	+	1000	87.0	[6.99811, 7.9982634]	[125, 133]	[7.101077, 7.298152]	[125, 133]	[137013270, 137013278]	[137013270, 137013278]
890_10400	chrX	24149409	24149809	+	1000	87.0	[6.876215, 7.4877]	[118, 140]	[7.017397, 7.2114162]	[118, 140]	[24149615, 24149637]	[24149615, 24149637]
890_10406	chr1	15340170	15340570	+	1000	86.0	[10.185503]	[88]	[11.406425]	[88]	[15340341]	[15340341]
890_10407	chr1	17606846	17607246	+	1000	86.0	[13.169274]	[111]	[13.318897]	[111]	[17607051]	[17607051]
890_1041	chr1	223845412	223845812	+	1000	341.0	[8.210959]	[95]	[7.4552026]	[95]	[223845600]	[223845600]
890_10411	chr1	27192066	27192466	+	1000	86.0	[9.912252]	[101]	[8.548939]	[101]	[27192258]	[27192258]
890_10417	chr1	117060338	117060738	+	1000	86.0	[11.247076]	[132]	[9.876531]	[132]	[117060530]	[117060530]
890_1042	chr10	30553840	30554240	+	1000	341.0	[13.478247]	[95]	[13.478247]	[95]	[30554031]	[30554031]
890_10421	chr1	204650875	204651275	+	1000	86.0	[7.5227866]	[81]	[7.225755]	[81]	[204651044]	[204651044]
890_10432	chr10	32548214	32548614	+	1000	86.0	[]	[]	[7.046873, 7.046873]	[88, 117]	[]	[32548389, 32548418]
890_10438	chr11	4194937	4195337	+	1000	86.0	[7.2138147]	[78]	[7.066406]	[78]	[4195112]	[4195112]
890_10445	chr11	123576948	123577348	+	1000	86.0	[7.1388025]	[90]	[7.6892915]	[90]	[123577138]	[123577138]
890_1045	chr16	27748863	27749263	+	1000	341.0	[13.478247]	[75]	[13.478247]	[75]	[27749036]	[27749036]
890_10452	chr12	109573044	109573444	+	1000	86.0	[7.2062225]	[98]	[6.900726]	[98]	[109573240]	[109573240]
890_10456	chr12	124727354	124727754	+	1000	86.0	[7.3707657]	[99]	[7.7966723]	[99]	[124727547]	[124727547]
890_10458	chr13	26186334	26186734	+	1000	86.0	[13.009925, 7.6892915]	[110, 116]	[13.009925, 7.1388025]	[110, 116]	[26186538, 26186544]	[26186538, 26186544]
890_10459	chr13	59538517	59538917	+	1000	86.0	[13.318897, 7.363437]	[80, 100]	[13.169274, 6.9167833]	[80, 100]	[59538691, 59538711]	[59538691, 59538711]
890_1046	chr16	88491682	88492082	+	1000	341.0	[7.4877]	[132]	[7.2114162]	[132]	[88491910]	[88491910]
890_10461	chr14	24688289	24688689	+	1000	86.0	[13.318897]	[103]	[13.169274]	[103]	[24688489]	[24688489]
890_10466	chr15	34179231	34179631	+	1000	86.0	[11.406425]	[129]	[10.185503]	[129]	[34179454]	[34179454]
890_10467	chr15	73781572	73781972	+	1000	86.0	[11.247076, 7.5227866]	[111, 122]	[9.876531, 7.225755]	[111, 122]	[73781769, 73781780]	[73781769, 73781780]
890_10468	chr15	92802069	92802469	+	1000	86.0	[]	[]	[7.0544653]	[115]	[]	[92802274]
890_10471	chr16	11624766	11625166	+	1000	86.0	[13.478247]	[123]	[13.478247]	[123]	[11624982]	[11624982]
890_10472	chr16	19493729	19494129	+	1000	86.0	[13.009925]	[112]	[13.009925]	[112]	[19493920]	[19493920]
890_10478	chr16	67560826	67561226	+	1000	86.0	[13.478247]	[111]	[13.478247]	[111]	[67561034]	[67561034]
890_10479	chr16	75110716	75111116	+	1000	86.0	[7.3707657]	[148]	[7.7966723]	[148]	[75110961]	[75110961]
890_10481	chr17	27982681	27983081	+	1000	86.0	[7.225755]	[96]	[7.5227866]	[96]	[27982873]	[27982873]
890_10485	chr17	42266939	42267339	+	1000	86.0	[7.225755]	[139]	[7.5227866]	[139]	[42267159]	[42267159]
890_10497	chr19	14372775	14373175	+	1000	86.0	[13.009925]	[119]	[13.009925]	[119]	[14372979]	[14372979]
890_10504	chr19	49749310	49749710	+	1000	86.0	[7.2138147]	[112]	[7.066406]	[112]	[49749503]	[49749503]
890_10505	chr19	49897727	49898127	+	1000	86.0	[6.9167833]	[121]	[7.363437]	[121]	[49897941]	[49897941]
890_10506	chr19	50835766	50836166	+	1000	86.0	[13.009925]	[101]	[13.009925]	[101]	[50835963]	[50835963]
890_1051	chr7	103406804	103407204	+	1000	341.0	[11.247076]	[88]	[9.876531]	[88]	[103406986]	[103406986]
890_10516	chr2	112712858	112713258	+	1000	86.0	[10.185503]	[109]	[11.406425]	[109]	[112713064]	[112713064]
890_10518	chr2	241882229	241882629	+	1000	86.0	[11.406425]	[77]	[10.185503]	[77]	[241882392]	[241882392]
890_1052	chr9	124285869	124286269	+	1000	341.0	[7.607124]	[92]	[8.157613]	[92]	[124286054]	[124286054]
890_10522	chr20	34337990	34338390	+	1000	86.0	[13.478247]	[93]	[13.478247]	[93]	[34338183]	[34338183]
890_10523	chr20	45337764	45338164	+	1000	86.0	[7.4877]	[126]	[7.2114162]	[126]	[45337982]	[45337982]
890_10526	chr20	50837972	50838372	+	1000	86.0	[9.876531]	[101]	[11.247076]	[101]	[50838169]	[50838169]
890_10535	chr3	50259934	50260334	+	1000	86.0	[7.4877]	[129]	[7.2114162]	[129]	[50260159]	[50260159]
890_10537	chr3	100634820	100635220	+	1000	86.0	[11.247076]	[145]	[9.876531]	[145]	[100635037]	[100635037]
890_10538	chr3	150738356	150738756	+	1000	86.0	[7.046873]	[95]	[]	[]	[150738550]	[]
890_1054	chr5	10607748	10608148	+	1000	340.0	[7.607124]	[103]	[8.157613]	[103]	[10607951]	[10607951]
890_10540	chr3	171814148	171814548	+	1000	86.0	[6.9167833]	[85]	[7.363437]	[85]	[171814330]	[171814330]
890_10542	chr3	173013462	173013862	+	1000	86.0	[7.2138147, 7.2114162]	[71, 123]	[7.066406, 7.4877]	[71, 123]	[173013628, 173013680]	[173013628, 173013680]
890_10543	chr4	6715915	6716315	+	1000	86.0	[7.30558, 7.14623]	[92, 140]	[8.360582, 8.05161]	[92, 140]	[6716079, 6716127]	[6716079, 6716127]
890_10544	chr4	38664028	38664428	+	1000	86.0	[7.225755]	[95]	[7.5227866]	[95]	[38664218]	[38664218]
890_10545	chr4	38937299	38937699	+	1000	86.0	[7.30558]	[102]	[8.360582]	[102]	[38937491]	[38937491]
890_10550	chr4	88282852	88283252	+	1000	86.0	[13.009925]	[110]	[13.009925]	[110]	[88283056]	[88283056]
890_10552	chr5	31270412	31270812	+	1000	86.0	[13.318897]	[147]	[13.169274]	[147]	[31270648]	[31270648]
890_10553	chr5	39102295	39102695	+	1000	86.0	[7.2138147]	[88]	[7.066406]	[88]	[39102474]	[39102474]
890_10554	chr5	39164015	39164415	+	1000	86.0	[13.169274]	[105]	[13.318897]	[105]	[39164215]	[39164215]
890_10555	chr5	135482326	135482726	+	1000	86.0	[10.185503]	[178]	[11.406425]	[178]	[135482572]	[135482572]
890_1056	chr16	84593908	84594308	+	1000	339.0	[]	[]	[7.0544653]	[97]	[]	[84594089]
890_10564	chr6	26140881	26141281	+	1000	86.0	[13.009925]	[103]	[13.009925]	[103]	[26141076]	[26141076]
890_10570	chr6	43271185	43271585	+	1000	86.0	[13.009925]	[126]	[13.009925]	[126]	[43271397]	[43271397]
890_10571	chr6	47245754	47246154	+	1000	86.0	[7.607124]	[138]	[8.157613]	[138]	[47245966]	[47245966]
890_10579	chr7	27867991	27868391	+	1000	86.0	[11.406425]	[93]	[10.185503]	[93]	[27868181]	[27868181]
890_1058	chr8	129574608	129575008	+	1000	339.0	[13.318897, 13.009925]	[97, 103]	[13.169274, 13.009925]	[97, 103]	[129574803, 129574809]	[129574803, 129574809]
890_10582	chr7	44934543	44934943	+	1000	86.0	[13.009925]	[123]	[13.009925]	[123]	[44934758]	[44934758]
890_10585	chr7	50825455	50825855	+	1000	86.0	[7.6892915, 13.478247]	[80, 111]	[7.1388025, 13.478247]	[80, 111]	[50825625, 50825656]	[50825625, 50825656]
890_10591	chr7	148884317	148884717	+	1000	86.0	[7.14623]	[55]	[8.05161]	[55]	[148884468]	[148884468]
890_10595	chr8	101111946	101112346	+	1000	86.0	[11.406425]	[113]	[10.185503]	[113]	[101112155]	[101112155]
890_10600	chr8	145051741	145052141	+	1000	86.0	[13.318897]	[153]	[13.169274]	[153]	[145051977]	[145051977]
890_10603	chr9	38035794	38036194	+	1000	86.0	[7.14623]	[90]	[8.05161]	[90]	[38035974]	[38035974]
890_10616	chr1	13809521	13809921	+	1000	85.0	[7.046873]	[101]	[]	[]	[13809712]	[]
890_1063	chr2	201901778	201902178	+	1000	337.0	[7.225755, 6.876215]	[101, 115]	[7.5227866, 7.135697]	[101, 115]	[201901973, 201901987]	[201901973, 201901987]
890_10639	chr10	70814126	70814526	+	1000	85.0	[7.2062225]	[88]	[6.900726]	[88]	[70814309]	[70814309]
890_1064	chr22	41381083	41381483	+	1000	337.0	[13.009925]	[183]	[13.009925]	[183]	[41381327]	[41381327]
890_10644	chr10	101695123	101695523	+	1000	85.0	[11.406425]	[136]	[10.185503]	[136]	[101695345]	[101695345]
890_10645	chr10	103612431	103612831	+	1000	85.0	[7.225755]	[88]	[7.5227866]	[88]	[103612616]	[103612616]
890_10646	chr10	132023058	132023458	+	1000	85.0	[7.6470494]	[132]	[7.520388]	[132]	[132023285]	[132023285]
890_10648	chr11	12043946	12044346	+	1000	85.0	[9.912252]	[58]	[8.548939]	[58]	[12044103]	[12044103]
890_1065	chr3	24185835	24186235	+	1000	337.0	[9.912252]	[107]	[8.548939]	[107]	[24186041]	[24186041]
890_10653	chr11	63970947	63971347	+	1000	85.0	[7.2062225]	[142]	[6.900726]	[142]	[63971165]	[63971165]
890_10656	chr11	75714259	75714659	+	1000	85.0	[7.5227866]	[148]	[7.225755]	[148]	[75714492]	[75714492]
890_10657	chr11	83191961	83192361	+	1000	85.0	[7.4100494]	[105]	[7.1574593]	[105]	[83192151]	[83192151]
890_1066	chr3	32570654	32571054	+	1000	337.0	[7.3707657]	[136]	[7.7966723]	[136]	[32570871]	[32570871]
890_10663	chr12	116434086	116434486	+	1000	85.0	[6.9167833]	[117]	[7.363437]	[117]	[116434301]	[116434301]
890_10664	chr12	132685440	132685840	+	1000	85.0	[13.169274]	[109]	[13.318897]	[109]	[132685639]	[132685639]
890_10666	chr13	45321267	45321667	+	1000	85.0	[]	[]	[7.0544653]	[135]	[]	[45321487]
890_1067	chr6	28225135	28225535	+	1000	337.0	[7.607124]	[134]	[8.157613]	[134]	[28225363]	[28225363]
890_10673	chr15	75307939	75308339	+	1000	85.0	[7.1388025]	[87]	[7.6892915]	[87]	[75308125]	[75308125]
890_10675	chr15	89338048	89338448	+	1000	85.0	[13.009925, 6.900726]	[101, 158]	[13.009925, 7.2062225]	[101, 158]	[89338241, 89338298]	[89338241, 89338298]
890_10677	chr16	137226	137626	+	1000	85.0	[8.519932]	[98]	[7.614552]	[98]	[137417]	[137417]
