#PeakID(python identify_motif.py ./ENCODE_processed_files/FOXJ2_idr.fa FOXJ2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
303_1039	chr8	125430049	125430449	+	1000	123.0	[7.3387127]	[143]	[12.285931, 7.3387127]	[112, 142]	[125430273]	[125430242, 125430272]
303_10391	chr2	46296947	46297347	+	1000	46.0	[12.067478]	[130]	[]	[]	[46297137]	[]
303_10394	chr2	70627520	70627920	+	1000	46.0	[12.285931]	[86]	[7.961771]	[122]	[70627676]	[70627712]
303_10398	chr2	105669353	105669753	+	1000	46.0	[]	[]	[8.10693]	[108]	[]	[105669553]
303_10399	chr2	126994360	126994760	+	1000	46.0	[]	[]	[8.325381]	[181]	[]	[126994602]
303_104	chr12	122097916	122098316	+	1000	315.0	[]	[]	[7.5476513, 7.3291993, 7.3291993]	[84, 98, 138]	[]	[122098096, 122098110, 122098150]
303_10401	chr2	152583595	152583995	+	1000	46.0	[]	[]	[8.10693]	[82]	[]	[152583748]
303_10404	chr2	171022046	171022446	+	1000	46.0	[7.961771, 12.285931]	[101, 164]	[]	[]	[171022210, 171022273]	[]
303_10410	chr2	215288419	215288819	+	1000	46.0	[]	[]	[7.3387127]	[132]	[]	[215288608]
303_10411	chr2	216004599	216004999	+	1000	46.0	[]	[]	[12.285931]	[91]	[]	[216004787]
303_10414	chr20	5750095	5750495	+	1000	46.0	[10.381243]	[112]	[]	[]	[5750285]	[]
303_10418	chr20	38685807	38686207	+	1000	46.0	[]	[]	[6.5088143]	[89]	[]	[38685994]
303_10422	chr20	62914936	62915336	+	1000	46.0	[7.3291993]	[143]	[]	[]	[62915153]	[]
303_10426	chr21	20004393	20004793	+	1000	46.0	[7.961771]	[131]	[]	[]	[20004604]	[]
303_1043	chr1	85237625	85238025	+	1000	122.0	[10.162791]	[99]	[12.067478]	[94]	[85237823]	[85237818]
303_10438	chr22	21004083	21004483	+	1000	46.0	[]	[]	[8.10693]	[82]	[]	[21004263]
303_10439	chr22	21669888	21670288	+	1000	46.0	[6.4206944]	[157]	[]	[]	[21670047]	[]
303_10443	chr22	26404822	26405222	+	1000	46.0	[10.381243]	[138]	[8.325381]	[123]	[26405034]	[26405019]
303_10444	chr22	29553677	29554077	+	1000	46.0	[8.10693]	[102]	[]	[]	[29553848]	[]
303_1045	chr1	153958502	153958902	+	1000	122.0	[]	[]	[12.285931]	[66]	[]	[153958667]
303_10454	chr3	37037336	37037736	+	1000	46.0	[10.381243]	[125]	[]	[]	[37037538]	[]
303_10456	chr3	108145642	108146042	+	1000	46.0	[10.381243]	[156]	[]	[]	[108145862]	[]
303_10457	chr3	126540567	126540967	+	1000	46.0	[]	[]	[12.285931]	[96]	[]	[126540758]
303_10461	chr3	143181990	143182390	+	1000	46.0	[7.5476513]	[94]	[7.961771]	[141]	[143182179]	[143182226]
303_10471	chr3	196145815	196146215	+	1000	46.0	[]	[]	[8.1802225]	[161]	[]	[196146048]
303_10487	chr4	143166705	143167105	+	1000	46.0	[12.285931]	[127]	[]	[]	[143166931]	[]
303_10497	chr5	64625699	64626099	+	1000	46.0	[12.067478, 8.325381]	[66, 127]	[]	[]	[64625865, 64625926]	[]
303_105	chr5	96714857	96715257	+	1000	314.0	[]	[]	[12.067478]	[94]	[]	[96715048]
303_1050	chr15	74461016	74461416	+	1000	122.0	[12.067478]	[138]	[]	[]	[74461238]	[]
303_10503	chr5	108212871	108213271	+	1000	46.0	[]	[]	[12.285931]	[116]	[]	[108213087]
303_10505	chr5	126947664	126948064	+	1000	46.0	[]	[]	[6.4206944]	[148]	[]	[126947910]
303_10517	chr6	10146978	10147378	+	1000	46.0	[]	[]	[8.10693]	[154]	[]	[10147221]
303_10518	chr6	12014120	12014520	+	1000	46.0	[]	[]	[12.067478]	[159]	[]	[12014346]
303_10522	chr6	27668966	27669366	+	1000	46.0	[7.3291993]	[119]	[]	[]	[27669125]	[]
303_10523	chr6	36439530	36439930	+	1000	46.0	[12.067478]	[93]	[7.3291993]	[152]	[36439711]	[36439770]
303_10529	chr6	90218359	90218759	+	1000	46.0	[]	[]	[8.10693]	[100]	[]	[90218540]
303_1053	chr2	54956301	54956701	+	1000	122.0	[]	[]	[12.067478]	[106]	[]	[54956506]
303_10535	chr6	119259043	119259443	+	1000	46.0	[12.285931]	[91]	[]	[]	[119259229]	[]
303_1054	chr2	112962787	112963187	+	1000	122.0	[8.1802225, 12.067478]	[150, 154]	[6.5088143]	[88]	[112963026, 112963030]	[112962964]
303_10544	chr6	139545551	139545951	+	1000	46.0	[7.961771]	[71]	[8.1802225]	[109]	[139545716]	[139545754]
303_10549	chr6	159694226	159694626	+	1000	46.0	[8.325381]	[124]	[]	[]	[159694435]	[]
303_10551	chr7	10875042	10875442	+	1000	46.0	[7.5476513]	[136]	[10.162791, 8.1802225]	[101, 120]	[10875249]	[10875214, 10875233]
303_10556	chr7	30548743	30549143	+	1000	46.0	[10.381243]	[132]	[]	[]	[30548967]	[]
303_10568	chr7	105198329	105198729	+	1000	46.0	[6.4206944]	[77]	[]	[]	[105198499]	[]
303_10573	chr7	111492239	111492639	+	1000	46.0	[]	[]	[8.10693]	[131]	[]	[111492443]
303_10574	chr7	112509942	112510342	+	1000	46.0	[]	[]	[6.4206944, 7.3291993]	[99, 162]	[]	[112510099, 112510162]
303_10578	chr7	131107078	131107478	+	1000	46.0	[]	[]	[12.285931]	[104]	[]	[131107272]
303_10584	chr8	38091749	38092149	+	1000	46.0	[8.10693]	[141]	[]	[]	[38091948]	[]
303_10590	chr8	95068973	95069373	+	1000	46.0	[12.285931]	[135]	[]	[]	[95069202]	[]
303_10601	chr8	127960233	127960633	+	1000	46.0	[6.4206944]	[99]	[]	[]	[127960400]	[]
303_10609	chr9	97503462	97503862	+	1000	46.0	[8.10693]	[173]	[]	[]	[97503712]	[]
303_10613	chr9	127965530	127965930	+	1000	46.0	[6.4206944]	[127]	[]	[]	[127965734]	[]
303_10615	chr9	130849986	130850386	+	1000	46.0	[]	[]	[7.3291993]	[123]	[]	[130850139]
303_10617	chr9	131148513	131148913	+	1000	46.0	[]	[]	[8.10693]	[142]	[]	[131148723]
303_10618	chr9	131155148	131155548	+	1000	46.0	[]	[]	[7.3291993]	[130]	[]	[131155336]
303_1062	chr5	145681639	145682039	+	1000	122.0	[8.1802225]	[108]	[]	[]	[145681843]	[]
303_10624	chrX	44915480	44915880	+	1000	46.0	[]	[]	[12.285931]	[181]	[]	[44915714]
303_10628	chrX	119690741	119691141	+	1000	46.0	[12.067478]	[97]	[]	[]	[119690931]	[]
303_10630	chrX	153911001	153911401	+	1000	46.0	[]	[]	[12.285931, 6.4206944]	[105, 137]	[]	[153911204, 153911236]
303_1064	chr6	25036085	25036485	+	1000	122.0	[]	[]	[6.4206944]	[102]	[]	[25036268]
303_10641	chr1	25357323	25357723	+	1000	45.0	[7.3291993]	[74]	[]	[]	[25357486]	[]
303_10651	chr1	51488275	51488675	+	1000	45.0	[12.285931]	[110]	[]	[]	[51488436]	[]
303_10656	chr1	67898372	67898772	+	1000	45.0	[6.5088143]	[165]	[]	[]	[67898616]	[]
303_10661	chr1	89622906	89623306	+	1000	45.0	[]	[]	[8.325381]	[108]	[]	[89623114]
303_10668	chr1	111215919	111216319	+	1000	45.0	[]	[]	[7.5476513]	[143]	[]	[111216156]
303_10675	chr1	154115106	154115506	+	1000	45.0	[12.285931]	[122]	[]	[]	[154115307]	[]
303_10679	chr1	158689148	158689548	+	1000	45.0	[12.067478]	[170]	[]	[]	[158689395]	[]
303_1068	chr6	158040258	158040658	+	1000	122.0	[8.10693]	[203]	[]	[]	[158040501]	[]
303_10687	chr1	181033152	181033552	+	1000	45.0	[]	[]	[8.325381]	[95]	[]	[181033333]
303_1069	chr7	108054565	108054965	+	1000	122.0	[8.1802225, 12.067478]	[61, 105]	[8.1802225]	[98]	[108054724, 108054768]	[108054761]
303_10693	chr1	207231262	207231662	+	1000	45.0	[]	[]	[12.285931]	[93]	[]	[207231450]
303_10698	chr1	233448220	233448620	+	1000	45.0	[7.961771]	[98]	[]	[]	[233448378]	[]
303_1070	chr7	121160054	121160454	+	1000	122.0	[]	[]	[10.162791]	[116]	[]	[121160267]
303_10706	chr10	22669240	22669640	+	1000	45.0	[8.10693, 8.10693, 7.3291993, 7.3291993, 8.10693]	[162, 168, 172, 176, 183]	[]	[]	[22669463, 22669469, 22669473, 22669477, 22669484]	[]
303_10710	chr10	34163052	34163452	+	1000	45.0	[8.325381]	[173]	[]	[]	[34163285]	[]
303_10717	chr10	69237550	69237950	+	1000	45.0	[]	[]	[6.4206944]	[68]	[]	[69237714]
303_10721	chr10	75192060	75192460	+	1000	45.0	[]	[]	[12.285931]	[169]	[]	[75192257]
303_10731	chr10	115030434	115030834	+	1000	45.0	[10.381243]	[76]	[]	[]	[115030596]	[]
303_10734	chr11	12585931	12586331	+	1000	45.0	[12.285931]	[114]	[]	[]	[12586141]	[]
303_10738	chr11	57279153	57279553	+	1000	45.0	[8.325381, 8.10693]	[147, 165]	[]	[]	[57279378, 57279396]	[]
303_10745	chr11	95706774	95707174	+	1000	45.0	[8.325381]	[224]	[]	[]	[95707025]	[]
303_10746	chr11	113623079	113623479	+	1000	45.0	[]	[]	[12.285931]	[136]	[]	[113623278]
303_1075	chr10	40131243	40131643	+	1000	121.0	[]	[]	[12.067478, 8.10693]	[60, 120]	[]	[40131401, 40131461]
303_10754	chr12	75390810	75391210	+	1000	45.0	[]	[]	[8.10693]	[79]	[]	[75390986]
303_10755	chr12	76084558	76084958	+	1000	45.0	[7.1202607]	[114]	[]	[]	[76084711]	[]
303_10768	chr13	108006094	108006494	+	1000	45.0	[]	[]	[12.285931]	[164]	[]	[108006261]
303_10769	chr13	108257693	108258093	+	1000	45.0	[6.5088143]	[54]	[8.10693]	[133]	[108257845]	[108257924]
303_10771	chr14	23453843	23454243	+	1000	45.0	[6.4206944, 7.5476513]	[151, 164]	[8.1802225]	[119]	[23454064, 23454077]	[23454032]
303_10774	chr14	36720654	36721054	+	1000	45.0	[10.162791]	[119]	[7.961771]	[79]	[36720862]	[36720822]
303_10779	chr15	43169921	43170321	+	1000	45.0	[]	[]	[6.5088143, 12.067478]	[108, 145]	[]	[43170105, 43170142]
303_10783	chr15	52095616	52096016	+	1000	45.0	[8.10693, 6.5088143]	[122, 150]	[]	[]	[52095824, 52095852]	[]
303_10785	chr15	63462051	63462451	+	1000	45.0	[7.961771]	[178]	[]	[]	[63462279]	[]
303_10793	chr16	2794503	2794903	+	1000	45.0	[]	[]	[8.10693]	[113]	[]	[2794696]
303_1080	chr2	9061648	9062048	+	1000	121.0	[]	[]	[8.10693, 8.325381]	[113, 151]	[]	[9061846, 9061884]
303_10804	chr16	31460645	31461045	+	1000	45.0	[]	[]	[12.285931]	[102]	[]	[31460847]
303_10808	chr16	73070469	73070869	+	996	45.0	[]	[]	[12.285931]	[106]	[]	[73070656]
303_10809	chr16	75678182	75678582	+	1000	45.0	[6.5088143]	[73]	[]	[]	[75678347]	[]
303_10812	chr16	88287155	88287555	+	1000	45.0	[]	[]	[7.1202607]	[180]	[]	[88287366]
303_10818	chr17	18039128	18039528	+	1000	45.0	[]	[]	[8.325381]	[143]	[]	[18039319]
303_10819	chr17	21517968	21518368	+	1000	45.0	[]	[]	[12.285931]	[150]	[]	[21518191]
303_10827	chr17	55576467	55576867	+	1000	45.0	[]	[]	[12.285931]	[92]	[]	[55576637]
303_10830	chr17	69093254	69093654	+	1000	45.0	[]	[]	[8.10693]	[128]	[]	[69093417]
303_10832	chr17	75970140	75970540	+	1000	45.0	[7.5476513]	[69]	[]	[]	[75970306]	[]
303_10836	chr18	2646476	2646876	+	1000	45.0	[10.162791]	[107]	[]	[]	[2646673]	[]
303_10845	chr19	3736401	3736801	+	1000	45.0	[]	[]	[8.10693]	[95]	[]	[3736586]
303_10847	chr19	5128598	5128998	+	1000	45.0	[]	[]	[12.285931]	[116]	[]	[5128801]
303_10860	chr19	46844012	46844412	+	1000	45.0	[8.10693]	[97]	[]	[]	[46844206]	[]
303_10874	chr2	20208161	20208561	+	1000	45.0	[]	[]	[12.285931, 8.325381]	[87, 114]	[]	[20208345, 20208372]
303_10878	chr2	28594271	28594671	+	1000	45.0	[8.325381]	[110]	[]	[]	[28594443]	[]
303_10879	chr2	33064490	33064890	+	1000	45.0	[7.5476513, 12.067478]	[137, 200]	[8.325381]	[177]	[33064666, 33064729]	[33064706]
303_10881	chr2	39417387	39417787	+	1000	45.0	[12.067478]	[80]	[]	[]	[39417557]	[]
303_10882	chr2	43725077	43725477	+	1000	45.0	[]	[]	[7.3291993]	[112]	[]	[43725261]
303_10889	chr2	86397887	86398287	+	1000	45.0	[]	[]	[8.325381]	[101]	[]	[86398051]
303_1089	chr7	101881998	101882398	+	1000	121.0	[8.10693, 7.3291993, 7.3291993]	[99, 103, 107]	[]	[]	[101882185, 101882189, 101882193]	[]
303_10891	chr2	98502534	98502934	+	1000	45.0	[]	[]	[12.067478]	[147]	[]	[98502769]
303_10893	chr2	101061077	101061477	+	1000	45.0	[8.1802225, 12.067478]	[113, 119]	[]	[]	[101061280, 101061286]	[]
303_10896	chr2	130336976	130337376	+	1000	45.0	[]	[]	[7.3387127]	[198]	[]	[130337227]
303_10901	chr2	201440152	201440552	+	1000	45.0	[]	[]	[8.10693]	[152]	[]	[201440401]
303_10903	chr2	208595735	208596135	+	1000	45.0	[8.1802225, 12.067478]	[80, 84]	[]	[]	[208595909, 208595913]	[]
303_10906	chr20	4978025	4978425	+	1000	45.0	[8.10693]	[89]	[]	[]	[4978202]	[]
303_1091	chr7	139044140	139044540	+	1000	121.0	[12.285931]	[138]	[12.285931]	[77]	[139044364]	[139044303]
303_10910	chr20	46684216	46684616	+	1000	45.0	[7.3291993]	[140]	[]	[]	[46684451]	[]
303_10915	chr21	15443816	15444216	+	1000	45.0	[7.3291993, 7.3291993, 8.10693]	[69, 73, 106]	[]	[]	[15443970, 15443974, 15444007]	[]
303_1092	chr8	115495104	115495504	+	1000	121.0	[6.4206944, 8.10693]	[63, 113]	[]	[]	[115495265, 115495315]	[]
303_10929	chr22	21834653	21835053	+	1000	45.0	[12.067478, 12.067478]	[119, 130]	[]	[]	[21834858, 21834869]	[]
303_10934	chr22	41380899	41381299	+	1000	45.0	[]	[]	[10.162791]	[105]	[]	[41381092]
303_10936	chr22	43985471	43985871	+	1000	45.0	[10.162791]	[88]	[]	[]	[43985654]	[]
303_10937	chr22	44042770	44043170	+	1000	45.0	[]	[]	[7.3291993, 6.5088143]	[119, 123]	[]	[44042946, 44042950]
303_1094	chr1	23478830	23479230	+	1000	120.0	[]	[]	[12.285931]	[86]	[]	[23479016]
303_1095	chr1	205175453	205175853	+	1000	120.0	[12.067478]	[89]	[]	[]	[205175639]	[]
303_10950	chr3	45205047	45205447	+	1000	45.0	[]	[]	[12.067478]	[87]	[]	[45205211]
303_10955	chr3	58332650	58333050	+	894	45.0	[]	[]	[10.381243]	[149]	[]	[58332891]
303_10959	chr3	128111148	128111548	+	1000	45.0	[12.285931]	[144]	[]	[]	[128111375]	[]
303_1096	chr1	206074889	206075289	+	1000	120.0	[8.1802225]	[61]	[12.067478]	[143]	[206075041]	[206075123]
303_10964	chr3	152199397	152199797	+	1000	45.0	[12.285931]	[157]	[]	[]	[152199645]	[]
303_10966	chr3	172844385	172844785	+	1000	45.0	[7.5476513]	[106]	[10.381243]	[156]	[172844564]	[172844614]
303_10972	chr3	194201939	194202339	+	1000	45.0	[10.381243]	[119]	[]	[]	[194202153]	[]
303_10973	chr3	196127010	196127410	+	1000	45.0	[7.961771, 7.961771]	[229, 236]	[10.381243]	[156]	[196127245, 196127252]	[196127172]
303_10980	chr4	25723023	25723423	+	1000	45.0	[]	[]	[10.162791]	[104]	[]	[25723226]
303_10981	chr4	48193401	48193801	+	1000	45.0	[]	[]	[8.10693, 7.3291993, 8.10693]	[137, 145, 149]	[]	[48193596, 48193604, 48193608]
303_10984	chr4	112099692	112100092	+	1000	45.0	[12.285931]	[118]	[]	[]	[112099895]	[]
303_1099	chr12	7855054	7855454	+	1000	120.0	[]	[]	[8.325381]	[158]	[]	[7855302]
303_10994	chr5	62486655	62487055	+	1000	45.0	[12.285931]	[104]	[10.162791]	[119]	[62486854]	[62486869]
303_1100	chr12	8025158	8025558	+	1000	120.0	[]	[]	[7.961771]	[190]	[]	[8025400]
303_11002	chr5	131996733	131997133	+	1000	45.0	[12.285931]	[149]	[]	[]	[131996972]	[]
303_11007	chr5	142362701	142363101	+	1000	45.0	[8.325381]	[64]	[]	[]	[142362857]	[]
303_11009	chr5	154701124	154701524	+	1000	45.0	[]	[]	[12.285931]	[103]	[]	[154701306]
303_1101	chr14	92768203	92768603	+	1000	120.0	[10.381243]	[160]	[]	[]	[92768454]	[]
303_11012	chr5	172983572	172983972	+	1000	45.0	[]	[]	[6.2755356]	[123]	[]	[172983795]
303_11015	chr5	177113815	177114215	+	1000	45.0	[8.10693]	[117]	[]	[]	[177113974]	[]
303_11017	chr6	3337857	3338257	+	1000	45.0	[12.067478]	[194]	[]	[]	[3338060]	[]
