#PeakID(python identify_motif.py ./ENCODE_processed_files/NFIX_idr.fa NFIX --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_1019	chr3	55518366	55518766	+	1000	96.0	[8.844542]	[120]	[8.844542, 8.844542]	[110, 155]	[55518573]	[55518563, 55518608]
642_102	chr1	184029142	184029542	+	1000	307.5	[8.844542]	[111]	[7.4974093]	[101]	[184029347]	[184029337]
642_1020	chr3	164302627	164303027	+	1000	96.0	[8.844542, 7.4974093]	[109, 169]	[8.844542]	[99]	[164302813, 164302873]	[164302803]
642_1021	chr5	5969937	5970337	+	1000	96.0	[7.4974093]	[111]	[8.844542]	[101]	[5970142]	[5970132]
642_1022	chr5	37412998	37413398	+	1000	96.0	[]	[]	[8.844542]	[138]	[]	[37413221]
642_1025	chr12	114355361	114355761	+	1000	95.5	[8.844542]	[112]	[7.4974093, 8.844542]	[102, 156]	[114355562]	[114355552, 114355606]
642_1026	chr2	23403833	23404233	+	1000	95.5	[7.4974093]	[97]	[8.844542]	[87]	[23404027]	[23404017]
642_1027	chr4	141912882	141913282	+	1000	95.5	[8.844542]	[153]	[8.844542]	[143]	[141913081]	[141913071]
642_1028	chr6	35839022	35839422	+	1000	95.5	[8.844542]	[126]	[7.4974093, 8.844542, 8.844542]	[79, 116, 170]	[35839222]	[35839175, 35839212, 35839266]
642_1029	chr6	75933635	75934035	+	1000	95.5	[7.4974093]	[107]	[8.844542]	[97]	[75933831]	[75933821]
642_103	chr16	15792607	15793007	+	1000	304.5	[8.844542]	[104]	[8.844542]	[94]	[15792807]	[15792797]
642_1030	chr6	134035988	134036388	+	1000	95.5	[7.4974093]	[118]	[8.844542]	[108]	[134036192]	[134036182]
642_1031	chr7	128053037	128053437	+	1000	95.5	[8.844542]	[95]	[8.844542]	[85]	[128053232]	[128053222]
642_1032	chr1	158674281	158674681	+	1000	95.0	[8.844542]	[118]	[7.4974093, 7.4974093]	[99, 108]	[158674492]	[158674473, 158674482]
642_1033	chr16	83085660	83086060	+	1000	95.0	[7.4974093]	[109]	[8.844542]	[99]	[83085862]	[83085852]
642_1034	chr22	43377948	43378348	+	1000	95.0	[8.844542, 7.4974093]	[103, 166]	[7.4974093]	[156]	[43378121, 43378184]	[43378174]
642_1036	chr7	127532240	127532640	+	1000	95.0	[7.4974093, 8.844542]	[102, 140]	[8.844542]	[92]	[127532429, 127532467]	[127532419]
642_1037	chr8	38850968	38851368	+	1000	95.0	[]	[]	[8.844542]	[150]	[]	[38851184]
642_1038	chr10	102766808	102767208	+	1000	94.5	[7.4974093]	[114]	[8.844542]	[104]	[102767018]	[102767008]
642_1039	chr13	54018576	54018976	+	1000	94.5	[8.844542]	[99]	[8.844542]	[89]	[54018756]	[54018746]
642_104	chr11	110479788	110480188	+	1000	304.0	[8.844542]	[121]	[8.844542, 8.844542]	[111, 153]	[110479997]	[110479987, 110480029]
642_1040	chr14	33943027	33943427	+	1000	94.5	[8.844542]	[159]	[8.844542, 7.4974093, 7.4974093]	[102, 149, 180]	[33943252]	[33943195, 33943242, 33943273]
642_1041	chr2	38598995	38599395	+	1000	94.5	[]	[]	[8.844542]	[118]	[]	[38599186]
642_1042	chr20	51339014	51339414	+	1000	94.5	[7.4974093]	[131]	[]	[]	[51339218]	[]
642_1043	chr1	232432315	232432715	+	1000	94.0	[8.844542]	[118]	[7.4974093]	[108]	[232432532]	[232432522]
642_1044	chr15	40986851	40987251	+	1000	94.0	[8.844542]	[96]	[7.4974093, 8.844542]	[70, 86]	[40987029]	[40987003, 40987019]
642_1045	chr19	52896775	52897175	+	1000	94.0	[8.844542, 8.844542, 8.844542]	[117, 142, 149]	[8.844542]	[139]	[52896973, 52896998, 52897005]	[52896995]
642_1046	chr4	128788035	128788435	+	1000	94.0	[8.844542]	[111]	[8.844542]	[101]	[128788244]	[128788234]
642_1047	chr5	108531616	108532016	+	1000	94.0	[8.844542]	[87]	[7.4974093]	[84]	[108531796]	[108531793]
642_1048	chr6	4675109	4675509	+	1000	94.0	[8.844542]	[118]	[7.4974093]	[108]	[4675317]	[4675307]
642_1049	chr6	41266565	41266965	+	1000	94.0	[8.844542]	[101]	[8.844542]	[91]	[41266753]	[41266743]
642_105	chr1	186033759	186034159	+	1000	303.5	[8.844542]	[99]	[7.4974093]	[89]	[186033955]	[186033945]
642_1050	chr6	144845131	144845531	+	1000	94.0	[8.844542]	[119]	[7.4974093]	[109]	[144845350]	[144845340]
642_1052	chr13	98507185	98507585	+	1000	93.5	[8.844542]	[114]	[7.4974093]	[104]	[98507397]	[98507387]
642_1053	chr14	36099649	36100049	+	1000	93.5	[8.844542]	[77]	[7.4974093]	[67]	[36099810]	[36099800]
642_1054	chr17	80275846	80276246	+	1000	93.5	[8.844542]	[99]	[8.844542]	[89]	[80276045]	[80276035]
642_1056	chr18	1488958	1489358	+	1000	93.5	[8.844542]	[106]	[8.844542, 7.4974093]	[77, 96]	[1489157]	[1489128, 1489147]
642_1057	chr20	33438434	33438834	+	1000	93.5	[8.844542]	[126]	[8.844542]	[116]	[33438656]	[33438646]
642_1058	chr3	9777384	9777784	+	1000	93.5	[7.4974093]	[96]	[7.4974093]	[86]	[9777580]	[9777570]
642_106	chr1	183045261	183045661	+	1000	301.0	[8.844542]	[120]	[8.844542]	[110]	[183045476]	[183045466]
642_1060	chr6	43436502	43436902	+	1000	93.5	[8.844542]	[129]	[7.4974093]	[119]	[43436722]	[43436712]
642_1061	chr7	5773637	5774037	+	1000	93.5	[8.844542]	[136]	[7.4974093]	[126]	[5773869]	[5773859]
642_1062	chr1	80054185	80054585	+	1000	93.0	[8.844542]	[143]	[8.844542]	[133]	[80054406]	[80054396]
642_1063	chr10	36888951	36889351	+	1000	93.0	[7.4974093, 7.4974093]	[114, 141]	[8.844542]	[104]	[36889165, 36889192]	[36889155]
642_1064	chr10	42734539	42734939	+	1000	93.0	[7.4974093]	[114]	[8.844542]	[104]	[42734750]	[42734740]
642_1065	chr11	12200296	12200696	+	1000	93.0	[7.4974093]	[113]	[8.844542, 8.844542]	[103, 170]	[12200490]	[12200480, 12200547]
642_1066	chr18	48983735	48984135	+	1000	93.0	[7.4974093]	[141]	[8.844542]	[131]	[48983947]	[48983937]
642_1068	chr2	75846694	75847094	+	1000	93.0	[7.4974093]	[91]	[8.844542]	[81]	[75846876]	[75846866]
642_1069	chr4	27910225	27910625	+	1000	93.0	[7.4974093]	[110]	[8.844542]	[100]	[27910429]	[27910419]
642_107	chr3	156171844	156172244	+	1000	301.0	[8.844542]	[113]	[8.844542]	[103]	[156172055]	[156172045]
642_1070	chr5	139749291	139749691	+	1000	93.0	[8.844542]	[114]	[7.4974093]	[104]	[139749481]	[139749471]
642_1071	chr5	170168031	170168431	+	1000	93.0	[7.4974093]	[110]	[8.844542]	[100]	[170168240]	[170168230]
642_1072	chr1	43818721	43819121	+	1000	92.5	[8.844542]	[116]	[8.844542, 8.844542]	[93, 106]	[43818936]	[43818913, 43818926]
642_1073	chr17	74744561	74744961	+	1000	92.5	[8.844542]	[104]	[7.4974093]	[94]	[74744744]	[74744734]
642_1074	chr2	218319956	218320356	+	1000	92.5	[7.4974093]	[116]	[7.4974093]	[106]	[218320170]	[218320160]
642_1075	chr20	37880646	37881046	+	1000	92.5	[7.4974093, 8.844542, 7.4974093]	[86, 99, 128]	[7.4974093, 7.4974093]	[96, 118]	[37880816, 37880829, 37880858]	[37880826, 37880848]
642_1076	chr9	113343753	113344153	+	1000	92.5	[8.844542]	[111]	[7.4974093]	[142]	[113343959]	[113343990]
642_1077	chr1	185300119	185300519	+	1000	92.0	[8.844542]	[130]	[7.4974093]	[120]	[185300348]	[185300338]
642_1078	chr12	51415913	51416313	+	1000	92.0	[7.4974093]	[131]	[8.844542]	[121]	[51416136]	[51416126]
642_1079	chr14	74864146	74864546	+	1000	92.0	[8.844542]	[111]	[7.4974093]	[101]	[74864322]	[74864312]
642_1080	chr15	65156717	65157117	+	1000	92.0	[8.844542]	[104]	[7.4974093]	[94]	[65156898]	[65156888]
642_1082	chr19	57419415	57419815	+	1000	92.0	[8.844542]	[168]	[8.844542]	[158]	[57419649]	[57419639]
642_1083	chr2	26801343	26801743	+	1000	92.0	[8.844542]	[106]	[7.4974093]	[96]	[26801545]	[26801535]
642_1084	chr2	177930926	177931326	+	1000	92.0	[8.844542]	[101]	[7.4974093]	[91]	[177931102]	[177931092]
642_1085	chr2	240604326	240604726	+	1000	92.0	[8.844542]	[160]	[8.844542]	[150]	[240604551]	[240604541]
642_1086	chr5	15545076	15545476	+	1000	92.0	[7.4974093]	[98]	[8.844542]	[88]	[15545270]	[15545260]
642_1087	chr5	139332856	139333256	+	1000	92.0	[7.4974093]	[112]	[7.4974093]	[102]	[139333057]	[139333047]
642_1088	chr1	59157550	59157950	+	1000	91.5	[]	[]	[8.844542]	[153]	[]	[59157795]
642_109	chr11	123235060	123235460	+	1000	298.0	[8.844542]	[115]	[7.4974093]	[105]	[123235271]	[123235261]
642_1091	chr14	67031856	67032256	+	1000	91.5	[8.844542]	[103]	[7.4974093]	[93]	[67032059]	[67032049]
642_1092	chr16	12893352	12893752	+	1000	91.5	[]	[]	[8.844542]	[95]	[]	[12893542]
642_1093	chr2	10227614	10228014	+	1000	91.5	[7.4974093]	[134]	[8.844542]	[124]	[10227838]	[10227828]
642_1094	chr2	111918364	111918764	+	1000	91.5	[7.4974093, 7.4974093]	[52, 98]	[8.844542]	[88]	[111918516, 111918562]	[111918552]
642_1095	chr22	50322730	50323130	+	1000	91.5	[8.844542]	[102]	[8.844542]	[92]	[50322928]	[50322918]
642_1096	chr3	88595044	88595444	+	1000	91.5	[8.844542]	[127]	[7.4974093]	[117]	[88595255]	[88595245]
642_1098	chr19	40630652	40631052	+	1000	91.0	[8.844542]	[128]	[8.844542]	[118]	[40630874]	[40630864]
642_1099	chr2	54720580	54720980	+	1000	91.0	[7.4974093]	[105]	[7.4974093]	[95]	[54720775]	[54720765]
642_110	chr6	110207641	110208041	+	1000	295.0	[8.844542]	[113]	[8.844542]	[103]	[110207853]	[110207843]
642_1100	chr7	36638880	36639280	+	1000	91.0	[8.844542]	[121]	[8.844542]	[111]	[36639077]	[36639067]
642_1101	chr7	132430028	132430428	+	1000	91.0	[7.4974093]	[102]	[7.4974093]	[92]	[132430216]	[132430206]
642_1102	chrX	38426783	38427183	+	1000	91.0	[8.844542, 8.844542]	[126, 145]	[8.844542]	[116]	[38427001, 38427020]	[38426991]
642_1103	chr12	131362600	131363000	+	1000	90.5	[]	[]	[8.844542, 7.4974093]	[88, 145]	[]	[131362752, 131362809]
642_1104	chr12	132253664	132254064	+	1000	90.5	[7.4974093]	[108]	[8.844542]	[98]	[132253867]	[132253857]
642_1105	chr13	49293082	49293482	+	1000	90.5	[7.4974093]	[114]	[7.4974093]	[104]	[49293295]	[49293285]
642_1106	chr16	83300407	83300807	+	1000	90.5	[7.4974093]	[79]	[8.844542]	[69]	[83300584]	[83300574]
642_1107	chr2	20066266	20066666	+	1000	90.5	[8.844542, 8.844542]	[78, 119]	[7.4974093]	[109]	[20066435, 20066476]	[20066466]
642_1108	chr2	223044037	223044437	+	1000	90.5	[]	[]	[7.4974093, 8.844542]	[79, 91]	[]	[223044195, 223044207]
642_1109	chr4	20994990	20995390	+	1000	90.5	[8.844542]	[119]	[7.4974093]	[109]	[20995208]	[20995198]
642_111	chr5	81736067	81736467	+	1000	293.5	[8.844542]	[111]	[8.844542, 7.4974093]	[101, 133]	[81736271]	[81736261, 81736293]
642_1110	chr4	43932452	43932852	+	1000	90.5	[7.4974093]	[101]	[8.844542]	[91]	[43932633]	[43932623]
642_1111	chr6	84718405	84718805	+	1000	90.5	[8.844542]	[130]	[8.844542]	[120]	[84718629]	[84718619]
642_1112	chr7	105012558	105012958	+	1000	90.5	[8.844542]	[127]	[]	[]	[105012745]	[]
642_1113	chr7	107168205	107168605	+	1000	90.5	[8.844542]	[115]	[7.4974093, 7.4974093]	[105, 141]	[107168418]	[107168408, 107168444]
642_1114	chr9	124431537	124431937	+	1000	90.5	[8.844542]	[121]	[8.844542]	[111]	[124431743]	[124431733]
642_1115	chr1	92750926	92751326	+	1000	90.0	[8.844542]	[82]	[7.4974093]	[72]	[92751096]	[92751086]
642_1116	chr17	8040727	8041127	+	1000	90.0	[7.4974093]	[117]	[8.844542]	[107]	[8040934]	[8040924]
642_1117	chr2	20634475	20634875	+	1000	90.0	[7.4974093]	[112]	[7.4974093]	[102]	[20634674]	[20634664]
642_1118	chr2	23256623	23257023	+	1000	90.0	[8.844542]	[152]	[8.844542]	[142]	[23256837]	[23256827]
642_112	chr6	9257208	9257608	+	1000	292.0	[8.844542]	[104]	[8.844542]	[94]	[9257410]	[9257400]
642_1120	chr2	146949397	146949797	+	1000	90.0	[8.844542]	[123]	[]	[]	[146949614]	[]
642_1121	chr22	19467378	19467778	+	1000	90.0	[7.4974093]	[151]	[7.4974093]	[141]	[19467602]	[19467592]
642_1122	chr5	96343075	96343475	+	1000	90.0	[8.844542]	[118]	[7.4974093]	[108]	[96343290]	[96343280]
642_1124	chr6	121175839	121176239	+	1000	90.0	[8.844542]	[96]	[8.844542]	[86]	[121176021]	[121176011]
642_1125	chr7	117124624	117125024	+	1000	90.0	[]	[]	[8.844542]	[108]	[]	[117124829]
642_1126	chrX	38649205	38649605	+	1000	90.0	[8.844542]	[121]	[8.844542]	[111]	[38649422]	[38649412]
642_1127	chr1	39372108	39372508	+	1000	89.5	[7.4974093]	[110]	[8.844542]	[100]	[39372309]	[39372299]
642_1129	chr10	77510686	77511086	+	1000	89.5	[8.844542]	[107]	[8.844542]	[97]	[77510869]	[77510859]
642_113	chr1	168279253	168279653	+	1000	291.5	[8.844542]	[110]	[7.4974093, 8.844542]	[62, 100]	[168279460]	[168279412, 168279450]
642_1130	chr15	83108817	83109217	+	1000	89.5	[]	[]	[8.844542]	[117]	[]	[83109034]
642_1131	chr15	95742861	95743261	+	1000	89.5	[7.4974093, 8.844542]	[110, 125]	[8.844542]	[115]	[95743065, 95743080]	[95743070]
642_1132	chr15	95894584	95894984	+	1000	89.5	[7.4974093]	[104]	[8.844542]	[94]	[95894774]	[95894764]
642_1133	chr19	3851639	3852039	+	1000	89.5	[8.844542]	[110]	[8.844542]	[100]	[3851843]	[3851833]
642_1134	chr4	151610243	151610643	+	1000	89.5	[7.4974093]	[95]	[8.844542]	[85]	[151610437]	[151610427]
642_1135	chr9	102309394	102309794	+	1000	89.5	[8.844542]	[93]	[7.4974093]	[83]	[102309582]	[102309572]
642_1136	chr1	247494688	247495088	+	1000	89.0	[8.844542]	[111]	[7.4974093]	[101]	[247494897]	[247494887]
642_1138	chr16	85535597	85535997	+	1000	89.0	[8.844542, 7.4974093]	[57, 124]	[]	[]	[85535750, 85535817]	[]
642_1139	chr17	63675944	63676344	+	1000	89.0	[]	[]	[7.4974093, 7.4974093]	[113, 141]	[]	[63676139, 63676167]
642_114	chr12	121404722	121405122	+	1000	291.5	[7.4974093]	[112]	[7.4974093]	[102]	[121404932]	[121404922]
642_1140	chr2	222952232	222952632	+	1000	89.0	[7.4974093]	[90]	[7.4974093, 7.4974093]	[64, 80]	[222952412]	[222952386, 222952402]
642_1141	chr20	3666237	3666637	+	1000	89.0	[7.4974093, 7.4974093]	[95, 141]	[8.844542]	[85]	[3666426, 3666472]	[3666416]
642_1142	chr5	10288502	10288902	+	1000	89.0	[8.844542, 8.844542]	[62, 101]	[7.4974093, 7.4974093]	[91, 142]	[10288660, 10288699]	[10288689, 10288740]
642_1143	chr6	41449722	41450122	+	1000	89.0	[7.4974093, 7.4974093]	[68, 128]	[7.4974093]	[118]	[41449885, 41449945]	[41449935]
642_1144	chr6	163693112	163693512	+	1000	89.0	[7.4974093]	[144]	[8.844542]	[134]	[163693333]	[163693323]
642_1145	chr7	100706791	100707191	+	1000	89.0	[7.4974093]	[95]	[7.4974093]	[85]	[100706985]	[100706975]
642_1146	chr8	109918302	109918702	+	1000	89.0	[8.844542]	[114]	[8.844542]	[104]	[109918511]	[109918501]
642_1147	chrX	2475363	2475763	+	1000	89.0	[7.4974093, 8.844542]	[97, 133]	[]	[]	[2475560, 2475596]	[]
642_1148	chr1	85316316	85316716	+	1000	88.5	[8.844542]	[115]	[7.4974093]	[105]	[85316507]	[85316497]
642_1149	chr11	34508488	34508888	+	1000	88.5	[7.4974093]	[114]	[7.4974093]	[104]	[34508689]	[34508679]
642_115	chr15	83127740	83128140	+	1000	290.5	[8.844542]	[131]	[7.4974093, 8.844542]	[121, 140]	[83127955]	[83127945, 83127964]
642_1150	chr11	71217722	71218122	+	1000	88.5	[8.844542]	[106]	[8.844542]	[96]	[71217928]	[71217918]
642_1151	chr11	124861676	124862076	+	1000	88.5	[8.844542]	[129]	[8.844542, 7.4974093, 7.4974093]	[77, 107, 119]	[124861899]	[124861847, 124861877, 124861889]
642_1152	chr14	87109281	87109681	+	1000	88.5	[8.844542]	[97]	[7.4974093]	[87]	[87109478]	[87109468]
642_1153	chr16	23597220	23597620	+	1000	88.5	[]	[]	[8.844542]	[134]	[]	[23597423]
642_1154	chr17	75157987	75158387	+	1000	88.5	[8.844542]	[118]	[7.4974093]	[108]	[75158190]	[75158180]
642_1155	chr19	13847004	13847404	+	1000	88.5	[7.4974093]	[108]	[7.4974093, 7.4974093, 7.4974093]	[98, 145, 159]	[13847178]	[13847168, 13847215, 13847229]
642_1156	chr2	15352355	15352755	+	1000	88.5	[7.4974093]	[110]	[8.844542, 7.4974093]	[80, 100]	[15352565]	[15352535, 15352555]
642_1157	chr1	1842778	1843178	+	1000	88.0	[7.4974093]	[173]	[7.4974093]	[163]	[1843020]	[1843010]
642_1158	chr12	25276131	25276531	+	1000	88.0	[]	[]	[8.844542]	[115]	[]	[25276345]
642_1159	chr12	71972635	71973035	+	1000	88.0	[8.844542]	[121]	[8.844542]	[111]	[71972843]	[71972833]
642_116	chr9	95903387	95903787	+	1000	289.5	[8.844542]	[121]	[8.844542]	[111]	[95903604]	[95903594]
642_1160	chr18	32056636	32057036	+	1000	88.0	[8.844542]	[77]	[8.844542]	[67]	[32056813]	[32056803]
642_1161	chr8	116666971	116667371	+	1000	88.0	[8.844542]	[115]	[8.844542]	[105]	[116667172]	[116667162]
642_1162	chr9	108885940	108886340	+	1000	88.0	[8.844542]	[143]	[8.844542]	[133]	[108886139]	[108886129]
642_1163	chr15	57460201	57460601	+	1000	87.5	[8.844542]	[112]	[8.844542]	[102]	[57460413]	[57460403]
642_1164	chr16	1659495	1659895	+	1000	87.5	[8.844542]	[125]	[7.4974093, 7.4974093]	[91, 115]	[1659715]	[1659681, 1659705]
642_1165	chr17	28577421	28577821	+	1000	87.5	[7.4974093]	[137]	[8.844542]	[127]	[28577623]	[28577613]
642_1168	chr4	168978299	168978699	+	1000	87.5	[8.844542]	[112]	[8.844542]	[102]	[168978510]	[168978500]
642_1169	chr1	28635188	28635588	+	1000	87.0	[7.4974093]	[99]	[8.844542]	[89]	[28635383]	[28635373]
642_1170	chr1	58895114	58895514	+	1000	87.0	[7.4974093, 7.4974093]	[116, 141]	[7.4974093, 7.4974093]	[86, 106]	[58895310, 58895335]	[58895280, 58895300]
642_1172	chr11	67342859	67343259	+	1000	87.0	[8.844542]	[97]	[8.844542]	[87]	[67343036]	[67343026]
642_1173	chr19	41501365	41501765	+	1000	87.0	[8.844542]	[123]	[8.844542]	[113]	[41501575]	[41501565]
642_1174	chr19	51524650	51525050	+	1000	87.0	[8.844542]	[122]	[8.844542]	[112]	[51524864]	[51524854]
642_1176	chrX	88977809	88978209	+	1000	87.0	[8.844542]	[123]	[8.844542, 7.4974093]	[113, 131]	[88978026]	[88978016, 88978034]
642_1177	chr1	73711107	73711507	+	1000	86.5	[8.844542]	[95]	[7.4974093]	[85]	[73711302]	[73711292]
642_1179	chr17	48088748	48089148	+	1000	86.5	[8.844542]	[95]	[8.844542]	[85]	[48088922]	[48088912]
642_118	chr22	21975265	21975665	+	1000	287.5	[7.4974093]	[108]	[8.844542]	[98]	[21975469]	[21975459]
642_1182	chr22	45223362	45223762	+	1000	86.5	[7.4974093, 7.4974093]	[99, 147]	[7.4974093]	[89]	[45223559, 45223607]	[45223549]
642_1183	chr8	79960173	79960573	+	1000	86.5	[7.4974093]	[93]	[7.4974093]	[83]	[79960365]	[79960355]
642_1185	chr10	27360529	27360929	+	1000	86.0	[8.844542]	[160]	[7.4974093, 7.4974093]	[123, 150]	[27360778]	[27360741, 27360768]
642_1186	chr11	70024318	70024718	+	1000	86.0	[7.4974093, 8.844542]	[133, 156]	[8.844542]	[146]	[70024525, 70024548]	[70024538]
642_1187	chr11	96199610	96200010	+	1000	86.0	[8.844542]	[122]	[8.844542]	[112]	[96199819]	[96199809]
642_1188	chr12	85664421	85664821	+	1000	86.0	[8.844542]	[126]	[8.844542, 8.844542, 7.4974093]	[68, 97, 116]	[85664639]	[85664581, 85664610, 85664629]
642_1189	chr2	67996752	67997152	+	1000	86.0	[8.844542, 7.4974093]	[109, 144]	[8.844542, 8.844542]	[99, 151]	[67996956, 67996991]	[67996946, 67996998]
642_119	chr1	78334062	78334462	+	1000	287.0	[8.844542]	[139]	[8.844542]	[129]	[78334280]	[78334270]
642_1190	chr2	96694823	96695223	+	1000	86.0	[7.4974093]	[172]	[8.844542, 7.4974093]	[105, 162]	[96695056]	[96694989, 96695046]
642_1191	chr21	16420068	16420468	+	1000	86.0	[8.844542]	[118]	[8.844542, 8.844542]	[108, 115]	[16420283]	[16420273, 16420280]
642_1192	chr21	30563621	30564021	+	1000	86.0	[8.844542]	[115]	[8.844542]	[105]	[30563829]	[30563819]
642_1193	chr3	98056054	98056454	+	1000	86.0	[8.844542]	[93]	[8.844542, 7.4974093]	[70, 83]	[98056240]	[98056217, 98056230]
642_1194	chr4	12140882	12141282	+	1000	86.0	[]	[]	[8.844542]	[89]	[]	[12141049]
642_1195	chr4	70310149	70310549	+	1000	86.0	[8.844542]	[106]	[8.844542]	[96]	[70310354]	[70310344]
642_1197	chr6	38113809	38114209	+	1000	86.0	[8.844542]	[145]	[7.4974093]	[135]	[38114026]	[38114016]
642_1198	chr9	131078822	131079222	+	1000	86.0	[7.4974093]	[125]	[8.844542, 7.4974093]	[115, 119]	[131079039]	[131079029, 131079033]
642_1199	chr1	6596338	6596738	+	1000	85.5	[8.844542]	[110]	[7.4974093]	[100]	[6596548]	[6596538]
642_120	chr7	14048888	14049288	+	1000	285.0	[8.844542]	[123]	[8.844542]	[113]	[14049089]	[14049079]
642_1200	chr13	98050067	98050467	+	1000	85.5	[7.4974093, 7.4974093]	[98, 112]	[7.4974093]	[88]	[98050261, 98050275]	[98050251]
642_1201	chr17_GL000205v2_random	68302	68702	+	1000	85.5	[7.4974093, 7.4974093]	[86, 135]	[7.4974093, 7.4974093]	[119, 125]	[68477, 68526]	[68510, 68516]
642_1203	chr12	32653750	32654150	+	1000	85.0	[8.844542]	[148]	[7.4974093]	[138]	[32653986]	[32653976]
642_1204	chr17	55817202	55817602	+	1000	85.0	[7.4974093]	[115]	[8.844542, 7.4974093]	[86, 105]	[55817408]	[55817379, 55817398]
642_1205	chr2	84925750	84926150	+	1000	85.0	[]	[]	[7.4974093]	[105]	[]	[84925952]
642_1206	chr2	138572311	138572711	+	1000	85.0	[8.844542]	[147]	[8.844542]	[137]	[138572535]	[138572525]
642_1207	chr2	149019753	149020153	+	1000	85.0	[7.4974093]	[133]	[8.844542]	[123]	[149019962]	[149019952]
642_1208	chr2	241443796	241444196	+	1000	85.0	[7.4974093]	[114]	[8.844542]	[104]	[241444010]	[241444000]
642_1209	chr3	62636337	62636737	+	1000	85.0	[8.844542]	[111]	[8.844542]	[101]	[62636547]	[62636537]
642_121	chr19	48539612	48540012	+	1000	284.0	[7.4974093]	[112]	[8.844542]	[102]	[48539822]	[48539812]
642_1210	chr4	105637401	105637801	+	1000	85.0	[8.844542]	[134]	[7.4974093]	[124]	[105637613]	[105637603]
642_1211	chr6	112383210	112383610	+	1000	85.0	[7.4974093]	[116]	[7.4974093]	[106]	[112383405]	[112383395]
642_1213	chr8	60846541	60846941	+	1000	85.0	[8.844542]	[86]	[7.4974093]	[76]	[60846710]	[60846700]
642_1214	chrX	74360914	74361314	+	1000	85.0	[8.844542]	[158]	[8.844542]	[148]	[74361152]	[74361142]
642_1215	chr1	26534106	26534506	+	1000	84.5	[8.844542]	[110]	[7.4974093]	[100]	[26534315]	[26534305]
642_1216	chr17	69486241	69486641	+	1000	84.5	[7.4974093]	[112]	[7.4974093]	[102]	[69486442]	[69486432]
642_1217	chr19	39891573	39891973	+	1000	84.5	[7.4974093]	[169]	[8.844542]	[105]	[39891813]	[39891749]
642_1218	chr20	36074961	36075361	+	1000	84.5	[7.4974093]	[145]	[8.844542]	[112]	[36075202]	[36075169]
642_1219	chr21	29349705	29350105	+	1000	84.5	[7.4974093]	[98]	[8.844542]	[88]	[29349887]	[29349877]
642_1220	chr3	85516141	85516541	+	1000	84.5	[7.4974093]	[119]	[]	[]	[85516350]	[]
