#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT5A_idr.fa STAT5A --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
133_10192	chr5	112963915	112964315	+	1000	60.0	[]	[]	[6.7241893]	[102]	[]	[112964076]
133_10196	chr5	164360614	164361014	+	1000	60.0	[9.029213]	[179]	[]	[]	[164360862]	[]
133_10197	chr6	3354921	3355321	+	1000	60.0	[]	[]	[10.2329445]	[139]	[]	[3355139]
133_102	chr7	119925895	119926295	+	1000	468.0	[12.597441]	[68]	[10.266372]	[68]	[119926060]	[119926060]
133_1020	chr3	16304641	16305041	+	1000	228.0	[]	[]	[6.4228773]	[128]	[]	[16304862]
133_10203	chr6	28408414	28408814	+	1000	60.0	[14.173678]	[134]	[11.842608]	[134]	[28408633]	[28408633]
133_10209	chr6	50825643	50826043	+	1000	60.0	[]	[]	[10.94174]	[108]	[]	[50825850]
133_10210	chr6	104957319	104957719	+	1000	60.0	[15.901753]	[144]	[8.538297]	[144]	[104957543]	[104957543]
133_10211	chr6	111411056	111411456	+	1000	60.0	[7.83516]	[107]	[7.7649856]	[107]	[111411247]	[111411247]
133_10214	chr6	157465143	157465543	+	1000	60.0	[8.446286]	[138]	[10.243763]	[138]	[157465363]	[157465363]
133_10222	chr7	81460611	81461011	+	716	60.0	[]	[]	[10.412417]	[74]	[]	[81460776]
133_10233	chr7	135800994	135801394	+	1000	60.0	[8.490457]	[145]	[]	[]	[135801154]	[]
133_10241	chr7	151272939	151273339	+	1000	60.0	[6.552134, 7.5739202]	[75, 120]	[7.880774]	[157]	[151273097, 151273142]	[151273179]
133_10268	chr9	133133761	133134161	+	1000	60.0	[10.311713]	[140]	[6.562315]	[140]	[133133965]	[133133965]
133_10269	chr9	133417870	133418270	+	1000	60.0	[6.8599873]	[77]	[]	[]	[133418032]	[]
133_10275	chrX	101386520	101386920	+	1000	60.0	[12.597441]	[102]	[10.266372]	[102]	[101386719]	[101386719]
133_10279	chr1	11802454	11802854	+	1000	59.0	[7.6275287]	[90]	[]	[]	[11802628]	[]
133_10294	chr1	86792973	86793373	+	1000	59.0	[6.9286323]	[204]	[]	[]	[86793211]	[]
133_10298	chr1	150067520	150067920	+	793	59.0	[8.684342]	[121]	[]	[]	[150067739]	[]
133_103	chr8	90187661	90188061	+	1000	463.0	[15.901753]	[111]	[8.538297]	[111]	[90187863]	[90187863]
133_10318	chr10	74439220	74439620	+	1000	59.0	[11.382891]	[155]	[6.704043]	[155]	[74439444]	[74439444]
133_10339	chr12	49108843	49109243	+	1000	59.0	[6.3577366, 15.901753]	[120, 169]	[8.538297]	[169]	[49109040, 49109089]	[49109089]
133_10363	chr15	64093826	64094226	+	1000	59.0	[]	[]	[9.6861105]	[214]	[]	[64094067]
133_10369	chr16	11240649	11241049	+	1000	59.0	[12.597441]	[132]	[10.266372]	[132]	[11240855]	[11240855]
133_1037	chr9	124202538	124202938	+	1000	227.0	[13.5706835]	[127]	[10.869366]	[127]	[124202756]	[124202756]
133_10373	chr16	81006843	81007243	+	1000	59.0	[12.597441]	[171]	[10.266372]	[171]	[81007077]	[81007077]
133_10382	chr17	47239892	47240292	+	1000	59.0	[9.035112]	[149]	[9.051821]	[149]	[47240137]	[47240137]
133_10389	chr18	10530841	10531241	+	1000	59.0	[6.7911124]	[93]	[9.761809]	[93]	[10531029]	[10531029]
133_10400	chr19	42243041	42243441	+	1000	59.0	[6.7182117, 7.097286]	[127, 189]	[13.548076]	[127]	[42243223, 42243285]	[42243223]
133_10414	chr2	74181622	74182022	+	1000	59.0	[]	[]	[8.085812]	[71]	[]	[74181779]
133_10418	chr2	159712394	159712794	+	979	59.0	[7.225411]	[109]	[]	[]	[159712587]	[]
133_10420	chr2	182941960	182942360	+	1000	59.0	[6.469334]	[109]	[]	[]	[182942162]	[]
133_10426	chr2	233857811	233858211	+	1000	59.0	[8.133142, 6.254151]	[86, 168]	[]	[]	[233857968, 233858050]	[]
133_10432	chr22	19953619	19954019	+	1000	59.0	[7.097286]	[156]	[]	[]	[19953867]	[]
133_10449	chr3	44648507	44648907	+	1000	59.0	[8.685363]	[78]	[7.7337074]	[78]	[44648674]	[44648674]
133_10451	chr3	49465604	49466004	+	1000	59.0	[6.7182117]	[59]	[13.548076]	[59]	[49465758]	[49465758]
133_10458	chr3	182460281	182460681	+	1000	59.0	[8.36798]	[131]	[8.185572, 8.808403, 7.2345104]	[85, 131, 151]	[182460497]	[182460451, 182460497, 182460517]
133_10462	chr4	6278728	6279128	+	1000	59.0	[6.7594943]	[109]	[]	[]	[6278937]	[]
133_10474	chr4	185357690	185358090	+	1000	59.0	[7.4052663]	[139]	[6.9147277]	[139]	[185357872]	[185357872]
133_10475	chr5	8457290	8457690	+	1000	59.0	[14.173678]	[111]	[11.842608]	[111]	[8457471]	[8457471]
133_10478	chr5	68344401	68344801	+	1000	59.0	[9.106386]	[149]	[]	[]	[68344622]	[]
133_10487	chr5	172156602	172157002	+	1000	59.0	[]	[]	[7.57549]	[90]	[]	[172156781]
133_10521	chr6	150252936	150253336	+	1000	59.0	[6.301925, 11.842608]	[105, 118]	[9.213665, 8.007392, 14.173678]	[105, 106, 118]	[150253119, 150253132]	[150253119, 150253120, 150253132]
133_10528	chr7	38215759	38216159	+	1000	59.0	[10.243763]	[77]	[8.446286, 8.031247]	[77, 131]	[38215936]	[38215936, 38215990]
133_10533	chr7	100958070	100958470	+	1000	59.0	[]	[]	[7.4115434]	[99]	[]	[100958265]
133_10544	chr7	133134821	133135221	+	1000	59.0	[14.173678]	[84]	[11.842608]	[84]	[133134997]	[133134997]
133_10547	chr7	148697357	148697757	+	1000	59.0	[]	[]	[6.8921194]	[83]	[]	[148697531]
133_1057	chr7	139916069	139916469	+	1000	225.0	[]	[]	[7.57549]	[64]	[]	[139916225]
133_10589	chr1	11012348	11012748	+	771	58.0	[9.288357]	[100]	[8.70695]	[100]	[11012527]	[11012527]
133_10593	chr1	23964746	23965146	+	1000	58.0	[15.901753]	[107]	[8.538297]	[107]	[23964945]	[23964945]
133_10594	chr1	28395219	28395619	+	1000	58.0	[]	[]	[10.196432]	[92]	[]	[28395407]
133_10601	chr1	51750182	51750582	+	1000	58.0	[]	[]	[8.232476]	[94]	[]	[51750372]
133_10603	chr1	53238273	53238673	+	1000	58.0	[11.016432]	[129]	[]	[]	[53238477]	[]
133_10608	chr1	68291979	68292379	+	845	58.0	[]	[]	[9.942509]	[153]	[]	[68292224]
133_10616	chr1	110003773	110004173	+	1000	58.0	[8.858079]	[82]	[]	[]	[110003952]	[]
133_10625	chr1	212242251	212242651	+	1000	58.0	[6.957288]	[101]	[11.03802]	[101]	[212242426]	[212242426]
133_1064	chr3	42836563	42836963	+	1000	224.0	[8.03]	[115]	[]	[]	[42836776]	[]
133_10653	chr11	61963363	61963763	+	1000	58.0	[6.562315]	[78]	[10.311713]	[78]	[61963518]	[61963518]
133_10654	chr11	64204518	64204918	+	1000	58.0	[11.437455]	[76]	[]	[]	[64204692]	[]
133_10671	chr14	75934915	75935315	+	1000	58.0	[8.496579]	[144]	[]	[]	[75935131]	[]
133_10679	chr15	88900642	88901042	+	1000	58.0	[]	[]	[8.735476]	[75]	[]	[88900797]
133_10682	chr15	95972151	95972551	+	1000	58.0	[9.942509]	[56]	[]	[]	[95972307]	[]
133_1069	chr9	88161167	88161567	+	1000	224.0	[8.515688]	[120]	[11.750599]	[120]	[88161381]	[88161381]
133_10702	chr17	56960851	56961251	+	702	58.0	[]	[]	[6.470305]	[139]	[]	[56961003]
133_10726	chr2	33437279	33437679	+	1000	58.0	[]	[]	[7.4858007]	[132]	[]	[33437448]
133_10753	chr22	21854584	21854984	+	1000	58.0	[]	[]	[7.5888314]	[136]	[]	[21854810]
133_10755	chr22	23236238	23236638	+	1000	58.0	[6.7911124]	[160]	[9.761809]	[160]	[23236476]	[23236476]
133_10765	chr3	43695448	43695848	+	1000	58.0	[9.761809]	[184]	[6.7911124]	[184]	[43695694]	[43695694]
133_10769	chr3	171460272	171460672	+	1000	58.0	[6.301925]	[122]	[9.213665]	[122]	[171460482]	[171460482]
133_10772	chr3	193655806	193656206	+	1000	58.0	[12.597441]	[117]	[10.266372]	[117]	[193656004]	[193656004]
133_10801	chr5	180704361	180704761	+	1000	58.0	[7.225411]	[73]	[]	[]	[180704520]	[]
133_10811	chr6	41940126	41940526	+	1000	58.0	[11.842608]	[125]	[14.173678]	[125]	[41940314]	[41940314]
133_10816	chr6	129677521	129677921	+	1000	58.0	[10.243763]	[95]	[8.446286]	[95]	[129677700]	[129677700]
133_1083	chr11	2303607	2304007	+	1000	222.0	[10.7095785]	[157]	[]	[]	[2303856]	[]
133_10830	chr7	54759144	54759544	+	1000	58.0	[11.842608]	[114]	[14.173678]	[114]	[54759332]	[54759332]
133_1086	chr19	980461	980861	+	1000	222.0	[14.173678]	[89]	[11.842608]	[89]	[980645]	[980645]
133_10863	chr9	99092859	99093259	+	1000	58.0	[10.218532, 10.243763, 11.842608]	[73, 98, 143]	[8.446286, 14.173678]	[98, 143]	[99093027, 99093052, 99093097]	[99093052, 99093097]
133_10865	chr9	109119916	109120316	+	734	58.0	[6.957288]	[133]	[11.03802]	[133]	[109120146]	[109120146]
133_10866	chr9	112095266	112095666	+	1000	58.0	[7.4115434, 15.901753]	[110, 149]	[10.621459, 8.538297]	[134, 149]	[112095447, 112095486]	[112095471, 112095486]
133_1087	chr22	27846972	27847372	+	1000	222.0	[13.5706835, 12.55011]	[130, 139]	[10.869366]	[130]	[27847196, 27847205]	[27847196]
133_10872	chr9	130851335	130851735	+	1000	58.0	[6.136779]	[178]	[]	[]	[130851529]	[]
133_10877	chr9	131215477	131215877	+	1000	58.0	[]	[]	[8.185572]	[90]	[]	[131215647]
133_10884	chrX	132017103	132017503	+	1000	58.0	[]	[]	[8.214434]	[149]	[]	[132017347]
133_10888	chr1	11803570	11803970	+	1000	57.0	[7.3783107]	[154]	[8.504869]	[154]	[11803811]	[11803811]
133_10906	chr1	51736719	51737119	+	1000	57.0	[6.8921194]	[122]	[]	[]	[51736892]	[]
133_10920	chr1	185317427	185317827	+	1000	57.0	[7.9580355]	[148]	[]	[]	[185317598]	[]
133_10922	chr1	207751653	207752053	+	1000	57.0	[]	[]	[8.468357]	[174]	[]	[207751863]
133_10925	chr1	223264512	223264912	+	1000	57.0	[6.6708803]	[112]	[6.6278257]	[112]	[223264714]	[223264714]
133_10927	chr1	230144725	230145125	+	1000	57.0	[]	[]	[7.485917]	[106]	[]	[230144897]
133_10939	chr10	21929003	21929403	+	1000	57.0	[13.548076]	[121]	[6.7182117]	[121]	[21929197]	[21929197]
133_10946	chr10	63573296	63573696	+	874	57.0	[12.597441]	[124]	[10.266372, 6.8921194]	[124, 198]	[63573451]	[63573451, 63573525]
133_10981	chr13	109792683	109793083	+	1000	57.0	[12.597441]	[120]	[10.266372]	[120]	[109792893]	[109792893]
133_10992	chr15	90301295	90301695	+	1000	57.0	[]	[]	[10.36107]	[108]	[]	[90301457]
133_10996	chr16	29790356	29790756	+	1000	57.0	[]	[]	[7.806082]	[173]	[]	[29790603]
133_11	chr10	50326829	50327229	+	1000	641.0	[6.7182117]	[111]	[13.548076]	[111]	[50327038]	[50327038]
133_110	chr6	134195577	134195977	+	1000	459.0	[14.173678]	[98]	[11.842608]	[98]	[134195774]	[134195774]
133_11004	chr17	14331671	14332071	+	1000	57.0	[10.243763, 8.03]	[93, 118]	[8.446286, 8.03]	[93, 119]	[14331844, 14331869]	[14331844, 14331870]
133_11016	chr17	75951127	75951527	+	1000	57.0	[10.243763, 8.490457]	[78, 98]	[8.446286]	[78]	[75951297, 75951317]	[75951297]
133_11017	chr17	76353911	76354311	+	944	57.0	[]	[]	[10.94174]	[148]	[]	[76354096]
133_11025	chr19	3500599	3500999	+	1000	57.0	[]	[]	[8.785794]	[142]	[]	[3500820]
133_11030	chr19	12791330	12791730	+	992	57.0	[6.573722]	[139]	[]	[]	[12791550]	[]
133_11036	chr19	47729987	47730387	+	1000	57.0	[6.1738005]	[106]	[9.70938]	[106]	[47730190]	[47730190]
133_11046	chr2	84905139	84905539	+	1000	57.0	[11.820001]	[143]	[10.022524]	[143]	[84905373]	[84905373]
133_11047	chr2	85540005	85540405	+	1000	57.0	[14.173678]	[143]	[11.842608]	[143]	[85540210]	[85540210]
133_11054	chr2	170361309	170361709	+	1000	57.0	[]	[]	[7.8886337, 8.085812]	[68, 91]	[]	[170361465, 170361488]
133_11057	chr20	32334256	32334656	+	1000	57.0	[8.446286]	[162]	[10.243763]	[162]	[32334479]	[32334479]
133_11058	chr20	32642262	32642662	+	1000	57.0	[7.627919, 6.152699]	[93, 139]	[]	[]	[32642433, 32642479]	[]
133_1106	chr13	99053565	99053965	+	1000	220.0	[8.138241]	[57]	[]	[]	[99053721]	[]
133_11060	chr20	36605377	36605777	+	1000	57.0	[6.2977095]	[106]	[]	[]	[36605578]	[]
133_11061	chr20	38084624	38085024	+	1000	57.0	[6.552134, 6.8921194]	[61, 87]	[11.437455]	[132]	[38084780, 38084806]	[38084851]
133_11062	chr21	14452139	14452539	+	1000	57.0	[9.029213]	[82]	[]	[]	[14452318]	[]
133_11080	chr3	15601393	15601793	+	1000	57.0	[6.279317]	[161]	[]	[]	[15601636]	[]
133_1109	chr3	171192447	171192847	+	1000	220.0	[]	[]	[11.437455]	[144]	[]	[171192684]
133_11091	chr3	71231660	71232060	+	1000	57.0	[13.5706835]	[74]	[10.869366]	[74]	[71231831]	[71231831]
133_11092	chr3	99817374	99817774	+	1000	57.0	[]	[]	[10.763187]	[99]	[]	[99817568]
133_111	chr19	38676142	38676542	+	1000	457.0	[7.9806437, 11.842608]	[65, 80]	[8.893384, 14.173678]	[65, 80]	[38676303, 38676318]	[38676303, 38676318]
133_11100	chr3	182921669	182922069	+	1000	57.0	[8.70695]	[77]	[9.288357]	[77]	[182921826]	[182921826]
133_11103	chr4	27350149	27350549	+	1000	57.0	[8.446286]	[107]	[10.243763]	[107]	[27350349]	[27350349]
133_11113	chr5	10501597	10501997	+	1000	57.0	[10.243763]	[87]	[8.446286]	[87]	[10501776]	[10501776]
133_11120	chr5	91190184	91190584	+	1000	57.0	[13.5706835]	[85]	[10.869366]	[85]	[91190364]	[91190364]
133_11122	chr5	112914619	112915019	+	1000	57.0	[6.8825955]	[135]	[8.632995]	[135]	[112914843]	[112914843]
133_11125	chr5	139482166	139482566	+	1000	57.0	[]	[]	[7.879267]	[137]	[]	[139482383]
133_11131	chr6	511748	512148	+	1000	57.0	[6.4220033, 6.7911124]	[131, 160]	[9.761809]	[160]	[511951, 511980]	[511980]
133_11164	chr7	16265265	16265665	+	1000	57.0	[6.4991045]	[156]	[]	[]	[16265497]	[]
133_11167	chr7	50227824	50228224	+	958	57.0	[10.266372]	[119]	[12.597441]	[119]	[50228042]	[50228042]
133_11173	chr7	102464824	102465224	+	564	57.0	[6.152699]	[119]	[]	[]	[102465009]	[]
133_11177	chr7	106285618	106286018	+	1000	57.0	[]	[]	[6.151192]	[151]	[]	[106285839]
133_11179	chr7	112538859	112539259	+	1000	57.0	[14.173678]	[96]	[11.842608]	[96]	[112539050]	[112539050]
133_1118	chr10	125816527	125816927	+	1000	219.0	[7.57549]	[83]	[]	[]	[125816706]	[]
133_11195	chr8	67062031	67062431	+	1000	57.0	[]	[]	[7.9580355, 6.470305]	[58, 138]	[]	[67062183, 67062263]
133_1120	chr13	42259503	42259903	+	1000	219.0	[8.538297]	[107]	[15.901753]	[107]	[42259703]	[42259703]
133_11200	chr9	128150420	128150820	+	1000	57.0	[6.704043]	[239]	[11.382891]	[239]	[128150664]	[128150664]
133_11202	chr9	128733229	128733629	+	1000	57.0	[8.504869]	[68]	[7.3783107]	[68]	[128733394]	[128733394]
133_11222	chr1	10415364	10415764	+	1000	56.0	[]	[]	[7.887462]	[141]	[]	[10415591]
133_11235	chr1	39385466	39385866	+	1000	56.0	[9.761809]	[81]	[6.7911124]	[81]	[39385647]	[39385647]
133_11246	chr1	116574500	116574900	+	1000	56.0	[9.708719, 6.3817983]	[107, 196]	[]	[]	[116574653, 116574742]	[]
133_1125	chr22	21982645	21983045	+	1000	219.0	[]	[]	[8.684342]	[149]	[]	[21982893]
133_11250	chr1	161202086	161202486	+	1000	56.0	[11.016432, 8.085812]	[134, 171]	[]	[]	[161202279, 161202316]	[]
133_11254	chr1	173818408	173818808	+	1000	56.0	[11.842608]	[114]	[14.173678]	[114]	[173818597]	[173818597]
133_11263	chr1	207077794	207078194	+	1000	56.0	[]	[]	[8.588062]	[101]	[]	[207077987]
133_11273	chr1	241519788	241520188	+	747	56.0	[]	[]	[7.686224, 12.766095]	[73, 97]	[]	[241519959, 241519983]
133_11281	chr10	21724582	21724982	+	1000	56.0	[8.538297, 7.4115434]	[96, 124]	[15.901753]	[96]	[21724737, 21724765]	[21724737]
133_11288	chr10	63629996	63630396	+	1000	56.0	[7.154467, 6.901222]	[124, 142]	[]	[]	[63630216, 63630234]	[]
133_11302	chr11	61332903	61333303	+	1000	56.0	[]	[]	[7.880774]	[151]	[]	[61333150]
133_11310	chr11	112025211	112025611	+	958	56.0	[]	[]	[7.880774]	[163]	[]	[112025412]
133_11319	chr12	71839640	71840040	+	1000	56.0	[11.03802]	[104]	[6.957288]	[104]	[71839824]	[71839824]
133_11329	chr14	24188765	24189165	+	946	56.0	[7.485917]	[56]	[]	[]	[24188921]	[]
133_11334	chr14	73058204	73058604	+	842	56.0	[]	[]	[8.255085]	[90]	[]	[73058388]
133_11349	chr16	2603158	2603558	+	1000	56.0	[6.6278257]	[93]	[6.6708803]	[93]	[2603330]	[2603330]
133_11352	chr16	30957344	30957744	+	1000	56.0	[7.1081047]	[155]	[]	[]	[30957550]	[]
133_11371	chr17	59707192	59707592	+	1000	56.0	[]	[]	[9.083777]	[156]	[]	[59707408]
133_11376	chr17	82457847	82458247	+	1000	56.0	[]	[]	[12.766095, 6.438388]	[121, 178]	[]	[82458005, 82458062]
133_11379	chr18	50358805	50359205	+	969	56.0	[6.37098]	[121]	[]	[]	[50359022]	[]
133_11404	chr2	69816922	69817322	+	1000	56.0	[15.901753]	[124]	[8.538297]	[124]	[69817143]	[69817143]
133_1141	chr4	94550340	94550740	+	1000	218.0	[10.243763]	[89]	[8.446286]	[89]	[94550520]	[94550520]
133_11410	chr2	144942711	144943111	+	1000	56.0	[14.173678]	[122]	[11.842608]	[122]	[144942918]	[144942918]
133_11412	chr2	152166571	152166971	+	1000	56.0	[]	[]	[6.469334]	[122]	[]	[152166776]
133_11429	chr22	20428939	20429339	+	1000	56.0	[7.879267]	[200]	[]	[]	[20429163]	[]
133_11434	chr22	21809972	21810372	+	1000	56.0	[6.9710217]	[228]	[7.0094256, 6.438388]	[168, 210]	[21810214]	[21810154, 21810196]
133_1145	chr17	81821737	81822137	+	1000	217.0	[6.7182117, 11.842608]	[107, 122]	[13.548076, 14.173678]	[107, 122]	[81821942, 81821957]	[81821942, 81821957]
133_11454	chr3	37240562	37240962	+	1000	56.0	[8.446286]	[158]	[10.243763]	[158]	[37240798]	[37240798]
133_11471	chr4	6732586	6732986	+	1000	56.0	[]	[]	[6.881301, 6.8068504]	[80, 125]	[]	[6732754, 6732799]
133_11472	chr4	23001502	23001902	+	1000	56.0	[6.8921194]	[61]	[]	[]	[23001654]	[]
133_11473	chr4	48212190	48212590	+	1000	56.0	[]	[]	[7.485917]	[102]	[]	[48212386]
133_11483	chr4	158809775	158810175	+	1000	56.0	[6.1742854]	[63]	[]	[]	[158809935]	[]
133_11489	chr5	78530397	78530797	+	1000	56.0	[13.548076]	[118]	[6.7182117]	[118]	[78530594]	[78530594]
133_11491	chr5	95554834	95555234	+	1000	56.0	[8.007392]	[98]	[]	[]	[95554994]	[]
133_1150	chr5	112878753	112879153	+	1000	217.0	[14.173678]	[151]	[11.842608]	[151]	[112878996]	[112878996]
133_11504	chr6	27131808	27132208	+	1000	56.0	[6.650434]	[94]	[10.822035]	[94]	[27131962]	[27131962]
133_11509	chr6	31733980	31734380	+	1000	56.0	[6.9710217]	[136]	[]	[]	[31734204]	[]
133_11521	chr6	145749581	145749981	+	1000	56.0	[8.446286]	[95]	[10.243763]	[95]	[145749741]	[145749741]
133_11539	chr7	129091515	129091915	+	1000	56.0	[]	[]	[12.55011]	[172]	[]	[129091758]
133_11564	chr8	145052258	145052658	+	1000	56.0	[]	[]	[7.082873]	[74]	[]	[145052426]
133_11566	chr9	14433240	14433640	+	1000	56.0	[]	[]	[8.214434]	[128]	[]	[14433459]
133_11575	chr9	132944447	132944847	+	1000	56.0	[]	[]	[6.8476133]	[92]	[]	[132944604]
133_11592	chr1	29425678	29426078	+	708	55.0	[14.173678]	[127]	[11.842608]	[127]	[29425879]	[29425879]
133_11594	chr1	33036075	33036475	+	1000	55.0	[7.3783107]	[170]	[8.504869]	[170]	[33036321]	[33036321]
133_11603	chr1	95072698	95073098	+	1000	55.0	[]	[]	[6.8599873]	[218]	[]	[95072925]
133_11607	chr1	110875335	110875735	+	1000	55.0	[14.173678]	[105]	[11.842608, 6.7241893]	[105, 177]	[110875513]	[110875513, 110875585]
133_1161	chr4	105963477	105963877	+	1000	216.0	[11.842608]	[87]	[14.173678]	[87]	[105963658]	[105963658]
133_11611	chr1	156728778	156729178	+	1000	55.0	[8.468357]	[166]	[]	[]	[156728952]	[]
133_11614	chr1	173431164	173431564	+	1000	55.0	[]	[]	[9.083777]	[119]	[]	[173431359]
133_11618	chr1	183580123	183580523	+	1000	55.0	[11.842608, 9.136207]	[94, 115]	[14.173678]	[94]	[183580314, 183580335]	[183580314]
133_11619	chr1	190602341	190602741	+	1000	55.0	[13.5706835]	[93]	[10.869366]	[93]	[190602512]	[190602512]
133_11642	chr11	59616141	59616541	+	1000	55.0	[8.446286]	[114]	[10.243763]	[114]	[59616333]	[59616333]
133_11647	chr11	71928644	71929044	+	1000	55.0	[15.901753]	[115]	[8.538297]	[115]	[71928837]	[71928837]
133_11651	chr11	117171778	117172178	+	1000	55.0	[]	[]	[6.152699]	[114]	[]	[117171968]
133_11652	chr11	130894258	130894658	+	1000	55.0	[7.4115434]	[72]	[]	[]	[130894409]	[]
133_11653	chr12	389131	389531	+	1000	55.0	[6.136779]	[76]	[]	[]	[389298]	[]
133_11656	chr12	26831813	26832213	+	1000	55.0	[11.016432]	[78]	[]	[]	[26831981]	[]
133_11668	chr12	88142030	88142430	+	1000	55.0	[]	[]	[7.879267]	[146]	[]	[88142249]
133_11671	chr12	102317115	102317515	+	1000	55.0	[13.5706835]	[90]	[10.869366, 6.8068504]	[90, 99]	[102317301]	[102317301, 102317310]
133_11693	chr15	51692166	51692566	+	1000	55.0	[14.173678]	[120]	[11.842608]	[120]	[51692380]	[51692380]
133_11694	chr15	65517517	65517917	+	890	55.0	[7.57549]	[136]	[]	[]	[65517732]	[]
133_11698	chr16	23557344	23557744	+	1000	55.0	[6.5397067]	[186]	[6.1605587]	[186]	[23557537]	[23557537]
133_117	chr6	133957904	133958304	+	1000	450.0	[8.538297]	[115]	[15.901753]	[115]	[133958118]	[133958118]
133_11703	chr16	81752121	81752521	+	1000	55.0	[15.901753]	[104]	[8.538297]	[104]	[81752301]	[81752301]
133_11708	chr16	89383045	89383445	+	1000	55.0	[8.632995]	[157]	[6.8825955]	[157]	[89383291]	[89383291]
133_11712	chr17	29723729	29724129	+	1000	55.0	[8.446286]	[87]	[10.243763, 9.083777]	[87, 134]	[29723897]	[29723897, 29723944]
133_11723	chr17	77571499	77571899	+	1000	55.0	[7.3783107]	[168]	[8.504869]	[168]	[77571744]	[77571744]
133_11726	chr18	9684827	9685227	+	1000	55.0	[11.842608]	[127]	[14.173678, 8.138241]	[127, 172]	[9685030]	[9685030, 9685075]
133_11730	chr19	7903306	7903706	+	1000	55.0	[14.173678]	[219]	[11.842608]	[219]	[7903533]	[7903533]
133_11735	chr19	17932596	17932996	+	1000	55.0	[]	[]	[6.2977095]	[108]	[]	[17932765]
133_11737	chr19	43950943	43951343	+	1000	55.0	[6.7182117]	[112]	[13.548076]	[112]	[43951142]	[43951142]
133_11738	chr19	44164798	44165198	+	1000	55.0	[6.7182117]	[173]	[8.007392, 9.158815, 13.548076]	[99, 123, 173]	[44165045]	[44164971, 44164995, 44165045]
