#PeakID(python identify_motif.py ./ENCODE_processed_files/ELK1_idr.fa ELK1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
120_1124	chr3	196942403	196942803	+	1000	59.0	[7.353675, 5.418713]	[98, 104]	[6.8277817]	[185]	[196942561, 196942567]	[196942648]
120_1125	chr5	150449607	150450007	+	1000	59.0	[12.6155815, 8.524351]	[86, 126]	[7.866587, 6.771575]	[76, 123]	[150449778, 150449818]	[150449768, 150449815]
120_1128	chr7	135977171	135977571	+	1000	59.0	[]	[]	[16.446117, 6.1569576]	[92, 127]	[]	[135977356, 135977391]
120_1130	chr8	103415160	103415560	+	1000	59.0	[9.986728, 11.900691, 6.1042967]	[93, 113, 146]	[]	[]	[103415342, 103415362, 103415395]	[]
120_1131	chr8	116755664	116756064	+	1000	59.0	[13.681358, 11.900691]	[73, 79]	[]	[]	[116755835, 116755841]	[]
120_1135	chr1	28926859	28927259	+	1000	58.0	[5.87242]	[154]	[]	[]	[28927095]	[]
120_1141	chr14	23095277	23095677	+	1000	58.0	[14.663861]	[141]	[9.833254]	[84]	[23095494]	[23095437]
120_1143	chr15	34969587	34969987	+	1000	58.0	[14.663861]	[141]	[]	[]	[34969818]	[]
120_1144	chr16	684240	684640	+	1000	58.0	[12.6155815, 7.5894604]	[92, 118]	[]	[]	[684431, 684457]	[]
120_1145	chr16	4615992	4616392	+	1000	58.0	[10.946643]	[170]	[]	[]	[4616211]	[]
120_1146	chr16	30650252	30650652	+	1000	58.0	[11.419997]	[93]	[]	[]	[30650429]	[]
120_1148	chr19	8832110	8832510	+	1000	58.0	[]	[]	[9.135932, 13.681358, 9.833897]	[103, 109, 143]	[]	[8832312, 8832318, 8832352]
120_1151	chr2	75710534	75710934	+	1000	58.0	[16.446117]	[129]	[]	[]	[75710746]	[]
120_1156	chr3	14178602	14179002	+	1000	58.0	[]	[]	[12.7289, 7.0684943]	[78, 102]	[]	[14178771, 14178795]
120_1158	chr3	39051817	39052217	+	1000	58.0	[13.550472, 5.4489355]	[108, 154]	[7.1942153]	[105]	[39051993, 39052039]	[39051990]
120_1160	chr5	271396	271796	+	1000	58.0	[12.6155815]	[132]	[]	[]	[271609]	[]
120_1163	chr5	80407656	80408056	+	1000	58.0	[]	[]	[16.446117]	[122]	[]	[80407875]
120_1166	chr6	34887874	34888274	+	1000	58.0	[]	[]	[10.702384]	[71]	[]	[34888043]
120_1167	chr6	69796658	69797058	+	1000	58.0	[8.145725]	[126]	[13.681358]	[145]	[69796867]	[69796886]
120_1170	chr7	44044458	44044858	+	1000	58.0	[9.8508215]	[140]	[8.183473, 6.155368, 9.96414]	[58, 64, 84]	[44044696]	[44044614, 44044620, 44044640]
120_1171	chr7	100611982	100612382	+	1000	58.0	[10.118435]	[124]	[]	[]	[100612159]	[]
120_1172	chr8	9002686	9003086	+	1000	58.0	[12.6155815]	[133]	[]	[]	[9002904]	[]
120_1173	chr9	92115231	92115631	+	1000	58.0	[8.720509]	[70]	[8.720509]	[67]	[92115386]	[92115383]
120_1176	chr1	17053966	17054366	+	1000	57.0	[]	[]	[13.681358]	[87]	[]	[17054153]
120_118	chr19	42325265	42325665	+	1000	151.0	[12.6155815]	[98]	[]	[]	[42325446]	[]
120_1180	chr1	155857012	155857412	+	1000	57.0	[16.446117]	[87]	[]	[]	[155857195]	[]
120_1181	chr1	204411642	204412042	+	1000	57.0	[9.63774]	[133]	[]	[]	[204411858]	[]
120_1183	chr11	68271861	68272261	+	1000	57.0	[14.663861]	[167]	[]	[]	[68272080]	[]
120_1184	chr11	69675163	69675563	+	1000	57.0	[10.785713]	[115]	[13.550472]	[112]	[69675351]	[69675348]
120_1185	chr11	74170982	74171382	+	1000	57.0	[8.312699]	[90]	[11.616154, 16.446117]	[62, 154]	[74171162]	[74171134, 74171226]
120_1186	chr12	75511417	75511817	+	1000	57.0	[9.833254]	[115]	[13.681358]	[103]	[75511619]	[75511607]
120_1189	chr19	507238	507638	+	1000	57.0	[]	[]	[13.681358]	[169]	[]	[507479]
120_1190	chr19	2273644	2274044	+	1000	57.0	[]	[]	[14.663861, 9.8508215]	[96, 123]	[]	[2273818, 2273845]
120_1191	chr19	35931531	35931931	+	1000	57.0	[7.8849635]	[91]	[]	[]	[35931715]	[]
120_1192	chr19	39391185	39391585	+	1000	57.0	[]	[]	[14.663861]	[113]	[]	[39391398]
120_1194	chr19	47244067	47244467	+	1000	57.0	[]	[]	[10.785713]	[142]	[]	[47244260]
120_1195	chr19	49580446	49580846	+	1000	57.0	[16.446117, 9.005046, 7.0684943]	[94, 118, 168]	[10.118435]	[74]	[49580623, 49580647, 49580697]	[49580603]
120_1196	chr19	51571043	51571443	+	1000	57.0	[16.446117]	[136]	[]	[]	[51571264]	[]
120_1197	chr2	73926651	73927051	+	1000	57.0	[10.118435, 10.118435]	[121, 136]	[]	[]	[73926862, 73926877]	[]
120_1198	chr2	177618548	177618948	+	1000	57.0	[9.96414, 6.671003]	[121, 127]	[]	[]	[177618755, 177618761]	[]
120_1200	chr22	23223864	23224264	+	1000	57.0	[5.676263]	[210]	[]	[]	[23224100]	[]
120_1203	chr4	82891060	82891460	+	1000	57.0	[]	[]	[12.6155815, 12.6155815]	[108, 161]	[]	[82891241, 82891294]
120_1204	chr5	131635385	131635785	+	1000	57.0	[10.785713, 9.005046]	[83, 155]	[]	[]	[131635544, 131635616]	[]
120_1206	chr6	33276877	33277277	+	1000	57.0	[]	[]	[11.899101]	[106]	[]	[33277080]
120_1208	chr6	166342403	166342803	+	1000	57.0	[14.663861]	[85]	[7.9376245]	[106]	[166342571]	[166342592]
120_1210	chr7	2242011	2242411	+	1000	57.0	[14.663861, 9.8508215]	[93, 134]	[16.446117]	[112]	[2242197, 2242238]	[2242216]
120_1211	chr7	100705836	100706236	+	1000	57.0	[12.6155815, 8.932364]	[106, 173]	[]	[]	[100706001, 100706068]	[]
120_1213	chr9	95875729	95876129	+	1000	57.0	[14.663861]	[121]	[7.221968]	[86]	[95875931]	[95875896]
120_1215	chrX	65534745	65535145	+	1000	57.0	[14.663861]	[80]	[]	[]	[65534922]	[]
120_1219	chr1	231528457	231528857	+	1000	56.0	[14.663861]	[102]	[14.663861]	[123]	[231528644]	[231528665]
120_1224	chr19	3762470	3762870	+	1000	56.0	[7.0684943]	[139]	[8.524351]	[136]	[3762663]	[3762660]
120_1225	chr19	9818600	9819000	+	1000	56.0	[7.579411]	[108]	[11.900691, 13.681358]	[150, 156]	[9818788]	[9818830, 9818836]
120_1233	chr22	20393714	20394114	+	1000	56.0	[]	[]	[6.0021086]	[180]	[]	[20393941]
120_1234	chr3	139343773	139344173	+	1000	56.0	[]	[]	[14.663861]	[129]	[]	[139343998]
120_1236	chr4	83455652	83456052	+	1000	56.0	[13.681358]	[88]	[]	[]	[83455835]	[]
120_1238	chr4	151099325	151099725	+	1000	56.0	[6.7590513, 9.63774]	[133, 148]	[]	[]	[151099529, 151099544]	[]
120_124	chr1	151165828	151166228	+	1000	148.0	[12.6155815, 5.676263]	[100, 119]	[9.833254]	[63]	[151166023, 151166042]	[151165986]
120_1240	chr5	173853344	173853744	+	1000	56.0	[]	[]	[8.876061]	[133]	[]	[173853559]
120_1242	chr7	144835880	144836280	+	1000	56.0	[5.5428443]	[145]	[9.8508215]	[135]	[144836120]	[144836110]
120_1243	chr8	143267204	143267604	+	1000	56.0	[12.6155815]	[129]	[9.914867]	[173]	[143267401]	[143267445]
120_1244	chr9	37465288	37465688	+	1000	56.0	[11.900691]	[85]	[]	[]	[37465439]	[]
120_1249	chrX	118345733	118346133	+	1000	56.0	[]	[]	[14.663861]	[111]	[]	[118345942]
120_125	chr7	129054901	129055301	+	1000	148.0	[13.681358]	[121]	[10.118435]	[153]	[129055118]	[129055150]
120_1253	chr1	95072746	95073146	+	1000	55.0	[]	[]	[12.6155815]	[111]	[]	[95072923]
120_1257	chr1	151399288	151399688	+	1000	55.0	[8.204471]	[108]	[11.900691]	[155]	[151399487]	[151399534]
120_126	chr6	31665687	31666087	+	1000	147.0	[]	[]	[9.135932, 13.681358]	[88, 94]	[]	[31665864, 31665870]
120_1260	chr1	172443925	172444325	+	1000	55.0	[]	[]	[12.6155815, 10.089861]	[62, 157]	[]	[172444078, 172444173]
120_1263	chr1	200620630	200621030	+	1000	55.0	[12.6155815]	[124]	[6.4609184]	[130]	[200620820]	[200620826]
120_1264	chr1	235367255	235367655	+	1000	55.0	[]	[]	[14.663861]	[83]	[]	[235367420]
120_1266	chr10	12195958	12196358	+	1000	55.0	[11.419997]	[94]	[12.6155815, 8.601443]	[131, 152]	[12196132]	[12196169, 12196190]
120_127	chr17	38825167	38825567	+	1000	146.0	[]	[]	[12.6155815]	[72]	[]	[38825329]
120_1270	chr12	49567932	49568332	+	1000	55.0	[]	[]	[16.446117, 11.419997]	[124, 157]	[]	[49568133, 49568166]
120_1272	chr14	58297732	58298132	+	1000	55.0	[]	[]	[16.446117]	[71]	[]	[58297883]
120_1274	chr16	67872845	67873245	+	1000	55.0	[5.8366838, 14.663861]	[72, 127]	[7.353675, 5.8366838]	[58, 101]	[67873014, 67873069]	[67873000, 67873043]
120_1275	chr16	70298979	70299379	+	1000	55.0	[]	[]	[13.681358]	[108]	[]	[70299175]
120_1277	chr17	43483692	43484092	+	1000	55.0	[]	[]	[10.702384]	[109]	[]	[43483865]
120_1278	chr17	63446184	63446584	+	1000	55.0	[16.446117]	[103]	[]	[]	[63446370]	[]
120_1279	chr17	80414942	80415342	+	1000	55.0	[13.550472]	[119]	[10.785713]	[116]	[80415155]	[80415152]
120_1280	chr17	81860884	81861284	+	1000	55.0	[16.446117]	[108]	[10.946643]	[129]	[81861076]	[81861097]
120_1281	chr19	9435372	9435772	+	1000	55.0	[5.9205213]	[90]	[10.118435]	[121]	[9435559]	[9435590]
120_1285	chr3	47380787	47381187	+	1000	55.0	[]	[]	[8.312699, 14.663861]	[78, 125]	[]	[47380955, 47381002]
120_1287	chr4	17810547	17810947	+	1000	55.0	[]	[]	[14.663861]	[109]	[]	[17810752]
120_1288	chr4	152779730	152780130	+	1000	55.0	[]	[]	[16.446117, 14.663861]	[129, 144]	[]	[152779945, 152779960]
120_1289	chr5	60700025	60700425	+	1000	55.0	[12.7289]	[90]	[]	[]	[60700215]	[]
120_1291	chr6	26123668	26124068	+	1000	55.0	[6.210763]	[161]	[]	[]	[26123913]	[]
120_1292	chr6	26285410	26285810	+	1000	55.0	[12.43198]	[97]	[]	[]	[26285605]	[]
120_1295	chr7	39949319	39949719	+	1000	55.0	[11.899101]	[65]	[16.446117]	[96]	[39949478]	[39949509]
120_1299	chr9	4679350	4679750	+	1000	55.0	[16.446117]	[100]	[]	[]	[4679539]	[]
120_1301	chr1	1324454	1324854	+	1000	54.0	[8.181883]	[163]	[16.446117]	[148]	[1324699]	[1324684]
120_1302	chr1	10472396	10472796	+	1000	54.0	[8.181883]	[156]	[]	[]	[10472647]	[]
120_1303	chr10	43138224	43138624	+	1000	54.0	[14.663861]	[109]	[]	[]	[43138433]	[]
120_1304	chr10	73785276	73785676	+	1000	54.0	[]	[]	[6.0021086]	[218]	[]	[73785502]
120_1305	chr11	111978375	111978775	+	704	54.0	[]	[]	[6.0021086]	[113]	[]	[111978571]
120_1309	chr15	74695848	74696248	+	1000	54.0	[11.899101]	[60]	[14.663861]	[102]	[74696008]	[74696050]
120_1311	chr16	67191876	67192276	+	1000	54.0	[6.1698327, 7.1501074, 9.135932]	[99, 163, 169]	[]	[]	[67192046, 67192110, 67192116]	[]
120_1315	chr19	52189613	52190013	+	1000	54.0	[]	[]	[11.900691]	[126]	[]	[52189827]
120_1316	chr19	58182837	58183237	+	1000	54.0	[]	[]	[14.663861]	[172]	[]	[58183069]
120_1319	chr20	63658104	63658504	+	1000	54.0	[5.54794, 16.446117, 10.118435]	[84, 105, 118]	[]	[]	[63658275, 63658296, 63658309]	[]
120_132	chr5	170303115	170303515	+	1000	143.0	[]	[]	[10.702384]	[119]	[]	[170303323]
120_1322	chr3	185937825	185938225	+	1000	54.0	[12.329792]	[127]	[]	[]	[185938021]	[]
120_1323	chr4	4248046	4248446	+	1000	54.0	[9.914867]	[80]	[11.899101]	[104]	[4248224]	[4248248]
120_1324	chr4	25377046	25377446	+	1000	54.0	[14.663861]	[92]	[]	[]	[25377219]	[]
120_1325	chr4	183444439	183444839	+	1000	54.0	[10.118435]	[100]	[]	[]	[183444630]	[]
120_1329	chr6	3023807	3024207	+	1000	54.0	[]	[]	[5.7344956]	[123]	[]	[3024028]
120_1330	chr6	27133724	27134124	+	1000	54.0	[5.9138436]	[145]	[]	[]	[27133926]	[]
120_1331	chr6	35468187	35468587	+	1000	54.0	[]	[]	[7.7027783]	[178]	[]	[35468407]
120_1332	chr6	43516777	43517177	+	1000	54.0	[8.499255, 10.785713]	[71, 96]	[13.550472]	[93]	[43516939, 43516964]	[43516961]
120_1334	chr7	103344657	103345057	+	1000	54.0	[]	[]	[6.533397]	[112]	[]	[103344864]
120_134	chr22	19171470	19171870	+	1000	142.0	[]	[]	[6.6503706]	[127]	[]	[19171687]
120_1346	chr12	133080037	133080437	+	843	53.0	[]	[]	[9.63774]	[128]	[]	[133080234]
120_1348	chr15	41402320	41402720	+	1000	53.0	[]	[]	[5.6509423, 10.649723]	[111, 145]	[]	[41402514, 41402548]
120_135	chr6	27472928	27473328	+	1000	142.0	[]	[]	[16.446117]	[123]	[]	[27473123]
120_1350	chr15	75453772	75454172	+	1000	53.0	[]	[]	[12.6155815]	[85]	[]	[75453949]
120_1351	chr16	58392149	58392549	+	1000	53.0	[]	[]	[14.663861]	[129]	[]	[58392338]
120_1352	chr16	77190933	77191333	+	1000	53.0	[16.446117, 12.6155815]	[99, 128]	[]	[]	[77191127, 77191156]	[]
120_1357	chr19	58554797	58555197	+	1000	53.0	[6.0757227]	[108]	[5.418713, 9.8508215]	[130, 136]	[58554986]	[58555008, 58555014]
120_1358	chr2	27081185	27081585	+	1000	53.0	[]	[]	[6.6882463]	[145]	[]	[27081415]
120_1359	chr2	71068127	71068527	+	1000	53.0	[]	[]	[12.6155815]	[97]	[]	[71068311]
120_136	chr12	52069464	52069864	+	1000	141.0	[10.118435]	[119]	[]	[]	[52069682]	[]
120_1360	chr2	74472507	74472907	+	1000	53.0	[7.5894604, 10.118435]	[74, 92]	[14.663861]	[146]	[74472673, 74472691]	[74472745]
120_1361	chr2	186486003	186486403	+	1000	53.0	[]	[]	[9.8508215]	[80]	[]	[186486177]
120_1362	chr20	36236228	36236628	+	1000	53.0	[]	[]	[16.446117, 5.418713]	[161, 172]	[]	[36236461, 36236472]
120_1363	chr20	63865004	63865404	+	1000	53.0	[10.118435]	[122]	[]	[]	[63865219]	[]
120_1365	chr21	42879371	42879771	+	1000	53.0	[]	[]	[5.676263]	[94]	[]	[42879541]
120_1370	chr3	156555089	156555489	+	1000	53.0	[]	[]	[9.8508215, 13.550472]	[100, 131]	[]	[156555273, 156555304]
120_1372	chr4	15681592	15681992	+	1000	53.0	[14.663861]	[107]	[]	[]	[15681789]	[]
120_1373	chr6	27892892	27893292	+	1000	53.0	[6.9851656]	[85]	[]	[]	[27893067]	[]
120_1376	chr7	5425453	5425853	+	1000	53.0	[]	[]	[6.155368]	[99]	[]	[5425647]
120_1377	chr7	97117378	97117778	+	1000	53.0	[]	[]	[6.133603]	[95]	[]	[97117567]
120_1378	chr9	33025009	33025409	+	1000	53.0	[]	[]	[14.663861]	[119]	[]	[33025213]
120_138	chr6	157981349	157981749	+	1000	140.0	[]	[]	[6.2644196]	[88]	[]	[157981536]
120_1382	chrX	154516273	154516673	+	1000	53.0	[12.6155815]	[116]	[]	[]	[154516479]	[]
120_1385	chr1	110407598	110407998	+	1000	52.0	[]	[]	[7.1501074]	[92]	[]	[110407789]
120_1386	chr1	112619586	112619986	+	1000	52.0	[]	[]	[6.133603]	[56]	[]	[112619740]
120_1389	chr1	209784477	209784877	+	1000	52.0	[14.663861]	[87]	[6.116678]	[118]	[209784663]	[209784694]
120_1390	chr10	1056547	1056947	+	1000	52.0	[]	[]	[14.663861, 10.785713, 14.663861]	[82, 122, 159]	[]	[1056713, 1056753, 1056790]
120_1391	chr10	73730279	73730679	+	1000	52.0	[9.96414, 7.979905]	[140, 146]	[]	[]	[73730498, 73730504]	[]
120_1392	chr11	18634179	18634579	+	1000	52.0	[]	[]	[14.663861]	[128]	[]	[18634387]
120_1394	chr11	66480237	66480637	+	1000	52.0	[11.899101, 8.920127]	[97, 104]	[]	[]	[66480422, 66480429]	[]
120_1395	chr11	77994543	77994943	+	1000	52.0	[]	[]	[7.9376245]	[211]	[]	[77994787]
120_1396	chr11	103092018	103092418	+	1000	52.0	[12.6155815]	[83]	[9.66722]	[127]	[103092198]	[103092242]
120_14	chr19	12793428	12793828	+	1000	592.0	[9.135932]	[101]	[]	[]	[12793626]	[]
120_1400	chr15	66497623	66498023	+	1000	52.0	[6.133603]	[87]	[7.199311, 9.833897]	[84, 150]	[66497806]	[66497803, 66497869]
120_1403	chr15	75368435	75368835	+	1000	52.0	[8.720509]	[85]	[7.8849635]	[134]	[75368605]	[75368654]
120_1404	chr15	84654116	84654516	+	1000	52.0	[]	[]	[11.899101, 10.118435]	[87, 101]	[]	[84654285, 84654299]
120_1405	chr15	89243763	89244163	+	1000	52.0	[10.118435, 11.697124]	[76, 117]	[]	[]	[89243938, 89243979]	[]
120_1406	chr15	90929952	90930352	+	1000	52.0	[12.6155815]	[131]	[12.6155815]	[118]	[90930164]	[90930151]
120_1411	chr18	21600555	21600955	+	1000	52.0	[]	[]	[14.663861]	[111]	[]	[21600742]
120_1412	chr18	63422337	63422737	+	1000	52.0	[]	[]	[10.480907]	[122]	[]	[63422505]
120_1414	chr19	17267225	17267625	+	1000	52.0	[]	[]	[14.663861]	[142]	[]	[17267448]
120_1415	chr19	37210356	37210756	+	1000	52.0	[]	[]	[5.4413013, 16.446117]	[69, 75]	[]	[37210520, 37210526]
120_1416	chr19	44164838	44165238	+	1000	52.0	[]	[]	[14.663861, 10.118435]	[75, 148]	[]	[44165013, 44165086]
120_1417	chr19	44207252	44207652	+	1000	52.0	[7.8865533]	[83]	[11.900691]	[153]	[44207417]	[44207487]
120_1418	chr19	58499318	58499718	+	1000	52.0	[11.616154, 8.070155]	[107, 131]	[]	[]	[58499490, 58499514]	[]
120_1419	chr19	58558863	58559263	+	1000	52.0	[]	[]	[7.979905, 14.663861]	[105, 147]	[]	[58559049, 58559091]
