#PeakID(python identify_motif.py ./ENCODE_processed_files/CUX1_idr.fa CUX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
152_1129	chr7	111560598	111560998	+	1000	86.0	[10.203943, 10.203943]	[100, 119]	[6.0151424, 6.0151424]	[100, 119]	[111560796, 111560815]	[111560796, 111560815]
152_113	chr11	111604417	111604817	+	1000	213.0	[10.203943]	[114]	[6.0151424]	[114]	[111604627]	[111604627]
152_11319	chrX	154717692	154718092	+	1000	36.0	[]	[]	[5.975493]	[287]	[]	[154717883]
152_1133	chr1	205354211	205354611	+	1000	85.0	[6.0151424]	[111]	[10.203943]	[111]	[205354414]	[205354414]
152_11330	chr1	16350003	16350403	+	1000	35.0	[10.203943]	[160]	[5.975493, 6.0151424]	[141, 160]	[16350220]	[16350201, 16350220]
152_11343	chr1	27789581	27789981	+	592	35.0	[]	[]	[5.975493]	[162]	[]	[27789798]
152_1137	chr11	86151320	86151720	+	1000	85.0	[6.0151424]	[124]	[10.203943]	[124]	[86151540]	[86151540]
152_11372	chr1	85221026	85221426	+	1000	35.0	[10.203943]	[131]	[6.0151424]	[131]	[85221241]	[85221241]
152_11375	chr1	91763220	91763620	+	744	35.0	[]	[]	[5.975493]	[165]	[]	[91763470]
152_1138	chr12	57693726	57694126	+	1000	85.0	[6.0151424]	[169]	[10.203943]	[169]	[57693975]	[57693975]
152_11425	chr1	198638526	198638926	+	913	35.0	[6.0151424]	[131]	[10.203943]	[131]	[198638710]	[198638710]
152_11446	chr1	224357543	224357943	+	1000	35.0	[10.935475, 5.975493]	[205, 209]	[10.935475]	[205]	[224357751, 224357755]	[224357751]
152_1145	chr2	170397126	170397526	+	1000	85.0	[10.203943]	[125]	[6.0151424]	[125]	[170397344]	[170397344]
152_11473	chr10	13371758	13372158	+	913	35.0	[6.0151424]	[164]	[10.203943]	[164]	[13371928]	[13371928]
152_11477	chr10	32946141	32946541	+	868	35.0	[10.203943]	[72]	[6.0151424]	[72]	[32946295]	[32946295]
152_11480	chr10	42087989	42088389	+	1000	35.0	[10.203943]	[152]	[5.975493, 6.0151424]	[78, 152]	[42088239]	[42088165, 42088239]
152_11487	chr10	58268517	58268917	+	1000	35.0	[6.0151424]	[119]	[10.203943]	[119]	[58268726]	[58268726]
152_1151	chr4	38662264	38662664	+	1000	85.0	[10.203943]	[119]	[6.0151424]	[119]	[38662468]	[38662468]
152_11548	chr12	2004397	2004797	+	841	35.0	[10.935475]	[117]	[10.935475]	[117]	[2004605]	[2004605]
152_11579	chr13	90234141	90234541	+	1000	35.0	[10.203943]	[205]	[6.0151424]	[205]	[90234348]	[90234348]
152_116	chr7	16269039	16269439	+	1000	208.0	[6.0151424]	[138]	[5.975493, 10.203943]	[98, 138]	[16269270]	[16269230, 16269270]
152_11603	chr13	99265822	99266222	+	1000	35.0	[6.0151424]	[105]	[10.203943]	[105]	[99266012]	[99266012]
152_11607	chr13	110597165	110597565	+	802	35.0	[10.203943]	[118]	[6.0151424]	[118]	[110597381]	[110597381]
152_11637	chr15	60392983	60393383	+	1000	35.0	[10.203943]	[194]	[6.0151424]	[194]	[60393212]	[60393212]
152_11641	chr15	67578958	67579358	+	1000	35.0	[10.203943]	[139]	[6.0151424]	[139]	[67579167]	[67579167]
152_11642	chr15	68113266	68113666	+	1000	35.0	[6.0151424]	[137]	[10.203943]	[137]	[68113428]	[68113428]
152_11676	chr16	81448024	81448424	+	1000	35.0	[5.975493]	[138]	[]	[]	[81448187]	[]
152_1168	chr1	203303252	203303652	+	1000	84.0	[]	[]	[5.975493]	[127]	[]	[203303473]
152_11684	chr16	89557408	89557808	+	1000	35.0	[10.203943]	[118]	[6.0151424]	[118]	[89557572]	[89557572]
152_11690	chr17	29732613	29733013	+	967	35.0	[10.203943]	[141]	[6.0151424]	[141]	[29732805]	[29732805]
152_11696	chr17	49000241	49000641	+	1000	35.0	[10.203943]	[68]	[6.0151424]	[68]	[49000404]	[49000404]
152_117	chr9	112093447	112093847	+	1000	208.0	[10.203943]	[77]	[6.0151424]	[77]	[112093615]	[112093615]
152_11715	chr18	3713168	3713568	+	1000	35.0	[]	[]	[5.975493]	[104]	[]	[3713371]
152_1172	chr15	48580185	48580585	+	1000	84.0	[10.935475, 10.203943]	[100, 104]	[10.935475, 6.0151424]	[100, 104]	[48580355, 48580359]	[48580355, 48580359]
152_1173	chr15	90617943	90618343	+	1000	84.0	[6.0151424]	[126]	[10.203943]	[126]	[90618163]	[90618163]
152_1174	chr16	69089041	69089441	+	1000	84.0	[10.203943, 6.0151424]	[125, 129]	[6.0151424, 10.203943]	[125, 129]	[69089255, 69089259]	[69089255, 69089259]
152_11749	chr19	40578290	40578690	+	898	35.0	[10.935475]	[275]	[10.935475]	[275]	[40578492]	[40578492]
152_1175	chr16	81198642	81199042	+	1000	84.0	[10.203943]	[56]	[6.0151424]	[56]	[81198796]	[81198796]
152_11763	chr2	11234333	11234733	+	1000	35.0	[6.0151424]	[138]	[10.203943]	[138]	[11234565]	[11234565]
152_11777	chr2	74037056	74037456	+	899	35.0	[10.203943, 6.0151424]	[119, 163]	[6.0151424, 10.203943]	[119, 163]	[74037246, 74037290]	[74037246, 74037290]
152_1178	chr18	57820059	57820459	+	1000	84.0	[6.0151424]	[131]	[10.203943]	[131]	[57820274]	[57820274]
152_11781	chr2	101751788	101752188	+	1000	35.0	[10.203943]	[96]	[6.0151424]	[96]	[101751964]	[101751964]
152_11787	chr2	126656941	126657341	+	986	35.0	[6.0151424]	[92]	[10.203943]	[92]	[126657116]	[126657116]
152_11788	chr2	135742494	135742894	+	1000	35.0	[10.935475]	[93]	[10.935475]	[93]	[135742665]	[135742665]
152_11792	chr2	157962298	157962698	+	988	35.0	[10.203943]	[121]	[6.0151424]	[121]	[157962489]	[157962489]
152_118	chr10	71635304	71635704	+	1000	207.0	[10.203943, 6.0151424]	[85, 131]	[6.0151424, 10.203943]	[85, 131]	[71635483, 71635529]	[71635483, 71635529]
152_11814	chr2	191840373	191840773	+	1000	35.0	[10.935475]	[135]	[10.935475]	[135]	[191840602]	[191840602]
152_11815	chr2	204470171	204470571	+	606	35.0	[6.0151424]	[144]	[10.203943]	[144]	[204470407]	[204470407]
152_11833	chr21	14496405	14496805	+	1000	35.0	[10.203943]	[148]	[6.0151424]	[148]	[14496647]	[14496647]
152_11851	chr22	16261115	16261515	+	978	35.0	[5.975493]	[51]	[]	[]	[16261266]	[]
152_11924	chr3	4867441	4867841	+	1000	35.0	[10.203943]	[152]	[6.0151424]	[152]	[4867644]	[4867644]
152_1193	chr5	90983237	90983637	+	1000	84.0	[]	[]	[5.975493]	[221]	[]	[90983479]
152_11958	chr3	186057591	186057991	+	1000	35.0	[10.203943]	[146]	[5.975493, 6.0151424]	[142, 146]	[186057787]	[186057783, 186057787]
152_1196	chr6	42979142	42979542	+	1000	84.0	[6.0151424]	[108]	[10.203943]	[108]	[42979321]	[42979321]
152_1198	chr6	142400515	142400915	+	1000	84.0	[6.0151424]	[92]	[10.203943]	[92]	[142400687]	[142400687]
152_120	chr12	126998853	126999253	+	1000	207.0	[10.203943]	[93]	[6.0151424]	[93]	[126999045]	[126999045]
152_12001	chr5	109427735	109428135	+	1000	35.0	[6.0151424]	[120]	[10.203943]	[120]	[109427945]	[109427945]
152_12009	chr5	141100151	141100551	+	696	35.0	[10.935475]	[94]	[10.935475]	[94]	[141100345]	[141100345]
152_12024	chr6	10695152	10695552	+	1000	35.0	[10.935475]	[130]	[10.935475]	[130]	[10695355]	[10695355]
152_1203	chr9	87509846	87510246	+	1000	84.0	[10.935475]	[107]	[10.935475]	[107]	[87510015]	[87510015]
152_12036	chr6	20212955	20213355	+	1000	35.0	[10.203943]	[215]	[6.0151424]	[215]	[20213173]	[20213173]
152_12049	chr6	33909840	33910240	+	982	35.0	[10.935475]	[145]	[10.935475]	[145]	[33910028]	[33910028]
152_1206	chr1	39398637	39399037	+	1000	83.0	[10.203943]	[95]	[6.0151424]	[95]	[39398829]	[39398829]
152_12084	chr6	133988782	133989182	+	901	35.0	[10.203943]	[130]	[6.0151424]	[130]	[133989006]	[133989006]
152_12104	chr7	1567180	1567580	+	773	35.0	[6.0151424]	[109]	[10.203943]	[109]	[1567380]	[1567380]
152_12105	chr7	2299720	2300120	+	1000	35.0	[5.975493, 6.0151424]	[114, 134]	[10.203943]	[134]	[2299917, 2299937]	[2299937]
152_1212	chr11	3437432	3437832	+	1000	83.0	[10.935475]	[126]	[10.935475]	[126]	[3437653]	[3437653]
152_1213	chr11	35077557	35077957	+	1000	83.0	[6.0151424]	[91]	[10.203943]	[91]	[35077742]	[35077742]
152_12138	chr7	127908505	127908905	+	1000	35.0	[6.0151424]	[120]	[10.203943]	[120]	[127908705]	[127908705]
152_1216	chr12	120231142	120231542	+	1000	83.0	[10.203943]	[123]	[5.975493, 6.0151424]	[109, 123]	[120231358]	[120231344, 120231358]
152_12182	chr8	72013885	72014285	+	869	35.0	[10.203943]	[96]	[6.0151424]	[96]	[72014077]	[72014077]
152_12183	chr8	79766872	79767272	+	1000	35.0	[6.0151424]	[96]	[10.203943]	[96]	[79767060]	[79767060]
152_12196	chr8	105408852	105409252	+	943	35.0	[6.0151424]	[173]	[10.203943]	[173]	[105409088]	[105409088]
152_12241	chrX	11265394	11265794	+	1000	35.0	[]	[]	[5.975493]	[117]	[]	[11265605]
152_12249	chr1	7769892	7770292	+	1000	34.0	[5.975493]	[170]	[]	[]	[7770139]	[]
152_12251	chr1	8792132	8792532	+	1000	34.0	[10.203943]	[136]	[6.0151424]	[136]	[8792344]	[8792344]
152_12272	chr1	21782157	21782557	+	1000	34.0	[10.935475]	[183]	[10.935475]	[183]	[21782363]	[21782363]
152_12286	chr1	35556475	35556875	+	1000	34.0	[10.203943]	[125]	[6.0151424]	[125]	[35556700]	[35556700]
152_1229	chr2	169131913	169132313	+	1000	83.0	[]	[]	[5.975493]	[88]	[]	[169132095]
152_12295	chr1	47424382	47424782	+	1000	34.0	[5.975493]	[159]	[]	[]	[47424611]	[]
152_12303	chr1	54310848	54311248	+	1000	34.0	[10.935475]	[193]	[10.935475]	[193]	[54311068]	[54311068]
152_12306	chr1	61114509	61114909	+	1000	34.0	[6.0151424]	[110]	[10.203943]	[110]	[61114715]	[61114715]
152_12321	chr1	109423538	109423938	+	1000	34.0	[10.203943]	[114]	[6.0151424]	[114]	[109423736]	[109423736]
152_12339	chr1	143248078	143248478	+	1000	34.0	[]	[]	[5.975493]	[121]	[]	[143248296]
152_1234	chr4	158671834	158672234	+	1000	83.0	[10.935475]	[98]	[10.935475]	[98]	[158672031]	[158672031]
152_12340	chr1	145986029	145986429	+	1000	34.0	[10.203943, 6.0151424]	[134, 138]	[6.0151424, 10.203943]	[134, 138]	[145986242, 145986246]	[145986242, 145986246]
152_12346	chr1	153572783	153573183	+	1000	34.0	[10.203943]	[162]	[6.0151424]	[162]	[153573031]	[153573031]
152_12362	chr1	175209160	175209560	+	1000	34.0	[6.0151424]	[83]	[10.203943]	[83]	[175209323]	[175209323]
152_12377	chr1	205775570	205775970	+	1000	34.0	[5.975493]	[217]	[]	[]	[205775796]	[]
152_12403	chr1	234065823	234066223	+	1000	34.0	[10.203943]	[157]	[6.0151424]	[157]	[234066058]	[234066058]
152_12414	chr1	246112063	246112463	+	852	34.0	[10.203943, 5.975493]	[150, 177]	[6.0151424]	[150]	[246112243, 246112270]	[246112243]
152_12422	chr10	15167250	15167650	+	1000	34.0	[10.203943]	[85]	[6.0151424]	[85]	[15167406]	[15167406]
152_12427	chr10	28985917	28986317	+	1000	34.0	[6.0151424]	[131]	[10.203943]	[131]	[28986133]	[28986133]
152_12428	chr10	35128832	35129232	+	1000	34.0	[6.0151424]	[90]	[10.203943]	[90]	[35128997]	[35128997]
152_12429	chr10	35384882	35385282	+	900	34.0	[10.935475]	[161]	[5.975493, 10.935475, 5.975493]	[86, 161, 165]	[35385127]	[35385052, 35385127, 35385131]
152_12442	chr10	61763978	61764378	+	1000	34.0	[10.203943, 10.935475]	[132, 202]	[6.0151424, 10.935475]	[132, 202]	[61764156, 61764226]	[61764156, 61764226]
152_12467	chr11	58627638	58628038	+	946	34.0	[10.203943]	[101]	[5.975493, 6.0151424]	[97, 101]	[58627839]	[58627835, 58627839]
152_12481	chr11	83070660	83071060	+	1000	34.0	[10.935475]	[136]	[10.935475]	[136]	[83070855]	[83070855]
152_125	chr13	111067766	111068166	+	1000	205.0	[10.935475, 10.203943]	[60, 125]	[10.935475, 6.0151424]	[60, 125]	[111067918, 111067983]	[111067918, 111067983]
152_12502	chr12	52925287	52925687	+	1000	34.0	[6.0151424]	[158]	[10.203943]	[158]	[52925528]	[52925528]
152_12530	chr13	36345700	36346100	+	1000	34.0	[10.203943]	[94]	[6.0151424]	[94]	[36345891]	[36345891]
152_12543	chr13	91289485	91289885	+	1000	34.0	[10.203943, 6.0151424]	[115, 131]	[6.0151424, 10.203943]	[115, 131]	[91289664, 91289680]	[91289664, 91289680]
152_12552	chr13	92528764	92529164	+	1000	34.0	[5.975493]	[225]	[]	[]	[92529003]	[]
152_12553	chr13	92566546	92566946	+	1000	34.0	[6.0151424]	[163]	[10.203943]	[163]	[92566749]	[92566749]
152_12567	chr14	32202420	32202820	+	1000	34.0	[6.0151424]	[186]	[10.203943]	[186]	[32202623]	[32202623]
152_12576	chr15	41332739	41333139	+	873	34.0	[5.975493]	[94]	[]	[]	[41332921]	[]
152_1258	chr11	111926635	111927035	+	1000	82.0	[10.203943]	[122]	[6.0151424]	[122]	[111926849]	[111926849]
152_1259	chr12	64453154	64453554	+	1000	82.0	[6.0151424]	[140]	[10.203943]	[140]	[64453357]	[64453357]
