#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT1_idr.fa STAT1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
315_1117	chr1	179016955	179017355	+	1000	33.0	[8.280003]	[116]	[8.194635]	[107]	[179017146]	[179017137]
315_1118	chr1	185284692	185285092	+	1000	33.0	[]	[]	[8.259005]	[97]	[]	[185284872]
315_1119	chr1	201578278	201578678	+	1000	33.0	[8.194635, 8.280003]	[144, 151]	[]	[]	[201578500, 201578507]	[]
315_112	chr21	41420374	41420774	+	1000	96.0	[9.525681]	[120]	[9.611048]	[69]	[41420590]	[41420539]
315_1120	chr1	204506973	204507373	+	1000	33.0	[9.611048]	[161]	[]	[]	[204507223]	[]
315_1121	chr1	207626230	207626630	+	1000	33.0	[]	[]	[8.259005, 9.611048]	[111, 133]	[]	[207626435, 207626457]
315_1122	chr1	231200552	231200952	+	1000	33.0	[9.525681]	[161]	[9.525681]	[187]	[231200747]	[231200773]
315_1123	chr10	30437017	30437417	+	1000	33.0	[8.280003]	[193]	[]	[]	[30437241]	[]
315_1124	chr10	49165885	49166285	+	1000	33.0	[8.280003]	[156]	[]	[]	[49166124]	[]
315_1125	chr10	69319359	69319759	+	1000	33.0	[]	[]	[8.194635]	[100]	[]	[69319550]
315_1127	chr11	59545304	59545704	+	1000	33.0	[]	[]	[8.280003]	[109]	[]	[59545496]
315_1128	chr11	65928090	65928490	+	1000	33.0	[]	[]	[9.611048]	[54]	[]	[65928242]
315_113	chr6	24721224	24721624	+	1000	96.0	[9.611048, 9.611048]	[124, 130]	[]	[]	[24721439, 24721445]	[]
315_1130	chr12	110826646	110827046	+	1000	33.0	[]	[]	[9.611048]	[137]	[]	[110826882]
315_1131	chr13	91539907	91540307	+	1000	33.0	[9.611048]	[172]	[]	[]	[91540149]	[]
315_1134	chr15	41116436	41116836	+	1000	33.0	[]	[]	[9.525681]	[92]	[]	[41116626]
315_1137	chr16	66899903	66900303	+	1000	33.0	[]	[]	[8.194635]	[166]	[]	[66900101]
315_1138	chr16	85355277	85355677	+	1000	33.0	[]	[]	[8.280003]	[109]	[]	[85355474]
315_1139	chr17	67784341	67784741	+	1000	33.0	[]	[]	[9.525681, 8.280003]	[134, 144]	[]	[67784561, 67784571]
315_114	chr8	143026365	143026765	+	1000	96.0	[]	[]	[9.611048]	[91]	[]	[143026551]
315_1140	chr17	69093316	69093716	+	1000	33.0	[]	[]	[9.611048, 8.280003, 9.525681]	[71, 135, 151]	[]	[69093485, 69093549, 69093565]
315_1142	chr19	10836240	10836640	+	1000	33.0	[9.611048]	[157]	[]	[]	[10836438]	[]
315_1143	chr19	35040995	35041395	+	1000	33.0	[8.280003]	[151]	[]	[]	[35041233]	[]
315_1144	chr19	46714402	46714802	+	1000	33.0	[9.611048, 8.194635, 8.280003]	[93, 144, 148]	[]	[]	[46714593, 46714644, 46714648]	[]
315_1145	chr2	27081207	27081607	+	1000	33.0	[]	[]	[8.194635]	[135]	[]	[27081431]
315_1147	chr2	65819120	65819520	+	1000	33.0	[]	[]	[9.611048]	[105]	[]	[65819281]
315_1148	chr2	102634750	102635150	+	1000	33.0	[]	[]	[8.280003]	[108]	[]	[102634922]
315_1149	chr2	157221404	157221804	+	1000	33.0	[]	[]	[8.280003]	[146]	[]	[157221628]
315_115	chr5	85647832	85648232	+	1000	95.0	[]	[]	[9.525681]	[55]	[]	[85647984]
315_1150	chr2	169664986	169665386	+	1000	33.0	[8.194635]	[107]	[]	[]	[169665191]	[]
315_1152	chr20	45983195	45983595	+	1000	33.0	[8.280003]	[108]	[8.194635, 9.525681]	[118, 137]	[45983403]	[45983413, 45983432]
315_1155	chr22	22464043	22464443	+	1000	33.0	[8.259005]	[134]	[]	[]	[22464275]	[]
315_1156	chr22	23177126	23177526	+	1000	33.0	[]	[]	[8.280003]	[102]	[]	[23177324]
315_1157	chr22	39946541	39946941	+	1000	33.0	[]	[]	[8.194635]	[202]	[]	[39946762]
315_116	chr1	44048222	44048622	+	1000	94.0	[9.525681, 8.194635, 8.280003]	[103, 123, 127]	[8.280003]	[60]	[44048422, 44048442, 44048446]	[44048379]
315_1160	chr3	14651295	14651695	+	1000	33.0	[]	[]	[8.194635]	[111]	[]	[14651459]
315_1161	chr3	17730314	17730714	+	1000	33.0	[9.611048]	[141]	[]	[]	[17730472]	[]
315_1162	chr3	36957958	36958358	+	1000	33.0	[]	[]	[9.525681]	[107]	[]	[36958139]
315_1163	chr3	36969883	36970283	+	1000	33.0	[]	[]	[8.280003, 8.280003]	[94, 118]	[]	[36970070, 36970094]
315_1164	chr3	142046314	142046714	+	1000	33.0	[8.194635]	[118]	[]	[]	[142046505]	[]
315_1165	chr4	77734870	77735270	+	1000	33.0	[]	[]	[8.259005]	[94]	[]	[77735021]
315_1168	chr5	34791893	34792293	+	1000	33.0	[8.259005]	[133]	[9.611048, 9.525681]	[88, 107]	[34792123]	[34792078, 34792097]
315_117	chr2	230219814	230220214	+	1000	94.0	[8.280003]	[60]	[]	[]	[230219974]	[]
315_1170	chr5	72166379	72166779	+	1000	33.0	[]	[]	[8.280003]	[79]	[]	[72166550]
315_1173	chr6	13354253	13354653	+	1000	33.0	[9.611048]	[119]	[]	[]	[13354446]	[]
315_1174	chr6	13987373	13987773	+	1000	33.0	[8.280003]	[81]	[9.611048]	[153]	[13987527]	[13987599]
315_1177	chr6	28727550	28727950	+	1000	33.0	[9.611048]	[167]	[]	[]	[28727789]	[]
315_1180	chr6	42199302	42199702	+	1000	33.0	[9.611048]	[138]	[8.259005]	[90]	[42199501]	[42199453]
315_1182	chr6	73564753	73565153	+	1000	33.0	[8.280003]	[76]	[9.611048]	[139]	[73564929]	[73564992]
315_1183	chr6	149128407	149128807	+	969	33.0	[8.194635]	[122]	[]	[]	[149128624]	[]
315_1184	chr6	157323256	157323656	+	1000	33.0	[9.611048]	[139]	[]	[]	[157323420]	[]
315_1186	chr7	87140273	87140673	+	1000	33.0	[]	[]	[8.259005]	[116]	[]	[87140477]
315_1188	chr7	106216372	106216772	+	1000	33.0	[8.194635, 8.194635]	[127, 148]	[]	[]	[106216577, 106216598]	[]
315_119	chr18	62506242	62506642	+	1000	93.0	[]	[]	[9.611048, 9.525681]	[99, 146]	[]	[62506440, 62506487]
315_1191	chr7	142838539	142838939	+	1000	33.0	[9.525681, 9.611048]	[144, 150]	[]	[]	[142838775, 142838781]	[]
315_1193	chr8	37891708	37892108	+	1000	33.0	[]	[]	[9.611048]	[156]	[]	[37891953]
315_1195	chr8	128176893	128177293	+	1000	33.0	[9.611048]	[134]	[9.525681]	[65]	[128177123]	[128177054]
315_1197	chr9	131278029	131278429	+	1000	33.0	[]	[]	[9.611048]	[92]	[]	[131278213]
315_12	chr2	191020199	191020599	+	1000	409.0	[9.525681, 9.611048]	[105, 142]	[]	[]	[191020402, 191020439]	[]
315_1200	chr1	16366722	16367122	+	1000	32.0	[9.611048]	[168]	[]	[]	[16366899]	[]
315_1201	chr1	46333555	46333955	+	1000	32.0	[8.280003]	[124]	[8.280003, 9.611048]	[84, 140]	[46333776]	[46333736, 46333792]
315_1203	chr1	116827198	116827598	+	1000	32.0	[]	[]	[9.611048]	[69]	[]	[116827363]
315_1207	chr1	179881802	179882202	+	1000	32.0	[9.525681]	[83]	[9.525681]	[151]	[179881985]	[179882053]
315_1208	chr1	193059239	193059639	+	1000	32.0	[]	[]	[8.194635]	[131]	[]	[193059469]
315_121	chr1	11790795	11791195	+	1000	92.0	[]	[]	[9.525681, 8.194635]	[110, 146]	[]	[11790992, 11791028]
315_1210	chr1	230681571	230681971	+	1000	32.0	[]	[]	[8.259005]	[122]	[]	[230681781]
315_1211	chr10	5971192	5971592	+	1000	32.0	[]	[]	[9.525681, 8.280003]	[144, 167]	[]	[5971398, 5971421]
315_1212	chr10	28807336	28807736	+	1000	32.0	[9.611048]	[135]	[]	[]	[28807547]	[]
315_1216	chr10	102781209	102781609	+	1000	32.0	[9.611048]	[131]	[]	[]	[102781405]	[]
315_1217	chr11	113665046	113665446	+	748	32.0	[]	[]	[8.280003]	[61]	[]	[113665197]
315_122	chr16	34582022	34582422	+	1000	90.0	[8.259005]	[145]	[]	[]	[34582267]	[]
315_1222	chr13	42992099	42992499	+	1000	32.0	[]	[]	[8.194635]	[135]	[]	[42992328]
315_1223	chr14	71130839	71131239	+	1000	32.0	[]	[]	[9.525681]	[128]	[]	[71131066]
315_1226	chr15	64217136	64217536	+	1000	32.0	[9.611048, 9.525681]	[122, 131]	[9.525681]	[153]	[64217337, 64217346]	[64217368]
315_1227	chr15	91478584	91478984	+	1000	32.0	[8.194635]	[152]	[]	[]	[91478824]	[]
315_1228	chr16	142971	143371	+	1000	32.0	[]	[]	[8.280003]	[81]	[]	[143124]
315_1230	chr17	6755827	6756227	+	1000	32.0	[]	[]	[9.611048]	[104]	[]	[6756026]
315_1234	chr18	49072447	49072847	+	1000	32.0	[9.525681]	[140]	[9.611048]	[114]	[49072660]	[49072634]
315_1236	chr19	4539951	4540351	+	1000	32.0	[8.194635, 8.194635]	[83, 138]	[8.280003]	[169]	[4540103, 4540158]	[4540189]
315_1237	chr19	13401391	13401791	+	702	32.0	[]	[]	[9.525681]	[67]	[]	[13401549]
315_1238	chr19	16078799	16079199	+	1000	32.0	[9.525681, 8.280003]	[187, 224]	[8.280003]	[137]	[16079004, 16079041]	[16078954]
315_1239	chr19	47335650	47336050	+	1000	32.0	[8.280003]	[93]	[]	[]	[47335841]	[]
315_124	chr19	10270853	10271253	+	1000	89.0	[8.194635, 9.525681]	[81, 100]	[]	[]	[10271030, 10271049]	[]
315_1240	chr19	48584220	48584620	+	1000	32.0	[8.280003]	[110]	[]	[]	[48584421]	[]
315_1241	chr19	55259101	55259501	+	1000	32.0	[]	[]	[9.525681, 8.194635]	[109, 114]	[]	[55259283, 55259288]
315_1242	chr2	3574980	3575380	+	1000	32.0	[]	[]	[8.280003]	[122]	[]	[3575199]
315_1245	chr2	102335826	102336226	+	1000	32.0	[]	[]	[8.280003]	[105]	[]	[102336006]
315_1246	chr2	102418385	102418785	+	1000	32.0	[]	[]	[8.280003]	[189]	[]	[102418634]
315_1247	chr2	157786770	157787170	+	1000	32.0	[8.194635]	[73]	[8.194635, 8.259005]	[94, 127]	[157786940]	[157786961, 157786994]
315_1249	chr2	177168279	177168679	+	1000	32.0	[]	[]	[8.259005]	[113]	[]	[177168473]
315_125	chr8	30099647	30100047	+	1000	89.0	[9.611048, 9.611048]	[127, 132]	[]	[]	[30099855, 30099860]	[]
315_1253	chr21	14600496	14600896	+	926	32.0	[]	[]	[9.611048]	[106]	[]	[14600678]
315_1255	chr21	33230099	33230499	+	1000	32.0	[9.525681]	[76]	[]	[]	[33230270]	[]
315_1256	chr22	19419688	19420088	+	1000	32.0	[8.194635]	[155]	[]	[]	[19419861]	[]
315_1258	chr22	21567401	21567801	+	1000	32.0	[8.194635]	[148]	[]	[]	[21567608]	[]
315_126	chr9	130866407	130866807	+	1000	89.0	[8.280003]	[202]	[]	[]	[130866646]	[]
315_1267	chr3	43769425	43769825	+	1000	32.0	[]	[]	[9.525681]	[103]	[]	[43769599]
315_1268	chr3	46987777	46988177	+	1000	32.0	[]	[]	[8.280003, 9.525681, 9.611048]	[90, 123, 143]	[]	[46987947, 46987980, 46988000]
315_1269	chr4	49140892	49141292	+	1000	32.0	[]	[]	[8.259005]	[96]	[]	[49141088]
315_127	chr3	45064698	45065098	+	1000	88.0	[8.280003]	[92]	[]	[]	[45064889]	[]
315_1274	chr5	112878766	112879166	+	1000	32.0	[9.611048]	[142]	[]	[]	[112879000]	[]
315_1276	chr5	139635658	139636058	+	1000	32.0	[8.280003]	[152]	[9.611048]	[114]	[139635908]	[139635870]
315_1277	chr6	15210757	15211157	+	1000	32.0	[8.259005]	[108]	[9.611048]	[124]	[15210959]	[15210975]
315_1279	chr6	15915497	15915897	+	1000	32.0	[8.280003]	[121]	[9.611048]	[173]	[15915654]	[15915706]
315_128	chr3	122680583	122680983	+	1000	88.0	[9.611048, 9.611048]	[103, 129]	[8.259005]	[69]	[122680777, 122680803]	[122680743]
315_1281	chr6	27684392	27684792	+	1000	32.0	[]	[]	[9.525681]	[129]	[]	[27684563]
315_1283	chr6	32967469	32967869	+	1000	32.0	[8.259005, 9.525681, 8.194635]	[100, 130, 137]	[]	[]	[32967656, 32967686, 32967693]	[]
315_1284	chr6	34757187	34757587	+	1000	32.0	[8.280003, 9.611048]	[158, 167]	[8.194635]	[135]	[34757385, 34757394]	[34757362]
315_1286	chr6	143164470	143164870	+	1000	32.0	[9.611048]	[112]	[9.611048]	[135]	[143164667]	[143164690]
315_1289	chr7	42986761	42987161	+	1000	32.0	[8.280003]	[62]	[]	[]	[42986912]	[]
315_129	chr4	184474568	184474968	+	1000	88.0	[]	[]	[8.194635]	[145]	[]	[184474809]
315_1292	chr7	130051197	130051597	+	1000	32.0	[]	[]	[8.194635]	[99]	[]	[130051387]
315_1293	chr7	130960292	130960692	+	1000	32.0	[8.280003]	[98]	[]	[]	[130960480]	[]
315_1295	chr8	41604231	41604631	+	1000	32.0	[]	[]	[9.611048]	[66]	[]	[41604395]
315_1296	chr8	61076239	61076639	+	1000	32.0	[]	[]	[9.611048]	[155]	[]	[61076472]
315_1297	chr8	143986245	143986645	+	1000	32.0	[9.611048]	[116]	[]	[]	[143986447]	[]
315_1298	chr9	105879185	105879585	+	1000	32.0	[]	[]	[8.194635, 9.611048]	[111, 133]	[]	[105879379, 105879401]
315_1299	chrX	40273339	40273739	+	1000	32.0	[]	[]	[8.280003, 8.194635]	[88, 92]	[]	[40273512, 40273516]
315_130	chr6	20846556	20846956	+	1000	88.0	[9.525681]	[104]	[]	[]	[20846750]	[]
315_1300	chrX	119690796	119691196	+	1000	32.0	[]	[]	[9.525681]	[101]	[]	[119690984]
315_1301	chr1	12658941	12659341	+	1000	31.0	[9.611048]	[72]	[8.194635]	[102]	[12659104]	[12659134]
315_1302	chr1	23539697	23540097	+	1000	31.0	[]	[]	[9.611048]	[171]	[]	[23539936]
315_1303	chr1	23634980	23635380	+	1000	31.0	[9.525681]	[94]	[]	[]	[23635147]	[]
315_1304	chr1	28581658	28582058	+	1000	31.0	[8.280003]	[65]	[]	[]	[28581812]	[]
315_1306	chr1	31928726	31929126	+	1000	31.0	[8.194635]	[132]	[]	[]	[31928911]	[]
315_1308	chr1	32817207	32817607	+	1000	31.0	[9.525681]	[162]	[]	[]	[32817450]	[]
315_131	chr1	12448798	12449198	+	1000	87.0	[]	[]	[8.280003]	[93]	[]	[12448964]
315_1311	chr1	64864056	64864456	+	1000	31.0	[8.280003]	[147]	[8.194635, 8.280003]	[62, 103]	[64864300]	[64864215, 64864256]
315_1312	chr1	108533820	108534220	+	1000	31.0	[9.611048]	[64]	[]	[]	[108533982]	[]
315_1313	chr1	109090490	109090890	+	1000	31.0	[]	[]	[9.525681]	[95]	[]	[109090680]
315_1314	chr1	109984494	109984894	+	1000	31.0	[]	[]	[8.194635]	[146]	[]	[109984709]
315_1318	chr1	203306246	203306646	+	1000	31.0	[8.194635]	[110]	[]	[]	[203306450]	[]
315_132	chr1	21791424	21791824	+	1000	87.0	[]	[]	[9.525681]	[96]	[]	[21791619]
315_1321	chr1	234724082	234724482	+	1000	31.0	[9.525681]	[212]	[]	[]	[234724325]	[]
315_1323	chr10	14954120	14954520	+	1000	31.0	[8.194635, 9.525681]	[135, 140]	[]	[]	[14954341, 14954346]	[]
315_1324	chr10	35195645	35196045	+	1000	31.0	[8.194635]	[72]	[]	[]	[35195813]	[]
315_1325	chr10	69334287	69334687	+	1000	31.0	[8.194635]	[136]	[]	[]	[69334472]	[]
315_1326	chr10	72637450	72637850	+	1000	31.0	[9.525681]	[121]	[]	[]	[72637630]	[]
315_1327	chr10	74150727	74151127	+	1000	31.0	[8.280003, 9.611048]	[115, 133]	[]	[]	[74150921, 74150939]	[]
315_1328	chr10	86078984	86079384	+	1000	31.0	[8.280003]	[86]	[]	[]	[86079168]	[]
315_1329	chr11	12116406	12116806	+	1000	31.0	[]	[]	[8.280003]	[134]	[]	[12116618]
315_133	chr21	43855089	43855489	+	1000	87.0	[]	[]	[8.194635]	[134]	[]	[43855320]
315_1332	chr11	76911098	76911498	+	1000	31.0	[9.611048]	[62]	[8.259005]	[78]	[76911258]	[76911274]
315_1334	chr12	1304263	1304663	+	1000	31.0	[9.525681]	[128]	[]	[]	[1304434]	[]
315_1335	chr12	10750093	10750493	+	1000	31.0	[9.525681]	[154]	[]	[]	[10750318]	[]
315_1336	chr12	23722610	23723010	+	1000	31.0	[]	[]	[8.259005, 8.194635]	[87, 108]	[]	[23722791, 23722812]
315_1337	chr12	32031075	32031475	+	921	31.0	[9.525681]	[97]	[]	[]	[32031264]	[]
315_134	chr11	320687	321087	+	1000	86.0	[]	[]	[9.525681, 9.611048, 9.611048]	[88, 117, 123]	[]	[320874, 320903, 320909]
315_1341	chr12	107110029	107110429	+	1000	31.0	[]	[]	[9.525681]	[182]	[]	[107110278]
315_1342	chr12	108700083	108700483	+	1000	31.0	[]	[]	[9.611048]	[179]	[]	[108700273]
315_1343	chr12	112130544	112130944	+	1000	31.0	[]	[]	[9.611048, 9.611048]	[102, 160]	[]	[112130732, 112130790]
315_1344	chr12	112978238	112978638	+	1000	31.0	[]	[]	[9.525681]	[195]	[]	[112978452]
315_1347	chr15	30625592	30625992	+	1000	31.0	[]	[]	[9.611048]	[168]	[]	[30625833]
315_1348	chr15	34969635	34970035	+	1000	31.0	[8.194635]	[75]	[]	[]	[34969798]	[]
315_135	chr11	615490	615890	+	1000	86.0	[9.525681, 9.525681]	[80, 114]	[]	[]	[615658, 615692]	[]
315_1351	chr15	81099003	81099403	+	1000	31.0	[]	[]	[8.194635, 9.611048]	[81, 148]	[]	[81099155, 81099222]
315_1352	chr16	1832770	1833170	+	1000	31.0	[9.611048]	[156]	[]	[]	[1832998]	[]
315_1353	chr16	53099534	53099934	+	1000	31.0	[]	[]	[8.194635]	[214]	[]	[53099685]
315_1356	chr16	75043111	75043511	+	1000	31.0	[9.611048]	[176]	[8.194635, 8.280003]	[188, 193]	[75043340]	[75043352, 75043357]
315_1357	chr16	84881711	84882111	+	1000	31.0	[]	[]	[8.259005]	[86]	[]	[84881881]
315_1358	chr16	84952635	84953035	+	1000	31.0	[8.194635]	[211]	[]	[]	[84952862]	[]
315_136	chr13	107942055	107942455	+	1000	86.0	[]	[]	[8.259005]	[80]	[]	[107942226]
315_1362	chr17	48546961	48547361	+	1000	31.0	[9.611048]	[85]	[]	[]	[48547143]	[]
315_1364	chr17	78665896	78666296	+	1000	31.0	[8.194635]	[114]	[8.280003]	[172]	[78666063]	[78666121]
315_1365	chr19	3842856	3843256	+	1000	31.0	[9.611048]	[132]	[]	[]	[3843078]	[]
315_1367	chr19	48899865	48900265	+	1000	31.0	[]	[]	[9.525681]	[98]	[]	[48900062]
315_1368	chr19	51547684	51548084	+	1000	31.0	[9.611048]	[112]	[]	[]	[51547880]	[]
315_137	chr2	26493545	26493945	+	1000	86.0	[8.194635, 9.525681, 9.525681, 9.525681]	[68, 88, 108, 145]	[]	[]	[26493698, 26493718, 26493738, 26493775]	[]
315_1372	chr2	112683856	112684256	+	1000	31.0	[]	[]	[8.194635]	[70]	[]	[112684011]
315_1375	chr2	168798394	168798794	+	1000	31.0	[8.280003, 8.280003]	[126, 164]	[]	[]	[168798568, 168798606]	[]
