#PeakID(python identify_motif.py ./ENCODE_processed_files/JUN_idr.fa JUN --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
92_10089	chr2	12441847	12442247	+	1000	47.0	[15.729881]	[62]	[10.704721]	[62]	[12442006]	[12442006]
92_1009	chr3	72269988	72270388	+	1000	131.0	[10.322954]	[123]	[6.4187145]	[92]	[72270201]	[72270170]
92_10093	chr2	32356957	32357357	+	1000	47.0	[]	[]	[5.414626]	[72]	[]	[32357115]
92_10097	chr2	39494701	39495101	+	1000	47.0	[17.21607]	[100]	[8.741374, 13.352264, 9.071671]	[100, 103, 153]	[39494897]	[39494897, 39494900, 39494950]
92_101	chr6	35694440	35694840	+	1000	239.0	[]	[]	[6.674804]	[70]	[]	[35694605]
92_10101	chr2	65024454	65024854	+	1000	47.0	[10.000973]	[141]	[]	[]	[65024688]	[]
92_10102	chr2	68456207	68456607	+	1000	47.0	[15.35756]	[105]	[15.35756]	[105]	[68456396]	[68456396]
92_10103	chr2	69634204	69634604	+	1000	47.0	[12.1936455]	[94]	[]	[]	[69634397]	[]
92_10107	chr2	99139035	99139435	+	1000	47.0	[7.02068]	[127]	[10.508973]	[127]	[99139246]	[99139246]
92_10117	chr2	196356381	196356781	+	1000	47.0	[]	[]	[5.170224, 10.322954]	[133, 159]	[]	[196356594, 196356620]
92_1012	chr6	18585122	18585522	+	1000	131.0	[7.507642]	[100]	[]	[]	[18585305]	[]
92_10121	chr2	215870216	215870616	+	1000	47.0	[11.997897]	[111]	[]	[]	[215870414]	[]
92_10122	chr2	227655426	227655826	+	1000	47.0	[]	[]	[5.414626]	[107]	[]	[227655615]
92_10133	chr20	58420779	58421179	+	1000	47.0	[13.352264]	[69]	[10.557858]	[72]	[58420945]	[58420948]
92_1014	chr7	130242147	130242547	+	1000	131.0	[5.6824274]	[127]	[]	[]	[130242362]	[]
92_10145	chr22	39606646	39607046	+	1000	47.0	[9.071671]	[149]	[]	[]	[39606886]	[]
92_10158	chr3	57952267	57952667	+	1000	47.0	[10.704721]	[147]	[15.729881, 5.397019]	[147, 166]	[57952479]	[57952479, 57952498]
92_10159	chr3	69143651	69144051	+	1000	47.0	[]	[]	[12.48218]	[126]	[]	[69143863]
92_10160	chr3	72052752	72053152	+	1000	47.0	[10.057873, 8.984027]	[196, 217]	[9.038966, 9.022785]	[196, 217]	[72052974, 72052995]	[72052974, 72052995]
92_10161	chr3	72066043	72066443	+	1000	47.0	[5.6853056]	[125]	[]	[]	[72066255]	[]
92_10162	chr3	72319177	72319577	+	1000	47.0	[]	[]	[5.2078648]	[70]	[]	[72319333]
92_10165	chr3	139906395	139906795	+	1000	47.0	[]	[]	[5.077588, 5.026435]	[84, 99]	[]	[139906567, 139906582]
92_1017	chr1	17494101	17494501	+	1000	130.0	[]	[]	[5.689431]	[118]	[]	[17494316]
92_10171	chr3	183533778	183534178	+	1000	47.0	[5.170224, 6.8706822]	[93, 96]	[6.443733]	[96]	[183533971, 183533974]	[183533974]
92_10175	chr3	196757915	196758315	+	1000	47.0	[14.118364]	[137]	[]	[]	[196758145]	[]
92_10182	chr4	76002156	76002556	+	1000	47.0	[]	[]	[11.997897]	[133]	[]	[76002387]
92_10183	chr4	98232221	98232621	+	1000	47.0	[]	[]	[11.997897]	[84]	[]	[98232404]
92_10185	chr4	154208395	154208795	+	1000	47.0	[9.907665]	[125]	[]	[]	[154208601]	[]
92_10198	chr5	139100771	139101171	+	1000	47.0	[9.077618]	[99]	[]	[]	[139100962]	[]
92_10199	chr5	140153229	140153629	+	1000	47.0	[6.4017763]	[140]	[6.166804, 11.298007]	[120, 143]	[140153469]	[140153449, 140153472]
92_10210	chr6	20424765	20425165	+	1000	47.0	[5.9963098]	[69]	[]	[]	[20424932]	[]
92_10211	chr6	25458502	25458902	+	1000	47.0	[]	[]	[8.4649105]	[79]	[]	[25458679]
92_10213	chr6	26389271	26389671	+	1000	47.0	[9.9048815]	[151]	[]	[]	[26389514]	[]
92_10216	chr6	30516015	30516415	+	1000	47.0	[]	[]	[5.9575515]	[95]	[]	[30516194]
92_1022	chr15	43440796	43441196	+	1000	130.0	[9.071738]	[156]	[8.545496]	[156]	[43441034]	[43441034]
92_10223	chr6	43053708	43054108	+	1000	47.0	[6.344375]	[183]	[]	[]	[43053915]	[]
92_1023	chr16	85359270	85359670	+	1000	130.0	[]	[]	[6.0438595]	[128]	[]	[85359498]
92_10231	chr6	136225477	136225877	+	1000	47.0	[5.57746]	[145]	[5.973965]	[153]	[136225716]	[136225724]
92_10235	chr6	147044194	147044594	+	1000	47.0	[9.700032]	[118]	[9.728294]	[118]	[147044397]	[147044397]
92_10240	chr7	16708991	16709391	+	1000	47.0	[8.611706, 7.736685]	[166, 174]	[13.675624, 11.214482]	[166, 174]	[16709233, 16709241]	[16709233, 16709241]
92_10242	chr7	32616684	32617084	+	1000	47.0	[]	[]	[9.623063]	[153]	[]	[32616931]
92_10245	chr7	75970186	75970586	+	1000	47.0	[7.02068]	[144]	[10.508973]	[144]	[75970404]	[75970404]
92_1025	chr2	11187143	11187543	+	1000	130.0	[11.259249]	[62]	[10.557858]	[65]	[11187304]	[11187307]
92_10257	chr7	123609252	123609652	+	1000	47.0	[9.896005]	[92]	[]	[]	[123609431]	[]
92_10271	chr8	65841880	65842280	+	1000	47.0	[11.210287]	[142]	[11.210287]	[142]	[65842109]	[65842109]
92_10272	chr8	73520634	73521034	+	1000	47.0	[6.0159903]	[225]	[13.486869]	[159]	[73520877]	[73520811]
92_10278	chr9	2015137	2015537	+	1000	47.0	[11.236842]	[84]	[8.741374]	[84]	[2015304]	[2015304]
92_10279	chr9	32991871	32992271	+	1000	47.0	[7.0594378]	[125]	[10.470215]	[125]	[32992063]	[32992063]
92_10284	chr9	99019810	99020210	+	1000	47.0	[17.21607]	[102]	[8.741374]	[102]	[99019996]	[99019996]
92_10287	chr9	128215930	128216330	+	1000	47.0	[]	[]	[7.402073]	[65]	[]	[128216091]
92_10306	chr1	10555615	10556015	+	1000	46.0	[]	[]	[11.997897]	[144]	[]	[10555828]
92_10316	chr1	69976916	69977316	+	1000	46.0	[]	[]	[13.068796]	[59]	[]	[69977071]
92_10319	chr1	89953181	89953581	+	1000	46.0	[]	[]	[8.337178]	[76]	[]	[89953340]
92_10321	chr1	109383822	109384222	+	1000	46.0	[]	[]	[13.486869]	[84]	[]	[109383975]
92_10322	chr1	109636356	109636756	+	1000	46.0	[6.0625196]	[78]	[]	[]	[109636533]	[]
92_10327	chr1	116278195	116278595	+	1000	46.0	[14.052155]	[179]	[]	[]	[116278437]	[]
92_10342	chr1	180123486	180123886	+	1000	46.0	[]	[]	[11.997897]	[78]	[]	[180123648]
92_10343	chr1	180881812	180882212	+	1000	46.0	[8.611706]	[170]	[13.675624]	[170]	[180882051]	[180882051]
92_10344	chr1	191889122	191889522	+	1000	46.0	[6.525358]	[156]	[]	[]	[191889356]	[]
92_10345	chr1	194658100	194658500	+	1000	46.0	[5.8273573]	[145]	[]	[]	[194658334]	[]
92_10349	chr1	201554889	201555289	+	1000	46.0	[10.704721]	[136]	[15.729881]	[136]	[201555118]	[201555118]
92_10361	chr1	234755374	234755774	+	1000	46.0	[11.959139]	[162]	[]	[]	[234755600]	[]
92_10366	chr10	5291692	5292092	+	1000	46.0	[]	[]	[9.773061]	[66]	[]	[5291844]
92_10369	chr10	17758186	17758586	+	1000	46.0	[6.4017763]	[79]	[]	[]	[17758341]	[]
92_1037	chr1	84103368	84103768	+	1000	129.0	[10.704721]	[126]	[15.729881]	[126]	[84103576]	[84103576]
92_10376	chr10	73743850	73744250	+	1000	46.0	[]	[]	[5.601644]	[138]	[]	[73744085]
92_10377	chr10	73849070	73849470	+	1000	46.0	[10.557858]	[113]	[]	[]	[73849277]	[]
92_10381	chr11	4044024	4044424	+	1000	46.0	[5.8644886]	[84]	[6.4098377, 5.2078648]	[79, 108]	[4044208]	[4044203, 4044232]
92_10386	chr11	27317734	27318134	+	1000	46.0	[]	[]	[7.74844]	[131]	[]	[27317965]
92_10394	chr11	58771448	58771848	+	1000	46.0	[12.000681]	[146]	[6.5485716]	[146]	[58771668]	[58771668]
92_10396	chr11	63858598	63858998	+	1000	46.0	[10.704721]	[135]	[15.729881]	[135]	[63858815]	[63858815]
92_1040	chr11	34371491	34371891	+	1000	129.0	[6.0289807, 11.997897, 6.4017763]	[129, 146, 163]	[]	[]	[34371699, 34371716, 34371733]	[]
92_10402	chr11	86741854	86742254	+	1000	46.0	[]	[]	[9.055257]	[101]	[]	[86742038]
92_1042	chr11	129966276	129966676	+	1000	129.0	[8.415957]	[96]	[4.966422]	[96]	[129966462]	[129966462]
92_10423	chr12	103960570	103960970	+	1000	46.0	[8.741374]	[96]	[17.21607]	[96]	[103960763]	[103960763]
92_10426	chr12	120302038	120302438	+	1000	46.0	[]	[]	[5.238619]	[144]	[]	[120302281]
92_10428	chr12	122740400	122740800	+	1000	46.0	[15.161812]	[92]	[6.648359]	[92]	[122740580]	[122740580]
92_10439	chr14	69580002	69580402	+	1000	46.0	[]	[]	[12.565967]	[164]	[]	[69580215]
92_1044	chr12	122895976	122896376	+	1000	129.0	[7.3761187, 13.2645445, 8.530655]	[104, 123, 153]	[13.303303]	[123]	[122896161, 122896180, 122896210]	[122896180]
92_10440	chr14	90383239	90383639	+	1000	46.0	[7.346482]	[127]	[]	[]	[90383443]	[]
92_10445	chr15	38528306	38528706	+	1000	46.0	[]	[]	[6.8748045]	[148]	[]	[38528554]
92_10447	chr15	51796760	51797160	+	1000	46.0	[5.25817]	[74]	[]	[]	[51796912]	[]
92_1045	chr15	80155536	80155936	+	1000	129.0	[]	[]	[8.699425]	[145]	[]	[80155774]
92_10457	chr16	3846556	3846956	+	1000	46.0	[]	[]	[5.823968]	[158]	[]	[3846799]
92_10460	chr16	20910729	20911129	+	1000	46.0	[5.9799123]	[92]	[]	[]	[20910890]	[]
92_10466	chr16	30935096	30935496	+	1000	46.0	[7.02068]	[87]	[10.508973]	[87]	[30935268]	[30935268]
92_10468	chr16	48394329	48394729	+	1000	46.0	[7.485281, 13.2645445]	[78, 104]	[13.303303]	[104]	[48394497, 48394523]	[48394523]
92_1047	chr19	8423909	8424309	+	1000	129.0	[6.5574484]	[62]	[11.582608]	[62]	[8424071]	[8424071]
92_10474	chr16	84603114	84603514	+	1000	46.0	[6.3555593]	[148]	[8.067049]	[100]	[84603332]	[84603284]
92_10477	chr17	17837373	17837773	+	1000	46.0	[]	[]	[6.352823, 10.489066]	[100, 183]	[]	[17837539, 17837622]
92_10485	chr17	58577009	58577409	+	1000	46.0	[5.57746]	[88]	[]	[]	[58577194]	[]
92_10489	chr17	75033711	75034111	+	1000	46.0	[]	[]	[5.5148115]	[110]	[]	[75033912]
92_10499	chr18	35934033	35934433	+	1000	46.0	[12.347575]	[81]	[]	[]	[35934191]	[]
92_10500	chr18	46199500	46199900	+	1000	46.0	[]	[]	[5.493584]	[127]	[]	[46199708]
92_10501	chr18	46431824	46432224	+	1000	46.0	[11.005662]	[91]	[]	[]	[46431995]	[]
92_10504	chr19	6280147	6280547	+	995	46.0	[6.5485716]	[250]	[12.000681]	[250]	[6280398]	[6280398]
92_10505	chr19	7159527	7159927	+	1000	46.0	[15.161812]	[97]	[6.648359]	[97]	[7159708]	[7159708]
92_10507	chr19	13717336	13717736	+	1000	46.0	[6.0127234]	[115]	[]	[]	[13717544]	[]
92_10510	chr19	18013695	18014095	+	1000	46.0	[7.3017154]	[85]	[8.503669, 12.259855]	[77, 85]	[18013857]	[18013849, 18013857]
92_10514	chr19	34319863	34320263	+	1000	46.0	[8.514785]	[176]	[]	[]	[34320112]	[]
92_10515	chr19	35247398	35247798	+	1000	46.0	[5.214797]	[92]	[]	[]	[35247580]	[]
92_1052	chr6	136403577	136403977	+	1000	129.0	[]	[]	[4.994404]	[100]	[]	[136403769]
92_10521	chr19	42010310	42010710	+	1000	46.0	[11.997897]	[104]	[]	[]	[42010508]	[]
92_10524	chr19	48107336	48107736	+	1000	46.0	[]	[]	[5.9832387]	[164]	[]	[48107577]
92_1053	chr6	167855855	167856255	+	1000	129.0	[8.200302]	[67]	[]	[]	[167856020]	[]
92_10531	chr2	20182571	20182971	+	1000	46.0	[8.510532]	[92]	[]	[]	[20182744]	[]
92_10536	chr2	58796261	58796661	+	1000	46.0	[10.196721]	[134]	[5.626772]	[134]	[58796483]	[58796483]
92_1054	chr8	30082252	30082652	+	1000	129.0	[6.6940527, 6.6871166]	[131, 134]	[6.4086404, 15.123054]	[115, 134]	[30082481, 30082484]	[30082465, 30082484]
92_1056	chr8	127618391	127618791	+	1000	129.0	[]	[]	[5.4847074]	[127]	[]	[127618612]
92_10569	chr20	51354921	51355321	+	1000	46.0	[15.161812]	[62]	[6.648359, 6.6451674]	[62, 118]	[51355076]	[51355076, 51355132]
92_10572	chr20	56447991	56448391	+	1000	46.0	[5.3187795]	[88]	[]	[]	[56448168]	[]
92_10573	chr20	62651997	62652397	+	1000	46.0	[10.430194]	[99]	[]	[]	[62652191]	[]
92_10582	chr22	18056313	18056713	+	1000	46.0	[10.470215]	[99]	[7.0594378]	[99]	[18056504]	[18056504]
92_10587	chr22	21824116	21824516	+	1000	46.0	[]	[]	[6.474206]	[148]	[]	[21824360]
92_10589	chr22	23279875	23280275	+	1000	46.0	[9.811819, 10.704721]	[54, 90]	[15.729881]	[90]	[23280026, 23280062]	[23280062]
92_10603	chr3	128725845	128726245	+	1000	46.0	[6.3714294]	[142]	[]	[]	[128726073]	[]
92_10607	chr3	170726620	170727020	+	1000	46.0	[]	[]	[8.434809]	[132]	[]	[170726842]
92_10608	chr3	172140539	172140939	+	1000	46.0	[8.472972]	[112]	[5.9800196]	[130]	[172140710]	[172140728]
92_10612	chr3	195448451	195448851	+	1000	46.0	[5.643669, 9.896005]	[74, 121]	[9.160225]	[74]	[195448620, 195448667]	[195448620]
92_10620	chr4	118591479	118591879	+	1000	46.0	[11.210287, 11.210287]	[114, 139]	[11.210287, 11.210287]	[114, 139]	[118591684, 118591709]	[118591684, 118591709]
92_10623	chr5	34626054	34626454	+	1000	46.0	[17.21607]	[103]	[8.741374]	[103]	[34626241]	[34626241]
92_10626	chr5	79235915	79236315	+	1000	46.0	[]	[]	[8.405565]	[125]	[]	[79236137]
92_1063	chr10	69217177	69217577	+	1000	128.0	[14.052155, 6.4017763]	[103, 126]	[]	[]	[69217372, 69217395]	[]
92_10638	chr5	150763326	150763726	+	1000	46.0	[5.4847074]	[147]	[]	[]	[150763568]	[]
92_10639	chr5	159341835	159342235	+	1000	46.0	[11.959139]	[98]	[]	[]	[159342005]	[]
92_10646	chr6	12044929	12045329	+	1000	46.0	[8.200302]	[70]	[]	[]	[12045086]	[]
92_10652	chr6	27791226	27791626	+	1000	46.0	[]	[]	[9.553237]	[96]	[]	[27791412]
92_10661	chr6	49940001	49940401	+	1000	46.0	[]	[]	[8.405565]	[118]	[]	[49940216]
92_10665	chr6	119446026	119446426	+	1000	46.0	[]	[]	[4.994404, 14.118364]	[76, 129]	[]	[119446192, 119446245]
92_10668	chr6	135088746	135089146	+	1000	46.0	[7.913128]	[93]	[11.959139]	[154]	[135088927]	[135088988]
92_10680	chr7	42911891	42912291	+	1000	46.0	[5.8056316]	[119]	[]	[]	[42912086]	[]
92_10683	chr7	73849335	73849735	+	1000	46.0	[10.470215]	[103]	[7.0594378]	[103]	[73849511]	[73849511]
92_10695	chr7	151727663	151728063	+	1000	46.0	[5.3048286]	[142]	[]	[]	[151727879]	[]
92_10702	chr8	23221381	23221781	+	1000	46.0	[13.059919]	[87]	[5.012173, 6.6940527]	[87, 90]	[23221554]	[23221554, 23221557]
92_10707	chr8	65842377	65842777	+	1000	46.0	[9.535344]	[141]	[9.147153]	[141]	[65842570]	[65842570]
92_10716	chr8	129456100	129456500	+	1000	46.0	[8.618374]	[82]	[]	[]	[129456280]	[]
92_10717	chr9	12784465	12784865	+	1000	46.0	[8.843218]	[129]	[]	[]	[12784657]	[]
92_1072	chr22	21876725	21877125	+	1000	128.0	[12.347575]	[130]	[8.109006]	[57]	[21876954]	[21876881]
92_10723	chr9	122394528	122394928	+	1000	46.0	[]	[]	[6.741014]	[97]	[]	[122394723]
92_10740	chr1	10474735	10475135	+	1000	45.0	[]	[]	[6.540124]	[137]	[]	[10474967]
92_10742	chr1	20587649	20588049	+	1000	45.0	[6.653221, 6.5616426]	[87, 128]	[5.8273573, 7.1755204, 8.109006, 8.545626]	[79, 87, 128, 162]	[20587825, 20587866]	[20587817, 20587825, 20587866, 20587900]
92_10751	chr1	39799917	39800317	+	1000	45.0	[6.5840034]	[144]	[5.466913, 9.113695]	[60, 144]	[39800161]	[39800077, 39800161]
92_10755	chr1	51541237	51541637	+	1000	45.0	[]	[]	[6.2473726, 9.640858]	[130, 139]	[]	[51541465, 51541474]
92_10759	chr1	64757184	64757584	+	1000	45.0	[5.689363, 15.729881]	[115, 123]	[10.704721]	[123]	[64757362, 64757370]	[64757370]
92_1076	chr3	186882793	186883193	+	1000	128.0	[]	[]	[7.058332, 5.7313886]	[138, 148]	[]	[186883021, 186883031]
92_10765	chr1	109084567	109084967	+	1000	45.0	[5.4847074]	[138]	[]	[]	[109084798]	[]
92_10774	chr1	153963473	153963873	+	1000	45.0	[9.535344]	[88]	[9.147153]	[88]	[153963647]	[153963647]
92_10778	chr1	168220491	168220891	+	1000	45.0	[11.959139]	[121]	[]	[]	[168220699]	[]
92_10783	chr1	201170476	201170876	+	1000	45.0	[]	[]	[9.896005]	[162]	[]	[201170722]
92_10784	chr1	201571111	201571511	+	1000	45.0	[8.109006]	[96]	[6.4098377, 6.5616426, 8.699425]	[91, 96, 108]	[201571284]	[201571279, 201571284, 201571296]
92_1079	chr5	150142915	150143315	+	1000	128.0	[]	[]	[10.2545595]	[140]	[]	[150143154]
92_10796	chr1	234546906	234547306	+	1000	45.0	[]	[]	[8.2299385]	[103]	[]	[234547079]
92_1080	chr6	6678225	6678625	+	1000	128.0	[7.0594378]	[79]	[10.470215]	[79]	[6678400]	[6678400]
92_10809	chr10	44245486	44245886	+	1000	45.0	[8.741374]	[103]	[17.21607, 14.052155]	[103, 136]	[44245671]	[44245671, 44245704]
92_10814	chr10	99906410	99906810	+	1000	45.0	[5.0391703]	[143]	[]	[]	[99906644]	[]
92_10819	chr11	2285921	2286321	+	1000	45.0	[7.0255423]	[99]	[]	[]	[2286117]	[]
92_1082	chr6	30682029	30682429	+	1000	128.0	[7.0255423]	[155]	[]	[]	[30682278]	[]
92_10840	chr11	129960220	129960620	+	1000	45.0	[]	[]	[6.4017763]	[100]	[]	[129960407]
92_10848	chr12	48236051	48236451	+	1000	45.0	[10.599883]	[150]	[]	[]	[48236296]	[]
92_10861	chr12	102061943	102062343	+	1000	45.0	[7.964857]	[153]	[6.984709]	[153]	[102062179]	[102062179]
92_10868	chr14	67680908	67681308	+	1000	45.0	[6.0127234, 15.729881]	[108, 127]	[10.704721]	[127]	[67681083, 67681102]	[67681102]
92_10869	chr14	76959345	76959745	+	1000	45.0	[]	[]	[7.74844]	[171]	[]	[76959578]
92_1087	chr9	116395278	116395678	+	1000	128.0	[15.729881, 14.052155]	[66, 130]	[10.704721, 6.7021823]	[66, 125]	[116395436, 116395500]	[116395436, 116395495]
92_10871	chr15	27820158	27820558	+	1000	45.0	[7.047887]	[149]	[]	[]	[27820395]	[]
92_10878	chr15	63179054	63179454	+	1000	45.0	[7.47221]	[127]	[7.47221]	[127]	[63179253]	[63179253]
92_10890	chr16	3962770	3963170	+	1000	45.0	[9.535344, 9.182585]	[112, 127]	[9.147153, 6.648359]	[112, 127]	[3962972, 3962987]	[3962972, 3962987]
92_10891	chr16	8623616	8624016	+	1000	45.0	[6.6940527, 10.704721]	[136, 139]	[6.674804, 15.729881]	[110, 139]	[8623833, 8623836]	[8623807, 8623836]
92_10906	chr17	6223237	6223637	+	1000	45.0	[5.6010065]	[126]	[]	[]	[6223463]	[]
92_10908	chr17	18220757	18221157	+	1000	45.0	[10.861387]	[124]	[]	[]	[18220978]	[]
92_10909	chr17	28034171	28034571	+	1000	45.0	[6.401708]	[113]	[]	[]	[28034381]	[]
92_10910	chr17	29237365	29237765	+	1000	45.0	[5.9808974, 8.191424, 6.4187145]	[55, 121, 136]	[]	[]	[29237519, 29237585, 29237600]	[]
92_10913	chr17	32722691	32723091	+	1000	45.0	[7.5866]	[69]	[]	[]	[32722852]	[]
92_10917	chr17	48265883	48266283	+	1000	45.0	[]	[]	[11.393853]	[97]	[]	[48266056]
92_1092	chr16	4780238	4780638	+	1000	127.0	[5.012173]	[138]	[13.059919, 5.381711]	[138, 149]	[4780469]	[4780469, 4780480]
92_10928	chr17	76264676	76265076	+	1000	45.0	[6.8409157, 10.232153]	[66, 140]	[9.078603]	[66]	[76264840, 76264914]	[76264840]
92_10929	chr17	76268218	76268618	+	1000	45.0	[11.959139]	[105]	[]	[]	[76268417]	[]
92_1093	chr17	39650016	39650416	+	1000	127.0	[13.636866]	[115]	[8.650464]	[115]	[39650182]	[39650182]
92_10932	chr17	79941951	79942351	+	1000	45.0	[15.35756]	[94]	[15.35756]	[94]	[79942145]	[79942145]
92_10933	chr17	80068646	80069046	+	1000	45.0	[12.347575]	[75]	[]	[]	[80068813]	[]
92_10934	chr17	82461922	82462322	+	1000	45.0	[6.0547485]	[111]	[]	[]	[82462129]	[]
92_10936	chr18	3177943	3178343	+	1000	45.0	[10.057873]	[127]	[9.038966]	[127]	[3178164]	[3178164]
92_10937	chr18	3321457	3321857	+	1000	45.0	[5.2078648]	[102]	[9.841455]	[110]	[3321655]	[3321663]
92_10940	chr18	12491824	12492224	+	1000	45.0	[7.0594378]	[91]	[]	[]	[12492001]	[]
92_10941	chr18	23231333	23231733	+	1000	45.0	[10.623671]	[102]	[5.199823]	[102]	[23231529]	[23231529]
92_10943	chr18	49017107	49017507	+	1000	45.0	[8.270968]	[148]	[]	[]	[49017350]	[]
92_10944	chr18	51229320	51229720	+	1000	45.0	[]	[]	[5.915885]	[128]	[]	[51229522]
92_10950	chr19	11560332	11560732	+	1000	45.0	[7.132186]	[90]	[]	[]	[11560510]	[]
92_10968	chr19	52860551	52860951	+	1000	45.0	[]	[]	[5.57746]	[73]	[]	[52860704]
92_10974	chr2	20502040	20502440	+	1000	45.0	[6.653221]	[145]	[7.5058436, 7.1755204]	[106, 145]	[20502268]	[20502229, 20502268]
92_10982	chr2	101038571	101038971	+	1000	45.0	[14.052155]	[103]	[]	[]	[101038770]	[]
92_10989	chr2	168685922	168686322	+	1000	45.0	[5.266344]	[148]	[]	[]	[168686166]	[]
92_10995	chr2	208929376	208929776	+	1000	45.0	[6.166804]	[152]	[10.000973]	[91]	[208929593]	[208929532]
92_10997	chr20	369574	369974	+	1000	45.0	[6.5485716]	[122]	[12.000681]	[122]	[369796]	[369796]
92_10998	chr20	9051505	9051905	+	1000	45.0	[6.45261]	[122]	[]	[]	[9051712]	[]
92_1100	chr5	65121936	65122336	+	1000	127.0	[]	[]	[7.8417473]	[157]	[]	[65122179]
92_11002	chr20	43583904	43584304	+	1000	45.0	[]	[]	[10.472951]	[130]	[]	[43584093]
92_11005	chr20	50372700	50373100	+	1000	45.0	[]	[]	[7.5300474]	[93]	[]	[50372893]
92_1101	chr5	172771135	172771535	+	1000	127.0	[11.210287, 6.6063333]	[103, 150]	[11.210287, 6.6450915]	[103, 150]	[172771312, 172771359]	[172771312, 172771359]
92_11013	chr21	38797526	38797926	+	1000	45.0	[]	[]	[7.718803]	[139]	[]	[38797736]
92_11022	chr22	21826252	21826652	+	1000	45.0	[7.132186]	[95]	[]	[]	[21826422]	[]
92_11023	chr22	21870127	21870527	+	1000	45.0	[7.8020997]	[161]	[]	[]	[21870293]	[]
92_11026	chr22	24728923	24729323	+	1000	45.0	[8.136875]	[132]	[]	[]	[24729149]	[]
92_11027	chr22	32649514	32649914	+	1000	45.0	[]	[]	[6.417517]	[107]	[]	[32649708]
92_11028	chr22	39840026	39840426	+	838	45.0	[9.077618]	[139]	[5.57746]	[147]	[39840249]	[39840257]
92_11034	chr3	4021137	4021537	+	1000	45.0	[15.35756]	[102]	[15.35756]	[102]	[4021325]	[4021325]
92_1104	chr6	150271942	150272342	+	1000	127.0	[13.2645445]	[168]	[13.303303]	[168]	[150272177]	[150272177]
92_11051	chr3	142850281	142850681	+	849	45.0	[]	[]	[7.03367]	[132]	[]	[142850460]
