#PeakID(python identify_motif.py ./ENCODE_processed_files/SREBF2_idr.fa SREBF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
99_11972	chr3	158801834	158802234	+	1000	43.0	[12.241914, 9.881098]	[104, 122]	[14.372988, 10.132329]	[104, 122]	[158802037, 158802055]	[158802037, 158802055]
99_11986	chr4	1715278	1715678	+	1000	43.0	[7.0990143]	[72]	[5.4686193]	[72]	[1715434]	[1715434]
99_11994	chr4	40198070	40198470	+	1000	43.0	[4.8022575]	[146]	[7.8279915]	[146]	[40198255]	[40198255]
99_11998	chr4	70704265	70704665	+	1000	43.0	[7.7586694]	[197]	[]	[]	[70704512]	[]
99_12005	chr4	170027500	170027900	+	1000	43.0	[]	[]	[5.207615, 5.2188683]	[102, 164]	[]	[170027679, 170027741]
99_12117	chr6	146864933	146865333	+	1000	43.0	[4.778447]	[116]	[]	[]	[146865141]	[]
99_1212	chr9	130887852	130888252	+	1000	74.0	[]	[]	[4.841732]	[182]	[]	[130888038]
99_12140	chr7	16644489	16644889	+	1000	43.0	[6.410637]	[113]	[4.996092]	[113]	[16644680]	[16644680]
99_12183	chr7	106867881	106868281	+	764	43.0	[5.2342973]	[108]	[]	[]	[106868040]	[]
99_12206	chr7	130072119	130072519	+	1000	43.0	[12.811104]	[137]	[11.720621]	[137]	[130072327]	[130072327]
99_1226	chr1	112955873	112956273	+	1000	73.0	[]	[]	[6.8097057]	[151]	[]	[112956070]
99_12264	chr9	83920785	83921185	+	1000	43.0	[7.355334]	[155]	[5.2967796]	[155]	[83921002]	[83921002]
99_12292	chr9	128362037	128362437	+	1000	43.0	[]	[]	[5.5897145]	[177]	[]	[128362271]
99_12312	chrX	47561083	47561483	+	1000	43.0	[]	[]	[6.375795]	[121]	[]	[47561247]
99_12331	chr1	11841192	11841592	+	1000	42.0	[5.095657]	[178]	[5.2342973]	[231]	[11841373]	[11841426]
99_12336	chr1	12481159	12481559	+	1000	42.0	[7.004441]	[94]	[6.309554]	[94]	[12481317]	[12481317]
99_12357	chr1	22420471	22420871	+	1000	42.0	[]	[]	[4.9917645]	[64]	[]	[22420622]
99_1236	chr1	236523864	236524264	+	1000	73.0	[7.2020645]	[122]	[7.2020645]	[122]	[236524066]	[236524066]
99_1237	chr10	49538970	49539370	+	1000	73.0	[7.178006]	[100]	[7.178006]	[100]	[49539163]	[49539163]
99_12381	chr1	39896867	39897267	+	1000	42.0	[4.8139114]	[82]	[]	[]	[39897043]	[]
99_1240	chr11	66958564	66958964	+	1000	73.0	[6.8180256]	[152]	[6.373862]	[152]	[66958784]	[66958784]
99_12456	chr1	183567548	183567948	+	1000	42.0	[7.2258306]	[94]	[10.987299]	[94]	[183567732]	[183567732]
99_12505	chr1	235090840	235091240	+	1000	42.0	[5.5206485]	[152]	[5.9600697]	[152]	[235091037]	[235091037]
99_12528	chr10	47336379	47336779	+	726	42.0	[5.1985173]	[192]	[5.796432]	[192]	[47336610]	[47336610]
99_12530	chr10	49164467	49164867	+	1000	42.0	[5.002631]	[81]	[5.547099]	[81]	[49164620]	[49164620]
99_12598	chr11	86196210	86196610	+	874	42.0	[5.144649]	[157]	[5.916586]	[157]	[86196445]	[86196445]
99_12618	chr12	53500363	53500763	+	1000	42.0	[5.8035364]	[93]	[]	[]	[53500526]	[]
99_12641	chr13	90197635	90198035	+	1000	42.0	[6.1819606]	[101]	[5.414555]	[101]	[90197794]	[90197794]
99_12732	chr16	67236389	67236789	+	1000	42.0	[]	[]	[5.9712152]	[121]	[]	[67236583]
99_12739	chr16	75064769	75065169	+	1000	42.0	[7.907915]	[218]	[9.243289]	[218]	[75065012]	[75065012]
99_1275	chr6	30571315	30571715	+	1000	73.0	[8.643185]	[168]	[10.793465]	[168]	[30571556]	[30571556]
99_12794	chr17	51166924	51167324	+	1000	42.0	[]	[]	[5.968407]	[160]	[]	[51167163]
99_12803	chr17	75754461	75754861	+	1000	42.0	[4.8104844]	[127]	[]	[]	[75754681]	[]
99_1281	chr6	41921439	41921839	+	1000	73.0	[]	[]	[5.7822747]	[156]	[]	[41921678]
99_12829	chr19	1811476	1811876	+	1000	42.0	[]	[]	[5.026335]	[131]	[]	[1811636]
99_1284	chr6	110981932	110982332	+	1000	73.0	[9.416359]	[159]	[10.959755]	[159]	[110982175]	[110982175]
99_12843	chr19	13104415	13104815	+	1000	42.0	[]	[]	[5.2188683]	[67]	[]	[13104577]
99_12852	chr19	18173373	18173773	+	1000	42.0	[8.039114]	[150]	[6.123891]	[150]	[18173595]	[18173595]
99_1287	chr6	157980897	157981297	+	1000	73.0	[6.5676956]	[112]	[5.4006715]	[112]	[157981094]	[157981094]
99_12919	chr2	96873468	96873868	+	1000	42.0	[]	[]	[5.320216]	[84]	[]	[96873649]
99_1295	chr7	149028740	149029140	+	1000	73.0	[9.707419]	[198]	[8.0962305]	[198]	[149028964]	[149028964]
99_12952	chr20	41137879	41138279	+	1000	42.0	[12.74451]	[93]	[11.114115]	[93]	[41138048]	[41138048]
99_12959	chr20	49936649	49937049	+	1000	42.0	[10.950523]	[144]	[9.047765]	[144]	[49936830]	[49936830]
99_12973	chr21	44517410	44517810	+	1000	42.0	[]	[]	[4.8692756]	[150]	[]	[44517588]
99_13015	chr22	20158549	20158949	+	610	42.0	[6.444684]	[99]	[]	[]	[20158700]	[]
99_13021	chr22	20439984	20440384	+	1000	42.0	[5.4686193]	[150]	[7.0990143]	[150]	[20440169]	[20440169]
99_13065	chr3	37967379	37967779	+	1000	42.0	[4.8022575]	[137]	[7.8279915]	[137]	[37967593]	[37967593]
99_1315	chr1	25430222	25430622	+	1000	72.0	[7.601611]	[125]	[]	[]	[25430440]	[]
99_1317	chr1	31159810	31160210	+	1000	72.0	[5.722752]	[164]	[6.562003]	[164]	[31160033]	[31160033]
99_13185	chr6	34982510	34982910	+	863	42.0	[11.000501]	[99]	[11.7962]	[99]	[34982687]	[34982687]
99_13283	chr7	107024865	107025265	+	1000	42.0	[5.558383]	[136]	[5.1339345]	[136]	[107025091]	[107025091]
99_13292	chr7	112422625	112423025	+	1000	42.0	[4.8358445, 10.933234]	[113, 154]	[5.8035364, 6.308777]	[138, 154]	[112422798, 112422839]	[112422823, 112422839]
99_1333	chr11	126211542	126211942	+	1000	72.0	[10.3032675, 6.6088166]	[141, 171]	[13.004938, 9.830373]	[141, 171]	[126211719, 126211749]	[126211719, 126211749]
99_1334	chr12	49060749	49061149	+	1000	72.0	[]	[]	[5.2188683]	[147]	[]	[49060908]
99_1335	chr12	109093293	109093693	+	1000	72.0	[4.8347507]	[118]	[6.184257]	[118]	[109093489]	[109093489]
99_1336	chr14	24114651	24115051	+	1000	72.0	[6.329314]	[99]	[5.774573]	[99]	[24114830]	[24114830]
99_13365	chr8	127961007	127961407	+	1000	42.0	[]	[]	[5.752217]	[122]	[]	[127961183]
99_13376	chr8	144059452	144059852	+	1000	42.0	[6.9760795]	[130]	[7.2684712]	[130]	[144059653]	[144059653]
99_13407	chr9	128248365	128248765	+	1000	42.0	[8.008061]	[142]	[6.8983717]	[142]	[128248551]	[128248551]
99_1343	chr17	58249703	58250103	+	1000	72.0	[5.954486]	[102]	[5.954486, 5.066255]	[102, 113]	[58249873]	[58249873, 58249884]
99_13450	chr1	20187254	20187654	+	1000	41.0	[6.1278963]	[195]	[]	[]	[20187487]	[]
99_1347	chr21	42973797	42974197	+	1000	72.0	[6.123891]	[155]	[8.039114]	[155]	[42973995]	[42973995]
99_13481	chr1	30190147	30190547	+	619	41.0	[]	[]	[5.3542013]	[140]	[]	[30190336]
99_1350	chr22	19773532	19773932	+	1000	72.0	[9.302839]	[143]	[7.939172]	[143]	[19773702]	[19773702]
99_13512	chr1	52629320	52629720	+	1000	41.0	[5.338483]	[193]	[]	[]	[52629528]	[]
99_13514	chr1	54355706	54356106	+	1000	41.0	[5.942088]	[63]	[4.8516054]	[63]	[54355858]	[54355858]
99_13522	chr1	108560875	108561275	+	959	41.0	[]	[]	[4.841732]	[160]	[]	[108561043]
99_13537	chr1	117339900	117340300	+	1000	41.0	[]	[]	[5.7233167]	[110]	[]	[117340086]
99_13544	chr1	150578628	150579028	+	765	41.0	[]	[]	[7.4587026]	[146]	[]	[150578854]
99_13578	chr1	197356872	197357272	+	635	41.0	[4.841732]	[99]	[]	[]	[197357035]	[]
99_13610	chr1	230123694	230124094	+	1000	41.0	[5.106303]	[172]	[6.224505]	[148]	[230123932]	[230123908]
99_13626	chr10	11901453	11901853	+	1000	41.0	[4.8104844]	[174]	[]	[]	[11901700]	[]
99_13668	chr11	20110788	20111188	+	1000	41.0	[5.7498374]	[141]	[7.448025]	[141]	[20110989]	[20110989]
99_13693	chr11	65856465	65856865	+	1000	41.0	[7.04495]	[98]	[]	[]	[65856628]	[]
99_1370	chr3	9362881	9363281	+	1000	72.0	[6.626487]	[111]	[4.918883]	[111]	[9363067]	[9363067]
99_13708	chr11	76787983	76788383	+	1000	41.0	[5.7233167]	[130]	[]	[]	[76788202]	[]
99_13739	chr12	54285985	54286385	+	1000	41.0	[7.7586694]	[179]	[]	[]	[54286223]	[]
99_13754	chr12	96489362	96489762	+	1000	41.0	[6.0413485]	[128]	[]	[]	[96489546]	[]
99_13766	chr12	113392903	113393303	+	1000	41.0	[11.914455]	[133]	[11.393749]	[133]	[113393083]	[113393083]
99_1377	chr6	33271934	33272334	+	1000	72.0	[]	[]	[4.764523]	[162]	[]	[33272138]
99_13810	chr13	110869925	110870325	+	1000	41.0	[]	[]	[4.8104844]	[138]	[]	[110870132]
99_13818	chr14	34043883	34044283	+	979	41.0	[11.144358]	[139]	[7.63041]	[139]	[34044091]	[34044091]
99_13832	chr15	40436553	40436953	+	1000	41.0	[6.4171405]	[144]	[]	[]	[40436723]	[]
99_13836	chr15	40930475	40930875	+	1000	41.0	[]	[]	[5.3542013]	[134]	[]	[40930678]
99_13867	chr16	2212401	2212801	+	1000	41.0	[4.996092]	[120]	[6.410637]	[120]	[2212564]	[2212564]
99_1390	chr7	100429163	100429563	+	1000	72.0	[4.9018226]	[157]	[4.9018226]	[157]	[100429321]	[100429321]
99_13903	chr16	87484598	87484998	+	881	41.0	[]	[]	[6.444684]	[229]	[]	[87484842]
99_13921	chr17	39926648	39927048	+	1000	41.0	[5.2342973]	[199]	[]	[]	[39926887]	[]
99_13929	chr17	42700153	42700553	+	927	41.0	[5.602598]	[205]	[6.6158714]	[205]	[42700398]	[42700398]
99_1393	chr8	22244747	22245147	+	1000	72.0	[6.355444]	[174]	[6.413446]	[174]	[22244959]	[22244959]
99_13946	chr17	76501505	76501905	+	1000	41.0	[7.929857]	[87]	[6.6241918]	[87]	[76501682]	[76501682]
99_1396	chr9	37079348	37079748	+	1000	72.0	[5.954486]	[116]	[5.954486]	[116]	[37079556]	[37079556]
99_14007	chr19	39481045	39481445	+	1000	41.0	[9.16307]	[107]	[10.27358]	[107]	[39481225]	[39481225]
99_14013	chr19	41959070	41959470	+	954	41.0	[8.039114]	[104]	[6.123891]	[104]	[41959232]	[41959232]
99_14053	chr2	42946674	42947074	+	1000	41.0	[10.497101]	[76]	[11.587584]	[76]	[42946840]	[42946840]
99_14096	chr2	215421953	215422353	+	1000	41.0	[11.298452]	[125]	[9.938496]	[125]	[215422156]	[215422156]
99_14097	chr2	218406554	218406954	+	1000	41.0	[]	[]	[7.04495]	[204]	[]	[218406796]
99_14144	chr22	19225219	19225619	+	1000	41.0	[7.04495]	[130]	[6.7558374]	[152]	[19225393]	[19225415]
99_1419	chr1	174999468	174999868	+	1000	71.0	[6.413446]	[139]	[6.216803]	[139]	[174999644]	[174999644]
99_14236	chr3	47781115	47781515	+	1000	41.0	[5.5981226]	[188]	[]	[]	[47781356]	[]
99_14283	chr4	20700022	20700422	+	1000	41.0	[6.671065]	[156]	[]	[]	[20700262]	[]
99_14292	chr4	40317159	40317559	+	1000	41.0	[4.942262, 6.123891]	[84, 89]	[8.177755]	[89]	[40317326, 40317331]	[40317331]
99_14315	chr5	10987897	10988297	+	1000	41.0	[6.375795]	[146]	[]	[]	[10988106]	[]
99_14359	chr6	3195065	3195465	+	1000	41.0	[]	[]	[4.961886]	[95]	[]	[3195235]
99_14366	chr6	13407960	13408360	+	942	41.0	[4.942262]	[162]	[]	[]	[13408131]	[]
99_14368	chr6	14452676	14453076	+	1000	41.0	[]	[]	[4.8142886]	[164]	[]	[14452891]
99_14391	chr6	26330796	26331196	+	1000	41.0	[5.7233167]	[111]	[]	[]	[26331002]	[]
99_1440	chr19	13774422	13774822	+	1000	71.0	[10.484703]	[124]	[10.484703]	[124]	[13774627]	[13774627]
99_14408	chr6	30689469	30689869	+	1000	41.0	[6.432653]	[184]	[6.336237]	[184]	[30689677]	[30689677]
99_14418	chr6	35346915	35347315	+	1000	41.0	[5.4843426]	[124]	[6.0839815]	[124]	[35347088]	[35347088]
99_14419	chr6	35490305	35490705	+	1000	41.0	[9.116653]	[157]	[8.546056]	[157]	[35490555]	[35490555]
99_14431	chr6	38639985	38640385	+	996	41.0	[4.9491253]	[149]	[]	[]	[38640165]	[]
99_14432	chr6	39206137	39206537	+	916	41.0	[4.8692756]	[94]	[]	[]	[39206314]	[]
99_14445	chr6	49698301	49698701	+	1000	41.0	[9.542401]	[127]	[9.642931]	[127]	[49698470]	[49698470]
99_14447	chr6	52598198	52598598	+	1000	41.0	[5.693249]	[85]	[4.815266]	[85]	[52598373]	[52598373]
99_1445	chr20	34955502	34955902	+	1000	71.0	[6.538294]	[117]	[5.1848216]	[117]	[34955685]	[34955685]
99_14482	chr6	161141127	161141527	+	1000	41.0	[]	[]	[5.180429]	[111]	[]	[161141311]
99_14503	chr7	44123800	44124200	+	1000	41.0	[5.1853657]	[79]	[]	[]	[44123972]	[]
99_14510	chr7	73606912	73607312	+	1000	41.0	[7.1593804]	[168]	[]	[]	[73607131]	[]
99_14597	chr7	149735431	149735831	+	1000	41.0	[4.9043765]	[180]	[]	[]	[149735670]	[]
99_1460	chr22	22815069	22815469	+	1000	71.0	[]	[]	[5.338483]	[100]	[]	[22815248]
99_14604	chr7	151405366	151405766	+	1000	41.0	[4.996092]	[131]	[6.410637]	[131]	[151405520]	[151405520]
99_14614	chr7	159196533	159196933	+	1000	41.0	[9.550361]	[84]	[7.6916513, 5.095657]	[84, 121]	[159196687]	[159196687, 159196724]
99_14626	chr8	42271528	42271928	+	1000	41.0	[14.318923]	[170]	[11.324861]	[170]	[42271707]	[42271707]
99_14634	chr8	100720721	100721121	+	1000	41.0	[8.491991]	[130]	[8.1996]	[130]	[100720935]	[100720935]
99_14651	chr9	92147515	92147915	+	1000	41.0	[7.534592]	[91]	[9.145781]	[91]	[92147674]	[92147674]
99_14706	chrX	130165380	130165780	+	1000	41.0	[]	[]	[4.8142886]	[107]	[]	[130165546]
99_14728	chr1	11802009	11802409	+	1000	40.0	[5.4686193]	[139]	[7.0990143]	[139]	[11802161]	[11802161]
99_14792	chr1	43388202	43388602	+	928	40.0	[4.999786]	[106]	[]	[]	[43388376]	[]
99_14829	chr1	109392084	109392484	+	999	40.0	[4.986595]	[77]	[5.0219765]	[77]	[109392236]	[109392236]
99_14849	chr1	153920008	153920408	+	1000	40.0	[8.12722]	[202]	[6.493114]	[202]	[153920249]	[153920249]
99_14889	chr1	201644422	201644822	+	1000	40.0	[7.885485]	[137]	[8.133006]	[137]	[201644656]	[201644656]
99_14916	chr1	219900144	219900544	+	976	40.0	[7.9399495]	[86]	[5.374046]	[86]	[219900324]	[219900324]
99_14933	chr1	231038966	231039366	+	1000	40.0	[]	[]	[4.9526544]	[153]	[]	[231039148]
99_14955	chr10	35195856	35196256	+	1000	40.0	[7.929857]	[120]	[6.6241918]	[120]	[35196040]	[35196040]
99_14964	chr10	60147045	60147445	+	1000	40.0	[]	[]	[4.841732]	[223]	[]	[60147295]
99_14967	chr10	67763396	67763796	+	1000	40.0	[5.0340805]	[197]	[]	[]	[67763621]	[]
99_15020	chr11	62611434	62611834	+	1000	40.0	[9.0321665]	[105]	[4.8142886, 6.586282]	[65, 105]	[62611632]	[62611592, 62611632]
99_15026	chr11	65113161	65113561	+	1000	40.0	[5.4686193]	[185]	[7.0990143]	[185]	[65113410]	[65113410]
99_15064	chr12	25195217	25195617	+	914	40.0	[6.522595]	[141]	[5.5678797]	[141]	[25195449]	[25195449]
99_15113	chr12	122865700	122866100	+	1000	40.0	[4.8824773]	[123]	[5.4623265]	[123]	[122865875]	[122865875]
99_15136	chr13	93289914	93290314	+	1000	40.0	[]	[]	[8.043841]	[212]	[]	[93290164]
99_15158	chr15	64459398	64459798	+	1000	40.0	[]	[]	[5.180429]	[85]	[]	[64459570]
99_15169	chr15	74584961	74585361	+	903	40.0	[6.0037622]	[96]	[7.850007]	[96]	[74585121]	[74585121]
99_15171	chr15	75029422	75029822	+	1000	40.0	[]	[]	[6.0413485]	[159]	[]	[75029653]
99_15186	chr16	2817603	2818003	+	1000	40.0	[5.719223]	[213]	[5.2757263]	[213]	[2817821]	[2817821]
99_15208	chr16	31477167	31477567	+	914	40.0	[]	[]	[5.51126]	[145]	[]	[31477406]
99_15246	chr17	28812561	28812961	+	1000	40.0	[5.80862]	[210]	[]	[]	[28812805]	[]
99_153	chr22	22848288	22848688	+	1000	138.0	[4.8142886]	[127]	[]	[]	[22848495]	[]
99_15334	chr19	10287142	10287542	+	1000	40.0	[5.365669]	[119]	[4.9508657]	[119]	[10287350]	[10287350]
99_1534	chr18	3624179	3624579	+	1000	70.0	[6.224505]	[106]	[]	[]	[3624362]	[]
99_1535	chr19	2783313	2783713	+	1000	70.0	[7.178006]	[148]	[7.178006]	[148]	[2783549]	[2783549]
