#PeakID(python scan_motif.py ./ENCODE_processed_files/TCF3_idr.fa TCF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
203_10136	chr16	23640052	23640452	+	1000	131.0	[8.332749]	[105]	[]	[]	[23640249]	[]
203_10137	chr16	89216199	89216599	+	1000	131.0	[8.52607]	[142]	[]	[]	[89216440]	[]
203_10139	chr17	7548598	7548998	+	1000	131.0	[8.332749]	[147]	[8.332749]	[159]	[7548826]	[7548838]
203_10141	chr17	17088108	17088508	+	1000	131.0	[]	[]	[8.643063]	[104]	[]	[17088310]
203_10142	chr17	35942619	35943019	+	1000	131.0	[8.643063]	[174]	[]	[]	[35942850]	[]
203_10143	chr17	43534873	43535273	+	1000	131.0	[8.498569]	[59]	[]	[]	[43535025]	[]
203_10149	chr2	177264693	177265093	+	1000	131.0	[9.166563]	[88]	[8.801346]	[158]	[177264844]	[177264914]
203_10150	chr20	3652218	3652618	+	1000	131.0	[]	[]	[8.272243, 8.52607, 8.643063]	[111, 133, 139]	[]	[3652419, 3652441, 3652447]
203_10155	chr22	20007479	20007879	+	1000	131.0	[8.332749]	[176]	[7.5073967]	[106]	[20007730]	[20007660]
203_10156	chr22	23119905	23120305	+	1000	131.0	[8.332749, 8.643063]	[120, 126]	[]	[]	[23120113, 23120119]	[]
203_10157	chr3	21783851	21784251	+	1000	131.0	[9.540733]	[132]	[]	[]	[21784072]	[]
203_10162	chr3	160373643	160374043	+	1000	131.0	[]	[]	[8.332749]	[88]	[]	[160373811]
203_10163	chr3	171829861	171830261	+	1000	131.0	[8.235647, 8.643063]	[105, 143]	[8.643063]	[142]	[171830052, 171830090]	[171830089]
203_10164	chr4	25088579	25088979	+	1000	131.0	[]	[]	[8.235647]	[87]	[]	[25088751]
203_10168	chr4	153492734	153493134	+	1000	131.0	[]	[]	[8.52607]	[159]	[]	[153492973]
203_10173	chr5	154518551	154518951	+	1000	131.0	[8.235647]	[131]	[]	[]	[154518778]	[]
203_10175	chr5	175129079	175129479	+	1000	131.0	[]	[]	[7.5073967]	[100]	[]	[175129278]
203_10178	chr6	37051432	37051832	+	1000	131.0	[]	[]	[12.754859]	[144]	[]	[37051641]
203_1018	chr18	35458916	35459316	+	1000	515.0	[8.643063]	[67]	[8.643063]	[66]	[35459081]	[35459080]
203_10186	chr7	24821295	24821695	+	1000	131.0	[7.5855]	[92]	[]	[]	[24821473]	[]
203_10189	chr7	99686296	99686696	+	1000	131.0	[]	[]	[8.643063]	[108]	[]	[99686499]
203_10193	chr8	38567084	38567484	+	1000	131.0	[12.754859]	[87]	[]	[]	[38567269]	[]
203_10199	chr9	129858083	129858483	+	1000	131.0	[8.235647]	[97]	[7.8880606]	[79]	[129858278]	[129858260]
203_102	chr1	181152940	181153340	+	1000	761.0	[]	[]	[8.801346]	[134]	[]	[181153171]
203_10204	chrX	39860457	39860857	+	1000	131.0	[]	[]	[8.801346]	[82]	[]	[39860634]
203_10205	chrX	40298149	40298549	+	1000	131.0	[7.5855, 8.643063]	[74, 98]	[8.643063]	[97]	[40298321, 40298345]	[40298344]
203_10207	chr1	1004916	1005316	+	1000	130.0	[8.235647]	[73]	[]	[]	[1005077]	[]
203_10209	chr1	23368887	23369287	+	1000	130.0	[]	[]	[9.166563]	[152]	[]	[23369131]
203_10212	chr1	155397100	155397500	+	1000	130.0	[]	[]	[9.166563]	[72]	[]	[155397266]
203_10215	chr1	167549119	167549519	+	1000	130.0	[12.754859]	[111]	[]	[]	[167549299]	[]
203_10216	chr1	175171487	175171887	+	1000	130.0	[8.386223]	[132]	[]	[]	[175171716]	[]
203_10217	chr1	197096973	197097373	+	1000	130.0	[8.643063]	[124]	[8.643063]	[123]	[197097195]	[197097194]
203_10218	chr1	197213184	197213584	+	1000	130.0	[8.643063]	[125]	[8.643063]	[124]	[197213406]	[197213405]
203_10220	chr10	11146637	11147037	+	1000	130.0	[]	[]	[8.272243]	[70]	[]	[11146807]
203_10223	chr10	72981888	72982288	+	1000	130.0	[8.643063]	[133]	[8.643063]	[132]	[72982117]	[72982116]
203_10225	chr11	2740199	2740599	+	1000	130.0	[]	[]	[8.52607]	[117]	[]	[2740411]
203_10226	chr11	97973436	97973836	+	1000	130.0	[8.801346, 8.801346]	[113, 126]	[]	[]	[97973649, 97973662]	[]
203_10229	chr12	41527511	41527911	+	1000	130.0	[8.52607]	[145]	[]	[]	[41527747]	[]
203_10231	chr12	131407427	131407827	+	1000	130.0	[8.235647]	[135]	[]	[]	[131407662]	[]
203_10234	chr14	22870840	22871240	+	1000	130.0	[7.5855]	[106]	[]	[]	[22871037]	[]
203_10235	chr14	23164173	23164573	+	1000	130.0	[]	[]	[8.643063]	[70]	[]	[23164338]
203_10238	chr15	36932035	36932435	+	1000	130.0	[]	[]	[7.5855]	[138]	[]	[36932269]
203_10240	chr15	82086594	82086994	+	1000	130.0	[12.754859]	[94]	[]	[]	[82086778]	[]
203_10244	chr17	20207290	20207690	+	1000	130.0	[7.5855]	[105]	[]	[]	[20207488]	[]
203_10245	chr17	42518972	42519372	+	1000	130.0	[8.52607]	[59]	[]	[]	[42519126]	[]
203_10251	chr19	38304993	38305393	+	1000	130.0	[]	[]	[8.643063]	[86]	[]	[38305176]
203_10257	chr2	98034726	98035126	+	1000	130.0	[]	[]	[8.386223]	[112]	[]	[98034920]
203_10260	chr2	241451850	241452250	+	1000	130.0	[8.235647]	[108]	[]	[]	[241452049]	[]
203_10262	chr21	43922023	43922423	+	1000	130.0	[]	[]	[9.540733]	[73]	[]	[43922196]
203_10267	chr3	45105298	45105698	+	1000	130.0	[8.235647]	[107]	[]	[]	[45105504]	[]
203_10273	chr5	111083322	111083722	+	1000	130.0	[12.754859]	[88]	[]	[]	[111083504]	[]
203_10274	chr5	141298377	141298777	+	1000	130.0	[]	[]	[8.643063]	[146]	[]	[141298589]
203_10282	chr6	126103976	126104376	+	1000	130.0	[]	[]	[7.5073967, 8.332749]	[77, 125]	[]	[126104141, 126104189]
203_10289	chr8	101090890	101091290	+	1000	130.0	[]	[]	[8.272243]	[147]	[]	[101091128]
203_10293	chr9	133133717	133134117	+	1000	130.0	[]	[]	[8.643063]	[87]	[]	[133133888]
203_10294	chr1	31745549	31745949	+	1000	129.0	[8.332749]	[74]	[]	[]	[31745714]	[]
203_10297	chr1	53891019	53891419	+	1000	129.0	[]	[]	[7.8880606]	[112]	[]	[53891230]
203_10298	chr1	117655094	117655494	+	1000	129.0	[]	[]	[7.5855]	[82]	[]	[117655273]
203_10299	chr1	154348440	154348840	+	1000	129.0	[]	[]	[8.643063]	[151]	[]	[154348682]
203_1030	chr16	19487861	19488261	+	1000	513.0	[8.272243]	[74]	[9.166563]	[146]	[19488035]	[19488107]
203_10301	chr1	200226167	200226567	+	1000	129.0	[8.643063]	[94]	[]	[]	[200226361]	[]
203_10303	chr10	46020268	46020668	+	1000	129.0	[12.754859]	[57]	[]	[]	[46020422]	[]
203_10306	chr11	17002531	17002931	+	1000	129.0	[8.52607]	[65]	[8.272243]	[125]	[17002682]	[17002742]
203_10309	chr11	62905880	62906280	+	1000	129.0	[8.386223]	[74]	[]	[]	[62906046]	[]
203_10312	chr12	95204467	95204867	+	1000	129.0	[9.540733]	[131]	[8.272243]	[73]	[95204695]	[95204637]
203_10313	chr12	103804947	103805347	+	1000	129.0	[]	[]	[8.332749]	[136]	[]	[103805181]
203_10314	chr12	110262394	110262794	+	1000	129.0	[]	[]	[8.332749]	[103]	[]	[110262592]
203_10315	chr12	125105005	125105405	+	1000	129.0	[7.5855]	[113]	[]	[]	[125105213]	[]
203_10317	chr13	113219497	113219897	+	1000	129.0	[7.8923073]	[98]	[]	[]	[113219690]	[]
203_10318	chr14	58171056	58171456	+	1000	129.0	[8.643063]	[103]	[8.679044]	[75]	[58171239]	[58171211]
203_1032	chrX	123784854	123785254	+	1000	513.0	[8.332749]	[73]	[]	[]	[123785026]	[]
203_10321	chr15	41790812	41791212	+	1000	129.0	[7.5073967]	[138]	[]	[]	[41791047]	[]
203_10329	chr2	74043304	74043704	+	1000	129.0	[8.643063]	[76]	[8.643063, 7.5855]	[75, 122]	[74043456]	[74043455, 74043502]
203_1033	chr2	41922176	41922576	+	1000	512.0	[]	[]	[8.498569]	[56]	[]	[41922328]
203_10330	chr2	134195355	134195755	+	1000	129.0	[]	[]	[12.754859]	[103]	[]	[134195554]
203_10334	chr20	375265	375665	+	1000	129.0	[]	[]	[8.332749]	[113]	[]	[375471]
203_10336	chr20	47253823	47254223	+	1000	129.0	[7.5073967, 8.643063]	[98, 104]	[8.643063]	[103]	[47254019, 47254025]	[47254024]
203_10338	chr20	57536084	57536484	+	1000	129.0	[8.643063]	[105]	[8.643063]	[104]	[57536283]	[57536282]
203_1034	chr21	35106227	35106627	+	1000	512.0	[9.540733]	[107]	[9.540733]	[106]	[35106429]	[35106428]
203_10342	chr3	5121989	5122389	+	1000	129.0	[]	[]	[8.272243]	[106]	[]	[5122185]
203_10346	chr3	50601063	50601463	+	1000	129.0	[8.801346]	[155]	[]	[]	[50601285]	[]
203_10347	chr3	155014975	155015375	+	1000	129.0	[]	[]	[8.498569]	[147]	[]	[155015207]
203_10348	chr4	73675554	73675954	+	1000	129.0	[]	[]	[8.52607]	[109]	[]	[73675730]
203_1035	chr3	52912893	52913293	+	1000	512.0	[]	[]	[8.235647]	[136]	[]	[52913127]
203_10356	chr6	20826405	20826805	+	1000	129.0	[]	[]	[8.498569]	[149]	[]	[20826629]
203_10357	chr6	29490676	29491076	+	1000	129.0	[8.498569]	[124]	[]	[]	[29490895]	[]
203_10360	chr6	116631431	116631831	+	1000	129.0	[8.272243]	[131]	[]	[]	[116631639]	[]
203_10363	chr6	156988598	156988998	+	1000	129.0	[8.272243]	[112]	[]	[]	[156988808]	[]
203_10371	chr9	104982526	104982926	+	1000	129.0	[]	[]	[12.754859]	[74]	[]	[104982697]
203_10373	chrX	17919832	17920232	+	1000	129.0	[]	[]	[9.540733]	[85]	[]	[17920006]
203_10375	chr1	842815	843215	+	1000	128.0	[]	[]	[7.5855]	[64]	[]	[842976]
203_10380	chr1	189212580	189212980	+	1000	128.0	[]	[]	[8.643063]	[105]	[]	[189212784]
203_10386	chr10	124693715	124694115	+	1000	128.0	[]	[]	[8.272243, 12.754859]	[78, 96]	[]	[124693892, 124693910]
203_10387	chr10	133278470	133278870	+	1000	128.0	[7.8923073]	[96]	[]	[]	[133278665]	[]
203_10388	chr11	75959547	75959947	+	1000	128.0	[12.754859]	[120]	[]	[]	[75959754]	[]
203_104	chr11	62041976	62042376	+	1000	761.0	[8.272243]	[107]	[]	[]	[62042181]	[]
203_1040	chr13	37959357	37959757	+	1000	510.0	[]	[]	[8.643063]	[67]	[]	[37959524]
203_10401	chr15	66721552	66721952	+	1000	128.0	[]	[]	[8.498569]	[60]	[]	[66721703]
203_10403	chr15	95574046	95574446	+	1000	128.0	[7.5073967]	[80]	[]	[]	[95574221]	[]
203_10410	chr18	70028737	70029137	+	1000	128.0	[]	[]	[12.754859]	[63]	[]	[70028897]
203_10412	chr19	14507676	14508076	+	1000	128.0	[]	[]	[7.8923073]	[63]	[]	[14507837]
203_10416	chr20	49583538	49583938	+	1000	128.0	[8.643063]	[64]	[]	[]	[49583697]	[]
203_10417	chr20	56392291	56392691	+	1000	128.0	[]	[]	[8.332749]	[137]	[]	[56392511]
203_10418	chr22	17155950	17156350	+	1000	128.0	[]	[]	[8.235647]	[120]	[]	[17156159]
203_1042	chr8	140618906	140619306	+	1000	510.0	[8.643063]	[55]	[8.643063]	[54]	[140619058]	[140619057]
203_10420	chr22	20013410	20013810	+	1000	128.0	[8.643063]	[81]	[]	[]	[20013587]	[]
203_10422	chr22	40202539	40202939	+	1000	128.0	[]	[]	[7.5855, 12.754859]	[88, 166]	[]	[40202708, 40202786]
203_10425	chr3	46890086	46890486	+	1000	128.0	[8.235647, 12.754859]	[69, 86]	[]	[]	[46890254, 46890271]	[]
203_1043	chr9	122051368	122051768	+	1000	510.0	[8.643063]	[103]	[]	[]	[122051563]	[]
203_10430	chr3	197848021	197848421	+	1000	128.0	[8.643063]	[137]	[]	[]	[197848250]	[]
203_10435	chr5	112371009	112371409	+	1000	128.0	[]	[]	[8.643063]	[89]	[]	[112371197]
203_10437	chr6	3418562	3418962	+	1000	128.0	[8.801346]	[143]	[]	[]	[3418805]	[]
203_10438	chr6	5513464	5513864	+	1000	128.0	[]	[]	[7.5073967]	[107]	[]	[5513665]
203_1044	chr1	52614051	52614451	+	1000	509.0	[]	[]	[8.235647]	[137]	[]	[52614286]
203_10440	chr6	109237010	109237410	+	1000	128.0	[8.332749]	[73]	[]	[]	[109237167]	[]
203_10446	chr7	5598767	5599167	+	1000	128.0	[]	[]	[8.643063, 9.166563]	[82, 90]	[]	[5598949, 5598957]
203_10449	chr7	108211399	108211799	+	1000	128.0	[7.5073967]	[146]	[]	[]	[108211630]	[]
203_10450	chr7	127983867	127984267	+	1000	128.0	[]	[]	[7.8923073]	[116]	[]	[127984074]
203_10451	chr7	137986022	137986422	+	1000	128.0	[8.386223]	[115]	[]	[]	[137986216]	[]
203_10452	chr8	28596589	28596989	+	1000	128.0	[]	[]	[12.754859]	[98]	[]	[28596767]
203_10456	chr9	4854919	4855319	+	1000	128.0	[7.5073967]	[94]	[]	[]	[4855110]	[]
203_10468	chr1	205230247	205230647	+	1000	127.0	[]	[]	[8.332749]	[117]	[]	[205230463]
203_10473	chr10	87691475	87691875	+	1000	127.0	[]	[]	[8.386223]	[130]	[]	[87691697]
203_10474	chr10	101535947	101536347	+	1000	127.0	[]	[]	[8.332749]	[119]	[]	[101536151]
203_10481	chr11	119028908	119029308	+	1000	127.0	[8.498569]	[137]	[]	[]	[119029141]	[]
203_10485	chr12	71671825	71672225	+	1000	127.0	[]	[]	[8.643063, 7.5073967]	[79, 120]	[]	[71672001, 71672042]
203_10486	chr12	108628375	108628775	+	1000	127.0	[]	[]	[7.5855]	[137]	[]	[108628603]
203_10487	chr13	52067207	52067607	+	1000	127.0	[8.643063]	[135]	[]	[]	[52067436]	[]
203_10493	chr15	58585064	58585464	+	1000	127.0	[8.643063]	[110]	[8.643063]	[109]	[58585270]	[58585269]
203_10496	chr16	50160749	50161149	+	1000	127.0	[8.272243]	[158]	[]	[]	[50160994]	[]
203_10497	chr16	57292614	57293014	+	1000	127.0	[]	[]	[7.8923073]	[133]	[]	[57292844]
203_10498	chr17	39036020	39036420	+	1000	127.0	[]	[]	[7.5855]	[105]	[]	[39036218]
203_105	chr12	119665582	119665982	+	1000	761.0	[8.235647]	[85]	[]	[]	[119665762]	[]
203_10502	chr18	23526354	23526754	+	1000	127.0	[12.754859, 9.166563]	[94, 101]	[8.235647]	[111]	[23526539, 23526546]	[23526556]
203_10503	chr18	57141609	57142009	+	1000	127.0	[12.754859]	[141]	[8.235647]	[86]	[57141838]	[57141783]
203_10506	chr19	18386026	18386426	+	1000	127.0	[7.5073967]	[68]	[]	[]	[18386177]	[]
203_10507	chr19	18441698	18442098	+	1000	127.0	[8.332749]	[121]	[]	[]	[18441913]	[]
203_10512	chr2	172395552	172395952	+	1000	127.0	[8.643063]	[89]	[]	[]	[172395739]	[]
203_10514	chr2	216353732	216354132	+	1000	127.0	[]	[]	[8.498569]	[97]	[]	[216353927]
203_10515	chr20	1434900	1435300	+	1000	127.0	[]	[]	[8.235647]	[93]	[]	[1435082]
203_10517	chr20	41150684	41151084	+	1000	127.0	[8.332749]	[58]	[]	[]	[41150841]	[]
203_10521	chr22	20020633	20021033	+	1000	127.0	[]	[]	[12.754859]	[93]	[]	[20020784]
203_10522	chr22	23152391	23152791	+	1000	127.0	[8.332749]	[63]	[]	[]	[23152554]	[]
203_10525	chr3	72186071	72186471	+	1000	127.0	[]	[]	[8.235647]	[114]	[]	[72186278]
203_10527	chr3	169966122	169966522	+	1000	127.0	[8.52607]	[77]	[]	[]	[169966284]	[]
203_10529	chr4	6258708	6259108	+	1000	127.0	[7.5855, 8.498569]	[60, 139]	[8.272243]	[146]	[6258860, 6258939]	[6258946]
203_10531	chr4	87403717	87404117	+	1000	127.0	[8.235647]	[85]	[]	[]	[87403876]	[]
203_10533	chr5	172178232	172178632	+	1000	127.0	[]	[]	[8.272243]	[78]	[]	[172178393]
203_10534	chr5	175517849	175518249	+	1000	127.0	[]	[]	[12.754859]	[138]	[]	[175518087]
203_10542	chr7	142808738	142809138	+	1000	127.0	[12.754859]	[89]	[]	[]	[142808915]	[]
203_10544	chr8	47213296	47213696	+	1000	127.0	[]	[]	[8.801346]	[138]	[]	[47213533]
203_10545	chr8	100415441	100415841	+	1000	127.0	[7.5073967]	[115]	[]	[]	[100415654]	[]
203_10546	chr8	107068687	107069087	+	1000	127.0	[]	[]	[8.643063]	[117]	[]	[107068903]
203_10548	chr9	136107073	136107473	+	1000	127.0	[]	[]	[8.235647]	[115]	[]	[136107281]
203_10549	chrX	39616253	39616653	+	1000	127.0	[8.235647]	[94]	[]	[]	[39616442]	[]
203_10551	chr1	51222128	51222528	+	1000	126.0	[]	[]	[8.643063]	[74]	[]	[51222295]
203_10554	chr1	151921768	151922168	+	1000	126.0	[8.52607, 8.498569]	[75, 93]	[]	[]	[151921937, 151921955]	[]
203_10559	chr1	226798317	226798717	+	1000	126.0	[8.52607]	[119]	[]	[]	[226798531]	[]
203_1056	chr7	140241975	140242375	+	1000	508.0	[8.643063, 8.235647]	[68, 124]	[]	[]	[140242143, 140242199]	[]
203_10565	chr10	80414060	80414460	+	1000	126.0	[7.5855]	[93]	[]	[]	[80414249]	[]
203_10569	chr11	65421158	65421558	+	1000	126.0	[7.5855]	[93]	[]	[]	[65421346]	[]
203_10571	chr12	11897942	11898342	+	1000	126.0	[8.643063]	[128]	[]	[]	[11898170]	[]
203_10572	chr12	50039183	50039583	+	1000	126.0	[8.643063, 8.272243]	[77, 97]	[]	[]	[50039353, 50039373]	[]
203_10573	chr12	93087443	93087843	+	1000	126.0	[]	[]	[8.52607]	[72]	[]	[93087610]
203_10574	chr12	118032192	118032592	+	1000	126.0	[8.235647]	[118]	[]	[]	[118032379]	[]
203_10575	chr13	48559653	48560053	+	1000	126.0	[]	[]	[8.272243]	[105]	[]	[48559854]
203_10585	chr16	11628021	11628421	+	1000	126.0	[]	[]	[7.8880606]	[86]	[]	[11628187]
203_10587	chr16	27229012	27229412	+	1000	126.0	[12.754859]	[83]	[]	[]	[27229168]	[]
203_10589	chr16	79863795	79864195	+	1000	126.0	[8.235647]	[107]	[]	[]	[79863999]	[]
203_10592	chr17	27529230	27529630	+	1000	126.0	[8.272243]	[164]	[]	[]	[27529459]	[]
203_10599	chr19	45356636	45357036	+	1000	126.0	[]	[]	[9.540733]	[151]	[]	[45356877]
203_10600	chr19	51467959	51468359	+	1000	126.0	[]	[]	[8.332749]	[112]	[]	[51468166]
203_10601	chr2	10318311	10318711	+	1000	126.0	[]	[]	[9.540733]	[114]	[]	[10318515]
203_10602	chr2	15730457	15730857	+	1000	126.0	[]	[]	[8.235647]	[129]	[]	[15730680]
203_10604	chr2	98547410	98547810	+	1000	126.0	[]	[]	[8.498569]	[151]	[]	[98547649]
203_10606	chr2	202442800	202443200	+	1000	126.0	[]	[]	[8.332749]	[105]	[]	[202442995]
203_10608	chr22	20495880	20496280	+	1000	126.0	[8.272243]	[92]	[]	[]	[20496059]	[]
203_10609	chr22	20524012	20524412	+	1000	126.0	[8.643063]	[73]	[]	[]	[20524174]	[]
203_10615	chr3	105866889	105867289	+	1000	126.0	[7.5073967]	[65]	[]	[]	[105867050]	[]
203_10616	chr3	185537416	185537816	+	1000	126.0	[]	[]	[8.272243]	[159]	[]	[185537665]
203_10618	chr3	195165791	195166191	+	1000	126.0	[]	[]	[8.52607, 7.5855]	[66, 151]	[]	[195165954, 195166039]
203_10619	chr3	195804195	195804595	+	1000	126.0	[]	[]	[8.52607, 8.52607]	[101, 118]	[]	[195804362, 195804379]
203_10627	chr5	31383746	31384146	+	1000	126.0	[8.643063]	[65]	[]	[]	[31383911]	[]
203_10629	chr5	76625443	76625843	+	1000	126.0	[8.498569]	[134]	[]	[]	[76625675]	[]
203_1063	chr8	21960463	21960863	+	1000	507.0	[8.235647]	[153]	[]	[]	[21960713]	[]
203_10633	chr6	36099794	36100194	+	1000	126.0	[]	[]	[8.643063]	[153]	[]	[36100044]
203_10636	chr6	42901506	42901906	+	1000	126.0	[]	[]	[8.332749]	[140]	[]	[42901740]
203_10638	chr6	147709462	147709862	+	1000	126.0	[]	[]	[7.8880606]	[109]	[]	[147709659]
203_1064	chr13	110507272	110507672	+	1000	506.0	[7.5073967]	[79]	[]	[]	[110507448]	[]
203_10643	chr7	73622986	73623386	+	1000	126.0	[]	[]	[12.754859]	[124]	[]	[73623208]
203_10646	chr8	115352146	115352546	+	1000	126.0	[8.498569]	[128]	[8.643063]	[111]	[115352366]	[115352349]
203_10648	chr9	33560198	33560598	+	1000	126.0	[]	[]	[8.498569, 7.5073967]	[79, 127]	[]	[33560375, 33560423]
203_10651	chr9	123300630	123301030	+	1000	126.0	[12.754859]	[147]	[]	[]	[123300872]	[]
203_10652	chr9	124512824	124513224	+	1000	126.0	[]	[]	[8.643063]	[66]	[]	[124512990]
203_10659	chr1	28580835	28581235	+	1000	125.0	[8.643063]	[113]	[8.643063]	[112]	[28581029]	[28581028]
203_10661	chr1	51622437	51622837	+	1000	125.0	[]	[]	[7.5855]	[125]	[]	[51622650]
203_10664	chr1	115655318	115655718	+	1000	125.0	[]	[]	[8.235647]	[109]	[]	[115655520]
203_10665	chr1	116878431	116878831	+	1000	125.0	[7.5073967]	[136]	[]	[]	[116878664]	[]
203_10667	chr1	165392958	165393358	+	1000	125.0	[8.643063]	[94]	[7.5073967, 8.643063]	[73, 93]	[165393143]	[165393122, 165393142]
203_10670	chr1	212791661	212792061	+	1000	125.0	[]	[]	[8.643063]	[107]	[]	[212791859]
203_10674	chr10	74641637	74642037	+	1000	125.0	[7.5855]	[127]	[]	[]	[74641858]	[]
203_10677	chr11	2890606	2891006	+	1000	125.0	[]	[]	[12.754859]	[133]	[]	[2890836]
203_1068	chr9	70398201	70398601	+	1000	506.0	[8.498569]	[141]	[]	[]	[70398442]	[]
203_10684	chr13	49833414	49833814	+	1000	125.0	[]	[]	[12.754859, 8.643063]	[82, 122]	[]	[49833590, 49833630]
203_10688	chr15	64507324	64507724	+	1000	125.0	[7.8923073]	[120]	[]	[]	[64507533]	[]
203_10700	chr19	48918974	48919374	+	1000	125.0	[]	[]	[8.272243]	[125]	[]	[48919190]
203_10701	chr19	54940814	54941214	+	1000	125.0	[8.52607]	[79]	[]	[]	[54940992]	[]
203_10713	chr20	62146141	62146541	+	1000	125.0	[9.540733]	[113]	[9.540733]	[112]	[62146339]	[62146338]
