#PeakID(python identify_motif.py ./ENCODE_processed_files/TCF3_idr.fa TCF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
203_10163	chr3	171829861	171830261	+	1000	131.0	[8.235647, 8.643063]	[105, 143]	[8.643063]	[142]	[171830052, 171830090]	[171830089]
203_10164	chr4	25088579	25088979	+	1000	131.0	[]	[]	[8.235647]	[87]	[]	[25088751]
203_10178	chr6	37051432	37051832	+	1000	131.0	[]	[]	[12.754859]	[144]	[]	[37051641]
203_1018	chr18	35458916	35459316	+	1000	515.0	[8.643063]	[67]	[8.643063]	[66]	[35459081]	[35459080]
203_102	chr1	181152940	181153340	+	1000	761.0	[]	[]	[8.801346]	[134]	[]	[181153171]
203_10204	chrX	39860457	39860857	+	1000	131.0	[]	[]	[8.801346]	[82]	[]	[39860634]
203_10205	chrX	40298149	40298549	+	1000	131.0	[7.5855, 8.643063]	[74, 98]	[8.643063]	[97]	[40298321, 40298345]	[40298344]
203_10209	chr1	23368887	23369287	+	1000	130.0	[]	[]	[9.166563]	[152]	[]	[23369131]
203_10216	chr1	175171487	175171887	+	1000	130.0	[8.386223]	[132]	[]	[]	[175171716]	[]
203_10220	chr10	11146637	11147037	+	1000	130.0	[]	[]	[8.272243]	[70]	[]	[11146807]
203_10229	chr12	41527511	41527911	+	1000	130.0	[8.52607]	[145]	[]	[]	[41527747]	[]
203_10245	chr17	42518972	42519372	+	1000	130.0	[8.52607]	[59]	[]	[]	[42519126]	[]
203_10262	chr21	43922023	43922423	+	1000	130.0	[]	[]	[9.540733]	[73]	[]	[43922196]
203_10293	chr9	133133717	133134117	+	1000	130.0	[]	[]	[8.643063]	[87]	[]	[133133888]
203_10299	chr1	154348440	154348840	+	1000	129.0	[]	[]	[8.643063]	[151]	[]	[154348682]
203_10301	chr1	200226167	200226567	+	1000	129.0	[8.643063]	[94]	[]	[]	[200226361]	[]
203_10309	chr11	62905880	62906280	+	1000	129.0	[8.386223]	[74]	[]	[]	[62906046]	[]
203_10318	chr14	58171056	58171456	+	1000	129.0	[8.643063]	[103]	[8.679044]	[75]	[58171239]	[58171211]
203_10321	chr15	41790812	41791212	+	1000	129.0	[7.5073967]	[138]	[]	[]	[41791047]	[]
203_1033	chr2	41922176	41922576	+	1000	512.0	[]	[]	[8.498569]	[56]	[]	[41922328]
203_10330	chr2	134195355	134195755	+	1000	129.0	[]	[]	[12.754859]	[103]	[]	[134195554]
203_10336	chr20	47253823	47254223	+	1000	129.0	[7.5073967, 8.643063]	[98, 104]	[8.643063]	[103]	[47254019, 47254025]	[47254024]
203_1034	chr21	35106227	35106627	+	1000	512.0	[9.540733]	[107]	[9.540733]	[106]	[35106429]	[35106428]
203_10346	chr3	50601063	50601463	+	1000	129.0	[8.801346]	[155]	[]	[]	[50601285]	[]
203_10356	chr6	20826405	20826805	+	1000	129.0	[]	[]	[8.498569]	[149]	[]	[20826629]
203_10357	chr6	29490676	29491076	+	1000	129.0	[8.498569]	[124]	[]	[]	[29490895]	[]
203_10363	chr6	156988598	156988998	+	1000	129.0	[8.272243]	[112]	[]	[]	[156988808]	[]
203_10375	chr1	842815	843215	+	1000	128.0	[]	[]	[7.5855]	[64]	[]	[842976]
203_10387	chr10	133278470	133278870	+	1000	128.0	[7.8923073]	[96]	[]	[]	[133278665]	[]
203_10403	chr15	95574046	95574446	+	1000	128.0	[7.5073967]	[80]	[]	[]	[95574221]	[]
203_10410	chr18	70028737	70029137	+	1000	128.0	[]	[]	[12.754859]	[63]	[]	[70028897]
203_10412	chr19	14507676	14508076	+	1000	128.0	[]	[]	[7.8923073]	[63]	[]	[14507837]
203_10417	chr20	56392291	56392691	+	1000	128.0	[]	[]	[8.332749]	[137]	[]	[56392511]
203_10420	chr22	20013410	20013810	+	1000	128.0	[8.643063]	[81]	[]	[]	[20013587]	[]
203_10422	chr22	40202539	40202939	+	1000	128.0	[]	[]	[7.5855, 12.754859]	[88, 166]	[]	[40202708, 40202786]
203_10437	chr6	3418562	3418962	+	1000	128.0	[8.801346]	[143]	[]	[]	[3418805]	[]
203_10446	chr7	5598767	5599167	+	1000	128.0	[]	[]	[8.643063, 9.166563]	[82, 90]	[]	[5598949, 5598957]
203_10468	chr1	205230247	205230647	+	1000	127.0	[]	[]	[8.332749]	[117]	[]	[205230463]
203_10474	chr10	101535947	101536347	+	1000	127.0	[]	[]	[8.332749]	[119]	[]	[101536151]
203_10481	chr11	119028908	119029308	+	1000	127.0	[8.498569]	[137]	[]	[]	[119029141]	[]
203_10486	chr12	108628375	108628775	+	1000	127.0	[]	[]	[7.5855]	[137]	[]	[108628603]
203_10496	chr16	50160749	50161149	+	1000	127.0	[8.272243]	[158]	[]	[]	[50160994]	[]
203_10498	chr17	39036020	39036420	+	1000	127.0	[]	[]	[7.5855]	[105]	[]	[39036218]
203_10502	chr18	23526354	23526754	+	1000	127.0	[12.754859, 9.166563]	[94, 101]	[8.235647]	[111]	[23526539, 23526546]	[23526556]
203_10503	chr18	57141609	57142009	+	1000	127.0	[12.754859]	[141]	[8.235647]	[86]	[57141838]	[57141783]
203_10506	chr19	18386026	18386426	+	1000	127.0	[7.5073967]	[68]	[]	[]	[18386177]	[]
203_10512	chr2	172395552	172395952	+	1000	127.0	[8.643063]	[89]	[]	[]	[172395739]	[]
203_10521	chr22	20020633	20021033	+	1000	127.0	[]	[]	[12.754859]	[93]	[]	[20020784]
203_10522	chr22	23152391	23152791	+	1000	127.0	[8.332749]	[63]	[]	[]	[23152554]	[]
203_10525	chr3	72186071	72186471	+	1000	127.0	[]	[]	[8.235647]	[114]	[]	[72186278]
203_10534	chr5	175517849	175518249	+	1000	127.0	[]	[]	[12.754859]	[138]	[]	[175518087]
203_10542	chr7	142808738	142809138	+	1000	127.0	[12.754859]	[89]	[]	[]	[142808915]	[]
203_10545	chr8	100415441	100415841	+	1000	127.0	[7.5073967]	[115]	[]	[]	[100415654]	[]
203_10546	chr8	107068687	107069087	+	1000	127.0	[]	[]	[8.643063]	[117]	[]	[107068903]
203_10548	chr9	136107073	136107473	+	1000	127.0	[]	[]	[8.235647]	[115]	[]	[136107281]
203_10559	chr1	226798317	226798717	+	1000	126.0	[8.52607]	[119]	[]	[]	[226798531]	[]
203_10565	chr10	80414060	80414460	+	1000	126.0	[7.5855]	[93]	[]	[]	[80414249]	[]
203_10569	chr11	65421158	65421558	+	1000	126.0	[7.5855]	[93]	[]	[]	[65421346]	[]
203_10589	chr16	79863795	79864195	+	1000	126.0	[8.235647]	[107]	[]	[]	[79863999]	[]
203_10601	chr2	10318311	10318711	+	1000	126.0	[]	[]	[9.540733]	[114]	[]	[10318515]
203_10604	chr2	98547410	98547810	+	1000	126.0	[]	[]	[8.498569]	[151]	[]	[98547649]
203_10615	chr3	105866889	105867289	+	1000	126.0	[7.5073967]	[65]	[]	[]	[105867050]	[]
203_10619	chr3	195804195	195804595	+	1000	126.0	[]	[]	[8.52607, 8.52607]	[101, 118]	[]	[195804362, 195804379]
203_10629	chr5	76625443	76625843	+	1000	126.0	[8.498569]	[134]	[]	[]	[76625675]	[]
203_1063	chr8	21960463	21960863	+	1000	507.0	[8.235647]	[153]	[]	[]	[21960713]	[]
203_10633	chr6	36099794	36100194	+	1000	126.0	[]	[]	[8.643063]	[153]	[]	[36100044]
203_10643	chr7	73622986	73623386	+	1000	126.0	[]	[]	[12.754859]	[124]	[]	[73623208]
203_10652	chr9	124512824	124513224	+	1000	126.0	[]	[]	[8.643063]	[66]	[]	[124512990]
203_10664	chr1	115655318	115655718	+	1000	125.0	[]	[]	[8.235647]	[109]	[]	[115655520]
203_10665	chr1	116878431	116878831	+	1000	125.0	[7.5073967]	[136]	[]	[]	[116878664]	[]
203_10670	chr1	212791661	212792061	+	1000	125.0	[]	[]	[8.643063]	[107]	[]	[212791859]
203_10677	chr11	2890606	2891006	+	1000	125.0	[]	[]	[12.754859]	[133]	[]	[2890836]
203_10688	chr15	64507324	64507724	+	1000	125.0	[7.8923073]	[120]	[]	[]	[64507533]	[]
203_10700	chr19	48918974	48919374	+	1000	125.0	[]	[]	[8.272243]	[125]	[]	[48919190]
203_10714	chr22	19576790	19577190	+	1000	125.0	[]	[]	[7.5855]	[82]	[]	[19576945]
203_10715	chr22	21726585	21726985	+	1000	125.0	[8.272243]	[84]	[]	[]	[21726745]	[]
203_1072	chr17	80689251	80689651	+	1000	505.0	[]	[]	[8.498569]	[111]	[]	[80689456]
203_10721	chr3	72339115	72339515	+	1000	125.0	[7.8923073]	[78]	[]	[]	[72339280]	[]
203_10729	chr5	963835	964235	+	1000	125.0	[8.643063]	[153]	[8.643063]	[152]	[964073]	[964072]
203_10732	chr5	89043683	89044083	+	1000	125.0	[7.8880606]	[89]	[]	[]	[89043871]	[]
203_10737	chr7	1055142	1055542	+	1000	125.0	[]	[]	[8.801346, 7.8923073]	[86, 147]	[]	[1055319, 1055380]
203_10741	chr7	92754961	92755361	+	1000	125.0	[]	[]	[8.235647]	[107]	[]	[92755167]
203_10746	chr7	151008669	151009069	+	1000	125.0	[8.679044]	[153]	[]	[]	[151008912]	[]
203_10750	chr9	136587085	136587485	+	1000	125.0	[8.643063]	[127]	[8.643063]	[126]	[136587311]	[136587310]
203_10766	chr10	7179550	7179950	+	1000	124.0	[]	[]	[8.272243]	[69]	[]	[7179709]
203_10767	chr10	44985388	44985788	+	1000	124.0	[8.643063]	[138]	[8.643063]	[137]	[44985622]	[44985621]
203_10773	chr11	8827231	8827631	+	1000	124.0	[]	[]	[7.5855]	[105]	[]	[8827424]
203_10775	chr11	76664517	76664917	+	1000	124.0	[9.166563]	[118]	[]	[]	[76664725]	[]
203_10779	chr12	54307021	54307421	+	1000	124.0	[7.5855]	[185]	[]	[]	[54307269]	[]
203_10795	chr19	18318191	18318591	+	1000	124.0	[8.679044, 8.643063]	[104, 161]	[8.643063]	[160]	[18318379, 18318436]	[18318435]
203_10802	chr2	98378973	98379373	+	1000	124.0	[8.235647]	[138]	[8.643063]	[127]	[98379194]	[98379183]
203_10805	chr20	3916350	3916750	+	1000	124.0	[]	[]	[8.498569]	[108]	[]	[3916544]
203_10811	chr22	17773253	17773653	+	1000	124.0	[]	[]	[7.5855]	[161]	[]	[17773502]
203_10813	chr22	22547718	22548118	+	1000	124.0	[8.235647]	[71]	[]	[]	[22547870]	[]
203_10816	chr22	39801160	39801560	+	1000	124.0	[8.235647]	[145]	[8.498569]	[117]	[39801396]	[39801368]
203_10832	chr6	4399672	4400072	+	1000	124.0	[7.5855]	[63]	[]	[]	[4399833]	[]
203_10834	chr6	13615117	13615517	+	1000	124.0	[7.5073967]	[92]	[]	[]	[13615271]	[]
203_10842	chr7	2104218	2104618	+	1000	124.0	[]	[]	[8.498569]	[102]	[]	[2104406]
203_10847	chr9	83623714	83624114	+	1000	124.0	[8.643063]	[110]	[]	[]	[83623914]	[]
203_10849	chr9	122821536	122821936	+	1000	124.0	[]	[]	[8.643063]	[140]	[]	[122821760]
203_10861	chr1	184051461	184051861	+	1000	123.0	[8.643063]	[118]	[8.643063]	[117]	[184051655]	[184051654]
203_10876	chr12	68038607	68039007	+	1000	123.0	[]	[]	[12.754859]	[115]	[]	[68038817]
203_10878	chr13	78636479	78636879	+	1000	123.0	[12.754859]	[72]	[]	[]	[78636633]	[]
203_1091	chr11	120339519	120339919	+	1000	502.0	[]	[]	[8.801346]	[106]	[]	[120339723]
203_10924	chr5	141740928	141741328	+	1000	123.0	[7.8923073]	[143]	[]	[]	[141741168]	[]
203_1093	chr2	10369803	10370203	+	1000	502.0	[]	[]	[8.801346]	[78]	[]	[10369980]
203_10934	chr7	133947417	133947817	+	1000	123.0	[]	[]	[8.332749]	[148]	[]	[133947664]
203_10935	chr7	150963956	150964356	+	1000	123.0	[7.5855]	[147]	[8.272243, 8.235647]	[101, 122]	[150964190]	[150964144, 150964165]
203_10936	chr7	151000879	151001279	+	1000	123.0	[7.5073967]	[71]	[]	[]	[151001042]	[]
203_10938	chr8	101902396	101902796	+	1000	123.0	[]	[]	[8.272243]	[72]	[]	[101902560]
203_10952	chr10	22666408	22666808	+	1000	122.0	[]	[]	[8.643063]	[113]	[]	[22666607]
203_10964	chr12	54352036	54352436	+	1000	122.0	[8.332749]	[78]	[]	[]	[54352208]	[]
203_10977	chr16	88530882	88531282	+	1000	122.0	[7.5073967]	[101]	[]	[]	[88531071]	[]
203_10987	chr19	6276417	6276817	+	1000	122.0	[7.8923073, 8.235647]	[78, 114]	[]	[]	[6276588, 6276624]	[]
203_10993	chr2	97673568	97673968	+	1000	122.0	[7.5855]	[111]	[]	[]	[97673760]	[]
203_11018	chr5	65971037	65971437	+	1000	122.0	[]	[]	[8.272243]	[57]	[]	[65971189]
203_11023	chr6	13334880	13335280	+	1000	122.0	[]	[]	[8.643063]	[114]	[]	[13335086]
203_11028	chr6	143747252	143747652	+	1000	122.0	[12.754859]	[159]	[]	[]	[143747501]	[]
203_11029	chr6	159726801	159727201	+	1000	122.0	[7.5855]	[155]	[12.754859]	[131]	[159727051]	[159727027]
203_1104	chr6	105896161	105896561	+	1000	501.0	[7.5073967, 7.5073967]	[55, 137]	[]	[]	[105896313, 105896395]	[]
203_11042	chrX	153875342	153875742	+	1000	122.0	[7.5855]	[140]	[]	[]	[153875573]	[]
203_11055	chr10	60353436	60353836	+	1000	121.0	[]	[]	[8.498569]	[140]	[]	[60353669]
203_11070	chr15	81043926	81044326	+	1000	121.0	[8.52607]	[109]	[]	[]	[81044132]	[]
203_11083	chr2	54227781	54228181	+	1000	121.0	[8.643063]	[87]	[]	[]	[54227966]	[]
203_11087	chr2	172639820	172640220	+	1000	121.0	[]	[]	[7.5855]	[111]	[]	[172640018]
203_11096	chr3	128573902	128574302	+	1000	121.0	[9.166563]	[61]	[]	[]	[128574053]	[]
203_111	chr16	88491644	88492044	+	1000	756.0	[9.166563]	[119]	[]	[]	[88491860]	[]
203_11100	chr3	182760874	182761274	+	1000	121.0	[]	[]	[8.52607]	[156]	[]	[182761125]
203_11103	chr5	53245973	53246373	+	1000	121.0	[]	[]	[8.235647]	[139]	[]	[53246195]
203_11106	chr5	135135801	135136201	+	1000	121.0	[8.643063]	[92]	[]	[]	[135135989]	[]
203_11115	chr6	89297950	89298350	+	1000	121.0	[12.754859]	[151]	[]	[]	[89298189]	[]
203_11132	chr8	141290213	141290613	+	1000	121.0	[9.166563]	[64]	[]	[]	[141290370]	[]
203_11160	chr12	42486410	42486810	+	1000	120.0	[8.643063]	[79]	[]	[]	[42486586]	[]
203_11162	chr12	72465932	72466332	+	1000	120.0	[8.643063, 8.679044]	[74, 113]	[]	[]	[72466097, 72466136]	[]
203_11165	chr12	130448000	130448400	+	1000	120.0	[]	[]	[8.235647]	[161]	[]	[130448230]
203_11170	chr15	34799450	34799850	+	1000	120.0	[]	[]	[8.332749]	[100]	[]	[34799648]
203_11178	chr17	7060458	7060858	+	1000	120.0	[]	[]	[7.8923073]	[111]	[]	[7060649]
203_11189	chr2	8545004	8545404	+	1000	120.0	[]	[]	[8.235647]	[136]	[]	[8545227]
203_1119	chr2	85500104	85500504	+	1000	497.0	[]	[]	[7.5073967]	[143]	[]	[85500337]
203_11196	chr21	36166641	36167041	+	1000	120.0	[]	[]	[8.235647]	[96]	[]	[36166830]
203_11197	chr21	42579682	42580082	+	1000	120.0	[8.272243, 7.5855]	[110, 164]	[]	[]	[42579875, 42579929]	[]
203_112	chr21	44854771	44855171	+	1000	754.0	[8.643063]	[53]	[]	[]	[44854924]	[]
203_11202	chr22	22666461	22666861	+	1000	120.0	[]	[]	[8.52607, 9.540733]	[129, 144]	[]	[22666673, 22666688]
203_11223	chr5	87184513	87184913	+	1000	120.0	[8.332749]	[124]	[]	[]	[87184733]	[]
203_11243	chr8	140337211	140337611	+	1000	120.0	[]	[]	[7.5855]	[92]	[]	[140337377]
203_11247	chr9	130941029	130941429	+	1000	120.0	[]	[]	[8.52607]	[190]	[]	[130941241]
203_11254	chr1	154936399	154936799	+	1000	119.0	[12.754859]	[97]	[]	[]	[154936588]	[]
203_11259	chr1	228463611	228464011	+	1000	119.0	[8.332749]	[90]	[]	[]	[228463799]	[]
203_1126	chrX	11367604	11368004	+	1000	497.0	[8.235647]	[113]	[]	[]	[11367816]	[]
203_11264	chr10	71266341	71266741	+	1000	119.0	[]	[]	[8.801346]	[79]	[]	[71266503]
203_11270	chr11	44270685	44271085	+	1000	119.0	[8.643063]	[170]	[]	[]	[44270930]	[]
203_11278	chr13	51786031	51786431	+	1000	119.0	[]	[]	[8.643063]	[120]	[]	[51786230]
203_1129	chr10	60262751	60263151	+	1000	496.0	[8.643063, 8.498569]	[79, 125]	[]	[]	[60262919, 60262965]	[]
203_11298	chr2	171433786	171434186	+	1000	119.0	[8.272243]	[68]	[]	[]	[171433939]	[]
203_11305	chr22	22809966	22810366	+	1000	119.0	[]	[]	[8.272243]	[218]	[]	[22810199]
203_11311	chr3	123636485	123636885	+	1000	119.0	[8.643063]	[118]	[]	[]	[123636693]	[]
203_11326	chr6	45156092	45156492	+	1000	119.0	[8.272243]	[84]	[]	[]	[45156272]	[]
203_11336	chr7	101100107	101100507	+	1000	119.0	[]	[]	[8.643063]	[145]	[]	[101100335]
203_11343	chr8	104617277	104617677	+	1000	119.0	[]	[]	[8.52607]	[151]	[]	[104617521]
203_11367	chr10	97648961	97649361	+	1000	118.0	[7.8923073]	[65]	[]	[]	[97649117]	[]
203_11368	chr10	102645831	102646231	+	1000	118.0	[]	[]	[8.643063]	[91]	[]	[102646018]
203_11411	chr22	22692787	22693187	+	1000	118.0	[8.272243]	[101]	[]	[]	[22692987]	[]
203_11415	chr3	42051766	42052166	+	1000	118.0	[]	[]	[8.498569]	[151]	[]	[42052011]
203_11416	chr3	45468306	45468706	+	1000	118.0	[]	[]	[8.332749, 8.52607]	[114, 159]	[]	[45468507, 45468552]
203_11432	chr5	170141128	170141528	+	1000	118.0	[8.643063]	[120]	[]	[]	[170141348]	[]
203_11434	chr6	4459105	4459505	+	1000	118.0	[]	[]	[7.5855]	[151]	[]	[4459348]
203_11436	chr6	33990048	33990448	+	1000	118.0	[8.643063]	[60]	[]	[]	[33990199]	[]
203_11439	chr7	471871	472271	+	1000	118.0	[]	[]	[8.679044]	[137]	[]	[472075]
203_11461	chr1	112700668	112701068	+	1000	117.0	[]	[]	[8.332749]	[145]	[]	[112700893]
203_11467	chr1	204516330	204516730	+	1000	117.0	[]	[]	[8.801346]	[151]	[]	[204516567]
203_11484	chr16	29118642	29119042	+	1000	117.0	[]	[]	[12.754859]	[78]	[]	[29118816]
203_11495	chr2	75960400	75960800	+	1000	117.0	[7.8923073]	[78]	[]	[]	[75960573]	[]
203_11498	chr2	108351816	108352216	+	1000	117.0	[8.643063]	[158]	[]	[]	[108352057]	[]
203_11499	chr2	112021766	112022166	+	1000	117.0	[]	[]	[8.235647]	[150]	[]	[112022013]
203_115	chr11	119087706	119088106	+	1000	751.0	[8.643063, 8.272243]	[69, 124]	[]	[]	[119087870, 119087925]	[]
203_11508	chr22	22788156	22788556	+	1000	117.0	[8.643063]	[126]	[]	[]	[22788378]	[]
203_11521	chr5	132147635	132148035	+	1000	117.0	[8.235647]	[135]	[]	[]	[132147847]	[]
203_1153	chr14	101678027	101678427	+	1000	493.0	[]	[]	[8.52607, 8.801346]	[66, 106]	[]	[101678191, 101678231]
203_11544	chrX	110410588	110410988	+	1000	117.0	[8.52607]	[72]	[]	[]	[110410749]	[]
203_11546	chr1	37479619	37480019	+	1000	116.0	[]	[]	[8.679044, 8.498569]	[57, 120]	[]	[37479775, 37479838]
203_11547	chr1	91731325	91731725	+	1000	116.0	[8.235647, 8.643063]	[90, 139]	[8.643063]	[138]	[91731510, 91731559]	[91731558]
203_11554	chr1	172452605	172453005	+	1000	116.0	[8.235647, 8.643063]	[85, 103]	[]	[]	[172452788, 172452806]	[]
203_11589	chr15	90213545	90213945	+	1000	116.0	[]	[]	[8.272243, 7.8880606]	[85, 105]	[]	[90213707, 90213727]
203_11599	chr17	17913904	17914304	+	1000	116.0	[]	[]	[8.272243]	[132]	[]	[17914122]
203_1162	chr13	44397858	44398258	+	1000	492.0	[]	[]	[8.235647]	[122]	[]	[44398078]
203_11623	chr3	45105793	45106193	+	1000	116.0	[]	[]	[8.643063]	[81]	[]	[45105955]
203_11645	chr7	51278737	51279137	+	1000	116.0	[]	[]	[8.801346, 12.754859]	[126, 133]	[]	[51278955, 51278962]
203_11646	chr7	100428030	100428430	+	1000	116.0	[8.643063]	[68]	[]	[]	[100428195]	[]
203_11647	chr7	106017657	106018057	+	1000	116.0	[]	[]	[7.8880606, 8.52607]	[80, 117]	[]	[106017825, 106017862]
203_11672	chr1	211309624	211310024	+	1000	115.0	[12.754859]	[112]	[]	[]	[211309824]	[]
203_11676	chr1	228457388	228457788	+	1000	115.0	[8.643063]	[99]	[12.754859]	[104]	[228457560]	[228457565]
203_11681	chr11	36065576	36065976	+	1000	115.0	[]	[]	[12.754859]	[120]	[]	[36065795]
203_11684	chr11	94135125	94135525	+	1000	115.0	[8.643063]	[130]	[8.643063]	[129]	[94135343]	[94135342]
203_11689	chr15	39720908	39721308	+	1000	115.0	[8.332749]	[150]	[]	[]	[39721147]	[]
203_11694	chr17	1590033	1590433	+	1000	115.0	[7.8923073]	[87]	[]	[]	[1590219]	[]
203_11706	chr2	134683524	134683924	+	1000	115.0	[]	[]	[12.754859]	[111]	[]	[134683698]
203_11715	chr3	4980309	4980709	+	1000	115.0	[8.801346]	[70]	[7.5073967, 9.166563]	[75, 121]	[4980473]	[4980478, 4980524]
203_11717	chr3	8652259	8652659	+	1000	115.0	[8.643063]	[64]	[8.643063]	[63]	[8652412]	[8652411]
203_11735	chr6	6704380	6704780	+	1000	115.0	[8.235647]	[163]	[]	[]	[6704610]	[]
203_11754	chr9	128494437	128494837	+	1000	115.0	[7.8923073]	[121]	[]	[]	[128494654]	[]
203_11756	chrX	132046543	132046943	+	1000	115.0	[]	[]	[8.386223]	[99]	[]	[132046731]
203_11801	chr18	58258688	58259088	+	1000	114.0	[8.643063]	[80]	[8.643063]	[79]	[58258866]	[58258865]
203_11805	chr19	45873784	45874184	+	1000	114.0	[]	[]	[8.332749]	[147]	[]	[45874019]
203_11807	chr2	39492266	39492666	+	1000	114.0	[]	[]	[7.5073967]	[86]	[]	[39492441]
203_11825	chr5	68290153	68290553	+	1000	114.0	[7.5073967]	[127]	[]	[]	[68290369]	[]
203_11826	chr5	89444977	89445377	+	1000	114.0	[]	[]	[7.5855]	[105]	[]	[89445181]
203_11831	chr6	15089577	15089977	+	1000	114.0	[8.498569, 8.643063, 8.52607]	[66, 91, 99]	[]	[]	[15089740, 15089765, 15089773]	[]
203_11834	chr6	26027017	26027417	+	1000	114.0	[8.332749]	[134]	[]	[]	[26027207]	[]
203_11840	chr7	604413	604813	+	1000	114.0	[9.540733]	[73]	[9.540733]	[72]	[604569]	[604568]
203_11846	chr7	75937912	75938312	+	1000	114.0	[8.801346, 8.643063]	[100, 152]	[8.643063]	[151]	[75938079, 75938131]	[75938130]
203_11849	chr7	151233428	151233828	+	1000	114.0	[]	[]	[8.235647]	[123]	[]	[151233643]
203_1185	chr1	67688567	67688967	+	1000	489.0	[]	[]	[7.5855]	[134]	[]	[67688795]
203_11857	chr9	6757041	6757441	+	1000	114.0	[12.754859]	[93]	[]	[]	[6757211]	[]
203_11897	chr17	1763034	1763434	+	1000	113.0	[]	[]	[8.332749]	[112]	[]	[1763240]
203_11899	chr17	50397368	50397768	+	1000	113.0	[7.5855]	[73]	[]	[]	[50397532]	[]
203_1192	chr11	61800605	61801005	+	1000	488.0	[8.272243]	[73]	[9.166563]	[108]	[61800774]	[61800809]
203_11927	chr3	38019620	38020020	+	1000	113.0	[8.272243]	[62]	[]	[]	[38019780]	[]
203_11929	chr3	54349303	54349703	+	1000	113.0	[8.332749]	[66]	[]	[]	[54349459]	[]
203_1193	chr16	88976938	88977338	+	1000	488.0	[8.643063]	[95]	[8.643063]	[94]	[88977129]	[88977128]
203_11930	chr3	141366721	141367121	+	1000	113.0	[]	[]	[8.235647]	[101]	[]	[141366917]
203_11940	chr4	109708436	109708836	+	1000	113.0	[]	[]	[8.235647]	[140]	[]	[109708668]
203_11955	chr6	139029557	139029957	+	1000	113.0	[8.643063]	[98]	[]	[]	[139029744]	[]
203_11970	chr9	133022300	133022700	+	1000	113.0	[7.5855]	[79]	[8.272243]	[135]	[133022461]	[133022517]
203_11984	chr1	226550289	226550689	+	1000	112.0	[12.754859]	[148]	[]	[]	[226550510]	[]
203_11985	chr10	5960248	5960648	+	1000	112.0	[]	[]	[7.5855]	[132]	[]	[5960474]
203_120	chr8	123182441	123182841	+	1000	748.0	[8.643063]	[116]	[12.754859, 8.643063, 8.235647]	[85, 115, 121]	[123182653]	[123182622, 123182652, 123182658]
203_12001	chr12	52790130	52790530	+	1000	112.0	[12.754859]	[115]	[]	[]	[52790320]	[]
203_12002	chr12	56126149	56126549	+	1000	112.0	[8.272243]	[113]	[8.272243]	[105]	[56126353]	[56126345]
