#PeakID(python identify_motif.py ./ENCODE_processed_files/MEF2A_idr.fa MEF2A --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
9_10521	chr12	54217001	54217401	+	1000	28.0	[]	[]	[5.956703]	[100]	[]	[54217191]
9_10531	chr12	108700061	108700461	+	1000	28.0	[]	[]	[7.7277474]	[176]	[]	[108700302]
9_10535	chr12	118374938	118375338	+	1000	28.0	[11.036327]	[144]	[6.3231277]	[144]	[118375149]	[118375149]
9_10542	chr13	51803429	51803829	+	836	28.0	[]	[]	[6.385992]	[116]	[]	[51803613]
9_10543	chr13	91363259	91363659	+	897	28.0	[]	[]	[6.0747843]	[147]	[]	[91363502]
9_10551	chr14	20333194	20333594	+	1000	28.0	[]	[]	[8.102402, 16.258217]	[147, 176]	[]	[20333403, 20333432]
9_10554	chr14	72617616	72618016	+	618	28.0	[15.057976]	[109]	[]	[]	[72617804]	[]
9_10555	chr14	103394259	103394659	+	1000	28.0	[]	[]	[10.098799]	[151]	[]	[103394429]
9_10558	chr15	35705852	35706252	+	1000	28.0	[7.826562]	[128]	[7.19098]	[128]	[35706040]	[35706040]
9_10559	chr15	40569011	40569411	+	845	28.0	[]	[]	[7.0126824]	[92]	[]	[40569202]
9_1057	chr3	142046716	142047116	+	1000	91.0	[10.73472]	[113]	[]	[]	[142046920]	[]
9_10589	chr16	70523335	70523735	+	1000	28.0	[]	[]	[6.1815386]	[182]	[]	[70523585]
9_1059	chr5	72226831	72227231	+	1000	91.0	[5.673355]	[122]	[13.469811]	[122]	[72227038]	[72227038]
9_10591	chr16	72722015	72722415	+	1000	28.0	[17.315159]	[78]	[]	[]	[72722193]	[]
9_1060	chr5	133968663	133969063	+	1000	91.0	[16.258217]	[105]	[]	[]	[133968865]	[]
9_10616	chr17	46720400	46720800	+	778	28.0	[]	[]	[15.057976]	[125]	[]	[46720570]
9_10621	chr17	58364268	58364668	+	810	28.0	[6.670806]	[97]	[]	[]	[58364436]	[]
9_10633	chr18	9700309	9700709	+	1000	28.0	[]	[]	[9.222055]	[189]	[]	[9700553]
9_10646	chr19	2427744	2428144	+	815	28.0	[5.9635267]	[160]	[]	[]	[2427994]	[]
9_1065	chr8	104585817	104586217	+	1000	91.0	[]	[]	[9.503056]	[120]	[]	[104586025]
9_10667	chr19	33101172	33101572	+	934	28.0	[]	[]	[11.56397]	[127]	[]	[33101395]
9_10672	chr19	39305074	39305474	+	772	28.0	[]	[]	[10.132373]	[101]	[]	[39305252]
9_10678	chr19	43668058	43668458	+	1000	28.0	[]	[]	[10.746974]	[105]	[]	[43668263]
9_10697	chr2	11236276	11236676	+	935	28.0	[]	[]	[6.21491]	[91]	[]	[11236465]
9_10699	chr2	15637261	15637661	+	1000	28.0	[]	[]	[8.435963]	[173]	[]	[15637506]
9_107	chr22	23183190	23183590	+	1000	299.0	[]	[]	[16.258217]	[97]	[]	[23183387]
9_10701	chr2	24359100	24359500	+	919	28.0	[]	[]	[10.430422]	[183]	[]	[24359340]
9_1071	chr10	50260729	50261129	+	1000	90.0	[17.315159]	[100]	[]	[]	[50260913]	[]
9_10742	chr2	189506575	189506975	+	770	28.0	[5.7604885]	[125]	[]	[]	[189506753]	[]
9_10743	chr2	190713463	190713863	+	647	28.0	[10.04188, 9.42313]	[102, 137]	[]	[]	[190713660, 190713695]	[]
9_10747	chr2	219642345	219642745	+	1000	28.0	[11.066004]	[109]	[]	[]	[219642524]	[]
9_10749	chr2	237966708	237967108	+	985	28.0	[6.712733]	[115]	[6.0057917]	[144]	[237966918]	[237966947]
9_1075	chr11	109939204	109939604	+	1000	90.0	[5.687546]	[133]	[11.671909]	[133]	[109939435]	[109939435]
9_10753	chr20	36236100	36236500	+	1000	28.0	[10.356762]	[161]	[]	[]	[36236337]	[]
9_10755	chr20	37095850	37096250	+	981	28.0	[7.2060337]	[139]	[]	[]	[37096076]	[]
9_1076	chr12	7555768	7556168	+	1000	90.0	[14.422394]	[110]	[]	[]	[7555967]	[]
9_10775	chr21	43860197	43860597	+	858	28.0	[16.258217]	[113]	[]	[]	[43860397]	[]
9_1078	chr14	33652616	33653016	+	1000	90.0	[6.958328]	[101]	[9.154484]	[101]	[33652816]	[33652816]
9_10807	chr22	22029545	22029945	+	631	28.0	[9.652307]	[160]	[8.856631]	[117]	[22029774]	[22029731]
9_10848	chr3	23763241	23763641	+	984	28.0	[]	[]	[15.057976]	[124]	[]	[23763439]
9_10857	chr3	50189236	50189636	+	1000	28.0	[]	[]	[11.85257]	[101]	[]	[50189437]
9_10858	chr3	64917867	64918267	+	1000	28.0	[12.69387]	[74]	[]	[]	[64918038]	[]
9_1087	chr4	84681928	84682328	+	1000	90.0	[8.580311]	[112]	[13.929092]	[112]	[84682133]	[84682133]
9_10882	chr3	186239306	186239706	+	1000	28.0	[]	[]	[9.652645]	[82]	[]	[186239483]
9_1091	chr6	26188900	26189300	+	1000	90.0	[6.7456894]	[152]	[]	[]	[26189136]	[]
9_10917	chr5	81626520	81626920	+	1000	28.0	[9.969937]	[107]	[5.963669]	[147]	[81626727]	[81626767]
9_10918	chr5	88836378	88836778	+	916	28.0	[9.678914]	[157]	[]	[]	[88836539]	[]
9_1092	chr6	31734826	31735226	+	1000	90.0	[12.640175]	[111]	[]	[]	[31735028]	[]
9_10921	chr5	109691078	109691478	+	1000	28.0	[14.001035]	[201]	[10.288227]	[188]	[109691283]	[109691270]
9_10929	chr5	149227102	149227502	+	737	28.0	[10.132373]	[115]	[]	[]	[149227303]	[]
9_10940	chr5	180293456	180293856	+	1000	28.0	[]	[]	[6.1340384]	[148]	[]	[180293701]
9_10954	chr6	15246734	15247134	+	972	28.0	[]	[]	[7.4567714, 7.7548203]	[196, 199]	[]	[15246955, 15246958]
9_1097	chr1	241519782	241520182	+	1000	89.0	[]	[]	[9.29982]	[105]	[]	[241519980]
9_10979	chr6	36886463	36886863	+	1000	28.0	[6.7456894]	[233]	[]	[]	[36886700]	[]
9_10986	chr6	43015025	43015425	+	845	28.0	[]	[]	[10.056873, 12.54541]	[119, 142]	[]	[43015238, 43015261]
9_110	chrM	6945	7345	+	1000	298.0	[]	[]	[7.1289372]	[53]	[]	[7098]
9_11000	chr6	125301027	125301427	+	1000	28.0	[12.91896]	[132]	[5.7580857]	[132]	[125301203]	[125301203]
9_11001	chr6	126033668	126034068	+	1000	28.0	[7.6420155]	[195]	[8.943782]	[189]	[126033913]	[126033907]
9_11002	chr6	126054375	126054775	+	795	28.0	[6.3821535]	[136]	[]	[]	[126054583]	[]
9_11022	chr6	170524161	170524561	+	1000	28.0	[12.299063]	[115]	[]	[]	[170524374]	[]
9_11031	chr7	30240245	30240645	+	888	28.0	[13.067403]	[96]	[]	[]	[30240439]	[]
9_11033	chr7	32501016	32501416	+	850	28.0	[]	[]	[7.451628]	[146]	[]	[32501253]
9_11043	chr7	99120449	99120849	+	724	28.0	[]	[]	[12.122945, 7.946314]	[69, 143]	[]	[99120609, 99120683]
9_11045	chr7	106584923	106585323	+	853	28.0	[6.1743393, 9.72488]	[173, 175]	[]	[]	[106585167, 106585169]	[]
9_1105	chr2	176020427	176020827	+	1000	89.0	[9.29982, 9.29982]	[56, 123]	[]	[]	[176020580, 176020647]	[]
9_11051	chr7	117015923	117016323	+	1000	28.0	[]	[]	[6.87771]	[220]	[]	[117016152]
9_11060	chr7	135801037	135801437	+	1000	28.0	[]	[]	[5.9615636]	[166]	[]	[135801269]
9_11066	chr7	140223769	140224169	+	939	28.0	[5.894586]	[135]	[]	[]	[140223992]	[]
9_11069	chr7	149148094	149148494	+	1000	28.0	[9.364033]	[75]	[]	[]	[149148260]	[]
9_1107	chr3	33900993	33901393	+	1000	89.0	[]	[]	[6.2870255]	[161]	[]	[33901231]
9_11077	chr8	17216779	17217179	+	948	28.0	[]	[]	[10.132373, 10.662778]	[84, 90]	[]	[17216942, 17216948]
9_11079	chr8	21966019	21966419	+	981	28.0	[]	[]	[6.4238367, 6.7696204]	[109, 128]	[]	[21966211, 21966230]
9_1109	chr4	158809820	158810220	+	1000	89.0	[14.124345]	[166]	[13.554542]	[131]	[158810061]	[158810026]
9_11097	chr8	140770175	140770575	+	1000	28.0	[]	[]	[9.605837]	[92]	[]	[140770365]
9_11099	chr8	141290241	141290641	+	1000	28.0	[]	[]	[10.577045]	[141]	[]	[141290472]
9_111	chr18	618055	618455	+	1000	297.0	[12.640175]	[114]	[]	[]	[618267]	[]
9_1110	chr5	96741914	96742314	+	1000	89.0	[]	[]	[11.867161]	[113]	[]	[96742126]
9_1111	chr6	26204439	26204839	+	1000	89.0	[]	[]	[7.5823956]	[99]	[]	[26204622]
9_11110	chr9	68979650	68980050	+	637	28.0	[17.315159]	[103]	[]	[]	[68979850]	[]
9_1115	chr1	47424420	47424820	+	1000	88.0	[]	[]	[12.299063]	[117]	[]	[47424624]
9_11151	chrX	7132395	7132795	+	917	28.0	[6.36479]	[107]	[]	[]	[7132568]	[]
9_11162	chr1	8388950	8389350	+	728	27.0	[7.8419547, 7.310393]	[141, 142]	[]	[]	[8389154, 8389155]	[]
9_11176	chr1	19113254	19113654	+	1000	27.0	[8.898557]	[104]	[]	[]	[19113436]	[]
9_11181	chr1	23979267	23979667	+	733	27.0	[7.1491137]	[148]	[11.488469]	[199]	[23979461]	[23979512]
9_1119	chr11	71995556	71995956	+	1000	88.0	[]	[]	[8.290689, 7.1289372]	[74, 92]	[]	[71995726, 71995744]
9_112	chr1	164712279	164712679	+	1000	295.0	[6.2534513]	[94]	[15.057976]	[157]	[164712466]	[164712529]
9_11218	chr1	89721337	89721737	+	549	27.0	[]	[]	[6.5339804]	[85]	[]	[89721490]
9_11227	chr1	109822377	109822777	+	1000	27.0	[14.001035]	[147]	[]	[]	[109822557]	[]
9_11237	chr1	155135174	155135574	+	697	27.0	[]	[]	[11.098821]	[215]	[]	[155135391]
9_11249	chr1	172532402	172532802	+	690	27.0	[6.7036223]	[118]	[]	[]	[172532613]	[]
9_1125	chr16	79764415	79764815	+	1000	88.0	[]	[]	[8.621973]	[122]	[]	[79764628]
9_11250	chr1	173870192	173870592	+	867	27.0	[]	[]	[7.8381796]	[101]	[]	[173870390]
9_11251	chr1	174206380	174206780	+	714	27.0	[]	[]	[7.6420155, 12.69387, 8.316919]	[84, 137, 151]	[]	[174206538, 174206591, 174206605]
9_11252	chr1	179026843	179027243	+	905	27.0	[]	[]	[8.453715]	[71]	[]	[179027013]
9_11254	chr1	179969853	179970253	+	555	27.0	[10.73472]	[159]	[17.315159, 11.066004]	[97, 126]	[179970103]	[179970041, 179970070]
9_11270	chr1	209649180	209649580	+	645	27.0	[7.395123, 7.964926]	[166, 168]	[]	[]	[209649371, 209649373]	[]
9_11272	chr1	212261745	212262145	+	977	27.0	[8.446115]	[213]	[]	[]	[212261971]	[]
9_11295	chr10	6980396	6980796	+	816	27.0	[]	[]	[17.315159]	[86]	[]	[6980581]
9_11297	chr10	21180573	21180973	+	917	27.0	[10.098799]	[86]	[]	[]	[21180725]	[]
9_113	chr15	75694171	75694571	+	1000	295.0	[10.614968]	[100]	[6.760707]	[65]	[75694371]	[75694336]
9_1130	chr3	185503010	185503410	+	1000	88.0	[]	[]	[16.258217]	[117]	[]	[185503216]
9_11306	chr10	48708146	48708546	+	687	27.0	[15.057976]	[110]	[]	[]	[48708351]	[]
9_11325	chr10	97664427	97664827	+	899	27.0	[]	[]	[6.39983]	[139]	[]	[97664599]
9_1133	chr9	72362725	72363125	+	1000	88.0	[]	[]	[12.620911]	[102]	[]	[72362911]
9_11338	chr11	12114582	12114982	+	873	27.0	[10.73472]	[139]	[]	[]	[12114796]	[]
9_1135	chr9	123299536	123299936	+	1000	88.0	[12.54541]	[148]	[]	[]	[123299782]	[]
9_11357	chr11	94769804	94770204	+	955	27.0	[11.401335, 6.492525]	[110, 169]	[11.401335]	[110]	[94769980, 94770039]	[94769980]
9_11359	chr11	96341732	96342132	+	899	27.0	[]	[]	[6.713071]	[154]	[]	[96341971]
9_11363	chr11	113635004	113635404	+	957	27.0	[8.09485]	[126]	[]	[]	[113635215]	[]
9_11385	chr12	70754173	70754573	+	646	27.0	[6.579676]	[106]	[12.69387]	[112]	[70754370]	[70754376]
9_11386	chr12	76539737	76540137	+	996	27.0	[6.8324847]	[90]	[11.15574]	[145]	[76539901]	[76539956]
9_1139	chr1	207923493	207923893	+	1000	87.0	[6.6259375]	[88]	[9.709194]	[88]	[207923678]	[207923678]
9_11390	chr12	95218277	95218677	+	655	27.0	[]	[]	[14.048844]	[156]	[]	[95218514]
9_11392	chr12	104510188	104510588	+	968	27.0	[6.665946]	[58]	[5.9615636]	[138]	[104510345]	[104510425]
9_11400	chr12	116066593	116066993	+	948	27.0	[6.0057917]	[69]	[]	[]	[116066758]	[]
9_11401	chr12	121582691	121583091	+	754	27.0	[]	[]	[7.1491137]	[133]	[]	[121582911]
9_11403	chr13	29435085	29435485	+	648	27.0	[]	[]	[6.760707, 17.315159]	[75, 125]	[]	[29435248, 29435298]
9_11404	chr13	32657717	32658117	+	741	27.0	[17.315159]	[114]	[]	[]	[32657926]	[]
9_1141	chr16	71943888	71944288	+	1000	87.0	[8.015269]	[115]	[15.811725]	[115]	[71944098]	[71944098]
9_11410	chr13	91364752	91365152	+	942	27.0	[10.0798]	[157]	[]	[]	[91364983]	[]
9_11448	chr15	78873566	78873966	+	954	27.0	[]	[]	[11.557004]	[138]	[]	[78873804]
9_11454	chr15	96165918	96166318	+	806	27.0	[13.929092]	[161]	[8.580311]	[161]	[96166158]	[96166158]
9_1146	chr4	95249712	95250112	+	1000	87.0	[]	[]	[8.09485]	[89]	[]	[95249901]
9_11474	chr16	46857570	46857970	+	759	27.0	[9.154484]	[116]	[6.958328]	[116]	[46857776]	[46857776]
9_11480	chr16	73037804	73038204	+	873	27.0	[6.951866]	[73]	[5.629383]	[91]	[73037971]	[73037989]
9_11482	chr16	81752235	81752635	+	931	27.0	[]	[]	[7.3964634]	[121]	[]	[81752393]
9_11488	chr16	87691720	87692120	+	1000	27.0	[]	[]	[17.315159]	[112]	[]	[87691916]
9_11499	chr17	29732436	29732836	+	961	27.0	[8.580311, 7.886566]	[140, 168]	[13.929092]	[140]	[29732657, 29732685]	[29732657]
9_115	chr11	35030725	35031125	+	1000	293.0	[7.2615194]	[95]	[9.073612]	[95]	[35030918]	[35030918]
9_11514	chr17	42673963	42674363	+	907	27.0	[13.323187]	[182]	[]	[]	[42674162]	[]
9_1152	chr8	94960617	94961017	+	1000	87.0	[]	[]	[13.067403]	[93]	[]	[94960810]
9_11520	chr17	48051959	48052359	+	983	27.0	[]	[]	[9.29982]	[116]	[]	[48052133]
9_11526	chr17	73770527	73770927	+	698	27.0	[]	[]	[12.497601]	[115]	[]	[73770724]
9_1155	chr1	161227351	161227751	+	1000	86.0	[]	[]	[12.872151]	[129]	[]	[161227568]
9_1156	chr1	225444789	225445189	+	1000	86.0	[7.79969]	[120]	[]	[]	[225445000]	[]
9_1157	chr10	73118039	73118439	+	1000	86.0	[9.801105, 5.7580857, 6.266578]	[104, 148, 152]	[12.91896]	[148]	[73118209, 73118253, 73118257]	[73118253]
9_11581	chr2	38665801	38666201	+	874	27.0	[]	[]	[11.208964]	[131]	[]	[38666003]
9_11583	chr2	46541774	46542174	+	955	27.0	[]	[]	[7.163769]	[169]	[]	[46541995]
9_11585	chr2	54227813	54228213	+	619	27.0	[7.548953]	[94]	[]	[]	[54228005]	[]
9_1159	chr18	48720355	48720755	+	1000	86.0	[10.779332]	[80]	[15.057976]	[167]	[48720518]	[48720605]
9_11595	chr2	85578039	85578439	+	674	27.0	[]	[]	[16.258217, 8.018149]	[96, 131]	[]	[85578209, 85578244]
9_11604	chr2	157302634	157303034	+	905	27.0	[]	[]	[6.951866]	[165]	[]	[157302812]
9_11610	chr2	170812716	170813116	+	888	27.0	[6.454865]	[151]	[]	[]	[170812956]	[]
9_11618	chr2	195318381	195318781	+	938	27.0	[13.469811]	[88]	[5.673355]	[88]	[195318566]	[195318566]
9_11621	chr2	198114101	198114501	+	939	27.0	[10.083745]	[144]	[10.083745]	[144]	[198114327]	[198114327]
9_11622	chr2	204434716	204435116	+	997	27.0	[10.5505705]	[138]	[]	[]	[204434951]	[]
9_11624	chr2	237695124	237695524	+	788	27.0	[]	[]	[13.554542]	[152]	[]	[237695348]
9_11637	chr20	62159866	62160266	+	665	27.0	[12.054005, 6.665946]	[110, 131]	[]	[]	[62160071, 62160092]	[]
9_1164	chr3	158408165	158408565	+	1000	86.0	[10.083745]	[102]	[10.083745]	[102]	[158408342]	[158408342]
9_11644	chr21	42547096	42547496	+	998	27.0	[9.678914]	[85]	[5.6466813]	[103]	[42547278]	[42547296]
9_11646	chr21	46153160	46153560	+	790	27.0	[10.81022]	[154]	[]	[]	[46153362]	[]
9_1166	chr5	132664125	132664525	+	1000	86.0	[10.155686, 11.036327]	[115, 121]	[6.3231277]	[121]	[132664330, 132664336]	[132664336]
9_1167	chr6	84547508	84547908	+	1000	86.0	[9.937121]	[117]	[]	[]	[84547714]	[]
9_1168	chr8	105520490	105520890	+	1000	86.0	[]	[]	[11.066004, 10.098799]	[114, 144]	[]	[105520697, 105520727]
9_11680	chr22	22148771	22149171	+	992	27.0	[10.278996]	[164]	[]	[]	[22148984]	[]
9_11703	chr22	28978147	28978547	+	1000	27.0	[]	[]	[16.258217]	[103]	[]	[28978345]
9_11706	chr22	40499094	40499494	+	652	27.0	[12.299063]	[106]	[]	[]	[40499262]	[]
9_11707	chr3	3053841	3054241	+	1000	27.0	[14.048844]	[139]	[]	[]	[3054076]	[]
9_11731	chr3	49021309	49021709	+	843	27.0	[]	[]	[7.391603]	[129]	[]	[49021526]
9_11736	chr3	65619196	65619596	+	804	27.0	[15.057976]	[131]	[]	[]	[65619371]	[]
9_11738	chr3	72186055	72186455	+	819	27.0	[]	[]	[6.7806125]	[118]	[]	[72186255]
9_1174	chr10	70653231	70653631	+	1000	85.0	[6.7595406]	[115]	[]	[]	[70653434]	[]
9_11741	chr3	129554029	129554429	+	740	27.0	[8.65479]	[85]	[14.422394]	[149]	[129554187]	[129554251]
9_11757	chr3	194472170	194472570	+	894	27.0	[7.5439057, 7.310393]	[131, 132]	[]	[]	[194472371, 194472372]	[]
9_1177	chr15	63915482	63915882	+	1000	85.0	[]	[]	[10.344394, 9.159344]	[110, 146]	[]	[63915683, 63915719]
9_11775	chr4	72569393	72569793	+	881	27.0	[6.6259375]	[151]	[9.709194]	[151]	[72569610]	[72569610]
9_11780	chr4	84750249	84750649	+	648	27.0	[5.7580857]	[98]	[12.91896]	[98]	[84750430]	[84750430]
9_11783	chr4	94451393	94451793	+	960	27.0	[]	[]	[17.315159]	[109]	[]	[94451583]
9_11793	chr4	151029895	151030295	+	969	27.0	[6.415022]	[132]	[10.739767]	[90]	[151030123]	[151030081]
9_11797	chr4	173024958	173025358	+	661	27.0	[]	[]	[15.057976, 5.7159576]	[79, 146]	[]	[173025112, 173025179]
9_11802	chr5	39157319	39157719	+	913	27.0	[7.419761, 8.221049]	[103, 155]	[]	[]	[39157514, 39157566]	[]
9_11806	chr5	43602254	43602654	+	817	27.0	[]	[]	[6.1184783]	[96]	[]	[43602423]
9_11808	chr5	68549307	68549707	+	965	27.0	[10.382992]	[190]	[6.820177]	[146]	[68549527]	[68549483]
9_11809	chr5	72149758	72150158	+	785	27.0	[]	[]	[10.73472]	[104]	[]	[72149959]
9_11812	chr5	87404394	87404794	+	808	27.0	[]	[]	[5.8359895]	[92]	[]	[87404585]
9_11815	chr5	95732281	95732681	+	968	27.0	[13.110946, 7.379021, 10.430422]	[99, 132, 158]	[]	[]	[95732466, 95732499, 95732525]	[]
9_11829	chr5	140295354	140295754	+	544	27.0	[7.8176484]	[146]	[]	[]	[140295550]	[]
9_11832	chr5	163503183	163503583	+	888	27.0	[7.79969]	[138]	[]	[]	[163503375]	[]
9_11834	chr5	173890641	173891041	+	784	27.0	[10.344394]	[153]	[]	[]	[173890872]	[]
9_11854	chr6	20400436	20400836	+	874	27.0	[6.992061]	[89]	[]	[]	[20400613]	[]
