#PeakID(python scan_motif.py ./ENCODE_processed_files/ATF1_idr.fa ATF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
755_10094	chr3	193593713	193594113	+	1000	31.0	[9.08557]	[169]	[]	[]	[193593946]	[]
755_101	chr1	1000694	1001094	+	1000	320.0	[9.08557, 10.880985, 9.08557, 10.880985]	[66, 83, 108, 127]	[10.880985, 10.880985]	[85, 129]	[1000857, 1000874, 1000899, 1000918]	[1000876, 1000920]
755_10103	chr4	56544588	56544988	+	1000	31.0	[]	[]	[10.880985]	[200]	[]	[56544833]
755_10104	chr4	77075336	77075736	+	1000	31.0	[9.08557]	[111]	[]	[]	[77075530]	[]
755_1011	chr4	109815327	109815727	+	1000	106.0	[]	[]	[10.880985, 9.08557]	[98, 117]	[]	[109815520, 109815539]
755_10116	chr5	132962386	132962786	+	851	31.0	[10.880985]	[146]	[10.880985]	[148]	[132962605]	[132962607]
755_10117	chr5	138032859	138033259	+	1000	31.0	[10.880985]	[148]	[]	[]	[138033104]	[]
755_1012	chr5	32174122	32174522	+	1000	106.0	[10.880985]	[117]	[10.880985]	[119]	[32174332]	[32174334]
755_10121	chr5	180611027	180611427	+	812	31.0	[10.880985, 9.08557]	[109, 137]	[]	[]	[180611227, 180611255]	[]
755_10122	chr5	181218241	181218641	+	1000	31.0	[]	[]	[6.94984]	[165]	[]	[181218469]
755_10126	chr6	26323152	26323552	+	877	31.0	[]	[]	[10.880985]	[106]	[]	[26323334]
755_10129	chr6	28747629	28748029	+	1000	31.0	[]	[]	[8.745255]	[137]	[]	[28747866]
755_1013	chr8	23246378	23246778	+	1000	106.0	[10.880985]	[122]	[]	[]	[23246584]	[]
755_1014	chr8	41528995	41529395	+	1000	106.0	[10.880985]	[109]	[]	[]	[41529199]	[]
755_1015	chr9	33076491	33076891	+	1000	106.0	[]	[]	[10.880985]	[115]	[]	[33076693]
755_1016	chr1	85580805	85581205	+	1000	105.0	[]	[]	[8.028987]	[116]	[]	[85581019]
755_10162	chr6	163308673	163309073	+	1000	31.0	[10.880985]	[133]	[10.880985]	[135]	[163308885]	[163308887]
755_10164	chr6	168105742	168106142	+	1000	31.0	[10.880985]	[112]	[10.880985]	[114]	[168105952]	[168105954]
755_10166	chr7	392110	392510	+	1000	31.0	[]	[]	[10.880985]	[105]	[]	[392306]
755_1017	chr1	154937078	154937478	+	1000	105.0	[9.08557]	[100]	[6.94984, 10.880985]	[86, 123]	[154937266]	[154937252, 154937289]
755_10172	chr7	44638079	44638479	+	1000	31.0	[]	[]	[10.880985]	[94]	[]	[44638272]
755_10174	chr7	92527586	92527986	+	923	31.0	[]	[]	[9.08557]	[128]	[]	[92527811]
755_10188	chr7	131244453	131244853	+	1000	31.0	[8.028987, 8.028987, 8.028987]	[132, 153, 162]	[]	[]	[131244660, 131244681, 131244690]	[]
755_1019	chr14	67619595	67619995	+	1000	105.0	[10.880985]	[95]	[10.880985]	[97]	[67619748]	[67619750]
755_10190	chr7	140059639	140060039	+	911	31.0	[]	[]	[10.880985]	[62]	[]	[140059793]
755_10194	chr7	151086849	151087249	+	1000	31.0	[]	[]	[10.880985]	[134]	[]	[151087055]
755_10196	chr7	153413267	153413667	+	1000	31.0	[]	[]	[8.028987]	[121]	[]	[153413458]
755_1020	chr14	90383247	90383647	+	1000	105.0	[8.028987]	[104]	[]	[]	[90383444]	[]
755_10202	chr8	23457482	23457882	+	635	31.0	[]	[]	[10.880985]	[107]	[]	[23457682]
755_10205	chr8	80029802	80030202	+	574	31.0	[]	[]	[6.94984]	[106]	[]	[80029995]
755_1021	chr16	31033181	31033581	+	1000	105.0	[8.745255, 10.880985]	[76, 87]	[]	[]	[31033349, 31033360]	[]
755_10218	chr9	128304813	128305213	+	1000	31.0	[]	[]	[10.880985]	[123]	[]	[128305025]
755_1022	chr17	16380840	16381240	+	1000	105.0	[9.08557]	[115]	[]	[]	[16381045]	[]
755_10220	chr9	128337891	128338291	+	872	31.0	[8.028987]	[216]	[]	[]	[128338130]	[]
755_1024	chr21	42892900	42893300	+	1000	105.0	[10.880985]	[118]	[]	[]	[42893112]	[]
755_10243	chr1	2610995	2611395	+	838	30.0	[]	[]	[10.880985]	[146]	[]	[2611214]
755_1025	chr3	99817640	99818040	+	1000	105.0	[10.880985]	[93]	[10.880985]	[95]	[99817833]	[99817835]
755_10251	chr1	12075562	12075962	+	998	30.0	[]	[]	[9.08557]	[167]	[]	[12075738]
755_10253	chr1	12552036	12552436	+	1000	30.0	[10.880985]	[84]	[9.08557]	[130]	[12552213]	[12552259]
755_10255	chr1	15501416	15501816	+	710	30.0	[10.880985]	[65]	[]	[]	[15501577]	[]
755_10261	chr1	19659804	19660204	+	1000	30.0	[]	[]	[10.880985]	[79]	[]	[19659976]
755_1027	chr3	124730198	124730598	+	1000	105.0	[10.880985]	[113]	[10.880985]	[115]	[124730405]	[124730407]
755_10270	chr1	37554048	37554448	+	1000	30.0	[8.028987]	[229]	[]	[]	[37554290]	[]
755_10273	chr1	42957817	42958217	+	949	30.0	[]	[]	[8.028987]	[142]	[]	[42958052]
755_1028	chr9	111631104	111631504	+	1000	105.0	[10.880985]	[114]	[]	[]	[111631316]	[]
755_10292	chr1	165828872	165829272	+	904	30.0	[]	[]	[8.028987]	[102]	[]	[165829051]
755_10294	chr1	175192922	175193322	+	1000	30.0	[8.745255]	[160]	[]	[]	[175193142]	[]
755_10298	chr1	198118053	198118453	+	1000	30.0	[10.880985]	[101]	[10.880985]	[103]	[198118253]	[198118255]
755_103	chr11	809674	810074	+	1000	319.0	[10.880985]	[105]	[8.028987, 10.880985]	[83, 107]	[809874]	[809852, 809876]
755_1030	chr1	92831779	92832179	+	1000	104.0	[]	[]	[8.745255, 10.880985]	[72, 111]	[]	[92831946, 92831985]
755_10301	chr1	203305113	203305513	+	867	30.0	[8.028987]	[105]	[]	[]	[203305309]	[]
755_10312	chr1	221712246	221712646	+	627	30.0	[]	[]	[10.880985]	[96]	[]	[221712437]
755_10316	chr1	241984300	241984700	+	942	30.0	[10.880985]	[102]	[10.880985]	[104]	[241984477]	[241984479]
755_10317	chr1	244918812	244919212	+	1000	30.0	[]	[]	[9.08557]	[70]	[]	[244918971]
755_1032	chr10	102399491	102399891	+	1000	104.0	[]	[]	[9.08557]	[61]	[]	[102399643]
755_10320	chr10	5684475	5684875	+	1000	30.0	[6.94984]	[112]	[]	[]	[5684659]	[]
755_10325	chr10	49177384	49177784	+	1000	30.0	[10.880985]	[91]	[]	[]	[49177568]	[]
755_10326	chr10	62843597	62843997	+	666	30.0	[8.028987]	[111]	[]	[]	[62843789]	[]
755_10329	chr10	72297127	72297527	+	709	30.0	[9.08557, 9.08557]	[106, 151]	[]	[]	[72297287, 72297332]	[]
755_1033	chr12	71754666	71755066	+	1000	104.0	[10.880985]	[93]	[]	[]	[71754859]	[]
755_10332	chr10	97497671	97498071	+	1000	30.0	[]	[]	[10.880985]	[129]	[]	[97497883]
755_10336	chr11	267983	268383	+	633	30.0	[6.94984]	[176]	[]	[]	[268216]	[]
755_1034	chr20	36605464	36605864	+	1000	104.0	[10.880985]	[96]	[10.880985]	[98]	[36605627]	[36605629]
755_10351	chr11	67421004	67421404	+	1000	30.0	[]	[]	[9.08557]	[76]	[]	[67421170]
755_10363	chr12	49234357	49234757	+	778	30.0	[10.880985]	[72]	[]	[]	[49234508]	[]
755_10365	chr12	52036897	52037297	+	750	30.0	[]	[]	[10.880985, 9.08557]	[111, 125]	[]	[52037096, 52037110]
755_10367	chr12	53995461	53995861	+	892	30.0	[]	[]	[9.08557]	[197]	[]	[53995692]
755_1037	chr22	23179860	23180260	+	1000	104.0	[9.08557]	[137]	[]	[]	[23180022]	[]
755_10372	chr12	62602485	62602885	+	1000	30.0	[10.880985, 9.08557]	[99, 149]	[]	[]	[62602655, 62602705]	[]
755_1038	chr3	39107426	39107826	+	1000	104.0	[10.880985]	[126]	[]	[]	[39107650]	[]
755_10381	chr13	48094877	48095277	+	817	30.0	[9.08557]	[170]	[]	[]	[48095120]	[]
755_10391	chr13	90456951	90457351	+	937	30.0	[8.028987]	[180]	[]	[]	[90457190]	[]
755_104	chr11	67428260	67428660	+	1000	319.0	[]	[]	[9.08557]	[83]	[]	[67428435]
755_1040	chr7	123624567	123624967	+	1000	104.0	[10.880985]	[135]	[]	[]	[123624786]	[]
755_1041	chr1	28235920	28236320	+	1000	103.0	[]	[]	[6.94984]	[107]	[]	[28236127]
755_10411	chr13	91359452	91359852	+	1000	30.0	[]	[]	[6.94984]	[132]	[]	[91359628]
755_1042	chr1	52403619	52404019	+	1000	103.0	[8.745255]	[123]	[]	[]	[52403835]	[]
755_1044	chr1	153422463	153422863	+	1000	103.0	[10.880985]	[119]	[10.880985]	[121]	[153422671]	[153422673]
755_10443	chr13	97257817	97258217	+	1000	30.0	[8.028987]	[115]	[]	[]	[97258028]	[]
755_10449	chr14	87992999	87993399	+	980	30.0	[9.08557]	[197]	[]	[]	[87993247]	[]
755_1045	chr12	130765285	130765685	+	1000	103.0	[10.880985]	[78]	[10.880985]	[80]	[130765462]	[130765464]
755_10452	chr15	36578866	36579266	+	720	30.0	[10.880985]	[136]	[9.08557]	[82]	[36579087]	[36579033]
755_10455	chr15	50137229	50137629	+	1000	30.0	[]	[]	[9.08557]	[152]	[]	[50137453]
755_10456	chr15	62060390	62060790	+	1000	30.0	[]	[]	[8.028987]	[170]	[]	[62060636]
755_10458	chr15	72117996	72118396	+	595	30.0	[9.08557]	[135]	[]	[]	[72118214]	[]
755_10464	chr15	90588455	90588855	+	895	30.0	[10.880985]	[91]	[10.880985]	[93]	[90588641]	[90588643]
755_10465	chr15	97960124	97960524	+	960	30.0	[6.94984]	[92]	[]	[]	[97960302]	[]
755_10467	chr16	1093415	1093815	+	970	30.0	[9.08557]	[160]	[]	[]	[1093656]	[]
755_10468	chr16	2669997	2670397	+	638	30.0	[]	[]	[9.08557]	[138]	[]	[2670212]
755_10469	chr16	4253176	4253576	+	632	30.0	[]	[]	[9.08557]	[173]	[]	[4253379]
755_1047	chr17	44779076	44779476	+	1000	103.0	[]	[]	[10.880985, 8.028987]	[105, 144]	[]	[44779279, 44779318]
755_10472	chr16	27198801	27199201	+	972	30.0	[]	[]	[10.880985]	[120]	[]	[27199012]
755_10475	chr16	30993219	30993619	+	1000	30.0	[]	[]	[8.028987]	[151]	[]	[30993460]
755_10477	chr16	48394327	48394727	+	1000	30.0	[10.880985]	[122]	[10.880985]	[124]	[48394524]	[48394526]
755_1048	chr19	16111580	16111980	+	1000	103.0	[9.08557]	[113]	[]	[]	[16111791]	[]
755_10482	chr16	84277213	84277613	+	905	30.0	[]	[]	[8.028987]	[137]	[]	[84277444]
755_1049	chr19	18192740	18193140	+	1000	103.0	[]	[]	[8.745255]	[161]	[]	[18192981]
755_10491	chr16	88686678	88687078	+	891	30.0	[9.08557]	[88]	[]	[]	[88686844]	[]
755_10492	chr16	89115273	89115673	+	851	30.0	[]	[]	[9.08557]	[134]	[]	[89115483]
755_10494	chr16	89664253	89664653	+	1000	30.0	[10.880985]	[126]	[10.880985]	[128]	[89664478]	[89664480]
755_10495	chr16	89817501	89817901	+	939	30.0	[8.745255, 10.880985, 10.880985]	[116, 134, 143]	[]	[]	[89817717, 89817735, 89817744]	[]
755_10498	chr17	7307251	7307651	+	1000	30.0	[]	[]	[9.08557]	[126]	[]	[7307476]
755_10499	chr17	15563299	15563699	+	1000	30.0	[9.08557]	[136]	[10.880985]	[100]	[15563518]	[15563482]
755_105	chr6	41920944	41921344	+	1000	319.0	[]	[]	[8.745255]	[101]	[]	[41921138]
755_1050	chr19	47514849	47515249	+	1000	103.0	[10.880985]	[98]	[]	[]	[47515045]	[]
755_10500	chr17	28646303	28646703	+	919	30.0	[]	[]	[9.08557, 8.028987]	[113, 125]	[]	[28646474, 28646486]
755_10507	chr17	42679793	42680193	+	1000	30.0	[9.08557]	[127]	[]	[]	[42679975]	[]
755_1051	chr19	54200617	54201017	+	1000	103.0	[10.880985]	[79]	[10.880985]	[100]	[54200784]	[54200805]
755_10510	chr17	45490549	45490949	+	985	30.0	[9.08557]	[141]	[]	[]	[45490766]	[]
755_10521	chr17	75032290	75032690	+	715	30.0	[]	[]	[10.880985]	[185]	[]	[75032536]
755_1053	chr22	30356759	30357159	+	1000	103.0	[9.08557]	[111]	[]	[]	[30356960]	[]
755_10537	chr18	12621921	12622321	+	1000	30.0	[]	[]	[10.880985]	[92]	[]	[12622108]
755_1054	chr3	42590594	42590994	+	1000	103.0	[10.880985]	[88]	[]	[]	[42590780]	[]
755_10542	chr19	2711503	2711903	+	837	30.0	[]	[]	[10.880985, 10.880985]	[78, 124]	[]	[2711668, 2711714]
755_1055	chr5	69093789	69094189	+	1000	103.0	[10.880985]	[108]	[]	[]	[69093997]	[]
755_10558	chr19	38674764	38675164	+	994	30.0	[10.880985]	[134]	[]	[]	[38674986]	[]
755_1056	chr6	26026193	26026593	+	1000	103.0	[10.880985]	[104]	[10.880985]	[106]	[26026384]	[26026386]
755_10564	chr19	47296155	47296555	+	1000	30.0	[10.880985]	[133]	[]	[]	[47296364]	[]
755_10565	chr19	48584165	48584565	+	822	30.0	[]	[]	[10.880985]	[91]	[]	[48584347]
755_1057	chr6	26285463	26285863	+	1000	103.0	[10.880985]	[99]	[10.880985]	[101]	[26285658]	[26285660]
755_10571	chr1_KI270713v1_random	28669	29069	+	940	30.0	[]	[]	[10.880985]	[113]	[]	[28830]
755_10572	chr2	471569	471969	+	606	30.0	[10.880985]	[102]	[10.880985]	[104]	[471766]	[471768]
755_10573	chr2	8317489	8317889	+	1000	30.0	[10.880985]	[108]	[10.880985]	[110]	[8317672]	[8317674]
755_10575	chr2	27212087	27212487	+	643	30.0	[9.08557]	[133]	[]	[]	[27212302]	[]
755_10583	chr2	65320336	65320736	+	994	30.0	[8.028987]	[102]	[]	[]	[65320533]	[]
755_10584	chr2	69584431	69584831	+	565	30.0	[]	[]	[10.880985]	[111]	[]	[69584641]
755_10585	chr2	69893703	69894103	+	940	30.0	[10.880985]	[116]	[]	[]	[69893899]	[]
755_10586	chr2	86623651	86624051	+	933	30.0	[10.880985]	[151]	[]	[]	[86623869]	[]
755_1059	chr7	139359707	139360107	+	1000	103.0	[]	[]	[9.08557]	[119]	[]	[139359925]
755_10590	chr2	100893846	100894246	+	622	30.0	[9.08557]	[92]	[]	[]	[100894036]	[]
755_10593	chr2	131209325	131209725	+	860	30.0	[]	[]	[6.94984, 8.745255, 9.08557]	[73, 86, 106]	[]	[131209493, 131209506, 131209526]
755_106	chr7	55366112	55366512	+	1000	319.0	[10.880985]	[92]	[10.880985]	[94]	[55366304]	[55366306]
755_1060	chr9	128881900	128882300	+	1000	103.0	[10.880985]	[106]	[10.880985]	[108]	[128882105]	[128882107]
755_10604	chr2	175366905	175367305	+	697	30.0	[10.880985]	[96]	[10.880985]	[98]	[175367086]	[175367088]
755_1061	chr1	28736673	28737073	+	1000	102.0	[]	[]	[6.94984]	[135]	[]	[28736902]
755_10610	chr20	25195504	25195904	+	982	30.0	[9.08557]	[99]	[]	[]	[25195694]	[]
755_10611	chr20	25390817	25391217	+	939	30.0	[]	[]	[9.08557]	[132]	[]	[25391030]
755_10614	chr20	53875481	53875881	+	567	30.0	[]	[]	[8.028987]	[88]	[]	[53875648]
755_10618	chr21	38118660	38119060	+	1000	30.0	[10.880985]	[115]	[]	[]	[38118868]	[]
755_1062	chr12	27243906	27244306	+	1000	102.0	[8.028987, 10.880985]	[81, 116]	[10.880985]	[118]	[27244081, 27244116]	[27244118]
755_10622	chr21	46125067	46125467	+	870	30.0	[10.880985]	[117]	[10.880985]	[119]	[46125271]	[46125273]
755_1063	chr12	121016336	121016736	+	1000	102.0	[10.880985]	[104]	[10.880985]	[106]	[121016529]	[121016531]
755_1064	chr13	64075836	64076236	+	1000	102.0	[]	[]	[9.08557]	[114]	[]	[64076049]
755_1065	chr14	20343436	20343836	+	1000	102.0	[10.880985]	[87]	[10.880985]	[89]	[20343621]	[20343623]
755_10657	chr22	19784795	19785195	+	1000	30.0	[9.08557]	[190]	[]	[]	[19785020]	[]
755_10660	chr22	19865186	19865586	+	1000	30.0	[]	[]	[6.94984]	[148]	[]	[19865387]
755_1067	chr19	45506375	45506775	+	1000	102.0	[10.880985]	[101]	[10.880985]	[103]	[45506572]	[45506574]
755_10670	chr22	20484394	20484794	+	936	30.0	[]	[]	[8.028987]	[202]	[]	[20484627]
755_1068	chr19	55117500	55117900	+	1000	102.0	[10.880985]	[106]	[10.880985]	[108]	[55117689]	[55117691]
755_10681	chr22	20894618	20895018	+	756	30.0	[10.880985]	[167]	[]	[]	[20894798]	[]
755_10687	chr22	21046522	21046922	+	1000	30.0	[]	[]	[9.08557]	[79]	[]	[21046678]
755_107	chr5	62412563	62412963	+	1000	317.0	[10.880985]	[85]	[]	[]	[62412740]	[]
755_10707	chr22	27718255	27718655	+	815	30.0	[10.880985]	[127]	[10.880985]	[107]	[27718464]	[27718444]
755_10716	chr3	13648248	13648648	+	801	30.0	[9.08557]	[105]	[]	[]	[13648410]	[]
755_10719	chr3	43736567	43736967	+	859	30.0	[10.880985]	[103]	[8.745255]	[105]	[43736747]	[43736749]
755_10722	chr3	46509193	46509593	+	704	30.0	[10.880985]	[129]	[]	[]	[46509414]	[]
755_10725	chr3	48847692	48848092	+	1000	30.0	[9.08557]	[110]	[]	[]	[48847874]	[]
755_10729	chr3	84247762	84248162	+	1000	30.0	[9.08557]	[117]	[]	[]	[84247970]	[]
755_1073	chr3	158570902	158571302	+	1000	102.0	[10.880985]	[112]	[10.880985]	[114]	[158571111]	[158571113]
755_10731	chr3	125916436	125916836	+	979	30.0	[]	[]	[10.880985]	[90]	[]	[125916619]
755_10733	chr3	138915704	138916104	+	1000	30.0	[6.94984]	[112]	[]	[]	[138915857]	[]
755_1074	chr4	103198267	103198667	+	1000	102.0	[10.880985]	[83]	[10.880985]	[85]	[103198450]	[103198452]
755_10740	chr4	1593404	1593804	+	960	30.0	[]	[]	[9.08557]	[86]	[]	[1593581]
755_10743	chr4	3399845	3400245	+	771	30.0	[10.880985]	[96]	[10.880985]	[98]	[3400029]	[3400031]
755_10745	chr4	6673626	6674026	+	991	30.0	[]	[]	[9.08557]	[75]	[]	[6673785]
755_10746	chr4	37826439	37826839	+	759	30.0	[]	[]	[9.08557]	[85]	[]	[37826598]
755_10747	chr4	55546708	55547108	+	1000	30.0	[]	[]	[8.028987]	[95]	[]	[55546902]
755_10748	chr4	109433546	109433946	+	749	30.0	[9.08557]	[142]	[]	[]	[109433764]	[]
755_1075	chr5	177454500	177454900	+	1000	102.0	[10.880985, 10.880985]	[76, 94]	[10.880985, 10.880985]	[78, 96]	[177454674, 177454692]	[177454676, 177454694]
755_10757	chr5	17517536	17517936	+	917	30.0	[6.94984]	[128]	[]	[]	[17517764]	[]
755_1076	chr6	31703188	31703588	+	1000	102.0	[10.880985]	[81]	[10.880985]	[83]	[31703366]	[31703368]
755_10766	chr5	149703076	149703476	+	612	30.0	[]	[]	[8.745255]	[208]	[]	[149703287]
755_10767	chr5	149959359	149959759	+	982	30.0	[10.880985]	[112]	[]	[]	[149959566]	[]
755_1077	chr7	116954154	116954554	+	1000	102.0	[10.880985]	[98]	[]	[]	[116954339]	[]
755_1078	chr1	21783424	21783824	+	1000	101.0	[10.880985]	[90]	[10.880985]	[92]	[21783612]	[21783614]
755_10781	chr6	28988466	28988866	+	964	30.0	[9.08557]	[141]	[9.08557]	[60]	[28988706]	[28988625]
755_10782	chr6	31196971	31197371	+	1000	30.0	[]	[]	[10.880985]	[171]	[]	[31197216]
755_10796	chr6	44151732	44152132	+	1000	30.0	[]	[]	[10.880985]	[104]	[]	[44151887]
755_10797	chr6	46848866	46849266	+	1000	30.0	[]	[]	[9.08557]	[79]	[]	[46849041]
755_108	chr19	10251984	10252384	+	1000	316.0	[10.880985]	[101]	[10.880985]	[103]	[10252182]	[10252184]
755_10802	chr6	108074566	108074966	+	678	30.0	[]	[]	[9.08557]	[122]	[]	[108074772]
755_10805	chr6	137223720	137224120	+	768	30.0	[9.08557]	[126]	[]	[]	[137223934]	[]
755_10822	chr7	56105515	56105915	+	992	30.0	[10.880985, 8.745255]	[88, 141]	[10.880985]	[143]	[56105691, 56105744]	[56105746]
755_1083	chr12	132268650	132269050	+	1000	101.0	[10.880985]	[107]	[]	[]	[132268855]	[]
755_10831	chr7	106542497	106542897	+	801	30.0	[]	[]	[6.94984]	[86]	[]	[106542673]
755_10837	chr7	130135534	130135934	+	1000	30.0	[]	[]	[9.08557]	[148]	[]	[130135775]
755_10843	chr7	143263355	143263755	+	669	30.0	[10.880985, 9.08557]	[95, 133]	[]	[]	[143263549, 143263587]	[]
755_10847	chr7	150305283	150305683	+	997	30.0	[]	[]	[8.028987]	[141]	[]	[150305507]
755_1085	chr19	55407675	55408075	+	1000	101.0	[10.880985]	[104]	[10.880985]	[106]	[55407869]	[55407871]
755_1086	chr21	38121190	38121590	+	1000	101.0	[8.745255, 10.880985]	[116, 150]	[]	[]	[38121406, 38121440]	[]
755_10863	chr8	56211572	56211972	+	1000	30.0	[10.880985]	[116]	[]	[]	[56211785]	[]
755_10866	chr8	81842408	81842808	+	826	30.0	[]	[]	[9.08557]	[77]	[]	[81842580]
755_1087	chr22	19855709	19856109	+	1000	101.0	[9.08557]	[109]	[8.745255]	[133]	[19855911]	[19855935]
755_10870	chr8	141392394	141392794	+	946	30.0	[]	[]	[9.08557]	[224]	[]	[141392566]
755_10871	chr8	143398991	143399391	+	1000	30.0	[]	[]	[9.08557]	[90]	[]	[143399171]
755_10878	chr9	35617016	35617416	+	978	30.0	[10.880985]	[98]	[10.880985]	[100]	[35617201]	[35617203]
755_10882	chr9	68705696	68706096	+	931	30.0	[10.880985]	[119]	[]	[]	[68705898]	[]
755_10884	chr9	87726332	87726732	+	1000	30.0	[]	[]	[9.08557, 9.08557]	[75, 123]	[]	[87726494, 87726542]
755_1089	chr6	44313162	44313562	+	1000	101.0	[8.745255, 8.028987]	[92, 108]	[]	[]	[44313344, 44313360]	[]
755_10890	chr9	123338974	123339374	+	1000	30.0	[10.880985]	[120]	[8.745255]	[122]	[123339186]	[123339188]
755_109	chr2	169584130	169584530	+	1000	316.0	[9.08557, 9.08557]	[63, 107]	[]	[]	[169584292, 169584336]	[]
755_1090	chr7	108525885	108526285	+	1000	101.0	[10.880985]	[100]	[]	[]	[108526085]	[]
755_10901	chr9	132901841	132902241	+	1000	30.0	[10.880985]	[157]	[]	[]	[132902074]	[]
755_1091	chr7	151519747	151520147	+	1000	101.0	[6.94984, 10.880985]	[95, 147]	[]	[]	[151519918, 151519970]	[]
755_10912	chrX	37847449	37847849	+	608	30.0	[]	[]	[9.08557, 9.08557]	[114, 155]	[]	[37847648, 37847689]
755_10914	chrX	48896971	48897371	+	617	30.0	[10.880985]	[127]	[]	[]	[48897154]	[]
755_10915	chrX	55000035	55000435	+	805	30.0	[]	[]	[9.08557]	[190]	[]	[55000285]
755_10916	chrX	103214894	103215294	+	581	30.0	[]	[]	[9.08557]	[154]	[]	[103215126]
755_10917	chrX	119943543	119943943	+	932	30.0	[]	[]	[8.028987]	[146]	[]	[119943777]
755_1092	chr7	152025381	152025781	+	1000	101.0	[10.880985]	[108]	[10.880985, 8.028987]	[110, 131]	[152025588]	[152025590, 152025611]
755_10924	chr1	7624932	7625332	+	989	29.0	[10.880985]	[144]	[10.880985]	[146]	[7625147]	[7625149]
755_1094	chr9	92764810	92765210	+	1000	101.0	[9.08557]	[108]	[]	[]	[92765018]	[]
755_10942	chr1	29838743	29839143	+	975	29.0	[10.880985]	[109]	[10.880985]	[111]	[29838920]	[29838922]
755_10944	chr1	35768629	35769029	+	683	29.0	[8.028987]	[93]	[10.880985]	[123]	[35768820]	[35768850]
755_10948	chr1	39204388	39204788	+	577	29.0	[10.880985]	[142]	[]	[]	[39204616]	[]
755_1096	chr10	35126995	35127395	+	1000	100.0	[8.028987]	[95]	[8.745255]	[109]	[35127159]	[35127173]
755_10963	chr1	68047290	68047690	+	701	29.0	[10.880985]	[111]	[8.745255]	[113]	[68047472]	[68047474]
755_1098	chr13	46052584	46052984	+	1000	100.0	[]	[]	[8.028987]	[112]	[]	[46052793]
755_10985	chr1	202009508	202009908	+	752	29.0	[10.880985]	[88]	[]	[]	[202009685]	[]
755_10986	chr1	203026171	203026571	+	909	29.0	[]	[]	[8.028987]	[110]	[]	[203026368]
755_10989	chr1	205255949	205256349	+	865	29.0	[9.08557]	[142]	[]	[]	[205256151]	[]
755_1099	chr19	40444566	40444966	+	1000	100.0	[10.880985]	[124]	[]	[]	[40444765]	[]
755_10991	chr1	206684694	206685094	+	875	29.0	[9.08557]	[113]	[]	[]	[206684906]	[]
755_10992	chr1	206685182	206685582	+	953	29.0	[]	[]	[10.880985]	[117]	[]	[206685369]
755_11	chr4	119454511	119454911	+	1000	621.0	[10.880985, 9.08557]	[70, 95]	[10.880985, 9.08557]	[72, 122]	[119454680, 119454705]	[119454682, 119454732]
755_110	chr4	152536034	152536434	+	1000	316.0	[9.08557]	[112]	[]	[]	[152536245]	[]
755_11003	chr1	244047601	244048001	+	958	29.0	[10.880985]	[116]	[8.745255]	[118]	[244047775]	[244047777]
