#PeakID(python scan_motif.py ./ENCODE_processed_files/GATA1_idr.fa GATA1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
156_10129	chr6	135306784	135307184	+	1000	42.0	[7.842722, 12.392342, 8.230114]	[110, 122, 129]	[]	[]	[135306974, 135306986, 135306993]	[]
156_1013	chr10	98460973	98461373	+	1000	172.0	[]	[]	[7.392081, 11.148683]	[86, 127]	[]	[98461157, 98461198]
156_10130	chr6	138981410	138981810	+	1000	42.0	[]	[]	[12.392342]	[158]	[]	[138981661]
156_10131	chr6	147202534	147202934	+	1000	42.0	[]	[]	[8.357435]	[136]	[]	[147202746]
156_10133	chr6	149956192	149956592	+	760	42.0	[]	[]	[11.148683]	[133]	[]	[149956418]
156_10134	chr6	157842157	157842557	+	1000	42.0	[8.635739, 8.230114]	[71, 131]	[]	[]	[157842320, 157842380]	[]
156_10135	chr6	158409428	158409828	+	1000	42.0	[]	[]	[11.148683]	[122]	[]	[158409642]
156_10136	chr6	161225865	161226265	+	1000	42.0	[]	[]	[8.230114]	[113]	[]	[161226073]
156_10138	chr7	8765447	8765847	+	1000	42.0	[12.392342]	[155]	[11.148683]	[147]	[8765680]	[8765672]
156_10139	chr7	38907753	38908153	+	1000	42.0	[]	[]	[11.148683]	[118]	[]	[38907968]
156_1014	chr11	117224259	117224659	+	1000	172.0	[8.230114]	[89]	[]	[]	[117224444]	[]
156_10140	chr7	64787283	64787683	+	1000	42.0	[]	[]	[8.230114]	[130]	[]	[64787500]
156_10142	chr7	102155868	102156268	+	1000	42.0	[]	[]	[8.230114]	[130]	[]	[102156094]
156_10148	chr7	129951376	129951776	+	1000	42.0	[8.230114]	[155]	[]	[]	[129951593]	[]
156_10149	chr7	130136488	130136888	+	1000	42.0	[]	[]	[11.148683]	[102]	[]	[130136687]
156_1015	chr14	54754691	54755091	+	1000	172.0	[8.230114]	[63]	[8.203644]	[107]	[54754845]	[54754889]
156_10153	chr8	21930357	21930757	+	1000	42.0	[]	[]	[8.230114]	[99]	[]	[21930543]
156_10154	chr8	46618802	46619202	+	1000	42.0	[11.148683]	[119]	[]	[]	[46619013]	[]
156_10156	chr8	89958078	89958478	+	1000	42.0	[]	[]	[11.148683]	[120]	[]	[89958290]
156_10157	chr8	97890887	97891287	+	1000	42.0	[11.148683, 7.3065944]	[75, 109]	[]	[]	[97891045, 97891079]	[]
156_10158	chr8	100982236	100982636	+	1000	42.0	[]	[]	[11.148683]	[144]	[]	[100982452]
156_1016	chr2	23814974	23815374	+	1000	172.0	[]	[]	[7.392081, 7.392081]	[65, 154]	[]	[23815129, 23815218]
156_10160	chr8	123157090	123157490	+	1000	42.0	[]	[]	[8.635739]	[93]	[]	[123157262]
156_10163	chr9	92523615	92524015	+	1000	42.0	[]	[]	[11.148683]	[114]	[]	[92523807]
156_10164	chr9	105879222	105879622	+	1000	42.0	[11.148683]	[124]	[]	[]	[105879439]	[]
156_10169	chr9	130795196	130795596	+	1000	42.0	[]	[]	[7.74083, 12.392342]	[109, 192]	[]	[130795358, 130795441]
156_1017	chr2	113012823	113013223	+	1000	172.0	[]	[]	[11.148683]	[72]	[]	[113012993]
156_10171	chr9	132994577	132994977	+	1000	42.0	[]	[]	[8.203644]	[83]	[]	[132994751]
156_10174	chrX	15977681	15978081	+	1000	42.0	[7.3913875]	[144]	[]	[]	[15977915]	[]
156_10175	chrX	18677456	18677856	+	577	42.0	[12.392342]	[78]	[]	[]	[18677616]	[]
156_10176	chrX	23900102	23900502	+	1000	42.0	[7.392081]	[124]	[]	[]	[23900285]	[]
156_10177	chrX	37679843	37680243	+	1000	42.0	[11.148683]	[114]	[]	[]	[37680048]	[]
156_10178	chrX	53374400	53374800	+	1000	42.0	[11.148683]	[107]	[]	[]	[53374604]	[]
156_1018	chr21	14762738	14763138	+	1000	172.0	[8.203644]	[127]	[]	[]	[14762963]	[]
156_10181	chrX	123910983	123911383	+	1000	42.0	[]	[]	[11.148683]	[105]	[]	[123911180]
156_10186	chr1	19113264	19113664	+	1000	41.0	[11.148683]	[90]	[]	[]	[19113448]	[]
156_10188	chr1	28266928	28267328	+	1000	41.0	[11.148683]	[138]	[]	[]	[28267130]	[]
156_1019	chr4	172999039	172999439	+	1000	172.0	[11.148683]	[120]	[]	[]	[172999246]	[]
156_10191	chr1	30174453	30174853	+	1000	41.0	[]	[]	[8.635739]	[149]	[]	[30174700]
156_10192	chr1	32939731	32940131	+	1000	41.0	[]	[]	[8.230114]	[138]	[]	[32939951]
156_10193	chr1	38831741	38832141	+	1000	41.0	[8.635739]	[142]	[]	[]	[38831959]	[]
156_10194	chr1	39385494	39385894	+	1000	41.0	[8.230114]	[85]	[]	[]	[39385667]	[]
156_10196	chr1	42922685	42923085	+	771	41.0	[]	[]	[11.148683]	[76]	[]	[42922857]
156_102	chr7	134834864	134835264	+	1000	371.0	[12.392342]	[86]	[]	[]	[134835048]	[]
156_1020	chr5	150481941	150482341	+	1000	172.0	[8.230114, 8.230114]	[65, 131]	[]	[]	[150482103, 150482169]	[]
156_10203	chr1	92516564	92516964	+	1000	41.0	[7.3913875]	[111]	[]	[]	[92516770]	[]
156_10204	chr1	95204043	95204443	+	862	41.0	[]	[]	[11.148683]	[154]	[]	[95204282]
156_10205	chr1	99768402	99768802	+	1000	41.0	[7.3913875]	[94]	[]	[]	[99768585]	[]
156_10207	chr1	111513389	111513789	+	1000	41.0	[]	[]	[11.148683]	[144]	[]	[111513609]
156_10208	chr1	111618110	111618510	+	954	41.0	[11.148683, 7.696181]	[115, 124]	[8.230114]	[141]	[111618317, 111618326]	[111618343]
156_1021	chr9	69188924	69189324	+	1000	172.0	[]	[]	[7.392081]	[112]	[]	[69189129]
156_10210	chr1	151548767	151549167	+	1000	41.0	[11.148683]	[87]	[]	[]	[151548953]	[]
156_10211	chr1	153072752	153073152	+	962	41.0	[11.148683]	[80]	[11.148683]	[152]	[153072915]	[153072987]
156_10212	chr1	154352625	154353025	+	1000	41.0	[11.148683]	[84]	[]	[]	[154352796]	[]
156_10213	chr1	155077320	155077720	+	818	41.0	[]	[]	[11.148683]	[111]	[]	[155077526]
156_10214	chr1	171485186	171485586	+	1000	41.0	[]	[]	[7.392081]	[76]	[]	[171485351]
156_10215	chr1	174153535	174153935	+	1000	41.0	[7.286461]	[69]	[7.3065944, 8.190248]	[121, 135]	[174153690]	[174153742, 174153756]
156_10216	chr1	176855092	176855492	+	807	41.0	[8.203644, 11.148683]	[81, 122]	[]	[]	[176855256, 176855297]	[]
156_10218	chr1	180563588	180563988	+	1000	41.0	[8.230114]	[140]	[]	[]	[180563820]	[]
156_10219	chr1	180970548	180970948	+	1000	41.0	[]	[]	[11.148683]	[206]	[]	[180970799]
156_10222	chr1	203316684	203317084	+	1000	41.0	[]	[]	[11.148683]	[100]	[]	[203316874]
156_10224	chr1	206941718	206942118	+	1000	41.0	[]	[]	[11.148683]	[101]	[]	[206941914]
156_10227	chr1	230152981	230153381	+	1000	41.0	[8.190248, 11.148683]	[61, 93]	[]	[]	[230153141, 230153173]	[]
156_10229	chr10	21961816	21962216	+	1000	41.0	[11.148683, 11.148683]	[87, 168]	[]	[]	[21961983, 21962064]	[]
156_1023	chr1	154629207	154629607	+	1000	171.0	[11.148683]	[72]	[]	[]	[154629371]	[]
156_10231	chr10	30190820	30191220	+	1000	41.0	[]	[]	[8.230114]	[78]	[]	[30190983]
156_10233	chr10	34716927	34717327	+	1000	41.0	[11.148683]	[152]	[]	[]	[34717150]	[]
156_10235	chr10	63323926	63324326	+	1000	41.0	[12.392342]	[122]	[]	[]	[63324140]	[]
156_10236	chr10	72275779	72276179	+	1000	41.0	[]	[]	[11.148683]	[131]	[]	[72275940]
156_10238	chr10	77899721	77900121	+	1000	41.0	[8.635739, 8.230114]	[147, 152]	[]	[]	[77899928, 77899933]	[]
156_1024	chr11	65575040	65575440	+	1000	171.0	[12.392342]	[109]	[]	[]	[65575249]	[]
156_10242	chr10	126205516	126205916	+	996	41.0	[11.148683]	[97]	[]	[]	[126205705]	[]
156_10243	chr11	3903544	3903944	+	1000	41.0	[11.148683]	[113]	[]	[]	[3903754]	[]
156_10244	chr11	3910901	3911301	+	1000	41.0	[]	[]	[11.148683]	[127]	[]	[3911116]
156_10246	chr11	10838866	10839266	+	1000	41.0	[11.148683]	[88]	[]	[]	[10839050]	[]
156_10247	chr11	17276689	17277089	+	1000	41.0	[]	[]	[12.392342, 11.148683]	[95, 118]	[]	[17276873, 17276896]
156_10248	chr11	19176698	19177098	+	1000	41.0	[9.473773]	[68]	[11.148683, 11.148683]	[116, 129]	[19176853]	[19176901, 19176914]
156_1025	chr14	72826035	72826435	+	1000	171.0	[11.148683]	[92]	[]	[]	[72826217]	[]
156_10250	chr11	43920574	43920974	+	1000	41.0	[]	[]	[8.635739]	[134]	[]	[43920767]
156_10251	chr11	46421195	46421595	+	1000	41.0	[]	[]	[7.3913875, 8.230114]	[145, 167]	[]	[46421408, 46421430]
156_10252	chr11	47518406	47518806	+	1000	41.0	[11.148683]	[129]	[]	[]	[47518617]	[]
156_10254	chr11	68009462	68009862	+	1000	41.0	[]	[]	[7.842722]	[161]	[]	[68009684]
156_10255	chr11	72088022	72088422	+	1000	41.0	[]	[]	[8.230114]	[139]	[]	[72088234]
156_10256	chr11	117839249	117839649	+	1000	41.0	[7.392081]	[102]	[12.392342]	[122]	[117839444]	[117839464]
156_10257	chr12	6337472	6337872	+	1000	41.0	[8.230114]	[155]	[]	[]	[6337697]	[]
156_10258	chr12	12910540	12910940	+	1000	41.0	[8.230114]	[125]	[]	[]	[12910751]	[]
156_10259	chr12	18752484	18752884	+	1000	41.0	[]	[]	[11.148683]	[102]	[]	[18752676]
156_1026	chr17	58185352	58185752	+	1000	171.0	[9.473773]	[117]	[]	[]	[58185562]	[]
156_10260	chr12	23731467	23731867	+	1000	41.0	[7.392081, 8.230114]	[71, 130]	[]	[]	[23731619, 23731678]	[]
156_10262	chr12	32040167	32040567	+	1000	41.0	[11.148683]	[86]	[]	[]	[32040352]	[]
156_10264	chr12	50936806	50937206	+	935	41.0	[8.230114]	[93]	[]	[]	[50936984]	[]
156_10265	chr12	51321022	51321422	+	1000	41.0	[8.230114]	[80]	[]	[]	[51321182]	[]
156_10266	chr12	51905578	51905978	+	1000	41.0	[8.635739]	[82]	[]	[]	[51905744]	[]
156_10268	chr12	62604848	62605248	+	1000	41.0	[8.203644, 7.3913875, 11.148683]	[91, 96, 147]	[]	[]	[62605009, 62605014, 62605065]	[]
156_1027	chr22	42462105	42462505	+	1000	171.0	[7.286461]	[86]	[]	[]	[42462291]	[]
156_10275	chr12	112115291	112115691	+	1000	41.0	[7.392081, 7.3913875]	[124, 129]	[]	[]	[112115479, 112115484]	[]
156_10276	chr12	122085585	122085985	+	1000	41.0	[]	[]	[11.148683, 8.203644]	[106, 167]	[]	[122085759, 122085820]
156_10278	chr13	28411750	28412150	+	672	41.0	[11.148683]	[109]	[9.473773]	[148]	[28411947]	[28411986]
156_10279	chr13	29456483	29456883	+	1000	41.0	[8.230114]	[88]	[]	[]	[29456663]	[]
156_1028	chr4	138437242	138437642	+	1000	171.0	[]	[]	[8.230114, 8.635739]	[77, 117]	[]	[138437415, 138437455]
156_10280	chr13	49062260	49062660	+	1000	41.0	[11.148683]	[101]	[]	[]	[49062457]	[]
156_10281	chr13	75985183	75985583	+	1000	41.0	[]	[]	[11.148683]	[119]	[]	[75985388]
156_10286	chr14	70716947	70717347	+	1000	41.0	[8.230114]	[72]	[11.148683, 11.148683]	[113, 127]	[70717116]	[70717157, 70717171]
156_10287	chr14	96809028	96809428	+	1000	41.0	[11.148683, 8.635739]	[86, 104]	[]	[]	[96809202, 96809220]	[]
156_10289	chr15	28912362	28912762	+	1000	41.0	[11.148683]	[67]	[]	[]	[28912516]	[]
156_1029	chr5	150595445	150595845	+	1000	171.0	[]	[]	[8.230114]	[85]	[]	[150595607]
156_10291	chr15	44796423	44796823	+	648	41.0	[7.392081]	[95]	[]	[]	[44796616]	[]
156_10292	chr15	60417054	60417454	+	864	41.0	[8.230114]	[79]	[8.203644]	[148]	[60417232]	[60417301]
156_10294	chr15	65743659	65744059	+	1000	41.0	[]	[]	[11.148683]	[104]	[]	[65743860]
156_10296	chr15	81266410	81266810	+	727	41.0	[7.3913875]	[152]	[]	[]	[81266637]	[]
156_10297	chr15	82566713	82567113	+	1000	41.0	[7.3913875]	[102]	[]	[]	[82566899]	[]
156_103	chr7	107007343	107007743	+	1000	370.0	[7.842722]	[147]	[]	[]	[107007589]	[]
156_1030	chr8	37785941	37786341	+	1000	171.0	[]	[]	[11.148683]	[113]	[]	[37786151]
156_10300	chr15	90836347	90836747	+	1000	41.0	[]	[]	[11.148683]	[105]	[]	[90836546]
156_10301	chr15	95930659	95931059	+	1000	41.0	[11.148683]	[100]	[8.230114]	[114]	[95930852]	[95930866]
156_10302	chr16	17949732	17950132	+	700	41.0	[8.230114]	[114]	[8.230114, 11.148683]	[97, 161]	[17949931]	[17949914, 17949978]
156_10305	chr16	57266056	57266456	+	1000	41.0	[]	[]	[7.3913875]	[92]	[]	[57266244]
156_10306	chr16	57700819	57701219	+	1000	41.0	[7.842722]	[155]	[8.230114]	[100]	[57701063]	[57701008]
156_10308	chr16	67890487	67890887	+	1000	41.0	[]	[]	[11.148683]	[145]	[]	[67890727]
156_1031	chr1	18530974	18531374	+	1000	170.0	[11.148683]	[92]	[]	[]	[18531155]	[]
156_10313	chr17	16298331	16298731	+	1000	41.0	[]	[]	[11.148683]	[141]	[]	[16298549]
156_10315	chr17	27570177	27570577	+	1000	41.0	[11.148683]	[89]	[]	[]	[27570344]	[]
156_10318	chr17	42035300	42035700	+	1000	41.0	[]	[]	[11.148683]	[101]	[]	[42035484]
156_1032	chr12	1439697	1440097	+	1000	170.0	[]	[]	[7.696181, 11.148683]	[95, 120]	[]	[1439887, 1439912]
156_10320	chr17	55354012	55354412	+	1000	41.0	[]	[]	[8.190248]	[94]	[]	[55354197]
156_10321	chr17	60656464	60656864	+	940	41.0	[8.190248]	[133]	[]	[]	[60656695]	[]
156_10322	chr17	73191369	73191769	+	1000	41.0	[8.230114]	[138]	[8.357435]	[177]	[73191574]	[73191613]
156_10324	chr18	650282	650682	+	1000	41.0	[7.842722]	[125]	[]	[]	[650489]	[]
156_10325	chr18	2976248	2976648	+	1000	41.0	[8.230114, 8.230114]	[68, 139]	[]	[]	[2976410, 2976481]	[]
156_10326	chr18	3512057	3512457	+	1000	41.0	[]	[]	[7.392081]	[81]	[]	[3512234]
156_10328	chr18	9191587	9191987	+	1000	41.0	[7.286461]	[79]	[]	[]	[9191751]	[]
156_10329	chr18	46199488	46199888	+	1000	41.0	[11.148683]	[114]	[8.190248, 7.286461]	[59, 72]	[46199696]	[46199641, 46199654]
156_1033	chr12	106942846	106943246	+	1000	170.0	[8.230114]	[84]	[]	[]	[106943018]	[]
156_10331	chr18	58058676	58059076	+	1000	41.0	[]	[]	[12.392342]	[113]	[]	[58058877]
156_10332	chr19	17399006	17399406	+	1000	41.0	[12.392342, 8.230114]	[151, 156]	[]	[]	[17399237, 17399242]	[]
156_10333	chr19	21126984	21127384	+	1000	41.0	[]	[]	[11.148683]	[155]	[]	[21127233]
156_10334	chr19	40623804	40624204	+	1000	41.0	[8.230114]	[114]	[]	[]	[40624002]	[]
156_10335	chr19	41427824	41428224	+	1000	41.0	[]	[]	[11.148683]	[160]	[]	[41428060]
156_10336	chr19	51566718	51567118	+	1000	41.0	[]	[]	[7.3065944]	[71]	[]	[51566886]
156_10337	chr2	11753991	11754391	+	1000	41.0	[]	[]	[11.148683]	[143]	[]	[11754215]
156_10338	chr2	16413263	16413663	+	1000	41.0	[]	[]	[11.148683]	[119]	[]	[16413467]
156_10339	chr2	17124523	17124923	+	1000	41.0	[11.148683]	[86]	[7.392081, 8.230114]	[145, 170]	[17124689]	[17124748, 17124773]
156_1034	chr16	25216757	25217157	+	1000	170.0	[]	[]	[11.148683]	[110]	[]	[25216966]
156_10340	chr2	29900992	29901392	+	1000	41.0	[]	[]	[12.392342]	[144]	[]	[29901222]
156_10341	chr2	32168558	32168958	+	1000	41.0	[]	[]	[7.3065944, 11.148683]	[113, 160]	[]	[32168747, 32168794]
156_10342	chr2	43438797	43439197	+	1000	41.0	[]	[]	[8.230114]	[109]	[]	[43439004]
156_10343	chr2	68889512	68889912	+	1000	41.0	[11.148683]	[108]	[]	[]	[68889712]	[]
156_10347	chr2	102630441	102630841	+	944	41.0	[11.148683, 12.392342]	[105, 149]	[]	[]	[102630641, 102630685]	[]
156_10348	chr2	134132410	134132810	+	1000	41.0	[]	[]	[8.230114]	[140]	[]	[134132631]
156_1035	chr17	12438814	12439214	+	1000	170.0	[]	[]	[8.230114, 8.230114]	[68, 86]	[]	[12438972, 12438990]
156_10350	chr2	177164525	177164925	+	1000	41.0	[]	[]	[7.286461]	[94]	[]	[177164713]
156_10352	chr2	195330357	195330757	+	1000	41.0	[]	[]	[7.392081, 7.392081]	[118, 150]	[]	[195330575, 195330607]
156_10354	chr2	200405600	200406000	+	1000	41.0	[8.230114]	[130]	[]	[]	[200405809]	[]
156_10355	chr2	208049005	208049405	+	1000	41.0	[8.190248, 11.148683]	[72, 111]	[]	[]	[208049172, 208049211]	[]
156_10356	chr2	222859656	222860056	+	1000	41.0	[]	[]	[11.148683, 8.230114, 8.203644]	[66, 110, 125]	[]	[222859821, 222859865, 222859880]
156_10357	chr2	231347110	231347510	+	942	41.0	[8.230114]	[86]	[]	[]	[231347282]	[]
156_10358	chr20	9210995	9211395	+	1000	41.0	[11.148683]	[101]	[]	[]	[9211190]	[]
156_10359	chr20	22928647	22929047	+	1000	41.0	[7.392081]	[135]	[11.148683]	[106]	[22928873]	[22928844]
156_1036	chr2	67993352	67993752	+	1000	170.0	[8.230114]	[102]	[]	[]	[67993553]	[]
156_10360	chr20	25310242	25310642	+	1000	41.0	[7.392081]	[113]	[]	[]	[25310440]	[]
