#PeakID(python scan_motif.py ./ENCODE_processed_files/RREB1_idr.fa RREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
874_1021	chr22	20456350	20456750	+	1000	69.5	[1.8477571, 2.3530145, 1.729489]	[140, 142, 161]	[]	[]	[20456523, 20456525, 20456544]	[]
874_10210	chr12	93938390	93938790	+	1000	37.5	[1.9639636, 1.7446017, 4.8647795, 7.6208844, 2.01514]	[101, 102, 103, 107, 112]	[]	[]	[93938563, 93938564, 93938565, 93938569, 93938574]	[]
874_10218	chr13	52450493	52450893	+	971	37.5	[]	[]	[1.8305123, 1.6250395]	[143, 147]	[]	[52450689, 52450693]
874_10219	chr13	90734383	90734783	+	963	37.5	[]	[]	[3.3591135]	[87]	[]	[90734552]
874_1022	chr22	23248582	23248982	+	1000	69.5	[]	[]	[5.2838817, 3.5145001]	[125, 129]	[]	[23248778, 23248782]
874_10223	chr14	20461568	20461968	+	1000	37.5	[5.0845156]	[188]	[]	[]	[20461815]	[]
874_10230	chr15	52569019	52569419	+	1000	37.5	[2.143297]	[127]	[]	[]	[52569185]	[]
874_10234	chr15	74434117	74434517	+	1000	37.5	[10.73228, 4.401225, 4.495598]	[112, 113, 115]	[]	[]	[74434284, 74434285, 74434287]	[]
874_10240	chr16	1929803	1930203	+	1000	37.5	[5.1634774, 6.5462646, 9.56324, 5.806482, 2.5351157]	[136, 139, 140, 141, 142]	[]	[]	[1930030, 1930033, 1930034, 1930035, 1930036]	[]
874_10244	chr16	11128488	11128888	+	1000	37.5	[5.92883]	[233]	[]	[]	[11128730]	[]
874_10252	chr16	70436995	70437395	+	666	37.5	[4.4755554, 3.0500638]	[63, 66]	[]	[]	[70437156, 70437159]	[]
874_10261	chr17	29179188	29179588	+	1000	37.5	[4.0856524, 6.028111, 2.7054892, 4.7074995, 4.135465, 12.938287, 3.0630395]	[88, 90, 91, 98, 99, 102, 103]	[]	[]	[29179346, 29179348, 29179349, 29179356, 29179357, 29179360, 29179361]	[]
874_10267	chr17	44123859	44124259	+	1000	37.5	[3.2314265, 2.625468]	[157, 159]	[4.2755046]	[176]	[44124019, 44124021]	[44124038]
874_10270	chr17	47229708	47230108	+	1000	37.5	[]	[]	[1.6767458, 3.0962837]	[130, 133]	[]	[47229885, 47229888]
874_10271	chr17	47895424	47895824	+	1000	37.5	[3.134943, 1.9763261, 8.419172, 2.0977414]	[105, 111, 114, 116]	[]	[]	[47895581, 47895587, 47895590, 47895592]	[]
874_10278	chr17	81349820	81350220	+	1000	37.5	[]	[]	[1.9763261]	[136]	[]	[81350021]
874_10279	chr17	82297889	82298289	+	740	37.5	[]	[]	[4.241039, 6.9010177, 3.7159367, 2.4366748, 1.9708328, 2.4366748, 2.3331492, 4.3043294]	[111, 113, 115, 130, 153, 155, 159, 170]	[]	[82298046, 82298048, 82298050, 82298065, 82298088, 82298090, 82298094, 82298105]
874_10283	chr19	1445104	1445504	+	1000	37.5	[1.6793702]	[115]	[]	[]	[1445305]	[]
874_10286	chr19	2740032	2740432	+	1000	37.5	[3.0507283]	[93]	[]	[]	[2740206]	[]
874_10288	chr19	3557641	3558041	+	1000	37.5	[5.7952495, 7.253493, 2.3655448, 2.7545712]	[129, 153, 158, 160]	[]	[]	[3557861, 3557885, 3557890, 3557892]	[]
874_10290	chr19	7069442	7069842	+	1000	37.5	[]	[]	[1.9954641]	[116]	[]	[7069655]
874_10294	chr19	16542552	16542952	+	1000	37.5	[]	[]	[4.003051]	[118]	[]	[16542741]
874_10300	chr19	45001084	45001484	+	916	37.5	[2.6105254]	[124]	[]	[]	[45001258]	[]
874_10303	chr19	47242821	47243221	+	1000	37.5	[]	[]	[3.4186544, 4.033833, 3.326605, 7.3422284, 7.3422284, 4.007244, 4.007244]	[176, 208, 214, 215, 217, 219, 221]	[]	[47243001, 47243033, 47243039, 47243040, 47243042, 47243044, 47243046]
874_10308	chr19	49146117	49146517	+	1000	37.5	[]	[]	[6.598126]	[152]	[]	[49146352]
874_10309	chr19	49409636	49410036	+	1000	37.5	[]	[]	[8.685466, 1.6574349]	[93, 98]	[]	[49409789, 49409794]
874_10316	chr2	7008170	7008570	+	1000	37.5	[3.8208783]	[143]	[]	[]	[7008374]	[]
874_10321	chr2	27628967	27629367	+	1000	37.5	[]	[]	[8.17957, 4.155485]	[74, 77]	[]	[27629121, 27629124]
874_10322	chr2	41853777	41854177	+	1000	37.5	[]	[]	[1.7249256]	[166]	[]	[41853960]
874_10326	chr2	67993287	67993687	+	985	37.5	[4.137462]	[137]	[]	[]	[67993504]	[]
874_1033	chr1	28648488	28648888	+	1000	69.0	[]	[]	[2.184711]	[129]	[]	[28648706]
874_10330	chr2	88016918	88017318	+	919	37.5	[]	[]	[11.809524, 1.7125633]	[113, 117]	[]	[88017097, 88017101]
874_10338	chr2	157934761	157935161	+	876	37.5	[1.8803124, 5.954189, 1.8128216, 2.841738, 7.388963]	[126, 129, 134, 136, 137]	[]	[]	[157934926, 157934929, 157934934, 157934936, 157934937]	[]
874_10344	chr2	231666372	231666772	+	1000	37.5	[2.526311]	[200]	[]	[]	[231666586]	[]
874_10346	chr20	25237775	25238175	+	1000	37.5	[]	[]	[3.1893454]	[127]	[]	[25237981]
874_1035	chr1	124514006	124514406	+	1000	69.0	[]	[]	[2.772698, 4.8420653, 3.1017702, 4.0521326]	[119, 121, 123, 124]	[]	[124514224, 124514226, 124514228, 124514229]
874_10352	chr20	50071343	50071743	+	1000	37.5	[]	[]	[6.7008734]	[166]	[]	[50071533]
874_10353	chr21	14673547	14673947	+	1000	37.5	[]	[]	[4.4360566]	[109]	[]	[14673706]
874_10355	chr21	34022915	34023315	+	1000	37.5	[]	[]	[14.26663, 9.277438, 6.8377275, 6.498752, 1.7125633]	[78, 79, 82, 113, 116]	[]	[34023087, 34023088, 34023091, 34023122, 34023125]
874_10356	chr21	43860638	43861038	+	1000	37.5	[]	[]	[3.4819448, 4.741901, 2.702865]	[223, 225, 226]	[]	[43860880, 43860882, 43860883]
874_10364	chr22	19571225	19571625	+	955	37.5	[]	[]	[2.1089787]	[91]	[]	[19571411]
874_10366	chr22	19736398	19736798	+	1000	37.5	[3.8439806]	[193]	[]	[]	[19736619]	[]
874_10370	chr22	19893273	19893673	+	843	37.5	[3.1472118]	[160]	[]	[]	[19893440]	[]
874_10380	chr22	21676757	21677157	+	1000	37.5	[8.337582]	[186]	[]	[]	[21676987]	[]
874_10381	chr22	21689001	21689401	+	1000	37.5	[]	[]	[8.116384, 1.9606545, 3.1237056, 2.3565006]	[78, 80, 82, 88]	[]	[21689163, 21689165, 21689167, 21689173]
874_10382	chr22	21731462	21731862	+	1000	37.5	[]	[]	[2.921542]	[98]	[]	[21731660]
874_10386	chr22	21899266	21899666	+	1000	37.5	[]	[]	[2.466446]	[109]	[]	[21899463]
874_10391	chr22	22584829	22585229	+	1000	37.5	[]	[]	[7.3422284, 7.3422284, 7.3422284, 7.3422284]	[186, 188, 190, 192]	[]	[22585063, 22585065, 22585067, 22585069]
874_10394	chr3	3191980	3192380	+	970	37.5	[3.227386, 2.3524601]	[71, 81]	[]	[]	[3192147, 3192157]	[]
874_10395	chr3	14848104	14848504	+	1000	37.5	[12.378052, 3.5136182]	[95, 99]	[]	[]	[14848292, 14848296]	[]
874_10396	chr3	33914736	33915136	+	1000	37.5	[13.995188, 4.5914435, 8.835819, 6.5339026]	[147, 149, 150, 151]	[]	[]	[33914928, 33914930, 33914931, 33914932]	[]
874_10397	chr3	38151065	38151465	+	1000	37.5	[]	[]	[5.199667, 1.6229693]	[84, 86]	[]	[38151219, 38151221]
874_10403	chr3	149129557	149129957	+	1000	37.5	[]	[]	[3.0287929, 2.5137436, 1.6704822]	[224, 226, 229]	[]	[149129794, 149129796, 149129799]
874_10407	chr3	172160091	172160491	+	1000	37.5	[]	[]	[2.7670372]	[162]	[]	[172160280]
874_10409	chr3	184711039	184711439	+	1000	37.5	[7.138341, 2.1852653]	[96, 97]	[]	[]	[184711230, 184711231]	[]
874_1041	chr16	81481340	81481740	+	1000	69.0	[]	[]	[2.471601, 5.24681]	[110, 168]	[]	[81481526, 81481584]
874_10410	chr3	195353063	195353463	+	1000	37.5	[3.6331804, 5.2216024]	[110, 111]	[]	[]	[195353258, 195353259]	[]
874_10413	chr4	2416749	2417149	+	973	37.5	[3.2430575, 5.71984]	[164, 167]	[]	[]	[2416973, 2416976]	[]
874_10415	chr4	15002882	15003282	+	1000	37.5	[3.6834283, 4.1498246]	[130, 169]	[]	[]	[15003067, 15003106]	[]
874_10417	chr4	15681652	15682052	+	1000	37.5	[]	[]	[2.4700813]	[117]	[]	[15681807]
874_10418	chr4	40055867	40056267	+	1000	37.5	[2.0112615]	[132]	[]	[]	[40056040]	[]
874_10426	chr4	139178078	139178478	+	1000	37.5	[]	[]	[3.0409071, 2.683554, 1.6449046]	[156, 158, 167]	[]	[139178293, 139178295, 139178304]
874_10438	chr5	150764065	150764465	+	1000	37.5	[7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 3.326605, 7.914263]	[53, 55, 57, 59, 61, 63, 65, 66, 67]	[]	[]	[150764216, 150764218, 150764220, 150764222, 150764224, 150764226, 150764228, 150764229, 150764230]	[]
874_10443	chr5	177113884	177114284	+	1000	37.5	[2.1705267, 3.228802]	[139, 150]	[]	[]	[177114106, 177114117]	[]
874_10446	chr6	13384947	13385347	+	1000	37.5	[]	[]	[3.228802]	[185]	[]	[13385191]
874_10454	chr6	32081253	32081653	+	1000	37.5	[1.8873494]	[210]	[]	[]	[32081483]	[]
874_10456	chr6	35469501	35469901	+	1000	37.5	[]	[]	[5.305817, 12.190824, 5.4568553, 3.6096318]	[169, 179, 180, 184]	[]	[35469672, 35469682, 35469683, 35469687]
874_10460	chr6	41545774	41546174	+	1000	37.5	[3.8034604]	[83]	[2.9285345]	[170]	[41545925]	[41546012]
874_10461	chr6	43702489	43702889	+	923	37.5	[]	[]	[1.834757, 10.362564, 6.511967, 2.1950033, 2.7870793, 1.7610642, 3.326605, 8.725016, 7.8746085, 6.5515175, 5.959441, 5.2320204, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 5.959441, 5.959441]	[103, 105, 109, 111, 114, 126, 127, 128, 131, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150, 152]	[]	[43702689, 43702691, 43702695, 43702697, 43702700, 43702712, 43702713, 43702714, 43702717, 43702718, 43702720, 43702722, 43702724, 43702726, 43702728, 43702730, 43702732, 43702734, 43702736, 43702738]
874_10462	chr6	43924122	43924522	+	1000	37.5	[4.4360566, 2.0701647, 7.473052]	[165, 169, 170]	[]	[]	[43924308, 43924312, 43924313]	[]
874_10463	chr6	44068549	44068949	+	1000	37.5	[8.187426]	[131]	[]	[]	[44068769]	[]
874_10465	chr6	44221625	44222025	+	1000	37.5	[]	[]	[5.2986712]	[238]	[]	[44221869]
874_10468	chr6	85642987	85643387	+	819	37.5	[2.3521323]	[165]	[]	[]	[85643165]	[]
874_10469	chr6	87701858	87702258	+	919	37.5	[]	[]	[3.0734153]	[205]	[]	[87702083]
874_10471	chr6	110958380	110958780	+	1000	37.5	[2.3550847]	[114]	[]	[]	[110958589]	[]
874_10472	chr6	136334159	136334559	+	1000	37.5	[]	[]	[2.5875401]	[185]	[]	[136334347]
874_10475	chr6	137155728	137156128	+	1000	37.5	[]	[]	[1.8128216, 4.9280696, 5.592049, 2.6044147]	[83, 91, 92, 98]	[]	[137155900, 137155908, 137155909, 137155915]
874_10479	chr6	150333325	150333725	+	996	37.5	[]	[]	[6.5305934]	[199]	[]	[150333563]
874_10481	chr7	725606	726006	+	1000	37.5	[14.838664, 2.3329945, 3.0409071, 5.3504815]	[216, 217, 218, 221]	[]	[]	[725844, 725845, 725846, 725849]	[]
874_10482	chr7	1742214	1742614	+	1000	37.5	[]	[]	[1.8831047]	[191]	[]	[1742463]
874_10485	chr7	30504965	30505365	+	1000	37.5	[]	[]	[5.15043, 4.1373587, 6.144041, 5.0208974, 3.1421602, 2.6906996]	[111, 112, 114, 115, 117, 121]	[]	[30505143, 30505144, 30505146, 30505147, 30505149, 30505153]
874_10486	chr7	38311436	38311836	+	606	37.5	[2.5032744]	[167]	[]	[]	[38311638]	[]
874_10488	chr7	76294758	76295158	+	1000	37.5	[]	[]	[3.2132995, 6.2800746]	[187, 188]	[]	[76294968, 76294969]
874_1049	chr22	23156733	23157133	+	1000	69.0	[]	[]	[3.461799]	[212]	[]	[23156946]
874_10490	chr7	100125550	100125950	+	1000	37.5	[]	[]	[4.0856524]	[68]	[]	[100125712]
874_10491	chr7	100127667	100128067	+	1000	37.5	[]	[]	[2.4744496, 2.3848555]	[112, 149]	[]	[100127836, 100127873]
874_10492	chr7	105353773	105354173	+	1000	37.5	[3.365889]	[108]	[]	[]	[105353950]	[]
874_10495	chr7	112573675	112574075	+	1000	37.5	[]	[]	[2.0501225, 2.3828983]	[174, 189]	[]	[112573905, 112573920]
874_10498	chr7	130136535	130136935	+	1000	37.5	[]	[]	[2.1666484, 3.6824172, 3.2597814]	[186, 191, 195]	[]	[130136738, 130136743, 130136747]
874_10500	chr7	151060503	151060903	+	1000	37.5	[3.4109745, 2.38748, 3.0411043, 4.273434, 3.9388273, 17.7387, 5.0641456]	[80, 85, 116, 118, 120, 121, 123]	[]	[]	[151060677, 151060682, 151060713, 151060715, 151060717, 151060718, 151060720]	[]
874_10502	chr7	152459880	152460280	+	1000	37.5	[7.0393367]	[215]	[]	[]	[152460119]	[]
874_10506	chr8	10775709	10776109	+	978	37.5	[3.0753083]	[170]	[]	[]	[10775954]	[]
874_10508	chr8	133297411	133297811	+	1000	37.5	[]	[]	[3.2801514]	[143]	[]	[133297577]
874_10522	chr9	131229084	131229484	+	1000	37.5	[]	[]	[2.0350053]	[163]	[]	[131229266]
874_10526	chrUn_GL000224v1	13305	13705	+	880	37.5	[]	[]	[2.1186657, 2.1186657, 4.007244, 4.007244, 5.45365, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 5.959441, 5.959441, 8.132939, 3.326605, 8.725016, 7.8746085, 6.5515175, 2.624457, 7.0363846, 8.050141, 3.057618]	[105, 109, 113, 127, 129, 131, 133, 135, 137, 139, 141, 143, 144, 145, 148, 149, 151, 153, 155, 157]	[]	[13488, 13492, 13496, 13510, 13512, 13514, 13516, 13518, 13520, 13522, 13524, 13526, 13527, 13528, 13531, 13532, 13534, 13536, 13538, 13540]
874_10528	chr1	3320633	3321033	+	861	37.0	[]	[]	[6.5462646]	[167]	[]	[3320878]
874_10529	chr1	8814886	8815286	+	938	37.0	[6.299428]	[135]	[]	[]	[8815110]	[]
874_1053	chr7	150994464	150994864	+	1000	69.0	[]	[]	[2.6212234]	[67]	[]	[150994625]
874_10530	chr1	11719688	11720088	+	997	37.0	[]	[]	[4.003051]	[76]	[]	[11719853]
874_10532	chr1	19484848	19485248	+	988	37.0	[]	[]	[3.6673846]	[225]	[]	[19485075]
874_10533	chr1	21022396	21022796	+	707	37.0	[1.827203]	[172]	[]	[]	[21022582]	[]
874_10536	chr1	26286931	26287331	+	1000	37.0	[6.8397975, 2.8927171]	[100, 103]	[]	[]	[26287131, 26287134]	[]
874_10539	chr1	30888380	30888780	+	1000	37.0	[2.8907597, 9.2617445, 8.840853, 7.7638054, 2.624457]	[70, 103, 105, 107, 109]	[]	[]	[30888532, 30888565, 30888567, 30888569, 30888571]	[]
874_10540	chr1	31476996	31477396	+	928	37.0	[]	[]	[4.1214695]	[167]	[]	[31477197]
874_10542	chr1	39689596	39689996	+	1000	37.0	[5.0152364, 2.5991845]	[122, 123]	[]	[]	[39689781, 39689782]	[]
874_10543	chr1	46198496	46198896	+	583	37.0	[2.269531]	[78]	[]	[]	[46198657]	[]
874_10546	chr1	58784232	58784632	+	1000	37.0	[]	[]	[2.6193814]	[137]	[]	[58784428]
874_1055	chr9	131108490	131108890	+	1000	69.0	[5.5878043]	[124]	[]	[]	[131108654]	[]
874_10550	chr1	124158816	124159216	+	1000	37.0	[]	[]	[2.772698, 4.8420653]	[140, 142]	[]	[124159054, 124159056]
874_10551	chr1	145979705	145980105	+	1000	37.0	[]	[]	[7.827096, 3.9705424]	[214, 219]	[]	[145979949, 145979954]
874_10554	chr1	154157712	154158112	+	880	37.0	[5.4376483]	[180]	[]	[]	[154157962]	[]
874_10555	chr1	155324355	155324755	+	1000	37.0	[]	[]	[3.7806902]	[155]	[]	[155324584]
874_10556	chr1	156755556	156755956	+	1000	37.0	[2.9050283, 2.9769318, 11.312945, 5.1478057]	[115, 116, 117, 126]	[]	[]	[156755738, 156755739, 156755740, 156755749]	[]
874_10562	chr1	168220525	168220925	+	741	37.0	[2.3530145]	[92]	[]	[]	[168220684]	[]
874_10563	chr1	184031539	184031939	+	1000	37.0	[]	[]	[5.806482, 5.7929916]	[124, 127]	[]	[184031751, 184031754]
874_10564	chr1	198158846	198159246	+	1000	37.0	[]	[]	[6.144041, 4.7295384, 10.815716, 2.8292027]	[107, 112, 114, 127]	[]	[198159019, 198159024, 198159026, 198159039]
874_10567	chr1	204961371	204961771	+	1000	37.0	[6.1958604]	[159]	[]	[]	[204961608]	[]
874_10569	chr1	206508188	206508588	+	966	37.0	[7.3422284, 7.3422284, 2.1186657, 2.1186657]	[68, 70, 72, 74]	[4.495598, 13.455876, 3.3466473, 6.288922, 8.180452, 12.178357, 3.4099379, 5.5001035, 18.33166, 5.7555537, 12.905778, 8.062504, 1.9406123]	[92, 94, 95, 96, 97, 98, 99, 100, 101, 102, 105, 157, 162]	[206508339, 206508341, 206508343, 206508345]	[206508363, 206508365, 206508366, 206508367, 206508368, 206508369, 206508370, 206508371, 206508372, 206508373, 206508376, 206508428, 206508433]
874_10580	chr10	37857746	37858146	+	1000	37.0	[1.7767869]	[133]	[]	[]	[37857913]	[]
874_10581	chr10	40131225	40131625	+	971	37.0	[]	[]	[2.9205308]	[76]	[]	[40131391]
874_10584	chr10	48805855	48806255	+	1000	37.0	[]	[]	[3.1237056, 4.781296, 2.922424]	[51, 52, 54]	[]	[48806006, 48806007, 48806009]
874_10586	chr10	50586294	50586694	+	1000	37.0	[4.3597193]	[117]	[]	[]	[50586492]	[]
874_10596	chr11	33257226	33257626	+	1000	37.0	[3.98632, 2.3848555]	[135, 137]	[]	[]	[33257453, 33257455]	[]
874_10599	chr11	45917727	45918127	+	1000	37.0	[8.633656]	[232]	[]	[]	[45917967]	[]
874_10600	chr11	46278542	46278942	+	882	37.0	[2.0491896, 8.010684]	[82, 86]	[]	[]	[46278723, 46278727]	[]
874_10604	chr11	59550476	59550876	+	1000	37.0	[3.2286983, 4.3367248]	[201, 202]	[]	[]	[59550699, 59550700]	[]
874_10607	chr11	62646312	62646712	+	983	37.0	[]	[]	[5.5193677]	[179]	[]	[62646510]
