#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1127	chr8	102756125	102756525	+	1000	65.5	[]	[]	[14.252311]	[90]	[]	[102756312]
293_1131	chrUn_KI270742v1	3909	4309	+	1000	65.5	[7.5940995]	[120]	[10.0477295]	[101]	[4113]	[4094]
293_1133	chr1	21791849	21792249	+	1000	65.0	[]	[]	[7.801938]	[169]	[]	[21792066]
293_1136	chr10	72320584	72320984	+	1000	65.0	[7.643828, 6.763009]	[164, 173]	[]	[]	[72320768, 72320777]	[]
293_1138	chr13	98509476	98509876	+	1000	65.0	[14.252311, 11.226776]	[94, 147]	[]	[]	[98509654, 98509707]	[]
293_1140	chr17	64975377	64975777	+	1000	65.0	[6.313181, 12.265705, 12.265705]	[81, 134, 149]	[]	[]	[64975554, 64975607, 64975622]	[]
293_1143	chr22	21869663	21870063	+	1000	65.0	[]	[]	[7.9705]	[204]	[]	[21869908]
293_1145	chr22	22556255	22556655	+	1000	65.0	[12.265705]	[167]	[]	[]	[22556464]	[]
293_1157	chr1	21632125	21632525	+	1000	64.5	[8.956747]	[117]	[]	[]	[21632305]	[]
293_1158	chr1	120942367	120942767	+	1000	64.5	[]	[]	[8.786449, 7.5088573, 8.797619]	[143, 168, 176]	[]	[120942549, 120942574, 120942582]
293_116	chr12	53727461	53727861	+	1000	169.5	[]	[]	[14.252311]	[110]	[]	[53727668]
293_1160	chr10	6163614	6164014	+	1000	64.5	[10.534392]	[59]	[]	[]	[6163772]	[]
293_1161	chr11	62553149	62553549	+	1000	64.5	[7.591329, 8.956747]	[92, 109]	[8.956747]	[133]	[62553338, 62553355]	[62553379]
293_1169	chr2	30251883	30252283	+	1000	64.5	[12.520998]	[118]	[]	[]	[30252078]	[]
293_117	chr19	12965285	12965685	+	1000	169.5	[8.836867, 7.1055546]	[72, 76]	[]	[]	[12965443, 12965447]	[]
293_1172	chr6	28349711	28350111	+	1000	64.5	[10.534392]	[118]	[]	[]	[28349927]	[]
293_118	chr19	43774499	43774899	+	1000	169.5	[]	[]	[10.823473, 7.2592225, 7.0663056]	[118, 143, 152]	[]	[43774712, 43774737, 43774746]
293_1181	chr19	38647395	38647795	+	1000	64.0	[]	[]	[7.5088573, 7.1055546]	[143, 150]	[]	[38647633, 38647640]
293_1183	chr2	48440490	48440890	+	1000	64.0	[10.534392]	[162]	[12.520998]	[136]	[48440732]	[48440706]
293_1195	chr1	228367756	228368156	+	1000	63.5	[]	[]	[12.265705]	[94]	[]	[228367925]
293_1198	chr12	98440066	98440466	+	1000	63.5	[12.520998]	[147]	[]	[]	[98440294]	[]
293_1204	chr22	19419630	19420030	+	1000	63.5	[10.823473]	[158]	[]	[]	[19419866]	[]
293_1205	chr22	19629871	19630271	+	1000	63.5	[]	[]	[7.5940995, 7.9846697, 9.09216]	[100, 175, 177]	[]	[19630044, 19630119, 19630121]
293_1207	chr22	21045517	21045917	+	1000	63.5	[]	[]	[6.7998433]	[183]	[]	[21045747]
293_121	chr19	12885136	12885536	+	1000	166.0	[10.534392]	[67]	[]	[]	[12885303]	[]
293_1211	chr6	3392840	3393240	+	1000	63.5	[]	[]	[8.786449, 14.252311]	[110, 138]	[]	[3393037, 3393065]
293_1214	chr7	157307794	157308194	+	1000	63.5	[]	[]	[7.022195]	[130]	[]	[157307971]
293_1229	chr21	45287838	45288238	+	1000	63.0	[7.5088573]	[133]	[7.0663056, 8.956747]	[101, 105]	[45288048]	[45288016, 45288020]
293_1234	chr5	177491449	177491849	+	1000	63.0	[8.956747, 7.5940995, 12.520998]	[85, 115, 147]	[8.956747]	[125]	[177491605, 177491635, 177491667]	[177491645]
293_1237	chr6	31690347	31690747	+	1000	63.0	[]	[]	[7.5088573, 12.265705]	[70, 111]	[]	[31690505, 31690546]
293_1243	chr1	45011142	45011542	+	1000	62.5	[12.265705, 6.0706253]	[97, 107]	[]	[]	[45011336, 45011346]	[]
293_125	chr17	67784298	67784698	+	1000	161.5	[12.265705]	[115]	[]	[]	[67784480]	[]
293_1253	chr12	121687014	121687414	+	1000	62.5	[]	[]	[7.0663056, 10.534392]	[89, 157]	[]	[121687186, 121687254]
293_1254	chr15	58770878	58771278	+	1000	62.5	[12.265705, 12.265705]	[114, 123]	[]	[]	[58771086, 58771095]	[]
293_1255	chr15	89335047	89335447	+	1000	62.5	[12.265705]	[135]	[]	[]	[89335276]	[]
293_1257	chr17	49569996	49570396	+	1000	62.5	[14.252311]	[150]	[]	[]	[49570218]	[]
293_1259	chr19	1897506	1897906	+	1000	62.5	[7.0663056]	[88]	[7.5940995, 14.252311, 7.7586894]	[105, 114, 135]	[1897686]	[1897703, 1897712, 1897733]
293_1261	chr22	22684791	22685191	+	1000	62.5	[7.5940995]	[93]	[]	[]	[22684972]	[]
293_1266	chr5	10485037	10485437	+	1000	62.5	[]	[]	[9.495462, 9.09216]	[140, 152]	[]	[10485268, 10485280]
293_1268	chr7	38178159	38178559	+	1000	62.5	[8.797619, 10.534392]	[80, 95]	[]	[]	[38178322, 38178337]	[]
293_1271	chr7	73715742	73716142	+	1000	62.5	[8.786449, 10.534392]	[117, 158]	[]	[]	[73715900, 73715941]	[]
293_1272	chr8	134712981	134713381	+	1000	62.5	[12.265705]	[160]	[8.956747]	[169]	[134713208]	[134713217]
293_1281	chr1	181173736	181174136	+	1000	62.0	[]	[]	[12.520998]	[109]	[]	[181173910]
293_1282	chr1	234491057	234491457	+	1000	62.0	[12.520998]	[154]	[]	[]	[234491263]	[]
293_1284	chr10	80505597	80505997	+	1000	62.0	[]	[]	[14.252311, 7.5940995]	[113, 125]	[]	[80505783, 80505795]
293_1287	chr12	132710475	132710875	+	1000	62.0	[7.5940995, 10.534392]	[107, 113]	[]	[]	[132710631, 132710637]	[]
293_1291	chr19	35220485	35220885	+	1000	62.0	[10.68806]	[157]	[]	[]	[35220705]	[]
293_1293	chr19	45863006	45863406	+	1000	62.0	[7.5940995, 11.779043, 10.534392]	[120, 122, 167]	[]	[]	[45863169, 45863171, 45863216]	[]
293_1296	chr2	218292391	218292791	+	1000	62.0	[10.534392]	[65]	[10.534392]	[91]	[218292555]	[218292581]
293_1297	chr20	49278091	49278491	+	1000	62.0	[]	[]	[7.0663056]	[170]	[]	[49278320]
293_1299	chr22	19632141	19632541	+	1000	62.0	[]	[]	[14.252311, 14.252311]	[135, 148]	[]	[19632325, 19632338]
293_1304	chr3	47475869	47476269	+	1000	62.0	[]	[]	[7.5088573]	[183]	[]	[47476103]
293_1310	chr6	26336327	26336727	+	1000	62.0	[14.252311]	[116]	[]	[]	[26336543]	[]
293_1314	chr7	35694927	35695327	+	1000	62.0	[]	[]	[10.534392]	[81]	[]	[35695085]
293_1320	chr1	227396387	227396787	+	1000	61.5	[7.022195]	[83]	[6.313181]	[122]	[227396550]	[227396589]
293_1328	chr16	58129458	58129858	+	1000	61.5	[]	[]	[8.797619, 7.662525]	[156, 174]	[]	[58129679, 58129697]
293_1334	chr20	380613	381013	+	1000	61.5	[]	[]	[8.061124]	[126]	[]	[380783]
293_1335	chr20	33709974	33710374	+	1000	61.5	[10.68806, 12.265705, 6.224293, 14.252311, 10.68806]	[106, 128, 141, 163, 177]	[]	[]	[33710132, 33710154, 33710167, 33710189, 33710203]	[]
293_1336	chr22	19909925	19910325	+	1000	61.5	[14.252311]	[131]	[]	[]	[19910154]	[]
293_1338	chr22	21718942	21719342	+	1000	61.5	[7.846622]	[165]	[]	[]	[21719161]	[]
293_134	chr19	28606439	28606839	+	1000	157.0	[7.846622, 7.9846697, 8.057231]	[120, 122, 126]	[]	[]	[28606619, 28606621, 28606625]	[]
293_1343	chr22	39520306	39520706	+	1000	61.5	[]	[]	[7.0663056]	[112]	[]	[39520460]
293_1345	chr4	184537401	184537801	+	1000	61.5	[]	[]	[7.5088573]	[58]	[]	[184537556]
293_1346	chr6	27251768	27252168	+	1000	61.5	[12.265705]	[159]	[10.534392]	[136]	[27252006]	[27251983]
293_1353	chrUn_KI270742v1	13166	13566	+	1000	61.5	[7.797938, 10.823473]	[120, 194]	[]	[]	[13336, 13410]	[]
293_1354	chr1	10210239	10210639	+	1000	61.0	[10.68806]	[121]	[]	[]	[10210391]	[]
293_1359	chr10	45594695	45595095	+	1000	61.0	[7.7586894, 9.2401705]	[84, 91]	[]	[]	[45594872, 45594879]	[]
293_1360	chr10	68900603	68901003	+	1000	61.0	[9.09216]	[91]	[7.0663056]	[182]	[68900755]	[68900846]
293_1367	chr16	88663148	88663548	+	1000	61.0	[]	[]	[12.265705, 7.5940995]	[152, 216]	[]	[88663319, 88663383]
293_1369	chr17	35587224	35587624	+	1000	61.0	[7.9846697, 10.534392]	[123, 127]	[11.779043]	[180]	[35587396, 35587400]	[35587453]
293_1370	chr19	4058325	4058725	+	1000	61.0	[12.520998, 7.5088573]	[108, 116]	[]	[]	[4058513, 4058521]	[]
293_1376	chr22	22729328	22729728	+	1000	61.0	[11.226776]	[141]	[]	[]	[22729546]	[]
293_1380	chr3	43678222	43678622	+	1000	61.0	[14.252311]	[108]	[]	[]	[43678416]	[]
293_1387	chr9	135971845	135972245	+	1000	61.0	[]	[]	[9.788544]	[161]	[]	[135972078]
293_1390	chr1	11099723	11100123	+	1000	60.5	[]	[]	[10.534392, 12.520998]	[190, 230]	[]	[11099922, 11099962]
293_1392	chr1	43946519	43946919	+	1000	60.5	[]	[]	[7.2592225]	[202]	[]	[43946751]
293_1394	chr1	167869679	167870079	+	1000	60.5	[10.68806]	[107]	[]	[]	[167869846]	[]
293_1397	chr1	234866410	234866810	+	1000	60.5	[]	[]	[7.5088573]	[120]	[]	[234866618]
293_1398	chr10	71860954	71861354	+	1000	60.5	[]	[]	[12.265705, 7.643828]	[160, 168]	[]	[71861182, 71861190]
293_1399	chr10	72354818	72355218	+	1000	60.5	[7.022195, 7.5088573]	[93, 100]	[]	[]	[72354998, 72355005]	[]
293_1401	chr12	128823860	128824260	+	1000	60.5	[7.591329, 10.534392]	[135, 162]	[7.1055546]	[116]	[128824064, 128824091]	[128824045]
293_1404	chr19	12838256	12838656	+	1000	60.5	[8.956747, 7.5088573]	[55, 128]	[]	[]	[12838410, 12838483]	[]
293_1405	chr19	16111326	16111726	+	1000	60.5	[12.265705]	[108]	[10.534392, 7.9846697]	[176, 200]	[16111484]	[16111552, 16111576]
293_1406	chr19	18291791	18292191	+	1000	60.5	[12.520998, 9.792437]	[75, 110]	[]	[]	[18291951, 18291986]	[]
293_1410	chr19	56125830	56126230	+	1000	60.5	[]	[]	[14.252311]	[100]	[]	[56126027]
293_1415	chr22	20656613	20657013	+	1000	60.5	[7.5940995]	[140]	[]	[]	[20656825]	[]
293_1419	chr22	23161583	23161983	+	1000	60.5	[7.643828]	[194]	[]	[]	[23161789]	[]
293_143	chr20	31572812	31573212	+	1000	152.5	[10.534392]	[72]	[]	[]	[31572981]	[]
293_1434	chr10	102112353	102112753	+	1000	60.0	[10.68806, 12.520998, 7.9846697, 10.534392]	[170, 191, 193, 197]	[7.9846697, 10.0477295, 14.252311]	[102, 104, 119]	[102112575, 102112596, 102112598, 102112602]	[102112507, 102112509, 102112524]
293_1436	chr11	76381007	76381407	+	1000	60.0	[10.534392]	[69]	[14.252311]	[129]	[76381176]	[76381236]
293_144	chr5	135386963	135387363	+	1000	152.5	[]	[]	[11.779043]	[152]	[]	[135387187]
293_1440	chr12	124940653	124941053	+	1000	60.0	[11.779043]	[82]	[12.265705]	[91]	[124940814]	[124940823]
293_1444	chr18	987535	987935	+	1000	60.0	[14.252311]	[218]	[]	[]	[987779]	[]
293_1445	chr19	55674952	55675352	+	1000	60.0	[]	[]	[10.534392, 7.9705, 10.534392]	[131, 136, 151]	[]	[55675161, 55675166, 55675181]
293_1448	chr20	31723558	31723958	+	1000	60.0	[7.5940995]	[115]	[]	[]	[31723761]	[]
293_1456	chr3	13013041	13013441	+	1000	60.0	[7.5940995, 14.252311, 7.5940995]	[97, 108, 146]	[]	[]	[13013238, 13013249, 13013287]	[]
293_1463	chr8	85659952	85660352	+	1000	60.0	[7.5940995]	[92]	[]	[]	[85660142]	[]
293_1464	chr9	130797469	130797869	+	1000	60.0	[7.801938]	[131]	[]	[]	[130797657]	[]
293_1466	chr9	131119706	131120106	+	1000	60.0	[]	[]	[7.801938, 7.5940995]	[99, 150]	[]	[131119884, 131119935]
293_1468	chr1	23597042	23597442	+	1000	59.5	[8.214792]	[116]	[]	[]	[23597236]	[]
293_1478	chr16	81495784	81496184	+	1000	59.5	[]	[]	[7.591329]	[130]	[]	[81496009]
293_1483	chr20	29781997	29782397	+	1000	59.5	[7.643828]	[60]	[]	[]	[29782151]	[]
293_1487	chr22	21910324	21910724	+	1000	59.5	[]	[]	[12.520998]	[81]	[]	[21910496]
293_1492	chr6	31821341	31821741	+	1000	59.5	[]	[]	[7.0663056]	[155]	[]	[31821514]
293_1493	chr6	33788999	33789399	+	1000	59.5	[7.9705]	[126]	[10.534392]	[166]	[33789154]	[33789194]
293_1495	chr6	158003985	158004385	+	1000	59.5	[7.5940995]	[73]	[]	[]	[158004138]	[]
293_1497	chr7	103074689	103075089	+	1000	59.5	[8.797619]	[151]	[7.591329, 10.534392, 12.265705, 7.0663056]	[63, 85, 95, 127]	[103074928]	[103074840, 103074862, 103074872, 103074904]
293_150	chr16	10648417	10648817	+	1000	148.5	[12.265705]	[142]	[]	[]	[10648620]	[]
293_1502	chr9	131066699	131067099	+	1000	59.5	[10.7842245, 10.0477295]	[110, 114]	[]	[]	[131066891, 131066895]	[]
293_1505	chr1	185152148	185152548	+	1000	59.0	[12.520998]	[208]	[]	[]	[185152398]	[]
293_1511	chr11	6234537	6234937	+	1000	59.0	[7.5940995]	[135]	[]	[]	[6234747]	[]
293_1514	chr12	96082912	96083312	+	1000	59.0	[]	[]	[6.3204575]	[105]	[]	[96083078]
293_1517	chr19	38304873	38305273	+	1000	59.0	[7.1055546]	[152]	[]	[]	[38305073]	[]
293_1518	chr19	49712339	49712739	+	1000	59.0	[]	[]	[12.265705, 12.265705, 14.252311, 7.846622, 12.265705, 12.265705]	[64, 81, 115, 121, 140, 155]	[]	[49712497, 49712514, 49712548, 49712554, 49712573, 49712588]
293_1524	chr22	22796165	22796565	+	1000	59.0	[]	[]	[10.823473]	[103]	[]	[22796325]
293_1527	chr5	134904716	134905116	+	1000	59.0	[]	[]	[7.5940995, 6.149097]	[102, 165]	[]	[134904891, 134904954]
293_1529	chr6	3118223	3118623	+	1000	59.0	[]	[]	[10.534392]	[189]	[]	[3118447]
293_1530	chr6	28354158	28354558	+	1000	59.0	[9.495462, 7.9846697]	[158, 160]	[]	[]	[28354396, 28354398]	[]
293_1532	chr6	42929285	42929685	+	1000	59.0	[]	[]	[7.0663056]	[107]	[]	[42929436]
293_1533	chr6	107510010	107510410	+	1000	59.0	[]	[]	[9.788544, 14.252311]	[129, 180]	[]	[107510197, 107510248]
293_1538	chr9	130743063	130743463	+	1000	59.0	[7.022195]	[177]	[]	[]	[130743312]	[]
293_1539	chr9	130857120	130857520	+	1000	59.0	[7.643828]	[116]	[]	[]	[130857328]	[]
293_154	chr5	154653867	154654267	+	1000	147.5	[9.09216, 6.483479]	[105, 109]	[]	[]	[154654066, 154654070]	[]
293_1542	chr9	131134009	131134409	+	1000	59.0	[9.788544]	[209]	[]	[]	[131134233]	[]
293_1543	chr9	131161621	131162021	+	1000	59.0	[7.315276]	[133]	[]	[]	[131161847]	[]
293_1544	chr9	135421295	135421695	+	1000	59.0	[8.214792, 9.052912]	[82, 86]	[]	[]	[135421458, 135421462]	[]
293_1548	chr1	40097091	40097491	+	1000	58.5	[7.5088573]	[122]	[12.265705]	[134]	[40097285]	[40097297]
293_155	chr2	27050614	27051014	+	1000	147.0	[]	[]	[12.265705]	[140]	[]	[27050825]
293_1552	chr11	12674030	12674430	+	1000	58.5	[7.5088573]	[118]	[]	[]	[12674232]	[]
293_1554	chr11	103109181	103109581	+	1000	58.5	[7.591329]	[150]	[]	[]	[103109377]	[]
293_1564	chr19	9834807	9835207	+	1000	58.5	[]	[]	[9.09216, 7.591329, 7.1055546]	[83, 144, 156]	[]	[9834982, 9835043, 9835055]
293_1565	chr19	17215134	17215534	+	1000	58.5	[]	[]	[7.846622]	[155]	[]	[17215383]
293_1566	chr19	46413479	46413879	+	1000	58.5	[8.214792, 10.68806, 8.956747]	[115, 152, 177]	[14.252311]	[191]	[46413640, 46413677, 46413702]	[46413716]
293_1570	chr20	53608362	53608762	+	1000	58.5	[14.252311, 6.483479, 14.252311]	[108, 112, 168]	[7.315276]	[91]	[53608531, 53608535, 53608591]	[53608514]
293_1578	chr22	36451745	36452145	+	1000	58.5	[7.5940995, 11.779043, 12.520998]	[128, 141, 158]	[]	[]	[36451961, 36451974, 36451991]	[]
293_1582	chr5	173888029	173888429	+	1000	58.5	[]	[]	[7.662525, 12.265705, 8.057231]	[152, 173, 222]	[]	[173888198, 173888219, 173888268]
293_159	chr20	54065643	54066043	+	1000	144.5	[]	[]	[9.495462, 14.252311]	[60, 117]	[]	[54065798, 54065855]
293_1592	chr9	131149011	131149411	+	1000	58.5	[]	[]	[7.643828]	[129]	[]	[131149206]
293_1594	chr1	10430221	10430621	+	1000	58.0	[]	[]	[7.5088573]	[106]	[]	[10430390]
293_1598	chr1	112466066	112466466	+	1000	58.0	[10.534392]	[127]	[]	[]	[112466272]	[]
293_160	chr22	20865910	20866310	+	1000	144.5	[9.788544]	[106]	[]	[]	[20866099]	[]
293_1600	chr1	148334489	148334889	+	1000	58.0	[7.591329]	[169]	[]	[]	[148334714]	[]
293_1607	chr16	84594083	84594483	+	1000	58.0	[]	[]	[10.534392]	[205]	[]	[84594316]
293_1608	chr17	40013801	40014201	+	1000	58.0	[]	[]	[14.252311]	[146]	[]	[40014020]
293_161	chr6	31795815	31796215	+	1000	144.0	[12.520998]	[150]	[]	[]	[31796046]	[]
293_1618	chr22	20456332	20456732	+	1000	58.0	[8.956747, 9.577935, 9.577935]	[105, 114, 139]	[]	[]	[20456494, 20456503, 20456528]	[]
293_1622	chr22	22996683	22997083	+	1000	58.0	[10.0477295]	[205]	[]	[]	[22996908]	[]
293_1626	chr22	23257332	23257732	+	1000	58.0	[]	[]	[7.022195]	[182]	[]	[23257535]
293_1628	chr3	152850153	152850553	+	1000	58.0	[]	[]	[14.252311]	[114]	[]	[152850366]
293_1636	chr8	66667020	66667420	+	1000	58.0	[7.846622, 12.520998, 9.792437]	[62, 67, 124]	[]	[]	[66667176, 66667181, 66667238]	[]
293_1643	chrY	11295403	11295803	+	1000	58.0	[7.643828, 7.643828]	[115, 130]	[]	[]	[11295610, 11295625]	[]
293_1646	chr1	25708127	25708527	+	1000	57.5	[]	[]	[7.2592225]	[127]	[]	[25708333]
293_1647	chr1	31548584	31548984	+	1000	57.5	[6.7998433, 7.5940995]	[114, 142]	[]	[]	[31548759, 31548787]	[]
293_1648	chr1	46719006	46719406	+	1000	57.5	[]	[]	[8.057231]	[162]	[]	[46719214]
293_165	chr19	12806385	12806785	+	1000	142.5	[]	[]	[9.792437]	[91]	[]	[12806552]
293_1656	chr11	59547717	59548117	+	1000	57.5	[]	[]	[7.022195]	[92]	[]	[59547882]
293_1657	chr15	63792916	63793316	+	1000	57.5	[8.797619]	[81]	[]	[]	[63793091]	[]
293_1659	chr19	3505755	3506155	+	1000	57.5	[12.265705]	[158]	[]	[]	[3505976]	[]
293_166	chr15	90648281	90648681	+	1000	142.0	[]	[]	[7.5940995]	[136]	[]	[90648457]
293_1660	chr2	72090320	72090720	+	1000	57.5	[9.577935]	[174]	[]	[]	[72090567]	[]
293_1674	chr22	23269799	23270199	+	1000	57.5	[]	[]	[10.68806]	[90]	[]	[23269965]
293_1679	chr7	1855093	1855493	+	1000	57.5	[10.7842245, 14.252311]	[58, 96]	[]	[]	[1855250, 1855288]	[]
293_1681	chr7	139090918	139091318	+	1000	57.5	[12.520998]	[152]	[]	[]	[139091113]	[]
293_1682	chr7	156640387	156640787	+	1000	57.5	[]	[]	[10.534392, 7.643828, 12.265705, 10.534392]	[93, 121, 132, 165]	[]	[156640564, 156640592, 156640603, 156640636]
293_1683	chr9	37784789	37785189	+	1000	57.5	[8.786449]	[121]	[]	[]	[37784948]	[]
293_1686	chr9	128881931	128882331	+	1000	57.5	[]	[]	[7.5088573]	[95]	[]	[128882119]
293_1688	chr9	131099793	131100193	+	1000	57.5	[12.520998, 10.534392]	[164, 169]	[]	[]	[131100015, 131100020]	[]
293_169	chr6	4620643	4621043	+	1000	141.0	[]	[]	[12.265705]	[102]	[]	[4620841]
293_1693	chr1	11749151	11749551	+	1000	57.0	[]	[]	[9.052912]	[118]	[]	[11749366]
293_1696	chr1	116569699	116570099	+	1000	57.0	[12.265705]	[116]	[]	[]	[116569890]	[]
293_1699	chr1	156586892	156587292	+	1000	57.0	[12.520998, 12.520998]	[115, 145]	[]	[]	[156587104, 156587134]	[]
293_1703	chr11	5280617	5281017	+	1000	57.0	[]	[]	[6.0706253, 7.9846697, 12.520998]	[118, 122, 124]	[]	[5280823, 5280827, 5280829]
293_1705	chr12	93912274	93912674	+	1000	57.0	[12.520998]	[151]	[]	[]	[93912519]	[]
293_1706	chr13	107910638	107911038	+	1000	57.0	[14.252311]	[201]	[]	[]	[107910854]	[]
293_1709	chr16	11927379	11927779	+	1000	57.0	[]	[]	[7.5940995, 9.495462]	[76, 148]	[]	[11927553, 11927625]
293_171	chr22	21567410	21567810	+	1000	140.5	[10.534392, 8.956747]	[189, 202]	[]	[]	[21567645, 21567658]	[]
293_1710	chr16	25106970	25107370	+	1000	57.0	[8.061124]	[133]	[]	[]	[25107163]	[]
293_1714	chr19	49641732	49642132	+	1000	57.0	[10.534392]	[182]	[]	[]	[49641952]	[]
293_1723	chr3	33791580	33791980	+	1000	57.0	[]	[]	[9.577935]	[116]	[]	[33791758]
293_1724	chr3	196145716	196146116	+	1000	57.0	[]	[]	[14.252311, 12.520998]	[86, 155]	[]	[196145895, 196145964]
293_1726	chr6	30516012	30516412	+	1000	57.0	[7.5088573]	[118]	[10.0477295]	[146]	[30516183]	[30516211]
293_1729	chr7	116526139	116526539	+	1000	57.0	[]	[]	[14.252311]	[75]	[]	[116526304]
293_1731	chr9	130853314	130853714	+	1000	57.0	[]	[]	[6.3597064]	[216]	[]	[130853556]
293_1740	chr1	219906845	219907245	+	1000	56.5	[8.057231]	[226]	[]	[]	[219907088]	[]
293_1741	chr1	244999682	245000082	+	1000	56.5	[7.5088573]	[138]	[]	[]	[244999885]	[]
293_1763	chr22	23246678	23247078	+	1000	56.5	[7.5940995]	[136]	[]	[]	[23246901]	[]
293_1766	chr6	151229152	151229552	+	1000	56.5	[8.214792]	[143]	[]	[]	[151229381]	[]
293_1768	chr7	6374095	6374495	+	1000	56.5	[12.265705, 12.265705]	[122, 161]	[]	[]	[6374307, 6374346]	[]
293_1769	chr7	75801677	75802077	+	1000	56.5	[]	[]	[7.315276]	[112]	[]	[75801868]
293_1777	chr9	131114978	131115378	+	1000	56.5	[]	[]	[7.801938]	[139]	[]	[131115217]
293_1787	chr13	107883747	107884147	+	1000	56.0	[]	[]	[7.2199736]	[140]	[]	[107883976]
293_1788	chr16	4476101	4476501	+	1000	56.0	[7.0663056, 10.534392]	[192, 243]	[9.792437, 9.792437]	[207, 225]	[4476299, 4476350]	[4476314, 4476332]
293_1794	chr19	47226820	47227220	+	1000	56.0	[]	[]	[7.9846697]	[150]	[]	[47227020]
293_1797	chr20	44475713	44476113	+	1000	56.0	[]	[]	[7.2592225]	[110]	[]	[44475910]
293_1798	chr22	21620350	21620750	+	1000	56.0	[]	[]	[9.788544]	[179]	[]	[21620557]
293_1802	chr22	23011230	23011630	+	1000	56.0	[6.224293]	[150]	[]	[]	[23011447]	[]
293_1805	chr22	23229697	23230097	+	1000	56.0	[9.495462]	[136]	[]	[]	[23229897]	[]
