#PeakID(python scan_motif.py ./ENCODE_processed_files/STAT5A_idr.fa STAT5A --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
133_10078	chr12	122500867	122501267	+	1000	60.0	[8.684342]	[79]	[]	[]	[122501021]	[]
133_1008	chr12	76114337	76114737	+	1000	229.0	[11.842608]	[107]	[14.173678]	[107]	[76114543]	[76114543]
133_10080	chr13	95243183	95243583	+	1000	60.0	[6.590865]	[97]	[]	[]	[95243362]	[]
133_10082	chr14	23034781	23035181	+	1000	60.0	[6.6379886]	[198]	[]	[]	[23035016]	[]
133_10083	chr14	23129097	23129497	+	1000	60.0	[]	[]	[10.196432]	[106]	[]	[23129276]
133_10084	chr14	34065244	34065644	+	1000	60.0	[6.8921194, 13.548076]	[129, 141]	[6.7182117]	[141]	[34065468, 34065480]	[34065480]
133_10085	chr14	65438250	65438650	+	1000	60.0	[13.548076]	[108]	[6.7182117]	[108]	[65438442]	[65438442]
133_10086	chr14	77383369	77383769	+	1000	60.0	[9.245797]	[70]	[]	[]	[77383522]	[]
133_10090	chr16	1611784	1612184	+	1000	60.0	[10.243763]	[114]	[8.446286]	[114]	[1611990]	[1611990]
133_10091	chr16	11052027	11052427	+	808	60.0	[7.7337074, 10.266372, 13.5706835]	[75, 141, 164]	[8.685363, 6.9710217, 12.597441, 10.869366]	[75, 102, 141, 164]	[11052189, 11052255, 11052278]	[11052189, 11052216, 11052255, 11052278]
133_101	chr3	173007125	173007525	+	1000	468.0	[8.446286]	[71]	[10.243763]	[71]	[173007276]	[173007276]
133_10103	chr18	35972404	35972804	+	1000	60.0	[6.136779]	[111]	[]	[]	[35972614]	[]
133_10107	chr19	4870103	4870503	+	1000	60.0	[7.357935]	[172]	[]	[]	[4870341]	[]
133_10108	chr19	7649334	7649734	+	1000	60.0	[]	[]	[6.6381965]	[150]	[]	[7649551]
133_10114	chr19	40833727	40834127	+	1000	60.0	[9.051821]	[70]	[9.035112]	[70]	[40833895]	[40833895]
133_1012	chr8	72134357	72134757	+	1000	229.0	[6.3565664]	[115]	[]	[]	[72134568]	[]
133_10122	chr2	26073432	26073832	+	1000	60.0	[]	[]	[8.267781]	[115]	[]	[26073587]
133_10129	chr2	74529610	74530010	+	1000	60.0	[6.151192]	[143]	[]	[]	[74529836]	[]
133_10132	chr2	111698958	111699358	+	1000	60.0	[8.538297]	[144]	[15.901753]	[144]	[111699164]	[111699164]
133_10134	chr2	113609842	113610242	+	984	60.0	[8.045571, 9.083777]	[91, 114]	[6.159387]	[91]	[113610033, 113610056]	[113610033]
133_10142	chr20	43677045	43677445	+	1000	60.0	[6.8825955]	[122]	[8.632995]	[122]	[43677262]	[43677262]
133_10146	chr22	19774252	19774652	+	1000	60.0	[14.173678, 6.7182117]	[99, 114]	[11.842608, 13.548076]	[99, 114]	[19774447, 19774462]	[19774447, 19774462]
133_10147	chr22	20020607	20021007	+	1000	60.0	[6.865278]	[76]	[]	[]	[20020761]	[]
133_10153	chr22	22996929	22997329	+	1000	60.0	[7.806082]	[91]	[]	[]	[22997117]	[]
133_10155	chr22	31023258	31023658	+	1000	60.0	[14.173678, 11.842608]	[75, 96]	[11.842608, 14.173678]	[75, 96]	[31023424, 31023445]	[31023424, 31023445]
133_1016	chr2	32768340	32768740	+	1000	228.0	[9.70938]	[105]	[6.1738005]	[105]	[32768542]	[32768542]
133_10160	chr3	10419729	10420129	+	1000	60.0	[]	[]	[8.588062]	[143]	[]	[10419956]
133_10163	chr3	41345801	41346201	+	1000	60.0	[]	[]	[9.158815]	[66]	[]	[41345965]
133_10165	chr3	101641517	101641917	+	1000	60.0	[8.007392, 9.213665]	[92, 93]	[6.301925]	[93]	[101641704, 101641705]	[101641705]
133_10166	chr3	142319119	142319519	+	1000	60.0	[8.40951]	[118]	[]	[]	[142319331]	[]
133_10168	chr3	179265074	179265474	+	1000	60.0	[9.029213]	[64]	[]	[]	[179265231]	[]
133_10175	chr4	39458623	39459023	+	1000	60.0	[6.865278, 8.662755, 8.496579]	[179, 208, 231]	[]	[]	[39458803, 39458832, 39458855]	[]
133_10180	chr4	145097968	145098368	+	1000	60.0	[]	[]	[7.2863007]	[87]	[]	[145098154]
133_10181	chr4	159192037	159192437	+	1000	60.0	[14.173678]	[113]	[6.152699, 11.842608]	[80, 113]	[159192244]	[159192211, 159192244]
133_10184	chr4	185425960	185426360	+	1000	60.0	[]	[]	[6.744411, 10.2329445]	[104, 147]	[]	[185426140, 185426183]
133_10186	chr5	36151809	36152209	+	964	60.0	[7.879267]	[148]	[]	[]	[36152045]	[]
133_10187	chr5	56116811	56117211	+	1000	60.0	[6.5352826, 13.5706835]	[111, 121]	[10.869366]	[121]	[56117011, 56117021]	[56117021]
133_10188	chr5	65481911	65482311	+	1000	60.0	[7.130713]	[227]	[7.7121196]	[227]	[65482149]	[65482149]
133_10192	chr5	112963915	112964315	+	1000	60.0	[]	[]	[6.7241893]	[102]	[]	[112964076]
133_10196	chr5	164360614	164361014	+	1000	60.0	[9.029213]	[179]	[]	[]	[164360862]	[]
133_10197	chr6	3354921	3355321	+	1000	60.0	[]	[]	[10.2329445]	[139]	[]	[3355139]
133_10198	chr6	13702779	13703179	+	1000	60.0	[]	[]	[8.610671]	[127]	[]	[13703005]
133_102	chr7	119925895	119926295	+	1000	468.0	[12.597441]	[68]	[10.266372]	[68]	[119926060]	[119926060]
133_1020	chr3	16304641	16305041	+	1000	228.0	[]	[]	[6.4228773]	[128]	[]	[16304862]
133_10200	chr6	20424681	20425081	+	1000	60.0	[10.311713]	[175]	[6.562315]	[175]	[20424902]	[20424902]
133_10203	chr6	28408414	28408814	+	1000	60.0	[14.173678]	[134]	[11.842608]	[134]	[28408633]	[28408633]
133_10205	chr6	30720191	30720591	+	1000	60.0	[7.1081047]	[68]	[]	[]	[30720352]	[]
133_10206	chr6	35728036	35728436	+	1000	60.0	[6.8825955]	[143]	[8.632995]	[143]	[35728258]	[35728258]
133_10209	chr6	50825643	50826043	+	1000	60.0	[]	[]	[10.94174]	[108]	[]	[50825850]
133_10210	chr6	104957319	104957719	+	1000	60.0	[15.901753]	[144]	[8.538297]	[144]	[104957543]	[104957543]
133_10211	chr6	111411056	111411456	+	1000	60.0	[7.83516]	[107]	[7.7649856]	[107]	[111411247]	[111411247]
133_10214	chr6	157465143	157465543	+	1000	60.0	[8.446286]	[138]	[10.243763]	[138]	[157465363]	[157465363]
133_10215	chr6	161314801	161315201	+	1000	60.0	[11.842608]	[90]	[14.173678]	[90]	[161314987]	[161314987]
133_10222	chr7	81460611	81461011	+	716	60.0	[]	[]	[10.412417]	[74]	[]	[81460776]
133_10233	chr7	135800994	135801394	+	1000	60.0	[8.490457]	[145]	[]	[]	[135801154]	[]
133_1024	chr15	45583676	45584076	+	1000	227.0	[10.022524, 11.842608]	[89, 110]	[11.820001, 14.173678]	[89, 110]	[45583864, 45583885]	[45583864, 45583885]
133_10241	chr7	151272939	151273339	+	1000	60.0	[6.552134, 7.5739202]	[75, 120]	[7.880774]	[157]	[151273097, 151273142]	[151273179]
133_10245	chr8	38335815	38336215	+	895	60.0	[]	[]	[8.138241]	[148]	[]	[38336042]
133_10249	chr8	97655144	97655544	+	1000	60.0	[8.538297]	[135]	[15.901753]	[135]	[97655372]	[97655372]
133_1025	chr2	12084041	12084441	+	1000	227.0	[10.022524]	[132]	[10.412417, 11.820001]	[111, 132]	[12084262]	[12084241, 12084262]
133_10262	chr9	112489191	112489591	+	1000	60.0	[]	[]	[6.8921194]	[121]	[]	[112489402]
133_10264	chr9	130765188	130765588	+	1000	60.0	[]	[]	[6.331394]	[108]	[]	[130765377]
133_10265	chr9	130995509	130995909	+	1000	60.0	[]	[]	[8.007392]	[157]	[]	[130995693]
133_10268	chr9	133133761	133134161	+	1000	60.0	[10.311713]	[140]	[6.562315]	[140]	[133133965]	[133133965]
133_10269	chr9	133417870	133418270	+	1000	60.0	[6.8599873]	[77]	[]	[]	[133418032]	[]
133_10271	chr9	136411335	136411735	+	1000	60.0	[14.173678]	[120]	[11.842608]	[120]	[136411533]	[136411533]
133_10272	chrX	1505101	1505501	+	1000	60.0	[8.446286]	[135]	[10.243763]	[135]	[1505302]	[1505302]
133_10275	chrX	101386520	101386920	+	1000	60.0	[12.597441]	[102]	[10.266372]	[102]	[101386719]	[101386719]
133_10276	chrX	108219913	108220313	+	928	60.0	[8.490965]	[133]	[8.9815035]	[133]	[108220140]	[108220140]
133_10278	chr1	11394840	11395240	+	1000	59.0	[6.8921194, 14.173678]	[70, 115]	[11.842608]	[115]	[11394994, 11395039]	[11395039]
133_10279	chr1	11802454	11802854	+	1000	59.0	[7.6275287]	[90]	[]	[]	[11802628]	[]
133_10282	chr1	16651558	16651958	+	1000	59.0	[7.4052663]	[126]	[6.9147277]	[126]	[16651774]	[16651774]
133_10283	chr1	16951643	16952043	+	1000	59.0	[6.152699]	[119]	[]	[]	[16951859]	[]
133_10289	chr1	37946868	37947268	+	1000	59.0	[]	[]	[7.9580355]	[72]	[]	[37947036]
133_10292	chr1	65538682	65539082	+	1000	59.0	[]	[]	[8.662755]	[90]	[]	[65538860]
133_10294	chr1	86792973	86793373	+	1000	59.0	[6.9286323]	[204]	[]	[]	[86793211]	[]
133_10298	chr1	150067520	150067920	+	793	59.0	[8.684342]	[121]	[]	[]	[150067739]	[]
133_103	chr8	90187661	90188061	+	1000	463.0	[15.901753]	[111]	[8.538297]	[111]	[90187863]	[90187863]
133_1030	chr6	15018405	15018805	+	1000	227.0	[10.243763, 10.869366]	[74, 111]	[8.446286, 13.5706835]	[74, 111]	[15018578, 15018615]	[15018578, 15018615]
133_10310	chr1	213055077	213055477	+	1000	59.0	[7.887462]	[123]	[]	[]	[213055285]	[]
133_10311	chr1	218275780	218276180	+	1000	59.0	[6.7911124]	[75]	[9.761809, 8.496579]	[75, 96]	[218275939]	[218275939, 218275960]
133_10314	chr10	49079986	49080386	+	1000	59.0	[13.5706835]	[80]	[10.869366]	[80]	[49080157]	[49080157]
133_10318	chr10	74439220	74439620	+	1000	59.0	[11.382891]	[155]	[6.704043]	[155]	[74439444]	[74439444]
133_10319	chr10	80458964	80459364	+	1000	59.0	[6.7182117]	[123]	[13.548076]	[123]	[80459181]	[80459181]
133_10320	chr10	92696742	92697142	+	1000	59.0	[12.597441, 8.446286]	[77, 115]	[10.266372, 10.243763]	[77, 115]	[92696902, 92696940]	[92696902, 92696940]
133_10336	chr12	1439685	1440085	+	1000	59.0	[]	[]	[7.485917]	[69]	[]	[1439849]
133_10337	chr12	6942709	6943109	+	1000	59.0	[10.869366]	[108]	[13.5706835]	[108]	[6942911]	[6942911]
133_10338	chr12	31732896	31733296	+	1000	59.0	[6.881301]	[106]	[]	[]	[31733083]	[]
133_10339	chr12	49108843	49109243	+	1000	59.0	[6.3577366, 15.901753]	[120, 169]	[8.538297]	[169]	[49109040, 49109089]	[49109089]
133_1034	chr8	101153746	101154146	+	1000	227.0	[14.173678]	[123]	[11.842608]	[123]	[101153964]	[101153964]
133_10363	chr15	64093826	64094226	+	1000	59.0	[]	[]	[9.6861105]	[214]	[]	[64094067]
133_10365	chr15	82635779	82636179	+	1000	59.0	[6.626151]	[83]	[]	[]	[82635950]	[]
133_10368	chr16	10966125	10966525	+	882	59.0	[]	[]	[7.5209255]	[139]	[]	[10966342]
133_10369	chr16	11240649	11241049	+	1000	59.0	[12.597441]	[132]	[10.266372]	[132]	[11240855]	[11240855]
133_1037	chr9	124202538	124202938	+	1000	227.0	[13.5706835]	[127]	[10.869366]	[127]	[124202756]	[124202756]
133_10373	chr16	81006843	81007243	+	1000	59.0	[12.597441]	[171]	[10.266372]	[171]	[81007077]	[81007077]
133_10374	chr17	2136194	2136594	+	1000	59.0	[9.461782]	[125]	[]	[]	[2136401]	[]
133_10376	chr17	28034134	28034534	+	1000	59.0	[8.538297]	[91]	[15.901753]	[91]	[28034319]	[28034319]
133_10382	chr17	47239892	47240292	+	1000	59.0	[9.035112]	[149]	[9.051821]	[149]	[47240137]	[47240137]
133_10383	chr17	59784311	59784711	+	1000	59.0	[6.152699]	[144]	[]	[]	[59784542]	[]
133_10388	chr18	9575482	9575882	+	1000	59.0	[6.52701]	[136]	[8.311827]	[136]	[9575712]	[9575712]
133_10389	chr18	10530841	10531241	+	1000	59.0	[6.7911124]	[93]	[9.761809]	[93]	[10531029]	[10531029]
133_10393	chr19	3265474	3265874	+	1000	59.0	[11.03802, 13.548076]	[78, 99]	[6.957288, 6.7182117]	[78, 99]	[3265646, 3265667]	[3265646, 3265667]
133_10394	chr19	12775516	12775916	+	1000	59.0	[]	[]	[7.357935]	[108]	[]	[12775667]
133_10397	chr19	23098855	23099255	+	1000	59.0	[]	[]	[10.586154, 6.469334]	[102, 123]	[]	[23099045, 23099066]
133_10400	chr19	42243041	42243441	+	1000	59.0	[6.7182117, 7.097286]	[127, 189]	[13.548076]	[127]	[42243223, 42243285]	[42243223]
133_10406	chr2	15313705	15314105	+	1000	59.0	[10.869366]	[98]	[13.5706835]	[98]	[15313899]	[15313899]
133_10407	chr2	15561678	15562078	+	1000	59.0	[6.2095904]	[190]	[]	[]	[15561926]	[]
133_10409	chr2	25851814	25852214	+	1000	59.0	[]	[]	[7.57549]	[136]	[]	[25851994]
133_10414	chr2	74181622	74182022	+	1000	59.0	[]	[]	[8.085812]	[71]	[]	[74181779]
133_10418	chr2	159712394	159712794	+	979	59.0	[7.225411]	[109]	[]	[]	[159712587]	[]
133_10419	chr2	161208516	161208916	+	1000	59.0	[10.7095785]	[106]	[]	[]	[161208690]	[]
133_10420	chr2	182941960	182942360	+	1000	59.0	[6.469334]	[109]	[]	[]	[182942162]	[]
133_10422	chr2	201130598	201130998	+	1000	59.0	[]	[]	[8.40951]	[165]	[]	[201130840]
133_10426	chr2	233857811	233858211	+	1000	59.0	[8.133142, 6.254151]	[86, 168]	[]	[]	[233857968, 233858050]	[]
133_10428	chr20	44970143	44970543	+	1000	59.0	[10.763187]	[145]	[]	[]	[44970388]	[]
133_1043	chr20	50098317	50098717	+	1000	226.0	[]	[]	[9.106386]	[110]	[]	[50098521]
133_10432	chr22	19953619	19954019	+	1000	59.0	[7.097286]	[156]	[]	[]	[19953867]	[]
133_10437	chr22	21833076	21833476	+	1000	59.0	[]	[]	[10.621459, 7.2345104]	[183, 213]	[]	[21833291, 21833321]
133_10438	chr22	21998696	21999096	+	1000	59.0	[7.57549]	[144]	[]	[]	[21998879]	[]
133_1044	chr22	22001882	22002282	+	1000	226.0	[12.597441]	[111]	[10.266372]	[111]	[22002090]	[22002090]
133_10442	chr22	24011138	24011538	+	1000	59.0	[11.842608]	[152]	[14.173678]	[152]	[24011373]	[24011373]
133_10444	chr3	4462634	4463034	+	1000	59.0	[]	[]	[6.8068504]	[152]	[]	[4462883]
133_10445	chr3	15339883	15340283	+	1000	59.0	[8.138241, 7.007401]	[91, 146]	[8.29039]	[146]	[15340065, 15340120]	[15340120]
133_10449	chr3	44648507	44648907	+	1000	59.0	[8.685363]	[78]	[7.7337074]	[78]	[44648674]	[44648674]
133_10451	chr3	49465604	49466004	+	1000	59.0	[6.7182117]	[59]	[13.548076]	[59]	[49465758]	[49465758]
133_10454	chr3	118938430	118938830	+	1000	59.0	[6.612033, 9.051821]	[102, 126]	[9.035112]	[126]	[118938603, 118938627]	[118938627]
133_10455	chr3	122730202	122730602	+	1000	59.0	[6.4050674]	[157]	[7.9018755]	[157]	[122730452]	[122730452]
133_10456	chr3	130258390	130258790	+	1000	59.0	[6.9185925]	[96]	[]	[]	[130258566]	[]
133_10458	chr3	182460281	182460681	+	1000	59.0	[8.36798]	[131]	[8.185572, 8.808403, 7.2345104]	[85, 131, 151]	[182460497]	[182460451, 182460497, 182460517]
133_10462	chr4	6278728	6279128	+	1000	59.0	[6.7594943]	[109]	[]	[]	[6278937]	[]
133_10464	chr4	55925250	55925650	+	1000	59.0	[14.173678, 11.842608]	[88, 109]	[11.842608, 14.173678]	[88, 109]	[55925425, 55925446]	[55925425, 55925446]
133_10465	chr4	86992006	86992406	+	1000	59.0	[]	[]	[7.806082]	[149]	[]	[86992241]
133_10468	chr4	122803696	122804096	+	1000	59.0	[8.255085]	[88]	[]	[]	[122803868]	[]
133_10469	chr4	158788019	158788419	+	1000	59.0	[11.842608]	[111]	[6.8068504, 14.173678]	[67, 111]	[158788220]	[158788176, 158788220]
133_10471	chr4	172088531	172088931	+	1000	59.0	[6.612033, 10.869366]	[72, 112]	[13.5706835]	[112]	[172088702, 172088742]	[172088742]
133_10474	chr4	185357690	185358090	+	1000	59.0	[7.4052663]	[139]	[6.9147277]	[139]	[185357872]	[185357872]
133_10475	chr5	8457290	8457690	+	1000	59.0	[14.173678]	[111]	[11.842608]	[111]	[8457471]	[8457471]
133_10478	chr5	68344401	68344801	+	1000	59.0	[9.106386]	[149]	[]	[]	[68344622]	[]
133_10480	chr5	76339989	76340389	+	1000	59.0	[8.858079, 13.548076]	[138, 159]	[6.7182117]	[159]	[76340197, 76340218]	[76340218]
133_10487	chr5	172156602	172157002	+	1000	59.0	[]	[]	[7.57549]	[90]	[]	[172156781]
133_10493	chr6	13992547	13992947	+	1000	59.0	[]	[]	[10.94174, 6.590865]	[167, 203]	[]	[13992732, 13992768]
133_10495	chr6	15264015	15264415	+	1000	59.0	[13.5706835]	[128]	[10.869366]	[128]	[15264230]	[15264230]
133_10496	chr6	16332047	16332447	+	1000	59.0	[6.244324]	[174]	[]	[]	[16332276]	[]
133_105	chr16	23821954	23822354	+	1000	462.0	[6.7182117]	[117]	[13.548076]	[117]	[23822161]	[23822161]
133_10508	chr6	42471153	42471553	+	1000	59.0	[6.7182117, 11.842608]	[101, 122]	[13.548076, 14.173678]	[101, 122]	[42471346, 42471367]	[42471346, 42471367]
133_10510	chr6	45185311	45185711	+	1000	59.0	[10.869366, 9.158815]	[86, 156]	[13.5706835]	[86]	[45185492, 45185562]	[45185492]
133_10516	chr6	121344536	121344936	+	1000	59.0	[11.842608]	[93]	[14.173678]	[93]	[121344718]	[121344718]
133_10517	chr6	129671812	129672212	+	1000	59.0	[8.045571]	[183]	[6.159387]	[183]	[129672056]	[129672056]
133_10521	chr6	150252936	150253336	+	1000	59.0	[6.301925, 11.842608]	[105, 118]	[9.213665, 8.007392, 14.173678]	[105, 106, 118]	[150253119, 150253132]	[150253119, 150253120, 150253132]
133_10528	chr7	38215759	38216159	+	1000	59.0	[10.243763]	[77]	[8.446286, 8.031247]	[77, 131]	[38215936]	[38215936, 38215990]
133_1053	chr20	22411867	22412267	+	1000	225.0	[11.842608, 12.55011]	[105, 113]	[14.173678]	[105]	[22412065, 22412073]	[22412065]
133_10530	chr7	75631695	75632095	+	1000	59.0	[7.082873]	[70]	[]	[]	[75631853]	[]
133_10533	chr7	100958070	100958470	+	1000	59.0	[]	[]	[7.4115434]	[99]	[]	[100958265]
133_10536	chr7	102420107	102420507	+	1000	59.0	[6.6381965]	[126]	[]	[]	[102420286]	[]
133_1054	chr6	26571608	26572008	+	1000	225.0	[6.704043]	[104]	[11.382891]	[104]	[26571804]	[26571804]
133_10544	chr7	133134821	133135221	+	1000	59.0	[14.173678]	[84]	[11.842608]	[84]	[133134997]	[133134997]
133_10545	chr7	134432632	134433032	+	1000	59.0	[7.879267]	[70]	[]	[]	[134432791]	[]
133_10546	chr7	140479226	140479626	+	1000	59.0	[]	[]	[8.468357]	[54]	[]	[140479379]
133_10547	chr7	148697357	148697757	+	1000	59.0	[]	[]	[6.8921194]	[83]	[]	[148697531]
133_1056	chr7	22350782	22351182	+	1000	225.0	[6.1738005]	[92]	[9.70938]	[92]	[22350971]	[22350971]
133_10563	chr9	111892155	111892555	+	1000	59.0	[7.3783107]	[146]	[8.504869]	[146]	[111892376]	[111892376]
133_10566	chr9	120900094	120900494	+	1000	59.0	[7.3783107]	[128]	[8.504869]	[128]	[120900317]	[120900317]
133_10568	chr9	127166791	127167191	+	886	59.0	[6.7182117]	[113]	[13.548076]	[113]	[127166965]	[127166965]
133_1057	chr7	139916069	139916469	+	1000	225.0	[]	[]	[7.57549]	[64]	[]	[139916225]
133_10573	chr9	130757827	130758227	+	1000	59.0	[9.051821]	[110]	[9.035112]	[110]	[130758027]	[130758027]
133_10575	chr9	130799187	130799587	+	1000	59.0	[6.1779366]	[213]	[]	[]	[130799421]	[]
133_1058	chr8	2733746	2734146	+	1000	225.0	[]	[]	[8.03]	[72]	[]	[2733906]
133_10582	chrX	16604883	16605283	+	1000	59.0	[6.1605587]	[76]	[6.5397067]	[76]	[16605045]	[16605045]
133_10583	chrX	23953129	23953529	+	1000	59.0	[10.243763, 14.173678]	[83, 111]	[8.446286, 11.842608]	[83, 111]	[23953310, 23953338]	[23953310, 23953338]
133_10589	chr1	11012348	11012748	+	771	58.0	[9.288357]	[100]	[8.70695]	[100]	[11012527]	[11012527]
133_10593	chr1	23964746	23965146	+	1000	58.0	[15.901753]	[107]	[8.538297]	[107]	[23964945]	[23964945]
133_10594	chr1	28395219	28395619	+	1000	58.0	[]	[]	[10.196432]	[92]	[]	[28395407]
133_10596	chr1	31548925	31549325	+	1000	58.0	[6.410166]	[217]	[]	[]	[31549172]	[]
133_10601	chr1	51750182	51750582	+	1000	58.0	[]	[]	[8.232476]	[94]	[]	[51750372]
133_10603	chr1	53238273	53238673	+	1000	58.0	[11.016432]	[129]	[]	[]	[53238477]	[]
133_10608	chr1	68291979	68292379	+	845	58.0	[]	[]	[9.942509]	[153]	[]	[68292224]
133_10610	chr1	83932274	83932674	+	1000	58.0	[]	[]	[7.225411]	[172]	[]	[83932510]
133_10616	chr1	110003773	110004173	+	1000	58.0	[8.858079]	[82]	[]	[]	[110003952]	[]
133_1062	chr17	59837722	59838122	+	1000	224.0	[8.858079, 8.446286]	[72, 103]	[10.243763]	[103]	[59837884, 59837915]	[59837915]
133_10621	chr1	181151562	181151962	+	1000	58.0	[10.2329445]	[191]	[]	[]	[181151792]	[]
133_10625	chr1	212242251	212242651	+	1000	58.0	[6.957288]	[101]	[11.03802]	[101]	[212242426]	[212242426]
133_10636	chr10	40447132	40447532	+	1000	58.0	[7.7649856]	[102]	[7.83516]	[102]	[40447334]	[40447334]
133_10638	chr10	47306373	47306773	+	1000	58.0	[]	[]	[7.4425774]	[135]	[]	[47306590]
133_1064	chr3	42836563	42836963	+	1000	224.0	[8.03]	[115]	[]	[]	[42836776]	[]
133_10648	chr11	31419110	31419510	+	1000	58.0	[8.446286]	[102]	[10.243763]	[102]	[31419290]	[31419290]
133_10652	chr11	61385591	61385991	+	1000	58.0	[]	[]	[6.190716]	[126]	[]	[61385816]
133_10653	chr11	61963363	61963763	+	1000	58.0	[6.562315]	[78]	[10.311713]	[78]	[61963518]	[61963518]
133_10654	chr11	64204518	64204918	+	1000	58.0	[11.437455]	[76]	[]	[]	[64204692]	[]
133_10664	chr12	66345218	66345618	+	1000	58.0	[11.842608]	[152]	[14.173678]	[152]	[66345453]	[66345453]
133_10669	chr13	99268001	99268401	+	1000	58.0	[10.243763]	[150]	[8.446286]	[150]	[99268242]	[99268242]
133_10671	chr14	75934915	75935315	+	1000	58.0	[8.496579]	[144]	[]	[]	[75935131]	[]
133_10673	chr14	77859900	77860300	+	1000	58.0	[10.869366]	[127]	[13.5706835]	[127]	[77860104]	[77860104]
133_10676	chr15	60396862	60397262	+	1000	58.0	[8.355901]	[121]	[]	[]	[60397037]	[]
133_10679	chr15	88900642	88901042	+	1000	58.0	[]	[]	[8.735476]	[75]	[]	[88900797]
133_10682	chr15	95972151	95972551	+	1000	58.0	[9.942509]	[56]	[]	[]	[95972307]	[]
133_10686	chr16	29942821	29943221	+	1000	58.0	[9.035112]	[76]	[9.051821]	[76]	[29942980]	[29942980]
133_1069	chr9	88161167	88161567	+	1000	224.0	[8.515688]	[120]	[11.750599]	[120]	[88161381]	[88161381]
133_10690	chr16	68987916	68988316	+	1000	58.0	[8.538297, 8.007392]	[112, 165]	[15.901753]	[112]	[68988113, 68988166]	[68988113]
133_10691	chr16	75075290	75075690	+	1000	58.0	[6.52701]	[159]	[8.311827, 7.879267]	[159, 192]	[75075474]	[75075474, 75075507]
133_10695	chr17	8385036	8385436	+	1000	58.0	[14.173678]	[138]	[11.842608]	[138]	[8385270]	[8385270]
133_10698	chr17	44899296	44899696	+	1000	58.0	[6.573722]	[86]	[]	[]	[44899452]	[]
