#PeakID(python identify_motif.py ./ENCODE_processed_files/JUND_idr.fa JUND --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
658_10123	chr20	50761672	50762072	+	1000	120.0	[12.655612, 10.9372835]	[89, 117]	[11.393932, 8.706673]	[89, 117]	[50761854, 50761882]	[50761854, 50761882]
658_10124	chr22	29799160	29799560	+	1000	120.0	[8.595078]	[108]	[7.0539017]	[108]	[29799367]	[29799367]
658_1013	chr17	82267543	82267943	+	1000	370.0	[14.169626]	[98]	[11.371393]	[98]	[82267740]	[82267740]
658_10130	chr3	72186080	72186480	+	1000	120.0	[9.468163, 7.6028485]	[84, 143]	[8.896491]	[84]	[72186246, 72186305]	[72186246]
658_10142	chr5	141821386	141821786	+	1000	120.0	[13.223235, 6.332342]	[81, 147]	[10.826309]	[81]	[141821564, 141821630]	[141821564]
658_10143	chr5	150790237	150790637	+	1000	120.0	[6.820339, 14.169626]	[73, 116]	[6.750475, 11.371393]	[73, 116]	[150790402, 150790445]	[150790402, 150790445]
658_10146	chr6	15621743	15622143	+	1000	120.0	[7.0715647, 7.592848]	[101, 113]	[6.489596]	[101]	[15621940, 15621952]	[15621940]
658_10152	chr6	90397843	90398243	+	1000	120.0	[8.0683, 8.706673]	[78, 102]	[7.792853, 10.9372835]	[78, 102]	[90398010, 90398034]	[90398010, 90398034]
658_10154	chr6	125004246	125004646	+	1000	120.0	[9.441575]	[74]	[10.414554]	[74]	[125004419]	[125004419]
658_10155	chr6	127420444	127420844	+	1000	120.0	[11.482367, 8.16159]	[84, 129]	[9.653064, 9.990892]	[84, 129]	[127420626, 127420671]	[127420626, 127420671]
658_10157	chr6	159989154	159989554	+	1000	120.0	[11.393932]	[90]	[12.655612]	[90]	[159989343]	[159989343]
658_10159	chr7	106365206	106365606	+	1000	120.0	[6.38505]	[92]	[]	[]	[106365396]	[]
658_10181	chr1	108584306	108584706	+	1000	119.0	[12.340323]	[126]	[13.200696]	[126]	[108584524]	[108584524]
658_10182	chr1	108781208	108781608	+	1000	119.0	[9.105232, 8.90054]	[63, 91]	[6.9437904, 9.464114, 7.592848]	[63, 91, 154]	[108781363, 108781391]	[108781363, 108781391, 108781454]
658_10184	chr1	150065439	150065839	+	1000	119.0	[11.371393]	[117]	[14.169626]	[117]	[150065652]	[150065652]
658_10191	chr1	203303313	203303713	+	1000	119.0	[9.1401615]	[70]	[8.000293]	[70]	[203303477]	[203303477]
658_10196	chr1	233674112	233674512	+	1000	119.0	[12.128834]	[120]	[12.132883]	[120]	[233674326]	[233674326]
658_102	chr8	100900398	100900798	+	1000	563.0	[15.887955]	[105]	[14.058652]	[105]	[100900596]	[100900596]
658_10202	chr10	73591886	73592286	+	1000	119.0	[]	[]	[6.707188]	[139]	[]	[73592120]
658_10205	chr11	12693625	12694025	+	1000	119.0	[12.128834, 10.826309]	[79, 91]	[12.132883, 13.223235]	[79, 91]	[12693802, 12693814]	[12693802, 12693814]
658_10218	chr12	120474610	120475010	+	1000	119.0	[11.371393]	[139]	[14.169626]	[139]	[120474837]	[120474837]
658_10224	chr15	82677722	82678122	+	1000	119.0	[6.876749]	[80]	[]	[]	[82677901]	[]
658_10227	chr16	34595026	34595426	+	1000	119.0	[6.2821555]	[53]	[]	[]	[34595178]	[]
658_1023	chr10	73517419	73517819	+	1000	368.0	[6.850379, 14.169626]	[86, 110]	[11.371393]	[110]	[73517605, 73517629]	[73517629]
658_10230	chr17	29710940	29711340	+	1000	119.0	[8.883204]	[106]	[7.997545, 6.765775]	[55, 106]	[29711144]	[29711093, 29711144]
658_10234	chr17	62963334	62963734	+	1000	119.0	[8.539239, 9.107981, 7.142337]	[54, 85, 95]	[10.535975]	[85]	[62963485, 62963516, 62963526]	[62963516]
658_10237	chr19	18660242	18660642	+	1000	119.0	[7.6741476, 13.200696]	[74, 91]	[12.340323]	[91]	[18660410, 18660427]	[18660427]
658_10239	chr19	42206745	42207145	+	1000	119.0	[9.107981]	[103]	[10.535975]	[103]	[42206936]	[42206936]
658_1024	chr17	6998900	6999300	+	1000	368.0	[15.887955]	[108]	[14.058652]	[108]	[6999104]	[6999104]
658_10242	chr2	99180943	99181343	+	1000	119.0	[6.7168727]	[97]	[]	[]	[99181127]	[]
658_10244	chr2	161123221	161123621	+	1000	119.0	[11.393932, 12.132883]	[108, 125]	[12.655612, 12.128834]	[108, 125]	[161123412, 161123429]	[161123412, 161123429]
658_10246	chr2	197453668	197454068	+	1000	119.0	[10.410505]	[142]	[9.445623]	[142]	[197453889]	[197453889]
658_10247	chr2	241892641	241893041	+	1000	119.0	[8.706673]	[143]	[10.9372835]	[143]	[241892862]	[241892862]
658_10248	chr20	1300936	1301336	+	1000	119.0	[9.653064]	[100]	[11.482367]	[100]	[1301134]	[1301134]
658_1025	chr17	42319963	42320363	+	1000	368.0	[]	[]	[7.142337]	[135]	[]	[42320191]
658_10250	chr20	50980190	50980590	+	1000	119.0	[12.128834]	[108]	[12.132883]	[108]	[50980386]	[50980386]
658_10252	chr21	34526805	34527205	+	1000	119.0	[7.0539017]	[105]	[8.595078]	[105]	[34527008]	[34527008]
658_10266	chr3	50590831	50591231	+	1000	119.0	[]	[]	[6.876749]	[93]	[]	[50591012]
658_10268	chr3	126258593	126258993	+	1000	119.0	[14.169626]	[103]	[11.371393]	[103]	[126258788]	[126258788]
658_10269	chr3	129195686	129196086	+	1000	119.0	[10.535975]	[143]	[9.107981]	[143]	[129195903]	[129195903]
658_10272	chr4	151324736	151325136	+	1000	119.0	[13.223235, 8.680293]	[90, 105]	[10.826309, 10.575411]	[90, 105]	[151324924, 151324939]	[151324924, 151324939]
658_10274	chr5	76657943	76658343	+	1000	119.0	[]	[]	[8.230886, 6.2084436]	[105, 137]	[]	[76658144, 76658176]
658_10277	chr6	2765215	2765615	+	1000	119.0	[6.7912354]	[186]	[7.261956]	[186]	[2765465]	[2765465]
658_10278	chr6	3363296	3363696	+	1000	119.0	[14.058652]	[96]	[15.887955]	[96]	[3363490]	[3363490]
658_10280	chr6	15994794	15995194	+	1000	119.0	[7.367908]	[144]	[]	[]	[15995026]	[]
658_10299	chr7	106870979	106871379	+	1000	119.0	[15.887955]	[109]	[14.058652]	[109]	[106871181]	[106871181]
658_10301	chr8	61767094	61767494	+	1000	119.0	[10.109092]	[93]	[7.031363]	[93]	[61767279]	[61767279]
658_10302	chr8	101003548	101003948	+	1000	119.0	[11.547925]	[113]	[9.998118]	[113]	[101003749]	[101003749]
658_10305	chr8	123635246	123635646	+	1000	119.0	[10.9372835, 13.200696]	[60, 82]	[8.706673, 12.340323]	[60, 82]	[123635400, 123635422]	[123635400, 123635422]
658_1031	chr17	45320900	45321300	+	1000	367.0	[14.058652]	[87]	[6.650379, 15.887955]	[58, 87]	[45321084]	[45321055, 45321084]
658_10315	chr1	26036501	26036901	+	1000	118.0	[12.655612]	[123]	[11.393932]	[123]	[26036712]	[26036712]
658_10320	chr1	87473337	87473737	+	1000	118.0	[10.9372835]	[86]	[8.706673]	[86]	[87473522]	[87473522]
658_1033	chr19	33101123	33101523	+	1000	367.0	[6.9437904]	[91]	[6.876749, 9.105232]	[83, 91]	[33101310]	[33101302, 33101310]
658_10345	chr12	50025387	50025787	+	1000	118.0	[8.2770405]	[161]	[]	[]	[50025636]	[]
658_10346	chr12	56337678	56338078	+	1000	118.0	[]	[]	[6.850379]	[149]	[]	[56337927]
658_10350	chr14	49962626	49963026	+	1000	118.0	[11.482367]	[91]	[9.653064]	[91]	[49962812]	[49962812]
658_10351	chr14	72608325	72608725	+	1000	118.0	[12.655612, 12.340323, 9.468163]	[67, 144, 155]	[11.393932, 13.200696, 8.896491]	[67, 144, 155]	[72608480, 72608557, 72608568]	[72608480, 72608557, 72608568]
658_10363	chr17	58534834	58535234	+	1000	118.0	[11.371393]	[110]	[14.169626]	[110]	[58535040]	[58535040]
658_10377	chr2	68918495	68918895	+	1000	118.0	[10.826309]	[110]	[6.38505, 13.223235]	[98, 110]	[68918692]	[68918680, 68918692]
658_10383	chr20	48120145	48120545	+	1000	118.0	[10.9372835]	[119]	[8.706673]	[119]	[48120363]	[48120363]
658_10393	chr3	49500974	49501374	+	1000	118.0	[7.0539017]	[73]	[8.595078]	[73]	[49501143]	[49501143]
658_10398	chr3	191328646	191329046	+	1000	118.0	[12.655612]	[105]	[11.393932]	[105]	[191328850]	[191328850]
658_1040	chr17	45977145	45977545	+	1000	366.0	[13.223235]	[95]	[10.826309]	[95]	[45977336]	[45977336]
658_10409	chr5	119036119	119036519	+	1000	118.0	[9.608511, 10.575411, 10.826309, 14.058652]	[69, 78, 99, 124]	[12.337575, 8.680293, 13.223235, 15.887955]	[69, 78, 99, 124]	[119036281, 119036290, 119036311, 119036336]	[119036281, 119036290, 119036311, 119036336]
658_10418	chr6	47238458	47238858	+	1000	118.0	[8.706673]	[123]	[10.9372835]	[123]	[47238675]	[47238675]
658_1044	chr22	27718155	27718555	+	1000	366.0	[14.169626]	[105]	[11.371393]	[105]	[27718360]	[27718360]
658_10445	chr1	101371201	101371601	+	1000	117.0	[14.058652]	[138]	[15.887955]	[138]	[101371428]	[101371428]
658_10446	chr1	154616889	154617289	+	1000	117.0	[13.223235]	[102]	[10.826309]	[102]	[154617078]	[154617078]
658_10447	chr1	165482142	165482542	+	1000	117.0	[13.200696]	[102]	[12.340323]	[102]	[165482340]	[165482340]
658_1045	chr5	38807598	38807998	+	1000	366.0	[13.200696]	[110]	[12.340323]	[110]	[38807798]	[38807798]
658_10451	chr10	5659826	5660226	+	1000	117.0	[14.169626, 6.60213]	[102, 109]	[11.371393]	[102]	[5660017, 5660024]	[5660017]
658_10464	chr12	70831580	70831980	+	1000	117.0	[13.223235]	[115]	[10.826309]	[115]	[70831787]	[70831787]
658_10468	chr15	56929373	56929773	+	1000	117.0	[12.340323]	[89]	[13.200696]	[89]	[56929560]	[56929560]
658_10469	chr15	67081069	67081469	+	1000	117.0	[6.235381]	[71]	[]	[]	[67081235]	[]
658_10472	chr15	81099086	81099486	+	1000	117.0	[6.3923345]	[105]	[7.3954625]	[105]	[81099266]	[81099266]
658_10473	chr16	4943306	4943706	+	1000	117.0	[14.169626]	[101]	[11.371393]	[101]	[4943499]	[4943499]
658_10483	chr17	54864525	54864925	+	1000	117.0	[12.655612]	[95]	[11.393932]	[95]	[54864709]	[54864709]
658_10496	chr2	15640196	15640596	+	1000	117.0	[13.200696]	[127]	[12.340323]	[127]	[15640413]	[15640413]
658_105	chr4	6916598	6916998	+	1000	560.0	[15.887955]	[100]	[14.058652]	[100]	[6916795]	[6916795]
658_10502	chr2	204407668	204408068	+	1000	117.0	[10.414554]	[136]	[9.441575]	[136]	[204407891]	[204407891]
658_10506	chr20	49219186	49219586	+	1000	117.0	[8.620539]	[87]	[]	[]	[49219349]	[]
658_10507	chr21	41958052	41958452	+	1000	117.0	[7.0539017]	[114]	[8.595078]	[114]	[41958262]	[41958262]
658_10514	chr3	106130763	106131163	+	1000	117.0	[11.547925]	[71]	[9.998118]	[71]	[106130924]	[106130924]
658_1052	chr1	212030932	212031332	+	1000	365.0	[11.371393]	[98]	[14.169626]	[98]	[212031128]	[212031128]
658_10522	chr4	147684025	147684425	+	1000	117.0	[8.620539]	[70]	[]	[]	[147684186]	[]
658_1054	chr14	101972376	101972776	+	1000	365.0	[14.169626]	[112]	[11.371393]	[112]	[101972578]	[101972578]
658_10541	chr6	129490458	129490858	+	1000	117.0	[9.653064]	[112]	[11.482367]	[112]	[129490654]	[129490654]
658_10551	chr8	101138334	101138734	+	1000	117.0	[]	[]	[6.707188, 6.1959457, 6.2821555]	[71, 102, 167]	[]	[101138489, 101138520, 101138585]
658_10552	chr8	109064045	109064445	+	1000	117.0	[13.200696]	[102]	[12.340323]	[102]	[109064243]	[109064243]
658_10554	chr9	100126442	100126842	+	1000	117.0	[15.887955]	[121]	[14.058652]	[121]	[100126652]	[100126652]
658_10556	chr9	125473215	125473615	+	1000	117.0	[7.890182]	[105]	[9.650316]	[105]	[125473414]	[125473414]
658_10559	chrX	132004675	132005075	+	1000	117.0	[14.058652]	[111]	[15.887955]	[111]	[132004878]	[132004878]
658_1056	chr17	81912726	81913126	+	1000	365.0	[11.371393]	[125]	[14.169626]	[125]	[81912941]	[81912941]
658_10560	chr1	8182398	8182798	+	1000	116.0	[14.169626]	[83]	[11.371393]	[83]	[8182575]	[8182575]
658_10561	chr1	21687773	21688173	+	1000	116.0	[7.2844954]	[112]	[]	[]	[21687980]	[]
658_10571	chr1	109617294	109617694	+	1000	116.0	[13.200696]	[87]	[12.340323]	[87]	[109617479]	[109617479]
658_10581	chr1	198121034	198121434	+	1000	116.0	[11.371393]	[134]	[14.169626]	[134]	[198121249]	[198121249]
658_10584	chr1	202825755	202826155	+	1000	116.0	[14.058652]	[108]	[15.887955]	[108]	[202825961]	[202825961]
658_10593	chr10	95394052	95394452	+	1000	116.0	[12.655612, 8.706673]	[107, 121]	[11.393932, 10.9372835]	[107, 121]	[95394251, 95394265]	[95394251, 95394265]
658_10594	chr10	97542127	97542527	+	1000	116.0	[9.653064, 10.826309]	[122, 141]	[11.482367, 13.223235]	[122, 141]	[97542338, 97542357]	[97542338, 97542357]
658_10595	chr11	10454857	10455257	+	1000	116.0	[10.9372835]	[131]	[8.706673]	[131]	[10455078]	[10455078]
658_10599	chr11	82927250	82927650	+	1000	116.0	[9.653064]	[85]	[11.482367]	[85]	[82927431]	[82927431]
658_106	chr10	17228334	17228734	+	1000	559.0	[9.653064, 6.876749]	[102, 116]	[11.482367]	[102]	[17228525, 17228539]	[17228525]
658_1060	chr3	14125752	14126152	+	1000	365.0	[11.482367]	[103]	[9.653064]	[103]	[14125952]	[14125952]
658_10604	chr12	120720593	120720993	+	1000	116.0	[10.826309]	[105]	[13.223235]	[105]	[120720792]	[120720792]
658_10609	chr13	24911046	24911446	+	1000	116.0	[11.371393]	[92]	[14.169626]	[92]	[24911235]	[24911235]
658_10618	chr15	101455571	101455971	+	1000	116.0	[9.719484]	[88]	[7.821013, 7.2844954]	[88, 132]	[101455755]	[101455755, 101455799]
658_1062	chr6	132964159	132964559	+	1000	365.0	[9.719484]	[77]	[7.821013]	[77]	[132964335]	[132964335]
658_10624	chr17	31489672	31490072	+	1000	116.0	[8.595078]	[105]	[7.0539017]	[105]	[31489871]	[31489871]
658_10631	chr18	25298932	25299332	+	1000	116.0	[13.223235]	[124]	[10.826309]	[124]	[25299140]	[25299140]
658_10637	chr19	29662557	29662957	+	1000	116.0	[8.773093, 8.706673]	[88, 110]	[7.2759295, 10.9372835]	[88, 110]	[29662742, 29662764]	[29662742, 29662764]
658_1066	chr16	16022042	16022442	+	1000	364.0	[8.706673, 12.655612]	[72, 122]	[10.9372835, 11.393932]	[72, 122]	[16022209, 16022259]	[16022209, 16022259]
658_10660	chr3	149576219	149576619	+	1000	116.0	[7.4997025, 11.393932]	[66, 98]	[12.655612]	[98]	[149576381, 149576413]	[149576413]
658_10661	chr3	157128288	157128688	+	1000	116.0	[11.393932]	[121]	[12.655612]	[121]	[157128498]	[157128498]
658_1067	chr2	135741382	135741782	+	1000	364.0	[7.261956, 8.000293]	[79, 115]	[6.7912354, 9.1401615]	[79, 115]	[135741561, 135741597]	[135741561, 135741597]
658_10678	chr6	34969586	34969986	+	1000	116.0	[10.826309]	[122]	[13.223235]	[122]	[34969789]	[34969789]
658_1068	chr2	205025068	205025468	+	1000	364.0	[6.4862795, 14.169626, 7.7272944]	[56, 95, 111]	[9.162701, 11.371393, 7.723246]	[56, 95, 111]	[205025223, 205025262, 205025278]	[205025223, 205025262, 205025278]
658_10683	chr6	43838657	43839057	+	1000	116.0	[9.464114]	[91]	[8.90054]	[91]	[43838836]	[43838836]
658_10686	chr6	129490927	129491327	+	1000	116.0	[10.109092, 11.827421]	[110, 123]	[7.031363, 9.718622]	[110, 123]	[129491117, 129491130]	[129491117, 129491130]
658_10688	chr6	156988155	156988555	+	1000	116.0	[11.482367]	[86]	[9.653064]	[86]	[156988337]	[156988337]
658_1069	chr4	73222954	73223354	+	1000	364.0	[11.482367]	[144]	[9.653064]	[144]	[73223188]	[73223188]
658_107	chr2	12176972	12177372	+	1000	559.0	[12.340323]	[99]	[8.221637, 13.200696]	[85, 99]	[12177166]	[12177152, 12177166]
658_10709	chr9	70418821	70419221	+	1000	116.0	[7.723246]	[185]	[7.7272944]	[185]	[70419064]	[70419064]
658_10716	chrX	152072223	152072623	+	1000	116.0	[14.058652]	[101]	[15.887955]	[101]	[152072403]	[152072403]
658_10724	chr1	37534472	37534872	+	1000	115.0	[14.058652]	[123]	[15.887955]	[123]	[37534676]	[37534676]
658_10726	chr1	94648201	94648601	+	1000	115.0	[8.16159]	[114]	[9.990892]	[114]	[94648412]	[94648412]
658_1073	chrX	154799044	154799444	+	1000	364.0	[8.595078, 8.595078]	[80, 123]	[7.0539017, 8.364392, 7.0539017]	[80, 86, 123]	[154799215, 154799258]	[154799215, 154799221, 154799258]
658_10734	chr1	209627626	209628026	+	1000	115.0	[9.990892]	[80]	[8.16159]	[80]	[209627791]	[209627791]
658_10739	chr10	21030115	21030515	+	1000	115.0	[12.340323]	[105]	[13.200696]	[105]	[21030315]	[21030315]
658_10746	chr10	73815988	73816388	+	1000	115.0	[8.90054]	[94]	[9.464114]	[94]	[73816174]	[73816174]
658_10758	chr12	74292574	74292974	+	1000	115.0	[8.706673]	[162]	[10.9372835]	[162]	[74292798]	[74292798]
658_10763	chr15	39171987	39172387	+	1000	115.0	[10.9372835]	[111]	[8.706673]	[111]	[39172182]	[39172182]
658_10776	chr17	29664911	29665311	+	1000	115.0	[11.482367]	[122]	[9.653064]	[122]	[29665116]	[29665116]
658_10779	chr17	57868069	57868469	+	1000	115.0	[12.340323]	[96]	[13.200696]	[96]	[57868262]	[57868262]
658_1079	chr15	84914947	84915347	+	1000	363.0	[]	[]	[8.318899]	[145]	[]	[84915187]
658_10800	chr2	200864490	200864890	+	1000	115.0	[7.106525]	[118]	[]	[]	[200864702]	[]
658_10810	chr22	23182636	23183036	+	1000	115.0	[10.9372835]	[148]	[8.706673]	[148]	[23182854]	[23182854]
658_10813	chr3	168157284	168157684	+	1000	115.0	[8.446094]	[159]	[6.3186293]	[159]	[168157516]	[168157516]
658_1082	chr17	80833065	80833465	+	1000	363.0	[14.169626]	[96]	[11.371393]	[96]	[80833260]	[80833260]
658_10820	chr4	128338631	128339031	+	1000	115.0	[8.706673]	[78]	[10.9372835]	[78]	[128338807]	[128338807]
658_10825	chr5	136729992	136730392	+	1000	115.0	[6.3540196, 11.482367]	[87, 136]	[9.653064, 6.495161]	[136, 167]	[136730158, 136730207]	[136730207, 136730238]
658_10827	chr5	164487913	164488313	+	1000	115.0	[11.371393, 10.082722]	[117, 149]	[14.169626, 8.110663]	[117, 149]	[164488122, 164488154]	[164488122, 164488154]
658_10830	chr6	8083326	8083726	+	1000	115.0	[9.653064]	[108]	[11.482367]	[108]	[8083514]	[8083514]
658_10833	chr6	25918285	25918685	+	1000	115.0	[11.482367]	[95]	[9.653064]	[95]	[25918478]	[25918478]
658_10844	chr7	43104813	43105213	+	1000	115.0	[6.876749]	[131]	[]	[]	[43105013]	[]
658_1085	chr21	30227741	30228141	+	1000	363.0	[14.169626]	[97]	[11.371393]	[97]	[30227938]	[30227938]
658_10850	chr7	133481656	133482056	+	1000	115.0	[14.169626]	[98]	[11.371393]	[98]	[133481852]	[133481852]
658_10851	chr7	139243006	139243406	+	1000	115.0	[12.655612, 8.706673]	[87, 110]	[11.393932, 10.9372835]	[87, 110]	[139243192, 139243215]	[139243192, 139243215]
658_10852	chr8	21909517	21909917	+	1000	115.0	[12.340323]	[111]	[13.200696]	[111]	[21909718]	[21909718]
658_10855	chr8	97951813	97952213	+	1000	115.0	[15.887955]	[101]	[14.058652]	[101]	[97952002]	[97952002]
658_10876	chr1	159282079	159282479	+	1000	114.0	[13.200696, 8.428265]	[114, 142]	[12.340323, 10.182369]	[114, 142]	[159282290, 159282318]	[159282290, 159282318]
658_10882	chr1	246577714	246578114	+	1000	114.0	[7.5336895]	[70]	[]	[]	[246577881]	[]
658_10883	chr10	5317632	5318032	+	1000	114.0	[11.547925, 13.223235]	[80, 143]	[9.998118, 6.526481, 10.826309]	[80, 113, 143]	[5317803, 5317866]	[5317803, 5317836, 5317866]
658_10889	chr10	48497198	48497598	+	1000	114.0	[13.200696]	[124]	[12.340323]	[124]	[48497407]	[48497407]
658_10894	chr10	113093475	113093875	+	1000	114.0	[10.9372835, 14.058652]	[77, 111]	[8.706673, 15.887955]	[77, 111]	[113093648, 113093682]	[113093648, 113093682]
658_10895	chr10	118482829	118483229	+	1000	114.0	[6.332342]	[86]	[]	[]	[118483012]	[]
658_10903	chr12	42426734	42427134	+	1000	114.0	[7.0539017]	[116]	[8.595078]	[116]	[42426949]	[42426949]
658_10911	chr14	100871591	100871991	+	1000	114.0	[8.335119]	[234]	[10.835192]	[234]	[100871841]	[100871841]
658_10912	chr14	101073211	101073611	+	1000	114.0	[11.482367]	[135]	[9.653064]	[135]	[101073441]	[101073441]
658_10918	chr15	95018899	95019299	+	1000	114.0	[10.826309]	[112]	[13.223235]	[112]	[95019102]	[95019102]
658_10920	chr16	11094098	11094498	+	1000	114.0	[10.826309, 9.105232]	[103, 125]	[13.223235, 6.9437904]	[103, 125]	[11094275, 11094297]	[11094275, 11094297]
658_10923	chr17	12089803	12090203	+	1000	114.0	[15.887955]	[101]	[14.058652]	[101]	[12089996]	[12089996]
658_10928	chr17	54891161	54891561	+	1000	114.0	[12.128834]	[94]	[12.132883]	[94]	[54891350]	[54891350]
658_10929	chr17	59754550	59754950	+	1000	114.0	[15.887955]	[119]	[14.058652]	[119]	[59754761]	[59754761]
658_10934	chr19	3177163	3177563	+	1000	114.0	[8.706673]	[105]	[10.9372835]	[105]	[3177364]	[3177364]
658_1094	chr17	76562726	76563126	+	1000	362.0	[14.058652]	[92]	[15.887955]	[92]	[76562915]	[76562915]
658_10942	chr2	12555162	12555562	+	1000	114.0	[14.169626]	[118]	[11.371393]	[118]	[12555372]	[12555372]
658_10944	chr2	27582747	27583147	+	1000	114.0	[14.169626]	[126]	[11.371393]	[126]	[27582939]	[27582939]
658_10994	chr6	143328792	143329192	+	1000	114.0	[14.058652]	[104]	[15.887955]	[104]	[143328995]	[143328995]
658_110	chr21	46188361	46188761	+	1000	558.0	[14.058652]	[102]	[15.887955]	[102]	[46188563]	[46188563]
658_11006	chr7	129423717	129424117	+	1000	114.0	[7.592848]	[137]	[]	[]	[129423938]	[]
658_11008	chr7	155296815	155297215	+	1000	114.0	[11.482367]	[110]	[9.653064]	[110]	[155297022]	[155297022]
658_11010	chr8	105364854	105365254	+	1000	114.0	[8.860666]	[93]	[8.279789]	[93]	[105365044]	[105365044]
658_11013	chr8	141265424	141265824	+	1000	114.0	[6.327649]	[57]	[6.1808453, 6.7168727]	[57, 93]	[141265576]	[141265576, 141265612]
658_11014	chr9	6896553	6896953	+	1000	114.0	[12.340323]	[130]	[13.200696]	[130]	[6896779]	[6896779]
658_11025	chr1	1344794	1345194	+	1000	113.0	[10.535975, 10.535975, 10.535975]	[62, 102, 140]	[9.107981, 9.107981, 9.107981]	[62, 102, 140]	[1344949, 1344989, 1345027]	[1344949, 1344989, 1345027]
658_1103	chr18	8730344	8730744	+	1000	361.0	[12.340323]	[86]	[13.200696]	[86]	[8730523]	[8730523]
658_11041	chr1	55474117	55474517	+	1000	113.0	[9.468163]	[115]	[8.896491]	[115]	[55474321]	[55474321]
658_11043	chr1	109425897	109426297	+	1000	113.0	[10.9372835]	[113]	[8.706673]	[113]	[109426098]	[109426098]
658_11044	chr1	113042634	113043034	+	1000	113.0	[7.592848]	[89]	[]	[]	[113042821]	[]
