#PeakID(python identify_motif.py ./ENCODE_processed_files/RREB1_idr.fa RREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
874_10089	chr9	136992319	136992719	+	816	38.0	[]	[]	[6.582454]	[141]	[]	[136992559]
874_1009	chr1	224183177	224183577	+	1000	69.5	[5.289261]	[172]	[]	[]	[224183377]	[]
874_10090	chrUn_GL000224v1	22159	22559	+	938	38.0	[]	[]	[4.357198, 4.27081, 1.8128216, 4.713741]	[87, 90, 95, 135]	[]	[22342, 22345, 22350, 22390]
874_10091	chrUn_KI270411v1	478	878	+	708	38.0	[6.392602]	[109]	[]	[]	[685]	[]
874_10096	chrX	154428537	154428937	+	1000	38.0	[]	[]	[2.7870793]	[155]	[]	[154428778]
874_10118	chr1	46173377	46173777	+	1000	37.5	[]	[]	[4.890142]	[174]	[]	[46173623]
874_10120	chr1	52697877	52698277	+	1000	37.5	[1.8453299]	[136]	[]	[]	[52698072]	[]
874_10131	chr1	156054773	156055173	+	773	37.5	[]	[]	[7.7455053]	[159]	[]	[156055018]
874_10133	chr1	156816769	156817169	+	1000	37.5	[2.1115198, 3.8516605]	[245, 247]	[]	[]	[156817017, 156817019]	[]
874_1014	chr19	32686835	32687235	+	1000	69.5	[2.7537928]	[76]	[]	[]	[32686986]	[]
874_10146	chr1	219088863	219089263	+	1000	37.5	[4.1498246, 2.7870793, 2.5359976, 3.5489657, 9.849472, 2.8292027]	[111, 114, 115, 116, 117, 122]	[]	[]	[219089024, 219089027, 219089028, 219089029, 219089030, 219089035]	[]
874_10156	chr1	244273132	244273532	+	1000	37.5	[]	[]	[5.15043]	[124]	[]	[244273335]
874_10170	chr10	79114260	79114660	+	1000	37.5	[]	[]	[3.0929234, 2.1186657, 2.5208895, 7.3422284, 4.007244, 7.3422284, 2.1186657, 4.007244, 2.1186657, 7.3422284, 2.1186657, 4.007244, 5.45365, 7.3422284, 7.3422284]	[96, 108, 110, 120, 122, 124, 128, 132, 134, 136, 140, 144, 146, 148, 150]	[]	[79114455, 79114467, 79114469, 79114479, 79114481, 79114483, 79114487, 79114491, 79114493, 79114495, 79114499, 79114503, 79114505, 79114507, 79114509]
874_10176	chr11	3797176	3797576	+	1000	37.5	[]	[]	[5.405149]	[142]	[]	[3797401]
874_10181	chr11	60841739	60842139	+	1000	37.5	[4.0856524, 5.807415, 1.7216073, 13.610381]	[194, 199, 224, 226]	[]	[]	[60841951, 60841956, 60841981, 60841983]	[]
874_10208	chr12	62248779	62249179	+	1000	37.5	[1.9763261, 3.9877362, 2.4366748]	[162, 164, 166]	[]	[]	[62249025, 62249027, 62249029]	[]
874_10209	chr12	69470290	69470690	+	887	37.5	[]	[]	[2.6910658]	[101]	[]	[69470466]
874_1021	chr22	20456350	20456750	+	1000	69.5	[1.8477571, 2.3530145, 1.729489]	[140, 142, 161]	[]	[]	[20456523, 20456525, 20456544]	[]
874_10210	chr12	93938390	93938790	+	1000	37.5	[1.9639636, 1.7446017, 4.8647795, 7.6208844, 2.01514]	[101, 102, 103, 107, 112]	[]	[]	[93938563, 93938564, 93938565, 93938569, 93938574]	[]
874_10219	chr13	90734383	90734783	+	963	37.5	[]	[]	[3.3591135]	[87]	[]	[90734552]
874_10234	chr15	74434117	74434517	+	1000	37.5	[10.73228, 4.401225, 4.495598]	[112, 113, 115]	[]	[]	[74434284, 74434285, 74434287]	[]
874_10270	chr17	47229708	47230108	+	1000	37.5	[]	[]	[1.6767458, 3.0962837]	[130, 133]	[]	[47229885, 47229888]
874_10278	chr17	81349820	81350220	+	1000	37.5	[]	[]	[1.9763261]	[136]	[]	[81350021]
874_10283	chr19	1445104	1445504	+	1000	37.5	[1.6793702]	[115]	[]	[]	[1445305]	[]
874_10286	chr19	2740032	2740432	+	1000	37.5	[3.0507283]	[93]	[]	[]	[2740206]	[]
874_10290	chr19	7069442	7069842	+	1000	37.5	[]	[]	[1.9954641]	[116]	[]	[7069655]
874_10303	chr19	47242821	47243221	+	1000	37.5	[]	[]	[3.4186544, 4.033833, 3.326605, 7.3422284, 7.3422284, 4.007244, 4.007244]	[176, 208, 214, 215, 217, 219, 221]	[]	[47243001, 47243033, 47243039, 47243040, 47243042, 47243044, 47243046]
874_10309	chr19	49409636	49410036	+	1000	37.5	[]	[]	[8.685466, 1.6574349]	[93, 98]	[]	[49409789, 49409794]
874_10322	chr2	41853777	41854177	+	1000	37.5	[]	[]	[1.7249256]	[166]	[]	[41853960]
874_1033	chr1	28648488	28648888	+	1000	69.0	[]	[]	[2.184711]	[129]	[]	[28648706]
874_10338	chr2	157934761	157935161	+	876	37.5	[1.8803124, 5.954189, 1.8128216, 2.841738, 7.388963]	[126, 129, 134, 136, 137]	[]	[]	[157934926, 157934929, 157934934, 157934936, 157934937]	[]
874_10344	chr2	231666372	231666772	+	1000	37.5	[2.526311]	[200]	[]	[]	[231666586]	[]
874_10346	chr20	25237775	25238175	+	1000	37.5	[]	[]	[3.1893454]	[127]	[]	[25237981]
874_1035	chr1	124514006	124514406	+	1000	69.0	[]	[]	[2.772698, 4.8420653, 3.1017702, 4.0521326]	[119, 121, 123, 124]	[]	[124514224, 124514226, 124514228, 124514229]
874_10352	chr20	50071343	50071743	+	1000	37.5	[]	[]	[6.7008734]	[166]	[]	[50071533]
874_10353	chr21	14673547	14673947	+	1000	37.5	[]	[]	[4.4360566]	[109]	[]	[14673706]
874_10356	chr21	43860638	43861038	+	1000	37.5	[]	[]	[3.4819448, 4.741901, 2.702865]	[223, 225, 226]	[]	[43860880, 43860882, 43860883]
874_10366	chr22	19736398	19736798	+	1000	37.5	[3.8439806]	[193]	[]	[]	[19736619]	[]
874_10380	chr22	21676757	21677157	+	1000	37.5	[8.337582]	[186]	[]	[]	[21676987]	[]
874_10381	chr22	21689001	21689401	+	1000	37.5	[]	[]	[8.116384, 1.9606545, 3.1237056, 2.3565006]	[78, 80, 82, 88]	[]	[21689163, 21689165, 21689167, 21689173]
874_10382	chr22	21731462	21731862	+	1000	37.5	[]	[]	[2.921542]	[98]	[]	[21731660]
874_10386	chr22	21899266	21899666	+	1000	37.5	[]	[]	[2.466446]	[109]	[]	[21899463]
874_10391	chr22	22584829	22585229	+	1000	37.5	[]	[]	[7.3422284, 7.3422284, 7.3422284, 7.3422284]	[186, 188, 190, 192]	[]	[22585063, 22585065, 22585067, 22585069]
874_10394	chr3	3191980	3192380	+	970	37.5	[3.227386, 2.3524601]	[71, 81]	[]	[]	[3192147, 3192157]	[]
874_10397	chr3	38151065	38151465	+	1000	37.5	[]	[]	[5.199667, 1.6229693]	[84, 86]	[]	[38151219, 38151221]
874_10409	chr3	184711039	184711439	+	1000	37.5	[7.138341, 2.1852653]	[96, 97]	[]	[]	[184711230, 184711231]	[]
874_1041	chr16	81481340	81481740	+	1000	69.0	[]	[]	[2.471601, 5.24681]	[110, 168]	[]	[81481526, 81481584]
874_10410	chr3	195353063	195353463	+	1000	37.5	[3.6331804, 5.2216024]	[110, 111]	[]	[]	[195353258, 195353259]	[]
874_10415	chr4	15002882	15003282	+	1000	37.5	[3.6834283, 4.1498246]	[130, 169]	[]	[]	[15003067, 15003106]	[]
874_10438	chr5	150764065	150764465	+	1000	37.5	[7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 3.326605, 7.914263]	[53, 55, 57, 59, 61, 63, 65, 66, 67]	[]	[]	[150764216, 150764218, 150764220, 150764222, 150764224, 150764226, 150764228, 150764229, 150764230]	[]
874_10443	chr5	177113884	177114284	+	1000	37.5	[2.1705267, 3.228802]	[139, 150]	[]	[]	[177114106, 177114117]	[]
874_10456	chr6	35469501	35469901	+	1000	37.5	[]	[]	[5.305817, 12.190824, 5.4568553, 3.6096318]	[169, 179, 180, 184]	[]	[35469672, 35469682, 35469683, 35469687]
874_10461	chr6	43702489	43702889	+	923	37.5	[]	[]	[1.834757, 10.362564, 6.511967, 2.1950033, 2.7870793, 1.7610642, 3.326605, 8.725016, 7.8746085, 6.5515175, 5.959441, 5.2320204, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 5.959441, 5.959441]	[103, 105, 109, 111, 114, 126, 127, 128, 131, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150, 152]	[]	[43702689, 43702691, 43702695, 43702697, 43702700, 43702712, 43702713, 43702714, 43702717, 43702718, 43702720, 43702722, 43702724, 43702726, 43702728, 43702730, 43702732, 43702734, 43702736, 43702738]
874_10462	chr6	43924122	43924522	+	1000	37.5	[4.4360566, 2.0701647, 7.473052]	[165, 169, 170]	[]	[]	[43924308, 43924312, 43924313]	[]
874_10463	chr6	44068549	44068949	+	1000	37.5	[8.187426]	[131]	[]	[]	[44068769]	[]
874_10468	chr6	85642987	85643387	+	819	37.5	[2.3521323]	[165]	[]	[]	[85643165]	[]
874_10472	chr6	136334159	136334559	+	1000	37.5	[]	[]	[2.5875401]	[185]	[]	[136334347]
874_10475	chr6	137155728	137156128	+	1000	37.5	[]	[]	[1.8128216, 4.9280696, 5.592049, 2.6044147]	[83, 91, 92, 98]	[]	[137155900, 137155908, 137155909, 137155915]
874_10479	chr6	150333325	150333725	+	996	37.5	[]	[]	[6.5305934]	[199]	[]	[150333563]
874_10481	chr7	725606	726006	+	1000	37.5	[14.838664, 2.3329945, 3.0409071, 5.3504815]	[216, 217, 218, 221]	[]	[]	[725844, 725845, 725846, 725849]	[]
874_1049	chr22	23156733	23157133	+	1000	69.0	[]	[]	[3.461799]	[212]	[]	[23156946]
874_10490	chr7	100125550	100125950	+	1000	37.5	[]	[]	[4.0856524]	[68]	[]	[100125712]
874_10502	chr7	152459880	152460280	+	1000	37.5	[7.0393367]	[215]	[]	[]	[152460119]	[]
874_10506	chr8	10775709	10776109	+	978	37.5	[3.0753083]	[170]	[]	[]	[10775954]	[]
874_10508	chr8	133297411	133297811	+	1000	37.5	[]	[]	[3.2801514]	[143]	[]	[133297577]
874_10526	chrUn_GL000224v1	13305	13705	+	880	37.5	[]	[]	[2.1186657, 2.1186657, 4.007244, 4.007244, 5.45365, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 5.959441, 5.959441, 8.132939, 3.326605, 8.725016, 7.8746085, 6.5515175, 2.624457, 7.0363846, 8.050141, 3.057618]	[105, 109, 113, 127, 129, 131, 133, 135, 137, 139, 141, 143, 144, 145, 148, 149, 151, 153, 155, 157]	[]	[13488, 13492, 13496, 13510, 13512, 13514, 13516, 13518, 13520, 13522, 13524, 13526, 13527, 13528, 13531, 13532, 13534, 13536, 13538, 13540]
874_10530	chr1	11719688	11720088	+	997	37.0	[]	[]	[4.003051]	[76]	[]	[11719853]
874_10536	chr1	26286931	26287331	+	1000	37.0	[6.8397975, 2.8927171]	[100, 103]	[]	[]	[26287131, 26287134]	[]
874_10539	chr1	30888380	30888780	+	1000	37.0	[2.8907597, 9.2617445, 8.840853, 7.7638054, 2.624457]	[70, 103, 105, 107, 109]	[]	[]	[30888532, 30888565, 30888567, 30888569, 30888571]	[]
874_10540	chr1	31476996	31477396	+	928	37.0	[]	[]	[4.1214695]	[167]	[]	[31477197]
874_10542	chr1	39689596	39689996	+	1000	37.0	[5.0152364, 2.5991845]	[122, 123]	[]	[]	[39689781, 39689782]	[]
874_10543	chr1	46198496	46198896	+	583	37.0	[2.269531]	[78]	[]	[]	[46198657]	[]
874_1055	chr9	131108490	131108890	+	1000	69.0	[5.5878043]	[124]	[]	[]	[131108654]	[]
874_10550	chr1	124158816	124159216	+	1000	37.0	[]	[]	[2.772698, 4.8420653]	[140, 142]	[]	[124159054, 124159056]
874_10551	chr1	145979705	145980105	+	1000	37.0	[]	[]	[7.827096, 3.9705424]	[214, 219]	[]	[145979949, 145979954]
874_10556	chr1	156755556	156755956	+	1000	37.0	[2.9050283, 2.9769318, 11.312945, 5.1478057]	[115, 116, 117, 126]	[]	[]	[156755738, 156755739, 156755740, 156755749]	[]
874_10562	chr1	168220525	168220925	+	741	37.0	[2.3530145]	[92]	[]	[]	[168220684]	[]
874_10563	chr1	184031539	184031939	+	1000	37.0	[]	[]	[5.806482, 5.7929916]	[124, 127]	[]	[184031751, 184031754]
874_10569	chr1	206508188	206508588	+	966	37.0	[7.3422284, 7.3422284, 2.1186657, 2.1186657]	[68, 70, 72, 74]	[4.495598, 13.455876, 3.3466473, 6.288922, 8.180452, 12.178357, 3.4099379, 5.5001035, 18.33166, 5.7555537, 12.905778, 8.062504, 1.9406123]	[92, 94, 95, 96, 97, 98, 99, 100, 101, 102, 105, 157, 162]	[206508339, 206508341, 206508343, 206508345]	[206508363, 206508365, 206508366, 206508367, 206508368, 206508369, 206508370, 206508371, 206508372, 206508373, 206508376, 206508428, 206508433]
874_10581	chr10	40131225	40131625	+	971	37.0	[]	[]	[2.9205308]	[76]	[]	[40131391]
874_10586	chr10	50586294	50586694	+	1000	37.0	[4.3597193]	[117]	[]	[]	[50586492]	[]
874_10596	chr11	33257226	33257626	+	1000	37.0	[3.98632, 2.3848555]	[135, 137]	[]	[]	[33257453, 33257455]	[]
874_10604	chr11	59550476	59550876	+	1000	37.0	[3.2286983, 4.3367248]	[201, 202]	[]	[]	[59550699, 59550700]	[]
874_10607	chr11	62646312	62646712	+	983	37.0	[]	[]	[5.5193677]	[179]	[]	[62646510]
874_10613	chr11	78050931	78051331	+	749	37.0	[]	[]	[2.3848555, 1.6583169, 2.2150455, 12.127533, 4.2245255, 4.4106984, 3.9031646, 13.326774]	[78, 79, 80, 83, 84, 143, 146, 154]	[]	[78051097, 78051098, 78051099, 78051102, 78051103, 78051162, 78051165, 78051173]
874_10615	chr11	86181051	86181451	+	960	37.0	[]	[]	[3.6834283]	[126]	[]	[86181236]
874_10619	chr12	643186	643586	+	819	37.0	[]	[]	[2.702865, 4.033833]	[98, 100]	[]	[643339, 643341]
874_10627	chr12	65666895	65667295	+	1000	37.0	[7.440656]	[220]	[]	[]	[65667131]	[]
874_10629	chr12	98515930	98516330	+	1000	37.0	[]	[]	[7.0066137]	[182]	[]	[98516175]
874_10632	chr12	113582537	113582937	+	1000	37.0	[7.1059365, 4.339677, 3.294941]	[163, 164, 177]	[]	[]	[113582748, 113582749, 113582762]	[]
874_10635	chr12	122097912	122098312	+	913	37.0	[]	[]	[3.058522, 4.9482155, 6.09218, 12.484201, 5.520146, 9.146593, 6.6623206, 11.521097, 10.487403, 1.96386, 5.0641456, 3.5460136]	[173, 207, 208, 209, 210, 211, 212, 213, 215, 216, 218, 220]	[]	[122098109, 122098143, 122098144, 122098145, 122098146, 122098147, 122098148, 122098149, 122098151, 122098152, 122098154, 122098156]
874_10637	chr12	132710479	132710879	+	1000	37.0	[3.0630395, 1.8823735]	[62, 63]	[]	[]	[132710630, 132710631]	[]
874_10639	chr13	75549146	75549546	+	1000	37.0	[2.2793949, 6.383642]	[85, 90]	[]	[]	[75549298, 75549303]	[]
874_10641	chr13	80659301	80659701	+	1000	37.0	[]	[]	[1.6978248]	[103]	[]	[80659477]
874_10644	chr13	92293854	92294254	+	956	37.0	[]	[]	[4.241039]	[125]	[]	[92294075]
874_10646	chr13	93340445	93340845	+	991	37.0	[]	[]	[5.623826]	[156]	[]	[93340687]
874_10650	chr13	107914493	107914893	+	1000	37.0	[]	[]	[4.430891]	[162]	[]	[107914720]
874_10656	chr15	27088749	27089149	+	658	37.0	[]	[]	[1.9542768]	[139]	[]	[27088941]
874_10662	chr15	80152927	80153327	+	974	37.0	[5.9234066]	[84]	[2.3337035]	[166]	[80153089]	[80153171]
874_10668	chr16	3159046	3159446	+	1000	37.0	[1.8764398]	[160]	[]	[]	[3159276]	[]
874_10670	chr16	11201800	11202200	+	1000	37.0	[2.0370753]	[206]	[]	[]	[11202023]	[]
874_10673	chr16	22298321	22298721	+	902	37.0	[2.3848555, 2.4504533]	[121, 125]	[]	[]	[22298509, 22298513]	[]
874_10683	chr16	85049132	85049532	+	1000	37.0	[]	[]	[4.086534]	[148]	[]	[85049365]
874_10686	chr16	85527959	85528359	+	1000	37.0	[2.1627758]	[152]	[7.4807315, 5.8040547]	[76, 78]	[85528204]	[85528128, 85528130]
874_10692	chr17	28552281	28552681	+	1000	37.0	[]	[]	[3.1113944, 7.929156, 4.833115]	[94, 96, 97]	[]	[28552464, 28552466, 28552467]
874_10698	chr17	45579647	45580047	+	953	37.0	[5.454058, 4.556461]	[164, 167]	[]	[]	[45579885, 45579888]	[]
874_10701	chr17	49515220	49515620	+	1000	37.0	[2.3848555]	[139]	[]	[]	[49515386]	[]
874_10703	chr17	56833016	56833416	+	1000	37.0	[]	[]	[4.7495804]	[77]	[]	[56833188]
874_10706	chr17_GL000205v2_random	59077	59477	+	1000	37.0	[3.838815]	[122]	[]	[]	[59250]	[]
874_10713	chr19	996378	996778	+	1000	37.0	[3.462681]	[97]	[]	[]	[996565]	[]
874_10714	chr19	1512645	1513045	+	974	37.0	[4.1498246]	[86]	[]	[]	[1512803]	[]
874_10721	chr19	10695742	10696142	+	897	37.0	[5.604515]	[176]	[]	[]	[10695979]	[]
874_10726	chr19	18203708	18204108	+	1000	37.0	[]	[]	[2.0271504]	[144]	[]	[18203941]
874_10727	chr19	18414527	18414927	+	846	37.0	[]	[]	[2.4883811, 3.9354959]	[83, 87]	[]	[18414704, 18414708]
874_10736	chr19	45770349	45770749	+	1000	37.0	[2.2179976, 3.4951892, 2.1853163]	[111, 112, 117]	[]	[]	[45770547, 45770548, 45770553]	[]
874_10741	chr19	50835640	50836040	+	781	37.0	[]	[]	[2.448146]	[219]	[]	[50835876]
874_10742	chr19	51365943	51366343	+	995	37.0	[]	[]	[5.592049]	[176]	[]	[51366142]
874_10745	chr2	28621236	28621636	+	908	37.0	[2.902231]	[113]	[]	[]	[28621427]	[]
874_10756	chr2	111120461	111120861	+	1000	37.0	[]	[]	[4.9957285, 2.1343372]	[87, 90]	[]	[111120640, 111120643]
874_10758	chr2	119402630	119403030	+	821	37.0	[9.635143, 2.0491896]	[61, 62]	[]	[]	[119402789, 119402790]	[]
874_10774	chr20	32664583	32664983	+	1000	37.0	[11.745352, 4.772683, 7.5874944]	[133, 134, 136]	[]	[]	[32664804, 32664805, 32664807]	[]
874_10781	chr20	53638035	53638435	+	854	37.0	[]	[]	[2.4366748, 3.326605, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 4.007244, 4.007244]	[76, 79, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116]	[]	[53638209, 53638212, 53638213, 53638215, 53638217, 53638219, 53638221, 53638223, 53638225, 53638227, 53638229, 53638231, 53638233, 53638235, 53638237, 53638239, 53638241, 53638243, 53638245, 53638247, 53638249]
874_10783	chr20	57433159	57433559	+	823	37.0	[3.0733116]	[181]	[4.864001, 3.4100416, 4.1065764]	[164, 166, 167]	[57433399]	[57433382, 57433384, 57433385]
874_10793	chr22	19152246	19152646	+	763	37.0	[]	[]	[11.964028, 5.434038, 7.367806]	[139, 142, 144]	[]	[19152441, 19152444, 19152446]
874_1080	chr1	31954528	31954928	+	1000	68.0	[]	[]	[4.0532475]	[133]	[]	[31954697]
874_10811	chr22	20643446	20643846	+	1000	37.0	[1.9630817]	[156]	[]	[]	[20643631]	[]
874_10822	chr22	21692559	21692959	+	918	37.0	[]	[]	[5.15043]	[162]	[]	[21692783]
874_10824	chr22	21911091	21911491	+	899	37.0	[2.9261074, 2.5991845]	[147, 148]	[6.310857, 9.085045]	[163, 164]	[21911312, 21911313]	[21911328, 21911329]
874_10826	chr22	22158839	22159239	+	997	37.0	[8.621293, 2.7870793, 6.1123257, 10.425123, 2.6202633]	[186, 193, 194, 195, 198]	[3.8711686]	[131]	[22159060, 22159067, 22159068, 22159069, 22159072]	[22159005]
874_10829	chr22	22531585	22531985	+	1000	37.0	[]	[]	[7.96649]	[152]	[]	[22531791]
874_10835	chr3	47502998	47503398	+	1000	37.0	[]	[]	[1.710136]	[154]	[]	[47503247]
874_10853	chr4	53377619	53378019	+	1000	37.0	[]	[]	[2.1168482, 7.592426]	[82, 83]	[]	[53377786, 53377787]
874_10859	chr5	1004614	1005014	+	1000	37.0	[]	[]	[3.4310167]	[149]	[]	[1004844]
874_10868	chr5	72597456	72597856	+	1000	37.0	[2.575178]	[233]	[]	[]	[72597700]	[]
874_1087	chr11	67582711	67583111	+	1000	68.0	[]	[]	[1.99559]	[103]	[]	[67582914]
874_10890	chr6	15107050	15107450	+	1000	37.0	[]	[]	[2.426988]	[183]	[]	[15107267]
874_10893	chr6	16238673	16239073	+	1000	37.0	[]	[]	[9.753562, 3.326605]	[73, 76]	[]	[16238842, 16238845]
874_10898	chr6	42091901	42092301	+	1000	37.0	[]	[]	[3.0384798]	[109]	[]	[42092065]
874_10901	chr6	52517510	52517910	+	1000	37.0	[11.367604, 2.9050283, 3.345869]	[68, 69, 70]	[]	[]	[52517673, 52517674, 52517675]	[]
874_10902	chr6	67887051	67887451	+	743	37.0	[]	[]	[4.781296]	[110]	[]	[67887257]
874_10905	chr6	96924712	96925112	+	1000	37.0	[5.710153]	[147]	[]	[]	[96924883]	[]
874_10914	chr7	36291423	36291823	+	989	37.0	[]	[]	[2.1466062]	[163]	[]	[36291659]
874_10915	chr7	65558592	65558992	+	937	37.0	[5.520146, 4.741901, 7.76643]	[54, 55, 56]	[]	[]	[65558743, 65558744, 65558745]	[]
874_10916	chr7	73572743	73573143	+	1000	37.0	[]	[]	[11.216565]	[189]	[]	[73572982]
874_10933	chr7	152436183	152436583	+	1000	37.0	[13.916225]	[197]	[]	[]	[152436431]	[]
874_10938	chr8	17246732	17247132	+	1000	37.0	[]	[]	[5.15043]	[189]	[]	[17246944]
874_1094	chr1_KI270712v1_random	59054	59454	+	1000	68.0	[]	[]	[2.6393502]	[128]	[]	[59275]
874_10947	chr8	143220026	143220426	+	1000	37.0	[3.0733116, 4.7928286, 8.314915]	[137, 140, 142]	[]	[]	[143220230, 143220233, 143220235]	[]
874_10949	chr9	93119911	93120311	+	1000	37.0	[]	[]	[4.137513, 4.241039]	[159, 162]	[]	[93120071, 93120074]
874_10950	chr9	98182279	98182679	+	1000	37.0	[3.0753083, 5.974231, 4.1498246, 11.419465]	[133, 143, 146, 148]	[]	[]	[98182445, 98182455, 98182458, 98182460]	[]
874_10953	chr9	113345662	113346062	+	763	37.0	[]	[]	[8.772633, 2.151755, 6.8301735, 8.045212, 2.723789, 8.904039]	[157, 158, 203, 208, 209, 211]	[]	[113345843, 113345844, 113345889, 113345894, 113345895, 113345897]
874_10954	chr9	121647001	121647401	+	1000	37.0	[]	[]	[7.2736855, 8.907873]	[120, 147]	[]	[121647177, 121647204]
874_10959	chr9	129861628	129862028	+	768	37.0	[]	[]	[2.3206832]	[124]	[]	[129861840]
874_10961	chr9	131208541	131208941	+	1000	37.0	[4.8753524, 11.234865]	[68, 73]	[]	[]	[131208698, 131208703]	[]
874_10964	chr9	135961292	135961692	+	1000	37.0	[]	[]	[2.1010506]	[122]	[]	[135961462]
874_10971	chr1	2556455	2556855	+	1000	36.5	[3.629674]	[163]	[]	[]	[2556706]	[]
874_10974	chr1	11707373	11707773	+	1000	36.5	[]	[]	[4.1380897]	[153]	[]	[11707532]
874_10976	chr1	14424349	14424749	+	692	36.5	[3.039491]	[177]	[]	[]	[14424592]	[]
874_10979	chr1	16639608	16640008	+	1000	36.5	[7.3246136]	[129]	[]	[]	[16639793]	[]
874_10988	chr1	46203100	46203500	+	1000	36.5	[2.2845972]	[118]	[]	[]	[46203295]	[]
874_11008	chr1	166490349	166490749	+	828	36.5	[]	[]	[5.3533297, 2.2845972, 4.7093925, 5.289261]	[133, 140, 143, 153]	[]	[166490547, 166490554, 166490557, 166490567]
874_11013	chr1	204699046	204699446	+	951	36.5	[2.1186657, 4.007244]	[100, 102]	[]	[]	[204699198, 204699200]	[]
874_11021	chr1	226109481	226109881	+	1000	36.5	[]	[]	[5.4684396]	[158]	[]	[226109723]
874_11024	chr1	228500923	228501323	+	1000	36.5	[3.9705424]	[164]	[4.5040236]	[210]	[228501120]	[228501166]
874_11025	chr10	3740298	3740698	+	1000	36.5	[1.7609605]	[110]	[]	[]	[3740458]	[]
874_11031	chr10	48506448	48506848	+	1000	36.5	[6.5339026, 1.9191264]	[119, 176]	[]	[]	[48506636, 48506693]	[]
874_11033	chr10	70743425	70743825	+	1000	36.5	[]	[]	[10.581242, 9.2617445, 9.445291]	[207, 209, 211]	[]	[70743671, 70743673, 70743675]
874_11035	chr10	79445959	79446359	+	1000	36.5	[]	[]	[7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284]	[172, 174, 176, 178, 180, 182, 184, 186]	[]	[79446195, 79446197, 79446199, 79446201, 79446203, 79446205, 79446207, 79446209]
