#PeakID(python identify_motif.py ./ENCODE_processed_files/MAFK_idr.fa MAFK --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
420_10044	chr6	13354319	13354719	+	1000	85.0	[5.659805]	[80]	[]	[]	[13354492]	[]
420_10050	chr6	27792099	27792499	+	1000	85.0	[11.476549]	[143]	[7.2262077]	[93]	[27792307]	[27792257]
420_10055	chr6	47420409	47420809	+	1000	85.0	[]	[]	[5.659805]	[66]	[]	[47420563]
420_10059	chr6	129943609	129944009	+	1000	85.0	[5.659805]	[114]	[11.476549]	[127]	[129943820]	[129943833]
420_1006	chrX	34632409	34632809	+	1000	303.0	[11.476549]	[107]	[11.476549]	[100]	[34632616]	[34632609]
420_10070	chr7	81986737	81987137	+	1000	85.0	[11.476549]	[117]	[]	[]	[81986943]	[]
420_10075	chr7	116971103	116971503	+	1000	85.0	[]	[]	[5.659805]	[137]	[]	[116971339]
420_10077	chr7	127887516	127887916	+	1000	85.0	[]	[]	[11.476549]	[93]	[]	[127887707]
420_10080	chr8	11350219	11350619	+	1000	85.0	[]	[]	[7.2262077]	[83]	[]	[11350398]
420_10085	chr8	85939394	85939794	+	1000	85.0	[7.312882]	[116]	[]	[]	[85939598]	[]
420_10086	chr8	91576237	91576637	+	1000	85.0	[11.476549]	[108]	[]	[]	[91576441]	[]
420_10089	chr8	143264646	143265046	+	1000	85.0	[5.659805, 7.2262077]	[86, 116]	[]	[]	[143264829, 143264859]	[]
420_10096	chr1	10960954	10961354	+	1000	84.0	[11.476549]	[80]	[]	[]	[10961134]	[]
420_10097	chr1	16173458	16173858	+	1000	84.0	[]	[]	[11.476549]	[105]	[]	[16173654]
420_10098	chr1	21305380	21305780	+	1000	84.0	[11.476549]	[112]	[]	[]	[21305591]	[]
420_101	chr6	67493679	67494079	+	1000	559.0	[11.476549]	[103]	[11.476549]	[96]	[67493880]	[67493873]
420_10102	chr1	67570400	67570800	+	1000	84.0	[11.476549]	[72]	[5.659805]	[94]	[67570571]	[67570593]
420_10103	chr1	76627488	76627888	+	1000	84.0	[]	[]	[11.476549]	[103]	[]	[76627684]
420_10104	chr1	78887443	78887843	+	1000	84.0	[11.476549]	[111]	[]	[]	[78887644]	[]
420_1011	chr15	52042181	52042581	+	1000	302.0	[8.216044]	[86]	[8.216044]	[105]	[52042358]	[52042377]
420_10111	chr1	192576789	192577189	+	1000	84.0	[11.476549]	[84]	[11.476549]	[108]	[192576971]	[192576995]
420_10119	chr10	60258051	60258451	+	1000	84.0	[11.476549, 11.476549]	[79, 130]	[11.476549]	[108]	[60258223, 60258274]	[60258252]
420_1012	chr19	40070051	40070451	+	1000	302.0	[7.312882]	[113]	[11.476549]	[106]	[40070252]	[40070245]
420_10121	chr10	63236363	63236763	+	1000	84.0	[8.216044]	[91]	[7.312882]	[120]	[63236545]	[63236574]
420_10124	chr11	6670191	6670591	+	1000	84.0	[]	[]	[11.476549]	[107]	[]	[6670397]
420_10125	chr11	20368473	20368873	+	1000	84.0	[11.476549]	[116]	[]	[]	[20368671]	[]
420_10129	chr11	61800593	61800993	+	1000	84.0	[]	[]	[11.476549, 5.659805, 8.216044]	[65, 139, 142]	[]	[61800746, 61800820, 61800823]
420_10132	chr11	131408074	131408474	+	1000	84.0	[]	[]	[11.476549]	[98]	[]	[131408267]
420_1014	chr5	72565514	72565914	+	1000	302.0	[7.2262077]	[97]	[7.2262077, 7.2262077]	[90, 143]	[72565711]	[72565704, 72565757]
420_10143	chr13	85434920	85435320	+	1000	84.0	[8.216044, 8.216044]	[116, 134]	[11.476549]	[109]	[85435133, 85435151]	[85435126]
420_10144	chr13	92377383	92377783	+	1000	84.0	[11.476549, 7.312882]	[68, 119]	[]	[]	[92377549, 92377600]	[]
420_10145	chr14	21106536	21106936	+	1000	84.0	[]	[]	[11.476549]	[107]	[]	[21106741]
420_10146	chr14	45904317	45904717	+	1000	84.0	[11.476549]	[103]	[11.476549]	[95]	[45904515]	[45904507]
420_1015	chr6	75261296	75261696	+	1000	302.0	[]	[]	[11.476549]	[105]	[]	[75261492]
420_10151	chr15	95995363	95995763	+	1000	84.0	[7.2262077]	[119]	[]	[]	[95995577]	[]
420_10152	chr16	10151752	10152152	+	1000	84.0	[]	[]	[11.476549, 11.476549]	[110, 137]	[]	[10151951, 10151978]
420_10163	chr17	78645801	78646201	+	1000	84.0	[11.476549]	[93]	[11.476549]	[85]	[78645994]	[78645986]
420_10165	chr18	35041103	35041503	+	1000	84.0	[]	[]	[8.216044]	[94]	[]	[35041290]
420_1017	chr1	109823811	109824211	+	1000	301.0	[5.659805, 11.476549]	[70, 103]	[11.476549]	[141]	[109823981, 109824014]	[109824052]
420_10171	chr2	1088935	1089335	+	1000	84.0	[11.476549, 8.216044]	[114, 140]	[11.476549]	[74]	[1089139, 1089165]	[1089099]
420_10173	chr2	20579257	20579657	+	1000	84.0	[8.216044]	[140]	[5.659805]	[85]	[20579479]	[20579424]
420_10175	chr2	48685115	48685515	+	1000	84.0	[]	[]	[7.312882]	[108]	[]	[48685320]
420_10176	chr2	50765594	50765994	+	1000	84.0	[11.476549]	[103]	[7.2262077]	[137]	[50765789]	[50765823]
420_1018	chr1	174166877	174167277	+	1000	301.0	[11.476549]	[94]	[]	[]	[174167068]	[]
420_10180	chr2	159497210	159497610	+	1000	84.0	[11.476549]	[121]	[]	[]	[159497416]	[]
420_10182	chr2	160703598	160703998	+	1000	84.0	[]	[]	[11.476549]	[108]	[]	[160703805]
420_10184	chr20	9663423	9663823	+	1000	84.0	[11.476549]	[114]	[]	[]	[9663625]	[]
420_10185	chr21	14487990	14488390	+	1000	84.0	[11.476549]	[94]	[]	[]	[14488183]	[]
420_10186	chr21	35417033	35417433	+	1000	84.0	[]	[]	[8.216044]	[126]	[]	[35417247]
420_10187	chr21	41074783	41075183	+	1000	84.0	[]	[]	[11.476549]	[102]	[]	[41074977]
420_1019	chr1	187460127	187460527	+	1000	301.0	[11.476549]	[101]	[]	[]	[187460328]	[]
420_10191	chr22	22666533	22666933	+	1000	84.0	[]	[]	[5.659805]	[92]	[]	[22666712]
420_10192	chr22	22745622	22746022	+	1000	84.0	[]	[]	[5.659805]	[107]	[]	[22745827]
420_10197	chr3	25751059	25751459	+	1000	84.0	[11.476549]	[117]	[11.476549, 5.659805]	[78, 110]	[25751253]	[25751214, 25751246]
420_10198	chr3	42072100	42072500	+	1000	84.0	[7.2262077]	[99]	[]	[]	[42072289]	[]
420_10199	chr3	62941155	62941555	+	1000	84.0	[5.659805]	[116]	[7.2262077]	[86]	[62941368]	[62941338]
420_10209	chr5	6943741	6944141	+	1000	84.0	[8.216044]	[113]	[11.476549]	[106]	[6943951]	[6943944]
420_10210	chr5	24170923	24171323	+	1000	84.0	[]	[]	[8.216044, 11.476549]	[85, 105]	[]	[24171104, 24171124]
420_10211	chr5	45622361	45622761	+	1000	84.0	[11.476549]	[115]	[7.2262077]	[100]	[45622567]	[45622552]
420_10213	chr5	95562279	95562679	+	1000	84.0	[7.312882]	[102]	[11.476549]	[117]	[95562464]	[95562479]
420_10215	chr5	121969639	121970039	+	1000	84.0	[11.476549]	[124]	[]	[]	[121969858]	[]
420_10216	chr5	134175452	134175852	+	1000	84.0	[]	[]	[7.312882]	[104]	[]	[134175636]
420_10217	chr5	155441841	155442241	+	1000	84.0	[]	[]	[11.476549]	[110]	[]	[155442041]
420_10223	chr6	28152505	28152905	+	1000	84.0	[]	[]	[8.216044]	[119]	[]	[28152718]
420_10225	chr6	46437667	46438067	+	1000	84.0	[7.312882]	[152]	[8.216044]	[70]	[46437913]	[46437831]
420_1023	chr5	78019748	78020148	+	1000	301.0	[]	[]	[11.476549]	[102]	[]	[78019939]
420_10234	chr7	92634911	92635311	+	1000	84.0	[7.312882]	[102]	[]	[]	[92635113]	[]
420_10238	chr7	135169082	135169482	+	1000	84.0	[11.476549]	[140]	[11.476549]	[129]	[135169314]	[135169303]
420_10243	chr8	73312195	73312595	+	1000	84.0	[11.476549]	[104]	[]	[]	[73312389]	[]
420_10247	chr9	35477141	35477541	+	1000	84.0	[11.476549]	[106]	[]	[]	[35477337]	[]
420_10248	chr9	91192317	91192717	+	1000	84.0	[7.2262077]	[73]	[11.476549, 7.2262077]	[88, 128]	[91192485]	[91192500, 91192540]
420_10255	chrX	114800726	114801126	+	1000	84.0	[5.659805]	[109]	[7.312882]	[120]	[114800926]	[114800937]
420_10266	chr1	112263387	112263787	+	1000	83.0	[7.2262077, 7.2262077]	[100, 128]	[]	[]	[112263578, 112263606]	[]
420_1027	chr8	101138495	101138895	+	1000	301.0	[]	[]	[5.659805, 11.476549]	[91, 106]	[]	[101138685, 101138700]
420_10276	chr1	206000867	206001267	+	1000	83.0	[]	[]	[11.476549]	[106]	[]	[206001072]
420_10281	chr10	71204715	71205115	+	1000	83.0	[11.476549, 7.2262077]	[104, 178]	[11.476549]	[171]	[71204878, 71204952]	[71204945]
420_1029	chr12	96015063	96015463	+	1000	300.0	[11.476549]	[105]	[]	[]	[96015265]	[]
420_1030	chr14	36976495	36976895	+	1000	300.0	[]	[]	[5.659805, 11.476549]	[70, 99]	[]	[36976664, 36976693]
420_10300	chr13	29402324	29402724	+	1000	83.0	[]	[]	[7.2262077]	[107]	[]	[29402531]
420_10301	chr13	40672399	40672799	+	1000	83.0	[]	[]	[5.659805]	[92]	[]	[40672590]
420_10312	chr15	56934299	56934699	+	1000	83.0	[]	[]	[11.476549, 8.216044]	[113, 116]	[]	[56934508, 56934511]
420_10315	chr15	101733530	101733930	+	1000	83.0	[]	[]	[5.659805]	[142]	[]	[101733772]
420_10332	chr18	74139853	74140253	+	1000	83.0	[8.216044]	[108]	[]	[]	[74140051]	[]
420_10334	chr19	42286804	42287204	+	1000	83.0	[]	[]	[11.476549]	[108]	[]	[42287010]
420_10335	chr19	48615096	48615496	+	1000	83.0	[11.476549]	[141]	[]	[]	[48615333]	[]
420_1034	chr5	140710997	140711397	+	1000	300.0	[]	[]	[11.476549]	[97]	[]	[140711190]
420_10340	chr2	70691501	70691901	+	1000	83.0	[5.659805, 11.476549]	[66, 95]	[]	[]	[70691667, 70691696]	[]
420_10342	chr2	129646077	129646477	+	1000	83.0	[11.476549, 11.476549]	[65, 95]	[]	[]	[129646241, 129646271]	[]
420_10345	chr2	175525994	175526394	+	1000	83.0	[]	[]	[7.2262077]	[80]	[]	[175526169]
420_10347	chr2	177753917	177754317	+	1000	83.0	[]	[]	[11.476549]	[147]	[]	[177754143]
420_10355	chr20	46368878	46369278	+	1000	83.0	[8.216044, 8.216044]	[79, 110]	[11.476549]	[92]	[46369056, 46369087]	[46369069]
420_10360	chr21	29580897	29581297	+	1000	83.0	[]	[]	[11.476549, 5.659805]	[95, 114]	[]	[29581086, 29581105]
420_10366	chr22	34931036	34931436	+	1000	83.0	[11.476549]	[94]	[]	[]	[34931226]	[]
420_10374	chr3	124513205	124513605	+	1000	83.0	[11.476549]	[107]	[]	[]	[124513403]	[]
420_10376	chr3	133573099	133573499	+	1000	83.0	[8.216044]	[126]	[]	[]	[133573316]	[]
420_10382	chr4	22313969	22314369	+	1000	83.0	[7.312882]	[64]	[11.476549]	[103]	[22314129]	[22314168]
420_10384	chr4	78645897	78646297	+	1000	83.0	[]	[]	[11.476549]	[105]	[]	[78646101]
420_10386	chr4	109123948	109124348	+	1000	83.0	[11.476549]	[117]	[]	[]	[109124148]	[]
420_10387	chr4	130333234	130333634	+	1000	83.0	[]	[]	[11.476549]	[99]	[]	[130333431]
420_10389	chr4	139721782	139722182	+	1000	83.0	[]	[]	[11.476549]	[105]	[]	[139721982]
420_1039	chr17	39132126	39132526	+	1000	299.0	[11.476549, 11.476549, 11.476549]	[75, 99, 124]	[]	[]	[39132299, 39132323, 39132348]	[]
420_10392	chr4	168421680	168422080	+	1000	83.0	[]	[]	[11.476549]	[97]	[]	[168421871]
420_1040	chr21	18248162	18248562	+	1000	299.0	[5.659805, 8.216044]	[62, 88]	[8.216044]	[105]	[18248324, 18248350]	[18248367]
420_10401	chr5	81235346	81235746	+	1000	83.0	[11.476549]	[109]	[]	[]	[81235546]	[]
420_1041	chr22	20807381	20807781	+	1000	299.0	[8.216044, 7.312882]	[114, 148]	[]	[]	[20807592, 20807626]	[]
420_10413	chr6	30590918	30591318	+	1000	83.0	[]	[]	[11.476549]	[122]	[]	[30591117]
420_10417	chr6	44116601	44117001	+	1000	83.0	[]	[]	[11.476549]	[114]	[]	[44116807]
420_1042	chr8	79999233	79999633	+	1000	299.0	[]	[]	[11.476549]	[102]	[]	[79999433]
420_10420	chr6	51025062	51025462	+	1000	83.0	[5.659805]	[66]	[7.2262077]	[118]	[51025222]	[51025274]
420_10424	chr6	88868006	88868406	+	1000	83.0	[11.476549]	[104]	[]	[]	[88868206]	[]
420_10427	chr6	122693182	122693582	+	1000	83.0	[7.2262077, 7.2262077]	[106, 126]	[7.2262077]	[99]	[122693379, 122693399]	[122693372]
420_10428	chr6	130870459	130870859	+	1000	83.0	[8.216044]	[125]	[7.2262077]	[118]	[130870675]	[130870668]
420_10429	chr6	163485318	163485718	+	1000	83.0	[7.2262077]	[150]	[]	[]	[163485557]	[]
420_10430	chr7	2821100	2821500	+	1000	83.0	[]	[]	[11.476549]	[138]	[]	[2821321]
420_10433	chr7	128859473	128859873	+	1000	83.0	[11.476549]	[115]	[]	[]	[128859684]	[]
420_10435	chr7	134834905	134835305	+	1000	83.0	[7.2262077]	[113]	[7.2262077, 11.476549]	[115, 161]	[134835085]	[134835087, 134835133]
420_1044	chr11	107778740	107779140	+	1000	298.0	[11.476549, 7.2262077]	[110, 151]	[]	[]	[107778941, 107778982]	[]
420_10441	chr9	36913385	36913785	+	1000	83.0	[]	[]	[11.476549]	[102]	[]	[36913580]
420_10444	chr9	124202524	124202924	+	1000	83.0	[5.659805]	[101]	[]	[]	[124202722]	[]
420_10447	chrX	110087646	110088046	+	1000	83.0	[]	[]	[11.476549]	[97]	[]	[110087833]
420_10449	chrX	139892536	139892936	+	1000	83.0	[]	[]	[11.476549, 11.476549]	[129, 137]	[]	[139892742, 139892750]
420_10456	chr1	39638961	39639361	+	1000	82.0	[11.476549]	[107]	[]	[]	[39639162]	[]
420_10457	chr1	41493084	41493484	+	1000	82.0	[]	[]	[5.659805]	[136]	[]	[41493317]
420_10466	chr1	173478268	173478668	+	1000	82.0	[]	[]	[11.476549, 8.216044, 8.216044]	[98, 101, 116]	[]	[173478432, 173478435, 173478450]
420_10468	chr1	203268986	203269386	+	1000	82.0	[]	[]	[8.216044]	[119]	[]	[203269195]
420_1047	chr21	29316186	29316586	+	1000	298.0	[11.476549, 11.476549]	[93, 128]	[7.312882]	[76]	[29316378, 29316413]	[29316361]
420_10471	chr1	218257378	218257778	+	1000	82.0	[11.476549]	[92]	[]	[]	[218257568]	[]
420_10474	chr1	236144765	236145165	+	1000	82.0	[]	[]	[11.476549]	[101]	[]	[236144959]
420_10478	chr10	66192154	66192554	+	1000	82.0	[11.476549]	[117]	[]	[]	[66192363]	[]
420_10490	chr12	863269	863669	+	1000	82.0	[11.476549]	[117]	[]	[]	[863484]	[]
420_10491	chr12	28292747	28293147	+	1000	82.0	[7.2262077]	[109]	[11.476549]	[102]	[28292952]	[28292945]
420_10495	chr12	108854437	108854837	+	1000	82.0	[]	[]	[8.216044]	[109]	[]	[108854637]
420_10504	chr14	68320501	68320901	+	1000	82.0	[11.476549]	[96]	[]	[]	[68320697]	[]
420_10507	chr15	40744212	40744612	+	1000	82.0	[]	[]	[11.476549]	[164]	[]	[40744451]
420_10509	chr15	71572464	71572864	+	1000	82.0	[8.216044, 11.476549]	[99, 119]	[11.476549]	[92]	[71572662, 71572682]	[71572655]
420_10510	chr15	90947394	90947794	+	1000	82.0	[]	[]	[7.2262077]	[125]	[]	[90947617]
420_10511	chr16	4616122	4616522	+	1000	82.0	[7.2262077]	[116]	[7.2262077]	[118]	[4616332]	[4616334]
420_10513	chr16	18804099	18804499	+	1000	82.0	[7.312882]	[127]	[]	[]	[18804314]	[]
420_10515	chr16	53492501	53492901	+	1000	82.0	[11.476549, 8.216044]	[103, 123]	[]	[]	[53492701, 53492721]	[]
420_10519	chr16	79451384	79451784	+	1000	82.0	[11.476549]	[185]	[]	[]	[79451632]	[]
420_10520	chr16	85261176	85261576	+	1000	82.0	[5.659805]	[155]	[11.476549]	[99]	[85261424]	[85261368]
420_10524	chr17	70934834	70935234	+	1000	82.0	[]	[]	[11.476549]	[106]	[]	[70935034]
420_10527	chr18	12377541	12377941	+	1000	82.0	[]	[]	[7.2262077]	[104]	[]	[12377741]
420_10528	chr18	22915324	22915724	+	1000	82.0	[11.476549, 11.476549]	[116, 140]	[11.476549, 11.476549]	[69, 109]	[22915539, 22915563]	[22915492, 22915532]
420_10536	chr2	28269163	28269563	+	1000	82.0	[11.476549]	[115]	[]	[]	[28269366]	[]
420_10537	chr2	43178875	43179275	+	1000	82.0	[]	[]	[5.659805]	[125]	[]	[43179081]
420_10538	chr2	53167230	53167630	+	1000	82.0	[8.216044, 11.476549]	[76, 108]	[]	[]	[53167397, 53167429]	[]
420_10548	chr21	15343144	15343544	+	1000	82.0	[11.476549]	[104]	[]	[]	[15343338]	[]
420_1055	chr16	16022013	16022413	+	1000	297.0	[]	[]	[11.476549]	[101]	[]	[16022207]
420_10553	chr22	22088309	22088709	+	1000	82.0	[11.476549, 8.216044]	[120, 137]	[]	[]	[22088518, 22088535]	[]
420_10557	chr3	14424618	14425018	+	1000	82.0	[]	[]	[11.476549]	[106]	[]	[14424819]
420_10567	chr4	102439086	102439486	+	1000	82.0	[11.476549]	[102]	[7.312882, 8.216044]	[95, 152]	[102439283]	[102439276, 102439333]
420_1057	chr3	160638177	160638577	+	1000	297.0	[7.2262077]	[94]	[7.2262077, 8.216044]	[96, 110]	[160638363]	[160638365, 160638379]
420_10573	chr5	5436213	5436613	+	720	82.0	[]	[]	[7.2262077]	[78]	[]	[5436391]
420_10575	chr5	42583270	42583670	+	1000	82.0	[]	[]	[11.476549]	[96]	[]	[42583465]
420_10576	chr5	59462968	59463368	+	1000	82.0	[]	[]	[11.476549]	[106]	[]	[59463160]
420_10581	chr6	31083732	31084132	+	1000	82.0	[7.2262077]	[124]	[]	[]	[31083941]	[]
420_10585	chr6	43627198	43627598	+	1000	82.0	[7.2262077, 11.476549]	[81, 144]	[7.2262077]	[83]	[43627379, 43627442]	[43627381]
420_10588	chr6	51369475	51369875	+	1000	82.0	[8.216044]	[128]	[11.476549]	[105]	[51369701]	[51369678]
420_10589	chr6	56951052	56951452	+	1000	82.0	[11.476549]	[104]	[11.476549]	[149]	[56951242]	[56951287]
420_1059	chr7	3146840	3147240	+	1000	297.0	[8.216044]	[125]	[]	[]	[3147059]	[]
420_10591	chr6	90521961	90522361	+	1000	82.0	[7.2262077]	[97]	[7.2262077]	[99]	[90522153]	[90522155]
420_10599	chr6	159989801	159990201	+	1000	82.0	[]	[]	[7.2262077]	[146]	[]	[159990020]
420_1060	chr1	172907231	172907631	+	1000	296.0	[11.476549, 11.476549]	[98, 121]	[]	[]	[172907422, 172907445]	[]
420_10600	chr7	604396	604796	+	1000	82.0	[7.2262077]	[132]	[]	[]	[604618]	[]
420_10607	chr7	82823061	82823461	+	1000	82.0	[11.476549]	[112]	[]	[]	[82823272]	[]
420_10609	chr7	107190072	107190472	+	1000	82.0	[]	[]	[8.216044]	[116]	[]	[107190285]
420_10611	chr7	130941604	130942004	+	1000	82.0	[11.476549]	[115]	[]	[]	[130941814]	[]
420_10623	chr9	84951084	84951484	+	1000	82.0	[11.476549, 7.2262077]	[91, 149]	[]	[]	[84951275, 84951333]	[]
420_10627	chr9	128214818	128215218	+	1000	82.0	[]	[]	[11.476549]	[87]	[]	[128215005]
420_10628	chr9	131218200	131218600	+	1000	82.0	[8.216044]	[108]	[]	[]	[131218406]	[]
420_10629	chr9	132673367	132673767	+	1000	82.0	[11.476549]	[119]	[8.216044]	[128]	[132673574]	[132673583]
420_1063	chr13	105074760	105075160	+	1000	296.0	[11.476549]	[103]	[11.476549]	[95]	[105074961]	[105074953]
420_10632	chrX	13597982	13598382	+	1000	82.0	[11.476549]	[109]	[]	[]	[13598189]	[]
420_10633	chrX	16826201	16826601	+	1000	82.0	[11.476549]	[101]	[]	[]	[16826397]	[]
420_10635	chrX	134551728	134552128	+	1000	82.0	[11.476549]	[104]	[8.216044]	[132]	[134551921]	[134551949]
420_10636	chrX	141258073	141258473	+	1000	82.0	[11.476549]	[112]	[]	[]	[141258277]	[]
420_10638	chr1	12293399	12293799	+	1000	81.0	[11.476549]	[149]	[]	[]	[12293641]	[]
420_10642	chr1	33127384	33127784	+	1000	81.0	[7.2262077, 7.2262077]	[94, 144]	[]	[]	[33127568, 33127618]	[]
420_10644	chr1	53014677	53015077	+	1000	81.0	[]	[]	[7.2262077]	[159]	[]	[53014920]
420_10646	chr1	65231735	65232135	+	1000	81.0	[7.2262077]	[82]	[8.216044]	[114]	[65231904]	[65231936]
420_10648	chr1	67749698	67750098	+	1000	81.0	[]	[]	[11.476549]	[105]	[]	[67749899]
420_10650	chr1	109201123	109201523	+	1000	81.0	[7.2262077]	[141]	[7.2262077]	[121]	[109201362]	[109201342]
420_10662	chr1	224435480	224435880	+	1000	81.0	[8.216044]	[157]	[]	[]	[224435703]	[]
420_10665	chr1	236220470	236220870	+	1000	81.0	[11.476549]	[132]	[]	[]	[236220679]	[]
420_10669	chr10	32937841	32938241	+	1000	81.0	[5.659805]	[94]	[7.312882]	[131]	[32938032]	[32938069]
420_10673	chr10	95394066	95394466	+	1000	81.0	[7.2262077]	[92]	[]	[]	[95394256]	[]
420_10676	chr11	2781500	2781900	+	1000	81.0	[]	[]	[11.476549]	[133]	[]	[2781729]
420_10678	chr11	18634659	18635059	+	1000	81.0	[8.216044]	[114]	[]	[]	[18634863]	[]
420_10679	chr11	34652140	34652540	+	1000	81.0	[8.216044]	[103]	[]	[]	[34652324]	[]
420_1068	chr7	45296748	45297148	+	1000	296.0	[11.476549]	[99]	[]	[]	[45296945]	[]
420_10682	chr11	96652514	96652914	+	1000	81.0	[11.476549]	[109]	[]	[]	[96652717]	[]
420_10685	chr12	54570123	54570523	+	1000	81.0	[8.216044, 5.659805]	[122, 125]	[11.476549]	[104]	[54570341, 54570344]	[54570323]
420_1069	chr7	79281406	79281806	+	1000	296.0	[8.216044]	[101]	[11.476549]	[94]	[79281604]	[79281597]
420_10693	chr13	106077015	106077415	+	1000	81.0	[11.476549]	[105]	[]	[]	[106077218]	[]
420_10694	chr14	52327404	52327804	+	1000	81.0	[]	[]	[11.476549]	[106]	[]	[52327608]
420_10695	chr14	101899280	101899680	+	1000	81.0	[]	[]	[7.2262077]	[126]	[]	[101899503]
420_1070	chr8	13051450	13051850	+	1000	296.0	[7.312882, 7.2262077]	[75, 120]	[11.476549]	[103]	[13051618, 13051663]	[13051646]
420_10700	chr15	74013484	74013884	+	1000	81.0	[8.216044]	[132]	[]	[]	[74013697]	[]
420_10706	chr16	15041570	15041970	+	1000	81.0	[]	[]	[11.476549]	[93]	[]	[15041736]
420_10712	chr17	79668523	79668923	+	1000	81.0	[]	[]	[11.476549]	[88]	[]	[79668711]
420_10723	chr2	82307499	82307899	+	1000	81.0	[]	[]	[11.476549]	[115]	[]	[82307710]
420_10726	chr2	168997105	168997505	+	1000	81.0	[]	[]	[11.476549]	[145]	[]	[168997323]
420_10728	chr2	199288397	199288797	+	1000	81.0	[11.476549]	[135]	[]	[]	[199288618]	[]
420_10732	chr20	23419921	23420321	+	1000	81.0	[]	[]	[7.2262077]	[141]	[]	[23420142]
420_10733	chr20	32681377	32681777	+	1000	81.0	[7.2262077]	[92]	[5.659805]	[85]	[32681568]	[32681561]
420_10739	chr22	20606135	20606535	+	1000	81.0	[]	[]	[11.476549]	[59]	[]	[20606293]
420_10749	chr3	16264815	16265215	+	1000	81.0	[8.216044]	[56]	[]	[]	[16264968]	[]
420_1075	chr17	59423118	59423518	+	1000	295.0	[11.476549]	[151]	[11.476549, 7.2262077]	[86, 102]	[59423368]	[59423303, 59423319]
420_10764	chr5	1820311	1820711	+	1000	81.0	[11.476549]	[119]	[7.2262077]	[112]	[1820523]	[1820516]
420_10769	chr5	116550061	116550461	+	1000	81.0	[11.476549]	[126]	[]	[]	[116550280]	[]
420_1077	chr6	164409305	164409705	+	1000	295.0	[11.476549]	[108]	[11.476549]	[101]	[164409506]	[164409499]
420_10782	chr6	99875076	99875476	+	1000	81.0	[11.476549]	[108]	[7.312882]	[92]	[99875282]	[99875266]
420_10786	chr6	157107809	157108209	+	1000	81.0	[8.216044]	[78]	[]	[]	[157107984]	[]
420_10800	chr8	70130501	70130901	+	1000	81.0	[]	[]	[8.216044]	[151]	[]	[70130726]
420_10801	chr8	73293680	73294080	+	1000	81.0	[]	[]	[11.476549]	[85]	[]	[73293857]
420_10802	chr8	102547088	102547488	+	1000	81.0	[7.2262077]	[121]	[]	[]	[102547300]	[]
420_10808	chr9	91164633	91165033	+	1000	81.0	[]	[]	[11.476549]	[98]	[]	[91164809]
420_1081	chr8	125271353	125271753	+	1000	295.0	[5.659805, 8.216044]	[55, 99]	[7.2262077, 5.659805]	[92, 107]	[125271507, 125271551]	[125271544, 125271559]
