#PeakID(python identify_motif.py ./ENCODE_processed_files/SRF_idr.fa SRF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
49_10076	chr1	171624932	171625332	+	1000	73.0	[18.801544]	[84]	[18.801544]	[84]	[171625111]	[171625111]
49_10079	chr1	202938261	202938661	+	1000	73.0	[]	[]	[5.655814]	[149]	[]	[202938486]
49_1008	chr7	22896898	22897298	+	1000	260.0	[13.033171]	[106]	[9.68026]	[106]	[22897101]	[22897101]
49_10089	chr10	22003592	22003992	+	1000	73.0	[6.3896484]	[153]	[6.3896484]	[153]	[22003842]	[22003842]
49_10094	chr10	43108325	43108725	+	1000	73.0	[9.1245775]	[91]	[8.419427]	[91]	[43108505]	[43108505]
49_10096	chr10	64867587	64867987	+	1000	73.0	[]	[]	[4.527515]	[78]	[]	[64867763]
49_101	chr2	105467966	105468366	+	1000	1011.0	[4.7306733, 13.47666]	[86, 102]	[12.689945]	[102]	[105468151, 105468167]	[105468167]
49_10103	chr10	113851490	113851890	+	1000	73.0	[7.2586308]	[115]	[8.597369]	[115]	[113851693]	[113851693]
49_10105	chr11	615799	616199	+	1000	73.0	[2.8079455]	[147]	[4.208863]	[147]	[615972]	[615972]
49_10115	chr11	74570548	74570948	+	1000	73.0	[7.3018947]	[114]	[7.935482]	[114]	[74570761]	[74570761]
49_1012	chr14	23164207	23164607	+	1000	259.0	[]	[]	[4.527515]	[153]	[]	[23164451]
49_10125	chr12	76402275	76402675	+	1000	73.0	[5.0922184]	[93]	[]	[]	[76402457]	[]
49_10128	chr12	112664599	112664999	+	1000	73.0	[]	[]	[5.132279]	[120]	[]	[112664803]
49_1013	chr2	46753613	46754013	+	1000	259.0	[11.488216]	[90]	[8.601787]	[90]	[46753803]	[46753803]
49_10132	chr13	107906138	107906538	+	1000	73.0	[]	[]	[5.17622]	[111]	[]	[107906347]
49_10144	chr15	68281027	68281427	+	1000	73.0	[12.689945]	[109]	[13.47666]	[109]	[68281225]	[68281225]
49_10148	chr16	12037049	12037449	+	1000	73.0	[2.7693167]	[157]	[]	[]	[12037288]	[]
49_10149	chr16	27365055	27365455	+	1000	73.0	[6.742007, 12.689945]	[66, 103]	[3.6277652, 13.47666]	[66, 103]	[27365213, 27365250]	[27365213, 27365250]
49_1016	chr20	813355	813755	+	1000	258.0	[7.1854954]	[100]	[6.6374507]	[100]	[813550]	[813550]
49_10170	chr17	40651897	40652297	+	1000	73.0	[2.595331, 9.68026]	[84, 119]	[5.081703, 13.033171]	[84, 119]	[40652068, 40652103]	[40652068, 40652103]
49_10188	chr18	807424	807824	+	1000	73.0	[12.471321]	[110]	[13.104909]	[110]	[807625]	[807625]
49_10189	chr18	8836967	8837367	+	1000	73.0	[7.536359]	[108]	[8.00284]	[108]	[8837169]	[8837169]
49_1019	chr11	17259935	17260335	+	1000	257.0	[14.294004]	[101]	[13.588854]	[101]	[17260131]	[17260131]
49_10190	chr18	46416749	46417149	+	1000	73.0	[2.9803095, 5.3894005]	[122, 140]	[4.715904, 4.5176473]	[107, 122]	[46416962, 46416980]	[46416947, 46416962]
49_10193	chr19	368329	368729	+	1000	73.0	[7.0321693]	[103]	[7.407259]	[103]	[368521]	[368521]
49_102	chr1	45753494	45753894	+	1000	1004.0	[14.294004]	[102]	[13.588854]	[102]	[45753690]	[45753690]
49_1020	chr18	21598991	21599391	+	1000	257.0	[4.0942464]	[101]	[6.2755256]	[101]	[21599192]	[21599192]
49_10200	chr19	18414418	18414818	+	1000	73.0	[4.5958743]	[132]	[2.6168218]	[132]	[18414641]	[18414641]
49_10201	chr19	21617726	21618126	+	1000	73.0	[7.408483]	[97]	[7.443856]	[97]	[21617913]	[21617913]
49_10203	chr19	38921859	38922259	+	1000	73.0	[14.294004]	[98]	[13.588854]	[98]	[38922044]	[38922044]
49_1021	chr3	9410183	9410583	+	1000	257.0	[2.595331, 12.471321]	[85, 102]	[4.6162925, 13.104909]	[85, 102]	[9410361, 9410378]	[9410361, 9410378]
49_10225	chr2	113211227	113211627	+	1000	73.0	[14.294004, 2.3598723]	[131, 139]	[13.588854]	[131]	[113211437, 113211445]	[113211437]
49_1023	chr1	30717762	30718162	+	1000	256.0	[10.9407625]	[99]	[8.668092]	[99]	[30717951]	[30717951]
49_10231	chr2	235321635	235322035	+	850	73.0	[13.47666]	[121]	[12.689945]	[121]	[235321854]	[235321854]
49_10232	chr20	23155023	23155423	+	1000	73.0	[8.669316]	[142]	[10.887038]	[142]	[23155247]	[23155247]
49_10233	chr20	33423101	33423501	+	1000	73.0	[5.871373]	[160]	[6.88005]	[160]	[33423303]	[33423303]
49_10234	chr20	34157471	34157871	+	1000	73.0	[13.033171]	[121]	[9.68026]	[121]	[34157688]	[34157688]
49_1025	chr1	227397106	227397506	+	1000	256.0	[10.715776, 14.892951]	[74, 90]	[8.580954, 17.54071]	[74, 90]	[227397277, 227397293]	[227397277, 227397293]
49_10251	chr22	50539621	50540021	+	1000	73.0	[6.809537]	[119]	[3.0265872]	[119]	[50539827]	[50539827]
49_10257	chr3	125310845	125311245	+	1000	73.0	[5.923013]	[130]	[6.4814744]	[130]	[125311056]	[125311056]
49_10264	chr4	38867313	38867713	+	1000	73.0	[7.407259]	[108]	[7.0321693]	[108]	[38867517]	[38867517]
49_10275	chr5	86570846	86571246	+	1000	73.0	[12.471321]	[134]	[13.104909]	[134]	[86571052]	[86571052]
49_10279	chr5	141848959	141849359	+	1000	73.0	[2.900943]	[150]	[]	[]	[141849176]	[]
49_10280	chr5	149417035	149417435	+	1000	73.0	[10.9407625]	[99]	[8.668092]	[99]	[149417227]	[149417227]
49_10281	chr5	150142860	150143260	+	1000	73.0	[7.8477645]	[153]	[6.774785]	[153]	[150143097]	[150143097]
49_1030	chr2	17518274	17518674	+	1000	256.0	[]	[]	[2.8997188]	[96]	[]	[17518463]
49_10300	chr6	109678244	109678644	+	1000	73.0	[13.104909, 5.561468]	[103, 114]	[12.471321, 5.65542]	[103, 114]	[109678439, 109678450]	[109678439, 109678450]
49_10302	chr6	150267055	150267455	+	1000	73.0	[13.033171]	[111]	[9.68026]	[111]	[150267255]	[150267255]
49_10303	chr7	16709117	16709517	+	1000	73.0	[10.38541]	[111]	[12.32802]	[111]	[16709318]	[16709318]
49_10304	chr7	28266371	28266771	+	786	73.0	[9.68026]	[103]	[13.033171]	[103]	[28266561]	[28266561]
49_10311	chr7	120981818	120982218	+	1000	73.0	[]	[]	[2.9092066]	[102]	[]	[120982017]
49_10324	chr8	39233177	39233577	+	1000	73.0	[6.466311]	[91]	[7.2883983]	[91]	[39233355]	[39233355]
49_10338	chr9	76437261	76437661	+	1000	73.0	[14.892951]	[110]	[17.54071]	[110]	[76437467]	[76437467]
49_10359	chr1	8844434	8844834	+	1000	72.0	[5.871373]	[142]	[6.88005]	[142]	[8844653]	[8844653]
49_1036	chr17	27575149	27575549	+	1000	254.0	[12.689945]	[92]	[13.47666]	[92]	[27575337]	[27575337]
49_1037	chr19	30209928	30210328	+	1000	254.0	[18.801544]	[91]	[18.801544]	[91]	[30210119]	[30210119]
49_10376	chr1	65064124	65064524	+	847	72.0	[12.32802]	[95]	[10.38541]	[95]	[65064314]	[65064314]
49_1040	chr7	44898061	44898461	+	1000	254.0	[13.033171]	[94]	[9.68026]	[94]	[44898254]	[44898254]
49_1041	chr8	124959130	124959530	+	1000	254.0	[7.9637814]	[101]	[7.892218]	[101]	[124959324]	[124959324]
49_10418	chr10	100021334	100021734	+	1000	72.0	[13.033171]	[100]	[9.68026]	[100]	[100021523]	[100021523]
49_1042	chr12	7853548	7853948	+	1000	253.0	[14.892951]	[90]	[17.54071]	[90]	[7853733]	[7853733]
49_10422	chr11	44531112	44531512	+	1000	72.0	[7.443856]	[81]	[7.408483]	[81]	[44531277]	[44531277]
49_1043	chr3	32493427	32493827	+	1000	253.0	[8.669316]	[107]	[10.887038]	[107]	[32493630]	[32493630]
49_1044	chr3	45064719	45065119	+	1000	253.0	[5.8650107]	[121]	[7.164663]	[121]	[45064938]	[45064938]
49_10451	chr12	120204839	120205239	+	1000	72.0	[14.294004]	[108]	[13.588854]	[108]	[120205036]	[120205036]
49_1046	chr9	37362360	37362760	+	1000	253.0	[6.466311]	[92]	[6.822987]	[92]	[37362552]	[37362552]
49_10461	chr14	77040284	77040684	+	1000	72.0	[2.7901492]	[98]	[3.0288188]	[98]	[77040446]	[77040446]
49_10462	chr14	89525202	89525602	+	669	72.0	[13.47666]	[131]	[12.689945]	[131]	[89525424]	[89525424]
49_10463	chr15	39870090	39870490	+	1000	72.0	[17.54071]	[127]	[14.892951]	[127]	[39870300]	[39870300]
49_1047	chr9	130844145	130844545	+	1000	253.0	[8.704689]	[124]	[11.317077]	[124]	[130844359]	[130844359]
49_10479	chr16	14128017	14128417	+	1000	72.0	[7.694056]	[166]	[7.3639946]	[166]	[14128249]	[14128249]
49_1049	chrX	139213242	139213642	+	1000	253.0	[14.892951]	[100]	[17.54071]	[100]	[139213428]	[139213428]
49_10491	chr17	5772725	5773125	+	1000	72.0	[12.32802]	[114]	[10.38541]	[114]	[5772926]	[5772926]
49_105	chr12	127148298	127148698	+	1000	1001.0	[13.033171, 6.2082367]	[95, 127]	[9.68026, 3.368263]	[95, 127]	[127148492, 127148524]	[127148492, 127148524]
49_1050	chr1	84573012	84573412	+	1000	252.0	[7.3365355]	[107]	[3.350037]	[107]	[84573216]	[84573216]
49_10518	chr19	18379352	18379752	+	1000	72.0	[9.68026]	[95]	[13.033171]	[95]	[18379535]	[18379535]
49_1052	chr11	59732395	59732795	+	1000	252.0	[12.689945]	[108]	[13.47666]	[108]	[59732599]	[59732599]
49_10522	chr19	39093759	39094159	+	1000	72.0	[8.597369]	[105]	[7.2586308, 2.4127414]	[105, 131]	[39093962]	[39093962, 39093988]
49_10529	chr19	48634342	48634742	+	1000	72.0	[5.127591]	[94]	[2.5728807]	[94]	[48634531]	[48634531]
49_10532	chr19	51572377	51572777	+	1000	72.0	[6.095377]	[153]	[6.286746]	[153]	[51572599]	[51572599]
49_10533	chr2	24403478	24403878	+	1000	72.0	[13.033171]	[126]	[9.68026]	[126]	[24403691]	[24403691]
49_1054	chr20	46635770	46636170	+	1000	252.0	[13.47666]	[106]	[12.689945]	[106]	[46635966]	[46635966]
49_1055	chr4	38082710	38083110	+	1000	252.0	[6.8767114]	[98]	[6.4650865]	[98]	[38082907]	[38082907]
49_10553	chr2	208893551	208893951	+	1000	72.0	[13.033171]	[98]	[9.68026]	[98]	[208893730]	[208893730]
49_10557	chr20	35823101	35823501	+	1000	72.0	[2.7693167, 6.026879]	[80, 115]	[5.65542]	[115]	[35823275, 35823310]	[35823310]
49_10567	chr20	63816470	63816870	+	1000	72.0	[9.68026]	[164]	[13.033171]	[164]	[63816707]	[63816707]
49_10573	chr22	19299887	19300287	+	1000	72.0	[5.019141]	[195]	[]	[]	[19300087]	[]
49_10580	chr22	22026389	22026789	+	1000	72.0	[]	[]	[2.3813632]	[152]	[]	[22026623]
49_10582	chr22	22470003	22470403	+	1000	72.0	[]	[]	[5.0806165]	[81]	[]	[22470175]
49_1059	chrX	75086790	75087190	+	1000	252.0	[9.196315]	[91]	[11.210488]	[91]	[75086978]	[75086978]
49_10595	chr3	39177389	39177789	+	1000	72.0	[3.560476]	[116]	[6.0160236]	[116]	[39177604]	[39177604]
49_10596	chr3	40418037	40418437	+	1000	72.0	[2.59309]	[100]	[5.9921923]	[100]	[40418210]	[40418210]
49_10597	chr3	42830324	42830724	+	1000	72.0	[9.081313, 6.026879]	[101, 122]	[9.081313, 5.65542]	[101, 122]	[42830512, 42830533]	[42830512, 42830533]
49_10599	chr3	58706718	58707118	+	1000	72.0	[13.47666]	[95]	[12.689945]	[95]	[58706906]	[58706906]
49_106	chr19	8389737	8390137	+	1000	993.0	[5.751751]	[91]	[5.8895993]	[91]	[8389928]	[8389928]
49_10600	chr3	105626792	105627192	+	1000	72.0	[12.613283]	[125]	[12.57791]	[125]	[105627003]	[105627003]
49_10603	chr3	143320599	143320999	+	1000	72.0	[9.68026]	[104]	[13.033171]	[104]	[143320798]	[143320798]
49_10613	chr4	25378121	25378521	+	1000	72.0	[9.081313]	[113]	[9.081313]	[113]	[25378326]	[25378326]
49_10617	chr4	74544862	74545262	+	1000	72.0	[3.4554012, 4.490918]	[90, 121]	[6.9367356, 2.524629]	[90, 141]	[74545018, 74545049]	[74545018, 74545069]
49_10622	chr4	150950577	150950977	+	1000	72.0	[12.576686]	[105]	[12.201596]	[105]	[150950767]	[150950767]
49_10626	chr5	17517536	17517936	+	1000	72.0	[6.750442]	[98]	[3.2678688]	[98]	[17517733]	[17517733]
49_10627	chr5	39405524	39405924	+	1000	72.0	[14.892951]	[93]	[17.54071, 5.026892]	[93, 112]	[39405715]	[39405715, 39405734]
49_10628	chr5	43007484	43007884	+	1000	72.0	[5.492303]	[135]	[]	[]	[43007685]	[]
49_1063	chr7	34992230	34992630	+	1000	251.0	[5.322937]	[100]	[6.2659135]	[100]	[34992429]	[34992429]
49_1064	chr7	36217107	36217507	+	1000	251.0	[6.6374507]	[93]	[7.1854954]	[93]	[36217297]	[36217297]
49_10645	chr6	27078779	27079179	+	1000	72.0	[]	[]	[5.584129]	[178]	[]	[27078980]
49_10650	chr6	38827082	38827482	+	1000	72.0	[17.54071]	[135]	[14.892951]	[135]	[38827292]	[38827292]
49_10657	chr6	150849088	150849488	+	1000	72.0	[13.033171]	[113]	[9.68026]	[113]	[150849296]	[150849296]
49_10659	chr6	163484527	163484927	+	1000	72.0	[8.068016]	[99]	[11.228714]	[99]	[163484724]	[163484724]
49_10673	chr7	128705948	128706348	+	1000	72.0	[9.081313]	[98]	[9.081313]	[98]	[128706133]	[128706133]
49_10678	chr7	135959938	135960338	+	1000	72.0	[10.9407625, 3.7932866]	[101, 131]	[8.668092]	[101]	[135960130, 135960160]	[135960130]
49_1068	chr1	151492085	151492485	+	1000	250.0	[13.588854]	[102]	[14.294004]	[102]	[151492279]	[151492279]
49_1069	chr12	54937942	54938342	+	1000	250.0	[9.68026, 3.4554012]	[74, 106]	[13.033171, 6.433223]	[74, 106]	[54938110, 54938142]	[54938110, 54938142]
49_10692	chr8	100313418	100313818	+	1000	72.0	[]	[]	[2.524629]	[88]	[]	[100313569]
49_10693	chr8	133045820	133046220	+	939	72.0	[8.704689]	[173]	[11.317077]	[173]	[133046063]	[133046063]
49_10694	chr9	105890287	105890687	+	1000	72.0	[7.892218]	[184]	[7.9637814]	[184]	[105890525]	[105890525]
49_10695	chr9	108085233	108085633	+	1000	72.0	[13.47666]	[101]	[12.689945]	[101]	[108085433]	[108085433]
49_10703	chr9	131026994	131027394	+	1000	72.0	[14.892951]	[111]	[17.54071]	[111]	[131027203]	[131027203]
49_10704	chr9	131203806	131204206	+	1000	72.0	[]	[]	[4.943046]	[92]	[]	[131203989]
49_1071	chr5	37695618	37696018	+	1000	250.0	[17.54071]	[93]	[14.892951]	[93]	[37695809]	[37695809]
49_10716	chr1	16506580	16506980	+	1000	71.0	[2.3813632]	[64]	[]	[]	[16506737]	[]
49_1072	chr6	15062374	15062774	+	1000	250.0	[5.9977975, 7.407259]	[65, 105]	[4.688775, 7.5356817]	[65, 105]	[15062531, 15062571]	[15062531, 15062571]
49_10731	chr1	167760001	167760401	+	1000	71.0	[6.809537]	[132]	[3.0265872]	[132]	[167760155]	[167760155]
49_10732	chr1	167983678	167984078	+	1000	71.0	[7.0321693]	[109]	[7.407259]	[109]	[167983878]	[167983878]
49_10736	chr1	226870179	226870579	+	1000	71.0	[7.407259]	[175]	[7.5356817]	[175]	[226870414]	[226870414]
49_1074	chr1	58883731	58884131	+	1000	249.0	[6.9367356]	[99]	[3.4554012]	[99]	[58883927]	[58883927]
49_10745	chr10	28386127	28386527	+	1000	71.0	[7.780024]	[98]	[6.3597226]	[98]	[28386291]	[28386291]
49_10762	chr11	62860491	62860891	+	1000	71.0	[7.251801]	[81]	[6.089997]	[81]	[62860659]	[62860659]
49_10767	chr11	70038003	70038403	+	944	71.0	[9.68026]	[145]	[13.033171]	[145]	[70038232]	[70038232]
49_10773	chr12	28000836	28001236	+	1000	71.0	[12.689945]	[93]	[13.47666]	[93]	[28001026]	[28001026]
49_10776	chr12	49891223	49891623	+	1000	71.0	[12.471321]	[101]	[13.104909]	[101]	[49891418]	[49891418]
49_10777	chr12	52025638	52026038	+	1000	71.0	[7.320121]	[79]	[6.807183]	[79]	[52025797]	[52025797]
49_1078	chr15	55225000	55225400	+	1000	248.0	[13.632117]	[110]	[13.632117]	[110]	[55225206]	[55225206]
49_10781	chr12	108823800	108824200	+	1000	71.0	[]	[]	[2.900943]	[110]	[]	[108823994]
49_10787	chr13	91375096	91375496	+	1000	71.0	[3.0288188]	[93]	[2.7901492]	[93]	[91375262]	[91375262]
49_10790	chr14	65438516	65438916	+	1000	71.0	[11.315852]	[105]	[8.796515]	[105]	[65438711]	[65438711]
49_108	chr7	12747795	12748195	+	1000	979.0	[7.4772544]	[100]	[8.969119]	[100]	[12747991]	[12747991]
49_1080	chr15	41967926	41968326	+	1000	247.0	[7.0321693]	[101]	[7.407259]	[101]	[41968122]	[41968122]
49_10810	chr16	57955375	57955775	+	1000	71.0	[9.68026]	[120]	[13.033171]	[120]	[57955581]	[57955581]
49_10813	chr16	74567311	74567711	+	1000	71.0	[13.104909]	[125]	[12.471321]	[125]	[74567536]	[74567536]
49_10816	chr16	84647837	84648237	+	1000	71.0	[3.093856]	[134]	[6.110681]	[134]	[84647992]	[84647992]
49_1082	chr5	2156692	2157092	+	1000	247.0	[13.47666, 2.4444578]	[105, 156]	[12.689945, 4.752501]	[105, 156]	[2156888, 2156939]	[2156888, 2156939]
49_1084	chr10	21550193	21550593	+	1000	246.0	[8.562728]	[110]	[11.844076]	[110]	[21550394]	[21550394]
49_10843	chr18	3331167	3331567	+	1000	71.0	[14.892951, 7.3802238]	[94, 121]	[17.54071, 6.4650865]	[94, 121]	[3331349, 3331376]	[3331349, 3331376]
49_10846	chr18	57583399	57583799	+	1000	71.0	[6.264689, 8.601787]	[103, 141]	[5.3766613, 11.488216]	[103, 141]	[57583598, 57583636]	[57583598, 57583636]
49_1085	chr2	171137121	171137521	+	1000	246.0	[13.033171]	[102]	[9.68026]	[102]	[171137323]	[171137323]
49_10853	chr19	11084877	11085277	+	1000	71.0	[18.801544]	[105]	[18.801544]	[105]	[11085082]	[11085082]
49_1087	chr3	152269423	152269823	+	1000	246.0	[14.892951]	[102]	[17.54071]	[102]	[152269624]	[152269624]
49_10870	chr19	44567724	44568124	+	1000	71.0	[12.941398]	[110]	[12.069644]	[110]	[44567931]	[44567931]
49_1089	chr6	106673072	106673472	+	1000	246.0	[3.5686607, 9.68026, 4.538065]	[81, 113, 148]	[7.7082863, 13.033171, 2.9588187]	[81, 113, 148]	[106673247, 106673279, 106673314]	[106673247, 106673279, 106673314]
49_10897	chr20	50384655	50385055	+	1000	71.0	[2.4444578]	[93]	[4.2870903]	[93]	[50384830]	[50384830]
49_109	chr5	177425760	177426160	+	1000	975.0	[13.632117]	[101]	[13.632117]	[101]	[177425958]	[177425958]
49_1090	chr6	125918953	125919353	+	1000	246.0	[5.1727195]	[120]	[7.8204803]	[120]	[125919164]	[125919164]
49_10900	chr21	15743714	15744114	+	1000	71.0	[2.8564546]	[97]	[2.481365]	[97]	[15743909]	[15743909]
49_10904	chr22	21818485	21818885	+	1000	71.0	[4.752501]	[74]	[2.4444578]	[74]	[21818641]	[21818641]
49_1091	chr12	123941548	123941948	+	1000	245.0	[9.68026]	[97]	[13.033171]	[97]	[123941726]	[123941726]
49_10912	chr3	9402792	9403192	+	1000	71.0	[]	[]	[2.5381737]	[127]	[]	[9402962]
49_10916	chr3	71127812	71128212	+	1000	71.0	[8.562728]	[137]	[11.844076]	[137]	[71128010]	[71128010]
49_10917	chr3	127587364	127587764	+	1000	71.0	[9.1245775]	[142]	[8.419427]	[142]	[127587587]	[127587587]
49_1092	chr19	10836431	10836831	+	1000	245.0	[5.2441273]	[131]	[]	[]	[10836652]	[]
49_10923	chr4	52791905	52792305	+	1000	71.0	[13.47666]	[79]	[12.689945]	[79]	[52792084]	[52792084]
49_10925	chr4	99021624	99022024	+	1000	71.0	[13.033171, 4.1617765]	[118, 140]	[9.68026, 6.1397586]	[118, 140]	[99021834, 99021856]	[99021834, 99021856]
49_1093	chr3	32074106	32074506	+	1000	245.0	[13.588854]	[100]	[14.294004]	[100]	[32074302]	[32074302]
49_1094	chr6	26474095	26474495	+	1000	245.0	[6.2082367]	[94]	[3.368263]	[94]	[26474286]	[26474286]
49_10943	chr5	160362126	160362526	+	1000	71.0	[13.588854]	[106]	[14.294004]	[106]	[160362324]	[160362324]
49_10946	chr5	180779441	180779841	+	1000	71.0	[12.51038, 5.788348]	[119, 151]	[12.74905, 6.2659135]	[119, 151]	[180779650, 180779682]	[180779650, 180779682]
49_1095	chrX	134929799	134930199	+	1000	245.0	[14.294004]	[95]	[13.588854]	[95]	[134929990]	[134929990]
49_10952	chr6	24974510	24974910	+	1000	71.0	[7.694056]	[129]	[7.3639946]	[129]	[24974731]	[24974731]
49_10953	chr6	26569854	26570254	+	1000	71.0	[2.8997188]	[122]	[]	[]	[26570058]	[]
49_1096	chr12	113336073	113336473	+	1000	244.0	[13.47666]	[106]	[12.689945]	[106]	[113336273]	[113336273]
49_10960	chr6	33837429	33837829	+	1000	71.0	[17.54071, 5.62807]	[107, 134]	[14.892951]	[107]	[33837613, 33837640]	[33837613]
49_1097	chr12	124487462	124487862	+	1000	244.0	[8.49522]	[95]	[8.9991455]	[95]	[124487656]	[124487656]
49_10985	chr7	129801877	129802277	+	1000	71.0	[4.888268]	[130]	[2.3769279]	[130]	[129802088]	[129802088]
49_10999	chr9	38389870	38390270	+	1000	71.0	[14.294004]	[103]	[13.588854]	[103]	[38390040]	[38390040]
49_11000	chr9	98806632	98807032	+	1000	71.0	[3.4554012]	[103]	[6.433223]	[103]	[98806835]	[98806835]
49_1101	chrX	47530011	47530411	+	1000	244.0	[13.033171]	[92]	[9.68026]	[92]	[47530200]	[47530200]
49_11016	chrUn_KI270336v1	-63	337	+	1000	71.0	[6.774686]	[84]	[6.774686]	[84]	[108]	[108]
49_1102	chr16	10325630	10326030	+	1000	243.0	[12.689945]	[102]	[13.47666]	[102]	[10325804]	[10325804]
49_11026	chr1	15128423	15128823	+	1000	70.0	[7.2447624]	[128]	[5.7394214]	[128]	[15128637]	[15128637]
49_1103	chr17	8412026	8412426	+	1000	243.0	[2.7943547]	[102]	[2.7227912]	[102]	[8412227]	[8412227]
49_11032	chr1	25526741	25527141	+	1000	70.0	[14.294004]	[124]	[13.588854]	[124]	[25526957]	[25526957]
49_1106	chr5	51099460	51099860	+	1000	243.0	[13.47666]	[103]	[12.689945]	[103]	[51099654]	[51099654]
49_11061	chr1	205458923	205459323	+	1000	70.0	[2.8726838]	[63]	[]	[]	[205459083]	[]
49_11062	chr1	207232521	207232921	+	1000	70.0	[7.320121]	[164]	[6.807183]	[164]	[207232769]	[207232769]
49_11066	chr1	231046788	231047188	+	1000	70.0	[7.9637814]	[140]	[7.892218]	[140]	[231047015]	[231047015]
49_11073	chr10	47166776	47167176	+	1000	70.0	[13.033171]	[106]	[9.68026]	[106]	[47166978]	[47166978]
49_11078	chr10	119306023	119306423	+	1000	70.0	[2.4444578]	[102]	[4.2870903]	[102]	[119306220]	[119306220]
49_1108	chr9	98851660	98852060	+	1000	243.0	[6.3597226]	[93]	[7.780024]	[93]	[98851852]	[98851852]
49_11091	chr11	97743204	97743604	+	1000	70.0	[9.68026]	[103]	[13.033171]	[103]	[97743399]	[97743399]
49_111	chr1	155834535	155834935	+	1000	970.0	[14.892951]	[109]	[17.54071]	[109]	[155834741]	[155834741]
49_1110	chr1	233721259	233721659	+	1000	242.0	[14.892951]	[100]	[17.54071]	[100]	[233721457]	[233721457]
49_11101	chr12	53965750	53966150	+	1000	70.0	[13.632117]	[120]	[13.632117]	[120]	[53965963]	[53965963]
49_11103	chr12	54251692	54252092	+	1000	70.0	[2.4073205]	[140]	[5.390892]	[140]	[54251929]	[54251929]
49_11114	chr12	116609735	116610135	+	1000	70.0	[10.9407625]	[165]	[8.668092]	[165]	[116609980]	[116609980]
49_11122	chr13	95743175	95743575	+	1000	70.0	[9.68026]	[109]	[13.033171]	[109]	[95743377]	[95743377]
49_11123	chr13	107889055	107889455	+	1000	70.0	[4.752501]	[115]	[5.17622, 2.4444578]	[105, 115]	[107889228]	[107889218, 107889228]
49_11125	chr13	110471809	110472209	+	1000	70.0	[5.264582]	[82]	[2.413525]	[82]	[110471982]	[110471982]
49_11127	chr14	34655945	34656345	+	1000	70.0	[11.444276]	[95]	[8.668092]	[95]	[34656136]	[34656136]
49_11128	chr14	102552108	102552508	+	1000	70.0	[2.6082535]	[70]	[5.0922184]	[70]	[102552263]	[102552263]
49_11130	chr14	105032583	105032983	+	1000	70.0	[13.47666]	[86]	[12.689945]	[86]	[105032758]	[105032758]
49_11135	chr15	65837331	65837731	+	1000	70.0	[]	[]	[2.524629]	[134]	[]	[65837552]
49_11139	chr15	100596710	100597110	+	1000	70.0	[]	[]	[2.3737345]	[130]	[]	[100596936]
49_11154	chr16	48165959	48166359	+	1000	70.0	[14.294004]	[113]	[13.588854]	[113]	[48166166]	[48166166]
49_11156	chr16	69865749	69866149	+	1000	70.0	[4.2870903]	[85]	[2.4444578]	[85]	[69865905]	[69865905]
49_11158	chr17	3893280	3893680	+	1000	70.0	[]	[]	[5.0246882]	[91]	[]	[3893450]
