#PeakID(python identify_motif.py ./ENCODE_processed_files/ATF3_idr.fa ATF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
886_10234	chr6	8083330	8083730	+	1000	195.5	[5.0544653]	[90]	[4.625799]	[90]	[8083492]	[8083492]
886_10238	chr9	128551868	128552268	+	1000	195.5	[4.625799]	[103]	[5.0544653]	[103]	[128552065]	[128552065]
886_1024	chr11	62622009	62622409	+	1000	743.0	[16.662966]	[98]	[16.662966]	[98]	[62622204]	[62622204]
886_10243	chr1	68291999	68292399	+	1000	195.0	[7.4727845]	[110]	[7.2392173]	[110]	[68292202]	[68292202]
886_10265	chr6	100228350	100228750	+	1000	195.0	[11.304774]	[129]	[11.304774]	[129]	[100228561]	[100228561]
886_1027	chr5	179678376	179678776	+	1000	741.5	[6.136028]	[103]	[6.265752]	[103]	[179678577]	[179678577]
886_10270	chr1	7827404	7827804	+	1000	194.5	[7.2392173]	[114]	[7.4727845]	[114]	[7827600]	[7827600]
886_10282	chr20	62405360	62405760	+	1000	194.5	[5.6226363, 17.30608]	[118, 134]	[5.502812, 17.29618]	[118, 134]	[62405557, 62405573]	[62405557, 62405573]
886_1030	chr19	50334107	50334507	+	1000	741.0	[7.7965717, 10.671558, 13.53349]	[65, 76, 106]	[7.49763, 10.661659, 13.413666]	[65, 76, 106]	[50334270, 50334281, 50334311]	[50334270, 50334281, 50334311]
886_10301	chr11	69101059	69101459	+	1000	194.0	[17.30608]	[105]	[17.29618]	[105]	[69101264]	[69101264]
886_10304	chr12	109888290	109888690	+	1000	194.0	[6.145928]	[103]	[6.255852]	[103]	[109888485]	[109888485]
886_1032	chr16	29290984	29291384	+	1000	740.0	[10.028443]	[113]	[10.028443]	[113]	[29291190]	[29291190]
886_10327	chr9	120926007	120926407	+	1000	194.0	[4.670253]	[83]	[4.670253]	[83]	[120926184]	[120926184]
886_10330	chr1	22185198	22185598	+	1000	193.5	[13.53349]	[94]	[13.413666]	[94]	[22185383]	[22185383]
886_10348	chr17	78934149	78934549	+	1000	193.5	[12.536653, 5.687681]	[101, 104]	[12.965319, 5.268915]	[101, 104]	[78934347, 78934350]	[78934347, 78934350]
886_1035	chr16	81007262	81007662	+	1000	739.0	[16.662966]	[119]	[16.662966]	[119]	[81007474]	[81007474]
886_1036	chr2	97664020	97664420	+	1000	739.0	[12.536653]	[105]	[12.965319]	[105]	[97664215]	[97664215]
886_10366	chr6	47309751	47310151	+	1000	193.5	[11.260322]	[163]	[11.688987]	[163]	[47309972]	[47309972]
886_10376	chr11	17260145	17260545	+	1000	193.0	[12.965319]	[91]	[12.536653]	[91]	[17260307]	[17260307]
886_1038	chr6	35259276	35259676	+	1000	738.5	[13.240523]	[98]	[13.4641905]	[98]	[35259455]	[35259455]
886_10401	chr6	70164580	70164980	+	1000	193.0	[8.559512]	[75]	[8.011022]	[75]	[70164750]	[70164750]
886_10402	chr6	169765772	169766172	+	1000	193.0	[6.136028, 6.779144]	[167, 203]	[6.265752, 6.8989677]	[167, 203]	[169765952, 169765988]	[169765952, 169765988]
886_10403	chr7	43869823	43870223	+	1000	193.0	[]	[]	[4.037037]	[72]	[]	[43869985]
886_10406	chr8	48514385	48514785	+	1000	193.0	[10.041749]	[131]	[10.041749]	[131]	[48514592]	[48514592]
886_1042	chr4	169620322	169620722	+	1000	738.0	[16.662966]	[107]	[16.662966]	[107]	[169620521]	[169620521]
886_10427	chr17	51046623	51047023	+	1000	192.5	[17.939297]	[104]	[17.939297]	[104]	[51046818]	[51046818]
886_1043	chr7	25862185	25862585	+	1000	738.0	[9.581676]	[98]	[9.467933]	[98]	[25862383]	[25862383]
886_10430	chr19	53311899	53312299	+	1000	192.5	[17.30608]	[99]	[17.29618]	[99]	[53312097]	[53312097]
886_10431	chr19	55431024	55431424	+	1000	192.5	[5.259015, 6.3307967, 5.259015, 4.625799]	[77, 80, 105, 140]	[5.697581, 5.902131, 5.697581, 5.0544653]	[77, 80, 105, 140]	[55431194, 55431197, 55431222, 55431257]	[55431194, 55431197, 55431222, 55431257]
886_1044	chr10	11539285	11539685	+	1000	737.5	[4.670253, 6.8545146]	[121, 126]	[4.670253, 7.163356]	[121, 126]	[11539494, 11539499]	[11539494, 11539499]
886_10454	chr10	117005034	117005434	+	1000	192.0	[5.697581]	[111]	[5.259015]	[111]	[117005237]	[117005237]
886_10456	chr12	92442822	92443222	+	1000	192.0	[4.7305465, 5.902131]	[67, 102]	[4.7366085, 6.3307967]	[67, 102]	[92442979, 92443014]	[92442979, 92443014]
886_1046	chr2	201781210	201781610	+	1000	737.5	[17.939297]	[94]	[17.939297]	[94]	[201781403]	[201781403]
886_10471	chr20	5784827	5785227	+	1000	192.0	[10.671558]	[109]	[10.661659]	[109]	[5784988]	[5784988]
886_10475	chr6	116253970	116254370	+	1000	192.0	[7.837879]	[115]	[8.490212]	[115]	[116254130]	[116254130]
886_1048	chr7	75624115	75624515	+	1000	737.5	[10.028443, 4.037037]	[126, 131]	[10.028443, 4.0306325]	[126, 131]	[75624341, 75624346]	[75624341, 75624346]
886_1049	chr1	112700771	112701171	+	1000	737.0	[11.304774]	[121]	[11.304774]	[121]	[112700985]	[112700985]
886_10502	chr3	46893720	46894120	+	1000	191.5	[17.939297]	[102]	[17.939297]	[102]	[46893917]	[46893917]
886_10507	chr6	42190761	42191161	+	1000	191.5	[5.268915]	[143]	[5.687681]	[143]	[42190976]	[42190976]
886_10516	chr1	10378446	10378846	+	1000	191.0	[5.697581]	[191]	[4.040532, 5.259015]	[120, 191]	[10378684]	[10378613, 10378684]
886_10550	chr1	89738950	89739350	+	1000	190.5	[8.061547]	[142]	[8.266545]	[142]	[89739180]	[89739180]
886_1056	chr19	48963718	48964118	+	1000	735.0	[7.2392173]	[73]	[7.4727845]	[73]	[48963874]	[48963874]
886_10560	chr14	101927795	101928195	+	1000	190.5	[7.4727845]	[133]	[7.2392173]	[133]	[101928026]	[101928026]
886_10568	chr2	178522962	178523362	+	1000	190.5	[11.304774]	[78]	[11.304774]	[78]	[178523131]	[178523131]
886_10575	chr6	26300346	26300746	+	1000	190.5	[9.133328, 6.3307967]	[104, 145]	[8.471095, 5.902131]	[104, 145]	[26300524, 26300565]	[26300524, 26300565]
886_10597	chr12	92137257	92137657	+	1000	190.0	[7.163356]	[165]	[6.8545146]	[165]	[92137482]	[92137482]
886_1061	chr3	99817632	99818032	+	1000	733.5	[17.30608]	[102]	[17.29618]	[102]	[99817832]	[99817832]
886_10611	chr2	27706163	27706563	+	1000	190.0	[11.304774]	[112]	[11.304774]	[112]	[27706367]	[27706367]
886_10626	chr7	140275509	140275909	+	1000	190.0	[5.268915]	[162]	[5.687681]	[162]	[140275745]	[140275745]
886_10628	chr8	37864377	37864777	+	1000	190.0	[5.697581]	[64]	[5.259015]	[64]	[37864530]	[37864530]
886_10638	chr12	58310720	58311120	+	1000	189.5	[4.037037]	[137]	[]	[]	[58310951]	[]
886_10640	chr19	47512200	47512600	+	1000	189.5	[12.965319]	[100]	[12.536653]	[100]	[47512397]	[47512397]
886_10659	chr7	148940932	148941332	+	1000	189.5	[4.037037]	[126]	[]	[]	[148941096]	[]
886_10676	chr16	2008095	2008495	+	1000	189.0	[10.671558]	[211]	[10.661659]	[211]	[2008316]	[2008316]
886_10681	chr2	10449938	10450338	+	1000	189.0	[6.8989677]	[108]	[6.779144]	[108]	[10450144]	[10450144]
886_10685	chr3	8963284	8963684	+	1000	189.0	[9.348108]	[103]	[9.7015]	[103]	[8963468]	[8963468]
886_10699	chr11	59171484	59171884	+	1000	188.5	[6.8989677]	[123]	[6.779144]	[123]	[59171687]	[59171687]
886_1070	chr22	38201749	38202149	+	1000	730.5	[16.662966]	[93]	[16.662966]	[93]	[38201939]	[38201939]
886_10706	chr18	79248657	79249057	+	1000	188.5	[4.670253, 12.332103]	[96, 120]	[4.670253, 11.8935375]	[96, 120]	[79248842, 79248866]	[79248842, 79248866]
886_10725	chr7	20200404	20200804	+	1000	188.5	[7.49763, 6.8989677]	[92, 117]	[7.7965717, 6.779144]	[92, 117]	[20200591, 20200616]	[20200591, 20200616]
886_10727	chr7	73320001	73320401	+	1000	188.5	[4.670253]	[107]	[4.670253]	[107]	[73320181]	[73320181]
886_10728	chr7	99103299	99103699	+	1000	188.5	[4.037037]	[94]	[]	[]	[99103458]	[]
886_1073	chr12	6663196	6663596	+	1000	729.5	[17.29618]	[101]	[17.30608]	[101]	[6663395]	[6663395]
886_10731	chr1	8194437	8194837	+	1000	188.0	[7.806472]	[125]	[7.4877305]	[125]	[8194594]	[8194594]
886_10737	chr11	74418425	74418825	+	1000	188.0	[8.011022]	[151]	[8.559512]	[151]	[74418658]	[74418658]
886_1074	chr2	157324387	157324787	+	1000	729.5	[5.373662]	[72]	[5.3698244]	[72]	[157324553]	[157324553]
886_10751	chr3	44729400	44729800	+	1000	188.0	[13.4641905]	[103]	[13.240523]	[103]	[44729601]	[44729601]
886_10760	chr6	108562589	108562989	+	1000	188.0	[8.130846, 4.670253]	[103, 111]	[8.439688, 4.673748]	[103, 111]	[108562786, 108562794]	[108562786, 108562794]
886_10799	chr6	135234383	135234783	+	1000	187.5	[14.1073065, 12.965319, 12.536653]	[86, 103, 111]	[13.873739, 12.536653, 12.965319]	[86, 103, 111]	[135234567, 135234584, 135234592]	[135234567, 135234584, 135234592]
886_10804	chr9	130535954	130536354	+	1000	187.5	[7.837879]	[101]	[8.490212]	[101]	[130536146]	[130536146]
886_10825	chr20	53829376	53829776	+	938	187.0	[]	[]	[4.037037]	[141]	[]	[53829572]
886_10827	chr4	152991882	152992282	+	1000	187.0	[17.939297, 4.037037]	[111, 149]	[17.939297]	[111]	[152992087, 152992125]	[152992087]
886_10830	chr6	31657603	31658003	+	1000	187.0	[11.260322, 11.260322]	[101, 133]	[11.688987, 11.688987]	[101, 133]	[31657800, 31657832]	[31657800, 31657832]
886_10839	chr1	31426306	31426706	+	1000	186.5	[17.30608]	[117]	[17.29618]	[117]	[31426518]	[31426518]
886_10848	chr10	49165901	49166301	+	1000	186.5	[4.670253]	[189]	[4.670253]	[189]	[49166112]	[49166112]
886_10852	chr15	48940570	48940970	+	1000	186.5	[12.008184]	[72]	[12.004346]	[72]	[48940727]	[48940727]
886_10855	chr2	37390410	37390810	+	1000	186.5	[4.670253]	[125]	[4.673748]	[125]	[37390632]	[37390632]
886_10864	chr5	77936035	77936435	+	1000	186.5	[5.9056263, 8.439688]	[85, 108]	[6.3307967, 8.130846]	[85, 108]	[77936219, 77936242]	[77936219, 77936242]
886_10876	chr12	65948969	65949369	+	1000	186.0	[17.939297]	[127]	[17.939297]	[127]	[65949179]	[65949179]
886_10884	chr17	37488305	37488705	+	1000	186.0	[13.4641905]	[244]	[13.240523]	[244]	[37488511]	[37488511]
886_10906	chr6	33208200	33208600	+	1000	186.0	[10.028443]	[210]	[10.028443]	[210]	[33208444]	[33208444]
886_10909	chr8	10839690	10840090	+	1000	186.0	[13.240523]	[106]	[13.4641905]	[106]	[10839889]	[10839889]
886_10914	chrX	11268962	11269362	+	1000	186.0	[6.8296685]	[180]	[6.6060014]	[180]	[11269156]	[11269156]
886_10925	chr16	12321277	12321677	+	1000	185.5	[17.939297]	[111]	[17.939297]	[111]	[12321478]	[12321478]
886_10932	chr17	59619443	59619843	+	1000	185.5	[6.6060014]	[112]	[6.8296685]	[112]	[59619621]	[59619621]
886_10942	chr22	27886292	27886692	+	1000	185.5	[11.8935375]	[86]	[12.332103]	[86]	[27886467]	[27886467]
886_10944	chr4	996446	996846	+	1000	185.5	[10.671558]	[162]	[10.661659]	[162]	[996674]	[996674]
886_10967	chr15	40744146	40744546	+	1000	185.0	[4.037037]	[161]	[]	[]	[40744374]	[]
886_10983	chr5	65032283	65032683	+	1000	185.0	[7.4727845]	[116]	[7.2392173]	[116]	[65032473]	[65032473]
886_11014	chr20	44210801	44211201	+	1000	184.5	[5.1758685]	[119]	[4.9423013]	[119]	[44210977]	[44210977]
886_11019	chr5	55551905	55552305	+	1000	184.5	[17.30608]	[94]	[17.29618]	[94]	[55552099]	[55552099]
886_1102	chr14	35331637	35332037	+	1000	720.5	[4.179032, 14.1073065]	[95, 116]	[4.493954, 13.873739]	[95, 116]	[35331824, 35331845]	[35331824, 35331845]
886_11028	chr1	12173682	12174082	+	1000	184.0	[11.260322, 11.260322]	[94, 112]	[11.688987, 11.688987]	[94, 112]	[12173865, 12173883]	[12173865, 12173883]
886_11029	chr1	44739646	44740046	+	1000	184.0	[4.670253]	[267]	[4.670253]	[267]	[44739804]	[44739804]
886_11033	chr1	202589162	202589562	+	1000	184.0	[8.061547]	[165]	[8.266545]	[165]	[202589402]	[202589402]
886_11045	chr19	40750392	40750792	+	1000	184.0	[]	[]	[4.037037]	[145]	[]	[40750557]
886_11054	chr4	121827860	121828260	+	1000	184.0	[4.298856]	[89]	[4.3741302]	[89]	[121828041]	[121828041]
886_1106	chr17	58666733	58667133	+	1000	719.5	[17.30608]	[98]	[17.29618]	[98]	[58666918]	[58666918]
886_11066	chr9	122264663	122265063	+	1000	184.0	[16.662966]	[112]	[16.662966]	[112]	[122264863]	[122264863]
886_11073	chr10	77909731	77910131	+	1000	183.5	[4.037037]	[187]	[]	[]	[77909930]	[]
886_11079	chr13	46687777	46688177	+	1000	183.5	[4.670253]	[120]	[4.670253]	[120]	[46687987]	[46687987]
886_11086	chr17	73770471	73770871	+	1000	183.5	[10.671558, 12.322203]	[106, 133]	[10.661659, 11.903437]	[106, 133]	[73770658, 73770685]	[73770658, 73770685]
886_11094	chr3	42014275	42014675	+	1000	183.5	[12.965319]	[83]	[12.536653]	[83]	[42014453]	[42014453]
886_11099	chr4	169612430	169612830	+	974	183.5	[13.240523]	[102]	[13.4641905]	[102]	[169612625]	[169612625]
886_111	chr4	158672055	158672455	+	1000	1322.0	[6.145928]	[91]	[6.255852]	[91]	[158672246]	[158672246]
886_11107	chr1	31488511	31488911	+	1000	183.0	[11.37113, 11.688987]	[126, 138]	[11.365068, 11.260322]	[126, 138]	[31488729, 31488741]	[31488729, 31488741]
886_11117	chr11	73983326	73983726	+	1000	183.0	[10.028443]	[152]	[10.028443]	[152]	[73983535]	[73983535]
886_11119	chr12	8066255	8066655	+	1000	183.0	[6.8296685]	[114]	[6.6060014]	[114]	[8066460]	[8066460]
886_11125	chr17	43778198	43778598	+	1000	183.0	[6.6060014, 10.028443]	[69, 114]	[6.8296685, 10.028443]	[69, 114]	[43778354, 43778399]	[43778354, 43778399]
886_11128	chr18	77054596	77054996	+	1000	183.0	[16.662966, 4.625799]	[101, 150]	[16.662966, 5.0544653]	[101, 150]	[77054790, 77054839]	[77054790, 77054839]
886_11156	chr1	167219665	167220065	+	1000	182.5	[]	[]	[4.037037]	[75]	[]	[167219825]
886_11157	chr1	172717670	172718070	+	1000	182.5	[11.260322]	[100]	[11.688987]	[100]	[172717868]	[172717868]
886_11179	chr3	31536373	31536773	+	1000	182.5	[16.662966]	[105]	[16.662966]	[105]	[31536575]	[31536575]
886_11181	chr5	126761953	126762353	+	1000	182.5	[12.965319]	[102]	[12.536653]	[102]	[126762154]	[126762154]
886_11199	chr11	818636	819036	+	1000	182.0	[11.688987]	[146]	[11.260322]	[146]	[818852]	[818852]
886_11205	chr14	60091687	60092087	+	1000	182.0	[10.665154, 10.028443]	[113, 118]	[10.671558, 10.028443]	[113, 118]	[60091890, 60091895]	[60091890, 60091895]
886_11223	chr9	127390554	127390954	+	1000	182.0	[10.671558]	[93]	[10.661659]	[93]	[127390745]	[127390745]
886_11224	chrX	53225092	53225492	+	1000	182.0	[5.502812]	[135]	[5.6226363]	[135]	[53225277]	[53225277]
886_11240	chr17	17028106	17028506	+	1000	181.5	[5.635942]	[65]	[5.516118]	[65]	[17028266]	[17028266]
886_11244	chr19	34319779	34320179	+	1000	181.5	[7.4727845]	[153]	[7.2392173]	[153]	[34320004]	[34320004]
886_11267	chr7	99699211	99699611	+	1000	181.5	[4.037037]	[189]	[]	[]	[99699411]	[]
886_11271	chr8	85841719	85842119	+	1000	181.5	[8.439688]	[97]	[8.130846]	[97]	[85841914]	[85841914]
886_11283	chr12	14367121	14367521	+	1000	181.0	[17.29618]	[107]	[17.30608]	[107]	[14367325]	[14367325]
886_11296	chr3	119311646	119312046	+	1000	181.0	[8.899761]	[103]	[8.704662]	[103]	[119311842]	[119311842]
886_11310	chr1	1358401	1358801	+	1000	180.5	[11.688987]	[101]	[11.260322]	[101]	[1358597]	[1358597]
886_11321	chr1	225428687	225429087	+	1000	180.5	[5.268915]	[240]	[5.687681]	[240]	[225428869]	[225428869]
886_11326	chr11	73716111	73716511	+	1000	180.5	[5.687681, 9.133328]	[96, 120]	[5.268915, 8.471095]	[96, 120]	[73716293, 73716317]	[73716293, 73716317]
886_11327	chr11	119368328	119368728	+	1000	180.5	[7.2392173]	[95]	[7.4727845]	[95]	[119368523]	[119368523]
886_11330	chr14	68483910	68484310	+	1000	180.5	[6.136028]	[218]	[6.265752]	[218]	[68484151]	[68484151]
886_11339	chr19	41183321	41183721	+	1000	180.5	[8.130846]	[96]	[8.439688]	[96]	[41183516]	[41183516]
886_11346	chr22	22929762	22930162	+	852	180.5	[8.266545]	[105]	[8.061547]	[105]	[22929947]	[22929947]
886_11351	chr4	185580733	185581133	+	1000	180.5	[12.965319]	[103]	[12.536653]	[103]	[185580924]	[185580924]
886_1137	chr21	44581938	44582338	+	1000	711.5	[17.939297]	[98]	[17.939297]	[98]	[44582135]	[44582135]
886_11382	chr16	81730368	81730768	+	1000	180.0	[11.37113]	[101]	[11.365068]	[101]	[81730563]	[81730563]
886_11391	chr3	49248869	49249269	+	1000	180.0	[11.304774]	[105]	[11.304774]	[105]	[49249068]	[49249068]
886_11394	chr5	32276454	32276854	+	1000	180.0	[8.130846]	[77]	[8.439688]	[77]	[32276620]	[32276620]
886_1140	chr22	20080977	20081377	+	1000	711.0	[11.304774]	[108]	[11.304774]	[108]	[20081184]	[20081184]
886_11401	chr9	36169167	36169567	+	1000	180.0	[4.670253, 12.965319]	[89, 106]	[4.670253, 12.536653]	[89, 106]	[36169348, 36169365]	[36169348, 36169365]
886_11406	chr1	20636961	20637361	+	1000	179.5	[16.662966]	[139]	[16.662966]	[139]	[20637183]	[20637183]
886_11412	chr1	203007108	203007508	+	1000	179.5	[6.255852]	[135]	[6.145928]	[135]	[203007290]	[203007290]
886_11413	chr1	225425311	225425711	+	1000	179.5	[7.2392173]	[105]	[7.4727845]	[105]	[225425510]	[225425510]
886_11425	chr2	33411821	33412221	+	1000	179.5	[17.29618]	[102]	[17.30608]	[102]	[33412020]	[33412020]
886_11431	chr3	143443770	143444170	+	1000	179.5	[6.255852]	[188]	[6.145928]	[188]	[143444001]	[143444001]
886_11432	chr3	195118239	195118639	+	1000	179.5	[6.6060014]	[166]	[6.8296685]	[166]	[195118489]	[195118489]
886_11435	chr6	10314587	10314987	+	889	179.5	[10.041749]	[105]	[10.041749]	[105]	[10314783]	[10314783]
886_11436	chr6	15036862	15037262	+	1000	179.5	[4.625799]	[147]	[5.0544653]	[147]	[15037096]	[15037096]
886_11438	chr7	112453458	112453858	+	1000	179.5	[11.903437]	[119]	[12.322203]	[119]	[112453677]	[112453677]
886_11457	chr21	42195290	42195690	+	1000	179.0	[10.028443]	[98]	[10.028443]	[98]	[42195488]	[42195488]
886_1147	chr11	12201026	12201426	+	1000	708.5	[10.671558]	[103]	[10.661659]	[103]	[12201223]	[12201223]
886_11491	chr18	46536424	46536824	+	1000	178.5	[7.4727845, 6.3307967]	[128, 161]	[7.2392173, 5.902131]	[128, 161]	[46536620, 46536653]	[46536620, 46536653]
886_115	chr6	26026179	26026579	+	1000	1319.5	[16.662966]	[109]	[16.662966]	[109]	[26026383]	[26026383]
886_11508	chr7	13987437	13987837	+	1000	178.5	[10.661659]	[118]	[10.671558]	[118]	[13987589]	[13987589]
886_11510	chr7	158187073	158187473	+	1000	178.5	[17.29618]	[103]	[17.30608]	[103]	[158187239]	[158187239]
886_11534	chr19	5903908	5904308	+	1000	178.0	[6.255852]	[104]	[6.145928]	[104]	[5904104]	[5904104]
886_11548	chr5	76527758	76528158	+	1000	178.0	[8.704662, 12.965319]	[127, 135]	[8.899761, 12.536653]	[127, 135]	[76527967, 76527975]	[76527967, 76527975]
886_1155	chr20	49915358	49915758	+	1000	707.5	[11.8935375]	[95]	[12.332103]	[95]	[49915543]	[49915543]
886_11564	chr10	119737809	119738209	+	1000	177.5	[4.037037]	[96]	[]	[]	[119737987]	[]
886_11568	chr11	72103293	72103693	+	1000	177.5	[11.304774]	[168]	[11.304774]	[168]	[72103490]	[72103490]
886_11575	chr19	45001134	45001534	+	1000	177.5	[16.662966]	[126]	[4.037037, 16.662966]	[89, 126]	[45001355]	[45001318, 45001355]
886_11595	chr9	12814351	12814751	+	648	177.5	[6.3910904, 6.3307967]	[58, 101]	[5.968487, 5.902131]	[58, 101]	[12814508, 12814551]	[12814508, 12814551]
886_116	chr9	129777069	129777469	+	1000	1319.5	[16.662966]	[104]	[16.662966]	[104]	[129777265]	[129777265]
886_11612	chr17	1617749	1618149	+	1000	177.0	[10.661659]	[165]	[10.671558]	[165]	[1617989]	[1617989]
886_11626	chr6	44925318	44925718	+	1000	177.0	[8.011022, 5.687681]	[100, 103]	[8.559512, 5.268915]	[100, 103]	[44925517, 44925520]	[44925517, 44925520]
886_1163	chr11	45899644	45900044	+	1000	705.5	[10.028443, 10.028443]	[77, 110]	[10.028443, 10.028443]	[77, 110]	[45899819, 45899852]	[45899819, 45899852]
886_11659	chr7	76356791	76357191	+	1000	176.5	[11.688987]	[108]	[11.260322]	[108]	[76356974]	[76356974]
886_1166	chr6	119628283	119628683	+	1000	705.0	[5.259015]	[115]	[5.697581]	[115]	[119628472]	[119628472]
886_11673	chr10	62064061	62064461	+	1000	176.0	[12.536653]	[95]	[12.965319]	[95]	[62064255]	[62064255]
886_11681	chr13	31162552	31162952	+	1000	176.0	[17.30608]	[141]	[17.29618]	[141]	[31162739]	[31162739]
886_11688	chr20	973803	974203	+	1000	176.0	[6.145928]	[89]	[6.255852]	[89]	[973962]	[973962]
886_11694	chr3	45760796	45761196	+	1000	176.0	[16.662966]	[97]	[16.662966]	[97]	[45760990]	[45760990]
886_117	chr1	9428780	9429180	+	1000	1316.0	[8.93856, 17.30608]	[83, 110]	[8.834717, 17.29618]	[83, 110]	[9428956, 9428983]	[9428956, 9428983]
886_11705	chr1	212035542	212035942	+	1000	175.5	[13.240523]	[106]	[13.4641905]	[106]	[212035730]	[212035730]
886_11713	chr14	73886368	73886768	+	1000	175.5	[11.37113]	[114]	[11.365068]	[114]	[73886569]	[73886569]
886_11728	chr21	29321189	29321589	+	1000	175.5	[4.625799]	[102]	[5.0544653]	[102]	[29321381]	[29321381]
886_11738	chr7	112480614	112481014	+	1000	175.5	[12.536653]	[87]	[12.965319]	[87]	[112480798]	[112480798]
886_11739	chr7	156360819	156361219	+	1000	175.5	[12.965319, 5.3698244]	[105, 119]	[12.536653, 5.373662]	[105, 119]	[156361022, 156361036]	[156361022, 156361036]
886_11742	chr8	102918725	102919125	+	634	175.5	[8.130846]	[74]	[8.439688]	[74]	[102918899]	[102918899]
886_11743	chr8	144901366	144901766	+	1000	175.5	[7.482553]	[174]	[7.5985394]	[174]	[144901559]	[144901559]
886_11746	chr9	137575444	137575844	+	1000	175.5	[10.661659]	[196]	[10.671558]	[196]	[137575638]	[137575638]
886_11749	chr10	2746641	2747041	+	1000	175.0	[17.939297]	[95]	[17.939297]	[95]	[2746832]	[2746832]
886_11755	chr15	57706375	57706775	+	1000	175.0	[4.670253]	[145]	[4.670253]	[145]	[57706549]	[57706549]
886_11756	chr15	76939690	76940090	+	1000	175.0	[7.49763]	[79]	[7.7965717]	[79]	[76939869]	[76939869]
886_11759	chr17	58692380	58692780	+	1000	175.0	[13.4641905]	[99]	[13.240523]	[99]	[58692571]	[58692571]
886_11774	chr6	52359400	52359800	+	1000	175.0	[12.536653]	[104]	[12.965319]	[104]	[52359598]	[52359598]
