#PeakID(python identify_motif.py ./ENCODE_processed_files/FOSL1_idr.fa FOSL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
46_10043	chr1	15765848	15766248	+	1000	84.0	[7.08223]	[165]	[7.066662]	[165]	[15766065]	[15766065]
46_10044	chr1	20426887	20427287	+	1000	84.0	[11.972782]	[116]	[13.811987]	[116]	[20427087]	[20427087]
46_10045	chr1	30174492	30174892	+	1000	84.0	[7.935703]	[92]	[]	[]	[30174672]	[]
46_10047	chr1	40161169	40161569	+	1000	84.0	[9.245538]	[118]	[11.806913]	[118]	[40161353]	[40161353]
46_10048	chr1	51671403	51671803	+	1000	84.0	[9.9498005]	[96]	[12.075051]	[96]	[51671581]	[51671581]
46_10049	chr1	75502770	75503170	+	1000	84.0	[11.520754]	[108]	[9.531697]	[108]	[75502964]	[75502964]
46_1005	chr1	205284682	205285082	+	1000	267.0	[13.811987]	[82]	[11.972782, 7.7565556]	[82, 93]	[205284859]	[205284859, 205284870]
46_10050	chr1	109084589	109084989	+	1000	84.0	[13.811987]	[99]	[11.972782]	[99]	[109084769]	[109084769]
46_10052	chr1	150171772	150172172	+	1000	84.0	[13.335394]	[103]	[10.910327]	[103]	[150171952]	[150171952]
46_10053	chr1	154024630	154025030	+	1000	84.0	[10.158142]	[89]	[12.433358]	[89]	[154024812]	[154024812]
46_10054	chr1	155983508	155983908	+	1000	84.0	[]	[]	[8.227716]	[112]	[]	[155983703]
46_10056	chr1	172948421	172948821	+	1000	84.0	[8.4212055, 8.192566]	[104, 162]	[10.410377]	[104]	[172948607, 172948665]	[172948607]
46_10058	chr1	212290670	212291070	+	1000	84.0	[15.626627]	[91]	[13.351411]	[91]	[212290831]	[212290831]
46_10059	chr1	241998445	241998845	+	1000	84.0	[11.806913]	[106]	[9.245538]	[106]	[241998648]	[241998648]
46_1006	chr15	27454311	27454711	+	1000	267.0	[13.185543]	[138]	[11.060178]	[138]	[27454545]	[27454545]
46_10060	chr10	15247749	15248149	+	1000	84.0	[10.158142, 10.410377]	[82, 134]	[12.433358, 8.4212055]	[82, 134]	[15247923, 15247975]	[15247923, 15247975]
46_10061	chr10	21184198	21184598	+	1000	84.0	[15.626627]	[102]	[13.351411]	[102]	[21184392]	[21184392]
46_10062	chr10	28087907	28088307	+	1000	84.0	[11.536771]	[124]	[14.247998]	[124]	[28088116]	[28088116]
46_10063	chr10	32548185	32548585	+	1000	84.0	[11.806913, 10.696422]	[105, 134]	[9.245538, 8.13516]	[105, 134]	[32548374, 32548403]	[32548374, 32548403]
46_10064	chr10	34434169	34434569	+	1000	84.0	[15.626627]	[96]	[13.351411]	[96]	[34434365]	[34434365]
46_10065	chr10	60423904	60424304	+	1000	84.0	[10.158142]	[179]	[12.433358]	[179]	[60424144]	[60424144]
46_10066	chr10	62049076	62049476	+	1000	84.0	[9.4802]	[126]	[11.337273]	[126]	[62049297]	[62049297]
46_10067	chr10	70833158	70833558	+	1000	84.0	[10.410377, 9.373464]	[73, 135]	[8.4212055, 9.507747]	[73, 135]	[70833328, 70833390]	[70833328, 70833390]
46_10068	chr10	73419431	73419831	+	1000	84.0	[11.972782]	[110]	[13.811987]	[110]	[73419638]	[73419638]
46_10069	chr10	77163959	77164359	+	1000	84.0	[7.7086744, 10.894309, 9.140321]	[82, 121, 151]	[7.979266, 8.619093]	[82, 121]	[77164118, 77164157, 77164187]	[77164118, 77164157]
46_1007	chr16	89026233	89026633	+	1000	267.0	[15.626627]	[124]	[13.351411]	[124]	[89026453]	[89026453]
46_10070	chr10	84139642	84140042	+	1000	84.0	[11.060178]	[110]	[13.185543]	[110]	[84139838]	[84139838]
46_10072	chr11	2912525	2912925	+	1000	84.0	[9.245538, 14.247998]	[141, 179]	[11.806913, 11.536771]	[141, 179]	[2912720, 2912758]	[2912720, 2912758]
46_10075	chr11	66928972	66929372	+	1000	84.0	[10.910327]	[150]	[13.335394]	[150]	[66929187]	[66929187]
46_10077	chr11	120215632	120216032	+	1000	84.0	[11.536771]	[74]	[14.247998]	[74]	[120215802]	[120215802]
46_10079	chr12	10618353	10618753	+	1000	84.0	[13.335394]	[117]	[10.910327]	[117]	[10618561]	[10618561]
46_1008	chr17	73474310	73474710	+	1000	267.0	[11.520754]	[63]	[9.531697]	[63]	[73474472]	[73474472]
46_10080	chr12	49088086	49088486	+	1000	84.0	[11.806913]	[95]	[9.245538]	[95]	[49088273]	[49088273]
46_10085	chr12	93638186	93638586	+	1000	84.0	[9.464183]	[148]	[6.6209717]	[148]	[93638428]	[93638428]
46_10087	chr12	96445742	96446142	+	1000	84.0	[]	[]	[7.3465133]	[170]	[]	[96445957]
46_10088	chr12	106975057	106975457	+	1000	84.0	[13.811987]	[129]	[11.972782]	[129]	[106975282]	[106975282]
46_1009	chr2	23757701	23758101	+	1000	267.0	[11.8145485]	[74]	[11.79898]	[74]	[23757871]	[23757871]
46_10091	chr14	63677903	63678303	+	1000	84.0	[9.062057]	[99]	[11.755416]	[99]	[63678091]	[63678091]
46_10092	chr14	65211356	65211756	+	1000	84.0	[11.79898]	[120]	[11.8145485]	[120]	[65211553]	[65211553]
46_10093	chr14	92846502	92846902	+	1000	84.0	[10.410377, 7.2525406]	[96, 164]	[8.4212055, 9.704563]	[96, 164]	[92846669, 92846737]	[92846669, 92846737]
46_10094	chr14	93354876	93355276	+	1000	84.0	[10.410377]	[124]	[8.4212055]	[124]	[93355097]	[93355097]
46_10095	chr14	100849513	100849913	+	1000	84.0	[9.062057]	[85]	[11.755416]	[85]	[100849690]	[100849690]
46_10096	chr14	104680457	104680857	+	1000	84.0	[13.185543, 7.5087156]	[108, 120]	[11.060178, 9.783817]	[108, 120]	[104680661, 104680673]	[104680661, 104680673]
46_10098	chr15	42073435	42073835	+	1000	84.0	[11.806913]	[119]	[9.245538]	[119]	[42073640]	[42073640]
46_10099	chr15	57921282	57921682	+	1000	84.0	[6.1712556]	[117]	[]	[]	[57921488]	[]
46_101	chr10	84293663	84294063	+	1000	443.0	[7.322488]	[108]	[10.5189495]	[108]	[84293868]	[84293868]
46_1010	chr6	6749945	6750345	+	1000	267.0	[11.8145485]	[141]	[11.79898]	[141]	[6750170]	[6750170]
46_10100	chr15	64284038	64284438	+	1000	84.0	[13.351411]	[126]	[15.626627]	[126]	[64284248]	[64284248]
46_10101	chr15	66233487	66233887	+	1000	84.0	[13.185543, 6.932205]	[128, 143]	[11.060178]	[128]	[66233703, 66233718]	[66233703]
46_10102	chr15	67118849	67119249	+	1000	84.0	[11.972782]	[107]	[13.811987]	[107]	[67119047]	[67119047]
46_10103	chr15	74519371	74519771	+	1000	84.0	[14.247998]	[153]	[11.536771]	[153]	[74519612]	[74519612]
46_10104	chr15	82647419	82647819	+	1000	84.0	[9.245538]	[155]	[11.806913]	[155]	[82647647]	[82647647]
46_10105	chr16	53465575	53465975	+	1000	84.0	[13.185543]	[129]	[11.060178]	[129]	[53465789]	[53465789]
46_10106	chr16	72554958	72555358	+	1000	84.0	[14.247998]	[117]	[11.536771]	[117]	[72555162]	[72555162]
46_10107	chr16	85334771	85335171	+	1000	84.0	[6.598297]	[98]	[6.8687744]	[98]	[85334951]	[85334951]
46_10108	chr16	88247531	88247931	+	1000	84.0	[8.4212055, 8.4212055, 10.910327, 10.910327]	[91, 111, 131, 147]	[7.3608875, 7.3608875, 10.410377, 10.410377, 7.3608875, 13.335394, 13.335394]	[67, 87, 91, 111, 119, 131, 147]	[88247709, 88247729, 88247749, 88247765]	[88247685, 88247705, 88247709, 88247729, 88247737, 88247749, 88247765]
46_10109	chr17	8281030	8281430	+	1000	84.0	[6.3779263, 9.523314]	[126, 142]	[9.357896]	[142]	[8281233, 8281249]	[8281249]
46_1011	chr10	3525832	3526232	+	1000	266.0	[14.247998, 6.854523, 11.972782]	[56, 73, 114]	[11.536771, 13.811987]	[56, 114]	[3525985, 3526002, 3526043]	[3525985, 3526043]
46_10112	chr17	41182537	41182937	+	1000	84.0	[7.3256807]	[106]	[]	[]	[41182738]	[]
46_10113	chr17	42519982	42520382	+	1000	84.0	[9.507747]	[139]	[9.373464]	[139]	[42520221]	[42520221]
46_10114	chr17	59785252	59785652	+	1000	84.0	[15.626627]	[54]	[13.351411]	[54]	[59785403]	[59785403]
46_10116	chr18	56709387	56709787	+	1000	84.0	[15.626627]	[115]	[13.351411]	[115]	[56709589]	[56709589]
46_10119	chr19	6639459	6639859	+	1000	84.0	[13.185543]	[143]	[11.060178]	[143]	[6639684]	[6639684]
46_10120	chr19	41959296	41959696	+	1000	84.0	[7.935703]	[68]	[]	[]	[41959460]	[]
46_10121	chr2	8008990	8009390	+	1000	84.0	[8.619093]	[118]	[10.894309]	[118]	[8009203]	[8009203]
46_10122	chr2	9287695	9288095	+	1000	84.0	[9.062057, 11.79898]	[93, 165]	[11.755416, 11.8145485]	[93, 165]	[9287851, 9287923]	[9287851, 9287923]
46_10123	chr2	9655461	9655861	+	1000	84.0	[6.228079, 9.4802]	[83, 169]	[11.337273]	[169]	[9655622, 9655708]	[9655708]
46_10125	chr2	28617403	28617803	+	1000	84.0	[8.152223, 14.247998]	[75, 112]	[6.393947, 11.536771]	[75, 112]	[28617577, 28617614]	[28617577, 28617614]
46_10126	chr2	29090354	29090754	+	1000	84.0	[11.536771]	[93]	[14.247998]	[93]	[29090533]	[29090533]
46_10127	chr2	69917815	69918215	+	1000	84.0	[15.626627]	[171]	[13.351411]	[171]	[69918058]	[69918058]
46_10128	chr2	170307084	170307484	+	1000	84.0	[10.435919]	[107]	[9.98434]	[107]	[170307273]	[170307273]
46_1013	chr12	65655142	65655542	+	1000	266.0	[14.247998]	[78]	[11.536771]	[78]	[65655320]	[65655320]
46_10130	chr2	179106566	179106966	+	1000	84.0	[11.536771]	[103]	[14.247998]	[103]	[179106764]	[179106764]
46_10131	chr2	196500662	196501062	+	1000	84.0	[11.536771]	[96]	[14.247998]	[96]	[196500851]	[196500851]
46_10132	chr2	200380796	200381196	+	1000	84.0	[11.060178]	[122]	[13.185543]	[122]	[200381011]	[200381011]
46_10133	chr2	215929508	215929908	+	1000	84.0	[13.351411]	[114]	[15.626627]	[114]	[215929707]	[215929707]
46_10135	chr20	40565061	40565461	+	1000	84.0	[10.910327, 9.531697]	[77, 89]	[13.335394, 11.520754]	[77, 89]	[40565225, 40565237]	[40565225, 40565237]
46_10136	chr20	48788068	48788468	+	1000	84.0	[13.351411]	[131]	[15.626627]	[131]	[48788283]	[48788283]
46_10137	chr20	56392285	56392685	+	1000	84.0	[6.6388793]	[115]	[]	[]	[56392486]	[]
46_10138	chr20	56832432	56832832	+	1000	84.0	[11.536771]	[85]	[14.247998]	[85]	[56832615]	[56832615]
46_10139	chr20	62614110	62614510	+	1000	84.0	[11.520754]	[92]	[9.531697]	[92]	[62614301]	[62614301]
46_1014	chr13	48749620	48750020	+	1000	266.0	[13.811987, 7.2525406, 9.046039]	[80, 135, 146]	[11.972782, 9.704563, 7.0391154]	[80, 135, 146]	[48749796, 48749851, 48749862]	[48749796, 48749851, 48749862]
46_10140	chr21	36323090	36323490	+	1000	84.0	[13.335394]	[105]	[10.910327]	[105]	[36323289]	[36323289]
46_10141	chr21	38797509	38797909	+	1000	84.0	[9.245538]	[125]	[11.806913]	[125]	[38797726]	[38797726]
46_10142	chr22	21910314	21910714	+	1000	84.0	[8.619093]	[77]	[10.894309, 7.279962]	[77, 112]	[21910482]	[21910482, 21910517]
46_10145	chr3	43268617	43269017	+	1000	84.0	[10.910327]	[143]	[8.20384, 13.335394]	[127, 143]	[43268850]	[43268834, 43268850]
46_10146	chr3	43708020	43708420	+	1000	84.0	[13.811987]	[187]	[11.972782]	[187]	[43708256]	[43708256]
46_10147	chr3	58335031	58335431	+	1000	84.0	[7.823107, 12.433358]	[116, 136]	[10.158142]	[136]	[58335237, 58335257]	[58335257]
46_10148	chr3	100186371	100186771	+	1000	84.0	[13.351411]	[85]	[15.626627]	[85]	[100186551]	[100186551]
46_10149	chr3	112075011	112075411	+	1000	84.0	[9.531697]	[123]	[11.520754]	[123]	[112075228]	[112075228]
46_1015	chr14	32010561	32010961	+	1000	266.0	[11.806913]	[85]	[9.245538]	[85]	[32010730]	[32010730]
46_10150	chr3	150408083	150408483	+	1000	84.0	[]	[]	[6.847221]	[72]	[]	[150408237]
46_10151	chr3	166159654	166160054	+	1000	84.0	[9.9498005]	[78]	[12.075051]	[78]	[166159831]	[166159831]
46_10152	chr3	170330311	170330711	+	1000	84.0	[13.335394, 10.158142]	[113, 138]	[10.910327, 12.433358]	[113, 138]	[170330498, 170330523]	[170330498, 170330523]
46_10153	chr3	171347342	171347742	+	1000	84.0	[14.247998]	[109]	[11.536771]	[109]	[171347549]	[171347549]
46_10154	chr3	171374654	171375054	+	1000	84.0	[]	[]	[8.227716]	[56]	[]	[171374807]
46_10155	chr4	40121452	40121852	+	1000	84.0	[11.520754]	[158]	[9.531697]	[158]	[40121674]	[40121674]
46_10156	chr4	40238713	40239113	+	1000	84.0	[7.9946604]	[171]	[]	[]	[40238964]	[]
46_10157	chr4	68152438	68152838	+	1000	84.0	[6.8843427, 15.626627, 13.811987]	[98, 125, 132]	[6.582729, 13.351411, 11.972782]	[98, 125, 132]	[68152630, 68152657, 68152664]	[68152630, 68152657, 68152664]
46_1016	chr2	55051102	55051502	+	1000	266.0	[10.158142]	[78]	[12.433358]	[78]	[55051266]	[55051266]
46_10161	chr4	168440413	168440813	+	1000	84.0	[11.337273, 9.836936]	[119, 138]	[9.4802, 7.711491]	[119, 138]	[168440624, 168440643]	[168440624, 168440643]
46_10162	chr5	1564020	1564420	+	1000	84.0	[10.910327, 8.619093]	[116, 154]	[13.335394, 10.894309]	[116, 154]	[1564207, 1564245]	[1564207, 1564245]
46_10163	chr5	6411135	6411535	+	1000	84.0	[13.811987]	[114]	[11.972782]	[114]	[6411326]	[6411326]
46_10165	chr5	75405278	75405678	+	1000	84.0	[13.811987]	[122]	[11.972782]	[122]	[75405497]	[75405497]
46_10166	chr5	105554615	105555015	+	1000	84.0	[10.894309]	[118]	[8.619093]	[118]	[105554824]	[105554824]
46_10169	chr5	166722966	166723366	+	1000	84.0	[10.420351, 7.2474165]	[87, 137]	[9.999908, 10.376787]	[87, 137]	[166723153, 166723203]	[166723153, 166723203]
46_1017	chr8	58842025	58842425	+	1000	266.0	[9.531697, 9.531697, 9.531697]	[71, 89, 107]	[11.520754, 11.520754, 11.520754]	[71, 89, 107]	[58842196, 58842214, 58842232]	[58842196, 58842214, 58842232]
46_10171	chr6	7692169	7692569	+	1000	84.0	[14.247998]	[154]	[11.536771]	[154]	[7692384]	[7692384]
46_10172	chr6	14458659	14459059	+	1000	84.0	[8.619093]	[82]	[10.894309]	[82]	[14458840]	[14458840]
46_10173	chr6	27120827	27121227	+	1000	84.0	[6.212843, 15.626627]	[108, 137]	[13.351411]	[137]	[27121025, 27121054]	[27121054]
46_10174	chr6	33249135	33249535	+	1000	84.0	[7.7086744]	[151]	[7.979266]	[151]	[33249319]	[33249319]
46_10175	chr6	34657830	34658230	+	1000	84.0	[12.433358]	[194]	[10.158142]	[194]	[34658078]	[34658078]
46_10176	chr6	37191886	37192286	+	1000	84.0	[6.235713]	[189]	[6.139215]	[189]	[37192091]	[37192091]
46_10178	chr6	49649930	49650330	+	1000	84.0	[12.433358]	[118]	[10.158142]	[118]	[49650129]	[49650129]
46_10179	chr6	53048378	53048778	+	1000	84.0	[11.536771]	[113]	[14.247998]	[113]	[53048582]	[53048582]
46_1018	chrX	13059681	13060081	+	1000	266.0	[11.536771]	[116]	[14.247998]	[116]	[13059878]	[13059878]
46_10180	chr6	135568352	135568752	+	1000	84.0	[6.847221, 8.227716]	[129, 156]	[]	[]	[135568568, 135568595]	[]
46_10181	chr6	136225519	136225919	+	1000	84.0	[7.231399, 12.075051]	[68, 111]	[9.9498005]	[111]	[136225673, 136225716]	[136225716]
46_10182	chr6	144006642	144007042	+	1000	84.0	[15.626627, 8.704309]	[82, 114]	[13.351411]	[82]	[144006812, 144006844]	[144006812]
46_10183	chr6	150211726	150212126	+	1000	84.0	[12.075051]	[107]	[9.9498005]	[107]	[150211920]	[150211920]
46_10184	chr6	150269765	150270165	+	1000	84.0	[9.799835]	[125]	[12.225017, 6.3344874]	[125, 157]	[150269979]	[150269979, 150270011]
46_10186	chr7	16916137	16916537	+	1000	84.0	[11.972782]	[96]	[13.811987]	[96]	[16916327]	[16916327]
46_10188	chr7	22216322	22216722	+	1000	84.0	[9.062057]	[104]	[11.755416]	[104]	[22216490]	[22216490]
46_1019	chr1	200483488	200483888	+	1000	265.0	[11.972782, 9.4802]	[85, 121]	[13.811987, 11.337273]	[85, 121]	[200483667, 200483703]	[200483667, 200483703]
46_10190	chr7	36526938	36527338	+	1000	84.0	[10.910327, 9.4802]	[106, 138]	[13.335394, 11.337273]	[106, 138]	[36527141, 36527173]	[36527141, 36527173]
46_10192	chr7	43834700	43835100	+	1000	84.0	[15.626627]	[113]	[13.351411]	[113]	[43834904]	[43834904]
46_10193	chr7	74084499	74084899	+	1000	84.0	[15.626627]	[98]	[13.351411]	[98]	[74084681]	[74084681]
46_10194	chr7	101688106	101688506	+	1000	84.0	[8.619093]	[103]	[10.894309]	[103]	[101688261]	[101688261]
46_10195	chr7	106365226	106365626	+	1000	84.0	[6.9673734]	[93]	[]	[]	[106365396]	[]
46_10196	chr7	111735640	111736040	+	1000	84.0	[12.433358]	[102]	[10.158142]	[102]	[111735841]	[111735841]
46_10197	chr7	119964840	119965240	+	1000	84.0	[13.811987]	[148]	[11.972782]	[148]	[119965063]	[119965063]
46_1020	chr1	201713372	201713772	+	1000	265.0	[11.806913]	[111]	[9.245538]	[111]	[201713575]	[201713575]
46_10201	chr8	8455722	8456122	+	1000	84.0	[14.247998]	[139]	[11.536771]	[139]	[8455933]	[8455933]
46_10202	chr8	26293005	26293405	+	1000	84.0	[11.79898]	[136]	[11.8145485]	[136]	[26293218]	[26293218]
46_10203	chr8	27937650	27938050	+	1000	84.0	[]	[]	[7.935703]	[159]	[]	[27937897]
46_10204	chr8	42217044	42217444	+	1000	84.0	[9.245538]	[163]	[11.806913]	[163]	[42217289]	[42217289]
46_10205	chr8	61805537	61805937	+	1000	84.0	[]	[]	[8.562147]	[115]	[]	[61805747]
46_10206	chr8	124261739	124262139	+	1000	84.0	[9.507747, 7.9948344]	[105, 126]	[9.373464, 7.693106]	[105, 126]	[124261936, 124261957]	[124261936, 124261957]
46_10207	chr8	129490429	129490829	+	1000	84.0	[6.825211, 10.435919]	[67, 91]	[9.98434]	[91]	[129490595, 129490619]	[129490619]
46_10208	chr8	144164709	144165109	+	1000	84.0	[13.335394]	[114]	[10.910327, 8.077866]	[114, 138]	[144164905]	[144164905, 144164929]
46_10209	chr9	64870504	64870904	+	1000	84.0	[7.935703, 9.314332, 7.935703]	[114, 124, 143]	[6.770823]	[124]	[64870717, 64870727, 64870746]	[64870727]
46_1021	chr1	224528908	224529308	+	1000	265.0	[11.972782]	[129]	[13.811987]	[129]	[224529119]	[224529119]
46_10210	chr9	70577272	70577672	+	1000	84.0	[10.910327]	[113]	[13.335394]	[113]	[70577462]	[70577462]
46_10211	chr9	114677413	114677813	+	1000	84.0	[10.910327]	[111]	[13.335394]	[111]	[114677624]	[114677624]
46_10212	chr9	124306358	124306758	+	1000	84.0	[8.009867, 10.894309]	[59, 85]	[8.619093]	[85]	[124306511, 124306537]	[124306537]
46_10213	chr9	127629710	127630110	+	1000	84.0	[14.247998]	[141]	[11.536771]	[141]	[127629935]	[127629935]
46_10214	chrX	15471052	15471452	+	1000	84.0	[11.536771, 6.932205]	[101, 151]	[14.247998]	[101]	[15471252, 15471302]	[15471252]
46_10215	chrX	15947668	15948068	+	1000	84.0	[7.5087156]	[67]	[9.783817]	[67]	[15947833]	[15947833]
46_10216	chrX	19603224	19603624	+	1000	84.0	[7.0391154, 11.806913]	[88, 126]	[9.046039, 9.245538]	[88, 126]	[19603410, 19603448]	[19603410, 19603448]
46_10217	chrX	44429330	44429730	+	1000	84.0	[7.6756287, 13.811987]	[103, 140]	[11.972782]	[140]	[44429512, 44429549]	[44429549]
46_10218	chrX	152072240	152072640	+	1000	84.0	[13.351411, 11.536771]	[84, 167]	[15.626627, 14.247998]	[84, 167]	[152072403, 152072486]	[152072403, 152072486]
46_10219	chr1	8668172	8668572	+	1000	83.0	[11.337273]	[107]	[9.4802]	[107]	[8668350]	[8668350]
46_1022	chr16	21300420	21300820	+	1000	265.0	[11.060178]	[90]	[13.185543]	[90]	[21300604]	[21300604]
46_10220	chr1	9893159	9893559	+	1000	83.0	[]	[]	[8.562147]	[163]	[]	[9893395]
46_10221	chr1	12510152	12510552	+	1000	83.0	[11.536771, 13.185543]	[61, 145]	[14.247998, 11.060178]	[61, 145]	[12510308, 12510392]	[12510308, 12510392]
46_10222	chr1	15620187	15620587	+	1000	83.0	[9.9498005]	[70]	[12.075051]	[70]	[15620341]	[15620341]
46_10223	chr1	24294391	24294791	+	1000	83.0	[]	[]	[7.1301107]	[97]	[]	[24294575]
46_10224	chr1	26721737	26722137	+	1000	83.0	[8.262972, 9.704563]	[110, 118]	[8.397368, 7.2525406]	[110, 118]	[26721914, 26721922]	[26721914, 26721922]
46_10227	chr1	39204471	39204871	+	1000	83.0	[7.5087156]	[173]	[9.783817]	[173]	[39204701]	[39204701]
46_10228	chr1	39213488	39213888	+	1000	83.0	[10.910327]	[95]	[13.335394]	[95]	[39213681]	[39213681]
46_1023	chr2	17643136	17643536	+	1000	265.0	[6.825211, 9.523314, 13.351411]	[88, 116, 131]	[9.357896, 15.626627]	[116, 131]	[17643311, 17643339, 17643354]	[17643339, 17643354]
46_10231	chr1	119553674	119554074	+	1000	83.0	[11.536771]	[100]	[14.247998]	[100]	[119553870]	[119553870]
46_10232	chr1	151070413	151070813	+	1000	83.0	[6.847221]	[120]	[]	[]	[151070599]	[]
46_10233	chr1	155847880	155848280	+	1000	83.0	[]	[]	[6.146564]	[94]	[]	[155848048]
