#PeakID(python identify_motif.py ./ENCODE_processed_files/SP1_idr.fa SP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
328_10091	chr3	43770728	43771128	+	582	32.5	[2.712766]	[124]	[]	[]	[43770922]	[]
328_10093	chr3	142225367	142225767	+	637	32.5	[5.980747]	[157]	[3.4576087]	[155]	[142225580]	[142225578]
328_10096	chr4	139651525	139651925	+	585	32.5	[7.296477]	[144]	[]	[]	[139651710]	[]
328_1010	chr3	13451674	13452074	+	1000	178.0	[16.273766, 6.9596148]	[65, 150]	[]	[]	[13451827, 13451912]	[]
328_10101	chr6	36680351	36680751	+	662	32.5	[8.0276, 5.672628, 4.154175]	[121, 127, 132]	[]	[]	[36680563, 36680569, 36680574]	[]
328_10102	chr6	36862210	36862610	+	668	32.5	[]	[]	[8.278679]	[141]	[]	[36862423]
328_10110	chr6	163777145	163777545	+	679	32.5	[]	[]	[4.681507]	[118]	[]	[163777341]
328_10112	chr7	93591319	93591719	+	673	32.5	[]	[]	[5.0788903]	[80]	[]	[93591488]
328_10113	chr7	100344653	100345053	+	637	32.5	[3.4065306]	[198]	[]	[]	[100344873]	[]
328_1012	chr5	134845742	134846142	+	1000	178.0	[]	[]	[2.6033356]	[158]	[]	[134845979]
328_10122	chr8	90082732	90083132	+	596	32.5	[11.845226, 3.5007324]	[118, 149]	[]	[]	[90082926, 90082957]	[]
328_10130	chr1	11796369	11796769	+	607	32.0	[]	[]	[3.8826158]	[154]	[]	[11796605]
328_10135	chr1	31100567	31100967	+	645	32.0	[4.6940365]	[173]	[]	[]	[31100801]	[]
328_10143	chr1	95233777	95234177	+	621	32.0	[9.251202]	[164]	[4.0985465]	[147]	[95234012]	[95233995]
328_10151	chr1	228275660	228276060	+	658	32.0	[]	[]	[4.9807687, 4.905422]	[139, 145]	[]	[228275842, 228275848]
328_10152	chr1	231422462	231422862	+	560	32.0	[]	[]	[3.0737681, 4.0984597]	[162, 171]	[]	[231422679, 231422688]
328_10154	chr1	244302921	244303321	+	543	32.0	[14.373532]	[123]	[]	[]	[244303120]	[]
328_10161	chr11	8701331	8701731	+	610	32.0	[3.4762225]	[224]	[]	[]	[8701574]	[]
328_10170	chr12	53252087	53252487	+	642	32.0	[]	[]	[4.0605245, 2.8492382]	[147, 189]	[]	[53252270, 53252312]
328_10177	chr13	23375380	23375780	+	577	32.0	[6.8804, 11.464006]	[109, 123]	[13.218197]	[67]	[23375588, 23375602]	[23375546]
328_10181	chr13	107940670	107941070	+	606	32.0	[2.8331597, 5.607381]	[101, 113]	[]	[]	[107940855, 107940867]	[]
328_10187	chr15	75047273	75047673	+	589	32.0	[]	[]	[11.354804]	[147]	[]	[75047483]
328_1019	chr15	65792141	65792541	+	1000	177.0	[3.8828983]	[120]	[7.481369, 3.236725, 2.8523378]	[106, 112, 186]	[65792314]	[65792300, 65792306, 65792380]
328_10191	chr16	81181158	81181558	+	641	32.0	[]	[]	[14.960438, 4.906575]	[145, 159]	[]	[81181376, 81181390]
328_10195	chr17	8192361	8192761	+	558	32.0	[3.911592]	[228]	[]	[]	[8192603]	[]
328_10199	chr17	65137366	65137766	+	556	32.0	[4.6286583, 5.0349026]	[179, 185]	[]	[]	[65137599, 65137605]	[]
328_10202	chr18	109765	110165	+	650	32.0	[]	[]	[4.5720105]	[135]	[]	[109963]
328_10205	chr19	4577349	4577749	+	631	32.0	[2.7370372]	[89]	[7.686324]	[153]	[4577535]	[4577599]
328_10207	chr19	10738905	10739305	+	595	32.0	[4.7766657]	[161]	[5.267304]	[137]	[10739123]	[10739099]
328_10212	chr19	49808703	49809103	+	637	32.0	[]	[]	[7.0950346, 17.164932, 17.300081]	[125, 167, 186]	[]	[49808859, 49808901, 49808920]
328_10230	chr22	22743784	22744184	+	604	32.0	[8.182967]	[132]	[]	[]	[22744012]	[]
328_10235	chr22	23081846	23082246	+	571	32.0	[]	[]	[3.8115962]	[114]	[]	[23082051]
328_10237	chr3	15332395	15332795	+	661	32.0	[7.6519732]	[153]	[9.038093]	[108]	[15332635]	[15332590]
328_10240	chr3	99776686	99777086	+	578	32.0	[]	[]	[10.548539]	[162]	[]	[99776913]
328_10242	chr4	31997123	31997523	+	614	32.0	[]	[]	[13.520647]	[137]	[]	[31997329]
328_10246	chr5	138032714	138033114	+	624	32.0	[3.3495932]	[144]	[7.460521]	[124]	[138032955]	[138032935]
328_10249	chr6	3338277	3338677	+	620	32.0	[2.6213262]	[133]	[2.8324478]	[183]	[3338477]	[3338527]
328_1025	chr1	58699929	58700329	+	1000	176.5	[2.978273]	[129]	[12.525348, 3.6684916, 13.6263275]	[84, 106, 146]	[58700154]	[58700109, 58700131, 58700171]
328_10253	chr6	28796140	28796540	+	586	32.0	[]	[]	[5.3367147]	[188]	[]	[28796330]
328_1026	chr10	102432563	102432963	+	1000	176.5	[]	[]	[4.536308]	[152]	[]	[102432785]
328_1027	chr12	113392995	113393395	+	1000	176.5	[]	[]	[5.5535927, 18.99463]	[69, 80]	[]	[113393160, 113393171]
328_10270	chr8	38468494	38468894	+	595	32.0	[4.720203, 4.7076826]	[113, 156]	[]	[]	[38468691, 38468734]	[]
328_10272	chr9	37984630	37985030	+	611	32.0	[2.9677546]	[98]	[5.427234]	[159]	[37984818]	[37984879]
328_10279	chr1	16167784	16168184	+	638	31.5	[]	[]	[5.8159833]	[150]	[]	[16167944]
328_10287	chr1	156816650	156817050	+	636	31.5	[3.646111, 6.352184]	[158, 173]	[]	[]	[156816884, 156816899]	[]
328_10288	chr1	165827456	165827856	+	582	31.5	[6.9241066, 2.8525114]	[151, 156]	[]	[]	[165827665, 165827670]	[]
328_10289	chr1	173429661	173430061	+	641	31.5	[3.4533687]	[69]	[]	[]	[173429826]	[]
328_1029	chr17	38718577	38718977	+	1000	176.5	[7.8031883, 4.919505]	[92, 117]	[6.180693]	[77]	[38718766, 38718791]	[38718751]
328_10294	chr10	11612464	11612864	+	624	31.5	[]	[]	[6.0352054]	[198]	[]	[11612687]
328_1030	chr19	10194867	10195267	+	1000	176.5	[5.9145775]	[154]	[]	[]	[10195079]	[]
328_10308	chr11	130314412	130314812	+	614	31.5	[]	[]	[2.8491168, 3.818109]	[107, 197]	[]	[130314568, 130314658]
328_10309	chr12	31749126	31749526	+	612	31.5	[]	[]	[11.996735]	[155]	[]	[31749344]
328_10311	chr12	54328189	54328589	+	581	31.5	[8.278679]	[189]	[15.551185]	[182]	[54328432]	[54328425]
328_10314	chr13	97976198	97976598	+	625	31.5	[2.7798104, 15.4701605]	[152, 178]	[13.661419]	[137]	[97976418, 97976444]	[97976403]
328_10318	chr17	55421918	55422318	+	546	31.5	[]	[]	[9.664592, 2.5248744, 13.511243]	[148, 164, 169]	[]	[55422122, 55422138, 55422143]
328_1032	chr19	49712346	49712746	+	1000	176.5	[]	[]	[4.1781893, 13.40779, 3.1563523, 6.4491005, 18.499043, 10.730184]	[83, 88, 116, 122, 147, 162]	[]	[49712507, 49712512, 49712540, 49712546, 49712571, 49712586]
328_10321	chr17_GL000205v2_random	71872	72272	+	645	31.5	[]	[]	[6.400317]	[165]	[]	[72097]
328_10323	chr18	57586585	57586985	+	550	31.5	[10.230077, 6.861036]	[113, 131]	[8.312857]	[96]	[57586797, 57586815]	[57586780]
328_10342	chr22	22614614	22615014	+	633	31.5	[3.1688848]	[109]	[]	[]	[22614812]	[]
328_10347	chr22	42519707	42520107	+	545	31.5	[11.908585, 3.6477673, 9.91024]	[82, 101, 115]	[]	[]	[42519859, 42519878, 42519892]	[]
328_10356	chr4	88592957	88593357	+	599	31.5	[3.947126]	[110]	[4.1858687]	[128]	[88593160]	[88593178]
328_10361	chr5	139518159	139518559	+	593	31.5	[3.6781652]	[151]	[3.6029556]	[95]	[139518407]	[139518351]
328_10362	chr5	180353185	180353585	+	640	31.5	[3.2217474]	[219]	[6.0629306, 17.857111]	[197, 208]	[180353415]	[180353393, 180353404]
328_10363	chr6	5541795	5542195	+	646	31.5	[]	[]	[4.5670643]	[175]	[]	[5541988]
328_10364	chr6	6696732	6697132	+	585	31.5	[3.4315422]	[113]	[]	[]	[6696895]	[]
328_10370	chr6	27672805	27673205	+	595	31.5	[5.2879004]	[172]	[]	[]	[27673052]	[]
328_10374	chr6	42784144	42784544	+	645	31.5	[]	[]	[13.118573]	[93]	[]	[42784303]
328_10376	chr6	44041840	44042240	+	622	31.5	[3.4009337]	[191]	[]	[]	[44042081]	[]
328_10377	chr6	44059452	44059852	+	591	31.5	[2.7318854]	[218]	[]	[]	[44059686]	[]
328_10380	chr6	108848151	108848551	+	607	31.5	[9.397907, 7.570301]	[103, 128]	[]	[]	[108848345, 108848370]	[]
328_1039	chr1	52366291	52366691	+	1000	175.5	[5.914031, 3.404527, 10.791176, 6.642447]	[86, 99, 104, 142]	[15.34917]	[125]	[52366464, 52366477, 52366482, 52366520]	[52366503]
328_10390	chr7	156949122	156949522	+	635	31.5	[4.21048]	[97]	[3.1294587]	[191]	[156949275]	[156949369]
328_10398	chr1	6609804	6610204	+	608	31.0	[2.750914]	[131]	[]	[]	[6610011]	[]
328_104	chr1	1919175	1919575	+	1000	429.0	[12.155162, 18.313961, 19.091042]	[100, 131, 161]	[]	[]	[1919341, 1919372, 1919402]	[]
328_10404	chr1	107057185	107057585	+	600	31.0	[]	[]	[3.300751]	[146]	[]	[107057382]
328_10407	chr1	117656125	117656525	+	628	31.0	[]	[]	[6.472955]	[192]	[]	[117656319]
328_10411	chr1	233668710	233669110	+	573	31.0	[3.8611279]	[173]	[]	[]	[233668887]	[]
328_10421	chr12	49337362	49337762	+	629	31.0	[2.874965]	[166]	[7.609883]	[100]	[49337584]	[49337518]
328_10435	chr17	7916132	7916532	+	626	31.0	[8.510594]	[104]	[]	[]	[7916331]	[]
328_10441	chr18	62526657	62527057	+	615	31.0	[15.4701605]	[120]	[3.6411028]	[157]	[62526847]	[62526884]
328_10445	chr19	12757434	12757834	+	627	31.0	[]	[]	[4.3504596]	[141]	[]	[12757610]
328_10451	chr19	18428981	18429381	+	622	31.0	[]	[]	[2.7720318]	[147]	[]	[18429140]
328_1047	chr16	46831280	46831680	+	1000	175.0	[15.602369]	[117]	[2.9106746, 7.8298607, 4.3707523]	[110, 151, 162]	[46831465]	[46831458, 46831499, 46831510]
328_1048	chr19	48900032	48900432	+	1000	175.0	[]	[]	[13.70639, 14.580015]	[109, 172]	[]	[48900201, 48900264]
328_10483	chr5	1633819	1634219	+	613	31.0	[]	[]	[8.931656]	[111]	[]	[1633985]
328_10486	chr5	119322906	119323306	+	589	31.0	[4.438589]	[115]	[]	[]	[119323114]	[]
328_10492	chr6	27772583	27772983	+	622	31.0	[]	[]	[8.58463]	[149]	[]	[27772772]
328_10493	chr6	28757243	28757643	+	541	31.0	[4.21048]	[186]	[]	[]	[28757460]	[]
328_10494	chr6	30876882	30877282	+	623	31.0	[]	[]	[2.750914]	[124]	[]	[30877075]
328_10499	chr6	136822322	136822722	+	612	31.0	[2.9588768]	[93]	[]	[]	[136822504]	[]
328_10511	chr8	81768317	81768717	+	557	31.0	[5.0788903]	[167]	[]	[]	[81768485]	[]
328_10512	chr9	35665007	35665407	+	612	31.0	[]	[]	[10.809716]	[170]	[]	[35665248]
328_10518	chr1	16026680	16027080	+	614	30.5	[9.477537]	[153]	[3.71675, 5.578826]	[107, 168]	[16026913]	[16026867, 16026928]
328_1053	chr16	75566089	75566489	+	1000	174.5	[13.70639, 13.70639, 19.620882]	[92, 112, 154]	[]	[]	[75566259, 75566279, 75566321]	[]
328_10536	chr1	167822196	167822596	+	563	30.5	[]	[]	[4.8468018]	[104]	[]	[167822378]
328_10550	chr12	109995954	109996354	+	565	30.5	[]	[]	[5.320395]	[99]	[]	[109996121]
328_10556	chr14	103521025	103521425	+	606	30.5	[9.736316]	[64]	[]	[]	[103521176]	[]
328_10558	chr15	43826716	43827116	+	579	30.5	[5.547369, 2.777649, 8.637538]	[146, 151, 162]	[]	[]	[43826948, 43826953, 43826964]	[]
328_10567	chr16	88993349	88993749	+	586	30.5	[6.6193967]	[160]	[]	[]	[88993550]	[]
328_1057	chr10	132280049	132280449	+	1000	174.0	[17.164932, 17.164932, 17.164932]	[109, 130, 151]	[]	[]	[132280244, 132280265, 132280286]	[]
328_10574	chr19	44002486	44002886	+	611	30.5	[]	[]	[2.7547555]	[138]	[]	[44002691]
328_10576	chr2	53970844	53971244	+	606	30.5	[]	[]	[7.4380927, 7.4380927, 6.01126]	[145, 150, 155]	[]	[53971071, 53971076, 53971081]
328_1059	chr17	48830749	48831149	+	1000	174.0	[]	[]	[19.620882, 11.935774]	[107, 137]	[]	[48830948, 48830978]
328_106	chr22	19178678	19179078	+	1000	427.5	[]	[]	[6.806243, 16.804495]	[126, 153]	[]	[19178869, 19178896]
328_1060	chr19	44587754	44588154	+	1000	174.0	[]	[]	[5.210326]	[165]	[]	[44587995]
328_10605	chr6	157978235	157978635	+	592	30.5	[]	[]	[9.328602]	[173]	[]	[157978483]
328_10614	chr7	149662548	149662948	+	593	30.5	[]	[]	[5.2728496, 2.6246607, 15.164234]	[122, 123, 159]	[]	[149662747, 149662748, 149662784]
328_10622	chr9	129684418	129684818	+	549	30.5	[]	[]	[3.2876964, 9.505209]	[260, 281]	[]	[129684641, 129684662]
328_10623	chr9	130748456	130748856	+	575	30.5	[]	[]	[4.7766657]	[100]	[]	[130748631]
328_10630	chr1	11786013	11786413	+	581	30.0	[3.6312728]	[125]	[]	[]	[11786232]	[]
328_10632	chr1	23554272	23554672	+	590	30.0	[]	[]	[3.5134628]	[155]	[]	[23554484]
328_10640	chr1	148038631	148039031	+	560	30.0	[6.471896]	[168]	[]	[]	[148038857]	[]
328_10642	chr1	244833891	244834291	+	575	30.0	[5.8640203]	[144]	[]	[]	[244834117]	[]
328_10649	chr11	75559085	75559485	+	583	30.0	[]	[]	[6.861562, 4.0326757]	[169, 190]	[]	[75559282, 75559303]
328_1065	chr5	145835196	145835596	+	1000	174.0	[17.191898, 9.175918]	[128, 134]	[19.02182]	[57]	[145835424, 145835430]	[145835353]
328_10653	chr12	8697364	8697764	+	585	30.0	[13.591285]	[145]	[2.6165726]	[88]	[8697583]	[8697526]
328_10654	chr12	69239313	69239713	+	583	30.0	[13.218197]	[79]	[]	[]	[69239487]	[]
328_10656	chr15	63344822	63345222	+	567	30.0	[3.8402772]	[183]	[]	[]	[63345030]	[]
328_10659	chr16	400799	401199	+	584	30.0	[5.5535927]	[103]	[3.2251234]	[130]	[400964]	[400991]
328_10660	chr16	675095	675495	+	567	30.0	[]	[]	[4.633971, 7.5780797]	[123, 129]	[]	[675251, 675257]
328_10661	chr16	3005825	3006225	+	597	30.0	[]	[]	[2.5647662]	[104]	[]	[3005988]
328_10663	chr16	88461926	88462326	+	593	30.0	[4.7132454, 12.131885]	[127, 132]	[]	[]	[88462128, 88462133]	[]
328_10687	chr22	22876202	22876602	+	547	30.0	[]	[]	[4.070229]	[181]	[]	[22876444]
328_10693	chr3	132722785	132723185	+	546	30.0	[]	[]	[13.646842, 11.801364]	[119, 144]	[]	[132722939, 132722964]
328_107	chr6	145964247	145964647	+	1000	427.0	[3.578016]	[195]	[]	[]	[145964483]	[]
328_10700	chr6	15906949	15907349	+	592	30.0	[]	[]	[10.923823]	[180]	[]	[15907174]
328_10713	chr7	75734658	75735058	+	602	30.0	[3.8508751]	[93]	[]	[]	[75734809]	[]
328_10714	chr7	106959953	106960353	+	581	30.0	[2.7710404, 4.7534103]	[161, 166]	[]	[]	[106960179, 106960184]	[]
328_10720	chr8	41818668	41819068	+	562	30.0	[16.273766]	[129]	[3.0723093]	[117]	[41818879]	[41818867]
328_10722	chr8	43093777	43094177	+	594	30.0	[5.5477076]	[78]	[8.870924]	[139]	[43093943]	[43094004]
328_10731	chr1	20185591	20185991	+	569	29.5	[4.1666284]	[191]	[4.137557]	[124]	[20185811]	[20185744]
328_10733	chr1	31954398	31954798	+	566	29.5	[7.5568285]	[201]	[]	[]	[31954623]	[]
328_10736	chr1	46517157	46517557	+	549	29.5	[]	[]	[6.1473646]	[163]	[]	[46517331]
328_10738	chr1	77683446	77683846	+	554	29.5	[4.915923]	[120]	[4.3547206]	[131]	[77683614]	[77683625]
328_10766	chr16	137358	137758	+	559	29.5	[]	[]	[5.386121]	[155]	[]	[137514]
328_10771	chr17	47850930	47851330	+	548	29.5	[4.1785645]	[124]	[]	[]	[47851133]	[]
328_1078	chrX	154478842	154479242	+	1000	173.0	[9.638303]	[82]	[7.8209596]	[127]	[154479011]	[154479056]
328_10792	chr2	48146003	48146403	+	575	29.5	[8.287493]	[194]	[]	[]	[48146202]	[]
328_10800	chr20	5785090	5785490	+	567	29.5	[8.190285]	[114]	[]	[]	[5785304]	[]
328_10803	chr22	19663044	19663444	+	561	29.5	[4.2101307]	[169]	[]	[]	[19663268]	[]
328_10818	chr5	177591815	177592215	+	570	29.5	[10.441558]	[238]	[]	[]	[177592060]	[]
328_10829	chr7	2304441	2304841	+	578	29.5	[7.6071405]	[141]	[]	[]	[2304625]	[]
328_1083	chr19	40613778	40614178	+	1000	172.5	[4.1210804]	[241]	[]	[]	[40614019]	[]
328_1084	chr2	174248500	174248900	+	1000	172.5	[3.4955182]	[68]	[5.8042154]	[128]	[174248668]	[174248728]
328_10840	chr8	66954648	66955048	+	542	29.5	[]	[]	[5.0788903]	[123]	[]	[66954838]
328_10842	chr9	35604960	35605360	+	583	29.5	[]	[]	[5.141725, 17.16471, 4.7428985]	[175, 197, 216]	[]	[35605160, 35605182, 35605201]
328_10844	chrX	30652969	30653369	+	572	29.5	[3.9556777, 19.063852]	[93, 145]	[]	[]	[30653152, 30653204]	[]
328_10849	chr1	43119868	43120268	+	544	29.0	[6.349673]	[196]	[]	[]	[43120092]	[]
328_10860	chr10	15169072	15169472	+	549	29.0	[]	[]	[6.2057104]	[150]	[]	[15169310]
328_10863	chr10	133305235	133305635	+	552	29.0	[5.370304]	[79]	[3.9635603]	[160]	[133305391]	[133305472]
328_10885	chr2	168797194	168797594	+	542	29.0	[3.8167002]	[164]	[]	[]	[168797382]	[]
328_10886	chr2	219387546	219387946	+	542	29.0	[4.6206684]	[177]	[]	[]	[219387764]	[]
328_10889	chr20	56412004	56412404	+	562	29.0	[]	[]	[9.643908]	[155]	[]	[56412215]
328_10893	chr22	20891968	20892368	+	555	29.0	[5.9876313]	[146]	[]	[]	[20892134]	[]
328_1090	chr16	67968533	67968933	+	1000	172.0	[]	[]	[4.6400337]	[118]	[]	[67968715]
328_10919	chr8	101126705	101127105	+	565	29.0	[4.768914, 5.187553]	[125, 145]	[]	[]	[101126918, 101126938]	[]
328_1092	chr19	40444267	40444667	+	1000	172.0	[5.90356]	[91]	[9.3317, 11.908585]	[57, 147]	[40444455]	[40444421, 40444511]
328_10925	chr1	235012136	235012536	+	544	28.5	[8.563986]	[182]	[]	[]	[235012337]	[]
328_10926	chr10	87095595	87095995	+	541	28.5	[3.1760786]	[111]	[]	[]	[87095777]	[]
328_10929	chr16	24729326	24729726	+	544	28.5	[2.9998465]	[161]	[]	[]	[24729555]	[]
328_10934	chr22	19863576	19863976	+	542	28.5	[2.580923]	[121]	[]	[]	[19863778]	[]
328_1099	chr1	29181877	29182277	+	1000	171.5	[7.5840707, 10.106815]	[242, 247]	[]	[]	[29182119, 29182124]	[]
328_1101	chr14	96797059	96797459	+	1000	171.5	[3.5750778, 3.789234, 7.2254715]	[137, 142, 166]	[10.737618]	[120]	[96797271, 96797276, 96797300]	[96797254]
328_1105	chr7	135662268	135662668	+	1000	171.5	[4.000414]	[123]	[3.789234, 11.031784, 12.726333]	[82, 87, 92]	[135662484]	[135662443, 135662448, 135662453]
328_111	chr3	194583726	194584126	+	1000	423.0	[]	[]	[5.578826, 10.731344]	[108, 113]	[]	[194583909, 194583914]
328_1116	chr12	108731564	108731964	+	1000	170.5	[3.4096942, 5.432013, 16.53286, 10.614471]	[94, 99, 131, 154]	[2.6713188]	[181]	[108731727, 108731732, 108731764, 108731787]	[108731814]
328_1117	chr15	101277360	101277760	+	1000	170.5	[9.397233]	[85]	[17.16471, 12.107688]	[116, 129]	[101277537]	[101277568, 101277581]
328_1118	chr16	67561974	67562374	+	1000	170.5	[11.145439, 4.2831154]	[116, 199]	[]	[]	[67562140, 67562223]	[]
328_1120	chr19	17539684	17540084	+	1000	170.5	[]	[]	[18.928701, 16.804495, 16.804495]	[158, 174, 218]	[]	[17539866, 17539882, 17539926]
328_1121	chr2	119543992	119544392	+	1000	170.5	[19.648071, 6.2064075]	[66, 88]	[]	[]	[119544152, 119544174]	[]
328_1122	chr10	123008661	123009061	+	1000	170.0	[]	[]	[4.4963937, 2.9311576, 7.2367225]	[105, 110, 149]	[]	[123008863, 123008868, 123008907]
328_1123	chr15	31326427	31326827	+	1000	170.0	[10.878938]	[182]	[]	[]	[31326635]	[]
328_1125	chr19	11536042	11536442	+	1000	170.0	[12.77808, 7.481369]	[68, 74]	[]	[]	[11536206, 11536212]	[]
328_1133	chr16	74985014	74985414	+	1000	169.5	[12.775146, 7.6221886]	[149, 204]	[]	[]	[74985175, 74985230]	[]
328_1137	chr17	64975426	64975826	+	1000	169.0	[17.492338, 11.448649, 10.327285]	[113, 128, 181]	[]	[]	[64975604, 64975619, 64975672]	[]
328_1148	chr8	144827213	144827613	+	1000	168.5	[7.5708647, 9.567933, 5.870641]	[129, 161, 183]	[11.366746]	[209]	[144827382, 144827414, 144827436]	[144827462]
328_1154	chr19	11479440	11479840	+	1000	168.0	[7.744517]	[95]	[19.063852, 9.04326, 9.964076, 5.1496353]	[116, 131, 141, 156]	[11479629]	[11479650, 11479665, 11479675, 11479690]
328_116	chr12	131682141	131682541	+	1000	416.5	[]	[]	[5.600314, 3.3121018]	[85, 101]	[]	[131682321, 131682337]
328_1162	chr14	28829986	28830386	+	1000	167.0	[10.435502]	[131]	[]	[]	[28830210]	[]
328_1170	chr19	1905095	1905495	+	1000	166.5	[9.680201, 4.579748]	[204, 218]	[]	[]	[1905307, 1905321]	[]
328_1180	chr12	129109429	129109829	+	1000	165.5	[]	[]	[7.9281807]	[82]	[]	[129109582]
328_1182	chr16	75517219	75517619	+	1000	165.5	[4.673068, 5.883531, 2.7386346]	[166, 199, 200]	[7.504823]	[149]	[75517434, 75517467, 75517468]	[75517417]
328_1185	chr1	25859284	25859684	+	1000	165.0	[11.288374, 5.9013267, 11.276735]	[128, 144, 164]	[19.125294]	[94]	[25859495, 25859511, 25859531]	[25859461]
328_1190	chr8	38996526	38996926	+	1000	165.0	[]	[]	[10.80703, 7.4380927]	[121, 142]	[]	[38996739, 38996760]
328_1195	chr11	107928044	107928444	+	1000	164.5	[13.898647]	[104]	[]	[]	[107928240]	[]
328_1196	chr16	12803695	12804095	+	1000	164.5	[4.403687]	[106]	[5.002602, 4.904107]	[125, 146]	[12803868]	[12803887, 12803908]
328_1200	chr19	1260758	1261158	+	1000	164.5	[19.091042]	[115]	[]	[]	[1260958]	[]
328_1202	chr6	34757284	34757684	+	1000	164.5	[]	[]	[3.0180798]	[156]	[]	[34757514]
328_1204	chr8	41490191	41490591	+	1000	164.5	[8.8508, 18.595453]	[80, 140]	[5.7609243]	[123]	[41490356, 41490416]	[41490399]
328_1206	chr1	37474294	37474694	+	1000	164.0	[16.02719, 13.70639]	[72, 102]	[5.4493284]	[62]	[37474459, 37474489]	[37474449]
328_1208	chr16	88663079	88663479	+	1000	164.0	[3.7316518]	[122]	[11.6472025]	[159]	[88663280]	[88663317]
328_1209	chr16	89171423	89171823	+	1000	164.0	[10.0550785, 7.8751616]	[63, 106]	[]	[]	[89171583, 89171626]	[]
328_1210	chr19	7903520	7903920	+	1000	164.0	[]	[]	[3.7692409, 5.020735]	[151, 165]	[]	[7903690, 7903704]
328_1212	chr5	132181042	132181442	+	1000	164.0	[17.729742, 18.99463, 5.2962217]	[90, 113, 141]	[]	[]	[132181227, 132181250, 132181278]	[]
328_1215	chr16	25257865	25258265	+	1000	163.5	[]	[]	[12.465769]	[233]	[]	[25258104]
328_1218	chr20	3470811	3471211	+	1000	163.5	[15.49735, 11.288374]	[70, 127]	[]	[]	[3470962, 3471019]	[]
328_1219	chr20	45910843	45911243	+	1000	163.5	[15.7789755, 10.150678]	[191, 245]	[]	[]	[45911038, 45911092]	[]
