#PeakID(python identify_motif.py ./ENCODE_processed_files/GATA2_idr.fa GATA2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
946_10141	chr4	173258309	173258709	+	1000	77.0	[12.699877]	[83]	[]	[]	[173258492]	[]
946_10142	chr5	1333355	1333755	+	1000	77.0	[]	[]	[8.567237, 8.567237]	[107, 142]	[]	[1333531, 1333566]
946_10144	chr5	34867122	34867522	+	1000	77.0	[12.699877]	[97]	[]	[]	[34867319]	[]
946_10145	chr5	56688377	56688777	+	1000	77.0	[12.699877]	[75]	[]	[]	[56688551]	[]
946_10147	chr5	82329369	82329769	+	1000	77.0	[8.174054]	[98]	[9.93833]	[127]	[82329566]	[82329595]
946_10148	chr5	98954610	98955010	+	1000	77.0	[8.174054]	[114]	[]	[]	[98954783]	[]
946_1015	chr19	33124638	33125038	+	1000	243.0	[9.93833]	[96]	[]	[]	[33124827]	[]
946_10151	chr5	113474267	113474667	+	1000	77.0	[]	[]	[9.387603]	[119]	[]	[113474473]
946_10152	chr5	131528650	131529050	+	1000	77.0	[]	[]	[7.6269035]	[139]	[]	[131528889]
946_10153	chr5	133049608	133050008	+	1000	77.0	[]	[]	[9.93833]	[108]	[]	[133049813]
946_10155	chr5	150142807	150143207	+	1000	77.0	[7.242745]	[125]	[]	[]	[150142985]	[]
946_10157	chr5	170248589	170248989	+	1000	77.0	[]	[]	[7.6269035]	[153]	[]	[170248832]
946_10158	chr5	173703446	173703846	+	1000	77.0	[9.722767]	[117]	[]	[]	[173703659]	[]
946_1016	chr19	38544012	38544412	+	1000	243.0	[]	[]	[8.065871]	[129]	[]	[38544231]
946_10160	chr6	11964188	11964588	+	1000	77.0	[9.387603, 7.6269035]	[61, 73]	[]	[]	[11964343, 11964355]	[]
946_10161	chr6	20444748	20445148	+	1000	77.0	[9.93833]	[122]	[7.5779095]	[71]	[20444950]	[20444899]
946_10162	chr6	26025645	26026045	+	1000	77.0	[9.93833, 9.93833]	[87, 112]	[]	[]	[26025817, 26025842]	[]
946_10165	chr6	30597293	30597693	+	1000	77.0	[]	[]	[7.7934723]	[128]	[]	[30597494]
946_10167	chr6	31490435	31490835	+	1000	77.0	[7.7934723]	[124]	[]	[]	[31490654]	[]
946_1017	chr5	180093602	180094002	+	1000	243.0	[]	[]	[10.555019]	[109]	[]	[180093809]
946_10170	chr6	42154744	42155144	+	1000	77.0	[]	[]	[7.7934723]	[168]	[]	[42154988]
946_10173	chr6	43683049	43683449	+	1000	77.0	[12.699877]	[124]	[]	[]	[43683267]	[]
946_10176	chr6	82206040	82206440	+	1000	77.0	[7.373495]	[151]	[]	[]	[82206280]	[]
946_10179	chr6	136737422	136737822	+	1000	77.0	[10.555019]	[75]	[]	[]	[136737576]	[]
946_1018	chr6	44471561	44471961	+	1000	243.0	[]	[]	[7.5779095]	[123]	[]	[44471770]
946_10180	chr6	137170246	137170646	+	1000	77.0	[12.699877]	[62]	[10.555019]	[145]	[137170408]	[137170491]
946_10183	chr6	157891581	157891981	+	1000	77.0	[]	[]	[12.699877]	[139]	[]	[157891807]
946_10186	chr7	30349148	30349548	+	1000	77.0	[9.387603, 7.7934723]	[78, 128]	[]	[]	[30349309, 30349359]	[]
946_10188	chr7	35753681	35754081	+	1000	77.0	[12.699877]	[89]	[]	[]	[35753852]	[]
946_10189	chr7	36092413	36092813	+	1000	77.0	[10.555019]	[119]	[8.174054]	[111]	[36092623]	[36092615]
946_1019	chr1	156958247	156958647	+	1000	242.0	[]	[]	[12.699877]	[83]	[]	[156958421]
946_10190	chr7	51366959	51367359	+	1000	77.0	[]	[]	[12.699877]	[134]	[]	[51367168]
946_10191	chr7	77826273	77826673	+	1000	77.0	[7.6269035]	[115]	[]	[]	[77826478]	[]
946_10192	chr7	99362717	99363117	+	1000	77.0	[12.699877]	[123]	[]	[]	[99362939]	[]
946_10194	chr7	103148667	103149067	+	1000	77.0	[]	[]	[7.6269035]	[153]	[]	[103148855]
946_10195	chr7	104981188	104981588	+	1000	77.0	[7.242745]	[163]	[9.387603]	[176]	[104981381]	[104981394]
946_10198	chr8	3107952	3108352	+	1000	77.0	[]	[]	[7.5779095, 12.699877]	[91, 150]	[]	[3108126, 3108185]
946_10199	chr8	11799080	11799480	+	1000	77.0	[10.555019]	[63]	[]	[]	[11799237]	[]
946_102	chr9	120897150	120897550	+	1000	542.0	[]	[]	[8.174054]	[139]	[]	[120897383]
946_1020	chr10	70667214	70667614	+	1000	242.0	[12.699877]	[75]	[]	[]	[70667368]	[]
946_10201	chr8	56967305	56967705	+	1000	77.0	[]	[]	[7.083552, 9.722767]	[116, 155]	[]	[56967505, 56967544]
946_10202	chr8	60325899	60326299	+	1000	77.0	[7.7934723]	[157]	[10.555019]	[143]	[60326134]	[60326120]
946_10206	chr8	141338634	141339034	+	1000	77.0	[]	[]	[7.373495]	[155]	[]	[141338859]
946_10207	chr8	143333839	143334239	+	1000	77.0	[]	[]	[7.7934723]	[143]	[]	[143334059]
946_10209	chr9	97239515	97239915	+	1000	77.0	[]	[]	[12.699877]	[122]	[]	[97239732]
946_10210	chr9	98174479	98174879	+	1000	77.0	[9.722767]	[143]	[]	[]	[98174693]	[]
946_10211	chr9	105676234	105676634	+	1000	77.0	[10.555019, 9.722767]	[132, 162]	[]	[]	[105676450, 105676480]	[]
946_10212	chr9	121647005	121647405	+	1000	77.0	[7.5779095]	[112]	[9.722767]	[91]	[121647217]	[121647196]
946_10213	chr9	127455602	127456002	+	1000	77.0	[]	[]	[7.6269035]	[66]	[]	[127455768]
946_10218	chr9	133002870	133003270	+	1000	77.0	[12.699877]	[154]	[]	[]	[133003093]	[]
946_1022	chr19	12544353	12544753	+	1000	242.0	[9.722767]	[87]	[]	[]	[12544537]	[]
946_10220	chr9	136190195	136190595	+	1000	77.0	[8.174054, 8.174054, 8.174054]	[75, 102, 129]	[]	[]	[136190356, 136190383, 136190410]	[]
946_10223	chrX	68897118	68897518	+	1000	77.0	[10.555019]	[102]	[]	[]	[68897319]	[]
946_10228	chr1	3653203	3653603	+	1000	76.0	[]	[]	[12.699877]	[173]	[]	[3653448]
946_10229	chr1	6183425	6183825	+	1000	76.0	[]	[]	[12.699877]	[110]	[]	[6183622]
946_10230	chr1	14817208	14817608	+	1000	76.0	[7.6269035]	[157]	[9.387603]	[119]	[14817437]	[14817399]
946_10233	chr1	27027178	27027578	+	1000	76.0	[8.250492]	[154]	[]	[]	[27027422]	[]
946_10238	chr1	32964012	32964412	+	1000	76.0	[12.699877]	[126]	[]	[]	[32964222]	[]
946_10240	chr1	55039277	55039677	+	1000	76.0	[]	[]	[7.6269035]	[95]	[]	[55039466]
946_10247	chr1	153059307	153059707	+	1000	76.0	[10.555019]	[126]	[]	[]	[153059513]	[]
946_10248	chr1	154963711	154964111	+	1000	76.0	[]	[]	[10.555019]	[94]	[]	[154963886]
946_10249	chr1	156524062	156524462	+	1000	76.0	[10.555019]	[101]	[]	[]	[156524250]	[]
946_1025	chr1	57218700	57219100	+	1000	241.0	[12.699877]	[117]	[]	[]	[57218904]	[]
946_10251	chr1	160548904	160549304	+	1000	76.0	[12.699877]	[106]	[]	[]	[160549108]	[]
946_10252	chr1	179026633	179027033	+	1000	76.0	[8.065871]	[134]	[10.555019]	[118]	[179026855]	[179026839]
946_10258	chr1	231357858	231358258	+	1000	76.0	[]	[]	[7.6269035]	[159]	[]	[231358101]
946_10262	chr10	28432144	28432544	+	1000	76.0	[]	[]	[9.93833]	[103]	[]	[28432347]
946_10267	chr10	72297241	72297641	+	1000	76.0	[]	[]	[9.722767]	[112]	[]	[72297451]
946_10268	chr10	79059197	79059597	+	1000	76.0	[]	[]	[12.699877, 10.555019]	[121, 164]	[]	[79059399, 79059442]
946_1027	chr1	201578329	201578729	+	1000	241.0	[]	[]	[7.242745]	[144]	[]	[201578570]
946_10270	chr11	45823376	45823776	+	1000	76.0	[12.699877]	[71]	[]	[]	[45823547]	[]
946_10272	chr11	60056363	60056763	+	1000	76.0	[]	[]	[9.722767]	[196]	[]	[60056610]
946_10275	chr11	77560575	77560975	+	1000	76.0	[7.5779095]	[128]	[]	[]	[77560771]	[]
946_10276	chr11	86416585	86416985	+	1000	76.0	[12.699877]	[80]	[]	[]	[86416744]	[]
946_10277	chr11	108220716	108221116	+	1000	76.0	[]	[]	[12.699877]	[153]	[]	[108220966]
946_10278	chr11	119378957	119379357	+	1000	76.0	[12.699877]	[135]	[]	[]	[119379151]	[]
946_10279	chr11	130006939	130007339	+	1000	76.0	[]	[]	[12.699877, 7.6269035]	[88, 93]	[]	[130007122, 130007127]
946_1028	chr1	205255916	205256316	+	1000	241.0	[12.699877]	[91]	[]	[]	[205256106]	[]
946_10281	chr12	70626191	70626591	+	1000	76.0	[8.065871]	[155]	[]	[]	[70626423]	[]
946_10282	chr12	71671805	71672205	+	1000	76.0	[9.93833]	[110]	[12.699877]	[151]	[71672011]	[71672052]
946_10283	chr12	76551397	76551797	+	1000	76.0	[10.555019]	[65]	[9.93833]	[87]	[76551555]	[76551577]
946_10286	chr12	93090117	93090517	+	1000	76.0	[]	[]	[7.373495]	[159]	[]	[93090362]
946_10287	chr12	94100288	94100688	+	1000	76.0	[7.7934723]	[121]	[]	[]	[94100509]	[]
946_10288	chr12	104289193	104289593	+	1000	76.0	[12.699877]	[139]	[]	[]	[104289415]	[]
946_10289	chr12	113230427	113230827	+	1000	76.0	[9.93833]	[108]	[]	[]	[113230600]	[]
946_1029	chr16	23667199	23667599	+	1000	241.0	[12.699877, 9.387603]	[84, 111]	[]	[]	[23667369, 23667396]	[]
946_10290	chr14	50926928	50927328	+	1000	76.0	[]	[]	[12.699877]	[116]	[]	[50927136]
946_10291	chr15	38437944	38438344	+	1000	76.0	[10.555019]	[118]	[]	[]	[38438143]	[]
946_10292	chr15	41495883	41496283	+	1000	76.0	[]	[]	[12.699877]	[137]	[]	[41496113]
946_10293	chr15	95247094	95247494	+	1000	76.0	[8.250492]	[109]	[]	[]	[95247294]	[]
946_10294	chr15	95629787	95630187	+	1000	76.0	[12.699877]	[86]	[]	[]	[95629953]	[]
946_10295	chr16	50263344	50263744	+	1000	76.0	[7.242745, 7.5779095, 9.93833]	[73, 93, 123]	[]	[]	[50263512, 50263532, 50263562]	[]
946_10296	chr16	53056531	53056931	+	1000	76.0	[]	[]	[9.93833]	[159]	[]	[53056780]
946_10297	chr16	67226433	67226833	+	1000	76.0	[]	[]	[8.567237]	[105]	[]	[67226614]
946_103	chr1	40820871	40821271	+	1000	540.0	[12.699877, 9.722767]	[72, 114]	[]	[]	[40821033, 40821075]	[]
946_1030	chr2	42464576	42464976	+	1000	241.0	[12.699877, 12.699877]	[84, 144]	[]	[]	[42464752, 42464812]	[]
946_10300	chr17	47844264	47844664	+	1000	76.0	[]	[]	[10.555019]	[121]	[]	[47844455]
946_10301	chr17	60381943	60382343	+	1000	76.0	[12.699877]	[143]	[12.699877]	[81]	[60382181]	[60382119]
946_10302	chr17	60388721	60389121	+	1000	76.0	[9.722767]	[70]	[9.93833]	[118]	[60388890]	[60388938]
946_10303	chr17	63612192	63612592	+	1000	76.0	[9.387603]	[85]	[]	[]	[63612348]	[]
946_10304	chr17	77071426	77071826	+	1000	76.0	[7.7934723]	[129]	[]	[]	[77071649]	[]
946_10305	chr17	78737315	78737715	+	1000	76.0	[]	[]	[9.387603]	[113]	[]	[78737504]
946_10306	chr18	766017	766417	+	1000	76.0	[12.699877]	[134]	[]	[]	[766216]	[]
946_10307	chr18	3604487	3604887	+	1000	76.0	[9.722767, 7.083552]	[166, 195]	[]	[]	[3604709, 3604738]	[]
946_10309	chr18	3666285	3666685	+	1000	76.0	[]	[]	[9.93833]	[114]	[]	[3666487]
946_1031	chr21	42403681	42404081	+	1000	241.0	[9.93833]	[117]	[]	[]	[42403891]	[]
946_10312	chr18	9758741	9759141	+	1000	76.0	[]	[]	[8.065871]	[141]	[]	[9758980]
946_10313	chr18	32091918	32092318	+	1000	76.0	[]	[]	[8.250492]	[88]	[]	[32092077]
946_10316	chr18	46222701	46223101	+	1000	76.0	[7.242745]	[75]	[7.7934723]	[141]	[46222874]	[46222940]
946_10317	chr19	668980	669380	+	1000	76.0	[]	[]	[7.169444]	[89]	[]	[669139]
946_10318	chr19	3184798	3185198	+	1000	76.0	[]	[]	[7.5779095]	[127]	[]	[3185019]
946_10319	chr19	6602627	6603027	+	1000	76.0	[8.174054]	[90]	[]	[]	[6602803]	[]
946_1032	chr7	72805707	72806107	+	1000	241.0	[]	[]	[9.722767]	[103]	[]	[72805905]
946_10322	chr19	15835899	15836299	+	1000	76.0	[7.6269035]	[64]	[]	[]	[15836053]	[]
946_10324	chr19	18380162	18380562	+	1000	76.0	[]	[]	[7.5779095]	[85]	[]	[18380314]
946_10326	chr19	47262380	47262780	+	1000	76.0	[]	[]	[12.699877]	[159]	[]	[47262620]
946_10327	chr2	9714583	9714983	+	1000	76.0	[12.699877, 9.93833]	[112, 130]	[]	[]	[9714787, 9714805]	[]
946_10329	chr2	42927440	42927840	+	1000	76.0	[12.699877]	[119]	[]	[]	[42927652]	[]
946_1033	chr1	28590001	28590401	+	1000	240.0	[7.083552]	[69]	[9.722767, 8.065871]	[62, 111]	[28590165]	[28590158, 28590207]
946_10331	chr2	71880814	71881214	+	1000	76.0	[8.065871]	[144]	[]	[]	[71881041]	[]
946_10334	chr2	134195346	134195746	+	1000	76.0	[9.93833]	[89]	[]	[]	[134195532]	[]
946_10336	chr2	169034254	169034654	+	1000	76.0	[]	[]	[12.699877]	[126]	[]	[169034465]
946_10337	chr2	190352901	190353301	+	1000	76.0	[12.699877]	[131]	[]	[]	[190353110]	[]
946_10338	chr2	219498209	219498609	+	1000	76.0	[]	[]	[10.555019]	[149]	[]	[219498441]
946_1034	chr1	204711300	204711700	+	1000	240.0	[10.555019, 12.699877]	[90, 109]	[]	[]	[204711479, 204711498]	[]
946_10341	chr20	59013903	59014303	+	1000	76.0	[9.722767]	[158]	[]	[]	[59014128]	[]
946_10343	chr21	39184362	39184762	+	1000	76.0	[]	[]	[9.93833]	[136]	[]	[39184591]
946_10345	chr22	17633111	17633511	+	1000	76.0	[]	[]	[9.722767]	[137]	[]	[17633338]
946_1035	chr10	49300483	49300883	+	1000	240.0	[8.250492]	[131]	[]	[]	[49300706]	[]
946_1036	chr10	98664425	98664825	+	1000	240.0	[12.699877]	[105]	[]	[]	[98664617]	[]
946_10364	chr22	20933757	20934157	+	1000	76.0	[7.000952]	[172]	[7.242745]	[97]	[20933994]	[20933919]
946_1037	chr11	3831761	3832161	+	1000	240.0	[7.5779095]	[85]	[]	[]	[3831943]	[]
946_10374	chr22	21856209	21856609	+	1000	76.0	[8.174054]	[86]	[8.174054]	[100]	[21856377]	[21856391]
946_10378	chr22	22041909	22042309	+	1000	76.0	[]	[]	[9.93833, 9.387603]	[111, 133]	[]	[22042113, 22042135]
946_1038	chr15	67254178	67254578	+	1000	240.0	[]	[]	[7.6269035]	[138]	[]	[67254398]
946_10389	chr22	25762112	25762512	+	1000	76.0	[10.555019]	[101]	[10.555019]	[155]	[25762307]	[25762361]
946_1039	chr19	39971012	39971412	+	1000	240.0	[]	[]	[7.6269035]	[98]	[]	[39971210]
946_10390	chr22	27314282	27314682	+	1000	76.0	[]	[]	[7.7934723, 12.699877]	[100, 155]	[]	[27314448, 27314503]
946_10391	chr22	30306259	30306659	+	1000	76.0	[]	[]	[9.722767]	[136]	[]	[30306469]
946_10392	chr3	4546665	4547065	+	1000	76.0	[7.083552]	[171]	[7.6269035]	[136]	[4546904]	[4546869]
946_10393	chr3	9955130	9955530	+	1000	76.0	[]	[]	[8.065871]	[100]	[]	[9955324]
946_10394	chr3	10292726	10293126	+	1000	76.0	[9.722767]	[124]	[12.699877]	[81]	[10292931]	[10292888]
946_10395	chr3	11768625	11769025	+	1000	76.0	[9.722767]	[108]	[]	[]	[11768825]	[]
946_10398	chr3	64916938	64917338	+	1000	76.0	[9.722767]	[106]	[]	[]	[64917143]	[]
946_10399	chr3	71542665	71543065	+	1000	76.0	[]	[]	[9.722767]	[102]	[]	[71542863]
946_104	chr1	65293009	65293409	+	1000	536.0	[8.567237]	[124]	[9.93833]	[86]	[65293229]	[65293191]
946_1040	chr2	112055122	112055522	+	1000	240.0	[7.6269035]	[127]	[]	[]	[112055336]	[]
946_10402	chr3	146496664	146497064	+	1000	76.0	[]	[]	[12.699877]	[103]	[]	[146496861]
946_10403	chr3	186949481	186949881	+	1000	76.0	[10.555019]	[139]	[]	[]	[186949702]	[]
946_10408	chr4	94534773	94535173	+	1000	76.0	[]	[]	[12.699877]	[118]	[]	[94534966]
946_1041	chr2	127542967	127543367	+	1000	240.0	[8.174054]	[128]	[]	[]	[127543173]	[]
946_10410	chr4	141158120	141158520	+	1000	76.0	[10.555019]	[147]	[]	[]	[141158349]	[]
946_10415	chr5	39187038	39187438	+	1000	76.0	[7.7934723, 7.7934723]	[109, 137]	[]	[]	[39187214, 39187242]	[]
946_1042	chr4	144019199	144019599	+	1000	240.0	[9.722767]	[107]	[]	[]	[144019378]	[]
946_10420	chr5	128038646	128039046	+	1000	76.0	[]	[]	[12.699877]	[97]	[]	[128038841]
946_10421	chr5	141692960	141693360	+	1000	76.0	[]	[]	[8.174054]	[141]	[]	[141693189]
946_10426	chr6	14982024	14982424	+	1000	76.0	[9.93833]	[169]	[]	[]	[14982262]	[]
946_10428	chr6	16002300	16002700	+	1000	76.0	[12.699877]	[145]	[]	[]	[16002539]	[]
946_1043	chr5	72597572	72597972	+	1000	240.0	[12.699877]	[79]	[8.174054]	[128]	[72597734]	[72597783]
946_10433	chr6	30340571	30340971	+	1000	76.0	[9.93833, 9.722767]	[97, 158]	[]	[]	[30340745, 30340806]	[]
946_10435	chr6	36766072	36766472	+	1000	76.0	[7.6269035]	[77]	[]	[]	[36766244]	[]
946_10436	chr6	50815763	50816163	+	1000	76.0	[]	[]	[7.5779095]	[145]	[]	[50816003]
946_10438	chr6	100257879	100258279	+	1000	76.0	[7.242745]	[104]	[]	[]	[100258083]	[]
946_10439	chr6	139376767	139377167	+	1000	76.0	[]	[]	[7.6269035, 7.7934723]	[102, 158]	[]	[139376954, 139377010]
946_1044	chr6	84062518	84062918	+	1000	240.0	[10.555019]	[147]	[]	[]	[84062746]	[]
946_10440	chr6	139823543	139823943	+	1000	76.0	[8.174054]	[152]	[9.722767]	[108]	[139823788]	[139823744]
946_10445	chr7	50338694	50339094	+	1000	76.0	[]	[]	[9.722767]	[131]	[]	[50338916]
946_10446	chr7	75798732	75799132	+	1000	76.0	[9.93833]	[192]	[12.699877]	[167]	[75798958]	[75798933]
946_10447	chr7	84780691	84781091	+	1000	76.0	[12.699877]	[128]	[]	[]	[84780904]	[]
946_10449	chr7	106567275	106567675	+	1000	76.0	[]	[]	[9.722767]	[90]	[]	[106567445]
946_1045	chr8	11879308	11879708	+	1000	240.0	[12.699877, 7.5779095]	[84, 126]	[7.5779095]	[115]	[11879486, 11879528]	[11879517]
946_10450	chr7	108037209	108037609	+	1000	76.0	[]	[]	[12.699877]	[60]	[]	[108037361]
946_10451	chr7	112433340	112433740	+	1000	76.0	[8.065871]	[124]	[]	[]	[112433560]	[]
946_10452	chr7	116465784	116466184	+	1000	76.0	[12.699877]	[88]	[]	[]	[116465967]	[]
946_10453	chr7	127365182	127365582	+	1000	76.0	[]	[]	[10.555019, 12.699877, 9.722767]	[96, 101, 113]	[]	[127365373, 127365378, 127365390]
946_10454	chr7	128463919	128464319	+	1000	76.0	[8.065871]	[86]	[]	[]	[128464096]	[]
946_10455	chr7	129969946	129970346	+	1000	76.0	[9.387603]	[222]	[7.373495]	[181]	[129970185]	[129970144]
946_10459	chr7	156920393	156920793	+	1000	76.0	[]	[]	[10.555019]	[130]	[]	[156920610]
946_1046	chr1	186112238	186112638	+	1000	239.0	[]	[]	[10.555019]	[110]	[]	[186112438]
946_10460	chr8	55961320	55961720	+	1000	76.0	[9.93833, 10.555019]	[148, 173]	[]	[]	[55961536, 55961561]	[]
