#PeakID(python identify_motif.py ./ENCODE_processed_files/BACH1_idr.fa BACH1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
593_1	chr4	8303572	8303972	+	1000	782.0	[16.412586, 16.412586, 16.412586, 16.412586]	[64, 90, 116, 142]	[7.2059402, 7.2059402]	[62, 88]	[8303732, 8303758, 8303784, 8303810]	[8303730, 8303756]
593_11	chr16	89995824	89996224	+	1000	676.0	[16.412586, 10.54713, 16.412586, 16.412586, 16.412586]	[74, 83, 97, 124, 138]	[10.945392, 8.78628, 10.945392, 7.2059402, 10.945392]	[72, 81, 95, 122, 136]	[89995995, 89996004, 89996018, 89996045, 89996059]	[89995993, 89996002, 89996016, 89996043, 89996057]
593_110	chr7	135923664	135924064	+	1000	300.0	[6.6765213]	[55]	[11.977605, 7.904591, 6.767894]	[65, 111, 148]	[135923816]	[135923826, 135923872, 135923909]
593_1102	chr1	36248297	36248697	+	1000	78.0	[8.062279]	[125]	[7.904591, 7.2059402]	[88, 123]	[36248516]	[36248479, 36248514]
593_1106	chr16	14024354	14024754	+	1000	78.0	[16.412586]	[86]	[7.2059402]	[84]	[14024535]	[14024533]
593_1107	chr16	24844512	24844912	+	1000	78.0	[13.45553]	[113]	[12.235088, 10.945392]	[77, 111]	[24844722]	[24844686, 24844720]
593_1109	chr16	34571817	34572217	+	1000	78.0	[9.042406]	[115]	[]	[]	[34572032]	[]
593_111	chr1	39615079	39615479	+	1000	296.0	[16.412586]	[107]	[7.2059402]	[105]	[39615283]	[39615281]
593_1111	chr17	43315865	43316265	+	1000	78.0	[8.438943]	[207]	[6.7076573]	[205]	[43316092]	[43316090]
593_1113	chr2	8229586	8229986	+	1000	78.0	[16.412586, 8.684887]	[101, 151]	[7.2059402, 11.111503]	[99, 113]	[8229773, 8229823]	[8229771, 8229785]
593_1117	chr20	460188	460588	+	1000	78.0	[7.1189213]	[105]	[]	[]	[460389]	[]
593_112	chr7	139914217	139914617	+	1000	292.0	[7.260634, 16.412586]	[92, 102]	[11.977605, 7.2059402]	[90, 100]	[139914401, 139914411]	[139914399, 139914409]
593_1120	chr3	196339714	196340114	+	1000	78.0	[]	[]	[12.235088]	[142]	[]	[196339931]
593_1121	chr6	4256980	4257380	+	1000	78.0	[6.970353]	[153]	[]	[]	[4257227]	[]
593_1123	chr7	22726718	22727118	+	1000	78.0	[]	[]	[16.412586]	[108]	[]	[22726915]
593_1125	chr7	135519232	135519632	+	1000	78.0	[]	[]	[7.6756134, 6.965921]	[89, 127]	[]	[135519416, 135519454]
593_1126	chr8	73346615	73347015	+	1000	78.0	[16.412586]	[104]	[7.0733485]	[102]	[73346811]	[73346809]
593_1129	chr10	84139638	84140038	+	1000	77.0	[10.945392]	[105]	[16.412586]	[103]	[84139839]	[84139837]
593_113	chr9	129954892	129955292	+	1000	292.0	[16.412586]	[88]	[6.552027, 10.945392]	[68, 86]	[129955079]	[129955059, 129955077]
593_1130	chr11	34044978	34045378	+	1000	77.0	[9.818272]	[100]	[16.412586]	[98]	[34045167]	[34045165]
593_1131	chr11	36149679	36150079	+	1000	77.0	[9.716079, 9.716079, 9.716079, 9.716079]	[89, 124, 140, 147]	[7.2059402, 7.2059402, 7.2059402, 7.2059402]	[87, 122, 138, 145]	[36149838, 36149873, 36149889, 36149896]	[36149836, 36149871, 36149887, 36149894]
593_1132	chr11	48061308	48061708	+	1000	77.0	[]	[]	[12.235088]	[110]	[]	[48061496]
593_1133	chr12	44624966	44625366	+	1000	77.0	[16.412586]	[93]	[7.2059402]	[91]	[44625154]	[44625152]
593_1135	chr12	112876990	112877390	+	1000	77.0	[16.412586]	[135]	[7.0733485]	[133]	[112877214]	[112877212]
593_1136	chr14	33951440	33951840	+	1000	77.0	[7.0733485]	[137]	[16.412586]	[135]	[33951658]	[33951656]
593_1138	chr17	76354917	76355317	+	1000	77.0	[16.412586]	[135]	[]	[]	[76355144]	[]
593_1140	chr2	187985931	187986331	+	1000	77.0	[13.902448]	[99]	[8.588959]	[97]	[187986117]	[187986115]
593_1141	chr2	242098469	242098869	+	1000	77.0	[]	[]	[6.965921]	[131]	[]	[242098688]
593_1142	chr20	17583101	17583501	+	1000	77.0	[16.412586]	[124]	[7.0733485]	[122]	[17583317]	[17583315]
593_1143	chr20	41669999	41670399	+	1000	77.0	[9.818272]	[104]	[16.412586]	[102]	[41670185]	[41670183]
593_1145	chr3	150169592	150169992	+	1000	77.0	[16.412586]	[124]	[7.3720512]	[143]	[150169803]	[150169822]
593_1146	chr3	151543562	151543962	+	1000	77.0	[7.2059402]	[105]	[16.412586]	[103]	[151543760]	[151543758]
593_1147	chr5	121737184	121737584	+	1000	77.0	[13.902448]	[121]	[9.716079]	[119]	[121737385]	[121737383]
593_1148	chr6	29964812	29965212	+	1000	77.0	[6.6792603]	[115]	[16.412586]	[113]	[29965021]	[29965019]
593_1150	chr1	1686174	1686574	+	1000	76.0	[9.716079]	[70]	[13.902448]	[68]	[1686342]	[1686340]
593_1152	chr1	51331218	51331618	+	1000	76.0	[13.45553]	[99]	[7.2059402]	[97]	[51331415]	[51331413]
593_1154	chr11	74460695	74461095	+	1000	76.0	[7.2059402]	[128]	[16.412586]	[126]	[74460917]	[74460915]
593_1157	chr15	65296223	65296623	+	1000	76.0	[]	[]	[8.210046]	[206]	[]	[65296432]
593_1158	chr16	25633586	25633986	+	1000	76.0	[9.636316]	[115]	[9.716079]	[113]	[25633795]	[25633793]
593_1159	chr17	44707820	44708220	+	1000	76.0	[7.2059402]	[114]	[16.412586]	[112]	[44708021]	[44708019]
593_1163	chr20	31879690	31880090	+	1000	76.0	[7.262118]	[128]	[]	[]	[31879911]	[]
593_1164	chr20	44204189	44204589	+	1000	76.0	[12.32841]	[117]	[12.082088, 6.6792603]	[102, 115]	[44204394]	[44204379, 44204392]
593_1165	chr21	44682550	44682950	+	1000	76.0	[]	[]	[7.1189213, 7.1189213, 7.256301]	[101, 121, 134]	[]	[44682748, 44682768, 44682781]
593_1169	chr3	129657683	129658083	+	1000	76.0	[16.412586]	[101]	[7.0733485]	[99]	[129657877]	[129657875]
593_117	chrX	49039796	49040196	+	1000	282.0	[16.412586]	[102]	[10.945392]	[100]	[49039998]	[49039996]
593_1174	chr8	26262707	26263107	+	1000	76.0	[10.030405]	[121]	[16.412586]	[119]	[26262905]	[26262903]
593_118	chr18	1050002	1050402	+	1000	281.0	[12.146455, 9.57195]	[102, 129]	[7.2059402, 6.7715845]	[100, 120]	[1050202, 1050229]	[1050200, 1050220]
593_1183	chr12	96364101	96364501	+	1000	75.0	[]	[]	[8.11366, 16.412586]	[77, 90]	[]	[96364275, 96364288]
593_1185	chr16	3846558	3846958	+	1000	75.0	[]	[]	[7.6756134]	[70]	[]	[3846723]
593_1187	chr18	9869722	9870122	+	1000	75.0	[7.915286]	[113]	[11.977605]	[111]	[9869934]	[9869932]
593_1188	chr2	65819087	65819487	+	1000	75.0	[10.162996]	[86]	[9.716079]	[84]	[65819270]	[65819268]
593_1189	chr2	168490004	168490404	+	1000	75.0	[]	[]	[8.363047, 11.999462]	[73, 116]	[]	[168490176, 168490219]
593_119	chr3	142319136	142319536	+	1000	279.0	[8.339362, 9.716079]	[108, 132]	[13.902448]	[130]	[142319325, 142319349]	[142319347]
593_1192	chr5	31149075	31149475	+	1000	75.0	[6.6792603]	[117]	[16.412586]	[115]	[31149281]	[31149279]
593_1193	chr5	107466093	107466493	+	1000	75.0	[6.6792603]	[131]	[9.278032, 16.412586]	[102, 129]	[107466298]	[107466269, 107466296]
593_1194	chr5	130837256	130837656	+	1000	75.0	[16.412586]	[101]	[10.945392]	[99]	[130837451]	[130837449]
593_1195	chr6	53042110	53042510	+	1000	75.0	[12.540544, 11.999462, 7.9979124]	[59, 70, 100]	[9.342972]	[98]	[53042261, 53042272, 53042302]	[53042300]
593_1197	chr8	48915123	48915523	+	1000	75.0	[16.412586]	[104]	[7.0733485]	[102]	[48915315]	[48915313]
593_1199	chr1	23537543	23537943	+	1000	74.0	[16.412586]	[98]	[7.2059402]	[96]	[23537737]	[23537735]
593_120	chr4	25861449	25861849	+	1000	279.0	[7.1189213, 11.977605]	[89, 151]	[]	[]	[25861620, 25861682]	[]
593_1200	chr1	51875173	51875573	+	1000	74.0	[6.1916084]	[112]	[10.59517]	[90]	[51875379]	[51875357]
593_1202	chr1	236325518	236325918	+	1000	74.0	[11.977605, 11.977605]	[115, 136]	[6.6765213]	[176]	[236325708, 236325729]	[236325769]
593_1203	chr10	91759670	91760070	+	1000	74.0	[8.438943, 7.2059402]	[112, 143]	[7.711474, 16.412586]	[84, 141]	[91759860, 91759891]	[91759832, 91759889]
593_1204	chr11	34794700	34795100	+	1000	74.0	[16.412586]	[114]	[9.818272]	[112]	[34794895]	[34794893]
593_1205	chr11	126353280	126353680	+	1000	74.0	[9.57195]	[122]	[]	[]	[126353496]	[]
593_1209	chr15	95684824	95685224	+	1000	74.0	[16.412586]	[128]	[7.2059402, 7.0273266]	[126, 152]	[95685048]	[95685046, 95685072]
593_121	chr2	233426578	233426978	+	1000	278.0	[]	[]	[16.412586]	[91]	[]	[233426764]
593_1210	chr15	101255576	101255976	+	1000	74.0	[9.636316]	[102]	[16.412586]	[100]	[101255778]	[101255776]
593_1211	chr16	11201896	11202296	+	1000	74.0	[10.945392]	[89]	[12.673135]	[87]	[11202071]	[11202069]
593_1212	chr17	34413024	34413424	+	1000	74.0	[]	[]	[6.965921]	[126]	[]	[34413242]
593_1213	chr17	41678211	41678611	+	1000	74.0	[]	[]	[7.0770397]	[136]	[]	[41678442]
593_1214	chr17	59729369	59729769	+	1000	74.0	[7.0733485]	[86]	[16.412586]	[84]	[59729542]	[59729540]
593_1216	chr19	32532240	32532640	+	1000	74.0	[10.945392]	[120]	[16.412586]	[118]	[32532441]	[32532439]
593_1219	chr2	159069610	159070010	+	1000	74.0	[9.818272]	[108]	[16.412586]	[106]	[159069802]	[159069800]
593_122	chr9	129570630	129571030	+	1000	278.0	[16.412586]	[105]	[]	[]	[129570833]	[]
593_1220	chr20	22411852	22412252	+	1000	74.0	[]	[]	[11.977605]	[111]	[]	[22412045]
593_1224	chr22	50139932	50140332	+	1000	74.0	[16.412586]	[108]	[7.2059402]	[106]	[50140136]	[50140134]
593_1225	chr4	152990724	152991124	+	1000	74.0	[12.082088]	[114]	[8.684887]	[92]	[152990937]	[152990915]
593_1226	chr5	157917898	157918298	+	1000	74.0	[9.636316]	[90]	[16.412586, 8.287593, 6.86587]	[88, 123, 158]	[157918069]	[157918067, 157918102, 157918137]
593_1227	chr6	20201936	20202336	+	1000	74.0	[13.45553]	[125]	[13.902448]	[123]	[20202154]	[20202152]
593_1229	chr8	61719430	61719830	+	1000	74.0	[7.9689574]	[59]	[]	[]	[61719587]	[]
593_1230	chr1	113819754	113820154	+	1000	73.0	[11.999462]	[82]	[]	[]	[113819936]	[]
593_1234	chr1	194658119	194658519	+	1000	73.0	[16.412586]	[90]	[7.0733485]	[88]	[194658307]	[194658305]
593_1235	chr10	4953395	4953795	+	1000	73.0	[]	[]	[11.977605]	[125]	[]	[4953608]
593_1236	chr10	103816427	103816827	+	1000	73.0	[16.412586]	[108]	[10.945392, 7.23946]	[106, 125]	[103816630]	[103816628, 103816647]
593_1238	chr11	10406153	10406553	+	1000	73.0	[]	[]	[9.342972]	[148]	[]	[10406389]
593_124	chr1	211613343	211613743	+	1000	274.0	[13.902448]	[66]	[9.716079]	[64]	[211613507]	[211613505]
593_1243	chr16	15879390	15879790	+	1000	73.0	[]	[]	[16.412586]	[113]	[]	[15879598]
593_1245	chr19	18557615	18558015	+	1000	73.0	[6.4561973]	[90]	[]	[]	[18557787]	[]
593_1246	chr19	48783508	48783908	+	1000	73.0	[]	[]	[7.904591, 7.1189213, 8.78628]	[88, 110, 134]	[]	[48783688, 48783710, 48783734]
593_1247	chr2	151669754	151670154	+	1000	73.0	[16.412586]	[100]	[13.902448]	[98]	[151669950]	[151669948]
593_1250	chr21	26405687	26406087	+	1000	73.0	[13.902448, 16.412586]	[107, 120]	[11.6737585, 7.2059402]	[105, 118]	[26405881, 26405894]	[26405879, 26405892]
593_1252	chr22	22142196	22142596	+	1000	73.0	[7.2059402]	[118]	[6.9960446, 16.412586]	[78, 116]	[22142405]	[22142365, 22142403]
593_1256	chr5	72234169	72234569	+	1000	73.0	[9.716079]	[110]	[7.2059402]	[108]	[72234355]	[72234353]
593_1258	chr6	28769642	28770042	+	1000	73.0	[13.902448]	[148]	[16.412586]	[146]	[28769869]	[28769867]
593_1259	chr6	90357912	90358312	+	1000	73.0	[11.999462]	[87]	[9.020549]	[85]	[90358080]	[90358078]
593_126	chr1	75672797	75673197	+	1000	270.0	[6.6750875, 16.412586]	[95, 123]	[7.0733485]	[121]	[75672982, 75673010]	[75673008]
593_1261	chr1	52403607	52404007	+	1000	72.0	[]	[]	[12.082088]	[89]	[]	[52403787]
593_1262	chr1	156661338	156661738	+	1000	72.0	[16.412586]	[76]	[9.818272]	[74]	[156661514]	[156661512]
593_1263	chr1	223402456	223402856	+	1000	72.0	[12.082088, 12.146455]	[120, 130]	[12.673135, 7.2059402]	[110, 128]	[223402665, 223402675]	[223402655, 223402673]
593_1264	chr1	223700850	223701250	+	1000	72.0	[10.030405]	[160]	[9.5834875]	[158]	[223701098]	[223701096]
593_1268	chr10	74917492	74917892	+	1000	72.0	[8.062279, 8.790712]	[102, 123]	[13.902448, 6.3726745]	[100, 121]	[74917691, 74917712]	[74917689, 74917710]
593_1269	chr11	85665172	85665572	+	1000	72.0	[9.042406]	[116]	[11.977605, 7.6381135]	[114, 136]	[85665386]	[85665384, 85665406]
593_1271	chr12	65156319	65156719	+	1000	72.0	[16.412586]	[103]	[6.6792603]	[101]	[65156500]	[65156498]
593_1274	chr16	20042929	20043329	+	1000	72.0	[12.673135, 13.902448]	[134, 157]	[10.030405, 12.32841]	[132, 155]	[20043140, 20043163]	[20043138, 20043161]
593_1276	chr16	74563775	74564175	+	1000	72.0	[9.189399]	[122]	[6.7715845, 6.514101, 7.2059402]	[85, 113, 120]	[74563992]	[74563955, 74563983, 74563990]
593_1277	chr19	17073900	17074300	+	1000	72.0	[13.45553]	[108]	[13.902448]	[106]	[17074090]	[17074088]
593_1278	chr2	16644178	16644578	+	1000	72.0	[7.2059402]	[105]	[16.412586, 7.078671]	[103, 125]	[16644382]	[16644380, 16644402]
593_1279	chr2	30608648	30609048	+	1000	72.0	[7.0733485]	[123]	[16.412586]	[121]	[30608846]	[30608844]
593_1280	chr21	19870687	19871087	+	1000	72.0	[16.412586]	[91]	[7.2059402]	[89]	[19870877]	[19870875]
593_1281	chr22	49970742	49971142	+	1000	72.0	[12.32841, 16.412586]	[78, 132]	[]	[]	[49970916, 49970970]	[]
593_1282	chr5	134437938	134438338	+	1000	72.0	[]	[]	[11.999462]	[91]	[]	[134438108]
593_1283	chr7	123538147	123538547	+	1000	72.0	[8.062279, 13.45553]	[68, 101]	[7.2059402, 9.636316]	[66, 99]	[123538307, 123538340]	[123538305, 123538338]
593_1285	chr9	89342215	89342615	+	1000	72.0	[16.412586]	[102]	[7.2059402]	[100]	[89342409]	[89342407]
593_1286	chr9	128307173	128307573	+	1000	72.0	[7.2059402, 6.7715845]	[117, 152]	[8.062279]	[115]	[128307383, 128307418]	[128307381]
593_1287	chrX	132231016	132231416	+	1000	72.0	[7.0733485]	[94]	[16.412586]	[92]	[132231207]	[132231205]
593_1291	chr1	233972912	233973312	+	1000	71.0	[16.412586, 6.3859158]	[104, 133]	[]	[]	[233973106, 233973135]	[]
593_1293	chr10	92011566	92011966	+	1000	71.0	[6.7600446, 10.030405, 9.042406]	[69, 94, 105]	[16.412586, 7.8934293]	[92, 103]	[92011730, 92011755, 92011766]	[92011753, 92011764]
593_1295	chr11	12174517	12174917	+	1000	71.0	[7.0733485]	[98]	[16.412586, 6.7819014]	[96, 108]	[12174714]	[12174712, 12174724]
593_1296	chr11	63567370	63567770	+	1000	71.0	[8.062279, 8.237969]	[87, 112]	[13.902448]	[85]	[63567555, 63567580]	[63567553]
593_1297	chr11	93197282	93197682	+	1000	71.0	[]	[]	[8.588959]	[82]	[]	[93197458]
593_1299	chr12	56818685	56819085	+	1000	71.0	[9.818272]	[116]	[16.412586]	[114]	[56818887]	[56818885]
593_13	chr6	3001810	3002210	+	1000	654.0	[10.791834]	[97]	[16.412586, 10.521743]	[68, 87]	[3002007]	[3001978, 3001997]
593_130	chr18	48566658	48567058	+	1000	269.0	[7.2059402]	[89]	[16.412586]	[87]	[48566842]	[48566840]
593_1300	chr12	121888351	121888751	+	1000	71.0	[13.902448]	[119]	[9.189399]	[117]	[121888563]	[121888561]
593_1301	chr13	91348894	91349294	+	1000	71.0	[7.424376]	[61]	[]	[]	[91349055]	[]
593_1303	chr17	81926769	81927169	+	1000	71.0	[16.412586]	[103]	[10.945392]	[101]	[81926967]	[81926965]
593_1304	chr2	168999648	169000048	+	1000	71.0	[7.0733485]	[107]	[16.412586]	[105]	[168999854]	[168999852]
593_1308	chr6	104716837	104717237	+	1000	71.0	[16.412586]	[118]	[7.0733485]	[116]	[104717055]	[104717053]
593_1309	chr6	147802325	147802725	+	1000	71.0	[16.412586]	[122]	[7.0733485]	[120]	[147802534]	[147802532]
593_131	chr3	40366801	40367201	+	1000	269.0	[16.412586]	[99]	[7.2059402]	[97]	[40366996]	[40366994]
593_1310	chr8	15636369	15636769	+	1000	71.0	[9.342972]	[125]	[7.0770397]	[139]	[15636577]	[15636591]
593_1312	chr9	114078351	114078751	+	1000	71.0	[7.2059402, 8.624022]	[111, 142]	[16.412586]	[109]	[114078562, 114078593]	[114078560]
593_1313	chr9	129862967	129863367	+	1000	71.0	[12.146455]	[140]	[13.902448]	[138]	[129863194]	[129863192]
593_1315	chr1	32133443	32133843	+	1000	70.0	[6.7715845]	[121]	[]	[]	[32133662]	[]
593_1316	chr1	36372563	36372963	+	1000	70.0	[10.030405]	[130]	[16.412586]	[128]	[36372789]	[36372787]
593_1317	chr1	40815403	40815803	+	1000	70.0	[16.412586]	[104]	[13.902448]	[102]	[40815584]	[40815582]
593_132	chr11	74806231	74806631	+	1000	268.0	[16.412586]	[106]	[7.0733485]	[104]	[74806434]	[74806432]
593_1320	chr11	75013050	75013450	+	1000	70.0	[11.977605, 9.636316]	[68, 134]	[7.260634, 13.45553]	[66, 132]	[75013206, 75013272]	[75013204, 75013270]
593_1322	chr12	27049060	27049460	+	1000	70.0	[16.412586]	[122]	[10.945392]	[120]	[27049271]	[27049269]
593_1323	chr12	67419820	67420220	+	1000	70.0	[11.300851, 11.85311]	[111, 141]	[]	[]	[67420019, 67420049]	[]
593_1324	chr12	89756713	89757113	+	1000	70.0	[6.9820795, 9.716079]	[63, 134]	[13.902448]	[132]	[89756870, 89756941]	[89756939]
593_1325	chr12	107695771	107696171	+	1000	70.0	[]	[]	[7.078671]	[153]	[]	[107696008]
593_1327	chr16	17828029	17828429	+	1000	70.0	[16.412586]	[101]	[7.0733485]	[99]	[17828229]	[17828227]
593_1328	chr17	77875969	77876369	+	1000	70.0	[13.902448, 6.9288945]	[91, 138]	[8.062279, 7.8159575]	[89, 140]	[77876150, 77876197]	[77876148, 77876199]
593_1330	chr2	55038535	55038935	+	1000	70.0	[16.412586]	[109]	[7.2059402]	[107]	[55038732]	[55038730]
593_1331	chr20	49323731	49324131	+	1000	70.0	[]	[]	[8.438943]	[128]	[]	[49323944]
