#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPG_idr.fa CEBPG --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
582_1	chrM	12078	12478	+	1000	1345.0	[5.465889, 6.002267]	[92, 147]	[]	[]	[12259, 12314]	[]
582_10132	chr4	80335220	80335620	+	1000	50.5	[7.103873, 7.540198]	[218, 244]	[5.7242174]	[243]	[80335385, 80335411]	[80335410]
582_10137	chr4	153167243	153167643	+	1000	50.5	[10.902532]	[92]	[]	[]	[153167431]	[]
582_10140	chr5	16557397	16557797	+	1000	50.5	[10.636991]	[138]	[11.910557]	[137]	[16557605]	[16557604]
582_10142	chr5	62412895	62413295	+	756	50.5	[15.210169]	[106]	[10.604535]	[105]	[62413079]	[62413078]
582_10155	chr6	15461278	15461678	+	1000	50.5	[]	[]	[10.902532]	[127]	[]	[15461492]
582_1016	chr10	35090494	35090894	+	1000	142.5	[6.3856335]	[101]	[11.009659]	[100]	[35090690]	[35090689]
582_10167	chr7	874345	874745	+	1000	50.5	[11.503221]	[107]	[10.636991]	[106]	[874545]	[874544]
582_1018	chr19	49487348	49487748	+	1000	142.5	[]	[]	[10.495195]	[107]	[]	[49487547]
582_10180	chr7	121490307	121490707	+	1000	50.5	[10.636991]	[101]	[11.503221]	[100]	[121490503]	[121490502]
582_10182	chr7	134825463	134825863	+	559	50.5	[10.1494055]	[146]	[7.947534]	[145]	[134825657]	[134825656]
582_10187	chr8	79740215	79740615	+	1000	50.5	[5.9220176]	[153]	[]	[]	[79740427]	[]
582_10188	chr9	34665856	34666256	+	1000	50.5	[9.009261]	[129]	[6.9395094, 9.595849]	[109, 128]	[34666077]	[34666057, 34666076]
582_10190	chr9	99819085	99819485	+	1000	50.5	[]	[]	[5.531557]	[76]	[]	[99819255]
582_10198	chrX	11386044	11386444	+	1000	50.5	[6.0291443]	[72]	[]	[]	[11386205]	[]
582_10200	chrX	119477920	119478320	+	996	50.5	[6.8953743]	[116]	[]	[]	[119478130]	[]
582_10208	chr1	59057193	59057593	+	1000	50.0	[5.830307]	[104]	[6.8953743]	[103]	[59057393]	[59057392]
582_10209	chr1	88595409	88595809	+	775	50.0	[5.621808, 6.5180492]	[148, 168]	[9.1358795]	[167]	[88595622, 88595642]	[88595641]
582_10216	chr1	146020401	146020801	+	1000	50.0	[]	[]	[5.396077]	[181]	[]	[146020578]
582_10217	chr1	151200020	151200420	+	542	50.0	[7.947534]	[122]	[10.1494055]	[121]	[151200222]	[151200221]
582_10229	chr1	243396458	243396858	+	977	50.0	[5.9220176]	[87]	[]	[]	[243396612]	[]
582_10234	chr10	54440849	54441249	+	1000	50.0	[11.910557, 5.7037597]	[138, 145]	[10.636991]	[137]	[54441072, 54441079]	[54441071]
582_10243	chr11	10307493	10307893	+	1000	50.0	[15.210169]	[119]	[15.210169]	[118]	[10307702]	[10307701]
582_10250	chr12	6470242	6470642	+	983	50.0	[9.009261]	[108]	[11.390118]	[107]	[6470443]	[6470442]
582_10252	chr12	17593671	17594071	+	792	50.0	[7.103873, 11.910557]	[141, 154]	[6.0291443, 10.229654]	[140, 153]	[17593899, 17593912]	[17593898, 17593911]
582_10253	chr12	42428859	42429259	+	870	50.0	[11.910557]	[87]	[10.636991]	[86]	[42429040]	[42429039]
582_10254	chr12	71440990	71441390	+	1000	50.0	[11.654483]	[93]	[15.12992]	[92]	[71441180]	[71441179]
582_10261	chr14	71324751	71325151	+	989	50.0	[8.601925]	[110]	[10.982781]	[109]	[71324951]	[71324950]
582_10264	chr15	58248164	58248564	+	925	50.0	[10.636991]	[208]	[11.503221]	[207]	[58248409]	[58248408]
582_10277	chr18	22734956	22735356	+	1000	50.0	[]	[]	[5.830307]	[132]	[]	[22735172]
582_1028	chr19	16328291	16328691	+	1000	142.0	[7.485369]	[69]	[10.636991, 6.374935]	[68, 135]	[16328456]	[16328455, 16328522]
582_10295	chr2	157302491	157302891	+	1000	50.0	[]	[]	[8.881868]	[122]	[]	[157302710]
582_10299	chr20	10596779	10597179	+	1000	50.0	[11.910557]	[177]	[6.2118034]	[176]	[10597008]	[10597007]
582_103	chr3	4712063	4712463	+	1000	320.0	[15.617505]	[100]	[15.210169]	[99]	[4712260]	[4712259]
582_10301	chr21	29259005	29259405	+	836	50.0	[10.636991]	[287]	[11.910557]	[286]	[29259248]	[29259247]
582_10302	chr21	37164740	37165140	+	1000	50.0	[]	[]	[5.9220176]	[95]	[]	[37164931]
582_10304	chr21	46681551	46681951	+	625	50.0	[8.710281]	[178]	[5.531557, 5.2670517]	[177, 202]	[46681776]	[46681775, 46681800]
582_1031	chr1	197675489	197675889	+	1000	141.5	[6.5180492]	[92]	[9.1358795]	[91]	[197675674]	[197675673]
582_10319	chr3	46549578	46549978	+	1000	50.0	[]	[]	[5.5146813]	[124]	[]	[46549762]
582_10320	chr3	50601065	50601465	+	996	50.0	[9.216128]	[75]	[]	[]	[50601216]	[]
582_10328	chr4	70712606	70713006	+	786	50.0	[11.910557]	[194]	[10.636991]	[193]	[70712788]	[70712787]
582_10330	chr4	82744574	82744974	+	780	50.0	[7.947534]	[100]	[10.1494055]	[99]	[82744771]	[82744770]
582_10331	chr4	99563852	99564252	+	1000	50.0	[8.668427]	[100]	[5.1857424]	[99]	[99564031]	[99564030]
582_10339	chr5	53464689	53465089	+	897	50.0	[11.910557]	[136]	[10.229654]	[135]	[53464896]	[53464895]
582_10348	chr5	180848260	180848660	+	1000	50.0	[10.759561]	[105]	[11.166897]	[104]	[180848460]	[180848459]
582_10349	chr6	12033689	12034089	+	1000	50.0	[10.602323, 5.5711503]	[127, 143]	[10.810822]	[126]	[12033889, 12033905]	[12033888]
582_1035	chr7	157401523	157401923	+	1000	141.5	[15.12992]	[104]	[11.654483]	[103]	[157401726]	[157401725]
582_10353	chr6	20559910	20560310	+	1000	50.0	[]	[]	[9.901916]	[105]	[]	[20560104]
582_10354	chr6	22073041	22073441	+	1000	50.0	[11.910557]	[195]	[6.2118034]	[194]	[22073292]	[22073291]
582_10356	chr6	31660843	31661243	+	1000	50.0	[]	[]	[5.09161]	[141]	[]	[31661016]
582_10370	chr7	12720061	12720461	+	1000	50.0	[10.636991]	[59]	[11.910557]	[58]	[12720218]	[12720217]
582_10378	chr8	4443244	4443644	+	1000	50.0	[5.9220176]	[124]	[]	[]	[4443451]	[]
582_10381	chr8	38583647	38584047	+	944	50.0	[]	[]	[10.902532]	[107]	[]	[38583849]
582_10383	chr8	61801933	61802333	+	794	50.0	[]	[]	[10.495195]	[126]	[]	[61802137]
582_10386	chr9	38329989	38330389	+	955	50.0	[]	[]	[5.4490643]	[136]	[]	[38330206]
582_10399	chrX	37383343	37383743	+	1000	50.0	[5.5146813]	[74]	[]	[]	[37383503]	[]
582_104	chr6	137904500	137904900	+	1000	316.5	[]	[]	[5.9220176]	[101]	[]	[137904699]
582_10408	chr1	61202784	61203184	+	1000	49.5	[]	[]	[5.4059596]	[131]	[]	[61203015]
582_10418	chr1	207221946	207222346	+	710	49.5	[5.3587623]	[227]	[]	[]	[207222164]	[]
582_10420	chr1	219577311	219577711	+	1000	49.5	[]	[]	[5.9220176]	[146]	[]	[219577528]
582_10422	chr1	230153894	230154294	+	1000	49.5	[7.947534, 10.229654]	[94, 142]	[5.7242174, 11.910557]	[93, 141]	[230154088, 230154136]	[230154087, 230154135]
582_10427	chr10	33484737	33485137	+	1000	49.5	[5.9220176]	[103]	[]	[]	[33484937]	[]
582_10433	chr11	34750290	34750690	+	1000	49.5	[10.636991]	[116]	[11.503221]	[115]	[34750493]	[34750492]
582_1044	chr6	43838659	43839059	+	1000	141.0	[10.1494055]	[108]	[7.540198]	[107]	[43838863]	[43838862]
582_10440	chr11	114134766	114135166	+	852	49.5	[]	[]	[10.982781]	[229]	[]	[114134995]
582_10443	chr12	56768524	56768924	+	1000	49.5	[10.810822]	[103]	[10.602323]	[102]	[56768701]	[56768700]
582_1045	chr7	114112800	114113200	+	1000	141.0	[15.617505]	[104]	[15.617505]	[103]	[114112996]	[114112995]
582_10459	chr14	59271771	59272171	+	1000	49.5	[11.654483]	[67]	[15.12992]	[66]	[59271932]	[59271931]
582_10460	chr14	91755565	91755965	+	1000	49.5	[11.247147]	[108]	[15.12992]	[107]	[91755768]	[91755767]
582_10468	chr16	23269379	23269779	+	1000	49.5	[]	[]	[5.5146813]	[100]	[]	[23269569]
582_1047	chr11	59866403	59866803	+	1000	140.5	[9.623465]	[118]	[10.481071]	[117]	[59866589]	[59866588]
582_10470	chr16	75044744	75045144	+	1000	49.5	[7.947534]	[104]	[9.742069]	[103]	[75044945]	[75044944]
582_10477	chr18	9055251	9055651	+	1000	49.5	[11.422971]	[124]	[6.266632]	[123]	[9055442]	[9055441]
582_10479	chr18	30870613	30871013	+	1000	49.5	[]	[]	[5.9220176]	[90]	[]	[30870803]
582_1048	chr15	51576796	51577196	+	1000	140.5	[5.621808]	[138]	[6.6965365]	[137]	[51577017]	[51577016]
582_10489	chr2	83943281	83943681	+	970	49.5	[11.910557]	[110]	[10.636991]	[109]	[83943487]	[83943486]
582_105	chr4	40621631	40622031	+	1000	315.0	[]	[]	[6.7822714]	[128]	[]	[40621844]
582_10502	chr21	20537165	20537565	+	924	49.5	[10.636991]	[104]	[11.910557]	[103]	[20537365]	[20537364]
582_10504	chr21	45048354	45048754	+	958	49.5	[7.947534]	[76]	[10.1494055]	[75]	[45048517]	[45048516]
582_1051	chr4	74099177	74099577	+	1000	140.5	[11.247147]	[100]	[10.704732]	[99]	[74099376]	[74099375]
582_10517	chr3	158108620	158109020	+	1000	49.5	[6.6739683]	[102]	[11.422971]	[101]	[158108820]	[158108819]
582_10525	chr5	8707177	8707577	+	786	49.5	[6.5180492]	[134]	[9.1358795]	[133]	[8707402]	[8707401]
582_1053	chr6	14720969	14721369	+	1000	140.5	[10.229654]	[117]	[11.910557]	[116]	[14721170]	[14721169]
582_10532	chr5	69115510	69115910	+	998	49.5	[11.422971]	[126]	[6.6739683]	[125]	[69115723]	[69115722]
582_10533	chr5	73796693	73797093	+	1000	49.5	[]	[]	[5.9220176]	[90]	[]	[73796882]
582_10534	chr5	81335949	81336349	+	853	49.5	[11.503221]	[101]	[10.636991]	[100]	[81336142]	[81336141]
582_10545	chr6	25745739	25746139	+	1000	49.5	[7.485369]	[135]	[10.636991]	[134]	[25745945]	[25745944]
582_10549	chr6	84362162	84362562	+	980	49.5	[]	[]	[5.9220176]	[125]	[]	[84362382]
582_10556	chr7	51324483	51324883	+	1000	49.5	[10.759561, 10.1494055]	[101, 141]	[6.741709, 7.947534]	[100, 140]	[51324678, 51324718]	[51324677, 51324717]
582_1056	chr7	117792188	117792588	+	1000	140.5	[10.481071]	[109]	[9.216128]	[108]	[117792392]	[117792391]
582_10567	chr8	91530931	91531331	+	1000	49.5	[10.636991]	[93]	[11.910557]	[92]	[91531121]	[91531120]
582_10568	chr8	140597668	140598068	+	1000	49.5	[]	[]	[10.495195]	[130]	[]	[140597889]
582_10572	chr9	121050370	121050770	+	1000	49.5	[]	[]	[5.5146813]	[132]	[]	[121050589]
582_10578	chrX	40172099	40172499	+	739	49.5	[10.403485]	[97]	[11.009659]	[96]	[40172294]	[40172293]
582_10579	chr1	12580161	12580561	+	1000	49.0	[11.166897]	[99]	[10.759561]	[98]	[12580333]	[12580332]
582_10586	chr1	99756499	99756899	+	1000	49.0	[10.229654]	[98]	[11.910557]	[97]	[99756693]	[99756692]
582_10597	chr1	244450962	244451362	+	872	49.0	[5.7956386]	[113]	[5.7956386]	[112]	[244451153]	[244451152]
582_10600	chr1	247984316	247984716	+	728	49.0	[]	[]	[5.9220176]	[102]	[]	[247984506]
582_10629	chr12	111767551	111767951	+	969	49.0	[10.481071]	[106]	[9.623465]	[105]	[111767751]	[111767750]
582_10634	chr13	49691459	49691859	+	1000	49.0	[15.210169]	[217]	[11.192318]	[216]	[49691705]	[49691704]
582_10638	chr13	91361753	91362153	+	1000	49.0	[5.094671]	[78]	[]	[]	[91361921]	[]
582_1064	chr7	99831613	99832013	+	1000	140.0	[7.485369]	[130]	[10.636991]	[129]	[99831832]	[99831831]
582_10641	chr14	59161376	59161776	+	912	49.0	[11.422971]	[102]	[6.6739683]	[101]	[59161565]	[59161564]
582_10642	chr14	67695569	67695969	+	952	49.0	[]	[]	[6.7822714]	[129]	[]	[67695791]
582_10646	chr15	57253093	57253493	+	1000	49.0	[5.9220176]	[105]	[]	[]	[57253297]	[]
582_10648	chr15	75903863	75904263	+	993	49.0	[5.253106]	[87]	[9.58615]	[86]	[75904030]	[75904029]
582_10650	chr17	2392255	2392655	+	1000	49.0	[10.704732]	[83]	[11.247147]	[82]	[2392436]	[2392435]
582_10652	chr17	59725678	59726078	+	1000	49.0	[5.468101, 10.636991]	[94, 148]	[11.015635, 11.910557]	[74, 147]	[59725858, 59725912]	[59725838, 59725911]
582_1066	chrX	9463032	9463432	+	1000	140.0	[]	[]	[5.5146813]	[142]	[]	[9463246]
582_10664	chr2	14638498	14638898	+	1000	49.0	[11.910557]	[103]	[10.636991]	[102]	[14638699]	[14638698]
582_10665	chr2	15134955	15135355	+	992	49.0	[15.12992]	[102]	[7.229295]	[101]	[15135152]	[15135151]
582_10666	chr2	28390110	28390510	+	1000	49.0	[]	[]	[5.9220176]	[115]	[]	[28390316]
582_10671	chr2	109266987	109267387	+	1000	49.0	[]	[]	[5.688512]	[117]	[]	[109267189]
582_10672	chr2	115610929	115611329	+	957	49.0	[10.229654]	[93]	[11.910557]	[92]	[115611081]	[115611080]
582_10673	chr2	116915667	116916067	+	1000	49.0	[]	[]	[5.9220176, 6.9977837]	[108, 141]	[]	[116915871, 116915904]
582_10677	chr2	219125261	219125661	+	1000	49.0	[]	[]	[10.902532]	[98]	[]	[219125457]
582_10678	chr20	17990530	17990930	+	685	49.0	[11.247147]	[120]	[15.12992]	[119]	[17990741]	[17990740]
582_10680	chr20	31608550	31608950	+	1000	49.0	[]	[]	[5.7242174]	[121]	[]	[31608758]
582_10686	chr21	24243034	24243434	+	1000	49.0	[6.741709]	[100]	[10.759561]	[99]	[24243234]	[24243233]
582_10696	chr22	35657856	35658256	+	925	49.0	[]	[]	[5.5822563]	[111]	[]	[35658049]
582_10700	chr3	159881209	159881609	+	1000	49.0	[5.6604424]	[90]	[9.993486]	[89]	[159881398]	[159881397]
582_10701	chr3	168047907	168048307	+	1000	49.0	[11.910557]	[174]	[10.636991]	[173]	[168048124]	[168048123]
582_10702	chr3	178263160	178263560	+	981	49.0	[7.103873]	[94]	[6.0291443]	[93]	[178263317]	[178263316]
582_10703	chr4	2663226	2663626	+	1000	49.0	[10.602323]	[154]	[10.810822]	[153]	[2663476]	[2663475]
582_10704	chr4	29878896	29879296	+	793	49.0	[]	[]	[5.9220176]	[145]	[]	[29879108]
582_10706	chr4	73752398	73752798	+	679	49.0	[7.229295]	[107]	[15.12992]	[106]	[73752594]	[73752593]
582_10709	chr4	135744908	135745308	+	1000	49.0	[11.910557, 6.186383]	[117, 155]	[10.636991, 7.4599485]	[116, 154]	[135745116, 135745154]	[135745115, 135745153]
582_10711	chr4	168041666	168042066	+	1000	49.0	[]	[]	[5.9220176, 5.873225]	[118, 126]	[]	[168041868, 168041876]
582_10715	chr5	73364128	73364528	+	1000	49.0	[5.674388]	[56]	[]	[]	[73364281]	[]
582_10717	chr5	124791103	124791503	+	984	49.0	[5.9220176]	[126]	[]	[]	[124791316]	[]
582_10721	chr6	32785720	32786120	+	1000	49.0	[]	[]	[5.9220176]	[99]	[]	[32785919]
582_10723	chr6	39213156	39213556	+	1000	49.0	[10.902532]	[152]	[]	[]	[39213384]	[]
582_10725	chr6	56955708	56956108	+	1000	49.0	[5.9220176]	[208]	[]	[]	[56955946]	[]
582_10727	chr6	88856694	88857094	+	969	49.0	[5.9220176]	[88]	[]	[]	[88856881]	[]
582_1073	chr12	120528981	120529381	+	1000	139.5	[]	[]	[10.495195]	[109]	[]	[120529180]
582_10730	chr6	122869429	122869829	+	1000	49.0	[10.229654]	[141]	[11.910557]	[140]	[122869663]	[122869662]
582_10737	chr7	26664965	26665365	+	1000	49.0	[10.704732]	[105]	[11.654483]	[104]	[26665166]	[26665165]
582_10752	chr8	132768478	132768878	+	1000	49.0	[7.103873]	[94]	[6.6965365]	[91]	[132768651]	[132768648]
582_10761	chrX	144738246	144738646	+	974	49.0	[]	[]	[10.902532]	[102]	[]	[144738439]
582_10765	chr1	45116829	45117229	+	1000	48.5	[10.1494055]	[105]	[7.947534]	[104]	[45117028]	[45117027]
582_10766	chr1	45491106	45491506	+	990	48.5	[9.901916]	[105]	[9.197866]	[104]	[45491290]	[45491289]
582_10769	chr1	65477736	65478136	+	933	48.5	[5.093221]	[197]	[]	[]	[65477964]	[]
582_1077	chr6	26327675	26328075	+	1000	139.5	[]	[]	[9.197866, 6.296237]	[74, 151]	[]	[26327836, 26327913]
582_10770	chr1	75602440	75602840	+	1000	48.5	[10.229654]	[164]	[7.485369]	[163]	[75602665]	[75602664]
582_10797	chr10	44864758	44865158	+	1000	48.5	[5.62402]	[135]	[11.503221]	[134]	[44864977]	[44864976]
582_10799	chr10	87864775	87865175	+	1000	48.5	[]	[]	[5.9220176]	[133]	[]	[87864993]
582_1080	chr12	49108813	49109213	+	1000	139.0	[11.654483]	[146]	[10.704732]	[145]	[49109031]	[49109030]
582_1081	chr12	100128120	100128520	+	1000	139.0	[6.208951]	[80]	[]	[]	[100128284]	[]
582_10814	chr13	23778068	23778468	+	1000	48.5	[]	[]	[5.9220176]	[95]	[]	[23778255]
582_10816	chr13	50068502	50068902	+	822	48.5	[11.910557]	[134]	[5.9220176, 10.636991]	[103, 133]	[50068716]	[50068685, 50068715]
582_10818	chr13	80884554	80884954	+	987	48.5	[10.636991]	[103]	[11.910557]	[102]	[80884751]	[80884750]
582_10825	chr13	94252216	94252616	+	722	48.5	[15.12992]	[139]	[11.654483]	[138]	[94252431]	[94252430]
582_10826	chr13	97228848	97229248	+	1000	48.5	[11.654483]	[94]	[14.722584]	[93]	[97229040]	[97229039]
582_10832	chr14	69606279	69606679	+	1000	48.5	[]	[]	[10.902532]	[90]	[]	[69606469]
582_10841	chr16	14013082	14013482	+	966	48.5	[10.636991]	[106]	[11.910557]	[105]	[14013270]	[14013269]
582_10845	chr16	80084201	80084601	+	1000	48.5	[6.6739683]	[88]	[6.208951, 11.015635]	[77, 87]	[80084380]	[80084369, 80084379]
582_10846	chr17	2214204	2214604	+	779	48.5	[7.485369]	[135]	[10.636991]	[134]	[2214418]	[2214417]
582_10847	chr17	4948498	4948898	+	1000	48.5	[7.103873]	[120]	[6.0291443]	[119]	[4948699]	[4948698]
582_10849	chr17	37239981	37240381	+	1000	48.5	[5.873225, 5.3587623]	[73, 94]	[]	[]	[37240135, 37240156]	[]
582_10851	chr17	40854217	40854617	+	1000	48.5	[5.253106]	[95]	[9.58615]	[94]	[40854398]	[40854397]
582_10853	chr18	3415151	3415551	+	1000	48.5	[10.810822]	[110]	[8.881868, 11.009659]	[94, 109]	[3415357]	[3415341, 3415356]
582_10854	chr18	6752208	6752608	+	1000	48.5	[]	[]	[5.9220176]	[116]	[]	[6752410]
582_10855	chr18	9743523	9743923	+	1000	48.5	[]	[]	[6.1760974]	[135]	[]	[9743750]
582_1086	chr2	172085211	172085611	+	1000	139.0	[5.7242174]	[109]	[7.947534]	[108]	[172085415]	[172085414]
582_10860	chr18	51479654	51480054	+	623	48.5	[15.12992]	[236]	[7.229295]	[235]	[51479892]	[51479891]
582_10866	chr2	6929491	6929891	+	1000	48.5	[15.12992]	[97]	[7.229295]	[96]	[6929669]	[6929668]
582_1087	chr22	22488731	22489131	+	1000	139.0	[5.9220176]	[122]	[]	[]	[22488938]	[]
582_10872	chr2	151357306	151357706	+	1000	48.5	[6.266632]	[111]	[11.422971]	[110]	[151357497]	[151357496]
582_10873	chr2	191631776	191632176	+	1000	48.5	[11.422971]	[148]	[]	[]	[191631943]	[]
582_10874	chr2	197717861	197718261	+	794	48.5	[10.636991]	[111]	[11.910557]	[110]	[197718065]	[197718064]
582_10878	chr20	34875860	34876260	+	997	48.5	[]	[]	[5.4490643]	[134]	[]	[34876077]
582_1089	chr6	341161	341561	+	1000	139.0	[9.623465]	[112]	[10.073735]	[111]	[341372]	[341371]
582_1090	chr7	123749432	123749832	+	1000	139.0	[]	[]	[7.3027105]	[139]	[]	[123749647]
582_10901	chr5	13859194	13859594	+	633	48.5	[6.208951]	[185]	[]	[]	[13859443]	[]
582_10903	chr5	79318960	79319360	+	1000	48.5	[]	[]	[5.9220176]	[113]	[]	[79319143]
582_10907	chr5	146913948	146914348	+	1000	48.5	[5.9220176]	[128]	[]	[]	[146914163]	[]
582_1091	chr11	19978706	19979106	+	1000	138.5	[5.1868024]	[152]	[5.5146813]	[114]	[19978948]	[19978910]
582_10910	chr6	3176722	3177122	+	1000	48.5	[]	[]	[6.9395094]	[104]	[]	[3176905]
582_10919	chr6	49692254	49692654	+	1000	48.5	[5.4476857]	[110]	[]	[]	[49692459]	[]
582_10922	chr6	137924267	137924667	+	946	48.5	[7.485369, 9.901916]	[82, 135]	[5.62402, 9.197866]	[81, 134]	[137924434, 137924487]	[137924433, 137924486]
582_10928	chr7	106071744	106072144	+	1000	48.5	[8.302944]	[206]	[]	[]	[106071977]	[]
582_10929	chr7	106282560	106282960	+	1000	48.5	[8.710281]	[156]	[]	[]	[106282732]	[]
582_1093	chr13	44191381	44191781	+	1000	138.5	[10.636991]	[100]	[11.503221]	[99]	[44191576]	[44191575]
582_10938	chr8	37073440	37073840	+	929	48.5	[10.636991]	[134]	[11.910557]	[133]	[37073655]	[37073654]
582_10944	chr9	32572991	32573391	+	1000	48.5	[]	[]	[6.9395094]	[90]	[]	[32573180]
582_10947	chr9	97280904	97281304	+	1000	48.5	[8.79053]	[124]	[9.494579]	[123]	[97281100]	[97281099]
582_1095	chr17	59695986	59696386	+	1000	138.5	[]	[]	[5.5146813]	[103]	[]	[59696176]
582_10960	chr1	37858872	37859272	+	1000	48.0	[14.722584]	[167]	[7.229295]	[166]	[37859063]	[37859062]
582_10989	chr1	235503052	235503452	+	1000	48.0	[6.616287, 7.4599485]	[83, 98]	[6.186383]	[97]	[235503228, 235503243]	[235503242]
582_10990	chr10	15588482	15588882	+	1000	48.0	[5.310265, 7.947534]	[87, 117]	[7.046636, 10.1494055]	[86, 116]	[15588664, 15588694]	[15588663, 15588693]
582_10996	chr10	112750642	112751042	+	1000	48.0	[10.636991]	[101]	[11.910557]	[100]	[112750839]	[112750838]
582_11000	chr11	46356914	46357314	+	1000	48.0	[10.604535]	[113]	[15.210169]	[112]	[46357115]	[46357114]
