#PeakID(python scan_motif.py ./ENCODE_processed_files/E2F1_idr.fa E2F1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
562_1108	chr9	35664999	35665399	+	1000	85.0	[10.378438, 11.7800665]	[119, 149]	[]	[]	[35665207, 35665237]	[]
562_111	chr17	8210417	8210817	+	1000	319.5	[]	[]	[11.7800665]	[102]	[]	[8210616]
562_1110	chrX	123732942	123733342	+	1000	85.0	[]	[]	[11.665144]	[93]	[]	[123733130]
562_1113	chr17	67784335	67784735	+	1000	84.5	[]	[]	[11.7800665]	[143]	[]	[67784533]
562_1115	chr2	60808455	60808855	+	1000	84.5	[]	[]	[11.665144]	[98]	[]	[60808641]
562_1117	chr2	135985758	135986158	+	1000	84.5	[]	[]	[11.665144]	[115]	[]	[135985965]
562_1118	chr1	44819408	44819808	+	1000	84.0	[]	[]	[11.7800665]	[175]	[]	[44819653]
562_1119	chr11	57741134	57741534	+	1000	84.0	[]	[]	[11.665144, 11.665144]	[149, 159]	[]	[57741370, 57741380]
562_112	chr15	41283717	41284117	+	1000	318.5	[10.704447]	[100]	[]	[]	[41283916]	[]
562_1120	chr11	59858036	59858436	+	1000	84.0	[11.665144]	[174]	[]	[]	[59858276]	[]
562_1122	chr17	81394013	81394413	+	1000	84.0	[11.7800665, 11.7800665]	[81, 87]	[6.051324]	[76]	[81394180, 81394186]	[81394175]
562_1123	chr19	571044	571444	+	1000	84.0	[]	[]	[11.665144, 11.665144]	[68, 143]	[]	[571200, 571275]
562_1124	chr19	49388058	49388458	+	1000	84.0	[11.665144]	[94]	[5.667835]	[104]	[49388236]	[49388246]
562_1125	chr2	45611038	45611438	+	1000	84.0	[]	[]	[11.665144, 11.665144]	[100, 157]	[]	[45611220, 45611277]
562_1127	chr20	50730570	50730970	+	1000	84.0	[11.665144]	[137]	[]	[]	[50730793]	[]
562_1128	chr22	19477642	19478042	+	1000	84.0	[]	[]	[11.665144]	[149]	[]	[19477845]
562_113	chr22	21651874	21652274	+	1000	318.5	[9.302818]	[175]	[]	[]	[21652117]	[]
562_1130	chr1	113759434	113759834	+	1000	83.5	[]	[]	[11.665144]	[70]	[]	[113759589]
562_1131	chr1	153670818	153671218	+	1000	83.5	[]	[]	[11.7800665]	[128]	[]	[153671035]
562_1132	chr12	68609876	68610276	+	1000	83.5	[]	[]	[11.665144]	[126]	[]	[68610081]
562_1134	chr13	67113462	67113862	+	1000	83.5	[]	[]	[11.665144]	[107]	[]	[67113644]
562_1135	chr19	11815190	11815590	+	1000	83.5	[11.665144, 10.2635145, 11.665144]	[90, 120, 129]	[]	[]	[11815378, 11815408, 11815417]	[]
562_1136	chr19	44500334	44500734	+	1000	83.5	[6.051324]	[88]	[]	[]	[44500501]	[]
562_1137	chr2	199910956	199911356	+	1000	83.5	[10.378438]	[149]	[]	[]	[199911164]	[]
562_1138	chr5	80257588	80257988	+	1000	83.5	[10.589524]	[106]	[]	[]	[80257786]	[]
562_1139	chr1	53838304	53838704	+	1000	83.0	[9.302818]	[142]	[6.051324]	[65]	[53838540]	[53838463]
562_114	chr11	59144582	59144982	+	1000	317.5	[]	[]	[11.665144]	[117]	[]	[59144798]
562_1140	chr19	38849092	38849492	+	1000	83.0	[11.665144]	[157]	[11.665144]	[115]	[38849339]	[38849297]
562_1141	chr2	177264768	177265168	+	1000	83.0	[]	[]	[5.667835]	[146]	[]	[177264997]
562_1142	chr3	156554985	156555385	+	1000	83.0	[6.051324]	[163]	[]	[]	[156555209]	[]
562_1144	chr5	109410200	109410600	+	1000	83.0	[]	[]	[9.302818]	[162]	[]	[109410442]
562_1148	chr1	1471423	1471823	+	1000	82.5	[]	[]	[11.665144]	[158]	[]	[1471637]
562_1149	chr1	203290424	203290824	+	1000	82.5	[]	[]	[11.665144, 11.7800665]	[110, 117]	[]	[203290607, 203290614]
562_115	chr1	47313984	47314384	+	1000	317.0	[11.665144, 10.2635145]	[75, 87]	[]	[]	[47314139, 47314151]	[]
562_1151	chr11	93783788	93784188	+	1000	82.5	[]	[]	[11.7800665]	[69]	[]	[93783952]
562_1153	chr14	21269743	21270143	+	1000	82.5	[10.589524]	[120]	[]	[]	[21269917]	[]
562_1154	chr2	96305430	96305830	+	1000	82.5	[6.051324]	[140]	[]	[]	[96305664]	[]
562_1156	chr22	38569931	38570331	+	1000	82.5	[]	[]	[9.187896]	[152]	[]	[38570179]
562_1158	chr7	66996408	66996808	+	1000	82.5	[5.570742]	[148]	[]	[]	[66996650]	[]
562_116	chr20	5119188	5119588	+	1000	316.5	[10.589524]	[103]	[11.665144, 9.187896, 10.589524]	[74, 100, 118]	[5119373]	[5119344, 5119370, 5119388]
562_1160	chr9	128881815	128882215	+	1000	82.5	[5.667835, 11.7800665]	[126, 132]	[5.570742]	[91]	[128882026, 128882032]	[128881991]
562_1161	chr9	133348000	133348400	+	1000	82.5	[]	[]	[5.667835, 11.7800665]	[70, 129]	[]	[133348170, 133348229]
562_1162	chr1	161540216	161540616	+	1000	82.0	[]	[]	[9.187896]	[112]	[]	[161540400]
562_1163	chr10	27154302	27154702	+	1000	82.0	[5.570742]	[81]	[11.665144]	[76]	[27154474]	[27154469]
562_1164	chr12	104288681	104289081	+	1000	82.0	[]	[]	[11.665144]	[94]	[]	[104288869]
562_1165	chr19	10194419	10194819	+	1000	82.0	[9.187896]	[110]	[9.187896]	[107]	[10194628]	[10194625]
562_1166	chr19	52269373	52269773	+	1000	82.0	[]	[]	[10.589524]	[99]	[]	[52269568]
562_1167	chr19	54137230	54137630	+	1000	82.0	[]	[]	[10.704447]	[166]	[]	[54137473]
562_1168	chr2	156341536	156341936	+	1000	82.0	[10.589524]	[68]	[]	[]	[156341692]	[]
562_117	chr11	71928247	71928647	+	1000	315.0	[]	[]	[11.7800665]	[84]	[]	[71928425]
562_1170	chr22	21629225	21629625	+	1000	82.0	[5.667835]	[101]	[11.7800665]	[81]	[21629419]	[21629399]
562_1175	chr1	149927579	149927979	+	1000	81.5	[]	[]	[6.051324]	[93]	[]	[149927770]
562_1177	chr11	86245105	86245505	+	1000	81.5	[11.665144]	[98]	[]	[]	[86245260]	[]
562_1178	chr13	32315667	32316067	+	1000	81.5	[]	[]	[11.665144]	[117]	[]	[32315879]
562_118	chr19	43755437	43755837	+	1000	312.5	[9.187896]	[135]	[]	[]	[43755653]	[]
562_1180	chr16	29926268	29926668	+	1000	81.5	[]	[]	[11.665144]	[170]	[]	[29926516]
562_1181	chr16	53099467	53099867	+	1000	81.5	[11.7800665]	[120]	[11.665144]	[147]	[53099659]	[53099686]
562_1183	chr3	44338054	44338454	+	1000	81.5	[]	[]	[10.704447]	[190]	[]	[44338266]
562_1185	chr1	154558678	154559078	+	1000	81.0	[]	[]	[11.665144, 5.552912]	[74, 88]	[]	[154558848, 154558862]
562_1186	chr1	156212978	156213378	+	1000	81.0	[]	[]	[6.051324]	[155]	[]	[156213227]
562_1187	chr1	184974373	184974773	+	1000	81.0	[]	[]	[11.665144]	[102]	[]	[184974568]
562_1189	chr13	31162276	31162676	+	1000	81.0	[5.667835]	[109]	[9.302818]	[135]	[31162461]	[31162487]
562_119	chr1	46247525	46247925	+	1000	312.0	[11.7800665]	[96]	[]	[]	[46247712]	[]
562_1190	chr16	30400439	30400839	+	1000	81.0	[]	[]	[11.665144]	[174]	[]	[30400664]
562_1191	chr16	30610247	30610647	+	1000	81.0	[]	[]	[5.552912]	[63]	[]	[30610403]
562_1192	chr17	75289433	75289833	+	1000	81.0	[10.704447]	[104]	[]	[]	[75289634]	[]
562_1193	chr2	9630910	9631310	+	1000	81.0	[5.570742, 11.7800665]	[124, 148]	[6.051324]	[82]	[9631122, 9631146]	[9631080]
562_1194	chr22	20507441	20507841	+	1000	81.0	[6.051324, 11.7800665]	[137, 151]	[]	[]	[20507645, 20507659]	[]
562_1196	chr3	14178594	14178994	+	1000	81.0	[5.667835, 11.665144]	[166, 173]	[5.552912]	[161]	[14178828, 14178835]	[14178823]
562_1198	chr6	28864022	28864422	+	1000	81.0	[]	[]	[11.665144]	[142]	[]	[28864201]
562_1199	chr1	27725493	27725893	+	1000	80.5	[5.552912, 11.665144]	[63, 109]	[]	[]	[27725645, 27725691]	[]
562_12	chr6	30717091	30717491	+	1000	725.5	[]	[]	[10.378438]	[162]	[]	[30717339]
562_1200	chr1	91021970	91022370	+	1000	80.5	[]	[]	[11.665144, 10.589524]	[86, 145]	[]	[91022145, 91022204]
562_1202	chr12	949724	950124	+	1000	80.5	[]	[]	[10.378438, 11.665144]	[68, 101]	[]	[949889, 949922]
562_1203	chr15	99251050	99251450	+	1000	80.5	[]	[]	[11.665144]	[173]	[]	[99251299]
562_1204	chr18	8876921	8877321	+	1000	80.5	[11.665144]	[96]	[]	[]	[8877112]	[]
562_1205	chr19	5803805	5804205	+	1000	80.5	[11.7800665, 5.552912, 11.7800665]	[88, 94, 154]	[]	[]	[5803980, 5803986, 5804046]	[]
562_1206	chr19	48898966	48899366	+	1000	80.5	[11.7800665]	[143]	[]	[]	[48899166]	[]
562_1207	chr3	39406610	39407010	+	1000	80.5	[]	[]	[9.302818]	[132]	[]	[39406785]
562_1208	chr7	99472573	99472973	+	1000	80.5	[]	[]	[10.704447]	[146]	[]	[99472783]
562_1209	chr8	102579125	102579525	+	1000	80.5	[]	[]	[11.665144]	[99]	[]	[102579323]
562_1210	chr1	150067080	150067480	+	1000	80.0	[]	[]	[11.665144]	[86]	[]	[150067264]
562_1211	chr1	153633767	153634167	+	1000	80.0	[]	[]	[11.665144]	[127]	[]	[153633983]
562_1212	chr11	74949074	74949474	+	1000	80.0	[10.378438, 11.7800665]	[146, 162]	[]	[]	[74949292, 74949308]	[]
562_1213	chr15	74100003	74100403	+	1000	80.0	[10.704447]	[117]	[11.665144, 6.051324]	[67, 154]	[74100210]	[74100160, 74100247]
562_1215	chr16	30378482	30378882	+	1000	80.0	[6.051324, 11.665144, 6.051324]	[91, 113, 128]	[]	[]	[30378666, 30378688, 30378703]	[]
562_1217	chr17	36534623	36535023	+	1000	80.0	[11.665144]	[123]	[]	[]	[36534838]	[]
562_1218	chr20	266629	267029	+	1000	80.0	[11.7800665, 10.589524]	[141, 161]	[9.302818]	[158]	[266838, 266858]	[266855]
562_1219	chr20	49046152	49046552	+	1000	80.0	[10.378438]	[106]	[]	[]	[49046352]	[]
562_122	chr7	106774718	106775118	+	1000	308.5	[]	[]	[11.665144]	[94]	[]	[106774894]
562_1220	chr22	20393957	20394357	+	1000	80.0	[]	[]	[10.589524, 11.665144]	[81, 97]	[]	[20394130, 20394146]
562_1221	chr22	20981993	20982393	+	1000	80.0	[5.570742]	[130]	[]	[]	[20982209]	[]
562_1222	chr3	45688114	45688514	+	1000	80.0	[]	[]	[10.589524]	[103]	[]	[45688313]
562_1223	chr3	48558025	48558425	+	1000	80.0	[]	[]	[11.665144]	[138]	[]	[48558240]
562_1224	chr11	66381962	66382362	+	1000	79.5	[11.665144]	[113]	[]	[]	[66382142]	[]
562_1225	chr11	83156579	83156979	+	1000	79.5	[11.7800665]	[62]	[]	[]	[83156733]	[]
562_1226	chr16	29815877	29816277	+	1000	79.5	[]	[]	[11.7800665]	[110]	[]	[29816084]
562_1227	chr16	75122239	75122639	+	1000	79.5	[11.665144]	[125]	[]	[]	[75122453]	[]
562_1228	chr2	86195431	86195831	+	1000	79.5	[10.589524]	[82]	[9.187896]	[79]	[86195605]	[86195602]
562_1229	chr3	196568294	196568694	+	1000	79.5	[9.302818]	[114]	[11.665144]	[135]	[196568504]	[196568525]
562_1230	chr7	30897023	30897423	+	1000	79.5	[11.665144]	[129]	[]	[]	[30897234]	[]
562_1231	chr19	13952147	13952547	+	1000	79.0	[11.665144, 10.704447]	[73, 154]	[]	[]	[13952313, 13952394]	[]
562_1232	chr19	48963725	48964125	+	1000	79.0	[]	[]	[11.665144]	[97]	[]	[48963922]
562_1233	chr21	44939466	44939866	+	1000	79.0	[10.704447]	[158]	[10.589524]	[127]	[44939689]	[44939658]
562_1234	chr3	146544489	146544889	+	1000	79.0	[]	[]	[11.665144, 9.302818]	[110, 118]	[]	[146544691, 146544699]
562_1239	chr10	12068495	12068895	+	1000	78.5	[11.7800665]	[110]	[]	[]	[12068701]	[]
562_124	chr16	28950672	28951072	+	1000	305.5	[11.665144, 10.589524]	[131, 157]	[6.051324]	[143]	[28950874, 28950900]	[28950886]
562_1241	chr13	94601518	94601918	+	1000	78.5	[11.665144]	[77]	[6.051324]	[126]	[94601691]	[94601740]
562_1244	chr2	44542651	44543051	+	1000	78.5	[11.7800665]	[158]	[]	[]	[44542891]	[]
562_1245	chr22	36388036	36388436	+	1000	78.5	[11.7800665]	[151]	[]	[]	[36388247]	[]
562_1246	chr3	47380507	47380907	+	1000	78.5	[6.051324]	[151]	[]	[]	[47380738]	[]
562_1248	chr16	72664938	72665338	+	1000	78.0	[11.665144]	[153]	[]	[]	[72665164]	[]
562_1249	chr16	87317239	87317639	+	1000	78.0	[]	[]	[6.051324]	[103]	[]	[87317409]
562_125	chr6	27146861	27147261	+	1000	305.0	[]	[]	[10.589524]	[110]	[]	[27147058]
562_1250	chr17	48996205	48996605	+	1000	78.0	[]	[]	[11.7800665, 11.665144]	[68, 76]	[]	[48996358, 48996366]
562_1252	chr19	9834716	9835116	+	1000	78.0	[11.7800665]	[136]	[5.570742]	[83]	[9834935]	[9834882]
562_1253	chr19	47729809	47730209	+	1000	78.0	[11.7800665]	[134]	[11.665144]	[117]	[47730038]	[47730021]
562_1254	chr3	38496189	38496589	+	1000	78.0	[]	[]	[11.665144]	[103]	[]	[38496388]
562_1255	chr4	24583380	24583780	+	1000	78.0	[11.7800665, 5.570742]	[85, 104]	[]	[]	[24583560, 24583579]	[]
562_1256	chr6	70394779	70395179	+	1000	78.0	[]	[]	[9.187896]	[105]	[]	[70394972]
562_1258	chr1	179081529	179081929	+	1000	77.5	[11.665144]	[98]	[]	[]	[179081696]	[]
562_126	chr15	48811061	48811461	+	1000	304.0	[9.302818, 11.665144]	[95, 107]	[]	[]	[48811254, 48811266]	[]
562_1262	chr11	57530553	57530953	+	1000	77.5	[5.570742]	[98]	[6.051324]	[130]	[57530743]	[57530775]
562_1263	chr13	21176353	21176753	+	1000	77.5	[]	[]	[11.7800665, 5.667835]	[105, 168]	[]	[21176537, 21176600]
562_1264	chr13	37000078	37000478	+	1000	77.5	[5.552912]	[88]	[]	[]	[37000260]	[]
562_1265	chr15	88467221	88467621	+	1000	77.5	[11.7800665, 10.2635145]	[116, 122]	[]	[]	[88467425, 88467431]	[]
562_1266	chr17	36948582	36948982	+	1000	77.5	[]	[]	[9.187896, 5.570742, 11.665144]	[161, 169, 184]	[]	[36948805, 36948813, 36948828]
562_1267	chr19	50679352	50679752	+	1000	77.5	[]	[]	[11.7800665]	[70]	[]	[50679519]
562_1268	chr2	197499808	197500208	+	1000	77.5	[10.704447]	[94]	[]	[]	[197499976]	[]
562_1269	chr22	24555302	24555702	+	1000	77.5	[]	[]	[6.051324]	[120]	[]	[24555475]
562_127	chr22	20079727	20080127	+	1000	303.5	[]	[]	[11.665144]	[160]	[]	[20079962]
562_1271	chrX	24693654	24694054	+	1000	77.5	[]	[]	[9.302818]	[221]	[]	[24693895]
562_1274	chr11	66268247	66268647	+	1000	77.0	[9.302818]	[99]	[]	[]	[66268438]	[]
562_1277	chr19	39435833	39436233	+	1000	77.0	[11.665144]	[157]	[]	[]	[39436071]	[]
562_1278	chr20	31879983	31880383	+	1000	77.0	[11.665144]	[108]	[6.051324]	[86]	[31880160]	[31880138]
562_1279	chr5	82969208	82969608	+	1000	77.0	[11.665144]	[101]	[]	[]	[82969390]	[]
562_128	chr6	31541818	31542218	+	1000	302.5	[10.378438]	[63]	[11.7800665]	[133]	[31541972]	[31542042]
562_1281	chr9	72114352	72114752	+	1000	77.0	[]	[]	[5.552912, 11.7800665, 5.552912, 11.7800665]	[90, 101, 139, 150]	[]	[72114538, 72114549, 72114587, 72114598]
562_1282	chr1	228139775	228140175	+	1000	76.5	[6.051324]	[151]	[10.589524]	[197]	[228139978]	[228140024]
562_1284	chr12	34022260	34022660	+	1000	76.5	[]	[]	[6.051324]	[148]	[]	[34022497]
562_1285	chr16	4425249	4425649	+	1000	76.5	[]	[]	[5.667835]	[206]	[]	[4425473]
562_1286	chr19	1876061	1876461	+	1000	76.5	[]	[]	[5.552912, 10.704447]	[87, 89]	[]	[1876233, 1876235]
562_1287	chr19	46028909	46029309	+	1000	76.5	[]	[]	[10.589524, 11.7800665]	[89, 103]	[]	[46029096, 46029110]
562_1288	chr5	138575518	138575918	+	1000	76.5	[11.7800665]	[123]	[9.187896]	[140]	[138575740]	[138575757]
562_129	chr20	2470536	2470936	+	1000	301.5	[]	[]	[11.665144]	[143]	[]	[2470765]
562_1291	chr9	92293559	92293959	+	1000	76.5	[6.051324]	[75]	[]	[]	[92293723]	[]
562_1292	chr1	19210262	19210662	+	1000	76.0	[11.7800665]	[125]	[]	[]	[19210475]	[]
562_1294	chr1	205238154	205238554	+	1000	76.0	[]	[]	[11.665144]	[91]	[]	[205238343]
562_1295	chr11	65858140	65858540	+	1000	76.0	[]	[]	[11.665144]	[84]	[]	[65858322]
562_1296	chr16	67846502	67846902	+	1000	76.0	[9.187896]	[127]	[9.302818, 5.570742]	[124, 152]	[67846683]	[67846680, 67846708]
562_1297	chr17	19111821	19112221	+	1000	76.0	[11.7800665]	[123]	[]	[]	[19112038]	[]
562_1298	chr17	40113227	40113627	+	1000	76.0	[]	[]	[5.552912]	[61]	[]	[40113378]
562_1299	chr17	41530188	41530588	+	1000	76.0	[11.665144]	[113]	[]	[]	[41530375]	[]
562_130	chr10	102151919	102152319	+	1000	300.5	[11.665144]	[97]	[11.665144]	[114]	[102152103]	[102152120]
562_1300	chr17	51121715	51122115	+	1000	76.0	[]	[]	[10.378438]	[126]	[]	[51121915]
562_1304	chr2	73071222	73071622	+	1000	76.0	[9.187896]	[86]	[]	[]	[73071387]	[]
562_1306	chr3	40309445	40309845	+	1000	76.0	[6.051324]	[149]	[]	[]	[40309643]	[]
562_1307	chr9	129036265	129036665	+	1000	76.0	[11.7800665]	[143]	[10.589524]	[107]	[129036483]	[129036447]
562_1308	chr1	24413320	24413720	+	1000	75.5	[]	[]	[11.665144]	[107]	[]	[24413516]
562_131	chr16	2267914	2268314	+	1000	300.5	[11.665144]	[121]	[]	[]	[2268132]	[]
562_1310	chr10	99620540	99620940	+	1000	75.5	[11.7800665]	[70]	[]	[]	[99620698]	[]
562_1311	chr12	22544355	22544755	+	1000	75.5	[5.570742]	[80]	[]	[]	[22544524]	[]
562_1312	chr12	31659074	31659474	+	1000	75.5	[6.051324, 11.665144]	[121, 148]	[]	[]	[31659262, 31659289]	[]
