#PeakID(python identify_motif.py ./ENCODE_processed_files/GABPA_idr.fa GABPA --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
0_10132	chr18	6927144	6927544	+	1000	78.0	[]	[]	[11.341048]	[143]	[]	[6927386]
0_10135	chr19	1074675	1075075	+	1000	78.0	[]	[]	[9.532927, 8.284277]	[97, 133]	[]	[1074833, 1074869]
0_10136	chr19	6528758	6529158	+	1000	78.0	[8.569641]	[126]	[]	[]	[6528960]	[]
0_10139	chr19	12725615	12726015	+	1000	78.0	[]	[]	[9.59458]	[85]	[]	[12725797]
0_10143	chr19	48399527	48399927	+	1000	78.0	[]	[]	[6.808803, 10.485287]	[124, 139]	[]	[48399739, 48399754]
0_10146	chr2	69934341	69934741	+	1000	78.0	[11.8865]	[123]	[]	[]	[69934545]	[]
0_10147	chr2	74313475	74313875	+	1000	78.0	[6.731053, 6.511657]	[83, 117]	[]	[]	[74313655, 74313689]	[]
0_10148	chr2	102227688	102228088	+	1000	78.0	[]	[]	[11.700283]	[168]	[]	[102227938]
0_10149	chr2	102273752	102274152	+	1000	78.0	[]	[]	[9.248419, 11.196773]	[137, 154]	[]	[102273950, 102273967]
0_10150	chr2	108449618	108450018	+	1000	78.0	[13.864238]	[124]	[]	[]	[108449838]	[]
0_10155	chr20	53175368	53175768	+	1000	78.0	[]	[]	[9.1883955]	[79]	[]	[53175542]
0_10157	chr21	39317377	39317777	+	1000	78.0	[]	[]	[10.951742]	[148]	[]	[39317606]
0_10158	chr21	41903858	41904258	+	1000	78.0	[]	[]	[9.669839, 13.077335]	[70, 151]	[]	[41904020, 41904101]
0_10161	chr3	46433078	46433478	+	1000	78.0	[14.504025]	[176]	[11.379836]	[118]	[46433307]	[46433249]
0_10168	chr4	184266038	184266438	+	1000	78.0	[13.584]	[181]	[]	[]	[184266283]	[]
0_10169	chr5	2917515	2917915	+	1000	78.0	[8.964536]	[126]	[8.65132]	[59]	[2917734]	[2917667]
0_10171	chr5	131657482	131657882	+	1000	78.0	[8.141542]	[67]	[8.356729]	[129]	[131657642]	[131657704]
0_10172	chr5	159017748	159018148	+	1000	78.0	[13.864238]	[165]	[]	[]	[159017992]	[]
0_10176	chr6	26336634	26337034	+	1000	78.0	[9.247562]	[130]	[]	[]	[26336838]	[]
0_10177	chr6	28211780	28212180	+	1000	78.0	[6.846359, 11.617513]	[113, 150]	[]	[]	[28211988, 28212025]	[]
0_10181	chr6	86683289	86683689	+	1000	78.0	[7.7312946]	[110]	[]	[]	[86683492]	[]
0_1019	chr4	674082	674482	+	1000	629.0	[]	[]	[7.9993815]	[85]	[]	[674266]
0_10195	chr8	129557837	129558237	+	1000	78.0	[]	[]	[15.100268]	[83]	[]	[129558017]
0_10202	chrX	19829760	19830160	+	1000	78.0	[14.455669]	[106]	[]	[]	[19829944]	[]
0_10209	chr1	40699011	40699411	+	1000	77.0	[]	[]	[9.670894]	[131]	[]	[40699208]
0_1021	chrX	151396988	151397388	+	1000	629.0	[11.617513, 11.617513, 11.258278]	[80, 99, 118]	[]	[]	[151397167, 151397186, 151397205]	[]
0_10211	chr1	46719804	46720204	+	1000	77.0	[]	[]	[9.532927, 8.644198, 9.670894]	[93, 107, 154]	[]	[46719994, 46720008, 46720055]
0_10214	chr1	89757609	89758009	+	1000	77.0	[10.184014]	[158]	[14.741034]	[139]	[89757841]	[89757822]
0_10221	chr1	201828881	201829281	+	1000	77.0	[]	[]	[7.0071845]	[108]	[]	[201829048]
0_10224	chr1	214402525	214402925	+	1000	77.0	[]	[]	[8.04451]	[116]	[]	[214402733]
0_10225	chr1	225477805	225478205	+	1000	77.0	[]	[]	[11.700283]	[159]	[]	[225478036]
0_10226	chr1	227318210	227318610	+	1000	77.0	[6.837227, 10.374664, 6.973034]	[140, 144, 154]	[]	[]	[227318361, 227318365, 227318375]	[]
0_10227	chr1	233114903	233115303	+	1000	77.0	[]	[]	[10.374664, 6.731053]	[119, 127]	[]	[233115089, 233115097]
0_10228	chr1	234544499	234544899	+	1000	77.0	[9.38153]	[82]	[]	[]	[234544674]	[]
0_10231	chr10	45008673	45009073	+	1000	77.0	[]	[]	[9.59458]	[149]	[]	[45008907]
0_10232	chr10	83917460	83917860	+	1000	77.0	[]	[]	[13.885272]	[120]	[]	[83917650]
0_10234	chr10	110441741	110442141	+	1000	77.0	[13.315012]	[146]	[]	[]	[110441968]	[]
0_10238	chr11	77299489	77299889	+	1000	77.0	[]	[]	[6.5081735, 7.1347384]	[131, 173]	[]	[77299690, 77299732]
0_1024	chr15	74615628	74616028	+	1000	628.0	[]	[]	[8.358616, 7.0025306]	[105, 111]	[]	[74615833, 74615839]
0_10240	chr12	91633739	91634139	+	1000	77.0	[]	[]	[9.155027, 7.52346]	[96, 123]	[]	[91633929, 91633956]
0_10241	chr12	124151577	124151977	+	1000	77.0	[8.679172]	[78]	[]	[]	[124151751]	[]
0_10243	chr14	88551338	88551738	+	1000	77.0	[6.8913064]	[75]	[]	[]	[88551511]	[]
0_10244	chr14	94144751	94145151	+	1000	77.0	[]	[]	[14.337926]	[90]	[]	[94144922]
0_10248	chr15	63189186	63189586	+	1000	77.0	[]	[]	[6.7700963]	[141]	[]	[63189412]
0_10250	chr15	67882373	67882773	+	1000	77.0	[]	[]	[11.196773]	[123]	[]	[67882575]
0_10251	chr15	78173267	78173667	+	1000	77.0	[]	[]	[14.741034]	[98]	[]	[78173451]
0_10257	chr16	76634933	76635333	+	1000	77.0	[8.059889]	[92]	[]	[]	[76635097]	[]
0_1026	chr17	36535280	36535680	+	1000	628.0	[]	[]	[11.02127, 11.617513]	[71, 97]	[]	[36535447, 36535473]
0_10263	chr17	67784354	67784754	+	1000	77.0	[13.584]	[126]	[]	[]	[67784569]	[]
0_10265	chr18	3410288	3410688	+	1000	77.0	[10.381482]	[150]	[]	[]	[3410525]	[]
0_10268	chr19	41545540	41545940	+	1000	77.0	[7.571145, 13.315012]	[113, 122]	[]	[]	[41545743, 41545752]	[]
0_10275	chr2	85993955	85994355	+	1000	77.0	[]	[]	[11.543174]	[117]	[]	[85994140]
0_10277	chr2	217223396	217223796	+	1000	77.0	[]	[]	[11.828538, 6.9300385]	[95, 116]	[]	[217223573, 217223594]
0_10279	chr2	241218055	241218455	+	1000	77.0	[12.640427]	[118]	[]	[]	[241218263]	[]
0_10280	chr20	23143051	23143451	+	1000	77.0	[15.100268]	[130]	[]	[]	[23143269]	[]
0_10283	chr21	37566787	37567187	+	1000	77.0	[9.323102]	[159]	[]	[]	[37567038]	[]
0_10284	chr21	42195390	42195790	+	1000	77.0	[]	[]	[6.953869, 6.6101136]	[82, 150]	[]	[42195564, 42195632]
0_10285	chr21	45138674	45139074	+	1000	77.0	[6.565744]	[81]	[]	[]	[45138830]	[]
0_10287	chr22	20857327	20857727	+	1000	77.0	[7.822742]	[141]	[]	[]	[20857518]	[]
0_1029	chr1	3747170	3747570	+	1000	627.0	[]	[]	[7.280992]	[110]	[]	[3747379]
0_10297	chr3	195117900	195118300	+	1000	77.0	[13.864238]	[78]	[]	[]	[195118062]	[]
0_10299	chr4	56387087	56387487	+	1000	77.0	[]	[]	[9.252921]	[130]	[]	[56387248]
0_10300	chr4	67523171	67523571	+	1000	77.0	[]	[]	[10.143806]	[137]	[]	[67523401]
0_10301	chr4	78658044	78658444	+	1000	77.0	[8.486515, 11.230427, 7.2093544]	[99, 103, 138]	[]	[]	[78658235, 78658239, 78658274]	[]
0_10309	chr6	14921281	14921681	+	1000	77.0	[9.727931]	[135]	[9.784637]	[76]	[14921507]	[14921448]
0_1031	chr19	12696446	12696846	+	1000	627.0	[11.617513]	[93]	[10.056115]	[128]	[12696637]	[12696672]
0_10316	chr6	132749050	132749450	+	1000	77.0	[14.455669]	[90]	[]	[]	[132749238]	[]
0_10318	chr6	136754835	136755235	+	1000	77.0	[13.043534]	[73]	[]	[]	[136754997]	[]
0_10319	chr6	143939983	143940383	+	1000	77.0	[]	[]	[11.617513]	[135]	[]	[143940212]
0_10320	chr6	151228927	151229327	+	1000	77.0	[7.2246304]	[78]	[]	[]	[151229092]	[]
0_10321	chr6	167565808	167566208	+	1000	77.0	[]	[]	[8.455303, 9.426659]	[170, 178]	[]	[167566038, 167566046]
0_10325	chr7	75409933	75410333	+	1000	77.0	[]	[]	[8.488816]	[207]	[]	[75410141]
0_10329	chr7	130903510	130903910	+	1000	77.0	[]	[]	[11.807504]	[106]	[]	[130903715]
0_10332	chr7	150433306	150433706	+	1000	77.0	[]	[]	[11.089114, 9.669839]	[107, 122]	[]	[150433498, 150433513]
0_10333	chr8	16565611	16566011	+	1000	77.0	[]	[]	[6.7012587]	[79]	[]	[16565784]
0_10335	chr8	73520680	73521080	+	1000	77.0	[10.073393, 14.455669]	[75, 86]	[]	[]	[73520853, 73520864]	[]
0_10336	chr9	35834646	35835046	+	1000	77.0	[10.539888]	[69]	[]	[]	[35834803]	[]
0_10340	chrX	35798524	35798924	+	1000	77.0	[]	[]	[11.617513, 7.0523133]	[120, 159]	[]	[35798735, 35798774]
0_10341	chrX	49167249	49167649	+	1000	77.0	[10.302213]	[83]	[]	[]	[49167427]	[]
0_10342	chrX	139211534	139211934	+	1000	77.0	[6.8000736]	[130]	[]	[]	[139211744]	[]
0_10346	chr1	9074962	9075362	+	1000	76.0	[]	[]	[8.569641]	[117]	[]	[9075178]
0_1035	chr5	157731237	157731637	+	1000	627.0	[11.02127, 7.1398635]	[67, 92]	[]	[]	[157731395, 157731420]	[]
0_10353	chr1	26094705	26095105	+	1000	76.0	[7.5453005, 6.8708754]	[102, 167]	[6.511657, 6.7861285, 8.785288]	[75, 107, 156]	[26094888, 26094953]	[26094861, 26094893, 26094942]
0_10354	chr1	75625828	75626228	+	1000	76.0	[]	[]	[9.053414, 10.381482]	[79, 115]	[]	[75625997, 75626033]
0_10355	chr1	85303703	85304103	+	1000	76.0	[7.1677146]	[123]	[9.670894, 10.374664, 7.0884447]	[58, 68, 94]	[85303926]	[85303861, 85303871, 85303897]
0_10359	chr1	145465461	145465861	+	1000	76.0	[6.8194566]	[173]	[]	[]	[145465700]	[]
0_1036	chr7	108526003	108526403	+	1000	627.0	[]	[]	[10.402516]	[86]	[]	[108526186]
0_10366	chr10	23051939	23052339	+	1000	76.0	[]	[]	[8.883991]	[91]	[]	[23052096]
0_10367	chr10	28984387	28984787	+	1000	76.0	[]	[]	[13.885272, 8.176619]	[100, 108]	[]	[28984576, 28984584]
0_10372	chr10	127971939	127972339	+	1000	76.0	[9.155027]	[168]	[]	[]	[127972180]	[]
0_10378	chr12	6368065	6368465	+	1000	76.0	[]	[]	[10.464252, 8.04451]	[159, 186]	[]	[6368278, 6368305]
0_10379	chr12	69738661	69739061	+	1000	76.0	[8.358616]	[98]	[]	[]	[69738850]	[]
0_10382	chr14	31937686	31938086	+	1000	76.0	[16.797768]	[135]	[]	[]	[31937896]	[]
0_10383	chr14	77028598	77028998	+	1000	76.0	[13.885272]	[99]	[]	[]	[77028791]	[]
0_10384	chr14	94392466	94392866	+	1000	76.0	[16.797768, 6.76152]	[115, 153]	[]	[]	[94392667, 94392705]	[]
0_10385	chr15	40906896	40907296	+	1000	76.0	[9.8456745, 10.370024]	[104, 117]	[16.797768, 7.551757]	[141, 152]	[40907085, 40907098]	[40907122, 40907133]
0_10388	chr15	82231742	82232142	+	1000	76.0	[7.596274, 7.349283]	[110, 153]	[]	[]	[82231937, 82231980]	[]
0_10389	chr16	20904480	20904880	+	1000	76.0	[]	[]	[11.807504]	[94]	[]	[20904672]
0_10391	chr16	23826552	23826952	+	1000	76.0	[14.741034, 10.137757]	[80, 92]	[8.025445]	[153]	[23826721, 23826733]	[23826794]
0_10398	chr17	37134111	37134511	+	1000	76.0	[11.527266]	[117]	[]	[]	[37134310]	[]
0_10399	chr17	50867574	50867974	+	1000	76.0	[]	[]	[8.466779]	[140]	[]	[50867781]
0_10401	chr17	82367829	82368229	+	1000	76.0	[9.240441]	[119]	[]	[]	[82368039]	[]
0_10412	chr19	45251017	45251417	+	1000	76.0	[8.677165]	[149]	[]	[]	[45251265]	[]
0_10420	chr2	183196036	183196436	+	1000	76.0	[]	[]	[14.741034]	[104]	[]	[183196232]
0_10421	chr2	200868723	200869123	+	1000	76.0	[7.8970804]	[110]	[]	[]	[200868927]	[]
0_1043	chr9	33076486	33076886	+	1000	626.0	[6.783325, 10.402516]	[92, 115]	[]	[]	[33076674, 33076697]	[]
0_10432	chr21	42464062	42464462	+	1000	76.0	[]	[]	[12.187773, 13.043534]	[130, 163]	[]	[42464262, 42464295]
0_10433	chr21	46031468	46031868	+	1000	76.0	[11.617513]	[95]	[]	[]	[46031648]	[]
0_10437	chr22	30223259	30223659	+	1000	76.0	[]	[]	[7.7476707, 9.893018, 9.254243]	[89, 105, 136]	[]	[30223439, 30223455, 30223486]
0_10438	chr22	42680648	42681048	+	1000	76.0	[10.381482]	[110]	[]	[]	[42680826]	[]
0_1044	chr9	124868919	124869319	+	1000	626.0	[7.280992]	[95]	[11.617513, 7.3535852]	[115, 157]	[124869106]	[124869126, 124869168]
0_10440	chr3	58161742	58162142	+	1000	76.0	[13.864238]	[118]	[]	[]	[58161957]	[]
0_10442	chr3	72550161	72550561	+	1000	76.0	[7.7140174]	[135]	[]	[]	[72550377]	[]
0_10443	chr3	98901877	98902277	+	1000	76.0	[8.561428, 6.792098]	[88, 113]	[]	[]	[98902040, 98902065]	[]
0_10446	chr3	197444146	197444546	+	1000	76.0	[]	[]	[12.187773]	[140]	[]	[197444360]
0_10448	chr4	75512643	75513043	+	1000	76.0	[8.46734]	[121]	[]	[]	[75512861]	[]
0_10452	chr5	3827665	3828065	+	1000	76.0	[11.482137]	[100]	[]	[]	[3827859]	[]
0_10453	chr5	76738953	76739353	+	1000	76.0	[]	[]	[6.6101136]	[139]	[]	[76739188]
0_10455	chr5	133963063	133963463	+	1000	76.0	[9.829299]	[124]	[]	[]	[133963274]	[]
0_10458	chr5	150763296	150763696	+	1000	76.0	[]	[]	[10.827319]	[147]	[]	[150763477]
0_10460	chr6	194009	194409	+	1000	76.0	[]	[]	[8.324748]	[123]	[]	[194215]
0_10469	chr6	95519163	95519563	+	1000	76.0	[]	[]	[13.885272]	[195]	[]	[95519408]
0_10471	chr6	136499426	136499826	+	1000	76.0	[]	[]	[11.807504]	[94]	[]	[136499619]
0_10475	chr7	67454000	67454400	+	1000	76.0	[]	[]	[12.187773]	[127]	[]	[67454201]
0_10477	chr7	106501961	106502361	+	1000	76.0	[7.225262]	[137]	[]	[]	[106502184]	[]
0_10480	chr7	134432406	134432806	+	1000	76.0	[7.0071845]	[145]	[]	[]	[134432588]	[]
0_10485	chr7	151350061	151350461	+	1000	76.0	[]	[]	[6.5671253]	[147]	[]	[151350297]
0_10487	chr8	30658036	30658436	+	1000	76.0	[9.292399]	[84]	[]	[]	[30658207]	[]
0_10488	chr8	123060853	123061253	+	1000	76.0	[]	[]	[10.993419]	[85]	[]	[123061016]
0_10489	chr8	141002090	141002490	+	1000	76.0	[]	[]	[15.100268]	[135]	[]	[141002254]
0_10498	chr1	1200837	1201237	+	1000	75.0	[]	[]	[8.358616]	[54]	[]	[1200988]
0_1050	chr8	124538890	124539290	+	1000	625.0	[8.106905]	[122]	[7.1436195, 10.402516]	[90, 96]	[124539102]	[124539070, 124539076]
0_10500	chr1	21279897	21280297	+	1000	75.0	[6.540387]	[143]	[13.28716, 13.885272]	[98, 118]	[21280113]	[21280068, 21280088]
0_10503	chr1	39167798	39168198	+	1000	75.0	[9.513762]	[132]	[]	[]	[39168018]	[]
0_10509	chr1	121080436	121080836	+	1000	75.0	[9.67735, 7.32774]	[124, 149]	[]	[]	[121080625, 121080650]	[]
0_1051	chr11	8964272	8964672	+	1000	624.0	[8.403745]	[76]	[]	[]	[8964432]	[]
0_10511	chr1	172637459	172637859	+	1000	75.0	[8.853755]	[128]	[]	[]	[172637662]	[]
0_10514	chr1	200738855	200739255	+	1000	75.0	[]	[]	[12.479856]	[113]	[]	[200739027]
0_10517	chr1	214427948	214428348	+	1000	75.0	[]	[]	[7.4689865]	[101]	[]	[214428141]
0_10518	chr1	229199851	229200251	+	1000	75.0	[]	[]	[14.741034, 6.7124143, 12.028045]	[107, 122, 160]	[]	[229200043, 229200058, 229200096]
0_10519	chr1	234862989	234863389	+	1000	75.0	[7.252482]	[152]	[8.517438, 6.651009]	[119, 123]	[234863218]	[234863185, 234863189]
0_1052	chr12	6493179	6493579	+	1000	624.0	[6.8594165, 7.9993815]	[73, 88]	[9.275414]	[104]	[6493343, 6493358]	[6493374]
0_10520	chr1	246571358	246571758	+	1000	75.0	[14.337926]	[100]	[]	[]	[246571544]	[]
0_10522	chr10	21406798	21407198	+	1000	75.0	[14.741034]	[117]	[]	[]	[21407013]	[]
0_10528	chr11	2116719	2117119	+	1000	75.0	[7.117465]	[126]	[]	[]	[2116934]	[]
0_10530	chr11	58776937	58777337	+	1000	75.0	[9.784637, 8.725622]	[159, 175]	[]	[]	[58777169, 58777185]	[]
0_10533	chr11	118791148	118791548	+	1000	75.0	[7.116778, 8.533577, 8.42165]	[91, 95, 135]	[11.42543]	[115]	[118791304, 118791308, 118791348]	[118791328]
0_10538	chr12	75641041	75641441	+	1000	75.0	[8.705017]	[116]	[]	[]	[75641251]	[]
0_10548	chr14	71246528	71246928	+	1000	75.0	[]	[]	[11.196773, 15.100268]	[99, 125]	[]	[71246718, 71246744]
0_1055	chr1	153727796	153728196	+	1000	623.0	[11.617513]	[109]	[]	[]	[153728003]	[]
0_10552	chr16	31880444	31880844	+	1000	75.0	[8.087072]	[111]	[6.819938]	[121]	[31880624]	[31880634]
0_10555	chr17	29589580	29589980	+	1000	75.0	[]	[]	[7.865262, 6.755474]	[105, 124]	[]	[29589732, 29589751]
0_10556	chr17	57379370	57379770	+	1000	75.0	[10.143806]	[97]	[11.680546]	[136]	[57379546]	[57379585]
0_10559	chr17	76643574	76643974	+	1000	75.0	[]	[]	[14.504025]	[54]	[]	[76643727]
0_10560	chr17	77863729	77864129	+	1000	75.0	[]	[]	[10.622659]	[120]	[]	[77863919]
0_1057	chr19	16197667	16198067	+	1000	623.0	[]	[]	[13.315012]	[154]	[]	[16197908]
0_10570	chr19	45171294	45171694	+	1000	75.0	[7.7262726]	[168]	[7.1398635, 11.230427]	[85, 140]	[45171542]	[45171459, 45171514]
0_10571	chr19	45300696	45301096	+	1000	75.0	[]	[]	[7.717047]	[78]	[]	[45300873]
0_10576	chr2	38552241	38552641	+	1000	75.0	[9.544402]	[77]	[]	[]	[38552398]	[]
0_10578	chr2	55140574	55140974	+	1000	75.0	[7.710163]	[144]	[]	[]	[55140752]	[]
0_10589	chr2	237434903	237435303	+	1000	75.0	[]	[]	[15.100268]	[148]	[]	[237435137]
0_1059	chr13	28658898	28659298	+	1000	622.0	[11.617513]	[88]	[10.101244]	[121]	[28659084]	[28659117]
0_10590	chr2	240646167	240646567	+	1000	75.0	[10.937941, 10.937941, 10.937941, 10.937941]	[91, 107, 123, 139]	[]	[]	[240646356, 240646372, 240646388, 240646404]	[]
0_10593	chr20	57389061	57389461	+	1000	75.0	[7.5106626]	[116]	[6.93056]	[125]	[57389273]	[57389282]
0_10596	chr21	36005102	36005502	+	1000	75.0	[16.797768, 7.6060066]	[74, 99]	[]	[]	[36005266, 36005291]	[]
0_10598	chr3	5187432	5187832	+	1000	75.0	[8.12938]	[159]	[]	[]	[5187676]	[]
0_10599	chr3	12716486	12716886	+	1000	75.0	[]	[]	[10.972914]	[64]	[]	[12716638]
0_10600	chr3	14950225	14950625	+	1000	75.0	[11.07903, 11.196773]	[83, 150]	[]	[]	[14950392, 14950459]	[]
0_10604	chr3	60333692	60334092	+	1000	75.0	[11.482137, 9.58887]	[138, 176]	[]	[]	[60333904, 60333942]	[]
0_10608	chr3	194070938	194071338	+	1000	75.0	[]	[]	[6.827925]	[152]	[]	[194071161]
0_10609	chr4	80253463	80253863	+	1000	75.0	[]	[]	[14.504025]	[101]	[]	[80253655]
0_10611	chr4	83630080	83630480	+	1000	75.0	[8.569641]	[123]	[]	[]	[83630257]	[]
0_10612	chr4	108270458	108270858	+	1000	75.0	[]	[]	[9.59458]	[90]	[]	[108270647]
0_10613	chr4	169622157	169622557	+	1000	75.0	[13.864238]	[142]	[]	[]	[169622368]	[]
0_10615	chr5	3025357	3025757	+	1000	75.0	[]	[]	[8.060418, 9.157671]	[121, 152]	[]	[3025526, 3025557]
0_10616	chr5	38807538	38807938	+	1000	75.0	[11.341048, 13.864238]	[64, 86]	[]	[]	[38807690, 38807712]	[]
0_10624	chr5	174532483	174532883	+	1000	75.0	[9.499273]	[143]	[]	[]	[174532718]	[]
0_10625	chr5	180291840	180292240	+	1000	75.0	[9.804404]	[100]	[]	[]	[180292030]	[]
0_10626	chr6	10449815	10450215	+	1000	75.0	[10.144581]	[78]	[]	[]	[10449984]	[]
0_10629	chr6	27297996	27298396	+	1000	75.0	[8.569641, 7.197509]	[114, 150]	[]	[]	[27298170, 27298206]	[]
0_10632	chr6	41051979	41052379	+	1000	75.0	[16.797768, 13.864238]	[112, 125]	[]	[]	[41052191, 41052204]	[]
0_10633	chr6	108179275	108179675	+	1000	75.0	[16.797768]	[115]	[]	[]	[108179486]	[]
0_10638	chr7	16035811	16036211	+	1000	75.0	[13.397782]	[121]	[11.680546]	[76]	[16036017]	[16035972]
0_10640	chr7	28597981	28598381	+	1000	75.0	[8.296897]	[98]	[]	[]	[28598160]	[]
