#PeakID(python scan_motif.py ./ENCODE_processed_files/TAL1_idr.fa TAL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
345_10016	chr11	62851499	62851899	+	1000	118.0	[11.270045, 4.611834]	[133, 136]	[11.270045, 4.611834]	[133, 136]	[62851706, 62851709]	[62851706, 62851709]
345_10018	chr12	72465927	72466327	+	1000	118.0	[11.270045]	[75]	[11.270045]	[75]	[72466097]	[72466097]
345_10019	chr12	89796791	89797191	+	1000	118.0	[4.611834]	[92]	[4.611834]	[92]	[89796977]	[89796977]
345_1002	chr2	85500103	85500503	+	1000	545.0	[4.611834, 4.611834]	[79, 97]	[4.611834, 4.611834]	[79, 97]	[85500279, 85500297]	[85500279, 85500297]
345_10020	chr14	63701550	63701950	+	1000	118.0	[4.611834]	[95]	[4.611834]	[95]	[63701740]	[63701740]
345_10023	chr16	4833994	4834394	+	1000	118.0	[9.465482]	[96]	[4.611834]	[96]	[4834177]	[4834177]
345_10025	chr17	21295284	21295684	+	1000	118.0	[4.611834, 4.611834, 4.611834]	[120, 126, 153]	[4.611834, 5.088419, 9.465482]	[120, 126, 153]	[21295495, 21295501, 21295528]	[21295495, 21295501, 21295528]
345_10028	chr17	77542000	77542400	+	1000	118.0	[11.270045]	[107]	[11.270045]	[107]	[77542200]	[77542200]
345_10029	chr17	81646767	81647167	+	1000	118.0	[4.611834, 4.611834]	[65, 81]	[4.611834, 4.611834]	[65, 81]	[81646932, 81646948]	[81646932, 81646948]
345_1003	chr20	49790301	49790701	+	1000	545.0	[4.611834, 4.611834]	[52, 96]	[5.088419, 9.465482]	[52, 96]	[49790453, 49790497]	[49790453, 49790497]
345_10030	chr19	23098953	23099353	+	1000	118.0	[9.465482, 4.611834, 8.356634]	[78, 119, 129]	[4.611834, 9.465482, 4.611834]	[78, 119, 129]	[23099129, 23099170, 23099180]	[23099129, 23099170, 23099180]
345_10031	chr19	48553781	48554181	+	1000	118.0	[4.611834, 11.270045]	[104, 143]	[5.088419, 11.270045]	[104, 143]	[48553960, 48553999]	[48553960, 48553999]
345_10034	chr2	64751358	64751758	+	1000	118.0	[4.611834, 4.611834]	[93, 96]	[4.611834, 4.611834]	[93, 96]	[64751547, 64751550]	[64751547, 64751550]
345_10035	chr2	68878328	68878728	+	1000	118.0	[4.611834, 11.270045]	[78, 89]	[4.611834, 11.270045]	[78, 89]	[68878502, 68878513]	[68878502, 68878513]
345_10039	chr2	151651305	151651705	+	1000	118.0	[9.465482]	[124]	[4.611834]	[124]	[151651524]	[151651524]
345_1004	chr4	78599859	78600259	+	1000	545.0	[11.270045, 4.611834]	[98, 116]	[11.270045, 4.611834]	[98, 116]	[78600054, 78600072]	[78600054, 78600072]
345_10041	chr2	200634225	200634625	+	1000	118.0	[4.611834, 4.611834]	[119, 131]	[4.611834, 4.611834]	[119, 131]	[200634437, 200634449]	[200634437, 200634449]
345_10042	chr2	216768775	216769175	+	1000	118.0	[5.088419, 4.611834]	[127, 132]	[4.611834, 4.611834]	[127, 132]	[216768990, 216768995]	[216768990, 216768995]
345_10044	chr20	37987404	37987804	+	1000	118.0	[11.270045]	[92]	[11.270045]	[92]	[37987587]	[37987587]
345_10045	chr20	43583876	43584276	+	1000	118.0	[4.611834, 8.356634, 8.356634]	[91, 103, 110]	[4.611834, 4.611834, 4.611834]	[91, 103, 110]	[43584058, 43584070, 43584077]	[43584058, 43584070, 43584077]
345_10046	chr20	45071316	45071716	+	1000	118.0	[9.465482]	[73]	[4.611834]	[73]	[45071489]	[45071489]
345_10047	chr22	17853180	17853580	+	1000	118.0	[4.611834, 4.611834]	[85, 138]	[4.611834, 4.611834]	[85, 138]	[17853356, 17853409]	[17853356, 17853409]
345_10048	chr3	67362669	67363069	+	1000	118.0	[4.611834]	[99]	[4.611834]	[99]	[67362863]	[67362863]
345_10049	chr3	126355878	126356278	+	1000	118.0	[4.611834, 4.611834, 4.611834]	[82, 106, 109]	[4.611834, 4.611834, 4.611834]	[82, 106, 109]	[126356051, 126356075, 126356078]	[126356051, 126356075, 126356078]
345_1005	chr4	121790947	121791347	+	1000	545.0	[4.611834]	[110]	[4.611834]	[110]	[121791150]	[121791150]
345_10051	chr4	10240335	10240735	+	1000	118.0	[4.611834, 11.270045]	[93, 128]	[4.611834, 11.270045]	[93, 128]	[10240508, 10240543]	[10240508, 10240543]
345_10054	chr5	55997775	55998175	+	1000	118.0	[9.465482]	[94]	[4.611834]	[94]	[55997964]	[55997964]
345_10057	chr6	26156168	26156568	+	1000	118.0	[4.611834]	[164]	[4.611834]	[164]	[26156416]	[26156416]
345_10058	chr6	36908725	36909125	+	1000	118.0	[4.611834]	[95]	[9.465482]	[95]	[36908911]	[36908911]
345_10059	chr6	53290487	53290887	+	1000	118.0	[11.270045]	[107]	[11.270045]	[107]	[53290693]	[53290693]
345_1006	chr7	100829240	100829640	+	1000	545.0	[4.611834, 4.611834]	[69, 113]	[4.611834, 4.611834]	[69, 113]	[100829401, 100829445]	[100829401, 100829445]
345_10062	chr6	79525611	79526011	+	1000	118.0	[4.611834, 11.270045, 5.088419]	[67, 93, 99]	[8.356634, 11.270045, 4.611834]	[67, 93, 99]	[79525775, 79525801, 79525807]	[79525775, 79525801, 79525807]
345_10064	chr6	157842194	157842594	+	1000	118.0	[4.611834]	[109]	[8.356634]	[109]	[157842401]	[157842401]
345_10066	chr7	29795681	29796081	+	1000	118.0	[4.611834]	[70]	[5.088419]	[70]	[29795839]	[29795839]
345_10068	chr7	51233370	51233770	+	1000	118.0	[4.611834, 4.611834]	[71, 107]	[4.611834, 4.611834]	[71, 107]	[51233534, 51233570]	[51233534, 51233570]
345_10069	chr7	77727879	77728279	+	1000	118.0	[4.611834, 4.611834, 4.611834]	[111, 120, 151]	[4.611834, 9.465482, 9.465482]	[111, 120, 151]	[77728083, 77728092, 77728123]	[77728083, 77728092, 77728123]
345_1007	chr7	135664023	135664423	+	1000	545.0	[4.611834]	[99]	[4.611834]	[99]	[135664218]	[135664218]
345_10070	chr7	87253704	87254104	+	1000	118.0	[4.611834]	[98]	[4.611834]	[98]	[87253897]	[87253897]
345_10071	chr7	127895852	127896252	+	1000	118.0	[4.611834]	[110]	[4.611834]	[110]	[127896043]	[127896043]
345_10073	chr8	16511532	16511932	+	1000	118.0	[11.270045]	[124]	[11.270045]	[124]	[16511754]	[16511754]
345_10076	chr9	88820047	88820447	+	1000	118.0	[9.465482, 4.611834]	[96, 110]	[4.611834, 4.611834]	[96, 110]	[88820236, 88820250]	[88820236, 88820250]
345_10077	chr9	111964082	111964482	+	1000	118.0	[11.270045, 4.611834]	[148, 187]	[11.270045, 4.611834]	[148, 187]	[111964291, 111964330]	[111964291, 111964330]
345_10079	chrX	110321063	110321463	+	1000	118.0	[4.611834]	[94]	[4.611834]	[94]	[110321252]	[110321252]
345_1008	chr9	97503463	97503863	+	1000	545.0	[4.611834]	[151]	[4.611834]	[151]	[97503703]	[97503703]
345_10080	chrX	154784209	154784609	+	1000	118.0	[9.465482, 4.611834]	[112, 133]	[4.611834, 4.611834]	[112, 133]	[154784405, 154784426]	[154784405, 154784426]
345_10081	chr1	1847028	1847428	+	1000	117.0	[4.611834, 4.611834, 8.356634]	[64, 100, 142]	[4.611834, 4.611834, 4.611834]	[64, 100, 142]	[1847179, 1847215, 1847257]	[1847179, 1847215, 1847257]
345_10083	chr1	23403831	23404231	+	1000	117.0	[4.611834]	[79]	[4.611834]	[79]	[23404008]	[23404008]
345_10085	chr1	44830967	44831367	+	1000	117.0	[4.611834]	[115]	[4.611834]	[115]	[44831179]	[44831179]
345_10086	chr1	113691182	113691582	+	1000	117.0	[4.611834, 9.465482]	[86, 101]	[4.611834, 4.611834]	[86, 101]	[113691353, 113691368]	[113691353, 113691368]
345_10088	chr1	178506637	178507037	+	1000	117.0	[4.611834]	[103]	[4.611834]	[103]	[178506829]	[178506829]
345_10090	chr1	221655869	221656269	+	1000	117.0	[4.611834, 4.611834]	[75, 106]	[4.611834, 5.088419]	[75, 106]	[221656036, 221656067]	[221656036, 221656067]
345_10091	chr1	222240526	222240926	+	1000	117.0	[4.611834, 11.270045, 4.611834]	[62, 78, 116]	[4.611834, 11.270045, 4.611834]	[62, 78, 116]	[222240686, 222240702, 222240740]	[222240686, 222240702, 222240740]
345_10092	chr10	35605284	35605684	+	1000	117.0	[4.611834]	[81]	[4.611834]	[81]	[35605459]	[35605459]
345_10094	chr10	111127445	111127845	+	1000	117.0	[4.611834, 8.356634]	[103, 152]	[9.465482, 4.611834]	[103, 152]	[111127636, 111127685]	[111127636, 111127685]
345_10095	chr11	38594874	38595274	+	1000	117.0	[9.465482]	[130]	[4.611834]	[130]	[38595102]	[38595102]
345_10098	chr11	60078739	60079139	+	1000	117.0	[11.270045]	[145]	[11.270045]	[145]	[60078983]	[60078983]
345_10099	chr12	55499955	55500355	+	1000	117.0	[11.270045, 4.611834, 4.611834]	[84, 103, 115]	[11.270045, 4.611834, 4.611834]	[84, 103, 115]	[55500138, 55500157, 55500169]	[55500138, 55500157, 55500169]
345_101	chr8	93502004	93502404	+	1000	737.0	[4.611834, 9.465482]	[97, 148]	[4.611834, 4.611834]	[97, 148]	[93502198, 93502249]	[93502198, 93502249]
345_1010	chr21	31735682	31736082	+	1000	544.0	[4.611834, 4.611834, 4.611834, 4.611834, 4.611834]	[66, 72, 92, 111, 117]	[4.611834, 5.088419, 9.465482, 4.611834, 4.611834]	[66, 72, 92, 111, 117]	[31735845, 31735851, 31735871, 31735890, 31735896]	[31735845, 31735851, 31735871, 31735890, 31735896]
345_10100	chr12	110616699	110617099	+	1000	117.0	[5.088419, 9.465482, 11.270045]	[109, 117, 139]	[4.611834, 4.611834, 11.270045]	[109, 117, 139]	[110616902, 110616910, 110616932]	[110616902, 110616910, 110616932]
345_10101	chr12	118611756	118612156	+	1000	117.0	[4.611834]	[128]	[4.611834]	[128]	[118611980]	[118611980]
345_10103	chr14	68483993	68484393	+	1000	117.0	[4.611834, 4.611834]	[113, 128]	[4.611834, 4.611834]	[113, 128]	[68484196, 68484211]	[68484196, 68484211]
345_10105	chr16	10886918	10887318	+	1000	117.0	[4.611834]	[128]	[4.611834]	[128]	[10887132]	[10887132]
345_10106	chr16	21536280	21536680	+	1000	117.0	[4.611834]	[135]	[4.611834]	[135]	[21536514]	[21536514]
345_10107	chr17	41499994	41500394	+	1000	117.0	[4.611834]	[105]	[8.356634]	[105]	[41500199]	[41500199]
345_10109	chr17	59786808	59787208	+	1000	117.0	[8.356634]	[123]	[4.611834]	[123]	[59787025]	[59787025]
345_10112	chr18	23540781	23541181	+	1000	117.0	[4.611834]	[100]	[4.611834]	[100]	[23540967]	[23540967]
345_10113	chr18	31129399	31129799	+	1000	117.0	[5.088419]	[130]	[4.611834]	[130]	[31129616]	[31129616]
345_10114	chr19	21095124	21095524	+	1000	117.0	[11.270045, 4.611834]	[104, 149]	[11.270045, 5.088419]	[104, 149]	[21095322, 21095367]	[21095322, 21095367]
345_10115	chr19	44911087	44911487	+	1000	117.0	[11.270045, 4.611834]	[105, 114]	[11.270045, 9.465482]	[105, 114]	[44911282, 44911291]	[44911282, 44911291]
345_10117	chr2	11744078	11744478	+	1000	117.0	[4.611834]	[79]	[4.611834]	[79]	[11744248]	[11744248]
345_10119	chr2	61411075	61411475	+	1000	117.0	[4.611834]	[102]	[4.611834]	[102]	[61411266]	[61411266]
345_10120	chr2	97911409	97911809	+	1000	117.0	[4.611834]	[126]	[4.611834]	[126]	[97911629]	[97911629]
345_10121	chr2	99660838	99661238	+	1000	117.0	[4.611834, 4.611834]	[64, 85]	[8.356634, 5.088419]	[64, 85]	[99661001, 99661022]	[99661001, 99661022]
345_10122	chr2	131668898	131669298	+	1000	117.0	[4.611834, 4.611834, 4.611834, 9.465482, 9.465482]	[67, 80, 91, 94, 152]	[4.611834, 4.611834, 4.611834, 4.611834, 4.611834]	[67, 80, 91, 94, 152]	[131669055, 131669068, 131669079, 131669082, 131669140]	[131669055, 131669068, 131669079, 131669082, 131669140]
345_10124	chr2	193199305	193199705	+	1000	117.0	[4.611834]	[110]	[4.611834]	[110]	[193199506]	[193199506]
345_10125	chr2	216789051	216789451	+	1000	117.0	[4.611834, 4.611834]	[93, 113]	[4.611834, 4.611834]	[93, 113]	[216789235, 216789255]	[216789235, 216789255]
345_10126	chr2	217382827	217383227	+	1000	117.0	[11.270045]	[95]	[11.270045]	[95]	[217383020]	[217383020]
345_10127	chr21	20045184	20045584	+	1000	117.0	[4.611834]	[108]	[4.611834]	[108]	[20045391]	[20045391]
345_10128	chr21	34865223	34865623	+	1000	117.0	[11.270045, 4.611834]	[79, 102]	[11.270045, 8.356634]	[79, 102]	[34865399, 34865422]	[34865399, 34865422]
345_10129	chr21	39422490	39422890	+	1000	117.0	[4.611834]	[111]	[4.611834]	[111]	[39422687]	[39422687]
345_10130	chr22	37258724	37259124	+	1000	117.0	[4.611834, 4.611834, 9.465482, 4.611834]	[100, 112, 131, 147]	[4.611834, 4.611834, 4.611834, 4.611834]	[100, 112, 131, 147]	[37258918, 37258930, 37258949, 37258965]	[37258918, 37258930, 37258949, 37258965]
345_10133	chr3	119945291	119945691	+	1000	117.0	[4.611834, 4.611834, 8.356634]	[71, 74, 120]	[4.611834, 4.611834, 4.611834]	[71, 74, 120]	[119945461, 119945464, 119945510]	[119945461, 119945464, 119945510]
345_10135	chr4	10185751	10186151	+	1000	117.0	[4.611834]	[136]	[4.611834]	[136]	[10185983]	[10185983]
345_10137	chr4	88758941	88759341	+	1000	117.0	[4.611834, 11.270045]	[56, 107]	[9.465482, 11.270045]	[56, 107]	[88759092, 88759143]	[88759092, 88759143]
345_10138	chr4	146292517	146292917	+	1000	117.0	[4.611834]	[68]	[4.611834]	[68]	[146292676]	[146292676]
345_10139	chr4	173174449	173174849	+	1000	117.0	[4.611834]	[142]	[5.088419]	[142]	[173174663]	[173174663]
345_10140	chr4	173442521	173442921	+	1000	117.0	[4.611834]	[87]	[9.465482]	[87]	[173442707]	[173442707]
345_10143	chr5	89042751	89043151	+	1000	117.0	[11.270045]	[131]	[11.270045]	[131]	[89042979]	[89042979]
345_10146	chr6	20332654	20333054	+	1000	117.0	[11.270045, 11.270045]	[61, 98]	[11.270045, 11.270045]	[61, 98]	[20332811, 20332848]	[20332811, 20332848]
345_1015	chr14	70237726	70238126	+	1000	543.0	[11.270045, 4.611834, 4.611834]	[77, 137, 146]	[11.270045, 4.611834, 9.465482]	[77, 137, 146]	[70237894, 70237954, 70237963]	[70237894, 70237954, 70237963]
345_10150	chr6	159973971	159974371	+	1000	117.0	[4.611834, 4.611834, 4.611834]	[97, 158, 172]	[5.088419, 4.611834, 4.611834]	[97, 158, 172]	[159974146, 159974207, 159974221]	[159974146, 159974207, 159974221]
345_10151	chr7	77855687	77856087	+	1000	117.0	[4.611834, 4.611834]	[74, 77]	[4.611834, 4.611834]	[74, 77]	[77855844, 77855847]	[77855844, 77855847]
345_10154	chr7	135939296	135939696	+	1000	117.0	[5.088419]	[76]	[4.611834]	[76]	[135939454]	[135939454]
345_10157	chr8	22322714	22323114	+	1000	117.0	[8.356634]	[109]	[4.611834]	[109]	[22322915]	[22322915]
345_10158	chr8	54239281	54239681	+	1000	117.0	[4.611834]	[93]	[4.611834]	[93]	[54239461]	[54239461]
345_10159	chr8	54336250	54336650	+	1000	117.0	[4.611834]	[133]	[9.465482]	[133]	[54336481]	[54336481]
345_1016	chr15	51652103	51652503	+	1000	542.0	[4.611834, 4.611834]	[92, 104]	[8.356634, 4.611834]	[92, 104]	[51652287, 51652299]	[51652287, 51652299]
345_10160	chr8	60499977	60500377	+	1000	117.0	[11.270045]	[124]	[11.270045]	[124]	[60500195]	[60500195]
345_10161	chr8	85866594	85866994	+	1000	117.0	[4.611834]	[65]	[8.356634]	[65]	[85866757]	[85866757]
345_10162	chr8	90541760	90542160	+	1000	117.0	[4.611834]	[99]	[4.611834]	[99]	[90541959]	[90541959]
345_10164	chr8	127618375	127618775	+	1000	117.0	[4.611834]	[68]	[8.356634]	[68]	[127618539]	[127618539]
345_10165	chr8	128048371	128048771	+	1000	117.0	[4.611834, 4.611834, 4.611834, 4.611834]	[119, 129, 138, 158]	[4.611834, 4.611834, 9.465482, 4.611834]	[119, 129, 138, 158]	[128048582, 128048592, 128048601, 128048621]	[128048582, 128048592, 128048601, 128048621]
345_10166	chr9	61573353	61573753	+	1000	117.0	[4.611834]	[119]	[4.611834]	[119]	[61573544]	[61573544]
345_10167	chr9	68961570	68961970	+	1000	117.0	[8.356634]	[95]	[4.611834]	[95]	[68961753]	[68961753]
345_10169	chrX	129786350	129786750	+	1000	117.0	[4.611834]	[105]	[9.465482]	[105]	[129786546]	[129786546]
345_1017	chr22	19891545	19891945	+	1000	542.0	[4.611834, 4.611834]	[60, 113]	[9.465482, 5.088419]	[60, 113]	[19891705, 19891758]	[19891705, 19891758]
345_10170	chrX	152648000	152648400	+	1000	117.0	[11.270045]	[103]	[11.270045]	[103]	[152648202]	[152648202]
345_10171	chr1	15260647	15261047	+	1000	116.0	[4.611834]	[188]	[4.611834]	[188]	[15260896]	[15260896]
345_10172	chr1	111639890	111640290	+	1000	116.0	[11.270045]	[73]	[11.270045]	[73]	[111640053]	[111640053]
345_10174	chr1	196308178	196308578	+	1000	116.0	[4.611834]	[114]	[4.611834]	[114]	[196308383]	[196308383]
345_10177	chr11	93988456	93988856	+	1000	116.0	[4.611834]	[99]	[4.611834]	[99]	[93988652]	[93988652]
345_10179	chr12	54566770	54567170	+	1000	116.0	[4.611834, 8.356634]	[64, 124]	[4.611834, 4.611834]	[64, 124]	[54566933, 54566993]	[54566933, 54566993]
345_10180	chr12	130952447	130952847	+	1000	116.0	[4.611834]	[64]	[4.611834]	[64]	[130952603]	[130952603]
345_10181	chr13	48559649	48560049	+	1000	116.0	[5.088419]	[112]	[4.611834]	[112]	[48559855]	[48559855]
345_10182	chr14	90801253	90801653	+	1000	116.0	[4.611834, 4.611834]	[73, 101]	[4.611834, 4.611834]	[73, 101]	[90801417, 90801445]	[90801417, 90801445]
345_10185	chr15	75633882	75634282	+	1000	116.0	[4.611834]	[125]	[4.611834]	[125]	[75634085]	[75634085]
345_10186	chr15	76289546	76289946	+	1000	116.0	[11.270045]	[80]	[11.270045]	[80]	[76289726]	[76289726]
345_10187	chr15	87610287	87610687	+	1000	116.0	[4.611834]	[102]	[4.611834]	[102]	[87610481]	[87610481]
345_10189	chr17	30825723	30826123	+	1000	116.0	[4.611834]	[113]	[4.611834]	[113]	[30825926]	[30825926]
345_10190	chr17	78787455	78787855	+	1000	116.0	[4.611834]	[104]	[9.465482]	[104]	[78787656]	[78787656]
345_10191	chr18	2976229	2976629	+	1000	116.0	[4.611834]	[103]	[5.088419]	[103]	[2976432]	[2976432]
345_10192	chr18	55386533	55386933	+	1000	116.0	[4.611834, 4.611834]	[104, 143]	[4.611834, 9.465482]	[104, 143]	[55386731, 55386770]	[55386731, 55386770]
345_10194	chr2	47695334	47695734	+	1000	116.0	[4.611834]	[79]	[5.088419]	[79]	[47695504]	[47695504]
345_10196	chr2	62920075	62920475	+	1000	116.0	[4.611834]	[103]	[4.611834]	[103]	[62920264]	[62920264]
345_10197	chr2	63827665	63828065	+	1000	116.0	[4.611834, 11.270045]	[65, 68]	[4.611834, 11.270045]	[65, 68]	[63827830, 63827833]	[63827830, 63827833]
345_10198	chr2	177728058	177728458	+	1000	116.0	[4.611834, 4.611834]	[54, 143]	[4.611834, 4.611834]	[54, 143]	[177728210, 177728299]	[177728210, 177728299]
345_10199	chr2	224546143	224546543	+	1000	116.0	[4.611834]	[158]	[5.088419]	[158]	[224546386]	[224546386]
345_1020	chr1	117645010	117645410	+	1000	541.0	[4.611834, 4.611834, 4.611834]	[106, 120, 147]	[4.611834, 4.611834, 4.611834]	[106, 120, 147]	[117645210, 117645224, 117645251]	[117645210, 117645224, 117645251]
345_10200	chr20	44970112	44970512	+	1000	116.0	[11.270045]	[76]	[11.270045]	[76]	[44970283]	[44970283]
345_10201	chr3	52171604	52172004	+	1000	116.0	[4.611834, 9.465482]	[103, 147]	[4.611834, 4.611834]	[103, 147]	[52171802, 52171846]	[52171802, 52171846]
345_10203	chr3	105866873	105867273	+	1000	116.0	[4.611834]	[90]	[4.611834]	[90]	[105867053]	[105867053]
345_10204	chr3	107124867	107125267	+	1000	116.0	[11.270045]	[134]	[11.270045]	[134]	[107125087]	[107125087]
345_10205	chr3	129773978	129774378	+	1000	116.0	[4.611834, 4.611834]	[87, 132]	[4.611834, 4.611834]	[87, 132]	[129774160, 129774205]	[129774160, 129774205]
345_10206	chr4	15526944	15527344	+	1000	116.0	[4.611834]	[78]	[4.611834]	[78]	[15527117]	[15527117]
345_10208	chr5	98928683	98929083	+	1000	116.0	[4.611834]	[92]	[4.611834]	[92]	[98928868]	[98928868]
345_10210	chr5	168693238	168693638	+	1000	116.0	[4.611834]	[142]	[5.088419]	[142]	[168693479]	[168693479]
345_10212	chr6	68723101	68723501	+	1000	116.0	[5.088419, 11.270045]	[95, 130]	[4.611834, 11.270045]	[95, 130]	[68723282, 68723317]	[68723282, 68723317]
345_10213	chr6	144468653	144469053	+	1000	116.0	[4.611834]	[85]	[9.465482]	[85]	[144468834]	[144468834]
345_10214	chr7	106482008	106482408	+	1000	116.0	[4.611834]	[110]	[4.611834]	[110]	[106482215]	[106482215]
345_10215	chr7	133082018	133082418	+	1000	116.0	[5.088419]	[100]	[4.611834]	[100]	[133082217]	[133082217]
345_10216	chr7	140006238	140006638	+	1000	116.0	[11.270045]	[103]	[11.270045]	[103]	[140006428]	[140006428]
345_10218	chr8	30421084	30421484	+	1000	116.0	[4.611834, 4.611834]	[110, 142]	[4.611834, 4.611834]	[110, 142]	[30421287, 30421319]	[30421287, 30421319]
345_10219	chr9	78021773	78022173	+	1000	116.0	[4.611834]	[149]	[4.611834]	[149]	[78022021]	[78022021]
345_10221	chr9	104982544	104982944	+	1000	116.0	[4.611834, 5.088419]	[53, 56]	[4.611834, 4.611834]	[53, 56]	[104982695, 104982698]	[104982695, 104982698]
345_10222	chr9	107945459	107945859	+	1000	116.0	[4.611834]	[111]	[4.611834]	[111]	[107945662]	[107945662]
345_10223	chr9	112184198	112184598	+	1000	116.0	[4.611834, 4.611834]	[117, 148]	[4.611834, 9.465482]	[117, 148]	[112184403, 112184434]	[112184403, 112184434]
345_10224	chr9	120507891	120508291	+	1000	116.0	[4.611834, 9.465482]	[66, 91]	[4.611834, 4.611834]	[66, 91]	[120508056, 120508081]	[120508056, 120508081]
345_10225	chrX	52270465	52270865	+	1000	116.0	[9.465482, 4.611834, 4.611834]	[64, 77, 121]	[4.611834, 4.611834, 4.611834]	[64, 77, 121]	[52270627, 52270640, 52270684]	[52270627, 52270640, 52270684]
345_10226	chrX	119411974	119412374	+	1000	116.0	[4.611834, 4.611834]	[116, 143]	[4.611834, 9.465482]	[116, 143]	[119412174, 119412201]	[119412174, 119412201]
345_10227	chr1	23342010	23342410	+	1000	115.0	[4.611834, 5.088419]	[98, 126]	[4.611834, 4.611834]	[98, 126]	[23342201, 23342229]	[23342201, 23342229]
345_10229	chr1	69528399	69528799	+	1000	115.0	[4.611834]	[94]	[4.611834]	[94]	[69528586]	[69528586]
345_1023	chr20	5675452	5675852	+	1000	541.0	[8.356634]	[97]	[4.611834]	[97]	[5675647]	[5675647]
345_10231	chr1	162561578	162561978	+	1000	115.0	[4.611834, 4.611834]	[81, 97]	[4.611834, 4.611834]	[81, 97]	[162561739, 162561755]	[162561739, 162561755]
345_10232	chr1	180923883	180924283	+	1000	115.0	[4.611834]	[100]	[5.088419]	[100]	[180924080]	[180924080]
345_10233	chr1	198167646	198168046	+	1000	115.0	[4.611834]	[139]	[9.465482]	[139]	[198167865]	[198167865]
345_10234	chr1	234612538	234612938	+	1000	115.0	[4.611834, 4.611834, 4.611834, 4.611834]	[80, 83, 89, 98]	[4.611834, 4.611834, 4.611834, 4.611834]	[80, 83, 89, 98]	[234612715, 234612718, 234612724, 234612733]	[234612715, 234612718, 234612724, 234612733]
345_10235	chr10	110275146	110275546	+	1000	115.0	[9.465482]	[92]	[4.611834]	[92]	[110275333]	[110275333]
345_10236	chr10	125799440	125799840	+	1000	115.0	[11.270045, 4.611834]	[113, 138]	[11.270045, 5.088419]	[113, 138]	[125799647, 125799672]	[125799647, 125799672]
345_10237	chr11	11843210	11843610	+	1000	115.0	[9.465482]	[125]	[4.611834]	[125]	[11843428]	[11843428]
345_10238	chr11	62436289	62436689	+	1000	115.0	[5.088419]	[130]	[4.611834]	[130]	[62436512]	[62436512]
345_10239	chr12	25245496	25245896	+	1000	115.0	[4.611834]	[103]	[4.611834]	[103]	[25245690]	[25245690]
345_1024	chr22	35211968	35212368	+	1000	541.0	[4.611834, 11.270045]	[132, 135]	[4.611834, 11.270045]	[132, 135]	[35212199, 35212202]	[35212199, 35212202]
