#PeakID(python identify_motif.py ./ENCODE_processed_files/MYC_idr.fa MYC --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
640_10123	chr2	74529025	74529425	+	1000	82.0	[7.3805842]	[123]	[9.081068, 9.081068]	[61, 143]	[74529242]	[74529180, 74529262]
640_10124	chr2	97112905	97113305	+	1000	82.0	[7.4328523]	[126]	[]	[]	[97113130]	[]
640_1014	chr3	141738274	141738674	+	1000	258.0	[9.081068, 7.5613456]	[86, 135]	[8.415787, 7.2921777]	[87, 100]	[141738457, 141738506]	[141738458, 141738471]
640_10143	chr22	23181809	23182209	+	1000	82.0	[8.415534]	[116]	[]	[]	[23182013]	[]
640_10150	chr3	45631516	45631916	+	1000	82.0	[12.820818]	[156]	[9.3206]	[157]	[45631766]	[45631767]
640_10152	chr3	72152778	72153178	+	1000	82.0	[9.081068, 7.4328523]	[116, 149]	[]	[]	[72152978, 72153011]	[]
640_10154	chr3	128496928	128497328	+	1000	82.0	[9.859796, 8.415534]	[99, 128]	[12.820818]	[100]	[128497118, 128497147]	[128497119]
640_10156	chr4	2462352	2462752	+	1000	82.0	[9.957076]	[126]	[9.859796]	[127]	[2462566]	[2462567]
640_10157	chr4	7068799	7069199	+	1000	82.0	[8.415534, 8.415534]	[122, 200]	[8.344066]	[201]	[7068965, 7069043]	[7069044]
640_10159	chr5	10734077	10734477	+	1000	82.0	[]	[]	[7.5613456]	[156]	[]	[10734319]
640_10163	chr5	168486288	168486688	+	1000	82.0	[]	[]	[7.3538165]	[115]	[]	[168486470]
640_1017	chr1	26500724	26501124	+	1000	257.0	[8.344066]	[169]	[]	[]	[26500969]	[]
640_10188	chr7	139916019	139916419	+	1000	82.0	[8.415787]	[68]	[]	[]	[139916178]	[]
640_10204	chr9	131274654	131275054	+	1000	82.0	[]	[]	[7.3984704, 7.3984704]	[130, 184]	[]	[131274837, 131274891]
640_10207	chrX	154799098	154799498	+	1000	82.0	[]	[]	[7.1483927]	[89]	[]	[154799283]
640_10214	chr1	40477142	40477542	+	1000	81.0	[8.415534]	[92]	[8.344066]	[93]	[40477333]	[40477334]
640_10215	chr1	44786056	44786456	+	1000	81.0	[]	[]	[8.334265]	[88]	[]	[44786243]
640_1022	chr6	145735414	145735814	+	1000	257.0	[9.859796]	[114]	[9.957076, 8.415534]	[115, 148]	[145735619]	[145735620, 145735653]
640_10232	chr1	232950439	232950839	+	1000	81.0	[]	[]	[8.415534]	[67]	[]	[232950603]
640_10234	chr1	244299391	244299791	+	1000	81.0	[8.334265]	[163]	[7.5613456]	[164]	[244299633]	[244299634]
640_1024	chr1	33036061	33036461	+	1000	256.0	[12.820818]	[89]	[9.859796]	[90]	[33036249]	[33036250]
640_10246	chr10	123007805	123008205	+	1000	81.0	[12.820818]	[93]	[12.820818]	[94]	[123007980]	[123007981]
640_1025	chr1	206635209	206635609	+	1000	256.0	[8.415534, 7.4328523]	[99, 117]	[8.344066]	[100]	[206635399, 206635417]	[206635400]
640_10252	chr11	67241049	67241449	+	1000	81.0	[12.820818]	[121]	[12.820818]	[122]	[67241254]	[67241255]
640_10259	chr12	63843766	63844166	+	1000	81.0	[8.415534]	[133]	[]	[]	[63843985]	[]
640_1026	chr10	102133474	102133874	+	1000	256.0	[12.820818, 12.820818, 12.820818]	[79, 124, 149]	[12.820818, 12.820818, 12.820818]	[80, 125, 150]	[102133643, 102133688, 102133713]	[102133644, 102133689, 102133714]
640_10260	chr12	88141787	88142187	+	1000	81.0	[8.344066]	[111]	[8.415534]	[112]	[88141993]	[88141994]
640_10262	chr12	101279983	101280383	+	1000	81.0	[9.957076]	[137]	[9.3206]	[138]	[101280155]	[101280156]
640_10270	chr13	41019123	41019523	+	1000	81.0	[7.3538165]	[140]	[]	[]	[41019361]	[]
640_1028	chr15	92904267	92904667	+	1000	256.0	[8.415534]	[70]	[]	[]	[92904434]	[]
640_10281	chr14	54676829	54677229	+	1000	81.0	[9.081068]	[114]	[]	[]	[54677026]	[]
640_10285	chr15	40894859	40895259	+	1000	81.0	[8.415534]	[95]	[]	[]	[40895053]	[]
640_10287	chr15	66294384	66294784	+	1000	81.0	[9.957076]	[111]	[9.957076]	[112]	[66294578]	[66294579]
640_10295	chr16	70113999	70114399	+	1000	81.0	[12.820818]	[74]	[12.820818]	[75]	[70114172]	[70114173]
640_103	chr1	156813759	156814159	+	1000	477.0	[12.820818]	[114]	[8.344066, 12.820818]	[88, 115]	[156813958]	[156813932, 156813959]
640_10307	chr19	2598956	2599356	+	1000	81.0	[12.820818]	[104]	[12.820818]	[105]	[2599159]	[2599160]
640_1031	chr2	206159927	206160327	+	1000	256.0	[12.820818]	[96]	[12.820818]	[97]	[206160116]	[206160117]
640_10311	chr19	41226132	41226532	+	1000	81.0	[12.820818, 7.5613456]	[83, 90]	[9.957076, 8.334265]	[84, 91]	[41226313, 41226320]	[41226314, 41226321]
640_10317	chr2	11465427	11465827	+	1000	81.0	[7.2921777, 9.957076]	[64, 116]	[9.3206]	[117]	[11465585, 11465637]	[11465638]
640_10319	chr2	43225772	43226172	+	1000	81.0	[9.859796]	[110]	[9.3206]	[111]	[43225981]	[43225982]
640_10320	chr2	46616757	46617157	+	1000	81.0	[7.981569]	[73]	[]	[]	[46616929]	[]
640_10328	chr2	110678007	110678407	+	1000	81.0	[]	[]	[7.4328523]	[116]	[]	[110678209]
640_10339	chr21	36661875	36662275	+	1000	81.0	[7.981569]	[123]	[]	[]	[36662093]	[]
640_10341	chr21	43864331	43864731	+	1000	81.0	[9.957076]	[118]	[12.820818]	[119]	[43864548]	[43864549]
640_10346	chr22	41447705	41448105	+	1000	81.0	[8.344066]	[111]	[8.415534]	[112]	[41447909]	[41447910]
640_1036	chr8	30743959	30744359	+	1000	256.0	[9.3206]	[166]	[12.820818]	[167]	[30744196]	[30744197]
640_10362	chr4	127782323	127782723	+	1000	81.0	[]	[]	[8.415534]	[129]	[]	[127782540]
640_10365	chr5	55712306	55712706	+	1000	81.0	[7.5613456]	[115]	[8.334265]	[116]	[55712506]	[55712507]
640_10374	chr6	25910276	25910676	+	1000	81.0	[]	[]	[7.4328523]	[98]	[]	[25910461]
640_10377	chr6	56955830	56956230	+	1000	81.0	[8.334265]	[102]	[7.5613456]	[103]	[56956013]	[56956014]
640_10379	chr6	108575830	108576230	+	1000	81.0	[]	[]	[9.081068]	[114]	[]	[108576042]
640_10381	chr6	135180717	135181117	+	1000	81.0	[]	[]	[8.415534]	[127]	[]	[135180930]
640_10385	chr7	4775385	4775785	+	1000	81.0	[9.957076, 9.3206]	[106, 138]	[9.3206, 9.3206]	[107, 139]	[4775585, 4775617]	[4775586, 4775618]
640_1039	chr1	23979827	23980227	+	1000	255.0	[8.344066, 8.344066]	[67, 106]	[8.415534, 8.415534]	[68, 107]	[23979982, 23980021]	[23979983, 23980022]
640_10392	chr7	130942092	130942492	+	1000	81.0	[]	[]	[7.5613456]	[126]	[]	[130942301]
640_10393	chr7	131327571	131327971	+	1000	81.0	[]	[]	[7.2921777]	[111]	[]	[131327725]
640_10394	chr7	150955209	150955609	+	1000	81.0	[7.3805842]	[104]	[7.981569]	[105]	[150955404]	[150955405]
640_10396	chr8	11802422	11802822	+	1000	81.0	[7.3805842]	[113]	[7.981569]	[114]	[11802633]	[11802634]
640_1040	chr1	36224732	36225132	+	1000	255.0	[]	[]	[8.415787]	[98]	[]	[36224922]
640_10406	chr9	129857137	129857537	+	1000	81.0	[9.957076, 8.415787]	[118, 138]	[9.957076]	[119]	[129857336, 129857356]	[129857337]
640_10410	chrX	53255750	53256150	+	1000	81.0	[9.081068]	[118]	[8.415787]	[119]	[53255955]	[53255956]
640_10411	chrX	65697838	65698238	+	1000	81.0	[8.415534]	[115]	[]	[]	[65698050]	[]
640_10418	chr1	59290162	59290562	+	1000	80.0	[8.334265, 9.859796]	[97, 121]	[9.859796]	[122]	[59290357, 59290381]	[59290382]
640_10427	chr1	183916062	183916462	+	1000	80.0	[9.3206]	[78]	[9.957076]	[79]	[183916219]	[183916220]
640_10429	chr1	209673320	209673720	+	1000	80.0	[12.820818]	[114]	[9.3206]	[115]	[209673508]	[209673509]
640_1043	chr17	78840622	78841022	+	1000	255.0	[9.859796]	[116]	[9.859796]	[117]	[78840835]	[78840836]
640_1044	chr17	82098968	82099368	+	1000	255.0	[12.820818, 8.334265]	[111, 141]	[12.820818, 7.5613456]	[112, 142]	[82099165, 82099195]	[82099166, 82099196]
640_10440	chr10	97689627	97690027	+	1000	80.0	[9.081068]	[117]	[]	[]	[97689842]	[]
640_10443	chr11	18012803	18013203	+	1000	80.0	[]	[]	[7.3984704]	[160]	[]	[18013047]
640_10446	chr11	66592659	66593059	+	1000	80.0	[8.334265]	[71]	[7.5613456]	[72]	[66592829]	[66592830]
640_10449	chr11	74459551	74459951	+	1000	80.0	[8.415787]	[136]	[]	[]	[74459778]	[]
640_10452	chr12	46371259	46371659	+	1000	80.0	[9.3206]	[74]	[9.3206]	[75]	[46371430]	[46371431]
640_10459	chr12	117100274	117100674	+	1000	80.0	[]	[]	[9.081068]	[140]	[]	[117100498]
640_10470	chr15	55290482	55290882	+	1000	80.0	[7.981569]	[142]	[7.3805842]	[143]	[55290706]	[55290707]
640_10471	chr15	74373632	74374032	+	1000	80.0	[8.415534]	[140]	[]	[]	[74373868]	[]
640_1048	chr5	112160726	112161126	+	1000	255.0	[8.415534]	[120]	[8.344066]	[121]	[112160935]	[112160936]
640_10481	chr17	39730308	39730708	+	1000	80.0	[9.957076]	[215]	[9.3206]	[216]	[39730547]	[39730548]
640_10485	chr17	47841163	47841563	+	1000	80.0	[8.334265]	[156]	[7.5613456]	[157]	[47841413]	[47841414]
640_10491	chr18	6682383	6682783	+	1000	80.0	[7.981569]	[141]	[7.3805842]	[142]	[6682621]	[6682622]
640_105	chr7	22854107	22854507	+	1000	477.0	[12.820818, 7.3984704]	[119, 138]	[12.820818]	[120]	[22854317, 22854336]	[22854318]
640_1050	chr1	235104206	235104606	+	1000	254.0	[]	[]	[8.415534]	[116]	[]	[235104421]
640_10500	chr19	29665058	29665458	+	1000	80.0	[8.415534]	[79]	[8.344066]	[80]	[29665227]	[29665228]
640_10504	chr19	58466770	58467170	+	1000	80.0	[12.820818]	[148]	[9.3206]	[149]	[58466989]	[58466990]
640_10505	chr2	8685010	8685410	+	1000	80.0	[7.5613456]	[169]	[8.334265]	[170]	[8685232]	[8685233]
640_10507	chr2	85952305	85952705	+	1000	80.0	[]	[]	[8.415787]	[112]	[]	[85952493]
640_10510	chr20	1965598	1965998	+	1000	80.0	[12.820818, 7.3805842]	[93, 142]	[12.820818, 7.981569]	[94, 143]	[1965776, 1965825]	[1965777, 1965826]
640_10519	chr22	41832568	41832968	+	1000	80.0	[]	[]	[8.334265]	[109]	[]	[41832762]
640_1052	chr14	24114791	24115191	+	1000	254.0	[12.820818]	[134]	[12.820818]	[135]	[24115017]	[24115018]
640_10520	chr22	43151697	43152097	+	1000	80.0	[8.415534]	[85]	[8.344066]	[86]	[43151882]	[43151883]
640_1053	chr16	53054686	53055086	+	1000	254.0	[12.820818]	[93]	[12.820818]	[94]	[53054876]	[53054877]
640_10531	chr4	6916584	6916984	+	1000	80.0	[]	[]	[7.4328523]	[149]	[]	[6916830]
640_10535	chr4	112348524	112348924	+	1000	80.0	[8.415787]	[137]	[9.081068]	[138]	[112348753]	[112348754]
640_1054	chr17	81821843	81822243	+	1000	254.0	[9.957076]	[110]	[12.820818]	[111]	[81822052]	[81822053]
640_10540	chr5	109689230	109689630	+	1000	80.0	[7.3538165]	[162]	[7.3805842]	[138]	[109689473]	[109689449]
640_1055	chr19	1269487	1269887	+	1000	254.0	[]	[]	[8.415534]	[143]	[]	[1269727]
640_10559	chr6	107114096	107114496	+	1000	80.0	[]	[]	[7.981569]	[71]	[]	[107114255]
640_1056	chr19	12933516	12933916	+	1000	254.0	[8.334265]	[65]	[]	[]	[12933678]	[]
640_10560	chr6	119349525	119349925	+	1000	80.0	[]	[]	[8.334265]	[63]	[]	[119349679]
640_10568	chr7	154677446	154677846	+	1000	80.0	[9.3206]	[98]	[9.859796, 7.3984704, 8.344066]	[99, 115, 127]	[154677631]	[154677632, 154677648, 154677660]
640_1057	chr20	21303122	21303522	+	1000	254.0	[9.957076]	[86]	[12.820818]	[87]	[21303302]	[21303303]
640_10578	chr9	113401307	113401707	+	1000	80.0	[7.3805842]	[115]	[7.981569]	[116]	[113401508]	[113401509]
640_10579	chr9	129110822	129111222	+	1000	80.0	[8.415787]	[87]	[]	[]	[129111008]	[]
640_1058	chr20	31547220	31547620	+	1000	254.0	[8.415534]	[92]	[8.344066]	[93]	[31547408]	[31547409]
640_10589	chrX	48696916	48697316	+	1000	80.0	[8.344066]	[157]	[]	[]	[48697158]	[]
640_1059	chr20	46089744	46090144	+	1000	254.0	[]	[]	[7.981569]	[103]	[]	[46089934]
640_10591	chrX	130060116	130060516	+	1000	80.0	[8.415534]	[115]	[]	[]	[130060326]	[]
640_10596	chr1	24416399	24416799	+	1000	79.0	[12.820818]	[117]	[9.957076]	[118]	[24416607]	[24416608]
640_106	chr1	222465421	222465821	+	1000	474.0	[9.859796]	[112]	[12.820818]	[113]	[222465627]	[222465628]
640_1061	chr4	173168005	173168405	+	1000	254.0	[12.820818]	[84]	[12.820818]	[85]	[173168187]	[173168188]
640_10610	chr1	162560897	162561297	+	1000	79.0	[8.415534]	[133]	[8.344066]	[134]	[162561127]	[162561128]
640_10627	chr11	62556483	62556883	+	1000	79.0	[7.3538165, 8.415534]	[88, 138]	[8.344066]	[139]	[62556649, 62556699]	[62556700]
640_1063	chr1	203007032	203007432	+	1000	253.0	[8.334265]	[121]	[7.981569, 7.5613456]	[73, 122]	[203007247]	[203007199, 203007248]
640_10631	chr11	75105389	75105789	+	1000	79.0	[]	[]	[7.981569]	[133]	[]	[75105584]
640_10633	chr11	76783503	76783903	+	1000	79.0	[9.859796]	[59]	[9.957076]	[60]	[76783658]	[76783659]
640_10646	chr12	122023304	122023704	+	1000	79.0	[12.820818]	[130]	[9.957076]	[131]	[122023530]	[122023531]
640_10653	chr15	27970658	27971058	+	1000	79.0	[]	[]	[9.081068, 7.1483927]	[129, 156]	[]	[27970854, 27970881]
640_10660	chr16	951733	952133	+	1000	79.0	[9.957076]	[152]	[12.820818]	[153]	[951963]	[951964]
640_10666	chr16	47461910	47462310	+	1000	79.0	[7.3538165]	[96]	[]	[]	[47462087]	[]
640_10667	chr16	56356388	56356788	+	1000	79.0	[8.334265]	[110]	[7.5613456]	[111]	[56356586]	[56356587]
640_1067	chr14	20455019	20455419	+	1000	253.0	[9.3206, 12.820818]	[64, 85]	[9.3206, 12.820818]	[65, 86]	[20455181, 20455202]	[20455182, 20455203]
640_10678	chr17	62965640	62966040	+	1000	79.0	[9.957076]	[110]	[9.3206]	[111]	[62965842]	[62965843]
640_10682	chr17	79811326	79811726	+	1000	79.0	[]	[]	[8.334265, 8.344066]	[145, 156]	[]	[79811560, 79811571]
640_10684	chr18	55731508	55731908	+	1000	79.0	[12.820818]	[89]	[12.820818]	[90]	[55731692]	[55731693]
640_10687	chr19	2475770	2476170	+	1000	79.0	[12.820818]	[100]	[12.820818]	[101]	[2475958]	[2475959]
640_1069	chr15	65862618	65863018	+	1000	253.0	[]	[]	[9.081068]	[125]	[]	[65862836]
640_107	chr19	5790630	5791030	+	1000	474.0	[8.334265, 9.957076]	[91, 107]	[12.820818]	[108]	[5790815, 5790831]	[5790832]
640_1070	chr16	2817438	2817838	+	1000	253.0	[9.957076]	[104]	[12.820818]	[105]	[2817635]	[2817636]
640_10709	chr2	199851088	199851488	+	1000	79.0	[12.820818]	[115]	[9.957076]	[116]	[199851274]	[199851275]
640_1072	chr17	64006651	64007051	+	1000	253.0	[12.820818]	[92]	[9.957076]	[93]	[64006842]	[64006843]
640_10726	chr3	4989000	4989400	+	1000	79.0	[12.820818]	[96]	[12.820818]	[97]	[4989189]	[4989190]
640_10728	chr3	15630119	15630519	+	1000	79.0	[]	[]	[7.3538165]	[85]	[]	[15630302]
640_1073	chr17	75131373	75131773	+	1000	253.0	[9.957076]	[136]	[9.957076]	[137]	[75131599]	[75131600]
640_10731	chr3	47802896	47803296	+	1000	79.0	[7.4328523]	[115]	[]	[]	[47803096]	[]
640_10736	chr3	136135046	136135446	+	1000	79.0	[]	[]	[8.415787]	[129]	[]	[136135273]
640_1074	chr2	127700514	127700914	+	1000	253.0	[]	[]	[7.5613456]	[147]	[]	[127700746]
640_10741	chr4	3955706	3956106	+	1000	79.0	[9.957076]	[129]	[12.820818]	[130]	[3955925]	[3955926]
640_10744	chr5	6759339	6759739	+	1000	79.0	[12.820818]	[89]	[12.820818]	[90]	[6759521]	[6759522]
640_10746	chr5	98928034	98928434	+	1000	79.0	[12.820818]	[87]	[9.957076]	[88]	[98928200]	[98928201]
640_10748	chr5	163503050	163503450	+	1000	79.0	[9.081068]	[63]	[8.415787]	[64]	[163503207]	[163503208]
640_10749	chr5	172789200	172789600	+	1000	79.0	[8.415787]	[127]	[]	[]	[172789383]	[]
640_10752	chr5	180611090	180611490	+	1000	79.0	[8.415787]	[95]	[9.081068]	[96]	[180611283]	[180611284]
640_10757	chr6	14743962	14744362	+	1000	79.0	[9.081068]	[137]	[7.3538165]	[95]	[14744197]	[14744155]
640_10763	chr6	47478409	47478809	+	1000	79.0	[7.981569]	[103]	[7.3805842]	[104]	[47478610]	[47478611]
640_10767	chr6	143060149	143060549	+	1000	79.0	[7.1483927]	[100]	[7.3984704]	[130]	[143060336]	[143060366]
640_10769	chr6	155085595	155085995	+	1000	79.0	[9.859796]	[144]	[12.820818]	[145]	[155085829]	[155085830]
640_10771	chr7	25495320	25495720	+	1000	79.0	[9.081068]	[82]	[]	[]	[25495478]	[]
640_10776	chr7	76178083	76178483	+	1000	79.0	[7.3805842]	[56]	[7.981569]	[57]	[76178235]	[76178236]
640_1078	chr8	143596983	143597383	+	1000	253.0	[12.820818, 7.3538165]	[71, 109]	[12.820818, 7.3538165]	[72, 119]	[143597146, 143597184]	[143597147, 143597194]
640_10783	chr7	140517898	140518298	+	1000	79.0	[7.5613456]	[98]	[8.334265]	[99]	[140518089]	[140518090]
640_10792	chr8	144463917	144464317	+	1000	79.0	[]	[]	[8.334265]	[55]	[]	[144464070]
640_10797	chr9	129895469	129895869	+	1000	79.0	[12.820818]	[129]	[9.3206]	[130]	[129895690]	[129895691]
640_108	chr4	56436226	56436626	+	1000	474.0	[12.820818, 9.859796]	[65, 133]	[9.957076, 12.820818]	[66, 134]	[56436390, 56436458]	[56436391, 56436459]
640_10804	chr1	11761892	11762292	+	1000	78.0	[9.957076, 12.820818]	[90, 114]	[9.957076, 9.957076]	[91, 115]	[11762056, 11762080]	[11762057, 11762081]
640_10815	chr1	156750858	156751258	+	1000	78.0	[]	[]	[8.415534]	[115]	[]	[156751057]
640_10818	chr1	204320485	204320885	+	1000	78.0	[8.415787, 12.820818]	[88, 123]	[9.081068, 9.957076]	[89, 124]	[204320672, 204320707]	[204320673, 204320708]
640_10821	chr1	235503583	235503983	+	1000	78.0	[]	[]	[7.981569]	[160]	[]	[235503809]
640_10825	chr10	70477694	70478094	+	1000	78.0	[9.957076]	[144]	[12.820818]	[145]	[70477937]	[70477938]
640_10829	chr11	297703	298103	+	1000	78.0	[9.859796]	[102]	[12.820818]	[103]	[297901]	[297902]
640_10838	chr11	75350639	75351039	+	1000	78.0	[9.081068]	[123]	[8.415787]	[124]	[75350839]	[75350840]
640_10845	chr12	57590961	57591361	+	1000	78.0	[9.3206]	[136]	[9.3206]	[137]	[57591194]	[57591195]
640_10847	chr12	121089366	121089766	+	1000	78.0	[]	[]	[8.334265]	[140]	[]	[121089598]
640_10852	chr14	30874165	30874565	+	1000	78.0	[7.5613456]	[103]	[7.3984704, 8.334265]	[63, 104]	[30874362]	[30874322, 30874363]
640_10856	chr15	43221135	43221535	+	1000	78.0	[9.859796]	[129]	[9.957076]	[130]	[43221362]	[43221363]
640_1086	chr10	73744057	73744457	+	1000	252.0	[]	[]	[7.2921777]	[142]	[]	[73744299]
640_10860	chr15	83559333	83559733	+	1000	78.0	[8.415787]	[74]	[]	[]	[83559503]	[]
640_10863	chr15	90241482	90241882	+	1000	78.0	[]	[]	[7.3805842]	[104]	[]	[90241684]
640_10871	chr16	88686436	88686836	+	1000	78.0	[7.4328523]	[156]	[8.344066]	[134]	[88686662]	[88686640]
640_10877	chr17	32111365	32111765	+	1000	78.0	[]	[]	[8.334265]	[64]	[]	[32111522]
640_10883	chr17	49760888	49761288	+	1000	78.0	[]	[]	[7.981569]	[76]	[]	[49761063]
640_10893	chr19	13013264	13013664	+	1000	78.0	[12.820818]	[99]	[9.957076]	[100]	[13013456]	[13013457]
640_10896	chr19	38850670	38851070	+	1000	78.0	[9.081068]	[133]	[]	[]	[38850903]	[]
640_1090	chr17	76385794	76386194	+	1000	252.0	[8.415534]	[128]	[7.2921777]	[64]	[76386019]	[76385955]
640_10905	chr2	112646228	112646628	+	1000	78.0	[12.820818]	[108]	[9.957076]	[109]	[112646408]	[112646409]
640_10907	chr2	219498692	219499092	+	1000	78.0	[9.859796]	[102]	[9.957076]	[103]	[219498878]	[219498879]
640_10925	chr22	30423957	30424357	+	1000	78.0	[7.3538165]	[147]	[]	[]	[30424161]	[]
640_10940	chr4	687174	687574	+	1000	78.0	[7.4328523]	[153]	[]	[]	[687415]	[]
640_10943	chr4	86936048	86936448	+	1000	78.0	[7.3538165, 7.4328523]	[52, 133]	[7.3984704]	[134]	[86936199, 86936280]	[86936281]
640_10944	chr4	103198248	103198648	+	1000	78.0	[7.981569, 12.820818]	[121, 143]	[9.957076]	[144]	[103198445, 103198467]	[103198468]
640_10945	chr4	118836399	118836799	+	1000	78.0	[9.957076]	[106]	[9.859796]	[107]	[118836569]	[118836570]
640_1095	chrX	14029732	14030132	+	1000	252.0	[9.859796]	[85]	[12.820818]	[86]	[14029915]	[14029916]
640_10950	chr5	34007696	34008096	+	1000	78.0	[8.344066]	[154]	[]	[]	[34007917]	[]
640_10955	chr5	132315399	132315799	+	1000	78.0	[8.415787]	[111]	[8.415787]	[102]	[132315608]	[132315599]
640_10957	chr5	140557272	140557672	+	1000	78.0	[]	[]	[8.415534]	[151]	[]	[140557505]
640_10959	chr5	154405171	154405571	+	1000	78.0	[8.415534]	[84]	[8.344066]	[85]	[154405351]	[154405352]
640_1096	chr10	103396508	103396908	+	1000	251.0	[8.415534]	[70]	[]	[]	[103396669]	[]
640_10961	chr6	7590027	7590427	+	1000	78.0	[8.334265]	[158]	[]	[]	[7590273]	[]
640_10978	chr8	965718	966118	+	1000	78.0	[]	[]	[8.415787]	[92]	[]	[965895]
640_10981	chr8	97645432	97645832	+	1000	78.0	[12.820818]	[159]	[9.859796]	[160]	[97645678]	[97645679]
640_10984	chr9	14322868	14323268	+	1000	78.0	[7.1483927, 7.1483927]	[91, 119]	[]	[]	[14323051, 14323079]	[]
640_1099	chr2	75710506	75710906	+	1000	251.0	[7.3805842, 8.334265]	[73, 107]	[7.981569]	[74]	[75710659, 75710693]	[75710660]
640_10994	chrX	107205838	107206238	+	1000	78.0	[8.334265, 9.859796]	[62, 118]	[9.859796, 8.344066]	[119, 132]	[107205995, 107206051]	[107206052, 107206065]
640_11	chr1	32817150	32817550	+	1000	719.0	[8.415534]	[63]	[]	[]	[32817312]	[]
640_1100	chr5	69369308	69369708	+	1000	251.0	[9.3206]	[119]	[9.957076]	[120]	[69369523]	[69369524]
640_11007	chr1	116418386	116418786	+	1000	77.0	[]	[]	[8.334265]	[110]	[]	[116418568]
