#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2F6_idr.fa NR2F6 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
681_1008	chr19	40523231	40523631	+	1000	91.0	[15.375314]	[87]	[]	[]	[40523406]	[]
681_10081	chr1	124012578	124012978	+	1000	36.0	[8.589731]	[148]	[7.1030235]	[141]	[124012822]	[124012815]
681_10084	chr1	146376698	146377098	+	1000	36.0	[10.225179]	[179]	[]	[]	[146376889]	[]
681_10085	chr1	149927581	149927981	+	900	36.0	[10.016101]	[162]	[]	[]	[149927803]	[]
681_10086	chr1	155091289	155091689	+	1000	36.0	[]	[]	[10.621305, 10.822892]	[96, 132]	[]	[155091459, 155091495]
681_10089	chr1	179037991	179038391	+	1000	36.0	[]	[]	[10.016101]	[143]	[]	[179038191]
681_1009	chr2	47273138	47273538	+	1000	91.0	[10.400684, 9.6081915]	[128, 137]	[10.400684]	[73]	[47273358, 47273367]	[47273303]
681_10093	chr1	184773762	184774162	+	1000	36.0	[13.574681]	[67]	[12.716828]	[136]	[184773926]	[184773995]
681_10098	chr1	202161039	202161439	+	1000	36.0	[]	[]	[7.3564353, 7.608377]	[70, 156]	[]	[202161201, 202161287]
681_10099	chr1	202553578	202553978	+	1000	36.0	[10.466044]	[132]	[]	[]	[202553759]	[]
681_1010	chr2	73971008	73971408	+	1000	91.0	[7.96282, 10.016101, 7.881086]	[120, 126, 136]	[]	[]	[73971194, 73971200, 73971210]	[]
681_10101	chr1	205141697	205142097	+	1000	36.0	[8.780026]	[193]	[]	[]	[205141944]	[]
681_10110	chr1	211614668	211615068	+	862	36.0	[10.016101]	[134]	[]	[]	[211614865]	[]
681_10113	chr1	228174688	228175088	+	1000	36.0	[]	[]	[7.2750764]	[128]	[]	[228174879]
681_10118	chr1	234755326	234755726	+	1000	36.0	[10.185661]	[121]	[]	[]	[234755527]	[]
681_1012	chr3	14947406	14947806	+	1000	91.0	[12.623525]	[143]	[7.5666924]	[127]	[14947648]	[14947632]
681_10121	chr10	5478246	5478646	+	1000	36.0	[8.780026]	[99]	[]	[]	[5478406]	[]
681_10123	chr10	7408458	7408858	+	1000	36.0	[8.66444]	[85]	[]	[]	[7408636]	[]
681_10124	chr10	11704106	11704506	+	1000	36.0	[7.1165414, 12.716828]	[95, 103]	[]	[]	[11704263, 11704271]	[]
681_10126	chr10	23051843	23052243	+	825	36.0	[]	[]	[9.408441]	[157]	[]	[23052068]
681_10127	chr10	24951769	24952169	+	1000	36.0	[]	[]	[11.2237425]	[97]	[]	[24951947]
681_10128	chr10	38529112	38529512	+	1000	36.0	[7.0928655]	[136]	[]	[]	[38529311]	[]
681_1013	chr3	28348521	28348921	+	1000	91.0	[]	[]	[10.225179]	[86]	[]	[28348691]
681_10131	chr10	45582008	45582408	+	1000	36.0	[13.574681, 7.3238416]	[137, 144]	[]	[]	[45582188, 45582195]	[]
681_10135	chr10	70331371	70331771	+	1000	36.0	[8.514302]	[95]	[7.8524485]	[129]	[70331545]	[70331579]
681_10136	chr10	70888055	70888455	+	1000	36.0	[]	[]	[7.5666924]	[135]	[]	[70888286]
681_10138	chr10	71582036	71582436	+	1000	36.0	[11.258537]	[96]	[]	[]	[71582223]	[]
681_1014	chr3	44400768	44401168	+	1000	91.0	[]	[]	[8.780026]	[138]	[]	[44400994]
681_10145	chr10	79129652	79130052	+	1000	36.0	[]	[]	[12.623525]	[124]	[]	[79129857]
681_10148	chr11	2399958	2400358	+	1000	36.0	[]	[]	[7.1881423]	[186]	[]	[2400183]
681_10150	chr11	10490665	10491065	+	697	36.0	[8.423179]	[116]	[]	[]	[10490818]	[]
681_10152	chr11	31815130	31815530	+	1000	36.0	[9.540887]	[99]	[8.028181, 6.8722434]	[120, 152]	[31815318]	[31815339, 31815371]
681_10153	chr11	32893124	32893524	+	1000	36.0	[]	[]	[6.8722434]	[114]	[]	[32893325]
681_10154	chr11	34599783	34600183	+	959	36.0	[]	[]	[8.565256]	[139]	[]	[34599994]
681_10155	chr11	46243487	46243887	+	1000	36.0	[7.375241]	[195]	[]	[]	[46243696]	[]
681_10157	chr11	57167113	57167513	+	1000	36.0	[]	[]	[11.8274975, 11.2237425, 8.514302]	[126, 133, 142]	[]	[57167339, 57167346, 57167355]
681_10158	chr11	57353796	57354196	+	907	36.0	[12.02581]	[226]	[15.375314]	[197]	[57354027]	[57353998]
681_10163	chr11	66370938	66371338	+	1000	36.0	[]	[]	[7.473389, 6.9631176]	[149, 195]	[]	[66371134, 66371180]
681_10168	chr11	68213678	68214078	+	1000	36.0	[]	[]	[6.917256]	[116]	[]	[68213852]
681_10171	chr11	82981873	82982273	+	1000	36.0	[]	[]	[8.423179]	[136]	[]	[82982062]
681_10175	chr11	118907012	118907412	+	1000	36.0	[]	[]	[7.695302]	[91]	[]	[118907202]
681_10177	chr11	125070671	125071071	+	884	36.0	[10.916196]	[122]	[]	[]	[125070884]	[]
681_10180	chr12	22046700	22047100	+	1000	36.0	[9.064944]	[90]	[]	[]	[22046865]	[]
681_10181	chr12	31370775	31371175	+	922	36.0	[]	[]	[9.274022]	[119]	[]	[31370989]
681_10184	chr12	44948722	44949122	+	884	36.0	[10.026865]	[131]	[]	[]	[44948934]	[]
681_10186	chr12	53180438	53180838	+	1000	36.0	[]	[]	[6.8441687]	[65]	[]	[53180591]
681_10187	chr12	53345217	53345617	+	1000	36.0	[7.415039]	[156]	[]	[]	[53345437]	[]
681_10188	chr12	53727185	53727585	+	1000	36.0	[7.563146]	[182]	[]	[]	[53727429]	[]
681_1019	chr7	150324672	150325072	+	1000	91.0	[10.903682, 7.900682]	[108, 124]	[]	[]	[150324877, 150324893]	[]
681_10191	chr12	54641058	54641458	+	1000	36.0	[]	[]	[15.375314, 7.2561]	[137, 159]	[]	[54641237, 54641259]
681_10192	chr12	56116410	56116810	+	1000	36.0	[]	[]	[6.917256]	[111]	[]	[56116562]
681_10193	chr12	56333657	56334057	+	1000	36.0	[]	[]	[12.02581]	[67]	[]	[56333814]
681_1020	chr8	23022720	23023120	+	1000	91.0	[]	[]	[11.8274975]	[136]	[]	[23022940]
681_10200	chr12	122422811	122423211	+	1000	36.0	[]	[]	[6.9654317]	[182]	[]	[122423059]
681_10206	chr13	80777408	80777808	+	1000	36.0	[]	[]	[7.145733, 9.066098, 15.375314]	[157, 191, 198]	[]	[80777595, 80777629, 80777636]
681_10207	chr13	89811990	89812390	+	1000	36.0	[9.188388]	[72]	[]	[]	[89812151]	[]
681_1021	chr9	76362522	76362922	+	1000	91.0	[8.66444]	[80]	[]	[]	[76362696]	[]
681_10214	chr13	91331519	91331919	+	1000	36.0	[7.145733]	[99]	[]	[]	[91331708]	[]
681_10219	chr13	92293935	92294335	+	638	36.0	[7.3238416]	[221]	[]	[]	[92294165]	[]
681_10223	chr13	93321640	93322040	+	1000	36.0	[8.317622]	[72]	[]	[]	[93321807]	[]
681_10224	chr13	93335504	93335904	+	1000	36.0	[8.780026]	[144]	[]	[]	[93335730]	[]
681_10231	chr13	113219505	113219905	+	824	36.0	[11.531816]	[149]	[]	[]	[113219745]	[]
681_10235	chr14	105487659	105488059	+	1000	36.0	[7.6651616, 8.182312]	[106, 125]	[]	[]	[105487848, 105487867]	[]
681_10238	chr15	30991922	30992322	+	1000	36.0	[]	[]	[7.563146, 10.225179]	[154, 171]	[]	[30992123, 30992140]
681_10239	chr15	40279392	40279792	+	749	36.0	[]	[]	[9.625627]	[165]	[]	[40279580]
681_1024	chr1	39799661	39800061	+	1000	90.0	[13.574681]	[141]	[]	[]	[39799893]	[]
681_10245	chr15	60478681	60479081	+	1000	36.0	[]	[]	[8.718861]	[126]	[]	[60478841]
681_10248	chr15	67840369	67840769	+	1000	36.0	[8.46723]	[191]	[]	[]	[67840584]	[]
681_10249	chr15	74425691	74426091	+	1000	36.0	[9.6081915, 9.6081915]	[80, 123]	[]	[]	[74425866, 74425909]	[]
681_10253	chr15	90598042	90598442	+	1000	36.0	[]	[]	[7.881086]	[144]	[]	[90598274]
681_10255	chr15	96158860	96159260	+	1000	36.0	[]	[]	[13.574681]	[121]	[]	[96159062]
681_10257	chr15	101731760	101732160	+	1000	36.0	[7.294452]	[89]	[]	[]	[101731931]	[]
681_10258	chr16	358964	359364	+	1000	36.0	[]	[]	[10.225179, 12.02581, 9.188388]	[120, 127, 141]	[]	[359170, 359177, 359191]
681_1026	chr10	71638676	71639076	+	1000	90.0	[9.274022]	[70]	[]	[]	[71638842]	[]
681_10263	chr16	3717499	3717899	+	1000	36.0	[12.716828]	[132]	[]	[]	[3717715]	[]
681_10266	chr16	14485301	14485701	+	1000	36.0	[]	[]	[13.05917]	[116]	[]	[14485460]
681_10268	chr16	15521424	15521824	+	1000	36.0	[11.136818, 10.225179]	[138, 204]	[]	[]	[15521597, 15521663]	[]
681_10269	chr16	30669599	30669999	+	938	36.0	[]	[]	[10.016101, 13.574681]	[71, 152]	[]	[30669761, 30669842]
681_1027	chr11	66257095	66257495	+	1000	90.0	[7.5666924]	[68]	[]	[]	[66257261]	[]
681_10270	chr16	30949121	30949521	+	1000	36.0	[7.7873144]	[116]	[]	[]	[30949330]	[]
681_10272	chr16	67028616	67029016	+	1000	36.0	[]	[]	[9.530729]	[239]	[]	[67028864]
681_10274	chr16	69311185	69311585	+	1000	36.0	[7.3683796]	[139]	[]	[]	[69311349]	[]
681_10278	chr16	85402997	85403397	+	936	36.0	[]	[]	[7.2750764]	[130]	[]	[85403224]
681_1028	chr11	74019248	74019648	+	1000	90.0	[13.05917]	[74]	[8.115106]	[139]	[74019416]	[74019481]
681_10284	chr16	88856007	88856407	+	1000	36.0	[6.9523535, 11.531816]	[82, 98]	[8.274998]	[119]	[88856187, 88856203]	[88856224]
681_10288	chr17	7156314	7156714	+	1000	36.0	[8.385029, 15.375314]	[93, 139]	[]	[]	[7156480, 7156526]	[]
681_10289	chr17	16216975	16217375	+	1000	36.0	[]	[]	[7.051181]	[101]	[]	[16217173]
681_1029	chr12	69657737	69658137	+	1000	90.0	[9.188388]	[136]	[]	[]	[69657963]	[]
681_10291	chr17	28925062	28925462	+	1000	36.0	[9.6081915]	[76]	[]	[]	[28925217]	[]
681_10292	chr17	31525352	31525752	+	975	36.0	[10.225179]	[120]	[7.0178723]	[153]	[31525550]	[31525583]
681_10294	chr17	39152916	39153316	+	1000	36.0	[]	[]	[8.600052]	[185]	[]	[39153139]
681_10295	chr17	40100881	40101281	+	1000	36.0	[7.807559]	[102]	[]	[]	[40101064]	[]
681_10298	chr17	40560263	40560663	+	994	36.0	[7.417145]	[70]	[]	[]	[40560431]	[]
681_103	chr10	78256203	78256603	+	1000	227.0	[]	[]	[10.400684, 6.907464]	[88, 146]	[]	[78256383, 78256441]
681_10302	chr17	45252573	45252973	+	583	36.0	[9.28672, 8.738236]	[79, 86]	[]	[]	[45252743, 45252750]	[]
681_10304	chr17	46279857	46280257	+	1000	36.0	[]	[]	[9.693964]	[122]	[]	[46280009]
681_10309	chr17	59964381	59964781	+	1000	36.0	[6.7890983]	[126]	[]	[]	[59964604]	[]
681_1031	chr19	48873453	48873853	+	1000	90.0	[]	[]	[7.710721]	[81]	[]	[48873614]
681_10311	chr17	60392047	60392447	+	1000	36.0	[]	[]	[8.182312, 7.3877554]	[114, 129]	[]	[60392256, 60392271]
681_10317	chr17	78137554	78137954	+	1000	36.0	[8.003375]	[222]	[]	[]	[78137781]	[]
681_10318	chr17	79803058	79803458	+	1000	36.0	[]	[]	[7.309482]	[87]	[]	[79803216]
681_10319	chr17	80989137	80989537	+	1000	36.0	[]	[]	[7.060183]	[162]	[]	[80989318]
681_1032	chr2	144371188	144371588	+	1000	90.0	[8.471953]	[151]	[7.3851705, 12.623525, 9.409009]	[75, 127, 134]	[144371416]	[144371340, 144371392, 144371399]
681_10320	chr17	81129268	81129668	+	767	36.0	[13.574681]	[160]	[]	[]	[81129516]	[]
681_10321	chr17	82368046	82368446	+	1000	36.0	[7.6651616]	[140]	[]	[]	[82368272]	[]
681_10322	chr17_GL000205v2_random	39231	39631	+	1000	36.0	[8.176768]	[140]	[]	[]	[39464]	[]
681_10325	chr18	3665750	3666150	+	1000	36.0	[6.8738375]	[86]	[]	[]	[3665924]	[]
681_10326	chr18	12879034	12879434	+	1000	36.0	[7.699957]	[102]	[]	[]	[12879231]	[]
681_10328	chr19	2057393	2057793	+	1000	36.0	[]	[]	[6.9793944, 7.6564493]	[134, 170]	[]	[2057563, 2057599]
681_10329	chr19	3451349	3451749	+	826	36.0	[]	[]	[10.016101]	[110]	[]	[3451548]
681_1033	chr21	39004016	39004416	+	1000	90.0	[]	[]	[13.05917]	[138]	[]	[39004226]
681_10335	chr19	8580730	8581130	+	955	36.0	[7.2561]	[139]	[]	[]	[8580951]	[]
681_1034	chr22	19892186	19892586	+	1000	90.0	[]	[]	[10.046241]	[115]	[]	[19892399]
681_10343	chr19	18280374	18280774	+	1000	36.0	[6.904866]	[170]	[]	[]	[18280568]	[]
681_10344	chr19	21197629	21198029	+	1000	36.0	[9.965039]	[80]	[]	[]	[21197808]	[]
681_10346	chr19	34173239	34173639	+	1000	36.0	[15.375314]	[146]	[]	[]	[34173480]	[]
681_10349	chr19	37654932	37655332	+	1000	36.0	[8.514302]	[146]	[]	[]	[37655096]	[]
681_1035	chr22	20885382	20885782	+	1000	90.0	[]	[]	[6.7890983]	[158]	[]	[20885553]
681_10350	chr19	39409369	39409769	+	992	36.0	[]	[]	[7.264312]	[122]	[]	[39409574]
681_10353	chr19	43784391	43784791	+	1000	36.0	[6.9654317]	[154]	[]	[]	[43784631]	[]
681_10356	chr19	45669248	45669648	+	993	36.0	[9.965039]	[181]	[]	[]	[45669453]	[]
681_10358	chr19	47112186	47112586	+	1000	36.0	[8.9727955]	[142]	[]	[]	[47112420]	[]
681_1036	chr3	39101089	39101489	+	1000	90.0	[]	[]	[10.026865]	[108]	[]	[39101296]
681_10366	chr19	56121100	56121500	+	1000	36.0	[8.780026]	[169]	[]	[]	[56121295]	[]
681_10368	chr2	677477	677877	+	1000	36.0	[]	[]	[9.274022]	[215]	[]	[677707]
681_10369	chr2	8894228	8894628	+	791	36.0	[]	[]	[7.3802443]	[68]	[]	[8894381]
681_1037	chr5	68419640	68420040	+	1000	90.0	[9.540887]	[97]	[]	[]	[68419822]	[]
681_10373	chr2	24010387	24010787	+	1000	36.0	[7.3877554]	[98]	[]	[]	[24010573]	[]
681_10376	chr2	42828857	42829257	+	1000	36.0	[7.294452]	[128]	[]	[]	[42829064]	[]
681_10377	chr2	43179049	43179449	+	1000	36.0	[6.7671185]	[109]	[]	[]	[43179224]	[]
681_10378	chr2	43773899	43774299	+	1000	36.0	[9.445466]	[126]	[]	[]	[43774110]	[]
681_10379	chr2	44361740	44362140	+	1000	36.0	[]	[]	[7.2529516]	[124]	[]	[44361919]
681_1038	chr6	26475121	26475521	+	1000	90.0	[9.110114]	[131]	[]	[]	[26475319]	[]
681_10384	chr2	69939684	69940084	+	1000	36.0	[]	[]	[11.816733, 12.93745]	[119, 126]	[]	[69939900, 69939907]
681_10388	chr2	96208796	96209196	+	1000	36.0	[8.182312]	[146]	[]	[]	[96209024]	[]
681_10391	chr2	112626529	112626929	+	993	36.0	[]	[]	[10.026865]	[85]	[]	[112626702]
681_10392	chr2	113012772	113013172	+	1000	36.0	[]	[]	[7.415039]	[104]	[]	[113012963]
681_10396	chr2	131104399	131104799	+	1000	36.0	[]	[]	[10.016101, 6.8528676]	[122, 153]	[]	[131104573, 131104604]
681_10397	chr2	134683592	134683992	+	1000	36.0	[7.96282]	[147]	[8.718861]	[101]	[134683828]	[134683782]
681_10398	chr2	134773922	134774322	+	860	36.0	[]	[]	[7.415039]	[148]	[]	[134774169]
681_10399	chr2	156400913	156401313	+	1000	36.0	[12.93745]	[117]	[]	[]	[156401091]	[]
681_104	chr12	70243185	70243585	+	1000	227.0	[]	[]	[8.19479]	[126]	[]	[70243405]
681_1040	chr8	28390174	28390574	+	1000	90.0	[7.7937036, 10.466044]	[75, 82]	[10.225179]	[116]	[28390343, 28390350]	[28390384]
681_10403	chr2	180056496	180056896	+	1000	36.0	[8.718861, 7.415039]	[124, 132]	[]	[]	[180056701, 180056709]	[]
681_10404	chr2	218694452	218694852	+	1000	36.0	[]	[]	[8.514302]	[116]	[]	[218694631]
681_10409	chr20	38109859	38110259	+	853	36.0	[]	[]	[9.965039]	[113]	[]	[38110069]
681_1041	chr8	28889674	28890074	+	1000	90.0	[10.314935, 10.026865, 8.565256]	[74, 81, 88]	[]	[]	[28889838, 28889845, 28889852]	[]
681_10411	chr20	48126177	48126577	+	989	36.0	[12.02581, 8.785878]	[119, 126]	[]	[]	[48126360, 48126367]	[]
681_10412	chr20	49279234	49279634	+	1000	36.0	[]	[]	[10.016101]	[124]	[]	[49279407]
681_10413	chr20	51541887	51542287	+	991	36.0	[]	[]	[6.9376044]	[92]	[]	[51542054]
681_10414	chr20	53623783	53624183	+	1000	36.0	[13.574681]	[124]	[8.767773]	[92]	[53624005]	[53623973]
681_10415	chr20	60589602	60590002	+	1000	36.0	[]	[]	[7.417145, 7.417145]	[106, 133]	[]	[60589801, 60589828]
681_10416	chr20	61951946	61952346	+	1000	36.0	[6.9793944]	[145]	[]	[]	[61952174]	[]
681_10418	chr20	64223331	64223731	+	1000	36.0	[7.702022]	[189]	[]	[]	[64223562]	[]
681_1042	chr8	74337430	74337830	+	1000	90.0	[10.016101]	[118]	[13.574681]	[157]	[74337629]	[74337668]
681_10426	chr22	19014189	19014589	+	1000	36.0	[12.266677]	[108]	[]	[]	[19014367]	[]
681_10427	chr22	19214061	19214461	+	1000	36.0	[]	[]	[9.103049]	[81]	[]	[19214227]
681_10430	chr22	19328685	19329085	+	1000	36.0	[]	[]	[9.274022]	[133]	[]	[19328862]
681_10432	chr22	19488133	19488533	+	1000	36.0	[7.775529]	[130]	[]	[]	[19488329]	[]
681_10436	chr22	19605461	19605861	+	1000	36.0	[]	[]	[10.046241]	[100]	[]	[19605617]
681_10437	chr22	19660569	19660969	+	1000	36.0	[6.907464]	[86]	[]	[]	[19660755]	[]
681_10439	chr22	19688303	19688703	+	1000	36.0	[7.2750764, 7.2750764]	[88, 146]	[]	[]	[19688491, 19688549]	[]
681_1044	chr9	136190256	136190656	+	1000	90.0	[]	[]	[6.860204]	[155]	[]	[136190493]
681_10440	chr22	19700529	19700929	+	1000	36.0	[]	[]	[10.016101]	[126]	[]	[19700740]
681_10441	chr22	19771665	19772065	+	1000	36.0	[7.3877554]	[146]	[]	[]	[19771885]	[]
681_10446	chr22	19872551	19872951	+	1000	36.0	[]	[]	[8.19479]	[138]	[]	[19872758]
681_1045	chr1	146051931	146052331	+	1000	89.0	[]	[]	[10.225179]	[136]	[]	[146052154]
681_10451	chr22	20043981	20044381	+	1000	36.0	[7.807559, 8.176768]	[158, 187]	[]	[]	[20044186, 20044215]	[]
681_10453	chr22	20075795	20076195	+	697	36.0	[]	[]	[10.046241]	[87]	[]	[20075969]
681_10454	chr22	20093582	20093982	+	887	36.0	[8.718861]	[127]	[]	[]	[20093742]	[]
681_10457	chr22	20237600	20238000	+	1000	36.0	[]	[]	[10.046241, 9.188388]	[127, 133]	[]	[20237810, 20237816]
681_10458	chr22	20271486	20271886	+	1000	36.0	[]	[]	[8.423179]	[194]	[]	[20271708]
681_1046	chr10	5043414	5043814	+	1000	89.0	[]	[]	[9.066098]	[149]	[]	[5043656]
681_10466	chr22	20518254	20518654	+	1000	36.0	[9.075708, 12.716828, 10.225179]	[90, 159, 184]	[]	[]	[20518411, 20518480, 20518505]	[]
681_10467	chr22	20525339	20525739	+	1000	36.0	[12.623525]	[179]	[]	[]	[20525520]	[]
681_10469	chr22	20586452	20586852	+	1000	36.0	[7.415039]	[127]	[]	[]	[20586604]	[]
681_1047	chr10	48468123	48468523	+	1000	89.0	[]	[]	[6.7890983]	[107]	[]	[48468315]
681_10475	chr22	20691638	20692038	+	1000	36.0	[]	[]	[6.860204]	[145]	[]	[20691876]
681_1048	chr10	71882835	71883235	+	1000	89.0	[13.574681]	[104]	[]	[]	[71883024]	[]
681_10480	chr22	20883057	20883457	+	1000	36.0	[9.709666]	[146]	[]	[]	[20883217]	[]
681_10483	chr22	20986859	20987259	+	1000	36.0	[7.1865106]	[127]	[]	[]	[20987010]	[]
681_1049	chr11	73376912	73377312	+	1000	89.0	[]	[]	[7.5666924]	[114]	[]	[73377106]
681_10491	chr22	21965161	21965561	+	1000	36.0	[8.738236]	[98]	[]	[]	[21965345]	[]
681_10493	chr22	22011428	22011828	+	1000	36.0	[]	[]	[8.478332]	[103]	[]	[22011624]
681_10494	chr22	22019224	22019624	+	1000	36.0	[7.8676777]	[147]	[]	[]	[22019446]	[]
681_10497	chr22	22142458	22142858	+	977	36.0	[8.710301]	[134]	[]	[]	[22142687]	[]
681_1050	chr16	629798	630198	+	1000	89.0	[]	[]	[13.574681]	[85]	[]	[629982]
681_10503	chr22	22214670	22215070	+	1000	36.0	[7.608377]	[177]	[]	[]	[22214920]	[]
681_10504	chr22	22336909	22337309	+	1000	36.0	[]	[]	[8.385029]	[122]	[]	[22337124]
681_10505	chr22	22369835	22370235	+	1000	36.0	[8.917174]	[92]	[]	[]	[22370017]	[]
681_10509	chr22	22432891	22433291	+	1000	36.0	[12.02581]	[82]	[]	[]	[22433072]	[]
681_1051	chr17	1467788	1468188	+	1000	89.0	[7.595884]	[148]	[8.182312]	[69]	[1468018]	[1467939]
681_10512	chr22	22483326	22483726	+	1000	36.0	[10.016101]	[82]	[9.389633]	[114]	[22483495]	[22483527]
681_10514	chr22	22536154	22536554	+	830	36.0	[8.514302]	[129]	[]	[]	[22536352]	[]
681_10516	chr22	22852137	22852537	+	1000	36.0	[6.929461]	[91]	[]	[]	[22852316]	[]
681_10518	chr22	22932120	22932520	+	1000	36.0	[]	[]	[6.929461]	[215]	[]	[22932349]
681_1052	chr17	76182134	76182534	+	1000	89.0	[6.7259293, 9.367325]	[64, 71]	[]	[]	[76182292, 76182299]	[]
681_10520	chr22	22963929	22964329	+	1000	36.0	[]	[]	[6.9421754]	[171]	[]	[22964104]
681_10522	chr22	22983114	22983514	+	1000	36.0	[11.426259]	[173]	[]	[]	[22983336]	[]
681_10523	chr22	23020029	23020429	+	1000	36.0	[]	[]	[6.9671407]	[146]	[]	[23020193]
681_10525	chr22	27299608	27300008	+	1000	36.0	[15.375314, 7.578237]	[109, 116]	[]	[]	[27299776, 27299783]	[]
681_10527	chr22	38853889	38854289	+	1000	36.0	[6.9793944]	[109]	[9.367325]	[116]	[38854074]	[38854081]
