#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2F1_idr.fa NR2F1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
504_1014	chr17	6421905	6422305	+	1000	287.0	[6.0948906]	[103]	[12.247973, 8.580908]	[77, 85]	[6422107]	[6422081, 6422089]
504_10142	chr3	33954937	33955337	+	772	72.5	[12.247973]	[114]	[]	[]	[33955138]	[]
504_10144	chr3	72018336	72018736	+	984	72.5	[]	[]	[10.737563]	[181]	[]	[72018574]
504_10145	chr3	118531041	118531441	+	997	72.5	[]	[]	[8.580908, 11.876825]	[200, 217]	[]	[118531274, 118531291]
504_10146	chr3	172035083	172035483	+	1000	72.5	[11.876825]	[139]	[]	[]	[172035248]	[]
504_10148	chr4	108144537	108144937	+	1000	72.5	[12.247973]	[106]	[6.0331016]	[123]	[108144710]	[108144727]
504_10152	chr5	42586510	42586910	+	1000	72.5	[]	[]	[11.876825]	[220]	[]	[42586746]
504_10155	chr5	150428057	150428457	+	1000	72.5	[11.876825]	[317]	[]	[]	[150428299]	[]
504_10158	chr6	38699602	38700002	+	1000	72.5	[5.7237425]	[128]	[]	[]	[38699758]	[]
504_1016	chr2	27007399	27007799	+	1000	287.0	[12.247973]	[109]	[]	[]	[27007597]	[]
504_10160	chr7	100125573	100125973	+	1000	72.5	[12.247973]	[75]	[]	[]	[100125742]	[]
504_1017	chr1	153433234	153433634	+	1000	286.5	[11.876825]	[141]	[]	[]	[153433417]	[]
504_10174	chr1	155001830	155002230	+	1000	72.0	[]	[]	[11.108711]	[133]	[]	[155002032]
504_10178	chr1	172845838	172846238	+	1000	72.0	[]	[]	[11.108711, 11.876825, 11.108711]	[84, 102, 109]	[]	[172846022, 172846040, 172846047]
504_1018	chr10	11640253	11640653	+	1000	286.5	[11.876825, 7.6574984]	[114, 153]	[]	[]	[11640456, 11640495]	[]
504_10180	chr1	212640494	212640894	+	1000	72.0	[]	[]	[7.6574984]	[114]	[]	[212640671]
504_10181	chr1	223775958	223776358	+	1000	72.0	[]	[]	[6.4042497]	[261]	[]	[223776133]
504_10186	chr11	70424119	70424519	+	1000	72.0	[5.7237425]	[127]	[5.7237425]	[153]	[70424312]	[70424338]
504_1019	chr6	135306745	135307145	+	1000	286.5	[11.108711]	[113]	[]	[]	[135306940]	[]
504_10191	chr12	119716526	119716926	+	1000	72.0	[]	[]	[12.247973]	[103]	[]	[119716725]
504_10192	chr14	33941738	33942138	+	1000	72.0	[12.247973, 5.7237425]	[130, 140]	[]	[]	[33941965, 33941975]	[]
504_10194	chr15	64027623	64028023	+	1000	72.0	[]	[]	[8.580908]	[160]	[]	[64027854]
504_10198	chr17	29589945	29590345	+	981	72.0	[12.247973]	[139]	[]	[]	[29590154]	[]
504_10199	chr17	46164591	46164991	+	1000	72.0	[12.247973, 11.108711]	[235, 245]	[]	[]	[46164795, 46164805]	[]
504_102	chr4	95289214	95289614	+	1000	603.0	[]	[]	[8.79676, 11.108711]	[123, 134]	[]	[95289431, 95289442]
504_10200	chr17	57992923	57993323	+	1000	72.0	[8.580908]	[251]	[12.247973]	[159]	[57993173]	[57993081]
504_10201	chr17	75274276	75274676	+	1000	72.0	[]	[]	[11.876825]	[212]	[]	[75274519]
504_10202	chr17	75347045	75347445	+	1000	72.0	[8.580908]	[253]	[]	[]	[75347284]	[]
504_10203	chr17	79993549	79993949	+	1000	72.0	[]	[]	[11.876825]	[226]	[]	[79993732]
504_10205	chr18	45980294	45980694	+	1000	72.0	[8.79676]	[114]	[]	[]	[45980464]	[]
504_10207	chr19	915115	915515	+	1000	72.0	[8.580908]	[365]	[]	[]	[915327]	[]
504_10209	chr19	13155256	13155656	+	1000	72.0	[7.6574984]	[158]	[]	[]	[13155487]	[]
504_1021	chr1	212034962	212035362	+	1000	286.0	[10.737563]	[161]	[]	[]	[212035188]	[]
504_10210	chr19	51693207	51693607	+	1000	72.0	[]	[]	[10.737563, 5.7237425, 11.876825, 10.737563]	[138, 180, 198, 205]	[]	[51693375, 51693417, 51693435, 51693442]
504_10212	chr2	10332424	10332824	+	1000	72.0	[]	[]	[12.247973]	[117]	[]	[10332640]
504_10216	chr2	64049698	64050098	+	1000	72.0	[]	[]	[12.247973]	[159]	[]	[64049851]
504_10217	chr2	101625375	101625775	+	1000	72.0	[]	[]	[8.79676]	[215]	[]	[101625592]
504_10218	chr2	151560152	151560552	+	1000	72.0	[12.247973]	[104]	[]	[]	[151560354]	[]
504_10219	chr2	158317702	158318102	+	1000	72.0	[]	[]	[8.580908]	[93]	[]	[158317887]
504_10222	chr20	63552975	63553375	+	1000	72.0	[]	[]	[10.737563]	[191]	[]	[63553136]
504_10224	chr21	43768439	43768839	+	959	72.0	[5.7237425]	[116]	[]	[]	[43768591]	[]
504_10227	chr22	39996741	39997141	+	1000	72.0	[10.737563]	[119]	[]	[]	[39996935]	[]
504_10228	chr3	12868281	12868681	+	1000	72.0	[]	[]	[12.247973]	[123]	[]	[12868488]
504_1023	chr11	60185407	60185807	+	1000	286.0	[]	[]	[10.737563, 8.79676]	[79, 86]	[]	[60185582, 60185589]
504_10232	chr3	44439855	44440255	+	1000	72.0	[5.9149733]	[174]	[]	[]	[44440036]	[]
504_10235	chr3	125061110	125061510	+	1000	72.0	[12.247973]	[142]	[]	[]	[125061316]	[]
504_10237	chr4	10240076	10240476	+	1000	72.0	[5.7237425]	[142]	[]	[]	[10240300]	[]
504_1024	chr4	39970710	39971110	+	1000	286.0	[]	[]	[12.247973]	[84]	[]	[39970882]
504_10240	chr4	173113364	173113764	+	1000	72.0	[12.247973]	[250]	[]	[]	[173113585]	[]
504_10241	chr5	71694009	71694409	+	1000	72.0	[]	[]	[11.876825]	[136]	[]	[71694233]
504_10243	chr5	132070354	132070754	+	1000	72.0	[8.580908]	[114]	[]	[]	[132070547]	[]
504_10245	chr5	173029641	173030041	+	1000	72.0	[8.580908]	[142]	[]	[]	[173029826]	[]
504_10246	chr5	181246266	181246666	+	977	72.0	[7.441646]	[135]	[]	[]	[181246423]	[]
504_10247	chr6	10478462	10478862	+	1000	72.0	[]	[]	[10.737563]	[137]	[]	[10478685]
504_1025	chr5	68423203	68423603	+	1000	286.0	[12.247973]	[114]	[12.247973]	[165]	[68423392]	[68423443]
504_10252	chr7	2530155	2530555	+	1000	72.0	[]	[]	[11.876825]	[210]	[]	[2530379]
504_10254	chr7	84822956	84823356	+	603	72.0	[]	[]	[8.580908]	[145]	[]	[84823148]
504_10257	chr7	121075521	121075921	+	1000	72.0	[]	[]	[11.876825]	[86]	[]	[121075691]
504_1026	chr6	4256961	4257361	+	1000	286.0	[12.247973]	[112]	[]	[]	[4257173]	[]
504_10264	chrX	15050389	15050789	+	1000	72.0	[]	[]	[8.580908, 12.247973]	[88, 99]	[]	[15050573, 15050584]
504_10268	chr1	64757180	64757580	+	1000	71.5	[11.876825]	[135]	[]	[]	[64757372]	[]
504_10271	chr1	148388402	148388802	+	1000	71.5	[10.737563]	[202]	[]	[]	[148388563]	[]
504_10274	chr1	186348171	186348571	+	865	71.5	[5.7237425]	[185]	[]	[]	[186348374]	[]
504_10276	chr1	205326945	205327345	+	734	71.5	[6.0331016]	[156]	[]	[]	[205327107]	[]
504_1028	chr15	78244102	78244502	+	1000	285.5	[]	[]	[11.876825, 7.6574984]	[100, 107]	[]	[78244297, 78244304]
504_10285	chr12	6180156	6180556	+	1000	71.5	[]	[]	[11.108711]	[99]	[]	[6180344]
504_10286	chr12	122489014	122489414	+	1000	71.5	[8.580908]	[147]	[]	[]	[122489197]	[]
504_10287	chr13	108006724	108007124	+	899	71.5	[]	[]	[11.876825]	[151]	[]	[108006944]
504_10288	chr14	63453349	63453749	+	1000	71.5	[]	[]	[11.876825]	[234]	[]	[63453596]
504_10291	chr14	100068083	100068483	+	1000	71.5	[11.108711]	[205]	[]	[]	[100068278]	[]
504_10292	chr14	101876980	101877380	+	1000	71.5	[]	[]	[11.876825]	[104]	[]	[101877176]
504_103	chr7	130494476	130494876	+	1000	601.0	[11.108711]	[117]	[11.876825]	[92]	[130494677]	[130494652]
504_1030	chr16	90168729	90169129	+	1000	285.5	[11.876825, 11.876825]	[92, 141]	[]	[]	[90168919, 90168968]	[]
504_10303	chr16	30060780	30061180	+	1000	71.5	[12.247973]	[120]	[]	[]	[30060981]	[]
504_10306	chr17	18163540	18163940	+	1000	71.5	[11.876825]	[66]	[]	[]	[18163693]	[]
504_10307	chr17	50209511	50209911	+	1000	71.5	[]	[]	[7.441646]	[197]	[]	[50209756]
504_10308	chr17	58379433	58379833	+	1000	71.5	[]	[]	[10.737563]	[176]	[]	[58379650]
504_1031	chr7	106199741	106200141	+	1000	285.5	[5.7237425, 6.0331016]	[100, 158]	[]	[]	[106199933, 106199991]	[]
504_10310	chr18	45974041	45974441	+	1000	71.5	[]	[]	[12.247973]	[98]	[]	[45974216]
504_10311	chr18	79259215	79259615	+	1000	71.5	[7.6574984]	[137]	[]	[]	[79259408]	[]
504_10312	chr19	4575316	4575716	+	686	71.5	[10.737563]	[144]	[]	[]	[4575528]	[]
504_10313	chr19	16562623	16563023	+	1000	71.5	[]	[]	[12.247973]	[95]	[]	[16562792]
504_10316	chr19	42419932	42420332	+	1000	71.5	[10.737563]	[186]	[]	[]	[42420172]	[]
504_10317	chr19	46324233	46324633	+	1000	71.5	[]	[]	[12.247973, 11.876825]	[125, 132]	[]	[46324455, 46324462]
504_10319	chr2	27977881	27978281	+	1000	71.5	[7.6574984]	[164]	[11.876825]	[125]	[27978127]	[27978088]
504_1032	chr9	129023282	129023682	+	1000	285.5	[12.247973]	[78]	[]	[]	[129023455]	[]
504_10320	chr2	207784964	207785364	+	1000	71.5	[11.108711]	[143]	[]	[]	[207785190]	[]
504_10321	chr2	241818911	241819311	+	1000	71.5	[]	[]	[12.247973]	[102]	[]	[241819099]
504_10322	chr20	34990781	34991181	+	1000	71.5	[10.737563]	[146]	[11.876825, 12.247973]	[115, 122]	[34991003]	[34990972, 34990979]
504_10325	chr22	20509262	20509662	+	1000	71.5	[]	[]	[8.79676]	[158]	[]	[20509462]
504_10329	chr3	52300268	52300668	+	1000	71.5	[11.108711]	[114]	[]	[]	[52300450]	[]
504_1033	chr11	61890858	61891258	+	1000	285.0	[11.876825, 12.247973]	[97, 104]	[]	[]	[61891046, 61891053]	[]
504_10332	chr4	70901810	70902210	+	1000	71.5	[]	[]	[11.876825]	[229]	[]	[70902055]
504_10333	chr4	72706602	72707002	+	911	71.5	[8.79676]	[107]	[11.876825]	[93]	[72706789]	[72706775]
504_10337	chr5	150473191	150473591	+	1000	71.5	[8.79676]	[88]	[]	[]	[150473345]	[]
504_10338	chr5	151755415	151755815	+	1000	71.5	[12.247973]	[149]	[]	[]	[151755645]	[]
504_1034	chr12	67269090	67269490	+	1000	285.0	[]	[]	[12.247973]	[105]	[]	[67269289]
504_10343	chr6	33201062	33201462	+	1000	71.5	[]	[]	[8.580908, 6.4042497]	[155, 164]	[]	[33201292, 33201301]
504_10344	chr6	34227878	34228278	+	628	71.5	[10.737563]	[154]	[]	[]	[34228048]	[]
504_1035	chr2	157899180	157899580	+	1000	285.0	[]	[]	[12.247973]	[118]	[]	[157899376]
504_10351	chr7	55554087	55554487	+	883	71.5	[12.247973]	[149]	[]	[]	[55554274]	[]
504_10352	chr7	99309138	99309538	+	1000	71.5	[5.7237425]	[129]	[]	[]	[99309353]	[]
504_10355	chr7	139358445	139358845	+	1000	71.5	[]	[]	[8.79676]	[166]	[]	[139358673]
504_10356	chr7	151058251	151058651	+	1000	71.5	[]	[]	[10.737563, 11.876825, 5.7237425]	[78, 117, 136]	[]	[151058422, 151058461, 151058480]
504_10359	chr8	41463838	41464238	+	586	71.5	[10.737563]	[130]	[11.876825]	[121]	[41464039]	[41464030]
504_10360	chr9	36304342	36304742	+	1000	71.5	[12.247973]	[179]	[]	[]	[36304566]	[]
504_10364	chr1	6523666	6524066	+	1000	71.0	[]	[]	[12.247973]	[168]	[]	[6523853]
504_10369	chr1	21634227	21634627	+	1000	71.0	[]	[]	[11.876825]	[109]	[]	[21634411]
504_1037	chr1	23478861	23479261	+	1000	284.5	[]	[]	[11.876825]	[91]	[]	[23479045]
504_10371	chr1	30194235	30194635	+	1000	71.0	[]	[]	[12.247973]	[84]	[]	[30194402]
504_10372	chr1	30808426	30808826	+	1000	71.0	[11.108711]	[103]	[]	[]	[30808627]	[]
504_10374	chr1	46506446	46506846	+	1000	71.0	[7.6574984]	[218]	[]	[]	[46506677]	[]
504_10379	chr1	167420436	167420836	+	1000	71.0	[12.247973]	[155]	[]	[]	[167420613]	[]
504_1038	chr15	39802986	39803386	+	1000	284.5	[6.0948906]	[68]	[12.247973]	[126]	[39803138]	[39803196]
504_10380	chr1	167864009	167864409	+	1000	71.0	[7.6574984]	[241]	[]	[]	[167864253]	[]
504_10381	chr1	184805996	184806396	+	896	71.0	[6.0948906, 5.7237425]	[191, 199]	[]	[]	[184806230, 184806238]	[]
504_10382	chr1	186194145	186194545	+	1000	71.0	[11.876825]	[107]	[]	[]	[186194335]	[]
504_10385	chr10	43174897	43175297	+	1000	71.0	[11.876825]	[107]	[]	[]	[43175098]	[]
504_10386	chr10	68988358	68988758	+	1000	71.0	[11.108711]	[153]	[]	[]	[68988551]	[]
504_10388	chr10	73886959	73887359	+	1000	71.0	[11.876825]	[117]	[]	[]	[73887162]	[]
504_10389	chr10	93106632	93107032	+	1000	71.0	[5.9149733]	[167]	[]	[]	[93106876]	[]
504_1039	chr18	55663779	55664179	+	1000	284.5	[]	[]	[5.7237425]	[192]	[]	[55663990]
504_10390	chr11	2811119	2811519	+	1000	71.0	[]	[]	[11.876825]	[115]	[]	[2811308]
504_10392	chr11	10850525	10850925	+	1000	71.0	[11.876825, 12.247973]	[134, 148]	[]	[]	[10850731, 10850745]	[]
504_10393	chr11	12066202	12066602	+	1000	71.0	[10.737563]	[154]	[]	[]	[12066430]	[]
504_10395	chr11	62016885	62017285	+	1000	71.0	[]	[]	[7.6574984, 12.247973]	[131, 140]	[]	[62017055, 62017064]
504_10398	chr11	73385084	73385484	+	1000	71.0	[]	[]	[10.737563]	[149]	[]	[73385250]
504_104	chr16	23821956	23822356	+	1000	599.5	[]	[]	[8.79676]	[90]	[]	[23822143]
504_1040	chr19	40416829	40417229	+	1000	284.5	[]	[]	[11.876825]	[78]	[]	[40416981]
504_10400	chr12	7302566	7302966	+	1000	71.0	[]	[]	[12.247973]	[154]	[]	[7302722]
504_10406	chr14	77301013	77301413	+	1000	71.0	[]	[]	[10.737563]	[86]	[]	[77301179]
504_10409	chr15	65227310	65227710	+	1000	71.0	[11.108711, 12.247973]	[102, 108]	[]	[]	[65227509, 65227515]	[]
504_1041	chr21	45318827	45319227	+	1000	284.5	[12.247973]	[99]	[]	[]	[45319020]	[]
504_10411	chr15	90863076	90863476	+	1000	71.0	[11.876825]	[123]	[]	[]	[90863240]	[]
504_10412	chr16	70424995	70425395	+	745	71.0	[11.876825]	[223]	[]	[]	[70425246]	[]
504_10413	chr17	7630235	7630635	+	1000	71.0	[]	[]	[12.247973]	[259]	[]	[7630480]
504_10414	chr17	8158745	8159145	+	1000	71.0	[12.247973]	[154]	[]	[]	[8158985]	[]
504_10419	chr17	40013695	40014095	+	1000	71.0	[]	[]	[5.7237425]	[262]	[]	[40013898]
504_1042	chr3	12405726	12406126	+	1000	284.5	[]	[]	[11.876825]	[272]	[]	[12405973]
504_10421	chr17	42773073	42773473	+	1000	71.0	[]	[]	[12.247973]	[122]	[]	[42773243]
504_10424	chr18	12062896	12063296	+	1000	71.0	[12.247973]	[103]	[]	[]	[12063049]	[]
504_10426	chr19	2506661	2507061	+	618	71.0	[]	[]	[11.876825]	[90]	[]	[2506846]
504_10427	chr19	10074149	10074549	+	1000	71.0	[10.737563]	[122]	[8.79676]	[109]	[10074341]	[10074328]
504_10428	chr19	18303460	18303860	+	1000	71.0	[]	[]	[10.737563]	[144]	[]	[18303695]
504_10435	chr2	9539094	9539494	+	1000	71.0	[]	[]	[11.876825, 11.876825]	[264, 272]	[]	[9539336, 9539344]
504_10437	chr2	241859429	241859829	+	1000	71.0	[]	[]	[11.876825, 12.247973]	[156, 175]	[]	[241859639, 241859658]
504_10438	chr20	35312417	35312817	+	1000	71.0	[10.737563]	[145]	[]	[]	[35312608]	[]
504_1044	chr20	35327234	35327634	+	1000	284.0	[12.247973, 6.0948906]	[115, 154]	[]	[]	[35327436, 35327475]	[]
504_10442	chr21	25577986	25578386	+	1000	71.0	[]	[]	[11.876825]	[90]	[]	[25578162]
504_10446	chr21	43924054	43924454	+	1000	71.0	[]	[]	[11.876825, 7.441646]	[176, 184]	[]	[43924254, 43924262]
504_10448	chr22	28969447	28969847	+	1000	71.0	[10.737563, 12.247973, 8.580908]	[109, 116, 126]	[]	[]	[28969619, 28969626, 28969636]	[]
504_10452	chr3	71006838	71007238	+	1000	71.0	[]	[]	[11.876825]	[100]	[]	[71007036]
504_10454	chr3	105806313	105806713	+	1000	71.0	[12.247973]	[161]	[]	[]	[105806547]	[]
504_10457	chr4	159398367	159398767	+	1000	71.0	[12.247973]	[147]	[]	[]	[159398604]	[]
504_10458	chr5	43301491	43301891	+	1000	71.0	[7.6574984]	[336]	[]	[]	[43301735]	[]
504_1046	chr18	62526285	62526685	+	1000	283.5	[]	[]	[11.876825, 12.247973]	[81, 117]	[]	[62526465, 62526501]
504_10469	chr7	100533272	100533672	+	1000	71.0	[]	[]	[8.580908]	[192]	[]	[100533505]
504_10473	chr8	128149996	128150396	+	885	71.0	[]	[]	[11.108711]	[154]	[]	[128150242]
504_10474	chr9	94734126	94734526	+	1000	71.0	[12.247973]	[161]	[]	[]	[94734371]	[]
504_10477	chr1	1658860	1659260	+	1000	70.5	[]	[]	[6.0331016]	[106]	[]	[1659038]
504_10478	chr1	12539698	12540098	+	1000	70.5	[]	[]	[11.876825]	[134]	[]	[12539851]
504_1048	chr11	95144356	95144756	+	1000	283.0	[7.6574984]	[125]	[11.108711]	[110]	[95144577]	[95144562]
504_10482	chr1	40058279	40058679	+	1000	70.5	[11.876825]	[162]	[]	[]	[40058510]	[]
504_10488	chr1	168623212	168623612	+	1000	70.5	[12.247973]	[109]	[]	[]	[168623376]	[]
504_1049	chr17	42531808	42532208	+	1000	283.0	[12.247973]	[109]	[]	[]	[42532003]	[]
504_10493	chr10	14939007	14939407	+	1000	70.5	[11.876825]	[150]	[]	[]	[14939221]	[]
504_10494	chr10	60073471	60073871	+	1000	70.5	[]	[]	[11.108711]	[209]	[]	[60073709]
504_10497	chr10	132421313	132421713	+	1000	70.5	[11.876825, 8.580908]	[106, 111]	[]	[]	[132421504, 132421509]	[]
