#PeakID(python scan_motif.py ./ENCODE_processed_files/E2F7_idr.fa E2F7 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
103_10463	chr8	18130119	18130519	+	777	27.5	[]	[]	[8.3977785]	[123]	[]	[18130323]
103_10468	chr8	73346562	73346962	+	716	27.5	[]	[]	[8.3977785]	[80]	[]	[73346732]
103_1047	chr15	44426836	44427236	+	1000	58.0	[8.3977785]	[175]	[]	[]	[44427079]	[]
103_10471	chr8	94474911	94475311	+	730	27.5	[8.3977785]	[161]	[]	[]	[94475087]	[]
103_10473	chr8	94949403	94949803	+	676	27.5	[]	[]	[8.3977785]	[179]	[]	[94949625]
103_1048	chr15	50765050	50765450	+	1000	58.0	[]	[]	[15.05599, 15.05599]	[91, 109]	[]	[50765235, 50765253]
103_10480	chr8	128065499	128065899	+	630	27.5	[]	[]	[8.3977785]	[214]	[]	[128065717]
103_1049	chr15	64093803	64094203	+	1000	58.0	[7.2898073, 4.3509426]	[71, 113]	[8.3977785]	[95]	[64093956, 64093998]	[64093980]
103_10495	chr9	130970160	130970560	+	681	27.5	[]	[]	[8.3977785]	[209]	[]	[130970380]
103_10496	chr9	131035506	131035906	+	723	27.5	[8.3977785]	[161]	[]	[]	[131035693]	[]
103_10498	chr9	137236313	137236713	+	780	27.5	[7.2898073]	[94]	[]	[]	[137236487]	[]
103_10510	chr1	9657473	9657873	+	679	27.0	[8.3977785]	[120]	[]	[]	[9657634]	[]
103_1052	chr17	77325007	77325407	+	1000	58.0	[4.3509426]	[99]	[]	[]	[77325188]	[]
103_10525	chr1	23019965	23020365	+	712	27.0	[]	[]	[7.2898073]	[164]	[]	[23020168]
103_10530	chr1	27607356	27607756	+	638	27.0	[8.3977785]	[98]	[]	[]	[27607528]	[]
103_10536	chr1	36307139	36307539	+	718	27.0	[]	[]	[8.3977785, 8.3977785]	[126, 148]	[]	[36307350, 36307372]
103_10539	chr1	39385368	39385768	+	661	27.0	[8.3977785]	[162]	[]	[]	[39385607]	[]
103_10543	chr1	43367204	43367604	+	742	27.0	[]	[]	[4.3509426]	[171]	[]	[43367399]
103_10544	chr1	43388747	43389147	+	695	27.0	[8.3977785]	[69]	[]	[]	[43388901]	[]
103_10554	chr1	61071521	61071921	+	719	27.0	[8.3977785]	[65]	[]	[]	[61071673]	[]
103_10570	chr1	121016729	121017129	+	711	27.0	[]	[]	[8.468314]	[72]	[]	[121016885]
103_10571	chr1	146376893	146377293	+	669	27.0	[8.3977785]	[142]	[]	[]	[146377097]	[]
103_10574	chr1	156892341	156892741	+	745	27.0	[7.2898073]	[200]	[8.3977785]	[162]	[156892554]	[156892516]
103_10586	chr1	193104016	193104416	+	740	27.0	[]	[]	[4.3509426]	[139]	[]	[193104243]
103_10588	chr1	201704012	201704412	+	748	27.0	[]	[]	[8.933427]	[150]	[]	[201704203]
103_10596	chr1	226063185	226063585	+	724	27.0	[]	[]	[8.3977785]	[145]	[]	[226063392]
103_1060	chr4	39458837	39459237	+	1000	58.0	[7.2898073]	[141]	[]	[]	[39459063]	[]
103_10602	chr1	241846873	241847273	+	561	27.0	[]	[]	[8.3977785]	[149]	[]	[241847108]
103_10605	chr10	11141514	11141914	+	724	27.0	[8.3977785]	[151]	[]	[]	[11141763]	[]
103_10608	chr10	27100023	27100423	+	732	27.0	[7.2898073]	[201]	[9.901183]	[224]	[27100251]	[27100274]
103_10611	chr10	50414623	50415023	+	695	27.0	[8.3977785]	[168]	[]	[]	[50414800]	[]
103_10615	chr10	69408356	69408756	+	714	27.0	[8.3977785]	[100]	[]	[]	[69408549]	[]
103_10620	chr10	79374619	79375019	+	731	27.0	[]	[]	[8.3977785]	[115]	[]	[79374788]
103_10624	chr11	665658	666058	+	730	27.0	[]	[]	[8.3977785]	[134]	[]	[665857]
103_10625	chr11	3437451	3437851	+	723	27.0	[]	[]	[4.3509426]	[135]	[]	[3437646]
103_10626	chr11	5684834	5685234	+	698	27.0	[]	[]	[7.2898073]	[191]	[]	[5685061]
103_10627	chr11	6481369	6481769	+	726	27.0	[]	[]	[13.948019]	[171]	[]	[6481614]
103_1063	chr9	128159716	128160116	+	1000	58.0	[8.3977785]	[146]	[]	[]	[128159885]	[]
103_10635	chr11	67508351	67508751	+	701	27.0	[4.3509426]	[162]	[]	[]	[67508521]	[]
103_10645	chr11	118145348	118145748	+	736	27.0	[]	[]	[4.3509426]	[127]	[]	[118145521]
103_1065	chr9	137127535	137127935	+	1000	58.0	[8.3977785]	[152]	[13.948019]	[97]	[137127759]	[137127704]
103_10654	chr12	62256751	62257151	+	705	27.0	[]	[]	[15.05599]	[134]	[]	[62256984]
103_10659	chr12	123711901	123712301	+	677	27.0	[4.3509426]	[143]	[]	[]	[123712122]	[]
103_1067	chr10	35391161	35391561	+	1000	57.5	[]	[]	[15.05599]	[110]	[]	[35391341]
103_10672	chr14	23056840	23057240	+	694	27.0	[]	[]	[8.3977785, 8.3977785]	[99, 134]	[]	[23057039, 23057074]
103_10678	chr15	50355035	50355435	+	650	27.0	[8.3977785]	[159]	[]	[]	[50355262]	[]
103_1068	chr10	45373242	45373642	+	1000	57.5	[8.3977785]	[128]	[13.948019, 9.901183]	[74, 94]	[45373470]	[45373416, 45373436]
103_10683	chr15	75451651	75452051	+	747	27.0	[15.05599]	[96]	[8.3977785]	[161]	[75451817]	[75451882]
103_10693	chr16	4307894	4308294	+	731	27.0	[4.3509426]	[131]	[4.3509426]	[200]	[4308075]	[4308144]
103_10699	chr16	30445971	30446371	+	682	27.0	[]	[]	[7.2898073]	[120]	[]	[30446137]
103_1070	chr11	3797610	3798010	+	1000	57.5	[8.3977785]	[84]	[8.3977785]	[108]	[3797769]	[3797793]
103_10700	chr16	30610245	30610645	+	642	27.0	[8.468314]	[68]	[]	[]	[30610403]	[]
103_10709	chr16	87721644	87722044	+	646	27.0	[]	[]	[8.3977785]	[178]	[]	[87721847]
103_1071	chr11	108222426	108222826	+	1000	57.5	[8.3977785]	[131]	[7.2898073]	[120]	[108222655]	[108222644]
103_10711	chr17	7687287	7687687	+	726	27.0	[4.3509426]	[172]	[]	[]	[7687504]	[]
103_10713	chr17	27294020	27294420	+	704	27.0	[7.2898073]	[159]	[]	[]	[27294233]	[]
103_10726	chr17	50867837	50868237	+	715	27.0	[]	[]	[8.3977785]	[178]	[]	[50868019]
103_10740	chr18	25896187	25896587	+	695	27.0	[7.2898073]	[106]	[]	[]	[25896361]	[]
103_10742	chr19	9785889	9786289	+	668	27.0	[7.2898073]	[246]	[]	[]	[9786138]	[]
103_10748	chr19	17579805	17580205	+	689	27.0	[]	[]	[8.3977785]	[133]	[]	[17580002]
103_10749	chr19	17677115	17677515	+	682	27.0	[8.3977785]	[133]	[]	[]	[17677331]	[]
103_10752	chr19	35140806	35141206	+	598	27.0	[8.3977785, 8.3977785]	[144, 178]	[]	[]	[35141017, 35141051]	[]
103_10753	chr19	36489557	36489957	+	662	27.0	[4.3509426, 8.3977785]	[82, 106]	[]	[]	[36489729, 36489753]	[]
103_10762	chr19	46395539	46395939	+	556	27.0	[]	[]	[8.3977785]	[159]	[]	[46395761]
103_1077	chr7	138001978	138002378	+	1000	57.5	[8.3977785]	[115]	[13.948019]	[138]	[138002187]	[138002210]
103_10771	chr19	55207127	55207527	+	702	27.0	[8.3977785]	[95]	[]	[]	[55207284]	[]
103_10774	chr2	3377782	3378182	+	720	27.0	[]	[]	[7.2898073]	[91]	[]	[3377963]
103_10775	chr2	3558495	3558895	+	685	27.0	[]	[]	[13.948019]	[95]	[]	[3558665]
103_10779	chr2	24076200	24076600	+	718	27.0	[]	[]	[8.3977785]	[180]	[]	[24076446]
103_10783	chr2	47906756	47907156	+	707	27.0	[8.3977785]	[68]	[]	[]	[47906921]	[]
103_10785	chr2	62086260	62086660	+	657	27.0	[4.3509426]	[141]	[7.360343]	[103]	[62086463]	[62086425]
103_1079	chr9	131276220	131276620	+	1000	57.5	[]	[]	[7.2898073]	[154]	[]	[131276467]
103_10791	chr2	99771802	99772202	+	690	27.0	[8.3977785]	[156]	[]	[]	[99772034]	[]
103_10794	chr2	112026538	112026938	+	588	27.0	[]	[]	[8.3977785]	[153]	[]	[112026740]
103_108	chr19	4909236	4909636	+	1000	235.5	[15.05599]	[81]	[13.948019]	[170]	[4909397]	[4909486]
103_10811	chr20	57350976	57351376	+	682	27.0	[]	[]	[8.933427, 7.2898073]	[158, 199]	[]	[57351182, 57351223]
103_10818	chr22	19074139	19074539	+	713	27.0	[4.3509426]	[178]	[]	[]	[19074372]	[]
103_1083	chr1	109282877	109283277	+	1000	57.0	[13.948019]	[109]	[]	[]	[109283085]	[]
103_10832	chr22	20411908	20412308	+	555	27.0	[]	[]	[8.3977785]	[230]	[]	[20412143]
103_10835	chr22	20876651	20877051	+	744	27.0	[8.3977785]	[108]	[]	[]	[20876812]	[]
103_10837	chr22	21061928	21062328	+	740	27.0	[]	[]	[4.3509426]	[92]	[]	[21062081]
103_10847	chr22	23067487	23067887	+	728	27.0	[7.2898073]	[82]	[]	[]	[23067648]	[]
103_10851	chr22	30425524	30425924	+	712	27.0	[]	[]	[8.3977785, 7.2898073]	[147, 202]	[]	[30425719, 30425774]
103_10863	chr3	37176228	37176628	+	728	27.0	[7.2898073]	[125]	[]	[]	[37176408]	[]
103_10867	chr3	42904105	42904505	+	727	27.0	[8.3977785]	[125]	[]	[]	[42904302]	[]
103_10869	chr3	56556988	56557388	+	663	27.0	[]	[]	[8.3977785]	[153]	[]	[56557182]
103_1087	chr17	50373088	50373488	+	1000	57.0	[8.3977785]	[187]	[8.3977785]	[130]	[50373318]	[50373261]
103_10889	chr4	55948762	55949162	+	675	27.0	[4.3509426]	[94]	[]	[]	[55948937]	[]
103_1089	chr2	156436471	156436871	+	1000	57.0	[8.3977785]	[97]	[15.05599]	[68]	[156436654]	[156436625]
103_10890	chr4	98928263	98928663	+	707	27.0	[]	[]	[4.3509426]	[105]	[]	[98928434]
103_10894	chr5	12574652	12575052	+	684	27.0	[15.05599]	[108]	[]	[]	[12574838]	[]
103_10899	chr5	43555943	43556343	+	724	27.0	[]	[]	[7.2898073]	[112]	[]	[43556134]
103_109	chr12	56449042	56449442	+	1000	228.5	[7.2898073, 4.3509426]	[99, 144]	[15.05599]	[77]	[56449235, 56449280]	[56449213]
103_10900	chr5	57173834	57174234	+	759	27.0	[8.3977785]	[84]	[]	[]	[57174012]	[]
103_10901	chr5	71455920	71456320	+	714	27.0	[8.3977785]	[113]	[]	[]	[71456122]	[]
103_10904	chr5	91314329	91314729	+	665	27.0	[8.3977785]	[144]	[]	[]	[91314553]	[]
103_1091	chr2	190534521	190534921	+	1000	57.0	[]	[]	[4.3509426, 13.948019]	[140, 148]	[]	[190534759, 190534767]
103_10917	chr6	7202559	7202959	+	664	27.0	[]	[]	[7.2898073]	[172]	[]	[7202771]
103_10930	chr6	28490469	28490869	+	681	27.0	[]	[]	[8.3977785]	[124]	[]	[28490681]
103_10931	chr6	29977171	29977571	+	686	27.0	[]	[]	[8.3977785]	[152]	[]	[29977394]
103_10941	chr6	41779964	41780364	+	715	27.0	[]	[]	[4.3509426, 8.468314]	[141, 211]	[]	[41780125, 41780195]
103_10942	chr6	42745748	42746148	+	727	27.0	[8.3977785, 4.3509426]	[134, 167]	[]	[]	[42745942, 42745975]	[]
103_10948	chr6	124965518	124965918	+	621	27.0	[8.3977785]	[112]	[]	[]	[124965693]	[]
103_10953	chr6	142400484	142400884	+	737	27.0	[]	[]	[8.3977785]	[150]	[]	[142400703]
103_1097	chr6	27290130	27290530	+	1000	57.0	[8.3977785]	[206]	[]	[]	[27290361]	[]
103_1099	chr7	26200636	26201036	+	1000	57.0	[]	[]	[15.05599]	[131]	[]	[26200848]
103_10990	chr7	127365161	127365561	+	731	27.0	[8.3977785]	[238]	[]	[]	[127365407]	[]
103_110	chr3	48188254	48188654	+	1000	228.5	[4.3509426]	[104]	[4.3509426]	[106]	[48188451]	[48188453]
103_11008	chr8	66105708	66106108	+	716	27.0	[8.3977785]	[194]	[]	[]	[66105943]	[]
103_11009	chr8	89983780	89984180	+	751	27.0	[]	[]	[7.2898073]	[170]	[]	[89983995]
103_11016	chr8	123275095	123275495	+	730	27.0	[7.2898073]	[151]	[]	[]	[123275279]	[]
103_11018	chr8	127733906	127734306	+	668	27.0	[]	[]	[4.3509426]	[137]	[]	[127734090]
103_11019	chr8	140637176	140637576	+	737	27.0	[]	[]	[4.3509426]	[76]	[]	[140637329]
103_11020	chr8	144950813	144951213	+	652	27.0	[]	[]	[8.3977785]	[212]	[]	[144951048]
103_11021	chr9	34989331	34989731	+	717	27.0	[]	[]	[4.3509426]	[125]	[]	[34989517]
103_11024	chr9	94030430	94030830	+	724	27.0	[4.3509426]	[100]	[]	[]	[94030587]	[]
103_11037	chr9	128117636	128118036	+	625	27.0	[]	[]	[8.933427]	[159]	[]	[128117837]
103_11038	chr9	129862316	129862716	+	743	27.0	[8.3977785]	[183]	[]	[]	[129862519]	[]
103_11045	chrX	107685101	107685501	+	635	27.0	[8.3977785]	[104]	[]	[]	[107685284]	[]
103_11047	chr1	2059227	2059627	+	699	26.5	[]	[]	[8.3977785]	[142]	[]	[2059465]
103_11056	chr1	27529071	27529471	+	617	26.5	[8.3977785]	[145]	[]	[]	[27529272]	[]
103_1108	chr13	72781739	72782139	+	1000	56.5	[7.360343]	[120]	[13.948019]	[124]	[72781950]	[72781954]
103_11080	chr1	93879016	93879416	+	723	26.5	[7.2898073]	[141]	[7.360343]	[163]	[93879231]	[93879253]
103_11089	chr1	153963690	153964090	+	709	26.5	[8.3977785]	[151]	[]	[]	[153963868]	[]
103_1109	chr18	6676052	6676452	+	1000	56.5	[8.3977785]	[149]	[]	[]	[6676289]	[]
103_1110	chr19	19134693	19135093	+	1000	56.5	[8.3977785]	[143]	[]	[]	[19134935]	[]
103_11122	chr10	14954042	14954442	+	656	26.5	[15.05599]	[132]	[]	[]	[14954274]	[]
103_11134	chr10	79084181	79084581	+	684	26.5	[]	[]	[8.3977785]	[170]	[]	[79084375]
103_11139	chr10	110067961	110068361	+	642	26.5	[8.933427]	[152]	[]	[]	[110068204]	[]
103_11141	chr11	3834494	3834894	+	714	26.5	[]	[]	[8.3977785]	[154]	[]	[3834706]
103_11150	chr11	65899519	65899919	+	702	26.5	[]	[]	[4.3509426]	[103]	[]	[65899722]
103_11159	chr11	124190252	124190652	+	688	26.5	[]	[]	[8.3977785]	[158]	[]	[124190501]
103_1116	chr20	50739707	50740107	+	1000	56.5	[]	[]	[15.05599]	[129]	[]	[50739894]
103_11161	chr12	2812595	2812995	+	733	26.5	[8.933427]	[214]	[]	[]	[2812815]	[]
103_11162	chr12	47963365	47963765	+	661	26.5	[4.3509426]	[138]	[4.3509426]	[82]	[47963585]	[47963529]
103_11164	chr12	49323057	49323457	+	544	26.5	[]	[]	[7.2898073]	[137]	[]	[49323220]
103_11165	chr12	53054146	53054546	+	681	26.5	[7.2898073]	[143]	[]	[]	[53054353]	[]
103_1117	chr22	19179105	19179505	+	1000	56.5	[8.3977785]	[70]	[]	[]	[19179261]	[]
103_11172	chr12	110048460	110048860	+	716	26.5	[7.2898073]	[166]	[]	[]	[110048687]	[]
103_11176	chr12	122225841	122226241	+	618	26.5	[]	[]	[7.2898073]	[178]	[]	[122226043]
103_11178	chr13	30465914	30466314	+	657	26.5	[]	[]	[8.3977785]	[118]	[]	[30466119]
103_11188	chr13	93267239	93267639	+	648	26.5	[8.468314]	[103]	[]	[]	[93267439]	[]
103_11198	chr15	40763025	40763425	+	697	26.5	[]	[]	[7.2898073]	[227]	[]	[40763257]
103_112	chr17_GL000205v2_random	140581	140981	+	1000	224.5	[4.3509426]	[110]	[]	[]	[140791]	[]
103_11205	chr15	78148683	78149083	+	602	26.5	[4.886591]	[183]	[]	[]	[78148916]	[]
103_11209	chr16	19086523	19086923	+	673	26.5	[]	[]	[8.3977785]	[103]	[]	[19086704]
103_1121	chr6	32176270	32176670	+	1000	56.5	[8.3977785]	[137]	[]	[]	[32176435]	[]
103_11217	chr16	79964045	79964445	+	549	26.5	[8.3977785]	[142]	[]	[]	[79964257]	[]
103_1122	chr6	153002637	153003037	+	1000	56.5	[8.3977785]	[112]	[15.05599]	[103]	[153002847]	[153002838]
103_11220	chr16	84143563	84143963	+	610	26.5	[]	[]	[8.3977785]	[159]	[]	[84143765]
103_11221	chr16	84607752	84608152	+	709	26.5	[]	[]	[8.3977785]	[65]	[]	[84607910]
103_11231	chr17	39334156	39334556	+	692	26.5	[8.3977785]	[241]	[]	[]	[39334399]	[]
103_11242	chr17	78213907	78214307	+	649	26.5	[]	[]	[8.3977785]	[202]	[]	[78214146]
103_11243	chr17	80147123	80147523	+	633	26.5	[4.3509426, 13.948019]	[121, 137]	[7.2898073]	[141]	[80147297, 80147313]	[80147317]
103_11255	chr19	863697	864097	+	607	26.5	[]	[]	[13.948019]	[154]	[]	[863942]
103_11258	chr19	8355612	8356012	+	675	26.5	[]	[]	[8.3977785]	[190]	[]	[8355831]
103_11259	chr19	10027651	10028051	+	589	26.5	[8.3977785, 8.3977785]	[131, 179]	[]	[]	[10027813, 10027861]	[]
103_11261	chr19	12610841	12611241	+	668	26.5	[]	[]	[8.3977785]	[216]	[]	[12611071]
103_11280	chr19	52734905	52735305	+	684	26.5	[]	[]	[15.05599, 4.3509426]	[79, 124]	[]	[52735082, 52735127]
103_11282	chr19	55146686	55147086	+	662	26.5	[8.3977785]	[173]	[4.3509426]	[110]	[55146918]	[55146855]
103_11283	chr2	25362052	25362452	+	616	26.5	[8.3977785]	[122]	[]	[]	[25362211]	[]
103_11285	chr2	46698659	46699059	+	650	26.5	[4.3509426]	[130]	[]	[]	[46698829]	[]
103_1129	chr1	45339945	45340345	+	1000	56.0	[7.2898073]	[115]	[]	[]	[45340096]	[]
103_11291	chr2	135742441	135742841	+	668	26.5	[]	[]	[8.3977785]	[125]	[]	[135742645]
103_11295	chr2	158214449	158214849	+	603	26.5	[8.933427]	[197]	[]	[]	[158214676]	[]
