#PeakID(python identify_motif.py ./ENCODE_processed_files/MYC_idr.fa MYC --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
640_1007	chr17	81711733	81712133	+	1000	258.0	[9.859796, 7.5613456]	[100, 114]	[12.820818]	[101]	[81711926, 81711940]	[81711927]
640_10071	chr12	50039212	50039612	+	1000	82.0	[8.334265]	[64]	[7.5613456, 7.1483927]	[65, 116]	[50039372]	[50039373, 50039424]
640_10076	chr14	54488850	54489250	+	1000	82.0	[9.957076]	[110]	[9.3206]	[111]	[54489059]	[54489060]
640_10083	chr15	69167232	69167632	+	1000	82.0	[]	[]	[9.081068, 9.081068]	[65, 92]	[]	[69167395, 69167422]
640_10085	chr16	3348878	3349278	+	1000	82.0	[8.334265, 7.1483927]	[135, 162]	[]	[]	[3349098, 3349125]	[]
640_10086	chr16	24707724	24708124	+	1000	82.0	[9.859796]	[104]	[9.957076]	[105]	[24707926]	[24707927]
640_10093	chr16	86517665	86518065	+	1000	82.0	[12.820818]	[145]	[9.859796]	[146]	[86517890]	[86517891]
640_10097	chr17	29292528	29292928	+	1000	82.0	[7.981569]	[153]	[7.3805842]	[154]	[29292776]	[29292777]
640_1010	chr19	51547689	51548089	+	1000	258.0	[7.981569]	[78]	[]	[]	[51547866]	[]
640_10103	chr17	79818352	79818752	+	1000	82.0	[12.820818]	[139]	[12.820818]	[140]	[79818572]	[79818573]
640_10104	chr17	80856455	80856855	+	1000	82.0	[]	[]	[7.3538165]	[111]	[]	[80856659]
640_10105	chr18	73261272	73261672	+	1000	82.0	[12.820818]	[137]	[12.820818]	[138]	[73261493]	[73261494]
640_1011	chr19	55461457	55461857	+	1000	258.0	[9.859796]	[104]	[12.820818, 7.3538165]	[105, 141]	[55461651]	[55461652, 55461688]
640_10112	chr19	48835706	48836106	+	1000	82.0	[8.334265, 7.981569]	[109, 139]	[7.5613456]	[110]	[48835910, 48835940]	[48835911]
640_10125	chr2	109274993	109275393	+	1000	82.0	[12.820818]	[146]	[9.3206]	[147]	[109275236]	[109275237]
640_10126	chr2	120262716	120263116	+	1000	82.0	[7.5613456, 12.820818]	[77, 108]	[8.334265, 9.859796]	[78, 109]	[120262872, 120262903]	[120262873, 120262904]
640_10129	chr2	172102841	172103241	+	1000	82.0	[7.5613456]	[145]	[9.081068]	[103]	[172103072]	[172103030]
640_10131	chr2	240584397	240584797	+	1000	82.0	[]	[]	[7.5613456]	[61]	[]	[240584554]
640_10135	chr20	32570407	32570807	+	1000	82.0	[7.3805842]	[77]	[]	[]	[32570574]	[]
640_10136	chr20	34954863	34955263	+	1000	82.0	[9.957076]	[86]	[9.957076]	[87]	[34955049]	[34955050]
640_10137	chr20	46683142	46683542	+	1000	82.0	[]	[]	[7.3984704, 7.981569]	[85, 148]	[]	[46683310, 46683373]
640_10144	chr22	36387724	36388124	+	1000	82.0	[]	[]	[7.981569]	[74]	[]	[36387895]
640_10145	chr22	40469152	40469552	+	1000	82.0	[9.081068]	[148]	[]	[]	[40469389]	[]
640_1015	chr6	26520428	26520828	+	1000	258.0	[12.820818]	[64]	[9.957076]	[65]	[26520583]	[26520584]
640_10153	chr3	100634814	100635214	+	1000	82.0	[9.859796]	[131]	[9.957076]	[132]	[100635037]	[100635038]
640_10158	chr5	8057761	8058161	+	1000	82.0	[9.957076]	[149]	[9.859796]	[150]	[8058007]	[8058008]
640_10161	chr5	132425530	132425930	+	1000	82.0	[9.957076]	[90]	[12.820818, 7.4328523]	[91, 101]	[132425701]	[132425702, 132425712]
640_10166	chr6	4911122	4911522	+	1000	82.0	[]	[]	[8.334265]	[84]	[]	[4911290]
640_10174	chr6	31596951	31597351	+	1000	82.0	[9.081068]	[111]	[]	[]	[31597147]	[]
640_10176	chr6	42010209	42010609	+	1000	82.0	[]	[]	[8.415787]	[113]	[]	[42010408]
640_1018	chr18	158107	158507	+	1000	257.0	[12.820818]	[103]	[12.820818]	[104]	[158302]	[158303]
640_10181	chr7	1951225	1951625	+	1000	82.0	[9.957076]	[120]	[9.3206]	[121]	[1951434]	[1951435]
640_10182	chr7	25732777	25733177	+	1000	82.0	[]	[]	[7.5613456, 8.415787]	[79, 117]	[]	[25732941, 25732979]
640_10192	chr8	38850930	38851330	+	1000	82.0	[9.3206]	[106]	[12.820818]	[107]	[38851107]	[38851108]
640_10194	chr8	62102751	62103151	+	1000	82.0	[12.820818]	[82]	[12.820818]	[83]	[62102928]	[62102929]
640_10195	chr8	123057637	123058037	+	1000	82.0	[12.820818]	[131]	[12.820818]	[132]	[123057859]	[123057860]
640_1020	chr4	158723305	158723705	+	1000	257.0	[8.415534, 8.334265]	[100, 114]	[]	[]	[158723500, 158723514]	[]
640_10201	chr9	5628794	5629194	+	1000	82.0	[8.344066]	[105]	[8.415534]	[106]	[5628990]	[5628991]
640_10209	chr1	7783761	7784161	+	1000	81.0	[12.820818]	[64]	[12.820818]	[65]	[7783920]	[7783921]
640_1021	chr5	177370750	177371150	+	1000	257.0	[]	[]	[8.344066]	[77]	[]	[177370927]
640_10218	chr1	70675666	70676066	+	1000	81.0	[8.415787]	[64]	[9.081068]	[65]	[70675822]	[70675823]
640_10219	chr1	84505661	84506061	+	1000	81.0	[8.344066]	[94]	[8.415534]	[95]	[84505837]	[84505838]
640_10223	chr1	154187066	154187466	+	1000	81.0	[]	[]	[8.334265]	[146]	[]	[154187312]
640_10229	chr1	207935173	207935573	+	1000	81.0	[]	[]	[9.081068]	[138]	[]	[207935387]
640_1023	chr9	127862100	127862500	+	1000	257.0	[9.957076]	[100]	[9.859796]	[101]	[127862290]	[127862291]
640_10238	chr10	68550776	68551176	+	1000	81.0	[]	[]	[8.415787]	[132]	[]	[68551002]
640_10244	chr10	87500635	87501035	+	1000	81.0	[]	[]	[9.081068]	[96]	[]	[87500790]
640_10250	chr11	63681111	63681511	+	1000	81.0	[8.415534]	[130]	[]	[]	[63681338]	[]
640_10251	chr11	65476247	65476647	+	1000	81.0	[9.859796]	[113]	[12.820818]	[114]	[65476453]	[65476454]
640_10254	chr11	134868456	134868856	+	1000	81.0	[]	[]	[9.081068]	[88]	[]	[134868634]
640_10261	chr12	93591411	93591811	+	1000	81.0	[7.4328523]	[75]	[7.3984704]	[76]	[93591580]	[93591581]
640_10267	chr12	131000010	131000410	+	1000	81.0	[]	[]	[8.415787]	[150]	[]	[131000226]
640_10268	chr13	25380198	25380598	+	1000	81.0	[]	[]	[8.415787]	[108]	[]	[25380406]
640_10271	chr13	99971206	99971606	+	1000	81.0	[9.081068]	[82]	[]	[]	[99971387]	[]
640_10279	chr14	49767441	49767841	+	1000	81.0	[12.820818]	[139]	[9.3206]	[140]	[49767671]	[49767672]
640_10280	chr14	54565837	54566237	+	1000	81.0	[8.415534]	[71]	[8.415787]	[162]	[54565989]	[54566080]
640_10289	chr16	1351727	1352127	+	1000	81.0	[7.3984704, 9.3206, 9.3206]	[98, 106, 122]	[7.4328523, 9.3206, 9.3206]	[99, 107, 123]	[1351910, 1351918, 1351934]	[1351911, 1351919, 1351935]
640_10290	chr16	9077399	9077799	+	1000	81.0	[]	[]	[7.981569]	[104]	[]	[9077600]
640_10294	chr16	58001090	58001490	+	1000	81.0	[8.415534]	[106]	[]	[]	[58001281]	[]
640_10298	chr17	63834832	63835232	+	1000	81.0	[7.3805842]	[71]	[7.981569]	[72]	[63834986]	[63834987]
640_10304	chr19	916913	917313	+	1000	81.0	[8.344066]	[118]	[8.415534]	[119]	[917115]	[917116]
640_10306	chr19	1604720	1605120	+	1000	81.0	[12.820818]	[142]	[12.820818]	[143]	[1604931]	[1604932]
640_10308	chr19	5340818	5341218	+	1000	81.0	[9.3206, 9.957076, 9.859796]	[82, 117, 143]	[12.820818, 12.820818, 12.820818]	[83, 118, 144]	[5340985, 5341020, 5341046]	[5340986, 5341021, 5341047]
640_10312	chr19	45153529	45153929	+	1000	81.0	[9.957076]	[94]	[8.415534, 9.957076]	[79, 95]	[45153722]	[45153707, 45153723]
640_10330	chr2	174059077	174059477	+	1000	81.0	[9.081068, 12.820818]	[105, 125]	[8.415787, 9.957076]	[106, 126]	[174059270, 174059290]	[174059271, 174059291]
640_10332	chr2	181892163	181892563	+	1000	81.0	[7.3805842]	[93]	[]	[]	[181892350]	[]
640_10333	chr20	381656	382056	+	1000	81.0	[]	[]	[8.334265]	[88]	[]	[381840]
640_10335	chr20	32634461	32634861	+	1000	81.0	[7.3805842]	[103]	[]	[]	[32634632]	[]
640_10337	chr21	33383017	33383417	+	1000	81.0	[]	[]	[7.981569]	[79]	[]	[33383182]
640_10343	chr22	21817195	21817595	+	1000	81.0	[9.859796]	[104]	[9.957076, 9.081068]	[105, 124]	[21817398]	[21817399, 21817418]
640_10344	chr22	21972241	21972641	+	1000	81.0	[7.981569]	[126]	[7.3805842]	[127]	[21972459]	[21972460]
640_10345	chr22	25564406	25564806	+	1000	81.0	[7.981569]	[162]	[7.3805842]	[163]	[25564639]	[25564640]
640_10347	chr22	42614327	42614727	+	1000	81.0	[7.3805842]	[133]	[7.981569]	[134]	[42614547]	[42614548]
640_10348	chr22	46754457	46754857	+	1000	81.0	[12.820818]	[107]	[9.957076]	[108]	[46754664]	[46754665]
640_1035	chr7	150322711	150323111	+	1000	256.0	[8.344066, 9.957076]	[79, 127]	[8.415534, 9.957076]	[80, 128]	[150322881, 150322929]	[150322882, 150322930]
640_10353	chr3	52410468	52410868	+	1000	81.0	[8.415534]	[144]	[]	[]	[52410629]	[]
640_10354	chr3	170703077	170703477	+	1000	81.0	[8.415787]	[125]	[]	[]	[170703298]	[]
640_10355	chr3	180881021	180881421	+	1000	81.0	[12.820818]	[124]	[9.859796]	[125]	[180881220]	[180881221]
640_10359	chr4	40194840	40195240	+	1000	81.0	[12.820818]	[140]	[12.820818]	[141]	[40195079]	[40195080]
640_10360	chr4	73104151	73104551	+	1000	81.0	[12.820818]	[116]	[12.820818]	[117]	[73104367]	[73104368]
640_10366	chr5	103259115	103259515	+	1000	81.0	[7.3984704]	[103]	[]	[]	[103259300]	[]
640_10367	chr5	138489326	138489726	+	1000	81.0	[9.957076]	[136]	[12.820818]	[137]	[138489550]	[138489551]
640_10368	chr5	160261480	160261880	+	1000	81.0	[12.820818]	[96]	[12.820818]	[97]	[160261663]	[160261664]
640_10369	chr5	178832632	178833032	+	1000	81.0	[]	[]	[9.081068]	[131]	[]	[178832855]
640_10383	chr7	362705	363105	+	1000	81.0	[7.3805842, 8.344066]	[116, 135]	[7.981569]	[117]	[362902, 362921]	[362903]
640_10387	chr7	22680441	22680841	+	1000	81.0	[]	[]	[7.1483927]	[77]	[]	[22680606]
640_10399	chr8	55930513	55930913	+	1000	81.0	[9.957076]	[91]	[12.820818]	[92]	[55930702]	[55930703]
640_104	chr17	76557576	76557976	+	1000	477.0	[8.415534]	[112]	[8.344066]	[113]	[76557783]	[76557784]
640_1041	chr1	224434670	224435070	+	1000	255.0	[9.957076]	[131]	[9.957076]	[132]	[224434893]	[224434894]
640_10412	chr1	7372542	7372942	+	1000	80.0	[9.081068, 9.859796]	[86, 137]	[12.820818]	[138]	[7372723, 7372774]	[7372775]
640_10434	chr1	244273009	244273409	+	1000	80.0	[9.081068, 9.859796]	[117, 132]	[9.859796]	[133]	[244273221, 244273236]	[244273237]
640_10441	chr10	102399463	102399863	+	1000	80.0	[8.334265]	[133]	[]	[]	[102399683]	[]
640_10447	chr11	67436418	67436818	+	1000	80.0	[8.334265]	[78]	[]	[]	[67436584]	[]
640_10451	chr12	1601441	1601841	+	1000	80.0	[12.820818]	[112]	[9.859796]	[113]	[1601636]	[1601637]
640_10455	chr12	91679956	91680356	+	1000	80.0	[9.957076]	[131]	[9.957076, 7.5613456]	[132, 144]	[91680160]	[91680161, 91680173]
640_10458	chr12	116759694	116760094	+	1000	80.0	[]	[]	[7.4328523]	[110]	[]	[116759896]
640_10472	chr15	90157848	90158248	+	1000	80.0	[7.3805842]	[102]	[7.981569]	[103]	[90158005]	[90158006]
640_10473	chr16	4734652	4735052	+	1000	80.0	[7.981569]	[125]	[7.3805842]	[126]	[4734869]	[4734870]
640_10475	chr16	67660644	67661044	+	1000	80.0	[]	[]	[7.1483927]	[140]	[]	[67660863]
640_10480	chr17	28317101	28317501	+	1000	80.0	[9.957076]	[139]	[9.859796]	[140]	[28317334]	[28317335]
640_10484	chr17	43545629	43546029	+	1000	80.0	[8.334265]	[210]	[]	[]	[43545857]	[]
640_10487	chr17	66200646	66201046	+	1000	80.0	[9.957076]	[103]	[9.957076]	[104]	[66200845]	[66200846]
640_10492	chr18	23586874	23587274	+	1000	80.0	[8.334265]	[82]	[7.4328523]	[111]	[23587051]	[23587080]
640_10494	chr19	6272039	6272439	+	1000	80.0	[9.859796]	[133]	[9.957076]	[134]	[6272248]	[6272249]
640_10496	chr19	12792380	12792780	+	1000	80.0	[7.3538165]	[150]	[]	[]	[12792619]	[]
640_10503	chr19	52690266	52690666	+	1000	80.0	[8.344066]	[114]	[]	[]	[52690464]	[]
640_10508	chr2	170740664	170741064	+	1000	80.0	[8.415787, 7.5613456]	[114, 156]	[8.415787]	[85]	[170740866, 170740908]	[170740837]
640_1051	chr14	21308765	21309165	+	1000	254.0	[9.859796]	[77]	[12.820818]	[78]	[21308936]	[21308937]
640_10512	chr20	31661638	31662038	+	1000	80.0	[8.344066]	[153]	[8.415534]	[154]	[31661865]	[31661866]
640_10517	chr22	19760281	19760681	+	1000	80.0	[]	[]	[8.415534]	[115]	[]	[19760494]
640_10525	chr3	128547430	128547830	+	1000	80.0	[12.820818]	[86]	[9.957076]	[87]	[128547598]	[128547599]
640_10527	chr3	140198968	140199368	+	1000	80.0	[9.081068]	[74]	[]	[]	[140199141]	[]
640_10541	chr5	123937211	123937611	+	1000	80.0	[9.081068, 12.820818]	[103, 146]	[9.957076]	[147]	[123937400, 123937443]	[123937444]
640_10545	chr6	2966370	2966770	+	1000	80.0	[9.957076]	[101]	[12.820818]	[102]	[2966567]	[2966568]
640_10553	chr6	28344229	28344629	+	1000	80.0	[8.415787]	[133]	[]	[]	[28344456]	[]
640_10563	chr7	6923125	6923525	+	1000	80.0	[12.820818]	[68]	[12.820818]	[69]	[6923292]	[6923293]
640_10566	chr7	111329401	111329801	+	1000	80.0	[]	[]	[9.081068]	[119]	[]	[111329608]
640_10573	chr8	133375503	133375903	+	1000	80.0	[9.859796]	[101]	[9.3206]	[102]	[133375695]	[133375696]
640_10580	chr9	130770970	130771370	+	1000	80.0	[8.415787]	[62]	[9.081068]	[63]	[130771131]	[130771132]
640_10581	chr9	131045277	131045677	+	1000	80.0	[9.3206, 7.981569]	[124, 133]	[12.820818, 7.3805842]	[125, 134]	[131045485, 131045494]	[131045486, 131045495]
640_10585	chr9	137087483	137087883	+	1000	80.0	[8.415787]	[72]	[]	[]	[137087643]	[]
640_10587	chrX	31862746	31863146	+	1000	80.0	[]	[]	[7.3538165]	[219]	[]	[31862992]
640_10597	chr1	25550148	25550548	+	1000	79.0	[7.3805842]	[145]	[7.981569]	[146]	[25550375]	[25550376]
640_10598	chr1	26791537	26791937	+	1000	79.0	[8.334265]	[108]	[]	[]	[26791736]	[]
640_10599	chr1	27529136	27529536	+	1000	79.0	[9.859796]	[140]	[9.859796]	[141]	[27529374]	[27529375]
640_1060	chr20	49277993	49278393	+	1000	254.0	[]	[]	[7.981569]	[115]	[]	[49278198]
640_10613	chr1	203216182	203216582	+	1000	79.0	[9.859796]	[129]	[9.957076]	[130]	[203216405]	[203216406]
640_1062	chr1	52697886	52698286	+	1000	253.0	[12.820818]	[146]	[8.415534, 9.3206]	[106, 147]	[52698122]	[52698082, 52698123]
640_10621	chr10	131896438	131896838	+	1000	79.0	[7.981569]	[107]	[7.3805842]	[108]	[131896632]	[131896633]
640_10622	chr10	132537044	132537444	+	1000	79.0	[]	[]	[8.415534]	[130]	[]	[132537256]
640_10623	chr11	665748	666148	+	1000	79.0	[7.2921777]	[90]	[8.415787]	[125]	[665936]	[665971]
640_10629	chr11	65909368	65909768	+	1000	79.0	[8.415534]	[114]	[]	[]	[65909559]	[]
640_10630	chr11	67804982	67805382	+	1000	79.0	[8.334265]	[201]	[]	[]	[67805214]	[]
640_10635	chr11	96155956	96156356	+	1000	79.0	[8.415787]	[148]	[9.081068]	[149]	[96156144]	[96156145]
640_10644	chr12	113773392	113773792	+	1000	79.0	[7.3805842]	[97]	[]	[]	[113773582]	[]
640_10645	chr12	120265815	120266215	+	1000	79.0	[9.081068]	[153]	[]	[]	[120266040]	[]
640_10648	chr12	123973031	123973431	+	1000	79.0	[7.981569]	[84]	[]	[]	[123973197]	[]
640_10649	chr13	20712624	20713024	+	1000	79.0	[8.415534]	[133]	[8.344066]	[134]	[20712842]	[20712843]
640_1065	chr10	30348865	30349265	+	1000	253.0	[12.820818, 7.3984704]	[91, 101]	[9.859796]	[92]	[30349045, 30349055]	[30349046]
640_10650	chr13	52159486	52159886	+	1000	79.0	[7.1483927]	[133]	[]	[]	[52159717]	[]
640_10656	chr15	65303743	65304143	+	1000	79.0	[]	[]	[7.981569]	[105]	[]	[65303937]
640_10658	chr15	90001859	90002259	+	1000	79.0	[9.957076]	[127]	[12.820818]	[128]	[90002083]	[90002084]
640_10659	chr15	93035908	93036308	+	1000	79.0	[9.859796]	[76]	[9.859796]	[77]	[93036078]	[93036079]
640_1066	chr10	49183583	49183983	+	1000	253.0	[12.820818]	[86]	[12.820818]	[87]	[49183762]	[49183763]
640_10662	chr16	3158645	3159045	+	1000	79.0	[]	[]	[8.344066]	[177]	[]	[3158850]
640_10663	chr16	10972136	10972536	+	1000	79.0	[]	[]	[7.1483927]	[121]	[]	[10972323]
640_10677	chr17	58679197	58679597	+	1000	79.0	[7.3805842]	[77]	[7.981569]	[78]	[58679371]	[58679372]
640_10679	chr17	64213950	64214350	+	1000	79.0	[9.957076]	[96]	[9.957076]	[97]	[64214142]	[64214143]
640_10680	chr17	74408274	74408674	+	1000	79.0	[12.820818]	[82]	[12.820818]	[83]	[74408453]	[74408454]
640_10683	chr17	81354950	81355350	+	1000	79.0	[7.981569]	[117]	[7.3805842]	[118]	[81355154]	[81355155]
640_10698	chr2	9753279	9753679	+	1000	79.0	[12.820818]	[67]	[9.859796]	[68]	[9753440]	[9753441]
640_10699	chr2	32833705	32834105	+	1000	79.0	[9.081068]	[104]	[8.415787]	[105]	[32833905]	[32833906]
640_10701	chr2	38542883	38543283	+	1000	79.0	[]	[]	[8.415787]	[145]	[]	[38543125]
640_10703	chr2	73716980	73717380	+	1000	79.0	[8.415787]	[114]	[9.081068]	[115]	[73717190]	[73717191]
640_10713	chr20	401904	402304	+	1000	79.0	[]	[]	[8.415787]	[103]	[]	[402106]
640_10717	chr20	45322943	45323343	+	1000	79.0	[]	[]	[7.3538165, 7.981569]	[104, 156]	[]	[45323120, 45323172]
640_10718	chr20	45771140	45771540	+	1000	79.0	[]	[]	[9.081068]	[155]	[]	[45771385]
640_10723	chr21	44836538	44836938	+	1000	79.0	[12.820818]	[94]	[9.3206]	[95]	[44836731]	[44836732]
640_10729	chr3	40372055	40372455	+	1000	79.0	[7.3805842]	[84]	[7.981569]	[85]	[40372236]	[40372237]
640_10733	chr3	112086204	112086604	+	1000	79.0	[]	[]	[9.081068]	[126]	[]	[112086405]
640_10738	chr3	194005084	194005484	+	1000	79.0	[8.415787]	[65]	[8.415787]	[82]	[194005239]	[194005256]
640_10739	chr3	196127551	196127951	+	1000	79.0	[8.334265]	[112]	[]	[]	[196127742]	[]
640_10740	chr3	196684863	196685263	+	1000	79.0	[9.081068]	[133]	[8.415787]	[134]	[196685084]	[196685085]
640_10747	chr5	151157598	151157998	+	1000	79.0	[9.859796]	[135]	[12.820818]	[136]	[151157823]	[151157824]
640_10751	chr5	178232420	178232820	+	1000	79.0	[8.344066]	[67]	[8.415534]	[68]	[178232581]	[178232582]
640_10753	chr5	181203997	181204397	+	1000	79.0	[7.3805842]	[78]	[7.981569]	[79]	[181204163]	[181204164]
640_10756	chr6	14502594	14502994	+	1000	79.0	[12.820818]	[114]	[12.820818]	[115]	[14502794]	[14502795]
640_10758	chr6	26553920	26554320	+	1000	79.0	[]	[]	[8.334265]	[120]	[]	[26554117]
640_10762	chr6	44074463	44074863	+	1000	79.0	[8.344066]	[112]	[]	[]	[44074632]	[]
640_10764	chr6	69622196	69622596	+	1000	79.0	[9.859796]	[113]	[12.820818]	[114]	[69622405]	[69622406]
640_1077	chr8	143284606	143285006	+	1000	253.0	[12.820818]	[98]	[9.957076]	[99]	[143284793]	[143284794]
640_10772	chr7	36152982	36153382	+	1000	79.0	[12.820818]	[85]	[9.957076]	[86]	[36153156]	[36153157]
640_10779	chr7	127652882	127653282	+	1000	79.0	[]	[]	[9.081068]	[124]	[]	[127653101]
640_10782	chr7	139542391	139542791	+	1000	79.0	[7.981569]	[118]	[7.5613456]	[171]	[139542580]	[139542633]
640_10784	chr7	143507158	143507558	+	1000	79.0	[12.820818]	[121]	[12.820818]	[122]	[143507369]	[143507370]
640_10785	chr7	153413223	153413623	+	1000	79.0	[8.344066]	[103]	[8.415534]	[104]	[153413404]	[153413405]
640_10793	chr9	94301600	94302000	+	1000	79.0	[8.415787]	[99]	[9.081068]	[100]	[94301781]	[94301782]
640_10794	chr9	98310743	98311143	+	1000	79.0	[]	[]	[8.415787]	[121]	[]	[98310952]
640_10798	chrX	10166154	10166554	+	1000	79.0	[9.957076]	[134]	[9.957076]	[135]	[10166384]	[10166385]
640_10802	chr1	6141623	6142023	+	1000	78.0	[9.957076]	[134]	[12.820818]	[135]	[6141846]	[6141847]
640_10811	chr1	43834560	43834960	+	1000	78.0	[8.344066]	[128]	[]	[]	[43834741]	[]
640_10814	chr1	58883337	58883737	+	1000	78.0	[]	[]	[7.981569]	[93]	[]	[58883528]
640_1082	chr1	8197795	8198195	+	1000	252.0	[8.334265]	[96]	[]	[]	[8197986]	[]
640_10823	chr10	44913266	44913666	+	1000	78.0	[9.081068]	[86]	[]	[]	[44913442]	[]
640_10826	chr10	72364257	72364657	+	1000	78.0	[]	[]	[8.334265]	[99]	[]	[72364456]
640_10827	chr10	80044941	80045341	+	1000	78.0	[12.820818]	[66]	[9.859796]	[67]	[80045100]	[80045101]
640_1083	chr1	32413914	32414314	+	1000	252.0	[]	[]	[9.081068]	[96]	[]	[32414109]
640_10832	chr11	43946979	43947379	+	1000	78.0	[]	[]	[9.081068]	[74]	[]	[43947151]
640_10836	chr11	64226047	64226447	+	1000	78.0	[8.415534]	[112]	[8.344066]	[113]	[64226231]	[64226232]
640_10837	chr11	68147015	68147415	+	1000	78.0	[9.859796]	[96]	[9.859796]	[97]	[68147209]	[68147210]
640_1084	chr1	33349892	33350292	+	1000	252.0	[7.3805842]	[106]	[7.981569]	[107]	[33350096]	[33350097]
640_10843	chr12	30844497	30844897	+	1000	78.0	[12.820818]	[73]	[12.820818]	[74]	[30844658]	[30844659]
640_10844	chr12	42144728	42145128	+	1000	78.0	[]	[]	[8.344066]	[133]	[]	[42144958]
640_10849	chr12	121712502	121712902	+	1000	78.0	[]	[]	[8.415534]	[139]	[]	[121712663]
640_10853	chr14	35045994	35046394	+	1000	78.0	[7.3805842]	[90]	[]	[]	[35046176]	[]
640_10855	chr15	35547980	35548380	+	1000	78.0	[9.859796]	[85]	[9.859796]	[86]	[35548158]	[35548159]
640_10858	chr15	63895208	63895608	+	1000	78.0	[9.081068]	[85]	[]	[]	[63895392]	[]
640_10861	chr15	87703584	87703984	+	1000	78.0	[8.415787]	[119]	[9.081068]	[120]	[87703777]	[87703778]
640_10869	chr16	70685920	70686320	+	1000	78.0	[9.3206]	[103]	[12.820818]	[104]	[70686091]	[70686092]
640_10873	chr17	28251089	28251489	+	1000	78.0	[]	[]	[7.981569]	[127]	[]	[28251314]
640_10879	chr17	44138274	44138674	+	1000	78.0	[7.5613456]	[128]	[8.334265, 7.981569]	[129, 154]	[44138491]	[44138492, 44138517]
640_1088	chr17	28727247	28727647	+	1000	252.0	[12.820818]	[135]	[12.820818]	[136]	[28727470]	[28727471]
640_10884	chr17	51372535	51372935	+	1000	78.0	[9.859796]	[70]	[12.820818]	[71]	[51372704]	[51372705]
640_10889	chr19	3275397	3275797	+	1000	78.0	[8.334265]	[129]	[7.5613456]	[130]	[3275619]	[3275620]
640_10891	chr19	6572278	6572678	+	1000	78.0	[8.415787]	[135]	[9.081068]	[136]	[6572495]	[6572496]
640_10894	chr19	13160537	13160937	+	1000	78.0	[8.415787, 8.415787]	[103, 150]	[9.081068, 9.081068]	[104, 151]	[13160733, 13160780]	[13160734, 13160781]
640_10899	chr19	55280689	55281089	+	1000	78.0	[9.957076]	[138]	[9.957076]	[139]	[55280905]	[55280906]
640_109	chr6	10694788	10695188	+	1000	473.0	[9.957076]	[84]	[9.957076]	[85]	[10694970]	[10694971]
640_10910	chr20	653188	653588	+	1000	78.0	[7.5613456]	[88]	[]	[]	[653361]	[]
640_10912	chr20	3767513	3767913	+	1000	78.0	[]	[]	[7.981569]	[140]	[]	[3767742]
640_10913	chr20	32397669	32398069	+	1000	78.0	[7.3538165]	[103]	[]	[]	[32397858]	[]
640_10918	chr21	43916713	43917113	+	1000	78.0	[7.981569]	[117]	[]	[]	[43916930]	[]
640_10922	chr22	22109790	22110190	+	1000	78.0	[]	[]	[9.081068]	[96]	[]	[22109973]
640_10926	chr22	41381133	41381533	+	1000	78.0	[9.957076, 7.981569]	[186, 198]	[9.957076]	[187]	[41381327, 41381339]	[41381328]
640_10928	chr22	50260979	50261379	+	1000	78.0	[]	[]	[7.3805842]	[99]	[]	[50261170]
640_10929	chr3	13085154	13085554	+	1000	78.0	[9.3206]	[156]	[12.820818]	[157]	[13085390]	[13085391]
