#PeakID(python identify_motif.py ./ENCODE_processed_files/FOXA3_idr.fa FOXA3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
876_10090	chr13	107983121	107983521	+	1000	41.5	[7.7748694]	[148]	[]	[]	[107983354]	[]
876_101	chr2	191597217	191597617	+	1000	412.0	[9.53014]	[78]	[]	[]	[191597395]	[]
876_10102	chr16	79400788	79401188	+	1000	41.5	[9.53014]	[68]	[]	[]	[79400951]	[]
876_10106	chr17	45161595	45161995	+	872	41.5	[]	[]	[8.361351]	[137]	[]	[45161797]
876_10110	chr17	77421223	77421623	+	990	41.5	[8.361351]	[117]	[]	[]	[77421427]	[]
876_10120	chr2	37781012	37781412	+	1000	41.5	[8.361351]	[150]	[]	[]	[37781238]	[]
876_10126	chr2	88627386	88627786	+	977	41.5	[8.361351]	[122]	[]	[]	[88627583]	[]
876_10135	chr2	201401365	201401765	+	1000	41.5	[12.570299]	[126]	[]	[]	[201401570]	[]
876_10136	chr2	224369055	224369455	+	1000	41.5	[10.2047415]	[98]	[]	[]	[224369249]	[]
876_10143	chr22	17980485	17980885	+	1000	41.5	[8.361351]	[88]	[]	[]	[17980663]	[]
876_10145	chr22	20576790	20577190	+	866	41.5	[9.53014]	[144]	[]	[]	[20576978]	[]
876_10170	chr22	28438450	28438850	+	1000	41.5	[9.53014]	[163]	[10.2047415]	[99]	[28438700]	[28438636]
876_10171	chr22	39751145	39751545	+	725	41.5	[8.84223]	[154]	[7.676677]	[67]	[39751383]	[39751296]
876_10180	chr3	129686889	129687289	+	1000	41.5	[12.570299]	[117]	[10.2047415]	[171]	[129687078]	[129687132]
876_10181	chr3	132642230	132642630	+	913	41.5	[]	[]	[8.009179]	[106]	[]	[132642422]
876_10182	chr3	182136511	182136911	+	1000	41.5	[]	[]	[9.53014]	[122]	[]	[182136723]
876_10190	chr5	39076828	39077228	+	972	41.5	[]	[]	[12.570299]	[170]	[]	[39077060]
876_10192	chr5	76657963	76658363	+	563	41.5	[]	[]	[7.764176]	[55]	[]	[76658114]
876_10193	chr5	95841904	95842304	+	1000	41.5	[8.361351]	[149]	[]	[]	[95842139]	[]
876_10195	chr5	142508060	142508460	+	1000	41.5	[]	[]	[12.570299]	[105]	[]	[142508241]
876_10198	chr5	160252536	160252936	+	1000	41.5	[12.570299]	[120]	[]	[]	[160252728]	[]
876_1020	chr11	66083367	66083767	+	1000	137.0	[]	[]	[12.570299]	[160]	[]	[66083585]
876_10204	chr6	11937984	11938384	+	1000	41.5	[]	[]	[10.2047415, 7.5891633]	[111, 161]	[]	[11938162, 11938212]
876_10209	chr6	27839516	27839916	+	897	41.5	[]	[]	[9.252844]	[106]	[]	[27839704]
876_10217	chr6	43773188	43773588	+	1000	41.5	[]	[]	[8.361351]	[183]	[]	[43773419]
876_1022	chr17	45147662	45148062	+	1000	137.0	[]	[]	[12.570299, 8.009179]	[85, 111]	[]	[45147817, 45147843]
876_10221	chr6	130947424	130947824	+	754	41.5	[8.361351]	[166]	[]	[]	[130947671]	[]
876_10225	chr6	156809120	156809520	+	961	41.5	[9.252844]	[88]	[]	[]	[156809301]	[]
876_10230	chr7	22346281	22346681	+	998	41.5	[8.361351]	[97]	[]	[]	[22346476]	[]
876_10233	chr7	25727030	25727430	+	1000	41.5	[7.578352]	[60]	[12.570299]	[152]	[25727182]	[25727274]
876_10237	chr7	78004085	78004485	+	1000	41.5	[]	[]	[8.361351]	[116]	[]	[78004300]
876_10243	chr7	107167529	107167929	+	1000	41.5	[8.009179]	[193]	[8.84223]	[244]	[107167724]	[107167775]
876_10244	chr7	116339586	116339986	+	1000	41.5	[]	[]	[8.84223]	[93]	[]	[116339769]
876_10247	chr7	135662018	135662418	+	1000	41.5	[]	[]	[7.553737]	[231]	[]	[135662268]
876_10260	chr9	19202178	19202578	+	552	41.5	[9.53014]	[62]	[]	[]	[19202329]	[]
876_10262	chr9	73869376	73869776	+	792	41.5	[12.570299]	[121]	[]	[]	[73869578]	[]
876_10265	chr9	130693402	130693802	+	1000	41.5	[7.676677, 12.570299]	[116, 171]	[]	[]	[130693589, 130693644]	[]
876_10277	chrX	110173832	110174232	+	1000	41.5	[12.570299]	[98]	[]	[]	[110174029]	[]
876_1029	chr7	129367815	129368215	+	1000	137.0	[]	[]	[12.570299]	[80]	[]	[129367983]
876_10290	chr1	37892260	37892660	+	683	41.0	[8.361351]	[123]	[]	[]	[37892481]	[]
876_10305	chr1	146007128	146007528	+	1000	41.0	[]	[]	[9.53014]	[116]	[]	[146007337]
876_10307	chr1	151548843	151549243	+	641	41.0	[]	[]	[12.570299]	[65]	[]	[151548997]
876_10308	chr1	174023054	174023454	+	950	41.0	[]	[]	[12.570299]	[126]	[]	[174023266]
876_10319	chr1	224357449	224357849	+	1000	41.0	[]	[]	[7.676677]	[184]	[]	[224357644]
876_10329	chr10	22682369	22682769	+	1000	41.0	[9.252844]	[124]	[]	[]	[22682582]	[]
876_10336	chr11	36385136	36385536	+	749	41.0	[10.2047415]	[122]	[8.84223]	[155]	[36385334]	[36385367]
876_10346	chr12	26769158	26769558	+	1000	41.0	[12.570299]	[122]	[10.2047415]	[98]	[26769366]	[26769342]
876_10349	chr12	53988997	53989397	+	1000	41.0	[8.182752]	[157]	[]	[]	[53989244]	[]
876_10352	chr12	76764807	76765207	+	1000	41.0	[12.570299]	[114]	[12.570299]	[153]	[76765016]	[76765055]
876_10353	chr12	79933068	79933468	+	1000	41.0	[12.570299]	[115]	[]	[]	[79933277]	[]
876_10369	chr13	91152268	91152668	+	835	41.0	[9.252844]	[135]	[]	[]	[91152459]	[]
876_10386	chr15	35064784	35065184	+	1000	41.0	[12.570299]	[136]	[9.53014]	[75]	[35065017]	[35064956]
876_10392	chr15	74312400	74312800	+	994	41.0	[9.252844]	[84]	[]	[]	[74312583]	[]
876_10398	chr16	14186109	14186509	+	843	41.0	[]	[]	[9.53014]	[87]	[]	[14186290]
876_10404	chr17	79473421	79473821	+	1000	41.0	[]	[]	[8.361351]	[138]	[]	[79473621]
876_10406	chr18	9937590	9937990	+	1000	41.0	[]	[]	[7.578352]	[164]	[]	[9937807]
876_10407	chr18	12543659	12544059	+	891	41.0	[12.570299]	[116]	[]	[]	[12543856]	[]
876_10410	chr19	50376170	50376570	+	1000	41.0	[8.264141]	[121]	[]	[]	[50376352]	[]
876_10416	chr2	64021674	64022074	+	956	41.0	[8.182752]	[157]	[12.570299]	[108]	[64021887]	[64021838]
876_10419	chr2	72745694	72746094	+	1000	41.0	[8.361351]	[136]	[]	[]	[72745896]	[]
876_10427	chr2	148643579	148643979	+	971	41.0	[]	[]	[10.2047415, 10.2047415]	[63, 119]	[]	[148643731, 148643787]
876_1043	chr3	186871389	186871789	+	1000	136.0	[12.570299]	[101]	[]	[]	[186871582]	[]
876_10443	chr22	19287492	19287892	+	1000	41.0	[12.570299]	[181]	[]	[]	[19287718]	[]
876_10452	chr22	21611432	21611832	+	1000	41.0	[9.53014]	[188]	[]	[]	[21611653]	[]
876_1046	chr6	111591397	111591797	+	1000	136.0	[8.264141]	[104]	[]	[]	[111591597]	[]
876_10466	chr22	22992725	22993125	+	733	41.0	[]	[]	[8.009179]	[82]	[]	[22992888]
876_1047	chr8	125664427	125664827	+	1000	136.0	[]	[]	[10.2047415]	[115]	[]	[125664612]
876_10475	chr3	25665453	25665853	+	1000	41.0	[]	[]	[8.361351]	[103]	[]	[25665632]
876_10479	chr3	42349649	42350049	+	1000	41.0	[9.53014, 7.7748694]	[82, 114]	[]	[]	[42349831, 42349863]	[]
876_10490	chr3	114362808	114363208	+	899	41.0	[10.2047415]	[111]	[]	[]	[114363006]	[]
876_10491	chr3	135518616	135519016	+	1000	41.0	[10.2047415]	[120]	[]	[]	[135518825]	[]
876_10494	chr3	154956214	154956614	+	1000	41.0	[7.553737]	[141]	[9.53014]	[92]	[154956455]	[154956406]
876_10497	chr3	177103233	177103633	+	1000	41.0	[]	[]	[8.361351]	[190]	[]	[177103481]
876_10502	chr4	55949392	55949792	+	1000	41.0	[]	[]	[9.53014]	[114]	[]	[55949594]
876_10519	chr6	21264430	21264830	+	1000	41.0	[8.361351]	[128]	[12.570299]	[160]	[21264640]	[21264672]
876_1053	chr7	5426635	5427035	+	1000	135.5	[12.570299]	[103]	[]	[]	[5426833]	[]
876_10537	chr6	157323262	157323662	+	928	41.0	[]	[]	[8.182752]	[158]	[]	[157323499]
876_1054	chr7	106568939	106569339	+	1000	135.5	[12.570299]	[141]	[]	[]	[106569168]	[]
876_10544	chr7	23475414	23475814	+	855	41.0	[]	[]	[12.570299]	[115]	[]	[23475618]
876_10547	chr7	91894794	91895194	+	1000	41.0	[12.570299]	[152]	[]	[]	[91895026]	[]
876_10558	chr8	90696737	90697137	+	1000	41.0	[8.361351]	[154]	[]	[]	[90696945]	[]
876_1056	chr5	38672338	38672738	+	1000	135.0	[12.570299]	[122]	[]	[]	[38672549]	[]
876_10562	chr9	104765987	104766387	+	671	41.0	[12.570299, 12.570299]	[92, 126]	[]	[]	[104766176, 104766210]	[]
876_10578	chr1	7827954	7828354	+	1000	40.5	[]	[]	[12.570299]	[119]	[]	[7828158]
876_1058	chr11	46243081	46243481	+	1000	134.5	[12.570299]	[94]	[]	[]	[46243273]	[]
876_10583	chr1	29160867	29161267	+	1000	40.5	[]	[]	[12.570299]	[122]	[]	[29161054]
876_10588	chr1	46277851	46278251	+	1000	40.5	[8.361351]	[199]	[]	[]	[46278091]	[]
876_10599	chr1	111225071	111225471	+	881	40.5	[]	[]	[8.009179]	[69]	[]	[111225230]
876_10619	chr10	3893961	3894361	+	797	40.5	[]	[]	[8.84223, 9.53014, 12.570299]	[85, 101, 122]	[]	[3894140, 3894156, 3894177]
876_10627	chr11	62082056	62082456	+	918	40.5	[12.570299]	[115]	[]	[]	[62082261]	[]
876_10633	chr11	111983233	111983633	+	996	40.5	[12.570299]	[98]	[]	[]	[111983431]	[]
876_10635	chr12	26786996	26787396	+	1000	40.5	[9.53014]	[116]	[]	[]	[26787189]	[]
876_10636	chr12	28190182	28190582	+	1000	40.5	[]	[]	[12.570299]	[141]	[]	[28190393]
876_10639	chr12	48189483	48189883	+	1000	40.5	[10.2047415]	[95]	[]	[]	[48189675]	[]
876_10641	chr12	88414271	88414671	+	1000	40.5	[9.252844, 12.570299]	[104, 119]	[8.361351]	[163]	[88414457, 88414472]	[88414516]
876_10649	chr13	50126278	50126678	+	1000	40.5	[12.570299, 12.570299]	[125, 141]	[]	[]	[50126500, 50126516]	[]
876_1066	chrX	130903156	130903556	+	1000	134.5	[]	[]	[8.361351]	[116]	[]	[130903360]
876_10660	chr15	88638510	88638910	+	575	40.5	[]	[]	[9.53014]	[86]	[]	[88638696]
876_10663	chr16	324352	324752	+	729	40.5	[9.53014]	[82]	[]	[]	[324529]	[]
876_10667	chr16	70251733	70252133	+	863	40.5	[]	[]	[8.84223]	[198]	[]	[70251964]
876_10678	chr18	322531	322931	+	999	40.5	[9.53014]	[107]	[]	[]	[322729]	[]
876_10682	chr18	6741385	6741785	+	951	40.5	[8.182752]	[104]	[]	[]	[6741571]	[]
876_10702	chr2	80247401	80247801	+	890	40.5	[]	[]	[12.570299]	[110]	[]	[80247608]
876_10704	chr2	148989928	148990328	+	967	40.5	[8.182752]	[157]	[]	[]	[148990100]	[]
876_10705	chr2	159614779	159615179	+	1000	40.5	[]	[]	[8.182752]	[204]	[]	[159615014]
876_10708	chr2	172066306	172066706	+	1000	40.5	[7.553737]	[82]	[9.53014]	[70]	[172066476]	[172066464]
876_10710	chr2	178287792	178288192	+	997	40.5	[7.7748694]	[158]	[]	[]	[178288015]	[]
876_10712	chr2	204644972	204645372	+	962	40.5	[]	[]	[10.2047415]	[157]	[]	[204645207]
876_10719	chr21	29640284	29640684	+	858	40.5	[]	[]	[8.361351]	[150]	[]	[29640456]
876_10744	chr22	40593914	40594314	+	945	40.5	[]	[]	[7.578352]	[146]	[]	[40594146]
876_10745	chr3	11618772	11619172	+	820	40.5	[]	[]	[10.2047415]	[110]	[]	[11618982]
876_10758	chr4	70976303	70976703	+	1000	40.5	[]	[]	[10.2047415, 12.570299]	[102, 138]	[]	[70976476, 70976512]
876_10759	chr4	87112152	87112552	+	982	40.5	[7.677661]	[114]	[]	[]	[87112364]	[]
876_10769	chr5	78659637	78660037	+	668	40.5	[9.53014]	[106]	[]	[]	[78659832]	[]
876_1077	chr11	95222835	95223235	+	1000	133.0	[10.2047415]	[160]	[]	[]	[95223062]	[]
876_10771	chr5	139689956	139690356	+	667	40.5	[]	[]	[10.2047415]	[167]	[]	[139690183]
876_10777	chr6	28141776	28142176	+	614	40.5	[]	[]	[9.53014]	[151]	[]	[28141976]
876_1078	chr1	182315194	182315594	+	1000	132.5	[]	[]	[12.570299]	[105]	[]	[182315386]
876_10785	chr6	119627295	119627695	+	949	40.5	[8.84223]	[100]	[]	[]	[119627478]	[]
876_10790	chr7	145368	145768	+	1000	40.5	[10.2047415]	[90]	[]	[]	[145534]	[]
876_10791	chr7	12622435	12622835	+	1000	40.5	[]	[]	[12.570299]	[71]	[]	[12622606]
876_10792	chr7	12728221	12728621	+	1000	40.5	[]	[]	[8.264141]	[88]	[]	[12728396]
876_10797	chr7	93046867	93047267	+	1000	40.5	[9.53014]	[168]	[10.2047415]	[161]	[93047114]	[93047107]
876_1080	chr16	13957752	13958152	+	1000	132.5	[9.53014]	[111]	[]	[]	[13957949]	[]
876_10804	chr7	116984856	116985256	+	1000	40.5	[]	[]	[8.361351]	[162]	[]	[116985086]
876_10815	chr7	150405163	150405563	+	883	40.5	[]	[]	[10.2047415]	[144]	[]	[150405364]
876_1082	chr3	17420694	17421094	+	1000	132.5	[9.53014, 10.2047415, 9.53014]	[74, 120, 124]	[]	[]	[17420865, 17420911, 17420915]	[]
876_10823	chr8	60135982	60136382	+	1000	40.5	[8.182752]	[78]	[8.361351]	[124]	[60136148]	[60136194]
876_10824	chr8	72108008	72108408	+	972	40.5	[]	[]	[10.2047415]	[95]	[]	[72108203]
876_10841	chrX	20374808	20375208	+	1000	40.5	[8.361351]	[130]	[]	[]	[20375025]	[]
876_10854	chr1	46643385	46643785	+	1000	40.0	[]	[]	[12.570299]	[116]	[]	[46643540]
876_10857	chr1	87902780	87903180	+	1000	40.0	[]	[]	[12.570299]	[109]	[]	[87902976]
876_1086	chr9	137550243	137550643	+	1000	132.5	[12.570299]	[87]	[]	[]	[137550427]	[]
876_10860	chr1	116871835	116872235	+	686	40.0	[9.53014]	[132]	[]	[]	[116872045]	[]
876_10886	chr10	5692584	5692984	+	1000	40.0	[]	[]	[8.361351]	[89]	[]	[5692759]
876_10891	chr10	60421600	60422000	+	1000	40.0	[12.570299, 9.53014]	[86, 131]	[]	[]	[60421779, 60421824]	[]
876_10896	chr10	110651477	110651877	+	706	40.0	[12.570299]	[99]	[]	[]	[110651628]	[]
876_109	chr15	70091942	70092342	+	1000	393.0	[8.182752]	[87]	[]	[]	[70092126]	[]
876_1090	chr12	93922474	93922874	+	1000	132.0	[7.7748694]	[109]	[]	[]	[93922668]	[]
876_10900	chr11	10539336	10539736	+	834	40.0	[12.570299]	[129]	[10.2047415, 12.570299]	[88, 107]	[10539558]	[10539517, 10539536]
876_10904	chr11	27392698	27393098	+	848	40.0	[]	[]	[9.53014]	[87]	[]	[27392885]
876_10914	chr11	74380033	74380433	+	1000	40.0	[12.570299]	[148]	[]	[]	[74380230]	[]
876_10918	chr11	102576374	102576774	+	1000	40.0	[9.252844]	[141]	[9.252844]	[99]	[102576583]	[102576541]
876_10921	chr12	49131020	49131420	+	1000	40.0	[7.677661]	[172]	[7.677661]	[171]	[49131218]	[49131217]
876_10928	chr12	108564739	108565139	+	911	40.0	[]	[]	[8.84223]	[180]	[]	[108564982]
876_1093	chr3	24628554	24628954	+	1000	132.0	[8.361351]	[92]	[]	[]	[24628728]	[]
876_10951	chr14	23007198	23007598	+	1000	40.0	[]	[]	[12.570299, 9.252844]	[118, 156]	[]	[23007361, 23007399]
876_10955	chr15	39133251	39133651	+	1000	40.0	[8.84223]	[107]	[]	[]	[39133439]	[]
876_10961	chr15	101651591	101651991	+	1000	40.0	[7.764176]	[159]	[]	[]	[101651841]	[]
876_10962	chr16	1993850	1994250	+	558	40.0	[8.361351]	[82]	[]	[]	[1994029]	[]
876_1097	chr7	30761285	30761685	+	1000	132.0	[]	[]	[12.570299]	[139]	[]	[30761500]
876_10971	chr17	64147303	64147703	+	1000	40.0	[]	[]	[8.009179]	[136]	[]	[64147538]
876_10972	chr17	64504850	64505250	+	561	40.0	[7.764176, 9.252844, 12.570299]	[106, 129, 149]	[]	[]	[64505007, 64505030, 64505050]	[]
876_10978	chr18	50301328	50301728	+	985	40.0	[]	[]	[10.2047415]	[86]	[]	[50301514]
876_10979	chr18	62714981	62715381	+	1000	40.0	[]	[]	[12.570299]	[154]	[]	[62715213]
876_1098	chr7	121079824	121080224	+	1000	132.0	[12.570299]	[127]	[]	[]	[121080036]	[]
876_10980	chr19	3968598	3968998	+	1000	40.0	[]	[]	[10.2047415]	[102]	[]	[3968788]
876_10981	chr19	16436001	16436401	+	1000	40.0	[12.570299]	[106]	[]	[]	[16436178]	[]
876_10987	chr2	3664114	3664514	+	908	40.0	[8.84223]	[148]	[]	[]	[3664351]	[]
876_10989	chr2	20576801	20577201	+	998	40.0	[]	[]	[10.2047415]	[139]	[]	[20577028]
876_10991	chr2	46273973	46274373	+	1000	40.0	[8.361351]	[68]	[]	[]	[46274136]	[]
876_10995	chr2	130378671	130379071	+	994	40.0	[7.677661]	[143]	[7.677661, 8.361351]	[142, 162]	[130378838]	[130378837, 130378857]
876_1100	chr1	116853633	116854033	+	1000	131.5	[12.570299]	[106]	[8.361351]	[92]	[116853829]	[116853815]
876_11003	chr20	4677786	4678186	+	1000	40.0	[12.570299, 12.570299]	[85, 145]	[]	[]	[4677950, 4678010]	[]
876_11011	chr22	19200052	19200452	+	937	40.0	[]	[]	[7.677661]	[162]	[]	[19200267]
876_11016	chr22	21670331	21670731	+	934	40.0	[8.84223]	[143]	[]	[]	[21670558]	[]
876_1102	chr20	50165895	50166295	+	1000	131.5	[10.2047415]	[124]	[]	[]	[50166112]	[]
876_11032	chr3	141576349	141576749	+	872	40.0	[12.570299]	[92]	[]	[]	[141576533]	[]
876_11035	chr3	150403517	150403917	+	892	40.0	[12.570299]	[112]	[]	[]	[150403718]	[]
876_1104	chr3	15685884	15686284	+	1000	131.5	[12.570299]	[92]	[]	[]	[15686071]	[]
876_11045	chr4	129138796	129139196	+	1000	40.0	[12.570299]	[97]	[]	[]	[129138989]	[]
876_11047	chr4	174283541	174283941	+	1000	40.0	[]	[]	[12.570299]	[91]	[]	[174283722]
876_11052	chr5	109483595	109483995	+	1000	40.0	[7.764176]	[144]	[]	[]	[109483786]	[]
876_11060	chr6	8083341	8083741	+	755	40.0	[9.53014]	[108]	[]	[]	[8083533]	[]
876_1107	chr4	40200949	40201349	+	1000	131.5	[10.2047415, 7.677661]	[88, 111]	[7.677661]	[110]	[40201131, 40201154]	[40201153]
876_11082	chr6	147204837	147205237	+	1000	40.0	[]	[]	[9.53014]	[167]	[]	[147205064]
876_11093	chr7	103347504	103347904	+	727	40.0	[7.5891633]	[161]	[]	[]	[103347674]	[]
876_11102	chr7	129698929	129699329	+	1000	40.0	[7.553737]	[168]	[]	[]	[129699167]	[]
876_11103	chr7	130942053	130942453	+	988	40.0	[]	[]	[12.570299]	[124]	[]	[130942238]
876_11107	chr7	139094958	139095358	+	915	40.0	[7.7748694]	[104]	[]	[]	[139095137]	[]
876_11109	chr7	151673145	151673545	+	1000	40.0	[12.570299]	[99]	[]	[]	[151673339]	[]
876_11118	chr8	85961024	85961424	+	1000	40.0	[7.553737]	[112]	[]	[]	[85961233]	[]
876_1112	chr10	72244062	72244462	+	1000	131.0	[8.182752]	[159]	[10.2047415]	[131]	[72244306]	[72244278]
876_11122	chr8	119919557	119919957	+	1000	40.0	[]	[]	[12.570299]	[117]	[]	[119919767]
876_11124	chr9	73023154	73023554	+	871	40.0	[8.361351, 8.361351]	[186, 207]	[]	[]	[73023376, 73023397]	[]
876_11126	chr9	107819822	107820222	+	773	40.0	[7.764176]	[114]	[8.84223, 7.764176]	[76, 113]	[107820033]	[107819995, 107820032]
876_11138	chr1	22341997	22342397	+	738	39.5	[7.5891633]	[159]	[]	[]	[22342241]	[]
876_11144	chr1	46582868	46583268	+	1000	39.5	[8.264141]	[115]	[]	[]	[46583071]	[]
876_11148	chr1	116574527	116574927	+	790	39.5	[7.676677, 7.676677]	[156, 219]	[]	[]	[116574701, 116574764]	[]
876_11149	chr1	117067781	117068181	+	876	39.5	[8.009179]	[171]	[9.252844]	[159]	[117068024]	[117068012]
876_11151	chr1	154877425	154877825	+	779	39.5	[]	[]	[10.2047415]	[106]	[]	[154877623]
876_11154	chr1	167229763	167230163	+	928	39.5	[]	[]	[8.009179]	[88]	[]	[167229942]
876_11157	chr1	179824171	179824571	+	854	39.5	[8.361351]	[105]	[]	[]	[179824363]	[]
876_11165	chr1	220229854	220230254	+	870	39.5	[]	[]	[12.570299]	[101]	[]	[220230055]
876_11166	chr1	227369350	227369750	+	841	39.5	[]	[]	[8.182752, 8.84223]	[111, 177]	[]	[227369522, 227369588]
876_11169	chr1	241770222	241770622	+	847	39.5	[8.361351]	[174]	[]	[]	[241770452]	[]
876_1117	chr22	19479489	19479889	+	1000	131.0	[8.009179]	[68]	[]	[]	[19479656]	[]
876_11174	chr10	45409940	45410340	+	1000	39.5	[]	[]	[12.570299]	[150]	[]	[45410093]
876_11180	chr10	77909599	77909999	+	1000	39.5	[]	[]	[12.570299]	[176]	[]	[77909796]
876_11187	chr11	57424689	57425089	+	863	39.5	[]	[]	[7.5891633]	[148]	[]	[57424887]
876_11189	chr11	86202926	86203326	+	1000	39.5	[]	[]	[8.361351]	[177]	[]	[86203167]
876_1119	chr6	160160363	160160763	+	1000	131.0	[8.84223, 8.361351]	[90, 108]	[]	[]	[160160534, 160160552]	[]
876_11192	chr12	9765207	9765607	+	856	39.5	[9.252844]	[132]	[9.252844]	[129]	[9765428]	[9765425]
876_11198	chr12	57088357	57088757	+	1000	39.5	[]	[]	[8.182752]	[139]	[]	[57088575]
876_1120	chrX	120245102	120245502	+	1000	131.0	[10.2047415]	[86]	[]	[]	[120245288]	[]
876_11200	chr12	64625256	64625656	+	1000	39.5	[7.764176]	[146]	[]	[]	[64625429]	[]
876_11208	chr13	51397355	51397755	+	870	39.5	[12.570299]	[75]	[]	[]	[51397526]	[]
876_1121	chr1	111669261	111669661	+	1000	130.5	[12.570299]	[115]	[]	[]	[111669461]	[]
876_11214	chr13	91297509	91297909	+	989	39.5	[10.2047415]	[151]	[]	[]	[91297743]	[]
876_11215	chr13	91328171	91328571	+	1000	39.5	[7.553737]	[157]	[]	[]	[91328334]	[]
876_11216	chr13	91385056	91385456	+	975	39.5	[]	[]	[8.182752]	[104]	[]	[91385250]
876_11226	chr14	76781613	76782013	+	1000	39.5	[]	[]	[12.570299]	[111]	[]	[76781802]
876_1123	chr1	182200369	182200769	+	1000	130.5	[]	[]	[8.361351]	[110]	[]	[182200570]
876_11232	chr15	64439006	64439406	+	898	39.5	[]	[]	[9.53014]	[171]	[]	[64439233]
876_11233	chr15	92654147	92654547	+	635	39.5	[]	[]	[9.252844]	[83]	[]	[92654313]
876_11235	chr15	95574045	95574445	+	1000	39.5	[]	[]	[8.84223]	[73]	[]	[95574215]
876_1125	chr17	8156534	8156934	+	1000	130.5	[]	[]	[12.570299]	[117]	[]	[8156751]
876_11253	chr19	11914367	11914767	+	1000	39.5	[8.361351]	[135]	[]	[]	[11914596]	[]
876_11256	chr19	46984446	46984846	+	993	39.5	[9.53014]	[130]	[9.252844]	[82]	[46984669]	[46984621]
876_11260	chr2	10447361	10447761	+	1000	39.5	[9.53014]	[104]	[]	[]	[10447554]	[]
876_11265	chr2	45612778	45613178	+	880	39.5	[]	[]	[12.570299]	[108]	[]	[45612977]
876_11267	chr2	54016047	54016447	+	871	39.5	[12.570299]	[96]	[]	[]	[54016240]	[]
876_11270	chr2	118755421	118755821	+	841	39.5	[]	[]	[10.2047415]	[107]	[]	[118755612]
876_11274	chr2	157260468	157260868	+	840	39.5	[12.570299]	[139]	[]	[]	[157260628]	[]
876_1128	chr3	186166006	186166406	+	1000	130.5	[8.84223, 8.361351]	[81, 112]	[]	[]	[186166176, 186166207]	[]
876_11289	chr21	38080141	38080541	+	694	39.5	[]	[]	[10.2047415]	[78]	[]	[38080318]
876_1129	chr5	143222787	143223187	+	1000	130.5	[]	[]	[9.53014]	[103]	[]	[143222988]
876_11291	chr22	19463592	19463992	+	558	39.5	[]	[]	[8.84223]	[79]	[]	[19463744]
876_113	chr1	28926883	28927283	+	1000	388.0	[12.570299]	[92]	[]	[]	[28927074]	[]
876_11301	chr22	21009540	21009940	+	965	39.5	[]	[]	[8.182752]	[224]	[]	[21009769]
876_11314	chr3	4981359	4981759	+	960	39.5	[9.53014]	[187]	[]	[]	[4981594]	[]
876_1132	chr7	155680844	155681244	+	1000	130.5	[]	[]	[8.361351]	[134]	[]	[155681069]
876_11321	chr3	32758012	32758412	+	1000	39.5	[8.84223]	[96]	[12.570299]	[61]	[32758208]	[32758173]
