#PeakID(python identify_motif.py ./ENCODE_processed_files/CTCF_idr.fa CTCF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
322_10204	chr2	38274608	38275008	+	1000	233.0	[]	[]	[14.586379]	[101]	[]	[38274809]
322_10205	chr2	43577285	43577685	+	1000	233.0	[4.9460716, 7.588218]	[96, 99]	[14.606869]	[96]	[43577476, 43577479]	[43577476]
322_10207	chr2	68715420	68715820	+	1000	233.0	[]	[]	[17.92256]	[95]	[]	[68715612]
322_10209	chr2	98569201	98569601	+	1000	233.0	[21.589594]	[87]	[9.310931]	[142]	[98569383]	[98569438]
322_10210	chr2	106542711	106543111	+	1000	233.0	[]	[]	[8.729901]	[114]	[]	[106542922]
322_10212	chr2	240513836	240514236	+	1000	233.0	[18.596596]	[80]	[]	[]	[240514015]	[]
322_10213	chr20	2852084	2852484	+	1000	233.0	[]	[]	[14.255178]	[111]	[]	[2852291]
322_10215	chr20	40945926	40946326	+	1000	233.0	[]	[]	[13.971399]	[114]	[]	[40946133]
322_10216	chr20	47677822	47678222	+	1000	233.0	[19.31212]	[97]	[11.200527, 5.2730904]	[55, 70]	[47678017]	[47677975, 47677990]
322_10217	chr20	63706753	63707153	+	1000	233.0	[8.395674]	[86]	[]	[]	[63706938]	[]
322_10218	chr21	45128614	45129014	+	1000	233.0	[]	[]	[13.892813, 9.718743, 13.892813, 4.909035]	[78, 97, 107, 136]	[]	[45128791, 45128810, 45128820, 45128849]
322_10219	chr22	31977154	31977554	+	1000	233.0	[15.79893]	[109]	[]	[]	[31977352]	[]
322_1022	chr15	20356354	20356754	+	1000	419.0	[18.388481]	[96]	[]	[]	[20356548]	[]
322_10221	chr3	38003346	38003746	+	1000	233.0	[]	[]	[17.466333]	[93]	[]	[38003534]
322_10222	chr3	100462915	100463315	+	1000	233.0	[12.740287]	[101]	[]	[]	[100463104]	[]
322_10223	chr3	113577842	113578242	+	1000	233.0	[9.096394]	[105]	[15.73342]	[105]	[113578045]	[113578045]
322_10224	chr3	138915381	138915781	+	1000	233.0	[]	[]	[18.099443, 6.493007]	[87, 125]	[]	[138915565, 138915603]
322_10226	chr3	141105773	141106173	+	1000	233.0	[13.185095]	[87]	[16.694284]	[87]	[141105959]	[141105959]
322_1023	chr16	2927020	2927420	+	1000	419.0	[]	[]	[5.400191, 17.980078]	[68, 105]	[]	[2927188, 2927225]
322_10232	chr5	73536811	73537211	+	1000	233.0	[]	[]	[17.255758]	[79]	[]	[73536987]
322_10235	chr5	150779119	150779519	+	1000	233.0	[]	[]	[14.956381]	[99]	[]	[150779317]
322_10236	chr5	151002213	151002613	+	1000	233.0	[16.26444]	[89]	[]	[]	[151002402]	[]
322_10237	chr5	174935878	174936278	+	1000	233.0	[8.888446]	[92]	[21.649555]	[91]	[174936064]	[174936063]
322_10238	chr6	56592886	56593286	+	1000	233.0	[]	[]	[19.379482]	[103]	[]	[56593088]
322_10239	chr6	100107418	100107818	+	1000	233.0	[8.378258]	[102]	[]	[]	[100107611]	[]
322_1024	chr7	106153844	106154244	+	1000	419.0	[]	[]	[9.876612, 10.950732]	[81, 91]	[]	[106154021, 106154031]
322_10240	chr6	108526655	108527055	+	1000	233.0	[6.794427]	[119]	[16.729689]	[108]	[108526871]	[108526860]
322_10242	chr6	135438908	135439308	+	1000	233.0	[]	[]	[16.639273]	[95]	[]	[135439096]
322_10244	chr6	161353282	161353682	+	1000	233.0	[6.3697095]	[106]	[]	[]	[161353484]	[]
322_10246	chr7	74051648	74052048	+	1000	233.0	[16.074238]	[103]	[]	[]	[74051849]	[]
322_10249	chr7	95871078	95871478	+	1000	233.0	[]	[]	[17.106432]	[93]	[]	[95871270]
322_1025	chr1	11650406	11650806	+	1000	418.0	[9.037331, 9.154365]	[86, 127]	[10.948923]	[64]	[11650590, 11650631]	[11650568]
322_10252	chr7	134358237	134358637	+	1000	233.0	[4.4598713, 12.739753, 7.934957]	[91, 94, 133]	[8.087474, 18.322056]	[91, 94]	[134358418, 134358421, 134358460]	[134358418, 134358421]
322_10255	chr8	28072722	28073122	+	1000	233.0	[15.308834]	[106]	[5.9700575, 5.6714787]	[95, 106]	[28072927]	[28072916, 28072927]
322_10256	chr8	29176954	29177354	+	1000	233.0	[4.657478]	[74]	[15.328548]	[112]	[29177122]	[29177160]
322_10259	chr8	116788346	116788746	+	1000	233.0	[14.942417]	[101]	[7.4692235]	[100]	[116788541]	[116788540]
322_1026	chr1	30801709	30802109	+	1000	418.0	[19.786463]	[96]	[]	[]	[30801899]	[]
322_10260	chr8	125702509	125702909	+	1000	233.0	[20.782265]	[113]	[]	[]	[125702719]	[]
322_10261	chr8	139405745	139406145	+	1000	233.0	[18.207115]	[87]	[]	[]	[139405931]	[]
322_10263	chr9	34603647	34604047	+	1000	233.0	[]	[]	[20.350471]	[91]	[]	[34603834]
322_10265	chrX	111680919	111681319	+	1000	233.0	[]	[]	[8.58101, 19.92322]	[85, 88]	[]	[111681096, 111681099]
322_10267	chr1	62082719	62083119	+	1000	232.0	[18.583569]	[97]	[]	[]	[62082916]	[]
322_10268	chr1	99808641	99809041	+	1000	232.0	[13.008601, 4.845956]	[89, 99]	[]	[]	[99808825, 99808835]	[]
322_1027	chr1	167803326	167803726	+	1000	418.0	[8.056443, 8.0624485]	[154, 157]	[21.632807]	[94]	[167803574, 167803577]	[167803514]
322_10271	chr1	180188173	180188573	+	1000	232.0	[15.144424]	[93]	[6.0904007, 6.9815125]	[63, 65]	[180188359]	[180188329, 180188331]
322_10272	chr10	74153103	74153503	+	1000	232.0	[]	[]	[10.974014]	[114]	[]	[74153310]
322_10273	chr10	76547358	76547758	+	1000	232.0	[6.930736]	[121]	[19.556894]	[92]	[76547578]	[76547549]
322_10275	chr10	95132906	95133306	+	1000	232.0	[16.571884]	[100]	[]	[]	[95133101]	[]
322_10277	chr11	6531255	6531655	+	1000	232.0	[]	[]	[4.841642]	[127]	[]	[6531480]
322_10278	chr11	7098237	7098637	+	1000	232.0	[14.503671]	[85]	[]	[]	[7098417]	[]
322_10279	chr11	12964057	12964457	+	1000	232.0	[17.79959, 6.9642577]	[83, 104]	[]	[]	[12964236, 12964257]	[]
322_1028	chr1	225975962	225976362	+	1000	418.0	[4.9616914]	[102]	[20.822485]	[101]	[225976157]	[225976156]
322_10280	chr11	46315124	46315524	+	1000	232.0	[]	[]	[14.961733]	[94]	[]	[46315307]
322_10281	chr11	46367581	46367981	+	1000	232.0	[7.0162463]	[93]	[19.864244]	[90]	[46367772]	[46367769]
322_10282	chr11	102733264	102733664	+	1000	232.0	[18.300308]	[90]	[]	[]	[102733451]	[]
322_10283	chr11	116358031	116358431	+	1000	232.0	[13.584014]	[101]	[]	[]	[116358226]	[]
322_10284	chr11	117232344	117232744	+	1000	232.0	[18.352415]	[106]	[]	[]	[117232550]	[]
322_10286	chr12	1795984	1796384	+	1000	232.0	[23.352427]	[102]	[7.473615]	[102]	[1796183]	[1796183]
322_10288	chr12	14167017	14167417	+	1000	232.0	[]	[]	[14.159585]	[102]	[]	[14167217]
322_10289	chr12	52152057	52152457	+	1000	232.0	[17.370794, 5.875655]	[91, 154]	[]	[]	[52152245, 52152308]	[]
322_10290	chr12	57307743	57308143	+	1000	232.0	[14.880055]	[87]	[5.5738254]	[109]	[57307929]	[57307951]
322_10294	chr13	45047311	45047711	+	1000	232.0	[11.862605]	[92]	[]	[]	[45047499]	[]
322_103	chr10	4849655	4850055	+	1000	666.0	[23.352427, 12.527196]	[67, 120]	[7.473615]	[67]	[4849821, 4849874]	[4849821]
322_1030	chr17	38677031	38677431	+	1000	418.0	[10.950094]	[90]	[]	[]	[38677220]	[]
322_10300	chr15	40589746	40590146	+	1000	232.0	[15.9531355]	[108]	[]	[]	[40589951]	[]
322_10303	chr15	77784912	77785312	+	1000	232.0	[]	[]	[14.738363]	[105]	[]	[77785113]
322_10304	chr15	81400649	81401049	+	1000	232.0	[]	[]	[14.2654705]	[88]	[]	[81400834]
322_10305	chr15	91247577	91247977	+	1000	232.0	[]	[]	[9.019714, 17.544388]	[82, 92]	[]	[91247758, 91247768]
322_10307	chr16	6643075	6643475	+	1000	232.0	[]	[]	[15.1670065]	[97]	[]	[6643269]
322_10308	chr16	85566710	85567110	+	1000	232.0	[17.465494]	[110]	[]	[]	[85566916]	[]
322_10309	chr17	18960789	18961189	+	1000	232.0	[18.76603]	[99]	[4.652719]	[98]	[18960986]	[18960985]
322_1031	chr21	21003690	21004090	+	1000	418.0	[9.544405, 19.774082]	[73, 133]	[]	[]	[21003861, 21003921]	[]
322_10313	chr18	11872475	11872875	+	1000	232.0	[]	[]	[9.305527]	[101]	[]	[11872676]
322_10314	chr19	10505576	10505976	+	1000	232.0	[8.446369]	[94]	[]	[]	[10505767]	[]
322_10315	chr19	13082372	13082772	+	1000	232.0	[]	[]	[6.4517]	[112]	[]	[13082584]
322_10316	chr19	18168142	18168542	+	1000	232.0	[]	[]	[19.043201]	[96]	[]	[18168337]
322_10317	chr19	18461831	18462231	+	1000	232.0	[]	[]	[17.958055, 6.3577113]	[95, 115]	[]	[18462023, 18462043]
322_10318	chr19	39187220	39187620	+	1000	232.0	[5.7667875]	[105]	[13.031175]	[102]	[39187421]	[39187418]
322_1032	chr21	28745038	28745438	+	1000	418.0	[]	[]	[14.328369]	[99]	[]	[28745234]
322_10321	chr19	56080566	56080966	+	1000	232.0	[17.810314]	[62]	[]	[]	[56080728]	[]
322_10322	chr2	24975441	24975841	+	1000	232.0	[12.9922]	[90]	[]	[]	[24975629]	[]
322_10323	chr2	62412059	62412459	+	1000	232.0	[]	[]	[18.972178]	[103]	[]	[62412258]
322_10324	chr2	63424822	63425222	+	1000	232.0	[]	[]	[16.320997]	[93]	[]	[63425012]
322_10327	chr20	3820053	3820453	+	1000	232.0	[]	[]	[16.964985]	[116]	[]	[3820255]
322_10330	chr21	31785867	31786267	+	1000	232.0	[19.695213]	[91]	[6.3803096]	[91]	[31786056]	[31786056]
322_10332	chr21	45554862	45555262	+	1000	232.0	[21.47357]	[112]	[4.843176]	[112]	[45555074]	[45555074]
322_10334	chr3	6799280	6799680	+	1000	232.0	[]	[]	[19.664915]	[106]	[]	[6799484]
322_10339	chr4	17447696	17448096	+	1000	232.0	[]	[]	[18.47427]	[86]	[]	[17447875]
322_1034	chr6	36885591	36885991	+	1000	418.0	[11.925631]	[84]	[]	[]	[36885775]	[]
322_10340	chr4	86223483	86223883	+	1000	232.0	[]	[]	[10.720927, 12.103093]	[135, 138]	[]	[86223717, 86223720]
322_10341	chr5	42057235	42057635	+	1000	232.0	[]	[]	[9.343067, 18.42685]	[63, 99]	[]	[42057389, 42057425]
322_10342	chr5	42912192	42912592	+	1000	232.0	[13.2470255]	[87]	[]	[]	[42912374]	[]
322_10344	chr5	148741244	148741644	+	1000	232.0	[12.251107, 5.014829]	[107, 134]	[]	[]	[148741450, 148741477]	[]
322_10345	chr5	168679421	168679821	+	1000	232.0	[5.5220447, 19.854626]	[74, 116]	[]	[]	[168679587, 168679629]	[]
322_10347	chr6	6788388	6788788	+	1000	232.0	[7.7975235]	[93]	[7.776513]	[113]	[6788572]	[6788592]
322_10348	chr6	106444910	106445310	+	1000	232.0	[18.556602]	[91]	[]	[]	[106445099]	[]
322_10349	chr6	109383193	109383593	+	1000	232.0	[]	[]	[15.690929]	[103]	[]	[109383391]
322_10350	chr6	124870621	124871021	+	1000	232.0	[11.193779]	[86]	[]	[]	[124870799]	[]
322_10351	chr6	158660204	158660604	+	1000	232.0	[16.033787]	[104]	[]	[]	[158660406]	[]
322_10352	chr7	2468891	2469291	+	1000	232.0	[]	[]	[21.429155]	[103]	[]	[2469091]
322_10357	chr8	38171537	38171937	+	1000	232.0	[]	[]	[15.699283]	[91]	[]	[38171726]
322_10358	chr8	41822582	41822982	+	1000	232.0	[12.177574]	[100]	[]	[]	[41822777]	[]
322_10359	chr8	42153340	42153740	+	1000	232.0	[13.254069]	[78]	[6.085359, 7.6088758, 5.086924]	[65, 75, 144]	[42153518]	[42153505, 42153515, 42153584]
322_10360	chr8	52496156	52496556	+	1000	232.0	[6.5583]	[90]	[17.355772]	[90]	[52496340]	[52496340]
322_10361	chr8	61467474	61467874	+	1000	232.0	[18.113167]	[109]	[]	[]	[61467677]	[]
322_10363	chr8	116447878	116448278	+	1000	232.0	[]	[]	[6.7837157]	[106]	[]	[116448081]
322_10367	chr9	34500623	34501023	+	1000	232.0	[]	[]	[19.66645]	[107]	[]	[34500827]
322_10369	chr9	130707320	130707720	+	1000	232.0	[17.307972]	[104]	[5.0005364]	[103]	[130707517]	[130707516]
322_1037	chr9	133239080	133239480	+	1000	418.0	[16.50149]	[75]	[]	[]	[133239254]	[]
322_10372	chrX	72126545	72126945	+	1000	232.0	[]	[]	[17.08684]	[105]	[]	[72126749]
