#PeakID(python scan_motif.py ./ENCODE_processed_files/TEAD4_idr.fa TEAD4 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
171_10106	chr10	104253107	104253507	+	1000	142.0	[]	[]	[8.962336]	[83]	[]	[104253290]
171_10107	chr11	12687096	12687496	+	1000	142.0	[7.9874573]	[153]	[]	[]	[12687345]	[]
171_10109	chr11	67656308	67656708	+	1000	142.0	[7.3263307]	[102]	[]	[]	[67656499]	[]
171_10112	chr11	110337759	110338159	+	1000	142.0	[]	[]	[8.239074]	[119]	[]	[110337971]
171_10113	chr11	119323492	119323892	+	1000	142.0	[]	[]	[11.344251]	[91]	[]	[119323681]
171_10119	chr12	122888358	122888758	+	1000	142.0	[9.605281]	[153]	[]	[]	[122888590]	[]
171_1012	chr1	153059302	153059702	+	1000	488.0	[11.988031]	[96]	[]	[]	[153059497]	[]
171_10125	chr15	90157872	90158272	+	1000	142.0	[]	[]	[9.605281]	[124]	[]	[90158095]
171_10126	chr15	95629756	95630156	+	1000	142.0	[8.962336, 7.3083315]	[72, 98]	[]	[]	[95629921, 95629947]	[]
171_10130	chr17	77121797	77122197	+	1000	142.0	[10.603825]	[153]	[]	[]	[77122044]	[]
171_10131	chr18	8951456	8951856	+	1000	142.0	[6.910793]	[107]	[]	[]	[8951660]	[]
171_10132	chr19	12527381	12527781	+	1000	142.0	[9.364644]	[115]	[]	[]	[12527586]	[]
171_10133	chr19	21115445	21115845	+	1000	142.0	[9.691082]	[108]	[]	[]	[21115651]	[]
171_10134	chr19	38851798	38852198	+	1000	142.0	[]	[]	[9.605281]	[114]	[]	[38852010]
171_10137	chr2	33141441	33141841	+	1000	142.0	[]	[]	[6.747317, 8.239074]	[77, 109]	[]	[33141611, 33141643]
171_10138	chr2	65382777	65383177	+	1000	142.0	[6.7683716]	[159]	[]	[]	[65382961]	[]
171_10145	chr2	158143037	158143437	+	1000	142.0	[]	[]	[9.605281]	[136]	[]	[158143272]
171_10154	chr3	8963269	8963669	+	1000	142.0	[7.5952926]	[82]	[]	[]	[8963449]	[]
171_10155	chr3	39260892	39261292	+	1000	142.0	[6.7503724]	[152]	[9.258564]	[119]	[39261137]	[39261104]
171_10156	chr3	40314033	40314433	+	1000	142.0	[]	[]	[9.112068]	[149]	[]	[40314279]
171_10159	chr3	153032880	153033280	+	1000	142.0	[9.258564]	[62]	[]	[]	[153033041]	[]
171_10162	chr4	151745898	151746298	+	1000	142.0	[9.605281]	[103]	[]	[]	[151746087]	[]
171_10167	chr6	52517518	52517918	+	1000	142.0	[]	[]	[6.7683716]	[141]	[]	[52517757]
171_10168	chr6	106315982	106316382	+	1000	142.0	[]	[]	[8.9795]	[81]	[]	[106316158]
171_10172	chr6	162364460	162364860	+	1000	142.0	[]	[]	[6.8987784]	[138]	[]	[162364695]
171_10173	chr7	75694686	75695086	+	1000	142.0	[9.303733, 9.293543]	[78, 164]	[]	[]	[75694846, 75694932]	[]
171_10174	chr7	84675666	84676066	+	1000	142.0	[14.352782]	[131]	[]	[]	[84675879]	[]
171_10182	chr8	123149003	123149403	+	1000	142.0	[10.314102]	[122]	[]	[]	[123149222]	[]
171_10184	chr8	142653486	142653886	+	1000	142.0	[9.605281]	[103]	[]	[]	[142653685]	[]
171_10190	chrX	48574689	48575089	+	1000	142.0	[]	[]	[6.7503724, 6.7918687]	[118, 168]	[]	[48574888, 48574938]
171_10192	chrX	136884813	136885213	+	1000	142.0	[]	[]	[6.8938127]	[140]	[]	[136885053]
171_10194	chr1	16615391	16615791	+	1000	141.0	[11.988031]	[80]	[]	[]	[16615569]	[]
171_10196	chr1	28552709	28553109	+	1000	141.0	[10.0733185]	[66]	[]	[]	[28552873]	[]
171_10197	chr1	40257726	40258126	+	1000	141.0	[]	[]	[6.910793]	[131]	[]	[40257956]
171_10198	chr1	40709518	40709918	+	1000	141.0	[14.352782]	[101]	[]	[]	[40709711]	[]
171_10199	chr1	89906694	89907094	+	1000	141.0	[11.988031]	[111]	[]	[]	[89906888]	[]
171_1020	chr11	64888945	64889345	+	1000	487.0	[]	[]	[6.621249]	[121]	[]	[64889164]
171_10203	chr1	161749496	161749896	+	1000	141.0	[7.931352]	[94]	[]	[]	[161749668]	[]
171_10206	chr1	180527285	180527685	+	1000	141.0	[]	[]	[11.970033]	[113]	[]	[180527496]
171_10216	chr13	50599919	50600319	+	1000	141.0	[]	[]	[11.970033]	[121]	[]	[50600111]
171_10217	chr13	107900762	107901162	+	1000	141.0	[]	[]	[7.5245605]	[125]	[]	[107900985]
171_1022	chr6	105896174	105896574	+	1000	487.0	[]	[]	[10.370207]	[131]	[]	[105896405]
171_10220	chr15	29821307	29821707	+	1000	141.0	[]	[]	[9.043116]	[71]	[]	[29821474]
171_10222	chr15	58399746	58400146	+	1000	141.0	[7.0647864]	[76]	[]	[]	[58399917]	[]
171_10223	chr15	90040656	90041056	+	1000	141.0	[7.9874573]	[140]	[]	[]	[90040891]	[]
171_10225	chr17	3969116	3969516	+	1000	141.0	[6.809868]	[79]	[]	[]	[3969291]	[]
171_10227	chr17	28336213	28336613	+	1000	141.0	[]	[]	[7.3616753, 9.364644]	[62, 120]	[]	[28336371, 28336429]
171_10228	chr17	43545894	43546294	+	1000	141.0	[]	[]	[10.314102]	[96]	[]	[43546083]
171_10236	chr2	68889480	68889880	+	1000	141.0	[8.962336, 8.9615]	[78, 117]	[]	[]	[68889646, 68889685]	[]
171_10239	chr2	112481065	112481465	+	1000	141.0	[]	[]	[10.314102]	[95]	[]	[112481242]
171_10240	chr2	168802434	168802834	+	1000	141.0	[9.9073105]	[131]	[]	[]	[168802637]	[]
171_10243	chr21	36945767	36946167	+	1000	141.0	[7.5952926]	[90]	[9.112068]	[145]	[36945956]	[36946011]
171_10247	chr3	24260050	24260450	+	1000	141.0	[]	[]	[7.5245605]	[75]	[]	[24260214]
171_10248	chr3	33067413	33067813	+	1000	141.0	[]	[]	[9.153993]	[111]	[]	[33067616]
171_1025	chr1	214419655	214420055	+	1000	486.0	[10.0733185]	[66]	[]	[]	[214419810]	[]
171_10252	chr3	110526730	110527130	+	1000	141.0	[10.603825]	[99]	[]	[]	[110526926]	[]
171_10256	chr3	186105476	186105876	+	1000	141.0	[9.605281]	[122]	[]	[]	[186105692]	[]
171_10258	chr4	1883597	1883997	+	1000	141.0	[8.239074]	[79]	[]	[]	[1883759]	[]
171_10263	chr5	132176962	132177362	+	1000	141.0	[6.9442596]	[93]	[]	[]	[132177118]	[]
171_10272	chr6	139449642	139450042	+	1000	141.0	[]	[]	[7.9493513]	[135]	[]	[139449870]
171_10274	chr7	54743528	54743928	+	1000	141.0	[]	[]	[7.9874573]	[133]	[]	[54743757]
171_10277	chr7	107890833	107891233	+	1000	141.0	[8.239074]	[118]	[]	[]	[107891017]	[]
171_10278	chr8	47659730	47660130	+	1000	141.0	[9.133122]	[135]	[]	[]	[47659939]	[]
171_1028	chr17	58492681	58493081	+	1000	486.0	[7.5700417]	[55]	[]	[]	[58492836]	[]
171_10285	chr9	128554515	128554915	+	1000	141.0	[]	[]	[9.605281]	[126]	[]	[128554735]
171_10289	chr1	39410849	39411249	+	1000	140.0	[]	[]	[6.8938127]	[67]	[]	[39411006]
171_1029	chr19	53517207	53517607	+	1000	486.0	[6.910793]	[89]	[]	[]	[53517382]	[]
171_10290	chr1	55179206	55179606	+	1000	140.0	[9.043116, 7.5245605]	[94, 136]	[]	[]	[55179398, 55179440]	[]
171_10291	chr1	63403372	63403772	+	1000	140.0	[]	[]	[7.5245605]	[135]	[]	[63403606]
171_10296	chr1	169060919	169061319	+	1000	140.0	[]	[]	[11.970033]	[142]	[]	[169061141]
171_10297	chr10	14436236	14436636	+	1000	140.0	[]	[]	[9.605281]	[80]	[]	[14436414]
171_10298	chr10	22433896	22434296	+	1000	140.0	[]	[]	[6.910793]	[71]	[]	[22434061]
171_10299	chr10	61822915	61823315	+	1000	140.0	[6.9442596]	[73]	[8.9615]	[80]	[61823083]	[61823090]
171_10302	chr11	77634678	77635078	+	1000	140.0	[]	[]	[11.988031]	[65]	[]	[77634842]
171_10303	chr11	78395598	78395998	+	1000	140.0	[7.9493513]	[154]	[]	[]	[78395840]	[]
171_10305	chr11	118620743	118621143	+	1000	140.0	[]	[]	[14.352782]	[112]	[]	[118620951]
171_10308	chr12	53421531	53421931	+	1000	140.0	[]	[]	[7.5952926]	[110]	[]	[53421734]
171_1031	chr4	76301469	76301869	+	1000	486.0	[8.239074]	[129]	[]	[]	[76301697]	[]
171_10312	chr12	131955786	131956186	+	1000	140.0	[14.352782]	[97]	[]	[]	[131955968]	[]
171_10313	chr13	36345428	36345828	+	1000	140.0	[11.988031]	[105]	[]	[]	[36345628]	[]
171_10314	chr13	97256370	97256770	+	1000	140.0	[]	[]	[6.7712426, 6.8758135]	[73, 132]	[]	[97256530, 97256589]
171_10318	chr16	11149021	11149421	+	1000	140.0	[]	[]	[7.6905684]	[136]	[]	[11149250]
171_10329	chr19	6578893	6579293	+	1000	140.0	[]	[]	[14.352782]	[112]	[]	[6579103]
171_10330	chr19	11091694	11092094	+	1000	140.0	[]	[]	[10.314102]	[98]	[]	[11091880]
171_10332	chr19	38930182	38930582	+	1000	140.0	[8.9615]	[93]	[]	[]	[38930367]	[]
171_10336	chr2	157453851	157454251	+	1000	140.0	[]	[]	[10.370207]	[120]	[]	[157454064]
171_10337	chr20	1434862	1435262	+	1000	140.0	[]	[]	[6.920983]	[139]	[]	[1435092]
171_10338	chr20	31720134	31720534	+	1000	140.0	[11.970033]	[102]	[]	[]	[31720328]	[]
171_10341	chr21	33641823	33642223	+	1000	140.0	[10.370207]	[75]	[]	[]	[33641988]	[]
171_10346	chr3	16550798	16551198	+	1000	140.0	[]	[]	[8.239074]	[144]	[]	[16551037]
171_10347	chr3	21526426	21526826	+	1000	140.0	[]	[]	[8.239074]	[84]	[]	[21526606]
171_10354	chr4	38242718	38243118	+	1000	140.0	[7.3083315]	[156]	[9.303733]	[142]	[38242951]	[38242937]
171_10355	chr4	55670693	55671093	+	1000	140.0	[11.344251]	[76]	[]	[]	[55670864]	[]
171_10358	chr5	173766398	173766798	+	1000	140.0	[9.364644]	[127]	[9.9073105]	[72]	[173766624]	[173766569]
171_10362	chr6	134064105	134064505	+	1000	140.0	[]	[]	[7.030897]	[111]	[]	[134064298]
171_10368	chr7	26234074	26234474	+	1000	140.0	[]	[]	[6.729318]	[152]	[]	[26234303]
171_10369	chr7	76178160	76178560	+	1000	140.0	[11.988031]	[125]	[]	[]	[76178373]	[]
171_10374	chr7	138249967	138250367	+	1000	140.0	[9.303733]	[95]	[]	[]	[138250154]	[]
171_10376	chr8	11682984	11683384	+	1000	140.0	[8.913587]	[112]	[]	[]	[11683190]	[]
171_10377	chr8	58801384	58801784	+	1000	140.0	[]	[]	[10.603825]	[91]	[]	[58801564]
171_10378	chr8	85903084	85903484	+	1000	140.0	[8.962336]	[73]	[]	[]	[85903257]	[]
171_1038	chr2	53668502	53668902	+	1000	485.0	[9.174619]	[84]	[]	[]	[53668684]	[]
171_10382	chr8	129456210	129456610	+	1000	140.0	[]	[]	[11.344251]	[84]	[]	[129456385]
171_10393	chr1	46446815	46447215	+	1000	139.0	[6.7683716]	[78]	[]	[]	[46446992]	[]
171_10394	chr1	61049877	61050277	+	1000	139.0	[]	[]	[7.5952926]	[125]	[]	[61050086]
171_104	chr19	48878659	48879059	+	1000	705.0	[]	[]	[11.344251]	[115]	[]	[48878871]
171_10401	chr10	31947593	31947993	+	1000	139.0	[14.352782]	[90]	[]	[]	[31947765]	[]
171_10405	chr10	92464350	92464750	+	1000	139.0	[6.729318]	[91]	[]	[]	[92464533]	[]
171_10414	chr12	93757961	93758361	+	1000	139.0	[]	[]	[7.5700417]	[130]	[]	[93758162]
171_10420	chr14	100755717	100756117	+	1000	139.0	[]	[]	[6.747317]	[66]	[]	[100755878]
171_10421	chr14	105981872	105982272	+	1000	139.0	[]	[]	[10.370207]	[81]	[]	[105982053]
171_10422	chr15	40108858	40109258	+	1000	139.0	[9.395648]	[76]	[]	[]	[40109029]	[]
171_10424	chr15	65927558	65927958	+	1000	139.0	[]	[]	[6.729318, 14.352782]	[58, 105]	[]	[65927711, 65927758]
171_10427	chr15	89017484	89017884	+	1000	139.0	[]	[]	[6.9442596]	[105]	[]	[89017686]
171_10431	chr16	25063914	25064314	+	1000	139.0	[10.603825]	[115]	[]	[]	[25064123]	[]
171_10432	chr16	31244033	31244433	+	1000	139.0	[]	[]	[7.9493513]	[111]	[]	[31244214]
171_10439	chr17	42311486	42311886	+	1000	139.0	[]	[]	[10.314102]	[52]	[]	[42311637]
171_10441	chr17	62234004	62234404	+	1000	139.0	[6.678365]	[79]	[]	[]	[62234181]	[]
171_10442	chr17	76219978	76220378	+	1000	139.0	[6.621249, 14.352782]	[54, 93]	[]	[]	[76220129, 76220168]	[]
171_10448	chr2	68565804	68566204	+	1000	139.0	[7.012898, 7.9874573]	[69, 115]	[]	[]	[68565969, 68566015]	[]
171_10450	chr2	99609868	99610268	+	1000	139.0	[9.303733]	[148]	[]	[]	[99610110]	[]
171_10460	chr3	107421185	107421585	+	1000	139.0	[]	[]	[7.5245605, 7.931352]	[113, 121]	[]	[107421397, 107421405]
171_10461	chr3	193656490	193656890	+	1000	139.0	[7.5700417]	[113]	[6.7712426]	[168]	[193656681]	[193656736]
171_10469	chr4	174192997	174193397	+	1000	139.0	[8.913587]	[133]	[9.605281]	[140]	[174193220]	[174193227]
171_10470	chr5	14268210	14268610	+	1000	139.0	[6.910793]	[124]	[10.370207]	[67]	[14268426]	[14268369]
171_10472	chr5	96657120	96657520	+	1000	139.0	[7.3083315]	[151]	[7.5245605]	[116]	[96657350]	[96657315]
171_10473	chr5	139232269	139232669	+	1000	139.0	[]	[]	[10.603825]	[103]	[]	[139232447]
171_10475	chr5	163498895	163499295	+	1000	139.0	[]	[]	[14.352782]	[92]	[]	[163499079]
171_10481	chr6	89797281	89797681	+	1000	139.0	[]	[]	[7.5700417]	[113]	[]	[89797484]
171_10482	chr6	107510078	107510478	+	1000	139.0	[]	[]	[6.729318]	[146]	[]	[107510315]
171_10485	chr6	163579893	163580293	+	1000	139.0	[]	[]	[9.605281]	[149]	[]	[163580141]
171_10488	chr7	26156337	26156737	+	1000	139.0	[]	[]	[8.9795]	[92]	[]	[26156522]
171_1049	chr3	46549296	46549696	+	1000	484.0	[11.970033]	[72]	[]	[]	[46549465]	[]
171_10492	chr7	140223760	140224160	+	1000	139.0	[9.112068]	[71]	[]	[]	[140223926]	[]
171_10493	chr8	41746783	41747183	+	1000	139.0	[8.9795, 7.3616753]	[150, 158]	[]	[]	[41747026, 41747034]	[]
171_10496	chr9	5817918	5818318	+	1000	139.0	[11.988031]	[107]	[]	[]	[5818123]	[]
171_10497	chr9	35914431	35914831	+	1000	139.0	[]	[]	[10.314102]	[132]	[]	[35914653]
171_10498	chr9	124322698	124323098	+	1000	139.0	[]	[]	[6.7503724]	[141]	[]	[124322933]
171_10504	chrUn_KI270467v1	3229	3629	+	1000	139.0	[]	[]	[6.9442596]	[113]	[]	[3434]
171_10505	chr1	10459123	10459523	+	1000	138.0	[]	[]	[6.660366]	[59]	[]	[10459277]
171_10506	chr1	18681355	18681755	+	1000	138.0	[]	[]	[11.970033]	[105]	[]	[18681553]
171_10508	chr1	38745449	38745849	+	1000	138.0	[11.970033]	[87]	[]	[]	[38745628]	[]
171_10511	chr1	44652853	44653253	+	1000	138.0	[]	[]	[9.605281]	[124]	[]	[44653060]
171_10514	chr1	160108922	160109322	+	1000	138.0	[11.970033]	[91]	[]	[]	[160109112]	[]
171_10516	chr1	186212570	186212970	+	1000	138.0	[]	[]	[14.352782]	[92]	[]	[186212752]
171_10518	chr1	222283229	222283629	+	1000	138.0	[]	[]	[6.9442596]	[88]	[]	[222283411]
171_10519	chr10	5449866	5450266	+	1000	138.0	[]	[]	[9.605281]	[73]	[]	[5450031]
171_10520	chr10	17169797	17170197	+	1000	138.0	[9.174619]	[101]	[10.370207]	[156]	[17169979]	[17170034]
171_10521	chr10	56370221	56370621	+	1000	138.0	[]	[]	[11.970033]	[130]	[]	[56370439]
171_10524	chr11	6225001	6225401	+	1000	138.0	[8.9615]	[114]	[]	[]	[6225191]	[]
171_10536	chr12	108823744	108824144	+	1000	138.0	[]	[]	[6.678365]	[92]	[]	[108823927]
171_10538	chr12	122894570	122894970	+	1000	138.0	[7.3083315, 6.747317]	[160, 164]	[]	[]	[122894817, 122894821]	[]
171_10539	chr14	20820431	20820831	+	1000	138.0	[8.9615]	[78]	[]	[]	[20820601]	[]
171_10541	chr15	64571854	64572254	+	1000	138.0	[]	[]	[9.303733]	[62]	[]	[64572011]
171_10544	chr16	30491910	30492310	+	1000	138.0	[9.174619]	[152]	[]	[]	[30492156]	[]
171_10547	chr17	2399616	2400016	+	1000	138.0	[14.352782, 14.352782]	[102, 143]	[]	[]	[2399803, 2399844]	[]
171_1055	chr10	28839624	28840024	+	1000	483.0	[]	[]	[10.370207]	[132]	[]	[28839852]
171_10550	chr17	60469772	60470172	+	1000	138.0	[10.603825]	[118]	[]	[]	[60469981]	[]
171_10556	chr19	44890293	44890693	+	1000	138.0	[]	[]	[7.9874573]	[78]	[]	[44890454]
171_10557	chr19	49546924	49547324	+	1000	138.0	[]	[]	[11.344251]	[86]	[]	[49547105]
171_10562	chr2	148881559	148881959	+	1000	138.0	[]	[]	[10.0733185]	[95]	[]	[148881754]
171_10565	chr2	197969370	197969770	+	1000	138.0	[7.012898]	[141]	[]	[]	[197969592]	[]
171_10566	chr2	200125042	200125442	+	1000	138.0	[10.314102]	[136]	[]	[]	[200125275]	[]
171_10568	chr2	222677915	222678315	+	1000	138.0	[]	[]	[7.931352]	[125]	[]	[222678139]
171_10571	chr21	33304682	33305082	+	1000	138.0	[9.174619]	[128]	[]	[]	[33304900]	[]
171_10572	chr21	34888541	34888941	+	1000	138.0	[8.9795]	[113]	[]	[]	[34888741]	[]
171_10573	chr21	37450662	37451062	+	1000	138.0	[9.9073105]	[168]	[]	[]	[37450910]	[]
171_10575	chr22	39953811	39954211	+	1000	138.0	[9.9073105, 14.352782, 7.5425596, 6.621249]	[69, 92, 111, 116]	[]	[]	[39953980, 39954003, 39954022, 39954027]	[]
171_10577	chr3	13650427	13650827	+	1000	138.0	[]	[]	[7.3263307]	[117]	[]	[13650644]
171_10578	chr3	40299840	40300240	+	1000	138.0	[10.370207]	[135]	[]	[]	[40300054]	[]
171_10579	chr3	46987712	46988112	+	1000	138.0	[6.7503724]	[93]	[]	[]	[46987891]	[]
171_10582	chr4	78665201	78665601	+	1000	138.0	[]	[]	[8.913587]	[57]	[]	[78665354]
171_10588	chr5	85841617	85842017	+	1000	138.0	[]	[]	[6.910793]	[141]	[]	[85841849]
171_10589	chr5	88934347	88934747	+	1000	138.0	[9.112068]	[61]	[]	[]	[88934501]	[]
171_10591	chr5	112795370	112795770	+	1000	138.0	[11.344251]	[139]	[]	[]	[112795601]	[]
171_10596	chr6	24658880	24659280	+	1000	138.0	[8.9795]	[94]	[]	[]	[24659073]	[]
171_106	chr12	117042269	117042669	+	1000	704.0	[10.314102]	[93]	[]	[]	[117042453]	[]
171_10604	chr6	149846328	149846728	+	1000	138.0	[]	[]	[9.952792]	[79]	[]	[149846506]
171_10605	chr6	156839515	156839915	+	1000	138.0	[]	[]	[7.6905684]	[114]	[]	[156839706]
171_10608	chr7	13850088	13850488	+	1000	138.0	[]	[]	[6.938982]	[150]	[]	[13850334]
171_10609	chr7	36415119	36415519	+	1000	138.0	[]	[]	[7.9493513]	[72]	[]	[36415290]
171_10616	chr7	108236994	108237394	+	1000	138.0	[6.6825495, 6.9442596]	[70, 121]	[9.303733]	[92]	[108237150, 108237201]	[108237172]
171_10619	chr7	117119436	117119836	+	1000	138.0	[7.3616753]	[146]	[]	[]	[117119674]	[]
171_10623	chr8	53731264	53731664	+	1000	138.0	[10.314102]	[95]	[]	[]	[53731454]	[]
171_10625	chr9	88800309	88800709	+	1000	138.0	[6.678365]	[76]	[8.9615]	[122]	[88800480]	[88800526]
171_10629	chr1	24656034	24656434	+	1000	137.0	[]	[]	[9.395648]	[91]	[]	[24656218]
171_10632	chr1	41238390	41238790	+	1000	137.0	[9.133122]	[110]	[]	[]	[41238595]	[]
171_10633	chr1	52203951	52204351	+	1000	137.0	[]	[]	[6.8758135]	[138]	[]	[52204175]
171_10642	chr1	223700868	223701268	+	1000	137.0	[8.9615]	[113]	[]	[]	[223701068]	[]
171_10649	chr10	72260446	72260846	+	1000	137.0	[6.910793]	[107]	[]	[]	[72260641]	[]
171_10651	chr10	113867005	113867405	+	1000	137.0	[]	[]	[7.6905684]	[81]	[]	[113867172]
171_10653	chr11	9550169	9550569	+	1000	137.0	[10.603825]	[148]	[]	[]	[9550407]	[]
171_10654	chr11	57778472	57778872	+	1000	137.0	[]	[]	[11.988031]	[109]	[]	[57778677]
171_10657	chr12	121927370	121927770	+	1000	137.0	[]	[]	[11.344251]	[94]	[]	[121927564]
171_1066	chr2	88016317	88016717	+	1000	482.0	[9.952792]	[62]	[]	[]	[88016478]	[]
171_10666	chr16	87870711	87871111	+	1000	137.0	[9.605281]	[71]	[]	[]	[87870874]	[]
171_10668	chr17	28719194	28719594	+	1000	137.0	[11.970033]	[112]	[]	[]	[28719373]	[]
171_10670	chr18	26255810	26256210	+	1000	137.0	[8.9615]	[134]	[]	[]	[26256015]	[]
171_10671	chr19	11089254	11089654	+	1000	137.0	[]	[]	[7.5425596]	[90]	[]	[11089434]
171_10672	chr19	12628058	12628458	+	1000	137.0	[]	[]	[11.970033]	[115]	[]	[12628269]
171_10679	chr2	12493169	12493569	+	1000	137.0	[14.352782]	[90]	[]	[]	[12493349]	[]
171_1068	chr2	159497278	159497678	+	1000	482.0	[7.6905684]	[107]	[]	[]	[159497479]	[]
171_10688	chr20	4119410	4119810	+	1000	137.0	[]	[]	[6.8987784]	[58]	[]	[4119561]
171_10689	chr20	35884296	35884696	+	1000	137.0	[11.988031]	[95]	[9.9073105]	[114]	[35884490]	[35884509]
171_1069	chr18	968195	968595	+	1000	481.0	[7.5245605]	[134]	[]	[]	[968426]	[]
171_10692	chr22	21784688	21785088	+	1000	137.0	[]	[]	[6.678365]	[95]	[]	[21784863]
171_10694	chr22	38785662	38786062	+	1000	137.0	[]	[]	[7.5700417]	[72]	[]	[38785826]
171_10695	chr3	14410628	14411028	+	1000	137.0	[]	[]	[9.303733, 6.660366]	[123, 169]	[]	[14410800, 14410846]
171_10699	chr3	191328580	191328980	+	1000	137.0	[8.913587, 6.7918687]	[77, 162]	[]	[]	[191328740, 191328825]	[]
171_107	chr5	160260941	160261341	+	1000	704.0	[11.970033]	[145]	[]	[]	[160261183]	[]
171_10703	chr5	121745382	121745782	+	1000	137.0	[7.9493513]	[126]	[]	[]	[121745602]	[]
171_10708	chr6	33616920	33617320	+	1000	137.0	[]	[]	[6.910793]	[63]	[]	[33617072]
171_1071	chr5	131996727	131997127	+	1000	481.0	[]	[]	[6.920983]	[142]	[]	[131996966]
171_10717	chr7	42987647	42988047	+	1000	137.0	[]	[]	[9.9073105]	[135]	[]	[42987878]
171_10720	chr7	130187336	130187736	+	1000	137.0	[]	[]	[7.931352]	[126]	[]	[130187550]
171_10723	chr8	1741881	1742281	+	1000	137.0	[6.910793]	[141]	[]	[]	[1742113]	[]
171_10726	chr9	37336077	37336477	+	1000	137.0	[9.605281]	[151]	[]	[]	[37336317]	[]
171_10727	chrX	42096198	42096598	+	1000	137.0	[9.605281]	[135]	[]	[]	[42096429]	[]
171_10731	chr1	36149574	36149974	+	1000	136.0	[8.9615]	[143]	[9.303733]	[170]	[36149794]	[36149821]
171_10733	chr1	42686454	42686854	+	1000	136.0	[7.9493513]	[99]	[]	[]	[42686652]	[]
