#PeakID(python identify_motif.py ./ENCODE_processed_files/PKNOX1_idr.fa PKNOX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
36_10204	chr11	31871015	31871415	+	1000	129.0	[]	[]	[12.25192]	[103]	[]	[31871210]
36_10207	chr15	66107026	66107426	+	1000	129.0	[12.430346, 10.516231]	[83, 107]	[7.765777]	[59]	[66107208, 66107232]	[66107184]
36_10208	chr15	74869987	74870387	+	1000	129.0	[11.304902, 12.430346]	[70, 121]	[]	[]	[74870146, 74870197]	[]
36_10211	chr17	62063904	62064304	+	1000	129.0	[12.948277]	[98]	[]	[]	[62064102]	[]
36_10217	chr2	172555848	172556248	+	1000	129.0	[]	[]	[7.77956]	[153]	[]	[172556074]
36_10218	chr2	208985604	208986004	+	1000	129.0	[7.981348]	[118]	[]	[]	[208985820]	[]
36_10220	chr22	17867371	17867771	+	1000	129.0	[12.91743]	[76]	[]	[]	[17867543]	[]
36_1023	chr6	43174581	43174981	+	1000	690.0	[]	[]	[13.296596]	[98]	[]	[43174766]
36_10232	chr8	142401801	142402201	+	1000	129.0	[11.459053]	[137]	[7.0456843]	[96]	[142402020]	[142401979]
36_10236	chr1	14929505	14929905	+	1000	128.5	[10.270717]	[177]	[10.347194]	[147]	[14929692]	[14929662]
36_10239	chr1	182795530	182795930	+	1000	128.5	[8.50926]	[159]	[8.162552]	[184]	[182795739]	[182795764]
36_10243	chr11	20089778	20090178	+	1000	128.5	[]	[]	[7.3857517]	[117]	[]	[20089970]
36_10250	chr15	75453959	75454359	+	1000	128.5	[]	[]	[7.818045]	[159]	[]	[75454143]
36_10251	chr16	57803255	57803655	+	1000	128.5	[7.824388]	[109]	[7.578486]	[84]	[57803438]	[57803413]
36_10256	chr17	58332490	58332890	+	1000	128.5	[12.91743]	[112]	[]	[]	[58332662]	[]
36_10258	chr2	170247932	170248332	+	1000	128.5	[10.262825]	[108]	[]	[]	[170248130]	[]
36_10260	chr20	34872803	34873203	+	1000	128.5	[10.736993]	[132]	[]	[]	[34873010]	[]
36_10261	chr20	42082561	42082961	+	1000	128.5	[7.032272]	[107]	[7.2228217]	[70]	[42082763]	[42082726]
36_10265	chr4	2433187	2433587	+	1000	128.5	[7.871874]	[96]	[7.7960186]	[152]	[2433354]	[2433410]
36_10272	chr7	1368913	1369313	+	930	128.5	[9.07126]	[111]	[11.785644]	[97]	[1369117]	[1369103]
36_10278	chr8	144326623	144327023	+	1000	128.5	[7.21051]	[141]	[7.1693687]	[151]	[144326852]	[144326862]
36_10281	chr1	203325099	203325499	+	1000	128.0	[12.638885]	[95]	[]	[]	[203325283]	[]
36_10282	chr10	100373383	100373783	+	1000	128.0	[8.781398]	[325]	[10.695512]	[322]	[100373545]	[100373542]
36_1029	chr7	64562978	64563378	+	1000	689.0	[14.492824]	[126]	[]	[]	[64563190]	[]
36_10290	chr15	51751965	51752365	+	1000	128.0	[]	[]	[9.640777]	[156]	[]	[51752196]
36_10299	chr2	21245600	21246000	+	1000	128.0	[9.218403]	[156]	[12.290566]	[142]	[21245832]	[21245818]
36_1031	chr11	59171468	59171868	+	1000	687.5	[12.082027]	[91]	[]	[]	[59171659]	[]
36_10311	chr7	27071636	27072036	+	1000	128.0	[]	[]	[8.470927]	[95]	[]	[27071829]
36_10313	chr7	100226456	100226856	+	1000	128.0	[8.6082115]	[148]	[]	[]	[100226650]	[]
36_10314	chr7	132245033	132245433	+	1000	128.0	[7.1693687, 7.265854]	[73, 141]	[]	[]	[132245199, 132245267]	[]
36_1032	chr5	56123821	56124221	+	1000	687.5	[11.382482, 7.8863187]	[92, 140]	[7.790426]	[137]	[56123999, 56124047]	[56124044]
36_10321	chr1	109075719	109076119	+	1000	127.5	[]	[]	[9.4543295]	[198]	[]	[109075910]
36_10325	chr10	71648039	71648439	+	1000	127.5	[]	[]	[7.826244]	[146]	[]	[71648251]
36_10328	chr15	36347459	36347859	+	871	127.5	[7.8048544]	[67]	[12.430346, 9.738114]	[81, 135]	[36347625]	[36347639, 36347693]
36_10329	chr15	40301609	40302009	+	1000	127.5	[8.50106]	[141]	[7.2408113]	[115]	[40301826]	[40301800]
36_1033	chr11	64185726	64186126	+	1000	687.0	[8.444549]	[85]	[]	[]	[64185902]	[]
36_1034	chr2	74198327	74198727	+	1000	687.0	[7.7372775]	[125]	[]	[]	[74198545]	[]
36_10349	chr6	14517223	14517623	+	1000	127.5	[14.492824]	[103]	[]	[]	[14517422]	[]
36_10362	chr1	180562631	180563031	+	1000	127.0	[10.479256, 12.799472]	[100, 114]	[]	[]	[180562825, 180562839]	[]
36_10366	chr11	62497069	62497469	+	1000	127.0	[7.8804946, 10.55093, 7.160374]	[84, 88, 151]	[]	[]	[62497253, 62497257, 62497320]	[]
36_10368	chr11	118438608	118439008	+	1000	127.0	[9.883659]	[100]	[]	[]	[118438794]	[]
36_10376	chr17	43546249	43546649	+	1000	127.0	[]	[]	[9.150573]	[186]	[]	[43546471]
36_10378	chr19	18293058	18293458	+	1000	127.0	[9.256888]	[132]	[]	[]	[18293265]	[]
36_10379	chr19	49128049	49128449	+	1000	127.0	[9.796548]	[98]	[]	[]	[49128243]	[]
36_1038	chr2	88016804	88017204	+	1000	686.5	[12.830319]	[99]	[]	[]	[88017003]	[]
36_10383	chr3	38087291	38087691	+	834	127.0	[]	[]	[8.302331, 8.302331, 8.302331, 8.302331, 8.302331]	[67, 86, 107, 126, 145]	[]	[38087458, 38087477, 38087498, 38087517, 38087536]
36_10384	chr3	47282634	47283034	+	1000	127.0	[8.684296]	[113]	[]	[]	[47282800]	[]
36_10388	chr4	173168002	173168402	+	1000	127.0	[]	[]	[8.661665]	[76]	[]	[173168176]
36_10389	chr5	133806813	133807213	+	1000	127.0	[]	[]	[14.959101]	[99]	[]	[133807000]
36_10392	chr7	99831595	99831995	+	656	127.0	[10.202612]	[102]	[]	[]	[99831783]	[]
36_10394	chr8	61687404	61687804	+	1000	127.0	[8.702305]	[153]	[8.040911]	[202]	[61687600]	[61687649]
36_10395	chr8	61878720	61879120	+	1000	127.0	[7.1944876, 7.5706415]	[149, 163]	[10.569666]	[170]	[61878938, 61878952]	[61878959]
36_10399	chrX	121102109	121102509	+	1000	127.0	[14.492824]	[100]	[]	[]	[121102304]	[]
36_104	chr12	57455003	57455403	+	1000	901.5	[10.76784]	[100]	[]	[]	[57455201]	[]
36_10409	chr11	112175295	112175695	+	1000	126.5	[9.256888]	[109]	[10.479597]	[98]	[112175499]	[112175488]
36_10424	chr3	72744356	72744756	+	1000	126.5	[7.2950506]	[94]	[]	[]	[72744532]	[]
36_10425	chr3	102224140	102224540	+	546	126.5	[8.857578, 14.492824]	[77, 97]	[]	[]	[102224312, 102224332]	[]
36_10435	chr7	44065778	44066178	+	961	126.5	[13.296596]	[95]	[]	[]	[44065972]	[]
36_10436	chr7	44257628	44258028	+	1000	126.5	[]	[]	[7.897518]	[116]	[]	[44257833]
36_10438	chr7	65770663	65771063	+	1000	126.5	[8.8627205]	[106]	[]	[]	[65770824]	[]
36_10439	chr7	96321016	96321416	+	1000	126.5	[7.9498467, 11.785644]	[115, 157]	[]	[]	[96321201, 96321243]	[]
36_1044	chr14	102594502	102594902	+	1000	683.5	[14.492824]	[95]	[]	[]	[102594696]	[]
36_10446	chr1	222589756	222590156	+	1000	126.0	[8.004651]	[102]	[8.6082115, 7.354904]	[116, 153]	[222589954]	[222589968, 222590005]
36_10447	chr1	248926828	248927228	+	1000	126.0	[]	[]	[7.7539153]	[100]	[]	[248927018]
36_1045	chr3	193794163	193794563	+	1000	683.0	[12.91743, 10.419522]	[106, 110]	[]	[]	[193794365, 193794369]	[]
36_10454	chr16	29790458	29790858	+	1000	126.0	[9.168581]	[220]	[]	[]	[29790683]	[]
36_10456	chr17	30323842	30324242	+	1000	126.0	[11.577011, 8.221154]	[108, 117]	[]	[]	[30324045, 30324054]	[]
36_10457	chr17	49579521	49579921	+	1000	126.0	[]	[]	[7.9442024, 8.152741]	[102, 144]	[]	[49579721, 49579763]
36_10459	chr18	3790696	3791096	+	1000	126.0	[]	[]	[9.018479]	[155]	[]	[3790925]
36_1046	chr6	33926413	33926813	+	1000	683.0	[]	[]	[12.799472]	[89]	[]	[33926589]
36_10467	chr21	29002720	29003120	+	1000	126.0	[8.913801]	[119]	[10.827915]	[116]	[29002930]	[29002927]
36_1047	chr11	44899944	44900344	+	1000	682.5	[]	[]	[9.761811, 12.799472]	[103, 107]	[]	[44900144, 44900148]
36_10475	chr4	10335034	10335434	+	1000	126.0	[]	[]	[12.082027]	[113]	[]	[10335243]
36_10481	chr5	131796982	131797382	+	1000	126.0	[7.3782496]	[121]	[]	[]	[131797170]	[]
36_10482	chr6	82521409	82521809	+	1000	126.0	[9.3400135]	[82]	[10.301564]	[112]	[82521585]	[82521615]
36_10485	chr7	24290292	24290692	+	1000	126.0	[10.426273]	[103]	[7.0650244]	[115]	[24290476]	[24290488]
36_10486	chr7	105127970	105128370	+	1000	126.0	[]	[]	[10.419522, 14.959101]	[134, 138]	[]	[105128183, 105128187]
36_10489	chr8	33509487	33509887	+	1000	126.0	[7.8240004]	[97]	[]	[]	[33509656]	[]
36_10493	chr9	87551668	87552068	+	1000	126.0	[8.8627205, 10.110129]	[125, 142]	[]	[]	[87551857, 87551874]	[]
36_10498	chr1	83860376	83860776	+	1000	125.5	[]	[]	[11.785644]	[108]	[]	[83860569]
36_1050	chr11	64335029	64335429	+	1000	681.0	[11.785644]	[113]	[]	[]	[64335236]	[]
36_10505	chr11	805174	805574	+	1000	125.5	[]	[]	[9.29815]	[137]	[]	[805406]
36_10509	chr12	94204816	94205216	+	1000	125.5	[12.830319]	[120]	[]	[]	[94205022]	[]
36_10518	chr15	63327705	63328105	+	1000	125.5	[7.63498, 13.296596, 8.781398]	[90, 122, 140]	[]	[]	[63327890, 63327922, 63327940]	[]
36_10519	chr15	99249412	99249812	+	1000	125.5	[10.355815]	[94]	[]	[]	[99249603]	[]
36_1052	chr16	53460	53860	+	1000	680.0	[]	[]	[7.977814]	[76]	[]	[53627]
36_10520	chr16	1342822	1343222	+	1000	125.5	[]	[]	[9.145273]	[87]	[]	[1342991]
36_10522	chr18	80108605	80109005	+	1000	125.5	[]	[]	[10.55093]	[96]	[]	[80108777]
36_10526	chr2	120291386	120291786	+	862	125.5	[12.948277]	[92]	[8.378211]	[64]	[120291577]	[120291549]
36_10530	chr21	42195281	42195681	+	1000	125.5	[9.113638]	[97]	[14.610782]	[100]	[42195468]	[42195471]
36_10538	chr5	126875353	126875753	+	1000	125.5	[7.997879]	[122]	[]	[]	[126875563]	[]
36_1054	chr15	37101564	37101964	+	1000	679.5	[]	[]	[11.200042]	[93]	[]	[37101757]
36_10543	chr6	53359293	53359693	+	1000	125.5	[]	[]	[9.168581]	[217]	[]	[53359482]
36_10544	chr6	88367217	88367617	+	832	125.5	[]	[]	[14.610782]	[89]	[]	[88367406]
36_10545	chr6	151040743	151041143	+	1000	125.5	[]	[]	[8.614963]	[103]	[]	[151040904]
36_10548	chr7	83468236	83468636	+	1000	125.5	[10.520082]	[100]	[]	[]	[83468404]	[]
36_1055	chr19	41364027	41364427	+	1000	679.5	[9.68468]	[113]	[]	[]	[41364240]	[]
36_10552	chr8	103448227	103448627	+	891	125.5	[]	[]	[7.0500937, 10.516231]	[90, 111]	[]	[103448410, 103448431]
36_10555	chr9	126723230	126723630	+	1000	125.5	[8.302331]	[131]	[]	[]	[126723449]	[]
36_10557	chr1	11671382	11671782	+	1000	125.0	[8.649353]	[104]	[]	[]	[11671564]	[]
36_1056	chr7	100586366	100586766	+	1000	679.5	[7.165457, 10.525226]	[89, 150]	[]	[]	[100586538, 100586599]	[]
36_10568	chr12	30320522	30320922	+	930	125.0	[8.726171, 7.8360543]	[103, 147]	[]	[]	[30320722, 30320766]	[]
36_10570	chr13	41004817	41005217	+	1000	125.0	[10.829789]	[108]	[]	[]	[41005023]	[]
36_10572	chr14	24146605	24147005	+	1000	125.0	[]	[]	[7.1120214]	[199]	[]	[24146849]
36_10574	chr14	34059000	34059400	+	1000	125.0	[7.7900844, 10.736993]	[79, 100]	[7.981348]	[109]	[34059171, 34059192]	[34059201]
36_1058	chr1	38783538	38783938	+	1000	678.5	[]	[]	[10.270717, 14.959101]	[76, 95]	[]	[38783714, 38783733]
36_10582	chr18	22102951	22103351	+	1000	125.0	[]	[]	[10.053806]	[111]	[]	[22103148]
36_10586	chr3	52006158	52006558	+	1000	125.0	[]	[]	[7.826244, 14.492824]	[64, 102]	[]	[52006319, 52006357]
36_10588	chr3	169619119	169619519	+	1000	125.0	[]	[]	[7.2228217]	[104]	[]	[169619311]
36_10591	chr6	43807415	43807815	+	1000	125.0	[12.948277, 7.7032223]	[100, 123]	[]	[]	[43807605, 43807628]	[]
36_10593	chr7	44986491	44986891	+	1000	125.0	[9.158371]	[83]	[]	[]	[44986646]	[]
36_10595	chr7	107971549	107971949	+	1000	125.0	[10.388675]	[249]	[]	[]	[107971765]	[]
36_10597	chr8	29559824	29560224	+	1000	125.0	[]	[]	[14.492824]	[101]	[]	[29560013]
36_10599	chr9	123835059	123835459	+	1000	125.0	[]	[]	[9.263993]	[109]	[]	[123835265]
36_10601	chr1	39271950	39272350	+	669	124.5	[]	[]	[10.110129]	[131]	[]	[39272134]
36_10609	chr10	73517604	73518004	+	1000	124.5	[14.610782]	[128]	[]	[]	[73517784]	[]
36_1061	chr12	12717160	12717560	+	1000	678.0	[]	[]	[12.638885]	[96]	[]	[12717354]
36_10618	chr15	57706309	57706709	+	1000	124.5	[12.290566]	[92]	[]	[]	[57706478]	[]
36_10621	chr16	3983039	3983439	+	1000	124.5	[10.110129, 7.1120214]	[96, 108]	[]	[]	[3983233, 3983245]	[]
36_10626	chr19	50361331	50361731	+	591	124.5	[8.853726]	[101]	[]	[]	[50361520]	[]
36_10637	chr3	49930984	49931384	+	1000	124.5	[11.865117]	[106]	[]	[]	[49931168]	[]
36_10638	chr4	1757810	1758210	+	1000	124.5	[]	[]	[11.785644, 12.082027, 10.464759, 7.9360037, 10.991502]	[98, 110, 114, 122, 126]	[]	[1758006, 1758018, 1758022, 1758030, 1758034]
36_1064	chr10	100912699	100913099	+	1000	677.0	[]	[]	[10.821276]	[88]	[]	[100912884]
36_10640	chr4	39182235	39182635	+	1000	124.5	[9.399782]	[149]	[7.4148836]	[100]	[39182472]	[39182423]
36_10641	chr4	123096033	123096433	+	1000	124.5	[10.1103]	[144]	[]	[]	[123096244]	[]
36_10644	chr5	157494375	157494775	+	971	124.5	[9.389796, 10.774591]	[127, 141]	[]	[]	[157494554, 157494568]	[]
36_1065	chr12	56725201	56725601	+	1000	676.5	[7.165457, 9.113638]	[113, 117]	[]	[]	[56725409, 56725413]	[]
36_10650	chr7	105017669	105018069	+	1000	124.5	[7.1944876]	[133]	[]	[]	[105017893]	[]
36_10658	chr9	99221822	99222222	+	945	124.5	[]	[]	[7.0707307]	[88]	[]	[99222005]
36_1066	chr17	49708068	49708468	+	1000	676.5	[10.388675]	[103]	[]	[]	[49708266]	[]
36_10660	chr1	40311652	40312052	+	1000	124.0	[14.959101]	[118]	[]	[]	[40311860]	[]
36_10666	chr10	106942302	106942702	+	1000	124.0	[]	[]	[10.270717]	[152]	[]	[106942523]
36_10672	chr12	662882	663282	+	1000	124.0	[11.577011]	[88]	[]	[]	[663067]	[]
36_10674	chr12	56221237	56221637	+	813	124.0	[]	[]	[13.520257]	[107]	[]	[56221437]
36_10676	chr14	93010542	93010942	+	1000	124.0	[9.263231, 10.482768, 8.034783]	[63, 119, 152]	[8.668286]	[83]	[93010693, 93010749, 93010782]	[93010713]
36_10681	chr17	69254199	69254599	+	1000	124.0	[]	[]	[8.220192]	[150]	[]	[69254440]
36_10687	chr19	51560330	51560730	+	1000	124.0	[11.903602]	[141]	[14.610782]	[101]	[51560568]	[51560528]
36_10688	chr2	3518676	3519076	+	1000	124.0	[]	[]	[10.589416]	[110]	[]	[3518869]
36_10692	chr2	239265141	239265541	+	1000	124.0	[]	[]	[8.044763]	[148]	[]	[239265349]
36_10693	chr20	63819616	63820016	+	1000	124.0	[7.7724166]	[99]	[11.577011]	[114]	[63819807]	[63819822]
36_10696	chr3	53072531	53072931	+	1000	124.0	[]	[]	[11.903602]	[208]	[]	[53072779]
36_1071	chr2	20446719	20447119	+	1000	675.5	[]	[]	[7.5943837, 13.520257, 8.258101]	[67, 94, 138]	[]	[20446885, 20446912, 20446956]
36_10710	chr7	152760164	152760564	+	1000	124.0	[7.7004805]	[65]	[10.308315]	[96]	[152760315]	[152760346]
36_10712	chr9	84261071	84261471	+	1000	124.0	[]	[]	[11.200042]	[100]	[]	[84261246]
36_10718	chr1	154206165	154206565	+	1000	123.5	[12.91743]	[95]	[]	[]	[154206338]	[]
36_10721	chr1	236086537	236086937	+	1000	123.5	[]	[]	[13.296596]	[111]	[]	[236086736]
36_10728	chr15	90675453	90675853	+	1000	123.5	[]	[]	[10.479597]	[151]	[]	[90675667]
36_10734	chr19	20922955	20923355	+	1000	123.5	[]	[]	[14.492824]	[83]	[]	[20923129]
36_10738	chr2	216859957	216860357	+	1000	123.5	[]	[]	[14.492824]	[105]	[]	[216860158]
36_10752	chr7	127986986	127987386	+	1000	123.5	[]	[]	[10.419522, 9.263231]	[150, 154]	[]	[127987208, 127987212]
36_10756	chr9	33001284	33001684	+	1000	123.5	[]	[]	[9.285928, 7.619144]	[81, 95]	[]	[33001461, 33001475]
36_1076	chr13	26557361	26557761	+	1000	673.5	[]	[]	[8.201476]	[81]	[]	[26557526]
36_10760	chr1	61226936	61227336	+	870	123.0	[8.068459, 11.577011]	[103, 115]	[]	[]	[61227135, 61227147]	[]
36_10771	chr15	82649042	82649442	+	1000	123.0	[14.492824]	[158]	[]	[]	[82649248]	[]
36_10773	chr16	57268762	57269162	+	1000	123.0	[11.351634]	[107]	[]	[]	[57268927]	[]
36_10778	chr17	54864554	54864954	+	1000	123.0	[10.711831]	[114]	[]	[]	[54864750]	[]
36_10780	chr2	9897474	9897874	+	1000	123.0	[]	[]	[14.610782]	[116]	[]	[9897678]
36_10784	chr2	170996348	170996748	+	1000	123.0	[7.412284]	[87]	[]	[]	[170996527]	[]
36_10788	chr22	20184486	20184886	+	1000	123.0	[8.668286]	[97]	[11.925329]	[108]	[20184678]	[20184689]
36_1079	chr1	202553800	202554200	+	1000	671.5	[13.044986]	[103]	[7.456384]	[148]	[202553998]	[202554043]
36_10794	chr4	73945160	73945560	+	1000	123.0	[]	[]	[11.785644]	[82]	[]	[73945330]
36_10796	chr4	87220710	87221110	+	1000	123.0	[]	[]	[9.68468]	[98]	[]	[87220893]
36_108	chr1	155227350	155227750	+	1000	899.5	[]	[]	[9.4543295]	[209]	[]	[155227575]
36_1080	chr16	88497736	88498136	+	1000	671.5	[12.430346]	[92]	[]	[]	[88497928]	[]
36_10800	chr6	90351128	90351528	+	1000	123.0	[]	[]	[8.822879, 7.654458]	[120, 153]	[]	[90351314, 90351347]
36_10801	chr6	134663363	134663763	+	1000	123.0	[8.047822, 7.3310385]	[71, 111]	[]	[]	[134663531, 134663571]	[]
36_10803	chr7	87057220	87057620	+	1000	123.0	[]	[]	[11.577011]	[120]	[]	[87057424]
36_10806	chr8	73435530	73435930	+	1000	123.0	[]	[]	[11.865117]	[74]	[]	[73435698]
36_1081	chr7	4775375	4775775	+	1000	671.5	[]	[]	[9.256888]	[96]	[]	[4775560]
36_10812	chr9	104968373	104968773	+	1000	123.0	[]	[]	[10.510103]	[117]	[]	[104968586]
36_10813	chr9	137494106	137494506	+	1000	123.0	[7.43415]	[84]	[8.822879, 7.619144]	[65, 120]	[137494277]	[137494258, 137494313]
36_10816	chr1	176207397	176207797	+	1000	122.5	[]	[]	[7.1545467]	[259]	[]	[176207637]
36_1082	chr2	102635324	102635724	+	1000	671.0	[]	[]	[12.430346, 10.1103, 9.723165]	[96, 100, 151]	[]	[102635515, 102635519, 102635570]
36_10821	chr11	102421182	102421582	+	1000	122.5	[]	[]	[14.492824]	[143]	[]	[102421392]
36_1083	chr11	96817577	96817977	+	1000	670.5	[12.638885]	[105]	[]	[]	[96817776]	[]
36_10831	chr2	37326338	37326738	+	1000	122.5	[]	[]	[8.779605]	[121]	[]	[37326543]
36_10839	chr3	171347712	171348112	+	926	122.5	[]	[]	[9.030621]	[178]	[]	[171347903]
36_10840	chr4	138488440	138488840	+	1000	122.5	[]	[]	[14.492824]	[102]	[]	[138488639]
36_10845	chr7	37354488	37354888	+	1000	122.5	[]	[]	[9.640777]	[122]	[]	[37354701]
36_10848	chr9	70475179	70475579	+	1000	122.5	[]	[]	[7.0489435, 7.8804946]	[95, 155]	[]	[70475333, 70475393]
36_10849	chr9	112061296	112061696	+	1000	122.5	[10.347194]	[61]	[]	[]	[112061447]	[]
36_1085	chrX	48800480	48800880	+	1000	670.0	[]	[]	[11.826905, 12.91743]	[100, 108]	[]	[48800680, 48800688]
36_10851	chrX	118345817	118346217	+	1000	122.5	[]	[]	[8.6082115]	[163]	[]	[118346019]
36_10855	chr1	164787312	164787712	+	1000	122.0	[]	[]	[10.308315]	[130]	[]	[164787530]
36_10858	chr1	241998416	241998816	+	1000	122.0	[7.302327]	[123]	[9.583385, 7.48357]	[126, 142]	[241998627]	[241998630, 241998646]
36_10863	chr14	73886466	73886866	+	1000	122.0	[7.4649982]	[138]	[]	[]	[73886646]	[]
36_1087	chr22	50200688	50201088	+	1000	669.0	[8.284322]	[92]	[7.040283]	[108]	[50200880]	[50200896]
36_10877	chr2	176814705	176815105	+	1000	122.0	[9.758735]	[94]	[]	[]	[176814879]	[]
36_10888	chr3	150409871	150410271	+	1000	122.0	[8.122609]	[109]	[]	[]	[150410072]	[]
36_10895	chr5	78659584	78659984	+	1000	122.0	[10.516231]	[127]	[]	[]	[78659802]	[]
36_10898	chr6	30131006	30131406	+	1000	122.0	[10.516231]	[97]	[12.430346]	[116]	[30131201]	[30131220]
36_1090	chr2	241149313	241149713	+	1000	668.5	[7.0732827]	[99]	[]	[]	[241149511]	[]
36_10904	chr7	151745368	151745768	+	1000	122.0	[11.459053]	[100]	[]	[]	[151745566]	[]
36_10907	chrX	39771966	39772366	+	1000	122.0	[9.909346, 7.9442024]	[95, 99]	[]	[]	[39772157, 39772161]	[]
36_10913	chr11	75103236	75103636	+	1000	121.5	[13.044986, 7.175591]	[165, 185]	[]	[]	[75103432, 75103452]	[]
