#PeakID(python scan_motif.py ./ENCODE_processed_files/MAFK_idr.fa MAFK --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
420_10013	chr22	22030452	22030852	+	1000	85.0	[7.2262077]	[151]	[11.476549]	[129]	[22030700]	[22030678]
420_10015	chr3	4963669	4964069	+	1000	85.0	[11.476549]	[118]	[11.476549, 11.476549]	[107, 141]	[4963878]	[4963867, 4963901]
420_10016	chr3	9642658	9643058	+	1000	85.0	[]	[]	[11.476549]	[157]	[]	[9642908]
420_10017	chr3	42667754	42668154	+	1000	85.0	[]	[]	[11.476549]	[123]	[]	[42667965]
420_10018	chr3	183298813	183299213	+	1000	85.0	[5.659805]	[130]	[11.476549]	[114]	[183299034]	[183299018]
420_1002	chr5	109191261	109191661	+	1000	303.0	[]	[]	[11.476549]	[105]	[]	[109191462]
420_10020	chr3	186871359	186871759	+	1000	85.0	[7.2262077]	[102]	[]	[]	[186871545]	[]
420_10021	chr3	187040797	187041197	+	1000	85.0	[]	[]	[11.476549]	[99]	[]	[187040992]
420_10022	chr3	191428156	191428556	+	1000	85.0	[11.476549]	[132]	[7.312882]	[125]	[191428379]	[191428372]
420_10023	chr4	10184111	10184511	+	1000	85.0	[11.476549]	[116]	[]	[]	[10184317]	[]
420_10024	chr4	42608585	42608985	+	1000	85.0	[11.476549, 8.216044]	[101, 125]	[7.2262077]	[144]	[42608774, 42608798]	[42608817]
420_10025	chr4	48270439	48270839	+	1000	85.0	[11.476549]	[156]	[]	[]	[48270670]	[]
420_10026	chr4	70722387	70722787	+	1000	85.0	[8.216044]	[114]	[7.2262077]	[107]	[70722569]	[70722562]
420_10028	chr4	75898519	75898919	+	1000	85.0	[]	[]	[11.476549]	[118]	[]	[75898729]
420_10029	chr4	78650131	78650531	+	1000	85.0	[11.476549]	[91]	[11.476549]	[139]	[78650319]	[78650367]
420_1003	chr5	163878483	163878883	+	1000	303.0	[11.476549]	[110]	[8.216044]	[102]	[163878691]	[163878683]
420_10031	chr4	111699151	111699551	+	1000	85.0	[]	[]	[11.476549, 11.476549]	[98, 116]	[]	[111699346, 111699364]
420_10032	chr4	112708755	112709155	+	1000	85.0	[]	[]	[11.476549]	[107]	[]	[112708959]
420_10033	chr4	138513531	138513931	+	1000	85.0	[11.476549]	[106]	[]	[]	[138513735]	[]
420_10034	chr4	182973586	182973986	+	1000	85.0	[7.312882]	[84]	[11.476549]	[106]	[182973759]	[182973781]
420_10035	chr5	1173004	1173404	+	1000	85.0	[]	[]	[11.476549, 11.476549, 11.476549]	[101, 125, 149]	[]	[1173202, 1173226, 1173250]
420_10036	chr5	65734195	65734595	+	1000	85.0	[7.2262077]	[85]	[11.476549]	[112]	[65734375]	[65734402]
420_10037	chr5	68554968	68555368	+	1000	85.0	[11.476549]	[117]	[7.2262077]	[136]	[68555177]	[68555196]
420_10038	chr5	126494891	126495291	+	1000	85.0	[11.476549, 5.659805]	[98, 141]	[]	[]	[126495080, 126495123]	[]
420_10039	chr5	132318719	132319119	+	1000	85.0	[11.476549]	[65]	[]	[]	[132318883]	[]
420_1004	chr6	32177610	32178010	+	1000	303.0	[11.476549]	[112]	[7.2262077]	[128]	[32177812]	[32177828]
420_10040	chr6	3058953	3059353	+	1000	85.0	[]	[]	[11.476549]	[104]	[]	[3059150]
420_10041	chr6	5433327	5433727	+	1000	85.0	[]	[]	[11.476549]	[99]	[]	[5433520]
420_10042	chr6	7166355	7166755	+	1000	85.0	[]	[]	[7.2262077, 7.2262077]	[94, 142]	[]	[7166546, 7166594]
420_10043	chr6	8414829	8415229	+	1000	85.0	[11.476549]	[116]	[]	[]	[8415044]	[]
420_10044	chr6	13354319	13354719	+	1000	85.0	[5.659805]	[80]	[]	[]	[13354492]	[]
420_10045	chr6	13357465	13357865	+	1000	85.0	[7.2262077]	[94]	[11.476549]	[107]	[13357658]	[13357671]
420_10046	chr6	18178951	18179351	+	1000	85.0	[11.476549]	[130]	[8.216044, 8.216044]	[62, 103]	[18179180]	[18179112, 18179153]
420_1005	chr6	112804635	112805035	+	1000	303.0	[8.216044]	[108]	[]	[]	[112804841]	[]
420_10050	chr6	27792099	27792499	+	1000	85.0	[11.476549]	[143]	[7.2262077]	[93]	[27792307]	[27792257]
420_10052	chr6	29591666	29592066	+	1000	85.0	[]	[]	[11.476549]	[118]	[]	[29591868]
420_10053	chr6	39154680	39155080	+	1000	85.0	[]	[]	[7.312882, 11.476549]	[80, 128]	[]	[39154847, 39154895]
420_10054	chr6	43817131	43817531	+	1000	85.0	[]	[]	[8.216044]	[98]	[]	[43817327]
420_10055	chr6	47420409	47420809	+	1000	85.0	[]	[]	[5.659805]	[66]	[]	[47420563]
420_10056	chr6	85035764	85036164	+	1000	85.0	[11.476549]	[110]	[8.216044]	[103]	[85035969]	[85035962]
420_10057	chr6	110944625	110945025	+	1000	85.0	[]	[]	[7.312882]	[147]	[]	[110944845]
420_10058	chr6	116046733	116047133	+	1000	85.0	[11.476549]	[112]	[]	[]	[116046932]	[]
420_10059	chr6	129943609	129944009	+	1000	85.0	[5.659805]	[114]	[11.476549]	[127]	[129943820]	[129943833]
420_1006	chrX	34632409	34632809	+	1000	303.0	[11.476549]	[107]	[11.476549]	[100]	[34632616]	[34632609]
420_10060	chr6	132475940	132476340	+	1000	85.0	[11.476549, 8.216044]	[81, 90]	[]	[]	[132476114, 132476123]	[]
420_10061	chr6	133590742	133591142	+	1000	85.0	[]	[]	[11.476549]	[92]	[]	[133590929]
420_10062	chr6	146892579	146892979	+	1000	85.0	[5.659805, 7.2262077]	[92, 162]	[]	[]	[146892735, 146892805]	[]
420_10063	chr6	158853155	158853555	+	1000	85.0	[11.476549]	[193]	[]	[]	[158853401]	[]
420_10064	chr7	6212013	6212413	+	1000	85.0	[11.476549]	[104]	[]	[]	[6212205]	[]
420_10066	chr7	30916751	30917151	+	1000	85.0	[11.476549]	[119]	[11.476549, 7.312882]	[111, 151]	[30916963]	[30916955, 30916995]
420_10067	chr7	44665530	44665930	+	1000	85.0	[]	[]	[11.476549]	[107]	[]	[44665733]
420_10068	chr7	46544339	46544739	+	1000	85.0	[]	[]	[8.216044]	[81]	[]	[46544506]
420_10069	chr7	76364733	76365133	+	1000	85.0	[]	[]	[8.216044]	[210]	[]	[76364983]
420_1007	chr1	168392896	168393296	+	1000	302.0	[]	[]	[11.476549, 7.2262077, 11.476549]	[104, 129, 146]	[]	[168393093, 168393118, 168393135]
420_10070	chr7	81986737	81987137	+	1000	85.0	[11.476549]	[117]	[]	[]	[81986943]	[]
420_10071	chr7	86733766	86734166	+	1000	85.0	[]	[]	[11.476549]	[113]	[]	[86733978]
420_10072	chr7	88109571	88109971	+	1000	85.0	[7.312882]	[97]	[]	[]	[88109768]	[]
420_10075	chr7	116971103	116971503	+	1000	85.0	[]	[]	[5.659805]	[137]	[]	[116971339]
420_10077	chr7	127887516	127887916	+	1000	85.0	[]	[]	[11.476549]	[93]	[]	[127887707]
420_1008	chr1	201984446	201984846	+	1000	302.0	[7.312882]	[109]	[8.216044]	[102]	[201984646]	[201984639]
420_10080	chr8	11350219	11350619	+	1000	85.0	[]	[]	[7.2262077]	[83]	[]	[11350398]
420_10081	chr8	15701767	15702167	+	1000	85.0	[]	[]	[8.216044]	[150]	[]	[15702009]
420_10082	chr8	27617013	27617413	+	1000	85.0	[]	[]	[11.476549, 5.659805]	[119, 132]	[]	[27617216, 27617229]
420_10084	chr8	39017208	39017608	+	1000	85.0	[7.2262077]	[98]	[]	[]	[39017402]	[]
420_10085	chr8	85939394	85939794	+	1000	85.0	[7.312882]	[116]	[]	[]	[85939598]	[]
420_10086	chr8	91576237	91576637	+	1000	85.0	[11.476549]	[108]	[]	[]	[91576441]	[]
420_10088	chr8	109027184	109027584	+	1000	85.0	[8.216044]	[94]	[]	[]	[109027377]	[]
420_10089	chr8	143264646	143265046	+	1000	85.0	[5.659805, 7.2262077]	[86, 116]	[]	[]	[143264829, 143264859]	[]
420_1009	chr10	62761168	62761568	+	1000	302.0	[8.216044]	[101]	[]	[]	[62761365]	[]
420_10091	chr9	109115938	109116338	+	1000	85.0	[8.216044]	[97]	[]	[]	[109116130]	[]
420_10093	chrUn_GL000219v1	40152	40552	+	1000	85.0	[7.312882]	[147]	[11.476549, 7.2262077]	[88, 111]	[40395]	[40336, 40359]
420_10094	chrX	10190387	10190787	+	1000	85.0	[]	[]	[7.2262077]	[95]	[]	[10190577]
420_10095	chrX	80512362	80512762	+	1000	85.0	[]	[]	[7.312882]	[80]	[]	[80512530]
420_10096	chr1	10960954	10961354	+	1000	84.0	[11.476549]	[80]	[]	[]	[10961134]	[]
420_10097	chr1	16173458	16173858	+	1000	84.0	[]	[]	[11.476549]	[105]	[]	[16173654]
420_10098	chr1	21305380	21305780	+	1000	84.0	[11.476549]	[112]	[]	[]	[21305591]	[]
420_10099	chr1	27508323	27508723	+	1000	84.0	[7.2262077]	[118]	[]	[]	[27508503]	[]
420_101	chr6	67493679	67494079	+	1000	559.0	[11.476549]	[103]	[11.476549]	[96]	[67493880]	[67493873]
420_1010	chr11	88016455	88016855	+	1000	302.0	[7.2262077]	[118]	[]	[]	[88016672]	[]
420_10101	chr1	50995001	50995401	+	1000	84.0	[8.216044]	[98]	[]	[]	[50995198]	[]
420_10102	chr1	67570400	67570800	+	1000	84.0	[11.476549]	[72]	[5.659805]	[94]	[67570571]	[67570593]
420_10103	chr1	76627488	76627888	+	1000	84.0	[]	[]	[11.476549]	[103]	[]	[76627684]
420_10104	chr1	78887443	78887843	+	1000	84.0	[11.476549]	[111]	[]	[]	[78887644]	[]
420_10105	chr1	120942473	120942873	+	1000	84.0	[]	[]	[11.476549]	[127]	[]	[120942679]
420_10106	chr1	143195347	143195747	+	1000	84.0	[8.216044]	[148]	[]	[]	[143195595]	[]
420_10107	chr1	151945175	151945575	+	1000	84.0	[11.476549]	[111]	[]	[]	[151945376]	[]
420_1011	chr15	52042181	52042581	+	1000	302.0	[8.216044]	[86]	[8.216044]	[105]	[52042358]	[52042377]
420_10110	chr1	192175970	192176370	+	1000	84.0	[11.476549]	[107]	[]	[]	[192176171]	[]
420_10111	chr1	192576789	192577189	+	1000	84.0	[11.476549]	[84]	[11.476549]	[108]	[192576971]	[192576995]
420_10112	chr1	230156184	230156584	+	1000	84.0	[7.2262077]	[139]	[5.659805]	[66]	[230156415]	[230156342]
420_10115	chr10	13612659	13613059	+	1000	84.0	[]	[]	[11.476549, 11.476549]	[93, 101]	[]	[13612847, 13612855]
420_10118	chr10	54837474	54837874	+	1000	84.0	[11.476549]	[106]	[8.216044]	[98]	[54837668]	[54837660]
420_10119	chr10	60258051	60258451	+	1000	84.0	[11.476549, 11.476549]	[79, 130]	[11.476549]	[108]	[60258223, 60258274]	[60258252]
420_1012	chr19	40070051	40070451	+	1000	302.0	[7.312882]	[113]	[11.476549]	[106]	[40070252]	[40070245]
420_10120	chr10	61558173	61558573	+	1000	84.0	[]	[]	[11.476549, 5.659805]	[109, 131]	[]	[61558381, 61558403]
420_10121	chr10	63236363	63236763	+	1000	84.0	[8.216044]	[91]	[7.312882]	[120]	[63236545]	[63236574]
420_10122	chr10	75209764	75210164	+	1000	84.0	[11.476549]	[109]	[]	[]	[75209953]	[]
420_10123	chr10	107022911	107023311	+	1000	84.0	[]	[]	[11.476549]	[132]	[]	[107023135]
420_10124	chr11	6670191	6670591	+	1000	84.0	[]	[]	[11.476549]	[107]	[]	[6670397]
420_10125	chr11	20368473	20368873	+	1000	84.0	[11.476549]	[116]	[]	[]	[20368671]	[]
420_10126	chr11	43366720	43367120	+	1000	84.0	[]	[]	[7.2262077]	[104]	[]	[43366919]
420_10127	chr11	50174968	50175368	+	1000	84.0	[11.476549]	[81]	[7.312882]	[96]	[50175148]	[50175163]
420_10128	chr11	57015674	57016074	+	1000	84.0	[]	[]	[11.476549]	[101]	[]	[57015871]
420_10129	chr11	61800593	61800993	+	1000	84.0	[]	[]	[11.476549, 5.659805, 8.216044]	[65, 139, 142]	[]	[61800746, 61800820, 61800823]
420_1013	chr2	121531018	121531418	+	1000	302.0	[8.216044, 5.659805]	[84, 117]	[11.476549]	[110]	[121531201, 121531234]	[121531227]
420_10130	chr11	72100400	72100800	+	1000	84.0	[]	[]	[11.476549]	[130]	[]	[72100622]
420_10132	chr11	131408074	131408474	+	1000	84.0	[]	[]	[11.476549]	[98]	[]	[131408267]
420_10133	chr12	7303232	7303632	+	1000	84.0	[]	[]	[7.312882, 7.312882]	[126, 143]	[]	[7303445, 7303462]
420_10134	chr12	16870832	16871232	+	1000	84.0	[11.476549, 11.476549]	[109, 146]	[]	[]	[16871041, 16871078]	[]
420_10135	chr12	19515136	19515536	+	1000	84.0	[]	[]	[11.476549]	[100]	[]	[19515335]
420_10136	chr12	71935534	71935934	+	1000	84.0	[]	[]	[11.476549]	[64]	[]	[71935686]
420_10137	chr12	102694910	102695310	+	1000	84.0	[11.476549]	[113]	[]	[]	[102695113]	[]
420_10138	chr12	116336652	116337052	+	1000	84.0	[]	[]	[8.216044, 5.659805]	[82, 91]	[]	[116336810, 116336819]
420_1014	chr5	72565514	72565914	+	1000	302.0	[7.2262077]	[97]	[7.2262077, 7.2262077]	[90, 143]	[72565711]	[72565704, 72565757]
420_10140	chr13	46296900	46297300	+	1000	84.0	[11.476549]	[117]	[]	[]	[46297112]	[]
420_10141	chr13	67474098	67474498	+	1000	84.0	[7.312882]	[114]	[]	[]	[67474312]	[]
420_10142	chr13	77262189	77262589	+	1000	84.0	[11.476549]	[120]	[]	[]	[77262398]	[]
420_10143	chr13	85434920	85435320	+	1000	84.0	[8.216044, 8.216044]	[116, 134]	[11.476549]	[109]	[85435133, 85435151]	[85435126]
420_10144	chr13	92377383	92377783	+	1000	84.0	[11.476549, 7.312882]	[68, 119]	[]	[]	[92377549, 92377600]	[]
420_10145	chr14	21106536	21106936	+	1000	84.0	[]	[]	[11.476549]	[107]	[]	[21106741]
420_10146	chr14	45904317	45904717	+	1000	84.0	[11.476549]	[103]	[11.476549]	[95]	[45904515]	[45904507]
420_10147	chr14	49654501	49654901	+	1000	84.0	[]	[]	[11.476549]	[104]	[]	[49654705]
420_10148	chr14	81068395	81068795	+	1000	84.0	[11.476549]	[93]	[]	[]	[81068584]	[]
420_10149	chr14	100862288	100862688	+	1000	84.0	[11.476549]	[99]	[]	[]	[100862485]	[]
420_1015	chr6	75261296	75261696	+	1000	302.0	[]	[]	[11.476549]	[105]	[]	[75261492]
420_10151	chr15	95995363	95995763	+	1000	84.0	[7.2262077]	[119]	[]	[]	[95995577]	[]
420_10152	chr16	10151752	10152152	+	1000	84.0	[]	[]	[11.476549, 11.476549]	[110, 137]	[]	[10151951, 10151978]
420_10153	chr16	50375244	50375644	+	1000	84.0	[]	[]	[5.659805]	[149]	[]	[50375487]
420_10154	chr16	69562811	69563211	+	1000	84.0	[7.312882]	[117]	[]	[]	[69563019]	[]
420_10156	chr16	81094954	81095354	+	1000	84.0	[]	[]	[11.476549]	[104]	[]	[81095145]
420_10157	chr17	17538448	17538848	+	1000	84.0	[8.216044]	[67]	[]	[]	[17538609]	[]
420_10158	chr17	18074845	18075245	+	1000	84.0	[]	[]	[7.312882]	[59]	[]	[18075002]
420_10159	chr17	53748358	53748758	+	1000	84.0	[]	[]	[11.476549, 11.476549]	[94, 165]	[]	[53748528, 53748599]
420_1016	chr7	65286449	65286849	+	1000	302.0	[7.312882]	[114]	[7.2262077]	[107]	[65286663]	[65286656]
420_10160	chr17	59287498	59287898	+	1000	84.0	[8.216044]	[105]	[5.659805]	[67]	[59287703]	[59287665]
420_10161	chr17	72890725	72891125	+	1000	84.0	[7.312882, 11.476549]	[108, 134]	[]	[]	[72890908, 72890934]	[]
420_10162	chr17	77137883	77138283	+	1000	84.0	[]	[]	[11.476549, 11.476549]	[64, 113]	[]	[77138044, 77138093]
420_10163	chr17	78645801	78646201	+	1000	84.0	[11.476549]	[93]	[11.476549]	[85]	[78645994]	[78645986]
420_10165	chr18	35041103	35041503	+	1000	84.0	[]	[]	[8.216044]	[94]	[]	[35041290]
420_10168	chr19	47585545	47585945	+	1000	84.0	[11.476549]	[116]	[]	[]	[47585746]	[]
420_10169	chr19	54121248	54121648	+	1000	84.0	[11.476549]	[114]	[11.476549]	[107]	[54121443]	[54121436]
420_1017	chr1	109823811	109824211	+	1000	301.0	[5.659805, 11.476549]	[70, 103]	[11.476549]	[141]	[109823981, 109824014]	[109824052]
420_10170	chr19	56099174	56099574	+	1000	84.0	[]	[]	[7.2262077, 11.476549]	[55, 99]	[]	[56099327, 56099371]
420_10171	chr2	1088935	1089335	+	1000	84.0	[11.476549, 8.216044]	[114, 140]	[11.476549]	[74]	[1089139, 1089165]	[1089099]
420_10172	chr2	11338570	11338970	+	1000	84.0	[]	[]	[11.476549]	[117]	[]	[11338781]
420_10173	chr2	20579257	20579657	+	1000	84.0	[8.216044]	[140]	[5.659805]	[85]	[20579479]	[20579424]
420_10174	chr2	28224765	28225165	+	1000	84.0	[]	[]	[8.216044]	[111]	[]	[28224973]
420_10175	chr2	48685115	48685515	+	1000	84.0	[]	[]	[7.312882]	[108]	[]	[48685320]
420_10176	chr2	50765594	50765994	+	1000	84.0	[11.476549]	[103]	[7.2262077]	[137]	[50765789]	[50765823]
420_10177	chr2	97022555	97022955	+	1000	84.0	[11.476549]	[104]	[]	[]	[97022753]	[]
420_10178	chr2	112923622	112924022	+	1000	84.0	[]	[]	[11.476549]	[91]	[]	[112923807]
420_10179	chr2	131235923	131236323	+	1000	84.0	[11.476549]	[101]	[]	[]	[131236123]	[]
420_1018	chr1	174166877	174167277	+	1000	301.0	[11.476549]	[94]	[]	[]	[174167068]	[]
420_10180	chr2	159497210	159497610	+	1000	84.0	[11.476549]	[121]	[]	[]	[159497416]	[]
420_10181	chr2	159714334	159714734	+	1000	84.0	[]	[]	[7.2262077]	[147]	[]	[159714578]
420_10182	chr2	160703598	160703998	+	1000	84.0	[]	[]	[11.476549]	[108]	[]	[160703805]
420_10183	chr2	166376105	166376505	+	1000	84.0	[11.476549]	[116]	[]	[]	[166376320]	[]
420_10184	chr20	9663423	9663823	+	1000	84.0	[11.476549]	[114]	[]	[]	[9663625]	[]
420_10185	chr21	14487990	14488390	+	1000	84.0	[11.476549]	[94]	[]	[]	[14488183]	[]
420_10186	chr21	35417033	35417433	+	1000	84.0	[]	[]	[8.216044]	[126]	[]	[35417247]
420_10187	chr21	41074783	41075183	+	1000	84.0	[]	[]	[11.476549]	[102]	[]	[41074977]
420_10188	chr22	22001934	22002334	+	1000	84.0	[7.312882]	[162]	[]	[]	[22002176]	[]
420_10189	chr22	22122587	22122987	+	1000	84.0	[8.216044]	[163]	[]	[]	[22122836]	[]
420_1019	chr1	187460127	187460527	+	1000	301.0	[11.476549]	[101]	[]	[]	[187460328]	[]
420_10191	chr22	22666533	22666933	+	1000	84.0	[]	[]	[5.659805]	[92]	[]	[22666712]
420_10192	chr22	22745622	22746022	+	1000	84.0	[]	[]	[5.659805]	[107]	[]	[22745827]
420_10193	chr22	39961475	39961875	+	1000	84.0	[11.476549]	[80]	[]	[]	[39961651]	[]
420_10194	chr3	8894649	8895049	+	1000	84.0	[5.659805]	[141]	[]	[]	[8894876]	[]
420_10197	chr3	25751059	25751459	+	1000	84.0	[11.476549]	[117]	[11.476549, 5.659805]	[78, 110]	[25751253]	[25751214, 25751246]
420_10198	chr3	42072100	42072500	+	1000	84.0	[7.2262077]	[99]	[]	[]	[42072289]	[]
420_10199	chr3	62941155	62941555	+	1000	84.0	[5.659805]	[116]	[7.2262077]	[86]	[62941368]	[62941338]
420_102	chr1	248065617	248066017	+	1000	558.0	[11.476549]	[95]	[11.476549, 7.2262077]	[88, 115]	[248065811]	[248065804, 248065831]
420_1020	chr1	211912093	211912493	+	1000	301.0	[8.216044]	[113]	[]	[]	[211912302]	[]
420_10200	chr3	110521036	110521436	+	1000	84.0	[8.216044, 8.216044]	[145, 148]	[5.659805]	[130]	[110521271, 110521274]	[110521256]
420_10201	chr3	142097083	142097483	+	1000	84.0	[]	[]	[8.216044]	[107]	[]	[142097288]
420_10202	chr3	148889840	148890240	+	1000	84.0	[7.312882, 8.216044]	[113, 161]	[]	[]	[148890042, 148890090]	[]
420_10203	chr4	6557157	6557557	+	1000	84.0	[11.476549]	[121]	[]	[]	[6557376]	[]
420_10204	chr4	33494098	33494498	+	1000	84.0	[7.2262077]	[140]	[11.476549]	[117]	[33494336]	[33494313]
420_10205	chr4	63106605	63107005	+	1000	84.0	[11.476549]	[73]	[11.476549]	[92]	[63106777]	[63106796]
420_10206	chr4	138741976	138742376	+	1000	84.0	[]	[]	[11.476549]	[96]	[]	[138742169]
420_10207	chr4	150541062	150541462	+	1000	84.0	[7.2262077]	[106]	[7.2262077]	[99]	[150541253]	[150541246]
420_10208	chr4	186158933	186159333	+	1000	84.0	[11.476549]	[105]	[]	[]	[186159136]	[]
420_10209	chr5	6943741	6944141	+	1000	84.0	[8.216044]	[113]	[11.476549]	[106]	[6943951]	[6943944]
420_1021	chr19	33124807	33125207	+	1000	301.0	[11.476549]	[124]	[]	[]	[33125024]	[]
420_10210	chr5	24170923	24171323	+	1000	84.0	[]	[]	[8.216044, 11.476549]	[85, 105]	[]	[24171104, 24171124]
420_10211	chr5	45622361	45622761	+	1000	84.0	[11.476549]	[115]	[7.2262077]	[100]	[45622567]	[45622552]
420_10212	chr5	76805978	76806378	+	1000	84.0	[7.312882]	[120]	[]	[]	[76806195]	[]
420_10213	chr5	95562279	95562679	+	1000	84.0	[7.312882]	[102]	[11.476549]	[117]	[95562464]	[95562479]
420_10214	chr5	112969386	112969786	+	1000	84.0	[]	[]	[11.476549]	[118]	[]	[112969588]
420_10215	chr5	121969639	121970039	+	1000	84.0	[11.476549]	[124]	[]	[]	[121969858]	[]
420_10216	chr5	134175452	134175852	+	1000	84.0	[]	[]	[7.312882]	[104]	[]	[134175636]
420_10217	chr5	155441841	155442241	+	1000	84.0	[]	[]	[11.476549]	[110]	[]	[155442041]
420_10218	chr6	2578742	2579142	+	1000	84.0	[]	[]	[11.476549]	[110]	[]	[2578948]
420_10219	chr6	26043067	26043467	+	1000	84.0	[7.312882]	[117]	[7.312882]	[109]	[26043270]	[26043262]
420_1022	chr20	364882	365282	+	1000	301.0	[11.476549, 11.476549]	[103, 135]	[]	[]	[365079, 365111]	[]
420_10220	chr6	27295258	27295658	+	1000	84.0	[7.2262077]	[72]	[]	[]	[27295424]	[]
420_10222	chr6	27505529	27505929	+	1000	84.0	[]	[]	[8.216044, 8.216044]	[74, 77]	[]	[27505691, 27505694]
420_10223	chr6	28152505	28152905	+	1000	84.0	[]	[]	[8.216044]	[119]	[]	[28152718]
420_10224	chr6	37351031	37351431	+	1000	84.0	[8.216044]	[112]	[]	[]	[37351233]	[]
420_10225	chr6	46437667	46438067	+	1000	84.0	[7.312882]	[152]	[8.216044]	[70]	[46437913]	[46437831]
420_10226	chr6	108778788	108779188	+	1000	84.0	[5.659805]	[120]	[11.476549]	[91]	[108779008]	[108778979]
420_10227	chr6	112925695	112926095	+	1000	84.0	[11.476549, 11.476549]	[102, 122]	[]	[]	[112925895, 112925915]	[]
420_10228	chr6	112991905	112992305	+	1000	84.0	[8.216044]	[162]	[7.2262077, 7.2262077]	[81, 114]	[112992154]	[112992073, 112992106]
420_10229	chr6	118419450	118419850	+	1000	84.0	[]	[]	[11.476549]	[95]	[]	[118419640]
420_1023	chr5	78019748	78020148	+	1000	301.0	[]	[]	[11.476549]	[102]	[]	[78019939]
420_10230	chr7	7312310	7312710	+	1000	84.0	[11.476549]	[116]	[11.476549]	[108]	[7312519]	[7312511]
420_10231	chr7	55884313	55884713	+	1000	84.0	[]	[]	[11.476549]	[111]	[]	[55884519]
420_10232	chr7	65250237	65250637	+	1000	84.0	[]	[]	[11.476549]	[105]	[]	[65250438]
420_10233	chr7	71209482	71209882	+	1000	84.0	[]	[]	[11.476549]	[148]	[]	[71209725]
420_10234	chr7	92634911	92635311	+	1000	84.0	[7.312882]	[102]	[]	[]	[92635113]	[]
420_10237	chr7	125780145	125780545	+	1000	84.0	[11.476549]	[109]	[11.476549, 7.312882, 7.312882]	[101, 126, 137]	[125780353]	[125780345, 125780370, 125780381]
420_10238	chr7	135169082	135169482	+	1000	84.0	[11.476549]	[140]	[11.476549]	[129]	[135169314]	[135169303]
420_1024	chr6	16002493	16002893	+	1000	301.0	[7.2262077, 11.476549]	[73, 105]	[]	[]	[16002661, 16002693]	[]
420_10240	chr8	5921099	5921499	+	1000	84.0	[]	[]	[8.216044]	[107]	[]	[5921302]
420_10241	chr8	19429550	19429950	+	1000	84.0	[]	[]	[11.476549]	[105]	[]	[19429754]
420_10242	chr8	29209399	29209799	+	1000	84.0	[7.312882]	[110]	[]	[]	[29209603]	[]
420_10243	chr8	73312195	73312595	+	1000	84.0	[11.476549]	[104]	[]	[]	[73312389]	[]
420_10244	chr8	95487222	95487622	+	1000	84.0	[8.216044, 7.312882]	[146, 157]	[]	[]	[95487456, 95487467]	[]
420_10245	chr8	103006474	103006874	+	1000	84.0	[]	[]	[11.476549, 11.476549]	[89, 126]	[]	[103006645, 103006682]
420_10247	chr9	35477141	35477541	+	1000	84.0	[11.476549]	[106]	[]	[]	[35477337]	[]
420_10248	chr9	91192317	91192717	+	1000	84.0	[7.2262077]	[73]	[11.476549, 7.2262077]	[88, 128]	[91192485]	[91192500, 91192540]
420_10249	chr9	121287032	121287432	+	1000	84.0	[5.659805]	[102]	[5.659805]	[122]	[121287210]	[121287230]
