#PeakID(python identify_motif.py ./ENCODE_processed_files/JUNB_idr.fa JUNB --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
771_10734	chr10	78925860	78926260	+	937	30.0	[8.85852]	[121]	[8.747505]	[121]	[78926057]	[78926057]
771_1074	chr10	78973504	78973904	+	1000	80.0	[15.927315]	[112]	[13.506975]	[112]	[78973709]	[78973709]
771_10740	chr11	220563	220963	+	843	30.0	[8.490399]	[153]	[]	[]	[220811]	[]
771_10759	chr11	59756843	59757243	+	654	30.0	[6.725914]	[139]	[9.447061]	[139]	[59757067]	[59757067]
771_1076	chr11	46250427	46250827	+	1000	80.0	[15.927315]	[95]	[13.506975]	[95]	[46250618]	[46250618]
771_10773	chr11	75248656	75249056	+	930	30.0	[7.607272]	[112]	[10.427367]	[112]	[75248855]	[75248855]
771_10777	chr11	108340967	108341367	+	603	30.0	[13.506975]	[89]	[15.927315]	[89]	[108341147]	[108341147]
771_1078	chr11	129966280	129966680	+	1000	80.0	[13.506975]	[102]	[15.927315]	[102]	[129966477]	[129966477]
771_10780	chr11	114384379	114384779	+	800	30.0	[13.28149]	[142]	[11.291996]	[142]	[114384610]	[114384610]
771_10784	chr11	126284836	126285236	+	617	30.0	[12.31283]	[151]	[9.462089]	[151]	[126285083]	[126285083]
771_1079	chr12	6345366	6345766	+	1000	80.0	[11.291996]	[150]	[8.921245, 13.28149]	[130, 150]	[6345552]	[6345532, 6345552]
771_10792	chr12	50234360	50234760	+	909	30.0	[10.770802]	[95]	[13.061545]	[95]	[50234543]	[50234543]
771_108	chr7	20219740	20220140	+	1000	229.0	[13.28149]	[85]	[11.291996]	[85]	[20219918]	[20219918]
771_10802	chr12	93302518	93302918	+	731	30.0	[7.452026]	[155]	[]	[]	[93302743]	[]
771_10803	chr12	96141479	96141879	+	921	30.0	[10.641206]	[139]	[13.191141]	[139]	[96141686]	[96141686]
771_10806	chr12	108631889	108632289	+	934	30.0	[6.782992]	[92]	[6.671851]	[92]	[108632073]	[108632073]
771_10808	chr12	113590036	113590436	+	970	30.0	[15.927315]	[152]	[13.506975]	[152]	[113590250]	[113590250]
771_10817	chr12	123570331	123570731	+	782	30.0	[10.861151]	[102]	[13.712336]	[102]	[123570524]	[123570524]
771_10818	chr12	127083377	127083777	+	966	30.0	[10.641206]	[69]	[13.191141]	[69]	[127083544]	[127083544]
771_10819	chr12	131000002	131000402	+	936	30.0	[13.061545]	[212]	[10.770802]	[212]	[131000236]	[131000236]
771_1082	chr18	31738874	31739274	+	1000	80.0	[8.124977, 13.191141, 8.124977]	[81, 110, 120]	[10.846566, 10.641206, 10.846566]	[81, 110, 120]	[31739047, 31739076, 31739086]	[31739047, 31739076, 31739086]
771_10820	chr13	51590902	51591302	+	703	30.0	[10.210002]	[174]	[7.6191545]	[174]	[51591130]	[51591130]
771_10823	chr13	99434291	99434691	+	925	30.0	[]	[]	[7.3442326]	[185]	[]	[99434518]
771_10826	chr13	107937812	107938212	+	950	30.0	[7.995023, 10.861151]	[96, 147]	[13.712336]	[147]	[107937998, 107938049]	[107938049]
771_10835	chr14	71143567	71143967	+	866	30.0	[13.506975]	[108]	[15.927315]	[108]	[71143757]	[71143757]
771_10836	chr14	100649139	100649539	+	745	30.0	[12.4798975]	[90]	[12.491025]	[90]	[100649304]	[100649304]
771_10838	chr15	41233544	41233944	+	814	30.0	[]	[]	[8.490399]	[142]	[]	[41233711]
771_1085	chr20	41696442	41696842	+	1000	80.0	[13.712336]	[119]	[10.861151]	[119]	[41696650]	[41696650]
771_10854	chr15	91471423	91471823	+	731	30.0	[7.9050317]	[86]	[10.325372]	[86]	[91471582]	[91471582]
771_1086	chr21	46143889	46144289	+	1000	80.0	[11.066511, 6.671851]	[157, 174]	[8.646172, 6.782992]	[157, 174]	[46144112, 46144129]	[46144112, 46144129]
771_10860	chr16	4433970	4434370	+	851	30.0	[7.4102755]	[206]	[7.0978985]	[206]	[4434177]	[4434177]
771_10866	chr16	23823442	23823842	+	930	30.0	[13.712336]	[118]	[10.861151]	[118]	[23823652]	[23823652]
771_10871	chr16	30956887	30957287	+	735	30.0	[8.124977]	[145]	[10.846566]	[145]	[30957123]	[30957123]
771_10877	chr16	58661121	58661521	+	863	30.0	[10.846566]	[114]	[8.124977]	[114]	[58661330]	[58661330]
771_10887	chr16	85046320	85046720	+	921	30.0	[6.7552223]	[155]	[7.6888065]	[155]	[85046510]	[85046510]
771_10888	chr16	85322853	85323253	+	919	30.0	[7.027282]	[104]	[9.440167]	[104]	[85323008]	[85323008]
771_10889	chr16	85330749	85331149	+	658	30.0	[7.4109645]	[108]	[]	[]	[85330942]	[]
771_1089	chr3	4898602	4899002	+	1000	80.0	[10.861151]	[131]	[13.712336]	[131]	[4898816]	[4898816]
771_10893	chr17	13477093	13477493	+	596	30.0	[6.7718644, 8.267943, 13.061545]	[62, 69, 140]	[6.682978, 10.770802]	[62, 140]	[13477244, 13477251, 13477322]	[13477244, 13477322]
771_1090	chr3	39150889	39151289	+	1000	80.0	[7.6888065, 8.426227]	[67, 104]	[6.7552223, 10.545317]	[67, 104]	[39151043, 39151080]	[39151043, 39151080]
771_10916	chr17	55743013	55743413	+	717	30.0	[6.9445543, 11.066511]	[133, 177]	[6.9009995, 8.646172]	[133, 177]	[55743211, 55743255]	[55743211, 55743255]
771_10917	chr17	56937537	56937937	+	602	30.0	[13.712336]	[139]	[10.861151]	[139]	[56937775]	[56937775]
771_10933	chr18	965984	966384	+	936	30.0	[9.885598]	[82]	[12.183796]	[82]	[966162]	[966162]
771_10937	chr18	9705246	9705646	+	709	30.0	[13.061545, 8.921245]	[87, 134]	[10.770802]	[87]	[9705417, 9705464]	[9705417]
771_10938	chr18	9758197	9758597	+	923	30.0	[10.545317]	[110]	[8.426227]	[110]	[9758397]	[9758397]
771_1094	chr5	172802603	172803003	+	1000	80.0	[13.506975]	[88]	[15.927315]	[88]	[172802790]	[172802790]
771_10944	chr19	1604032	1604432	+	790	30.0	[8.646172]	[104]	[11.066511]	[104]	[1604225]	[1604225]
771_1096	chr6	34609603	34610003	+	1000	80.0	[13.28149]	[149]	[11.291996]	[149]	[34609822]	[34609822]
771_10962	chr19	21602864	21603264	+	822	30.0	[6.4479933]	[185]	[]	[]	[21603113]	[]
771_1097	chr6	157317118	157317518	+	1000	80.0	[10.264917]	[120]	[9.8452]	[120]	[157317314]	[157317314]
771_10974	chr19	47226703	47227103	+	915	30.0	[7.5484767]	[73]	[9.660112]	[73]	[47226876]	[47226876]
771_10978	chr19	49145726	49146126	+	890	30.0	[8.490399]	[141]	[]	[]	[49145961]	[]
771_10989	chr2	20052849	20053249	+	934	30.0	[6.9445543]	[131]	[6.9009995]	[131]	[20053040]	[20053040]
771_10995	chr2	47355537	47355937	+	910	30.0	[13.506975]	[105]	[15.927315]	[105]	[47355736]	[47355736]
