#PeakID(python identify_motif.py ./ENCODE_processed_files/IKZF1_idr.fa IKZF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
758_10162	chr22	22195420	22195820	+	1000	105.5	[]	[]	[7.25846]	[91]	[]	[22195582]
758_10164	chr3	193782222	193782622	+	1000	105.5	[8.458068, 6.673559]	[92, 164]	[]	[]	[193782387, 193782459]	[]
758_10172	chr5	150904992	150905392	+	1000	105.5	[]	[]	[8.1006775]	[67]	[]	[150905147]
758_10180	chr6	106849596	106849996	+	1000	105.5	[11.575829]	[129]	[]	[]	[106849823]	[]
758_10192	chrX	72181584	72181984	+	1000	105.5	[8.056022]	[118]	[]	[]	[72181794]	[]
758_10193	chr1	5885774	5886174	+	1000	105.0	[]	[]	[7.1035194]	[123]	[]	[5885972]
758_10195	chr1	16162304	16162704	+	1000	105.0	[]	[]	[8.056022, 7.5565295]	[94, 116]	[]	[16162488, 16162510]
758_10198	chr1	26035993	26036393	+	1000	105.0	[7.2884393]	[160]	[]	[]	[26036234]	[]
758_10199	chr1	26145095	26145495	+	1000	105.0	[9.919872]	[77]	[]	[]	[26145261]	[]
758_1020	chr6	34657394	34657794	+	1000	337.5	[9.442706, 8.245038]	[73, 85]	[]	[]	[34657566, 34657578]	[]
758_10201	chr1	74729995	74730395	+	1000	105.0	[7.87297, 7.280349]	[84, 92]	[]	[]	[74730163, 74730171]	[]
758_10204	chr1	149906562	149906962	+	1000	105.0	[7.5565295, 7.652416]	[158, 236]	[6.6800203]	[201]	[149906724, 149906802]	[149906767]
758_10219	chr12	92003636	92004036	+	1000	105.0	[]	[]	[8.245038]	[56]	[]	[92003790]
758_10229	chr17	40075433	40075833	+	1000	105.0	[8.245038]	[137]	[]	[]	[40075616]	[]
758_10236	chr19	54696741	54697141	+	1000	105.0	[6.8930507, 10.256007]	[68, 112]	[]	[]	[54696894, 54696938]	[]
758_10238	chr2	11940181	11940581	+	1000	105.0	[6.8439474]	[109]	[9.373037]	[70]	[11940380]	[11940341]
758_10239	chr2	47309850	47310250	+	1000	105.0	[9.373037]	[94]	[]	[]	[47310025]	[]
758_1024	chr2	3518803	3519203	+	1000	336.5	[9.957938]	[68]	[]	[]	[3518965]	[]
758_10240	chr2	64019655	64020055	+	1000	105.0	[]	[]	[8.458068]	[78]	[]	[64019810]
758_10248	chr4	38667115	38667515	+	1000	105.0	[]	[]	[14.245327]	[119]	[]	[38667325]
758_10250	chr4	48780357	48780757	+	1000	105.0	[]	[]	[10.770176]	[174]	[]	[48780565]
758_10253	chr4	88758966	88759366	+	1000	105.0	[7.3734775]	[123]	[]	[]	[88759174]	[]
758_10266	chr6	126118133	126118533	+	1000	105.0	[]	[]	[7.5565295]	[121]	[]	[126118354]
758_10278	chr10	3835768	3836168	+	1000	104.5	[11.127567]	[83]	[11.127567]	[139]	[3835948]	[3836004]
758_10281	chr10	73591834	73592234	+	1000	104.5	[9.56255]	[100]	[]	[]	[73592027]	[]
758_10293	chr12	57429812	57430212	+	1000	104.5	[]	[]	[6.773207]	[173]	[]	[57430039]
758_10297	chr15	67125724	67126124	+	1000	104.5	[10.256007, 6.8439474, 6.8439474]	[56, 82, 100]	[]	[]	[67125879, 67125905, 67125923]	[]
758_10298	chr15	97961400	97961800	+	1000	104.5	[6.8401775]	[116]	[]	[]	[97961610]	[]
758_1030	chr1	20185200	20185600	+	1000	335.0	[11.362798]	[141]	[]	[]	[20185441]	[]
758_10300	chr17	42407304	42407704	+	1000	104.5	[]	[]	[11.575829, 10.256007]	[72, 106]	[]	[42407471, 42407505]
758_10301	chr17	54900849	54901249	+	1000	104.5	[]	[]	[7.6377397]	[159]	[]	[54901096]
758_10302	chr17	64707055	64707455	+	1000	104.5	[9.543426, 8.693299]	[118, 133]	[]	[]	[64707249, 64707264]	[]
758_10306	chr19	38618753	38619153	+	1000	104.5	[6.743228]	[110]	[]	[]	[38618925]	[]
758_10309	chr2	71068308	71068708	+	1000	104.5	[7.6377397, 6.863072]	[161, 234]	[]	[]	[71068484, 71068557]	[]
758_10316	chr22	31490474	31490874	+	1000	104.5	[7.25846]	[112]	[]	[]	[31490685]	[]
758_10325	chr5	39424984	39425384	+	1000	104.5	[11.362798]	[164]	[]	[]	[39425231]	[]
758_10327	chr5	96702630	96703030	+	1000	104.5	[6.5722647]	[123]	[]	[]	[96702827]	[]
758_1033	chr10	50577630	50578030	+	1000	334.5	[]	[]	[7.87297, 7.87297, 7.87297]	[92, 97, 102]	[]	[50577813, 50577818, 50577823]
758_10337	chr6	108606365	108606765	+	1000	104.5	[7.5565295]	[157]	[]	[]	[108606603]	[]
758_10342	chr7	159030741	159031141	+	1000	104.5	[7.0754085, 9.957938, 6.738754]	[94, 100, 151]	[]	[]	[159030918, 159030924, 159030975]	[]
758_10344	chr8	73312331	73312731	+	1000	104.5	[]	[]	[8.056022]	[124]	[]	[73312545]
758_10346	chr9	98791275	98791675	+	1000	104.5	[7.2884393, 7.6377397, 8.220124]	[71, 110, 118]	[7.6377397]	[146]	[98791427, 98791466, 98791474]	[98791502]
758_10348	chr9	137277561	137277961	+	1000	104.5	[]	[]	[8.1006775]	[88]	[]	[137277719]
758_10351	chr1	15951545	15951945	+	1000	104.0	[11.362798, 7.1035194]	[107, 143]	[]	[]	[15951743, 15951779]	[]
758_10353	chr1	28926850	28927250	+	1000	104.0	[14.245327]	[145]	[]	[]	[28927094]	[]
758_10354	chr1	109532720	109533120	+	1000	104.0	[6.6800203]	[112]	[]	[]	[109532926]	[]
758_10357	chr1	155255645	155256045	+	1000	104.0	[]	[]	[8.428089]	[123]	[]	[155255831]
758_10358	chr1	172933906	172934306	+	1000	104.0	[]	[]	[14.245327, 11.575829]	[103, 143]	[]	[172934101, 172934141]
758_10365	chr12	49983773	49984173	+	1000	104.0	[]	[]	[8.458068]	[122]	[]	[49983994]
758_10380	chr16	47460349	47460749	+	1000	104.0	[9.919872]	[115]	[]	[]	[47460511]	[]
758_10381	chr17	7219458	7219858	+	1000	104.0	[]	[]	[11.575829]	[156]	[]	[7219688]
758_10384	chr18	79610961	79611361	+	1000	104.0	[9.919872, 6.8401775, 9.373037]	[59, 68, 128]	[]	[]	[79611120, 79611129, 79611189]	[]
758_10385	chr19	11094959	11095359	+	1000	104.0	[]	[]	[10.7555]	[84]	[]	[11095140]
758_10388	chr19	32671958	32672358	+	1000	104.0	[10.256007]	[128]	[]	[]	[32672174]	[]
758_10390	chr19	44304804	44305204	+	1000	104.0	[]	[]	[6.780856]	[104]	[]	[44305004]
758_10393	chr2	12493053	12493453	+	1000	104.0	[6.7116218]	[100]	[8.693299]	[161]	[12493204]	[12493265]
758_10396	chr2	144452555	144452955	+	1000	104.0	[7.2884393]	[143]	[11.362798, 6.7416005]	[75, 134]	[144452796]	[144452728, 144452787]
758_10397	chr2	148643063	148643463	+	1000	104.0	[6.7416005, 11.575829, 9.438231, 8.458068]	[102, 108, 114, 117]	[]	[]	[148643253, 148643259, 148643265, 148643268]	[]
758_10399	chr2	176020423	176020823	+	1000	104.0	[6.738754]	[138]	[]	[]	[176020620]	[]
758_10411	chr4	143905368	143905768	+	1000	104.0	[]	[]	[11.54585]	[153]	[]	[143905617]
758_10417	chr6	26103704	26104104	+	1000	104.0	[6.9204674]	[164]	[]	[]	[26103938]	[]
758_10418	chr6	26659864	26660264	+	1000	104.0	[10.256007]	[111]	[]	[]	[26660072]	[]
758_10424	chr7	131327378	131327778	+	1000	104.0	[]	[]	[11.127567, 9.957938]	[100, 124]	[]	[131327558, 131327582]
758_10429	chrX	107655040	107655440	+	1000	104.0	[]	[]	[7.87297, 8.245038]	[134, 139]	[]	[107655259, 107655264]
758_10432	chr1	24591786	24592186	+	1000	103.5	[11.127567]	[123]	[]	[]	[24592007]	[]
758_10437	chr1	154385625	154386025	+	1000	103.5	[8.693299, 7.87297, 6.743228]	[107, 112, 133]	[]	[]	[154385797, 154385802, 154385823]	[]
758_10438	chr1	155301374	155301774	+	1000	103.5	[]	[]	[8.693299, 9.919872]	[114, 130]	[]	[155301573, 155301589]
758_10449	chr11	34758256	34758656	+	1000	103.5	[6.780856]	[108]	[]	[]	[34758461]	[]
758_1045	chr4	26319609	26320009	+	1000	333.0	[7.87297]	[146]	[9.442706]	[84]	[26319848]	[26319786]
758_10450	chr11	45704625	45705025	+	1000	103.5	[10.7555]	[96]	[]	[]	[45704811]	[]
758_10458	chr14	75295030	75295430	+	1000	103.5	[]	[]	[7.5565295]	[75]	[]	[75295197]
758_10462	chr16	71722882	71723282	+	1000	103.5	[11.127567]	[115]	[9.373037]	[55]	[71723093]	[71723033]
758_10472	chr19	49665370	49665770	+	1000	103.5	[]	[]	[6.873926]	[98]	[]	[49665568]
758_1048	chr1	180933093	180933493	+	1000	332.5	[11.575829, 11.127567]	[105, 112]	[]	[]	[180933289, 180933296]	[]
758_10481	chr4	109014598	109014998	+	1000	103.5	[8.690641, 11.575829]	[76, 94]	[]	[]	[109014767, 109014785]	[]
758_10483	chr4	158210166	158210566	+	1000	103.5	[11.127567]	[70]	[]	[]	[158210333]	[]
758_10484	chr5	31470618	31471018	+	1000	103.5	[6.773207]	[113]	[]	[]	[31470823]	[]
758_10488	chr5	149430469	149430869	+	1000	103.5	[7.5565295]	[118]	[6.780856]	[149]	[149430671]	[149430702]
758_10497	chr7	16648565	16648965	+	1000	103.5	[]	[]	[11.127567]	[130]	[]	[16648771]
758_105	chr12	49092170	49092570	+	1000	640.5	[11.575829]	[119]	[]	[]	[49092355]	[]
758_10502	chr8	90197376	90197776	+	1000	103.5	[]	[]	[6.9204674, 6.7035384]	[139, 181]	[]	[90197575, 90197617]
758_10508	chr9	124767818	124768218	+	1000	103.5	[6.863072]	[142]	[8.690641, 6.780856]	[90, 151]	[124768044]	[124767992, 124768053]
758_1051	chr3	194572251	194572651	+	1000	332.5	[]	[]	[7.5565295]	[72]	[]	[194572413]
758_10518	chr1	235328491	235328891	+	1000	103.0	[9.802997]	[120]	[]	[]	[235328707]	[]
758_10520	chr10	107032258	107032658	+	1000	103.0	[]	[]	[7.87297, 9.957938, 9.957938]	[116, 180, 187]	[]	[107032419, 107032483, 107032490]
758_10524	chr11	120096816	120097216	+	1000	103.0	[6.738754]	[85]	[]	[]	[120096999]	[]
758_10525	chr12	6613064	6613464	+	1000	103.0	[8.693299, 6.7416005]	[79, 147]	[]	[]	[6613232, 6613300]	[]
758_10540	chr19	48619134	48619534	+	1000	103.0	[8.428089, 6.8930507]	[149, 171]	[]	[]	[48619330, 48619352]	[]
758_10546	chr2	74714927	74715327	+	1000	103.0	[]	[]	[11.575829]	[169]	[]	[74715171]
758_10553	chr21	28992832	28993232	+	1000	103.0	[9.802997]	[211]	[7.3734775]	[202]	[28993049]	[28993040]
758_10556	chr22	23248518	23248918	+	1000	103.0	[]	[]	[8.693299, 10.256007]	[79, 109]	[]	[23248697, 23248727]
758_10559	chr22	39959587	39959987	+	1000	103.0	[7.6377397]	[156]	[7.652416]	[61]	[39959837]	[39959742]
758_10562	chr3	48194405	48194805	+	1000	103.0	[7.5565295]	[91]	[]	[]	[48194593]	[]
758_10571	chr4	88758267	88758667	+	1000	103.0	[8.056022]	[146]	[]	[]	[88758492]	[]
758_10576	chr5	73496881	73497281	+	1000	103.0	[8.693299]	[134]	[6.780856]	[150]	[73497099]	[73497115]
758_10588	chr7	104983819	104984219	+	1000	103.0	[8.458068, 6.660896]	[69, 121]	[]	[]	[104983987, 104984039]	[]
758_10590	chr8	23022721	23023121	+	1000	103.0	[]	[]	[7.250373]	[108]	[]	[23022915]
758_10591	chr9	93594226	93594626	+	1000	103.0	[]	[]	[9.438231, 7.037342]	[64, 95]	[]	[93594385, 93594416]
758_10592	chr9	95462474	95462874	+	1000	103.0	[7.6377397, 14.245327]	[85, 154]	[]	[]	[95462638, 95462707]	[]
758_10599	chr1	42952477	42952877	+	1000	102.5	[8.245038]	[165]	[]	[]	[42952715]	[]
758_106	chr6	30877653	30878053	+	1000	640.5	[]	[]	[7.3734775, 14.245327]	[79, 158]	[]	[30877825, 30877904]
758_1060	chr2	43041930	43042330	+	1000	331.5	[7.220394]	[104]	[6.780856]	[113]	[43042134]	[43042143]
758_10600	chr1	58881492	58881892	+	1000	102.5	[6.780856]	[121]	[]	[]	[58881709]	[]
758_10604	chr1	163321626	163322026	+	1000	102.5	[]	[]	[7.652416]	[76]	[]	[163321786]
758_10607	chr10	17578639	17579039	+	1000	102.5	[6.7661796]	[79]	[]	[]	[17578793]	[]
758_10609	chr10	79069512	79069912	+	1000	102.5	[10.770176]	[113]	[]	[]	[79069712]	[]
758_10610	chr10	86954334	86954734	+	1000	102.5	[7.3734775]	[139]	[]	[]	[86954544]	[]
758_10615	chr11	91905305	91905705	+	1000	102.5	[9.442706]	[61]	[6.780856]	[86]	[91905460]	[91905485]
758_10620	chr12	104578507	104578907	+	1000	102.5	[11.362798]	[122]	[]	[]	[104578724]	[]
758_10626	chr15	52568955	52569355	+	1000	102.5	[]	[]	[10.7555]	[104]	[]	[52569153]
758_10636	chr17	3667918	3668318	+	1000	102.5	[]	[]	[7.250373]	[102]	[]	[3668106]
758_10637	chr17	27294824	27295224	+	1000	102.5	[7.6377397, 11.575829]	[134, 155]	[]	[]	[27295023, 27295044]	[]
758_10639	chr17	33901081	33901481	+	1000	102.5	[7.2884393]	[125]	[]	[]	[33901290]	[]
758_10640	chr17	50272724	50273124	+	1000	102.5	[9.957938]	[142]	[]	[]	[50272938]	[]
758_10642	chr19	17405304	17405704	+	1000	102.5	[]	[]	[6.9204674]	[125]	[]	[17405494]
758_10647	chr2	144514358	144514758	+	1000	102.5	[6.780856]	[70]	[]	[]	[144514519]	[]
758_10648	chr20	38113487	38113887	+	1000	102.5	[9.802997]	[68]	[]	[]	[38113645]	[]
758_10649	chr21	34754925	34755325	+	1000	102.5	[7.6377397, 7.250373, 7.2884393, 10.7555, 6.9204674, 6.7416005, 7.2884393, 9.411099, 7.280349, 7.2884393]	[76, 88, 108, 115, 127, 134, 140, 147, 166, 172]	[]	[]	[34755077, 34755089, 34755109, 34755116, 34755128, 34755135, 34755141, 34755148, 34755167, 34755173]	[]
758_10656	chr3	32502015	32502415	+	1000	102.5	[11.127567]	[75]	[]	[]	[32502188]	[]
758_10657	chr3	47282563	47282963	+	1000	102.5	[10.256007]	[197]	[]	[]	[47282790]	[]
758_10658	chr3	49469382	49469782	+	1000	102.5	[]	[]	[6.743228]	[113]	[]	[49469569]
758_10666	chr5	94111394	94111794	+	1000	102.5	[]	[]	[9.442706]	[72]	[]	[94111566]
758_10668	chr5	132424942	132425342	+	1000	102.5	[6.780856]	[105]	[7.5565295, 6.738754]	[80, 150]	[132425141]	[132425116, 132425186]
758_10670	chr5	169803593	169803993	+	1000	102.5	[8.056022]	[101]	[]	[]	[169803775]	[]
758_10673	chr6	11810013	11810413	+	1000	102.5	[]	[]	[14.245327]	[227]	[]	[11810264]
758_1068	chr10	64508103	64508503	+	1000	330.5	[]	[]	[11.54585]	[160]	[]	[64508354]
758_10692	chrX	31871993	31872393	+	1000	102.5	[7.3734775]	[157]	[]	[]	[31872210]	[]
758_10694	chr1	9717451	9717851	+	1000	102.0	[8.87635]	[202]	[]	[]	[9717701]	[]
758_10698	chr1	33396537	33396937	+	1000	102.0	[]	[]	[8.245038]	[102]	[]	[33396735]
758_107	chr12	6639106	6639506	+	1000	639.0	[6.6800203]	[134]	[]	[]	[6639337]	[]
758_10703	chr1	109112658	109113058	+	1000	102.0	[8.87635]	[81]	[]	[]	[109112816]	[]
758_10709	chr10	5462328	5462728	+	1000	102.0	[7.5565295]	[59]	[]	[]	[5462481]	[]
758_1071	chr2	156334617	156335017	+	1000	330.5	[6.7116218]	[122]	[6.7416005]	[92]	[156334839]	[156334809]
758_10714	chr11	47257459	47257859	+	1000	102.0	[]	[]	[7.5565295]	[195]	[]	[47257692]
758_1072	chr9	128078985	128079385	+	1000	330.5	[6.780856]	[75]	[9.56255, 8.245038]	[147, 153]	[128079154]	[128079226, 128079232]
758_10723	chr17	77451866	77452266	+	1000	102.0	[]	[]	[6.780856, 7.5565295]	[125, 155]	[]	[77452083, 77452113]
758_10730	chr2	42141701	42142101	+	1000	102.0	[]	[]	[6.7416005]	[62]	[]	[42141858]
758_10734	chr2	175935615	175936015	+	1000	102.0	[7.0754085]	[155]	[]	[]	[175935861]	[]
758_10735	chr2	178414628	178415028	+	1000	102.0	[]	[]	[11.54585]	[149]	[]	[178414876]
758_10737	chr22	19891513	19891913	+	1000	102.0	[11.362798]	[118]	[]	[]	[19891713]	[]
758_10742	chr3	153221766	153222166	+	1000	102.0	[11.127567, 9.241764]	[134, 159]	[11.362798]	[67]	[153221989, 153222014]	[153221922]
758_10747	chr5	1204754	1205154	+	1000	102.0	[6.7416005, 8.458068]	[84, 166]	[6.685237]	[143]	[1204920, 1205002]	[1204979]
758_10748	chr5	10577456	10577856	+	1000	102.0	[]	[]	[7.6377397]	[99]	[]	[10577644]
758_10749	chr5	65481932	65482332	+	1000	102.0	[]	[]	[8.458068]	[116]	[]	[65482128]
758_10765	chr7	136489845	136490245	+	1000	102.0	[6.7035384]	[152]	[]	[]	[136490086]	[]
758_1078	chr19	51339276	51339676	+	1000	329.5	[]	[]	[6.7661796, 6.7416005]	[129, 144]	[]	[51339502, 51339517]
758_10784	chr1	93672118	93672518	+	1000	101.5	[6.9204674]	[74]	[]	[]	[93672291]	[]
758_10785	chr1	201153763	201154163	+	1000	101.5	[6.7416005]	[166]	[]	[]	[201153986]	[]
758_10789	chr10	73625187	73625587	+	1000	101.5	[6.8930507]	[94]	[]	[]	[73625365]	[]
758_1079	chr7	38341143	38341543	+	1000	329.5	[]	[]	[7.220394]	[67]	[]	[38341298]
758_10790	chr10	73816900	73817300	+	1000	101.5	[8.056022]	[124]	[]	[]	[73817086]	[]
758_10792	chr10	86959077	86959477	+	1000	101.5	[8.458068]	[116]	[6.660896]	[157]	[86959285]	[86959326]
758_10797	chr11	96155869	96156269	+	1000	101.5	[11.362798]	[122]	[9.802997]	[76]	[96156082]	[96156036]
758_108	chr17	28865365	28865765	+	1000	638.5	[]	[]	[6.780856, 8.87635]	[110, 132]	[]	[28865575, 28865597]
758_10805	chr14	72869604	72870004	+	1000	101.5	[7.0754085, 7.25846, 9.373037]	[122, 156, 162]	[]	[]	[72869806, 72869840, 72869846]	[]
758_10806	chr15	31236534	31236934	+	1000	101.5	[]	[]	[6.780856]	[76]	[]	[31236709]
758_10809	chr16	631797	632197	+	1000	101.5	[]	[]	[6.873926]	[68]	[]	[631955]
758_10812	chr17	44115559	44115959	+	1000	101.5	[]	[]	[7.6377397]	[96]	[]	[44115753]
758_10814	chr17	58492472	58492872	+	1000	101.5	[7.250373, 6.8401775]	[113, 129]	[10.256007]	[73]	[58492663, 58492679]	[58492623]
758_10827	chr20	32763462	32763862	+	1000	101.5	[6.773207]	[163]	[]	[]	[32763632]	[]
758_1083	chr3	13546747	13547147	+	1000	329.0	[8.708212]	[152]	[10.256007]	[61]	[13546997]	[13546906]
758_10831	chr20	49713017	49713417	+	1000	101.5	[6.7416005]	[189]	[]	[]	[49713216]	[]
758_10833	chr21	15061258	15061658	+	1000	101.5	[6.7416005]	[127]	[]	[]	[15061467]	[]
758_10837	chr22	37018695	37019095	+	1000	101.5	[]	[]	[6.7661796]	[80]	[]	[37018863]
758_1084	chr5	10734026	10734426	+	1000	329.0	[]	[]	[7.87297]	[72]	[]	[10734185]
758_10840	chr4	24583535	24583935	+	1000	101.5	[]	[]	[7.87297]	[101]	[]	[24583707]
758_10856	chr7	10785041	10785441	+	1000	101.5	[7.2884393, 8.87635, 11.127567, 7.6377397]	[113, 122, 131, 148]	[]	[]	[10785231, 10785240, 10785249, 10785266]	[]
758_10861	chr7	149873732	149874132	+	1000	101.5	[]	[]	[9.438231]	[146]	[]	[149873964]
758_10870	chr1	46247942	46248342	+	1000	101.0	[]	[]	[11.575829]	[138]	[]	[46248166]
758_10888	chr15	63380094	63380494	+	1000	101.0	[11.575829, 7.87297, 9.56255, 8.245038]	[88, 115, 140, 150]	[]	[]	[63380276, 63380303, 63380328, 63380338]	[]
758_1089	chr2	27255260	27255660	+	1000	328.5	[9.373037]	[164]	[]	[]	[27255506]	[]
758_10891	chr16	66900488	66900888	+	1000	101.0	[]	[]	[6.7687325]	[63]	[]	[66900645]
758_10893	chr17	65173267	65173667	+	1000	101.0	[]	[]	[7.5565295, 7.037342, 6.7035384]	[65, 118, 151]	[]	[65173427, 65173480, 65173513]
758_109	chr1	228513330	228513730	+	1000	637.5	[]	[]	[10.770176]	[129]	[]	[228513553]
758_10903	chr2	87453977	87454377	+	1000	101.0	[7.280349]	[103]	[14.245327]	[80]	[87454159]	[87454136]
758_10908	chr20	52191545	52191945	+	1000	101.0	[]	[]	[10.7555]	[74]	[]	[52191712]
758_10915	chr5	95960924	95961324	+	1000	101.0	[9.442706]	[191]	[]	[]	[95961131]	[]
758_10921	chr7	47227508	47227908	+	1000	101.0	[]	[]	[11.575829]	[64]	[]	[47227672]
758_10924	chr8	129573395	129573795	+	1000	101.0	[8.87635]	[106]	[6.780856]	[82]	[129573596]	[129573572]
758_10934	chr1	16921610	16922010	+	1000	100.5	[]	[]	[11.575829, 8.056022]	[87, 93]	[]	[16921783, 16921789]
758_10936	chr1	23964837	23965237	+	1000	100.5	[7.25846, 11.575829, 6.7416005, 11.575829, 7.6377397]	[78, 111, 117, 123, 141]	[]	[]	[23964999, 23965032, 23965038, 23965044, 23965062]	[]
758_10940	chr1	39214942	39215342	+	1000	100.5	[]	[]	[8.693299]	[132]	[]	[39215174]
758_10947	chr10	22002512	22002912	+	1000	100.5	[6.7687325]	[123]	[6.685237]	[103]	[22002726]	[22002706]
758_10949	chr10	69086144	69086544	+	1000	100.5	[11.127567, 7.280349, 11.127567]	[56, 68, 78]	[]	[]	[69086297, 69086309, 69086319]	[]
758_1095	chr18	11857144	11857544	+	1000	327.5	[11.127567, 6.8439474]	[124, 135]	[]	[]	[11857364, 11857375]	[]
758_10950	chr10	80187727	80188127	+	1000	100.5	[6.863072]	[101]	[]	[]	[80187901]	[]
758_10951	chr11	5285369	5285769	+	1000	100.5	[6.685237]	[177]	[]	[]	[5285570]	[]
