#PeakID(python identify_motif.py ./ENCODE_processed_files/PBX2_idr.fa PBX2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
919_10030	chr1	180117196	180117596	+	921	27.0	[8.978065]	[134]	[]	[]	[180117348]	[]
919_10033	chr1	182338047	182338447	+	701	27.0	[7.4612455]	[200]	[]	[]	[182338297]	[]
919_10034	chr1	197790146	197790546	+	858	27.0	[]	[]	[13.547267]	[115]	[]	[197790348]
919_10035	chr1	201571092	201571492	+	574	27.0	[10.25316, 8.290325]	[118, 170]	[]	[]	[201571276, 201571328]	[]
919_10036	chr1	201703602	201704002	+	930	27.0	[]	[]	[7.94979]	[191]	[]	[201703816]
919_10038	chr1	204711230	204711630	+	884	27.0	[]	[]	[10.914621]	[140]	[]	[204711385]
919_10039	chr1	205657513	205657913	+	592	27.0	[9.155567]	[92]	[]	[]	[205657699]	[]
919_1004	chr11	16280261	16280661	+	1000	105.0	[]	[]	[13.096307]	[133]	[]	[16280481]
919_10041	chr1	206507222	206507622	+	779	27.0	[]	[]	[7.94979]	[131]	[]	[206507449]
919_10043	chr1	219664580	219664980	+	758	27.0	[]	[]	[11.2828665]	[96]	[]	[219664765]
919_10044	chr1	223260663	223261063	+	794	27.0	[7.392598, 6.798939]	[134, 147]	[7.983867]	[143]	[223260895, 223260908]	[223260904]
919_10048	chr1	227762390	227762790	+	942	27.0	[7.249742]	[158]	[]	[]	[227762640]	[]
919_1005	chr12	76402299	76402699	+	1000	105.0	[]	[]	[7.781394]	[91]	[]	[76402486]
919_10050	chr1	230318195	230318595	+	671	27.0	[13.096307]	[145]	[]	[]	[230318419]	[]
919_10052	chr1	246699119	246699519	+	773	27.0	[]	[]	[7.597396]	[102]	[]	[246699299]
919_10056	chr10	24790640	24791040	+	763	27.0	[15.3284025]	[107]	[]	[]	[24790839]	[]
919_10057	chr10	35391591	35391991	+	875	27.0	[]	[]	[7.483721, 8.833028]	[64, 87]	[]	[35391754, 35391777]
919_10059	chr10	44913219	44913619	+	690	27.0	[]	[]	[7.483721]	[137]	[]	[44913405]
919_1006	chr18	57141654	57142054	+	1000	105.0	[7.365663]	[148]	[]	[]	[57141888]	[]
919_10061	chr10	47407071	47407471	+	788	27.0	[13.096307]	[108]	[]	[]	[47407252]	[]
919_10062	chr10	48505605	48506005	+	708	27.0	[7.365663]	[151]	[]	[]	[48505851]	[]
919_10064	chr10	61750771	61751171	+	884	27.0	[]	[]	[13.767965]	[133]	[]	[61750964]
919_10066	chr10	69861511	69861911	+	855	27.0	[9.905027]	[113]	[7.060389]	[100]	[69861711]	[69861698]
919_10068	chr10	71855552	71855952	+	926	27.0	[]	[]	[13.767965]	[122]	[]	[71855769]
919_1007	chr19	7674322	7674722	+	1000	105.0	[]	[]	[11.295278]	[101]	[]	[7674516]
919_10077	chr10	74855037	74855437	+	543	27.0	[11.98683]	[152]	[]	[]	[74855261]	[]
919_1008	chr19	35757758	35758158	+	1000	105.0	[]	[]	[8.841524]	[103]	[]	[35757957]
919_10081	chr10	96664594	96664994	+	870	27.0	[15.3284025]	[134]	[12.034296]	[100]	[96664807]	[96664773]
919_10082	chr10	103980230	103980630	+	869	27.0	[]	[]	[11.295278]	[114]	[]	[103980430]
919_10087	chr11	17273937	17274337	+	850	27.0	[]	[]	[8.161369]	[98]	[]	[17274128]
919_10089	chr11	45722034	45722434	+	908	27.0	[]	[]	[15.3284025]	[131]	[]	[45722257]
919_10094	chr11	59766538	59766938	+	569	27.0	[10.436662]	[102]	[]	[]	[59766727]	[]
919_10095	chr11	61733259	61733659	+	799	27.0	[]	[]	[9.370035]	[149]	[]	[61733450]
919_10101	chr11	65553654	65554054	+	831	27.0	[6.9863925]	[115]	[]	[]	[65553864]	[]
919_10102	chr11	66300556	66300956	+	925	27.0	[11.295278]	[110]	[]	[]	[66300745]	[]
919_10103	chr11	66881825	66882225	+	766	27.0	[]	[]	[7.417628, 8.143421]	[114, 147]	[]	[66881992, 66882025]
919_10105	chr11	69918763	69919163	+	923	27.0	[]	[]	[6.8849363]	[118]	[]	[69918971]
919_10109	chr11	125402441	125402841	+	788	27.0	[8.661762]	[92]	[]	[]	[125402623]	[]
919_1011	chr4	122732374	122732774	+	1000	105.0	[12.475059]	[93]	[]	[]	[122732567]	[]
919_10110	chr11	125551882	125552282	+	822	27.0	[13.547267]	[119]	[]	[]	[125552098]	[]
919_10111	chr11	133078566	133078966	+	792	27.0	[]	[]	[11.2828665]	[152]	[]	[133078795]
919_10113	chr12	25254296	25254696	+	645	27.0	[]	[]	[6.920084]	[84]	[]	[25254473]
919_10114	chr12	46259591	46259991	+	858	27.0	[6.9974184]	[108]	[]	[]	[46259798]	[]
919_10115	chr12	49580385	49580785	+	758	27.0	[]	[]	[11.315171]	[132]	[]	[49580606]
919_10117	chr12	51047788	51048188	+	891	27.0	[8.161369]	[107]	[]	[]	[51047943]	[]
919_10118	chr12	56221233	56221633	+	892	27.0	[]	[]	[11.019517]	[115]	[]	[56221438]
919_1012	chr5	157142736	157143136	+	1000	105.0	[7.597396]	[88]	[]	[]	[157142913]	[]
919_10121	chr12	92379128	92379528	+	900	27.0	[7.9084163]	[94]	[]	[]	[92379305]	[]
919_10122	chr12	96329560	96329960	+	843	27.0	[7.2086043]	[162]	[]	[]	[96329797]	[]
919_10124	chr12	117125906	117126306	+	734	27.0	[8.664022]	[161]	[]	[]	[117126094]	[]
919_10125	chr12	118874852	118875252	+	792	27.0	[]	[]	[11.995326]	[68]	[]	[118875016]
919_10126	chr12	121712052	121712452	+	902	27.0	[8.138656]	[75]	[]	[]	[121712225]	[]
919_10128	chr12	123719146	123719546	+	904	27.0	[7.0993586, 8.270616, 8.001171]	[132, 136, 151]	[]	[]	[123719355, 123719359, 123719374]	[]
919_1013	chr6	169212874	169213274	+	1000	105.0	[]	[]	[12.034296]	[99]	[]	[169213064]
919_10133	chr13	27450354	27450754	+	635	27.0	[12.309368]	[81]	[]	[]	[27450524]	[]
919_10135	chr13	80361865	80362265	+	923	27.0	[7.3372383]	[146]	[7.9820952, 8.880494, 13.767965]	[103, 144, 179]	[80362077]	[80362034, 80362075, 80362110]
919_10137	chr13	80611234	80611634	+	865	27.0	[6.928093]	[132]	[]	[]	[80611453]	[]
919_10139	chr13	80713794	80714194	+	870	27.0	[9.133486]	[183]	[]	[]	[80713983]	[]
919_1014	chr7	150302828	150303228	+	1000	105.0	[13.767965, 13.096307]	[76, 131]	[]	[]	[150303004, 150303059]	[]
919_10142	chr13	80886004	80886404	+	930	27.0	[8.155379]	[80]	[]	[]	[80886182]	[]
919_10145	chr13	90223338	90223738	+	932	27.0	[8.013846]	[103]	[]	[]	[90223493]	[]
919_10147	chr13	90351938	90352338	+	687	27.0	[]	[]	[8.123892]	[213]	[]	[90352178]
919_10150	chr13	90620573	90620973	+	860	27.0	[7.6729317]	[138]	[]	[]	[90620784]	[]
919_10151	chr13	90639579	90639979	+	782	27.0	[8.653753]	[107]	[]	[]	[90639780]	[]
919_10152	chr13	90648275	90648675	+	893	27.0	[]	[]	[6.6778507]	[160]	[]	[90648468]
919_10153	chr13	90675182	90675582	+	862	27.0	[]	[]	[7.781394]	[158]	[]	[90675422]
919_10154	chr13	90713107	90713507	+	925	27.0	[]	[]	[10.434889]	[139]	[]	[90713332]
919_1016	chr9	91734371	91734771	+	1000	105.0	[]	[]	[13.096307]	[111]	[]	[91734576]
919_10165	chr13	91352590	91352990	+	889	27.0	[10.914621]	[148]	[]	[]	[91352785]	[]
919_10166	chr13	91371871	91372271	+	735	27.0	[]	[]	[6.897348]	[100]	[]	[91372022]
919_1017	chr9	129884089	129884489	+	1000	105.0	[15.3284025]	[105]	[12.843303]	[93]	[129884293]	[129884281]
919_10170	chr13	91573038	91573438	+	650	27.0	[7.171407]	[168]	[9.703858]	[149]	[91573229]	[91573210]
919_10172	chr13	91630942	91631342	+	594	27.0	[6.656883]	[158]	[]	[]	[91631178]	[]
919_10175	chr13	91726779	91727179	+	720	27.0	[]	[]	[7.2086043]	[129]	[]	[91726952]
919_10176	chr13	91775736	91776136	+	576	27.0	[]	[]	[7.5815454]	[158]	[]	[91775980]
919_1018	chr10	11115339	11115739	+	1000	104.0	[7.6864405]	[135]	[]	[]	[11115566]	[]
919_10186	chr13	93279014	93279414	+	724	27.0	[7.922723]	[105]	[]	[]	[93279193]	[]
919_10189	chr13	93342528	93342928	+	787	27.0	[6.951835]	[126]	[]	[]	[93342750]	[]
919_10192	chr13	107885300	107885700	+	916	27.0	[]	[]	[7.9707575]	[107]	[]	[107885458]
919_10195	chr13	107963487	107963887	+	941	27.0	[6.9218564]	[228]	[10.930472, 7.1601453]	[184, 232]	[107963731]	[107963687, 107963735]
919_10196	chr13	107988921	107989321	+	713	27.0	[9.989959]	[116]	[]	[]	[107989129]	[]
919_10198	chr14	22791212	22791612	+	803	27.0	[]	[]	[10.434889]	[90]	[]	[22791393]
919_10199	chr14	49599024	49599424	+	799	27.0	[8.001171]	[51]	[11.315171]	[101]	[49599175]	[49599225]
919_102	chr2	61538245	61538645	+	1000	281.0	[]	[]	[8.445374]	[99]	[]	[61538442]
919_1020	chr18	35326688	35327088	+	1000	104.0	[]	[]	[10.434889]	[100]	[]	[35326888]
919_10200	chr14	73884783	73885183	+	860	27.0	[7.9346805, 13.547267]	[70, 118]	[]	[]	[73884952, 73885000]	[]
919_10202	chr15	40807329	40807729	+	790	27.0	[8.698377]	[131]	[]	[]	[40807558]	[]
919_10214	chr15	101875998	101876398	+	817	27.0	[7.5991683]	[68]	[8.129065]	[90]	[101876166]	[101876188]
919_1022	chr3	9396859	9397259	+	1000	104.0	[9.942505]	[111]	[]	[]	[9397064]	[]
919_10221	chr16	2795778	2796178	+	784	27.0	[6.6778507]	[178]	[]	[]	[2796029]	[]
919_10228	chr16	19842725	19843125	+	760	27.0	[]	[]	[8.441064]	[95]	[]	[19842896]
919_10231	chr16	28597865	28598265	+	866	27.0	[9.76323]	[118]	[]	[]	[28598077]	[]
919_10233	chr16	31117792	31118192	+	919	27.0	[]	[]	[9.765003]	[84]	[]	[31117967]
919_10237	chr16	54370577	54370977	+	720	27.0	[9.45908]	[129]	[11.98683]	[105]	[54370790]	[54370766]
919_10243	chr16	75320418	75320818	+	751	27.0	[15.3284025]	[100]	[]	[]	[75320618]	[]
919_10244	chr16	84549578	84549978	+	815	27.0	[7.068398]	[174]	[15.3284025]	[138]	[84549829]	[84549793]
919_10245	chr16	84958982	84959382	+	888	27.0	[6.9218564]	[174]	[]	[]	[84959218]	[]
919_10246	chr16	85010579	85010979	+	886	27.0	[8.787421]	[132]	[]	[]	[85010795]	[]
919_1025	chr6	15036716	15037116	+	1000	104.0	[10.748932]	[121]	[]	[]	[15036925]	[]
919_10250	chr16	85347223	85347623	+	819	27.0	[7.6186666]	[86]	[]	[]	[85347407]	[]
919_10252	chr16	85377278	85377678	+	911	27.0	[]	[]	[8.721576]	[195]	[]	[85377500]
919_10253	chr16	85530766	85531166	+	848	27.0	[7.9084163]	[85]	[]	[]	[85530947]	[]
919_10257	chr16	89657401	89657801	+	856	27.0	[6.9218564]	[93]	[]	[]	[89657593]	[]
919_10258	chr17	12438827	12439227	+	887	27.0	[8.270616]	[149]	[]	[]	[12438998]	[]
919_10259	chr17	15957079	15957479	+	669	27.0	[13.767965]	[195]	[]	[]	[15957305]	[]
919_1026	chr6	20846600	20847000	+	1000	104.0	[13.767965]	[114]	[]	[]	[20846807]	[]
919_10260	chr17	17088067	17088467	+	875	27.0	[11.995326]	[96]	[]	[]	[17088257]	[]
919_10264	chr17	40219594	40219994	+	742	27.0	[8.942274]	[89]	[]	[]	[40219782]	[]
919_10266	chr17	42018374	42018774	+	874	27.0	[]	[]	[7.597396]	[108]	[]	[42018578]
919_1027	chr9	37027562	37027962	+	1000	104.0	[]	[]	[11.995326, 7.597396]	[99, 118]	[]	[37027758, 37027777]
919_10278	chr17	74868465	74868865	+	593	27.0	[]	[]	[7.953706]	[167]	[]	[74868715]
919_1028	chr9	99819988	99820388	+	1000	104.0	[]	[]	[11.019517]	[103]	[]	[99820189]
919_10281	chr17	75184470	75184870	+	602	27.0	[13.767965]	[104]	[11.98683]	[90]	[75184671]	[75184657]
919_10283	chr17	75765247	75765647	+	757	27.0	[10.434889]	[121]	[]	[]	[75765434]	[]
919_10284	chr17	75858643	75859043	+	749	27.0	[6.8908954]	[61]	[]	[]	[75858804]	[]
919_10286	chr17	78169362	78169762	+	897	27.0	[7.471763]	[126]	[]	[]	[78169576]	[]
919_10288	chr17	80755964	80756364	+	865	27.0	[]	[]	[8.655526]	[117]	[]	[80756162]
919_10291	chr17	82647657	82648057	+	889	27.0	[]	[]	[11.019517]	[117]	[]	[82647853]
919_10293	chr18	864859	865259	+	792	27.0	[8.787421]	[105]	[]	[]	[865057]	[]
919_10296	chr18	51229297	51229697	+	888	27.0	[7.169635]	[135]	[]	[]	[51229507]	[]
919_10297	chr18	63075109	63075509	+	596	27.0	[11.995326]	[98]	[]	[]	[63075306]	[]
919_10298	chr19	383810	384210	+	934	27.0	[9.45908]	[125]	[]	[]	[384015]	[]
919_103	chr3	33440454	33440854	+	1000	281.0	[15.3284025]	[103]	[]	[]	[33440651]	[]
919_1030	chr12	57552297	57552697	+	1000	103.0	[]	[]	[13.547267]	[108]	[]	[57552501]
919_10300	chr19	3374628	3375028	+	677	27.0	[11.98683]	[95]	[]	[]	[3374808]	[]
919_10301	chr19	3984119	3984519	+	738	27.0	[8.270616]	[144]	[7.963974]	[174]	[3984281]	[3984311]
919_10305	chr19	10228888	10229288	+	909	27.0	[]	[]	[6.920084, 11.2828665]	[69, 119]	[]	[10229042, 10229092]
919_10306	chr19	10502011	10502411	+	863	27.0	[]	[]	[7.4158554]	[151]	[]	[10502206]
919_10307	chr19	11355887	11356287	+	867	27.0	[]	[]	[6.9218564]	[85]	[]	[11356050]
919_10308	chr19	12933125	12933525	+	879	27.0	[]	[]	[6.9863925]	[109]	[]	[12933310]
919_10309	chr19	16258641	16259041	+	724	27.0	[11.98683]	[86]	[]	[]	[16258824]	[]
919_1031	chr12	122966257	122966657	+	1000	103.0	[6.9863925]	[129]	[]	[]	[122966483]	[]
919_10310	chr19	16386642	16387042	+	560	27.0	[10.434889]	[123]	[]	[]	[16386853]	[]
919_10311	chr19	17267933	17268333	+	910	27.0	[]	[]	[10.434889]	[150]	[]	[17268143]
919_10312	chr19	20999599	20999999	+	806	27.0	[]	[]	[11.98683, 13.767965]	[86, 129]	[]	[20999769, 20999812]
919_10313	chr19	28542025	28542425	+	836	27.0	[11.295278]	[112]	[]	[]	[28542219]	[]
919_10314	chr19	32748520	32748920	+	884	27.0	[12.174601]	[113]	[10.242963]	[107]	[32748727]	[32748721]
919_10321	chr19	43755109	43755509	+	877	27.0	[8.001171]	[172]	[]	[]	[43755360]	[]
919_10325	chr19	47444333	47444733	+	575	27.0	[8.655526]	[167]	[]	[]	[47444584]	[]
919_10328	chr19	55393369	55393769	+	866	27.0	[]	[]	[11.995326]	[175]	[]	[55393615]
919_10331	chr19	56301744	56302144	+	745	27.0	[7.9515624]	[71]	[]	[]	[56301898]	[]
919_10335	chr2	38875561	38875961	+	849	27.0	[7.983867]	[141]	[]	[]	[38875713]	[]
919_10336	chr2	54818213	54818613	+	734	27.0	[10.434889]	[88]	[]	[]	[54818396]	[]
919_10337	chr2	64606073	64606473	+	713	27.0	[11.315171]	[149]	[8.655526]	[139]	[64606239]	[64606229]
919_10338	chr2	68287457	68287857	+	820	27.0	[]	[]	[8.129065]	[195]	[]	[68287696]
919_1034	chr14	94026129	94026529	+	1000	103.0	[]	[]	[8.000483]	[101]	[]	[94026330]
919_10342	chr2	80170091	80170491	+	666	27.0	[8.833028]	[95]	[]	[]	[80170284]	[]
919_10344	chr2	121897586	121897986	+	600	27.0	[]	[]	[8.942274]	[156]	[]	[121897790]
919_10346	chr2	127854748	127855148	+	873	27.0	[8.129065]	[150]	[]	[]	[127854973]	[]
919_1035	chr16	30021159	30021559	+	1000	103.0	[8.270616]	[95]	[11.995326]	[112]	[30021353]	[30021370]
919_10350	chr2	156335492	156335892	+	890	27.0	[7.776671]	[105]	[]	[]	[156335692]	[]
919_10352	chr2	175181635	175182035	+	869	27.0	[9.141982]	[102]	[]	[]	[175181818]	[]
919_10358	chr2	219516240	219516640	+	829	27.0	[]	[]	[8.270616]	[122]	[]	[219516458]
919_10359	chr2	231479389	231479789	+	900	27.0	[]	[]	[15.3284025]	[110]	[]	[231479583]
919_10360	chr20	429643	430043	+	622	27.0	[]	[]	[10.434889]	[118]	[]	[429851]
919_10361	chr20	654128	654528	+	574	27.0	[]	[]	[7.9622016]	[135]	[]	[654340]
919_10366	chr20	34888452	34888852	+	942	27.0	[8.129065]	[205]	[]	[]	[34888682]	[]
919_10367	chr20	38173790	38174190	+	803	27.0	[]	[]	[8.359376, 15.3284025]	[96, 104]	[]	[38173982, 38173990]
919_1037	chr17	50208636	50209036	+	1000	103.0	[8.069627, 8.155379, 8.942274]	[102, 116, 120]	[]	[]	[50208827, 50208841, 50208845]	[]
919_10370	chr20	50033820	50034220	+	929	27.0	[]	[]	[6.928093]	[115]	[]	[50034027]
919_10371	chr20	50692537	50692937	+	772	27.0	[]	[]	[8.270616, 6.951835]	[116, 120]	[]	[50692753, 50692757]
919_10372	chr20	53738350	53738750	+	808	27.0	[8.436447]	[97]	[]	[]	[53738509]	[]
919_10377	chr21	33976709	33977109	+	816	27.0	[7.6554127]	[105]	[]	[]	[33976914]	[]
919_10378	chr21	36589405	36589805	+	596	27.0	[11.995326]	[102]	[]	[]	[36589603]	[]
919_10380	chr21	42164401	42164801	+	825	27.0	[15.3284025]	[109]	[]	[]	[42164599]	[]
919_10381	chr21	44025001	44025401	+	585	27.0	[]	[]	[8.655526]	[103]	[]	[44025189]
919_10382	chr21	45973947	45974347	+	843	27.0	[]	[]	[6.9172416]	[176]	[]	[45974136]
919_10389	chr22	19139247	19139647	+	802	27.0	[]	[]	[8.155379]	[110]	[]	[19139434]
919_10395	chr22	19287133	19287533	+	881	27.0	[9.942505]	[114]	[]	[]	[19287315]	[]
919_104	chr19	19063685	19064085	+	1000	280.0	[]	[]	[11.995326, 7.6864405]	[70, 116]	[]	[19063854, 19063900]
919_1040	chr4	18021666	18022066	+	1000	103.0	[15.3284025]	[99]	[8.4295225]	[110]	[18021860]	[18021871]
919_10406	chr22	19797052	19797452	+	848	27.0	[]	[]	[7.895588]	[88]	[]	[19797240]
919_10409	chr22	19816631	19817031	+	871	27.0	[9.765003]	[139]	[]	[]	[19816806]	[]
919_1041	chr5	111083341	111083741	+	1000	103.0	[]	[]	[9.905027]	[99]	[]	[111083535]
919_10416	chr22	20059791	20060191	+	881	27.0	[]	[]	[8.685505, 8.464807]	[139, 185]	[]	[20059991, 20060037]
919_1042	chr6	41735410	41735810	+	1000	103.0	[]	[]	[11.2828665]	[101]	[]	[41735598]
919_10421	chr22	20184487	20184887	+	715	27.0	[8.655526, 8.464807]	[101, 129]	[15.3284025]	[113]	[20184678, 20184706]	[20184690]
919_10434	chr22	20722555	20722955	+	901	27.0	[8.810179]	[142]	[]	[]	[20722761]	[]
919_10441	chr22	20801798	20802198	+	621	27.0	[]	[]	[9.456024]	[114]	[]	[20801983]
919_1045	chr10	102743611	102744011	+	1000	102.0	[9.699092]	[112]	[]	[]	[102743814]	[]
919_10452	chr22	22133240	22133640	+	922	27.0	[]	[]	[7.597396]	[104]	[]	[22133427]
919_10453	chr22	22138770	22139170	+	752	27.0	[8.129065]	[157]	[]	[]	[22138968]	[]
919_10455	chr22	22163523	22163923	+	925	27.0	[7.483721]	[181]	[]	[]	[22163721]	[]
919_1046	chr15	58332029	58332429	+	1000	102.0	[8.841524]	[123]	[]	[]	[58332194]	[]
919_10461	chr22	22391471	22391871	+	727	27.0	[]	[]	[8.001171]	[220]	[]	[22391702]
919_10464	chr22	22449646	22450046	+	800	27.0	[]	[]	[7.287168]	[93]	[]	[22449798]
919_10465	chr22	22454969	22455369	+	870	27.0	[11.315171]	[105]	[]	[]	[22455157]	[]
919_10467	chr22	22518601	22519001	+	863	27.0	[8.685505]	[155]	[7.983867]	[239]	[22518762]	[22518846]
919_1047	chr18	832404	832804	+	1000	102.0	[7.9622016, 10.222199]	[114, 160]	[]	[]	[832607, 832653]	[]
919_10473	chr22	37784783	37785183	+	881	27.0	[13.767965]	[92]	[]	[]	[37784955]	[]
919_10474	chr22	38283094	38283494	+	877	27.0	[10.434889]	[92]	[]	[]	[38283286]	[]
919_10477	chr3	4531249	4531649	+	840	27.0	[]	[]	[12.034296]	[158]	[]	[4531488]
919_10478	chr3	4731515	4731915	+	782	27.0	[15.3284025]	[98]	[]	[]	[4731691]	[]
919_10479	chr3	4830914	4831314	+	885	27.0	[]	[]	[7.1611385]	[95]	[]	[4831105]
919_1048	chr19	1854544	1854944	+	1000	102.0	[]	[]	[9.76323]	[92]	[]	[1854733]
919_10481	chr3	5077247	5077647	+	709	27.0	[13.767965]	[167]	[]	[]	[5077488]	[]
919_10483	chr3	9911875	9912275	+	733	27.0	[]	[]	[10.611208]	[133]	[]	[9912096]
919_10484	chr3	10336168	10336568	+	915	27.0	[13.096307]	[101]	[10.614163]	[154]	[10336357]	[10336410]
919_10485	chr3	13662314	13662714	+	857	27.0	[7.597396]	[117]	[]	[]	[13662506]	[]
919_10487	chr3	24483897	24484297	+	771	27.0	[7.9707575]	[152]	[]	[]	[24484146]	[]
919_1049	chr19	11373577	11373977	+	1000	102.0	[10.434889]	[98]	[]	[]	[11373774]	[]
919_10492	chr3	43634703	43635103	+	787	27.0	[]	[]	[7.068398]	[142]	[]	[43634917]
919_10498	chr3	49412046	49412446	+	831	27.0	[]	[]	[9.370035]	[102]	[]	[49412215]
919_105	chr2	135531199	135531599	+	1000	280.0	[]	[]	[11.2828665]	[94]	[]	[135531393]
919_1050	chr19	11766797	11767197	+	1000	102.0	[]	[]	[15.3284025]	[105]	[]	[11766999]
919_10500	chr3	124513619	124514019	+	694	27.0	[]	[]	[13.767965]	[77]	[]	[124513796]
919_10501	chr3	132417753	132418153	+	714	27.0	[13.767965]	[114]	[]	[]	[132417953]	[]
919_10502	chr3	138442388	138442788	+	682	27.0	[]	[]	[8.270616, 11.98683]	[136, 140]	[]	[138442601, 138442605]
919_10503	chr3	141368240	141368640	+	631	27.0	[7.4158554]	[93]	[]	[]	[141368402]	[]
919_10507	chr3	170815343	170815743	+	903	27.0	[]	[]	[6.8849363]	[156]	[]	[170815593]
919_10508	chr3	171459154	171459554	+	701	27.0	[10.434889, 7.9820952]	[174, 182]	[]	[]	[171459393, 171459401]	[]
919_10509	chr3	180990483	180990883	+	751	27.0	[7.1601453]	[110]	[]	[]	[180990677]	[]
919_1051	chr21	46518946	46519346	+	1000	102.0	[]	[]	[11.995326]	[109]	[]	[46519148]
919_10510	chr3	183514122	183514522	+	906	27.0	[]	[]	[13.096307]	[94]	[]	[183514316]
919_10515	chr3	195701222	195701622	+	843	27.0	[]	[]	[11.2828665]	[144]	[]	[195701463]
919_10519	chr3	196128287	196128687	+	776	27.0	[10.930472]	[121]	[]	[]	[196128473]	[]
919_1052	chr22	20777670	20778070	+	1000	102.0	[7.218759]	[133]	[]	[]	[20777891]	[]
919_10524	chr4	6331070	6331470	+	842	27.0	[]	[]	[13.547267]	[95]	[]	[6331264]
919_10528	chr4	56960208	56960608	+	812	27.0	[]	[]	[11.995326]	[97]	[]	[56960381]
919_1053	chr22	30326940	30327340	+	1000	102.0	[]	[]	[11.995326]	[102]	[]	[30327141]
919_10532	chr4	84966486	84966886	+	574	27.0	[8.698377, 8.698377]	[118, 122]	[]	[]	[84966690, 84966694]	[]
919_10536	chr4	138338844	138339244	+	668	27.0	[13.096307]	[110]	[]	[]	[138339038]	[]
919_10537	chr4	139015259	139015659	+	940	27.0	[8.270616]	[97]	[8.653753]	[89]	[139015446]	[139015438]
919_1054	chr5	61408690	61409090	+	1000	102.0	[11.315171]	[95]	[]	[]	[61408882]	[]
919_10543	chr5	32131584	32131984	+	864	27.0	[10.25316]	[94]	[]	[]	[32131771]	[]
919_10545	chr5	61084681	61085081	+	849	27.0	[9.155567]	[142]	[]	[]	[61084921]	[]
919_10547	chr5	78915253	78915653	+	732	27.0	[]	[]	[10.077273]	[95]	[]	[78915430]
919_10548	chr5	85647622	85648022	+	931	27.0	[]	[]	[7.560086]	[120]	[]	[85647826]
919_10549	chr5	89308506	89308906	+	816	27.0	[7.9515624]	[103]	[15.3284025]	[90]	[89308699]	[89308686]
919_1055	chr6	87700692	87701092	+	1000	102.0	[9.180952, 7.895588]	[109, 133]	[]	[]	[87700895, 87700919]	[]
919_10550	chr5	109645842	109646242	+	710	27.0	[7.3372383]	[88]	[8.880494]	[86]	[109646017]	[109646015]
919_10551	chr5	119323002	119323402	+	889	27.0	[]	[]	[9.514142]	[141]	[]	[119323220]
919_10552	chr5	135058412	135058812	+	842	27.0	[13.767965]	[105]	[]	[]	[135058605]	[]
919_10553	chr5	145854707	145855107	+	851	27.0	[]	[]	[7.5889]	[93]	[]	[145854890]
919_10554	chr5	146007158	146007558	+	694	27.0	[12.843303, 7.6493673]	[105, 164]	[]	[]	[146007343, 146007402]	[]
919_10555	chr5	150544730	150545130	+	856	27.0	[11.98683]	[140]	[]	[]	[150544954]	[]
919_10558	chr5	172805716	172806116	+	898	27.0	[]	[]	[8.270616, 7.121478]	[112, 116]	[]	[172805925, 172805929]
